ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u1	Mrs Rohonyi, you asked three questions on the same subject.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u60	Mr Depoostere, I cannot answer your first two questions, just like my colleague from the Justice Department. For practical reasons, such extensive statistical data, spread over several years and judicial districts, can only be communicated in response to a written question. Moreover, it is very difficult to provide reliable and complete figures on shopping aggression as a result of non-compliance with the corona measures. Addressing such facts falls within the competence of the local police and the local authorities. I also refer to my circular GPI 94a on the guidelines on the measures taken to combat the COVID-19 virus and on police monitoring which remains fully applicable in this area. The GPI COVID-19 Police Task Force has issued clear guidelines that are binding on the entire police landscape, in order to ensure a clear policy and uniform application during the corona crisis. One of the basic principles is to ensure the continued availability of police capacity for urgent police tasks. The provision of police assistance in the event of shop aggression is also one of those basic tasks.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u61	Madam Secretary, thank you for the answer. I regret that it seems very difficult to compile statistical data on this kind of aggression. It is not because there are no figures that the problem does not exist. In my question I referred to a survey of the trade union organization ACW among 21,000 shopkeepers, not very few of whom half claim that there is an increase in aggression. You're referring to your circular letter, Madam Secretary. This, of course, belongs to the basic package of a police succession. However, I think that the Minister of Justice should be able to play a role in this so that we can avoid a dismissal or, in the other case, speedy justice.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u62	Mrs Thibaut is not here. Her question No. 55017103C is therefore without an object.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u63	Mrs Platteau, the advance of extreme right-wing and right-wing extremism in today's Western society is unmistakable. All this goes hand in hand with a certain mainstreaming of extremist narratives, which often revolve around conspiracy theories such as the 'population' or 'white genocide'. On right-wing extremist fora, the call for action is growing worldwide. Supporters are called to arm themselves in advance or to train physically. A tendency is that ideology also increases among young people who are often well-educated. Identity movements at home and abroad provide training and summer courses, focusing specifically on an audience of young people. The Internet is an important catalyst in this process. Famous perpetrators of large-scale attacks were partly inspired, and social media also ensure that charismatic people have a lot of outreach and can encourage vulnerable people to take action. Through the Internet, right-wing extremist groups can work together worldwide. The Internet also makes it possible for those people to influence polarisation in our society and between specific groups through responses to mainstream media channels and to strengthen hate speech. Fortunately, our country was spared from severe violence. As many recent attacks abroad show, the risk within right-wing extremism is so-called lone actors. Most such attacks are committed by individuals acting on their own initiative and not formally belonging to a particular group. The Belgian security services are already closely monitoring right-wing extremism in the framework of the Plan R. We are also working hard on the successor to the Plan R, in particular the Strategic Note Extremism and Terrorism. As regards the individual succession of persons: insofar as the persons fulfil the legally defined conditions, they may be included as homegrow terrorist fighter (HTF), potentially violent extremist, terrorist convicted and/or hate preacher in the Common Database (GGB). At present there are about 50 right-wing extremist entities in that GGB. All services involved in the fight against terrorism and extremism have access to and feed the GGB. All persons included in the GGB will be followed by the local task forces where individualised measures can be taken, including the withdrawal of the gun licence, a description, the follow-up of social media or an up-and-coming police approach. Furthermore, individuals, as well as phenomena and general evolutions are discussed in the National Working Group on Legal Extremism, in which all security services are represented. Over the past two years, the OCAD has made various phenomenon analyses on right-wing extremism, such as imaging, threat analysis, online anti-Semitism, negationism, gender and right-wing extremism in Eastern Europe and common symbols. Also in the monthly general analysis of the OCAD much attention is paid to the evolutions within right-wing extremism. As far as the police are concerned, in 2018 DJSOC/Terro made a global analysis of the far right. Its latest update took place in 2020 and will be further updated in line with the priorities. The National Security Plan is currently in preparation. It is too early for me to comment on this, but it is clear that these phenomena, which pose a serious threat to public order, will always remain a priority for the police.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u64	Madam Secretary, thank you for your reply. I think you have outlined very well the threat posed by the extreme right and you also refer to identitarian movements that call for action and also physically arm themselves. I am pleased that you recognise the problem and understand the fight against terrorism in our country. Your answer shows that there is a very real problem and that we should certainly not underestimate the threat of violent extreme right. I would have liked my question to be merged with Mr Depoortere's question because he based himself on my question and almost copy-pasteted it. However, he has turned extreme right-wing extreme left terrorism into terrorism and instead of referring to the State Security Reports, the OCAD and the Committee I, he says he thinks there is a much greater threat of extreme left-wing terrorism. He refers to the General Intelligence and Security Service in the Netherlands, perhaps because he found no sources in Belgium. But when I look at these documents from the Netherlands, there is no mention of extreme left-wing terrorism, but of left-wing extremistism and activism, and it says that the left-wing protest is mainly in civil disobedience and demonstrations in the areas of anti-racism, climate policy and foreign law. It is mainly about demonstrations and actions of civil disobedience. I do not feel a need to defend the extreme left, but I have looked at Mr Depoostere's question and I note that he reacts defensively when I ask a question about extreme right-wing terrorism. I ask myself questions about that. Just now, Mr Depoostere said that demonstrations and civil disobedience must be possible, so in that context I find his reaction a bit strange. In conclusion, the trend towards arms is a real risk of violence and terrorism. That is a threat which we certainly cannot deal with lightly.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u65	Mrs Platteau, you are new to Parliament, but it is not really customary to comment on a question before it was asked and answered. However, I would like to reassure you, Mrs Platteau. I asked this question in 2019 to Minister Geens at the time. At that time, I also received a proper answer. I am setting a certain political agenda. Your nervousness also proves that I have a point, Mrs Platteau. Left-wing parties only raise questions about the threat posed by the extreme right-wing, and that is legitimate, but I notice that there is never or never being talked about the threat of extreme left-wings. I therefore put this question because I believe that we must eradicate all forms of extremism. This includes left-wing extremism. So I do think there is a threat from the extreme left, Madam Secretary. It is about terrorism, which is organized internationally. I refer to BLM, although it originated in the United States, but is also finding more and more support here. In our capital, we have been faced with very violent acts, in which police officers were attacked and buildings were set on fire. Do you recognise the threat posed by extreme links in our society? What actions will you take? Will more be devoted to general phenomenon analyses? How will you take into account the international dimension of this extreme left-wing threat? What will be the position of the fight against extreme left in the new National Security Plan which will enter into force on 1 January 2022?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u66	Mr President, the left-wing extremist scene in Belgium is currently small and fragmented. The terrorist threat of left extremism is currently also considered low. Nevertheless, the security and intelligence services remain particularly vigilant. The COOVID-19 health crisis has to some extent acted as a catalyst for both extreme left and right-wing threats. Left-wing extremists particularly denounce the socially unequal impact of health measures, as well as the excessive use of force used by the police to enforce health measures. The Belgian security services are already closely monitoring left-wing extremism in the framework of the Plan R. The Plan R will be transformed into that strategic note Extremism and terrorism where it will also be placed. To the extent that people meet the conditions I mentioned in the answer to the previous question, they can also be included in the GGB in which the names of extremists of any signature, including those of left-wing extremists, can be included. At present there are 17 left-wing extremist entities in full status in the GGB. All services involved in the fight against terrorism or extremism have access to this, and all extremists will be followed by the local task forces. The National Left Extremism Working Group is led by the federal police and all security and intelligence services are represented in it. The partners within these working groups shall share all relevant information and information at meetings held almost monthly. This makes it possible to map extremist behavior in a timely manner. That information is therefore passed on to the local task forces. In the monthly general threat assessment, therefore, links-extremism are mentioned in addition to extreme right-wing. The annual editions of the Europol report show that most of the extremist extreme-left terrorist incidents are concentrated in Italy, Greece and Spain. It happens that individuals and left-wing extremist groups in these countries occasionally have contact with supporters in Belgium. However, we do not have any information on the existence of structural links. It goes without saying that my services are constantly monitoring the development of the international situation of extreme left-wing groups. As far as extreme links are concerned, the DJSOC/Terro also carried out an analysis in 2018, updated in 2020. On the basis of the imaging, it will be considered whether it should be updated. Once again, I can conclude that, as for the extreme right, there will also be a place for the extreme left in the national security plan that is being prepared and on this basis this will be taken into account as a permanent focus.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u67	Thank you, Madam Secretary, for your answer. I would like to add that I consider the right to freedom of expression and the right to demonstration to be very important. I would like to give this to all political opinions, from left to right, of course, with respect for the rule of law. I think that's what everything has been said.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u68	Minister, as part of the fight against extremism and terrorism, an evaluation of the Canal Plan was included in your policy statement. As a result of the attacks in 2016, significant monitoring and community monitoring work had been initiated by the police in a number of municipalities across the country. As a result of these specific tasks, many associations, legal persons and individuals have been carefully monitored. Given the lack of police personnel in local police areas and the specificities of some municipalities in the face of the development of religious extremism, this federal plan has been able to provide essential support in local police stations. Minister, how many police officers were integrating the Canal Plan into its creation? How many police officers are now integrating the Canal Plan into the field? What are the evolving measures that have been taken over the past two years in the context of the Canal Plan missions and the protection of our police officers? What decisions have you had to make at this level since the new government was established last October? What kind of evaluation could it have started as a result of your policy statement? Finally, what services carry out this evaluation? Within what time frame will the results of this exercise be communicated to us for further development or possible reorientation of missions, including in the context of your strategic note updating Plan R?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u69	Mr. President, Mr. Pivin, initially, the Canal Plan provided for 136 inspectors for the federal police and police areas. There are currently 116 inspectors, 75 of whom are seconded to the police areas of the Brussels district. With regard to the Vilvoorde-Machelen police zone, there are 20 inspectors, 16 of whom are currently seconded to the area. The deployment of staff remains a highly evolving issue, as staff members regularly move on to mobility. The priorities defined in 2016 remain relevant. These are the multidisciplinary approach to terrorism and violent radicalization in the Canal territory, and the fight against the phenomena of support. It is also about strengthening the position of information on the phenomena of radicalism and terrorism, on the phenomena of support, illegal economy and home fraud. The Canal Plan was reviewed again this spring. I will analyse the results before deciding on the future of this plan. In any event, previous evaluations have shown that this plan has an absolute added value as there is now better cooperation through a multi-agency approach and better exchange of information. All relevant partners support the continuation of the Canal Plan. A structural budget of €24,250,000 was entered for the integrated police, when the interdepartmental provision for terrorism and radicalism was abolished. The distribution of this amount on basic allowances is based on the unit in which these staff members are employed. The Canal Plan is evaluated by a steering committee comprising the Brussels Federal Police, the West Police Area and the Halle-Vilvoorde Federal Police. As noted above, I have just received the last assessment. I will analyse the results of this study before deciding on the future of the Canal Plan.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u70	Madam Minister, thank you for your answer. As we have seen some eight days ago, with your help, the updating of all the recommendations of the Attentats Commission, in the framework of the Joint Committee on the Interior and Justice, is proceeding. It is good to have an up-to-date picture of the Canal Plan's workforce. I am very pleased to hear that the means are being kept up to the concerns. Indeed, as we have seen very recently, at three hours from Brussels, in the Paris region, terrorist acts, even if isolated, against representatives of public order were still committed in the neighbourhoods. We must therefore keep a close eye on these issues, and the assistance of the federal police in the framework of the Canal Plan is extremely valuable. I will of course come back to you to question you when you assess the benefits of this plan.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u71	Minister, I have already been able to ask you about updating the equipment of our police officers to ensure that our law enforcement agencies are sufficiently safe and effective in dealing with crime. Even recently, the state of collective armament was echoed through the Uzi machine gun, which takes time to be replaced, while the Defence has not used this weapon for seven years. It appears that the new Directorate of Security (DAB), which protects our country's strategic sites in particular, is still not equipped with new equipment. If we are aware that this situation calls for planning for the renewal of equipment and that heavy procedures are under way, this does not detract from the rather negative assessment that we have to make in this area, even though work has already been done on individual armaments. What local police and federal police services and divisions are still using Uzi machine guns? Has an evaluation of the effectiveness of this weapon been conducted recently? What procedure has been initiated for their replacement? How long and for what services? What consultation is being conducted at this level with the local police who are still arming their staff with these machine guns? Are other collective weapons subject to urgent replacement? Is it true that the police will still have to use this old weapon until 2023?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u72	Mr. Pivin, there are currently 997 Uzi machine guns used by the federal police. I do not have a comprehensive view of the local police. This is still the collective arming of the federal police. They are mainly located in the Directorate of Security (DAB). Efficacy is more related to ammunition than to the weapon itself. The market for the new collective armament has been in progress since the end of 2019. Deliveries have started since 2020 and staff must first be trained in this new weaponry before weapons can be started. At present, no training has been carried out due to the health crisis. Arms will be distributed to all pillars of the federal police based on the priorities that have been identified with each of them. For the time being, there is no provision for automatic replacement of other 9-mm weapons. The planning of new weapons was staggered until 2025. Uzi machine guns are being gradually replaced.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u73	Thank you for the full answer, Minister. I won't reply.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u74	Madam Minister, last summer, because of the pandemic, there was no BOB campaign, as we know those other years. This was quite right, because the various measures in the fight against the pandemic had to be taken into account. In the last winter, however, there was another BOB campaign. Due to the health measures, the number of checks remained much more limited than usual, about five times less than during a normal year. You did notice that the number of positive cases was increasing, although the catering industry was closed at that time. On 8 May the terraces will fortunately open again. That's good news for all the operators who've been waiting so long for that redeeming news. However, let's hope that most enthusiastic café-goers are smart enough not to get drunk behind the wheel. After all, our intensive concerns are still overloaded at the moment. We need to make sure that their capacity doesn't suffer. How do police services evaluate the health measures needed to ensure the safe organisation of alcohol controls in recent months? Were these enough? Will these measures also be applied in the coming months? Does the federal police have sufficient manpower to organise more alcohol controls in the coming months than last year? What measures will you take to encourage local police to fully commit to adequate alcohol controls? On the occasion of the opening of the terraces, will you call on the people to urge them not to drive when they have been drinking?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u75	Mrs Buyst, in carrying out these road checks, the COOVID-19 protocol is applied, namely the use of mouth masks and disposable gloves, as well as the respect for the increased hygiene measures and social distance. Local directives will also apply. The number of drivers checked simultaneously shall be limited according to the available space at the control site. The use of sampling is strongly not recommended when devices that are not coronaproof should be used. By the way, the appliances used are systematically disinfected. This will, of course, have an impact on the number of drivers that can be controlled. The police will therefore have to be more selective, with more attention being paid, but not only, to drivers showing signs of alcohol consumption. To date, the measures have gone well, no complaints have yet been received. The measures are therefore being applied. Staff deployment has not changed compared to last year. The local and federal police will organize checks aimed at driving under the influence. The current pandemic reduces the number of police officers per operative. That makes the controls less mobile. Attention will also be paid to driving under the influence of other substances such as drugs. The use of mobile phones while driving and the correct use of safety belts and child seats will also be checked. In addition, the federal police and the federal road police also focus on respecting covid measures such as travel, border controls, training. All this results in a high visibility of the police forces. To support local police, the federal police carry out national actions such as Weekend without alcohol and BOB campaigns. In addition to the national actions, provincial actions are also taking place, which will involve many local police areas. Both local and federal police will therefore continue their efforts to improve road safety. Any driver held for a traffic check or other check may also be systematically subject to an alcohol check. As always, the various authorities will be able to organise the necessary awareness campaigns with the support of various road safety professionals. The PDO campaigns are the most well-known example of this. So they are also being continued.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u76	Madam Secretary, thank you for the answer. The measures you mentioned have already given me the answer to a previous question. It is good to hear that these measures are seen as positive. After all, I can imagine that the covid pandemic makes everything much more difficult and complex for our police services. All the support and gratitude for what the police forces have to do during this difficult period. The way they do that deserves all praise. It is also true that after 25 years of BOB campaigns there are still people who get drunk behind the wheel. We must continue to have the courage to commit to these controls. We know an increased chance of getting caught leads to fewer people getting drunk behind the wheel. I hope that next summer we will be able to re-launch the BOB campaigns, as we knew them, because the chance of taking them has to go upstairs.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u77	Debates of the European Parliament 55017296C by Mrs Chanson was postponed.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u78	Mr President, Minister, on Friday evening a man on his way to Vilvoorde was brutally stopped by fake agents. Two guys with a police bracelet pulled him over so the person in question thought they were civilian agents. So it wasn't a routine check. The man was dragged out of his car and beaten until he passed out. The facts are reprehensible in any case, but the fact that the men were pretending to be cops is problematic. Your answer to my written question of 26 February shows that the number of thefts and losses of police equipment remains high. The numerator of the number of recorded losses and thefts of intervention bracelets is 246, from 2015 to the first semester of 2020. Also 85 bulletproof vests and 121 uniforms disappeared during the same period. Those are high numbers and that means that they are used in criminal environments and will and can be abused in particular. In addition to these official police clothing, unofficial and illegal police uniforms are sold on the market. Last week I read in the press that false police shirts were sold on Chinese websites. The website would be defaulted by the federal police. That is really necessary because the uniform of the police is not carnival equipment that can and should be worn anywhere. The citizen must be able to recognise the police by his uniform at all times. According to the Law of 21 December, the wearing or trading of counterfeit uniforms is punishable. How often has this law been applied in the last five years? Clarity is crucial for citizens. Some police forces break uniform rules or fail to comply with color standards. Have you been aware of this problem in certain areas and what do you intend to do about it? Is there a system for tracking lost and stolen parts of the police equipment? How is it checked for local interpretations of the uniform? What are the general rules to be followed?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u79	Mr. President, Minister, we were recently informed that the AliExpress online sales site is offering T-shirts with the federal police logo to be purchased, reflecting the illegal use of the logo. The use of the police logo by ill-intentioned persons may pose risks. For example, it should be noted that in May 2020, the police in Wavre reported the actions of people pretending to be police officers, not wearing uniforms, but only dressed in "police-labelled" clothes. They called on citizens, accused them of not complying with the health rules and demanded that they immediately pay a fine of 250 euros. Minister, can we have you back on this? Are initiatives being considered now? Can we be informed of the measures in force to control the illegal use of the logo or the distinctive signs of the Belgian police? Can we be informed of the extent of the illegal sale and use of the Belgian police logo or visuals observed in our country?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u80	Ladies and gentlemen, legal protection is provided for all or part of the police uniform. This is defined as part or all of the equipment which meets the characteristics and standards of the integrated police uniform laid down in the regulations. Hence the importance of complying with these statutory characteristics, which must be complied with by all the entities of the integrated police. The protection is linked to a second condition, namely that the garment carries the police logo, a specific police mark or the mention Police, Police or Polizei. The wearing of the police uniform with deceptive or malicious intent and its trafficking is punishable, subject to the exceptions provided for by law. Exact figures on the application of the Law of 21 December 2013 are not known, but infringements have been reported several times. It is also added that the Criminal Code affects certain forms of abuse, such as the presumption of posts and titles. Certain equipment of the police uniforms are numbered and also registered, making them traceable. If members of a police department lose a piece of equipment or become victims of theft of a uniform piece, they must report it by means of a report. These incidents are also registered in the General National Data Bank. Colleague Senesael, the abuse of the police logo is not a new phenomenon. Many initiatives have already been taken to ensure better protection of the police logo. First of all, the "police" logo itself was protected from the outset by its registration in the Register of Trademarks at the Benelux Intellectual Property Office. This means that the Code of Economic Law makes certain forms of abuse punishable. Subsequently, the legislator provided for additional protection of the police uniform in articles 2 to 10 of the Act of 20 December 2013 on various internal provisions. Both the possession, the port and the trade of these pieces of uniforms have thus been clearly regulated. In addition to the possibility of seizure, the Act also provides for specific criminal penalties in this regard. The abuse of the police logo is followed by, among other things, the federal police and allows for an analysis of how its protection can be improved. It is not obvious, however, to take action against all online sales around the world. It is up to each police service in addition to the SPF Economy to react to any abuse and to draw up a report for the criminal prosecution of the parties concerned.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u81	Madam Minister, I am pleased to hear that all entities must comply with the rules. I hope this will also be done on the ground.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u82	Minister, thank you for your answers. I have taken note of the various initiatives that have been taken with regard to compliance with the regulations and the increased protection of the logo. I hope that we can put everything in place to avoid such abuses.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u83	Minister, betting agencies are part of the socio-economic landscape. Their local location contributes to social networking, whether in the cities or in the countryside. The total closure of betting agencies was imposed from 13 March 2020 to 8 June 2020. However, most businesses were able to reopen their doors on 11 May 2020, subject to specific measures. So it took another month for the betting agencies to open again. A second closing of the betting agencies began on 29 October 2020. Surprisingly, betting agencies have been qualified by the various ministerial decrees of recreational establishments, not by companies. Finally, most businesses were able to open again on 1 December 2020. However, betting agencies have remained closed. The latest measures taken during the Codeco of 24 March 2021 leave no room for a resumption of the activities of these agencies. As a result, Minister, what are the reasons why betting agencies are still unable to open their doors? Why have betting agencies been regarded as recreational establishments in the same way as sports halls? Is an agency reopening protocol currently under consideration within the government, as is the case in other sectors of activity? How do you justify the difference in treatment between bookstores, which also market sports bets and National Lottery products, and betting agencies? Thank you.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u84	Mr President, Mr De Smet, I would like first of all to point out that the figures for contaminations, hospitalizations and ICU have revealed a serious and precarious situation in recent months. They once again reinforce what the Council of State has considered, namely that all measures taken to combat the spread of the virus form an indivisible and inseparable whole aimed at achieving a balance between the protection of public health, on the one hand, and the preservation of the Belgian economy and the general well-being of the population, on the other. The Council of State has also recognized that the Minister of the Interior has a broad discretion to seek a balance between distinct and often conflicting interests in order to reach a decision that serves the general interest. Given the highly volatile and mixed health situation, some measures are still needed to ensure that the situation does not deteriorate rapidly again and that the efforts of the general population and all sectors concerned, including the economic and health sectors, are not nullified. That is why, according to the Council of State, it is not questionable whether the opening of betting agencies will lead to an additional risk of transmission of the virus, even if hygiene measures can be taken to limit this risk. In view of the current health situation and, in particular, given the still significant pressure on hospital infrastructure, the Consultation Committee decided that certain establishments in the recreational sector, such as betting agencies, should remain closed, as is the case in other sectors such as the event sector. Decisions to relax or modify the measures are always based and will continue to be based in the future on different scientific opinions and data, namely, on the one hand, the development of the epidemiological situation and, on the other, the opinion of the experts of GEMS. The measures are decided by the Consultation Committee and confirmed by the Council of Ministers. The Council of State also found that it does not appear unreasonable to group casinos, gaming rooms and betting offices into the same category, nor to consider them as part of an area of wider recreational activities. Betting activities are recreational activities, as shown in particular by the NACE-BEL classification of activities in which the organisation of gambling and gambling belong to the wider arts, entertainment and recreational activities sector. Like other economic actors, a protocol will be drawn up in due course by the competent minister, in consultation with the sector concerned, in order to define the rules to be applied in the context of a future reopening. Finally, the Council of State held that the fact that the measures are reasonably based on the main activity carried out by the various actors of the company justifies that the bookstores should be placed in a different category from those of betting agencies, even though bookstores may sometimes also, as a complementary activity, market gambling products. It should be noted in this respect that bookstores can only enter into bets or promote them by respecting the very strict limitations.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u85	Minister, thank you for your reply, as always, very comprehensive. I fear, however, that it will not satisfy the betting sector, which in fact is still faced with unfair competition on certain products with bookstores. I understand the theory of taps. I understand that, legally, the Council of State does not see any inconvenience, but I think that, on the ground, it is still seen and experienced as an injustice. Madam Minister, I hope, like you, that the improvement of the epidemic situation will enable the next Codeco to redress this injustice, if it is finally felt as such.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u86	Mr President, Madam Minister, a number of foreign police services have recently decided to integrate electric and hybrid vehicles into their fleet. Let us mention here the ambitious green plan of the Sûreté du Québec, the purchase of some 30 electric vehicles by the Italian Guardia di Finanza or the use of electric scooters by the Barcelona police! Minister, can we have your opinion on such initiatives? Can we be informed about the use of electric or hybrid vehicles in Belgian police services? Can measures be envisaged for this purpose?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u87	Mr Senesael, there is a real will to "green" the car fleet of the Federal Police. The federal police recently acquired four fully electric vehicles and installed a few charging stations in a few complexes. This acquisition is the core of a pilot project for the development of a future electric fleet. In the short term, the objective is to carry out a durability test within different units of the federal police, in other words, to test the use of electric vehicles in different circumstances, on different types of missions. This pilot project is part of a more global vision of replacing diesel vehicles with gasoline, CNG, and electric-gas hybrids. Today, the federal police have 89 hybrid electric gasoline vehicles and 45 CNG vehicles. Given the autonomy of local areas, I do not have a comprehensive overview of these vehicles within the local police. Several areas, such as Bruges, Sint-Niklaas and Montgomery, have already purchased such vehicles.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u88	Mr. Chair, Madam Minister, thank you for these first points of answer. I think it's going in the right direction. The statistics you are presenting to us are satisfactory. Congratulations also on the initiative of these first electric vehicles and the installed terminals. May this pilot project lead to a more ambitious project of a greener park! Perhaps it would be interesting, Madam Minister, if you could question the different police areas in the country so that we can have a statistical picture of what already exists and what is being considered. In any case, I invite you to do so and thank you for your answer.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u89	Mr President, Madam Minister, on 20 April 2021 the European Commission published its figures on road mortality for the year 2020. While road mortality decreased by 22% from 2019 to 2020 and by 40% from 2010 to 2020, Belgium shows a higher number of road deaths per million inhabitants than its neighbours: 44 compared to 31 for the Netherlands, 33 for Germany, 39 for France and 42 for Luxembourg in 2020, the European average being 42. Therefore, we know that the European target of reducing the number of people killed on our roads to a maximum of 420 by 2020 could not be achieved. Minister, can we have your feedback on the figures? In December 2020, you told me a number of initiatives including the deployment of police applications in the field and the continuation of cooperation with active road safety partners at various levels. Can we know what progress has been made? You are aware that our group places the fight against alcohol at the wheel, an important cause of serious accidents, as a priority in the field. What are the initiatives to further strengthen activity in this area? European figures on mortality on motorways place Belgium at the bottom of the European classification. Can we be informed of the specific procedures for combating road mortality on motorways?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u90	Mr Senesael, despite a 24% reduction in the number of deaths since 2010, the reduction in the number of road fatalities remains one of the main objectives. Indeed, the number of deaths on our roads is still high and we are far from achieving the European target of halving the number of road deaths by 2030. In addition, every year the police services report nearly 48,000 minor or serious injuries as a result of road accidents. This also explains why road safety is rightly one of the main concerns of the Belgian population, including me. Road safety is very clearly reflected in my policy statement. The police focus on road traffic offences that cause fatal or serious accidents, in particular speeding, driving under influence, distraction or inadequate use of safety equipment. My objective is to monitor one in three drivers annually on the basis of qualitative and quantitative criteria. Police services will also give maximum priority to the use of new technologies and the treatment of infringements through regional treatment centres to automate roadside checks, findings and treatment. They will also continue to create the national camera shield on the ANPR network. The national ANPR management system will be put into operation and the number of radar sections connected to it will gradually increase. Police capacity will also need to be better directed to problematic places and times through existing analytical techniques and the use of police applications such as FOCUS and Mercurius, and to build on the links between road safety actors and certain crime phenomena. This cooperation involves building partnerships at all levels. It also involves supporting regional road safety policies. Finally, the police will contribute to the revision of the Road Traffic Code with a view to simplifying it and putting more emphasis on road safety and on active road users. The Federal Highway Police will be mobilized to give priority to contributing to the above mentioned objectives. That is why it will be strengthened in the coming months and years.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u91	Madam Minister, thank you for the quality of your answer and, above all, for all the aspects you have mentioned. I'm going to take over four elements that seem primordial to me. First, in your policy statement, you have made security a priority that I share and to which I pay particular attention. Your willingness to go to one in three drivers seems really timely and aims at a goal that should be achieved. Then, the strategies put in place, the initiatives taken and the links between the actors in road safety foster partnerships and I believe that they are essential elements for pursuing this path. Finally, I also do not forget the cooperation with regional policies, which I believe is relevant and necessary. Minister, once again, thank you for the quality of the answer and for the work you are doing on it.
