ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u1	Minister, I refer to the written version of my question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u55	Mrs. Wilmès will take over. It will also be dealt with in the Committee on External Relations. I suspect this will happen in the course of next year.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u56	Minister, you say it will happen in the course of next year. As long as that treaty is not ratified, nothing can happen. Perhaps you should urge your colleague to put a rush on this.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u57	If you have heard the answer correctly, you know that there are other grounds on which we can still proceed to extradition, but they are not so easy to use. It is indeed recommended that urgent action be taken, but the fact that we have already signed this without it being implemented already means a great deal to the authorities in the Emirates. The goodwill generated by the signature was only improved.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u58	Minister, two weeks ago, in a fast-track journey, it was decided to buy two more large office buildings in the Brussels Noordwijk. The two buildings are intended for the security of the State and the Crisis Centre. The government buys them for 280 million euros and another 90 million euros needs to be invested. What struck me was that Secretary of State Michel apologized to Secretary of State De Bleeker and "has been put under pressure" by the Minister of Justice and the Minister of the Interior. That raises a number of questions. How can this huge amount of money be accounted for in times of crisis and shortages? Why was the decision-making period so extremely short? How do you respond to the State Secretary's statements that you put pressure on him" in this file?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u59	The coalition agreement expressly provides for a strengthening of the State's security. We are fully engaged in this and will almost double the number of employees in the State Security between today and horizon 2024. In this way, this government will also answer the decades-long question of strengthening that service, as was also asked by the parliamentary committee of inquiry. The recruitment of staff also means that better housing needs to be provided. This additional staff cannot possibly be housed in the old building, a housing dating back to the last century and whose rental contract also expires. In any case, therefore, we must decide on new housing for this legislature. Secondly, the Government of the Buildings basically follows the new line to buy rather than rent. In this way one can acquire assets in a well-located location, and as owner one also enjoys the added value that is realized in the long term. So this was a search for a good and large building in the centre of Brussels, located near a railway station. With regard to the exact price calculation of this building, please refer to the Secretary of State. However, I can assure you that both the Government of the Buildings and the Security of the State have been working on this dossier for a long time than a few weeks. Only the said building could be retained from the prospection. In view of the tender period and also the high demand for the building, the purchase could no longer be delayed. The share of the State's security in the purchase of the building is EUR 216.5 million, of which EUR 37,590,000 VAT. This amount therefore flows back to the Treasury, which ultimately means that the purchase amount for the Regie amounts to EUR 179 million. You're also asking me how I respond to the Secretary of State's ruling. Well, my services and myself are working well with the Buildings Regie. It is a common dossier. I do not think there is any question of pressure, because the decision was taken in the nuclear cabinet. This was discussed in several meetings of the nuclear cabinet. The question and the initiative for this and the other dossier have just come at the initiative of the State Secretary responsible for the Government of the Buildings. I was, of course, present at these various meetings, so I also saw the enthusiasm with which the Secretary of State defended the dossiers. I found that all government partners finally agreed to that decision.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u60	Mr Secretary of State, it is strange that the Secretary of State makes such statements. It is rather naive to think that no pressure can be exerted because it has been discussed in several meetings of the nuclear cabinet. The Secretary of State states that he was pressured and pushed. You say that the lease expires this legislature and that a purchase must be made. I agree that a purchase is better than a rental. Especially when there is an opportunity, the recruitment of real estate should be considered. The purchase amount is EUR 216.5 million, of which EUR 179 million is left without VAT, but still needs to be invested in the establishment. I doubt there's a lot of candidate buyers in line who can put that amount down. It's a huge amount of money. It was now or never, you say, because the decision had to be made in these few weeks. You also say that the lease for the housing of the State's Security expires, but it is not clear to me when that will expire, within a month, or only within a year or two years. What was so urgent? I'm not getting any answers. We only have the Secretary of State's statements and they make us frown the eyebrows. You deny that and say that he was very proud of that project, but something doesn't add up when he said such things. So I'm stuck with those questions.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u61	Minister, I refer to the written preparation of my question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u62	It is an important question, which is why I am also giving you a full answer, including the technical elements, in the interests of the victims. The Commission for Financial Aid to Victims of Intentional Violence and Occasional Saviors does not ensure full compensation for victims in accordance with the Act of 1 August 1985. The law of 1 August provides for financial assistance based on solidarity between the members of the same nation and not on civil liability. The best proof of this is that financial assistance is limited to EUR 125,000, while compensation is unlimited, because the damage must be repaired in full in accordance with the principles of civil liability. The terrorist attacks of 22 March 2016 were recognised as acts of terror by a royal decree passed by the Council of Ministers in implementation of the law of 1 August 1985. That KB was published in the Belgian Official Journal and the deadlines for submitting an application for assistance expired on 18 March 2020, as the publication took place on 17 March 2017. The date of 26 July 2021 shall be the end date of the submission of a request for financial assistance for the victims of the street attack on 29 May 2018 in Liège. The relevant KB was published on 25 July 2018. Since the terrorist attack is a deliberate act of violence, the victims of such an attack can always submit a request for financial assistance in the ordinary system, which provides for up to 3 years from the date on which a final decision has been taken on the criminal proceedings, in accordance with Article 31 of the Act of 1 August 1985. The only difference is that victims who have applied after 18 March 2020 will no longer be able to rely on the preferred regime established by the laws of 15 January and 3 February 2019. Those victims must have been bourgeois. All victims of the attacks on 22 March who had not submitted their applications before 18 March will still be able to rely on financial assistance in accordance with the 1985 Law, provided that they meet the other legal requirements. The Law of 18 July 2017 on the establishment of the Statute of National Solidarity does not set a time limit for the submission of an application for the relevant Staff Regulations. Contrary to this, the claims must be submitted to insurance companies within a specified period of time. The secretariat of the Financial Aid Commission has already responded to several victims. The various victim support services such as CAWs and victim associations are aware of this. I also make funds available for victim coaches, as envisaged by a recognised victim association. Those coaches have been recruited and are currently being trained. We will leave nothing to chance for the course of the process. The victims will be at the heart of this.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u63	Thank you, Minister, for your reply, which reassures me somewhat. My question is prompted by the newspaper report that one of the victims came to the conclusion just outside the deadline that the application should already be made. You may have read that article, too. However, you are happy to confirm that under normal rules, i.e. within the three-year period and provided that the legal requirements are met, the rights will be retained. The only difference is that the preference system cannot be used in a manner of speaking. The victims won't stay in the cold anyway. At least that's reassuring. I assume that they will also be able to rely on the support of the victim coaches, because I believe that their deployment is not subject to deadlines. [[Applause from the left]] )
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u64	Madam President, Minister, when presenting the federal road safety plan, you announced, among other things, that there would be an automatic withdrawal of the driving licence for offenders who stubbornly refused to pay their fine. Today there is also the possibility of withdrawal, but it is not automated and there is still a need for judicial intervention. In your view, is a judicial intervention for a far-reaching measure such as the withdrawal of a driving licence not added value? What if someone's license is automatically withdrawn, while there is a valid reason why the fine was not paid? Has there been any agreement within the government on this? If not, what is the state of play of this announced measure?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u65	Madam President, Mrs De Wit, it is first and foremost important to note that this legislation has been adopted during the previous legislature and has been in force since 1 July 2017. It is not therefore a question of new legislation, but of its implementation. It concerns the issuing of an KB which will include the formalities for filing and withdrawing a driving licence. I assume that the question does not concern the withdrawal or suspension of the right to drive, as provided for in Article 65/1 of the Road Police Act. That Article provides for a sui generis procedure for the suspension of the right to send in the event of non-collection of the amount of the payment order for the tax authorities. The law provides for a judicial intervention instructing the King's Attorney to order the suspension of the right to send. The preparatory work shall distinguish between the lapse and the suspension, the lapse being a penalty imposed by a court, and a suspension shall be ordered by the public prosecutor. This is a logical consequence of the fact that the system of payment orders has to relieve the courts, and that the whole procedure will be handled at the level of the Public Prosecutor's Office and the FPS Finance. The suspension is the last means of pressure. The suspension periods are laid down in the same Article 65 and vary from eight days to one month depending on the seriousness of the infringement. If the offender pays the amount of the payment order for the suspension of the right to send, the suspension shall not be carried out. The practical arrangements for the return of the driving licence have yet to be laid down in the Royal Decree, as mentioned above. The person whose driving licence has been suspended shall not take another driving test. The interpretation of the powers and discretion of the King's Attorney under this provision is included in the text of the circular COL 04/2013. As for your second question, following a decision to suspend, there is no appeal before the court. However, the suspension of the right to send can only be ordered by the King's Attorney if the tax administration has not been able to recover the payment within three years of receipt of the title declared enforceable by the King's Attorney. However, where a payment order is sent, the addressee of the order shall have 30 days to appeal to the police judge in accordance with Article 65 of the Road Police Act. If the offender can prove that he has not been able to take note of the order for payment within that period, he may still bring an action within 15 days of the date on which he became aware of the order for payment or of the first act of recovery of the amount by the FPS Finance. The person concerned will therefore be given the opportunity to challenge the order for payment before the court before the King's Attorney if necessary order a suspension of the right to send.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u66	Thank you, Minister, for your reply. The only thing I am wondering is whether there may not be a problem if the order for payment has not been received and it has not been possible to oppose it, which means that the suspension will subsequently be dealt with. I will look at it further, but thank you for your answer.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u67	Debates of the European Parliament Mr Van Hecke's 55023439C is converted into a written question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u68	I refer to the written version of my question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u69	You will understand that it is not obvious for a Minister of Justice to decide on matters relating to the trial during an ongoing legal procedure. After all, it cannot be the intention for the parties concerned to use elements of the answer from the parliamentary question in their file. Caution should therefore be exercised. I can tell you that an appeal against the judgment was filed, because we do not agree with the judgment legally. It is precisely because of that legal appeal procedure that I confine myself in my policy paper to the functions that are not the subject of it. As a result, I did not make any statements on the management positions of the judicial staff. This does not, of course, detract from the appreciation and appreciation we have for the holders of mandates, but also for all the principal officers, the chief secretaries and the executives, who work every day to ensure that our secretaries and our parquet secretariats function properly. Indeed, they often do so in difficult circumstances. Especially during the pandemic, that's not easy. It is therefore at least so important that we improve the situation on the ground. I can assure you that we will carry out the task in a correct way and in accordance with the spirit of the law of 10 April 2014. As I said at the committee meeting of 15 October 2021, a draft Royal Decree was drawn up for the performance of the task weighting. The draft is still at the stage where several opinions are requested and has therefore not yet been submitted to the Council of State.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u70	Thank you for your answers, Minister. We'll follow up on the file. After all, it is very important for the staff.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u71	Madam President, Minister, I am referring here to an act of 13 July 2013 in which we tried to shorten the time limits for settling family disputes. This reform came into force in 2014 and has made it possible to simplify the process for litigants. Of course, beyond a theoretical reorganization, implementation has had to meet the needs of the field, i.e. magistrates, registry staff and clerks. In this regard, the situation of the Brussels Court of First Instance, and specifically its Family and Youth Court, remains extremely problematic. Indeed, since its establishment, of the twenty chambers that had been planned, only eighteen were actually effective. In addition, it was recently reported that two of them had been closed and that the files had simply been decomposed and not reassigned. As far as pleadings are concerned, the wait would be one year, which is very long, especially since this is a matter of cases involving children and families. This is what is referred to as the law of persons. But behind this right people often hide tragedies and rather tearing situations. A year can therefore be an eternity for some. At the same time, while the reform was also intended to promote the consensual resolution of situations by creating amicable chambers of settlement for each family court, it seems that these chambers are in fact almost non-existent. Some professionals point out the great difficulty of the work, but also the workload of all the staff and judges, obviously burdened by the shortage, if I may say so, of magistrates. Indeed, in Brussels, the French-speaking court of first instance has a deficit of around 20% of judges compared to the executive. The mechanism for the absence of judges also raises questions. There are problems with the vacancy information process. It would appear, last but not least, that when a judge of the court is delegated to the Court of Appeal, the law does not currently allow for his replacement. The same would apply when a magistrate is unable to work because of illness, even if it is for a long or unlimited period. Indeed, only the replacement by a judge already in office within the same court allows for a replacement, which is rather punctual. Minister, I therefore have a few questions for you. I have questions that you will certainly be able to answer now and others that you will not be able to answer. But I'll make you feel comfortable right away. If so, I will send them to you again in writing. What has been the evolution of the organizational framework of magistrates for the last ten years? What is the evolution of the number of cases to be dealt with annually for the past 10 years, in detail since the reform of the Family Court? How many family and youth courts are in fact composed of one or two amicable chambers of settlement? What is the procedure for publishing vacancies for magistrates? In concrete terms, what department is responsible for this procedure? Are you in favour of amending the legal provisions that would allow for the replacement of judges delegated to the Court of Appeal and the replacement of judges who are unable to work because of illness? Are you willing to put it in place? I now turn to the questions you may not have an immediate answer to. What is the average length of employment and career of the administrative staff of the registries – I am not talking about the clerks here, but about the staff – specifically for the Brussels court, a French-speaking party? What is the organizational framework of the court's registry staff and its evolution over the past decade? What is the organic framework of the clerks? How many amicable claims are submitted each year? How many amicable settlement procedures have been carried out since the installation of the ad hoc chambers, in detail for the French-speaking court in Brussels? Finally, what is the average time between the vacancy of a judge's post and the publication of the offer of that vacancy, as well as between publication and actual occupation by a new magistrate?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u72	Madam President, Mr Pivin, I will indeed answer some of your questions. The other questions ask for numerical answers which can be transmitted to you through a written question which I invite you to address. It should be noted that it is the different heads of the courts and tribunals and the public prosecutor's office who transmit to their respective colleges the different staffing needs that their jurisdiction requires. The colleges of the head office and the public prosecutor's office are responsible for allocating the various staff requirements requested by the courts and submit cards to the Minister of Justice, who decides in consultation with the college on the number of places to be published. It is therefore important to emphasize the central role of the colleges of the headquarters and the Public Prosecutor's Office, which have a cross-sectional view of the needs of the different courts in the country and can thus provide a precise assessment of the various personnel requirements of each of the prosecutors'offices in the courts of the country, within the limits of the legal frameworks. With regard to your question about the replacement of the judges who are delegated or unavailable, you are in fact raising the issue of the frameworks currently provided for by law. The law provides that a magistrate of the court of first instance or a magistrate who is unavailability on account of illness shall continue to be part of the court of first instance. It seems complicated that this is not the case in the system we are familiar with, since, on the contrary, it would mean that, upon the return of the judges who are delegated or temporarily unavailable, an imbalance would be created between the different courts. More broadly, therefore, it is the whole issue of managers and their possible removal that we are analysing, particularly with the support of the colleges. The legal framework for the clerks of the French-speaking court of first instance in Brussels is set at 125 clerks, 8 clerks-chiefs of service and 1 clerk-in-chief. As regards the period between the publication of a vacant post and the appointment of the new magistrate, the duration is approximately six months. The Supreme Council of Justice must first obtain a series of opinions from the judicial authorities (building companies, heads of bodies and others), then proceed to the hearing of candidates for the vacant posts and, as a result, present the winners. The King signs the decree of appointment within three months of the nomination of the candidate by the Supreme Council of Justice. For advisors, the deadline is about eight months. Additional notice is required from the general meeting of the court where the appointment is to take place. For example, eight places for judges at the Brussels Court of First Instance were published on 17 December. If the places are filled, the new magistrates are expected to take office in the early summer of 2022.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u73	Minister, thank you for the information you provide. It is obviously difficult to make a comment without having an overview, and therefore without having the written text of your answers to my various questions. But the fact is there. We are facing a catastrophic situation. I am not the one who emphasises this, it is the chairman of the Committee on Family Law. He knows the situation on the ground. Here we reach the limits of the rule of law. This situation needs to be addressed quickly, with the necessary resources. I will still check whether legal initiatives can be taken to improve and strengthen the operationality of these justice services.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u74	Madam President, Minister, on 8 December last year, for the first time in six years, Fedasil was forced to refuse to accept certain unaccompanied minors because the Fedasil network is in short supply. Also, it is no less than fifteen MENA who were not welcomed by Fedasil that day and who were simply left on the street. The Secretary of State, Sammy Mahdi, recalls, via a communiqué, that "the Tutelle Service must urgently do what is expected of it: to carry out age tests" and calls for an acceleration of age tests. Minister, have the fifteen MENA who have not been received by Fedasil since then been identified by the Tutelle Service? Have they been declared missing? What country do these minors come from? How old are they? What solution is recommended by the Tutelle Service which organizes the urgent accommodation of MENA? In 2020, 3,424 new young people were registered by the Tutelle Service and 2,262 of these young people were between the ages of 16 and 18. What is the current situation in the Tutelle Service? What is the time to process the tests, since you say they need to be speeded up? What are the difficulties encountered in carrying them out quickly? What urgent actions can be taken to speed up the process? Bone tests are particularly contested and questioned, particularly with regard to reliability. What other mechanisms could you consider in order to be more secure about this situation, which, I would remind you, in case of doubt about age, should benefit the minor?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u75	Mr President, Minister, on 14 December, when I tabled this question, the occupancy rate in the second phase of the MENA reception was at a high of 99.72%, which does not allow all MENA in the first phase (the observation phase) to be oriented towards a collective reception structure, as Mr Rigot illustrated. Your colleague at the Asylum and Migration said on Twitter on 8 December that he had asked Fedasil to take care of the reception of all the MENA that could not be welcomed, thus via the adult reception network. Minister, if the reception of asylum seekers does not fall within your competence, this is the case with the Tutelle Service, about which I had asked you at length in the context of your general policy note, since he is responsible for the age tests in the centres of orientation and observation (COO), which make it possible to identify which MENA are actually minors or not. The Secretary of State Mahdi said that if the results of the age tests were delayed, adult asylum seekers would take the place of minors. So these are my questions which are partly related to those of my colleague. What is the average waiting time for the result of an age test? Have you taken steps to speed up the process in order to have these results available more quickly? What methods are used? Is the bone test systematically performed? In your policy note, you mentioned working with the Secretary of State to assess and, if necessary, adjust age determination procedures. By whom will this evaluation be conducted? What are the different options today on the table? Is the objective of this evaluation to abandon bone tests over time? It is known that in the United Kingdom or Australia a holistic assessment has been preferred, which includes oral interviewing, physical evaluation of puberty and growth, but also cognitive, behavioural and emotional evaluations. Can you ensure that all the MENA identified in the referral centres are effectively supervised? Finally, has the current situation been addressed in the framework of the inter-ministerial conference on Migration and Integration? If so, with what results? Thank you already for your answers.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u76	Ladies and gentlemen, I will answer Mr Rigot's first question. On Wednesday, 8 December, Fedasil informed the Tutelle Service that perhaps some fifteen young people could not finally be welcomed. It turns out that nine young people did not receive a reception in the Fedasil network that day. Caritas reported to the Tutelle Service, which was subsequently informed that eight of them would be taken over by the citizen platform, and one in its own network. At the youth profile, there were seven Afghans, one Cameroonian and one Ivorian between the ages of 15 and 17. Two of them were already known to the Tutelle Service and had already been identified as over 18 by May 2021. On Friday, December 10, 2021, they were registered at Petit-Château and were welcomed. There has been a doubt about the age of five young people and the verification procedure is ongoing. Since the reception falls within the competence of Fedasil and the Communities, the Tutelle Service did not intervene at this level. With regard to your second question, in 2021, the Tutelle Service recorded 4,312 reports and 2,560 reported being between 16 and 18 years of age. With regard to your third question and Ms. Rohonyi's first, the Tutelle Service has taken several steps to increase the number of tests performed and to reduce the time taken to process the files. These measures include the recruitment of new drivers, the increase in the number of places available for age tests at hospitals and collaboration with the UCL-Namur CHU. The average time between the alert and the final decision is approximately 22 working days for 2021. It is known that, in exceptional cases, this may take longer because the minor is in a remote location where it is more difficult to organize a short-term test. Given the large influx of MENA, we continue to seek solutions with all partners to be able to organize even more age tests. However, I would like to point out that in 2021 we already organised more than 50% more age tests than in the previous year. With regard to Mr Rigot's fourth question and Mrs Rohonyi's second, the law states that the Tutelle Service is obliged to carry out a medical test when the authorities competent for asylum, access to the territory, residence and expulsion cast doubt on the minority of a person claiming to be MENA. This method is therefore an integral part of the age determination process led by the Tutelle Service. The purpose of the medical examination is to determine whether a person is over 18 years of age and thus to be able to appoint a guardian. The medical test requested by the Tutelle Service is scientifically substantiated. The medical age test now combines an X-ray of the wrist, clavicle and teeth. That's what we call the triple test. It uses standard deviations of up to two and a half years. It therefore combines several X-rays in order to assess age as accurately as possible. These examinations are carried out simultaneously to increase the accuracy of the diagnosis and to identify possible developmental disorders. The lower limit of error is always used to determine whether a person is over or under the age of 18. This method is internationally recognized as the best method currently available. Psycho-affective tests are not able to make these distinctions because they check a person's maturity. This has also been confirmed by the College of Physicians. The method used by the Tutelle Service is considered at the international level as the best method currently available and allows the Tutelle Service to establish reliably whether or not a guardian should be appointed and, where appropriate, the termination of guardianship. In addition to this medical examination, the Tutelle Service uses all other elements at its disposal, such as documents, observation reports made by the centres and, where appropriate, interviews. The Tutelle Service is always positioned in relation to the state of science and evolution in terms of age determination. A study group led by Prof. Patrick Thiels and Dr Yannick De Tommel, recognized experts in their field, are currently analysing the practice according to the evolution of the current state of scientific knowledge, while taking into account the ethical aspects associated with the determination of age. In addition, greater attention will be paid to the standardization of medical reports and the care of young people. The European Asylum Support Office (EASO) has developed a guide incorporating the practices of the different Member States. According to this guide, the United Kingdom uses only non-medical methods based on the assessment of age based on the observation of physical appearance or behaviour. This is a very subjective interpretation. Anglo-Saxon countries are generally opposed in principle to a medico-scientific approach. They rely only on their own practice, the reliability of which has not been proven. The Tutelle Service chose not to rely on the observation of physical appearance because it is subject to arbitrary and imprecise. It was also confirmed by the European Asylum Support Office. The Tutelle Service also chose not to resort to very intrusive methods. With regard to Mrs Rohonyi's third question, the Tutelle Service did not have a sufficient number of guardians to appoint one for each MENA quickly. The reasons for this shortage are diverse, but reside mainly in the large influx of MENA. We have taken several initiatives to increase the number of guardians. At the end of August, the Tutelle Service launched a new campaign to recruit new guardian candidates. Video clips promoting guardianship were broadcast on various social networks and on the Justice website. Three virtual information sessions for guardians were organized. A total of just under 200 participants attended. Selection interviews are held from mid-October to December this year. Currently, 120 people have applied. At the end of December, the Tutelle Service will organize a basic training course for new authorised guardians. They should be operational in early 2022. With regard to your fourth question, Mrs Rohonyi, the first issue raised at the Interministerial Conference on Migration and Integration was indeed that of MENA. That's right. The Presidency of this Conference is the responsibility of the Secretary of State for Asylum and Migration. Personally, I am pleased that priority attention is given to these very vulnerable young people in this context.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u77	I thank the Minister for his reassuring response. I am relieved that the young people we were talking about at the beginning of our questioning with Mrs Rohonyi were able to be identified, taken care of and that nothing dramatic happened with regard to them. Then your answer is clear and detailed. I am pleased to note that steps have been taken to speed up the management of this essential age test, since it conditions the right to reception for one part, but also the continuation of the procedure and the accompaniment which these young people - or these false-MENA adults - will be able to benefit from. It is important to act as quickly as possible. The 22-day deadline may be acceptable, but it remains long. I hear your wish is to shorten it. I hope that you will take steps to achieve this. As far as the study group is concerned, how soon could we receive the conclusions of the study group? A report will be available and presented to Parliament in the coming months.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u78	I thank the minister for his answers. First of all, I will take advantage of my reply time to commend the efforts of the citizen platform for refugees, which allows for the reception of MENA when the authorities are failing and, in particular, when it comes to MENA, which, as you have said, are particularly vulnerable. I would also like to commend the government's efforts to speed up the time frame for achieving results and conducting an evaluation of age estimation procedures. This is fundamental because psychosocial testing is not always reliable – a person's maturity does not necessarily reflect his or her age, but rather the experience gained, particularly in relation to his or her migratory journey – and above all because this age will determine the regulation that will be applied to him or her and the protection that will or will not benefit him or her. I am thinking of the legal assistance and representation of the guardian, of access to mutual care, of the right to education or of the asylum procedure which must be adapted to the minor. It's fundamental. In fact, if this age were to be overestimated, minors deserving protection would be de facto deprived of it and, a contrario, if adults saw their age underestimated, they would end up in centres with minors with all the problems that would arise. I am pleased that consultation and reflection have been undertaken on the tests carried out to this end. In reiterating my remarks made during the general policy discussion, I would like to stress the recommendations made in 2017 by the NGO Coordination for the Rights of the Child, which aim at solutions that are less infringing on the rights of minors. I am thinking in particular of alternatives to bone tests. I therefore invite you to read them because of their real interest. Moreover, this organization could very well take place within the advisory board that has been set up for this purpose. Just as you could consult the General Delegate for the Rights of the Child, the Kinderrechtencommissaris, etc. For the rest, I appreciate your follow-up with the Secretary of State at the Interdepartmental Conference. I can only encourage you to continue your efforts in this direction.
