ParlaMint-HR_2009-10-21-0.u40622	Well, in front of the IDS Club, I'd like a 10-minute break.
ParlaMint-HR_2009-10-21-0.u40767	Thank you. Ms. Representative Milanka Opačić. Here you go.
ParlaMint-HR_2009-10-21-0.u40768	Thank you, Mr. Vice President, Mr. State's Attorney. We just heard a call from the HSS club who invited you to do some things and said that you consider this a kind of complaint against the mayor, and I am now going to tell you that on behalf of the SDP I am asking you that as soon as possible, inform this Assembly and the Croatian public as to whether the allegations that Mrs Marijana Petir has made here are correct or not. If you don't, I'll think you're involved in throwing mud at people and constantly getting dirty with open affairs. Open affairs, which are not closed by your interpretation, or by the answer that there are no illegal actions or by having illegal actions, and you press charges, is the worst thing that can happen to the state, absolutely the worst. Because there's always a climate where all thieves are unfair, and unfortunately there's too many affairs. Calm down, gentlemen, calm down. So there's a climate where you don't know what's true or what's not. And that's why I'm asking you not only in this case, but also in some others to say some things, and I'm going to do more in my debate. When you spoke here in the opening statement, then you said that one sentence about how you can only answer for what's going on in the state's attorney's office, that you can't answer for others. However, in your investigations, you are definitely dependent on some others who are also doing part of their job. And you know as long as you're not ready to go before this House to say, who are the institutions of people, individuals, groups that obstruct the investigation and who are not doing their job professionally, until you get what the people say on your back. So far we'll ask you in this House why some things haven't been done and why some affairs have been standing open for years and haven't been closed or in a way that you said there were no irregularities and illegalities, or in a way that you've filed charges. Brodosplit has been here for years on the subject in this House, there has been a lot of writing in the Croatian public. A few days ago, a story came out about Mr. Macek being one of the most exposed people in the whole Brodosplit story and the disappearance of a very large amount of money, as Mr. Macek said he was supposed to be some kind of reliable, protected witness anyway, however, that no one actually accepted it. And even the other day, journalists asked Mr. Kramark, who is currently in the position of the interior minister, and it seems to me that he was the head of the SOA then, they asked him what he knew about it. The gentleman doesn't remember first, so he remembers. But when he remembers, he doesn't remember whether it was supposed to be a protected witness or if it was supposed to be some trustee or something else. Well, to me, he's just saying that Mr. Karamarko didn't do his job when he was head of SOA, but I don't know why he was rewarded with the post of Home Secretary. I've also never seen you from the State's Attorney's Office manifest yourself about it, is this true or not? If it is true, that the man who took part in some malices wanted to say some things and wanted to help you perform on the clean what was going on in Brodosplit, and you did not accept it, that this is something you must explain to the Croatian Parliament and then to the Croatian public. What was really going on? If you can take responsibility for yourself, I don't mind. But tell me who it is that didn't want to accept Mr. Cat as a protected witness or I don't know how to say it. On the other hand, there's been a lot of talk here about the Trucks affair. In 2005, the story, in 2004, started somewhere by the president of the country. At that time, in his presidential campaign, Stipe Mesic discussed some elements of the "Kamioni" affair in the fight for the second term. At the time, Mr. Roncevic said very renegadely that it was a sad play by a presidential candidate. So for the full five years, that play was supposed to get the indictment and finally get the court and the judiciary to say what was really going on. But enough questions, why wait all these years? Now you've picked up a piece of paper here and you said in 2007, there was some paper, I suppose, some crown evidence that didn't come to the State's Attorney's Office. But I'm asking you again, Mr. Bajic. Who is this institution, person or anyone who gave the paper to someone else and didn't give it to you? You have to tell me who's responsible, otherwise you're responsible. Otherwise, you're the most responsible person, because it was you who had to process it all. If it hadn't been for the parliamentary commission, if it hadn't been for the SDP that came across the parliamentary commission and came up with certain data and documents and evidence, I'm afraid nothing would have happened, as is not happening with any other affairs. Some members of the Podravka administration were arrested today. I'm just curious, is this case going to end up like Maestro? In Maestro, as I recall, there were some people who spent a year in custody, they went out, even some sued the state for being in custody without any evidence for them. Will it happen here that people who may have been saved in prison who might have said they were others... but who organized all that, who designed it all, that they weren't actually going to answer again. And it's very interesting that all investigations stand somewhere outside the gates of the Ban Courts, no further. Is it possible that some who have been on board, who are the most responsible for the business of the company, cannot bear any responsibility for what has happened in these companies? Why are they sitting in some kind of supervisory bodies, control bodies if they're not able to control what's going on. And then it can be read in the paper that they even stand a good part behind everything. You must have the strength to cross the threshold of the Ban Courts. So if the ruling team takes you down, come here to Parliament, we choose you, and we'll back you up. We can't fight against what's been eating our country away for years. For years, unpunished crime and corruption have been destroying our social tissue. And then we're surprised that we have people who have lost every scale of value. Of course. So today in Croatia it is no longer desirable to be honest and work, to be valuable. It's desirable to be a thief, it's desirable to manage, it's desirable in some way to come up with a huge amount of money, and in this way you get a little bit out of your left, a little bit out of your right pocket, and give it to people, and so you solve their problems, and then of course you're heroes. It's gotta start being tried for. It's not like we've been waiting five years for something to fall apart and get some kind of indictment, it's a lot, a lot sooner. And that's something you have to do. And in the end, I'd like to say. You know, in your 2008 report, you had a part where you boasted about working with citizens. There's no such thing in this report. I'm wondering if you removed that part of the report just because you're aware that your cooperation with the citizens is very bad. The fight against corruption and crime has no cooperation with citizens, and unfortunately most people who came either to the BIAK or to the State's Attorney's Office have brought certain data, unfortunately, ended up either on the street with a cancellation in their pocket or ended up with a thong on their heads. This is also a key problem of functioning of both USKOK and DORH, and you need to see who in your ranks is dealing with information to those against whom citizens have brought certain evidence. So today we have a situation where people come to us politicians and say look, I have some papers but I can't take them either to the State's Attorney's Office or to the BOLO because I have kids, I have to feed them. If I go there, I get fired, or I get kicked in the back. Until you solve the situation so that people who come to the State's Attorney's office, who bring you certain documents and stay hidden, protected so far you won't be able to get any more information because simply people are in fear, people are afraid, and they all get their heads down and let things go right next to them. You can hardly win a battle against crime and corruption yourself. So, without the support of the citizens, you can hardly succeed in all this. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40769	Thank you. Ms. Representative Ingrid Antičević-Marinović. Here you go.
ParlaMint-HR_2009-10-21-0.u40770	Mr. Vice President, Mr. Attorney General, colleagues and colleagues. Ms. Milanka Opačić finished her debate with these signitative words that people are scared and afraid, and that's true, and that's true, and it suits the ruling because then there's a feeling of apathy, and there's a feeling that nothing is possible to change, and that's what it will be, that's what it wants. We need to change many things, first and foremost those that we need in politics to be together and then in second place create rivalry and competition for our policies. But around these things, there has to be one unambiguousness. But as our citizen thinks first, that's why I want to say this in the introduction, which points to irregularities in his company, in his environment whether it's a state-owned company, about administration, in his workplace that points to serious crime, and when he dares to talk about these doubts publicly, first of all, to speak publicly, and not only to file a criminal report, which then he doesn't know the public that he's filed, but publicly speaking, he'll get retaliated by those same state bodies, the tax administration, the financial police and assault. Well, we're also witnesses here when someone and the minister, when someone points or asks an awkward question, they don't get an answer to that question, they get directions, you know what you are, they're these, these are them. Such questions should be resolved without this question if someone has done something and is concerned. But he starts to threaten himself, so shut up, and we won't touch you for anything. So who's acting this way please nice? Well, that's the main feature of the mob. The Mafia acts like this, she leaves you alone when you leave her alone. And then it's a message to other state bodies as well as how to behave. Is this the atmosphere in which independent justice and the State's Attorney's Office are born and grown as part of an independent government? The policy is responsible for how the State's Attorney's Office works, how the judiciary does, and how much responsibility should be taken over first. Lately, we've had a terrible climate as far as that goes, since 2004, when the famous one who rides on a little wind and leaves, issued warrants and boasted about it. What message did he send? The applicability is in place. There was a lot of wind, and it better be. And you have these kind of jumps and jumps that then you want to silence the critics of the government. It's our criminal behavior, that's how a mob of colleagues and colleagues behaves. It's mob behavior. ... There you go, that's right. [[You can't hear the intruder.]] So, I keep my mouth shut, but if I answer you, it's not responding to the subject of the debate, it's responding to disqualifications. That's not good. That means we're not all in the same car to help solve things. And why and why everyone must know that. When we look at it, I'm not going to talk about concrete examples because it's a short time, so I want to use it just to look at how little the relationship compared to the previous year was in 2007 compared to this reporting period. There is no doubt that there has been a rise in reported crimes, regardless of whether they are minor, adult, type of crime, so that people are still not allowed to shut up, that however critical the public is, especially recently, against the judicial authorities, that it is the last haven and that it does not believe at all the authorities but to address the judiciary. Now, what are the capacities that I can satisfy? So, I think that we are a very unique country, a very rare country in the world that has a concise State Attorney's Office, which we still need, which deals not only with criminal persecution but also has to protect state property. You can imagine that property is protected through private individuals in whom the state trusts. Then, for one submission, it would be spent, which I answer to my colleague Matusic, about 3.5 million kunas chosen. But that's a special subject. It's a very interesting topic we should talk about. So, the State's Attorney's Office is also required to protect state property. And so that she wouldn't steal and pull in any way that anyone could get here, we'd have a lot less trouble in these recession times. What's the situation with the exploitation of a mineral, ore treasure where it's clearly stolen. Here we see it from the State's Attorney's Office, from this report that this is the biggest case right in Lika-Senjska and Zadar County. That's a huge problem. You can imagine colleagues here that for your authorities it was abolished as a criminal offence. Very interesting! The crime was abolished, so-called. Criminal mini reform '97. A year. We didn't have a criminal act of illegal exploitation, or theft of the mine treasure. And it used to be exploited in any way anyone could think of it. As far as the forest area and maritime goods are concerned, here are also these displays so that it does not take much time for other speakers or to save them time for other things I am talking about this very problem of protecting state property. We heard here that next year, all state property will finally be entered, and that's true, because you just can't protect it if you don't have it in first of all. The list started right during the coalition government, because until then, it was not even known what it was or what it was owned by the Republic of Croatia. In this, the total amount of crime this year, and also in this report, one disastrous fact is that drug abuse, and that is the easiest part of drug possession, includes almost 80% of drug abuses. That's what you see from the reported persons, the same punishments, the accused and the convicted. Every year it all grows. What does that mean? That we are absolutely powerless and that things are completely wrongly placed in curbing the most serious form of organized crime, which is exactly drug trafficking, drug growers, or chasing drug dealers and drug mobs. They're prominent citizens, they're donors, they're being targeted by all kinds of charity dinners and dinners. And then who is this government protecting? Why he sets up such a criminal code that just the victims are particularly dangerous criminals. The state police, the State's Attorney's Office, courts are exhausted in the processing of these persons because such a good part of things have been set up. The prisons are full of these people who went there for education and training not because of these people that we have inadequate prison staff. In fact, it is simply impossible to survive on such abnormal occasions, or troubles in a particular square, let alone do any meaningful education. Why am I even saying this? Because then we remain in the Penal Code, which has over 350 articles, and 750 incriminations with easier and more serious criminal forms. How long does the State's Attorney's office, police and courts of time stay available to take care of everything the predecessors have spoken of and what makes everyone unhappy, to deal with economic crime with the most difficult forms. Very, very small number of objects. I'm not going to talk about subjective responsibilities and guilt now, but they're completely wrongly placed, but not by accident. And as well as anyone who can do all that, allow another sentence of whatever, such as Zadar's 3,000-year-old town, and where you're buried, there's a fellow Roshin, a little bit or ten-inch you'll find some antiques. So in this Croatia as little as possible and whatever you bury, you will encounter terrible crime.
ParlaMint-HR_2009-10-21-0.u40771	Thank you. Two replicas. The first is Mr. Representative Boro Grubisic. Here you go.
ParlaMint-HR_2009-10-21-0.u40772	Thank you, Mr. Vice President. My colleagues, Ingrid, you said that fear and infidelity or how you said apathy got dragged into the citizens of the Republic of Croatia in case you reported crime, corruption clearly because of the possibility of quitting, because of sending inspection services, because of possible and possible attacks on the physical integrity of these persons. You see today at 9 p.m. he was invited to a informative interview of the Council of Brod-Posavina County of Dubravko Kujundzic, and we believe that this is a way of intimidation which is clear and loud to the Croatian public in all, so to all the media that broadcast and in the first public television journal, there were attempts to recruit and buy mandates. Instead of our State Attorney's Office, police are investigating those who may have bought these mandates, or who have received money for their transition from the party to the right, or in the county assembly, so by bringing power to HDZ, they are investigating the man and bringing him in for an informed conversation. The man who was in the police building for the first time was never in his life in the police department, and I think it's an act of intimidation as another instrument used to prevent this kind of thing.
ParlaMint-HR_2009-10-21-0.u40773	And Mr. Representative Vlatko Podnar, replica.
ParlaMint-HR_2009-10-21-0.u40774	Thank you very much. Here's a colleague of Ingrid's, you said the State's Attorney's Office must protect, that is, the protection of state property. Also under the Law on the Return of Nationalised Assets during the South-Communist Government and the Law of '96. The State Attorney's Office shall represent the Republic of Croatia in the return of that nationalised asset. And to be clear, no one is against the return of that property, but the difference is in value between the assets taken away and the present value of that property. And according to that same law, the difference between the present value and the present value of that asset must be charged. So whoever gets the property back must make the difference. In particular, when it comes to forests and forest land, it is about 150,000 hectares, and according to forest estimates, the difference of that value is about 20,000 kuna per hectare, and that is about 3 billion kuna per hectare. So we took back someone's property that's far more valuable today than it was taken away and the state budget itself loses about 3 billion kuna on those transactions. A colleague said they had a little pig taken from them, and now we're smashing a 120-pound pig, but no one has to pay for the food. Yeah?
ParlaMint-HR_2009-10-21-0.u40775	Thank you. Mr. Representative Jerko Roshin. Here you go.
ParlaMint-HR_2009-10-21-0.u40776	So, I welcome again Mr. Chairman, colleagues and colleagues of Mr. State's Attorney. I have otherwise prepared my debate on this subject, of course not as a professional, but as a citizen and representative of the citizens of the Parliament. But the course of the debate, however, turned me away from it a little differently. So here's why and why I'm going to base my speech on it. First, it seems to me that by discussing the State Attorney's report, or the State's Attorney's Office's work over the past year, it is more dedicated to the State's attorney than to the subject of the report itself and what the report says. Since the state's attorney said in his opening statement that the report was made by certain rules of the game, by law and that in that sense the report cannot be different from what it is, and the statistics that are inside it are simply indicators of what happened during that period of one year. The comments were made in the conclusions. Of course we're here to comment on both the report and what the report is talking about. However, something that is extremely important at this time of accession, that is, to try to get Croatia to join European integration as soon as possible, is the question of how Europe looks at us, and in all of this together, can also testify in the various talks that have been, the greatest praise of all the meetings is being given to the State's attorney for the work that it is. And now if the State's Attorney's Office is one of Croatia's institutions and if it has one of its own dignitaries that is recognised outside and thus recognised, it's unusual, but I think it's also harmful that something that others recognize about the quality we here simply cancel out by thinking that there's no value in it. My colleague Pupovac said that this report does not differ significantly from the last one, and it may be that it is, I have not made a parable of one and the other reports, but I see some of these figures that are shown more or less, the same number of delicacies, crimes, convictions, and even the structures of crimes are more or less repeated as some legality that lasts and nothing in particular is affected. It is unusual for me if Europe acknowledges certain results and commends that we have read in our newspaper, if we believe what our newspaper says, why the SDP is against both the report and all of this result, it is not clear to me that the political impact on the State's Attorney's office, i.e. the symmetry between the authorities, in particular, and what bothers the opposition of what counterpart Ingrid Anticevic has said and answers the authorities that this is how the State's Attorney's Office is under some control or led by the authorities. It is strange if we are against it, and it seems to me that we have sworn on the trio of the judicial authority, the executive authorities and the legislative authorities, to insist on it and that in this context someone from the SDP, not to appoint, is talking about how perhaps a state attorney should just appoint a minister of justice rather than choose a parliament, which is then a direct implication that the state's attorney would be under the control of the government, regardless of what authority he was at that moment. The criminal charges that are being reported, i.e. the incurring of so many criminal acts, any media, any such speeches as in the Assembly, there may indeed be a justification that such things exist, but there is one document that would be necessary, in addition to the responsibilities of the workplace to sign and write a criminal application and to answer morally and materially for that criminal application and to be included in the search for a judicial system as well as possible. Because the insinuations are one thing, the knowledge is another, the stairs are higher, but I've memorized from Mr. Attorney General's opening statement that everything you think you know you need and prove that in court would be relevant. So without valid evidence, it seems like it's all wrong together. One more thing from one general perception. It's not true that my colleague Opacic said there was fear of people. However, I would say that there is one great trust, perhaps only in the State's Attorney's Office and the BIA as a body that is capable of dealing with something, regardless of the result that is being reached and that for this reason the State's Attorney's Office and the BOOK are overloaded by various applications of which many are anonymous, so they do not bear the responsibility of those who report them, that this cannot all come together. For many things in Croatian society, in legislation, in my life I find, for negative things I find certain not justification but understanding, no matter how much it really needs to be understood and justified. But the Croatian state is still a teen age of states, it is a state that is not even 18 years old since the date of its recognition and simply, I remember one conversation before, there is not enough number of people to process all that garbage that has been collected for decades as facts, but also how one mental attitude of all of us together could in some way process and possibly process. In fact, there is a sophism about laws, and actually behind that is the ethics of all of us, and society as a whole, one sophiism about laws that says laws don't really need, because those who respect them don't apply, and those who don't respect it are already outside the law. However, laws are being passed in order to know what they are and what is not acceptable in one environment. Much of what the State's Attorney's office is saying in its report is worth the debate, regardless of how anyone approaches his position, from the point of view of his own interest, or from the point of view of the groups of people he represents. But when it turns into a political hypocrisy, then it starts to lose its value and... It's as if only political points are achieved through that thing and then the main thought is lost. [[The speaker doesn't understand.]] Of course, media are happy to write about affairs, media are happy to encourage knowledge of affairs, they want to clear up some cases when they are already in the knowledge that they know them, as a positive side of the media it is certainly acceptable and should be supported, but in a certain way it creates a sense of the necessary blood, that there is as much blood as possible and that even before the trial is over that we know how we think it should end, so if it doesn't end up like that then we think something's depraved. I would like to commend once co-operation with the State Attorney's Office on Article 55 exactly what my colleague Ingrid Anticevic was saying, it is a matter of mine wealth that is unlawfully used and thus of illegal construction. I would also be apostrophe of the need for further work on the problem of maritime goods, the Law on the Sea Good and the concept of maritime goods as a general property to clarify this because in many cases it is not easily solved and the possible development is hampered. Also in the books of all... The Republic of Croatia, the ratio of ownership of state and municipalities because there are major disputes whether it belongs to the state or belongs to the municipality and treatment, in my opinion, anonymous reports that cause a lot of efforts and engagements of people, and in fact, behind this, often hide quite malicious and malicious initiatives. [[The speaker doesn't understand.]] Thank you very much.
ParlaMint-HR_2009-10-21-0.u40777	Thank you. Mr. Attorney Gordan Maras. Here you go.
ParlaMint-HR_2009-10-21-0.u40778	Thank you very much. Mr. Vice President, colleagues and fellow MPs, State Attorney. Here I would like to begin by commending the graphics of this report. Really the book looks nice, the graphs are beautiful, the statistics are beautiful, the colors are carefully selected, the question is, what with this report, what about the content like the ones that are going to read it, we're considering getting? Is that saying the State's Attorney's office is doing a good job? That the state's attorney and his team are doing what we all want to do? To live in an orderly, legal state and to expect him, independently and his team, to act against all perpetrators of criminal acts. Whether all works are sanctioned in Croatia today and whether unfortunately it suggests this report which is a lot of statistics on me would say so about acts that are and even judgments are seen 72% of judgments with conditional judgments, these are minor acts. Unfortunately, there are no large fish in this report. When we talk about the fact that in Croatia sometimes non-transparent and illegal behavior goes unpunished, we can analyse the revision of conversion and privatisation. Does there have to be one piece that's sanctioned? Has a criminal prosecution been launched against anyone based on a State Audit report that found that a large part of the conversion and privatisation of social enterprises in Croatia has been carried out in an illegal and non-transparent manner, has any work been sanctioned? So in Croatia illegal action is paid off, non-transparently. In some parts, you won't be punished, and that's what we want to talk about and say that we're not satisfied with that part of how the law firm does his job. I don't want to talk about, every year, the State Audit reports, or I'm going to point out that every year the State Audit gives numerous public procurement gaps, in the ministries, do we have any work that's sanctioned on public procurement? Someone's going to say the violations are these, they're not works that are significant. Up until a year ago, the violations went out of date if you didn't start them within a year, but let's see if anyone's been punished in the ministries, in public enterprises for breaking the Public Procurement Act. Even if symbolically, let the minister, the assistant, the secretary of state complains of limitations, initiate the state's attorney's procedure, and then let that person who does the public work complains of limitations, and then let the government relieve him of what he shouldn't be called upon because he's doing business in the public interest, but there's not a single act that's been initiated at all, let alone sanctioned. How timely and effective the State's Attorney's Office has already spoken to my colleagues. It's amazing that the president of the state warned four and a half years ago about a crime that's only been opened these days. So how do ordinary citizens feel about all sorts of gaps? How do those people who have a lot of memos feel, warn about failures, crime, when they see that even the President of the Republic doesn't even succeed in five years, what does our people say, cut to the chase? The president of the state warned that there were illegalities around the truck, getting military trucks, for five years it got sour, and here it was until the mayor of all the locals left, and then something started to happen in the state's attorney's office. Yes, yes, the maester of all the locals has left and only now do some of them manage to expose themselves because apparently there was one firm paw of that maester on those items, who wouldn't let things get away with cleaning and seeing the day. Okay, so, about "Brodosplit" in 2007, do we now have to read about the newspapers of people who are suspected of crime sending each other, I'd say, I wouldn't say, I'll say if you protect me, lock me up so nobody can do anything to me. Which is why if it's the fact that a man wants to talk, which is why the State's Attorney's office hasn't already done the job, but we have to read through the media the messages he sends either to the attorney's office or to those who are also involved in crime but are somewhere on the loose. "Maestro" except for one man who's been corrupt has fallen because he's really caught up in getting money for certain information, certain jobs, the other man, the same vice president of the fund, has been sitting in jail for a few days, we're reading in the newspaper about the pastry. She dropped the charges, no charges. For a year and a few days, the vice president of the fund was sitting in jail because he was allegedly suspected of getting one roast. Now, I'm asking the question how much this man is if he was really innocent and if there was really no reason to charge that man with his life, his career was ruined. He's been marked for life. Or on the other hand, I'm asking, did someone who was more powerful than him, who was in touch with him maybe hitchhike the same thing? Today we see the arrest of the people around Podravka, so no one can convince me that the economy minister knew anything about it. That he's a person who's esculpated from any responsibility. That the HANFA was supposed to control because more than 10% of Podravka's shares were acquired in the transaction, that HANFA knew nothing about it, that the president of the HANFA administration knew nothing about it. I'm getting more and more gentlemen and I'm wondering if the State's Attorney's Office... is talking to both Minister Polancec and the president of the HANFA administration who had to check the acquisition transaction over 10% of Podravka's shares, whether the talks were done and whether those people who may have had information had previously failed to respond and in some way did not prevent the crime that was obviously at work here. As far as corruption is concerned. I am looking at the report and unfortunately the European Union and the European Commission in each report speak of Croatia making some progress, etc., but it is always this big rock of corruption standing around its neck and feeling that really in Croatia nothing is happening. And, of course, the report is talking about it, because we see that only 2% of these all corruption acts were related to the abuse of the exercise of state power. So 2% of all. So I'm guessing that's where it applies to all the hair, so all the ministries, all the state administrations, etc. Well, then, indeed, in Croatia, these problems are almost gone. 2% may not be a big ratio compared to what the state apparatus represents. But I don't think there's enough will or seriousness to do that. To make something more serious. And finally, given that here I am, I'm going to make a little joke, by chance, that during the adoption, or the debate on this report on the highest state body in the Croatian Parliament, these two days have been a few arrests and that there is an impression, as here we are serious, we're going to do the job as it belongs. It accidentally coincided with this report in the Parliament. I would ask the Vice President, and here is the President of the Parliament that 4.5 times a year we have reports like this, perhaps then the agility of the State's Attorney's office will be much higher. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40779	Thank you. Mr. Representative Joseph Leco. Here you go.
ParlaMint-HR_2009-10-21-0.u40780	Thank you very much, Mr. Vice President of the Croatian Parliament. Honorable state attorney, colleagues and fellow MPs. Let's go back to the essence of things. In particular, the State's attorney, in its conclusions under point 4, claims quite correctly and clearly, the tasks of the State's attorney in criminal matters, the prosecution of the perpetrators of criminal offences, where justified by law, and the confiscation of the property benefit acquired by the perpetrators' criminal acts. And the second, or fifth and sixth conclusions that I will not read, but I will just point out, and protection of ownership of the property of the Republic of Croatia. Why did I read that? Because it's the only institution and there's no one else in the state for this social commitment. It is a single institution, hence the exclusive right and obligation of the institution to prosecute the perpetrator of criminal offences. And why is that exclusive? Because it's a very sensitive issue for society, for trust in life, for development. That is why our political struggle tonight to analyse the state's attorney's report has unfortunately become a political struggle, and not to worry about the safety of citizens, nor the safety of business activity in the Republic of Croatia. If we move the market of our interest to the safety of citizens, to the safety of business in the Republic of Croatia, then we should ask ourselves how the rule of law of Croatia works? And the rule of law begins with the State's Attorney's office. We politicians and the Croatian Parliament are in charge of passing laws and providing material resources and insisting on the climate that only under the law, as he says here, can act on everyone in the Republic of Croatia erga omnes. Now we're coming to heavy ground. We should really hear about this and know about it from the State's Attorney's Office, but also from the data, is it possible in the circumstances in which the Croatian State operates to expect the State's Attorney to take action completely autonomously, without listening to the policy it is legally required? Is the perception of citizens that such action by a state attorney has been carried out and secured? Unfortunately not. The perception of citizens is very different. I'm not saying that's why the state's attorney's office is guilty. But neither can we escape from the sight of the MPs here, nor the citizens, that the work of the state's attorney's office under the rule of the former example was something different than is happening now. Is that a coincidence? Is that a coincidence or not? Is it quite a coincidence that the Brodosplit is now being processed? The media, therefore the public, and then from the ruling structures in a certain way suggest that it is no coincidence that a review of the ship's sales procedures from Brodosplit is renewed. It creates one picture that we can't be immune to. It is a situation that requires that we also ask the state's attorney to manifest itself, whether it has something to do with, and now I'm going to say so, so correct me, I think that the rule of law over Parliament is growing stronger and stronger. And it is not by chance that the Croatian Parliament goes through everything that comes from the Government of the Republic of Croatia, and that was by hasty procedure when he was prime minister who left the Executive Authority, the Government, and that he didn't even account for his mandate, nor did he explain why he left. When we have all this in mind, then we must be in the interest of citizens suspicious and question the state's attorney whether he is in a position to achieve the law of established tasks of the State's attorney in order to ensure the safety of citizens and the safety of economic operators to commit without fear of criminal acts, criminal offences or pressure and thus increase the ability of the Croatian economy, Croatian economy, Croatian society as a whole to join the European Union. Is that how we can access this report? It's 570 state lawyers and 85 processed applications in one year. That's true. Am I right? No, I don't. Eighty-five thousand is what I wrote in the opening statement. ... 200 grand. [[You can't hear the intruder.]] A team more, a team better, a team harder. So we cannot talk about some insignificant crime in the Republic of Croatia if we have 200,000 applications. So we here have to wonder what's going on in society, whether we as legislators are lawmakers or at least lawmakers, maybe it's more right to say, co-responsible to that state. If this is added and we have to see it because it is our task to say that no one has ever said that the Sunny Hvar has been sold without any law under the Privatisation Act and there has never been a Law on Public Private Partnership. He was sold in a way that the buyer invests in what he buys. So who wouldn't buy for God's sake. But he can't stay in a society that's been organised that has no answer to that from the institutions that are in charge. So, we don't have to be angry with the state's attorney, we're just trying to create conditions and the conditions are to say, we're asking that we be completely independent of politics, executive power. And if others aren't trained to come out here and it's said by the gentlemen MPs and MPs, I have such a situation, so I can't answer the task you've given me with the law and other acts. We cannot be satisfied here with the real state of law and the rule of law. In this respect, no responsibility is required and it is not necessary to take into account the refusal to accept this report by the SDP club. He simply requires to respond to very important extreme phenomena as I have mentioned now by many of my colleagues. Maybe it's not the state's attorney or the state's attorney's office that's responsible, but it's got to show up. The first in the chain of good rule of law, the exercise of law is a lawyer, not political authorities and executive authority. They can create laws, but they can't run a political and political investigation no matter where they work, and that's what this is about. That's what it's all about, whether the state's attorney has the power and whether he's been distracted from processing, no matter what his name is and what function he's performed. That's all it's about. If there is no power then there is no full operation of the rule of law and that is to be answered. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40781	Thank you. Mr. Representative Slavko Linic. Here you go.
