ParlaMint-HR_2009-06-30-0.u34361	To what point of the agenda could we do tonight?
ParlaMint-HR_2009-06-30-0.u34532	Thank you very much. The next registered representative is Ivo Grbic. Here you go.
ParlaMint-HR_2009-06-30-0.u34533	Dear Vice-President of the Croatian Parliament, respected ministers with associates, respected colleagues and fellow MPs. The Administration of the Prison System is set up as a single administrative organisation within the Ministry of Justice. The central office includes all penitentiary facilities, prisons and the Centre for the Education of Prison Services. According to the report submitted, 4000 734 prisoners continued to increase in the prison population during 2008, with an increase of 444 prisoners, i.e. an increase of 10.3%, respectively, in the prison system on 31 December 2008. The accommodation facilities of prisons and penitentiary in 2008 increased by 84 seats, with 3 thousand 351 seats, making the overcrowding of the prison system a major problem and is 136%. This problem is particularly expressed in closed-type penitentiaries and all prisons of 151.9%. The overcrowding of prison contributes to a high rate of detainees who at the end of 2008 were a thousand 354 and 28.6% of the total prison population, respectively. This large share of detainees in the total prison population is significantly higher than most of the European Community's transition countries. Despite the overcrowding of the prison system, however, the very demanding and risky structure of the prison population and the continuing lack of prison officials, both in the insurance business and in the treatment business and in the healthcare of prisoners, in 2008, satisfactory safety indicators were recorded so that there were fewer suicides, attempts at suicide, self-harming prisoners, attacks on officials, fugitives and attempted escape. It is interesting to note that during 2008, a significant number of 647 prisoners refused to take food prepared in prison and penitentiary compared to 2007 when 256 prisoners refused prison food. Increased rejection of prison food certainly results in dissatisfaction with accommodation conditions due to overcrowding. Furthermore, in the annual report, specific references were made to the report of the Ombudsman and the Ombudsman for children on the situation in the prison system, with a detailed representation of the rights of the prisoners and the achievement of their laundry protection, which specifically analysed the complaints and representations of the prisoners, and claims for compensation for damages. The report shall also show in particular the administrative and inspection controls as well as the quotas carried out by the administrator, the situation established and the measures taken. As a whole, the report shows that the most significant problems arise from the overcrowding of the penitentiary and prison and that, in such a situation, it is necessary to assess the permanent supervision of the Central Office of the Department of Prison System of the Ministry of Justice over the consistent application of the law and other legal provisions and to take measures to remove irregularities, the education of officials in relation to the treatment of a special group of perpetrators of criminal offences with elements of violence, crimes against sexual freedom and leniency, abuse of drug abuse and the like, and also with these groups of prisoners, special programmes are carried out at their rehabilitation and socialisation. More penitentiary and prisons improve the conditions of accommodation of prisoners and are working on building new accommodation facilities in prison in Zagreb, prison in Varazdin, penitentiary in Glina as well as building a new penitentiary near Sibenik. Food is produced for the own needs of the prison system, which significantly reduces budget costs and enables prisoners to work. Inmates who are persons with disabilities who provide suitable accommodation should be taken into account, in particular, the prominent setting-up of a viral hepatitis and HIV counselling facility involving 4000 800 prisoners who have voluntarily joined the test as well as the taking of educational, prevention and treatment measures for sick prisoners. In order to define the necessary measures to improve the situation in the prison system and bring it into line with European standards, the Government of the Republic of Croatia adopted, at its meeting on 19 June 2009, an Action Plan for the improvement of the prison system of the Republic of Croatia from 2009 to 2014, which includes an increase in the accommodation conditions of prisoners, new employment, modernisation and acquisition of necessary equipment and the reorganisation of the prison system administration in order to establish a sampling system, all of which is tax-based with the provision of the amount of the necessary funds per year and within the deadlines set. In my view, I support the report on the state and work of the penitentiary, prison and educational institutions for 2008 as well as the Action Plan for the improvement of the prison system of the Republic of Croatia from 2009 to 2014. Thank you.
ParlaMint-HR_2009-06-30-0.u34534	Thank you very much. I would like to inform you that at 17 hours and 40 minutes, it is time for the individual debate to be called into question, so we still have two discussions to hear. The first of those two last ones is the respected representative of Brankica Crljenko.
ParlaMint-HR_2009-06-30-0.u34535	Thank you. Mr. Vice President, Mr. Minister with associates, colleagues and colleagues. In my debate on this report on the state and operation of the penitentiary, prison and educational institutions for 2008 I will address the problem of protecting the rights of children whose parents are in prison or exercising the rights of the child to meet and associate with the parents who are serving the prison sentence. A child whose parents are siblings, grandparents, or other close ones in prison experience the world and themselves in a special way. It faces unpleasant emotions, different environmental reactions and only shows different reactions. The separation from parents for the maintenance of prison sentences is a circumstance that should involve more bodies, institutions and systems in order to protect the child. European data suggests that 7% of school children have parents who have been or have been in prison. 33% of minors and 61% of women in prison are parents and women in prison account for 4% of the total prison population, more specifically in Croatia 4.7%. The needs of children whose parents are in prison will be analysed on the basis of European experiences and evaluations of existing standards for the protection of these groups of children in Croatia. In practice, unfortunately, we often encounter reactions and minimalize the importance of contact between children and parents in prison. There are opinions that this is an irrelevant topic in relation to the problems of over-recipients, lack of employees, under-investment in prisons or that it is not a good prison space to make it attractive to a child because it will begin to be considered a place of attraction. But the children of the prisoners are an unrecognizable group of children in society often discriminated over the status of their parents and are directly punished for other people’s misdemeanors, separated from loved ones or in fear of parents. The indicator that the children of the prisoners and their needs are not recognized is the fact that in the Penal Code, the child is not mentioned in an article that defines family members but is referred to as relatives in a flat line. The sentence refers to the reasons for the postponement of the sentence. The reasons for the rearing are a child under a year old who is cared for by the convict. In an article on the protection of motherhood against pregnancy, the child was born during the maintenance of the prison sentence. Finally, about visits to the prisoner and the possibility of underage children visiting their parents and the possibility and equipment of a place to visit children. We can talk about kids in prison and kids out of prison. Children in prison are children who were born during their mother’s detention period and under the Law on the execution of prison sentences can be with their mothers up to three years of age. The only delivery department in Pozega Penitentiary has been assessed by the Office of the Child's Attorney General as comfortable and suitable for the birth of children, but in a social and developmental sense, too, for which mothers are responsible and who do not use the possibility of leaving the child in a nearby kindergarten as they are allowed. There are many more children outside of prison who are affected in different ways by the stay of one or both parents in prison. There's no record of an exact number of children whose parents are in prison. About 4000 621 prisoners are currently in Croatian prisons and penitentiary facilities. According to unofficial data, there are now about 6 thousand and 7 children separated from parents in prison or detention but prison system experts estimate that there are fewer children. No children are listed here whose brothers or sisters are in educational institutions or juvenile prisons. One way is also to structure visits so that they are focused on the child and the relationship of parents and children through more humanised spatial conditions and fostering joint activities, not conversations between adults. Professional support before, during and after the visit also contributes to maintaining relations. Some countries are focused on foster care being made near prisons. There are other children’s services, support centres, place of play inside the prison, or there are co-ordinators for several prisons that care primarily about the contacts of children and parents in prison. The involvement of volunteers and supervisors experts is also one option. The most important thing is the joint interaction between both the police and the judicial system, courts, institutions of social care, NGOs with programmes of psychosocial treatment of prisoners and support of children, schools and kindergartens and volunteers who help children prisoners. Since we cannot ignore the experience and perception of prisoners and others, it is necessary to explain the extent of contact with children’s rights and the extent to which it is related to convenience. Namely, the rules on the benefits of prisoners define the convenience as a set of incentive measures aimed at maintaining and promoting relations with the family, and among other things consisting of more frequent contact with the outside world. We are sure that, with clear explanations and transparent practice, not just calling for norms, misunderstandings and misunderstandings would be removed. On the other hand, prison conditions, especially in the case of longer prison sentences, should be treated as changed circumstances so that the scope and manner of meeting and association should be adapted to new circumstances in the life of the family in order to be in the interest of the child. In fact, there is often no professional support for families whose members are in prison, especially those with whom the child lives. We are sure that implementing developed programs, strengthening the parental competence of prisoners would create in many situations conditions for supporting the relationship between children and parents in prison and affect future family life and relationships. With regard to prisoners who have children, especially those accused of domestic violence, I consider it important for the wider context of child development, not just for contact with parents, to conduct a psychosocial treatment that is an important part of the prevention of violence, and often a prerequisite for maintaining the relationship between children and parents. It is therefore necessary to support all training initiatives of experts for this type of treatment, as well as the activity of existing trained about 640 police experts, social care, state attorneys, courts, health care, NGOs, and the planning of additional education according to the Society of Psychological Assistance data. When we talk about the state of human rights in the prison system of the Republic of Croatia, it is constantly pointing to the need to take additional efforts to raise human rights standards in the prison system. And every day we hope to improve the rights of prisoners, aware that a child cannot escape the reality of his growing up and that he should be referred to the responsibility of adults for his decisions and behavior. At the same time, he should know that his parents did not stop being parents because of their conduct and conflict with the law, nor should a child be punished for being punished. It also needs the support of adults. It is necessary to always manage the principle of child welfare and to further improve the spatial conditions for contact of children and parents so that prison is not a scary place for a child and that it is possible for a parent, despite being a prisoner and breaking the law, to achieve his parental role. Thank you.
ParlaMint-HR_2009-06-30-0.u34536	Thank you very much. I guess I went a little bit too far when I announced that we'd hear two debates yet, because the last one reported for debate is not in the hall. Therefore, individual debates are over. And now, on behalf of the promoter, the final word will be taken by Justice Minister Dr Ivan Simonovic. Here you go.
ParlaMint-HR_2009-06-30-0.u34537	Thank you, Mr. Chairman. I thank you, distinguished MPs and advocates for a very constructive and useful discussion. Although the formulation was often different, the content was very similar and pointed to interrelated problems. We all find that the situation in the prison system is unsatisfactory and that we need reliable measures and mechanisms to improve it. There were a whole series of useful suggestions, some of which may be embedded in the methodology of the next year's report, and some may react already now, especially when amending the Probation Act. As far as information is concerned, many representatives in their discussion have warned of the dangers of infection in prisons, HIV and hepatitis B and C. Indeed, the total number of people infected in prisons is very large and the situation is alarming. However, there is just one project that shows that we infected are already in prison and what is being done is that we actually use the stay of the infected in prison, to identify the infected in a faster and cheaper way, so they were tested and carried out in, in fact, from a medical point of view, ideal conditions of treatment and treatment where the infected are under arrest and supervision 24 hours a day. That's the kind of project that's going on right now. We wrote something about him on page 54 of the report. I can tell you that it is implemented with foreign assistance and that the Croatian budget is charged with only 1/3 of the necessary amounts with this project. It means complete testing of all who enter prisons and complete treatment and treatment of all who are infected. A whole series of further useful warnings were of particular importance to the criminal policy which should also be changed as a dam to an excessive number of prison residents. I can report that preparations for the new Penal Code where this will take into account the good and I would only mention once again that the task force working on the new Penal Code has accepted the suggestion to be fully open and transparent in its work. And I inform you that on the Justice Department's website at any time you can actually enter the current state of text which is still being prepared by the working group of the new Penal Code and at any time every citizen, and not only a parliamentary representative can direct some of his suggestions, criticisms and ideas. There was talk of detention. Indeed, we have 28% of the prison population as prisoners. It is as was said it is above the average of European states. That percentage fell from last year by two percent, but it is still large and should take measures to reduce it. I can say that in this sense it was discussed that it was a three-way meeting between the Supreme Court president, the state's attorney and me as justice minister. The special protection of the children of the prisoners is a completely legitimate and justified subject. Creating a sampling system will contribute significantly to solving this problem more successfully. In fact, the sampling system pays special attention not only to the person who is in the support of the punishment but also to its social environment. In this regard, sensitivity to children’s problems is of particular importance. Finally as a conclusion. Clearly, there are no changes without political will and without financial resources. I therefore again call on respected MPs to support the action plan with the authority of their vote, which is a higher degree of consent, this will be a stronger commitment both to these and to each other's governments in implementing the action plan. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34538	Thank you, Mr. Minister. I hereby conclude the debate on the 2008 report on the state and operation of penitentiary offices, prisons and educational institutions. We will vote on this report when the conditions are met.
ParlaMint-HR_2009-06-30-0.u34539	Second, Report on the State and Labour of Penalties, Prisons and Educational Institutions for 2008, applicant: Government of the Republic of Croatia. The debate is closed. In accordance with the proposal of the Assembly Working Body, I am voting on the following conclusion: "1. Report on the state and operation of the penitentiary, prison and educational institutions for 2008 is hereby adopted; 2. The Action Plan for the improvement of the prison system of the Republic of Croatia from 2009 to 2014 is hereby adopted." Please, let's get involved and vote. The result? I also find that the report has been accepted and these conclusions with 77 votes in favour, no abstentions and 25 against.
ParlaMint-HR_2009-06-30-0.u34540	Now we're going to the last debate today. In accordance with Article 223(3), I will propose a joint debate on the third, fourth and fifth points of this consolidated agenda. So we're going to discuss -- the proposal for a law on probation, first reading, P.Z.E. No. 332 - Final draft law amending and supplementing the law on the execution of prison sentences, emergency procedure, first and second reading, P.Z.E. No. 372 - Proposal for a law on the enforcement of sanctions imposed on minors for criminal offences and offences, first reading, P.Z.E. No. 367 The draft law is proposed by the Government of the Republic of Croatia. The proposal for a law on probation shall apply to the proposal for a law on the enforcement of sanctions imposed on minors for criminal offences and infringements to the provisions of the Rules of Procedure relating to the first reading of the law and to the Final Proposal for a Law on Amendments and Supplements to the Law on the execution of a prison sentence shall be subject to an emergency procedure in accordance with Article 161. Rules of Procedure. This urgent process combines the first and second readings of this final bill and amendments to it can be submitted until the end of today's debate. Discussions on these proposals and this final proposal were carried out by the Committee on Law, the Committee on Justice, the Committee on European Integration, the Committee on Human Rights and the Rights of National Minorities and the Committee on Family, Youth and Sports. You received reports from those committees at the session. Does the proposaler's representative want to further explain the proposal, these proposals? Here, Mr. Justice Minister Dr. Ivan Shimonović. Here you go.
ParlaMint-HR_2009-06-30-0.u34541	I thank the chairman. I'll be brief. A legal package containing three laws: probation, execution of prison sentences and enforcement of sanctions imposed on minors is an integral part of the reform package I spoke of. The law on probation is certainly the most important. The trial is a regime of supervised freedom during which professional procedures are conducted aimed at reducing the risk of the perpetrator committing a crime again. In a practical sense, the introduction of testing means fewer people in prisons and thus better conditions in existing capacities. But a successful sampling system also means a better assessment of security risks, which means that it is even less wrong in who is being released and when it is being released on supervised freedom. The sampling system will carry out an expert assessment of the perpetrators of a criminal offence with an assessment of the risk to be used by the court when deciding whether detention is necessary and when deciding on the penalty. The executing judge shall decide to suspend and suspend the sentence of the prison system in the time of approval of the convenience and exits, and the Committee for Procedural Dismission and the warden of the prison on the occasion of a decision on the parole of the prisoners. The further important task of testing is to monitor the execution of the measure of house arrest and of the dismissed perpetrator. But the trial doesn't come down exclusively to supervised freedom. It also includes the implementation of specific professional procedures and programmes during supervised freedom, which reduces the risk of the perpetrator repeating the work. Organized to provide assistance and support after release from prison for the purpose of easier inclusion in society. And finally intervening in the settlement and repair of damage done by a criminal offence, and organising assistance and support for the victim of a crime and her family. The adoption of the Prosecution Act introduces a system that is more humane and socially cheaper. It's more humane because it protects society's safety with fewer people in prisons. It's cheaper socially because international experience shows that the introduction of a sampling system leads to a more rare recurrence of criminal acts. Finally, on a longer period after the purchase of the necessary equipment and education, the probation system is also cheaper financially. One day of supervised freedom is usually three times cheaper than one day spent in prison. We move to another law, amendments and additions to the Penal Code. They are proposed to adapt the maintenance of prison sentences to the establishment of a probation system to modernise and adapt to the standards of the European Union and to establish more objective and transparent criteria for the decision-making of competent authorities in the exercise of penalties. The most important changes include prescribing a minimum sustained prison sentence as a minimum criterion for approving the use of the benefits of exiting closed conditions, which is in fact a alignment with the previous legal understandings of the Supreme Court of the Republic of Croatia. Strengthening the legal protection of prisoners and the role of judges in the protection of their rights, the professional criteria for deciding on the penitentiary, i.e. the prison in which the prisoner will be referred after processing for further maintenance of the sentence, on the transfer to minor conditions of enforcement, and on conditional dismissal. Notifying the victim of a criminal offence about the release of the perpetrator, which reduces risks, particularly highlighted in domestic violence, and finally prescribing the taking of biological material of prisoners for DNA analysis and setting up a database of perpetrators of criminal offences. Finally, the third law, the Law on the enforcement of sanctions imposed on minors for criminal offences and offences, is proposed because Croatia has so far had no law to regulate the subject matter of the enforcement of juvenile sanctions. The basic specificities of this law are greater respect for the specificities and protection of the juvenile population based on contemporary penological concepts. This law guarantees, among other minors, the confidentiality of identity data, including data on the fact that the maintenance of the sentence can only be made available to the authorities responsible for detecting and persecuting the perpetrators of criminal offences. That the process of carrying out juvenile sanctions and actions should not endanger human dignity especially in view of the need to act on minors. In order to implement sanctions and measures in an individualised manner adapted to the risks and needs of minors, assistance and support after discharge, so after the end of the sentence, that is to say, sanctions to ensure their successful integration into the social community, and when it comes to juvenile prisons, a longer stay in the air and a more frequent visit to family members than the minors. Dear MPs and MPs, this is where the prison system's reform patent is rounded up. In such a short time, I could only indicate his basics. For all further explanations, my associates and I are at your disposal.
ParlaMint-HR_2009-06-30-0.u34542	Thank you very much, Mr. Minister. Do the committee's reporters want to take a word for it? No, I don't. Then I'm opening a debate on these three legal proposals. We're going to a club debate. Clubs will have 20 minutes to discuss, with that if any of the clubs so require that flight changes are possible, that is, within those 20 minutes it is possible for 2 or more club representatives to take a word. We are starting with the SDP club, the respected representative Ingrid Anticevic-Marinovic.
ParlaMint-HR_2009-06-30-0.u34543	Thank you, Mr. Vice President, Your Honor, Mr. Minister, with his associates, colleagues and colleagues. The SDP Club supports the draft law on probation and the Proposal for a Law on Amendments and Supplements to the Penal Code. However, speaking of the proposal for a law on probation, I will point out again that a good law also requires great resources. Here one projection is seen in the assessment of the resources needed, however, I note that in 2009 only 4 million were provided for this purpose, it took 10 million and the rebalancing took away 2 million kuna. Therefore, here, while we were expecting a Croatian term, we must be proud of our Croatian legal history, so it is a shame that the promoter did not find an adequate expression for this notion of international probation. The public doesn't know what a rehearsal is, or thinks it's some new wetlands that I don't know what's gonna make it easier. It is only in this law that all that exists in our legal system is united, and these are conditional judgments with protective supervision and work for the common good. There is this work for the general good therefore on the loose, conditional discharge, supervision of the enforcement of precautions and implementation of the last obligations and measures with regard to house arrest and the conditional release itself. So these are all institutes that state the court based on the Penal Code. Now these measures are united, and their execution has united. How are we gonna do that? Why hasn't the court done that before? Why was the court to a greater extent not executing, giving a conditional sentence with protective supervision and working for the common good at large? Because the Government has not provided implementing regulations and means where and how will this be implemented? So since when do we have house arrest? We introduced this with the latest amendments in 2003 to the Law on Criminal Procedure and since then it has not been applied at all. I don't know how many courts, do they even apply it. Six years old, some institutes are old, some are always over. And they are not carried out, the courts would gladly say, they know the situation in the criminal system and these convicts and deserve such measures because they are more adequate to do their crime than to put them in prison. But no conditions were secured. Now it's done more or less well on paper, even though we have certain remarks. But no funds are secured and this will again remain a dead letter on paper. And then it's like something's being done and it's not working. We have verbal improvements, and we don't accept or apply what the law says. Here in the Penal Code, the basic condition does not apply, what must be provided by all international conventions to a prisoner of a particular cubic space that a prisoner must have in prison. This is not guaranteed, and further measures of some promotion are foreseen. So, the prison system everywhere needs funds, and here they are more than necessary. However, here is also something in terms of concrete remarks. We see here that probational jobs are of special interest to the Republic of Croatia. Well, when that's where the financial resources didn't come in. For golf courses that are also of interest, it is now otherwise modern in every law to make it all of a special interest. So if the golf course is of particular interest and probational affairs and some other more important business in the plain, in a level with the golf course, then that special interest of the Republic of Croatia loses any meaning, let alone a special meaning. What I'd like to say in particular is that we're setting up a special administration in this law of probation. There will be at least 70 new employees. There will be a new official for that. It's a huge, huge asset. So, what can possibly be secured, it will eat the salaries of the employees themselves. The truth is I say, I repeat good things cost, but it was necessary to provide much more financial resources to make conditional judgments, conditional convictions for protective... , house arrest as well as really good measures that our criminal system long ago revived. [[The speaker doesn't understand.]] But there's something that can't possibly survive, so I'm asking the Prime Minister's representative to consider this very carefully. Therefore, when the programme does not satisfy that the convict, or who is on probation with protective supervision, does not carry out certain measures, it will therefore give the executive body, because this is the administration that is nothing more than an integral part of the executive authority, it shall initiate proceedings before the court. That for the first time in our criminal system, we have the possibility that the executive body will appear as some kind of party in front of a criminal court. We've never had that before. We had a judicial body in a broader sense, it was a state's attorney, a prosecutor as he once was called, and we have a defendant and his attorney. We never had an executive body to appear before a criminal court. So it will take, in this sense, as it has been so far in the prison system to notify the court, and then the court by official duty, or you inform the state's attorney. He can't still know he's in court. Something else seems to me to be great, I think it would be a relief, because it is a great procedure for the minister himself and a great responsibility that I am determining the measures that will be. So, the content of these measures. We know that agglosaxon law is very rich and imaginative, it gives the judge that power, and it's easier to give the judge that freedom than to one executive body. That's not what I'm saying now, ad personam, I'm saying in that sense that the system must be objective in everyday... combination. [[The speaker doesn't understand.]] Therefore, to give the Minister in his imagination to discuss what precautions would be taken, that is, how they will be carried out, how protective surveillance and working on the common good will be carried out, so which works he can do in fact, which he does not. I don't think it's necessary for the minister, that at least some hints should be filled out in the law, and that the minister just worked it out. This would make it easier for the executive government to work, and it would also be a security in all of this. And a few words about the Penal Code. We know that when the Penal Code was passed that he was indeed a few years ago, so back in 2002, that is, in 2001 when he was brought in, there was a big step forward, we introduced a judge of execution as a controller. Unfortunately, rather than having worked out a judge's execution, it always seems that the major failings in his supervision were more than the officers did, the healers in the prison system itself. Of course, because they're overloaded. One more sentence. It is unfortunate that the possibility of politicizing the prison system has been reintroduced in some way, because the knowledge of the system and the very specific knowledge that has been sought for the director... any penitentiary and prison has been abandoned in previous changes. [[The speaker doesn't understand.]] Therefore, these improvements that are foreseen here in the Penal Code we support, but we expect and about this perhaps the final proposal is, this is the final bill of law, but in any case think about a good solution, because the security of the prison system is carried by the leaders, and most of all by those who have experience in the prison system, which is not enough to pass just, to have high professional equipment, but by people who are sensitized and have specific knowledge from... The system. [[A speaker away from the microphone, you don't understand.]] I think it's very good for the prison system. Think about it. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34544	Thank you very much. Here's the reuse of 20 minutes.
ParlaMint-HR_2009-06-30-0.u34545	Here's what I had to do for my 10 minutes. I'll say a few words about this law on the execution of sanctions imposed on minors for criminal offences and violations. First of all, I would like to say that I am glad that this law has arrived in the parliamentary procedure after many years of waiting for this law and in any case some things are regulated here in that law. What is our key problem in society, which is what we do to make as few children as possible in any prisons or nursing homes, so what to do is that these children don't actually come to a stage where then it's very questionable that we can move on with them, to get them on the right path or we need a lot more energy and money and effort and the efforts to make these children some quality citizens of this society. The fact is that the data and state's attorneys and the MUP show us unfortunately in the last few years the growth of young people who are perpetrators of crime or crime, but also increased violence among young people, so I would just like to point out that compared to crimes against life and the body is a visible increase of 19.48% compared to 2007. So this is the 2008 data. The fact is also very often, I will not say it daily, but very often we can read in the paper certain articles that speak about the situation among young people and about a number of so young people who are extremely aggressive. You have an example. A knife instead of a pen, before school hit a boy, a little girl beat up her grandmother, a six-year-old for two days beating a boy, a boy with a shoe on his head over a game of Wordcraft, then for example. He's only 12 years old and he's shooting and he's robbing the city. A boy's basketball player broke his leg and jaw, in Zadar the young don't come out without a knife. So, a number of inscriptions that say that we have a number of young people who are extremely aggressive who are able to cause serious physical harm to others to some that are able to kill. And the question is why is that? Definitely these kids aren't born as murderers. Somewhere we have sinned as adults, the family has sinned in their education, and now we have to house them either in penitentiary facilities or in educational institutions. Unfortunately, too, the figures that show children who consume alcohol and drugs are also on an extremely large scale and what may be the most significant, which is to reduce age-limits both for those who commit crimes and for those who enter the area of alcohol users or drug addicts. And what is shown in fact is that somewhere in our family's control function is one piece of information, that in 2007, more than 50% of the children that the police found behind midnight were out in disco clubs or on the road, so more than 50% of them were out there with the consent of their parents. So our fundamental question of what to do in society so that we don't actually come into a position like this that we have to use. But unfortunately for that part of the kids, we need a law like this. Definitely underage perpetrators of criminal and criminal offences are victims, victims of the family, victims of an environment in which they lived and have their rights. But we must also ensure the right of others to a safe life. So we have to ensure a safe life for those kids who go out into the nights and disco clubs and who want to go home to their parents alive and healthy, not to think about whether someone out of a wasteful mood and boredom is going to beat them to death. The problem is, I think we recognize risk families quite late. All those who work with children, so who are the perpetrators of certain crimes or crimes, say that actually when they look at their life story, long ago someone should have reacted. Unfortunately, at the moment when they come to nursing homes, then the work of experts is so I say a very limited range. It is important for us to have certain preventive programs. There are preventive programs that have produced good results so far. Unfortunately, many of them did not find funding in the state budget. I'm sorry that this year, in a year which is a crisis for the economy, we started saving primarily on children. So in the last rebalancing of 4 million kunas, we downloaded precisely on projects to prevent child and young people's risk management. I think the kids are the last ones we need to save on, because actually preventive programs are the stake in not spending a lot of money on working with kids today, which I say once again has limited range. The question is, what about the relapsers? What about those children who are relapsers who in several times are able to repeat a certain crime or offence. It is definitely necessary for them to have specially adapted programs, but to do one system that will be more effective in protecting other children. We had one thematic session of the Committee on Family, Youth and Sports where we had just discussed and what to do with those children who were repeaters of criminal acts. How in some way do I say move away and protect those others from jeopardizing them, because here is only one case that is well known in public. At the time of one crime that ended in a death, young Luke Ric. His perpetrators are still awaiting a conviction, but unfortunately they are at large. And in the meantime, some other kids got beat up by the same thugs. Therefore, our question of how to protect the rights of children who are perpetrators of criminal acts, but how, on the other hand, do we protect other children that they can live normally and that they are not afraid that such a crime will be committed again? Of course, it is also extremely important for the judiciary to work without delay and to impose sanctions as quickly as possible, because every sanction imposed with a long delay in time actually has one very bad message for these young people. So they are both children and minors I don't know what we're going to call them and how we call them all in this legal system of ours. But in any case, they're people who need to know that they have to wear sequencings for their behavior. So, they must also be sent a message with all the treatments they need and psychosocial and often, perhaps some psychiatric treatments, but in any case they need to send a certain message, which is that they have to carry conjectures for their behavior and that their behavior that endangers other people's lives is simply something that is unacceptable. And for this reason, the pronunciation of certain sanctions by the judiciary within a very short period of time is extremely important. Because if this procedure lasts long, then they get a message that they're allowed to do anything and that no one can and simply no one is responsible for what he did, which is an extremely bad message. I'd just like to say here that we have a lot of mental health professionals that we're missing, we don't have enough, unfortunately we don't have enough even child psychiatrists who can help children with certain disorders of that kind. Unfortunately, we only have one children's specialized psychiatric hospital in Croatia. That's the one in Kukuljevic's. Unfortunately, all other wards of child psychiatry in many hospitals have been abolished and our children unfortunately often wait for months to come to some treatment which also extends the possibility of their recovery and their recovery. And in the end, I'd like to say that definitely in our foster homes there is a need for some restructuring. It can no longer be done the way it was done 20 or 30 years ago. Today, conditions are different and I think that we should work on the example of some European countries, which means in smaller groups, in smaller groups and separate children in the way that the profession can best work with them. So, this law is a law that will certainly contribute to children's perpetrators, so minors who commit crimes and crimes have certain rights and certain protections, but also have a certain degree of professional treatment, professional assistance to get out of trouble as soon as possible. But what is extremely important is that what does not apply at this time to you in the judiciary but to some other systems, and education and social care systems is prevention and very early identification of risk families from which such children can arise I don't think it's a problem to detect, just here I think that everyone who works with children should be focused on detecting and aiding those children as soon as possible and then we'll have fewer problems in your system with penalties and execution of penalties. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34546	Thank you very much. We're continuing the club debate. In the name of the HDZ club, the distinguished representative Ana Lovrin will speak.
