ParlaMint-NL_2014-04-16-tweedekamer-6.u1	The next item is the reply by the Secretary of State in the first term.
ParlaMint-NL_2014-04-16-tweedekamer-6.u299	I would be honest about that, but that is not the way Mr Geurts explains it here. It is precisely the agricultural policy run by the CDA that is one of 'get big or get out'. The small farmers stop and there are 25 to 50 a week. Congratulations on the results of 20 years of CDA agricultural policy! And if the CDA didn't rule, the VVD did execute the CDA agenda. Happy birthday! The small farmers are dead and only the big cowboys are left.
ParlaMint-NL_2014-04-16-tweedekamer-6.u300	I see that I do not receive a substantive answer from Mrs Ouwehand. That does not grace her and I also refer her to my contribution in Farm Today.
ParlaMint-NL_2014-04-16-tweedekamer-6.u301	The Animal Party wants to get rid of megalomaniac cattle factories. That's right. We stand for the interests of the small family business with the human dimension. I am afraid that the importance of the biggest boys is still paramount in Farming and the farmers' representatives. Of course that is reflected in the CDA, but that is not where we have to go with agriculture in the Netherlands.
ParlaMint-NL_2014-04-16-tweedekamer-6.u302	I also share that view of the smaller family and family businesses, because that is what the PVV is fighting for. However, Mrs Ouwehand spoke about the right flank of the Chamber, which does not value nature. I feel compelled to say something about it, because that is not true. Only, if we don't do it the way the Party for Animals wants it, it means, according to her, that we wouldn't value nature. I think that's bullshit. We do a lot for nature in our own way, but we let the animals lead. We consider animal protection policy to be more important than nature conservation policy. That's a lot different. We explain it differently, but that does not mean that we do not value nature. That can't just be said.
ParlaMint-NL_2014-04-16-tweedekamer-6.u303	Then what does that prove, Mr Graus?
ParlaMint-NL_2014-04-16-tweedekamer-6.u304	You must answer this place and not ask questions, Mrs Ouwehand! That's how it works around here.
ParlaMint-NL_2014-04-16-tweedekamer-6.u305	Then I shall rephrase it and say to Mr Graus that I have not yet seen any evidence that the PVV also values nature, except in a motion on a school garden, I believe.
ParlaMint-NL_2014-04-16-tweedekamer-6.u306	I'm not gonna go into this, because everybody knows it too. I give a very recent example, that of the bees. Bees belong to nature. They're the ambassadors of nature. Who set all this up? That's the PVV. I don't want to let it go any further.
ParlaMint-NL_2014-04-16-tweedekamer-6.u307	The PVV did not arrange it but supported it. I give that to Mr Graus. In tackling bee mortality, Mr Graus is on our side. I'm sorry, but there has been some evidence of bee mortality. The PVV has shown that we value not letting the bees die out. I am very grateful to the PVV for that. Thank you! Our concern about the Programmatic Approach Nitrogen has not been removed. The most important prerequisites for introducing such a programmed approach are not and are not fulfilled. We also know from the legal literature that there is no room for even more pollution if the natural conditions deteriorate. However, they still do. Especially with a 50% reduction in the nature budget, there is no prospect of real improvement. The proposal being discussed in this Chamber is still trying to do so by spending natural money on recovery measures to force development space. That seems to us to be at least shaky and legally debatable. Besides, it doesn't benefit nature. In addition to our fundamental concerns about this, there are a lot of questions that lead to great concern. Interrupt debates have already covered the fact that there is a difference in pace between the PAS and the management plan period and an investment that an entrepreneur will make on the basis of the development space allocated to him. This is about building a stable with a depreciation period of fifteen or twenty years. How does it work if after six years it turns out that we have to steer more sharply towards nature goals? It could go both ways. Either we adjust, which means that the legal position of the entrepreneur concerned is not certain, or we do not send and decide in the coming period that a more ambitious nature policy of a subsequent cabinet is simply not in place. In that case, adjusting to the international targets for the period in which an entrepreneur has invested is not a real possibility. It seems most like we're not going to adjust, and that's what I'm really worried about. I would once again ask the Secretary of State if she can clearly define how she will achieve the natural goals in the long term and integrate them into this system. On the basis of the long-term vision, the dot on the horizon, it can determine which development space is responsible and which is not. I would like to hear a well-founded response to this in the second term. I did not get an answer to the questions I asked about the Water Framework Directive. If I am well informed, the obligations arising from the Framework Directive will have to be reviewed in such a way that the permits issued will have to be revised if the environmental objectives are not met. Looks to me like you can't keep this out of the programmatic approach to nitrogen. I shall table a motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to include the objectives of the Water Framework Directive in the Programmed Approach Nitrogen,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-69]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u308	How many locks do we have to put on the door in the Netherlands?
ParlaMint-NL_2014-04-16-tweedekamer-6.u309	The Party for Animals is in favour of a drastic reform of agriculture in the Netherlands. We want to go to agriculture that remains within the limits of what nature and water can handle and what environmental conditions in their generality require of us. In this way farmers will know where they stand and nature will not be burdened in such a way that we are constantly in trouble. This is legal, because it is about the legal approach, and we are not talking about ecological conditions yet. We are very far away from that, and we have to get back to it. If you lose nature, our agriculture has nearly 4 billion damage a year. Think about the bees.
ParlaMint-NL_2014-04-16-tweedekamer-6.u310	It's starting to get a little shaky. I can't get an answer to my question. I'm asking how many locks should be on the door. The Water Framework Directive is simply implemented in the Netherlands. We see how clean the water becomes in the Netherlands. In the IJsselmeer we even get problems, because it is so clean. Now Mrs Ouwehand wants more locks on the door. I really don't get it.
ParlaMint-NL_2014-04-16-tweedekamer-6.u311	If Mr Geurts does not think it is radical enough that the Animal Party wants a drastic reform of agriculture, I would like to hear what more radical proposals he has. This seems to me to be a very clear position. We're gonna have to do a lot for it, because all the megas will have to close. At least no new ones can be built. About the critical deposition value, the Secretary of State did a little squeamish. Even if we stopped all activities in the Netherlands, we would not achieve this value. However, we are net exporter of nitrogen. If we do not get close to the critical deposition value, which indicates what a nature reserve can handle, we will never achieve the favourable conservation status. However, we have promised them, although they do not have a strict deadline. Can the Secretary of State confirm that? It is therefore a useful tool to set a course for the agreed objectives. There were several questions about the reporting obligation. I welcome Mrs Jacobi's motion on that point. We are concerned about the situation that could arise if entrepreneurs could claim development space, if they remain below the limit. The Secretary of State does not share these concerns, has just proved. It would only be the bottom of the market, it would not be the real problem, and we could create new space with recovery measures. How many entrepreneurs are we talking about? Does the Secretary of State have a picture of that? What should we take into account? In view of the cumulative effects that can occur, how do you prevent too much development space being given away by a boom in applications for authorisation-free deposition? I would like to hear a response to that. There may also be a reaction to Mrs Jacobi's motion. I look forward to a response to some of the amendments. This includes the conservation goals you must have achieved before you give away development space or before you give permission for plans and projects. I would like to hear in the second term that the Secretary of State embraces this amendment, although I suspect it will be different. I'll conclude with my final motion. In order to cheer things up, I wrote her a hand. That looks more cozy than a typed motion. For example, we are perhaps doing justice to the festive atmosphere today, despite the fact that we differ 180 degrees in content. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that part of the nature budget is devoted to rehabilitation measures to create development space for, among other things, intensive livestock farming;]] [[calls on the Government to make clear which part of the natural budget is beneficial to the actual strengthening of nature and which part is used to repair damage caused by excessive nitrogen taxation,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-70]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u312	Thank you very much. I shall give the floor to Mrs Dik-Faber as the last speaker on the House's second term. I indicated earlier that she could not attend the debate because she had other obligations. They are now over and the debate is not yet over, so I can give you the floor.
ParlaMint-NL_2014-04-16-tweedekamer-6.u313	Mr. Chairman. First of all, congratulations to the Secretary of State for her birthday. Good luck and health in the new year of life. My gift is the same as that of the SGP Group: I have no motions. If you get an identical gift on your birthday, you might normally think you want to trade it, but in this case, the Secretary of State is very happy with the double gift she gets. I would like to thank the Secretary of State for answering all the questions in the first term. I should like to apologize for having moved on to this debate later. That had to do with obligations elsewhere. I do, however, welcome the reaction of the Secretary of State to my amendments in the first term. I've been getting those reactions. I started and ended my contribution in the first term with the example of a dairy farmer from Overijsel who is in the hair because he had to shrink as a result of the designation of a Natura 2000 area, while the nearby highway is being widened and the municipality previously agreed to expand. I then asked the Secretary of State if the PAS was going to help him. I have to say that this question is not easy to answer. Unfortunately, after this debate, this dairy farmer does not yet have the desired clarity, at least not completely. My group believes it is very important that the PAS should finally come into force, that there should be an end to the lumber-rope solutions that provinces and municipalities have had to adopt, that the PAS should be able to start licensing again and, above all, that a good balance should be struck between green and growth, as the Secretary of State said so well. We want to be able to make nature more robust and offer entrepreneurs a realistic perspective on the available development space. I would like to thank the Secretary of State for the fact that the Chamber is also involved in the establishment of the regulation and the programme. That's gonna be the proof of the pudding. I understand that this important legislative amendment precedes this, but it has become clear in this debate that there are still many open ends that are only brought together in the programme. For my group, it is important to clarify the programme as soon as possible, in particular the way in which the deposition space is distributed among the different segments and the amount of development space left. I have amended my amendment on the reservation of development space for priority projects. In the first term, the Secretary of State was unable to comment on this. I hope this will work out later. We still have a specific question about the development area for farmers. In AERIUS 1.6 52% of deposition space would be devoted to priority projects. When will the Secretary of State know how high this percentage will be in AERIUS 1.7? As a follow-up, how does the programme ensure that the 5.6 kilotons of development space agreed in the covenant actually returns to the agricultural sector? Does the Secretary of State see opportunities to look at measures taken by an farmer in the distribution of development space to keep his deposition as low as possible and to weigh it as well? I have a specific question about the Inner Field. The trial was stalled there. Can the Secretary of State state state what the situation is and what possibilities it sees to facilitate the process? The Empire considers the plan to be too experimental, but as far as the Christian Union is concerned, we are looking at innovations and need to embrace them, especially if these innovations can bridge the gap between farmers and nature lovers. I would also like to hear from the Secretary of State how farmers in border areas are dealt with. They argue that in Germany nitrogen emissions are much higher than in the Netherlands. They suffer the negative consequences of this. Last Monday night, I was at a meeting of young farmers. One of them said that he is at the border with Germany and that a few kilometers away, just across the border, within the same nature reserve and within the same European network of nature reserves, is an farmer who has much wider possibilities than he does. He asked me if I could explain. I couldn't explain it and promised him I'd put that question to the Secretary of State. That's what I'm doing here. I hope she can explain. It is good to have a look through the next program period. Ultimately, the PAS is about clarity for entrepreneurs for the short term, but certainly also for the long term. Can we really give the entrepreneurs sufficient clarity? That is the big question for me. I would like to hear from the Secretary of State how she sees the further trial with the Chamber. Can she outline the timeline for us?
ParlaMint-NL_2014-04-16-tweedekamer-6.u314	This brings to an end the second term of office. The Secretary of State has requested a suspension of 15 minutes so that she can prepare herself for her response to the 22 motions tabled and the outstanding questions. I would remind her that there are also four amendments which require an opinion, namely the amendments to the documents. Forty-four, 45 and 46, and the amendment to item No. 30 by Mr Smaling.
ParlaMint-NL_2014-04-16-tweedekamer-6.u315	We have now arrived at the second term on the part of the government. I'd like to give the floor to the birthday Secretary of State.
ParlaMint-NL_2014-04-16-tweedekamer-6.u316	Mr. Chairman. Sometimes on such a day you feel like "it's not my birthday yet," but let's see how far we get. I think it is really important, also because some of the Members specifically asked for it, to make an agreement on how we are going to proceed now. I shall now turn to the motion that has been tabled on this subject. How can I best involve the Chamber in what Mrs Lodder called the loose ends? I have already made a proposal in the first term and I would like to repeat it. I will also explain in Mr Geurt's words what that means in material terms. That proposal is that, for the next time, we will be presenting the PAS programme as a whole to the Chamber. This means, in material terms, that if the Chamber agrees to the legislative proposal, which I sincerely hope will come into force only when the PAS programme is in place, because that is what it is aimed at. This means that the Court lays down the legal basis, but that in fact it creates a "go/no go" moment to decide on the basis of the programme, as it stands, including the available development space and the allocation to the different sectors, whether that balance exists. I hope that in this way I will be able to give the Chamber the green light for the legal basis now, knowing that, when it comes to implementing the law, the Chamber will be able to take a decision at a later date on the basis of the proposal as negotiated, with all the information that is still missing.
ParlaMint-NL_2014-04-16-tweedekamer-6.u317	Mr. Chairman. I just need to get used to the new face. The Secretary of State says that the bill can only come into force after the veil. Technically, I do not think that is right, because it is possible.
ParlaMint-NL_2014-04-16-tweedekamer-6.u318	You can, but you shouldn't want to.
ParlaMint-NL_2014-04-16-tweedekamer-6.u319	The Secretary of State therefore undertakes not to allow it to enter into force until that veil arrives.
ParlaMint-NL_2014-04-16-tweedekamer-6.u320	That's right. In fact, a bill must come into force by Royal Decree. I think it is necessary for the PAS programme to be there, because that is what the legislative proposal is aimed at. So I see a logical link between hanging out the PAS programme here and then deciding whether the law will actually enter into force. In the end, that seems to me to be the most chic, even in the direction of the Chamber.
ParlaMint-NL_2014-04-16-tweedekamer-6.u321	Otherwise, we would have to follow the route of the amendment: immediately a veil and only when that veil is there, will we continue. A motion has been tabled and he gets the "judge chamber" advice. I shall announce this, because that is the only way we can do that. That motion will then simply be carried out.
ParlaMint-NL_2014-04-16-tweedekamer-6.u322	Yeah, I'm telling you.
ParlaMint-NL_2014-04-16-tweedekamer-6.u323	I hear the Secretary of State say that we are actually saying yes to the legal basis, but that the implementation, including development space and allocation, is part of the veil. That means that all the agreements that are still being made are part of that veil and are thus fixed.
ParlaMint-NL_2014-04-16-tweedekamer-6.u324	Yes, because the entire PAS program is being hung up and there are all those appointments in there. I can't say it any clearer. I will now try to answer the rather impressive pile of questions. I shall then give an opinion on the remaining amendments and the motions. Mrs Lodders and Mr Dijkgraaf have asked whether this allocation of development space is a compensatory or a mitigating measure. The answer is that it's actually neither. The development area means no more and no less than that there will be no negative impact on any Natura 2000 site in the light of all the guaranteed public measures. So that is different from mitigation, because mitigation means that measures are linked to an individual project to prevent effects. This is an obligation attached to the individual entrepreneur's permit. That's out of the question. Measures at national level are also part of the PAS. There is no question of compensation either, because the granting of permits does not affect nature values. So there's nothing to compensate.
ParlaMint-NL_2014-04-16-tweedekamer-6.u325	Because all this has to do with legal sustainability: has this been checked at the Council of State? I didn't get along with their advice.
ParlaMint-NL_2014-04-16-tweedekamer-6.u326	Yeah, I'm getting that confirmed. Then Mr Dijkgraaf gave the example of a goose. Mrs Van Veldhoven then added another example. I think it's good to indicate which examples of 0.3 moles I'm getting. Emissions of 0.3 moles are 100 cows 10 kilometres from an area, or 50,000 chickens per hectare per year at 13 to 14 kilometres. I would also like to say a few words about this later on, which I would naturally like to share with Mr Dijkgraaf on how to keep a number of things as simple as possible. The reasoning for his argument to keep it simple, I share. It is not just that he asked me for a re-evaluation of the amendments he has tabled, that I have had a different reasoning in the last hour than my reasoning on the basis of what the Council of State has advised me. That is not unwillingness, but the sincere conviction that we should not be put at risk with it. I would like to make a commitment to Mr Dijkgraaf. He says that he has not tabled any motions for resolutions, and I am very pleased with that, but that he is happy to make it clear, even at the moment when we are going to report to the Chamber on how a number of things are being taken up, how we want to keep things simple around these limits. In the small debate between Mr Dijkgraaf and Mrs Van Veldhoven, the question was actually asked about the possibility of having a very light procedure whereby, so to speak, you put a tick on a website if a project remains under the 1 mole, with which the notification was made. That's actually the point. So it seems to me appropriate to agree that I am going to tell the Chamber how we can do this as easily as possible, at least to ease the burden as much as possible for the entrepreneurs involved. I share that view.
ParlaMint-NL_2014-04-16-tweedekamer-6.u327	According to my information, the Secretary of State's calculation is correct. I'm glad for that too, because then we know what 0.3 moles means and what the impact is of a company with 100 cows at a distance of 10 kilometers, which is the same as one goose poop. Both calculations are correct, because the impact decreases very quickly with the distance to that nature reserve. I welcome the Secretary of State's commitment. In the end, it's about content. It matters to me that it's easy. I'd like to ask the Secretary of State to take the following with him. Website: beautiful. Make a tick: excellent. That is the legal side of the matter, but the legal side of the matter is also: is it legally watertight? Or could one organisation or a neighbouring company object to enlargement because there would be a problem? That way you can still end up in a legal swamp. That's actually what we're afraid of. I do not need an answer from the Secretary of State, but I would like to see the whole process involved in the elaboration, otherwise it will be simple for the website, but it will still be complicated.
ParlaMint-NL_2014-04-16-tweedekamer-6.u328	Yeah, but that's what we're doing. We want to make it as watertight as possible. That is precisely why I cannot give a positive assessment of the amendments tabled by Mr Dijkgraaf on this point. This is because it puts us at too much risk. However, I will take it with me.
ParlaMint-NL_2014-04-16-tweedekamer-6.u329	Thank you for that. It hasn't worked in an hour, so I suggest we continue for a few more hours; then the switch will come!
ParlaMint-NL_2014-04-16-tweedekamer-6.u330	The President also has an opinion on this. I suggest that the Secretary of State should continue with the reply, because there will be another debate after this. What Mr Dijkgraaf says is interesting, but I would like to follow another line.
ParlaMint-NL_2014-04-16-tweedekamer-6.u331	Mrs Van Veldhoven has asked a number of questions. Is the recovery of the measures annual or is it cumulatively established? It's cumulative. After all, a recovery measure works for a longer time, but an extension on the basis of a permit is sudden. You can't honor them in small steps. Mrs Van Veldhoven has also asked whether the PAS will not be frozen over time if the deposition of the licences granted is added up. The answer is no, because the deposition continues to fall autonomously as a result of existing policies to make the sectors of transport, agriculture and industry cleaner. This autonomous deposition decline alone is greater than the space needed for new developments. Mrs Van Veldhoven then asked: but what if after that period the deposition development is disappointing and the permits continue to apply? The essence is: a once issued permit state. We provide that permit on the basis of the best available insights and prospects. If it turns out unexpectedly to be disappointing in the monitoring process, of course, there is no effect on existing permits, but there is a need to look at a package of measures for a further period. In doing so, you have, as it were, limited the next period in terms of the possibilities that exist. That's how the system works.
ParlaMint-NL_2014-04-16-tweedekamer-6.u332	So in fact, you may have to take recovery measures in a subsequent period, which will not create additional space for that period, but actually solve another problem from the previous period...
ParlaMint-NL_2014-04-16-tweedekamer-6.u333	Yes.
ParlaMint-NL_2014-04-16-tweedekamer-6.u334	... so that the space in that coming period depends on the amount of money you can put into recovery measures.
ParlaMint-NL_2014-04-16-tweedekamer-6.u335	Yes. In response to a question from Mrs Lodder, I will also indicate what the buttons are. I also think it is important to say something about this. What buttons are there to turn on to get more development space? First of all, a deposition reduction can be increased by stepping up, for example, a policy on sources: an even cleaner industry, even cleaner traffic and even cleaner agriculture. Those are all possibilities you can create. Furthermore, you can reduce the development need by phasing, so by drawing things in time as it were. You can also increase the development space by investing extra in nature, as already recalled. One of the buttons you can turn on is the time. Mrs Lodder asked why we are not actually working on this. The six-year period is already in the current nature protection legislation and is therefore fixed. This bill doesn't really change that period. If you were to move now to nine years, for example, this would require not only a legislative change but also a whole new area analysis for all areas. After all, the current field analyses all cover six years. That means a big delay before the PAS can start working. It is also complicated, because in material terms it is only a question of whether it will give you more development space in the end. After all, the permit paths never all run in parallel. It's not like you have a block and you get more space if you make that block longer. Each of these different things has its own value and that value doesn't change if you extend the period. We can make the view longer. This can provide more certainty for entrepreneurs. In her amendment, Mrs Van Veldhoven offers this solution and that is why I left the opinion on that amendment to the Chamber. However, it should be borne in mind that land use plans never coincide with the PAS in practice. That's what I just said. In one municipality the zoning plan will therefore be revised at a different date than in the other municipality. In AERIUS comes a module to facilitate the test of zoning plans. The package of measures must also be integrated into the Nature Pact and that is what we are working on. So there are some buttons, I've just mentioned them, but they're not all that simple.
ParlaMint-NL_2014-04-16-tweedekamer-6.u336	The Secretary of State starts with the argument that the six-year period is already enshrined in the law. I think we're adjusting the law right now. So that's not the argument for per se holding onto those six years. The Secretary of State says that this has a number of effects, for example in the field analyses. You should do it again. Has the Secretary of State considered linking this to a longer period of time in order to at least offer the provinces more comfort?
ParlaMint-NL_2014-04-16-tweedekamer-6.u337	No, because the field analyses were made on the basis of this well-known period in the law. I have just tried to make it clear that it is also true that a longer period does not produce material profit in the sense that you would gain more development space. I think it's hard to explain that properly. I can see in Mrs Lodder's question the suggestion that it would give you more development space, but I do not think that is the effect. Apart from that, all these field analyses have now been assessed over this period. If we all have to do this again, we will be busy.
ParlaMint-NL_2014-04-16-tweedekamer-6.u338	My question is not just about more development space, although that is a very important point, but I do not need to repeat it here. My question is also about clarity. Mrs Van Veldhoven's amendment gives some insight, but it remains a look-through. The zoning plans are generally valid for a maximum of 10 years, but this narrows the period to six years, the PAS period. In any case, we are not giving enough clarity and certainty.
ParlaMint-NL_2014-04-16-tweedekamer-6.u339	You can't compare it that way. A zoning plan is sometimes made halfway through a PAS period. So that goes on in the next PAS period. Whether the PAS period lasts six or five years, the system of the zoning plans is that they always run from one PAS period to another. That is why the amendment is interesting. This gives the system the insight for a much longer period. But at the end of the day you can't control everything completely on this point either. There is a lot of creatability in this world, but that creatability also has its limits. Mrs Jacobi and Mr Dijkgraaf have specifically asked whether there is sufficient development space on Schiermonnikoog. On the basis of AERIUS 1.6, 51 mol/ha per year is available. The claim on development space is 48 mol/ha per year. This is therefore appropriate at field level. Mr Geurts asked about the transitional rights around the PAS. What are the authorisation procedures? All pending applications will be handled on the basis of the old regime. For new licence applications according to the PAS, the time of adoption shall apply. So that's a pretty clean transition. Suppose a zoning plan lasts more than six years. Is there any chance it's gonna die? Is the development area guaranteed? The zoning plan isn't gonna die. At the time of establishing a zoning plan, it is necessary to check that there is sufficient space. We're gonna have to do that now. We are not going to do that until the PAS enters into force. It is also in the current system of permits. Mr Geurts asked about the security of the development area after six years. For this, Mrs Van Veldhoven's so-called roof tile construction amendment offers an improvement. That gives us a glimpse of a somewhat longer period of time. What ministerial arrangements are part of the veil? The arrangements provided for in the legislative proposal include the setting of limit values, the list of priority projects and the registration in AERIUS. As I said, the entire program is being hung in front of the Chamber. We hope to reach an agreement with the Chamber on this. Mrs Lodders asked whether there should be no clarity for the provinces, the entrepreneurs, the port of Rotterdam and the farmers. With that veil it will become clear who gets what development space. This is also the clarity that entrepreneurs consider to be very important. How is the allocation of the development area regulated? Mrs Lodders wants to move on, but perhaps there is no development space. She thinks it should all be well organized. What's the national stake? We expect a good balance to be struck in the provision of development space. On the basis of AERIUS 1.7, we can see where there may still be bottlenecks. That is what we will be discussing, if necessary with provinces. We shall also put it in the Chamber. The moment the Chamber gets the veil, 1.7 is in it. Mr Dijkgraaf asked about the situation in Germany. Aren't we stricter? The PBL conducted research on this subject under the direction of Prof. Bakkes in 2011/12. The research includes a legal equation. Prof. Bakkes asked whether German practice is in line with the Habitats Directive. We are dealing with the way in which the Dutch court finally determines how we comply with the directives. That's the legal space you have at the end of the day. We should not repeat the whole debate now, but I think this is for discussion. Mrs Ouwehand also asked about the difference in pace between PAS management plans and the entrepreneurial rhythm. I have already said a few things about this. The goals in the long term are not under discussion and in every period of the PAS we take a next step in the right direction to achieve the goals. That's my ambition, too. However, the size of the next step is ultimately on the then sitting cabinet and parliament. You will see that it will vary by area and habitat when it is possible to achieve a favourable conservation status. Mrs. Dik-Faber asked about the timetable. In fact, in the first period, I said that the deadline will in principle be mid-September. Then there is also a lot of clarity for the areas and the entrepreneurs. Mrs Ouwehand asked if I could make clear which part of the nature budget is for recovery because of nitrogen depositions and which part for actual improvement. The resources are part of the Nature Pact, on which the House of Representatives has been informed on several occasions. I have to say that I find it difficult to describe this quite precisely. Of course, it is also decentralised. Mrs Dik-Faber asked a question about bottlenecks, inter alia, in connection with the Binnenveld. What exactly is the situation for farmers in border areas? Can we not, above all, give the innovation a place? I think the innovative approach in the Binnenveld is really very promising. We have often had exciting conversations on this subject. You can see that the provinces of Utrecht, Gelderland and the waterscape of Vallei and Veluwe are very close together, also with EZ. We are trying very well to find a solution that is acceptable to all, including within the framework of the management plan. What exactly is the situation with priority projects and AERIUS 1.7 and the guarantee of 5.6 kilotons? Mr Geurts' motion asks for a ruling from the Chamber. As a result of this motion, I will come back to this, but we are going to do so. That is a pre-shadowing qualification of the motion, which I naturally regard as a support for policy.
ParlaMint-NL_2014-04-16-tweedekamer-6.u340	I'll be back on the Inner Field. The Secretary of State and I have had discussions on this before, and I have also asked written questions about this. Is it true that the problem-solving plan is now completely out of the question and that we therefore have to look all over again for a new plan to achieve the nature goals in the Binnenveld?
ParlaMint-NL_2014-04-16-tweedekamer-6.u341	No.
ParlaMint-NL_2014-04-16-tweedekamer-6.u342	That's good to hear. This may provide a perspective for a quick solution. Can the Secretary of State make an assessment of when that solution will be available?
ParlaMint-NL_2014-04-16-tweedekamer-6.u343	I'm afraid to gamble that now. I can't see that. It is being worked on with a great deal of effort. Mr. Chairman. I shall now turn to the amendments and the motions for resolutions. There's a few more. I believe that I am in favour of this amendment. 42 had already foreseen a judgment.
ParlaMint-NL_2014-04-16-tweedekamer-6.u344	Only the amendments to documents Nos. 44 to 46 not yet.
ParlaMint-NL_2014-04-16-tweedekamer-6.u345	Exactly. The amendment in part No. 44 belongs to Mrs. Ouwehand. It intends to introduce the identified critical deposition values. I do not recommend this amendment. In the debate we indicated why. The amendment in part No. 45 is about conservation targets. It is intended that development space can only be reallocated once these objectives have been achieved. I should also like to dissuade this amendment, because the allocation of development space and the work on nature conservation and restoration are exactly the same with the PAS. That's the essence of the bill. The last amendment, in part No. Forty-six is similar to the amendment on item No. 45. For this reason, I would also like to advise against this amendment.
ParlaMint-NL_2014-04-16-tweedekamer-6.u346	The Secretary of State has mixed up the various amendments relating to numbering. She said at the beginning of the debate that she had an overview of her views on all the amendments. In case I missed one, I'd appreciate it if we could still get that overview.
ParlaMint-NL_2014-04-16-tweedekamer-6.u347	I have to say that, as far as I know, all the amendments have now been judged by the Secretary of State and not by each other. It's all kept up here, too.
ParlaMint-NL_2014-04-16-tweedekamer-6.u348	It is also just to look into the report, I suppose.
ParlaMint-NL_2014-04-16-tweedekamer-6.u349	Of course.
ParlaMint-NL_2014-04-16-tweedekamer-6.u350	Yes, if the report is there at the time we are going to vote. I mentioned it because the Secretary of State herself said at the beginning of the debate that she had that overview and that she could give it. It has indeed gone neatly in the order of the answers, but in terms of numbering it was often firm leaves in the large set. However, if the Registry has noted it, it may be able to help us.
ParlaMint-NL_2014-04-16-tweedekamer-6.u351	Yes. Because of the time, I suggest that the Secretary of State continues to discuss the motions. The summary of the opinions on the amendments can be obtained from the Registry or read in the report.
ParlaMint-NL_2014-04-16-tweedekamer-6.u352	That also applies to our amendment, old in part No. 34, new in part No 43?
ParlaMint-NL_2014-04-16-tweedekamer-6.u353	Yes. I had already made a judgment on this, namely that I leave it to the judgment of the Chamber.
ParlaMint-NL_2014-04-16-tweedekamer-6.u354	The Secretary of State continues her argument with her opinion on many motions.
ParlaMint-NL_2014-04-16-tweedekamer-6.u355	Yes, Mr. Chairman. Unfortunately, Mr Graus, I cannot really meet you today. That's a huge profit warning. In your first motion, in part No. 49, the government is asked to take back control of our "ur-Hollandish" landscapes in national hands. Even if it was written with "sch," taking back into national hands would change the whole decentralisation. This decentralisation has twice been the starting point in government agreements of very different plumes, even in a cabinet that could even count on your support, Mr Graus. Therefore, I cannot give any other judgment now but to advise against it. This isn't supposed to be entrapment, by the way.
ParlaMint-NL_2014-04-16-tweedekamer-6.u356	I share that with the Secretary of State, because I am also in favour of it being in the province. But I meant, of course, that it should not be Brussels, but here, in our hands. I am therefore prepared to take out the word 'national'.
ParlaMint-NL_2014-04-16-tweedekamer-6.u357	Even then, we are in a European context. I will say a few words about the directives and the discussions on them, but we are now bound by them. So in that light, I must continue to discourage this motion, even if Mr Graus would change it. In his motion in part No. 50 asks Mr Graus to refrain from further implementing Natura 2000 legislation. That is not possible, because the Netherlands would inevitably call for a letter of formal notice. I must therefore advise against this motion. The same applies to the Graus motion on item No. 51, in which the Government is requested to refrain from the 300 metre fertilising free zone. I have just explained that setting up such a zone is undoubtedly an inevitable measure that must be taken to achieve certain values of nature that we want to preserve. I cannot, therefore, freely go along with Mr Graus to propose other measures. I don't feel free to do that.
ParlaMint-NL_2014-04-16-tweedekamer-6.u358	That's obvious. I was expecting this, too. I would like to say to the Acts that anything can and must be done. That must also be the case in the Acts. The Secretary of State says she can't do it. No, she doesn't. Anything's possible. Anything's possible. It's just that the government doesn't want it and the Secretary of State doesn't want it. The government and the Secretary of State don't have to do anything, but they do. That must be the case in the Acts.
ParlaMint-NL_2014-04-16-tweedekamer-6.u359	It's been noted. Anything you say, anything you say, will be in the Acts.
ParlaMint-NL_2014-04-16-tweedekamer-6.u360	I accept, moreover, that Mr Graus says so. After all, it is. I do not want to accept the consequences that 'anything can and should be' brings. Those consequences are great. I therefore believe that it is not wise to accept it. So there is a point for Mr Graus. I couldn't follow the law either. It's possible. It's just not the point. I also think that we should not radiate that from our position. In his motion in part No. 52 Mr Graus called on the government to no longer consider the stool of farm animals as a waste, but as a very valuable building, energy and raw material. I must also advise against this motion. It is true that there are valuable organic substances in it, but it also causes problems.
ParlaMint-NL_2014-04-16-tweedekamer-6.u361	At the time of Minister Verburg, I tabled a motion asking for manure to be used as a valuable building, energy and raw material. That motion was supported by almost everyone at the time. There has never been anything done with it, but if that motion had already been carried out as a majority of the Chamber wanted, it could not have been waste anyway and could not be regarded as waste. We must get rid of this surplus of manure, of that negative image. That's the stick behind the door.
