ParlaMint-NL_2015-12-21-eerstekamer-4.u1	We have arrived at the second term of office.
ParlaMint-NL_2015-12-21-eerstekamer-4.u82	Let the SCP or the CPB map that out. Secondly, in the first period, I asked for progress on taxing the actual individual returns in box 3. In doing so, this commitment seems to be carried almost Chamberwide. We welcome the commitment to be reported to the 2017 Tax Plan next year. We will be happy to use this to discuss with more information on the behavioural effects and their desirable outcomes. The same applies to the research promised on the avoidance possibilities for box 3, which we will receive from the 2017 Tax Plan, thanks to the work of the Coordination Group on Construction Control. We would also like to highlight the commitment that the study on the use of taxation for start-ups and start-up related SMEs will reach this summer recess chamber. Thirdly, my group is concerned that large companies are running off with the Wbso as a result of the integration of the S&D reduction and the RDA, together with the non-inclusion of a ceiling. Mr Backer has already drawn attention to this. The Secretary of State has tried to reassure us that this danger is not present because the National Entrepreneurship Agency would have an insight into what is going to happen. However, the scheme has always known a ceiling and there has never been an incentive or obligation to apply for more than would be granted. In fact, more allocated hours require more accountability, even if the allocation is capped on the ceiling. Insight into the volumina above the ceiling I don't expect. Does the Secretary of State agree with me? Data on the level of wage charges in the companies concerned provide the necessary insight, which is the natural ceiling, but the RVO has no formal insight into these data. Does the Secretary of State agree with me? In the old situation there was a natural barrier: if a company did not pay much corporate tax, the limit for using the RDA was determined by the ceiling and by the level of the Vpb amount. In the new situation, that border disappears, so it is unclear whether it will remain the same in the future. In short, there is a risk of large overruns in favour of large companies compared to the current estimate. In addition, the new scheme has a cash-flow problem for capital-intensive small and medium-sized enterprises with few staff. And that is when this particular group can use the support of innovation schemes to grow. We therefore ask the Secretary of State once again when the evaluation and consequences of this will be shared with this Chamber, so that the possible unintended consequences are made clear and there is sufficient time to think about an alternative design. I also support Mr Backer's call to monitor and to take action or consider alternatives if the consequences are not as expected. Fourthly, in the first place, my group has called for attention to be paid to the under-employment rate of women. In doing so, we have referred to research carried out by the Central Planning Office which shows that potential two-earners are relatively sensitive to financial incentives. However, an investigation by the Central Planning Bureau also shows that lowering rates has a much lower impact than in the past, as the employment rate has become less sensitive to financial incentives. The PvdA is therefore looking forward to the non-financial measures that we can expect from the government to stimulate the employment rate of women. Fifthly, my group, supported by the climate agreement just concluded in Paris, believes that further greening needs to be given extra attention. We understand from the Secretary of State that fiscal greening in his words has "a dramatic track record." This makes us all the more interested in the initiatives of the cabinet to implement greening measures inspired by behavioral economic insights. We will be asking the Secretary of State's colleagues in this area in the strongest possible terms. Finally, we first drew attention to the announced preliminary draft bill on the extension of the municipal tax area. We are pleased that the Secretary of State agrees with us that extending the municipal tax area should not mean greater income inequality, and we welcome his commitment to compensate for purchasing power decline. We did not hear him speak in the first period of time about the very great difference between perception and reality as regards the share of the various governments in the total revenue from taxes and premiums. We would like to ask the Secretary of State to give explicit consideration to this in the forthcoming preliminary draft. I would like to conclude with the hope that the Secretary of State will be able to answer our remaining questions with satisfaction.
ParlaMint-NL_2015-12-21-eerstekamer-4.u83	I've always listened with interest to your story, Mrs. Sent. I noticed that you didn't or hardly go into the novelle. I thought this was an important part of the second term tonight. Now several spokesmen, including myself, have concluded that the additional jobs based on the novelle zero point are zero. I'm sure that number will lead a life of its own. How do you look from the point of view of work... your party is rightly concerned about long-term unemployment... to the novelle when it comes to reducing unemployment? Is that why you're impressed or not?
ParlaMint-NL_2015-12-21-eerstekamer-4.u84	You can't be very impressed by 0.0% job growth. Last week we drew attention to the novelle in the first term, because we already knew what the novelle would look like. At that time we asked a number of questions about it, anticipating the treatment in the House of Representatives. So it has not escaped our attention. We have indicated that we do not believe that we should be right on this side that cannot be reached on the other side. These are all points that we raised in the previous period.
ParlaMint-NL_2015-12-21-eerstekamer-4.u85	I am not so much concerned with political judgment. It is at the heart of what the Labour Party is and has always been. You just said "not impressive," but those words I put in your mouth a little bit; that is, of course, a little too easy. If you look at it with some distance, do you have to conclude that the novelle, and indeed the Tax Plan, leaves a lot to be desired in this respect?
ParlaMint-NL_2015-12-21-eerstekamer-4.u86	We conclude that job growth due to the novelle is minimal or zero. The forecast is that as a result of the Tax Plan, job growth is 35,000. If we had tackled the transferable tax rebate, job growth would have been much less. We regard women's economic independence as an important issue. In addition, we are assessing the plan not only on the basis of job growth but also on the basis of the fact that people who have had a very difficult time to spend more in recent years as a result of the crisis, at a time when economic growth is very fragile and confidence is gradually starting to grow and we consider it valuable to give this impetus to the economy.
ParlaMint-NL_2015-12-21-eerstekamer-4.u87	Finally, Mr Ester.
ParlaMint-NL_2015-12-21-eerstekamer-4.u88	I was just asking how you look at the number of additional job creation plans created by the novelle, so without all the stories that are now going around; the fact in itself. Is that what you're worried about or not? Is this what you expected or not?
ParlaMint-NL_2015-12-21-eerstekamer-4.u89	It's not my proposal to file that novel. I am particularly judging the biggest package, namely the tax package. In fact, I think the novelle is a minimal adjustment to that. Given the minimal adjustment, there is also minimal job growth.
ParlaMint-NL_2015-12-21-eerstekamer-4.u90	Thank you, Mrs. Sent. I'll ask the Secretary of State if he'll be able and able to respond immediately. That's the case. I give the floor to the Secretary of State for Finance.
ParlaMint-NL_2015-12-21-eerstekamer-4.u91	Mr. Chairman. Thank you very much to all the speakers. I have listened with pleasure, because this debate is really about something. It's not just about points and commas. Last week, I called on those present to continue to insist on reforms. That's exactly what happened. I have heard Mr Bakker on this, as have Mr Van Rij, Mr Ester, Mrs Vos, Mr Ten Hoeve, and I will no doubt forget a few more. Of course there is something of a missed opportunity. I've said that before. Of the people I have just mentioned, the parties of Mrs Vos and Mr Ester were at the table and there were too many seats empty last summer to speak of broad support for reform. I am sure that I said this last week, and I am sure that we will get out of that valley again. That is already well under way, by the way. Depending on the basis of the support and the progress of the discussions from next summer on, for example, the municipal tax area, there are opportunities for us to continue to work on reforms step by step. My belief is that this will happen one day, because Dutch politics has hesitated at times, but has never stopped necessary reforms in the end. That's what we're from. I said last time that it made us one of the most prosperous countries in the world. If we continue to do this properly, perhaps we will continue to do so. It is not only me or the cabinet but also the broad political spectrum and in particular this Chamber whether we are able to work step by step over the next few years on a few small but also a few major steps towards a better system. I will deal with a number of subjects in turn: older people, green, the parent-daughter directive, the Wbso and RDA, box 3, of course, and finally other and remaining amounts. If there are any motions left, I'll deal with them afterwards. If we have some time left, I will see if I can squeeze a small final word out of it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u92	Is that gonna work before 11:00?
ParlaMint-NL_2015-12-21-eerstekamer-4.u93	I'll speed up. I don't think I've ever let the President down in this.
ParlaMint-NL_2015-12-21-eerstekamer-4.u94	That's right, but just to be safe, I'm gonna say it again.
ParlaMint-NL_2015-12-21-eerstekamer-4.u95	That's a very good incentive. I'll start with the elderly. The elderly have improved considerably during the ten-year period that we saw last time; as Mrs Sent has just mentioned, unlike some other groups. Those are the facts. Now Mr Van Rooijen, like no other, has shown that the demand for different sets of figures makes it possible for different comparisons to be made over and over again. He has asked no less than 284 questions to keep looking at other figures. He's right, of course, that something else keeps coming out when you keep looking at different numbers. For example, he cites the minus 4.5% of the single AOW member with €10,000 supplementary pension. That's a fact. On the other hand, in exactly that same row, the plus 8% stands over the period 2004-2016 for the single person with only AOW. We both know what the difference is, Mr Van Rooijen and I. This is in a lagging indexing of pensions. We must not blame taxation for this. Taxation is not necessarily, a priori, in order to compensate for the lagging indexation. Even if wages are disappointing in a particular sector or if wage increases are disappointing, people are not automatically compensated for this. So there are all kinds of figures possible, but on balance older people have...
ParlaMint-NL_2015-12-21-eerstekamer-4.u96	Mr. Chairman.
ParlaMint-NL_2015-12-21-eerstekamer-4.u97	...it's been going on in the last few decades...
ParlaMint-NL_2015-12-21-eerstekamer-4.u98	Mr. Chairman.
ParlaMint-NL_2015-12-21-eerstekamer-4.u99	... slowly getting better and better.
ParlaMint-NL_2015-12-21-eerstekamer-4.u100	Mr Van Rooijen, I am always waiting for the Secretary of State or the Minister who is speaking to finish his sentence. Then I'll give you an opportunity. You now have the opportunity to interrupt.
ParlaMint-NL_2015-12-21-eerstekamer-4.u101	Thank you, Mr. Chairman. I'm not going back to all sorts of numbers. I would just like to point out that an answer given earlier by the Secretary of State showed that the purchasing power of everyone with a supplementary pension has fallen. That's right. The Social and Cultural Planning Bureau came up with any justification last week; whatever that is, we will ask the Planning Bureau again in the coming months. The Secretary of State has now confirmed that in the period 2004 to 2016, the purchasing power of people with slightly more than the AOW population are fortunate that most of them have fallen by 1.5% to 4.5%. Then when the Secretary of State says it's because of the non-indexation, he acts like he's talking about an extraterrestrial event. Of course it's not. If the Secretary of State uses 5 billion to increase the purchasing power of the workers by 3% to 4%, he can also be expected to do something about improving purchasing power for the elderly, regardless of what caused the decline in purchasing power. I think the argument that it is because of the non-indexation of pensions, for which, by the way, the Cabinet is responsible through the ftk öfk öfk, 'financial future broken', which must be removed as soon as possible, is no reason to take care of the elderly again: not indexing and no tax reduction. That's double-packed.
ParlaMint-NL_2015-12-21-eerstekamer-4.u102	I object to the word "grabbing." The indexation of pensions is not an extraterrestrial event, but at least an "outdoor" event. Unfortunately, I do not control the stock exchange rates. That was also the reason for the SP to declare immediately that it did not want to invest in the AEX. So I can't go along with that. However, it has been tried as well as possible to compensate the elderly for an important part. In those years, the indexation of pensions has been lagging behind that of contract wages. Nevertheless, according to the Social and Cultural Planning Bureau, the elderly have emerged as one of the groups with the greatest increase in purchasing power during that period. The negative factor was the indexation of pensions.
ParlaMint-NL_2015-12-21-eerstekamer-4.u103	I can follow the Secretary of State on this point as far as the years in the past are concerned. For now and in the future, however, it is true that government policy has an impact on the failure to continue indexation. Surely it is his cabinet that has come up with proposals to set the standards for pension funds so high that they can no longer index. Isn't that conscious policy of his cabinet?
ParlaMint-NL_2015-12-21-eerstekamer-4.u104	These standards, my predecessor, who, in my opinion, has just left here for an hour, have discussed them extensively, and they serve precisely to confront each generation with fair parameters and to prevent one generation from eating the cup of the other generation empty, or rather the other way around, because both sides can happen. Those standards are a genuine attempt to prevent that from happening. However, while Mr Köhler is talking about the future...
ParlaMint-NL_2015-12-21-eerstekamer-4.u105	It's always good to talk about the future. I knew the arguments of the cabinet, but that does not change the fact that these cabinet proposals, with arguments which we do not share, make it even more difficult for pension funds to index. This applies not only to the generation that now has a pension, but also to the generation that is now building up a pension. It's too restrictive a standard for both. I am talking about it because the Secretary of State said that the failure to index cannot be blamed on the cabinet. I blame the cabinet for that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u106	We can, of course, make the future of pension funds more favourable than is actually allowed, and then allow one generation to empty the pension fund at the expense of the other. The opposite would be equally annoying. You want to try to give each generation what that generation is entitled to in view of the real prospects for the future. This is an issue which my colleague has explained in detail, very frequently and in various debates. I do not think that we should discuss this again in the context of the Tax Plan. If we deal here with everything with which taxation has any relationship, we can talk here for a whole week.
ParlaMint-NL_2015-12-21-eerstekamer-4.u107	You objected to the term "packing." I'll leave that on your account. You're talking about "looting." I object to that term again. You used that word when you said the ftk would be there to prevent the elderly from "looting" the pot. The elderly have not received indexation for seven years and they will not get indexation in the next ten years either. I therefore object to the existence of'slips'. You keep saying that pensioners are the only ones who have improved because it is in a booklet somewhere, I have to say: a book of the Social and Cultural Planning Office. You yourself admitted this evening that for those who have more than one AOW, luckily, most of them are not about purchasing power progress but about a sharp fall in purchasing power. Finally, if, fortunately, the workers, in addition to the large tax reduction, we also give our children a large increase in wages, such as the 6% in the police cao, then on the one hand it is 'gross increase and net increase' and, on the other hand, 'no gross increase and net reduction'.
ParlaMint-NL_2015-12-21-eerstekamer-4.u108	I've only used the word "looted" in combination with the word "not." Mr Van Rooijen should like that. Furthermore, we are allowed to take out all kinds of different groups. Mr Van Rooijen is taking out the -4.5% group. Right in the cell above there is an +8% group. For example, there are different rates for different groups of older people. However, the Social and Cultural Planning Bureau is not just any body that has just presented a booklet on this subject. It's a respectable institution. That has calculated that it is on average 3%. It doesn't suit me to distance myself from this chair. However, Mr Van Rooijen is in a different position. It may take any position it considers appropriate. I would also like to talk about the future and that now. I have heard a lot of objections from Mr Van Rooijen which make it clear to me why he should have voted against tax plans last year and the year before, and perhaps even the year before. However, I have still not heard a good argument as to why, in the first year of the improvement of a lot for the elderly in relation to the basic path, he should turn against it. That improvement, in Mr Van Rooij's view, should be a bright spot. I take as an example his motion on the elderly discount, which calls for recovery. Interestingly enough, the elderly discount compared to the 2015 level, so from the level before anything happened to the elderly discount, has already been restored. In the 2015 Tax Plan, 195 million went down structurally. In the Tax Plan that we are discussing now, which is now before us, 195 million will be added structurally from 2017. The full structural decline has been compensated and, in addition, for 2016, an additional 200 million will be added occasionally. That's what happens. I find it difficult to regret that when you speak on behalf of the elderly.
ParlaMint-NL_2015-12-21-eerstekamer-4.u109	I think -200 and +200 is 0, as you said. Furthermore, you must deduct from the 220 euros which you then call "one time" the 83 euros that would be deducted from the previous tax plan. So it's net but 140 euros in 2016. In 2017, apart from the motion, the elderly simply go back 100 euros. You calculated tonight that that is 0.5% decrease in purchasing power in 2017.
ParlaMint-NL_2015-12-21-eerstekamer-4.u110	Let me turn to the questions that Mr Van Rooijen has put concerning equal treatment, the principle of standing and so on. Mr Van Rooijen pointed out the unequal treatment of older people and workers. It's not really between the elderly and the workers. It's actually between workers and non-working people. I hinted at that last time. To the extent that older people are employed, they have rights to work. In so far as non-parents do not work, they are also not entitled to the schemes for workers. If a young person doesn't work, he doesn't get a job discount. And when an older person works, he also gets the employment discount in addition to the older person's discount. This happens in proportion to the rate he pays in the first disc. It is therefore an equal treatment for equal cases, but that may mean different treatment for unequal cases. The principle of carrying capacity is also... Oh, I think Mr Van Rooijen is not quite ready on this.
ParlaMint-NL_2015-12-21-eerstekamer-4.u111	Very briefly. You're talking about working AOWs. I'm glad they're still here. Due to the later AOW-age, we also need to keep that as much as possible, in order to avoid the AOW-hole. But you also know AOW workers among workers, saying that there is no discrimination or difference. I am talking about the non-working AOW, who is in a very poor structural tax regime because he does not share in the 5 billion. So you shouldn't arrive with a few working AOWs. I'm talking about the non-working AOWs, because they're almost all of them. We shouldn't talk past each other.
ParlaMint-NL_2015-12-21-eerstekamer-4.u112	I have just tried to say that it is precisely this Tax Plan that allows the elderly to communicate in the 5 billion, both structurally and occasionally, but I am not very fond of the stylish repetition myself, so I should not repeat that argument either. I come to the principle of capacity. The system is, of course, modelled on the principle of carrying capacity, with the strongest shoulders bearing the most heavy loads. I think that a large part of this Chamber might even think that this has happened too much. There will be few international comparisons in which the Netherlands is accused of not having done justice to the principle of carrying capacity. We have a progressive tariff structure. We have all kinds of tax rebates, which are relatively beneficial for lower incomes, but the welfare principle also plays a role, because taxation distorts. It doesn't sound elegant, but taxation inhibits producers in producing, inhibits consumers in consuming, inhibits investors in investing and drives capital abroad. Taxation distort and it is good to minimise these disruptive effects on the economy as much as possible. We do this by reducing working hours, because employment rates are worth a lot on an individual level, emancipatory, but also simply for building prosperity and making it possible for a pleasant retirement provision. We also do this through the IACK, which allows people with young children to stay at work as much as possible. The welfare principle plays an important role in this. In addition, of course, purchasing power repair has also been done, including the 5 billion, which goes beyond these principles, but is merely intended to ensure that people do not fall socially through the ice and somehow end up on the wrong side of a division. Then the formal part. I have just said something about Mr Van Rij and Mr Van Rooijen's motion on letter L. I must advise against this, because in fact, in a structural sense, as of 2015, this would be an increase in the elderly discount. This is a. not in line with the policy of gradually aligning the tax arrangements for older people with their much improved position, both in income and in wealth, and b. not in line with the government's desire to create as many workers as possible with this package.
ParlaMint-NL_2015-12-21-eerstekamer-4.u113	Very briefly. I understand that the Secretary of State actually has considerable objections to any increase in an elderly discount. That's what he just said, while you can do it for the labor discount. I would ask the Secretary of State to answer my question about Article 10 of the Paying Tax Act. It says: "Wage is all that is enjoyed by an employment or a former employment." I explained that there is no basis in the law for setting an age limit.
ParlaMint-NL_2015-12-21-eerstekamer-4.u114	This would mean that the Council of State should have had serious objections to the tax plans for some decades, but the Council did not. For the time being, I would prefer to follow the judgment of the Council of State rather than now, one evening at the end of this process, to note that we are actually taxing fundamentally wrong taxes all these years.
ParlaMint-NL_2015-12-21-eerstekamer-4.u115	You got that right. I agree, and so do my group.
ParlaMint-NL_2015-12-21-eerstekamer-4.u116	Mr Van Rooijen was very clear in that, also last time. I'm sure I'll give him that. The second point I would like to address briefly is greening. Mrs Vos, in particular, was concerned about this. It asks, for example, whether there is some room in the energy load for large consumers. Are we gonna close a door over there? I sent a letter to the House of Representatives at the request of the GroenLinks Group in the House of Representatives. That letter said, if I have to summarize it a little bit domestically, that that was not impossible but that it was extremely careful, because, before you know it, you're creating unequal playing fields. And an uneven playing field is not only bad for our economy, it also means that targeted environmental impacts simply leak out. Because industries are moving to countries where they are treated differently, it could happen that the environmental impact is ultimately zero, but we are suffering from it economically. That's what that letter says. For example, that letter says that if you move from electricity to gas, you have to pay attention or certain large consumers get into trouble. The sectors currently exempted were also identified in that letter as not unproblematic. This is a situation where there was already an uneven playing field, but there would certainly be a problem with an even heavier burden on large consumers. Maybe that's already there. As far as the coal tax is concerned, I have already said that the cabinet does not consider it justified to actually break the energy agreement at this stage. There are now a lot of social parties really doing a lot of work together to put their shoulders under that agreement. Perhaps there are things that you would rather not have had in that agreement afterwards, but that is a bit inherent in such a broad agreement. To break it open for that, and then at this stage, the cabinet doesn't seem wise. I am very sensitive to Mrs Vos' call for the 100 million which is now available on occasion to be targeted. But that is precisely why I am not knocking the solutions out of my sleeve. I know that different models and intermediate variants are being discussed, but I really don't want to rattle that off right now. I think it's important to focus on that. They're just gonna be studying on that right now.
ParlaMint-NL_2015-12-21-eerstekamer-4.u117	Of course, we are extremely curious about that, but I know the style of the Secretary of State in that sense, so I await with interest. By the way, more parties will do that, especially D66. I have one more question about the large consumer tax, because it seems a bit like the Secretary of State is closing the door there. There's hardly anything in there. After Paris, can it not help to give greater companies, which can really achieve much more in terms of energy saving, a boost in the right direction? Of course, you have to do that step-by-step. Isn't that something you can talk about? And will the Secretary of State at least look at how we can jointly take steps in this area?
ParlaMint-NL_2015-12-21-eerstekamer-4.u118	The previous letter does not close the door, but says that the margins are small. However, this letter also says that it also depends, of course, on our neighbours' policies, and that this needs to be looked at at at European level. Doors are not thrown close in that previous letter, but it is said that it depends on a number of things and that it is indeed very narrow margins at the moment. I think that answers Mrs Vos' question. Yes, it is true that if you move between gas and electricity at an energy load, the renewable electricity generator, so the solar cell, will benefit less from that again. To be honest, the proposal for that slide came from the corner of many of the parties who signed the Energy Agreement. It was considered to be beneficial on balance, but I admit that if I press here, something will rise there as well. There are always counter-effects. I have also received serious concerns of a very different nature from the CDA about the measure. This concerns a number of large consumers in the gas/electricity slide. So we see that we are in a situation that is so crystallized that if you turn one button, there are always two or three disadvantages to come up with. I recognize this disadvantage as equestrian. The same applies to the disadvantage of the CDA. I think, however, that the measures that remain are all measures that will have a spot or a scratch here and there, because they all have disadvantages. We have to live with that. We must try to find a line in the political constellation, but also in the balance between these things. Mr Van Rij has twice made a serious contribution to the Mother-daughter directive. He also did so in writing. For example, he argues that hybrid loans are not only made in an intercompany context, but also between third parties. I could say that I do not think the Mother-Subsidiary Directive is at all about third parties. The directive does not see that. However, I do not know whether that is the most relevant objection. On the point that, according to Mr Van Rij, Germany does not implement the same legislation, we hear other things from Germany. But I'm gonna have to take a break from this. Mr Van Rij is not the first to be the best, and certainly not the second or the third. I therefore believe in his words. The department's specialists are convinced that this is a good thing. At the same time, more than once, Mr Van Rij has given me extremely sensible wake-up calls. So I want to see if we can do something about this in a different way. Here's what I want to do. All Member States must implement this. It could be that the Netherlands is putting a head on top of it, suggesting that you want or are more brave than the directive. At the same time, Mr Van Rij says that we may not be as good as we are, because we may be disproportionate. That is precisely what the Commission must punish. My first proposal to Mr Van Rij is that I ask the Commission whether the Dutch implementation is proportionate. I would ask Mr Moscovici, with whom I will be working a great deal in the next six months. I can also ask him to take a broad look at the major differences in implementation between countries. On that basis, we should be able to see whether we are doing something that is not entirely intended, however much we are now convinced that it is. Secondly, I would like to offer him that I will ask the Tax Administration to keep track of the cases in the preliminary consultation against insoluble cases. These could be organisations that, at some point in their own group in the European context, see that they inevitably face double charges as a result of the Dutch choice for implementation. We need to know that. I would like to propose to Mr Van Rij that he ask the Tax Office. Based on these two things, I want to send a letter in 2016. Once again, Mr Van Rij has raised this point more than once. I want to take that very seriously. I also think it is possible for me to come to other insights than what I have come to now. It hasn't happened yet, but I want to open up to it. Then I'd like to report that in a letter to this Chamber. That's the proposal I'd like to make him.
ParlaMint-NL_2015-12-21-eerstekamer-4.u119	Thank you for that answer. I must also stress that my colleague Van de Ven of the VVD also made this point in the written questions. That honor belongs to him, too. I very much appreciate the answer; let me start with that. This isn't about a well-nuke game. I said that these hybrid loans also occurred with third parties because the Secretary of State said last week that this was mainly about intercompany, but let us rise above that. I very much appreciate that the Secretary of State is doing the same. I heard two things. If, in practice, it appears that there are double charges after implementation as proposed, companies will have to report this to the Tax Administration. Then the Secretary of State is prepared to look at it, because it is not a desired effect. I also appreciate the other offer. The Secretary of State says that, as we stand here, we do not know how the other EU Member States have implemented this directive at the moment. I'm right about that. If we speak, there may be a similar kind of debate in other Chambers in other parliaments in the EU. These are two commitments that the CDA Group can live with, especially if the Secretary of State comes back to them in a letter. I should also like to look at my colleague from the VVD Group. He raises his hand. I assume that's what this is all about.
ParlaMint-NL_2015-12-21-eerstekamer-4.u120	He just looked very angry.
ParlaMint-NL_2015-12-21-eerstekamer-4.u121	He also raises his thumb. We can both live with this. Finally, let this also be an institution and attitude that we will also apply to subsequent draft directives and directives which are still coming to the Netherlands. Thank you very much.
ParlaMint-NL_2015-12-21-eerstekamer-4.u122	I think many people in this Chamber have already noticed, but I would like to state that the Ministry of Finance, but also the Secretary of State for Finance, is not always right in all tax matters. So it is very productive to listen very carefully to things that could also be true and to look seriously at them. I would very much like to do that. Eventually, it'll make the world better. The Wbso is a recurring discussion. Mr Backer and Mrs Sent spoke about it. I understand Mrs Sent's reasoning. There was a ceiling and it made no sense for parties to request anything above that ceiling. Then how can you know there's no latent potential above that ceiling? For the sake of last week's debate, I had to give some thought to Mr Kamp's arrangement. The exporter not only points to the costs and expenses covered by the RDA and the Wbso, but also to the other costs. So he makes an integral image, looks at what might come out of it and then applies the ceiling. By the way, there is no ceiling in the RDA, but in the Wbso there is. Thus, the exporter knows not only the allocation, but also the extent of the problem of cashing, or in other words the latent potential. That can be taken into account by the performer in determining how this will go. I have heard Mr Kamp promise that he will see how this is going and take action if it is not. Then I automatically come to Mr Backer's question. If I translate it a little bit domestic, he says we shouldn't compensate but fix it if it doesn't work. He doesn't want us to push budgets, he wants us to fix the system, whether by other discs, ceilings or whatever. I should like to leave that to the Minister for Economic Affairs in all modesty. I would like to give him the suggestion, but first of all I would like to point out the commitment he has made. He will look into how things are going and report whether or not what the performer is thinking is actually going to happen. Then we can then talk in all forms of instances and moments about how a possible failure of the system in one form or another should be repaired or compensated. In any case, I will give this to Mr Kamp.
ParlaMint-NL_2015-12-21-eerstekamer-4.u123	I have already noticed a shadow from Mr Kamp behind the Secretary of State. Can we solve this shadow effect practically like this? Does the Minister for Economic Affairs also inform this Chamber if he reaches a conclusion? Then the Secretary of State doesn't necessarily have to be in there. In any case, it would be nice if his conclusion reached this Chamber.
ParlaMint-NL_2015-12-21-eerstekamer-4.u124	That is a request that I am very happy to accept. Thank you! Now I'm gonna go to box three. A lot has been said about that. Let me take a look at what I'm going to say and see if that's entirely fair. All kinds of questions have been asked. Mr Van Rij has given calculation examples of 1.65%. That's only from a million dollars. You must have a lot in box 3, if you want to reach 1.65 on average; strictly infinitely, but that would be a faint answer. I'm gonna take a look at the real concerns. In his motion, Mr Van Rij asked the government to come forward with a new proposal, at the latest in the spring note, which included the alternatives to a simpler and more advantageous temporary regime for small savers. If you read that like that, you might ask yourself: who's against simple, who's against cheaper, who's against new at all? Well, pretty much everyone, actually, but not in this room. Yet, in a sense, I think this is a misconception of the matter. Mr Van Rij also says that we can come to our senses directly in the new year. Yes, but right in the new year, I wanted to continue on the path of searching for a system and developing a system that actually charges returns. Mr Van Rij must assume from me that it is much more complex in substance and certainly politically than 'do us some alternatives'. Mr Van Rij and the CDA have also come up against this complexity in a broader context, because Mr Van Rij's earlier suggestion, for example, to double the duty-free rate and to compensate for this by dropping the free foot above the million, is to give away 800 million and to recover a limited number of millions. Many speakers have a sense of justice in solutions that are far less profitable. That is because the property tax, perhaps together with the inheritance tax, feels very unfair to many Dutch people. Before I entered this profession and could admit it earlier, I suffered from it myself. I have to tell you the truth. This feels unfair to a lot of Dutch people. People tend to find things more righteous as less is collected. But that automatically means, as sympathetic as it all sounds, that more burdens on labour are being collected. Those burdens will have to be increased, because you cannot reduce anything, do nothing about spending, and do not increase anything else. This means that, in the end, this often amounts to the burden on labour, and we do not want that either. With this reasoning and reasoning, I would like to advise against this motion.
ParlaMint-NL_2015-12-21-eerstekamer-4.u125	I don't quite follow the Secretary of State, to be honest. My point is that the current system of box 3 is a stable 4 billion. That is 0.6% of gross national product over a long series of years. That was one of the arguments to come up with box 3. Materially it's just a capital tax, of course not formally. What the Secretary of State is about to propose will ensure that the 37,000 people who are not an infinite group who have 1 million or more and are now able to live well with 1,2%, will not be able to live with 1,65%. I have tried to do so once again. After all, it is an increase of 37.5%. I agree with the Secretary of State that we should conduct an investigation, as Mr Backer of D66 also argued, in order to tax real returns in box 3. However, the Secretary of State does not at all indicate which direction he wants to go. Does he want a capital gain tax? When I read Annex 1 to the Tax Plan, the answer to that question is no. Does the Secretary of State want a wealth distribution? We don't know. In short, we are about to have a temporary situation. In this temporary situation, the position of the small saver deteriorates in that he still intuits his ability. I tried to argue that in the debate with Mr Köhler. I say it carefully, because Mr Köhler is convinced of his own right, without any argument. No, that's a joke. Secondly, the millionaires I just mentioned will go to box 2. In other words, what does the Secretary of State want? Is the Secretary of State coming up with a proposal in March that he will tax real returns? And how does he do that? Or is the Secretary of State prepared to think with us to amend his own, in our view bad, proposal for the temporary situation?
ParlaMint-NL_2015-12-21-eerstekamer-4.u126	The CDA's objections have a certain development. The first objection was that it would be very complex, but when it wasn't complex, it was very unfair. And when others thought it could be called fair, it has become avoidance. I take avoidance very seriously. That is why we have put very sensible people on it who spend their lives doing nothing but recognizing avoidance. But in earlier stages, for example in the brainstorming atmosphere in the other Chamber, it has been said that you could then, for example, fall back on a progressive rate. Yeah, you know, that creates the same avoidance issues. All in all, I think we may not even have the main argument here. To be honest, I think Mr Van Rij is making it a little too simple in his motion. In my view, we agree on the final objective. The ultimate goal, the final picture, is a tax on real returns. There are a lot of groups for that. I have admitted in the House of Representatives: not explained here that it is likely to result in a sensible mixture of a capital gain and a capital increase tax and some flat-rate elements. This must be done in such a way that we do not fall into the trap of 2001. At that time there were all kinds of arbitration possibilities with power shifts just before the measuring date and shortly afterwards again. I think it's in there. It is true that we do not yet have the last word on this, because that too is something that the abuse detectors must look very closely at. They always find things like: when you do this, it is possible for someone to do that and so and then he gets away with it. All this is not very easy, but it is now being studied very seriously. I promised last year's Tax Plan that I'd give you some sort of interim report on that. These should then be the first leading thoughts on the lines along which a new genuine efficiency-based box 3 system should be built. It should also include what further steps need to be taken to make this feasible, because all our chain partners must participate. Banks and investment firms should eventually go along with that reporting in order to allow for a pre-filled declaration. That is a great relief for so many millions of Dutch people. I explained that here. This means that from 1 January I will certainly be working very hard, but with the system as it should become the ultimate, and not with intermediate wishes which are constantly shifting and to a large extent differing in political terms among the Members present here.
ParlaMint-NL_2015-12-21-eerstekamer-4.u127	A brief interruption on this point, Mr Van Rij.
ParlaMint-NL_2015-12-21-eerstekamer-4.u128	Yes, Mr. Chairman, I will be very brief. I look the Secretary of State right in his eyes, but I stumble upon an incredible smokescreen. It is not clear to me which way he wants to go. I'm worried. I am looking at Mr Backer as well as Mr Köhler and wonder whether the Bashir/Van Weyenberg motion adopted in the House of Representatives will indeed lead to a plan that will be submitted in 2017 and that will actually enter into force on 1 January 2018. I don't believe any of it.
