ParlaMint-NL_2015-11-17-eerstekamer-3.u1	I would like to welcome the Minister and the Secretary of State for Finance to the Upper House.
ParlaMint-NL_2015-11-17-eerstekamer-3.u60	They are compatible, precisely by recognising that the crisis is over and that we have therefore successfully implemented a large number of reforms. I would like to say straight away that the implementation of some of these reforms needs to be improved. That gives air to invest in purchasing power. The moment you do that, you can achieve further growth of the economy and therefore of employment. The money that we have been able to save in this way is being used very specifically for labour market policy. This has a big impact. In particular, it encourages the groups at the bottom of the wage building to get back to work or work. employers to rehire those groups. My group welcomes that. The General Financial Reviews are a good time to look not only at the overall situation of the economy and public finances, but also at some capita selecta, as my group has always tried to do in recent years. First of all, during last year's reflections, I discussed in detail the tax practices with which the Netherlands has been facilitating tax avoidance by international companies for many years. I will not repeat our displeasure about this, especially as there seems to be a certain consensus that these are practices where food is very far away from morale. In the meantime, the EU has come to Starbucks for coffee. Last month we were told that Ikea's founder paid taxes for the first time in Sweden last year. Now we need Mick Jagger. And Bono. And Pfizer, GlaxoSmithKline, Kraft Foods and Microsoft, and all the other tax migrants who have no business here. It is estimated that national governments lose between EUR 100 and 240 billion in taxes every year, with the economically and institutionally weaker countries being hit hardest. My group therefore welcomes the initiatives in the OECD and G20 framework for a global approach to tax avoidance. We also wholeheartedly support the Dutch initiative to revise the tax treaties with developing countries. At the same time, it is a pity that the European Council - with our Secretary of State for Finance at the table - does not deal with the exchange of tax arrangements: past tax deals are not included in the exchange of information. This should not be a prelude to the way in which we deal with the OECD agreements. As far as we are concerned, we are going two further steps: taxing financial flows to tax havens and demanding transparency by companies on taxes paid by them every year. The first puts an end to the Netherlands as a transit country for tax avoidance, the second leads to companies using aggressive tax constructions having to expose themselves with the buttocks. It is important that these agreements are implemented at European level. It would be a credit to the Netherlands if it were to use the European Presidency in the first half of 2016 to complete the necessary European directive. We call on the government today to make a commitment to this. Will the Minister of Finance make that commitment? Secondly, my group calls for attention to be paid to the application of the budgetary rules, in particular as regards interim changes and related changes, the way in which funds are released for purposes other than those for which they were originally intended during an ongoing financial year. The main question is whether the way in which the European Union's payments and refunds are made can pass the test of predictability and transparency. This applies to the Netherlands, but also to the other Union countries. We call on the government to promote a much simpler and more predictable system of payments. This should make interim budgetary adjustments as much as possible a thing of the past. It is also reasonable for payments, refunds and post-tax payments to be included in the national declarations of the Member States. Does the Minister share this view and is he prepared to make this an explicit point at European level? Interim budgetary adjustments are, of course, not limited to changes in the Union's payments. For the record, there is nothing wrong with budgetary adjustment as such. A budget that is not periodically adjusted is likely to be either too broad or of a meaningless level of abstraction. And the government's cash liabilities system also allows for such adjustments, both in terms of the procedure through supplementary budgets and in terms of the system by means of so-called cash slides, i.e. budget shifting between years. However, we have difficulty with the phenomenon that cash slides are not rarely brought out of the top hat of the financial and economic affairs departments. It seems like the finest moment of the departmental calculators: helping the ruler out of the fire with a cash slide. The course of the purchase of the two Rembrandts earlier this year is illustrative in several respects. That many, both in the department and in the parliament, had no idea that the resources sought for this purpose could have been spent earlier or later would have been undesirable in terms of clarity. It is also necessary to prevent this budgetary technique from being taken into account. Can the Minister state what the criteria are for handling a cash drawer? Is it conceivable that there is a delay in policy without a cash drawer? If the answer is affirmative, is there not a risk that there will be no stable line in the use of cash slides and that an important budgetary principle will be put under pressure? If one budget line is currently subject to cash shifting, it is that of development cooperation. It is very important to find the resources needed for the reception of refugees in our country and to contribute substantially to the reception of refugees in the region. However, we are concerned about the one-sided burden on the OS budget and on the other hand, due to the fact that funds are being brought forward, the effect of which will be felt in later years. What is the picture of the government of these effects? Can it promise that this will not jeopardise specific budgets, such as contributions to the MFOs and NGOs? In addition to the cash drawer, the funds needed for the acquisition of the Rembrandts were made available using a different exotic technique, namely that of the use of possible future dividends from State holdings which are used as partial cover for current expenditure. How does this relate to the cash liabilities scheme as set out in Article 2 (3) of the Compatibility Act? In the government's view, is this behaviour in line with this? And if so, what legislation does the government base itself on? Is it usance that resources are released on the basis of quarterly figures of certain State participations? What then happens when next year it becomes clear that this dividend forecast could not be realised or that other holdings pay a lower-than-expected dividend? It will be clear that my group would like to see financial creativity not degenerate into budgetary opportunism. And if this is yet to happen, then we think that the forthcoming revision of the Compatibility Act would be the right time to tighten up the frameworks. A final topic that we are asking for today has a certain relationship with the previous one, namely remote management, in particular where the State is a shareholder. The Minister of Finance has recently made a clear statement on this issue in the context of the complications at the NS: an activist shareholdership may be expected from the State. However, what this means and how it relates to the examination of the General Court of Auditors "The State as Shareholder" of April this year is less clear. However, we do expect that clarity. With reference to the findings of the Parliamentary Committee of Inquiry on Privatisation and Self-Government of Public Services of this Chamber: if it is unclear what the Minister is about, then it is also unclear what Parliament's control should be aimed at. The question is also whether and on the basis of which the Minister in his capacity as shareholder is given the right information to inform Parliament adequately. And then there is the question of whether the division of tasks in the case of management through shareholdership on the one hand and through clientship on the other hand works well in practice. The ProRail file suggests that we have the necessary success in this. What can we expect from the government on this point, not least the Minister of Foreign Affairs who would have a coordinating role in this? I'm rounding up. Our economy is doing well and it is high time that people noticed this in practice.
ParlaMint-NL_2015-11-17-eerstekamer-3.u61	Before Mr Postema finishes, I would like to say the following. I've talked extensively about the clutch and I didn't go ice over one night. I have spoken with a large number of former Members of Parliament and former directors, and none of these people could call me a state-law precedent for what is happening. There was an example from 2003 that still goes a little in that direction. Then the cabinet promised to get better and said, "Never again." Now we've got that clutch. I know the Labour Party as a party that takes state law very seriously, even where it concerns the First Chamber, and yet Mr Postema has spoken about it for over 20 minutes without talking about it for one minute. I invite him to respond to this.
ParlaMint-NL_2015-11-17-eerstekamer-3.u62	I am not really inclined to do that, even because the Tax Plan is in fact a legislative act at another time and I do not want to get ahead of it.
ParlaMint-NL_2015-11-17-eerstekamer-3.u63	Mr De Grave has said a few things about this, and I have said a few things myself. Do I really understand that Mr Postema does not want to say anything about the link? Isn't his group in favour of it, is it against it, or does it find it complicated? Nothing at all?
ParlaMint-NL_2015-11-17-eerstekamer-3.u64	Yeah, he got that right.
ParlaMint-NL_2015-11-17-eerstekamer-3.u65	It's remarkable.
ParlaMint-NL_2015-11-17-eerstekamer-3.u66	We note that the Rutte/Asscher cabinet has not only helped us out of the crisis, but has taken advantage of it to carry out a number of much-needed and far-reaching reforms. A thorough implementation of this will take both time and time to adjust. We will continue to monitor this closely from our own responsibility.
ParlaMint-NL_2015-11-17-eerstekamer-3.u67	I give the floor to Mr Van Strien. That's the last contribution to the lunch suspension.
ParlaMint-NL_2015-11-17-eerstekamer-3.u68	Mr. Chairman. The members of the PVV Group also agree with Mr Hoekstra on the terrible events in Paris. Today, however, we must move forward with our world of General Financial Reviews. And let me just drop the door right there. The 2016 Macro Economic Recognition and the 2016 Millions' Note, which we are discussing today, have not been as meaningless and outdated as this year for at least the past five years. Under the heading "reform as a continuous mission" in chapter 2 of the Millions Note, we see an up-to-date knock-down on what has actually been broken down in the Netherlands over the last few years or, in the opinion of the Cabinet, needs to be broken down even further: the pension system, the housing market, the labour market, education. But what's not in it is even more striking. For example, in the 2016 Macro Economic Exploration, the word asylum does not appear separately or in any combination of words. The word migration, the biggest problem of the present and the coming years, both financially and culturally, occurs once, but it is about the fact that that might be the reason for the British to leave the EU. In the 2016 Millions Note, Table 3.5.2 contains a rule with a change of 400 million in relation to asylum seekers, for 2015 and for subsequent years zero. We are talking about estimates of 40,000 asylum seekers for 2015 and 26,000 for 2016. Some of the rules which serve as a corresponding text on page 80 state that the estimate for the asylum influx for 2015 has been revised upwards; that is the 40,000. This leads to higher asylum collection costs at the Central Asylum Reception Body (COA). However, the adjustment is not in any relation to the actual numbers. What can be derived from this is absolute ostrich politics. At all do nothing about the influx. You better speak of total apathy........................................................................................................................................................................................ We are not talking today about the dramatic consequences for our free Western society, as we saw last Friday in Paris. One or two of the perpetrators appeared to have been among the asylum seekers and found apparently right contact with like-minded Muslims in Europe. As dramatic as this unimaginable suffering and as much as we sympathize with the victims and the relatives, today we are only talking about the finances of the asylum influx. If you read in the newspaper that the European Commission expects a further 3 million refugees to come to Europe between now and the end of next year, that is more than four times the number that has already flowed in this year, then there are only two possible conclusions. Possibility 1: The government assumes that it itself will disintegrate and resign as soon as possible, probably after the deadline of the Dutch Presidency of the EU has ended; something the government groups feel so warm about, to put it euphemistically, that they can manage that together. Afterwards, the PVV can have the only party that puts the Dutch interest above the interest of economic immigrants close the borders. Possibility 2: The government floats so far above the everyday world that it does not see at all the continuously increasing asylum flow, partly caused by its own apathetic behavior. I'd like to hear from the Minister what conclusion is the right one. Our observations are, as I have said, much more pessimistic. Unless action is taken, billions more will be needed to finance the flow of fortune seekers. On the basis of the answer of PVV-questions in the Lower House, we have seen that the costs per asylum seeker alone in the first year amount to about €36.000. On the basis of the 3 million asylum seekers that the European Commission is predicting, a significant part of which will come to the Netherlands, we can only conclude that this cabinet will also have to spend billions more for the first half of 2016 that it intends to survive to finance the ever-increasing flow of fortune seekers. The latest German figures from the University of Munich show that about 20% of the intake is illiterate. You could say that's an advantage because they can't read the Koran and the Sharia, but then we forget that these people are going to be approached again by hate preachers with additional consequences for the costs of our security services. A question in this context: can the minister representing a cabinet that believes in a creative society give an overall idea of what the costs are, including for housing and education, to turn an Arabic speaking illiterate into a Dutch speaking westerner? Look, dictionaries Arabic-Dutch will be enough in this country by now, but you don't start that much in such a situation. In this context, I would also ask the Minister whether the international redistribution of resources by immigration from the Third World to Europe, advocated by neomarxist Piketty in Chapter 15 of his book 'Capital in the 21st century', has now perhaps been explicitly or implicitly taken over by this cabinet as a standing policy. After all, we have already seen that the Liberal VVD Secretary of State has already overtaken the Marxist Piketty on the left in his new tax plans, but on that we will come back to the Tax Plan. The already skinny, half-smoked cigars from our own box that we are getting thrown this year will go up in smoke in front of our eyes. Over the past two years, the cabinet has already caused 150 000 people to lose their jobs and 25,000 companies to be closed down. In any case, no one understands what the motto of this cabinet would have been for bridges in recent years. At least not to work. The balding of care alone resulted in the loss of 65,000 jobs and 20,000 jobs in home care. 270,000 older unemployed have been looking for a job for more than a year in vain. Also next year, more than 600,000 people are still out of work at home. And what does the 5 billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-bold According to the CPB, this package is going to create 7,000 jobs. The question remains: how will the cabinet help the remaining 593 000 people to get a job? That's not gonna happen. The economy is not recovering thanks to, but despite the cabinet and still very slowly. Due to the extremely low interest rates and cheap oil, the economy is recovering somewhat. And if we continue on the current road, mass immigration will destroy the burgeoning recovery. I'm coming to the EU. Anyone who thought that in 1991 the Gosplan, you know, the most important state body of the planned economy, with the break-up of the Soviet Union, had ceased to exist, was deceived. It exists again and sits under the supreme Soviet in Brussels. In the old days, that office in the West was the cause of great hilarity, but now we are laughing again and people are looking forward to criticism! As in the former Soviet Union, you will be fired immediately if you are not positive enough about the European unitary state. Only you won't be sent here to Siberia just now. For example, someone there must have thought that one should no longer be able to control debt in the euro area in order to increase the EMU debt, which is always expressed as a percentage of GDP, a little bit more, the denominator but a little bit more! According to CBS, they came up with it at the United Nations, but Gosplan was the first to introduce it. And so it was thought by the "gosekonomkomissia" in The Hague that all prostitutes, black workers and weed growers together were worth about 40 billion a year. This led to a reduction in EMU debt as a percentage of GDP of about 5%. Unfortunately, the geniuses of "gosekonomkomissia" have forgotten that the CBS had the task of carrying out a statistical review at the same time. And there was a blunder of Dutch policy makers in particular to align everything with the much smarter and less scrupulous "gosekonomkomissia" in the other European capitals, which means that we are now allowed to pay billions extra to Brussels and nobody understands how that happened. In the Soviet era, due to planning errors, a few million people were killed by farmers. On the contrary, you could say that the few billion that the Dutch taxpayer is allowed to cough up is still not so bad. However, the average taxpayer falls from his seat and has a different opinion on this. De Telegraaf started a WOB-procedure against the Dutch State and also against Brussels, if I am right, but much more than an image of confusion did not come out of it. The difference appears to be caused many months later by large corrections in the primary income received from abroad, mainly wealth income and in the paid primary income abroad, also mainly wealth income. The difference between these two items, according to the latest figures of StatLine for 2014, estimated at 209 billion and 201 billion respectively, i.e. 8 billion, is added to GDP to obtain GNI. A specific question to the Minister is this: if the fluctuations and errors in primary income received and paid abroad are so large, why is GNI, with a much larger statistical margin apparently taken as a measure and not GDP? I would like to point out that the PVV doesn't like this huge money flow at all, but if the calculation is based on quicksand, then of course it gets too mad. I would like to go on to comment on purchasing power, in particular that of the elderly. They are really fucked by this cabinet. Also in 2016, the more than 700,000 pensioners will give up purchasing power for the eighth year in a row. It's outrageous. Older people with a small pension who happen to be in need of care, make the most of it. Pensioners have already been given it to them by this cabinet, and when we read the newspapers, we can see that in the next ten years there will be a further 5% reduction in purchasing power as a result of the new pension rules. New pension rules based on a lack of understanding of statistics, allowing pension funds that are perfectly capable of paying decent pensions, which is simply banned by this cabinet. Unlike 50PLUS, the PVV is not for both mass reception of economic asylum seekers and the protection of our elderly. We just choose our elders and understand that you can't choose both at once. I would therefore like to call on the cabinet again this year to make substantial improvements in purchasing power for older people. A step could be to change the calculation rate for pension funds, much more taking into account the actual returns achieved, to a more realistic level. We have talked about Europe but not yet about emergency aid and certainly not about the never ending story Greece. There is little insight into how billions of aid is being spent on euro-area countries in need, according to the General Court in September. Over EUR 440 billion has been granted in recent years in the form of emergency aid loans. Not only is there little insight into where that money ends up, but it simply doesn't look at whether that money is being spent effectively. Democratic control is lacking. And how do the lending agencies, such as GLF, EFSM, EFSF and ESM, which should manage our tax dollars, respond to this? By extending the repayment periods and reducing interest rates. In other words, giving away our tax dollars sneaking away. And what does our Finance Minister, in his crucial role as President of the Eurogroup, think of that? The opinions are divided, just as the opinions on the vocal qualities of the bard in Asterix and Obelix are divided. The minister thinks it's fine, the rest of the world doesn't. In August we saw another episode in the Greek drama passing by. Unfortunately, this time it is not a piece of Euripides in which Greece is suddenly relieved of its problems by a deus ex machina or Europe of Greece. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no...................... Last week, for example, we read in the newspaper that the countries of the euro area refuse to give Greece the next EUR 2 billion credit package. The Greeks have not complied with all the agreements with the euro countries. "It's getting annoying," a negotiator would have said about the Greeks' attitude. We ask the question "only now?" Perhaps the Minister could say a little more about the next company and also about the number of companies that count this unconventional drama. I automatically come to the subject of guarantees. The Empire guarantees a total amount of 479 billion in guarantees and guarantees in 2016. This amount has again increased by 3.4 billion compared to 2015, as we read in a letter from the General Court. An important part of the guarantees relates to international guarantees. If I add up the international guarantees in chapter 7 of the Millions' Note, I'll get about 152 billion. Now, the General Court has previously called for attention to be paid to the risks to public finances and to the risks to the Netherlands in international guarantees. If there is no idea at all of the uses of international loans, no idea where that money will end up, no idea whether that money will be spent effectively and no democratic control of loans, how can I understand that there would be a view of the risks we run with the 152 billion in guarantees to the same institutions? This question is all the more important because all these risks are closely linked. If it goes wrong somewhere in this risky pyramid game, it also goes wrong on all parts. I await with interest the Minister's response.
ParlaMint-NL_2015-11-17-eerstekamer-3.u69	I listened very carefully to your speech, Mr Van Strien. I'm stuck with a little puzzle in my head that I can't get out of. You like puzzles, so maybe you can help me. There is much that the taxpayer gets for his choice: the elderly, asylum seekers, the general failure of this cabinet, burdens and so on. You've explained that in detail. Can you explain to me how this afflicted taxpayer is being helped by a vote against the PVV when it comes to a tax reduction of 5 billion for the same citizen who has been so afflicted?
ParlaMint-NL_2015-11-17-eerstekamer-3.u70	We are not yet ready for the Tax Plan and I do not think I have said anything in advance about my voting in that context. Apart from that, I think that a lot can change and that a completely different budget is possible, with very different tax facilities that would be so much better for the Netherlands. Then we are looking not only at tax revenue but also at expenditure. An important part of my speech is about this. You have to look first and foremost at tax expenditure.
ParlaMint-NL_2015-11-17-eerstekamer-3.u71	Then we shall resume the debate. It is also very nice to note that Mr Van Strien leaves room for that debate. The PVV has not yet taken a position on this issue. It's good to hear that. With everything Mr Van Strien says, my question remains, quite specifically: what is the Dutch taxpayer's problem with the vote against, should the PVV vote against?
ParlaMint-NL_2015-11-17-eerstekamer-3.u72	I'm not going into this as-then question.
ParlaMint-NL_2015-11-17-eerstekamer-3.u73	Then we'll keep him in reserve; he'll be back.
ParlaMint-NL_2015-11-17-eerstekamer-3.u74	Thank you very much, Mr Van Strien.
