ParlaMint-NL_2015-07-07-eerstekamer-8.u1	I have already welcomed the Secretary of State for Security and Justice to the Upper House.
ParlaMint-NL_2015-07-07-eerstekamer-8.u40	The main point is that there should not be a standard situation in which a judge without guarantees, such as an interpreter, makes an assessment on the ground of a new asylum motive. That is such a serious new fact that it lends itself to an assessment by the board, followed by a full test by the judge. The judge can say: I do not take this into account; you must put forward the new asylum motive via the appropriate standard method. The judge can also say: include it in the proceedings via the administrative loop. You can, but you don't have to. This will be one of the elements on which judges will base their choice in practice.
ParlaMint-NL_2015-07-07-eerstekamer-8.u41	Finally, on this point.
ParlaMint-NL_2015-07-07-eerstekamer-8.u42	I conclude from this that judges do have the opportunity to test a new asylum motive ex nunc. I'm very happy about that. Then there is the question, which, under the directive, would show that a new asylum motive is not covered by the new elements of the ex-nunc test. Or do you agree with me that it is Union law that obliges the judge to check a new asylum motive ex nunc?
ParlaMint-NL_2015-07-07-eerstekamer-8.u43	That could have been under the directive. That is why we have included it in the original proposal. It is not in the directive that it should not be; we originally proposed it. The directive provides scope for this. The point is that these new motives can come forward. An asylum seeker still has the opportunity to put forward a new motive and derive rights from it. It doesn't say: you're already using motive A, so you've lost your chances.
ParlaMint-NL_2015-07-07-eerstekamer-8.u44	I would like to make a very small point, Mrs Strik.
ParlaMint-NL_2015-07-07-eerstekamer-8.u45	The Secretary of State says it's okay with the directive. But this ex-nunc review is an obligation, isn't it? What does he read that the judge doesn't have to?
ParlaMint-NL_2015-07-07-eerstekamer-8.u46	The ex-nunc review is an obligation. Therefore, all new elements involved in the full review of an initial assessment are addressed. But a new asylum motive is of course not a new fact on the initial assessment, it requires a new assessment. Someone invokes an asylum motive, which is likely to be rejected, otherwise you will not have to go to court, after which the judge will take a full look at the decision taken by the board on the grounds of asylum. All relevant facts subsequently added to the review of that judgment shall be taken into account. Of course it is very difficult to say: yes, but I also had another motive. You then throw the board into a review that an unsubstantiated motive has not been dealt with. This is so far removed from the assessment of the decision taken initially by the Board that it is obvious to do the separate or via an administrative loop.
ParlaMint-NL_2015-07-07-eerstekamer-8.u47	Really the very last thing on this point, Mrs Strik.
ParlaMint-NL_2015-07-07-eerstekamer-8.u48	It's a new element, a new fact. You can keep a whole line of reasoning as to why this cannot be dealt with in the same way, but it remains a new fact and a new element. Does the directive allow you, even though it is a new fact, not to include it in the ex-nunc test? I do not read that in the directive and I am curious to know where you read it.
ParlaMint-NL_2015-07-07-eerstekamer-8.u49	It must be relevant to a test that complies with the decision of the Board. This procedure is conducted on the basis of a proposed asylum motive, and there is a new element which sheds new light on the work done by the administration in the first instance in the procedure. This is a whole new motive. The judge does not say: because there is another motive that has not been put forward, I think that the board has not done its job properly. However, there is every reason to carefully assess that motive through an administrative loop or a new procedure, after which the judge can review that judgment again.
ParlaMint-NL_2015-07-07-eerstekamer-8.u50	For us, it is very important that this review should be full and, moreover, ex nunc, where circumstances and facts which are at that time and which, of course, coincide with the decision taken earlier can be fully taken into account by the courts. I think it is very important for the Secretary of State to state that he does not want to complete the judge's discretion until the last centimeters. That is not the job of the legislator in such difficult circumstances. So I can live well with the explanation given by Secretary of State.
ParlaMint-NL_2015-07-07-eerstekamer-8.u51	Thank you. Mr. Chairman. Mrs Strik asked about the procedural guarantees appropriate support and sufficient time and how people are being ground between those procedures in her words. At the start of the asylum procedure, the assessment of the need for special procedural guarantees in the individual case also starts. That assessment is not a moment. This can occur continuously in the process and the decision can be taken. FMMU's advice is an important part of this. It examines whether a person can be heard and, if so, whether there are certain requirements and circumstances to be taken into account. So this is a matter of individual customization, to use that term again. If there is reason to consider anything, then the IND also takes that into account. That can be by adjusting the questioning, giving additional explanations, verifying whether what has just been communicated is understood, giving extra breaks. All kinds of practical, pragmatic things that you cannot fully capture in advance are then possible. The assessment of the application shall also take into account the extent to which someone understands it. The extent to which you object to contradictions at the level of detail in the statement may be influenced by the extent to which special circumstances occur in the individual person. The IND people don't just do that, just because of the not insignificant talents they have. In addition, they follow the European training module interviewing volnerable persons, in which they are provided with techniques to identify such circumstances during a conversation. In this way, we prevent the undesirable situation from being crushed by bureaucracy or by the rules. A series of questions have been asked about the comprehensive credibility assessment. Many Members have put it forward. The difference between old and new, to put it bluntly, is mainly the motivation. It allows the judge much better to form an image of the work you've done. That's how you're gonna enable him to do a full test. You want to keep the judge from saying, "I don't have enough insight into how the decision was made, so I'm just gonna have to do it again." That would also not be in line with the intention we have with this system. That is why this has already been indicated in advance and the positive-confidence teaching has been abandoned. Under that doctrine, an aggravating circumstance, such as the attributable lack of documents, led to a higher burden of proof being demanded from the asylum seeker. The full credibility assessment takes full account of everything and does not reverse the burden of proof. This also gives you a better insight into why certain circumstances lead to the judgment "believable" or "unbelievable." The increased burden of proof is omitted, which means that we go into everything and put it in the justification. It has been asked whether it is a new policy. It is new, but in practice it does not lead to other results. So it's not a new policy. In our view, it is a better motivation. If it is not enough for me to think and say that, which I would, of course, regret, then we also have the Administrative Court Division, which was set up on 9 April. The Commission has made a statement on this matter. In its judgment it is noted that it is not a change of policy as referred to in Article 83, introductory wording and point (b) of the Foreigner's Act and that it is therefore not a change of law. As the section says, this is not a substantive change in the assessment framework, but a different method of justification. It has also noted that this is the case. I'm coming up on the...
ParlaMint-NL_2015-07-07-eerstekamer-8.u52	I'll come back to the questions about the full ex-nunckeying. I have not yet heard an answer to some of the questions I have asked. I don't know if the Secretary of State will be able to come back to that in a moment. It was about the following questions. Has the Secretary of State examined whether the proposed interpretation is an effective provision as referred to in Article 47 of the Charter? If so, what is the outcome of this further investigation? Can the Secretary of State explain how Article 47 of the Charter is interpreted in this respect in neighbouring countries? In the documents of the plenary session in the House of Representatives, I read that the Secretary of State had requested information from the Member States in response to questions from the CDA Group, but did not yet have it at the time of the plenary session. Is this information available by now?
ParlaMint-NL_2015-07-07-eerstekamer-8.u53	To begin with, I have indicated that I do not have an overview of how far the countries are now. Soon the deadline will expire and then it will have direct effect, insofar as countries have not yet implemented it. So I don't have an overview of that right now. If it's okay, I'll come back to the other question. The term "research" always sounds very big. Perhaps I can get a little more explanation towards the second term of what exactly is meant by'research'. So I'll come back to that later, if I don't get back to you sooner. Mrs Stienen asked: how do you distinguish between withholding documents in order to get into a better position, in which case you do not really want people to benefit from them in the procedure, and withholding documents from fear of death, from body retention and that kind of thing, because of the vulnerable position in which people are in particular when brought here by smugglers? In the proceedings, the IND pays great attention to the presence or absence of documents, but also to the accountability of the foreigner. That is now also in policy and in practice. Therefore, circumstances such as compulsion are taken into account if they are reflected in the asylum story. The absence of documents is not an independent grounds for rejection, but it is an element that is taken into account in the assessment, taking into account also the circumstances under which the documents have been lost, surrendered or otherwise disappeared. If there are no documents, the hearing also specifically asks why that is. Then the asylum seeker can make a statement on this, which is also judged on credibility. If it is plausible that there are no improper motives in the game, it is concluded that there is no deception or bad faith. Ms Stienen also asked about the adaptation of the Work Instructions 2014/10. It has now been adapted, as of 1 January last, to anticipate what was to come at an early stage. This has also been done in order for the IND to work with it at an early stage. If we were to start only now, we would still have children's diseases, as we call them. As a result, the IND was already able to examine informally in the case-law procedures whether this would indeed provide a better basis for the full test. That is why I am confident that the work instruction as it is today and the practice as it has grown over the past six months will be sufficient to enable us to get right to work on the entry into force of this law, should the Senate agree. I also got a series of questions about a medical test. The question is: when will it be paid for? We have also often had the discussion about the question: should a medical test, which is also quite far-reaching, be carried out immediately? It may, of course, be that, apart from the medical grounds, there is already reason to grant a request. Then it is our preference to accept the request and not to expose that person to such a rather far-reaching medical examination. In that sense, it is not always necessary to actually do the research if someone claims that it is relevant. The medical certificate may, if it is eligible for reimbursement, be relevant and decisive for the assessment of the application. Then it is necessary to be able to accept the application. In those cases, the IND would also start the investigation itself and it is therefore logical that compensation should be made if the foreigner started it on his own initiative. I come to the question of reimbursement in the subsequent procedure. In that case, I'll look at it differently. It is, of course, the intention in all cases that matters should be identified in the first instance. Someone must immediately tell us what is going on, what is going on and what are the relevant factors that could contribute to the acceptance of the asylum application; let us assume that this is the intention in all cases. Then I think it is not surprising that we are a little stricter in terms of the reimbursement of own-initiative research. When someone puts something in the next case, it is first examined whether it was indeed impossible to indicate it in the first instance. Also in such a case, the IND may decide in the subsequent procedure itself that such an investigation is necessary. Then the IND will pay for that, too. If the stranger does it at his own risk, I do not think that compensation should be standard in the subsequent procedure. I'm not ruling it out. There is room for a different decision in individual cases, but I think it is a sound starting point not to compensate and only to compensate for costs in exceptional individual cases.
ParlaMint-NL_2015-07-07-eerstekamer-8.u54	I think we've come a long way. Can I understand the words of the Secretary of State as follows? Suppose in an individual case, for whatever reason, the medical information could not initially be given, for example because the stranger was still paralyzed with fear and did not immediately want to put his entire medical record on the table or was afraid to talk about trauma and scarring himself. If it turns out that this can be explained psychologically, I assume that the IND is looking at such a situation in all reasonable terms and, where appropriate, still reimburses the medical costs.
ParlaMint-NL_2015-07-07-eerstekamer-8.u55	It's still an individual consideration, so I don't want to make a judgment here that would categorically lead to compensation. I can imagine, for example, a situation in which it is not initially put forward as an element, but the stranger started the investigation on his own initiative. That investigation was not considered in the first instance. In the second, subsequent request, the research already started can count and lead to acceptance. Then, of course, research is a crucial element in this. I can imagine that it would then be decided to make a payment, because the investigation was a relevant part. I also expect that part of this will crystallise because judges, if necessary, will adjust in cases where there may not have been an individual assessment.
ParlaMint-NL_2015-07-07-eerstekamer-8.u56	The Secretary of State is also likely to have been able to take note of the ruling of the Administrative Court of the Council of State that this kind of situation can only be brought to the attention of a further application. At that time, the Council of State took the view that these could be very relevant new data, which could give rise to the acceptance of the request.
ParlaMint-NL_2015-07-07-eerstekamer-8.u57	Yeah, that anyway. And apart from that, there is the question of funding. It's possible. Secondly, we are more reluctant to do so, but in individual and distressing cases it may be decided to reimburse these costs.
ParlaMint-NL_2015-07-07-eerstekamer-8.u58	I am pleased that the Secretary of State is at least giving up the rigid position that it cannot go into subsequent procedures, yet wants to make a payment if it turns out that the investigation contributes to the acceptance; then it has clearly been relevant. He limits that to an individual consideration. I ask the Secretary of State to inform the Chamber about how this will work out if it has crystallized more. In how many cases, and on what criteria? You can do that in a year or so.
ParlaMint-NL_2015-07-07-eerstekamer-8.u59	This will undoubtedly remain an element in the discussions. After a year, I can look back on how it's evolved. I don't know if there's going to be standard criteria. I do not know to what extent a judge, if we are reluctant to grant individual awards, will find that it was not good. The starting point remains that it should be indicated as early as possible and that in any case it is required that this is an essential element for acceptance. In individual circumstances, compensation may then be made. That won't be standard. It is therefore all the more interesting to see and discuss developments in practice and possible case law. Then there was another question about the tendering procedure. I refer to the contribution from the Chamber. A party would have stated publicly that it had reasons not to participate in that procedure. I'm just describing it as being so overwhelmed, because it's a procedure that's running. During a tendering procedure, I can't do much more. I can't talk to a party about that. Anyone who thinks about it and disagrees with it may still object. Someone who doesn't think, doesn't. The procedure is closed. Furthermore, I have no opinion as to whether the parties consider the tender to be interesting enough and are willing to invest the costs necessary to meet the requirements of the tender. Now that the procedure is closed, we shall look into what it will bring.
ParlaMint-NL_2015-07-07-eerstekamer-8.u60	I understand you don't want to say anything about the procurement procedure, but this is a public letter that I found on the Internet. It lists some objections to the programme of demands, by the only organisation in the Netherlands doing this type of research. That's why I thought it was relevant. I don't know what the objections are, because that's not what it says. You will read in the program of demands that the medical examination must take place within the AA, if the IND so wishes. The IND determines the time frame within which such a medical examination should take place. This may have to be done in eight days. My question was whether it is necessary that the AA and the IND are leading. Would it not be logical, if the advice from the medical point of view is that the investigation should be more careful or whatever, to forward it to the extended procedure, so that there is less pressure on it and a careful examination is possible?
ParlaMint-NL_2015-07-07-eerstekamer-8.u61	There are a number of reasons for being reluctant. As the only party to do so raises public objections to the procurement procedure, I would like to say something about any other parties who have apparently found the plan of requirements sufficiently attractive and think to be able to meet them. That's a field I don't like to go into. Of course, we have been asked whether there can be a quick delivery. In many cases, it is also in the interests of the asylum seeker himself to clarify the situation as soon as possible. I don't want to be standardized for a very long-term medical examination. We also have good experiences with very fast procedures, in which you speak earlier in terms of days, to do so. If necessary, it is also possible to build in a little extra time in the AA. It is also possible, but that is not standard, to choose referral to the extended procedure. In practice, we see that more time is needed especially in psychic-medical matters. That's possible, but we're being asked to be quick with that investigation. Then there were questions about the relationship between the Procedural Directive and the border procedure upon arrival. The basis for the border procedure lies in Article 43 of the Directive itself. It states that Member States may introduce procedures for deciding at the border on the admissibility of an application for asylum and, in part, on the content of an application. There is a list of exhaustive criteria which may lead to obvious unfoundedness. In these cases, therefore, the border procedure is allowed in order to determine quickly whether there is a Dublin case, inadmissibility or manifestly unfoundedness. If one of these cases is involved, the application shall be rejected. Then the border procedure as such has ended and the foreigner generally remains in border detention, pending transfer under Dublin or expulsion on grounds of inadmissibility or obvious unsubstantiatedness. If one of these grounds is not mentioned, the border procedure will also be terminated. The border detention will then be lifted and the application will continue to be dealt with in a country procedure. Amvs are not included in the border procedure. It is explicitly the intention, as has been pointed out, that the border procedure should be as short as possible. I intend to lay down that point of departure in the Aliens' Decision, so that there can be no misunderstanding that it is the intention and the intention that the procedure should be as short as possible. It has been suggested that the border procedure lasts four weeks. At least it never lasts more than four weeks. The procedure does not normally last four weeks. In practice, it will almost always be much shorter. We really want to be as brief as possible. In some cases it is already clear after the first hearing. Sometimes you see it's a Dublin case. Sometimes you also immediately see that there is no such thing as one of the quick grounds for decision and that you have to bring the matter seriously into procedure. Then we will do the same and the border procedure will be terminated immediately. It has been asked how this relates to the ultimum-remedium character of preservation. I simply see no other way to comply with my Schengen obligation to ensure that I check who enters the country. It is not intended to allow purely asylum applications to enter the country. I have to take that into account, too. I see the border procedure, which I want to keep as short as possible, as the only effective means of finding a balance between the importance of not keeping people unnecessarily in border detention in the procedure and the obligations we have under Schengen to ensure that people who are not entitled to access enter the Schengen area. Mrs Wezel has asked for the law to stipulate that unaccompanied minors and children's families with minor children are placed in border detention only as a last resort. As I said, I will include in the Aliens' Order that single minors are not placed in a border procedure. They are treated in Ter Apel and therefore do not come into border detention. That is also in line with the directive. So this is not about "only in the last instance," it just doesn't happen. The directive does not require it, but the policy is now not to place families with underage children in a border procedure or detention. We will continue with this policy. For cases where there is reasonable doubt about a person's family relationship or minority, we have the closed family location in Zeist available.
ParlaMint-NL_2015-07-07-eerstekamer-8.u62	My request was to include it in the law. So I'm asking the Secretary of State if it can be incorporated into the law.
ParlaMint-NL_2015-07-07-eerstekamer-8.u63	I want to include it in the Alien Order. Then it'll be clear soon enough. It has the same effect. I don't want to change the bill we're dealing with here again.
ParlaMint-NL_2015-07-07-eerstekamer-8.u64	I am not talking about this bill either, but about the law that goes to the House of Representatives in September.
ParlaMint-NL_2015-07-07-eerstekamer-8.u65	That's right. I'm sorry. I want it included in the decision as soon as possible. That's got to start this month. In my view, it is then completely anchored. We need to see if it makes sense to include it in the law itself. I don't want to rule that out or commit to it right now.
ParlaMint-NL_2015-07-07-eerstekamer-8.u66	Mrs Wezel, finally.
ParlaMint-NL_2015-07-07-eerstekamer-8.u67	This concerns Article 11 of the Reception Directive and Article 17 of the Return Directive. It's specifically in those guidelines. It would be nice if it were also enshrined in the law.
ParlaMint-NL_2015-07-07-eerstekamer-8.u68	I don't rule out coming to that conclusion. Matter of fact, I'm gonna take care of it, but to tell you right now, I'm gonna put it in a law that's still gonna come... I can postpone it for a moment to see if I can come to any further reflections between the deadlines, but I do not want to commit or rule it out on the spot right now. First of all, I would like to see whether it makes sense to include it in the law, because it will add nothing materially to the practice and position of people at the moment. It may be that, taking this in mind and looking at the law again, I will conclude that it also makes sense to include it in it. But to make that decision so quickly, I do not feel comfortable with it. Mrs Stienen asked in what cases asylum seekers enter the closed extended asylum procedure after four weeks. Technically, this closed extended asylum procedure will no longer exist because we have the border procedure. Asylum applications within the border procedure shall be decided within a maximum of four weeks. If it cannot be decided within four weeks or if it cannot continue in the border procedure, access will be granted automatically and the border detention will be lifted. Only if a foreigner proves to be a threat to public order or national security can foreign detention be instituted as a separate measure after the four weeks. That is at least the subject of 1F. This is done on the basis of Article 59b of the Foreigner's Act. There were also questions about the impact on the finances and the lead times of the possible adoption of this bill. Mrs Van Bijsterveld asked whether there would be no negative impact of the bill on the lead times.
ParlaMint-NL_2015-07-07-eerstekamer-8.u69	I also asked a question about vulnerable people. We have talked about minors and families with underage children, but I am also curious about the State Secretary's assessment of vulnerable persons. I am thinking, for example, of Syrians fleeing a war zone, but perhaps the Secretary of State himself has suggestions as to what he sees as vulnerable persons.
ParlaMint-NL_2015-07-07-eerstekamer-8.u70	I apologize. I saw minors standing there, and I thought, "I just answered that." Of course, there are also adult vulnerable people. As I said, in the case of underage single asylum seekers and families, this is not dealt with in the border procedure. Furthermore, anyone who reports to the external border is assessed whether there are indications that border detention is undesirable. That is also an individual consideration. Then automatic access is granted and referrals are made to the registration centre in Ter Apel. I do not have an exclusive list, but highly pregnant women and the categories I have already dealt with in detail are certainly included.
ParlaMint-NL_2015-07-07-eerstekamer-8.u71	People from war zones, such as Syrians, aren't they, by definition, vulnerable?
ParlaMint-NL_2015-07-07-eerstekamer-8.u72	No. An initial medical screening could show that there is a vulnerable person. This underlines the importance of its speed.
ParlaMint-NL_2015-07-07-eerstekamer-8.u73	Mrs. Strik, a quick question, please.
ParlaMint-NL_2015-07-07-eerstekamer-8.u74	I also had a question about those who need special procedural guarantees. These are not Syrians or a particular population group, but people affected by torture, rape and so on. Article 24 and Article 25 of the Directive state that, in principle, the border procedure should not apply to them. How does the government manage to identify them and then transmit them directly to the country procedure?
ParlaMint-NL_2015-07-07-eerstekamer-8.u75	Then I refer to my earlier answer in general about special facilities and guarantees for people who need them, namely that it is a continuous part of the process and that the IND staff are also trained to recognize and ask for it. This also applies in this context when it comes to the first decision on the suitability for border detention. Then I come to the questions of lead times and finances. This is one of the tricky parts, because this requires a prediction, while my person's predictive abilities are limited. If you allow all the choices that will take place in practice in the process, including before the courts, to go one way in the sense that it will all take longer, then it can lead to a considerable delay and cost increase. We also have calculations that show that there are accelerating elements in it that can save you something. We didn't book it in. I myself have put it in the note to say that the calculation is there, but I do not count myself rich but not poor either. So it's really hard to say. In any case, the aim is not to have longer procedures. Nor has it been said that a somewhat longer procedure necessarily leads to more costs. If the longer procedure has ended, then one and a half times one and a half can be more efficient than two times one, looking at the old situation in which it might have led to a new procedure. It's all elements that are difficult to provide. However, we have set legal deadlines that will guide the courts. There is no financial penalty for this, but it is part of ongoing consultation. Those deadlines are not for nothing either. The estimate is about the financial consequences. It also makes it difficult, of course, to give a good assessment of the workload which would then be reflected in that estimate. This is only apparent in practice. So now we have the compensation for the start-up, but as far as structural compensation is concerned, we want to wait and see what happens. The case law itself will also map the effects. Moreover, if there are longer lead times, we have already anticipated them by means of a better motivation.................................................................................................................................................................................................. Mrs Duthler asked what should be understood as an independent study of the lead time and costs. The expectation we now have is an assessment of the method of working as we project it on the new rules. There is also informal consultation with the courts. If the credibility assessment is more transparent, we hope to provide a better basis for full scrutiny and for a faster procedure, so that this does not require an independent investigation. In fact, it would require extensive interrogation, including interpretation, if an independent investigation into the credibility of an individual case were to be carried out materially by the court. If we do that with the IND, there are many demands on the quality of the interpreter, on all available sources that exist independently of the person and on the knowledge of the country of origin. That is why we are doing everything we can to facilitate as much as possible that this will not be necessary. It has been asked whether the department's estimate is including this element. We have presented the new proposals and asked for an estimate. To the extent that they expect themselves to do it, they will have taken it into account. We do not have an option table, where they said: if we decide to do it later, it will cost so much and otherwise it will cost a little less. Furthermore, the question has rightly been asked in relation to the influx. Of course, you can calculate how much one procedure costs, but you also have to deal with the number of procedures related to the influx and the number of professions that result from it. We'll look at that trajectory separately. The current claim of the department will be included in the Autumn Note and the Spring Note 2016 for the coming period. In that context, we will see if the numbers are still up-to-date. It is also not so much a comment as I would like to say that a much higher influx automatically entails much higher costs, because for the influx that we have today, there is a very high acceptance rate because of the precarious situation that these people come out of and because acceptance usually does not lead to a profession.
ParlaMint-NL_2015-07-07-eerstekamer-8.u76	Can the Secretary of State also talk quantitatively about the expected influx? What are the expectations based on?
ParlaMint-NL_2015-07-07-eerstekamer-8.u77	Sure. Last year we had a big increase. That was not the case this year, because that increase had already taken place last year. I'm sure I can see the influx reaching that level. In addition to the original influx we have, there is a great after-travel effect. Looking at it now, it will be hard to see if the original influx is higher than last year. With the return effect, we will certainly approach last year's level. It is now difficult, halfway through the year, to make a harsh statement on this. The route of influx has many seasonal elements, which vary per year. The peak may have been deployed a little later. If that peak also decreases later, we will certainly come back to last year's numbers. That is why I have indicated that we must take into account the need to provide temporary emergency facilities for the reception of people at the peak. Afterwards, people can be captured by the outflow at regular COA locations.
ParlaMint-NL_2015-07-07-eerstekamer-8.u78	Can the Secretary of State make it concrete? Are we talking about an influx of between 20,000 and 40,000 asylum seekers?
ParlaMint-NL_2015-07-07-eerstekamer-8.u79	Last year there were 30,000 in total. With the after-travel effect, I don't expect the number to be far below. In the meantime, world peace has not broken out, as I have already said. There's pressure on many parts of the world. So I don't foresee a significant drop in inflow very quickly. Then I come to the always interesting folder with other questions. Questions have been asked about transitional rights. On the contrary, we want immediate action, not necessarily transitional. A full ex-nunc investigation can be applied to all matters that have taken place from the moment of entry into force. If the bill were adopted today, it would help greatly to prevent transitional law and legal uncertainty. Mrs Van Bijsterveld asked about the accumulation of the changes. How should we see them in the problems of return policy? The directives are a careful procedure which takes account of the individual's circumstances. Willingness happens when it is in place, so that clarity can be provided as soon as possible. For this, reinforced instruments come back so that Member States can fight abuse and be ready quickly with unpredicted follow-up applications or manifestly unfounded applications. I am not hiding from the difficulties in implementing the return policy. It's not like there's no return. Thousands of people return a year, but their numbers are not as large as those of the influx. In my view, one of the key elements here is that the European countries should jointly make it clear to third countries that return is a serious matter. We should not be heard there one by one and without any consequences. I think that we should seriously associate this with other elements, because countries with which the return procedure is difficult often have different interests, in which they are the asking party. It seems fair to me that you take back people from your country who have no right to stay here. In the meantime, countries with which we have problems with the return policy are often blamed for the fact that the people they need so much to build their country are all here. Then let's start with an even better approach to return than we are now. I welcome the recent report by the ACVZ (Advisory Committee on Foreign Affairs), which states that success is being achieved with what Security and Justice are doing, but that there is still room for improvement in areas where there is a need for cooperation. We had already suspected that, and that is why we requested that investigation. I am pleased that we have received concrete advice. We will inform Parliament more about this. Questions were then asked about the accelerated procedure and a comparison was made with the United Kingdom. I know a general procedure and an extended procedure. It is fast, but not accelerated, as the directive defines it. We only have a one-day test for subsequent asylum applications. That's kind of accelerated. The Procedural Directive simply allows a repeat application to be made more quickly. With the ruling on Britain, I am not aware of any extremes. However, it is also very similar because Britain has an opt-out to the directives. The exercise of applying the requirements of the directive to Great Britain is theoretically interesting, but will not in practice lead to any pressure for adaptation. Mrs Wezel asked whether there was an effective remedy, such as an effective remedy. It's about Article 47. That Article 47 has been binding since 1 December 2009 and has been part of our current law for a long time. We consider the current review to be in line with that provision. We therefore have no reason to believe that this new full review would fall under this heading. We have not done any further research, because we do not see the need to do so. If you compare the changes, linked to Article 47, they will certainly not make it more problematic. The old system already met in our eyes. Mrs Strik asked about the interesting phenomenon that the shelter ends, the four-week departure period has expired and the judge has not yet given a ruling. We assume, of course, that the ruling will be made within the time limit. If that is not the case, the case is dealt with and examined what is in the interest of both the Dutch State and the one who has been waiting a long time for his ruling. However, this is not a standard provision, because we assume that the deadlines will be met in accordance with agreements. Mr. Chairman. That brings me to the end of my first term.
ParlaMint-NL_2015-07-07-eerstekamer-8.u80	Thank you. Then we have now reached the second term of office. I give the floor to Mrs Van Bijsterveld.
ParlaMint-NL_2015-07-07-eerstekamer-8.u81	Mr. Chairman. From this place, I would also like to congratulate the spokesmen of D66 and the PVV on their maiden speeches held today. I would also like to thank the Secretary of State for answering the questions. In the second term, I would like to say a few words about both the content of the legislative proposal and the context. I'd like to start with the content. The legislative proposal makes the necessary changes and there is quite a lot to say about these changes. This is also clear from the relatively long speaking time requested and given by the spokesmen on this bill. What is striking is that the Secretary of State in the documents and now in the oral reply is quite relative about the nature of the changes. We also see this in the reply he has written to us. He says that there is actually a very high degree of overlap with current law and that there is no tightening or easing of policy. On the credibility test, the reply on page 4 states that there is no material difference. I have just heard in the oral reply that it is mainly a question of the way in which a judgment is justified. Some relative comments are also made on the ex-nunc review in the reply on page 3. We have just heard in the oral answer to the question that on a number of points we still have to see how the judge will deal with it. The Secretary of State does not want to go into too much detail. So there are many changes, with the necessary questions about their interpretation and implementation and also with the necessary structural costs. I have still not heard the Secretary of State mention the intrinsic advantage of these changes, which I myself referred to in my contribution, in particular the ex-nunc test and the credibility assessment. Are those intrinsic benefits not there, or has the Secretary of State simply overlooked that question? One of the main drivers of this proposal, as well as of the directive itself, is the harmonisation of national rules on procedure and reception. My group believes that harmonisation in this area is certainly useful and even necessary. But, of course, you can ask the question, as we do, which must be exactly the level of harmonisation if there are not really very few or even in some respects any differences with current substantive law. In other words, how far should such a directive intervene in a national legal system in order to achieve the objective of such harmonisation? If you say that systems are very much alike, at one is the credibility test a little bit sister, at the other so, the motivation is slightly different, but in the end the material comes down to the same thing. If we want to go so far in our regulations, we have to go so far as to go into that very deep detail that we want to achieve harmonisation, or do we have to look at it at another level? How far does the government want to go in this? Can't you say that it looks the same in general terms, in the details it's a little bit different, the effects and the outcomes are about the same and then we'll settle for that? How far does the government intend to go in this respect, how far does such a fairly sharp harmonisation go? That is what this directive is all about. How does this relate to the intention in the fields of I and A and also in the field of the European Commission's own intentions to focus on the implementation of EU law in the coming years rather than on the creation of new rules? With that idea in mind, too, I would like to support the fact that we are concentrating a little more on other things that really play and leave the refinements of the refinements for a while for what they are. Does the Secretary of State share that vision and does he intend to make a strong commitment to it? Does he expect at the moment that there will be more of these amendments to directives of the type we are talking about and what will his attitude be in this regard? About the context, I thought the Secretary of State was a little short. I was disappointed that he could not comment more specifically on the prospects of reaching agreement within the EU on a number of points and on the government's commitment. I did appreciate that he went into our questions about the return policy. We are also aware that this is a repulsive theme. He mentioned a number of measures and ideas which, in our view, are certainly important. My only question is whether this has already been started and if so, whether the Secretary of State can be a little more specific about it, or are these just ideas which the Secretary of State says he is going to work on in the near future? It would be nice if the Secretary of State would answer these questions seriously. Furthermore, my group will support the legislative proposal because it is an implementation of a directive.
ParlaMint-NL_2015-07-07-eerstekamer-8.u82	Madam President. I would also like to congratulate Mr Van Weerdenburg. I would like to thank my fellow Members for all their kind congratulations. I would also like to thank the Secretary of State for answering all our questions in detail. I have two more points. I hear many colleagues talking about the influx and great dramas. We all see that. There are 60 million refugees, of which 87% are taken care of in the region. In Europe, we are also dealing with large influxes. Nevertheless, I ask the Secretary of State to take a look at Mr Flip van Dyke's website. He compared the first four months of this year with the first four months of 2014. In the first four months of 2014, 5,475 asylum applications were made in the Netherlands, but in the first four months of 2015 they were 3,510. That's a 36% drop. So I'm a little confused by the panic I feel with some of my colleagues. People are afraid of huge numbers coming in. I would very much like a realistic description of the different types of figures. That doesn't necessarily have to be oral right now. That can also be done in writing. So that's my question about numbers. It is also a question of what we should be concerned about. I understand the Secretary of State has no predictive powers, but maybe he can take a look back at the past two years. The Secretary of State has briefly said something about current cases and transitional law. Forgive me, I am not a lawyer, but I can imagine that there are ongoing cases that are going on until 19 July of this year and that may not be completed yet. Perhaps there are also things that were already going on before 1 January 2015, when the work instruction came into force. I want to make sure that the implementation of the Reception and Procedure Directive does not allow people to fall between feet. Finally, I would like to thank the Secretary of State once again. I will advise the D66 Group to vote in favour of this bill.
