ParlaMint-NL_2015-01-22-tweedekamer-10.u1	I would like to welcome the same Secretary of State as just now.
ParlaMint-NL_2015-01-22-tweedekamer-10.u81	On the basis of the letter I am sending to the Chamber in four weeks' time on the overall package, we can weigh in full what further measures can be taken. I would advise against the amendments at the moment if the proposers did not wish to retain them.
ParlaMint-NL_2015-01-22-tweedekamer-10.u82	I do not think you can accept any amendments if the legislative amendment is put to the vote. Here's what I'm suggesting. The Secretary of State will be presenting his vision in four weeks' time. We shall now stop the debate. We can then reopen the debate in four weeks' time, if there is such a vision, and then we can see if the amendments can support policy or if the Secretary of State accepts them. Then we can vote on the amendment of the law. In that case, the proposers will not retain the amendments, but the Secretary of State will hold on to the legislative amendment proposal.
ParlaMint-NL_2015-01-22-tweedekamer-10.u83	I consider that an order proposal. I would ask Members to give their opinion on this.
ParlaMint-NL_2015-01-22-tweedekamer-10.u84	I graduated from state and government law once. If we allow the amendments to this law to continue, we will really change the essence of the law. Then it is good practice to ask for advice from the Council of State. I wonder whether we will be able to make any progress at this stage, but that is a nuance to Mrs Leijten's proposal.
ParlaMint-NL_2015-01-22-tweedekamer-10.u85	I would now like to ask your opinion on Mrs Leijten's order proposal. If you don't follow that, say so. Then it is up to Mrs Leijten to withdraw or maintain the amendments.
ParlaMint-NL_2015-01-22-tweedekamer-10.u86	For the reasons I have mentioned, I do not support the order proposal.
ParlaMint-NL_2015-01-22-tweedekamer-10.u87	No, I think we should just finish this debate now. This is a separate subject, so it's just possible. We'll talk about the rest. Then one can always table an amendment again if it is true that you cannot keep them. As far as I'm concerned, we're just gonna keep going.
ParlaMint-NL_2015-01-22-tweedekamer-10.u88	I support the VVD in this.
ParlaMint-NL_2015-01-22-tweedekamer-10.u89	Support the proposal to conclude this debate now and, if necessary, to review at a later date whether these amendments are on the agenda.
ParlaMint-NL_2015-01-22-tweedekamer-10.u90	Although I can fully understand Mrs Leijten's proposal, I do, in the end, choose to conclude it now so that at least there is clarity about it. If we have the discussion again in four weeks' time, I would like to return to these important issues.
ParlaMint-NL_2015-01-22-tweedekamer-10.u91	I agree with Mr Van 't Wout's words.
ParlaMint-NL_2015-01-22-tweedekamer-10.u92	After extensive consultation, I note that there is no support for Mrs Leijten's proposal. It is up to her to do what she thinks is right with these amendments. I will look around to the Members to see if there is a need for a second term. I note that this is the case. Is there a need for suspension prior to that second deadline? That is not the case. I shall be the first to give the floor to Mrs Leijten from the Group of the European People's Party (Christian Democrats) and European Democrats.
ParlaMint-NL_2015-01-22-tweedekamer-10.u93	Mr. Chairman. When you say "the fines should be higher if you break the Tobacco Act and sell tobacco products to minors or smoke where you are not allowed to smoke," you seem to take a technical measure. The question is, of course, whether a fine is effective in itself. Does that really scare you as much as it is suggested? I think if you're talking about fines, you should also talk about prevention and enforcement. The amendments that we have tabled are anything but untimely. On the contrary, they are very timely. Perhaps the increase in fines, which seems to be a technical exercise, is a distraction to do nothing else. Because I think it's a distraction. It seems very tough, as if people are being tackled, but I predict that it will lead to the hunting down of young people who are punishable if they have alcohol or buy tobacco, and of small entrepreneurs who are not allowed to smoke. You will see that where the big blows are to prevent addiction among young people and in preventing the deadly addiction to smoking, namely when selling, nothing is done. I kind of blame the Secretary of State for that. The Secretary of State says he is not in favour of a single age verification system, but the government does provide funding for one of those age verification systems; more than €100 per age verification system purchased, which has been proven ineffective. I propose by amendment that one age verification system be used by the whole sector without indicating which system it should be. I use good arguments for this: no more competition between systems, we break the delays in the sector itself, it is part of the enforcement policy and it is also part of the penalty policy. I really regret that the Secretary of State does not go into this because he has not yet got his vision in order; he has not had it in order for a very long time. In addition, there is indeed a single age verification system chosen by the government, namely the system that is not effective. I won't rest until that's resolved. I do not think that is possible. I do not think it is possible for the Secretary of State, on the one hand, to have no vision and postpone, postpone, postpone, and, on the other hand, by means of another subsidy and another ministry, put one age verification system firmly into the market, while we know that it is proven ineffective. In four weeks, we'll have the total vision. It's about time. I made the proposal to suspend this bill because, in the end, in such a total vision, the penalty also comes to an end. Anyway, we'll decide on that sooner. I maintain the amendments because I think they are part of this debate. Besides, I'm filing a motion. If we are investigating the maintenance of the sales age, it must be done by an independent party. The procurement procedures may have gone well technically, but the outcome is very uncomfortable. In this case, the independent party is an agency that is now proposing to set up a scientific committee, because it itself sees that there are doubts about independence. This agency is involved on the one hand in an age verification system, so it is biased, and on the other it has close links with the sector to be controlled by the Agency. Indeed, there was a one-to-one client relationship. There could have been a completely different outcome. The procurement rules may well have been followed so that they cannot lead to grounds for exclusion, but we are now faced with the situation that the results of the report will be questioned on all sides. I'll ask the Secretary of State if he likes it. I would like to table a motion on this matter to deal with this for the future. The Secretary of State must then amend the procurement rules, or act in the spirit of the motion if it is adopted, which I hope will be done by ensuring that an indeterminately independent party oversees on our behalf all of us laws that we adopt. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting the need for a reliable investigation into the maintenance of the selling age of tobacco;]] [[noting that Bureau Sochter has strong links with the supermarket industry, both in carrying out enforcement investigations and providing age verification systems;]] [[considers that there should be no doubt as to the results of this investigation;]] [[calls on the Government to ensure that the investigation into the maintenance of the selling age of tobacco is carried out by an independent party,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33738-12]]
ParlaMint-NL_2015-01-22-tweedekamer-10.u94	Mr. Chairman. I have some double feelings about tonight's discussion. We are dealing with a technical law that should make it possible for an AMvB to come. When's the AMvB coming? I'm very curious to know what term the Secretary of State has in mind. I hope that we will be able to receive them by May, for example. In addition, it is doubtful whether we will increase the maximum fines and, if so, when this will happen. So at the moment I have a lot of questions. I also have an uncomfortable feeling because some of the points that are important to my group have not been raised this evening, I mention the number of tobacco outlets and the reduction of the visibility of tobacco products......................................................................................................................................................................................................................................... There is no room for that either, since it is a technical law. It will be four weeks before we receive the letter we had hoped to receive in autumn 2014. We will have to wait for that letter. A positive point, I think, is that the campaign for the 100% non-smoking catering industry seems to start really quickly in February. I look forward to it. I had prepared a number of motions. Because of the course of the discussion, I will not submit all of them. However, I would like to make one motion, because it is clearly linked to the 100% non-smoking hotel and catering industry that the Chamber has agreed to and which we are now working on with each other. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the visibility of tobacco products affects the likelihood of smoking or successful cessation of smoking;]] [[Whereas the catering industry is becoming 100% non-smoking;]] [[calls on the Government to prepare legislation to ban cigarette vending machines in the hospitality sector,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33738-13]]
ParlaMint-NL_2015-01-22-tweedekamer-10.u95	Mr. Chairman. The CDA supports the law now before us. The law is a fine stick behind the door to deal with hard learners. Smoking is a case where 19,000 people die every year. We can always take measures at the end of the pipeline, as is happening now through enforcement, but it is also good to look at prevention. This also means a good spending of the money. That is why the CDA's proposal to investigate whether, for example, the proceeds of fines could be transferred to a prevention fund. I understand that the Secretary of State says that he can't just admit it in the sense that we're going to and that we really need to take a good look at it. I'd like to give him plenty of space for that, too. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the starting point for breaching the Tobacco Act is not to generate additional revenue for the government;]] [[noting that a comprehensive policy of discouragement requires good investment in preventive measures;]] [[calls on the Government to examine whether fines collected can be paid into a prevention fund and inform the Court of Justice of this by 1 July 2015 at the latest,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Bruins Slot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33738-14]]
ParlaMint-NL_2015-01-22-tweedekamer-10.u96	Mr. Chairman. I would like to thank the Secretary of State for his reply and his explanation of the follow-up to this legislative amendment. Perhaps I can remove some of the inconvenience felt by Mrs Dik-Faber and Mrs Leijten about this technical change. This was previously part of a package which included the smoking ban for the small catering industry. We deliberately opted for a cut in that, in which the smoking ban small catering for the summer recess was dealt with. So there was a very small piece left. The smoking ban on small restaurants has indeed been a huge step, which was not supported by all parties here. In a technical sense. I understand we want more. I'm happy to be naming the red elephant by the Secretary of State. I hope that our patience will be rewarded with a clear vision. It will also be an interesting debate, because the coherent package remains a matter of taste. For example, the Secretary of State indicated that he was somewhat surprised at the position of the SP on the small catering industry. There is also something to say about the amazement about the age limit, which D66 always found somewhat difficult. I therefore expect a lively discussion following the vision with which the Secretary of State comes.
ParlaMint-NL_2015-01-22-tweedekamer-10.u97	I would like to make a comment. The Secretary of State did it, but now Mrs. Rebel is doing it. She says something about the SP when she doesn't have to and while she just sits by my input. We have indeed not been in favour of bringing the small catering industry under the smoking ban. That is simply because we believe that this is not the most effective measure to prevent young people from starting smoking. It's bullying small businesses. That is why we voted against it. Mrs Rebel also knows that as far as the discouragement of young people is concerned, we are always working together as much as possible. That is also my criticism tonight: do not sit at the end with the fines, but also look at the beginning of the sale. I hope that we can continue to work together in this area.
ParlaMint-NL_2015-01-22-tweedekamer-10.u98	I know that we have worked well together in this area, especially in the fight against smoking among young people. I just wanted to make it clear that this small technical part was previously part of a somewhat larger legislative amendment, some of which we have already dealt with before the summer recess, especially because there was an interest in it. That's a choice. I do hope that, when we come to the coherent package of measures, we will find each other on the basis of support for those opportunities to combat smoking among young people. I had two motions prepared. I won't file one because I believe the Secretary of State... Oh, the chair goes a little back and forth. That's why I took a look at you, Mr. Chairman.
ParlaMint-NL_2015-01-22-tweedekamer-10.u99	I'm not doing anything.
ParlaMint-NL_2015-01-22-tweedekamer-10.u100	Okay, great! It'll do it on its own. I really want to be clear before the summer about the possibilities of banning the e-cigarette under 18 years of age. I challenge the Secretary of State to look, in any way, under the Tobacco Act, albeit in a different way, at the possibilities of banning shisha pens and the like under the age of 18. I am going to table a motion on the smoke monitor, partly on behalf of my colleagues Bruins Slot and Dijkstra. However, I am prepared to hold her until the Secretary of State sends a letter on this matter. With this motion, I would like to state that we are concerned about monitoring.
ParlaMint-NL_2015-01-22-tweedekamer-10.u101	Let me get this straight. Are you filing the motion?
ParlaMint-NL_2015-01-22-tweedekamer-10.u102	Yes.
ParlaMint-NL_2015-01-22-tweedekamer-10.u103	However, you also announce that you are holding the motion. I don't quite understand.
ParlaMint-NL_2015-01-22-tweedekamer-10.u104	I'm filing the motion because I think it's important. On the basis of the progress made in this file, we can see if the motion can be held. Another possibility is only much later. That is why I think it is important to keep this motion under control.
ParlaMint-NL_2015-01-22-tweedekamer-10.u105	The phenomenon that a motion is said to be possible before it is tabled is new to me; hence. Go ahead.
ParlaMint-NL_2015-01-22-tweedekamer-10.u106	Excuse me. Can I file the motion now?
ParlaMint-NL_2015-01-22-tweedekamer-10.u107	Of course. You're welcome to submit anytime.
ParlaMint-NL_2015-01-22-tweedekamer-10.u108	Good. That's what I'm gonna do. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that too many young people still start smoking before the 18th year of life and that this significantly increases the risk of health damage and addiction;]] [[noting that the new lifestyle monitoring scheme does not provide reliable figures for an estimate of smoking prevalence among young people aged 16 and over, not for school-based young people and young people in MBO;]] [[considers that understanding of the development of smoking prevalence among young people is of great importance in order to reduce the number of young people smoking;]] [[calls on the government to restore the smoke monitor for young people,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Rebel, Mr Bruins Slot and Mr Pia Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33738-15]]
ParlaMint-NL_2015-01-22-tweedekamer-10.u109	Mr. Chairman. As regards Mrs Leijten's comment and the question about vision and vision development, I would like to make the following points. We may sometimes differ on whether things are going fast or too slowly, or on exactly what is happening with the view of smoking. I would like to point out to the Chamber that it is difficult to maintain that we have not taken any measures in the past period from a view of the fight against smoking and smoking. I would like to draw attention to the limitation of age limits, on the NIX campaign18, on non-smoking catering, on information in schools, on non-smoking school squares, and on the implementation of the directive, which does not contain small packages, advertising bans, photos on packages, bans on flavoring, the reporting of ingredients and the minimum age for e-cigarette. That is a whole package of measures. Many say that it goes far too far, while others say that it does not go far enough. We're gonna have to live with that together. I insist, however, that we have a very active and proactive policy in the field of smoking control, particularly with regard to young people. That's what I wanted to say. The AMvB will be established as soon as the law is passed. If that is necessary, I will not wait a day after the law has been passed by Parliament. I shall then come to an explanation of the motions. As regards the motion in part No. 12, by Mrs Leijten, I go too far to conclude that there are, in advance, doubts about the results of the investigation at an agency which has strong links with the supermarket sector. In fact, we cause doubts by saying in advance and without results that everything that happens will not be right. I don't think that's a good idea. We have very careful tendering procedures for a reason. Several parties can register for this. They are weighed and examined to see if this leads to good results. I really think it goes too far to assume in advance that the investigation will be nothing. I would therefore like to discourage the motion. I shall then come to the motion on part No. 13.
ParlaMint-NL_2015-01-22-tweedekamer-10.u110	I think the Secretary of State is reading a motion other than that I filed. I am not saying that the investigation will not be good, but I am just saying that there should be no doubt. If you have such a clear connection, I think that's undesirable. That is why I am asking for this kind of investigation to be carried out by an absolutely independent party. I would like to hear an opinion from the Secretary of State on this.
ParlaMint-NL_2015-01-22-tweedekamer-10.u111	Then we're gonna ask the Secretary of State again.
ParlaMint-NL_2015-01-22-tweedekamer-10.u112	Almost every agency operating in this sector has in the past carried out activities or research for the industry or other parties. Then you would have the definition, in absolute independence, that you never worked for another party. I would like to point out that Mrs Leijten said in the debate that there will be a report in which, in advance, there will be doubts as to whether the results are satisfactory. She literally put it that way. There will then be a motion stating that there should be no doubt about the results of this investigation. I do not have those doubts in advance, so I am going too far to say that this agency would not be able to obtain good results. Of course, we believe that these results should always be good, that it should be a good agency, with honest results. We will look into that in this case too. I'm sticking to my judgment, and I'm dissuading the motion.
ParlaMint-NL_2015-01-22-tweedekamer-10.u113	Mr President,......................................................................................
ParlaMint-NL_2015-01-22-tweedekamer-10.u114	Only if you introduce a new element, otherwise it will be a repetition of moves, and you know it.
ParlaMint-NL_2015-01-22-tweedekamer-10.u115	I find it quite remarkable that the government, through Mr Van Rijn, said on 22 January that research should not be indeterminately independent. I actually think that is a weakness, because we could continue looking for research institutes, for example universities, where there is not such a close link as with this particular agency. I think it would be better for the Secretary of State to be more aware of this.
ParlaMint-NL_2015-01-22-tweedekamer-10.u116	I disagree that I said that investigations should not necessarily be independent. Inquiries must be indeterminately independent. I would point out that there are procedures for weighing that up. The research offices of universities have simply participated in the European tendering procedure. Eventually, it came to a weighting. Now there's a choice for that agency. We are not going to cast doubt on the results of this in advance, because there are sufficient safeguards in place. I shall now turn to the motion for a resolution by Mr Dik-Faber on part No. 13, about the cigarette vending machines. That is a motion that regulates a specific measure rather than an amendment. I have argued in favour of being able to see them in a broader context. I can imagine that the applicant is considering holding the motion until we have the debate on the broad vision of tobacco discouragement policy.
ParlaMint-NL_2015-01-22-tweedekamer-10.u117	That statement by the Secretary of State provokes Mrs Dik-Faber to react.
ParlaMint-NL_2015-01-22-tweedekamer-10.u118	The Secretary of State speaks about the broad vision or the wider context. I think that broad vision is the 100% non-smoking hospitality. We have already made statements on this. That bill was passed by the Second and First Chambers. There's also a court ruling on it. I understand the Secretary of State's request. I'll take that with me, but I'll tell you very clearly what the balancing framework is for me. Maybe that'll change the mind of the Secretary of State.
ParlaMint-NL_2015-01-22-tweedekamer-10.u119	If you did not hold that motion, we would have the problem that we have not yet heard an explicit opinion from the Secretary of State. It might be useful if he still gives it to me.
ParlaMint-NL_2015-01-22-tweedekamer-10.u120	I would advise against the motion at the moment, but I would suggest that it be retained because we are still going to have that discussion.
ParlaMint-NL_2015-01-22-tweedekamer-10.u121	I think we have already had the discussion on the 100% non-smoking catering industry. That's the trade-off framework. I understand the Secretary of State has a different framework of consideration. I'm going to consider holding the motion.
ParlaMint-NL_2015-01-22-tweedekamer-10.u122	Well, at least now there's...
ParlaMint-NL_2015-01-22-tweedekamer-10.u123	There is now a negative verdict.
ParlaMint-NL_2015-01-22-tweedekamer-10.u124	A statement by the Secretary of State on his appreciation of the motion. The Secretary of State continues his speech.
ParlaMint-NL_2015-01-22-tweedekamer-10.u125	Mr. Chairman. Then I come to the Bruins Slot motion in part No. 14. I thought we had exchanged the arguments on this issue. I think it's a creative idea. It is always good to see how we can further promote prevention, for example through such a measure. I also pointed out that we have rules on the state budget. We have agreed that we do not mix revenue and expenditure. For this reason, I must advise against the motion, but I assume that on 26 February, when we debate prevention, we will undoubtedly be discussing instruments that will help prevention even further.
ParlaMint-NL_2015-01-22-tweedekamer-10.u126	I'm not saying we're gonna do this right now. I only ask the Secretary of State to look into the possibility of doing so once, because this will also benefit the state treasury.
ParlaMint-NL_2015-01-22-tweedekamer-10.u127	If I know in advance that filling a possible prevention fund with income from another part of the national budget is contrary to the national budget rules we have agreed on in this house, I can investigate it, but that is not going to help you. Then I come to the motion on part No. 15, over the smoke monitor. I have promised a letter and I can imagine that the applicant is considering holding this motion until the letter on the smoke monitor has been sent to the Chamber.
ParlaMint-NL_2015-01-22-tweedekamer-10.u128	As long as we don't hear about it, it would be useful if you were to give an explicit opinion on the motion.
ParlaMint-NL_2015-01-22-tweedekamer-10.u129	So I think the motion is premature. I have promised that I will try to prove in a letter that we are gathering the right information. I'd appreciate it if the petitioner would continue the motion. Then we don't have to lure each other to judgment, which may not be necessary at all.
ParlaMint-NL_2015-01-22-tweedekamer-10.u130	I was a little quick with my speech. I was right to point out that it is a new way of working. I am a relatively new Member of Parliament, so thank you for that. I've learned something again. I am prepared to take a look at my fellow Members to hold the motion pending the letter.
ParlaMint-NL_2015-01-22-tweedekamer-10.u131	I don't see any colleagues jumping up furiously.
ParlaMint-NL_2015-01-22-tweedekamer-10.u132	I propose that we vote next week on the motions and amendments that have been tabled.
