ParlaMint-NL_2015-02-12-tweedekamer-8.u1	I would like to welcome all those present in the Chamber.
ParlaMint-NL_2015-02-12-tweedekamer-8.u115	Mr. Chairman. A lot of Groningers feel like they're cheating. Fucked by the NAM who only gives a few cracks close to real, big damage often not at home. Falsified by this cabinet, which clearly gives priority to the treasury, in 2013 the gas tap will be opened to the maximum and this year it will hold on to the 39.4 billion cub. Nor does the Minister's last decision give any certainty, but only creates uncertainty. The crane temporarily closes for the elections, but for the period after that the Minister keeps all options open. There is no guarantee that the 39.4 billion cube will not be won in the second half of this year. That's not how you treat people. People are entitled to security, not only until the state elections, but especially after that. After the previous spokesperson of the VVD accidentally gave us a glimpse into the strategy of the VVD paps and pumps, we read this morning in the newspaper the confirmation that the VVD money is more than security. As far as PVV is concerned, the reverse applies and we now turn off the gas crane to a maximum of 30 billion cubic metres. We've been two years and we've been investigating a bunch of things since the State surveillance of the Mines called, but what have we gotten? The recovery of particularly large and complex damage is hardly possible. The Vereniging Eigen Huis and the Groninger Bottom Movement have collected whole books full of stories from people who have been sent from the cabinet to the wall for two years but have not moved any further. Why does it have to take so long? Within a few weeks, the cabinet decides to transfer an extra €1 billion to the EU, but the compensation for the victims in Groningen is endlessly delayed. What will the National Coordinator actually improve for them? Is he going to be some kind of moving judge who goes to the people and has perseverance? Or is it going to be a bureaucratic moloch that has to take welfare committees and mayors into account? There you are, trapped in your own damaged, unsaleable house, waiting for the big blow that might come. For many people, this is a completely hopeless situation that goes down psychologically and financially, especially now it is clear that preventive strengthening will take decades and there is no guarantee that your home will be exempt from earthquake damage after strengthening. People must leave their homes for months before preventive reinforcement and then return after a new earthquake again in a month-long process of repairing damage. This situation is unacceptable as far as PVV is concerned. We therefore believe that a buy-out scheme should at least be proposed to these people. The Minister cannot keep the Groningen prisoners in a permanent building site. In previous debates, the Minister was opposed in principle to a buy-out scheme, but now he has indicated that he is going to investigate it. We welcome this change, but we do wonder what exactly he wants to investigate. Such a system has been in place for a long time and is indeed an established practice for Moerdijk and for people living under high-voltage towers. As far as PVV is concerned, the buy-out scheme is introduced immediately. Can the Minister undertake to do this? Then I come to the depreciation scheme for sold houses, not to be confused with the buy-out scheme for unsold houses. The fall in value is not a success. I am pleased that it is now being adapted so that people for sale already have clarity about the expected compensation. By when can people make use of it? I come to the reversal of the burden of proof. The PVV does not consider this to be the duped, but the NAM must demonstrate that any damage would not be caused by gas extraction. Yesterday, a motion by the PVV on this matter was unanimously adopted in the States of Groningen. Can the Minister indicate when and how he's gonna handle this? I also refer to the amendment of the Animal Party to the Mining Act. Then the gas tap. We can keep investigating until we drop, but everything points to less gas extraction causing fewer tremors. However, the Minister wants to do more research on this. "Daddy and meanwhile continue pumping" seems to be the underlying idea. If you do not know enough about the risks and want to do further research on them, you have to turn off the crane as a precaution. The Minister has previously indicated that 30 billion cuub is the minimum to meet the security of supply. Until research has been done on how to safely extract the gas, it is 30 billion cubic metres per year as far as the PVV is concerned. Reduced gas extraction will result in an additional budget deficit, but that is still a slap compared to the EUR 18 billion we lent to Greece. Instead of spending billions of euros on Greece, the PVV believes that we should do something about Groningen. Besides, money must never go above security. The director of State surveillance of the Mines was clear: no, I cannot guarantee security in Groningen. So we need to reduce gas extraction not only this year, but also in the years to come. The PVV wants us to stop exporting Groningen gas. Through long-term contracts we are obliged to pump about half of our Groninger gas across the border. Can the Minister indicate what measures he intends to take to deal more efficiently with our Groninger gas and reduce its compulsory export? The PVV has already put forward proposals for this in an earlier debate. Break those contracts open with an appeal of force majeure. The safety of the Groningen is at stake. Make more use of the LNG terminal in Rotterdam. Import gas, mix it with nitrogen and use it for export. In conclusion, the Minister has been following the Groningen facts for two years. The Minister ignores the core task of every government, which is to guarantee the safety of its inhabitants. We ask the Minister no longer to put the problems ahead by stacking research. We ask the Minister to accept his responsibility and solve the problems. We ask the Minister to reduce the extraction of natural gas in Groningen to a maximum of 30 billion cubic metres per year, to reduce the export of the Groningen gas and to ensure much faster and better damage treatment. Above all, we ask the Minister to offer the people who are in an unsaleable home a real way out by means of a buy-out arrangement.
ParlaMint-NL_2015-02-12-tweedekamer-8.u116	Mr. Chairman. What a special day this is. In Friesland, the Groningen flag flies. It is not Sunday, but in Groningen the church bells have sounded. And from the public gallery this morning the Groningen national anthem sounded: From the Lauwerszee to the Dollard From Drenthe to the Wad There grows and blooms a wonderland Around a city of wonder This day can become much more special if the Chamber in majority, with the support of the groups of the VVD and the Labour Party, does what it has to do: place safety above all else and give Groningen clarity. First of all, I'm looking at the extraction plan. The extraction plan ceiling should be substantially reduced to 30 billion cubic metres in order to substantially reduce the risk of earthquakes. But the Minister is half-hearted in applying the precautionary principle. He sets a maximum of 16.5 billion cubic metres in a six-month period, but in the second half of the year this could be 23 billion cubic metres.
ParlaMint-NL_2015-02-12-tweedekamer-8.u117	It is undoubtedly a special day, but it was also a special day yesterday, because then the Christian Union in the province of Groningen voted against a motion calling for the maximum to be set at 30 billion cubic metres. Is Mrs Dik going to go over that now, or how exactly am I supposed to see it?
ParlaMint-NL_2015-02-12-tweedekamer-8.u118	I stand here as a member of the House of Representatives for the Christian Union, so I cannot speak for my colleagues in the States of Groningen. A motion has also been tabled on behalf of the Christian Union that sets a security of supply as a limit, and the leader of the Christian Union has also stated that that limit is at 30 billion cubic metres. That happened last night in the States of Groningen.
ParlaMint-NL_2015-02-12-tweedekamer-8.u119	I asked that to make sure that the Christian Union, which I very much appreciate, is on the side of those who argue for a maximum of 30 billion cubs today.
ParlaMint-NL_2015-02-12-tweedekamer-8.u120	The SP Group can count on that. That's what the Christian Union stands for, in the states of Groningen and here in the House of Representatives. I really do not understand that the Minister is keeping open the option of 39.4 billion cube this year. Is he willing to give real clarity? The extraction ceiling should also be gradually reduced in the coming years. That space is also available, given the long-term contracts that have expired. Is the Minister prepared to reduce the extraction ceiling annually? In recent years, the NAM and GasTerra, among others, have handled their responsibility badly. The purpose of the so-called gas building is to provide security of supply and to make as much profit as possible. The Christian Union believes that the security factor is absolutely undersnow. She is not the only one in that, I see when I look ahead to the report of the Research Council on Security. For example, in the past year, with a relatively mild winter, the maximum production was achieved according to the extraction ceiling: 42.5 billion cubic metres. If the NAM had produced purely for security of supply, production would have been much lower. In December, the NAM caused a production peak at Loppersum. How can you think of something like that, given the quake sensitivity in that area? The Christian Union therefore calls for an active interference of the government. The State surveillance already advised to bring the extraction back as quickly and as realistic as possible, and concludes that the system may also be adjustable. The principle of "hand on the crane" must therefore be taken much more actively. Does the Minister want to get to work on this? Will he also consider amending the Gas Act and Mining Act? It is completely bad to sell that the conversion capacity, which is just there, more or less stopped in 2013 and 2014. This could have significantly reduced production in Groningen. Is the Minister prepared to demand full use of conversion capacity immediately? The big current question that Groningers is concerned with is this: if there is a quake of 4 or 5 on the Richter scale, is my house still there, am I still safe, are there no casualties? The minister, the state surveillance, the NAM; no one knows the answer. State supervision has indicated that it cannot guarantee safety as a supervisory authority. The Christian Union finds this very, very worrying. What everyone does know is that the chance of a quake of more than 4.1 on the Richter scale is once every ten years. So the odds are considerable. The Netherlands must be a safe country to live in. The Christian Union therefore wants a strong, national approach for Groningen. The first step was the introduction of a national coordinator. It is important that this coordinator has broad powers and powers of perseverance. Damage assessment and handling should be independent of the NAM. The bad and slow handling of damage must be done with it. This has gone on long enough. As far as the Christian Union is concerned, this also includes the reverse burden of proof. Isn't it bizarre that residents face the legal power of the NAM and have to explain the cracks in the wall themselves? I would like to hear if the Minister wishes to go through with this. Buildings need to be strengthened and restored on a large scale. The National Practice Directive has been published. In the case of existing construction, this is also deviated by the possibility of 1 in 10,000. Is that an acceptable level of safety or just a first step towards it? The call for reinforcement is a huge challenge, but at the same time strengthening the 35,000 weakest homes in five years is not fast enough. After all, the chance of a major quake is once every ten years. Is the Minister prepared to set more ambitious objectives with the province and municipalities? In what way are the viability and prestige of villages and streets as much as possible unaffected by this operation? Will the scope of the compensation area be extended? You really can't talk about just nine affected municipalities anymore. The Minister has already added two municipalities, but is that enough? I am thinking, for example, of East Groningen, where 300 claims have also been made. Is the Minister prepared to allow more municipalities to benefit from the compensation? On the housing market we see many poignant situations. I call on the Minister to come up with tailor-made solutions for the hopeless situations. For example, there must be a buy-out scheme for people trapped in their unsafe or unsellable homes. This morning at the Square we heard someone say: I live in a coffin. That's how she feels and she can't leave. For her and for all those other people, there has to be a solution. Damage recovery and preventive reinforcement of special public buildings, monuments and churches are really needed. The recovery must not be purely economic, but must also include the monumental value. The Monuments Act prohibits damage and destruction. The Monument Law also applies to the province of Groningen, doesn't it? Is the NAM going to ensure full compensation for the restoration and prevention of damage in monuments? Does this include social value? Is the Minister prepared to make a coordinator from the Ministry of Education, Culture and Science responsible for this? The most important solution is, of course, to reduce our dependence on fossil fuels, in this case on natural gas. We really need to get rid of our gas addiction. The priority is energy saving. There's absolutely no need for a toothbrush. Make residential areas and houses energy-neutral and independent of gas, for example through the De Stroomaccelerate project. In earthquake-proof building, homes must be made energy efficient and as energy neutral as possible. We also need to make better use of residual heat from industry and greenhouse horticulture. Alternatives to gas-fired boilers should become much more attractive. At the moment, heat pumps are fiscally unattractive. Is the Minister prepared to adapt the energy tax to this? Next week, the long-awaited report from the Security Research Council will come out. The little surprising conclusion has already been leaked: no consideration has been given to the safety of the Groningers. Last year the motion of the Christian Union was adopted to prepare, depending on the outcome of the Research Council, measures to shut down the gas supply considerably at some point. That moment has come today. The Minister can no longer defend the ceiling of 39.4 billion cubic metres. There is only one answer that we can give today, and that is to set the ceiling at a maximum of 30 billion cubic metres.
ParlaMint-NL_2015-02-12-tweedekamer-8.u121	Mr. Chairman. In recent years, we have witnessed a progressive destabilisation of a large area in the Netherlands. This hasn't actually happened since 1953. In 1995 the weather threatened, but fortunately it ended well. By the way, we were also wise enough to evacuate the Betuwe in time. Now what? Now we are dealing with a self-induced disruption of a large part of the province of Groningen. There's already a lot of damage. In the municipality of Slochteren only 40% of the buildings are affected by the earthquakes. This damage doesn't increase little by little, but accelerates. Small cracks become large cracks. Walls get upset, foundations get undermined. In more places, support bears will be needed, which in turn carries health risks due to the fact that asbestos cement roofs are on the agenda. However, there is also another type of damage. People who can't sleep in their homes anymore. Grandparents who no longer want the grandchildren on the floor for fear of accidents. People who are afraid and frustrated. People who are much less productive. People who lose their trust. People who are completely out of it. Take a look in Woldendorp, near that little church on that little one, where someone wanted to make a social and cultural center for East Groningen: tearing everywhere, the outer wall ball, become useless. An owner who has become involved with the NAM in an unbeatable fight. Why don't you put yourself in the shoes of someone like that? Or in Helma Mulder's, from Stedum, described yesterday in Trouw. I have some questions for the Minister. First of all, how does he think his working methods relate to Article 8 of the European Convention on Human Rights? This indicates that the State must effectively protect citizens in their right to physical and mental health and safety. Secondly, the Minister is always relying on advice from the SodM, but what is the value of the director at the hearing at the same time, more or less in one sentence, saying: the tremors are related to the extraction and we still know so little? Then there is only one conclusion: down with that extraction, until we know more. Isn't that the only way to gain the trust of the people in Groningen? Third. According to a report to be published, 6.5 billion is needed to make 35,000 homes earthquake-proof. What's the NAM gonna pay for that and not pay for it? And how much? In the legal sense there is no upper limit to this, but the fact that this is always in the middle contributes to mistrust and displeasure. Are there any clearer arrangements to be made about this? Can the NAM be relieved of any interference with the injury assessment? Can such a Center Safe Living become more public than private? After all, the direction should be with the minister. Fourth. What kind of legislation is needed? Do we need a new Crisis and Recovery Act? Do you need a delta law? If so, can we do it quickly? Can the Heat Act be adapted so that we can speed up housing insulation and reuse of residual heat, so that the need to extract gas is quickly reduced? Can the Mining Act be amended so that the reversal of the burden of proof is regulated? Many colleagues have already said something about this. Fifth. Isn't it also true that the damage, the longer you wait to shut it down, the bigger it will get? The cost of the non-sagging with the extraction may be higher than the loss of revenue. Sixth. When is what being dealt with and by whom? How do you quickly visualize the vulnerability? How do you arrange the input of the housing corporations? Actually, the tenants are not very good in the picture. What do we do about the apartment buildings in Delfzijl that are already tearing? Are there any swap houses or emergency homes coming in or out of the area? I think there's still room in the Blue City. In the meadows north of Meeden there is also room for emergency homes. Seventh. Can't the broom even go through all those commissions, centers, tables, regulators, gas vendors and knowledge institutions? In many people, there is a strong impression that everyone points to everyone, that everyone is hiding behind everyone, and that as a matter of fact, everyone says that we know too little and that more research is needed. Why don't you take that whole business off the table and think about what you need new under these conditions? There are two flavors. The priority should be to reduce the risks immediately. In science, risk is the product of danger and vulnerability. So what we need to do very simply is reduce the danger and reduce the vulnerability. The danger is reduced by lowering the extraction. That's very clear. The way the extraction and the tremors are related to each other is cliff-and-ready. As far as vulnerability is concerned, you must preventively strengthen and repair or demolish and rebuild buildings. Particular attention should be paid to high-rise buildings and buildings where group risk is high because many people come together. These are, for example, schools and universities. On both cranes, the SP wants to run. I have made a plan for this, which is also financially sound. We have to go back to 30 billion m this year and continue down as soon as possible. There will also be an additional 650 million in a compensation fund this year in order to speed up the process. That's 10% of the amount that's been mentioned to repair house damage. Everywhere in Groningen this morning the alarm clock is literally sounded and even in Leeuwarden the Groningen flag flies. What Groningen needs now is a leader; no accountant, no grocery store. The main task of this minister is simply to guarantee people a basic level of security. That's what matters now. The minister must put on the boots and go from the city into the province to the high country, taking the Groningers by hand. We need eleven provinces, not only today but also in the near future, to reach that twelfth. Leadership did not sit with PvdA drivers at Nieuwspoort and arrive with a delay story, after which the PvdA directors say to go to court. Leadership is not magic with numbers for six months, of which the winter part is almost over. Leadership is not a prize to Shell for corporate social responsibility in China, while Shell is part of this problem. Leadership is not always hiding behind the advice of a supervisor who himself says he doesn't know, who himself says he can't guarantee security, who leans on models of the NAM and who, by the way, once, in early 2013, made the call louder than it is now. That was the only time the Minister did not follow the advice. Leadership is punching the fist on the table and saying: and now I'm all there for Groningen and the Groningen! Only then can you put the word "safety" back in your mouth. I appeal very strongly to this minister. His previous and his plans presented earlier this week do not remove the unrest in Groningen. On the contrary. They're making it worse. What is needed today is Henk Kamp 2.0: someone who has the courage to turn the button on himself. Risk zero doesn't exist. Anyone can get under the tram tomorrow. But the risk that the Groningen people are now running can't and shouldn't. Security is leading the gas decision, the Minister says. The safety of the people in Groningen is what drives us, says the Minister. They're empty words. If the minister starts writing his memoirs after his political career, I do not want to read that 12 February 2015 was his big error of judgment. Only when the button is turned, can this minister say the word'security' again as far as the SP Group is concerned. If not, then any use of the word "security" is a thump in the face of the Groningen and, worst of all, a chronicle of an announced death.
ParlaMint-NL_2015-02-12-tweedekamer-8.u122	The SP Group says that lowering the danger is also lowering the tremors. But the danger remains, so in the end Mr Smaling's plan does not remove the quake danger.
ParlaMint-NL_2015-02-12-tweedekamer-8.u123	Mr Öztürk's repeat button is a bit on, but that's okay.
ParlaMint-NL_2015-02-12-tweedekamer-8.u124	I'm original every time.
ParlaMint-NL_2015-02-12-tweedekamer-8.u125	As my colleague has already said, guaranteeing full safety is simply not possible, because you are not just rid of those tremors. So we are trying with many groups in the Chamber to keep the rate of reduction of extraction as high as possible; 12 billion cuub is called, but if we can quickly reach 20 billion cuubs, for example by giving a huge boost to residual heat consumption and home insulation, we really need a mega-level.............................................................................................................................................................................................................................. I understand what Mr Öztürk is trying to do, but I do not think that you can permanently evacuate an area. It's not Fukushima or Chernobyl. People must be free to choose whether to leave the region.
ParlaMint-NL_2015-02-12-tweedekamer-8.u126	Mr Smaling wants to play it down a little bit, but he doesn't have to, because my story is not the story he just told. The specific question for which I am standing is the following. The SP wants to use EUR 650 million for recovery. The SP Group claims to have put forward a well-funded plan. There are people who are still afraid, who feel tremors every night and want to move voluntarily to another area. Is Mr Smaling prepared to support these people generously with part of those EUR 650 million so that they can go to safe areas?
ParlaMint-NL_2015-02-12-tweedekamer-8.u127	Yeah, but you can do that, too. There's already a way out for a buyout. Maybe that's how you create swap houses and that might help solve the problems. Mr Öztürk's suggestion is part of a package of measures that should start tomorrow. It just has to be quick.
ParlaMint-NL_2015-02-12-tweedekamer-8.u128	Mr. Chairman. All animals are equal, but some are more equal than others. In a civilised society, citizens are not put at risk for the economic interests of another. In a civilised society, citizens are not burdened with comprehensive concerns about the safety of their family members and time-consuming and frustrating pathways to be compensated for the damage someone else has done to their homes. In a civilised society, citizens can rely on their government to put their security first and therefore be honest about the reasons why it makes certain decisions. The cabinet falls on all three of these criteria for a civilized society. And not a bit, with a 5+', but really very strong, as if a calculation test had to be done here. That is serious, because today it is about fundamental values, core values of a civilized society, being violent, knowingly and knowingly. These values include: everyone is equal and everyone can expect that the government does not place commercial interests above the safety of its loved ones. Apparently, this doesn't apply if you live in Groningen. Then, in the eyes of the Cabinet, with the support of the VVD and the Labour Party, you are less equal than others. With a look at the gas benefits, the Dutch government has robbed the Groningen of their security, their freedom and their trust. The Party for Animals is very sorry about that. Your home is your home, your own place, where you must feel safe. It's not like one of the victims we talked to, the place where you have to fear that something will happen to your wife and kids when there's an earthquake while you're at work and your house is already hanging together with misery. The freedom to divide your life as you wish, as is clear from all the stories, is drastically reduced when the profits of the NAM have put your house in the cracks. All your free time and your previously carefree mood go up to being recognized, repaired and compensated for the damage that wasn't your fault. How much negative energy this costs, a lady said she wanted to sell her house. She had already started the preparations and had a comprehensive independent valuation report showing that her house was fine. Then there was a quake. Now the outer walls of her house are held up by stut work. The NAM says very loudly to her: the damage, Madame, is the result of late maintenance. And thank you, you have an unsellable house and your free time will henceforth consist of fighting against this flagrant injustice. The obvious confidence that your government certainly considers people more important than some profit model of the NAM, is greatly affected if for years all indications that the extraction of gas in the Groningen field can and will lead to earthquakes are dismissed. If the quakes become more and more severe and an already uncontested supervisor comes along with advice to restrict extraction, confidence will be further undermined if the same government accepts this advice only halfheartedly and half-heartedly. That government dares to claim that the safety of you and your fellow countymen is paramount, while that, still, doesn't prove anything. Then you think: do I hear that correctly; does the cabinet say that security is paramount or do the coalition parties say that they would like to win the next election? It is clear: The Party for Animals considers Groningers more important than gas benefits. People are more important than profit models. We are bewildered, truly bewildered, that the cabinet does not feel the same. We find both the decision and the manner in which the cabinet operates unacceptable. If you don't think security is paramount, you shouldn't say it. That's how people get caught twice. The Animal Party would have liked the Prime Minister to attend this debate, because it is about the crucial question of how the safety of inhabitants of the Netherlands is weighed and appreciated. The risks we run with the safety of the Groningers are foreseeable. After all, we know what the risks are. And they're averted. We know what we have to do to prevent the risks from being so high. It is not clear to me how these interests are set against the other interests, namely the security of supply, the revenue model and the profit for the Treasury. I very much blame the cabinet for that. I would have liked to ask the Prime Minister about that. I am now asking the Minister of Economic Affairs. How was that discussed in the Cabinet? Is there any sense of culpability? Legal advice has been sought on the admissibility of allowing risks to persist, and we also know what we could do to reduce those risks in any case. Has the precautionary principle been discussed at length? I may be wrong, but as far as the Animal Party is concerned, this means that you say: the risks of gas extraction are so real at the moment for damage to the body and members of people, that we can no longer think from the status quo.This is the current level of gas extraction and we are going to improve safety by reducing gas extraction slightly, but from another point of departure: we are no longer winning gas, because that is the safest situation and we have to argue why we still have to keep some of the gas extraction alive. This must be done fairly and clearly, allowing us to identify all the risks so that we can make a responsible decision. The Party for Animals cannot now control this in any way. That's what we're blaming the Cabinet for. One possible route could be that we choose to develop for 2015 and 2016 the variant of a maximum extraction of 21 billion cubic metres. Then the Minister can tell us what the risks are of temporarily increasing gas production and what that means for safety. Then we can talk about whether this is acceptable or not, but then we will make a responsible and responsible decision and not the way it is done. The Party for Animals also denounces the role of the various organisations which are in an opaque way part of the decisions of the Cabinet. I'll name the NAM, GasTerra and the supervisor. We are very shocked by the noises we heard during the hearing. It seems very likely that the supervisor, who, in our view, should issue advice solely on the basis of the security risks, also clearly feels obliged to consider the interests of the NAM. How does the Minister see this? Next week, we'll get the report from the Security Research Council. I can already see that the decision-making structures are not in order. Can the Minister say anything about that? The main objection of the Party for Animals at the moment is that it is suggested that the safety of Groningers is paramount and that this is not reflected in any decision of the Cabinet. The second objection is that we are not able to check exactly how the cabinet weighs it. I see that my speaking time is running out. I would like to give the Minister one more point, and I would also like to add my voice to all the other questions raised by the opposition on how to deal as far as possible with the Groningen people who are now in deep trouble. This point concerns the reversal of the burden of proof. The Minister constantly rejects it. He says that it is not at all true that this is worse regulated in the Netherlands than in other countries. The Party for Animals feels it is high time that we did amend the law and that if we suspect earthquake damage, we would have the NAM reimburse the costs unless it can prove that it was not caused by the earthquake. The Animal Party has tabled an amendment to the Mining Act. It would be nice if the Minister would indicate in this debate that he is going to move on that point as well.
ParlaMint-NL_2015-02-12-tweedekamer-8.u129	I give the floor to Mrs Van Tongeren van GroenLinks. I'll inform you in advance that after her contribution, she'll be suspended for lunch.
ParlaMint-NL_2015-02-12-tweedekamer-8.u130	Mr. Chairman. Can the Minister say with his hand on his heart that Groningers are as safe in Groningen as Brabanders in Brabant and Zeeland, or all inhabitants of all provinces? If he can't say that, can he explain why it's fair and just that Groningers are living in more danger, or is that a fact of life? There have already been 860 earthquakes in that area, caused by an industrial activity. If the Groningers are still more unsafe than other Dutch people, how does the Minister look back on his own lack of significant intervention since the earthquake of 16 August 2012 when it could no longer be denied that gas extraction poses a threat to Groningen? When are Exxon and Shell actually guilty of endangerment in the Minister's opinion? When is the government negligent? LuckyTV had an item on the gas quakes. In it Groningen was returned to the sea for persistent complaints by the inhabitants about the earthquakes. Are we really going that way in the Netherlands that villages and towns are being evacuated because of total unviability, that large emergency villages appear in the vast Groningen landscape? Is there just as long waiting, researching and deciding and waiting again, examining and deciding until that is ultimately the only possibility? Then there is the decision-making. As far as GroenLinks is concerned, it's a mess. We now decide on the 2014 extraction. Just so you know. Apparently, the Minister regretted his agreement to the Gas Mining Plan, because we received a note saying that things were different. Didn't he get support from the coalition? Can the Minister explain why we have followed a procedure of months and months, with reports, views and discussions, and then we get half an A4 with the message: I am going to do it differently? What is the legal status of that communication? What is the legal status of this morning's communication? Can he confirm that the overall ten-year extraction ceiling is still unchanged at 445.7 billion cubic metres for the period 2010 to 2020 and that with all these different movements there has been no change to that? I sincerely hope that the Deputy States of Groningen will ask for a provisional provision from the Council of State tomorrow, because I see it coming from this morning's note that there will be no reduction this year, despite perhaps some nice movements at the PvdA. I'm very curious to hear what we'll be hearing after lunch. Exxon Mobile and Shell are the third and fourth largest company in the world. Is this minister trapped between Shell's American lawyers and the PvdA's desperation by the approaching electoral defeat? The day after the Minister had amended the gas extraction decision, PvdA leader Samsom said that it was unthinkable that the gas extraction would go up again after 1 July. We already brought the minister, as he said in the same interview. Is that right? Does this Minister support Mr Samsom's words? Does the Minister conclude with me that the gas extraction decision of 2015-2016 in this Chamber apparently does not have sufficient support? It is no secret that my group has been calling for two years for a maximum extraction ceiling of 30 billion m by 2015 and 2016, but preferably lower. If GroenLinks had thought with us earlier, we were already lower and the problem was smaller. Unfortunately, you can't change the past, but you can use it to think about the future. I have repeatedly asked the Minister about the prevention of gas demand. We can all make sure that less gas is needed in the Netherlands. The SP has also said a lot about this and that foreign demand is falling. I asked this minister not to conclude any new contracts. The answer we get is that the Minister does not conclude contracts that last longer than five years. I just want this minister to stop signing new contracts. The gas is running low, the earthquakes have reached an unacceptable level. I used to call it a giant industrial disaster, and at a time like this, you can't conclude new contracts again. Can the NAM continue to do unlimited new drilling? What about the test drill at Blijham, for example? Does this kind of new drilling also fall under the current gas decision? Do more wells indeed offer a chance of a more flatter extraction, but doesn't the NAM do so because it would cost too much investment money? What does this minister think about the NAM getting 1 billion cube gas completely free of charge? Groningers who suffer from the tremors simply pay nicely for their gas with their gas and electricity bills, but the NAM, the company that causes the misery, gets an incredible amount of gas for free at 200 million to 300 million euros per year. The advantage of being in the debate a little later is that I can agree with a lot of comments made by opposition parties, including those on the settlement of damages, on strengthening the position of the Ombudsman, the distressing cases and the national monuments and churches. I have a question for the Minister about preventive reinforcement. Is it true that a resident of a preventively reinforced home still has a chance to die from an earthquake once every 10,000 years? 170,000 people live together in the eleven earthquake communities. Can I conclude from this that a risk of 170 deaths is acceptable to this minister? Is that safe enough? What if, for example, in Delfzijl, an earthquake caused the chemistry to fail? Then we have a disaster of unprecedented magnitude. As far as the National Coordinator Groningen is concerned, I wonder how the relationship with the municipalities and the province becomes. Rich, municipalities and province are secondary administrative bodies, elected by residents with their own democratic mandate. Is it now happening that powers of the municipalities and the province go to this government coordinator, who is under this minister? Then the Groningers have less to say about what is happening in their own municipality and province. I have previously asked questions about the transparent accessibility of all figures, so that scientists around the world can count and think along. It's called crowdsourceing science. Will the Minister do that? Can it be considered that State supervision of the Mines is decoupled from the Ministry of Economic Affairs and that it becomes an independent administrative body or belongs to another ministry? Can the Minister also ensure that all the data coming to the Chamber are comparable for our control? I mean, everything in calendar years and everything in one gas measurement unit. I nodded, even though I'm a lawyer, yes when asked if I'm a geologist, but now I feel like a geologist because of the amount of work I've had to put in to compare all these data over the past two years. I would really like to ask the Minister to deliver it in such a way that Members of Parliament can follow it well. The KNMI also regularly changes earthquake rates on its site. That doesn't increase confidence in the KNMI. The force, the location and the depth change. I would urge all colleagues, including those from the PvdA and the VVD, to consider personally the choice that we have to make in the votes this evening. Two years ago, we called for a rapid reduction in gas extraction. At that time it was apparently premature to do so in the words of my colleague from D66, but it is certainly not premature anymore. Personally think about what you're going to vote for tonight, because we can make a difference now by turning the crane down a lot more this time and thus increasing the safety of the people in Groningen.
ParlaMint-NL_2015-02-12-tweedekamer-8.u131	Mrs. Van Tongeren says she prefers lower. Why doesn't GroenLinks choose that 21 billion cube? It is also just described and is therefore also an option. Why doesn't GroenLinks choose 21 billion?
ParlaMint-NL_2015-02-12-tweedekamer-8.u132	If I know the VVD by my side, I'd like to file a motion for 21 billion cuub. That sounds fantastic. 12 billion cuub would be even better, but then we have to do something about the heating of the houses in the rest of the Netherlands. I would also like to hang out with the VVD. Indeed, we need to accelerate rehab of natural gas, isolate houses and ensure that we get zero energy homes. I am very happy to do so, Mr Bosman!
ParlaMint-NL_2015-02-12-tweedekamer-8.u133	So I hear that GroenLinks does not make a basic choice for lower extraction. It's only up to those who join GroenLinks.
ParlaMint-NL_2015-02-12-tweedekamer-8.u134	Listen to the noise in the public gallery: it is well understood that Mr Bosman is making a totally wrong conclusion. GroenLinks has always said since the opinion of the SodM that we should follow that advice. What the State surveillance of the Mines says is: bring down the extraction of gas as much as is realistic. That hasn't happened over and over again. I would also like to explain to Mr Bosman why this is not happening. A doctor tells you not to use sugar. If you ask "if I want to, can I have fructose?" And the doctor says "you better not do that, take dextrose," then you can't say: my doctor advised me to take dextrose. And that's what the VVD is doing all the time: hiding behind the SodM by saying it's agreed to 39.4 billion cubs. The SodM didn't do that, because all the opinions since 2012 have been "down as soon as possible." This is also stated in the last opinion and the SodM has not taken back a letter from its opinion at any time in 2013. And that advice was: shut down the crane as soon as possible. GroenLinks has always argued for this and fortunately we find a large number of our colleagues on our side today.
ParlaMint-NL_2015-02-12-tweedekamer-8.u135	I've got a bit of a piece of shit, you know. Mrs Van Tongeren has pointed out a few times that GroenLinks and the Party for Animals would be the hallmarks of this discussion. A year before the motion by Mrs Van Tongeren and the Party of Animals, shortly after the opinion of the State Monitoring of Mines, Mr Van Gerven also tabled a motion on this subject, calling very strongly for the extraction to be accelerated as soon as possible. There are the signatures of D66, the Christian Union, the CDA and the Party for Animals. Has Mrs Van Tongeren forgotten that this motion was tabled at that time?
ParlaMint-NL_2015-02-12-tweedekamer-8.u136	This played in February 2013. In January 2013, we received the advice of State surveillance of the Mines. As always, there are sharper motions and slightly less sharper motions. It is true that several motions have been tabled, but the only motion that really says "take steps now to reduce gas extraction by 40%" is the motion by GroenLinks. I am very pleased that the other opposition parties are now largely in favour of this.
ParlaMint-NL_2015-02-12-tweedekamer-8.u137	But you do admit that the party I just mentioned, your own party and the Animal Party, have actually worked right on this dossier? Shall we draw that conclusion? We all want to profile ourselves, there's nothing wrong with that, but I don't think the Groningers are very much in favour of that right now.
