ParlaMint-NL_2015-01-20-eerstekamer-3.u1	I would like to welcome the Minister of Education, Culture and Science to the Upper House.
ParlaMint-NL_2015-01-20-eerstekamer-3.u74	I think that's crazy. Making appointments is one thing, but you will also have to build in mechanisms to ensure that those agreements are respected. You can't leave that to the free play, can you?
ParlaMint-NL_2015-01-20-eerstekamer-3.u75	Those mechanisms are now in place. For example, there is the right of consent of staff and students within the bill. Evaluations will be sent to the Chamber. That is the subject of debate, there are AMVBs. So these mechanisms are not as free as Mr Essers might suggest. Were it not better to provide clarity about the use of the funds that have been released before taking them out, I just asked the Minister. Does the midterm review of the higher education performance agreements give the Minister the confidence that agreements can and will be made that will lead to a quality improvement and, if so, why? What preliminary lessons does she draw from the midterm review for the future design of quality agreements? How does the Minister intend to avoid the risk of quantitative indicators becoming an end in itself? I'll ask that question with D66. How does it prevent earmarked funds from raising quality expectations that cannot be met? And what role does staff and students have to play in deciding on the use of the funds released? These are many questions, because there is still uncertainty. My group hopes that during this plenary debate the Minister will be able to give us the necessary clarity. In other words, they are open questions and not rhetorical questions. The PvdA would like to ask the Minister's attention to the position of a number of groups of students. The first concerns students with disabilities. Students who are delayed due to their disability or chronic illness, and whose duration of study funding has been extended by DUO for one year, are entitled to a one-off waiver of €1,200 if they successfully complete an HBO Bachelor's programme, a wo-bachelor or a wo-master's programme within the period of diploma. This waiver will take place at the same time as the conversion of the performance fair, but such remission may be conditionally decided upon during the course of the study. The waiver is equal to an additional year of housing grant in the current system. However, in the new system more than €2,000 are declining in resident students with disabilities. Students with disabilities who have been delayed for more than a year are also disproportionately affected. Does the Minister consider this to be undesirable with my group? If so, what possibility does it see to further accommodate students with disabilities? The second group requiring special attention concerns mbo-streamers. If MBOs with study debt are transferred to higher education, the payment conditions are automatically converted to the new payment system. This makes the new payment conditions applicable retroactively to the old student debt. However, this conversion to the new system does not take place when an HBO passes to the wo. My group would like to receive a supporting justification from the Minister for this difference between MBOs and HBOs who wish to pass on. We would also like to hear from the Minister how she assesses the legal certainty of MBOs in this regard. And then there are groups of students who may be disproportionately affected because their studies take more time than average. Think of medical students who are internships and therefore have little or no time to earn a living. For students in this situation there are two solutions: either they retain the basic grant, or they receive a fee for their studies, just as students internship receive an internship fee. Does the Minister share our concerns? What possibility does she see of meeting these students? Or think of students with a relatively heavy Bachelor's programme or a multi-year Master's programme. These students may end up with higher student debt than the average bachelor and master student. Does the Minister consider this desirable? If not, what solutions is it prepared to offer these students? The latter, and certainly not the most insignificant group, concerns students who are currently in a Bachelor's programme and who would be confronted with a new system of study funding as a result of the present legislative proposal in the course of a Master's programme. That is, when they start with a master's degree from 1 September 2015, they are confronted with the fact that they don't get a fourth year of basic scholarship as a gift when they get their diploma. In the end, a student who studies nominally receives less income support than he or she could expect from the WSF 2000 at the start of his or her studies. This also makes a sudden distinction between current HBO students with four years performance grant and maintaining full rights and wo-students with three years performance grant. How does this relate to the legal certainty of current wo-bachelor students? My group is pleased to hear this from the Minister. When choosing to study and choose which study they are going to study, these students have not been able to take account of the new rules. And what will the Minister do when it turns out that some of the current Bachelor's students, for purely financial reasons, are not considering starting a master's study because they had expected to receive a basic scholarship during the Master's programme? It can count on the agreement of my group that, after the legislative proposal has been introduced, the government will continue to monitor the effects on accessibility, so that, if necessary, it can be adjusted in good time. To this end, the government has been encouraged by widely supported motions in the Lower House. It calls on the government to assess the impact of the measures on students, especially those from low-income families, I say to the senator of the Christian Union. The government is also invited to carry out an interim monitoring after four years, actively involving educational institutions and student associations. In addition, the government is invited to give students a role in determining the design and method of monitoring. This will be done, among other things, by inflow, flow and dropout rates, and by monitoring loan behaviour, study progress and study rate. And with the majority of the House of Representatives, my group supports the need for a framework for the amounts that can be paid from the profiling fund to compensate young people who do longer on their studies beyond their fault or by extracurricular activities in a more insightful way. However, all this monitoring raises the question of when the Minister considers the effects of the legislative proposal to be undesirable. At what change in inflow, transit and drop-out rates will it bring about an adjustment of the study advance? And at what change in borrowing behaviour, study progress and study rate does it think it should change the design of the system of study funding? A system change, as we are discussing today, requires very careful information. We are particularly sorry that our Chamber has not managed to complete the procedure for the application deadline for the decentralised selection of 15 January. The Nibud advocates that students should be able to obtain a so-called "nudge" to relieve them as quickly as possible. This can be achieved by highlighting the benefits of redeeming as quickly as possible and making the standard option payable in 15 years, with a deadline of 35 years as an opt-out option.
ParlaMint-NL_2015-01-20-eerstekamer-3.u76	Mr Sent says that she regrets that we have not been able to complete this bill for the period when students could apply. Students had to do this last week. They have now applied for something without knowing the financial consequences. Any way to settle debts, such a procedure is rejected. Does the PvdA reject the government's approach? Does Mrs Sent find it unacceptable that students do not know what debts they signed last week if this bill is adopted?
ParlaMint-NL_2015-01-20-eerstekamer-3.u77	Those students can always withdraw their application if the bill is passed. They have not committed themselves thereby.
ParlaMint-NL_2015-01-20-eerstekamer-3.u78	So you can easily assume that there are only two choices for students: either they cancel their registration or they leave it in place. The fact that there will be a completely new funding for studies is a pity. You're not gonna have any consequences for that.
ParlaMint-NL_2015-01-20-eerstekamer-3.u79	Students can make an informed decision on the basis of the new system of student funding. I call on the Nibud to run a campaign together with the government in which students are addressed on their responsibility. Students should be given a push so that they do not incur irresponsible debts.
ParlaMint-NL_2015-01-20-eerstekamer-3.u80	I note that the PvdA now says to students: take it or leave it. I think that is contrary to the regret Mrs Sent has just expressed. She only gives students the following possibility: if you don't like the new system, you don't want to study. Another study is no longer in it because they should have applied last week.
ParlaMint-NL_2015-01-20-eerstekamer-3.u81	I will come back to those who decide not to study because of the measures. I will express my concern about this and I hope that this will do Mr Koffeman a good job. I had stuck to the information and role of the Nibud. In addition, the start-up phase may be abolished and students can start paying off immediately, combined with a possible increase in the "joker years" by two years. After all, students retain the postponement of reimbursement if it is not financially feasible and/or by using the five or seven "joker years." The choice for students is no different, but this way the behaviour of former students gets a "push in the right direction," says the Nibud. In addition, the Nibud calls for information to be focused on the various target groups and for a national registration of student debts. My group is pleased to read in the reply that the government is working closely with the Nibud and other organisations to manage information, framing and defaults. And as a behavioral economist, I am pleased that insights from the behavioral economy are used. However, I and my group colleagues are not pleased to read the following on the website startstudderen.nl of the Ministry of Education, Culture and Science: "Are you going to do a bachelor's study at HBO or wo as of September 2015 and are you asking DUO for funding for this for the first time? Or do you start a master's programme as of 1 September 2015? Then you can no longer get a basic grant, but you can apply for a study advance." Admittedly, this firm statement is nuanced further on in the text, but the student simply reads about it. In the opinion of the PvdA, it would have been better if the editor who posted the piece on 23 June 2014 had immediately made it clear that the introduction depends on the agreement of the two Chambers of the States General. Then he or she could have immediately indicated that the House of Representatives had given its consent to one of the sixteen adjustments made since then and for the last update on 12 January 2015. Does the Minister share this displeasure with us? I come now to Mr Koffeman. The temporary result of the present legislative proposal does not want to leave my group unspoken. I am referring here to the expected temporary decrease in participation in higher education. For example, the Centraal Planbureau calculated on the basis of international comparisons that, in the Netherlands, in increasing its own contribution to higher education, there could be a decrease in participation of around 2%, or 2,700 students per year for HBO and WO together. In this context, the Government stresses in the further reply that, on the basis of international comparisons carried out by the Center for Higher Education Policy Studies (CHEPS), it expects traditional participation patterns to recover after one or two years. The government has indicated that it will continue to monitor the impact on accessibility, so that, if necessary, it can be adjusted in a timely manner. Is the Minister prepared and able to detect and encourage those temporary drop-outs on whose career the abandonment of participation in higher education has a permanent effect? And more importantly, is the Minister prepared to take everything out of the closet to prevent talented people from entering a study purely because of the increased contribution of their own? 2,700 is a lot, but every potential student who for purely financial reasons renounces a study is one too many. Does the Minister agree with our group? And what does it intend to do to prevent this potential drop of 2%?
ParlaMint-NL_2015-01-20-eerstekamer-3.u82	Mrs Sent is a behavioral economist and that is why I am asking her the following question. Does it have any idea in which groups the deterrent effect of the increase in own contribution, as it calls it, is falling? Maybe there's something about loan anxiety. That 2% is an average and it is estimates based on foreign research. I want to know exactly what is happening in the Netherlands. We have reason to believe that this is particularly true in socio-economically weaker environments or in immigrant environments. Mrs Sent herself asked in the written preparation for possible peaks in the deterrent. Does she have any knowledge of this as a behavioral economist? In what groups does this strike down?
ParlaMint-NL_2015-01-20-eerstekamer-3.u83	Does Mr De Lange have a subsequent question?
ParlaMint-NL_2015-01-20-eerstekamer-3.u84	My question has a lot to do with it. In fact, Mrs Sent says that in the coming years we must monitor how many students, if this bill is to be adopted unexpectedly, are going to drop out for financial reasons. This could indeed be thousands. If this monitoring shows that people are dropping out for financial reasons, we can still take measures to win them back for higher education. Is that a realistic vision that suits a behavioral economist? If after one or two years you've decided to drop out, what doesn't have to happen to make you decide to go back on? It seems totally unrealistic to me. I would like to hear that Mrs Sent agrees with me.
ParlaMint-NL_2015-01-20-eerstekamer-3.u85	It is very difficult to make adequate predictions. We economists know all about that. It is also very difficult to compare international systems. You have to do that to predict the expected outage. By the way, this 2% is based on an older version of the bill without the accompanying policy that makes every effort to encourage students and not make it depend on the thickness of the wallet to participate in higher education. It is precisely because of this ambiguity that we urge the Minister to find and encourage students to participate in higher education. According to most studies, this 2% is only a temporary dip. That is: temporary for higher education, but permanent for the career of the potentially 2,700 affected students. That is why we believe it is important to find and encourage them. We must ensure that this temporary dip does not become a permanent stain on their careers.
ParlaMint-NL_2015-01-20-eerstekamer-3.u86	I think the effects will be stronger in the environments where the wallet isn't that thick. Mrs Sent asks this question to the Minister and she will not do so without reason. What's she afraid of? She also drops the term "fat wallet." Does she want to name what her fear is? What's gonna happen?
ParlaMint-NL_2015-01-20-eerstekamer-3.u87	It is also quite possible that students who do not participate in higher education in the first year of the year will drop out because of insufficient motivation. We just don't know that. It's very difficult to make international comparisons. You don't know exactly what population it's about. That's why it's important to keep a finger on the wrist and track these students down. We must ensure that this is not a permanent restriction on the career of outliers. I conclude with the wise words of my favorite philosopher Loesje: "Study loan. Will I receive a quality guarantee?" In order to see this, among other things, I have put a number of questions to the Minister and I look forward with the members of my group to her answers.
ParlaMint-NL_2015-01-20-eerstekamer-3.u88	Has Mrs Sent had the loan system checked against the IVESCR Convention, the Convention on Economic and Cultural Rights? It says that we should gradually make higher education free of charge. That's the deal. It also states that as long as we do not do so, we must not take any steps to make the situation worse.
ParlaMint-NL_2015-01-20-eerstekamer-3.u89	We have indeed looked at this because we have also received e-mails about it. The tuition fee remains €1,900; this will not be increased. On balance, the government still contributes €6,500 per student per year to higher education.
ParlaMint-NL_2015-01-20-eerstekamer-3.u90	The facts mentioned by Mrs Sent are correct. The Ministry of Education has requested a report on the effects of the introduction of the loan system on the ratification of the Convention. That report didn't look too bright. The tuition fees do not go up, but the accessibility of education is becoming less, 2% or perhaps even higher. Income also varies. Perhaps the government cannot ratify this treaty, while it contains very important things, including human rights. Mrs Sent's party is also in favour of this.
ParlaMint-NL_2015-01-20-eerstekamer-3.u91	I am opposed to this worsening access to higher education. I would like to point out the accompanying measures. I'll mention the longer repayment period. You don't have to pay back until you get a higher income. I would also like to mention the increase in the supplementary grant for lower incomes. I dispute that this system has a permanent impact on the accessibility of higher education. It is interesting, as Mr Bruijn pointed out, that the SP in its electoral programme will, on balance, save 800 million on education. With this proposal, extra money will be devoted to the quality of higher education. This money is released by using resources more efficiently and fairly, not for the livelihood of students.
ParlaMint-NL_2015-01-20-eerstekamer-3.u92	I would ask Mrs Sent to put this question in an interruption later, because that will give me time to explain. I understand that she did not receive my response to Mr Bruijn's question. Mrs Sent does not respond to the fact that OCW's own research indicates that this is really in breach of that treaty. Mrs Sent could say that it is all much better, but the Committee can think very differently. Is Mrs Sent aware of this report and what is her opinion on it?
ParlaMint-NL_2015-01-20-eerstekamer-3.u93	I just gave that opinion. I'm aware of it. It is still the case that the government contributes €6,500 per student per year. The tuition fees will not be increased. There is only a more efficient use of resources which now go to livelihoods. These resources are being used to increase quality. This will ultimately benefit the students. In doing so, we keep our education system competitive in contrast to the SP's plans to cut back on higher education.
ParlaMint-NL_2015-01-20-eerstekamer-3.u94	I am looking at the clock, but I would still like to give Mr Engels the opportunity to speak before lunch.
ParlaMint-NL_2015-01-20-eerstekamer-3.u95	Mr. Chairman. When I walked to the chair, I received several incentives from my surroundings. Let's guess what they meant. The purpose of this legislative proposal is to reform the existing system of study funding. In essence, the basic grant will make way for the so-called study advance. The main justification for this is that it makes structuralally substantial resources available for necessary investments in the quality of higher education. This significant financial impetus is an essential element of the legislative proposal for the D66 Group. D66 has the ambition to focus on investing in a society in which knowledge now plays a central role. Knowledge has a decisive influence on the quality of society. Knowledge is a source of dynamism and of our learning and adaptability. Knowledge also has an intrinsic social value, for example for culture, civilisation, democracy, citizenship, historical awareness and reflective capacity. Knowledge is now our main production factor in addition to raw materials, capital and labour. Investing in the knowledge-based economy thus contributes to the growth of our productivity. This will enable us to invest more in, for example, sustainable development, the saving of scarce raw materials and fossil energy, the further reduction of public debt and the payment of growing healthcare costs and pension costs. In other words, the future of the Netherlands also lies, or perhaps in times of financial contraction, in continuing impulses for education, research and innovation. In recent years, the Netherlands has lost ground on the various international rankings of universities, innovative countries and countries with world-famous companies. We are still part of the international summit, but are no longer on the stage where the medals are distributed. In Dutch higher education there has been a steady reduction in available resources for years. As a result, compared to the countries around us, the number of researchers is now falling below the OECD average, and the number of students is still increasing. With a sharper choice of knowledge, competitiveness and excellence in higher education, the Netherlands can once again take a leading position in Europe and once again play a central role as the location of internationally talented people, companies and institutions. The possibility of investing in the quality of higher education through the proceeds of the new loan system is, as has been said, an essential element of the legislative proposal for the D66 Group. On this point, I have not been able to make clear to my group exactly how much the proceeds will be. There is talk of 1 billion on an annual basis, but there are also estimates of 620 million, but only starting in about six years. I would like to know from the Minister exactly which structural investment area we can use from which budget. I would also like to make a clear statement that this space will not leak out over time with higher student numbers or other growing cost carriers, for example. Finally, I would like to make sure that the funds released from study funding will be devoted exclusively to the quality of higher education and not to research or science policy or to other sectors of education, which have already received additional funding from my party in previous agreements. The money that is no longer being spent on students through the funding of studies should explicitly be given to those students in the form of even better guidance and even better education.
ParlaMint-NL_2015-01-20-eerstekamer-3.u96	Mr Engels asks for guarantees for the use of the funds released. My group wholeheartedly supports that question. Can he also indicate how hard these guarantees must be to vote for this bill? Or does he give the government the benefit of the doubt? Does he say that we want the money to be spent on it, but we will see if it happens?
ParlaMint-NL_2015-01-20-eerstekamer-3.u97	I thought I'd been very clear. I ask the Minister to clarify this. On the basis of the Minister's reply, I will let you know what this means for my group's opinion, but not now.
ParlaMint-NL_2015-01-20-eerstekamer-3.u98	That's great, too. I understand that if there are insufficient promises from the Minister that money is being well spent, this will determine the voting behaviour of the D66 Group.
ParlaMint-NL_2015-01-20-eerstekamer-3.u99	Then that is one of the determining factors for my group's voting behaviour.
ParlaMint-NL_2015-01-20-eerstekamer-3.u100	Okay.
ParlaMint-NL_2015-01-20-eerstekamer-3.u101	For the record, we make up our own minds. Otherwise, we're gonna get misunderstandings. The legislative proposal gives students and staff a right of assent on the main lines of the institutional budget. I do not wish to conceal the fact that my group was at first a little hesitant about this part, in particular the reminder of the structure of participation and, above all, the culture of participation in the 1960s. The "demotional university council republic" in which students themselves for a short time determined the program performances and literature, followed by the WUB, even more joyless, which led to endless meetings and large piles of paper. In the meantime, we see mainly bureaucracy and management in higher education. The question is whether we should be so happy about this now, but I will come back to that. What has convinced us of the great value of this participation component is the principle that students who, on the basis of the new funding system themselves, invest more in their training should also be able to exert more influence on the use of the extra funds generated by it for higher education. They, too, must be able to assess whether the desired quality will actually be achieved. For this reason, they should be able to discuss the strategy of the institution and the direction of policy at an early stage. The proposal allows each educational institution to set up the precise form of participation in a co-determination regulation according to local practices and circumstances. It can also define what should be included in the main lines of a budget. In any case, the resources available for education, research, staff, housing, management and new investment will have to be included. But it is clear that students can use this to control and influence the course of an institution. As far as I am concerned, the supervisory boards will have to monitor all of this. Finally, but hopefully only as a stick behind the door, a procedure at the Disputes Commission can provide a solution without the immediate deadlock of research and education. My group assumes that students are sufficiently mature and involved to fulfil their participation role. In any case, that is what I find satisfactory from the pleasant and fruitful contacts I have had over the last few weeks. Nevertheless, my group wonders whether they can make sufficient use of the facilities for professionalisation and the promotion of expertise guaranteed in the WHW. I would like to ask the Minister whether she has an idea of how generous the institutions are about this and whether students are sufficiently aware of the possibilities in this area. The legislative proposal contains a multitude of measures to ensure access to higher education. I won't mention them all, because they've already passed enough review. The expert meeting held by the Chambers Committee in December with the Central Planning Bureau, the Nibud and the CHEPS made it clear that the study advance will have a limited impact on the study choice. The estimated reduction in student entry into higher education is maximum and only temporarily 2%, apart from the additional compensatory measures for the lower income groups mentioned earlier in the legislative proposal. The expert meeting also showed that the final amount of the student debt will be on average €6,000 higher. The various risks associated with the impact of the legislative proposal on public finances, institutions, the labour market and students proved to be overwhelmingly visible during the expert meeting. All those involved indicated that borrowing for a study in higher education is a conscious and responsible choice. It is an investment in one's own future where one can reap the benefits of a lifetime. These observations of the expert meeting sound rather reassuring on their own. But that does not mean that there are no comments on the proposal. My group also has doubts about certain elements of the new system. For example, my group is concerned about the flow of MBO to HBO. This 2% inflow reduction on the total does not seem worrying, but there is nevertheless a financial threshold that will prevent young people from low-income families from taking the leap to higher education in some cases. Any talent that can't develop to the maximum, there's actually too much. It is legitimate to expect that young people with a MBO-4 diploma and thus an independent labour market qualification from those lower income groups who will find that threshold may be too high. We believe that this will also be more likely to involve young people from new populations in the major cities. Does the Minister recognise this shadow side of the new system? My group sees that the agreement reached by the Minister with some groups in the House of Representatives on accessibility has greatly improved compared to the original plans. However, there is still a worrying perspective for precisely the most vulnerable groups. I strongly invite the Minister to go into this further. A first evaluation in two or three years would be useful, as would a commitment from the Minister that if the flow really lags behind, additional measures will be taken. I hope that I can get that commitment from the Minister today and take it back to my group. The group of out-of-work students with disabilities runs into the new system at a disadvantage of 2,000 euros, namely the additional basic scholarship year they may receive under the current system minus a one-off remission of 1,200 euros. The Minister, on his own account, rightly states that the distinction between home and expatriate students with disabilities is not desirable, given the facilities available to students with disabilities. However, my group is not happy with the situation that has arisen. That is why, in the written preparation, we asked for additional measures in the event that the promised monitoring shows that residents with disabilities are significantly more hampered by the expiry of the distinction between being at home and being out of residence than is currently expected, for example if the said facilities and the institution's profiling fund do not provide sufficient support to this group. My group does not think that the Minister's response to this issue is satisfactory. The question is whether the fear that additional measures might be too heavy on the envisaged investment area is justified in this respect. We urge the Minister to make a stronger move on this point. My group has asked several questions in the written preparation about the position and legal certainty of certain categories of students in relation to the implementation of this bill. It is not quite clear to my group how exactly the cohort guarantee has been thought of. We understand that all students who are now in wo-bachelor training and receive study funding for this purpose will retain their basic grant for the nominal duration of the study. A subsequent wo-master study should then be seen as a new study, for which the new system will apply. Does this mean that students who start a master's programme from 1 September 2015 will no longer receive a fourth year of basic grant as a gift if they graduate? If this does not go too far in terms of legal certainty and legitimate expectations, I ask the Minister. In addition, my group has drawn attention to the current HBO students who, after obtaining their propedeuse, want to move to the wo. These students, who, after one year of HBO education, choose to continue their course at the university, receive two years of basic scholarship for their three-year Bachelor's programme, because their first year is counted on HBO. I would ask the Minister, for the record, whether, in the light of the reply, we can see that this effect can appear in the current system. We have also asked how current students can benefit sufficiently from the expected quality impact and investment. We understand from the reply that it has been agreed with the institutions that they are already starting to invest in the quality of education and that the first cohorts of students receive a voucher worth €2,000 for further study. In connection with the multi-annual masters, the Minister indicated that research shows that as a result of the abolition of the basic grant, students will not refrain from attending a multi-annual master's programme, because these driven students are less guided by financial considerations. My group has asked whether the government is considering measures if the impact monitor shows that the number of students in multi-annual master's programmes is going to decrease significantly. We welcome the fact that, in the event of a drastic decline in the number of notifications resulting from the new loan scheme, measures will be taken in line with the cost-benefit analysis and will increase the possibilities for students to qualify for such training. The student organisations have pointed out the legal status of the student, which they describe as vulnerable and weak. My group has some understanding of these concerns. For example, there appear to be considerable differences between educational institutions in the award of government grants. Student directors have the right to free tuition, but some institutions have apparently not yet introduced the possibility of free tuition. Even if this is the case, the students encounter restrictions in practice. My group has great hesitation in the differentiations that appear to exist in practice on this point. I would like to ask the Minister how she looks at this problem. At the same time, objection procedures do not always appear to be careful or take up much, if not too much time. My group believes that the course of justice for students should be sufficiently well known, transparent, independent and clear. The student organisations point to a study by Panteia which shows that this is not yet the case in general. In the reply, the Minister withdraws from the legal rights and obligations of the student in the WHW and the Act strengthening control 2010, and refers to the institutions on that basis. More than a discussion by the Minister with the VSNU and the VHS has therefore not been there. My group would like to know if there are any improvements to be made by now. I come to a substantial part: the quality agreements. As has already been said, the D66 Group supports the need for a large, structural quality mark in higher education. In recent years, the government cost of higher education has not kept pace with the growth of the number of students, as the Veerman Committee has noted. The same report therefore contains a large number of recommendations which adequately illustrate the need for a strong quality rating in education. The proposal also aims to provide a basis for the introduction of incentive payment in higher education. There are a number of questions on that point. As part of the current performance agreements, agreements have been reached with all universities and colleges on the quality of education, including study success. Among other things, they set out ambitions to counter student outages. In this context, attention has been paid to promoting teacher education skills, for example through the development of mandatory certificates and qualifications, the provision of "challenge" lectures, the development of twenty-first century skills such as communication, entrepreneurship, cooperation and creativity and, unfortunately, something very wonderful as the election of the lecturer of the year. This weekend, I saw a piece come along about "if I remember correctly" "learning communities in flipping classrooms." I hear laughter, but this is serious. Of course, I don't give rise to any laughter. In the meantime, funding is mainly driven by the number of graduates. My group has great hesitation as to whether all this will actually increase the quality of higher education. We see rather counterproductive tendencies in terms of bureaucracy, management, infantilisation and quantitative thinking. From the midterm review of the 2014 Higher Education and Research Review Committee, it can be seen that universities are already making good progress towards the final assessment in 2016 in achieving better education quality and higher study success. In the case of colleges, this improvement in educational quality is equally true, but in a number of cases a better return remains to be achieved. Their dilemma is, of course, that a higher quality that requires more students, while the influx level is often too low, is difficult to combine with more study success and higher return. So these indications do not reassure my group at all. This applies entirely to the principle laid down in the main agreement with the institutions that the return should not be at the expense of the quality and high final level of training. Partly based on own perception, various problems can be defined which hamper the quality of higher education. I mention overcrowded lecture halls and very large lectures, increasingly more school and simpler education to improve the returns and thus generate more diplomas and therefore money, bonus points when you appear at college and can spell your name error-free, lectures in which PowerPoints are read out and fun videos are played, placing on the digital learning environment old exams with standard answers, speaking crazy about higher education as well as the yo (very extensive lower education) or vwo-7 and putting on the digital learning environment of old exams with standard answers, speaking crazy about higher education as well as the yo (very extensive lower education) or vwo-7, and in some courses, and that is quite sad for me personally, a bit too far-reaching English-speaking education, apart from the lousy coal angels of both teachers and students. I could go on like this for a while, because it's nice to grumbling sometimes. I don't get that chance that often. The point I want to make, however, is how we can prevent the quality agreements from re-using measurable and thus quantitative performance indicators with a multitude of monitoring, accountability, visits and accreditations, which in practice lead to incorrect measures. How can we return from the path of perverse financial incentives? How can we achieve a real improvement in the quality of higher education? Are we sufficiently aware of the fact that the increase in quality and the increase in efficiency do not go hand in hand? The Science Vision 2025, released in December, contains a number of good ideas for a different approach. There will be an end to the culture of more students, more diplomas, more publications, more promotions, more accepted applications and so on. There will be more peace, as we have been promised, in the financing of higher education in the form of multi-annual funding. These are good steps towards strengthening what is called bildung in Germany, the care for knowledge and formation of the community. My basic question is whether we should continue with this type of central agreement between the Ministry and institutions. Would it no longer be obvious in the context of the right of assent to give the institutions themselves the responsibility to make agreements with teachers and students? Isn't it more logical to lay down the responsibility for adequate implementation where the quality stroke is ultimately to be made? I realize that this is a somewhat abrupt idea at the moment, but I would like to know from the Minister whether she considers it a conceivable prospect for the longer term. In any case, I would like the Minister to give us an undertaking that she will inform us more about the precise relationship between the right of assent at institutional level and the envisaged quality agreements at central level.
ParlaMint-NL_2015-01-20-eerstekamer-3.u102	A lot of things have been understood from the heart. I have the same experience at the university as Mr Engels, but I still wonder if he is going a little too far with his claim that quality and efficiency increases would not go hand in hand. Isn't that a little pessimistic? You can think of all kinds of systems in which the quality of higher education is increased without this necessarily leading to higher dropout. If that is the case, the improvement in quality is clearly not good. Isn't this being too pessimistic?
ParlaMint-NL_2015-01-20-eerstekamer-3.u103	In short, I do not think that is the case at the moment. I wasn't quite finished with my speech either. I understand the background to Mr Ester's question and I agree with that. I simply note that the way in which we are currently engaged in performance agreements between the Ministry and the institutions does not allow me to see a simultaneous increase in both the level of training and the rate of return. I see a counterproductive movement. I agree with Mr Ester that this is not the right move. I do not want to say that it should not be possible to achieve both, but I would argue that, unlike the current performance agreements, we should consider whether the new system will make that relationship very clear. That is exactly the background to my question to the Minister.
ParlaMint-NL_2015-01-20-eerstekamer-3.u104	Mr Engels skipped a piece of his written text. I think that is a shame, because there is a passage in it that I think is extremely relevant. It is about the assessment of teachers or teachers. researchers at universities. There the emphasis is too much on research performance. If people are focused on a career increase, they will focus on that and see education as a corvee rather than a challenge that suits their work. I would like to emphasise that.
ParlaMint-NL_2015-01-20-eerstekamer-3.u105	I can fully agree with that. On second thought, I decided to concentrate on the education component and to leave my comments on the research. That's not because I changed my mind afterwards.
ParlaMint-NL_2015-01-20-eerstekamer-3.u106	I must say that I very much appreciate the contribution made by Mr Engels, because this would also allow us to philosophize how we could actually improve the quality of education. This brings me to something that I keep running up against this bill, namely that this bill has the appearance that it is rather hasty. I hear Mr Engels mention concerns, just like Mrs Sent and Mr Bruijn. They all mention concerns. We also do not know where we will go if this financial investment in the quality of education is made and how we should have it worked out. Mr Engels understands that I do not want the loan system, but would it not be better to postpone it for a year to see if we can improve the quality of this bill on these points?
ParlaMint-NL_2015-01-20-eerstekamer-3.u107	The answer is no. That does not seem to me to be of any benefit. At some point, you have to end a discussion that has been very carefully and extensively conducted and draw a final conclusion. At the end of the day we will see what that conclusion will be. In general, I am not in favour of postponing discussions whose outcome will, I believe, be difficult to change.
ParlaMint-NL_2015-01-20-eerstekamer-3.u108	I mean, of course, that we use that time to improve the bill, not to wait to have the same discussion in a year's time.
ParlaMint-NL_2015-01-20-eerstekamer-3.u109	Mr Engels makes commendable comments on perverse incentives in higher education. Everyone who works there will recognize them without a doubt. If we control the inflow and outflow parameters, and if we do so consistently because the funding depends on them, you are sure that it will go down thoroughly. If we relate this situation to the current legislative proposal, which proposes to pump more money into that system of higher education, while we establish with each other Mr Engels is doing that himself that the method of allocation of resources is not really working at all, is it wise to pump a lot of money into a bankrupt system? I do not think so, but I would like to hear Mr Engels' opinion on this.
ParlaMint-NL_2015-01-20-eerstekamer-3.u110	I find it very difficult to agree with the honourable Member's analysis that there would be a perverse system in which there is no point of improvement. I certainly wanted to share my concerns with the Minister. We're gonna have a few more to deal with later. There are also certain questions to ask whether we have got the right direction. But I am not so far with my group to draw such far-reaching conclusions as the colleague draws here.
ParlaMint-NL_2015-01-20-eerstekamer-3.u111	Very briefly, Mr De Lange.
ParlaMint-NL_2015-01-20-eerstekamer-3.u112	In fact, I repeat what Mr Engels himself says: there are perverse incentives in the system that allow the wrong parameters to be controlled. I would say that this is the problem in higher education and that it should therefore be considered in depth. It is a remarkable step to leave the system intact as such, but to pump a lot of money into it. That does not seem very logical to me, nor does it seem very justified.
ParlaMint-NL_2015-01-20-eerstekamer-3.u113	Mr Koffeman, I would ask you to be brief because of time.
ParlaMint-NL_2015-01-20-eerstekamer-3.u114	Mr Engels just referred to the German education system. Smart students have long realised that the German education system is becoming more attractive, while the Dutch education system is becoming less attractive with the loan system. In Germany, tuition fees have been abolished; in Belgium, tuition fees are only €600. Does fellow English share the view that when the loan system was introduced, a lot of Dutch students might think: you know what, am I going to study in Germany or Belgium?
ParlaMint-NL_2015-01-20-eerstekamer-3.u115	To begin with, I do not remember speaking about the German situation.
ParlaMint-NL_2015-01-20-eerstekamer-3.u116	"Bildung" is pretty German, you know.
ParlaMint-NL_2015-01-20-eerstekamer-3.u117	Yes. You use that word. It seems to me a very interesting word to use here, but to stick to it now that I have made all sorts of comments about how the system works in Germany... That is why I can answer your question that I do not see much point of departure to adapt our possible position on the legislative proposal to that.
ParlaMint-NL_2015-01-20-eerstekamer-3.u118	The question was: do you share the concern that if the Dutch education system became less attractive by introducing the loan system, students could move to Germany or Belgium?
