ParlaMint-NL_2015-03-25-tweedekamer-10.u1	Ten speakers have come forward. I shall be the first to give the floor to Mrs Ouwehand.
ParlaMint-NL_2015-03-25-tweedekamer-10.u123	The Minister and I both want wind at sea fast. The Minister accepts a delay because it would lead to a significant reduction in costs. The Chamber has been trying to clarify that for a long time. As far as I'm concerned, that's not going to work. Tonight, the Minister says that it saves €0.015 per kWh whether TenneT is doing it or whether a windmill producer is doing it himself. Now we already have some parks at sea. Ecofys has done a study and made a calculation of what it costs in the current parks. Ecofys and the sector say it now costs €0.016 to €0.018 to connect the park. The Minister will save €0.015. Then we leave that it costs €0.005 to €0.003 per kWh. Of course, that will never be possible, because that is not the case with the sums for how much billion the Minister thinks he will save. Either the sector doesn't know how much it costs to join itself now, or the Minister has a "wonderful" how to say it neatly, a little enthusiastic and optimistic estimate of how much per kWh can be saved. I am very sorry that I continue to insist on this. I want that wind too, but I would also like to be clear about the costs.
ParlaMint-NL_2015-03-25-tweedekamer-10.u124	I do not understand why Mrs Van Tongeren says there is a delay. There's no delay at all. The design that I have now chosen, whereby 700 MW is spent each year in a tender, five years in a row, is even faster than what was originally intended. Originally it was intended to do 450 MW for the first year. We are now doing the first year, 2015, a tender for not that 450 MW but for 700 MW: twice 350 MW. So it's not a delay, it's a acceleration. As far as costs are concerned, the following. Of course, we can beat each other up here. Mrs Van Tongeren says 'Ecofys', I say 'ECN' and mention another institution. I say '€0,015', Mrs Van Tongeren says '€0,003' and then Mrs Mulder says that there is all uncertainty. But that's not how it works, of course. TenneT is not some messer who is just messing with numbers; TenneT is the organisation that owns and manages the entire network in the Netherlands. It is an organization whose shares are 100% owned by the government. That organization has been instructed by us to calculate this and has calculated this. On this basis, TenneT says that if we do this, we will achieve a saving of 3 billion over the entire period, compared to the original design. I have already indicated the relationship with this €0,015. That was then submitted by us for a second opinion to the two largest institutes on this point, which we always use for that purpose. They passed it on and confirmed it to me. Then we can pretend to be unclear here in the Chamber, but there is no doubt. Why should we allow ambiguity to exist? On the contrary, we have an interest in creating clarity. I'll do it on my own and I'd appreciate it if that came from your side too.
ParlaMint-NL_2015-03-25-tweedekamer-10.u125	Finally, Mrs Van Tongeren.
ParlaMint-NL_2015-03-25-tweedekamer-10.u126	Minister Cramer wanted 6,000 MW at sea at the time, but we hardly have anything, so there is a delay. The Chamber is not a mess; I am not the only spokesperson who cannot follow. I would very much like to follow it, because I would like wind at sea and I would like to think along with the Minister. I would therefore like to have an attempt at an answer to my question: what does the Minister think is going to cost per kWh for existing wind farms that have themselves connected to the grid? The figures I get from the sector show that it is between €0.016 and €0.018 per kWh. Then it is difficult to save €0.015 on that. My question does not therefore seem to me to be an unjustified question that I should not be asking.
ParlaMint-NL_2015-03-25-tweedekamer-10.u127	Look, Mrs Van Tongeren can beat me up with Minister Cramer and delay, but I know that I am in the cabinet on the basis of the coalition agreement and that I must realise the ambition of renewable energy from the coalition agreement. That ambition is crystal clear, and we have talked about it dozens of times. I am now going to achieve that ambition in terms of the wind at sea, at a rate that is even higher than that envisaged in the coalition agreement and the energy agreement. Then why should I have Secretary Cramer thrown at me? I don't understand. Mrs Van Tongeren also mentioned the €0.016. Of course, she can bring that up, but I say that we have to realize wind energy at sea and that windmills and a connection are included. That connection is a major part of the costs to be incurred. A company owned by the State, which is currently doing all the connections in the Netherlands, which is involved in off-shore connections in Germany and which has already been in the picture in the Netherlands, we have asked to see what it can do to do the connections as well and as cheaply as possible. A lot of feedback has come up on that. Partly on that basis I made the whole plan to do it in three locations with five standardized units of 700 MW in a particular place. This company has started to calculate and comes to the conclusion of 3 billion, calculated from €0.015. Then I give that to other companies for a second opinion. They confirm a few things. Then I think the Chamber can rely in confidence on that information that comes from TenneT, that comes from that second opinion and that comes from me. Mrs Van Tongeren proposes other calculations. I would say: draw up these calculations and submit them to us, but mentioning Ecofys and €0,016 and €0,003 is not enough to contradict what TenneT has calculated and what came out of the second opinion.
ParlaMint-NL_2015-03-25-tweedekamer-10.u128	I also have a question about this €0.015 cost reduction that the Minister believes TenneT will achieve. The initial amount is €0.15. This saves €0.015 by designating TenneT as the one who builds the network. Then the amount tendered for in 2015 should amount to a maximum of €0.15 min €0.015, i.e. €0.135 instead of €0.145? Surely that should be passed on in the years after that?
ParlaMint-NL_2015-03-25-tweedekamer-10.u129	A small thing: there will be no tender, but it will go through a tender. That's a different procedure. The whole that needs to be realized at sea has been looked at. We are now going to create wind farms, first at Borssele, then in Zuid-Holland and then in Noord-Holland. Then it goes on, because in addition to the ambitions for 2020 and 2023, we also have ambitions for 2030 and 2050. We are going to organise this whole thing as follows. We let TenneT realize those connections, we look at the original costs, namely €0,15, and we look at what contribution TenneT can make to the 40% reduction. That's the €0.015 TenneT can save. That way, you get the 3 billion.
ParlaMint-NL_2015-03-25-tweedekamer-10.u130	But it'll be too expensive to write the tender, won't it? If this €0.015 is realized by TenneT, does it apply to all the parks that will be built from now on, including the parks that will be built from 2015 and built further? The table shows an amount of €0,145. Surely that has to be corrected because TenneT has been making savings for €0.015 since day one.
ParlaMint-NL_2015-03-25-tweedekamer-10.u131	That's not because TenneT has to learn, too. TenneT will first set up the platform at Borssele, gain experience and then create further platforms. TenneT thus also builds up expertise and therefore has more opportunities to contribute to this. The starting point is that TenneT will do so as soon as possible. These costs will be passed on as soon as possible. We must then consult with the sector. What contribution will TenneT make and when will it become available? Depending on this, we need to look at what more the sector needs to do. The discussions on this balance between what TenneT is doing and what the sector is doing, including in time, are ongoing.
ParlaMint-NL_2015-03-25-tweedekamer-10.u132	For our group, however, the question remains as to how much the €0.015 that TenneT will achieve is cost-effective. It is possible that the Minister will have this in hand and that he will be able to put it on paper before the second term of the Chamber. In any case, the lack of clarity on this matter will be removed. I'd really appreciate that. I have heard today from the Minister that the amount that TenneT needs to achieve the infrastructure at sea is around 2.3 billion. At least I thank him for that clarity. If we also hear about the €0.015 cost savings, who knows what good things can happen tonight!
ParlaMint-NL_2015-03-25-tweedekamer-10.u133	I do not quite understand what additional information Mrs Mulder needs. I have summarised and highlighted the information that is available. That's what I can do. If Mrs Mulder likes what I have said, then I will make an attempt to do so.
ParlaMint-NL_2015-03-25-tweedekamer-10.u134	We look forward to seeing that. Thank you very much!
ParlaMint-NL_2015-03-25-tweedekamer-10.u135	I suggest that the Minister continue with his speech. I believe that a great deal has been said in the meantime in the case of interruption.
ParlaMint-NL_2015-03-25-tweedekamer-10.u136	Mr. Chairman. Mrs Ouwehand has indicated that she sees that the natural effects are quickly being offset. She thinks that you should actually take mitigating measures to prevent the damage to nature values and that you should not immediately come up with compensatory values by doing something extra somewhere else. She felt that nature conservation should be paramount in the area itself. It does not affect the requirements of the Habitats Directive and the Nature Conservation Act for the protection of Natura 2000 sites. They remain in full effect. This means an appropriate assessment of the impact of a wind farm on Natura 2000 sites. A lot decision can only be taken if it is ensured that the natural characteristics of the area concerned are not affected. The solution must be found in mitigation measures to prevent or mitigate any effects. For example, the capacity of windmills is increased: you go from 3 MW to 3.2 MW. This allows you to achieve that on certain parts of the day and in certain parts of the year you're running at a lower speed or that you're not even spinning at all, depending on how the bats and birds fly, so you can take that into account. Those are mitigating measures. That is the starting point on which we are heading. We are going to prescribe those mitigating measures in the lot decisions we take. As far as I am concerned, compensation is not on the table. I am insisting that we do so by means of mitigation measures. If that is ultimately impossible, something else has to happen, but that is not my intention. Following on, I would like to say to Mrs van Veldhoven that it is not the intention that we should suspend the legislation on nature. The Nature Protection Act and the Flora and fauna Act continue to apply. The Lot Decision only replaces a permit which would otherwise have to be issued. That does not mean that the permit and the conditions of the permit are no longer in question. It now appears as part of the Lot Decision. In substance, the laws I have just mentioned remain fully applicable. Mrs Ouwehand spoke about the framework ecology and cumulation. In particular, she talked about the effects of mooring on, for example, the animals in the water, the underwater noise. She wants more clarity on what is going to happen on that point. We make these effects a separate framework ecology and cumulation. It'll be made public soon. It will then be possible to respond and a number of months later it will be adopted. That framework ecology and cumulation will show that it is necessary to set an upper limit on underwater noise. We shall then include that in the lot decisions. A draft lot decision will first be consulted. We can respond to that. We are still examining exactly how these standards should be implemented. Mrs Ouwehand spoke about the possibility of harmful substances being released into the water. We assume that there will be no discharges from the mills into the water, for example from rust. If there is some form of discharge, then the Water Act requires authorisation. It will then be used. In this way, we must guarantee the quality of the North Sea environment with this permit and the conditions. Mrs Ouwehand says that with the SDE+ procedure we choose the cheapest plan rather than the best one. In a way, that's true. The SDE+ scheme is a grant instrument for achieving a specific objective. The goal we want to achieve is that the transition to renewable energy is achieved at the lowest possible price. Various studies and reports from the Court of Auditors have shown that if you want to achieve different goals with a grant instrument, little will come of them. It is good to have one goal and try to achieve it with a grant instrument. That is what we are doing: achieving renewable energy in a cost-effective way. That does not mean, however, that all these natural effects and the surroundings are of no importance. They're definitely important. Therefore, the Lot Decision and Lot Decisions lay down cross-compliance conditions that you have to comply with. If you are going to realize those windmills, you have to meet the conditions that are laid down in them. These are conditions aimed at ensuring that nature interests are protected. Indeed, the SDE+ only sees cost efficiency. All other things that concern nature values and nature effects are realized through the lot decision and the lot decisions. Mrs Ouwehand also asked me about cuts in meat and the need to do so. I am now working on renewable energy and the ambition we have in this area. We are talking about the need to achieve part of the wind energy at sea, the way in which I intend to do so and the way in which this law can contribute to this. I think that a reflection on the desirability of less eating meat and less producing meat for human consumption is not something I should take into account. I do not feel that this will bring decision-making closer here.
ParlaMint-NL_2015-03-25-tweedekamer-10.u137	I mentioned this because all the experts, independent scientists in the field of climate, energy and biodiversity, have identified it as one of the most important tools for achieving climate, energy and biodiversity targets. However, the cabinet is looking the other way. In other respects too, the Party for Animals has said that it is very harsh and acidic to let nature in the North Sea bear the burden, while in other areas we perform so badly. As part of the difficult balance that you have to make when you are in favour of green energy and also for good protection of nature in an area that is already under pressure, I call on the Cabinet to do more in other areas as well. When is the time when the cabinet is starting to get a little sensitive about that?
ParlaMint-NL_2015-03-25-tweedekamer-10.u138	We're very sensitive to that. If there is a discussion here on the issues that Mrs Ouwehand considers important, for example the less consumption of meat, then this should be discussed by the government and Parliament. However, I do not see this as a subject that we should discuss tonight. I also believe that saving energy is of the utmost importance, as is the more application of heat. There's a lot of things to say about that, and we do. We've had regular discussions on that. Given the importance of energy saving, it is also important, as we have established, to make electricity production more sustainable. This includes, among other things, the realisation of windmills at sea. That is the subject we are discussing tonight. So it's not like I'm looking away from other things. No, I'm talking about other things at another time. We have now established in the energy agreement and in the government agreement that this is an important part of that very broad whole. Tonight we are talking about how we can achieve that part.
ParlaMint-NL_2015-03-25-tweedekamer-10.u139	I understand that, but the Party for Animals isn't much of the fragmented policies dealt with. We would like to see this in the wider context. That is why I appeal to the Minister for the SDE+ grant scheme, which he himself is talking about, in the context of subsidising manure fermentation. I've explained to you that that's incredibly energy-intensive on the front. We are not just trying to solve energy and climate problems in the Netherlands. I don't think so. We cause a lot of problems across the border. Is the Minister not prepared to say this evening: perhaps it is sin, carrying water to the sea, to subsidise manure fermentation, given the enormous waste of energy that is also there? Can we hear from the minister? After all, it is not just about wind at sea. It's in a broader context.
ParlaMint-NL_2015-03-25-tweedekamer-10.u140	It is in a broader context, where energy saving is an important part of it. We have occasions where we talk about that. When we talk about energy as a whole, about the annual report on energy, the National Energy Exploratory, or about the energy report that comes at the end of this year, all these different parts are covered. Another important element is that we are going to produce electricity sustainably. If we do our best to achieve, in accordance with the ambition of the Energy Agreement, something which I think Mrs Ouwehand wants to do, namely to achieve the transition from fossil energy to renewable energy, which is part of the wind energy at sea, then I find it a bit unfortunate that she is dissatisfied because I am not talking about meat reduction and energy saving. We're not gonna get anywhere like this, are we? Isn't that just how we're looking for the opposites that we're in agreement with each other? Mrs Dik-Faber spoke, among other things, about the consultations to be held with the parties. She mentioned the fishing sector and other parties that have an interest in the North Sea. Of course, it is of the utmost importance that the fisheries sector should also be consulted. We have already established that there are possibilities for vessels up to 24 metres to fish in those wind farms. For larger ships, it can be looked at separately and further consultations will take place. There are a lot of parties that need to be consulted. That has happened and will continue to happen. There is a major intervention in the North Sea, because we consider it important to make that transition to renewable energy. Of course, that has its drawbacks. Besides costing money, it also has all kinds of effects that you can talk to each other about. In order to minimise the adverse effects and manage them as far as possible, this consultation is highly desirable. That will therefore continue to be the case. Mrs Dik-Faber said that she was positive about the distance to the coast. She made the comparison with windmills on land, which often get quite close to people. She says that the nearest mills are located at 18.5 kilometers or 10 miles. Mrs Dik-Faber knows that tonight we are not deciding where exactly these wind farms will be and how far they will be from the coast. However, her view is important to me. I have also expressed my own view on this. I don't want to play hide-and-seek around here. I believe that there should be five 700 MW at three locations. [[Sentence could not be parsed: Bij Borssele kan het buiten de 12 mijlszone en bij de Zuid-Hollandse en Noord-Hollandse kust moet het op een afstand van 10 mijl komen.]] That way, I can fit it in responsibly. I communicated that, with all the support, with the Chamber. That doesn't mean we're gonna decide tonight to do it exactly like this. That will be in the Water Plan. There's already a Water Plan in place. What we want to do now in Borssele is covered. What needs to be done on the North and South Dutch coasts must be changed by means of a change to the Water Plan. This will lead to a result in the course of August and then in December. This means that no decision will be taken on this point at the moment. However, it is important to take note of the views expressed here in the Chamber. These will be involved in the final preparation of the Water Plan. With that, the Chamber is already aware of my approach, my angle, and we'll see how that's going to work out in the Water Plan...
ParlaMint-NL_2015-03-25-tweedekamer-10.u141	Mr President,......................................................................................
ParlaMint-NL_2015-03-25-tweedekamer-10.u142	Perhaps Mrs Mulder will allow me to correct that at one point. The Water Plan concerning Borssele was adopted in December 2015, i.e. last December. A procedure has now entered into force to adapt the Water Plan for the South and North Holland coasts. From April onwards, participation will take place in the area. The animations mentioned by Mrs Mulder will be used. The adoption of that amendment will take place in mid-2016. That means that it starts in April, but that you end up there in mid-2016...
ParlaMint-NL_2015-03-25-tweedekamer-10.u143	Mrs. Mulder.
ParlaMint-NL_2015-03-25-tweedekamer-10.u144	One moment, Madam President. I'd like to check something out.
ParlaMint-NL_2015-03-25-tweedekamer-10.u145	I thought maybe it would help if she...
ParlaMint-NL_2015-03-25-tweedekamer-10.u146	Let me rephrase one more time, because I just missed out when I said: December last. There's a Water Plan in place. That'll cover Borssele. There has to be a change to that Water Plan now. This is necessary if we are to achieve the intentions we have for the South-Holland and the North-Holland coasts. This procedure will lead to a definitive designation of the sites by mid-2016. Between now and mid-2016, this procedure will therefore run, informing all stakeholders, balancing interests and allowing for participation. All that will happen at that time. Thank you for the opportunity to restore this.
ParlaMint-NL_2015-03-25-tweedekamer-10.u147	Sometimes you shouldn't disturb a brooding chicken. That's why I thought I'd wait it out. Maybe that'll give the room why the colleague of the SP also asked. How is the Minister going to table the coastal communities to see how employment can be maintained? That wish of the people there is very real. We are talking about families who want to stay at work and have an income. Can the Minister carry out the commitment to implement an SMEA specifically for the coastal communities in time, so before this whole procedure starts? Then we really know exactly what the effects are and what space there is to consider, in consultation with the communities there, whether it can be filled in otherwise, namely a part not within that 10 miles. Does he still see that room?
ParlaMint-NL_2015-03-25-tweedekamer-10.u148	I myself made that assessment. I have looked very closely at where the parks could be realized off the coast. I've made the decision. How can you achieve standardisation? How many mills do you need for that? What other interests do you have to take into account? How can we take into account defence, fisheries, sand extraction, oil and gas extraction and the other interests that are at stake in the North Sea? How can you fit the new wind at sea on a large scale into that? And how can you control the costs? I have therefore made that assessment, with the result of what is now on the table. Between now and the moment we will talk about this with the area, no new data will be available. Whatever's in there right now, it's there. However, it will be discussed with the area. We must be realistic enough to realise that the creation at sea of such a huge capacity, designed to meet electricity needs for two thirds of Dutch households, has effects. This has consequences for fishing, for shipping, for oil and gas extraction and for what you see from the coast. I'm not gonna talk that out of it. You have to talk about it. You have to listen and see how to minimize those effects as much as possible. That's what's gonna happen in the next few days. There are no further separate investigations on the basis of this.
ParlaMint-NL_2015-03-25-tweedekamer-10.u149	In the letter from the minister we received last Monday, at the bottom of page 5 and at the top of page 6, it was stated that there is still research going on into ways of getting further away from the sea and then in the total SMEA to see how you could be better off in favour of the coastal communities. Is the Minister actually saying: whatever comes out of that, I am already convinced that it will be between 10 and 12 miles?
ParlaMint-NL_2015-03-25-tweedekamer-10.u150	I'm gonna go into that. I'm not saying, by definition, what I'm saying is coming out. I've been directing this whole thing towards me. So I must have a line that I have thought carefully and which I can defend in the Chamber. I do. However, I do not want to say that all the procedures to be followed will not be followed according to the letter and the spirit of the rules in force. I come to the alternative to the locations, which are largely outside the 12 mile zone but for a small part within the 12 mile zone, up to 10 miles from the coast. The fraction of the VVD has suggested that it can be realised at a different location, i.e. IJmuiden Ver, at a lower cost. I'm not going to investigate that. I said that I was open to the industry's possible claim that it could, as Mr Veegte said at the time. When it comes, I'll study it. As I have said, I will come forward with conclusions before the summer of this year. I'm certainly not going to slow things down, but I'm going to try to speed things up a little. If, for example, I have an impression in April or May of what the industry can achieve before the summer, I will draw my conclusions and share them with the Chamber.
ParlaMint-NL_2015-03-25-tweedekamer-10.u151	I am pleased to hear from the Minister that he is prepared to look at the industrial plans for IJmuiden. The Minister also said he wanted to see how the negative effects he was prepared to accept could be reduced as much as possible. As a result of the social cost-benefit analysis Wind energy at sea has now been recommended to further investigate where real risks exist and at which locations they are less significant. Is the Minister prepared to make a more detailed analysis, which can also contribute to minimising the risks and disadvantages, as he himself supports?
ParlaMint-NL_2015-03-25-tweedekamer-10.u152	The choice for the locations, so Borssele, the South Holland coast and the North Holland coast, was not made by means of wet fingering. We have looked at the possibilities, the other interests and the costs. We've made this choice, the best one in my eyes. That's why I'm defending her. As we go through the further procedures, we will see if those locations can get through and how things are in the Chamber. I have received quite a lot of support from the group of the VVD. She says it's okay. She believes that it is possible to go further in the North Sea for comparable amounts, even though the pattern of standardisation, which I explained last time, is breaking. Because I didn't see it myself and I didn't have the wisdom in rent, I said, "Let them come up with information." If that information comes before the summer, I'll study her and share her with the Chamber. That's not gonna happen.
ParlaMint-NL_2015-03-25-tweedekamer-10.u153	You will not hear me accuse this Minister of wet fingering. He never does. He's always trying to back up his decisions. That is why I am surprised that he refuses to look again at those locations that have greater advantages and those that have greater disadvantages, while the recommendation to do so comes from the SMEA that he himself had carried out. What do we have to lose if we do do it on the basis of the SME recommended research?
ParlaMint-NL_2015-03-25-tweedekamer-10.u154	I have a goal to achieve: I have to make the transition to renewable energy. That is not a vague goal in the future. It sets out exactly what should be achieved by 2020, in 2023, in 2030 and in 2050. That's what I've got to do. That is why I need to have a vision and direction, make choices and implement framework conditions. I have to do research, be careful, make a decision and then make a decision. Once that's taken, that's it and I'm on. I can't keep getting on the brakes and doing research to see what comes out of it. I've made a careful assessment and made a decision. That's it, and that's the procedure. We'll see if any other things come out of that. I'm not gonna slow down now and say I'm gonna get another investigation to see if there's any other way. I think what we've done now is best. As regards IJmuiden Ver, the alternative, I have already said that I will draw conclusions and will share them with the Chamber as soon as it can be done in a responsible way in my view and I have the information that the industry is providing or not.
ParlaMint-NL_2015-03-25-tweedekamer-10.u155	Please continue.
ParlaMint-NL_2015-03-25-tweedekamer-10.u156	I already told the Chamber that we had made the choice of being close to the coast and standardized and that I cannot imagine that you are cheaper out or have the same low costs if you sit at a longer distance. Anyway, that's got to prove it. I'll wait and see. I was working on Mrs Dik-Faber's input. We talked about the location and the amount of 12 billion instead of 18 billion that we initially had. Mrs Dik-Faber further asked if I am talking to the big financiers about covering the costs of wind at sea. Of course, that's what we are all the time. I talked about it in Japan, in Korea, in China and here in the Netherlands. We consult banks, pension funds and everyone involved in the wind at sea. We simply find that investors are very interested in this. There is also a lot of interest for financiers. One pension fund has already been mentioned and another pension fund is still being discussed. So there's that interest. I shall come back to the amendments later. Mrs Dik-Faber and Mrs Van Tongeren draw the conclusion that we favour mining activities over wind at sea. That's not true. We see both mining activities, i.e. oil and gas extraction in the North Sea, and wind energy as activities of great general interest. It is still necessary in the coming years to use fossil energy in addition to renewable energy. You can import them, but if you can find them in a responsible way in your own country or sea area, you should do so. So we are both working on it, but achieving the goals for wind at sea is my starting point. I pay attention to all things that are in the public interest, including mining activities, because we still need oil and gas for the time being. But I'm heading in the first place towards my ultimate goal, realizing the capacity of wind at sea. Mrs Dik-Faber spoke about TenneT. That's what I did. She also asked why the draft law submitted to the Council of State did not include the possibility for licence holders to appeal. That gap in legal protection is not a conscious choice I made. The SGP Group pointed out this gap in the written input. I then submitted a letter of amendment to fill that gap. That is one example of the value of the Court's contribution to the drafting of a law. That is what Mrs Dik-Faber is talking about.
ParlaMint-NL_2015-03-25-tweedekamer-10.u157	Mrs Dik-Faber and I have also asked why wind at sea is not given priority. We have not argued that oil and gas are favoured at the expense of wind, but asked whether it is logical to favour wind at sea if you ultimately want a sustainable energy system. I also understood that it was almost clear in the consultations with NOGEPA that wind would take precedence at sea. Maybe the Minister can explain how he looks at this and how it is now.
ParlaMint-NL_2015-03-25-tweedekamer-10.u158	I believe that Mrs Van Tongeren and I share that view. I also consider the extraction of oil and gas of general interest. She doesn't think so, because she says no oil and gas; I want you to focus entirely on energy saving and renewable energy. However, I also consider oil and gas extraction to be of general interest, so I also take that into account. For me, however, what I am doing in the North Sea is dominant: I must ensure that I make the transition to renewable energy and that a considerable capacity of wind becomes available at sea. I need to get that done now. So that's my first priority.
ParlaMint-NL_2015-03-25-tweedekamer-10.u159	Finally, Mrs Van Tongeren.
ParlaMint-NL_2015-03-25-tweedekamer-10.u160	Maybe we can get it a little sharper. The Minister is now saying that it is his first priority to get wind at sea. Suppose there is an area at sea where gas, oil or shale gas could be present, which is also a very good location for wind. Is the Minister in consultation with NOGEPA to ensure that wind is given priority? Or is it not doing so well with the sector, which says: we want that oil and gas first, and when we are done, can that wind farm come?
ParlaMint-NL_2015-03-25-tweedekamer-10.u161	I've made my decisions. I have looked at fishing interests, the importance of defence, the importance of shipping, which must reach the ports and the importance of oil and gas extraction. I also looked at my ambition for wind at sea. Which places are suitable for that? What about the cost? Closer to the coast? Farther from the coast? On this basis I made my assessment and presented three locations to the Chamber: Borssele, the North Holland coast and the South Holland coast. That's been my consideration. I made it. As I have already indicated, I am at the moment primarily trying to ensure that I make that transition. It is therefore necessary to build up new capacity. That needs extra attention from me as a ruler, and I give it to him as well. The three locations I've identified are the result of that. If we do this, we can achieve a very large capacity of electricity from windmills at sea in three places. One is outside the 12 mile zone and the other two are largely outside the 12 mile zone and for a small part, up to a maximum of 10 miles, within that zone. With a standardized design and in a very responsible way in terms of time, location and balance of interests, I believe we are making the right choice. Mrs Van Veldhoven has given me a number of pressing questions about the 3 billion and the related issues. I answered those questions. I dealt with the 40% reduction in costs. I still have to deal with the existing permits. Mrs Van Veldhoven asked why we should pay the costs of the existing licences under the SDE+ scheme. As far as I am concerned, the existing permits had already been removed. In 2009, we had a tender. It was possible to grant three grants. There were 12 licences that had to be granted according to the procedure at that time. Subsequently, three projects were eligible for aid; the remaining nine were to be cancelled. The House then adopted the Van Veldhoven motion which stated that these licences should continue to float above the market. My predecessor said at the time that the government would do this. At the moment, I am responsible for the implementation of the coalition agreement and the energy agreement. I must ensure that a major transition is achieved in a responsible way in a short time and at the lowest possible cost. The existing licences do not fit in with the set-up and pace necessary to meet our low-cost ambition. I can make those permits float over the market any longer, but I'm not in the mood for that. That only ends and that complicates the case. For this reason, I said that the existing permits would expire and that I would also withdraw them from the SDE+ 2014. If licence holders had incurred costs under the SDE+ 2014, I would talk to them about this and see what we should do about it. I talked to them about that. There's a picture of the amount of those costs. I've informed the Chamber of the total amount. A part of the total cost of achieving wind at sea is the transition to renewable energy. There's all kinds of costs involved. If we opt for a different design, while some have incurred costs in 2014 under the SDE+, which is intended for the realisation of renewable energy, then we should reasonably reimburse those costs.
ParlaMint-NL_2015-03-25-tweedekamer-10.u162	Have you answered all of Mrs Van Veldhoven's questions?
ParlaMint-NL_2015-03-25-tweedekamer-10.u163	Not yet.
ParlaMint-NL_2015-03-25-tweedekamer-10.u164	I suggest that the Minister first responds to all of Mrs Van Veldhoven's questions. Mrs Van Veldhoven will then be given the opportunity to post an interruption.
ParlaMint-NL_2015-03-25-tweedekamer-10.u165	A point of order. I would prefer not to, because I may have several questions with regard to the various answers given by the Minister.
ParlaMint-NL_2015-03-25-tweedekamer-10.u166	That's okay, too.
ParlaMint-NL_2015-03-25-tweedekamer-10.u167	I will do what you say, namely to answer Mrs van Veldhoven's other questions first. I have already talked about the assumptions behind the amount of 3 billion. I have also mentioned the 40% reduction in costs. Mrs Van Veldhoven says that there is a certain lead time between the time that permits are issued and the time when the construction actually starts. In the meantime, innovations can take place. There must then be room for these innovations to be applied. I fully agree with Mrs Van Veldhoven. Authorisations shall be granted in accordance with this Regulation. If innovations can be applied between the time of granting the permit and the moment of the start of construction, then that is a good thing and we will do so. Authorisation should make this possible. I have also mentioned the costs of TenneT which are charged to the electricity bill. I have also said that they can be compensated by granting a subsidy from the SDE+ scheme. We are going to look at that and discuss with the Chamber the conclusions we will draw separately. Mrs Van Veldhoven also asked about European procurement rules. They do not apply, because this is not a tender. This is a grant tender. There is therefore a separate procedure where you cannot declare the procurement rules applicable. Mr President, I think I have answered Mrs van Veldhoven's questions.
ParlaMint-NL_2015-03-25-tweedekamer-10.u168	I'm just gonna go back to the cost transfer. The energy agreement assumes an average reduction in the cost of wind at sea of 40% per MWh, to be achieved over the period 2014 to 2024. What does the word "average" mean? Anyway, I'm gonna move that average aside for now. A cost reduction of €0.005 per year in the period from 2014 to 2024 should, in my opinion, lead to a cost of €0.009 per kWh at the end. But if I go through with this, in 2024 I get to a cost of €0.10 per kWh. When and how will the Minister achieve that last cent reduction?
ParlaMint-NL_2015-03-25-tweedekamer-10.u169	It's about what it has to be in the end. We need to reach that €0.09. If you look at this over the whole period, what should it be every year? You'll end up at $0.005 a year. That is why we have committed this €0.005 as what we are prepared to pay for the subsidy. That's the outcome of that. Now I come to the moment that the €0.009 has been reached. You start counting down at some point. At the end of this year, the first tender will run. This results in results in the year 2016. Next, €0.005 goes off every year in a period of ten years. This means that in the year 2023 you are not yet up to the maximum, namely the €0,09 that needs to be realized. That comes in the years after that. During this period, you only collect part of the 40% cost reduction.
ParlaMint-NL_2015-03-25-tweedekamer-10.u170	Then it doesn't correspond to the agreements in the energy agreement, does it? It states that in the period 2014 to 2024 40% would be achieved. Now I get to €0.10 in 2024. So we have only achieved a 33% reduction and not a 40% reduction. How is the Minister going to ensure that we actually achieve the 40% reduction in 2024?
ParlaMint-NL_2015-03-25-tweedekamer-10.u171	We are going to do that in a period of ten years. I just indicated which year is the first in which this can begin. This can be achieved at 0.5% per year. Then at some point you come to that final amount. We are now discussing the commitments for the year 2019 and not for the period from now until 2023. In the year 2015, the first tender will come. In 2016 the second, in 2017 the third and 2018 the fourth. In the year 2019 comes the fifth. In the period we can therefore not go further than five times €0,005, i.e. in total €0.025. In the period thereafter, the other half cents per year will be realized, until we end up with a 60% reduction on €0,15, which is €0,09.
ParlaMint-NL_2015-03-25-tweedekamer-10.u172	I can only conclude that the Minister has implicitly extended the energy agreement for two years. He is actually saying that it does not run until 2024, but until 2026 and that this is also the period in which he is going to achieve the cost reduction. I have another question about licensing. I understand why the Minister is now saying that he can't do as much with the old permits in the new approach he has chosen. I also think he has reason to propose this new approach to the Chamber. My group supports them, too. Then it is logical that the costs incurred by the parties should be properly reimbursed, but the question remains as to why this should be done from the SDE+. At first the minister was always very strict in what the SDE+ could be used for. I think he's dealing with that a lot more broadly now. He says: this is necessary in order to achieve the transition and achieve the goals. Then I repeat my previous question. Energy saving also brings us closer to our objectives in a perhaps even cheaper way. Nevertheless, the Minister has always said: no, we are not going to finance that from the SDE+. What is his fundamental objection to financing energy saving if he does finance the network and this kind of cost?
