ParlaMint-NL_2015-12-16-tweedekamer-12.u1	I understand that the Secretary of State for Security and Justice will speak first.
ParlaMint-NL_2015-12-16-tweedekamer-12.u146	Is the answer "yes, I did it in writing, with pen or anything else" or "no, it was oral"?
ParlaMint-NL_2015-12-16-tweedekamer-12.u147	Yeah, I did that in writing.
ParlaMint-NL_2015-12-16-tweedekamer-12.u148	Why, then, does the answer to the questions state that they were merely oral suggestions?
ParlaMint-NL_2015-12-16-tweedekamer-12.u149	It's about the 4th of March. Those were just oral suggestions. I did not make any written suggestions there.
ParlaMint-NL_2015-12-16-tweedekamer-12.u150	Finally, Mr Buma.
ParlaMint-NL_2015-12-16-tweedekamer-12.u151	I asked the specific question whether you made your suggestions orally or in writing. You will reply orally.
ParlaMint-NL_2015-12-16-tweedekamer-12.u152	March 4th.
ParlaMint-NL_2015-12-16-tweedekamer-12.u153	That's what I'm talking about.
ParlaMint-NL_2015-12-16-tweedekamer-12.u154	On 4 March I only made oral suggestions.
ParlaMint-NL_2015-12-16-tweedekamer-12.u155	When the Minister spoke about the deal and about the conclusions and recommendations of the Oosting Committee, he said he accepted them. What does the word "accept" mean in this?
ParlaMint-NL_2015-12-16-tweedekamer-12.u156	That I take over the conclusions of the Oosting Committee.
ParlaMint-NL_2015-12-16-tweedekamer-12.u157	Does that also mean that you agree with them and that you agree with them?
ParlaMint-NL_2015-12-16-tweedekamer-12.u158	If you take over something, you agree.
ParlaMint-NL_2015-12-16-tweedekamer-12.u159	We saw the Prime Minister's press conference. He said, "Maybe there's more to tell about the report." Did he say that partly on behalf of the Minister of Security and Justice? Should we mean accepting the report?
ParlaMint-NL_2015-12-16-tweedekamer-12.u160	I don't quite understand this question.
ParlaMint-NL_2015-12-16-tweedekamer-12.u161	The Prime Minister has said that there may be an additional deal, additional information, there may be things that we do not know and that are covered in mists. That could give the deal extra credibility or be an additional reason why that deal was concluded, or: there is another story next to the story of the Oosting Committee. If the Minister of Justice then says he accepts the report, is it or could there still be all kinds of stories around it and does he keep that option open?
ParlaMint-NL_2015-12-16-tweedekamer-12.u162	The Oosting Committee is very clear about this. I read in a national newspaper this morning that Mr Vrakking says that there is much more and that it is different. That is what he said in his discussion with the Oosting Committee. Of this, the Oosting Committee says that it has not been able to establish whether this is actually the case. I read that Mr Teeven said that it could be done in theory, but that he does not make any announcements about it. I'm gonna stick with that. I note with the Oosting Committee that it has not been able to establish whether it is. I also note that Mr Vrakking says that it is. I'm not deviating. I have no opinion other than the Oosting Committee. I cannot find anything other than the Oosting Committee on this point. I note, however, that Mr Vrakking has a different opinion on this.
ParlaMint-NL_2015-12-16-tweedekamer-12.u163	However, I note that we have had a 40-minute press conference, in which the Prime Minister has gone into this exercise in detail and indeed explored the Vrakk option. Was that partly on behalf of the Minister of Security and Justice? Was that tuned into the VVD summit?
ParlaMint-NL_2015-12-16-tweedekamer-12.u164	The Prime Minister himself will undoubtedly talk about this in this way. I note that Mr Vrakking said not only in the report but also today in a national newspaper and reiterated that there would be more. I, together with the Oosting Committee, note that it has not been able to establish that it is at issue. That is what I can say. I have therefore accepted the report of the Oosting Committee.
ParlaMint-NL_2015-12-16-tweedekamer-12.u165	Please continue.
ParlaMint-NL_2015-12-16-tweedekamer-12.u166	Mr Klaver asked why Mr Van Brummen was given such a short time for his research. That question was also put in writing. The limitation in time was linked to the request of the Chamber of 9 April 2014 during the arrangement of work. At the time it was requested to send the inquiry and its results to the Chamber by the end of April. On 25 April, my predecessor then sent a letter stating that it had not yet been completed and finally the report was sent to the Chamber on 26 May. I have taken note of the opinion of the Oosting Committee, which I endorse, that it would have been wiser to have either an independent researcher do the work or give Mr Van Brummen more time for his research.
ParlaMint-NL_2015-12-16-tweedekamer-12.u167	Mr. Klaver.
ParlaMint-NL_2015-12-16-tweedekamer-12.u168	I have also read this in the reply to the written questions. I had another question, namely why Mr Van Brummen was only given twelve days. The Minister then had four weeks to respond and to send four concepts up and down. That's what I cared about. If it was really meant for truth finding, wouldn't he have a lot more room for an investigation?
ParlaMint-NL_2015-12-16-tweedekamer-12.u169	I note that the Oosting Committee has also noted this. I have accepted that conclusion. The last question that Mr Samsom asked me was whether I agree with the Oosting Committee on the passage in the BOOM opinion, which was made confidentially available to the Chamber, which had been blacked out. As I indicated in the reply, the reason was that it was then found to be a personal policy concept of the Public Prosecutor's Office. But especially if you look back, I fully agree with the Oosting Committee that it would have been wiser not to paint that passage. My policy will also be to look very closely at the question of when things will be painted, because I would like to avoid this kind of discussion. I will inform the Chamber in February.
ParlaMint-NL_2015-12-16-tweedekamer-12.u170	My request to the Minister for Foreign Affairs and, in broad terms, to the Cabinet for a more precise definition of what a "personal policy concept" is. This is also going to play a role in this debate on another point. Every time there's no clarity about it. This gives noise on all kinds of lines and especially gives too little information to the Chamber. I therefore think it would be wise, for example, for the Minister of V and J to take the lead in writing a little more clearly than we have so far. So far, it seems to be mainly ad hoc. That doesn't help the truth.
ParlaMint-NL_2015-12-16-tweedekamer-12.u171	I will take the lead in asking the Minister for Home Affairs and Kingdom Relations, who is responsible for the Public Administration Act of which this is a part, to reflect further on this.
ParlaMint-NL_2015-12-16-tweedekamer-12.u172	Thank you. I now give the floor to the Prime Minister. I see Mr Pechtold coming to the interrupting microphone. Do you have a question for the Minister?
ParlaMint-NL_2015-12-16-tweedekamer-12.u173	Yes. He was extremely fast.
ParlaMint-NL_2015-12-16-tweedekamer-12.u174	Then I'll ask the Minister to stand still for a while.
ParlaMint-NL_2015-12-16-tweedekamer-12.u175	The Minister has now had his first term, but I would still like to look back with him at how it all went at the beginning of March. He's been to that ministry twice. He's told me more about that now. He also regretted it, but in those same weeks Minister Schippers, now his colleague, said on 14 March in De Telegraaf: I describe that it is no coincidence that incidents are now emerging. Then she says something abstract: "One says: the underworld. The other one, the lawyer. Or at Justice." Those are quite allegations, including towards the Ministry of Justice. Then what does MP Van der Steur do? It runs on the Warmondermarkt leaflets to distribute and tweets: Many positive reactions to campaign and the comments of Edith Schippers. How does Mr Van der Steur, now Minister, look back on those weeks in March, on what he himself has experienced and on the fact that he has contributed to the image that dark forces would be working to organize all this? Oosting concludes: a canard. That's bullshit!
ParlaMint-NL_2015-12-16-tweedekamer-12.u176	I note that the Oosting Committee found that there was no reason to assume that there was anything other than sound investigative journalism. Since I endorsed the whole report and accepted its conclusions, I also accept that conclusion. The tweet I sent, already fliering at the market in Warmond, was a fact. There were a lot of people who claimed to say to me: how nice that it is finally said. I did not support that comment. That is quite apart from the fact that the only thing I can see is that it was at least the first occasion of Newsuur that the information came from a criminal angle.
ParlaMint-NL_2015-12-16-tweedekamer-12.u177	Of course, it's only 140 signs, but what a relief that what was said was not the opinion of campaigning MP Van der Steur, who had been to the ministry twice, who knew that amounts were mumbling and who knew that notes had to be taken out of vaults. No, he's involved in accusing underworld and law. Well, one is me so far, and the other one, I don't think it's very neat if you don't have facts. But he also says, like Schippers, they may also be dark forces in the Justice Department. He's responsible for that ministry now. Throughout the answer now in the first period, I also hear him tell me again and again what needs to be improved in the ministry. I would like to hear a reflection on the accusations made by Schippers, which he has supported in his tweet, and on the fact that there is once again being referred to civil servants today and that there is not even one turn to him today, to himself.
ParlaMint-NL_2015-12-16-tweedekamer-12.u178	In this debate, I think I have pointed to myself quite in detail. I have also indicated where I think I should have made other choices in my role as a Member of Parliament. As a minister, I have indicated that, as far as I am concerned, it is my job to start a process of change in a number of areas. This applies not only to the officials, but also to me as a minister. I'll pick up that part and I'll take it. For the rest, whatever Mr Pechtold makes out of the tweet, I note that the report by the Oosting Committee states that there was no reason to assume that there was a set-up. That is what the Oosting Committee says, and I agree with that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u179	I put a question to the Secretary of State through the Minister. I wonder if it can still be answered before the Prime Minister starts. That question is about 9 March and the curious moment the Minister opened: the dg comes in with his note. The Minister says that goes too far for me. And the Secretary of State sits down and says, "No, you can't." I want to know from the Secretary of State why he didn't make the same moral judgment as the Minister at the time and not just like him left.
ParlaMint-NL_2015-12-16-tweedekamer-12.u180	I believe that Mr Dijkhoff has answered the question in the time limit in which questions were put to him.
ParlaMint-NL_2015-12-16-tweedekamer-12.u181	That seems difficult, because I asked you the question and Mr Dijkhoff's term had already been.
ParlaMint-NL_2015-12-16-tweedekamer-12.u182	But Mr Dijkhoff has already explained why he took note of the discussion report. That's where the answer is. I'll take a look at the chairman.
ParlaMint-NL_2015-12-16-tweedekamer-12.u183	If the Secretary of State has already said it, then maybe he can do it again...
ParlaMint-NL_2015-12-16-tweedekamer-12.u184	Why this is so important is because the Minister opened up I already fell over there with: that official comes with his piece and I am not going to look at it of course. But I read the written answers and I see that the Secretary of State remained ordinary, and so it was good to see the notes, which contained the EUR 4.8 million and the amounts. And that's what it's all about, of course. I just want an answer to this. It's a moral consideration, and I want to know how it was made by the Secretary of State.
ParlaMint-NL_2015-12-16-tweedekamer-12.u185	Can the Minister respond to that?
ParlaMint-NL_2015-12-16-tweedekamer-12.u186	I cannot speak on behalf of the Secretary of State, but let me say that both the Secretary of State and I believe that on 4 March we should have already taken the decision not to take notice of it. So when the concept of the press release was brought in. We both believe that this was a relocation that we should have seen afterwards, given the reflexes we asked for, to say: this is where our task ends.
ParlaMint-NL_2015-12-16-tweedekamer-12.u187	Before I give the floor to the Secretary of State, I will see if Mr Segers has a question for the Minister. Otherwise, we're gonna keep going back and forth.
ParlaMint-NL_2015-12-16-tweedekamer-12.u188	I have a question for the Minister, Mr. President.
ParlaMint-NL_2015-12-16-tweedekamer-12.u189	Go ahead.
ParlaMint-NL_2015-12-16-tweedekamer-12.u190	I'm still chewing on the answer to my question as to what we're doing with the smokescreens that have taken off again around possible extra deals, secret deals, stories behind Oosting's story. As far as I am concerned, it would be difficult for us to accept this report if we were not able to put an end to it. The Chamber is asking for a commission and for an investigation. There's gonna be a big report of over 400 pages. Oosting says, "This is it. I've heard the story of Vrakking; we've looked into it. We have offered Bitches to talk confidentially." Now the smoke machine is turned on again in the vein of: what we don't know, we don't know and it could still be done. Can we just put an end to it and say, "This is it?"
ParlaMint-NL_2015-12-16-tweedekamer-12.u191	I think we can make a point because the Oosting Committee has spoken with Mr Vrakking and has taken note of his statements and then found that there is no reason to think about them anymore. I'll hold onto that. I don't see any reason to find anything else or anything about it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u192	If there is any doubt, if the Minister thinks there could be another story, and if that doubt also exists on the side of the Chamber, then we will have to do further research. Then it's gonna have to be re-examined. Are there any facts we don't know? Is there a story behind the story? If there's only one beginning of doubt, it needs to be investigated. If there is no doubt, we can make a point.
ParlaMint-NL_2015-12-16-tweedekamer-12.u193	That is, of course, up to the Chamber.
ParlaMint-NL_2015-12-16-tweedekamer-12.u194	That's true. I would ask the Secretary of State if he can give a short answer to Mr Buma's question. The noise you heard was a small accident in the public gallery.
ParlaMint-NL_2015-12-16-tweedekamer-12.u195	Mr. Chairman. I was asked why I stayed in that Monday. That note wasn't shared on Wednesday. There was some verbal announcements. The receipt was found on Monday. Mr Klaver already asked what questions I had. I've been able to find it. That Monday, I was even more dreaded and sharper towards the people there at the table. I thought it was weird that the receipt was found. I asked, "Why has it been found? Is there a good enough search? Why hasn't there been more work done?" There were answers to that. I told you before that one of the reaction lines was back then: we needed the data from Newsuur to find it. So I started asking questions. If you could have found it last year without Nieuwsuur, would you have found it if you'd searched in the lawyer's name, or in the creditors' name, or by date? The answer was: yes, we would have found it. Well, then you can't say you needed news hours. Then I asked if there was anything you could have found in those memories. The answer was no, it's not. But I was a little more critical, so I asked him if he was sure. Then he said, "I'll have to bring in my conversation note, my notes." I said I didn't need to see it. It was then mentioned as personal notes and it was also said that they were taken by Van Brummen. Then he said he'd like to bring it in. I said, yes, you do. I thought, "I'm not going because someone says to call it in, "let's just say it." I was then, perhaps from a somewhat miserable emotion, in such a way that I thought that if the creditor's name or the date were in the memory, this might have led to it, combined with a better search, that it might have been found. I found that useful for the imaging. In the end, this perception meant that I did not leave with a very positive feeling and perhaps the Minister also based his conclusions on that exchange of views.
ParlaMint-NL_2015-12-16-tweedekamer-12.u196	I ask this question because the Minister said that at the beginning of the moment the dg said he was coming up with those pieces, that this was the border for him, that he couldn't participate in this and that he was leaving. Has there indeed been such a clear moment when Van der Steur said he was leaving, but you apparently thought: you can go, but I'm staying?
ParlaMint-NL_2015-12-16-tweedekamer-12.u197	I was not focused on Mr Van der Steur at the time. I also said that I didn't have to read it or see it, but if someone's going to get something to refresh his memory, I don't say: leave it. I was just questioning the place pretty critically. That didn't lead me to think: good story!
ParlaMint-NL_2015-12-16-tweedekamer-12.u198	I am going on because the moment the Minister said he couldn't do it anymore was the moment when the official came in. That was the moment when he couldn't do it anymore. There are two possibilities: it was indeed so or it was one tooth less. I say quite honestly that I do not rule out the latter when I hear the Secretary of State like that. The minister didn't make it very clear that this was the moment when he couldn't and wouldn't carry morale anymore. He didn't say, Klaas, let's not do this! No, you stayed there. You even crossed the line to the Minister's standards, but he left. That's the image you're both putting here, isn't it? This is the core, isn't it? One of them says this was the border for me, so I left. The other says: yes, I was critical, so I stayed. The question is whether there was clearly a moment when the minister woke up and said it couldn't be done. Did that moment really happen? Is that really made clear? I'm so terrified that the Minister is just making things a little bit more beautiful here. This is evident from the way the Secretary of State says it, because he has no memory of what the Minister did.
ParlaMint-NL_2015-12-16-tweedekamer-12.u199	At that time, the Secretary of State fell apart. Yes, it is. I know. I just explained why I didn't leave and asked around. I did mention that I didn't have to see it or read it. In hindsight, next time someone with a personal note arrives... if I'd seen it, I would have concluded something else. I understand this image is a little messy. If we'd made it up, we'd have come up with something better.
ParlaMint-NL_2015-12-16-tweedekamer-12.u200	One final question, Mr Buma. If we don't, we're gonna repeat ourselves.
ParlaMint-NL_2015-12-16-tweedekamer-12.u201	One more time and I'll quit. I think this is important. The Secretary of State is now talking about the image, but the Minister is throwing up the image. That is important to the Chamber because the Minister says: really, people, I have that standard and I stopped there! Turns out the Secretary of State didn't do that. In fact, he saw the Minister leaving, then even MP, but the Minister did not make it so clear at all. He just went. I think that's a whole different story. I don't think that's right.
ParlaMint-NL_2015-12-16-tweedekamer-12.u202	In my view, we have both indicated here that the standard had already been exceeded a long time ago and that we should have said that Wednesday, when the press release came out, that the border is here; we are not going to do this. Then the rest wouldn't have happened either. Other than that, it's like I just told you.
ParlaMint-NL_2015-12-16-tweedekamer-12.u203	Thank you. I now give the floor to the Prime Minister.
ParlaMint-NL_2015-12-16-tweedekamer-12.u204	Madam President. I have been in politics for 13 years and this is by far the toughest debate in my political career. The criticism of the Court at first instance was severe and I am afraid that this has also been justified. I will try to show in my answer what lessons I have learned myself. I shall begin with that in a moment, not least with Mr Klaver's question. This will undoubtedly be the basis of all the other questions raised. First of all, I would like to say that I only made it worse with my press conference last Friday because I there, challenged by a journalist, you should never let that happen. In the end, I combined two elements of the Oosting report: the part of the Oosting report in which we are talking about what exactly we know about the deals that have been or have not been concluded for the gourmet: that is on page 259 of the report and the conclusions of the Oosting report on page 272. Klip-and-ready, I fully support, from a to z, the conclusions of Oosting on page 272. There is nothing I know but what is in this report about compensations that might or might not have been delivered. However, having reflected so extensively on this report in my first reaction to a press conference, I have given rise to the suspicion that I do not agree with the conclusions of Oosting and that I would have knowledge of what was behind the deal, which is not the case. That's an incredible stupidity. That's after the report came out, when I made it worse. I will only stay with Mr Klaver and the other lessons I have learned. I have always, as an introduction, taken a position when the functioning of a State Secretary or Minister in a previous position is under discussion, especially if that position is characterised by a great deal of secrecy and it is complicated for the Public Prosecutor to ask questions about it in the current position. I welcome the fact that Minister Opstelten had that report drawn up by Van Brummen, although it is now clear that that report was not good. We now know that it did not meet the requirements of quality, but I could not know that at the time. In any case, I was very pleased that he had a report drawn up. Then, in the autumn of last year and early this year, the matter continued: is there a receipt, then what is the amount and what is it about? I don't think I can be asked to do truth-finding. That's not from General Affairs. I do not mean to repeat the quote on all matters and General Affairs. I mean, that's not the job of General Affairs. It's the department's job. However, I should have sat much more on the ball to make sure that in the process everything was done to get the bottom stone up. I didn't do that, which allowed that case to go on longer than it might have been necessary. I don't know if that truth was discovered before, but I'm taking that lesson. My next point is about the conversation note. I hear on Tuesday 10 March, in preparation for the debate, that there is this note and that there is no discussion report. Mr Pechtold asked me about it in the first term and I replied that there was no discussion report. In the break, I asked what it was like. You can now see in the Oosting report how that went there. At that time, there was not enough time to challenge to content and then talk to the official about whatever should have happened to determine whether or not it was a personal note. The lesson I'm taking from this is that if something like this happens again, I'm just gonna take more time. Then I call the President: a matter has arisen in the first term of the Chamber; I need more time to find out. Then I could have read the document and I could have found that there were no personal policy ideas in it from the official concerned. I thought that was essential. Then I could have entered into the discussion, which I certainly would have done. I'm not gonna overrule that official who says it's a personal note. No, then I would have entered into the conversation with him to determine whether or not it wasn't a personal note. I should have taken more time for that. I would like to point out that if it happens again, I will not confine myself to the communication under pressure of time: I am here on the compass of this official, which I do for lack of time. On another occasion, I will call the President: I need more time for this suspension in order to be able to sort out this issue precisely. I will stop here for a moment, because I see some of your colleagues standing in front of the microphone.
ParlaMint-NL_2015-12-16-tweedekamer-12.u205	Yeah, I see them, too. I shall begin with Mr Pechtold.
ParlaMint-NL_2015-12-16-tweedekamer-12.u206	I would like to return to that moment of the debate on 10 March. We've been at it for a year. There have been two broadcasts from Nieuwsuur and the rulers have resigned. I come in first term with that note, as I've been told. I describe it on purpose a few times wide, because I'm already afraid I'll be caught on words. At the end of the first period, I repeat my question to make sure that it is answered after the first period. So the point of time pressure doesn't apply. I say it quite quickly in a five-hour debate. After I repeat it and explicate it, the suspension lasts an hour. After that, it is still maintained that it is not there. We've seen it now. It's an A4's, not even described. There's hardly any numbers on it. There's only one number: 4.8. You can see that with one look. Fortunately, in the report on the discussion with the Oosting Committee, that is now available, and for that I have respect for it, we now read that Prime Minister Rutte has also seen that number, with a 'bad eye' as he says. My theory is next. From that moment on, the Prime Minister thought: now it's impossible to hold. He thought: now I have to go with that Chamber and now I have to make sure that this motion Slob, which calls for an investigation, is carried out. However, he could also have chosen to say that he had heard the question throughout the first term, that he had had an hour to look at it, that the amount was there and that it was not a very big story. It was just one screenshot... I understand it was the prime minister shown on an iPad...
ParlaMint-NL_2015-12-16-tweedekamer-12.u207	No, it was physical.
ParlaMint-NL_2015-12-16-tweedekamer-12.u208	Then it was a piece of paper. It doesn't matter. There was only one number: 4.8.
ParlaMint-NL_2015-12-16-tweedekamer-12.u209	It was two numbers. I didn't see the other number.
ParlaMint-NL_2015-12-16-tweedekamer-12.u210	So I want to know from the Prime Minister why, after a year of fuss and the resignation of two government officials, he still didn't say at the time: there is indeed a piece of paper or whatever you should call it, there is an amount on it and it's only 0.1 percent of what Nieuwsuur says.
ParlaMint-NL_2015-12-16-tweedekamer-12.u211	I understand what Mr. Pechtold is saying. I don't know if I can convince him tonight. I think we've always worked together in good faith. All I can do is outline what happened and then it's up to him to trust it. I heard about the existence of those notes in the afternoon. Mr Pechtold asked me in the first period of the debate whether there was a report. I said to honor and knowledge that there was no such thing. During the break I said: boys, we need to be very precise now, because apparently this is very relevant to the debate. It was said at the time that there was something: a personal note that was in this official's safe. This official was involved in Van Brummen's entire investigation. That's how it turned out to be the reconstruction later. Partly on this basis, Van Brummen concluded that there are insufficient evidence to support memories. But during that suspension, of course, I didn't control that file. After all, I would not have spent every day working on this dossier. That is clear from the other comments I made on whether I should not have been on top of it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u212	But Chairman,...
ParlaMint-NL_2015-12-16-tweedekamer-12.u213	Just let me finish my answer. It is important what I say about this, because it is directly about the trust between Mr Pechtold and me. I assure him, this is how it went. I had an hour or half an hour in that suspension. I really do not remember how long that suspension was; if Mr Pechtold has checked that it was an hour, he will be right. But I had a great deal of questions to ask about a dossier that I was confronted with the previous day and that afternoon. That file had led to the resignation of a minister and a secretary of state had also found reason to leave. I had to make that file mine. We went through all these questions in great detail at the time. About this piece, I asked what was going on. I made two considerations at the time. First of all, it wasn't a new piece that had never been treated anywhere, but it was by Van Brummen involved in his conclusions. Secondly, I was planning to do so even more before the debate, as I said in the debate to suggest that we should get to the bottom of this. Eventually, the Slob motion went one step further and a completely independent investigation was made of it. I went along with that, too. However, I would like to take away from Mr Pechtold the point I was thinking about: now I have to go along with the Slob motion. It had yet to be filed. I had long thought, also for the debate, that it would be necessary to know the seam of this. There was no other way. The motion Slob continued and made a completely independent investigation of it. That's how the debate went down. That's how it went to honor and conscience. With Mr Pechtold, I note that if you look at the piece now with that Ruttian evil eye, the amount of 4.8 or 4.9 stands out. However, there was also another number in it. It turned out to be 7.1. If you read the piece completely, it turned out to be estimates. Bitch said in the play that he didn't know exactly what was going on either. So there's no truth in that. In fact, the day before it turned out to be 4.7. At that time, however, I did not know that, and I have not been able to establish that either. I only saw through my eye hairs 4,8 or 4,9 and no 2,3 or all those notes around it. I say it directly to Mr Pechtold: that is what happened. As true as I stand here. I'm not telling you fables. I knew it would go to Oosting, or at least to an investigation that eventually became Oosting's investigation. I knew it would be involved.
ParlaMint-NL_2015-12-16-tweedekamer-12.u214	If the Prime Minister says that to me, I will have to believe that part. We've been working together for ten years. But I'm also saying, in case he feels relief right now...
ParlaMint-NL_2015-12-16-tweedekamer-12.u215	No, I really don't feel that today.
ParlaMint-NL_2015-12-16-tweedekamer-12.u216	But, I say, of course, it's distinctive. It is formatter Rutte who when he gets crimefighter Bitches to visit him as candidate executive doesn't think: maybe ask again what happened. For a year, from the first broadcast of Newsuur to the second one year later, and a whole week of chaos, the Chamber tries to find truth in your cabinet. You are actually saying quite honestly now: I did not start preparing until that debate was already going on that afternoon, and I never really got involved in the year before. That's actually what that report says. Every time it's hard, you say, "Well, that Van Brummen they have to do that, that Bitch I don't really want to talk to, I have him on the phone, I hear a final number, but no, just say what kind of numbers they were, don't call the numbers.
ParlaMint-NL_2015-12-16-tweedekamer-12.u217	No...
ParlaMint-NL_2015-12-16-tweedekamer-12.u218	No, no, no, no, no, no, no, no, no, no, no, no, no, no, This is indicative of how it was prepared. That note from dg Roes was in Minister Opstelten's preparation folder, probably all year round. He was with Dg Roes. It was in the head of Bitch, who mumbled it a few times, said or whatever. You had it in the BPO, you had it in the Council of Ministers and you had it in your own group, in which two MPs knew it. You could have made it anywhere. But it wasn't until we found out and started asking, that the interest came.
ParlaMint-NL_2015-12-16-tweedekamer-12.u219	Let me try to put some reflections on what Mr Pechtold is saying here. First of all, it's not like I didn't interfere with the case. As I pointed out just now, I had to sit more on the ball than I should have had my eye on the ball, and I have determined what I have done. Of course, I asked Opstelten if he would have that checked out. Yes. That was Van Brummen. When these conclusions were reached, I asked, among other things, Teeven if he could agree with the conclusions of Van Brummen, in that whole phrase of insufficient support and so on. I repeated that question on 4 March, when Nieuwsuur turned out to bring a sum of 4.7 in the evening. By the way, we know afterwards what was in the mind of Teeven: a sum of 7.1, not of 4.7. However, we did not know that, at least I did, until this report was published. I have not seen any of those two figures, namely 4.8 or 4.9, on that evening of 10 March, in the suspension of that debate. So Roes' note was part of Van Brummen's process. That note was seen by Van Brummen and involved in his investigation. That wasn't a piece that had never been processed anywhere that had never been treated anywhere. So I understand the criticism, and part of it I care about. I could have done more when this just kept playing. I could have said: 'Hey, guys, it's a departmental responsibility, of course, I can't be obliged to do truth-finding from General Affairs in detail, but I can make sure that the sharper questions are asked here. I blame myself, but it's not like I didn't do anything. On the day of the debate itself, of course, I had to look into it. I didn't know all the details about Cees H. and Boom and all the stuff. I had to know that before I could have the discussion with the Chamber that night about whether it was allowed and whether it was a good deal. We have all seen these issues come across in that debate.
ParlaMint-NL_2015-12-16-tweedekamer-12.u220	I told you in my term: if a citizen drives 5 km/h too fast, he gets a ticket and if he swindles the IRS, he gets a big fine and maybe even more. A criminal has now received 4.7 million euros. Gulden, I must say. 4.7 million guilders. People in the Netherlands don't understand that. What they understand even less is how it has been done: that this amount is kept under the hat for years, that there is no other way of saying it, that it is being cheated, that there is being denied, that there is being lied, that false press releases are going out. My question to the Prime Minister at the beginning of his term is: do you understand, if you let all that work on you, that the Dutchman loses faith in politics and has also lost faith in you now? Do you understand?
ParlaMint-NL_2015-12-16-tweedekamer-12.u221	It is what the Committee of Inquiry says that I said it at the beginning and otherwise I say it again: I also congratulate the Committee on its work on page 272, which says that it does not escape the judgment that the withdrawal cannot pass the test of criticism and so on, etc. I would like to add my voice to that conclusion.
ParlaMint-NL_2015-12-16-tweedekamer-12.u222	I find it very strange, because I am asking a question and the Prime Minister looks at Mr Klaver when he answers me. He doesn't even want to look at me, but okay, so be it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u223	Excuse me. I looked in my book. I'm looking at you.
ParlaMint-NL_2015-12-16-tweedekamer-12.u224	I specifically asked you: do you understand that people have lost faith in politics and in you because of all the cheating and all the lies? What happened? The Chamber has been misinformed by two VVD ministers. Letters have been sent confidentially to the Chamber in which sensitive passages have been painted black. A fellow party member of yours who isn't your fault.... has thrown it all through the shredder. There are pieces missing in the vault. Conspiracy theories have been used by someone from the cabinet. The statue is very true, and that is also the truth, I fear that all those VVDs have been cheating and chasing. I ask you, just to the man: do you understand that people have lost faith in politics, in the VVD and in you as Prime Minister and political leader of the VVD?
ParlaMint-NL_2015-12-16-tweedekamer-12.u225	Mr Wilders is now making a huge soup, where there are things that make sense and things that don't add up. Let me leave that for Mr Wilders. I'm looking right at him. Excuse me for just now; I looked in my book, not at Mr. Klaver. I'm looking right at him. The fact is that that is also the policy in the Netherlands. In the debate on 10 March we rightly decided to follow the motion of Arie Slob of the Christian Union and to establish an independent committee of inquiry, which produces this report which I think we all welcome. I was just talking to Mr Pechtold about that. The fact is that the Minister for Security and Justice resigned on 9 March. So it's not like things go wrong here without any further consequences. I would then understand Mr Wilders' harsh conclusions.
ParlaMint-NL_2015-12-16-tweedekamer-12.u226	Much more has gone wrong. This has been under the hat for years. There are two rulers sitting next to you, I have just established, who have worked on a press release, who had knowledge of figures that the Chamber did not know, and who actually set things up. They're sitting next to you now! Those are from your party! And that's how hundreds of thousands more things happened. The people in the Netherlands really don't understand that you give a criminal millions while they themselves are caught at the slightest or least offense. What they certainly do not understand is that this is under the hat, that colleagues of yours who have contributed to it are rewarded with a ministership and a secretary of state, and that a Prime Minister, who should have intervened, has not missed a chance to look the other way. So it's 100% responsible. So let me look you in the eye: I understand that people have lost faith in you, and so am I.
ParlaMint-NL_2015-12-16-tweedekamer-12.u227	On that point, I did not have high expectations of our cooperation, but back to the substance of the matter. Mr Wilders mentions a number of elements that are correct and elements that are not correct. I told you, he's making it a little too complicated. That must also lead to consequences. We have drawn them politically together in two ways: firstly, an investigation, secondly, the departure of the Minister for Security and Justice on 10 March and then this debate, in which we have a wide-ranging taste of each other. As I said, this is the hardest debate in my political career. It is not so that things that are not going well are covered here in the Netherlands with the cloak of love. It will then be sorted out and, where necessary, political consequences will also be drawn. And that's the way it should be.
ParlaMint-NL_2015-12-16-tweedekamer-12.u228	Not only has Mr Rutte interfered too little in the matter, but he says that he is taking lessons from this from the discussion report of the Oosting Committee, which also shows that Mr Rutte says that he has intended to stay away from the deal from the outset. So he didn't just interfere actively; he stayed away from it. He didn't dive in any further. He didn't work on it anymore. That's been an active choice. My question is why?
ParlaMint-NL_2015-12-16-tweedekamer-12.u229	That wasn't about the receipt or the amount of the amount, but about the content of the deal. Exactly what agreements were made in "What exactly is the year?" Okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, I stayed away from that, because I felt that it was not up to me to ask me whether the deal could be dealt with by Mr Oosting now says a lot about what that nuances. That is what I said in the debate on 10 March. On 10 March, I established that the prosecutor and the minister had cancelled it. I didn't think it was up to me to look into a deal that the D.A. had made 15 years ago. So when I say that to Oosting in the interview report, it is not about the receipt or the amount of the amount or the political settlement over the next two years. Then that refers directly to the content of the deal in 2000.
