ParlaMint-NL_2015-10-01-tweedekamer-9.u1	I give the floor to the Minister for Security and Justice for his first answer.
ParlaMint-NL_2015-10-01-tweedekamer-9.u160	How could I think, when I saw that picture, that there might be a violation of the media ban? As a citizen and as a Member of Parliament, I thought: this is an accidental photograph. However, that picture was staged by the Minister.
ParlaMint-NL_2015-10-01-tweedekamer-9.u161	Well, it's not like that. Indeed, we have already established that both directors have never ordered the photograph to be taken. I can see why security at that time thought it was a good idea somewhere in the process. I get that. Mr. Chairman. I have a number of questions to answer on a number of issues, but I would like to go to the conclusions first. I found that at the conditional release stage a high administrative steering committee had been set up to direct the leave and preparation for the conditional release of Van der G. All the relevant bodies were represented in that steering group. The then directors were kept informed of the information from the steering committee by means of oral briefings, which were so confidential that no reports were made. Following the conditional release of Volkert van der G. on 2 May 2014, that steering committee was dissolved on 15 May 2014 and no other facility was set up in which the relevant bodies were represented. The investigation shows that the NCTV considered it desirable to publish a photo of Van der G. for security reasons. The NCTV then asked the Security and Security Service to make it possible to take a photo. From the first week of June 2014, the NCTV found such a photo no longer necessary due to a number of developments and the NCTV did not inform the GDP, nor the probation, the Public Prosecutor's Office and the then lawyer of Van der G. The D.A. ruled prior to the conditional release that publication of a photo would not constitute a violation of the media ban. The Public Prosecutor's Office confirmed this several times afterwards to Van der G's then lawyer and the NCTV and the parole board were also informed. At the moment, the probation is conducting an investigation into this entire conditional release, and I will inform the Chamber about that. I expect this will be mid-October. What lessons do I draw for the future? On the first day, I was confronted with the arrival of a new interim secretary-general. We sat together on that Monday, the first official day, to arrive at a strategic agenda for our department. This agenda focuses on a number of questions: what are our future societal challenges and tasks and how can cooperation within and outside the department be aimed at improving content and restoring trust? That was the task I gave to the Secretary-General at the time on the first day of my presidency. I did so because I did not miss the fact that the discussion surrounding the resignation of both predecessors already raised the question of how information is shared and how cooperation is carried out within the department. Over the next few weeks, I have had individual discussions with all the Directors-General and a number of directors: what is not going well, where are our points of improvement, how can we improve our department further? The current Secretary-General has taken charge of that process and has already organised a number of sessions in that framework, all before this took place. I started improving measures immediately after I took office. I also instructed the Oosting Committee to look very widely at this issue, knowing that there will be points from which my department and I will have to learn. I am well aware that my ministry has a crucial and important task in society. I would like to point out here that tens of thousands of people with heart and soul work day in and day out for a safe society. A lot of what these people do is excellent. I have heard many Members of Parliament rightly make critical remarks during the first term, but we must not forget that there is a great deal going on day in, day out. This is without prejudice to the fact that a lot of things have not gone well, as we know from this study and what I expect to hear from the Oosting Committee. It is my job as a minister to ensure that all those officials, all those people under my responsibility, can carry out their work properly within the rules of our democratic rule of law and that they can achieve the results agreed with them.
ParlaMint-NL_2015-10-01-tweedekamer-9.u162	The Minister will have his Secretary-General investigate. I assume, by the way, that the Minister is at the top of that investigation. Does the Minister exclude that this could lead to human consequences?
ParlaMint-NL_2015-10-01-tweedekamer-9.u163	If you're a minister in charge of a department like Security and Justice, you can never rule out the need to draw human consequences if you need to. If that's what it takes, so will I.
ParlaMint-NL_2015-10-01-tweedekamer-9.u164	The Minister is at the top of the Secretary-General's investigation; I can't hear him deny it. If that study showed that it was necessary, would it not be wise for these measures to be taken at a certain pace and not only when the Oosting Committee comes up with its findings?
ParlaMint-NL_2015-10-01-tweedekamer-9.u165	If the investigation showed that it was necessary, I will. There's no point not doing that, stretching or anything. I then, of course, look at the overall performance of an individual and come to conclusions not only on the basis of an incident. I think you should expect a minister not to take incident policy, but to support a well-considered personnel policy within the department.
ParlaMint-NL_2015-10-01-tweedekamer-9.u166	I'm not at all reassured by this. The Minister discusses the lessons to be drawn from this and the conclusions. He's trying to refute the image that nothing has happened in the last six months. On the contrary, the Minister says that immediately after he took office he called for cooperation and information sharing to be promoted. Nevertheless, it has gone terribly wrong. Today we also see that something goes wrong in communication. It is a small but not insignificant example. I'm referring to the outgoing chief of police, who must contradict what the minister said about retirement. I wonder what this means. The Minister says that right after he took office he insisted that the information be shared better, that communication be improved and so on. We see how terrible things are going wrong during Question Time. Today we see another example of it and there are others. What does that say?
ParlaMint-NL_2015-10-01-tweedekamer-9.u167	That says that, of course, it can never be excluded that mistakes are made in an organisation such as a department. Mistakes will continue to be made. I'm not gonna guarantee that a mistake will never be made again. We are talking about an organization where tens of thousands of people work hard day in, day out. They make a mistake every day, every once in a while. It is important that we learn from these mistakes and that we ensure that the mistakes that have been made are no longer made. On this particular example, I would like to say the following. From my first day at the Ministry, I said that we really have to work hard on this, knowing what happened around the East Commission. This committee is, by the way, about a different matter from what we are talking about today, but there is a similar problem. In this way, I will come up with more concrete points that we have been working on. However, I also think it is very important that my sg, which is only working today on day 105, should be given the opportunity to take the measures he considers necessary from his own responsibility. He is directly responsible for the organization.
ParlaMint-NL_2015-10-01-tweedekamer-9.u168	Of course it is, but the Ministry is not a school. It shouldn't be, because it's too important for that. The Minister must be in charge of this ministry. We're gonna have to put that first here. However, I have another question. What's the lesson the minister is taking personally from this? The lessons that the Ministry must draw from this are of course very important, but what is the personal lesson for the Minister? How will he prepare for Question Time from now on? That's what I'm missing in his story. I said, "Was it a bravado?" Did he think I'd get away with it? Was it nonchalance? What's it something else? How is the Minister going to do this differently from now on?
ParlaMint-NL_2015-10-01-tweedekamer-9.u169	I have already said that I fully informed the Chamber at that time. I had a notice from the state's attorney's office. That is what I have literally based my contribution on. This is what I'm blaming myself for. If there are signs coming that I can't tell at the time, I have to wonder if it's signals I don't have to point out, or if it's signals that make the alarm bells ring. I have not done enough, and that is my lesson from this for the future. That lesson is firm, because I have learned it in a compelling way, also today thanks to Mr Van Nispen.
ParlaMint-NL_2015-10-01-tweedekamer-9.u170	The Minister appears to be a slowly well-functioning governor. He cites the highest boss of the ministry who has been in office for 105 days.
ParlaMint-NL_2015-10-01-tweedekamer-9.u171	Mr Dijkgraaf is talking about my sg.
ParlaMint-NL_2015-10-01-tweedekamer-9.u172	Yes. Can the Minister give us an idea of what exactly is going to happen? He doesn't have to go into details, but I might be looking for the heaviness. I believe that we are looking for an answer to the next question. Is there either going to change a doll here and there or come up with a new game rule, or is the broom really going through the ministry? I'm a supporter of the latter.
ParlaMint-NL_2015-10-01-tweedekamer-9.u173	As far as I'm concerned, it's not certain the broom has to go through the Ministry. I also see that the ministry is working incredibly hard and well. A lot of people put their whole souls and salvation into doing very good things. However, I note that there are a number of problems in this dossier. I refer to the extent to which the administration is informed, to the extent to which the administration informs the minister and to the extent to which the political sensitivity of the whole organisation leads the minister to know what he needs to know. Furthermore, we have to look back at what happened in June 2014. Then two columns operated side by side, namely the NCTV and the Public Prosecutor's Office, and on the other hand, as executive, the Guarding and Security Service. Those two columns have not communicated sufficiently with each other. The GDP cannot and usually should not communicate to a large extent, but the other two organisations do. That's where my primary task lies, and that's what the letter says. I have to make sure that these problems are resolved immediately. Furthermore, I have listened very carefully to the Chamber. I have heard that serious questions are asked in the Chamber about trust in my department. So it is up to me to do everything I have to do and what it takes to restore that confidence.
ParlaMint-NL_2015-10-01-tweedekamer-9.u174	That is why I was somewhat disappointed in that letter. At the end there is actually only one sentence. It says: I have given the order that I should be properly informed. I do not read about very specific measures. Is something really gonna change? When I say that the broom has to go through the Ministry, that doesn't mean that I think that all kinds of people need to be wiped away. I also know that there are people there who work very hard and are very motivated. "The broom by the ministry" can also indicate procedures or the question of how you deal with each other. I would like to taste from the Minister that he is going to speed it up and put his strength behind it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u175	That's exactly what it is. I cannot afford not to rush it, because the Chamber is following me and I am following my department. I listened very carefully to the Chamber. I hear the feelings that live in the Chamber, which are fueled by the past and the events around Cees H., which are fueled by the resignation of the predecessors and which are rightly fed by the report that is on the table here. I fully realize that I cannot get to the Chamber with: we have a bit of this and we have a bit of that, and that was it. At the same time, I would not have the certainty that I am not standing here again with the same thing. If the Chamber is trying to live in what it is like for me to stand here, it can imagine that I would have liked to avoid that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u176	It is, of course, nice that the new Secretary-General is doing research into the sore points in the organisation. There is also the investigation of the Oosting Committee. The Minister himself mentioned it for a while. The Chamber knows that the report is ready and that it's in the Ministry's office. My question to the Minister is whether he is prepared to send that report to the Chamber.
ParlaMint-NL_2015-10-01-tweedekamer-9.u177	I missed it for a while. What report does Mr. Oskam mean?
ParlaMint-NL_2015-10-01-tweedekamer-9.u178	The report from the Oosting Committee.
ParlaMint-NL_2015-10-01-tweedekamer-9.u179	The Oosting Committee is about their own report. That is a completely independent committee. I'm not aware that that report would be ready. It's possible. Mr Oosting and his committee are concerned with the publication of their own report.
ParlaMint-NL_2015-10-01-tweedekamer-9.u180	But do you have it?
ParlaMint-NL_2015-10-01-tweedekamer-9.u181	I didn't see it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u182	There is a slight bewilderment here on this side about how it is possible that everything has gone as it has. We have about one and a half men support per MP and the ministry is heavily rigged. This minister says his antenna wasn't adequately tuned. This also applies to his predecessors. We have also had to deal with the difference between Minister Opstelten and Secretary of State Teeven: one says he remembers something and the other says he doesn't. But it also applies, of course, to the political sensitivity of all those officials around it. They need to know that it's about Van der G and that the minister has to go to the Chamber. What is the Minister going to do to further develop this political sensitivity?
ParlaMint-NL_2015-10-01-tweedekamer-9.u183	The only thing you can do about this is to make sure that political sensitivity is brought to our attention once again and that we really talk about how it can be that within organizations such as the State's Attorney's Office and the probation in this question of Brand Point Reporter no alarm bells go off? And that no alarm bells go off when there's a press release submitted to my department? That needs to be discussed, and what we can do about it must result from it. One thing is certain: one can expect in a department that political sensitivity at the top and in the minister and secretary of state is better developed than in the foundation of the department. But this shows once again that without political sensitivity you cannot do your job in a department like ours properly.
ParlaMint-NL_2015-10-01-tweedekamer-9.u184	We have already referred to the poor communication in the case of Cees H. and the Bart van U. Looks like a pattern. The Minister won't be here again in a few months' time in the same situation. That desire is also present on this side. At the same time, the question is how to prevent it. What is the Minister's warning to the people directly around him in order to prevent another debate on such an incident?
ParlaMint-NL_2015-10-01-tweedekamer-9.u185	I can't avoid making mistakes. I say in all honesty: in an organization like my department with so many people, mistakes will always be made. But the question arises: what mistakes? And do you learn from those mistakes? If it is not possible to learn from these mistakes in this report, then I do not accept it. And I don't accept it either. That's the message I'm carrying. I'm going to go back to the conclusions. We all realize within Security and Justice that we are now at the centre of attention, and that there is doubt about the functioning of our department. It is a task for me and my associates to restore confidence and prove that we are able to fulfil our social task. We are always responsible for this. We do this in constructive cooperation with others, both inside and outside the government. I note that errors of assessment have been made in the direction, action of the NCTV and the provision of information to the governing bodies concerned. I have called on my official summit and the Public Prosecutor's Office to improve the provision of information. However, I not only judge this incident, but also look at the background, context and performance of the organisation, both individually and collectively. For the future, I demand more clarity and alertness. As I said to Mr Segers, I do not accept another attitude. In the Van der G case, sensitive information has been limited to the wrong level several times. It is the responsibility of the administration to escalate in good time. Action must therefore be taken immediately, as I said to Mr Segers. I have instructed the Secretary-General to identify ways to better monitor management, coordination and information sharing in sensitive matters. Action is needed in the short term, but we also need to achieve a sustainable change in the way the department operates in the longer term. I do not want to give the impression here that I am taking a number of short-term measures in the hope that this will weaken the debate. I realise that this research, but certainly also the results of the Oosting Committee, will lead to the long-term need for a project to implement behavioural change sustainably. I will address my entire department next Monday to make it clear that we must do everything we can to avoid repeating this kind of fact. The management of my department has a very important role to play in this. That has a great responsibility. If there are thresholds in the exchange of information, we must settle them with man and power, not only within the parts, but also between the parts of my department and the various services. That is also why I held a meeting with the top 120 of my department this month, with this subject being specifically and emphatically discussed. I fully understand the urgency which the Chamber feels to make concrete improvements as soon as possible. I have instructed the Secretary-General to ensure that the NCTV takes steps to avoid any errors of assessment that have been made in this case. I've instructed him to improve communication and cooperation between the NCTV and the Public Prosecutor's Office. I have called on the Public Prosecutor's Office to ensure that official messages should not be produced briefly and with a limited focus. The relevant context should no longer be lacking in such official messages. The D.A. has confirmed to me that it will take those measures. I'll inform the Chamber about these measures. I have promised to inform the Chamber, in connection with the report of the Oosting Committee before 1 February 2016, so that I can take the results of that committee with me. In that context, I will not inform her about the measures I will take, but about the progress made. As of today, I have been working on these measures since Tuesday.
ParlaMint-NL_2015-10-01-tweedekamer-9.u186	The Minister lists a number of improvements. I hope he is not going to do so in the same way as his predecessor, which is to blow a whistle in his mouth and think that everyone is going the other way. I can assure the Minister that at least this is not going to work. I would like to ask the Minister again how he looks at that huge department, which is apparently going to march the other way now, and whether it is not desirable to just let Justice be Justice again and to put Security with the mother department that it once was, namely Home Affairs?
ParlaMint-NL_2015-10-01-tweedekamer-9.u187	That was one of the individual questions I would like to answer because several Members have asked. I can now bring forward the answer to that. First of all, it is not my intention to let the department march the other way with a whistle. I think a lot of people should just keep marching in the direction they do. That direction's good. They do so on the basis of agreements I have made with the Chamber or with local authority in the context of, for example, the security agenda. There is no doubt that they are doing so in the right direction. So there is no need for all kinds of people to do other things. Although so much is going well, we have to note at the same time that things have not gone well on a number of crucial points. It is my job to make sure that I do not let everyone march differently with that whistle, but this aspect. I will therefore take the report of the Oosting Committee with me. I've been in the department's capillaries for six months. For my part, I see how important it is for the National Police to be part of this organization. I know Mrs Berndsen doesn't like to hear the following, but when I look at the cooperation that has arisen now that is really the case since the shift from one department to another, I see only advantages in that. I refer to the cooperation between the National Police, the Public Prosecutor's Office and the judiciary as one and indivisible criminal justice chain, each with its own total responsibility, the discussions that exist and the way they talk about ICT. The ICT systems were of course separate, because there are separate systems in two departments. I know, however, that Mrs Berndsen has a different view of this.
ParlaMint-NL_2015-10-01-tweedekamer-9.u188	The Minister completely ignores the separation of powers. He's narrowed it down a little bit to the ICT systems. Well, they're still not linked to each other, despite the fact that all those parts are within one ministry. Perhaps the Minister could go a little deeper into the separation of powers. This separation is, of course, completely out of the question: there is one minister and it is about everything.
ParlaMint-NL_2015-10-01-tweedekamer-9.u189	I'd almost say... No, let me not say that. I haven't seen any problems with the separation of powers, just in practice. Mrs Berndsen now says at the microphone: I do. It's okay if she's seen any problems, but I'd like to hear that from her. I see that within the judiciary, within the Public Prosecutor's Office and within the National Police, there is no doubt whatsoever about the roles that one has and the independence that one has. I also see, really daily, that they report how much experience and how much better experience they gain with that collaboration, which has become much easier since everything and everyone is part of one and the same department. We are far from being there, Mrs Berndsen does not hear me say, but we are on the right track. It is up to a future cabinet, as Mr Recourt said, to take other decisions on this. I understand that, too. I know how that goes. However, I do not see any problems at all in terms of the separation of powers, absolutely not, because in the Netherlands both the judiciary and the Public Prosecutor and the National Police are very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very. I must honestly say that from the discussions with my colleagues abroad, I am saying that they all think that they should do what we do: to form a national police force and to make sure that the organisations concerned are part of a single department, in which much better cooperation can be achieved. With all due respect, they're jealous.
ParlaMint-NL_2015-10-01-tweedekamer-9.u190	This is a huge challenge on the part of the Minister. Go ahead, Mrs. Berndsen.
ParlaMint-NL_2015-10-01-tweedekamer-9.u191	Let me keep this brief. I get why ministers say that. Of course, because it's really nice to be able to go over three of those organizations. However, from the point of view of law, I do not understand why a liberal minister should get this out of his mouth.
ParlaMint-NL_2015-10-01-tweedekamer-9.u192	You have to be not only liberal but sometimes pragmatic. There are other countries where it is organized as well. It's about the integrity of the organization. Basically, it doesn't matter who's where, if the organizations are honest. They are to an exceptional extent in the Netherlands. I'm incredibly proud of that, too.
ParlaMint-NL_2015-10-01-tweedekamer-9.u193	Mr van Nispen, I think you want to interrupt on this point. I understand that you answered the question with the latter, Minister. Then I give the floor to Mr Van Nispen.
ParlaMint-NL_2015-10-01-tweedekamer-9.u194	I'm just trying something else. Since 2010, security has been part of the Ministry of Justice. There were two VVD executives and from that moment on, that ministry has become a kind of press release ministry, which wants mainly to radiate strength and above all to tackle it. One press release on the same subject is being circulated once more, in order to show that it is a matter of security. Too much attention is lost on the rule of law. I do not see in any way that the Minister is going to change anything about the fact that the image of a ruler is sometimes more important than telling us what is really going on or that he is going to deal with the problems that really matter.
ParlaMint-NL_2015-10-01-tweedekamer-9.u195	Without taking into account the content of this question, I say the following. In one of the many articles that have been written about me in my office as Minister in recent days, the word 'invisible' comes up with some regularity. I am accused that, unlike my predecessor, I am invisible in things. Either one is true, namely what the media write, or the other, namely what Mr Van Nispen says. I don't know. What I do is very simple. I see when my task is to achieve the reorganisation of the National Police, to ensure that the Public Prosecutor's Office will do its work in cooperation with the National Police and the judiciary much better, to enable the judiciary to do its work efficiently and properly, with a good balance between costs and benefits, and to improve the criminal justice chain as quickly as possible, which we all know needs to be done. I note that in recent years, through the way in which my predecessors have led the department, we have focused much more on achieving concrete results than before. As far as this is concerned, I have mentioned this once in another debate, and I have said it to my predecessors: I think you are putting your necks out by concretely agreeing what you want to achieve, because you will eventually be taken care of. I see what we have done with each other: the huge decline in the number of robberies more than the national average; this is important: the huge decline in the number of shoplifters and the decline in the number of burglaries because concrete measures have been taken. I do not think you can endorse in general terms the texts that Mr Van Nispen has just said.
ParlaMint-NL_2015-10-01-tweedekamer-9.u196	It can't be both true. Or the Minister says here: I actually do not think that things have been going so well since 2010, and I am announcing a change of course. Or: things have changed since my arrival and we are going to focus more on the content than on image and press releases. Or the Minister says: from 2010 on, it has gone quite well with the merging of security and justice, and we continue on that basis. It's one of two. I'd like to hear from the Minister what it is and how he's going to change things in concrete terms if he thinks something needs to change. Or are we just gonna go on the old foot?
ParlaMint-NL_2015-10-01-tweedekamer-9.u197	In the very first speech I made here, during Question Time, I said straight away that Lady Justitia does not have the scale for nothing. In my view, that is no different from my predecessors. I see that scale on one side as a symbol of safety. You can and must demand from my ministry that that direction is in order, and will be sorted out as far as it is not yet in order. On the other hand, you have the rule of law. Those two can't exist without each other. In a country where there is no rule of law, you can never be safe. And in a country where there is no security, you can never have a rule of law. That's my line. I can send Mr Van Nispen my speeches. It's the line I've consistently set up. Those two, Lady Justitia with the scales, show me how I see my task: the rule of law on the one hand and security on the other. I can be addressed to both of them, and I strongly invite Mr Van Nispen to do so. And I know Mr. Van Nispen; he will do it. I can only show in individual cases that this is always my balancing framework.
ParlaMint-NL_2015-10-01-tweedekamer-9.u198	This could just look like some kind of academic issue: does security come first and then justice, justice? However, this is a very real contradiction. It's a very real problem, exactly in this case. Because in this case, the situation occurred that the previous Secretary of State suggested to the outside world that he could, for example, stop Van der G's probationary leave, while the preparations were made internally. Internally, it was about reintegration and socialisation, important elements of the rule of law. And outwardly, both the list leader and the Secretary of State and the VVD group gave rise to the suggestion that they would train and stop it. In the end, more people are disappointed than with an attempt to satisfy the sense of security. So exactly in this case, you saw it collided. There was an external reality in which security was paramount, and an internal reality in which the rule of law prevailed.
ParlaMint-NL_2015-10-01-tweedekamer-9.u199	I do not entirely agree with Mr Segers. Turn it around and imagine we wouldn't have made the preparations the moment the judge made the verdict he made. The RSJ stated that the probationary leave and the conditional release had to take place, partly because the probationary leave had run out without any difficulties and difficulties. I think the alternative is impossible. Then you say: we do not agree that he gets probationary leave given the background and the social unrest. We had that debate here in the Chamber; at that time I was still one of the Members. And at the same time, you'd say, "And we're not gonna prepare anything either." I would have found that impossible. On the contrary, I think it is very careful that everyone realized that, if it were to come to parole and conditional release, it would be our legal obligation, under the law, to ensure that this gentleman, despite what he has done and what we think about it, can simply resocialise in a careful, responsible and safe way in a safe environment, with respect for the next of kin and for the victim, there is still one living victim, and without society having to suffer the consequences. So all kinds of conditions have been chosen, such as the media ban and the location ban. To be honest, I think that is very careful. So I do not see the contradiction Mr Segers has outlined.
ParlaMint-NL_2015-10-01-tweedekamer-9.u200	What I find impossible is that an e-mail from the Secretary of State has been sent to the next of kin, saying: I do not want Van der G. to be given probationary leave. And that in an election debate the leader of the VVD said: I will fire the person responsible for granting probationary leave. This has given rise to the suggestion to the general public: we can stop it; we do not like that man for understandable reasons and we are going to train that probationary leave. That suggestion has been awakened and that promise has been made. Then the reality of the rule of law, in which you have rules and agreements, in which the prosecution has a role and in which judges have a role, is another reality. That's what crashed in here, isn't it? Or does the Minister say that this was a fine statement at the time?
ParlaMint-NL_2015-10-01-tweedekamer-9.u201	I will not be tempted in this debate to comment on an issue that took place in 2012 and on which we have had a wide-ranging debate. I note that, on the one hand, there were serious questions and serious discussions about whether the leave of Van der G. would lead to social unrest. This is described in the law as one of the reasons for refusing a probationary leave. I remember the debate we had with the Secretary of State in question. Several parties then stated in the Chamber that it was desirable that he should refer that review to the judge and that he himself said: I do not think it should be done. That's his choice. At the same time, I note that when the trial leave had to be allowed, this also happened loyally and neatly. I note, then, that the department and the executive have said that it is also their responsibility that, if the person concerned is released on parole, this can be done in a careful way, precisely because of respect for the relatives and the victim, in order to prevent social unrest and in the light of the re-socialisation, reintegration and security of the person concerned. To be honest, I don't see any light in that. That's how I'd do it. I think that's the way it should be. You can have an opinion on that, and you can sue for it. Then you have to make sure that you do prepare it, especially in this particular case. If this had been lost, there would have been a good chance that things would have gone wrong and, rightly, we would have had another debate, because then the government simply would not have complied with its duty of care. And she has it in a rule of law. I would also like to respond immediately to Mr Bontes' last question. He asked me to terminate the security of someone like Van der G immediately. The answer to that is no. One of the Members has already said this; I think Mr van Oosten has done so. It's hard to say that, because I fully realize that the security of such a man as Van der G. stems from the murder of Pim Fortuyn. Mr Bontes is right to say that the whole system of surveillance and security is based on that. However, if a person is threatened in such a way that security is necessary, it can take place either on a decentralised or central basis. That's what I stand for. Furthermore, I do not make any announcements about this.
ParlaMint-NL_2015-10-01-tweedekamer-9.u202	The example quoted by Mr Segers was precisely about directors who gave their views in advance. Then it seems as if politics is turning around, as if it is said first that we are doing everything we can and then say that there is nothing we can do about it. Isn't that what's causing extra disappointment? Precisely from rule of law leaders, one would expect them to exercise some restraint at that first stage, in which opportunities are still being investigated.
ParlaMint-NL_2015-10-01-tweedekamer-9.u203	I believe that also rulers have freedom of expression in our country. They can really say what they think of things. In addition, as a ruler, you have the responsibility to do what you are meant to do. That's what happened. I honestly do not see that discrepancy at all, unless I misunderstand Mrs Voortman.
ParlaMint-NL_2015-10-01-tweedekamer-9.u204	The result is that the indignation of many people is then even greater. After all, they think that work is being done to prevent anyone, in this case Van der G., from being released. There is the responsibility you then have as a ruler. I think it would be more appropriate to say at such a time: it is not up to me, I wait first to see what the outcome of the investigation is. I think that would have been the clean route. The minister just gave us a list of results. These were all safety results. However, when I look at the privacy that is constantly under pressure, the cuts in subsidised assistance and the eavesdropping of lawyers by the General Intelligence and Security Service, I think you might as well conclude that the rule of law is indeed suffering from the tough language.
ParlaMint-NL_2015-10-01-tweedekamer-9.u205	I certainly do not share that last conclusion with Mrs Voortman. I would point out that we are improving access to justice with the KEI project and that, in the interests of all the parties concerned, we are working with 22 legislative proposals to structurally modernise the Code of Criminal Procedure. I would also point out our work in the field of privacy, for example in the discussions with the Secretary of State in Brussels and Luxembourg on European legislation on the protection of people's privacy. When I look at all the other subjects that day in, day out at our department both by me and by the Secretary of State, I can only conclude that we are really the Ministry of Justice alongside the Ministry of Security, with the rule of law in mind and daily on our desk.
ParlaMint-NL_2015-10-01-tweedekamer-9.u206	The minister's predecessor, Mr Opstelten, made sure that Mr Volkert van der Graaf, the murderer of Pim Fortuyn, was added to the realm. In other words, he needs security. That would have happened in the national interest. Can the Minister explain exactly what that national interest is that Volkert van der Graaf should have security?
ParlaMint-NL_2015-10-01-tweedekamer-9.u207	I do not know the considerations of my predecessor which led to this decision. I note that the social unrest which preceded Mr Van der G's trial leave will have been the serious cause. I wasn't there; I'm speculating now. Mr Bontes will remember the demonstrations, the fact that a prize was put on Mr Van der G's head to take a picture of him and the people who were very actively looking for Volkert van der G. There must have been serious concerns about his safety. Then there are two possibilities: the decentralised domain, that is the basic rule, or the central domain. My predecessor chose to do it in the central domain.
ParlaMint-NL_2015-10-01-tweedekamer-9.u208	This story is bullshit and I'll explain why that's the case. Volkert van der Graaf has made sure that he has his head in the media; along with the minister's club he has made sure that he has entered the newspaper. The NCTV was about to call off that photo report because there was no more threat. The organization has only failed to pursue this. The mayor of Apeldoorn said at Volkert van der Graaf's conditional release that the last inhabitant of Apeldoorn would become. There is therefore no reason, because there is no threat to Mr Volkert van der Graaf. Then why is he still being protected?
ParlaMint-NL_2015-10-01-tweedekamer-9.u209	I cannot give an answer to this question given my constitutional function and the state secret. I never go into the individual security measures, whether existing or not, for an individual in our society. I can't do that either.
ParlaMint-NL_2015-10-01-tweedekamer-9.u210	Mr Bontes would like to make another comment on this.
ParlaMint-NL_2015-10-01-tweedekamer-9.u211	In this situation, I find this incomprehensible. I believe that the Chamber is entitled to know why Volkert van der Graaf is being protected. He himself chose to be shown with his head in the media, the mayor of Apeldoorn said he lived in Apeldoorn and the NCTV that the photo reportage could be cancelled because it was no longer necessary. Why is this man, who killed Pim Fortuyn, still getting security? That's unbelievable.
ParlaMint-NL_2015-10-01-tweedekamer-9.u212	I can neither confirm nor deny that there is any surveillance of any Dutch person. I won't do this either. I have also been asked whether I believe that the media ban has been violated by the publication of that photo and the entire history, which we know by now. I write in my letter that, on the basis of history, it cannot be maintained that there is a violation of the media ban. Mr Recourt also pointed this out in an interruption. For this reason, I have also considered the position of the Public Prosecutor to be understandable. Then they asked me what I'm gonna do if the probation investigation is available and the D.A. has checked this out. This is actually a repetition of what was exchanged between Mr Van Oosten and me during Question Time. I cannot now answer the question of what I will do, because I do not yet know the results of the investigation. However, I am very aware of the competence given to me by Article 15.i, first paragraph of the Criminal Code, namely the power to ask the Public Prosecutor to bring an action for the withdrawal of the conditional release from justice. I would like to point out that this is not the power of direction which I, as a minister, also have in relation to the Public Prosecutor's Office. This is a right of appeal that the Criminal Code gives me, but under the law I can request the Public Prosecutor to do so if it decides not to make that claim before the court. The question of whether I will do so will be weighed on the basis of the documents I will receive from the Public Prosecutor's Office or the probation.
ParlaMint-NL_2015-10-01-tweedekamer-9.u213	Then today I would like to have the Minister's assurance that the investigation now being carried out by the parole board covers the full breadth of that issue. In other words, the investigation should look not only at a possible violation of the media ban, although I have heard the Minister's views and read what he writes about it in the letter, and at the other general and special provisions linked to the release, but also at the spirit behind it. When you are released early, you should behave as everyone has normally behaved in this country. You cannot afford to commute back and forth between municipalities to boost your assistance.
ParlaMint-NL_2015-10-01-tweedekamer-9.u214	I can confirm this in so far as the legal test and case law require it. Within that framework, I fully understand what Mr Van Oosten is saying. He then asked if I could get all the lawyers in the Ministry of Justice to look at that review, and there are quite a few of them. First of all, the lawyers of the Public Prosecutor's Office will look at the probation report. In addition, I will do so as a minister. I expect to be able to inform the Chamber in two or three weeks, around mid-October. In that context, Mrs Helder asked whether, if Van der G. violates conditions, an action is brought for the enforcement of his sentence. The answer is, of course, yes. If he violates his terms, then I think this should be done, because that is the way the law works. There was a little discussion between Members of Parliament about the change in the law and Mrs Van Toorenburg's amendment, which I also signed, because I thought was a good amendment, which fortunately was also adopted by the Chamber. That offers the opportunity to extend the probationary period. It is true, as Mrs Helder pointed out, that no transitional right has been provided for. However, I would like to ask Mrs Helder and Mr Oskam what the Upper House think about this. If it is adopted and if Mr Van der G's period of conditional release is still running, it may apply to him. Mrs Helder asked who took the initiative to take that photo. That has not become clear, as the letter states. Who decided to do that? Well, it's become clear. That was the NCTV. He's ordered the police officers, in the framework of guarding and securing, to make that possible. They did. We don't know the initiative, but we do know the decision. We also know that neither government representative has made that decision.
ParlaMint-NL_2015-10-01-tweedekamer-9.u215	I had divided my question into two moments of decision, namely the decision to take the photo and the decision to publish it. I said I see that as two decisions.
ParlaMint-NL_2015-10-01-tweedekamer-9.u216	Yes, I wrote it this way in the letter: no decision has been taken by the rulers to take the photo, nor has it been decided by the rulers to publish the photo. In fact, I know the minister involved was surprised that the photo appeared. The study also shows that people were not aware of this, but they were aware of the idea that it might eventually be possible to do so.
ParlaMint-NL_2015-10-01-tweedekamer-9.u217	That was the reason for me to ask who took those decisions in the first place.
