ParlaMint-NL_2015-03-24-eerstekamer-8.u1	I give the floor to the Foreign Minister.
ParlaMint-NL_2015-03-24-eerstekamer-8.u49	Soon the so-called spring talks will be held again between the trade ministers and the Minister of Finance. I'm sure I'll take this suggestion with me. I was just talking about what was agreed at the NATO summit in Wales. I was talking about a result obligation to reverse the trend of falling defense spending. I also talked about an effort to move the budget upwards over the next ten years. That is different from what Mr Kox just said, but that is not interesting. I have made it very clear that the norm can never be an end in itself, but I am committed to it. In Wales, the Readiness Action Plan was discussed and adopted. This plan includes measures to enable allies to respond very quickly, flexibly and effectively to threats at the edges of Europe. In his speech, Mr Van Kappen addressed this in detail. He talked about the NATO Response Force and the Very High Readiness Joint Task Force, or, popularly said, the flash force. This is actually extracted to be ready for deployment within seven days, and some units of it even within 48 hours. This flash power can therefore be used very quickly, but it is also not exactly free of charge. This increased preparedness leads to higher costs. For this, too, the armed forces in the Netherlands must be further strengthened. We are closely involved in the development of this NATO concept. We do this together with Germany and Norway. That is very much appreciated within NATO, because someone will have to form that test bed. This will make it possible to draw conclusions on their precise design and cost allocation. A widely heard term within NATO is: costs lie where they fall, but in this case also really twenty-eight for twenty-eight. It cannot be the case that the entire financial framework falls on the shoulders of only a few Member States. We also have to discuss this with each other, but I admit that I would like to keep the Upper House and the Lower House informed, if we have reached conclusions on the test bed. More generally, NATO attaches great importance to increasing the readiness of the Dutch and allied forces. This includes much more than just that Very High Readiness Joint Task Force. These are measures in a broad area: combat support, logistics, more exercises, more ammunition, and so on. This is not only a subject of discussion within NATO, but certainly also within the European Union. NATO also has to do with so-called shortfalls, the military shortcomings and specific niche capacities to which the Netherlands can make an important contribution or already makes an important contribution. One can think of missile defense submarines, battle helicopters, special forces and so on. These are also matters to which the Netherlands must continue to contribute. For the Alliance and for the European Union, each individual nation is jointly responsible for the overall picture. We can't stand back in this. We will rather be called upon to take a step forward, precisely because we are already dangling at the bottom.
ParlaMint-NL_2015-03-24-eerstekamer-8.u50	Since we use Article 97 for the flash power, we see an opportunity to react fairly quickly, but what about the Germans, I ask the Minister again.
ParlaMint-NL_2015-03-24-eerstekamer-8.u51	You're always ahead of me, because I'm still coming up with the questions, but that doesn't matter at all. We're working on that pilot with the Germans and the Norwegians. This also means that we are looking very closely at the decision-making procedures in the national parliaments. How does collective self-defense look? As with the Norwegians, the Germans do not see so much a problem there. If there is any question of that, under Article 5, it will become much more complicated. This debate is being held not only in the Netherlands, but also in the Bundestag and the Norwegians. We also intend to bring together representatives of the Norwegian, German and Dutch parliaments to discuss this. I know the First Chamber does that very actively. I also know that a number of Members of Parliament are very active in doing so. This ownership, which is an interest in being a reliable partner, applies not only to the Minister of Defence or the Commander of the Armed Forces, but also to the entire cabinet and certainly also to the national parliament, including the Senate. I'm very attached to that. It will also be an important spearhead for me. Although it is in a European context, NATO and Europe will end up together during the Dutch Presidency of the EU, in the first half of 2016. It is precisely the involvement of national parliaments in further European cooperation, the integration of units and the joint acquisition of capacities that will be a key to success in the way in which we set up our armed forces in the future, in cooperation with our neighbouring countries. I have just said enough about the need to strengthen the Dutch armed forces. We have had two decades of austerity. We may be proud of the quality we deliver, but in 2015 we have to note that not only quality matters, but also quantity is in fact a quality, especially when it comes to the need to have sufficient continuity. I shall now move on to the specific questions. Mr Franken spoke about international cooperation. He claimed that I claim that we have a leading role in that. I'll claim that one more time and most certainly confirm it. A number of his colleagues mentioned the current far-reaching cooperation. Think for example of the European Air Transport Command in Eindhoven, where pulling and sharing of aircraft takes place. We have maritime cooperation between Belgium and the Netherlands. We have the integration of the Air Mobile Brigade and the Division Schnelle Kräfte. We just signed the treaty to guard our airspace, including the Quick Reaction Alert and the Renegade tasks. The treaty still has to be ratified, but its benefit is clear. We're gonna need fewer planes and fewer kites to guard our airspace. In doing so, we are again free to deploy people in, for example, the fight against Daesh, ISIS, over Iraq, or in order to reassure our eastern allies. All of them are innovative forms of international defence cooperation. The Netherlands has always taken a leading role in this. I was just talking about the EU presidency of the Netherlands in 2016. This issue will certainly be on the agenda again. We can now say top-down that the 28 EU Member States must take that one step forward at the same time, but that is doomed to failure. I have a warm heart for Europe. I worked at the European Commission. I have been a Member of the European Parliament and I am sure of one thing: you can forget to move 28 Member States in this area at the moment. Defence cooperation is very likely to succeed if we allow this to happen from the bottom up. It may seem like nothing is happening for a very long time, but we can now see that a great deal has happened in the meantime. Very important steps forward have been taken. By the way, that is quite different from the idea that Juncker recently launched a European army. If you listen to his story well, you can hear a lot more nuances, but the headlines are of course of a different order. I'm sorry about that. I also regret that Mr Juncker has put it this way. That is a distraction from what we are doing now. It also distracts from the steps we are taking in the right direction.
ParlaMint-NL_2015-03-24-eerstekamer-8.u52	I understand what the Minister of Defence is saying, but I still have a question, also in view of the forthcoming Dutch Presidency. Mr Van Kappen referred to it and I myself referred to it, namely that the Americans' orientation is increasingly focused on the Asian side. Think of China and everything that's going on there. They will therefore increasingly advocate that Europe should do what is necessary on its continent as far as the defence structure of Europe is concerned. In this context, I have argued in my speech for greater unity of action in the EU, including within NATO. That's what I'd like to hear. I think that's a route. I also believe in blooming a hundred flowers from the bottom, but some control from the top must be kept, otherwise it will run away from all sides.
ParlaMint-NL_2015-03-24-eerstekamer-8.u53	Sure. I very much agree with Mr Van Boxtel. I think that is also clear in the letters I have shared with your Chamber. Blooming a hundred flowers from below can only be done if you also give the necessary top-downguidance. However, that is something other than a total top-down approach. I'm sure that'll put the lock on the place. Just look at the developments in the United Kingdom. That top-downguidance is there, but as far as I'm concerned it's still very non-binding. Everywhere there is talk of European defence cooperation on a voluntary basis. There should really be a little more peer pressure there. That too is an important priority for me during the Dutch Presidency. Mr Van Boxtel is quite right to say that if we want to restore the balance within NATO, the European NATO countries must join forces much more than they do now. This can be achieved by using the frameworks already provided by the EU. Why should we miss that opportunity? The world panels are shifting at a rapid pace. The Americans are absolutely shifting their focus, but will not let Europe fall. That is what you now see with the threat to the east flank and the way in which the Americans have reacted to it, financially but also by taking certain risks. They have made it quite clear that Europe must be much more a convincing security provider than it is now. This means that we need to invest in further integrating joint units and jointly acquiring the capacities I was just talking about. So I think we are completely in line with that. Tomorrow I happen to speak at the Future Force Conference, organized by the Dutch military in the National Military Museum. I will make an extensive plea there for European cooperation, particularly in the interests of NATO. That NATO is 65 years old, but it's not ready to retire. The success is largely also in the hands of the European allies. Mr Franken spoke about fewer F-35s and the increase in the use of the drone. It's en-and. All experts attach increasing importance to the use of the drone, the UAV (unmanned aerial vehicle). There's been quite a misunderstanding about exactly what a drone is. A UAV is a high-quality intelligence gathering capacity and that kind of thing. That is why the Dutch armed forces will also invest in it. We're in the process now. That doesn't mean the drone, the UAV, can just replace the F-35, or the other way around. The military experts expect the F-35 to serve as long as the F-16. They also expect that the use of the drone will definitely increase further, but that cannot yet replace the fighter plane or fighter plane. Mr Franken said to my surprise that we are now putting our jobs too much in the hands of the Americans. If one fighter plane has been good for Dutch employment, it is the F-35. Look also at the figures published by Mr Kamp on this issue. For me this has never been a reason to purchase the F-35. Let's get that straight. I was just looking for the plane that was the best box in military-operational terms and that offered the most protection to our kites. However, if we spend such a sum and can get it back to us in large part by creating jobs in the Netherlands and dragging orders in for the Dutch industry, I will lead the way, together with Mr Kamp. That is happening now, and that is good news. Either way, the drone, the UAV, will be there, but not so much to replace the fighter plane. Mr Franken also asked whether, in the short and long term, we could take sufficient measures to achieve all-encompassing solidarity. I just indicated that NATO has quite a few criticisms of the Netherlands. There's no way around that, and we can't ignore it either. Mr Franken also spoke about sufficient investment in the Navy. If you look at the Defense Investment Plan, you'll see that there's going to be some sort of bump in the coming period related to spending on the F-35. Don't worry, I'll just say right away. There are also important replacement routes for the Royal Navy in the pipeline. Think of the M-frigates, the submarines and also the mine-fighting vessels. The point is that all armies have the right basic capacity. In the case of the Navy, it's obvious. I just mentioned the investments. For the Royal Air Force, it's about the fighter plane. So I don't see any competition between the armies. They are all needed to arrive at a necessary basic toolbox and to allow the Netherlands to participate in allied missions. I have already answered some of Mr Van Kappen's questions. He also asked a question about the VAT Directive. I sometimes get a lot of hats on, including in the House of Representatives; then I have to provide employment and then I have to amend the VAT directive. I do it with love, but I can't do it all by myself. Mr Van Kappen outlined the problem of VAT payments, the difference between them and the almost arbitrary nature of these payments. This is all due to the creation of the European directive and the exceptions that were made at that time. I know that the European Commission is currently reviewing that European VAT Directive. That has been the reason for me to contact Secretary of State Wiebes of Finance to see if we can create a little more order in the forest of exceptions and rules. All this seems to be very complicated, but after hearing the input this afternoon, I immediately made contact with the Ministry of Finance this evening. I do not yet know what the latest state of affairs is, but do you know that we are trying to create a little more order? I think I have been clear about commitment, target or pledge, about the commitment to results and effort and about stable multiannual development. I hope to discuss this with you when the cabinet has reached conclusions in response to the motions I have just mentioned. The EU-Battle Group was also discussed. It's a fact that it's never been deployed. It is also a fact that I, and others with me, have said 'use them or lose them' about it. That was very short of me, because I also realize that what comes around the corner when we practice together is good. It is good for European cooperation, it is good to get used to each other and get to know each other better, and it is good for interoperability. But it annoys me. The problem isn't so much a military one. It is mainly about the political will to use the EU-Battle Group. There are quite a few nice steps in it. Over the last year and a half there has been a lot of intensive discussion, including by the Netherlands and Sweden. They have said over and over again: we need a more simple decision-making procedure for the commitment. It is also important to include the national parliaments. Otherwise, we will have this discussion; then it has been decided to commit and a government can resign because the national parliament has not felt sufficiently heard throughout the process. This process is the direction that is now being taken. I suspect that during the first half of 2016, during the Dutch Presidency, it is still a subject of discussion. We discussed it in detail again three weeks ago in Riga and again found that it is the political will that is lacking in particular when it comes to the stakes. Technical improvement measures have been discussed. There have also been decision-making exercises, the so-called political excercises. I think this is very good, because you look into each other's eyes on the basis of different scenarios and, although fictional, make decisions. It is my plan to involve the national parliaments in such a political excercise in the first half of 2016.
ParlaMint-NL_2015-03-24-eerstekamer-8.u54	I really agree with the Minister on this point, but perhaps even more so, because I understand the language you need to involve the national parliaments, but this is always about the discussion on sovereignty. Are you the boss in your own house or are you also prepared to give something of a mandate to Europe when there is urgency to act quickly? I'd just like to hear it in those words. I say this because I have heard our Prime Minister scream boldly in a not so far-off period: sovereignty remains for ourselves and Europe is only useful if we benefit from it, but we continue to be masters in our own house. This is just about the security discussions where you should be willing to step up.
ParlaMint-NL_2015-03-24-eerstekamer-8.u55	I agree again, but that is very good news in itself. I think that the discussion of sovereignty in this is becoming a bit of a false discussion. Of course, it hasn't been about defending a piece of land for a long time. These are major cross-border interests, which apply to every resident of the Netherlands. In addition, the question is how to protect and defend the major cross-border interests, such as trade lines, energy, supply of raw materials, cyber........................................................................................................................................................................................ You do that by working together. This also means further cooperation at European level.
ParlaMint-NL_2015-03-24-eerstekamer-8.u56	In Riga, among other things, the Dutch delegation put forward a proposal to increase the employability of the EU-Battle Groups. That's part of the conference report. I don't know if the minister read it, but maybe she'll have time to take a look at it; it's only two or three sides. There are a number of proposals that I think they can help.
ParlaMint-NL_2015-03-24-eerstekamer-8.u57	I don't have it on my retina, but I'm going to ask the A4's and I'm sure I'll read it very soon. I think that a majority of the people of D66, the VVD and other political groups here clearly indicate that further cooperation is not so much the undermining of our sovereignty as it is in the interests of our sovereignty. That's a big difference. I just told you, if you're gonna work together, you're gonna have to be a reliable partner. You can't withdraw units at the last minute. Let me give you one example. I remember very well that the French decided on Operation Serval in Mali. We were then asked to carry out an ammunition flight for the French with a KDC-10 via the European Air Transport Command in Eindhoven. There was a lot of discussion about that in the Chamber. I said, "I don't care because we're just gonna do it." We have committed ourselves to the European Air Transport Command, so we are also playing pool and share. Later it turned out that we didn't have to land in Mali at all but near there. But these are things that we need to be aware of and we need to talk each other through, so that we don't put each other through unpleasant surprises. When it comes to further cooperation, we cannot afford to hesitate at the last minute, withdraw things and therefore be unreliable. Even when it comes to efficiency, to which Mr Schrijver asked, further European cooperation can at some point lead to a certain profit in terms of cost reduction and so on. We have made great strides in this far-reaching European cooperation, but I have learned one thing in the last two years, namely that it is very often cost-effective. The efficiency impact will only be achieved in the long term. That can never be an excuse not to strengthen the armed forces sufficiently or to call for new cuts on the armed forces. In the end, this cooperation is particularly likely to succeed if you can deliver the right quality and quantity. In the House of Representatives I said: car-pooling is really not possible if you have sold your car yourself. We must therefore continue to invest in an orderly armed force with sufficient quality. Only then will we be interesting for Germany, for example, to work closely with us. An important lesson for me was therefore that the cost is very often for the benefit. I would like to comment briefly on the defence equipment and procurement policy. I think I've just made that clear. We are genuinely committed to strengthening European capacity through the harmonisation of the different defence policies in Europe, but also through joint capacity planning. At the moment, for example, we have the lead in a fairly leading project, namely the joint acquisition with the Poles and Norwegians of new tanker aircraft, the so-called MRTT. With this very innovative project, we contribute to the collective impact on an important military shortfall, a shortcoming. This is a very important step in further shaping the common capacity policy. Of course, we have the joint Code of Conduct on Pooling & Sharing, but there is too much no obligation to do so. In addition, we now have the so-called policy framework for jointly shaping capacity strengthening and we indicate what steps are needed for this. For a long time, defence was not the subject of discussion for our Heads of State or Government. It was in December 2013. This summer, in June 2015, they will discuss the progress made since 2013. I'm a little optimistic, but not about all the clusters where progress is expected. However, it is on the agenda. The good news is that someone like Tusk has also indicated that he wants to keep it on the agenda. I foresee that we will take steps in the coming years. Another answer to Mr Kox on the identification of targets in Iraq. It's a very strict targeting process. Let me be very clear about that. It is not that somewhere vaguely a target has been identified. That's getting very carefully in Qatar where everyone sits together in one command based on intelligence and very clear information. Sometimes I don't know how many hours of video footage is watched to eventually reach such a target. You really need to think about command posts, warehouses and supply lines. Of course, with increasing the air attacks by the coalition, ISIS has started to look for other tactics, not entirely. ISIS has gone into hiding, hiding, or has gone on, if one wishes, into the civilian population. This does not mean that the civilian population is being bombed or that the cannon is being deployed as such. In this respect, a very careful process has taken place to identify a target, but still the kite has the final consideration. If he thinks there's a real chance of civilian casualties, that there's any doubt about the identified target, if he thinks there's a chance of collateral damage, he'll eventually decide not to bomb. That's what's gonna happen. It's not something I'm sucking out of right now. There is a very careful process.
ParlaMint-NL_2015-03-24-eerstekamer-8.u58	I have no doubt that the military do not handle this very carefully. Of course, but at the same time the Minister also knows that more than just ISIS people find death. We don't make an official body count, but in America they keep a pretty good record. It's not about a single person who's been killed by now. It concerns large numbers of people, civilian casualties who have fallen as collateral damage of what is happening. I understand that this is happening, because it is also the tactics of, for example, the Islamic State, but every bomb that falls on a Sunni household creates new people who have enmity towards the West, towards the Shiites. I've seen it too many times in wars. The people being attacked don't have much time for nuance. That is why I think that it should be made more clear that the bombings are effective, but I would venture to doubt that. I do not think that I am the only one, and there are quite a few people in America and Iraq who think that this should be monitored closely. One can continue to bomb, but where does that lead? If it leads to new breeding grounds for new terrorists, I do not think it will help us in any way.
ParlaMint-NL_2015-03-24-eerstekamer-8.u59	We can never completely rule out collateral damage or civilian casualties, but I speak for the Dutch F-16s when I say that the targeting process is very carefully contracted, that a very careful selection of targets is made, that after that it is also carefully considered whether there was collateral damage, whether there might have been civilian casualties and how the process is contracted internally. If there is a report following a Dutch bombing, it will not be put aside. Then it'll be fully investigated. That's what happens when we speak. In my view, there are now two cases where we are looking at whether or not civilian casualties have occurred. I do not know about the large numbers of civilian casualties that Mr Kox is referring to, but I am quite clear about this when I see a lot of information. I do agree with him that any attack on a family that has nothing to do with ISIS, so to speak, consumes lunch with each other and at that time becomes a victim, of course, leads to a counter-reaction. This may ultimately undermine the support for the coalition for a stable Iraq. That's something that's always being watched. That is why the Foreign Minister also indicated that military intervention should always be part of a political strategy. Mr Kox dares to doubt that. I would venture to doubt that again, because I am quite sure that the air strikes have struck the advance of ISIS to some extent. In a sense, the appeal of ISIS is being broken, not completely, but in any case more and more. Much of the attraction was in the military successes that were achieved. Well, that's going to be a hell of a deal now, isn't it? Is it a six-month case of bombing and then done? Certainly not, I think the Foreign Minister was very clear about that. It's a very long shot. There are no quick fixes, but we must continue to look carefully at what we are talking about, what risks there are and how, for example, we can tackle them further in the context of the humanitarian and political tracks.
ParlaMint-NL_2015-03-24-eerstekamer-8.u60	Thank you. That is why we need the second term from the Chamber. I call Mr Franken.
ParlaMint-NL_2015-03-24-eerstekamer-8.u61	Mr. Chairman. Thank you to both ministers for their comprehensive and motivated answers. I would also like to thank my fellow Members for the pleasant debate we have had. There was a great degree of unanimity, but yet we all managed to add a single point or sharpen something that one had said. That made it even more beautiful, because someone else is even better at it, whether they know more about it, or have more experience. That is why I have at least experienced the debate as a pleasant debate. I hope that colleagues, but above all the two rulers, have the same experience. I'm gonna run a few points fast. There has been talk of internal and external security. I started this afternoon, but perhaps it sounded a little unfriendly, noting that we were missing two ministers behind the table, namely the Minister of V and J and the Minister for Foreign Affairs, and actually also the Minister of EZ, because energy security is also a very important issue. Mr Van Kappen took that up and spoke in that context of a fine institution, a national security council, led by the Prime Minister. It turns out that we are so well served, because before the question was spoken, such an organ is already at work. It's a coordinating body. I think it is right that Parliament should be informed if this is the case. If we all put a question to it, we are not here to ask for the road that is known, it should be given some publicity. In any case, it is extremely pleasurable that it is there. The Minister for Foreign Affairs has begun his speech with a contradiction between realism and idealism. When one speaks of realism in politics, it is usually called realpolitik. Apparently that's a good Dutch word. It's usually a descriptive thing, in the sense of: that's the way it is. Idealism is then normative. One often sees a difference between the two: one is quite different from the other. It may be a bit of a philosophical reflection, but a little later in the evening I would like to point out that there is no real difference. That idealism also indicates what you accept from reality and what you have to change. Well, that's what you know how to make differences between them. That brings you to activity. An important activity that is discussed here is hybrid warfare. We have all talked about this. There are a lot of aspects to that. It is not just a situation, such as in Eastern Ukraine, where resistance groups and rebels enter. There is no war between governments, between states, between established institutions. Article 5 of the NATO Treaty is, after all, a fairly quick confrontation. I have asked a question to which I have not yet heard an answer. It seems that ISIS is also active in Turkey. If that is the case, it is a form of hybrid warfare that we could be directly involved in. That is a very concrete point. I would like the Minister to take that up. The cyber war is also a form of hybrid warfare, because it can be started by one figure, who may even sit behind a computer with a bottle of cola and a bag of chips all night long, because he may be shutting down the air traffic control system of Schiphol or frustrating an essential supply in the Netherlands. I believe that Mr Van Boxtel has used the term 'under the radar of Article 5'. That can be the case in all kinds of ways. I would appreciate it if that were discussed at that big conference on April 16 and 17. Perhaps the Minister could give us some impetus to this. If I have read the invitation correctly, a number of 100 foreign ministers will appear there. If they are all there, it is of course a very dangerous thing, because it is difficult to secure, event. They won't all be there in person, but what matters to me is this. With regard to those hybrid elements, you should be able to make procedural arrangements. How far can we stretch Article 5? You must have thought about that further. During the summit in Wales, more or less "out of the blue" was said how cyber war could be caught underneath. It is not motivated, it has just been said in a brief statement that I was actually allowed to read in English with the President's permission. I thought: then I stay closest to the reality as described there. I would like to hear from the Minister how we are to deal with this now, because there is a lot to be done in this area too. I'm gonna jump over to the TTIP. That's what we've been talking about. Of course, everyone likes it when these two big markets of Europe and the United States of America have a kind of free trade area. This is going to bring us all a lot, but the dilemma of protecting the freedom of government's policies and protecting investment on the one hand, at some point, calls for compensation to be fixed if expectations which have been raised are not met. They talk about arbitration tribunals, but I get a little chilly when I think about it in the context of what our American friends want. They are used to a claim culture in which huge amounts deal with. How do we do that? How are we supposed to put together these arbitration colleges? Do we have to work with claims restrictions? Should we work with very international dispute resolution bodies? The ICC would be an opportunity, although I don't think it's very much to be preferred. I would like to have a single thought from the Minister on that.
ParlaMint-NL_2015-03-24-eerstekamer-8.u62	I see you have a lot of paper left, but do you mind the time?
ParlaMint-NL_2015-03-24-eerstekamer-8.u63	Yeah, I'll be right through it. I'll continue in staccato. I am pleased that both ministers have said that defence cooperation in Europe and division of labour and concentration are in the interests of our sovereignty. The Minister of Defence made that clear, but it was also to be found in the Foreign Minister's office. We have already learned from the contract philosophers and even from Rousseau that if you give a little bit of freedom or sovereignty to a community, you get a lot in return. I think we can take that lesson to heart. I'm gonna jump over to the OSCE. Did I hear the Minister say that he will give generous support to the necessary extensions of the special monitoring mission? It's gonna cost more money. From the summer 40-plus is celebrated. I hardly dare to put it that way, but perhaps this is a good time to realize the legal personality of the OSCE. Mr Schrijver has gone into this in more detail. Finally, I come to Guantanamo Bay. Human rights violations are recognised, but they go on and on. I think there's 125 more inmates out there. The Netherlands is considering placing two prisoners. I wonder how long this debate has been going on and how long it will last. Finally, in my first term, I have left a lot of time, President-in-Office, I come back to the cybersecurity and the drones I have just mentioned. The Minister gave a clear explanation of the UAVs. I referred to the Chief of Naval Operations, Admiral Greenert, who updated the F-35 program because he says that stealth technology is falling behind sensor technology. Could the Minister send us a letter to explain exactly what is happening and what is happening in the development of sensor technology? That stealth technology is always limited. No matter how cool you make an engine, the device can always be discovered. I wish the Ministers every success in their work under these difficult conditions, together with allies within and outside Europe.
ParlaMint-NL_2015-03-24-eerstekamer-8.u64	You have now used the time you have taken in the first term; that is clear.
ParlaMint-NL_2015-03-24-eerstekamer-8.u65	Chairman. On behalf of my group, I would like to thank the Minister for Defence and the Minister for Foreign Affairs for the detailed answer, which has taught us many new things. With my colleague, Franken, I also found it extremely pleasant to have a debate, including amongst ourselves. We have hit on many 'drum of war', but we have certainly made the 'bells of peace' sound. In this sense, we have been able to find a very good and optimal division of labour here in the First Chamber. I would like to make four points very briefly. The first is the following. To my best knowledge, the Minister for Foreign Affairs has not answered my series of questions on how to distinguish between all these non-state groups, however different. It was a lot of questions, so if he says "I have to chew on them, I do so in a letter," I can find a very sensible solution. My second point concerns Syria. I think we're past naivety with the Minister. But we are all a bit there on the 'Boulevard of Broken Dreams', because the situation in Syria defies any notion of justice and solidarity, now that it has been hell and damnation for so long for many citizens there. I am pleased that the Minister has said that the principle of Responsibility to Protect is fully applicable, even if there is no agreement at international level. This should also provide guidelines for a very active commitment in the field of "prevent, react and rebuild." I call Geneva I, the Mistura the envoy, reducing ISIS and sanctions. They are all tools and lines of hope to control the conflict, but I believe that we still need to develop an integrated vision of it much more actively. to see how a UN peacekeeping operation, a very robust blue helmet operation with support from China, Russia, Turkey, Iran, Arab League and the West could and should be targeted. My third point concerns the Middle East peace process. Here too, we remain between a deep fear and sometimes a bit of hope. It could be that the arrival of a new Netanyahu government in the last year of Obama and Kerry offers a momentum to pull the MOVP loose. In any case, the Dutch Government must make a very active commitment to peace diplomacy at European level. It is a pity that nothing came of the Quartet, of which the European Union was a member. Europe's role in the Quartet is shrivelled. We have a little hope that Mrs Mogherini will be able to emboss it again. We must very clearly distance ourselves from the continuing expansion of illegal settlements and the strong growth of the number of settlers, just as we naturally distance ourselves from the use of violence by both parties, including Hamas against Israel. I agree with several colleagues that the opportunity of declaring the delayed recognition of Palestine should be approached. In the view of the Labour Party, the recognition of the Palestinian State can certainly be a positive contribution to the peace process. My final point concerns the position and role of the OSCE. I welcome the recognition by the Minister of the key role of the OSCE in Eastern Ukraine and, in general, the revitalization of the organisation. He gave a somewhat optimistic estimate of the possible effectiveness of the OSCE mission in that area. He even literally said that he thinks and hopes that it will be better left in the hands of the OSCE than supplemented by the UN. I share that hope, but I do not know whether that will turn out to be the reality. That is all speculation I do think that the participating States cannot send the members of the missions with such unprotected status into the field. It is irresponsible to send an OSCE mission out with an important and extremely risky task without giving it the protection that other international organisations naturally provide. That's asking for accidents. If this happens in the coming period, I hope, of course, that this is not the case, then we shall come straight back to that discussion. In the framework of the Responsibility to Protect and the prevention arm, I have prepared a motion together with a number of colleagues. I have the pleasure of handing this motion over to the chairman. Chairman. On behalf of my group, I would like to thank the Minister for Defence and the Minister for Foreign Affairs for the detailed answer, which has taught us many new things. With my colleague, Franken, I also found it extremely pleasant to have a debate, including amongst ourselves. We have hit on many 'drum of war', but we have certainly made the 'bells of peace' sound. In this sense, we have been able to find a very good and optimal division of labour here in the First Chamber. I would like to make four points very briefly. The first is the following. To my best knowledge, the Minister for Foreign Affairs has not answered my series of questions on how to distinguish between all these non-state groups, however different. It was a lot of questions, so if he says "I have to chew on them, I do so in a letter," I can find a very sensible solution. My second point concerns Syria. I think we're past naivety with the Minister. But we are all a bit there on the 'Boulevard of Broken Dreams', because the situation in Syria defies any notion of justice and solidarity, now that it has been hell and damnation for so long for many citizens there. I am pleased that the Minister has said that the principle of Responsibility to Protect is fully applicable, even if there is no agreement at international level. This should also provide guidelines for a very active commitment in the field of "prevent, react and rebuild." I call Geneva I, the Mistura as the envoy, reducing ISIS and sanctions. They are all tools and lines of hope to control the conflict, but I believe that we still need to develop an integrated vision of it much more actively. It is useful to see how a UN peacekeeping operation, a very robust blue helmet operation with support from China, Russia, Turkey, Iran, Arab League and the West could and should be targeted. My third point concerns the Middle East peace process. Here too, we remain between a deep fear and sometimes a bit of hope. It could be that the arrival of a new Netanyahu government in the last year of Obama and Kerry offers a momentum to pull the MOVP loose. In any case, the Dutch Government must make a very active commitment to peace diplomacy at European level. It is a pity that nothing came of the Quartet, of which the European Union was a member. Europe's role in the Quartet is shrivelled. We have a little hope that Mrs Mogherini will be able to emboss it again. We must very clearly distance ourselves from the continuing expansion of illegal settlements and the strong growth of the number of settlers, just as we naturally distance ourselves from the use of violence by both parties, including Hamas against Israel. I agree with several colleagues that the opportunity of declaring the delayed recognition of Palestine should be approached. In the view of the Labour Party, the recognition of the Palestinian State can certainly be a positive contribution to the peace process. My final point concerns the position and role of the OSCE. I welcome the recognition by the Minister of the key role of the OSCE in Eastern Ukraine and, in general, the revitalization of the organisation. He gave a somewhat optimistic estimate of the possible effectiveness of the OSCE mission in that area. He even literally said that he thinks and hopes that it will be better left in the hands of the OSCE than supplemented by the UN. I share that hope, but I do not know whether that will turn out to be the reality. That's all speculation on my part. However, I do believe that the participating States cannot send the members of the missions with such unprotected status into the field. It is irresponsible to send an OSCE mission out with an important and extremely risky task without giving it the protection that other international organisations naturally provide. That's asking for accidents. If this happens in the coming period, I hope, of course, that this is not the case, then we will all come straight back to that discussion. In the framework of the Responsibility to Protect and the prevention arm, I have prepared a motion together with a number of colleagues. I have the pleasure of handing this motion over to the chairman. The President shall: Mr Schrijver, Mr Van Boxtel, Mr Van Kappen, Mr Franken, Mr Ganzevoort and Mr Kox proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas 40 years after the Helsinki Final Act, the principles contained therein are still of great value for security and peace, economic cooperation and human rights throughout Europe;]] [[noting that, unlike most international organisations, the OSCE has not been granted its own international legal personality, whereas its institutional structure and working methods do not really differ from international organisations with their own legal personality;]] [[also noted that the OSCE is increasingly being called upon to observe elections and for observers and peace missions to conflict areas;]] [[Recalling the fundamental importance of the success of the Special Monitoring Mission in Eastern Ukraine, which monitors the implementation and compliance with the Minsk II Agreement of 12 February last;]] [[Whereas the absence of a formal status of the OSCE constitutes a serious restriction on the effectiveness and legal status of that organisation, including as regards formal cooperation with States and other international organisations, as well as the protection of the members of its missions and its officials;]] [[calls on the Government, bearing in mind Article 90 of the Constitution, to take short-term initiatives to recognise the international legal personality, privileges and immunities of the OSCE, and to explore the basis for the treaty-based approach to the objectives, tasks and structure of the OSCE;]] [[Invites the Government to notify the Chamber by 1 December 2015 at the latest,]] [[and goes to the order of the day.]] [[She's getting No. kst-33694-C]]
