ParlaMint-NL_2015-10-08-tweedekamer-7.u1	I would like to welcome the Minister. He will now respond in the first term.
ParlaMint-NL_2015-10-08-tweedekamer-7.u104	This was the block "Venezuela." On the Caribbean Netherlands, I have discussed most of the issues in the recent review. I might be right to get to the debate by speaker under pressure from you. If I skip subjects, maybe you can pull my vest afterwards. Shall we do it like this? I see a nod in agreement. Mr. Chairman. Mr Bosman asked about the roads: does the cabinet consider whether the investments made by I and M come to the right place? He added that there is no need to build four-lane roads. I agree that as much as possible should be done locally. I have brought this signal to the attention of Mr Schultz once again. I believe that this is clearly in the eyes of I and M. Mr Bosman asked whether we know whether the loans for Curaçao and Saint Martin are being used for the right purpose. It is the task of the CFT to look at the exhaustion of the money loans and the progress of investments in the quarterly reporting and financial statements. For example, the Cft can properly monitor what expenses are incurred with the loans and thus check whether they are used for what they are intended to be. That's part of the Cft. The Cft may be listening, but I will remind you once again that we attach great importance to the fact that this is happening properly. Mrs Van Toorenburg asked about the state of play at the school community in Bonaire. The first responsibility lies, of course, with the Secretary of State, but we are certainly talking about this in a coordinating sense. A partly new board has taken office. The advisory committee consists of Mrs Kete Kervezee, who is well known to us, and Mr Glenn Thodé. The committee visited the school community quite soon after the new board took office and had talks with the new board members and the board as a whole. The Committee also advised the Minister and the Secretary of State of OCW on whether the board is fit for this important and complex task. A number of follow-up steps have been taken: to put an end to the conflicts of interest between a number of board members, to fill out the vacant seat on the board, to improve the participation of the board in the Learning Programme. The Secretary of State for OCW will keep the Chamber informed of the progress made in this regard. Mr Van Laar asked for an inventory of the unjustified and unnecessary differences between the Caribbean part of the country Netherlands and the rest of the Netherlands. He was right to make all the connection with the evaluation. It can, of course, be discussed in this context. We'll see him soon. I would add that I think it is the responsibility of both the island authorities and the departments to keep a constant finger on the pulse to find out whether there is an unjustified difference. The typical moment of the year to put this kind of thing on the table in its entirety is the CN-week. In preparation for that week, I will bring this to the attention once again so that everyone makes a good inventory. I don't know how long that list is. I come to an example mentioned by Mr Van Laar. Maybe there's more. If they are unjustified, we must of course work on them. I'll admit I'll take stock of it. Then the ferry connection. A previous debate called for this, and I shall begin by addressing the Downwinds, between Curaçao, Aruba and Bonaire. A feasibility study was agreed at the Kingdom Conference. The Fondo Desaroyo Aruba has been asked to do the governance for this study and to outsource the assignment to the private entrepreneur ICASUS. So they're not gonna fly, they're gonna sail. They have undertaken to do so. The funds are available for this purpose: $120,000. Curaçao and Bonaire are in agreement with the assignment and waiting for the agreement of the Government of Aruba. I mentioned that at the last meeting with the Prime Minister of Aruba. He was not aware of the fact that there would be no agreement and would work on it. After the feasibility study, the islands will have to decide for themselves whether the project will become a "go" or a "no go." In the Upper Winds the situation is more complex, especially because there are many fewer people living there and so there is much less demand for boats. Of course, that makes it pranger, because you're stuck on a smaller island. I understand that, but most people take the plane. To be honest, transport by sea in the Upper Winds is an unpleasant experience. The wave blows make a lot of people sick very quickly. It has been tried, but there was not enough support for it at the time. I would like to ask the island authorities whether they are interested in the fact that we are still paying attention to this and putting the emphasis on it. Let's see what the result of that is. If they are indeed interested in this, we could support the investigation as to whether it is possible to set something in motion there. Mr Van Laar has asked how it is possible that maternity leave in the Netherlands is 16 weeks, while in Bonaire it only lasts 12 weeks. He asked if women there have a different pregnancy than here. That's a very logical question. I didn't realize there was a difference. I have informed about it and as far as I can reconstruct it, it was twelve weeks instead of sixteen in the Netherlands Antilles. It has now moved on Curaçao to sixteen weeks. I also briefed my colleague in Social Affairs, because it is typically part of Mr Asscher's portfolio, and he did not immediately seem to reject the idea of doing something about it. Strictly speaking, it is up to him to respond to that suggestion. I have taken note of Mr Van Laar's views on Saint-Eustatius. We have also talked very extensively about St.Maarten. I began my reply with Mr Fritsma's fundamental views on a different constellation in the Kingdom. I would like to say to Mrs Hachchi that we have already discussed most of the issues in detail, including the assistance provided to Aruba, for example, in the fields of finance and taxation. With Dutch advice, people are now recruited to map all this. In support of customs, this requires coordination. For financial management, training courses will be provided this autumn by the National Academy of Finance, Economics and Business Management. In short, we are active on that point. There is no boycott of Saint Eustatius. However, we have said that the administration must first be put on track, including normal administrative relations. I also informed the Chamber in writing. I would not like to prevent people from doing so now by visiting all kinds of Dutch hotmen. This must not harm the people of Statia. So all business interactions continue for the benefit of the people there. I also hope that the crisis will be resolved as soon as possible. I wrote the Chamber about double taxation. We discussed this extensively, including from Saba and Statia. We do not need to explain the matter completely, but the small islands feel that they are paying tax again in the shop on something that has already been bought in the trade in St.Maarten. That is not the case in most cases. Here and there there is still the misunderstanding that it can be prevented. I have therefore brought this to the attention of the island authorities and hope that they bring this to the attention of their entrepreneurs once again. There won't be that many. If that is not enough, I would like to say that I will raise this with them on another occasion. Mrs Hachchi asked when there would be a cabinet position on free benefits. I want to link this with the response to the evaluation offered on Monday, because that seems to be a typical place to look at that kind of system properties. The same applies to the issue of combating poverty, which is one of the priorities. I see you nodding, Mr. Chairman, so I'm moving even faster. This also applies to the subsidy for renewable and clean energy: it is available. I shall be brief now, Mr President, because I see you looking so closely... Mr Segers asked about child benefit. The intended date of introduction is 2016, but this has yet to be done by both Chambers. One does what one can. We are therefore trying to introduce it before January 2016. I hope that everyone will cooperate. Let me give the short version of the answer to the question on children's rights. The final use of the amendment money will be with the Chamber before the end of this year. I'm just gonna leave all the other things we've done for what they are. Now to the state of play regarding the BES electoral college. The novelle has been rapidly accepted by the Council of Ministers and has been before the Council of State for its opinion since 18 September. Mr Segers also had a question about trafficking in human beings. There have been many activities in this area. In June of this year, four countries signed a new Memorandum of Understanding, covering topics that are in line with the Trafficking in Person's Report from the United States, such as training, identification, the referral of victims and the provision of information to vulnerable groups. Mr Bishop asked if the Aruba budget was in order. Mr Van Laar also said something about that in the event of interruption. We have the supervision in place now, but of course that does not solve the problem. As one says in English: 'you do not fatten a pig by weighing it'. So measuring alone is not enough; in the end the budget must also be adjusted. We're not quite there yet, so I share the concerns about this. Anyway, the responsibility to see to that is now up to the CAft. Mr. Bishop further asked about a master plan for law enforcement. With regard to integrity, with the integrity chamber, we have now made the first move for Saint Martin. Members of the Court of Justice are first discussing a plan and the responsibilities in the judicial quadruple dialogue, which I am present with you. I would like to point out that financial space must therefore be found. I too do not have this in my budget, but the willingness of the four countries to deal with it in this way is now paramount. I think I've had all the specific questions now, but maybe I skipped one.
ParlaMint-NL_2015-10-08-tweedekamer-7.u105	One question remained: the call from the islands to place Kingdom relations with Foreign Affairs, that is to say, with Minister Koenders. What does that say about their relationship with Minister Plasterk and his ministry?
ParlaMint-NL_2015-10-08-tweedekamer-7.u106	First of all, it says, fortunately, that we have been well treated by the Foreign Ministers on the subject with which we have dealt. Speaking of family relationships, this reminded me a bit of how children always prefer to be accompanied by their grandmother rather than their mother. Anyway, let me put it this way: the Board of Kingdom Relations sometimes has the ungrateful task of raising annoying subjects as well. I am fully convinced of the expertise in that board. There would be if this board went to another department. That's my answer to this. I'm glad the interaction with the State Department is going well where it needs to be.
ParlaMint-NL_2015-10-08-tweedekamer-7.u107	Maybe I was distracted at the wrong time, but I don't think the minister said anything about the houses on Bonaire.
ParlaMint-NL_2015-10-08-tweedekamer-7.u108	That's right. Let me begin by saying that I share Mr Van Laar's sense of urgency. It is a piece of the Netherlands, but the homes are not in the state they should be in. I have said before that much has happened in the last five years in the field of education and care. As far as infrastructure is concerned, as far as I am concerned, there is clearly still a delay in housing there as well. I also discussed this with the minister responsible, my neighbour in the department, Mr Stef Blok. He's got this in mind, too. I imagine we're taking stock of the state of the housing. That is actually what Mr Van Laar has asked for. Let us see what this inventory entails and what action needs to be taken to ensure that it meets the standards that we believe should apply to the Netherlands. I say this on behalf of Mr Blok.
ParlaMint-NL_2015-10-08-tweedekamer-7.u109	That last point is something I want to abstract. We have addressed the question of how to translate the Millennium Development Goals into decade targets. The Minister spoke about children's rights, care and education. They could be part of that. Will the Minister consider whether good agreements can be reached jointly on decade targets?
ParlaMint-NL_2015-10-08-tweedekamer-7.u110	I apologize for not answering that question. I thought he was kind of inspiring. That also gives me a chance to name those targets again. Honestly, I don't think we should come up with a new one. We have agreed three: economic development, poverty reduction and children's rights. If we can hold on to these goals in this decade and actually get on with it, I think that would be good for the Kingdom. The targets are also linked. You can never fight poverty if the economy doesn't attract. Children's rights are strictly not automatically linked to poverty, but it does matter whether the father and the mother are too absent because they have to find income. So this trio is my suggestion for the decade goals for the Kingdom of the Netherlands.
ParlaMint-NL_2015-10-08-tweedekamer-7.u111	This brings the Minister to the end of his first term. We'll continue with the second term. I give the floor to Mr Van Raak. I would ask Members to be as cautious as possible in interrupting each other.
ParlaMint-NL_2015-10-08-tweedekamer-7.u112	Mr. Chairman. I am tabling this motion on behalf of Mrs Hachchi. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Isla refinery in Curaçao is highly polluting, with harmful effects on human health and the environment;]] [[whereas this problem has been going on for decades and Curaçao cannot solve it alone;]] [[Whereas, in the context of the Kingdom, the Netherlands is jointly responsible for good governance in Curaçao;]] [[calls on the Government, in the Kingdom context, to ensure that, in the short term, Curaçao allows the Isla refinery to meet all the requirements in terms of human health and the environment,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to have all the expensive yachts on St.Maarten seized preventively and not returned until it is clear that they were not paid with false money,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Raak and Hachchi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-8]] [[This motion has been proposed by the member Van Raak. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-9]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u113	Mr. Chairman. We have talked about the future of the Kingdom and we have looked back at the last 200 years, in which much has happened. The VVD, together with the SP, looked at that future. We notice that many more parties, including across the street, are working on that future. It is important that we continue to talk about the options for the future. That places the responsibility for that future with the people themselves. The more you think about the options and the more you make conscious choices for your own future, the more responsible you become for your own future. That is why it is important that we do not put an end to this, but a comma behind it. We need to keep doing this and start talking every time. Every time we talk, we have to ask ourselves how we see our future, especially when it comes to our common future. I'm here on financial supervision. The Minister knows me as a constantly sharp questioner. As far as I'm concerned, there's not a lot of room. There is no grey area in the National Financial Supervision Act. There is a clear framework that finances must meet. I have no problem with questions being asked outside the framework, but these questions must then be addressed here in the Chamber. That space is not used by the Cft. As soon as the CFT uses the space and an opinion is given, the reasoning is always that the opinion is followed. I'm against that. It is one of two: either the advice is always followed, but the frameworks must be followed, or the advice gives room, but I want to talk about it. The dispute settlement the Minister is now proposing has my support. I think it is wise for us to look at options to see what steps can be taken. Better to take a small step than to wait with a big step. I think it would be wise to examine the possibilities with colleagues. I'll go into the briefing. A letter was sent by three Prime Ministers from the Kingdom. One piece of that letter is a reproach from Aruba to the Netherlands: the financial disorder on the island was caused by the clue. I would just like to make it clear that this can never be the case. That financial disorder had been there for a while. I think that Aruba, with the steps that are being taken now and certainly with the clue, is becoming more and more on the right track, although there is still a long way to go. Even now, there is still a great deal of concern. Finally, I come to Venezuela. I know that steps are being taken, but I do not think we have an understanding of the scale of the problem. We don't know how these people got here. They're small boats that cross 20, 30 kilometers and then there are. People are walking along the side of the road. They're being seen. Anyone who isn't in the car, but walks, isn't Aruba's. People will notice that, too. The concerns are great, also at the VVD. I'm glad the Cabinet is picking up this point, but I don't know if the sense of urgency is big enough.
ParlaMint-NL_2015-10-08-tweedekamer-7.u114	Mr. Chairman. I think the Minister has addressed good points. As the colleague of the VVD said, the refugee problem has already been identified by both the United Nations and the Red Cross. The Minister says that it is not really on the agenda yet, but we have received these messages from the other side, so I wonder if he is right about that. We are pleased that the Minister wishes to continue to look constructively at the reduction of interest rates. That is very important, partly to send a signal. The States of Aruba are seriously considering how to take that responsibility. However, this is accompanied by intimidation and violence; there are coffins outside. That's very nasty. Then I think, "Just show me that the right path is the way to do it." We have co-signed a motion on the settlement of disputes. We will continue to follow constructively the cabinet's ten-year objectives, the three objectives which the Minister has rightly addressed.
ParlaMint-NL_2015-10-08-tweedekamer-7.u115	Mr. Chairman. I thank the Minister for all the commitments. That's okay. We can work on that together. I would like to stress that there are two types of differences between islands: social rights and practical issues. A marriage on Bonaire is not just valid in the Netherlands. We have to do something about this. Moving to Bonaire is the same as moving abroad. That should be fixed anyway. It is therefore a question of both practical and administrative matters and of social rights. I'd like to file a few motions. The first is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[believes that parents in the Caribbean Netherlands have as much right to leave as parents in the European Netherlands;]] [[Calls on the Government to consider, in the short term, whether the equivalence of maternity and paternity leave can be arranged by 1 January 2017 at the latest, so that this is 16 weeks in both the European and Caribbean Netherlands;]] [[calls on the Government to send a letter to the Chamber on this subject prior to the budgetary treatment of Social Affairs and Employment,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Laar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-10]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u116	We welcome the Minister's positive attitude towards the residences on Bonaire, Saba and Saint Eustatius. I'm gonna file a motion that goes a little further. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a significant proportion of the houses on Bonaire, Saba and Saint-Eustatius are still in insufficient condition and that the improvement plans for them do not come off the ground;]] [[calls on the Government to draw up within six months an inventory of the state of all residences on these islands;]] [[calls on the Government to draw up an action plan to ensure that all people living on the islands live in a liveable home and, if necessary, provide additional resources for it,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Laar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-11]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u117	Apologies, Mr. Chairman. I have one more motion on the dispute settlement. Then we'll just borrow a minute from the next budget debate. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the establishment of a dispute settlement system for the Netherlands and other countries of the Kingdom is crucial for fair and constitutionally pure relations within the Kingdom;]] [[calls on the Government to take the three principles set out in the latest Interparliamentary Kingdom Consultation on Dispute Settlement as a basis for the forthcoming talks between the countries of the Kingdom and to draw up a blueprint for dispute settlement this year,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Laar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-12]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u118	I have tried, together with Mrs Hachchi, to summarize in a motion what Mr Van Laar said about the Isla refinery. He wanted the government to ensure, in the Kingdom context, that Curaçao ensures, in the short term, that the Isla refinery meets all the required requirements. Is it true that we've sort of summarized that well? So can we also count on the support of the Labour Party?
ParlaMint-NL_2015-10-08-tweedekamer-7.u119	I spent a lot of time on this in the first term, but I didn't have time for it in the second. The Minister has promised what I wanted, namely to explore what the Curaçao government is doing now. He'll be here soon with a letter. Maybe I can ask the Minister from this place if he can come forward with that letter by the end of the year. Then we can just hold a debate on that and really look at it. To take that step now might go too far. We also prepared a motion. I think we should give the Minister some time to do that extra reconnaissance. It won't hang on those two months!
ParlaMint-NL_2015-10-08-tweedekamer-7.u120	This is the problem. For ten years or more people in Curaçao have been poisoned under the smoke of the Isla refinery. There's talk, talk and watch all the time. Yesterday Mr Van Laar said: we must do something. I have tried with Mrs Hachchi to sum it up as best I can. And then Mr Van Laar says, "No, I won't do it." Are we gonna do something now or aren't we gonna do something? Are we going to continue to talk or are we going to take responsibility in the framework of the Kingdom? What the people of Curaçao have no use at all is for a Labour Party that says it wants to do something, but then it doesn't do it again.
ParlaMint-NL_2015-10-08-tweedekamer-7.u121	If you want to lose allies, you have to approach each other like this. We're talking about two months. Mr Van Raak is also not shaking a clue from his sleeve next week. He's not gonna get his act together. That's a careful process. I'm sure it's gonna take some time. We want preparations to be made for a lead. It'll take a while. The minister said he's gonna explore this, that he's gonna figure it out. I hope he's gonna say he's coming up with that letter by the end of the year. And then we're going to have a debate on that. As far as we are concerned, we are indeed going towards a clue like Curaçao itself not intervening. That lead can be given next year, but not next week.
ParlaMint-NL_2015-10-08-tweedekamer-7.u122	I really need to back up my colleague Van Raak. Mr Van Laar used a strong language in the first term. We have had this debate on the Isla refinery more often, but each time there is no majority to take steps. We therefore welcomed the PvdA Group's first term. But now it turns out that the PvdA is satisfied with exploring. I think we exchanged the necessary words about the Isla refinery. I find it really disappointing if this motion, which focuses on what we all agreed in the first term, cannot get the support of the PvdA. Perhaps Mr Van Laar will be able to think about this or at least comment on it.
ParlaMint-NL_2015-10-08-tweedekamer-7.u123	I think it would be bad for us to give Curaçao a clue next week to do this. We now have the Minister's promise. He's coming with a letter. It's decent in this house to wait for that, especially if it happens soon enough. Mrs. Hachchi should be the last to argue for a rushed lead. That seems to me to be the wrong argument.
ParlaMint-NL_2015-10-08-tweedekamer-7.u124	We've had a lot of letters about the Isla in the past year. So Mr Van Laar cannot keep the argument of waiting for a letter dry. There's plenty of letters on this file. The motion doesn't mention a clue either. In the motion, the government is asked to ensure, in the Kingdom context, that Curaçao meets these standards in the short term. That's more than just a clue. The latter would be the style of this coalition of the VVD and the Party of Labour. This motion has been carefully formulated and I conclude that the PvdA is doing a lot of talking in the first term and yesterday, but today it is doing the same thing again today as last year.
ParlaMint-NL_2015-10-08-tweedekamer-7.u125	It is a pity that Mrs Hachchi sees it that way. Mrs Hachchi now wants to put this motion to the vote, without knowing what the correspondence between the Curaçao government and the Isla refinery is and without knowing, for example, what has already been written on it. I didn't see that correspondence, and neither did Mrs. Hachchi. If she did see the correspondence, I'd like to receive her, too. However, this correspondence is not known and before we know whether the Curaçao government is not acting on its own, we really cannot adopt such a motion.
ParlaMint-NL_2015-10-08-tweedekamer-7.u126	Mr. Chairman. I thank the Minister for the answers he has given. I shall begin by tabling the next motion, the content of which speaks for itself. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure that the inhabitants of the Netherlands are free to decide independently whether they wish to maintain links with the former Antilles,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Fritsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-13]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u127	This is, of course, about the logical principle of getting our country's fate and future into its own hands. One more bump has to be taken to do this, and that is why, like last year, I have tabled the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that under Article 73 of the Charter of the United Nations as an ex-coloniser, the Netherlands cannot unilaterally take the decision to break ties with the former Netherlands Antilles, whereas these former colonies themselves have the right to break ties with the Netherlands if they so wish;]] [[Whereas, as a result, the Netherlands is dependent on the wishes of the inhabitants of the former Netherlands Antilles and also has a duty of care for these islands in various areas;]] [[calls on the Government to ensure that the Netherlands is no longer bound by the UN provision which states that our country must not unilaterally break ties with the former Netherlands Antilles,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Fritsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-14]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u128	If the latter is not arranged, the Dutchman will remain trapped in an unhealthy, forced marriage. It is well known that the PVV wants to get rid of the islands, but plans from other parties can only be realised if we are no longer bound by the UN provision. I can leave it at that.
ParlaMint-NL_2015-10-08-tweedekamer-7.u129	Mr. Chairman. It was Prime Minister Rutte who made the following statement towards the islands: you only have to call and we will arrange for you to disappear from the Kingdom. Those were not just words, because since Prime Minister Rutte's work visit in the summer of 2013, we have also noticed this in relations and relations. This minister has distanced himself from those words. However, I also hope that we will see that in the attitude. There's nothing wrong with being hard on the content, but keep the relationships decent. For the sake of time, I shall now proceed to read out a motion. Of course, I'll file the motion on the Isla first. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Isla refinery in Curaçao is highly polluting, with harmful effects on human health and the environment;]] [[whereas this problem has been going on for decades and Curaçao cannot solve it alone;]] [[Whereas the Netherlands has been directly involved in the development of this problem in relation to Shell;]] [[calls on the Government, pro-actively with Curaçao, to develop scenarios on the basis of which a decision can be taken in the foreseeable future to resolve the problem of the Isla refinery sustainably,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Hachchi and Mr Van Raak. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-15]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u130	My second motion concerns the evaluation of 10-10-10. The Minister had not yet been able to make it clear whether he could send it to the Chamber in April. Once again, that is important because the Chamber will be able to deal with it before the summer. If the Minister just agreed to this, I might be able to withdraw the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government intends to take one year to adopt a position on the 10-10-10 evaluation report;]] [[whereas this puts the debate very far forward;]] [[calls on the Government to adopt a position by April 2016 so that the Chamber can deal with it before the summer,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Hachchi and Mr Segers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-16]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u131	I now put to the vote a motion on renewable energy. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Caribbean Netherlands is rich in sun, wind and water and therefore there is a great deal of perspective for developing renewable energy on the islands;]] [[Whereas different schemes exist in the European Netherlands for the promotion of renewable energy and the promotion of energy saving;]] [[calls on the Government to give Caribbean Netherlands access to the national schemes for renewable energy and energy saving, and to provide information on these schemes to the Caribbean Netherlands,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Hachchi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-17]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u132	My last motion is about poverty. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas poverty in the Caribbean Netherlands is a major problem and much remains to be done;]] [[Whereas the poverty reduction funds of the Ministry of Social Affairs form part of an integral budget for socio-economic development in the Caribbean Netherlands, and that integrated projects are financed from there;]] [[calls on the Government to evaluate these integrated projects and, on that basis, to consider whether the budget should be increased,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Hachchi and Mr Segers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-18]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u133	I have a question about the final motion. We have received information on the fight against poverty: three pages of project titles alone. In addition, we have been given the children's rights plans and the multi-annual plans. There's a lot going on. Is Mrs Hachchi now asking to re-evaluate all this, while new plans have just been made? Or is this a specific request to evaluate only the integrated neighbourhood approach?
ParlaMint-NL_2015-10-08-tweedekamer-7.u134	This concerns integrated projects in the field of poverty. You're right. In 2014, a letter was sent by the Secretary of State for Social Affairs and Employment, listing by island what is going on in this area and what is covered by the term poverty. Those integral projects, I mean. I know that measures have been taken in the areas of benefits and the statutory minimum wage. However, this is separate from the integrated projects. It is those projects that I would like to see evaluated. That is why I ask the Minister, along with his colleague, to consider whether the budget in this area should be raised.
ParlaMint-NL_2015-10-08-tweedekamer-7.u135	My other question concerns the motion tabled by Mrs Hachchi together with Mr Van Raak. It calls on the Government to ensure, in the Kingdom context, that Curaçao meets all the requirements of the Isla refinery in terms of human health and the environment in the short term. What possibilities does the Kingdom have for this? Mrs Hachchi has just said that this cannot be done in the form of a clue. So that's my question. The second question is: what are the requirements? Do you see different instruments per requirement, or is the same tools available for all requirements?
ParlaMint-NL_2015-10-08-tweedekamer-7.u136	The motion doesn't indicate that it would have to be immediately per clue. It is rather the style of Mr Van Laar and his colleague from the VVD to quickly turn to clues. That is not the intention of Mr Van Raak and me with this motion. As stated in the guarantee function, in many areas it is the intention to work together to tackle problems. In the case of the Isla refinery, it seems clear to me that the problem has now become a problem of the Kingdom and that it is time for the Netherlands to stop looking at Curaçao and say: ask us if you want advice or help. The Netherlands must stand alongside Curaçao to solve this problem together. I can't make it any brighter than that.
ParlaMint-NL_2015-10-08-tweedekamer-7.u137	Mr. Chairman. I thank the Minister for the answers he has given and have two motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to Article 38 of the Staff Regulations,]] [[noting that such mutual arrangement has not been established so far;]] [[having regard to the fact that a dispute settlement has been discussed many times, but has not been settled so far;]] [[Considers that the absence of such a settlement has led to complex and protracted political conflicts which are putting the Kingdom's cooperation under strain;]] [[calls on the Government to make maximum efforts to establish a dispute settlement in consultation with Aruba, St Maarten and Curaçao, with the guiding principles agreed during the IPKO (May 2015) and to submit any guidance to the Council of State until that time,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that enforcement in the Caribbean part of the Kingdom will be strengthened next year;]] [[Considering that the "Trafficking in Persons Report" of the US Department of Foreign Affairs shows that trafficking in human beings and forced prostitution are still a major problem on Aruba, Curaçao and Sint-Maarten;]] [[calls on the government, the fight against trafficking in human beings and forced prostitution to be one of the priorities in strengthening law enforcement and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Segers, Mr Hachchi, Mr Van Toorenburg and Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-19]] [[This motion was tabled by Mr Segers and Mr Van Laar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-IV-20]]
ParlaMint-NL_2015-10-08-tweedekamer-7.u138	The problem is terrible, we saw it on Saint Martin. We have also adopted a motion in this Chamber asking for a large-scale investigation into the links between the underworld and the upper world, the illegal gammafia and politics. A lot of money has been made available for this and a lot of human power. I wouldn't be okay if those resources were spread out on a lot of subjects. I would like to interpret this motion in such a way that research is being carried out into the flows of money from the underworld, and then we look at what is attached to it. There are no doubt politicians attached to this, no doubt entrepreneurs attached to it, and there are no doubt also criminals involved in trafficking in women or in arms trafficking. I would like to interpret this motion in such a way that we are not going to divide that available money into small jars and small projects, because that would damage the investigation. I would like a large-scale investigation to be carried out which will undoubtedly also involve trafficking in women.
ParlaMint-NL_2015-10-08-tweedekamer-7.u139	I'm a little less interested in research at this stage. Last year we asked for an investigation. At that time, the Minister began to talk to the countries about whether they understood the usefulness and the necessity of this. The countries said they did not necessarily find it necessary, while the countries in the TIP report are for the umpteenth time designated as having problems with trafficking in human beings and forced prostitution. We are now saying that we are investing extra in the criminal justice chain. There is no doubt that trafficking in human beings is also emerging. Crime is linked to human trafficking. Trafficking in human beings is an important part of that. We underline one request: make sure that this has the full attention, so that next time these countries do not appear as a care child in the TIP report, but as countries that do what is necessary to combat trafficking in human beings properly.
ParlaMint-NL_2015-10-08-tweedekamer-7.u140	Then we'll figure it out, because then we'll totally agree. So let us be clear that the money and resources that are now being invested are intended for one large-scale research, with which we hope to catch a lot of great criminals, including undoubtedly human traffickers. The resources should not be shattered and distributed over all kinds of small projects that will lead to nothing.
ParlaMint-NL_2015-10-08-tweedekamer-7.u141	I didn't argue for cutting up the attention and the money. This is part of the very big problem. The motion states that, now that the problem is so great and the finger is put on the sore spot time and time again, we must not overlook it. We must devote all our energy to this. So not cutting up, but an integral approach. It does deserve special attention.
ParlaMint-NL_2015-10-08-tweedekamer-7.u142	Mr. Chairman. I have three points. First of all, I would like to thank the Minister very much for the proper answer to the questions raised. I want to put a line under two concerns that have stuck with me. This is primarily the threat of asylum or the refugee problem in the Caribbean. I'm talking about refugees from Venezuela and Colombia. There is a need for more alertness and a less waiting attitude. Secondly, I am somewhat in agreement with the interrupting debate that has just been held on the delta plan for legal certainty. I very much appreciate the Minister's extremely pure state-of-the-art position in these relations, but it also takes trickery like snakes to actually tackle the problem. If we wait for the agreement and approval of these countries, I am afraid that for five years each year we express these concerns in the same way. I would like to encourage the Minister to take strong steps here with wisdom and also with guile.
ParlaMint-NL_2015-10-08-tweedekamer-7.u143	This brings us to the end of the second term of office. I understand the Minister can answer directly. The floor is up to him.
