ParlaMint-NL_2015-09-29-eerstekamer-8.u1	I have already welcomed the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2015-09-29-eerstekamer-8.u80	Of course, there are many other examples, but all the examples mentioned by the Minister are not about a situation in which the relationship of trust that is at issue here is a par excellence. In other words, is the mixing of complaints and claims, which in the telecommunications or energy sectors may not lead to substantial problems, especially in the care sector of a different nature? If you want to keep it low-threshold and if you want to avoid legalization and a claim culture, shouldn't you be reluctant in this sector?
ParlaMint-NL_2015-09-29-eerstekamer-8.u81	Look at the experience so far with the dispute committees. I have written down the settlements and rulings of the Disputes Committees. We're actually talking about a few things. A body such as a complaints committee makes a digital statement: the complaint is justified or not justified. When you have human contact and talk to clients who are unhappy or angry, you often see that they are not so much looking for money. They often want that leg to function again. Then you look at each other and see how you can get that leg to function again. The care lends itself much more to one journey than a cold person who sells phone calls and with whom you have no other relationship. I would argue the other way around.
ParlaMint-NL_2015-09-29-eerstekamer-8.u82	I am not convinced by the comparison with other sectors, because there is something really different going on there. You need a separate reasoning why it will not lead to a strengthening of the claim culture here. The fact that there are not very many disputes of this kind at the moment does not say very much about what this law can achieve, contrary to the Minister's intention. I think we agree on that point. The question is whether this does not encourage a route which we consider undesirable and which is really of a different order in other sectors.
ParlaMint-NL_2015-09-29-eerstekamer-8.u83	Look where it already works, for example at the private clinics. You can already allocate up to €25,000 there. We already have one handling for both of them. You can't say that there is a remarkable amount of right-wing claims there. At the other dispute committees we go up to €5,000, but we are already in one procedure. What I am saying here is supported by the experience there. People come in angry, they're disappointed, they might have had too high expectations, they can, because it doesn't always have to be the fault of the healthcare provider, but when the conversation is finally about the solution, you see more often that a claim becomes a complaint than the other way around. So you can see that in practice. I have just given examples of private clinics, but you can also see it in other dispute committees that can allocate money.
ParlaMint-NL_2015-09-29-eerstekamer-8.u84	The Minister says that there are very few cases now before the Disputes Commission. That's true, but isn't it just because there's a complaints committee in between now? Those complaints committees also often do mediation. We share the plea to begin with conciliation, but the intermediate stage in which the problem is still between complaint and claim remains worrying. The Minister is rather optimistic about that.
ParlaMint-NL_2015-09-29-eerstekamer-8.u85	I have 14 investigations here that have been carried out since 1999. The latest study is from 2014. In these fourteen investigations, the complaints committee comes out negative of the evaluation. An important point from the evaluation of the complaints committees is that the committee's ruling is often digital: you have rightly or unjustly complained. That is why we are being turned against each other. With this law, we aim to simply allow a complaint officer to enter into the conversation and to seek a solution from the outset. So it's immediately focused on de-escalation instead of proving your own right opposite each other. I think that the way we are going now is much better in line with what we have learned from all these studies and where the crux is. There is often a very different experience about the functioning of a complaints committee between the professional and the client. The professional often assesses the functioning much more favourably than the client. I think, on the contrary, that the way in which it is done and which is aimed at dejuriation is not going to stand against each other, but together seeking a solution is much more in the direction pursued by Mrs Martens. We are not trying to achieve legalisation in health care.
ParlaMint-NL_2015-09-29-eerstekamer-8.u86	We share that wish and goals. However, if the complaints committees are assessed negatively, we are interested in the question of why. Is that because the current law restricts the functioning of the complaints committees, or are they simply not working properly? In the latter case, you do not need a new arrangement, but you need to improve the functioning. The same applies to the complaint officer. The mediation role proposed by the law for the complaint officer is fine. Where there are complaints officers, they often play this role. A lot of complaints about the complaints officer come in at the Dutch National Contact Point Zorg. Defining the function in a legislative proposal alone does not yet mean that the function meets the desired objective.
ParlaMint-NL_2015-09-29-eerstekamer-8.u87	The Dutch Health Information Point doesn't have a lot of complaints about the complaints officer. In fact, the inspection insists on this law. The inspection is not negative about this law, but insists on setting up the complaint officer, as she expects it to be much better. The inspection also sees how it works in practice. Mrs Martens, for example, pointed out that the complaint officer was working well in the first line. NIVEL came up with a report in 2013 that doesn't come out very well at all. The study shows that more than a quarter of the people who are dissatisfied and who are complaining have left his GP. So that's not a good follow-up. That's escalation. This law assumes that the current law sets people against each other before the Complaints Commission. After everything that has been investigated and what has been advised to us, no one can maintain that it is now working so well. What works well in practice? That's the complaint officer. There are good experiences of this, including in the general practitioners' groups and regions. In the south of the Netherlands it works very well. If you put that against this evaluation, you can conclude that we are on the right track with "humanizing" rather than "processing" complaints from dissatisfied people. So you go to a human being of flesh and blood instead of submitting a form to a complaint committee.
ParlaMint-NL_2015-09-29-eerstekamer-8.u88	I'll jigsaw a little bit with the next one. Complaints and claims can be linked. You can make them run the same route. However, at the moment when there is fear of a claim, the professional will start to behave differently. He has to start acting differently from his civil liability insurance. At the moment when such a claim is put on the table by the patient or client, the mediation process is influenced by a complaint officer in my opinion. How does the Minister see that? Well, that does play a role.
ParlaMint-NL_2015-09-29-eerstekamer-8.u89	In practice, you see that one comes in with a claim and leaves the door with a complaint that you solve together. Compare it with the functioning of the Disputes Board that works at private clinics. This committee was set up in 2008. In 2009 she made her first ruling. Two statements were made in 2011. Two settlements were reached in 2012 and four rulings were made. In 2013, there were three settlements and two judgments and four settlements and four judgments in 2014. We have about 300 private clinics. Then you can't say that there are defensive and claim culture-like issues at stake here, can you? We are also going to support this by someone of flesh and blood who is focused on de-escalation, not in the service of the patient or the provider, but purely based on his competences to find a solution. If you look at the experiences that have been gained, we move to less than more. Although I have to say quite frankly that I am going to promise later that we will monitor it and that we will make it come back every year. After all, there are concerns in the Chamber, so we will monitor it and reconnect it. For me, it is not the case that more claims are always wrong. Sometimes there can be a very legitimate claim. Then I would very much like to see what's behind such a claim and whether there's something worrying going on. We see how it goes in other sectors, we see how it goes in the healthcare sector, we put the staff member next to it, and we are going to monitor developments every year. In this way, we are launching a very careful journey together.
ParlaMint-NL_2015-09-29-eerstekamer-8.u90	I have a second question, which concerns the complaint officer, or rather, a person who can provide assistance. Now you have an impartial officer who can play an intermediary role. In practice, you sometimes see a conscious party official, in the form of a client confidant. Especially in the ggz you often see such a role fulfilled. The Minister only talks about an independent complaint officer, but how does she see the role of a client or patient confidant, who also has to do with a client's complaint and tries to find a way out of it?
ParlaMint-NL_2015-09-29-eerstekamer-8.u91	The complaint officer shall be appointed in consultation with the healthcare provider and, for example, the Customer Council. If there isn't, you'll join the client organization. They need to agree on such a staff member. The provider may say that a client confidant stands up for the client and that no independent official is needed. This role can then be placed with the client confidant. That is possible, but the healthcare provider must take the step himself.
ParlaMint-NL_2015-09-29-eerstekamer-8.u92	I'll translate it. If the healthcare provider chooses to give this role to a client confidant, a party complaint officer, we can, but we expect him to engage in a dialogue about his position with his own client and within his own organisation.
ParlaMint-NL_2015-09-29-eerstekamer-8.u93	Yes, and the inspection will monitor the procedure and the quality of the staff member.
ParlaMint-NL_2015-09-29-eerstekamer-8.u94	I suggest that the Minister continue her speech.
ParlaMint-NL_2015-09-29-eerstekamer-8.u95	Another point is the high control pressure. That's always something you need to be alert to in the care, because we better have less than more rules. The additional costs for the 90,000 providers added together amount to around €9 million per year. That's calculated by both Actal and Sira. The additional costs per healthcare provider are limited to around €100 per year. If the healthcare providers organise their complaint handling smarter and cheaper, as the Wkkgz also allows, the costs will be at most €20 to €30 per healthcare provider per year. I believe that these costs per healthcare provider, given the objectives of the law, are acceptable. A lot of questions have come up about the safe reporting of incidents. Is it Safe Incident Report (VIM) safe if you follow the Wkkgz? Until now, the safe reporting of incidents is not legally protected. The Wkkgz is gonna take care of that protection. Which regulates that only the D.A. has access to the data from the Secure Incident Notification System. This creates an additional guarantee for healthcare professionals so that they can report matters safely. At the same time, the Public Prosecutor does not have access to that information. This is only the case in very exceptional cases, namely in cases of suspicion of a serious criminal offence. Think murder or manslaughter. Moreover, the information on this should not be available in any other way from the Public Prosecutor's Office. The Public Prosecutor's Office must go through a careful procedure. Getting permission from the Judge Commissioner is a prerequisite for this. This has made it safe to report much safer. The law also protects the health care provider's position. The law provides that the staff directly involved in the procedures for the safe reporting of an incident and in the complaint and dispute procedures may not provide information from those procedures to others: a duty of confidentiality. The D.A. can only access data from the Secure Incident Notification System in case of serious suspicions of serious criminal offences, such as murder and manslaughter, after a careful procedure and with the permission of the Judge Commissioner. The dispute settlement body applies and is obliged to disclose judgments in such a way that they cannot be traced back to those directly concerned. It is also pleasant for a healthcare provider and a healthcare provider if complaints can be resolved quickly through a good conversation. This improves trust in the relationship. An independent complaint officer can be an important support for this. This law is a framework law, which allows for further elaboration. For example, healthcare providers have greater freedom to resolve complaints to everyone's satisfaction and can be customised. The obligation to have complaints resolved by complaints committees is abolished. This doesn't mean they're forbidden. Where this added value is provided, healthcare providers are free to continue to use it. For example, the Wkkgz offers more space to healthcare providers than the current Wkcz. The Wkkgz allows healthcare providers to fill in obligations in the Wkkgz in such a way that it suits their own care organisation. I understand that this leads to questions about practical implementation. Healthcare providers will have another year after the Wkkgz enters into force to set up their complaint and dispute settlement in accordance with the Wkkgz. I have heard many members of the Chamber very well. It is very important that we implement the Wkkgz through a careful process. That will begin when the law is accepted by your Chamber. Particular attention will be paid to the different ways in which healthcare providers can practically complete the Wkkgz and to the concerns expressed by various interest groups of healthcare providers and healthcare providers. Examples of frontrunners in this area will be used to inspire other healthcare providers and healthcare providers. Although many healthcare providers already work according to the intention of the law, I would like all healthcare providers to do so. I have three final points to make. The first is in line with this. I think that we should not look at each other, because in the end we do not want any justice. We all want de-escalation. We all want it to be resolved in personal conversations as much as possible. We do not want any unnecessary procedures. We want as little extra costs as possible for providers. We do want clear procedures and more quality. So we need to look at how we get healthcare providers, including those who are still sceptical or insecure, to implement this law properly. If this bill is accepted, we will do a round through the Netherlands and in particular talk to small healthcare providers. We will also do hand-outs as needed, for example with the Secure Incident Report. This is new for some small healthcare providers. The Ministry can help small healthcare providers with hand-outs. A second point I have heard from many is attention to the Social Support Act.
ParlaMint-NL_2015-09-29-eerstekamer-8.u96	You're talking about "a hand-out" and "supporting the smaller healthcare providers." Is it an idea to involve the sector organisations of the healthcare providers closely in the question of how such a support plan could look like?
ParlaMint-NL_2015-09-29-eerstekamer-8.u97	Certainly, if we do such a round, it is customary for us to organise it together with the interbranch organisations, or at least in consultation with the interbranch organisations, so that their members can know that it is taking place, get information there and share their concerns.
ParlaMint-NL_2015-09-29-eerstekamer-8.u98	Mr Don, in your enthusiasm, can you speak through the chairman?
ParlaMint-NL_2015-09-29-eerstekamer-8.u99	Mr President, you are absolutely right. There is a great deal of resistance among the first-line organisations in particular. I don't want to flatten it, but it doesn't work to say: a round through the Netherlands and the problem is solved. I'm looking for a little bit of how you give such a round hands and feet and what you can actually offer. I understand that it's a bit crazy to say that right now, but what do you really offer the first-line workers for reinforcement, since you're asking a lot of them, so they're going to act as you see fit?
ParlaMint-NL_2015-09-29-eerstekamer-8.u100	I have just given a very good example of how general practitioners in the South of the Netherlands have arranged it. They didn't get the GP by GP. They've taken care of it in common. You can share or appoint a complaint officer as a group of general practitioners in the region. You can design such a procedure with each other regionally. You don't have to do that one at a time. In such a tour, for example, you also take with you general practitioners who already work according to the Wkkgz and have gained good experience with it, so that you can learn from each other and find out what remains for which the ministry should do a hand-out. We will have to deal with this in a pragmatic and practical way.
ParlaMint-NL_2015-09-29-eerstekamer-8.u101	Is there anything to be done about this in the form of financial support?
ParlaMint-NL_2015-09-29-eerstekamer-8.u102	That's not the first thing I think about. I've indicated how much money it's about. If you set it up efficiently, you are talking about €20 to €30 per institution or per group. Well, that's a good thing to pay for. We can better spend that money on other things, but we must help to set it up efficiently and properly, so that not everyone invents their own wheel. If this law is adopted, we as a government have an obligation to help healthcare providers, especially the first line and small healthcare providers, to set it up efficiently and practically.
ParlaMint-NL_2015-09-29-eerstekamer-8.u103	I hear you say: I want to humanize rather than process; I want to de-escalate. But I'd like to hear more concretely from you. You are also talking about the frontrunners in the implementation process. How are you gonna bet that de-escalating? Is this question about best practices and about open communication sufficiently addressed? Do we know how to de-escalate?
ParlaMint-NL_2015-09-29-eerstekamer-8.u104	We can learn from the evaluations. These evaluations have taught us a number of things that we have done differently in the law. Under this law, we have talked to a lot of organisations that work according to that pattern. Then you can see which elements are very important in that. One is that you have a person of flesh and blood who isn't going to find out how to further support a complaint, but who says, "God, you're dissatisfied, how do we solve it?" So you're going straight to work with those complaints from a different perspective. I think it will work very well if you talk about the implementation on the basis of the good examples from our own sector, after all, you don't have to bring in the good examples from the general practitioners to the ggz their own institutions where things are going very well. You can also answer and address genuine concerns.
ParlaMint-NL_2015-09-29-eerstekamer-8.u105	The Minister talks about best practices. How is she going to take the aid workers into that? There is a need for a certain cultural change. I don't think you're gonna get it done in a year.
ParlaMint-NL_2015-09-29-eerstekamer-8.u106	No, that's my third point. Mrs Bredenoord rightly said that a cultural change is needed. You'll always have forerunners and stragglers. Training is crucial in this respect. I see that this cultural change is already being made in training. In her speech, Mrs Bredenoord said that we should not only be in front of the end but also in front of it. In view of this, this is of course an incredibly important element. I would therefore like to pledge to the Chamber that that was the third point at the end of my speech that I will explicitly ask the trainers to pay more attention to this. All kinds of elements of this law require that cultural change. I will ask the trainers to address these elements much more explicitly in the training. I now turn to the third point. I would like to return to the first point I would like to make. A number of Members have drawn attention to the fact that the Wmo is not included. The Health Insurance Act and the Long-Term Care Act, the Wlz, are covered. Child care is linked to it. There's gonna be a bill to equalize it. However, this is not done for the Wmo, while there are various forms of cooperation in this context, for example in neighbourhood teams. The bill, the Wmo 2015, contained a number of articles that equated the quality, complaints and disputes procedure with those contained in this bill. However, that part has been amended. This has been done by VVD, Party of Labour, CDA, D66, ChristianUnion, SGP, 50PLUS and Van Vliet. I looked it up just in case. So this bill was intended as a framework for all these laws, but the Wmo's piece has been amended. The fact that we had put that in the Wmo already indicates that I am positive about the fact that this framework law also includes the Wmo. Then everyone can still deliver their own customization. For the hospitals, it is different than for the ggz and the general practitioners. That's already the case and that's why the Wmo is different. This point has only been amended. It happens sometimes that a bill that is dealt with in the First Chamber has been amended in the Lower House. Therefore, there are no similar articles in the Wmo 2015.
ParlaMint-NL_2015-09-29-eerstekamer-8.u107	It is good that the Minister is pointing out to us the wisdom that perhaps was not there at the time and now it is. Does the Commission therefore intend to commit itself to a legislative amendment to that effect in order to extend the scope of the Wkkgz?
ParlaMint-NL_2015-09-29-eerstekamer-8.u108	I can bring the feelings that are widely shared in this Chamber to the attention of the Secretary of State. I think it would be a good idea to look again at the willingness in the Lower House, because a proposal always goes through the Lower House. So I think it would be a good idea to ask the House of Representatives if it would reconsider whether it is wise to do so. Especially for the district teams, which we see as a very important innovation, it is important to achieve this. So I can assure this Chamber that I would like to enter that pulse.
ParlaMint-NL_2015-09-29-eerstekamer-8.u109	Can a motion help the Minister or is this commitment sufficient to get going? I can imagine that a broadly signed motion from the First Chamber could support the political groups in the House of Representatives.
ParlaMint-NL_2015-09-29-eerstekamer-8.u110	I'll leave motions to the Chamber. I heard her right. Even those parties who have amended these provisions from the proposal during the examination in the Lower House of the House of Representatives, here is something else. Well, there's a ratio to that, too. Let me keep to my duties. I can promise you I'm gonna talk to the House of Representatives about that.
ParlaMint-NL_2015-09-29-eerstekamer-8.u111	Thank you.
ParlaMint-NL_2015-09-29-eerstekamer-8.u112	With us, there is still the question of how exactly that translates into the Wmo domain. Of course, you have all kinds of roles, tasks and forms of care and participation. The district teams play a role in this. You have the role of the city. Can you just translate this one-on-one into the Wmo domain or does it require some fine-tuning to properly formulate the responsibilities in it? I'd like to hear that from the Minister.
ParlaMint-NL_2015-09-29-eerstekamer-8.u113	We had put a number of articles in the Wmo that joined the Wkkgz. So we did not say that the Wkkgz is also about the Wmo. We would have said what qualitative requirements you could make and what you could ask about dealing with complaints. So a number of things fit in with this. So we would have done it the other way around. What form is best seems to me to be something to consider.
ParlaMint-NL_2015-09-29-eerstekamer-8.u114	It's an interesting thought to see how that connects. Then it's about the care complaint. How does that relate to the dispute settlement body? Several organisations may be subject to very different administrative dispute procedures. Isn't that gonna keep biting each other?
ParlaMint-NL_2015-09-29-eerstekamer-8.u115	Of course, we also have very different dispute committees now. They were created by the sector itself. I am very much in favour of this, because there is knowledge in that committee about the complaints and the disputes that you could submit. The issues related to this were in particular about quality and complaint procedures. I have already promised that I will look into the extent to which one fits in with the other or the other with one and which should therefore fall under when you begin to do so. I will take this issue explicitly into account. To put it more simply, I can promise the Chamber to pay explicit attention to this. This was my introduction. Some things have been asked by several members. I'll try not to double-treat this. Questions were asked about the opinion of the Council of State. How do I feel about that? Don't I have a message for that at all? The Council of State advised on the Wcz. A lot of criticisms by the Council of State are about parts that are no longer in the Wkkgz. In particular, these are parts relating to the WGBO, which have been removed from this legislative proposal. I think that in my introduction I said enough about complaint and claim, at least I hope so. I come to the appointment of the Disputes Committee and its composition. Influence on the composition of the individual Disputes Commission has been secured in several ways. On a collective level, this is regulated by the law. Organisations of patients and healthcare providers shall jointly establish a dispute settlement body and agree on rules for this purpose. On an individual level, this is regulated by a separate ministerial arrangement. An example of this is the possibility for the parties to object to a member of the arbitration body.
ParlaMint-NL_2015-09-29-eerstekamer-8.u116	May I interrupt the Minister for a question from Mrs Martens?
ParlaMint-NL_2015-09-29-eerstekamer-8.u117	I'll come back to the point of complaint and claim. If the Minister comes back to that later, it will lapse, but my group will ask another question about it. Is it necessary to submit the complaint and the claim at the same time or can it be done in two stages? Do you always have to file the complaint and the claim at the same time, or can you handle the complaint first and then go to the Disputes Committee for the claim again?
ParlaMint-NL_2015-09-29-eerstekamer-8.u118	It's possible, but you'll see that it's often collapsing. So you'll see that a claim that is highly committed becomes a complaint or vice versa. But what Mrs Martens says can be done. So you can avenge yourself individually. You can appoint peers from your own sector to sit on a dispute committee dealing with a case. I agree with the recognition system of the Ministry of Security and Justice on consumer matters. That recognition system therefore also applies to the healthcare dispute committees. For example, the chairman must also be a master of law. In practice, it is often judges who take over the Presidency. In addition to the basic requirements of the scheme, the parties have scope to agree on complementary requirements. There have been concerns from the field. Something new is coming and as I said, I understand that you don't know what's coming at you, especially when you're little. When the law comes into force, I see it as my duty to make the most of it to get everyone involved and to find solutions together to problems that have arisen. A fundamental question is, of course, what is the solution to this problem? In fact, all those evaluations that we have listed were rather worrying. They take a negative view of how we have dealt with it in the Quality Act and the Complaints Law Act. The client's position requires reinforcements. Both laws are aimed at some of the healthcare providers. Large groups of healthcare providers are not covered by current regulations. The quality law is only aimed at healthcare institutions and the BIG Act is only aimed at solo-working healthcare providers with a protected title. The number of sole proprietors orzzp'ers in the care sector increases annually by 8,000 to 10,000. I have already mentioned the providers of cosmetic interventions and alternative treatments. They have no legal requirements for quality of care and no regulation for complaints and disputes. This involves 40,000 suppliers. The IGZ cannot, therefore, intervene there or insufficiently in excesses. Current laws and regulations do not provide safeguards to protect the health care provider from the systems already in place in practice to safely report an incident. Not everywhere that should be, safe systems to report an incident are already practice. Abuse or coercion of the Code of Criminal Law are not covered by the current reporting obligation for healthcare providers at the inspection. Caregivers who have been dismissed for serious dysfunctions are often not in the picture at the inspection, as such redundancies do not need to be reported to the inspection at this time. There are still healthcare providers who do not inform clients about incidents or are late. This law stipulates that if there is an incident, including the patient involved, you must report that something has gone wrong. What is not possible and with the Wkkgz will be possible? The final responsibility of the Management Board for the quality of care has been further developed in the Wkkgz and so such a board of directors can be called upon to do so. The scope is wider, as I said. The right to choice information for the client is laid down in the Wkkgz. I really think it is a modernisation that indicates from which options a patient can choose and what the pluses and minuses of those options are. The Wkkgz is a low-threshold and affordable alternative to the civil court by the Disputes Committee for cases where the client and the healthcare provider cannot come to a solution together. I think that independent arbitration body is an important part of the law. We all know examples of medical cases being brought to justice, which sometimes last seven years. You need a lot of money for lawyers to run those procedures. The patients who have experienced this are very much in favour of the dispute committee that sits in the middle. Of course you can always go straight to court, but if there is nothing between nothing and the judge, such a dispute committee is a really important step.
ParlaMint-NL_2015-09-29-eerstekamer-8.u119	The minister says it's low-threshold. We now sometimes have a complaint officer or a complaints committee that is free of charge, but people do have to pay for the Disputes Committee and get that money back only if they are agreed. Will she come back to my question about that?
ParlaMint-NL_2015-09-29-eerstekamer-8.u120	I'm with the CDA's first speaker now, so it's gonna go on for a while. But I can give you an answer right now, which is that you'll agree to it yourself. It is now set at €50. You can also agree to set it to zero. I admit that I will explicitly take into account how this develops in practice in the evaluation. Then I come to the three-stage rocket, an alternative proposal from the LHV. This seems to me to encourage unnecessary legalization and accumulation. The Wkkgz is committed to the informal resolution of complaints and claims. In line with the LHV's proposal, the complaint officer shall first attempt to arrive at a mutually agreed solution. If you don't get out of it, the dispute settlement authority can provide an alternative to the courtroom. So the client has a choice; he can go to the Disputes Committee, but he can also go to court. If you put a complaint board in there, that's an extra step. This leads to additional costs and additional bureaucracy. It's okay, but this law doesn't prescribe it. It was claimed that the first line was properly evaluated in 2013 and found sufficient. You can disagree about whether it has been properly evaluated, when you see the results, for example how many patients have ever experienced something that did not go well. 27% of the patients did not get out with the GP and eventually left the GP, so that's more than a quarter. You can see that 48% is satisfied with the general practitioner's reaction, but you can also see that 17% went to a colleague of the general practitioner. You can see large, inexplicable differences in the number of complaints filed per committee. You see hard-to-interpret information in annual reports. Everyone can have their own opinion on that NIVEL research, but our opinion is that it has not been properly evaluated. What can you do with that first line? Then you must be able to organize it proportionally. We do not expect all general practitioners to employ a complaint officer themselves. That would be really unworkable, but as a regional association, you can hire a complaint officer so you can share it. You can also have it arranged by the industry organisation, which makes regional chambers or departments, for example. You can organize that in all kinds of different ways. We are very willing to help in this and to make suggestions in the first line, where things are already going very well. Isn't the client gonna be more alone? I don't think so, because that complaint officer is a person of flesh and blood, where you can really walk in, who you can call or e-mail and who can help if you don't know what to do with a complaint. A client can also call the National Health Service. You can turn that on. That's not someone who's going to work for the client, but the procedure is being monitored. One can say: something has been submitted, the deadline has expired, why have you not responded and so on. If the client does not come out with the healthcare provider, he can go to the arbitration body. That's much more accessible and faster than the courtroom corridor. The client is entitled to information about an incident. Recent research by the NPCF shows that this is only necessary. The client is entitled to choice information, for example on the success rate in a particular operation with a healthcare provider. These are examples that make the client's position really better. It has also been asked why the trusted person in psychiatry cannot be involved as the patient's representative. In mental health care, there are indeed independent confidants. They are financed nationally and not by the healthcare provider. If the healthcare provider chooses that such a trusted person takes on this role, in coordination with the client representation, it can do so. Then he won't be independent anymore, but he'll be more involved in the client's best interests. This can only be done if the provider explicitly sees this as a matter of fact. Does the client no longer have a possibility of appeal after a binding opinion, because the judge only has a marginal review? You have dispute resolution in the healthcare sector and as a final part of the system, you always have the opportunity to go to court. That's up to the client; he can always choose that. It is true that the judge will check whether the procedure went well and whether everything went well. If the verdict is very strange and weird, the judge can also look at it in substance, but it must be very different. Otherwise, it would indeed be a procedural test. This was actually a repetition of the judgment on how well the Complaints Commission works.
ParlaMint-NL_2015-09-29-eerstekamer-8.u121	I just want to confirm what the Minister says. De facto, therefore, the right of appeal lapses because the judge is merely a procedural judge.
ParlaMint-NL_2015-09-29-eerstekamer-8.u122	You're going to the judge. Who checks whether everything went smoothly or not. You can always go to court if you don't think you've been treated properly. If the verdict is very strange and deviant, the judge may still have an opinion on it.
ParlaMint-NL_2015-09-29-eerstekamer-8.u123	If I understand correctly, therefore, the possibility of appeal does not lapse. You can go to court now, and you can stay that way. One can also opt for a dispute committee. If one disagrees, one can still go to court. The number of appeals is therefore by no means reduced. However, the number of options will be increased.
ParlaMint-NL_2015-09-29-eerstekamer-8.u124	Yes, it is a more accessible possibility that we add to the system. Mr. Chairman. I'm going into the low-threshold of the current system. Mrs Martens stated that de facto the legal basis of a mandatory, accessible, inexpensive, internal, independent complaint procedure through the complaints committee, close to the healthcare provider and the client, expires. According to the evaluation, that's what the client thinks very differently. He doesn't have those warm feelings of "low-threshold and independent." ZonMw and NIVEL always signal the same signals about the current complaint law: complaining to a complaints committee is difficult, the results are often unsatisfactory, the complaints committee is not perceived as independent, there is a need for a personal conversation and the corridor to the civil court is too expensive and too heavy. I also get these signals from conversations with patients, complaint officers and patient associations. Also, the National Health Information Point detects the same signals.
ParlaMint-NL_2015-09-29-eerstekamer-8.u125	This keeps coming back. On the one hand, it is the legal system, on the other hand, there is the patient's experience. The question now is whether the complaints committees are not legally properly regulated. In theory, you can imagine that even in the dispute committees patients say: I am not satisfied with the ruling; I find it not at all accessible and I find it very difficult because I am on my own. You can imagine anything. But here is the question of whether it is legally different. I don't see that yet. Now there is a legal basis for the low-threshold complaints committees. If they don't work properly, you could do something about it. It's only after that, depending on how you function, that you might say something about the patients' feelings.
ParlaMint-NL_2015-09-29-eerstekamer-8.u126	We do, because you shouldn't compare the Complaints Committee with the Disputes Committee. You have to compare the complaints committee with the complaints officer. The complaints committee is not functioning. That is why we go to the complaint officer, in a much more freer form and with the possibility of tailor-made work at an institution. Institutions are much better able to see for themselves what works well with them. The Complaints Committee should therefore not be compared with the Disputes Committee, but with the Officer.
ParlaMint-NL_2015-09-29-eerstekamer-8.u127	Fine, but I was actually concerned that patients' feelings should be compared with the legal regime on other points. That's two very different things.
ParlaMint-NL_2015-09-29-eerstekamer-8.u128	No, we have now made it mandatory that the Complaints Committee should be there. It's a legal arrangement. Turns out it's not working. So we are gonna get rid of that and we're gonna make legal arrangements for officials to come. That's the step we're taking. Mr. Chairman. I now turn to the definition of good care versus the definition of the Healthcare Institute. I was asked whether I would be prepared to formulate the definition of good care in such a way that it would automatically conform to the definition developed by the Healthcare Institute in due course, and that clients would be involved in the development of future definitions. That's exactly how we handle it. Article 2 (2) (b) of the Wkkgz refers for the definition of good health care to the professional standards, including those registered in the Register of the Zorginstituut (Zorginstituut). The term "quality standards" will be used for standards in the Register of the Healthcare Institute in accordance with the undertaking given to this Chamber in the treatment of the law governing the Health Care Institute. The Health Insurance Act provides that professional standards can only be registered in the register of the Health Care Institute if these are offered tripartitely, i.e. together with the client organisations. The Healthcare Institute checks whether the client organisations are adequately involved. How does the inspection monitor 40,000 new care providers of other care strongholds? Will there be more money and resources? What are the measures? It was also noted that "other care" does not have to be "good care," but knows the definition of "no harm." We would like the following in the case of abuses in relation to alternative medicine. We do not have an assessment of its quality, because we do not know any quality standards. However, a patient may have a complaint if someone who practises alternative treatments wrongs him during treatment. There is nothing we can do about it and nothing we can do about it. Many Dutch people use alternative medicine. I therefore believe it is important that they should be given greater legal certainty, that they should be able to submit a complaint to a complaint officer and that they should be able to say that I have been mistreated and have a complaint about a healthcare professional. It is not about whether someone works according to standards, but about how a patient has been treated, whether he has been properly referred to and whether he has otherwise been treated in such a way that he has not been harmed. Indeed, the definition for this is something else. I have also always been surprised that people go to all kinds of beauty specialists who laser and do all kinds of other activities. Something goes wrong all the time. I would also like to limit what is happening there, because I do not want drugs to be sprayed. The inspection simply needs more grounds for action, both in the area of cosmetic care and alternative care. It is not the case that the inspection will be carried out by 40,000 healthcare professionals, because it is monitoring risk-driven. But if she learns that there is a miscarriage, she can do much better on the basis of this law. So it's basically a back-up. These caregivers also have to report calamities properly to the inspection. If they do not and do not write them down in the patient files, the inspection can actually deal with them. I think it is a good thing that we are going to operate tighter in this and give the inspection a little more cover. It's also about the register. The inspection said to me: we are supposed to control the new entrants.
ParlaMint-NL_2015-09-29-eerstekamer-8.u129	I have another question about the previous point. The Minister says that there will be an obligation for healthcare providers to inform patients or clients about the results on which treatment is based. She mentioned the alternative care providers. It says literally that there should be information about whether or not there is a scientifically proven efficacy of care. How is the Minister going to monitor this concretely with all healthcare providers who do not necessarily claim that they offer scientifically proven care? After all, there are quite a few of them.
ParlaMint-NL_2015-09-29-eerstekamer-8.u130	We call them "providers of other care" in the law. They do not have to give proper care, because you have guidelines, protocols and so on, which are different for this. It must be care that does not harm, because alternative care is a characteristic that there are no standards for it that are registered at the Quality Institute.
ParlaMint-NL_2015-09-29-eerstekamer-8.u131	If I understand correctly, good care is scientifically proven care, and has other care as standard that it does not harm. That's the distinction.
ParlaMint-NL_2015-09-29-eerstekamer-8.u132	Yes, we cannot judge which alternative care is good, because we do not have standards and scientific evidence base for that. But the inspection can prove that an alternative care provider has done damage to a patient. And that's not allowed.
