ParlaMint-NL_2015-10-15-tweedekamer-14.u1	The Minister is now moving on to his last block: the future-proof energy supply.
ParlaMint-NL_2015-10-15-tweedekamer-14.u120	In the meantime, the amendment to item No. 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17, Amendment No 17,
ParlaMint-NL_2015-10-15-tweedekamer-14.u121	I shall now turn to the Amendment No 1, tabled by the Committee on the Environment, Public Health and Consumer Protection, on behalf of the Committee on the Environment, Public Health and Consumer Protection, on the proposal from the Commission to the Council (Doc. 18 by Mrs Van Veldhoven, with which she wants to arrange an additional 1 million for the Pool Programme. I was wondering when this would come. Mrs. Van Veldhoven has been to Nova Zembla. So she's got even more insight into what's going on. These are activities in the area for which the Arctic Council is present. The Netherlands is not a member of the Arctic Council. We're sitting at the table as an observer. Membership is reserved for countries with Arctic coastal waters. The Netherlands does not belong to this. So we don't have any say in the whole thing either. We do have an observer. Dutch polar experts, of whom Mrs Van Veldhoven may have met some at Nova Zembla, are taking part in this programme on the basis of our current polar policy framework. The Netherlands is already contributing EUR 3.7 million. There's 0.4 million of EZ in there. I think that's enough. Moreover, additional money will not increase the Dutch influence accordingly. That is why I reject the amendment to item No. 18 by Mrs Van Veldhoven.
ParlaMint-NL_2015-10-15-tweedekamer-14.u122	That is now the amendment to item No. 20 years old. I see Mrs Van Veldhoven is trying to interrupt, but she is through her interruptions.
ParlaMint-NL_2015-10-15-tweedekamer-14.u123	In doing so, I have dealt with the amendments that I know of. I thank the Chamber for the opportunity to...
ParlaMint-NL_2015-10-15-tweedekamer-14.u124	We are still missing one amendment in your reviews, namely the Van Tongeren amendment in part No. 21 on an excellent business environment.
ParlaMint-NL_2015-10-15-tweedekamer-14.u125	Yeah, I just got that. Mrs Van Tongeren aims to create a new guarantee scheme for energy saving in energy-intensive companies. That scheme is equivalent to the current Ship New Construction Financing Guarantee Scheme. Financial instruments are already available. We have the GO scheme, which allows us to guarantee 50% of a bank loan, also for very large loans. This is already being used for energy saving projects. As part of the energy agreement and the company-specific agreements with the sector, I am discussing the financing of energy-saving measures. In consultation with the industry associations involved, I have appointed a quarter of an hour maker from the financial world. It will examine the desirability and possibilities of a private fund. I expect the results before the end of the year. Therefore, at present I do not see any added value in a separate guarantee scheme, in addition to the JV scheme available for this purpose. I can also go into coverage, but just because of the substantive reason I have just indicated, I have to advise against this amendment.
ParlaMint-NL_2015-10-15-tweedekamer-14.u126	We're gonna start with the second term of the Chamber. I would also ask Mrs Van Veldhoven to sit down so that we can all listen to Mrs Gesthuizen.
ParlaMint-NL_2015-10-15-tweedekamer-14.u127	Mr. Chairman. I think we have had a good debate. We just didn't agree on everything, as usual. I would like to make two more comments before I table a motion. My first comment concerns the Authority's Consumer & Market. I very much look forward to the evaluation, because I think that we should be able to see clearly whether the ACM is sufficiently equipped with the human, force and resources at its disposal in this way. I imagine it's gotten a little tight here and there. My second comment concerns something that we did not really speak about anymore when the Minister replied: the situation at the European Patent Organisation. I would also like to thank the Minister very much for his first-term response. I would like to point out to the Minister that I regularly speak to Foreign Trade and Development Cooperation Minister Ploumen and that she is prepared to address companies and countries on the other side of the world if they violate human rights. Those same rights are currently being violated in Rijswijk. That is why I would like to table the next motion on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that conduct by directors of international organisations who do not have anything to do with their international representation but do constitute a violation of national rules should not be covered by diplomatic immunity;]] [[Considering that in April 2014 the government presented a plan of action with measures to step up action against persons with diplomatic immunity who have violated Dutch law;]] [[noting that these measures focus solely on traffic fines and criminal offences and not on violations of workers' rights as noted by the judge at the European Patent Organisation;]] [[calls on the Government, within the limits of the Treaties, to do everything possible to ensure that the European Patent Organisation complies with international laws and regulations,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Gesthuizen and Mr Kerstens. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-22]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u128	In doing so, I want to conclude my second-term contribution. I look forward to the Minister's response in the second term.
ParlaMint-NL_2015-10-15-tweedekamer-14.u129	Mr. Chairman. I would like to thank the Minister for his comprehensive reply, both in writing and orally. It's always good to chew on that for a while, sometimes firm. The Netherlands is doing well. I think we can all see that. We can make that a success, certainly a success of the cabinet, of the coalition. However, I am also looking at D66, the Christian Union and the SGP, which have sometimes supported us in difficult times and are taking the Netherlands out of the crisis. We're a lot better off now than we were two or three years ago, but we're not there yet. There are plenty of things to achieve and plenty of things to achieve. We are well on the competitive ladder, but we can still find a lot of flexible work. We are well on our way with the energy agreement. Renewable energy targets for 2020 and 2023 are feasible. That's good to know. This cabinet is also firmly committed to this, especially with the support of the VVD. If there's a risk that we won't make things, or if there's a chance of getting back to work, this minister will. That's good. If the tempo can rise, it has to. Then you can. But the VVD is reluctant when it comes to turning buttons without knowing what the result is. We are therefore also looking forward to the review of the Energy Agreement in 2016, precisely to assess everything in its integrality. The Minister says that energy production will be sufficient to absorb the peak in 2019. I'm not quite convinced of that yet, but I'll be briefed again. The debate is often about renewable energy, which is seen as renewable. But especially when it comes to energy, sustainable also means: reliable, affordable and good for the environment. Unfortunately, we are mainly looking at renewable energy. I am pleased that the Minister also looks at thorium as one of the possible sources of energy. Mrs Van Veldhoven asked me whether the VVD now opts for one technique. The answer is: no, we do not choose one technique, but we do not want to exclude technology. As many techniques as there are available, so much we need to use and look at. That is why I am pleased that we are going to discuss this technique. I hope that will be part of the energy dialogue in 2016. Then I come to the abolition of roaming charges in the Benelux. We are receiving signals that it is not self-evident that roaming in the EU will be abolished in June 2017. Therefore, the Benelux route to speed up the abolition of roaming remains interesting. The Belgian colleague of the Minister, Mr De Croo, is enthusiastic and so is Luxembourg's Prime Minister Bettel. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a well-functioning European telecoms market requires the abolition of roaming charges;]] [[whereas, although the abolition of roaming charges at EU level is planned for mid-2017, it is still far from certain that this date will be met;]] [[calls on the Government to make full use of the option of abolishing roaming charges in the Benelux context in addition to the current commitment at European level to abolish roaming charges;]] [[further invites the Government, before 1 December 2015, to provide further information to the Chamber on the progress of both pathways,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Bosman, Mr Oosenbrug and Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-23]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u130	The Dutch Tourism and Congresses Bureau is carefully innovating. It gets less money, but still performs more. We are now working on a project-wise approach. They are now trying to reach Asia, to get tourists from there to the Netherlands. To support that project, I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the tourism sector is of great importance for the Dutch economy and that 5.1% of our employment, according to CBS, provides many jobs, mostly also at the bottom and in the middle segment of the labour market;]] [[Whereas global tourism is expected to continue to grow strongly in the coming years;]] [[noting that NBTC is carrying out useful projects to put the tourist potential of the Netherlands internationally on the map;]] [[Calls on the Government to consider how it can contribute to supporting these projects, for example by bringing together parties;]] [[calls on the Government to consider the possibilities of using possible under-utilisation to co-finance one or more projects,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bosman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-24]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u131	The Minister is very clear about the TKIs. He thinks it's important and essential. So does the VVD. I have one more question about that. I'm afraid I've run out of interruptions. What about the 5 million running costs of the Wbso for the RVO, to be paid out of the TKI funds? Is that money in favor of the TKIs or not? Or is it just being taken away from the TKIs, which we all consider so important? I'd like to get an answer to that. It is good that the evaluation of the TO2 institutions will take place in 2016. When can we look forward to this evaluation? As far as the VVD is concerned, preferably for the 2017 budget. To Mr Agnes Mulder's question about the 50 million, I say: yes, we are certainly in favour of that. As far as the tax system is concerned, my colleague who deals with the tax system is concerned. It must certainly be for the benefit of SMEs. I'm gonna close with a nice motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Minister has undertaken to contribute EUR 15 million to the development of field labs under the Smart Industry agenda;]] [[whereas the Minister expressed the ambition to have ten field labs realized in 2016;]] [[Whereas ERDF funds are granted only on the basis of private and/or public co-financing;]] [[Calls on the Government to inform the Chamber on the progress, allocation of ERDF funds and state funding of the field labs well in the 2017 budget;]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bosman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-25]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u132	Mr. Chairman. Thank you to the Minister for his reply, also in writing. I thought it was very clear, thank you very much. My first motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that as soon as companies, public authorities and educational institutions start working together, there will be an organisation that will be subject to different VAT rules, which in many cases leads to a higher VAT burden than without cooperation;]] [[Whereas cooperation between companies, public authorities or educational institutions is important because of the innovation impulse of such partnerships;]] [[noting that already ten years ago by the then Minister of Finance in a letter to the Chamber (Room Documents II 2004/05, 28753, No. 7) it was written that the impact of VAT should not stand in the way of a choice of public investment through public-private partnerships (pps);]] [[calls on the Government to ensure that VAT is no longer a cost increase and thus a barrier to public investment via PPPs in the field of education and research, and to inform the Court of Justice about the impact,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are many initiatives to start building high-speed internet;]] [[noting that the implementation of initiatives in outlying areas has been hampered by competition rules;]] [[Whereas the accelerated construction of the fast internet calls for the creation of more space for construction in areas where it is now seen as market-distorting;]] [[calls on the government to create experimental and regulatory space for these specific circumstances, so that the construction of fast internet can actually be accelerated,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the government is making available EUR 50 million for SME/start-ups as of 2017;]] [[Considering that own capital enhancement is an important prerequisite for SMEs to be able to re- attract bank credit;]] [[Whereas it is desirable to mobilise private assets in favour of the Dutch economy;]] [[calls on the Government to take account of:]] [[strengthening the equity of SMEs, including start-ups;]] [[mobilising private assets facilitating both direct investment and indirect investment through funds or crowdfunding platforms;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas research and innovation is essential for the development of renewable energy in the future and the Netherlands can play a role in it;]] [[Whereas financial support to the Netherlands Energy Research Centre is reduced and risks losing the knowledge base and jobs at the Netherlands Energy Research Centre;]] [[Calls on the Government to compensate for the reduction of the budget to ECN from 2015 to 2016 from the research budget in the SDE+ scheme,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the application of fracking may affect seismicity;]] [[Whereas the safety of fracking is further guaranteed in the forthcoming amendment to the Mining Act;]] [[Whereas the Government has committed itself to carrying out research into the current use of fracking in the Netherlands, including the safeguarding of safety and groundwater quality;]] [[calls on the Government to suspend fracking activities pending the seismic risk analysis and the amendment of the Mining Act,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-26]] [[This motion was proposed by Mr Agnes Mulder and Mr Oosenbrug. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-27]] [[This motion was tabled by Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-28]] [[This motion was proposed by Mr Agnes Mulder, Mr Van Tongeren, Mr Smaling and Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-29]] [[This motion was proposed by Mr Agnes Mulder, Mr Smaling, Mr Van Veldhoven, Mr Van Tongeren and Mr Dik-Faber.]] [[She's getting No. kst-34300-XIII-30]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u133	I would like to point out that this research has been specifically requested on behalf of the PvdA. I'm filing my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Wbso and the RDA are merged and that this is not intended to redistribute innovation funds;]] [[Whereas due to the expiry of the cap in the RDA, it is likely that large companies will be able to make greater use of the combined innovation scheme at the expense of SMEs;]] [[Whereas it is important that the integrated scheme continues to provide SMEs with two thirds of the funds;]] [[calls on the Government to take into account the current applications for the integrated Wbso/RDA proposal and to provide an insight into the shifts between and within the groups of small, medium-sized and large enterprises;]] [[also invites the Government to forward the calculation to the Chamber before 1 November 2015,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agnes Mulder and Mr Dijkgraaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-31]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u134	In conclusion, I have one more question. We have received a commitment on the SDE+ scheme. Thank you for the letter we will receive in November. Can the Minister clarify what exactly is going on with energy innovation? We consider them very important. Can the Minister provide insight into the timetable for the plans for tidal energy at the Brouwersdam?
ParlaMint-NL_2015-10-15-tweedekamer-14.u135	I may have blacked out during this debate, but I do not remember asking as spokesman for the PvdA Group for an investigation into fracking. I thought it was an interesting comment, but I do not think that was the case. Nevertheless, I would like to say that I am always okay with being critical of fracking; that should be clear. Again, I don't remember. I shall read the Acts, but I would like to say this.
ParlaMint-NL_2015-10-15-tweedekamer-14.u136	But your signature is under the motion?
ParlaMint-NL_2015-10-15-tweedekamer-14.u137	No.
ParlaMint-NL_2015-10-15-tweedekamer-14.u138	No, he's not under the motion. Nor do I recall taking the position suggested by Mrs Mulder. Words are being put in my mouth which I do not think I have spoken. Maybe I'm wrong. I shall read the Acts again, but I really do not believe that this has been ventilated by the PvdA Group in this way. Nevertheless, being critical of fracking has my support.
ParlaMint-NL_2015-10-15-tweedekamer-14.u139	I always thought the PvdA group was critical of fracking. I have seen all the questions she has put. Indeed, I have assumed that it could support an investigation in this area, also in view of the Mining Act that is coming.
ParlaMint-NL_2015-10-15-tweedekamer-14.u140	Perhaps it would be more convenient to speak on behalf of our own group. Saves a lot of time.
ParlaMint-NL_2015-10-15-tweedekamer-14.u141	I'll certainly do that in the future. I thought I was making a gesture towards the PvdA Group. It's clear how she's reacting to it now.
ParlaMint-NL_2015-10-15-tweedekamer-14.u142	Apparently, my sense of humor is different, although I can still see the humour of the discussion that is emerging. Once again, I support the investigation, but not the statement that we would have made or supported such a proposal during the debate.
ParlaMint-NL_2015-10-15-tweedekamer-14.u143	It's noted. The next speaker will be Mr Jan Vos of the PvdA Group, who will also speak on behalf of the CDA.
ParlaMint-NL_2015-10-15-tweedekamer-14.u144	Mr. Chairman. I would like to start by saying that it is important that there is local support when windmills are placed in the Netherlands. I said this on behalf of the CDA Group, but I support it from the PvdA. All crazy on a stick. I thank the Minister for answering the questions. I think it is important to note that the PvdA Group fully supports the budget that we have discussed today. Nevertheless, I would like to make a number of motions with which we wish to make the points. The first motion concerns social entrepreneurship. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas social entrepreneurship is a useful category of entrepreneurs that can be of great benefit to the economy and society;]] [[Whereas social entrepreneurship occupies a place between corporate social responsibility and the charitable institutions;]] [[whereas, unfortunately, social entrepreneurship is still under-explored and not fully understood by policy-makers, and that not all information is available;]] [[whereas the Netherlands is lagging behind the United Kingdom, which has a Social Value Act;]] [[Whereas it is important to properly measure the impact of social enterprise, as mentioned in the ESC opinion on social enterprises;]] [[calls on the Government to allow the CPB to carry out an investigation in order to identify the nature, extent and significance of social entrepreneurship, including access to finance for entrepreneurs,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Jan Vos, Agnes Mulder, Verhoeven, Gesthuizen and Van Tongeren.]] [[She's getting No. kst-34300-XIII-32]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u145	My second motion concerns the gas extraction at Terschelling. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the application for a Tulip Oil d.d. extraction permit, 11 November 2014 at Terschelling;]] [[Considering the wide-ranging and conflicting interests of the environment, nature and local support of the municipality and province, which play a role in a decision on the extraction authorisation;]] [[having regard to the deliberations and the arguments and positions expressed by the various parties in various debates in the Chamber;]] [[expressed its opposition to the extraction at Terschelling, since it was not made likely that this would fit within the new environment and nature protection frameworks, as established by the Court when dealing with the Mining Act,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Jan Vos, Ouwehand, Van Veldhoven and Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-33]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u146	I am tabling a motion on SEED Capital and the various innovation funds and pathways that we are currently going through with each other. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Cabinet is examining possibilities for the broadening and further development of the Dutch Investment Agency;]] [[whereas SEED Capital can play a more important role in the growth of start-ups by participating in larger funds, in line with the Israeli example;]] [[believes that the Netherlands needs green start-ups that grow rapidly to a value of more than 1 billion;]] [[Invites the Government to include the possible scaling-up of SEED Capital in the NIA's further development investigation into how funds can reach a minimum size of EUR 20 million and report back to the Court in spring 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Jan Vos, Bosman and Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-34]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u147	I also have a motion on ECN. It is clear that there are wide-ranging concerns about the funding of this institution. My group believes that ECN should focus on the transformation that we are currently going through, the transition, while saving as much red tape as possible with regard to the reduction of the organisation, apart from the employment that will be lost. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Minister will consider in the coming months how best to organise future energy research in the Netherlands and what role ECN can play in it;]] [[Whereas its outcome will not be implemented until 2017;]] [[Whereas ECN has knowledge relevant in the future energy research field;]] [[calls on the Government to adopt an arrangement to prevent the loss of key knowledge in the field of energy in 2016 and to report to the Chamber before the end of November 2015,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in order to achieve the objectives of the Energy Agreement, the sustainability of energy supply in the Netherlands must be achieved in all sectors of the economy;]] [[Whereas this also applies to the transport and consumption of fuels;]] [[Whereas there are no clear targets for sustainable mobility beyond 2020 and, more specifically, the number of zero emission cars and, as part of this, the number of self-driving cars;]] [[calls on the Government, together with all relevant actors in the transport sector, to reach a sustainable mobility agreement containing concrete objectives and means for electric transport and the promotion of green gas and hydrogen as fuels for the transport sector,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Jan Vos, Bosman and Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-35]] [[This motion has been proposed by Members Jan Vos and Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-36]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u148	Mr. Chairman. I'm filing my motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a growing number of franchisees are not adequately protected by the applicable "erecode";]] [[also noted that various associations of interests for the benefit of franchisees called the alarm clock about the abuse of power by franchisees;]] [[calls on the Government to consider the form and extent of the framework deemed necessary to improve the position of franchisees,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a large number of disputes in the franchise sector arise from a failing pre-contractual phase and/or may not (timely) obtain the necessary (financial) information;]] [[calls on the Government to commit itself to improving the position of franchisees at the pre-contractual stage in order to avoid numerous and costly legal disputes and resulting socio-economic problems,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to simplify and shorten public procurement procedures for small and medium-sized enterprises;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to make available to the public recidivists under paying local authorities and, on a constant basis, to shorten the municipal and/or provincial funds;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to use part of the proceeds from the sale of ABN AMRO to take a 20% share in Air France-KLM,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-37]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-38]] [[This motion was tabled by Mr Graus and Mr Klever. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-39]] [[This motion was tabled by Mr Graus and Mr Klever. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-40]] [[This motion was tabled by Mr Graus and Mr Tony van Dijck. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-41]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u149	Mr. Chairman. I'll file the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that all companies established in the Netherlands benefit from lower taxes;]] [[Whereas lower taxes contribute to a better business environment, which also means that more foreign companies want to establish themselves in the Netherlands, thus creating more jobs for both existing and newly established companies;]] [[calls on the Government to abolish all fiscal innovation facilities and instead to introduce a generic reduction for all companies,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that with current policies unemployment is barely declining next year;]] [[Whereas the number of investments by international companies in the Netherlands decreased last year;]] [[calls on the Government to focus more on improving the business environment at the Ministry of Economic Affairs in order to tackle unemployment and report to the Chamber on the measures taken to that end,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klever and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-42]] [[This motion has been proposed by Mr Klever and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-43]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u150	Mr. Chairman. Thank you to the Minister, who has been giving answers to all the questions of the House of Representatives all day. I'll start filing two motions, because sometimes you don't have time for that at the end of your term. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is important for the Dutch economy that entrepreneurs can find sufficient funding;]] [[whereas the ECB's investigation shows that Dutch entrepreneurs have the lowest risk of credit across the EU;]] [[Whereas the current system of guarantees, loans and grants may be unclear due to the number of around 70 schemes for entrepreneurs;]] [[calls on the Government to improve the system of grant, guarantee and financing schemes by linking schemes smartly where possible;]] [[calls on the government also to show ambition in improving lending to businesses and to continue to talk to banks about their social function and responsibility,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Netherlands has an excellent starting point in the field of ICT thanks to AMS-IX, the high-speed internet connections and the rapid uptake of new Internet services;]] [[Whereas the Netherlands should continue to invest in the digital infrastructure in order to maintain this starting position;]] [[noting that the government invests in the economic position of mainport Rotterdam and in finding innovative solutions for the sustainable development of mainport Schiphol;]] [[calls on the Government to:]] [[recognising the digital infrastructure (AMS-IX, hosters and housing) as a third mainport;]] [[develop, together with relevant stakeholders, an economic vision to strengthen the position of the digital mainport;]] [[and invest in the implementation of that vision,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven, Mr Jan Vos, Mr Agnes Mulder and Mr Öztürk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-44]] [[This motion was tabled by Mr Verhoeven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-45]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u151	I have a few comments to make. I am pleased that the Minister has wished to discuss extensively with the Chamber the ceiling of the RDA and the Wbso, the two existing arrangements to help entrepreneurs with innovations. My colleague, Mr Van Weyenberg, will come back to that when we deal with the Tax Plan. D66's commitment will be to reduce that ceiling in the combination of the two arrangements advocated by the Cabinet. However, I welcome the Minister's commitment to continue to look critically and from an economic point of view at a number of laws that are bad for the Dutch locational environment, such as the Intelligence and Security Services Act and the Telecommunications Data Conservation Act. These laws may be able to drive companies out of the Netherlands in the future. I would therefore like to wish the Minister every success. We spoke briefly about the fablabs. Mr Graus is right: we should call that "small workshops" where anyone who has an idea can come up with that by using a 3D printer or a laser cutter. Actually, they're some sort of little labs. The Minister says there are already 40 and this is going well. However, there are only ten that really work well and that really lead to innovation and places where people can go. The Minister says that certain arrangements can be used. I hope he is prepared to help provinces to make use of it and to point it out to them every now and then. Finally, I noticed that the Minister is not prepared to allow any financial shift in his budget. He said every time that the coverage the MPs suggested wasn't right. I myself tabled two amendments to shift some money from one place to another, but the Minister said that the cover was not good and that he did not want to do so. My amendments were about SURF and encryption. If I find another cover, does that change the Minister's view of these amendments or does he say that he does not support these amendments and does not want them? Then we in the Chamber will know where we stand and perhaps we will have to show our teeth sometime. After all, budget law gives us the opportunity to shift the budget. With regard to top sector policies, there have been changes in the supplementary budgets in recent years. In a year and a half the Minister has raised 43 million and 12 million respectively, but now he is telling the Chamber that it cannot do so if it wants to do so for much smaller amounts. I'm gonna end up with that. I hope the Minister is prepared to show greater flexibility if the Chamber so requests.
ParlaMint-NL_2015-10-15-tweedekamer-14.u152	Mr. Chairman. I would like to thank the Minister for his reply during this budget debate. During the exchange of views with the Minister, it became clear again how great the challenges we face to green our energy supply and shift our entire economy to a different basis. The NEF shows that we're not here yet. There are important challenges, especially in terms of energy saving, but also in terms of the long-term outlook. I welcome the Minister's commitment to include the long-term perspective in the energy vision that we will be discussing later this autumn. The Minister and I did not agree on coal in this debate, but perhaps we agree on a few points which I will mention in my motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Calls on the Government to discuss with the parties to the Energy Agreement how biosteam can contribute to completing the agreements on renewable energy at lower costs;]] [[calls on the government to redirect the savings to households and businesses through contributions to insulation and energy innovation,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas an area coordinator for windmill areas can only work effectively if it enjoys widespread confidence;]] [[calls on the Government to include residents and stakeholders in the area concerned in the appointment of an area coordinator,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that remaining money from energy innovation is included in the budget of top sectors;]] [[calls on the government to ensure that this money is spent on sustainable and renewable (i.e. non-fossil) innovations and that SMEs benefit from this 50%;]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-46]] [[This motion was proposed by members Van Veldhoven and Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-47]] [[This motion has been proposed by members Van Veldhoven and Dijkgraaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-XIII-48]]
ParlaMint-NL_2015-10-15-tweedekamer-14.u153	In particular, the Minister made a commitment on the area coordinator. He said he wants to look into that in the future. I welcome that part of the commitment, but I have tabled this motion together with Mrs Mulder, in order to see how we can ensure that the area coordinators who are already there can be given the best possible support and have as much support as possible in the areas in which they need to work.
