ParlaMint-NL_2015-10-14-tweedekamer-5.u1	I can see the minister at the microphone. He's ready to give his first-term response.
ParlaMint-NL_2015-10-14-tweedekamer-5.u162	Of course, we prefer a European list, but that is slow. I call on the Secretary of State to do the latter indeed. We can do that in a couple of weeks. It speeds up the return of people who have to go back.
ParlaMint-NL_2015-10-14-tweedekamer-5.u163	That's what we're gonna do. Now that we know which countries are on the European list, it is good to do so. Mr Buma also asked about the 7,000 relocaters. What's going on with the hotspot approach? It is a misunderstanding that the Netherlands would not participate. What we see now are pilots. Those pilots are there to see exactly what it takes. The Netherlands did not apply immediately, given the influx that we already have to process. It seems particularly to me to be something for countries which do not have such a large natural influx or who want it for other reasons, to put a lot of attention and energy into working out these pilots and those hotspots. We are in, but it does require that people be properly registered there. If that happens soon, people will not be right throughout the asylum procedure. They just come in their place in line. They do not have a preferential position, they simply have to go into the procedure in the same way. They only came to the Netherlands via other routes. Mr Buma spoke about the transit zones under construction in Germany. I stress the importance of close contacts, including bilaterally. It is not a question of greeting each JHA Council and of how things stand. The domestic political situation in Germany is quite moving. Sometimes things are unthinkable until they happen. I would prefer to have a heads-up in advance on what exactly one is going to do, so that we can possibly join or participate or respond if it does not suit us. I'm very attached to that. The final signal is that part of the coalition supports those transit zones. Another part doesn't or doesn't. The European Commission will soon be expressing its views on what Germany is doing at the moment. The Netherlands has that mobile surveillance. We are going to use the information we get from this to see if we need to step up. Of course, it is not a method of stopping people at the border, but it is a method that has led to the disruption and arrest of smugglers. A one-to-one relationship with the inflow rates is difficult to establish during this period. Mr Pechtold asked about the D66 plan for recording and language analysis. I didn't take that as a suggestion, but of course it's not like we're not doing anything about language analysis right now. The IND looks at the documents that people give and the statements made. Before I say anything concrete about it, I would like to take it with me in a broader sense, also in relation to the policy with the tracks. How can we share this objective as quickly as possible, and make it clear to this category that it was not worth the effort? Nor should we allow it to be worth the effort by a shelter that is more pleasant than at home. With the reception methods that we now have, that is something different than last year, but still: no fees, no reception and immediately, preferably per round, provide clarity. Whether tape recordings can be a useful part of that, I will take it with me. The sooner we can provide clarity on the ground, the less we need it. Unfortunately, we do not have an app that immediately shows a flag of which language it is. That would be ideal. Then we don't have to listen to the recordings later.
ParlaMint-NL_2015-10-14-tweedekamer-5.u164	I asked in my input for the conclusions of the JHA Council, which stated that work will be done to strengthen the detention of aliens. That wasn't exactly specified. What was that? It does not come back to the draft conclusions for tomorrow's Council. How's that?
ParlaMint-NL_2015-10-14-tweedekamer-5.u165	I will explain this, while looking at the Prime Minister's facial expression. Migration managers find their own decisions strong enough not to always have to see them one-on-one confirmed in the European Council. They stand on their own, they have value on their own. We have discussed a number of matters concerning return. The Netherlands is in pre-remotion detention. Some countries have a bit of a problem with that. It has, of course, also been the subject of discussion here. The European Commission has explicitly mentioned it in a whole context of other things that you should also do. If we want to make serious work of returning countries, we must also dare to take such measures for forced return.
ParlaMint-NL_2015-10-14-tweedekamer-5.u166	Does this mean an adaptation of Dutch practice or is this a translation of Dutch practice?
ParlaMint-NL_2015-10-14-tweedekamer-5.u167	The Dutch practice fits what it says.
ParlaMint-NL_2015-10-14-tweedekamer-5.u168	I asked a question about specific concerns that can play in the vicinity of shelters, such as in Amstelveen where the Central Jewish Consultation called. Is consultations also taking place with these organizations in such situations because of the very specific sensitivities that play in this case in Jewish circles?
ParlaMint-NL_2015-10-14-tweedekamer-5.u169	The primacy for that consultation lies with the local government. Of course, we are available, as are people from the COA, to explain what is happening and what we can do. The local government chooses its own forms of consultation. These may be public participation evenings, but also specific discussions with residents' groups, local residents or representatives of special institutions present in such a neighbourhood.
ParlaMint-NL_2015-10-14-tweedekamer-5.u170	I have suggested the use of used barracks: the Marne, Oirschot, The Hague. Apparently, this has happened recently, but not by default. These barracks are available, for example because the military are abroad. Can we do business with the Defense Department, because crisis shelters in sports halls are far from ideal?
ParlaMint-NL_2015-10-14-tweedekamer-5.u171	My knowledge of the use and ways of using defence sites has also increased over the last week. Defence has now become an indispensable partner for us to fix this. In addition to knowledge of areas that Defence had, it is often also about the supply and construction of equipment. We can do it quickly and well in the case of abandoned defence sites, because what is there is still in the view of the Defense Department. Using operationally in use Defence sites is more difficult. I do have contact with my colleague, Mr Hennis, because she is basically concerned about this. She'll cooperate where she can. Yet I also sometimes think: that should be possible there?! I understand why this is difficult with things that are stored or with complexes that are difficult to separate. To put an end to dragging people from sports hall to sports hall, we have agreed with the provinces to see if we can make large-scale shelter possible per province. The possibilities include former defence sites.
ParlaMint-NL_2015-10-14-tweedekamer-5.u172	I would, otherwise but by a statement from the Chamber, encourage the Defense Department to use operational barracks as much as possible as we can. We understand the restrictions more generously. After all, some are equipped with beds, kitchens, surveillance and everything, while this does not apply to sports halls. The Secretary of State only needs to see that as support. If this is gonna be a real problem, I'd like to hear from the D.O.D. exactly where it's gonna be. I appreciate the Secretary of State who says about the minister she's cooperating, but I'm also getting signals that it's very formalistic. Maybe we can help the Secretary of State, who only has to smile, with a speech in the Chamber.
ParlaMint-NL_2015-10-14-tweedekamer-5.u173	That would be an element in the further discussions. I think I've answered all the questions with this.
ParlaMint-NL_2015-10-14-tweedekamer-5.u174	Mr. Chairman. We have gone into the debate on the causes of the current problem in Syria, the humanitarian crisis there and the situation in the camps surrounding it, and the question of how we can manage it. We must also consider how things are going with those who have been found to be a war fugitive and who are, in any case, allowed to stay here temporarily. Questions and motions have been tabled by the Chamber on this matter. I think this is an extremely important part. It has been said that from day one you should actually start integrating the people about who it is. The cabinet agrees. On day 1 after it has been established that someone is a war fugitive, we have to achieve three things: to learn the language, to make sure that the standards and values of Dutch society are known and innerized, and to ensure that people are oriented towards the labour market. This requires a number of things, which we also have in the normal infrastructure, but which now require additional measures because of the number of people coming here.
ParlaMint-NL_2015-10-14-tweedekamer-5.u175	It is fascinating to hear how different the approach of the Minister for Social Affairs and Employment is. He focuses on integration and stays here. But that third also includes a fourth, namely the announcement that when it is safe again in the country of origin, we must return.
ParlaMint-NL_2015-10-14-tweedekamer-5.u176	Sure. I told you, people who have been established to be war fugitives can stay here temporarily. Temporarily means you'll go back when it's safe. It also means that you should not put people in a corner with the announcement: wait until it is peace in Syria. On the contrary, you make people learn the language and gain knowledge of Dutch society. Those are the values and standards that make this such a fantastic country. Furthermore, wherever possible, you allow people to contribute to society by allowing them to use their talents for the benefit of society.
ParlaMint-NL_2015-10-14-tweedekamer-5.u177	I share the need for people to use their talents. I realize that the Minister is working on this, but I keep saying that it is important for the whole picture that we keep in mind that we are catching war refugees. That is our moral duty. The downside of that is that people have to realize they're going back when it's safe again. We have all just heard how little that happens, but we also know how necessary it is, because other people can come later. I therefore urge the Minister, who comes here actively, to make it clear that it is a temporary stay because of war, that this stay can end and that we must therefore also focus on return.
ParlaMint-NL_2015-10-14-tweedekamer-5.u178	There is really no difference of opinion between the cabinet and Mr Buma. I very much agree with him. That is why I started with a sketch of how the debate went on. What's going on out there? What is going on in Syria and Iraq, which means that hundreds of thousands of people are fleeing at the same time, moving? Which means that for the Netherlands as part of Europe and for our task of taking on people in a decent way. What are you doing with people who have been established to be allowed to stay here temporarily? It means you explain what their right is. This is indeed a matter of the right to temporary residence. In view of everything that is happening in Syria, you must also bear in mind that this will take longer than just a moment. In the meantime, as a society, you have an interest in children going to school, standing on their own feet as much as possible and contributing to society, learning the language and getting to know the norms and values of Dutch society.
ParlaMint-NL_2015-10-14-tweedekamer-5.u179	In general, I agree with that. In fact, I'd like to encourage it. My problem with the cabinet is that distinction, namely that we wait until it is done. That wait only lasts longer; months pass. Learning the language from day one has so much effect. 1. You've got a sense of spending, because you're gonna do something during the day instead of hanging out in the gym. 2. If you enter the village or the city, you can make yourself understandable. Sometimes you have to do it with "good morning" and "good afternoon," but you can at least show that you are interested in the community you receive. 3. It has been shown that people who are allowed to stay here in the future are therefore two to three times more likely to enter the labour market. It's in everyone's interest to just start on day one. On day one you may still have to work with volunteers, but at some point those language lessons should be given by professionals. Is the government going to facilitate that?
ParlaMint-NL_2015-10-14-tweedekamer-5.u180	That's a fair question. You have to distinguish between two phases. You have the phase from the moment it's been established that someone is a war fugitive and so he can stay here temporarily. There is a lot of profit to be made by tackling a number of things faster and better. There has been talk of the importance of quickly looking at what competences people have and what diplomas there are. I made agreements with refugee organisations, employers and the COA on Monday to do the screening required for this quickly and properly. What are diplomas worth? What does someone need to get a place in the labour market? The second is the language. I fully agree with Mr Pechtold: the sooner you start acquiring the language, the greater your chances of finding affordable work. The third is the standards and values. For all three of these things, you sometimes have the opportunity to take steps at the same time. I agree with what Secretary of State Dijkhoff said about this. I want to work on that with him, too. He was talking about two-track policy. Why is that important? That is important, because we should not invest or invest in the Albanian and Kosovar who we have decided with each other that it does not belong here. He should not therefore feel that he should be allowed to stay here. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, What you do want is for people who will later be determined to be war refugees to start as soon as possible. You will indeed come to another level: it will have to be more with volunteers and it will not be the formal integration. However, I am prepared to examine with the Secretary of State how, without limiting the effective functioning of the asylum system, we can use the dual-track approach and therefore help people who are likely to be allowed to stay here temporarily to integrate.
ParlaMint-NL_2015-10-14-tweedekamer-5.u181	I would prefer to leave the two tracks next to each other as much as possible, if not over each other, because 80% is allowed to stay. If you form a class of twenty people who already take some language lessons, there is possibly a handful that does not come through the procedure. Of them I would say: at least at that time these people have been making sense, and we haven't had them wandering the streets, just to look at it from a different perspective. I would therefore like the Minister to let us know in the short term how the policy is getting hands and feet. My problem is that the numbers have been adjusted downwards and so have the budgets. In addition, from Rutte I, everything for integration has been cut down, language and whatever. I do not want to end up in a situation where we have to wait months with the UNG and with the cities to know who will pay the bill, while the account will be much higher in the future, in months and years, because of assistance and so on. Now, I would say, to speed things up and, if necessary, learn 'good morning' from Albanian, just to sum it up. Don't wait too long!
ParlaMint-NL_2015-10-14-tweedekamer-5.u182	I very much agree with that. It is indeed a matter of speeding up. In this respect, we still have a world to gain from the people who have been granted a status. So let me start there, but let me say that I will come back to that other point: can we do more in the preliminary phase, through the two tracks? For that, I will develop policy together with the Secretary of State. We also have a responsibility to each other not to limit the effectiveness of asylum policy on the basis of the need to get people on the road. I very much agree with Mr Pechtold that we can make huge profits at the next stage. Of course, the municipalities tell us that they have a limited budget for social support. The Cabinet recognizes that, too. We did not agree that all accounts should be paid, but that we should consider in a joint process what is necessary to properly shape reception, education, language and integration. So the question is not what the wish list is, but what is needed, from the adadium "just and sober." Nor will we let that drag. As the Prime Minister pointed out, we are going to process the new estimates and provide the finance for the Year's Note. Then we will also agree with the municipalities on what is needed to shape integration. I see that I have not annoyed Mr Pechtold, but have cheered him up. Maybe that's good for the variety.
ParlaMint-NL_2015-10-14-tweedekamer-5.u183	Will you also send a letter to the Chamber about how you're going to do this?
ParlaMint-NL_2015-10-14-tweedekamer-5.u184	I think it is almost inevitable that we should inform the Chamber about this, and we will do so in writing. I come to the subject of work. When are refugees allowed to work? Refugees are allowed to work before the procedure ends. There are rules for that, and I think those rules are sensible. As long as it is not yet certain that people are allowed to stay, it is logical that they should be allowed to work, but that they should also be restricted. There is, however, talk about it. In the D66 action plan, which I of course spelled this weekend, I saw that the limitation would go off. That seems to me to be a little too big a step in the debate on whether or not to act on the subject of repression. Let us ensure that people who have a status and who therefore need to be treated equally with others, and should not be disadvantaged or advanced, get access to the labour market by showing what they can and what their diplomas are worth, so that they can contribute to society. Let us continue to exercise some restraint for the group that sits before it. Those people do not have the same status as those who have been found to be refugees.
ParlaMint-NL_2015-10-14-tweedekamer-5.u185	Fine. But before we feel that we are in agreement, it is not yet working out as ideal. If we agree on this, at least I have not only physically a minister in front of me, but also a minister in addition to me in terms of intent, namely a minister who says: there are so many more opportunities. If you do nothing in the first few years, learn no language and do not work, the benefit is then permanent. In that respect, there are really terrible numbers. For example, in the case of people from India, unemployment rates are very different from those of Somalis, who have had nothing all these years. So the Minister says, "Yes, I'm gonna improve that?" This means, therefore, that the diplomas must be validated quickly. Syria had a fantastic education system; the number of illiterates was twice as high as in the Netherlands, so very low. Will the Minister also come forward with concrete proposals on this issue which will speed up the possibilities in the fields of labour market, language and diplomas?
ParlaMint-NL_2015-10-14-tweedekamer-5.u186	Absolutely. In the conversation Monday night, it was about how to better shape the screening, how to get the language faster, how to involve volunteers and how to better shape the set of values. Refugee organisations The Netherlands (VON) has offered assistance. This is important. The tendency to generalize is very large, but refugees are not all highly educated ICTs or illiterate testosterone bombs. Among the people who come here are bad people and good ones. It is the art to harness the talent, ambition and energy that many refugees have and to ensure that they use it for the benefit of Dutch society. That means it's not all the same. It means you have to get a good look at what people can do and then give them space. You shouldn't favor them, but give them the space to go to work and provide their own livelihood. In the past, many refugees have proven this. Then you are also off the discussion about the level of provision in the Netherlands; then tax is paid instead of received. If we shape this business and communicate clearly and clearly that when it gets better and is safe, people go back, I am convinced that people can do a lot more than we have seen in the past. I'm sure if you go back to your country, it's better if you've worked here in one, two, three, four or five years, you've developed, you've used your talents than you haven't. The cabinet is therefore very motivated to get more out of it. And yes, we will come up with concrete proposals. Not only do we think of them, but we do so together with the relevant organisations, with the employers and employees in the Netherlands and with refugee organisations. Mr. Chairman. I think I have answered the questions because of the interruptions.
ParlaMint-NL_2015-10-14-tweedekamer-5.u187	I have a small question for this minister. If many status holders end up in temporary homes from the asylum seekers' centres, we run the risk of a lot of people from Syria sitting together in one building in one neighborhood. That increases the risk of ghetto formation. That doesn't make integration any easier. How does this minister, who has integration in his portfolio, deal with this?
ParlaMint-NL_2015-10-14-tweedekamer-5.u188	If you look at the situation in the Netherlands in practical terms, you will see that we do not have the choice at all to wait until enough rentals are available in the different neighbourhoods. We're gonna have to make sure we have proper care. At the moment when people come from the asylum centres, they are making considerable progress. If we actually shape that into sober facilities, it offers people the opportunity to become part of society. If you find a job, then nothing stands in your way to rent a house elsewhere, to move on. I think we need to be very clear. The moment you live here, Dutch standards and values apply. Then you also have the obligation to do your best, to learn about those values and to integrate them. It's not ideal. It is also not ideal if you come together to live in a temporary home, an office building or a container. But you're safe and you're in one of the most amazing countries in the world. So there's every chance to make something out of that.
ParlaMint-NL_2015-10-14-tweedekamer-5.u189	That's all true. But we also know history and know that if there are a lot of people of the same origin in neighborhoods, that integration does not, to say the least, promote integration. We are now at a point where we can better organise it. I had hoped that there would be a minister in front of me who would understand that and who would proactively do something about it. The Prime Minister wasn't getting to admit more affordable homes, so that everyone benefits and we get real flow. If the cabinet doesn't want that, doesn't this minister have to think of something else?
ParlaMint-NL_2015-10-14-tweedekamer-5.u190	It's en-and. We have an obligation to ensure that people find decent accommodation. In the time we're living now, it'll be sober. That is also perfectly understandable; it will be understood. Of course it's sober and you have to live together if you don't have a job yet but you already have a status. That doesn't mean that all of this has to happen in one neighborhood. That doesn't mean that all people from the same country have to live in the same neighborhood. No, we'll still make agreements with municipalities about the place where people are housed. The beauty of both the municipal self-care arrangement and the intermediate homes, the semi-permanent homes that Minister Blok is working on, is that they do not have to be large-scale all in one place. You can take advantage of the locations that are now there, of office buildings that are now there and of empty spaces in the city to put those containers down. There is plenty of room to do that with the municipalities, in consultation with the corporations. The corporations also have a good view on how to build mixed buildings and how to ensure that groups of people can blend into their environment. So the objective is there. My speech was aimed at discussing with Mr Roemer that everyone will have to understand. That is a choice that you now have to make. In this kind of unusual circumstances you first opt for sober and then start looking at how people can integrate.
ParlaMint-NL_2015-10-14-tweedekamer-5.u191	If the Minister had talked about choosing temporary housing, I would have said: that is true, we should, above all, do so. However, we should not talk about the numbers that are being discussed. If you want real flow and really want multiple people together, you have to make sure that so much is being built, temporary and permanent, that people who are long on the waiting list can sit there. But then we will not be able to get there with the numbers I have heard today. Then I'm much more likely to poke for what the PvdA suggested last week, namely that you should talk about about about 100,000. Are this minister and the cabinet prepared to fight for us to go that way, so that we actually arrive at mixed neighbourhoods, permanent, semi-permanent, temporary or whatever you want to call it, and we can really work on integration? If that is the case, I would like to support it with a motion. Then we'll help each other out a little bit.
ParlaMint-NL_2015-10-14-tweedekamer-5.u192	Once again, it's about taking apart the different numbers. We have the agreement on the 10,000 people who should actually go to the municipalities as soon as possible from the existing asylum-seekers' centres. This is important because of the fact that some of the problems with emergency care are of course caused by the fact that people with status remain in the asylum-seekers' centres. That's what's gonna be 10,000 in six months. This is not the same as the ambition that we, together the corporations and the municipalities, have to develop for those semi-permanent homes. We don't have a number for that yet. If that becomes 100,000, it shows that municipalities, corporations and cabinet agree that that is the number. We are certainly very ambitious in that. As far as I am concerned, one of the good things about this measure is that these homes will not only be available for status holders, but also for people who are now waiting for a home. So they are not being replaced, but perhaps they are being given more scope as a result of these measures. We have a great ambition there. After the consultation between the corporations, Dijkhoff, Blok and municipalities has taken place, we can inform the Chamber about the concrete plans that emerged from this.
ParlaMint-NL_2015-10-14-tweedekamer-5.u193	I am glad that the Minister says that he wants to do a lot of work on integration and that he also consults on it. I hope, moreover, that we can expect the letter he is talking about before we deal with the Social Affairs and Employment budget, so that we can discuss it in detail. I have another question for the Minister. I was just talking about the importance of indicating what the aim of the policy is and what it is not. I look around and see what is happening in Europe, on different sides, and also how the debate in the Netherlands is forming. It looks like it's all for itself and every country is trying to become as unattractive as possible for refugees, giving you a race to the bottom. Will the Deputy Prime Minister state that, like me, he thinks that is undesirable and that we should avoid it? Does he also think that we should not get a race per country to the bottom, but should work together at European level to take people well?
ParlaMint-NL_2015-10-14-tweedekamer-5.u194	As far as the first is concerned, we're moving forward. We ensure that we quickly agree on the whole story of the people who are coming here: the question of how to select who is allowed to stay and who is not and how to shape the shelter, then housing and then integration. The agreement with the other governments is that we will incorporate it in the autumn note. This means that I can undertake to include the SZW Committee in what we have agreed on language, on standards and values and on the screening of competences. Then the second. The way in which the Netherlands does this, how we have always done it in our history and what we are working on here today, is aimed at taking responsibility as a country from the realization that the Netherlands cannot do it alone, but has to work with European countries to solve it. This must be done not only with the European countries, but also with the countries of destination: Germany, Sweden, Austria and Belgium. Those are the countries where a lot of people are going now. You won't have to have it from a race to the bottom between those countries. You're gonna have to talk about clarity, a quick review, and good information about the fact that people are here temporarily. Then you have to take care of the people who are temporarily here and make sure that you enable them to contribute to society. What always comes first for me is that you keep seeing people. If you see people, you can also judge them by their behavior. If that's bad behavior, you intervene, just like the Dutch. If that's good behavior, you give them a chance to contribute.
ParlaMint-NL_2015-10-14-tweedekamer-5.u195	I am very pleased with this answer. I also asked the Prime Minister this question. That's when I actually didn't get an answer. The answer I hear now is quite clear: we are not going to compete in a race to the bottom, and the goal can never be that policy has a deterrent effect on refugees. If I've understood correctly, I'm gonna sit down again and I'm really happy. This is the way in which the Netherlands has to face this problem.
ParlaMint-NL_2015-10-14-tweedekamer-5.u196	I found the "Where's Rutte?"-joke fun, but I just heard him say the same thing. We don't need a race to the bottom. The Netherlands is a decent country. It always has been, and it always will be. So I fully agree with what he said.
ParlaMint-NL_2015-10-14-tweedekamer-5.u197	This has put an end to the government's first term. I see there's a need for a short suspension. You can wash your hands and then we'll move on.
ParlaMint-NL_2015-10-14-tweedekamer-5.u198	The next item is the second term of office. I give the floor to Mr Klaver van GroenLinks.
ParlaMint-NL_2015-10-14-tweedekamer-5.u199	Mr. Chairman. I would like to thank the directors for answering all the questions. One ruler could do a little better than the other. I also noticed clearly a difference in tone. The Minister of Social Affairs corrected himself well. He protected the Prime Minister in that sense, as he should. I meant what I just said in the interruption: I found the words of the Minister for Social Affairs and Deputy Prime Minister much warmer and more convincing when it came to the position of the Netherlands. He said that we are not participating in a race to the bottom and that we are not ensuring that our policy for refugees is as terrifying as possible. We cannot accommodate everyone in the Netherlands. That's physically impossible. In Europe, however, we can handle a great deal when we work together. That is where the solution must lie if the pressure in the Netherlands is to become too great. I am also pleased with the ever wider discussion. When the whole discussion began about the problems that we now have with the reception of refugees, I was equally afraid that we would step into the mistakes of the 1990s, that integration would be forgotten and that we would focus on not letting people get used to the Netherlands too much and that many people would go back. However, I have heard today, including from the VVD, that I congratulate you on the fact that we must be realistic, that we must try to get people to learn and get to work as quickly as possible, and that we must ensure that people are able to take up education. Mr Pechtold will table a motion on this, which I have co-signed, because integration is one of the most important aspects. If we are to succeed in solving all the housing problems, we must ensure that we do not create the next problem in five or ten years' time. Integration is very important for that. Last Monday, the coalition concluded an agreement or a plan, which was no longer really a plan, but which led to all sorts of measures. On that basis, we have tried today to clarify what is going to happen. What's gonna happen to the welfare? Is that going down? Is there going to be a division in society? Do asylum seekers, refugees receive rights other than those of the Netherlands? I've heard sounds at times that make me think: my concern may be reduced, but it's not quite gone yet. It is important that we vote on this as a Chamber. I understand that we are now taking measures to accommodate people who are not ideal. I understand that we choose housing that we do not really want to choose, but everything is better than having to sleep on the street. However, I do not want us to create a division, because these people are part of our society. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the austerity of reception should not be used as an instrument to discourage refugees from coming to the Netherlands;]] [[calls on the Government not to create a distinction between the level of social security and health care provision of status holders and other citizens in the Netherlands,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Klaver, Mr Pechtold, Mr Roemer and Mr Slob. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1007]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u200	Mr. Chairman. There are 60 million people on the run worldwide. That's more than ever. So it is not surprising that people go all over the world to ensure that they are safe and that they are also coming towards Europe and the Netherlands. In many cases, these are vulnerable people. That's half the 60 million kid. It's a good thing we're talking about that. It is good that the European summit devotes a lot of time to this. It should be, but then it is also important, let me say to the Prime Minister that tomorrow all the possibilities for de-escalation policy will be discussed. There are no solutions without political solutions. Is the Prime Minister prepared to make that side really strong? I hope he will respond to that in the second term. In the region, a number of countries are catching up with a lot of people. Some places are reasonable, but many places are still far below the level. Something really needs to be done there. I am very happy that the Prime Minister, when he came back from America, also went to Woerden. He just remembered that. That's good. People want to see him there too, but it would also be good if the Prime Minister felt what it was like in such a refugee camp in the region. I'd like to urge him to see if he can make time to go there and find out what it is. We do, too. That's really good. I congratulate him for one thing and I'm going to go a little further and stimulate him to the other. 'Cause it's a good thing that when you talk about something, you know what you're talking about.
ParlaMint-NL_2015-10-14-tweedekamer-5.u201	But then I expect Mr Roemer not to complain that the Prime Minister is out of the country when he is out of the country.
ParlaMint-NL_2015-10-14-tweedekamer-5.u202	I didn't complain that he was out of the country. I said it was a good thing he was at the United Nations. Yes, Mr Zijlstra, you must say it correctly, but I can see from your smile that you are once again in agreement with me. I'm glad. Since this European summit tomorrow is of great importance to a number of regions, I have two motions for resolutions. The first is about the reception in the region. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Chamber and the Cabinet, as well as the European Councils, have repeatedly expressed their support for improving the reception of millions of refugees in conflict areas;]] [[noting that too few concrete things have been done to achieve this improvement;]] [[calls on the government, at the European summit, to act quickly to ensure that the desired improvements have become a reality before winter begins,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Roemer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1008]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u203	I have been really concerned about the situation in Turkey in the first place, even in the event of interruption. That's why I'm filing the next motion. The Prime Minister can take it to the European summit. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the violence in the south-east of Turkey has been seriously escalated since last summer;]] [[Notes that human rights organisations and media report gross human rights violations and high levels of civilian casualties due to this violence;]] [[calls on the Prime Minister, at EU level, to urge Turkey to engage in human rights violations in the south-east of the country and to resume internal peace talks with the PKK,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Roemer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1009]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u204	Many topics have been discussed in the Netherlands: integration, facilities and the prevention of second-class citizens. One of these subjects has been discussed in more detail, namely the lack of living space. This is a major problem, not only for status holders but also for many people who have been on a waiting list for years. It is good that extra construction is going to take place, it is good that extra temporary construction is taking place and it is good that there is consultation with the VNG, but something really needs to be done. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the waiting times for social rents continue to increase and that as a result more and more people are getting in trouble;]] [[considers that it is necessary to provide a sustainable solution for all those seeking accommodation;]] [[calls on the government, in consultation with the VNG and other interested parties, to achieve, as soon as possible, 100,000 additional temporary and affordable housing for the social target group,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Roemer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1010]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u205	Mr. Chairman. I thank the Cabinet for its reply. For me today, the central question was: why are we now in crisis relief and are people not registered? I believe that we, as Parliament, should be able to monitor this and ask questions about it and that clear answers should be given to it. The following question, of course, was: how are we going to ensure that there are concrete plans here? My irritation towards the Prime Minister was in the following. The letter from the cabinet has yet to be worked out and there is another study group. Then the coalition parties are complimented, but one says "we get 300,000, the population of a city like Utrecht" and the other says "we're going to build 100,000 homes." In short, we're getting beat up again with big numbers. That is something that should be asked for here in Parliament. What's it really worth? In order to ensure that we can strengthen a few things in this situation, I have a number of motions for resolutions. The first motion concerns the procedure of selection at the beginning. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is undesirable for people to occupy places in the asylum shelter for months if there is a good chance that they will not be eligible for asylum status;]] [[calls on the government to identify where people come from at the start of registration, for example through language analysis;]] [[calls on the Government to speed up the process of bringing people from countries with little or no chance of asylum and, in the event of rejection, to return quickly to the country of origin,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Pechtold. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1011]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u206	The other motions are to a large extent about giving opportunities to the people who do stay here. The next motion concerns language courses, which my group believes should be taken into account in emergency care. Mr Klaver had already announced his support for this motion. I was allowed to submit it on his behalf, but I am also presenting it on behalf of Mr Slob. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that asylum seekers are currently staying in emergency care for up to four months before they can submit their application for asylum;]] [[Whereas it is of great importance for the integration of the large groups of refugees reaching our country that language learning begins at an early stage;]] [[invites the Government, in consultation with the COA, to examine whether language courses can be offered in the emergency shelters in the short term and to inform the Chamber within three weeks,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Pechtold, Mr Klaver and Mr Slob. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1012]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u207	My next motion concerns the Dutch lesson for people with a status and in particular the financial aspects thereof. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, as soon as people are given refugee status, Dutch lessons should be provided immediately;]] [[Whereas the potential for a job with good knowledge of Dutch is three times greater;]] [[calls on the Government to provide practical and financial support to this end,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Pechtold. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1013]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u208	Sports halls are far from optimal. Operational barracks should, where possible, be available in this emergency situation, hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is a shortage of reception locations for asylum seekers;]] [[calls on the government, operational barracks such as De Marne, The Hague or Oirschot to make available for reception as soon as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Pechtold. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1014]]
