ParlaMint-NL_2015-04-28-eerstekamer-6.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2015-04-28-eerstekamer-6.u81	Thank you, gentlemen. I understood that Mr Thom de Graaf wanted to make a comment, but that does not seem to be the case. I understand that the Secretary of State is going to answer directly, but in that "direct" there is a time difference of ten to fifteen minutes.
ParlaMint-NL_2015-04-28-eerstekamer-6.u82	Mr. Chairman. I would like to thank Members for their first-term input. I would like to answer their questions in four blocks. If you will allow me, I would like to begin with an introduction to the AMvB as it now stands. Then I immediately move on to the second block, about the pièce de résistance of this debate, namely the question: is there going to be a legislative proposal or not? That is something that concerns many Members. And how does that relate to the AMvB that is now ahead? The third block deals with the growth of dairy farming. In the fourth block I answer a number of questions about the content of the AMvB. Today we are talking about the AMvB about land-based growth. The framework for this is, as many have already recalled, the Law on responsible growth of dairy farming, which will apply from 1 January. I thank the Chamber for its support. On the basis of the law that has now entered into force, dairy farmers must justify the extension of their production within environmental limits laid down in the Nitrates Directive. Those conditions shall consist of allowing an increase in manure production expressed as phosphate, provided that it can be used on the soil belonging to the holding or processed as a whole, or a combination of those two. In the view of the Nitrates Directive, this ensured that the growth in dairy farming is not unbridled but justified. However, this law has also been dealt with in this Chamber and has shown that there are broader ambitions for a sustainable future of dairy farming. I share that, by the way. These ambitions are about land-boundness, grazing and animal welfare. Groundboundness is not a condition of the Nitrates Directive, but a social condition. Land-based dairy farmers can provide their own fodder to a significant extent, in the case of a farm plot of sufficient size, also have opportunities to feed their livestock, and of course also have outlets for the manure. It is my ambition, and indeed that of the sector, that dairy farming should retain and strengthen the land-based nature for the future. That is why completely groundless growth in dairy farming is an undesirable development, which is also emphasised in this debate today. For this reason, the AMvB also ensures that the expansion of dairy farming takes place at least partially ground-bound. The implementation of the AMvB was, of course, the subject of consultation with the representatives of the sector. One has to think about LTO Nederland, the NZO, the NajK and the NMV. We have also spoken with civil society organisations, namely Nature & Environment and Environmental Defense. It has just been recalled by Mr Schaap: at least the sector organisations and Nature & Environment have also sent this Chamber a letter in which they insist on the entry into force of the present AMvB. But that's not the end of the job. It was agreed that, firstly, discussions should be held on the development of the AMM in the context of the preparation of implementation, but, secondly, also on strengthening the formation of regional loops. Thirdly, we discussed how we can further stimulate the grazing. I shall return to all three points in a moment. How do we maintain and strengthen the ground-based growth with the present AMvB? Dairy farms which expand and therefore produce more phosphate must demonstrate that they have sufficient soil to use part of the additional phosphate within the holding. In order to determine how much land they really need, I make a distinction between more extensive and more intensive companies. The most intensive companies must have the most ground on equal enlargement. To fill that in, a staffed system is introduced, distinguishing between three categories based on the phosphate surplus per hectare. Holdings with a small surplus, i.e. less than 20 kilos of phosphate per hectare, are so extensive that they do not have to have additional land if phosphate production is increased. There were a lot of images about Dutch dairy farming here, but 75% of Dutch dairy farms fall into this category. So these are the extensive companies. Large holdings with a surplus of more than 50 kilos of phosphate per hectare should have sufficient land to allow 50% of the additional phosphate production to be placed within the holding. The intermediate category of holdings with a surplus of between 20 and 50 kilograms of phosphate per hectare should be able to place 25% of the additional phosphate on the farm by extension. I come now to the block on how does the AMvB relate to the request made earlier in this Chamber for a legislative proposal? Mr De Lange said: we had to deal with legislative proposals every time with steam and boiling water. Maybe I could say something about that. The law introducing the manure processing obligation was submitted to the Lower House on 2 July 2012. The House of Representatives accepted this law on 1 October 2013, i.e. more than a year later. It is true that the First Chamber was then very quick, for which thanks. On 17 December 2013, almost three months later, the First Chamber accepted that law. The submission to the House of Representatives on 30 June 2014 was of the Responsible Growth of Dairy Farming Act. The acceptance by the House of Representatives was on 25 November 2014. So that was almost five months later. And indeed, the First Chamber was again very fast, namely within a month, on December 16, 2014. Thank you very much again for that. I understand that the First Chamber says that it has always accepted a law very quickly, but the route preceding it has often taken much longer. That's not a reproach; it's just an explanation of how it went. It is, however, relevant to the question now before us with regard to the motion for a resolution.
ParlaMint-NL_2015-04-28-eerstekamer-6.u83	What happens in the House of Representatives is a matter for the House of Representatives. That's not up to us. We have no influence on that. I have argued that we as the First Chamber have been asked to deal with this bill in a raging hurry. For this reason, we had doubts about that at the time. Nevertheless, we have gone along with the government's wish. My big problem with the whole process is that I do not see that the government has since shown the same haste, speed and urgency to come up with legislation on this issue. I have made this very clear. That's the big problem. One party is in a hurry, but the other party, who is in a hurry, does not respond with the same urgency. I am particularly concerned about that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u84	I'd like to take that image away anyway. In December of last year, the Chamber asked me to come with an AMvB. Mr De Lange has a point to make when he says that the AMvB should be there before 1 March. That didn't work; I admit that. However, it was not easy to achieve an AMvB that not only does what it has to do in terms of content, but can also be more widely accepted, not only politically but also in the various civil society organisations. I did my best to do that, so it became possible in the end that we both Chambers made a proposal on 29 March. I would now like to respond to the motion for a resolution and to the various Members who have asked for it. I would like to explain how I would like to deal with this and what my considerations have been in replying to the questions that have been asked so far, but I have not yet got to that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u85	Following on from Mr De Lange's question, I must say that the Secretary of State made a promise at the interplay on 17 March to do her best to have the AMvB in the Chamber on 1 March. However, no consultations had been held with parties in the sector on 17 March. Then the question is justified why, contrary to the haste with which the bill had to be dealt with here, months have been needed in which there has still been no consultation with the sector. I thought those months could have been used for that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u86	But in the end, the result also counts. Twelve days later, the Chamber received a proposal from me. I have to say that this has been more widely supported than Mr Koffeman might have thought. Not only the sector organisations have sent the letters to the Chamber, but also the Foundation Nature & Environment. Mr Koffeman is right that Milieudefensie, who asked CLM to conduct research, is in a different position. This has already been done from the outset. This proposal has never been supported, but that is because it really has a completely different view of the future of dairy farming. This is not about responsible growth, but more about shrinking. Moreover, that is an ideal image that fits in with the political proposal that Mr Koffeman would like to make.
ParlaMint-NL_2015-04-28-eerstekamer-6.u87	Absolutely, but that's not an answer to my question. On 17 March the Secretary of State had not yet had any consultation with the sector organisations. A few days later there will be an AMvB. So it seems to be possible in a few days. My question was: why did the Secretary of State have to take months of preparation before consulting with these sectors? Couldn't that have just happened in January?
ParlaMint-NL_2015-04-28-eerstekamer-6.u88	No, because I do not think it would have been possible to come up with a proposal that is so widely supported.
ParlaMint-NL_2015-04-28-eerstekamer-6.u89	Can the Secretary of State indicate what has happened in the months in which no consultation with the sectors has taken place and which apparently needed to mature the proposal in order to achieve broad acceptance?
ParlaMint-NL_2015-04-28-eerstekamer-6.u90	I can't. Of course, I used these months to do so, not only to come up with a good proposal in terms of content, but also to explore the consequences of such a proposal. I think everyone understands that what is now before us is very far-reaching. Mr Terpstra said it most clearly: there are still many opportunities for dairy farming, including on the world market. However, we all understand that there are limits to growth. It can't be unbridled. So you will have to come up with a proposal that is ultimately proportionate and can count on social and political support. That has not been an easy task on a file that has so many different interests in it. However, I am pleased that it has finally been possible to come to the Chamber with this proposal.
ParlaMint-NL_2015-04-28-eerstekamer-6.u91	Really last time, Mr. Koffeman.
ParlaMint-NL_2015-04-28-eerstekamer-6.u92	Can I conclude from the State Secretary's reply that, because of the political support that had to be created, consultation with the coalition partner in particular took more time than consultation with the sector?
ParlaMint-NL_2015-04-28-eerstekamer-6.u93	I am not making any statements about that. I note that there is a proposal in the Chamber that can count on broad support. Moreover, even after today, I have been able to see that the proposal in the House of Representatives has received a great deal of support. I hope and expect that this will also be the case in the First Chamber. Some Members have said that they would like the AMvB to be converted into a one-on-one bill. I think it is important to make it clear immediately: if a part of the Chamber wants to do so, the 'otherwise we encounter the AMvB' hangs a bit above 'I do not want to be the one looking for confrontation at that point. I think it's important to say that. In the end, it is my concern that the sector should be guaranteed quickly. If the Chamber says that there must be a legislative proposal, as laid down in Mr Reuten's motion, I will do so. Period. I don't want to have a discussion with the Chamber about that. However, I will be sharing my thoughts and the points on which we will devote our energy with Members in a moment. I would like to clarify two points. The motion called for a one-to-one transposition of the AMvB into a law. However, several Members present suggest that I should come up with something else. I won't. I cannot come up with a proposal other than the outcome of the political debate in the Second and First Chambers. That would also be crazy, because why would I come up with a different bill than the AMvB that I hope will be accepted in both Chambers? Unfortunately, I must reject the idea that this could lead to a new and even richer discussion of the substance. So if I come up with a bill, that's a copy of what the Chamber accepts today. That's the first thing. Secondly, there is a lot of discussion about the deadline. I think it is good to note that I cannot promise 100% that this bill was accepted on 1 January. If the Chamber adopts the AMvB, it is not necessarily necessary. The AMvB does its job until the law enters into force. I have, of course, looked very clearly at what I have to do if I were to come to work on a legislative proposal. First of all, I need to know what the outcome of the debates in the Second and First Chambers is in order to get that one-on-one transfer into a legislative proposal. That is what has been asked: convert the outcome of the AMvB one-on-one into a legislative proposal. So we have to establish that first. Next, such a bill must be passed by the Council of Ministers. Then it has to go to the Council of State for advice. That is also going to happen with the AMvB. Afterwards, the Lower House deals with it and then the Upper House. A new phenomenon has been added. That makes it different from last year's dairy law, for example. We are now dealing with the Advisory referendum Act. It ensures that in principle there is also an eight-week deadline for entry into force. Mrs Vos said that, in principle, Article 12 of the Advisory referendum Act allows a law to enter into force before a referendum could be held. However, this can only be done if the proposal cannot be postponed. But if the AMvB does its job, I don't think I could successfully invoke Article 12. So that's a new complication. Until recently, we have not foreseen this either, I say honestly. This means that additional weeks must indeed be taken into account in connection with the entry into force of the law.
ParlaMint-NL_2015-04-28-eerstekamer-6.u94	I understand that the Secretary of State says: if you keep the AMvB whole, there is no urgent need for legislation and I cannot use Article 12. As a result, in the event of a breach, the Secretary of State would have the need for early legislation, which would be able to use Article 12.
ParlaMint-NL_2015-04-28-eerstekamer-6.u95	Yeah, but I don't want it to come to that. I would like to ask the Chamber urgently and urgently not to do that either. If the bill is not completed in time, we risk missing 2016. I can't offer guarantees because I'm too dependent on others in the process before I even get to the First Chamber. I'm gonna have to go through the whole legal process. I can't decide to what extent the Lower House wants to do its job. Do we want to table amendments? Would you perhaps like an extra round of letters? That's not up to me. Then the First Chamber runs the risk of missing the calendar year 2016 and then the Chamber ends empty-handed. Mr Terpstra has asked me who has an interest in this. Only those who do not consider land-based growth relevant. Mr Koffeman knows that too.
ParlaMint-NL_2015-04-28-eerstekamer-6.u96	We've all had state institutions in high school, so we all know how that procedure goes. It has to go to the House of Representatives first and then it does come here. I think we don't have to waste too much time with that. If the Secretary of State and the Cabinet consider that urgent action should be taken on the responsible land-based growth of dairy farming, then the Cabinet should have the opportunity to do so. In that case, I do not think it is appropriate to use the most elementary system of state. It is particularly important for the Secretary of State to state what she is willing to do and to what extent she estimates that she may or may not be able to invoke Article 12. That's what my question was about. Even if the Secretary of State says: assuming that I am making no more than a copy of the AMvB, I cannot do more, then it is true that the question is whether making a copy should take such a terrible amount of time and whether the Secretary of State, following the undertaking given to Mr Reuten if the majority of the Chamber wants the regulation to be enriched, should not say: who am I to not do so? Does the Secretary of State still comply with this undertaking, or does it now want to waive it and say that more than one copy is not in it?
ParlaMint-NL_2015-04-28-eerstekamer-6.u97	It is precisely because I want to keep that promise that I will also have to wait for the end of this debate. I did see some frowning glances when I said that before I make a bill, I will first need to know what your Chamber said about it, just because I take it very seriously. That means I couldn't start until after today. Indeed, you do not need a state law lesson to know that the deadlines are very tight, if not almost impossible. Mr Reuten's motion states that the AMvB, and no more than that, has been asked to be converted into legislation. It didn't say: put in all kinds of other things. I also spoke in the House of Representatives about the implementation of Mr Reuten's motion. I admit that I will carry out that motion, but that means that I will table a bill that translates the AMvB's standards one-on-one. So I cannot commit myself to a term; I have just explained why. I will, of course, make every effort to get that bill to your Chamber quickly. There's no misunderstanding about that, but that's something other than a hard promise. I haven't been able to meet the promise of March 1st, except for a few days. That, of course, has given me some discussion again today, so I have become cautious in this too, as you know.
ParlaMint-NL_2015-04-28-eerstekamer-6.u98	The discussion AMvB or law was a purely constitutional discussion, not a substantive one. We then discussed whether you could include the definition of land and all the relevant accents separately from the law in the AMvB, or whether it should be in the law. The motion for a resolution on this subject has been unanimously accepted, which states that it belongs in the law. The Secretary of State undertakes to try to meet this AMvB one-on-one. It must also be done by the Lower House and by the Council of State's advice; this whole spectacle is part of it. That is a commitment at the level of state law. I fully understand that the Secretary of State will say that she is not going to add all kinds of band, because that is why the motion did not ask at all. So we're being served neatly in what we've asked for. I'm very satisfied.
ParlaMint-NL_2015-04-28-eerstekamer-6.u99	As a second signatory to the motion, I recall that it states that the essence of the General Measure of Governance and the significance of the fundamentality must be incorporated into the law. I'm just saying that because that's different from just the text of the AMvB. The Secretary of State doesn't even have to take over the entire AMvB. When it comes to speed, of course, I realize that the Secretary of State still has to go to the Council of State with this AMvB, but if she intends to include the AMvB in the law without any substantive changes, I expect that will happen the second time, i.e. when she has to ask for advice on the law, go very quickly. When I look at how urgent legislative proposals are generally dealt with here in both chambers, it should be possible to deal with a legislative proposal here in October. Then the Secretary of State will have those eight weeks before the referendum. So I am not asking for a guarantee from the Secretary of State, but I think that we all, the Secretary of State on behalf of the Government and we as Chamber, make a reasonable assessment that if we all do our best, the Secretary of State will, of course, be able to have the law in the Official Journal before 1 January.
ParlaMint-NL_2015-04-28-eerstekamer-6.u100	Again, it will not be a question of whether I am doing my best but also whether other players in this process are all willing to cooperate fully. This means, first of all, that, regardless of how quickly the Council of State can advise, it may be that this is happening quickly, but I am not sure that, for example, the treatment in the Lower House will in any case have to cost considerably less time than the law we have asked for here. Once again, that is not in my hand in advance, as Mr De Graaf well knows.
ParlaMint-NL_2015-04-28-eerstekamer-6.u101	I know that, but the House of Representatives has agreed by majority with the main line of this AMvB you have also discussed the Motion-Reuten with the House of Representatives before and if we agree here with the General Measure of Management, then we can assume that a bill that once again formally regulates this will have no objection in both Chambers?
ParlaMint-NL_2015-04-28-eerstekamer-6.u102	That's a comment, not a question. I'll have to wait and see.
ParlaMint-NL_2015-04-28-eerstekamer-6.u103	I have two points. Firstly, I would like to thank the Secretary of State for her commitment. It is an effort obligation. I think the Secretary of State has indicated that she will make an effort. The AMvB and the explanatory notes are there. I think the Ministry can braid that into the law within three weeks. I could almost do that myself. Then the Council of State wouldn't want to take three months for that, would it? So I think that should be in the Lower House before the summer recess. If the Secretary of State tries to do so, she has complied with that commitment.
ParlaMint-NL_2015-04-28-eerstekamer-6.u104	Once again, I sincerely try to accommodate you in all reasonableness now in the execution of your motion. That motion didn't set a deadline for my knowledge. That's new; that's what you're bringing in today.
ParlaMint-NL_2015-04-28-eerstekamer-6.u105	It said "at the same time." You are right that, strictly speaking, there was no time limit.
ParlaMint-NL_2015-04-28-eerstekamer-6.u106	If we're gonna do text exegesis, I'm gonna join you. So that means I have to translate the text of the AMvB and the law. That means I have to go through the Council of Ministers and then to the Council of State. Even in the event of an urgent request for advice, I do not expect it to start there that such a proposal for the summer is already in your Chamber. I'm not saying this out of unwillingness, but just to tell you how these things are going. So that means you're asking me for an effort. I have said that I am carrying out the motion as you have tabled. There was no time limit in that, so I will. You're saying today that you're actually looking for a deadline. Then let's see how far we get. But fortunately it is not necessary at the time the AMvB enters into force either. After all, the AMvB does his job. So if it succeeds, that's good; then it happens at one stroke, hopefully quickly, and then the House of Representatives must also cooperate. Otherwise, because it is a system that monitors calendar years, in the meantime we have the AMvB that does its job. However, I would like to make it quite clear here that there will be a whole new AMvB, with a completely different proposal from what is now coming out of the democratic process.
ParlaMint-NL_2015-04-28-eerstekamer-6.u107	Fine. I have every confidence that the Secretary of State and its officials will continue to do so as a matter of urgency. My second point is that the Secretary of State also promised on 17 December that if a majority of the Chamber wanted to amend the AMvB, it would do so. It could be that a percentage is being changed today. That doesn't affect the speed with which the process can be continued, I suppose.
ParlaMint-NL_2015-04-28-eerstekamer-6.u108	Well, that would be a complicating factor. Then we have to work on that again. Well, that doesn't change the speed with which I was supposed to come up with it. I hope, moreover, that the House will be able to discuss the matter in this way, and I hope that it will be able to convince the House that it should not want to amend the proposal as presented to it by the cabinet. However, it is up to the Chamber. That's what we've been saying. I am going to do my best to explain why I believe that the proposal as it stands today, which is also widely supported by society, is simply a sensible proposal.
ParlaMint-NL_2015-04-28-eerstekamer-6.u109	I would like to join with previous speakers, including Mr De Graaf. He outlined that the Secretary of State already has a number of advantages. She has an AMvB, which can be converted into a bill. She says she does that one-on-one. That shouldn't be so hard. The Council of State can also look at it quickly, I think. I am honestly counting on us and on the House of Representatives to be prepared to deal with this proposal as a matter of urgency. We too, of course, have been prepared and engaged in this debate for a long time. My question to the Secretary of State is whether she is at least prepared to do everything she can to ensure that the process goes as quickly as possible. I am very keen that she should at least give that commitment to the Chamber. Is she also prepared to request that urgent procedure from the Council of State, so that, I hope, a bill can be submitted to the House of Representatives before the summer?
ParlaMint-NL_2015-04-28-eerstekamer-6.u110	I want to make my bet, of course. That's not what the discussion is about. The discussion is about the follow-up question, namely what commitment the other partners, players, intend to make in the whole dossier. That's where it gets harder for me to send. That's what I wanted to report. That's why I can't commit to a term. It is more complicated because of this new legislation on the consultative referendum. That's not because I want to. It is a fact and we simply have to take that into account. That's what I want to put down here. I do not want to have a discussion with the Chamber later in which she says that I had promised that it had to be sister or something and that it would happen before date x and then I have to come back and say that it did not succeed. That's why I'm trying very clearly to keep the expectations management down a little bit. However, that is not about my commitment. That's my assessment of the bears that are still on the way in the process.
ParlaMint-NL_2015-04-28-eerstekamer-6.u111	May I note, however, that the Secretary of State promises the Chamber that it will do its utmost to bring this bill into force as soon as possible, preferably before 1 January? I would add that I understand that the Secretary of State cannot break iron with his hands. No one has been held to the impossible. If she says that she has done her best, but that it has failed for certain reasons, then my group will certainly not make a point of doing so. We would like to hear the Secretary of State's promise that she will do her utmost.
ParlaMint-NL_2015-04-28-eerstekamer-6.u112	I have just said that to Mr Reuten. If Mrs Vos wants to hear it again, I will say it again: it will not be my effort.
ParlaMint-NL_2015-04-28-eerstekamer-6.u113	However, I would like to say a few words about the bear on the road called a consultative referendum. It's always being screened. It is said that if it is not sufficiently clear that there is urgency, it may be that it slows down and throws soot in the food for quick finishing. Then let's look at that problem from a different angle. Is it then possible, by stopping the AMvB today in the First Chamber, to bring that urgency to the situation? Does that mean the Secretary of State is able to finish it faster? If that is the case, I think that could be the preferred way.
ParlaMint-NL_2015-04-28-eerstekamer-6.u114	If the Chamber were to do that, I would find it a blow in the face, including for the sector. This means that the clarity that we are now waiting for is withheld from the sector. You don't have to. I think we're trying to meet each other as much as we can right now. The Chamber has asked me to turn the AMvB into legislation. I said I'm gonna do that. I'm doing my best. Then I'm counting on her not to bump. If it does, it's gonna be really hard. Then what are we doing with each other? I come to the third block, the growth of dairy farming. Mr Terpstra has asked a number of times whether I can just say yes. I think I'm just gonna do that three times. Let's give it a try. Mr Terpstra asked me whether I share the view that global growth in the demand for dairy products is present and that Europe can contribute to this, especially the real agricultural countries, I would say the dairy farming countries, such as the Netherlands and Ireland. The law, says Mr Terpstra, regulates responsible growth, but not ground-boundness. He asked if it was true that it was taken care of by the AMvB. Yeah, that's right. With that law, we are doing what is necessary to comply with the Nitrates Directive and what the European Commission is asking of the Netherlands, namely to grow within the environmental objectives of the derogation decision. In this context, the manure processing obligation and the measures of the Fifth Programme of Action of the Nitrates Directive have also been taken. What lies ahead now is actually the social desire, widely borne, to allow that growth to be partly ground-bound. Mrs Vos has made some reflections on this. She asked whether we should not focus on sustainable production rather than on more, more, more production. Sustainable production is, of course, actually regulated by law. This is because it fulfils growth within the environmental boundary conditions. So it's not like that. I'll come back to the phosphate ceiling in a few minutes that that growth is unbridled, not even because of the phosphate ceiling. There is therefore also a hard limit to growth for environmental reasons. Yes, I say to Mr Terpstra, if the AMvB does not go ahead now, so it would be interrupted, that actually means that although the AMvB is no longer in force, the law is still there. That's a good thing. While this will continue to meet the conditions laid down by Brussels in relation to the Nitrates Directive and the derogation, the socially eager ground-based growth is, of course, off the table. Then you have nothing at that point.
ParlaMint-NL_2015-04-28-eerstekamer-6.u115	I would like to make a brief comment. The Secretary of State explains my request for sustainable production if we meet the environmental limits. I mean, that's wider. I am referring specifically to the transport of feed from the vicinity, to the disposal of manure in the vicinity, to a closed cycle and to animal welfare and animal welfare in the pasture. I really am referring to a broader concept than just environmental boundary conditions.
ParlaMint-NL_2015-04-28-eerstekamer-6.u116	That's good. I shall go into those elements in a moment. I share some of the thoughts expressed by Mrs Vos. I will be happy to discuss with the Chamber the way in which I believe we can ensure that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u117	The Secretary of State will have to admit that environmental conditions are very limited. It is also clear to her that if we want to become the milkman of the world here because of the increase in world demand for dairy, for every litre of milk we produce more here 1.3 kilos of greenhouse gas will be emitted extra? We have not regulated this in legislation. It will also be clear to her that the cows that stand around the year are fed with soy that comes from former rainforest. Surely you can't say that there is a responsible growth in terms of secure environmental conditions?
ParlaMint-NL_2015-04-28-eerstekamer-6.u118	Perhaps it is a good thing to say about the latter fact that, as I know, dairy farming is one of the sectors that will be able to buy that soya responsibly. This is an important objective of the dairy sector in terms of sustainability. I sometimes have a rather exciting discussion about this objective with some other sectors. Furthermore, of course, we are also looking at sustainability. If you compare Dutch dairy farming with that sector in some other countries in the world in terms of sustainability, then it turns out that we are doing very well in the Netherlands. We are not doing bad either, I say to Mr Koffeman, on animal welfare. So our standards and standards are very high. Perhaps that is precisely why, and because there is also a product that is just of very good quality, there is a lot of demand for our milk powder, for example. In China we are sure that our milk powder is fine, while we are not always sure if our own powder is okay. These are, of course, ordinary things that also play a role in the world economy in which we live.
ParlaMint-NL_2015-04-28-eerstekamer-6.u119	"He who mirrores himself to another is softly mirrored," says an old Dutch proverb. There are always countries to think of where things are worse than here. However, it is true that we, from the Netherlands, have led the Chinese to believe that every Chinese schoolchild should drink half a litre of milk a day, while 85% or more of the Chinese are lactose intolerant. So it's a very bad advice. We have set up dairy farms in China for this. Surely it is a very crooked idea that in a small country like the Netherlands, with enormous environmental pressure, you should produce milk for a country like China, where you can't even digest that milk? You can say that there was no natural need for milk in China, but that we have driven it through trade missions and pilot farms. Surely you cannot insist that this is environmentally responsible or that this is a good development?
ParlaMint-NL_2015-04-28-eerstekamer-6.u120	In a society where prosperity is increasing, people become more needy for proteins and animal proteins, for example. This, of course, raises the very exciting question of how to organise it in a way that is responsible for the environment and our world. That is a point that is quite rightly raised. It must be noted that the Netherlands is a country which, from an environmental point of view, but also in terms of animal welfare, is perhaps best able to answer some of these major societal questions. It would be harsh if we were not allowed to play our part. Can production take place unbridled in the Netherlands? No, definitely not. Do dairy farms have to industrialise? Please don't. I think we all agree on that. So the question is not only whether there is more production going to China, but also whether we can use our knowledge of this area to shape the country's production responsibly. Many of these trade missions, I would say to Mr Koffeman, are not about sending products from here to there, but about contributing, with our knowledge and technology, to setting up production elsewhere. And that production will take place. The question is not whether this production will take place, but above all how and under what conditions it will take place. Now let's all focus on finding the right solutions.
ParlaMint-NL_2015-04-28-eerstekamer-6.u121	Finally, Mr Koffeman.
ParlaMint-NL_2015-04-28-eerstekamer-6.u122	In my view, this completely ignores the first conclusion of the Van Dooren Committee's report, which examined the future of Dutch livestock farming. It says that if the Dutch consumption pattern is taken over by the rest of the world, we need four globes, and there are none. So if we go to China, or Ukraine or Belarus, to export our production methods, our megasthals and our battery stores, there will be a situation that is already happening. Our batteries are now in Belarus, and the Dutch poultry farmers cannot compete against them, because there are demands here and not there. In this way, therefore, we are trying to bring about the destruction of our own agricultural industry. I think it is completely irresponsible for the Secretary of State to make it appear that it is a fact that more animal protein will be consumed, whether you like it or not, and that we would not be able to play a role in it. With the same right, you could say that more greenhouse gases will be emitted. Yeah, sure; we'll have to do something about that if we're gonna stop global warming. We can't take things like that as a given.
ParlaMint-NL_2015-04-28-eerstekamer-6.u123	I'm the last person who would want to take this as a given. I didn't say that at all. I have just said that we will have to use our innovation and our knowledge of sustainability to prevent the accumulation of these four orbs, which are indeed not there, from happening. That's what I'm saying; I'm not saying anything else. I think it would be wise if we did not push each other into a view that we do not have. I certainly don't have that view. I come to the growth of dairy farming. Mrs Vos says that there would be a 20% increase in the number of cows. That's not true. According to the PBL study for 2020, this is a 20% increase in milk production achieved by 9% more animals, provided that the feed track is also picked up. Therefore, no additional phosphate should be involved. Of course, this must be done within the framework of the Nitrates Directive. Mrs Vos and others have also talked about what happens once we reach the national production ceiling, the phosphate ceiling. That was one of the reasons why I would have liked to spare my scarce legal powers. We must indeed prepare ourselves for this. This means that we have begun to prepare a system of animal rights for dairy cows. That's what I reported to the House of Representatives. That is what we started because we need to be able to intervene quickly if we need to. So I agree with everyone who has said something about this. Would I like us to intervene? No. Here again: please don't. I sincerely hope it doesn't have to come to that. The CBS reports annually on manure production, i.e. nitrogen and phosphate. This is done by the CBS on the basis of data on the average number of animals kept and on the basis of data on the composition of the feed. We don't get those numbers every month. This applies both to the figures on the number of animals and to the figures on the composition of the feed. The final data on manure production for the year 2014 will actually only come this autumn. However, if the phosphate production ceiling is exceeded, I am going to intervene. I also said in the House of Representatives that I intend to introduce animal rights. We want to have a debate on this with me. They also want to debate whether there would be alternatives. I have also mentioned an alternative, namely the transport trail. Mr Van Zandbrink, who knows a lot more about this than I do, has rightly pointed this out. However, that is something that must be put to maximum use. Should a system of animal rights be necessary, the question is how that system of animal rights might be a better term for the introduction of production rights and whether this should be linked to land-basedness. Mr Schaap spoke about this. However, I think it is too early to talk about this now. So I don't want to do that. However, I do need the people to work with me on that. I was asked in the written round what I am working on when it comes to legislative issues. That is why, in the written answer to that question, I indicated that I would have liked to have put my energy into it undivided. Now we have to do two things at once, but we do, I just promised.
ParlaMint-NL_2015-04-28-eerstekamer-6.u124	Governing is forward-looking. That is why I think it is very good that the Secretary of State is preparing a bill on animal rights in case we hit that phosphate ceiling. However, I do not understand one thing very well in this regard. There's a threat we're gonna hit that phosphate ceiling. Why is the bar in the AMvB not set a little higher and why is it not chosen for higher percentages? If you raise the bar in the AMvB, you reach that ceiling less quickly. I just don't understand this. I would therefore like the Secretary of State to explain that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u125	We have, of course, also looked at the AMvB for a proposal which has some form of proportionality. What are we asking for investments? What impact could such an investment have on adjacent sectors? Land is very scarce in the Netherlands, as Mr Reuten knows. The price of land is already rising rapidly. This has implications not only for dairy farming but also for farmers. That is why we have been looking for a proposal which also takes account of this problem. At the same time, people who have a lot of investment power, even if they were only allowed to grow in land, are going to do so. So the question of whether the phosphate ceiling is reached is not only dependent on this AMvB. In fact, the legislation does not regulate this at individual company level. If that were possible, it would have been an alternative, but it is not yet possible. We do know that the transport track can be used very effectively. We also know that the milk price has a major impact on the quantity produced. The coherence of all these factors will ultimately determine whether or not we are approaching that phosphate ceiling. There's a lot to be done to prevent that. This is largely in the hands of the sector itself. So it has really been a broader consideration, I say in response to Mr Reuten's questions.
ParlaMint-NL_2015-04-28-eerstekamer-6.u126	The Secretary of State is therefore preparing a system of animal rights, if necessary. That's just how I understood her. Does it intend to allow this system to enter into force immediately as soon as that ceiling is reached?
ParlaMint-NL_2015-04-28-eerstekamer-6.u127	Here too, we will work with a reference. I have always said that we must avoid anticipating behavior. I do not think it is wise to make too many statements now about how it will work. That is what we are dealing with now, also internally. I will, of course, have a discussion with the House of Representatives in May on what to do when the phosphate ceiling comes into sight and what potential alternatives there are. After all, it is clear that no one is waiting for this, not even because it is asking for investments that can be better used in land, a better stable system or the promotion of grazing. I'm just mentioning a few things that make us all more excited.
ParlaMint-NL_2015-04-28-eerstekamer-6.u128	I fully agree with the Secretary of State, but that is why it can have an enormous effect once it has completed that system. Then everyone knows there's no escape. Is the Secretary of State prepared to consider whether, in such a system, it is possible to tackle the farms which have the least soil but which have a large number of animals, the least land-based farms, in a more robust way and to exploit animal rights there first? This should not be at the expense of the more extensive companies.
