ParlaMint-NL_2015-11-17-tweedekamer-23.u1	I would like to welcome the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2015-11-17-tweedekamer-23.u136	Mr. Chairman. My love for openness and transparency is no longer a secret in the Chamber. Partly because of this I recently received the book The Open Organization. Reading that book, I realized once again that Red Hat exists because Linus Torvalds created one of the most famous and most widely used open source operating systems that is accessible to everyone: Linux. Why am I telling you this? Perhaps you're wondering. In addition to the fact that I would like to hand over my copy of this book to the Minister via the messenger in the context of "sharing is having the new one," I would also like to do so to give the explicit message through the book how important open source and open standards are for digital accessibility. I therefore call on the Minister to consult with his colleagues and to come up with a plan to ensure that everyone in the Netherlands can participate from their own roles. We need to focus not only on accessibility in real life, but also on digital life. In each portfolio, in each department, you can find elements that can make participation possible for everyone. In addition to the problems with high-speed internet in the various outlying areas, which put pupils, start-ups and people with a call for help and a significant part of the city's websites do not or hardly comply with the web guidelines, which makes digital information poorly available to people with disabilities, there is still a huge challenge due to the lack of public access to open standards and semi-government. Together with Mr Gesthuizen of the SP, I have previously tabled a motion which provides for this, but it seems that only the government actively takes up this motion and the municipalities, the provinces and the semi-government, for example the UWV, leave this motion. The question about the use of real open standards at UWV was answered that they print out the digital form and send it to the client via the post, and that they would rather do so than use open standards allowing the client to simply fill out the digital form online. This can't be happening. A government that wants to communicate digitally with its citizens as of 2017 also has a responsibility to get everyone involved. A first, simple step is to use open standards, if only to support the municipalities in their fight against the duopolists. What is the Minister going to do to ensure that the provinces, municipalities and semi-governments also participate in the implementation of the aforementioned motion? The grip on ICT does not seem to be getting stronger. That is why, in the context of transparency too, I ask that the reports previously sent to the Chamber with a complete overview of licensing costs, maintenance, purchase of hardware, hire of externals and further relevant information be sent back to the Chamber by default, so that this Chamber can carry out its controlling task properly. I'd like to get a response from the Minister. A good balance between openness and privacy is important. The government has a lot of privacy sensitive data that should not be available to everyone. Currently in my own municipality, for example, the question is whether address details of letters sent to the council by residents, such as a response to a zoning plan, can be posted on the internet. The same applies to the content of the letters in so far as they can be traced back to persons. More attention should be paid to the border area between public access to the Internet and the protection of the privacy of citizens who provide information to the public authorities. Otherwise, that citizen will be on the Internet for life. A hand-out from the minister's side to the municipalities is certainly welcome. I'd like to hear from the Minister how he can do this. Finally. This minister is the coordinating minister of "open, unless" from the government closer to the citizen, but the Chamber itself has a role to play there. What good would it be if our own Chamber provided a transparent environment, accessible to every citizen. This could be done by opening the Parlis system to everyone as soon as possible. Then the Dutch parliament can also say in 2016 that it fully participates in the digital era.
ParlaMint-NL_2015-11-17-tweedekamer-23.u137	Mrs Oosenbrug is always very knowledgeable in the field of digitalisation. She sometimes questions the Chamber when she speaks on the basis of her expertise. However, I would also like to hear the other side of the Labour Party. Does she really think it is appropriate that the government only communicates digitally with the citizen on parts of the tax administration? Should we not really stick together, as the Ombudsman also says, that there is always a normal window?
ParlaMint-NL_2015-11-17-tweedekamer-23.u138	I have already indicated in previous contributions that I am very much in favour of technology and digitalisation, but that everyone should be able to participate. I also ask the Minister how he is going to ensure that everyone can continue to participate. The disappearance of the blue envelope, Mrs Van Toorenburg mentioned it earlier, seems very nice. The IRS was cheering, I saw on TV. Meanwhile, my father asked, "How can I fill in my taxes?" Because my dad doesn't have a computer or anything. Then when you call the Tax Phone, you get the answer: then you have to do it for him. That's not the society I want to go to. I share with the CDA that we must ensure that there is always a way for people who cannot participate on the digital highway to stay in it.
ParlaMint-NL_2015-11-17-tweedekamer-23.u139	Then it is a pity that the Chamber, and I think the Labour Party too, did not support us in order to prevent that blue envelope from disappearing. That is what we really wanted to avoid. I understand, however, that the Labour Party may have to table a motion on this matter, which really wants to stand alongside us. There must always be normal, physical access for the citizen. The government cannot only communicate digitally with its citizens.
ParlaMint-NL_2015-11-17-tweedekamer-23.u140	I totally agree with the CDA on this. I think we are also getting a bit of a point here, which is why a lot of things aren't going well in this Chamber: every portfolio has a digitization hit. As spokesmen, for example, we cannot keep up with them all. I would like to think, perhaps with the CDA too, about how we can get better reports on this or at least keep our finger on the pulse, so that we do not, for example, ask the national administration to ensure that there is always room for people who cannot communicate via the digital way and then disappear by another way.
ParlaMint-NL_2015-11-17-tweedekamer-23.u141	Mrs Oosenbrug has just argued that Parlis should also be made publicly accessible. That's a great plan. Technically, I think it's possible right away. My question to Mrs Oosenbrug is as per when it needs to be implemented.
ParlaMint-NL_2015-11-17-tweedekamer-23.u142	I've been trying a lot lately to figure out who this is really about. It turns out that we as a Chamber are about this ourselves. The President of the Chamber, Mrs Van Miltenburg, also appointed it in a speech. It is very difficult for me to find out how we can organise this now. Apparently we are dealing with this as a chamber, so I think that we should also arrange it as a chamber. Perhaps we should just talk to the President-in-Office and see how quickly we can achieve this. There's already a beta version online, but it's really horrible.
ParlaMint-NL_2015-11-17-tweedekamer-23.u143	I think Mrs Oosenbrug has a point there. It seems like a good idea to start that conversation together, because the sooner Parlis is public, the better.
ParlaMint-NL_2015-11-17-tweedekamer-23.u144	Mr. Chairman. The word is, of course, unreal. Just when you've internalized a little Paris, one of those Hanover stories gets over it tonight. Looks like that worked out okay. There are contradictory reports about whether there really was something going on or not. Things seem to have been found and yet again they haven't. And then such a minister, the minister's colleague, who says: the minister understands the questions, but the answers could upset the people. That'll be a press conference. Nevertheless, we are talking, among other things, about some more trivial matters. Mr. Chairman. The Minister of the Interior may hold a referendum during his term of office. That's a big deal. The referendum is ultimately the purest form of democracy. The people speak, without a filter and without delay. Moreover, the current Minister for the Interior may do so while the Netherlands is the EU's President. I congratulate him on that. Yet the devil is in the details again. Because where exactly are we going to vote on April 6th? The VNG and municipalities point to each other when it comes to the extra costs. In the States of Overijssel, the PVV filed a motion to ensure that there are sufficient voting rooms on 6 April. That motion has been widely rejected. The municipality of Lelystad has already said that it will limit the number of ballot boxes because a low turnout is expected. That's a strange and dangerous argument. Maybe I'm a little too suspicious, but it smells a little like sabotage to me. Isn't there a point? Are we trying to serve the initiative through a back door? After all, it takes a 30% turnout to make the referendum valid. If that limit is not reached in the referendum, it has all been for nothing. Referenda are popular with civilians. At the last referendum, two thirds of the voters showed up. This is much more than in the last EU elections, in the elections to the Provincial States and in the municipal elections. In addition, there were enough voting booths. Will the Minister promise that there will be sufficient resources to keep that referendum genuinely and in an adult manner? Democracy costs money; that's right. However, it cannot be that we make laws here in the Chamber, but that then there is no money to implement them. What will the cabinet do with the results of the referendums? Will it be respected and taken over? If we vote against the treaty with Ukraine by a majority, will that treaty not continue? Paul Tang, the EU Chief of the PvdA, has said so. I am curious to hear the Minister's answer to this question. It turns out that referenda work again. The ink of the referendum law, written in this Chamber, is not yet dry or the first referendum is already a fact. That tastes like more. There may be more referendums on the basis of the above-mentioned law, but hopefully there will also be much more influence on policy through far-reaching referendums, i.e. binding referendums. In addition to responding to existing laws, policy can also be directly influenced. That would be the most beautiful thing. Many municipalities are now faced with the consequences of open border policy. Many municipalities are under pressure from the COA, which distributes asylum seekers. Municipalities speak of a robbery technique. This applies to villages, and that applies to cities. On Monday afternoon at five o'clock, an alderman from Arnhem receives a phone call telling him that buses of refugees will arrive in his congregation the next day. If the city doesn't have a place to stay, they all have to sleep on the street, they're told. This is actually a form of moral blackmail. The COA always bets high. They want to house large numbers at the same time. Those numbers sometimes fall after negotiation. Destination plans are ignored and are completely irrelevant when it comes to housing refugees. Money doesn't seem to play any role in this either. The 234 aldermen already warn finances that there is no money left for vulnerable neighbourhoods, but for asylum seekers it seems that anything can be done. Not only the municipal administration is being defunct, but also local democracy. The city council stands for an accomplished fact. The residents are allowed to chat on a conversational evening where it becomes clear that they do not have a say in the matter. There will be that azc, no matter what the people think of it. Berlin and Brussels govern, not the citizen. This causes more and more people to lose faith in local democracy. Mostly a very large part of the city council is against the arrival of an azc while a very large part of the citizens of such a municipality are against it. What does the Minister think of this development? Does he think this is conducive to democracy and its beliefs? What we need, by the way, is an elected mayor. He would stop such a flow of asylum at the municipal border, as now more than 30 governors in the United States do. They refuse the so-called refugees from Syria. That's because these governors answer to the voters. Like our mayors, they don't have to use proper language to make themselves popular with the elites in view of their next location. This creates a completely different dynamic. Democracy works! I'm coming to the security services. This is a very important subject. The events in Hanover point that out once again. What does it say between us and the barracks? Those are the secret services. To survive naked, we depend on these services. We don't have to doubt that anymore. It is very simple: these services are needed more than ever. We're at war, tell the Prime Minister. Fine. What does that mean in practice? Less than six months ago, the Prime Minister didn't want to say those words, but he did now. 13% of Syrian asylum seekers are in favour of ISIS. We already see what this flow of refugees means for our safety. There are reports that two of the attackers in Paris were refugees. So it was refugee work and the work of Syrians. In the last nine months, 21,000 Syrians arrived. Converted, these are 2,700 fans of ISIS, Syrian fans of ISIS from January to September. That's 300 a month. Our media tell us that they are all refugees and very sad too, but on Friday these theories were tested in practice. Ahmed Al-Mohamed was a refugee. He arrived with a shaky boat on Leros, where the merciful were ready to help him ashore. Friday, he blew himself up in Paris. It is clear what needs to be done now. Boundaries closed and Syrians behind bars.
ParlaMint-NL_2015-11-17-tweedekamer-23.u145	In the meantime, it also turns out that a large part of these terrorists are people who were born here or who have lived here for a very long time. Where does Mr Bosma base it that every refugee is also, by definition, an ISIS fighter?
ParlaMint-NL_2015-11-17-tweedekamer-23.u146	No, no, no, I didn't say "every fugitive." Mrs. Voortman, I don't like this...
ParlaMint-NL_2015-11-17-tweedekamer-23.u147	Oh, thank God!
ParlaMint-NL_2015-11-17-tweedekamer-23.u148	...I don't like this way of arguing.
ParlaMint-NL_2015-11-17-tweedekamer-23.u149	I am very pleased that Mr Bosma is fortunately nuanced in his own position, but at the same time...
ParlaMint-NL_2015-11-17-tweedekamer-23.u150	But that's never been my point, Mrs. Voortman. Let's have a good time!
ParlaMint-NL_2015-11-17-tweedekamer-23.u151	... but at the same time Mr Bosma suggests...
ParlaMint-NL_2015-11-17-tweedekamer-23.u152	I'm not suggesting either!
ParlaMint-NL_2015-11-17-tweedekamer-23.u153	...that by closing the borders we can prevent attacks like those in Paris. That is, of course, the truth if we know that a large part of the terrorists are people who were born here. I would like to know from Mr Bosma how he reacts to this.
ParlaMint-NL_2015-11-17-tweedekamer-23.u154	Perhaps Mr Bosma could explain exactly what he means.
ParlaMint-NL_2015-11-17-tweedekamer-23.u155	With all kinds of pleasure. The cry "terrorists" is very broad, because then it is also about the good old Rote Armee Fraktion or the Red Brigades. "Terrorists" is a very broad term. Jihadists are by definition Muslims and as far as the group of jihadists who committed the attacks last Friday is concerned, although they are still crystallising, Elsevier reports today that there are five Syrians. Two of the attackers and at least one is a refugee who is recognised as a refugee. He was recognized by Greece and Serbia, Mr Al-Mohamed.
ParlaMint-NL_2015-11-17-tweedekamer-23.u156	Please continue.
ParlaMint-NL_2015-11-17-tweedekamer-23.u157	It is clear what needs to be done now. Close the borders and Syrians behind bars. Then the services may not even have to get additional staff. But now we have chosen the kamikaze policy of open borders, the question is whether the AIVD can handle all this. To name one thing, if you want to keep an eye on one person, you need 30 employees. The Prime Minister actually admits in his letter that we have continued to allow while the screening was brief. A week and a day ago, Mr Schoof of NCTV said that there is no evidence that terrorists come to Europe with refugees. That seems to be very different now. My question to the Minister is what these developments in recent days mean for our security, in Paris, but also now, 'as we speak', in Hanover? What does it mean if this continues with this momentum, this intensity and at least a growing sense of insecurity? What does it mean for the services and what does it mean for the safety of citizens?
ParlaMint-NL_2015-11-17-tweedekamer-23.u158	Mr. Chairman. Liberté, égalité, fraternité. It is beautiful how these words have inspired us for centuries and express the values of our society. With attacks in Paris, extremists are trying to break us apart and create fear. But as a society, we are resilient, brave. "Nous sommes unis"; we're one. Democracy can't just get underneath it. This is partly the responsibility of the Minister for the Interior, the self-proclaimed guardian of democracy. I am talking about free and open democracy today, first about the AIVD, then about people's access and finally about the position of municipalities. I'll start with the AIVD. This government of VVD and PvdA cut to a third of the AIVD. Fortunately, the opposition has managed to adjust, but there is still a question about the last remaining cut. Co-location of AIVD and STIVD would yield 11 million euros by 2018. A letter came on Friday: living together has been postponed until 2022. That's a few years later. How is that difference covered? Does the Minister guarantee that the AIVD capacity will not suffer?
ParlaMint-NL_2015-11-17-tweedekamer-23.u159	Mrs Koser Kaya made a nice observation about the security services and the resources, but perhaps she could look at what was in the D66 election programme. I didn't remember exactly, so it was very good that there was a nice comment in NRC this morning. In the D66 election programme, more and more cuts were made on the security services and the police than has happened in recent years. So it's a bit short on the bend that D66 tambourizes here on her own performances. Maybe it's a good thing that D66 didn't participate in the 2012 negotiations. Then maybe we'd have been further away from home.
ParlaMint-NL_2015-11-17-tweedekamer-23.u160	We acted very quickly and then, together with the opposition, made sure that this image was brought up all the way up to the green line.
ParlaMint-NL_2015-11-17-tweedekamer-23.u161	Mrs. Koser Kaya does not comment on my observation. I call on her to take a closer look at her own election programme and the message she wanted to start with in 2012. I think it would be wise for her to get that on the retina for a while.
ParlaMint-NL_2015-11-17-tweedekamer-23.u162	When we saw that this was not going well, we came first with this and said: we have to solve this. Together with the opposition, we have made sure that the financial problems of the AIVD have been corrected. And rightly so, because our safety is very important. The attacks in Paris once again showed that terrorism is cross-border. Nevertheless, cooperation between European services is failing. What has really improved in the past few months? When are we going to take the step towards a fully-fledged INTCEN as a European intelligence and security service? Democracy is not just guarding liberté. It is also about fraternité and égalité.
ParlaMint-NL_2015-11-17-tweedekamer-23.u163	We understand that D66 is very much in the sand with regard to cooperation between the security services within Europe. Can I understand D66 here in the Chamber in such a way that it will exert pressure that there will be cooperation?
ParlaMint-NL_2015-11-17-tweedekamer-23.u164	We very much want cooperation to take place. We even want INTCEN to be strengthened. The point is that supervision of INTCEN is very inadequate. That is what we want to do, in addition to ensuring that it becomes a genuine, fully-fledged European intelligence service.
ParlaMint-NL_2015-11-17-tweedekamer-23.u165	But I note that the services are not allowed to work together at the moment. It is being pushed and drawn from the CDA Group, including in Europe, to shape this cooperation. They are now sneaking around in Greece, because there are partnerships there. But if the D66 Group takes the heels out of the Greek sand, we can really make sure that we work together. You can't do that with the current stakes.
ParlaMint-NL_2015-11-17-tweedekamer-23.u166	I think that Mrs Van Toorenburg and I can get together very quickly if we ensure that there is an INTCEN that can conduct its own investigations and not only analyses for the foreign coordinator.
ParlaMint-NL_2015-11-17-tweedekamer-23.u167	I am touched by the fact that Mrs Koser Kaya has so much historical awareness. She even starts with the slogan of the French revolution: liberté, égalité, fraternité. But I still have a question. Does Mrs Koser Kaya realise that this slogan was also the slogan of the period of terror? The nobility was taken to the scaffold, the guillotine was invented and there were killings on the assembly line. Maybe we should be a little more careful quoting this kind of fameless slogans. That is what I would like to consider to Mrs Koser Kaya. I also appreciate the growing historical awareness at D66, but D66 has been for almost 50 years.
ParlaMint-NL_2015-11-17-tweedekamer-23.u168	We also fight every day in the Netherlands for freedom, equality and brotherhood. I had come to democracy. It is not just about liberté, but also about fraternité and egalité. Citizenship, participation and equality, these concepts are one of the few things that are the subject of his ministry of justice. Today, therefore, I present seven points to reduce bureaucracy and rules. These make democracy accessible to everyone and they give the minister something to do. He is the one who has to start a cultural change. It starts with letting go in confidence and giving officials the space to find solutions. There are too many suffocating rules. An official offering customization is in contact with that resident. The kitchen table provides understanding, not bureaucracy. A project such as the Overijssel method resulted in 50% less objection and appeal cases in five years. That's a big deal. The Minister is also working on an informal approach. What are the results? It is still raining complaints about incomprehensible decisions by unattainable administrative bodies. It turns out that there's often a need for litigation. The Ombudsman is working. Is the Minister also halving the number of appeals and appeals for the rest of the government? How's he gonna get results? That is quite a challenge, because the National Ombudsman recently had to explain that good administration requires the government to name its employees, except in special cases, as a person asking for them. This makes me curious. Has the phone instruction changed everywhere? If I take the test tomorrow, do I get a name? I'm going to talk about who gets my data.nl. When is the provision of personal data from the basic registration finally linked to mijnoverheid.nl? This includes information about what has been provided, the motivation of the request and contact details of the requesting authority. An accessible government also fits in with a different approach to the Public Administration Act. Too often it is abused by the government. The Deputy Editor-in-Chief of RTL News recently listed the tactics. I give a selection: too late answers, without proper justification stretching deadlines, holding back documents, "oh, we didn't know that was the intention." Good officials are being overruled by their bosses and political leaders. This minister is responsible for the Wob. He must stand for the right to information. He should start by opening up his own ministry and show that this is not scary, but beneficial for government and citizens. Surely it has to be done to have 50% less objection and appeal procedures on the Wob within five years? Public involvement takes place when the design is finished and it is called "Internet consultation." Until then, the law of civil servants and lobbyists. In a digital age with highly educated residents, that's out of date. There is also knowledge and expertise outside the government, perhaps more. Take advantage of that! I would like to mention Iceland as an example, for there people have started to write a new constitution. I ask the Minister to take a step forward. Is he prepared to launch a pilot project and digitally open some planned legislative proposals to anyone who wishes to participate? Can we expect a project proposal before the summer? There's trouble. The Municipal Fund changes so often that the municipalities barely keep up; a plus here, a little mint there and that many times. Can the Minister promise peace and quiet? Can the Minister make changes more consistent with decisions by municipalities on their budget? The Minister also refuses to fully compensate the municipal costs for the Ukraine referendum. I understand the anger of congregations about their forced cuts in matters like polling stations. I want to avoid that and have therefore tabled an amendment together with Mr Van Raak to compensate for this. Finally. The Minister has a year and a half left. I filled up the empty boxes, packed them up and fitted a nice bow. Now I want the minister to unpack it and work it out: get to work.
ParlaMint-NL_2015-11-17-tweedekamer-23.u169	In the debate on the safe public task, D66 has also made itself felt for the centre of expertise. There are now two amendments. I think it would be good if Mrs Koser Kaya could explain the reasons for the second amendment, so that we can also explain to the Registry what order they are in.
ParlaMint-NL_2015-11-17-tweedekamer-23.u170	I thank Mrs Van Toorenburg for this question. It is very important that the Safe Public Task Expertise Centre stays in place, especially since it has so much expertise. That's what it's supposed to keep at this time. I have tabled an amendment with Mrs Van Toorenburg to fully cover the budget. I have also tabled an amendment, including Mrs Van Toorenbug, to ensure that at least half is provided by the Minister. As far as the other half is concerned, I would like to draw attention to the commitment he made with the Safe Public Task Expertise Centre to look at payment by others. In this case, it is possible that the employers will take this together with the centre of expertise. I want the Minister to take up the commitment he made. That is why Mrs Van Toorenburg and I have tabled this amendment.
ParlaMint-NL_2015-11-17-tweedekamer-23.u171	Mr. Chairman. GroenLinks is concerned about the decentralisation of care and participation tasks carried out on 1 January. Signals on waiting lists and bureaucracy are piling up. On top of that, 234 aldermen's letter of fire indicates that the border has been reached in terms of cuts that their citizens can bear. The Minister of BZK is responsible for local government and the relations within the levels of government in this country. In doing so, he is also responsible for the success of these decentralisations. That means that GroenLinks expects action from him, on five points. Firstly, there must be one point of contact from the government for the decentralisations for both local directors and the Lower House. Is the Minister prepared to take charge of the contact between the Empire and the municipalities? Does he want to identify where the bottlenecks are, which resolve with legislation and intervene with municipalities where things are at risk of going wrong? Second. Is the Minister prepared to consider within the cabinet where money can be found to remove further cuts planned for decentralisation? For example, youth care is a 4% cut this year, but 12% in 2016. If we already know that 4% is unwearable, then 12% is certainly not. Thirdly, the government must become a reliable partner for municipalities in carrying out care tasks. Fluctuations in budgets make it impossible for municipalities to draw up budgets. That is why we want the budgets for municipalities to be fixed at one time in the year and cannot be reduced after that. Is the Minister prepared to take on the coordination within the cabinet in order to ensure that all the amounts for municipalities are known in the May circular and can therefore no longer be adjusted downwards? Fourthly, the democratic deficit. Since the decentralisations, many municipalities have started working together in regional contexts to improve the purchase of care services. As a result, municipal councils have less and less to say about the way in which care for their municipality is purchased. Is the Minister prepared to consider how this democratic deficit can be resolved? For this I would like to get a solution that is less black and white or whether or not to scale up. I invite the Minister to think outside the box as well. Can he, for example, look at more opportunities to support council members in their work? Can he also look at a possibility to hold unified meetings with municipal councils of partnerships? I have tabled an amendment on this point. Fifth, I note that care is bureaucratized as healthcare providers to provide ten different municipalities with ten different sets of accounts. This is also noted by the General Court. Can the Minister indicate how the government is now in charge here, in line with the Voortman motion which was adopted on this matter just before the summer? The participatory society advocated by this cabinet has not really got off the ground yet. This probably has to do with the lack of will to invest in it. The Do-democracy Implementation Programme has stopped. All activities and knowledge about a social perspective on democracy and participatory democracy disappear. I find this unsellable for a cabinet that gives a great deal of attention to the participatory society. Is the Minister prepared to make a budget for this after all? I have tabled an amendment on this too. Finally, the call for more citizen participation cannot remain with a few hollow words and a series of cuts in the welfare state. We are also concerned about open data. There are plans, but where's the money to carry out those plans? How can I, as a Member of the House of Representatives, be sure that the ambitions relating to the open government are being carried out if there are no clearly earmarked budgets for this purpose? I agree with what Mr Veldman said about the digital agenda. His words were taken from my heart. Finally, I come to the AIVD and the tapping by this security service of communication between lawyers and their clients. In the meantime, the Court has confirmed that this practice is illegal until adequate ex ante review is provided for. I call on the Minister to implement the verdict in full and, pending the new tap law he is going to come up with, to have lawyers' taps checked in advance by a judge. Is he willing to do that? I would like to receive his response.
ParlaMint-NL_2015-11-17-tweedekamer-23.u172	Mr. Chairman. I believe I've requested eight minutes, but I see here that I have six.
ParlaMint-NL_2015-11-17-tweedekamer-23.u173	I think you have a first and a second term. If you want eight minutes before your first term, that's fine.
ParlaMint-NL_2015-11-17-tweedekamer-23.u174	That's gonna be a misunderstanding. I have adjusted the text to eight minutes' speaking time. I'll see how far I can get.
ParlaMint-NL_2015-11-17-tweedekamer-23.u175	That's fine.
ParlaMint-NL_2015-11-17-tweedekamer-23.u176	Then can you start over, or else I'll get pissed off even more.
ParlaMint-NL_2015-11-17-tweedekamer-23.u177	I just corrected it, but you're right, and so is the clerk. You're gonna have a fight with Mr Van der Staaij, and we don't want that.
ParlaMint-NL_2015-11-17-tweedekamer-23.u178	Mr. Chairman. Thank you. I set up my contribution along three themes, security, political innovations and local government. I come first to the issue of security. In the last week, we have been shocked again by terrorist attacks. The situation in Paris frightens people and creates uncertainty. The idea of a safe, open society suddenly changes because of feelings of great uncertainty. Security in our society is not self-evident, we suddenly realize. Evil forces cast themselves in the name of Allah and ISIS in a jihadist guerrilla war. The AIVD has the important role to play in tracking the threats in time. That must be possible. In spring, the General Court took a critical look at the major cuts in this service over the years and drew firm conclusions. We don't have to repeat that discussion. The strong changes in the budget caused instability and difficulties in the implementation of the core task of protecting our society. The SGP likes to hear from the Minister about the restoration of the AIVD. In the meantime, has the strengthening of the impact force led to a more stable organisation? I'm going one step further. With the current budget, is the AIVD capable of getting as far ahead of terrorism as possible? Is he sufficiently prepared to combat terrorist guerrilla actions? I think the Prime Minister was right when he said we're at war. We are at war with terrorist guerrillas. Earlier last week, there was the necessary work to be done in connection with the investigation at the Public Prosecutor's Office into the leak in the Committee for the Intelligence and Security Services, the committee secretly. One of our conclusions is that it seems as if nothing has been done with the 2010 De Wijkerslooth Committee's recommendation that the laws and regulations on prosecution of criminal offences need renewal. That has been noted, but then this has come somewhere underneath a pile. That's what it looks like. These laws and regulations are more than a century old. We are intimately confronted with this. As far as we are concerned, this is also a task for our minister as guardian of the Constitution. What steps has he and his colleague in the field of security and justice taken to implement that recommendation or what steps is he going to take to implement that recommendation? In addition, the role of the police is important. The SGP has tabled an amendment to force district agents to deal with the Police Act. Neighborhood agents are the fountains and are located in the capillaries of society; I admit that this is not such a good picture. They can also feed the intelligence work. Does the Minister intend to work with his colleague in the field of security and justice to finally ensure that the law is implemented on this issue as well? The rule is one district cop out of 5,000 residents. Too often we hear reports that, if there is a district cop, it is 1 in 10,000 inhabitants. It is essential to make serious work of this, in order to gather sufficient information in a timely manner to prevent violence and attacks. I would like to hear the Minister's plans on this matter. My next point is political renewal. Meanwhile, there are several innovations in the field of politics. The precise state of affairs of the State Committee on Parliament's system is unclear. We would like to hear an explanation. It may be good to see what problems arise within our political system. Of course, it is not always easy for the government at the moment to get both Parliament's Chambers, but we should not turn the structure upside down because we have some problems. The functioning of parliamentary democracy must not be dependent on coincidences. The First Chamber is too important to fall prey to alleged disaster response. We trust that the Minister will be able to overcome this delusion of the day, and we would like to see that confidence confirmed. The European Union is trying to tighten the strings with a few tricks. She is suffering from the EU paradox, as I would call it. On the one hand, confidence in the EU as a solution to problems is falling sharply in many countries. On the other hand, as a kind of reaction, the EU institutions continue to try everything to feed this belief cramped, thus reducing confidence even further. Thus, the basis under the EU is steadily eroding. Recent examples of the European Act of Election and the settlement of European political parties make this clear. The SGP would like such proposals to promote the European idea to be dropped quickly. Is the Minister prepared to make a strong commitment to this? I come to my final point: the local government. On the contrary, the SGP opts for strengthening local control. The government chooses the city, with the agenda for the city. That is understandable, but we point out that this must not be at the expense of rural areas. In recent years, the National Association for Small Cores has played a wonderful role in this. Our question to the Minister is in line with a question from one of our colleagues. Is the Minister prepared to follow up on this? From the circle of aldermen attention has been asked for for the local domain. When the plans for increasing the scale of municipalities fell, several colleagues referred to this. The corresponding budget reduction remained in place. The SGP believes that a point is rightly mentioned here. Scale enlargement would be cheaper. Then we should not pretend that this is the case in maintaining the current scale. What possibilities does the Minister see for correcting this, in other words to reduce austerity or to wipe it off the table? The same applies to the strengthening of the local tax area. Are substantial steps now being taken in this respect? The Minister stands for the choice. Will 2016 be the year in which the renewed basis is laid for the intelligence services, the integrated security services and the political relations, both the relationship of the Empire with Europe and the relationship of the Empire with governance? Or will 2016 be a year lost in these respects?
ParlaMint-NL_2015-11-17-tweedekamer-23.u179	Mr. Chairman. First of all, I would also like to mention the terrible acts of terror in Paris last Friday and the current unclear developments in Hanover this evening. Everyone has questions and questions are rarely inappropriate, but I do hope that everyone will respect this discussion. The resources for the AIVD have already been increased as the longer-term threat picture gives rise to this. 50PLUS asks the Minister whether the events in Paris give rise to an adjustment. Are the financial resources sufficient? Is there enough human strength? For optimal national security, a well-functioning intelligence service is necessary but not sufficient. A well-functioning police force is just as useful, but the police are being cut back a lot. What are the Minister's thoughts on this? Then there is my second point. Last week, more than 200 aldermen made the call. The rack's out. If the Empire makes further discounts, this will inevitably have serious consequences for the inhabitants of these and other municipalities. These include road maintenance, closure of neighbourhood centres, maintenance of green areas in the district et cetera. This does not improve the quality of life in municipalities. What does the Minister think about this? 50PLUS is also not enthusiastic about the policy freedom that many municipalities have. This leads to large differences in facilities, in the level of own contributions and in the granting or non-granting of domestic aid. What does this Minister think of this policy freedom? Municipalities are important partners throughout the decentralisation process, which we were not so enthusiastic about. How does the Minister assess the petition of the 234 aldermen who have to carry out his plans? 50PLUS has more questions. How can municipalities fulfil their tasks in the short and long term well with the fickle financial policy of the cabinet? Does the Minister think it is normal that municipalities should be forced to increase local taxes, which is happening on a large scale at the moment? How does he assess the aldermen's claim that some of the discounts on the Gemeentefonds are poorly substantiated? Can municipal reclassifications also contribute to a more efficient use of financial resources or not? What is the situation with regard to the 16 municipalities that are in the financial danger zone, as the answers to the written questions showed? We're curious about the Minister's answers. Third. 50PLUS wants to use this budget to draw attention once again to carers and their support. In dealing with the budget of Health, Welfare and Sport, we have tabled an amendment to add additional budget to the Municipal Fund to strengthen respite care and daily spending for people living at home. The corresponding amendment has been tabled to this budget. Fourth. Two years ago, 50PLUS once asked questions about age discrimination in car insurance. A study carried out by the Consumers' Association shows that this is still happening. There are fewer insurers who refuse older people on the grounds of age, but there are still four. And that's four too many. Most of the others charge generous contributions for seniors, up to 129%. Then I don't mean 29% extra, but they really charge more than double, namely 129%. While according to the Centre for Insurance Statistics, older people between 66 and 76 years of age do not pose a greater risk than younger motorists. Do insurers actually base their acceptance standards on the statistical data collected or do they constitute age discrimination? I'd like a response. Discrimination on gender, orientation or origin falls within the competence of the Minister of Education, Culture and Science. Age discrimination, on the other hand, falls within the portfolio of this Minister, the Minister for the Interior. How right is this distinction? For digitisation, I join the CDA. That party voted against it. As it turns out, that's not unwise. We voted in favour because in the end we are not opposed to digitalisation, but it has to be done under conditions. We have to make sure we don't lose the citizen. I'd like to get a reaction to this. Fifth. Tomorrow the inhabitants of different municipalities can go to the ballot box in connection with the municipal reclassification, including in the new municipality of Gooise Meren. These elections hardly received attention in the national media. That's good. After all, these are local issues. In regular municipal elections, that's different. They're mostly like interrogation polls for sitting cabinets. 50PLUS has already proposed to spread municipal elections over four years, so that local elections are truly local elections. How does the Minister feel about this?
