ParlaMint-HR_2017-07-07-0.u38846	Mr. Bunjac asked for a word.
ParlaMint-HR_2017-07-07-0.u43992	Thank you very much, fellow Shucker. To say that we all agreed on the whole procedure based on the consent of the law is simply not true. So the law doesn't say how it's going to be financed and funded. It was a decision at the moment at which the government needed to secure the money. So don't tell the Croatian public here that we agreed to the models of raising money that was in the period I was talking about earlier. No, we agreed on that, that pensioners should be compensated and that injustice should be corrected. And that's why we voted and that's why we'll keep voting. And it's very ugly what you're trying to do, every criticism and dissent to declare and discredit, as if that's something illegal in this House, and yet you're still calling for war and death. It's below the border, Mr. Shuker. You can't take away my right to criticise the moves you've been making, no matter when they've been, and to call on the dead in the Homeland War. Well, I mean, it's really outrageous. Well, I've been chosen here to speak and to say that it wasn't right and that I don't think it was right. If I kept my mouth shut here and praised what you did. So I'd be critical of the people who chose me here, so don't expect me to do it, and don't make it sound like everything you say is true, and someone else who says everything is false and false. Because everything you say is true, then we're in 2008. In 2009, they wouldn't feel the crisis at all. Well, that's how you tell us, it won't hurt us, or it'll be a little breeze. I remember exactly how you and Sanader explained it to us. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43993	Thank you very much, thank you, thank you, thank you.
ParlaMint-HR_2017-07-07-0.u43994	Thank you very much. Comrade Maras, I can't think of anything. I've raised my word. [[Intruder Radin: Comrade Shuker, I give you my word.]] Excuse me, Mr. Vice President. Mr. Maras, I haven't given a single word of thought to forbid you from speaking. However, your replica is the best indication that what I've said is true. Because if there was anything false about what I said, you would have looked back at any information and said it was incorrect. Yeah, I didn't say that when we made the decision, oh, that we'd pay the pensioners back and that it went through the pension fund, that it was said then, that it would go on such and such a model. They were looking for models, unfortunately, that would turn out to be the only option at the moment. But I said, look at the debate when he... IPO INA and IPO HT in which colleagues and colleagues, the truth works, on the IPO of HT participated 358 thousand and 46 Croatian citizens. [[The speaker doesn't understand.]] So they're given the opportunity to buy shares. About 44 thousand Croatian citizens participated in the IPO INA. They were given the opportunity to buy shares at a time when the standard of Croatian citizens was relatively high, it was 2006, 2007, when it was the time of the economic lift of the Republic of Croatia. That's the facts. And I'd be happy if the two of us would talk about that kind of data without these political plantings. I'd be happy. And that's why I'm saying, after your replica, I'm convinced that my debate was 100% correct, because you haven't tried to slow down any of the facts, not one fact. And these are the facts of colleagues and colleagues, which I told you, which you can check in official documents of the Republic of Croatia. And finally, underneath the grain is not sold on the London Stock Exchange, HDZ has not sold any shares to Molu, not a single one, unlike the SDP that sold 25% of the shares to INA Molu.
ParlaMint-HR_2017-07-07-0.u43995	Thank you very much for keeping time accurate. Mr. Babic asked for a replica he has the right to do so. Here you go.
ParlaMint-HR_2017-07-07-0.u43996	Thank you very much, Vice President. Mr. Shuker, you were actually talking about the political circumstances and the time when certain decisions were made. It is good that you have now said this in the end, although I did not replicate it, that it is known for the sale of shares of INA by the Government of the Republic of Croatia, but the fact is that in 200 years, the Law on the privatisation of INA and HEP was passed. It is then made possible for Croatian citizens, but also for potential investors, the purchase of 17.25 shares, citizens, no. If I'm a good learner, if I'm not, you correct me. The fact is also, that it is owned by Hungarians, has increased it by about 17%. So it wasn't the government that sold those shares, it was those shares that were sold by citizens. I think I heard you correctly. Thank you.
ParlaMint-HR_2017-07-07-0.u43997	Thank you very much. Replication response, Mr. Shucker.
ParlaMint-HR_2017-07-07-0.u43998	Thank you very much. My colleague Babic, in the INA Privatisation Act, you have exactly how they will be implemented. So 255 strategic partners, then a percentage to be offered to Croatian citizens, defenders and former and current INA employees. It states in paragraph 4 that at the time of Croatia's entry into the EU, Croatia must not have more than 25% of the INA shares, and at the time of its entry into the EU, a special law that will be adopted in the Croatian Parliament will define how to privatise these 255. But what keeps going through the law, which is a strategic partner. The strategic partner was not chosen by HDZ, but chosen by the one who sold 25% of the shares. It's facts and it's true. The SDP, HNS, HSS and IDS, they acted in power in 2002 and HSLS was then in the coalition, but look, it was such a political decision, it should be respected. Just as other political decisions need to be respected. However, the fact is that HDZ has not sold any shares to MOL and is not either INA employees or anyone else or this one or that one sold, however, at the end of the day there is no 50%. And I'm honestly surprised that the government doesn't invite those 6.1% of institutional investors to go to the assembly together and make some decisions.
ParlaMint-HR_2017-07-07-0.u43999	Thank you very much. Next replica, Mr. Bull.
ParlaMint-HR_2017-07-07-0.u44000	Thank you very much, Mr. President. Comrade Shuker, was there anything about pension funds and liabilities to people who were receiving pensions, whether it was transparent or non-transparent, it is now a minor problem. The fact is that people were damaged, the fact is that we're numerous of our resources from the INA that began the White Night Government of the SDPs and ended HDZ or telecommunications that were vice versa, started HDZs, and ended up handing over SDPs to foreign hands, these are facts. However, pensioners earned their incomes and sought models, but the fund suffered great burdens because our national wealth, and of course other problems encountered during the privatisation of job losses, robbery and no one answered. The fact that our system allowed examples of Agrokor 10 billion kuna using bonds without cover, that there... was stability of the financial Republic of Croatia and the CNB did not respond, the finance minister also who did not know what year it was so I can't know if it was you or someone else or third, but the fact was that Agrokor 10 billion were allowed to destabilize the state without currency and cover, of course. A coup on monetary policy and no one answers, that's facts. And today we have a problem with whether the Agrockor situation is going to affect the Peace Fund, too, and now we don't know what's going to happen. But these are all the mistakes that have been made and of course the Peace Fund has come where it has come from. So our numerous natural resources potentials like I said telecommunications, INA and other companies were destroyed. In my area of the Square, the Jujuplasty, the Dalmatian girl, the auto transport was all going a little bit into private hands. .../Speakers speak at the same time./...
ParlaMint-HR_2017-07-07-0.u44001	Thank you very much, Mr. Bull, thank you very much. Here you go, Mr. Shuker.
ParlaMint-HR_2017-07-07-0.u44002	Thank you very much, Mr. Vice President. Comrade Bull, if you had said you shouldn't have sold it you could have solved it that way, I wouldn't have replicated it to you at all. Because you just shouldn't have, I'm just today because of those stories you shouldn't have said where the money went. So for this privatisation part you know where the money went and everyone else could come and buy and sign up to buy a package of shares of INA. So it wasn't tied up, so it's a little emulsified that someone can do it, and someone can't. So whoever had the money he could buy and that's the facts. And I told you that 44 thousand citizens participated in the IPO INA process and 358 thousand in the IPO process. And when you talk about Agrokor, watch to use certain financial terms, it's not very dangerous to specify them. So in Agrokor something happened in 2014, so certain financial products that we talked about yesterday when we talked about fees etc., I said to banks are money goods that sell. They found some new product that they can, and now about, why someone didn't react in 2014 when they jumped the rapid traffic factoring companies. But you need to know who controls the factoring of society. You have one agency set up that controls the non-banking financial sector. So let's not push ourselves toward this and according to that, we know exactly who's supposed to be doing what. Someone took some steps and did what was done. But I'm saying that I wouldn't publicize it for a simple reason that none of us have enough information to talk. And at this point, the Agrokora situation is pretty sensitive and therefore we have to be very careful because let's not talk about Agrokor, we're talking about 46 or 50 thousand employees. Just one sentence, please, employees of the suppliers of Agrokor. [[Intruder Radin: Thank you.]] I think they're first of all... /The speakers are telling us at the same time./...
ParlaMint-HR_2017-07-07-0.u44003	Thank you very much. You have another replica, so you'll be able to add. Mr. Vlaovic, go ahead.
ParlaMint-HR_2017-07-07-0.u44004	Thank you, Vice President. Dear colleague Shuker. Here is the HSS club and I will personally support the Report on the Management of the Pension Fund because it has shown some sort of state as it is and there is no reason not to accept it and I support your debate in the context of correcting injustice against the pensioners. But it should be said that it is necessary to correct the injustices both against civil servants and tenants, teachers, teachers, our Croatian police officers because they too have been limited salaries and many of them have also sued the Republic and received courts and we see that at that point it was not all in line with the famous Croatian regulations and I will always stand by both workers and pensioners. And I volunteered for the replica since a large number, somewhere over 40,000 pensioners in the Republic of Croatia retired from agriculture whose pensions were 500, 600, 700 kuna. It has often been said here in the Croatian Parliament and in the Government that a solution should be found, it has also been said that the poverty threshold for Eurostat is somewhere around 1800 kuna, that no pension in the Republic should be below the poverty threshold, given the growth of GDP and growth in the economy, is there a chance that you can also discuss with your government that this problem and injustice should be corrected and, of course, correct if the government can collect most of them in the INA. Why don't you sit down, because you said that you were surprised why you didn't sit down to correct these problems both against the cops and the pensioners, as well as the INA. Thank you.
ParlaMint-HR_2017-07-07-0.u44005	Thank you, too. The answer to my colleague Shucker's replica.
ParlaMint-HR_2017-07-07-0.u44006	Thank you very much. We've gone from something, but it can meet us in the future. So at the time of the withdrawal of taxes on cadastrian income, which was tax reform in '93, and stopped charging in '95. years of virtual control or this way of retirement of pensioners who did so from agriculture have practically gone beyond any control. You know well that in the 1990s, the counties alone for the health of unsecured nursing households in agriculture have singled out an average per county depending on the size between 10 and 20 million kuna and 25 million kuna. That's a fact. And at this point we don't just have a pension problem, it can be solved at the time when someone estimates that they have enough money with some minimum state pension that... but you have a problem and social health insurance and a number of other things. Because look, in a few days we're going to be discussing the business of mandatory pension funds, what do you think these 5% that's being singled out is enough to guarantee tomorrow someone's pension. But look, we're fighting over some things here, and now that you're, who wants to make a decision in the future, you're putting on some big burden because you don't recognize the arguments that everyone agreed on at some time, you're putting a burden on him that's very dangerous to make some kind of decision that he just wants to go to a problem to meet and not wait for the problem to hit him in the head. Because at the moment when there was a pension reform and when it... People over 40 years of age have been told that they have to go to the second pillar of retirement and said that within 4 or 5 years of separation into the second pillar of retirement will practically go to 10%. [[The speaker doesn't understand.]] Unfortunately, because of the situation in the budget, the economic crisis left them at 5%. And today when we talk about 84 billion assets of compulsory pension funds, it seems a lot. But when we take it that soon it will start spending more significantly on pension payments and then something else will happen that the pension deficit in the state budget will be reduced but there will be payment commitments here.
ParlaMint-HR_2017-07-07-0.u44007	Thank you, Mr. Shuker, thank you very much. We've exhausted the replicas. We continue with individual debates. We have two more individual discussions. First Mr. Ante Babic.
ParlaMint-HR_2017-07-07-0.u44008	Thank you very much, dear Vice President of the Croatian Parliament. For the sake of respect of this House of Commons and after the vote, I will seek to minimise my replica. Actually in a few things...
ParlaMint-HR_2017-07-07-0.u44009	It's not a replica, it's an individual debate. And you can cut her off if you want.
ParlaMint-HR_2017-07-07-0.u44010	Well, I won't, okay. In most parts, I repeat myself with Mr. Hreja and I think he's very good and much better perhaps explain than I would in this individual debate right now. But because of the chronology of pension events or rather because of the pension reform itself since the '90s, I'm just going to have a few data relating to this pension fund. So founded in '93. The year HPB Invest managed, what I've said since '90, '93, should be said. For years, everything that's been happening to us has actually been conditioned by one part of the things that have been related to the retirement debt. Then the fact is that a large number of employees fell but increased, the number of pensioners increased. Since 1998, the government has actually determined the first actual value of these pensions, of course until then. This coordination occurred, the debt to the pensioners and, according to the Constitutional Court's decision, which was spoken of by Mr Hrelja from 12.0.5 1998, was compensated by compensation from 2006 to 2013, amounting to 10.3 billion kuna. In addition to the compensation under this Law on the transfer of State budget funds to pension and disability funds from 1.1.07.2018 that famous pension allowance of 100 kuna plus 6% was also paid. Since 01.01.1999, in the framework of the Peace Reform, there has been a new Pension Insurance Act, and this is where this problem also arises, as Mr. Hrelja has said about the actually calculated period, which gradually increased from three years to 2000 from the 10 most favourable years you've talked about to that entire working life. But then it increased, so we didn't say penalization from those 6.65 to 20.4% for life. This initial calculation of the current value of pensions is according to the level of pensions since 19998 then by making certain decisions related to pensioners, which we have spoken of since 2003 for 750 thousand pensioners so-called. The old pensioners on behalf of the special supplement have been paid... billions of kuna and actually that average supplement was somewhere between 160 and 170 kuna. In order to compensate old pensioners for this period from 01.01.2000, pensions from 0.5 to 20% were increased due to these removals in the difference between pensions achieved in different periods. [[The speaker doesn't understand.]] Under the law in 2003, 2.4 billion kuna was paid. So because of these two increases, these old pensioners were paid $3.9 million, as Mr. Shuker also spoke of. This pension fund has enabled its members to choose the compensation model that A and B were also talking about here and I will skip it as such to shorten the time but what was not said was actually calculated and allocated interest to fund members of the €2.3 billion in such a way that the amount of interest was divided by the amount of compensation then and then the amount obtained is actually attributed to the amount of compensation. And according to one kuna, actually, the compensation was about 0.19 kuna, or 19.9 almost 20%. In 19.11.2010, the government made a decision on the transfer of these regular shares of HT amounting to 2.9 billion kuna. At the end of 2012, 6 wars of compensation per model B amounted to 700 million kuna and 6 other wars of 117 million kuna were paid. So, without repeating this, it continues to appear in the report, where at the end of 2015, another 180 million was paid as a one-time monetary income to users in compulsory pension insurance, and this is linked to this generational solidarity in accordance with the government's decision. Now, to conclude, the government must have given its maximum in paying back the pension debt. The question arises whether this is enough, whether it could be more, whether it was fair enough, what are also asked about the queen of the Croatian pensioners and the Croatian Retired Union. Of course, that we should always try to improve the status of our pensioners, try to make their pensions bigger, and we will certainly be able to make it a better economic situation and think towards all pensioners in the Republic to have a dignified age because all of us present one day will come and have the status of pensioners. I hope so, thank you.
ParlaMint-HR_2017-07-07-0.u44011	Thank you very much. Mr. Granny, you have three replicas. First Mr. Pernar.
ParlaMint-HR_2017-07-07-0.u44012	Thank you, Your Honor. I would like to say that the pensioners are significantly damaged by this system of these pension funds, because the basic assumption or premise of the law was that the property of the funds will grow over time, that it will be economic growth, that the value of the shares will go up. Today, however, we have a situation where the assets of all the funds fall, that businesses fall behind each other, and that, in the future, they wait for us towards even the government itself, 25% less pensions, and the question of what will these people live on. Thank you.
ParlaMint-HR_2017-07-07-0.u44013	Thank you. The answer to Mr. Babic's replica.
ParlaMint-HR_2017-07-07-0.u44014	So, if you were Mr. Pernar here today in the assembly, then you could have listened to it since 9.30 this debate about the Retirement Fund Report. You've actually missed the topic, and what you're saying is you're not saying, you're replacing actually a mandatory pension fund with these funds related to capitalised savings. It's a mistake, no.
ParlaMint-HR_2017-07-07-0.u44015	Thank you very much. Mr. Hrelja has another replica.
ParlaMint-HR_2017-07-07-0.u44016	Dear Babic, do you know when the compensation models were negotiated how there were 2 billion and 300 million kunas in the first place? When model A and model B were offered, the question was raised and what about the delay in the decision of the Constitutional Court from 1998 to 2004 when the first payment took place. And then at the table was offered 2 billion and 300 million kuna, so it wasn't 19%, but it was 19%, 97 interest on these founding units, or on the units in the fund. So, the second thing I wanted to say is that 100 kuna and 6% also continued to be paid to everyone and was put into retirement and to those who received compensation and those who did not receive compensation, it was at the time of the adoption of this law somewhere a billion and a half at the level of the year, and today it fell to a billion since nature makes its own, or people die. Also, I have to when we've touched 100 kuna and 6%, I have to say that there are 20,000 pensioners who have never received 10 kuna, 6%, because those who retired in 1998, after 01.06, and they are not covered by the Constitutional Court's decision, and they are excluded from that second supplement of 4 to 27% because they are essentially not new pensioners by reform.
ParlaMint-HR_2017-07-07-0.u44017	Thank you, Mr. Hrelja. Mr. Babic's answer.
ParlaMint-HR_2017-07-07-0.u44018	For a little while. True, from '93 to '98, pensions didn't harmonize beyond the law, they were actually with certain regulations, what you said, and according to it, the government of the Republic of Croatia then determined the first actual value of the pension. So, '99. the year was the starting value of those 35.16 points and you are right there, I also know that through the Matica pensioners of Croatia and the Retirement Union of Croatia, which is that there has been no correction to the new pensioners with this current pension value, and that is now actually the main reason for today's 20% difference in the average pensions of these old and new pensioners, which you have said several times today, so there is no point in repeating it anymore. Thank you.
ParlaMint-HR_2017-07-07-0.u44019	Thank you very much. The last replica, Mr. Shucker.
ParlaMint-HR_2017-07-07-0.u44020	Thank you very much. My colleague Babic, so 13 billion and so many millions has been paid. But I think what we should say when we discuss this report, and especially when we discuss the 2016 report, no matter how much anyone tries to politicise, as much as anyone tries to collect some political points today, it's a model that's definitely hit. What the alkari would say is, there are no colleagues of Bulja, in the srid, because if you don't have hundreds of thousands of lawsuits, you can talk about promiscuities, then that means that it's hit, and I don't think we have any moral or human rights to talk about today. Because if the taxpayers, so the citizens of the Republic of Croatia paid so much through the budget this way, because if the privatisation money hadn't gone, it would have been a smaller deficit, but the state would have had to do otherwise, but there were no models, and on the other hand Croatian citizens were compensated and they were satisfied. And the taste of the story should be about it. Unfortunately, however, we always want to twist the story here to collect some cheap political points, but people have already learned some things and it's hard to trick them, in the end these local elections have shown the best.
ParlaMint-HR_2017-07-07-0.u44021	Thank you very much, Mr. Shucker. Answer.
ParlaMint-HR_2017-07-07-0.u44022	Just for a little while, yeah. Mr. Shuker was saying that in his individual debate, the truth, and we're just doing this again. You said in fact that all governments from the very beginning to the end were aware of the problem with the pensioners, gave their maximum effort and effort then to solve it in the best possible way. Speaking of those real politicians, real politics and politicians is one noble social discipline and what has been heard here today in this House is politicians and they are truly the weeds of Croatian politics. Thank you.
ParlaMint-HR_2017-07-07-0.u44023	Thank you very much. The last speech is Mr. Maras. Here you go.
ParlaMint-HR_2017-07-07-0.u44024	Mr. Vice President, I am pleased to see what I can get into the debate after real politicians and hold my discussion, so I, who is here, am trying to contribute to the quality of the debate, the arguments, not to collect cheap political points, but rather to accept political criticism at times, but to make my views very clear. If I may, please, just a little bell, Mr Furio, let it be a little bit of an atmosphere.
ParlaMint-HR_2017-07-07-0.u44025	.../Intruder Radin: Voters are gathering. We could've cut directly to the vote, but I still wanted you to talk too, so then have an understanding for me. Here you go.
ParlaMint-HR_2017-07-07-0.u44026	Okay. I always like to talk when it's like that. So, a club of MPs like I said to the SDP and I as a representative will personally support, thank you very much, we will support this report because we think in some way for nearly half a million of our fellow citizens 488 thousand 577 of them were corrected by the injustice that took place during the 1990s when it was '93. In 2013, the government of Nikica Valletić, the HDZ government decided to freeze pensions and decided to wrong the pensioners and God gave them that they had then frozen and privatised themselves, and that we had not even been privatised during the years of war but had decided to correct the injustice and that it had been achieved in the Croatian Assembly by all political parties in order to return the money to the pensioners and about half of the pensioners had chosen a model that had been used to pay faster in two years, and the other half of the pensioners had chosen a model that had expired or expired in the past few years 2013. So on that side no one can be against this and the fundamental difference that has arisen between those who have discussed today is basically how we spent the collection of that money. There is one concept that went for the sale of the most valuable Croatian property most often, and nobody can convince me, and with a certain intention to make use of that moment of raising money. And the second model that we have applied since 2011 in the following year, which said that this could also be done through debt, i.e. when the state stands behind a company that manages the Peace Fund and in a way that enables it and stands as a guarantee that this money will be returned. This first model, which was part of those first years 2005, sixth, seventh, regardless of what some in their debate would say, couldn't otherwise because we had been monitoring the IMF of the World Bank and certain other institutions, I think it could have been different and had to be different. Because if we had listened to what the world institutions have told us and the European Commission would never have passed, for example, a law that regulated the conversion of credit into Swiss francs. Also, for example, at that time, Finance Minister Ivan Shucker could have opted for such a model and not for the transfer of shares to the pension and pension funds and the sale of those shares which then resulted in, unfortunately, we are trying to get to those shares that we sold back then, in particular, the INA shares. [[Intruder Jandroković: My colleagues and colleagues, I beg you a little, let's be correct.]] Although no one in this House has said more this year about what Prime Minister Plenkovic announced, but the story was lost somewhere in the transmission, so it's gone. Lost in translation, no more talking, no more INA being mentioned. But that is why during those years, we have decided to settle this money by selling shares of these companies, which, unfortunately, we no longer have and which will be very difficult to put back into Croatian hands ever again. And another fund, the defense fund was also used to make it so I have to say that it's not true what fellow Shucker said that HDZ didn't sell any shares of the INA. Normally, HDZ didn't because HDZ didn't even have INA shares, so it can't even sell. But the most responsible HDZ members, Jadranka Kosor, Ivo Sanader, ordered the sale of shares of INA in the defence fund. And according to this information that I have one week in the defense fund, we're not going to sell INA shares, and after a week of that 7, 8% of how much INA's defense fund is still sold. Now you tell me if it happened by chance or if the people associated with the government at the time had any influence on it. Maybe it's an accident, maybe all people really changed their minds in seven days. But I think they had to have some incentive, and that's not exactly why my colleague Shucker said earlier that with the INA, with the stocks, watch out HDZ had nothing to do with it. It's simply false and incorrect. And that's why in the future, when we're doing this kind of compensation for making amends in the '90s, and there'll probably be more. You should never again reach for the property of the Republic of Croatia especially for these most valuable companies which, unfortunately, we now have to try to return, and I don't know if we'll succeed. And in these very difficult conditions for discussion, Mr. President, in these very difficult conditions for discussion simply as if it didn't make sense. People are so nervous that at a low start they're waiting for a vote, and I suggest next time they break up, if it takes 10 minutes before people get together, not that this is how people who come in at 12 o'clock or 5 to 12 in the line for the debate just can't hear themselves, let alone everyone in the assembly hear them.
ParlaMint-HR_2017-07-07-0.u44027	My colleague Maras, I agree with you, but this is not a criticism, it is a criticism of both your colleagues and everyone, because no one listens and unfortunately, I beg you, let's finish my colleague Maras, there are two minutes left, and then there will be a vote.
ParlaMint-HR_2017-07-07-0.u44028	It's a criticism to everyone, as much as a man is thrilled about this presence of a large number of MPs, then that thrill goes away, after you see that people don't actually listen. So, I'd rather not have five people listening to me in the assembly than 150, that would be a lot of holding. That's why I suggest... Next time, stop the debate 10 minutes early, and let's get together and vote. [[The speakers speak at the same time, of course.]] Thank you very much.
ParlaMint-HR_2017-07-07-0.u44029	Thank you. This is what we came up with just before the end of the debate, but a distinguished colleague, Ivana Jakir-Baja, is still going to address the board of directors of the pension fund. Here you go.
ParlaMint-HR_2017-07-07-0.u44030	In the end, I want to thank everyone for all the representatives in the debate, and about the report on the operation of the pension fund for the period 2010-2015. Since the 2016 report has also been delivered to this home, I would say that this is one introduction to the debate, and on the other hand, since the last war of compensation has been paid in 2013 I expect soon also the Proposal for a Law on the termination of the Pension Fund Act. And thank you again in the end.
ParlaMint-HR_2017-07-07-0.u44031	Thank you, too. I'm closing the debate. We'll vote when the conditions are met. Now we're going to go to the vote. Point we had today at the debate: Report on the operation of the Pension Fund from 1 January 2010 to 31 December 2015. The applicant is the Management Board of the Pension Fund. The debate is closed. In accordance with the proposal from the parliamentary working bodies, I am voting on the following conclusion: "A report on the operation of the Pension Fund is hereby adopted from 1 January 2010 to 31 December 2015. Please, let's vote. I find that most of the vote 119 votes in favour, 2 abstentions have reached the conclusion that it was proposed by the parliamentary working bodies.
ParlaMint-HR_2017-07-07-0.u44033	[[CONTINUATION AFTER MEETING IN 12.55 HOURS]] Please take your seats. And now we continue as the President of the Parliament said with the point: - Annual Report of the Croatian Science Foundation for 2015. Carrier: Croatian Foundation for Science. The applicant shall be the Croatian Science Foundation under Article 18. Law on the Croatian Foundation for Science. The motion for an act has been delivered to you in boxes. The discussions were conducted by the Committee on Education, Science and Culture, and you received the report at the session. The government also delivered an opinion. Does the reporter want to give an additional explanation? Yeah. Dear Executive Director of the Croatian Foundation for Science, Hrvoje Mataković. Here you go.
