ParlaMint-HR_2017-04-05-0.u25144	Are they interested in taking a break? There are. Representative Alexic.
ParlaMint-HR_2017-04-05-0.u36166	Thank you. Next debate, MP Boris Lalovac.
ParlaMint-HR_2017-04-05-0.u36167	Thank you very much, Madam Vice President, distinguished colleagues and colleagues. Well, here we are talking a lot today about the situation in Agrokor. In fact, we don't even know what the situation is, because the latest data we actually have in public is 30.9.2016. So we don't have the data for half a year. It is now the third month of 2017 so that only guesses how much the debts actually are, how much of them are due to what's most important. However, there has been a lot of talk here today whether this is system law or yes or no. What did my colleagues say was not a system law, and we'll try to say in a few words why this isn't a system law? This is a law exclusively for Agrokor, but it's not a problem for Agrokor, it's not really a system firm that's connected to Agrokor. What's going on here? It happens here that standsteel will only be made between Agrokor and the banks. The question arises where is standsteel between suppliers and banks, between suppliers and state, between all of them in the chain? Because no one knows what a group of connected companies are in Agrokora. Believe me, no one knows. You know why he doesn't know? Neither does the Croatian National Bank. Because it's not just a group of related companies owned by you. A group of companies is seen in economic terms, how economically you are related to this company. If you make up 50 or 60 or 30 or 40% of the company's income and are dependent on it, you are a group of related companies where it is systemicly important. And why are we talking here and what are our suggestions? Well, anyway, except for what we said this couldn't be the only law. Certainly what must be done first is to agree with the governor of the Croatian National Bank to secure liquidity in the system. Today we are constantly talking about the indifference of Agrokor, we are talking about the problems of the supplier's liquidity. We don't know what's going on with the suppliers. We don't know how deep that goes, and that's why it's necessary to ensure that the CNB's kuna liquidity is in the system. It must not happen to us that numerous blockades lead to a blockage of the entire system. Number two, what matters is if we've been told here for 15 months that we're putting an emergency administration, the question is, or must go with a tax debt reprogramme to everyone. We can't just go to suppliers. What's going on now? The state blocked Agrokor with 200 million kuna, but suppliers owe Agrokor 16 billion kuna. The question is, how can suppliers pay VAT? Those who are up to three million kuna, if they are charged by cash, they do not have to pay for it, however, if they had to pay for the bill. But you know what the further problem is? how the state can then block those suppliers, and the main indifference in the system was carried out by Agrokor and it is according to tax laws a guarantee of pay for their VAT. So what we're proposing is that, with this law, you have to urgently pass the Tax Debt Reprogramme Act for all of them, so we can't just put for one supplier, would it be in this context of some form of support, rather than putting for all of Croatia, and you're giving them 15 months. If they find themselves in trouble how long this law lasts, give them 15 months so they can pay their tax obligations to the wars. Because look, if they're frozen that Agrokor won't pay them for 15 months, and on the other hand, the state has last said by law that Agrokor guarantees their tax, you've put these entrepreneurs in an unequal position. The state is then responsible for the non-payment chain and must not ultimately block it. It doesn't matter what the law requires, but on the other hand by law and Agrokor should be a guarantee... for all those suppliers. So that you wouldn't find yourself in this situation I suggest you pass the Tax Debt Reprogramme Act like we did in 2012 and make it easy for all suppliers if they find themselves in Frank's problem, the Dukats of all these companies because if they're blocked today they're not going to be able to pay their salaries tomorrow, they won't be able to pay the VAT, they won't be able to because they're blocked. And imagine who blocked them? Why are these going so far? They've been blocked by small banks and then you'll have a system... that will drop a few small banks necessarily. And that's why the small banks were first in the system, and that's why the CNB doesn't just have to look at big banks. You also have a lot of small banks that have been leaning on suppliers, and if you've been reading well who's blocked them, they've just been blocked by small banks. What's the systemic risk behind the small bank? I know that they are not systemically important for Croatia, but there is one chain that can also take them. I'm just asking what Hanfa's doing? My people have ten days of panic on the market, stock price is down 60%, everyone's watching. They had a legal obligation to stop the trading of shares of Agrokor, not to create speculations that appeared in public. So what happens now? That speculators buy Agrokor stock and bonds at 10, 20% value to resell tomorrow. The state and everyone planted their backs to solve this problem, the speculators will make money in the state. Why HANFA, which is the obligation of HANFA, was when he knew that this extraordinary situation was eaten and the government said that the emergency situation was a special law, why it did not stop trading shares. 60% fell shares of Leda, Jamnica and other companies. Why? That they're valued for, then those shares are sold. See how the value is destroyed and whose value is that? The supplier's value is dropping. By 60% of those who had the collateral Ledoux was worth 100, today it's worth 30, so it won't be covered. The question arises why trade has not been stopped and it has to be done if not today all these days until it is seen in which direction Agrokor will go. Is that how the company was insulted 60% in seven days, and no one reacts in seven days, and that is the regulatory obligation of the regulator to stop speculation and to drop the value of the company that the state is trying to save, and now it will earn the speculators. About the reprogrammes when we talked here, let's not just talk about the program... the style of Agrokor. What will the CNB do to reprogram the supplier's loan to the banks? They have their own obligations. Who can last 15 months so no one can pay him? And on the other hand, Crash, Vindy, Frank has to pay his interest and commitments to his banks every month. Where's the law? We're talking about Stansteel why there's no law here, then we'd be saying that this law is systemic, then it's system law, and then suppliers won't come here so furiously looking for their rights. Give suppliers a re-tax programme, not just for them, but for everyone, if this is an emergency, give them at least 15 months won't affect the state budget. You have a stable state budget now especially because summer is coming, you will return to that part of trust, now the most part of both taxes and VAT are collected, 15 months you will not feel anything, and you will get a lot. What happens in a few days, Petrochemy? The only main buyer, Agrokor. What solution do we have? And tomorrow Petrochemy won't be able to pay taxes. Agrokor doesn't take away how you handle it? You must pass the Tax Debt Reprogramme Act if Petrochemy is found automatically in it and let more in that part eat something in the Ministry if something didn't happen to someone. He's got the law, and we're all gonna support that law, and that's the system law that supports this law. And then they go side by side, not that someone in public is speculating whether someone got shot or didn't get shot. This is how these problems are dealt with systematically. So these are several legal solutions that we expect the government to be very soon as a package of these measures. Keep them in line, I hope none of that happened, but you have to have them ready. You must have them ready if no one knows how many groups of connected companies of Agrokora. Look, those who gave them money don't know that, not us. I'd be here once again a little bit enough is a matter of policy influence, I wouldn't be saying anything here. Look, who was giving money, how the system worked. Agrokor had a yearly payment of 2.5 billion kuna interest, 2.5 billion kuna on 25 billion kuna. You know how many states he's paying? 10 billion interest on 280 billion kuna. Watch the ratio, 2.5 billion to 25 billion and the country's entire 10 to 280, and the state can't handle the burden of interest. The state cannot withstand the burden of interest, not Agrokor with 2.5 billion kuna. So it's just a whole system. If a new one comes with a stand still, unless they give him a 3.4% interest, the whole system can't be kept by my people, because he's got to put all his profits on interest. He's got to put all his profits on interest. And also for suppliers, very short. Why did they go into the Agrokor system and finance it all the time? Just because they had better margins than they had in strangers, everybody knows that, and that's why they gave them away. However, the problem would be payment deadlines. The problem would be payment deadlines where foreigners simply paid you payment deadlines but they had our suppliers 0 earnings. And our suppliers couldn't grow, we can talk about one or the other, they couldn't grow on foreign trade chains, and that's what I last said, why our products aren't in foreign trade chains in Italy, Austria, Germany, etc., then our suppliers could grow. They grew through Agrokor, so they spread to Bosnia, Serbia and other countries, and thus they grew up to be Frank and Agrokor and Vindi and all of them, and therefore they participated in the entire chain, because they encouraged the Croatian economy in that part. I'd like to move to the side of the chain and the problem is to write off the debt, in which way and write off the claim, if they lose the distribution channel, I'm afraid it's going to be a difficult process to restructure, not the Agrokora of my people, the suppliers of which is 6 grand. Thank you very much.
ParlaMint-HR_2017-04-05-0.u36168	Thank you very much. I'm sorry to interrupt, but this is one of the few constructive discussions today that can help make this law better. We have three replicas on your exhibit, the first representative is Ivan Pernar.
ParlaMint-HR_2017-04-05-0.u36169	Dear Mr. Lalovec, you're the former finance minister, you've probably been sent yourself to many of the troubles around Agrokor. But I would like to point out this key problem that will happen if this law is passed. Namely, there are currently small banks, which you mentioned went with the supplier's blockade. Why aren't they big? The big ones aren't because they agreed to stand still, so the big ones were willing to stop the forced charges. If the state votes this law, if the large banks, if they take away their power over Agrokora, and the government will do so to them and they will not be able to be forced to charge Agrokor, it is 45 million, i.e. 45 billion kuna credits. Who are the banks going to go to? The banks will go to small suppliers. So for now, small banks are flogging the bonds to suppliers, the regressive ones, as they are. If this law is passed, there will be a flood of suppliers that will be covered by executive proposals by large banks. So the moment this law is passed and implemented, Agrokor is saved and all these suppliers are going to ruin. And this is something that the Croatian public, i.e. before the Croatian public, or those who support this close their eyes, will eventually be the solution again so that Agrokor will be torn apart and sold out. It is better now to sell the profit parts of Agrokor and to calm the suppliers than to extend the agony and destroy the suppliers to the end. Thank you.
ParlaMint-HR_2017-04-05-0.u36170	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u36171	Thank you very much, Madam Vice President. Dear colleague, yes, there is certainly a small bank issue here. I know that the CNB is not so focused, but we have them and we need to develop them, and that way, the CNB should also provide them with additional liquidity. That's what I am, which would certainly expect the governor to talk not only about the big part but about what happened to the little one. But here is definitely this question, if we're going to solve it completely, this isn't the whole solution, that's what we've been trying to say all along. There's no complete solution with one law. There is no solution with Alvarez's men. What are we talking about? We've got a singer coming in here right now and we've got problems in the country. We've got problems in the state. So the question is, what you said to the Viaduct is, you ask other companies, Petrochemy, you ask the whole system. That's why we have to go with these measures. Liquidity has, the CNB finally what I said must finally be Croatian, to provide liquidity additional in this situation. This is a situation worse for me than we had in 2011 when the liquidity was so much, the indifference so much, it was already dead companies. These are companies that, in GDP, mean 2 to 3%. Watch your salary in Agrokor, no one's said that yet is about 2.5 billion kuna. Your total net salary in Croatia is around 77 billion kuna. That's 3.6%. Do you know how this will pull back and affect the GDP fall? Is that what anyone's thinking? You'll see what your third quarter looks like. Today we boast that we have good indicators. It's too important this situation, you see how suddenly, all of a sudden, it can all slip away. If 3.6% of people who influence net wages and the minister calculated how much tax reform means to him for GDP. Let him calculate how much he pays in Agrokor on the impact of 60% of consumption so you can see what that part is going to be, so you can see all suppliers, to see what happens to our suppliers who are exporters, who, through Agrokor, placed in Serbia, Bosnia and Herzegovina. You know why the Slovenians were against Agrokor? Well, of course they were because retail is the strategic industry of every nation, every nation is retail. Why are they fighting like that? Why do they fight so hard that they can simply push their domestic production through retail chains?
ParlaMint-HR_2017-04-05-0.u36172	Thank you very much. Next replica Silvano Hrelja.
ParlaMint-HR_2017-04-05-0.u36173	Dear fellow Lalovac, I am not sorry that I came back here for this debate, because of this very quality debate of yours, and I'm just sorry that she wasn't here this morning, so maybe I'd like to discuss this whole law with each other. Maybe we wouldn't be hitting on some of the life-saving solutions of this law. Perhaps a lot of them would swallow some of the praises that today said on the subject of this law. So thank you for this contribution. So I had a certain suspicion that this could not be solved, this law cannot be solved by itself because my suppliers were left out. But now I kind of thank you for some clarifications. What I've been offered is your review on HANFA. Yes, but we need to understand one thing HANFA is a foreign body in the system, it is an institution that controls or respects the law in that financial part. But her responsibility for the state of the budget, for the state of state finances, is equal to zero. And they can sleep neatly. On the other hand, since I am engaged in pension funds, I am glad that they did not wait, so the mandatory pension funds did not wait for HANFA's recommendation whether to sell, not sell, when to sell those shares, but by their instinct and by following the market and following the events on the market much earlier they started selling shares from portfolios they had, from portfolios of companies associated with the concert, so Ledo, Jamnica, etc. So possible damage to pension funds, for the second pension column, mandatory pension funds are reduced to a minimum. So there are some quality people who should often consult and representatives of the Government when studied [[Intruder Opačić: Time.]] events on the market. [[Intruder Opačić: Time.]]
ParlaMint-HR_2017-04-05-0.u36174	Replication response.
ParlaMint-HR_2017-04-05-0.u36175	Thank you very much, Madam Vice President. Your Honor, I've only asked one fundamental question. If the company, panic is on the market, no one would say one word to them if they had frozen, stopped trading while theirs, had powers to do so, until the situation calmed down. Let the company fall 60%, that panic so deepens 60% at the very beginning of the restructuring and standstill of this law you have 60% of the company that is less valuable. The state is planting its back, we're here to discuss it by midnight. But something 60% is now worth less on the market. They bought speculators who are now waiting for the state to plant their backs, to restructure it and sell it nicely. So in situations like this, that's why we talk all the time, in situations like this, very quickly and soberly, those who have experience should react. HANFA reacted several times when certain shares were traded, when it froze and said such situations were happening. We say what's the impact? So look at the numerous investment funds, pension funds, Leasing houses, the factors were certainly one of the leverage funding of Agrokor. But let's go back to the basics of this part. Today, he's being charged with one or the other. As many as in Agrokor's Croatian suppliers as they participate in Agrokor's retail chain. We let go of all kinds of stories like in Lidl, why don't they go to Lidl, why don't they go to other things. Why foreign chains work in Croatia, do transfer prices and losses. Everyone, today we're talking about the loss of Agrokor. Do you know how many taxes foreign trade chains have paid in Croatia? Profit tax? Go to the website of FINA and see how much foreign trade chains have paid in Croatia, what goods have they sold us? They sold us a zero that they themselves analyzed was much worse than in Germany and such other goods. You have to understand one thing. When it comes to retailing, this kind of thing is not a national chain that sucks and a number of others and Slovenians were. This is a national issue.
ParlaMint-HR_2017-04-05-0.u36176	Thank you. Next replica, Franco Vidovic.
ParlaMint-HR_2017-04-05-0.u36177	... I'm sorry that you didn't get a chance to argue like this during the morning, and I really think that Mr. Hrelja would probably have the whole debate in another tone. [[The speaker doesn't understand.]] But what makes me even sadder is that Mr. Plenkovic did not pronounce such a text and that he did not point to problems in the way you pointed out in 10 minutes. He at 20, 25, 30 and Mrs. Dalic, who has now entered, did not point to these problems, unfortunately. And thirdly, it is that now you can actually see how disabled the government is that Mr. Zdravko Marić can in principle not participate in all these financial transactions, that is, in this attempt to save the drowned. Also, if there was more time for this law to go three months ago when it had to go, then we would have had time to discuss it and probably some of these proposals would have come to the ears of the ruling ones, so it might have seemed different today. This is how they proposed a law that is unacceptable to us.
ParlaMint-HR_2017-04-05-0.u36178	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u36179	Thank you very much, Madam Vice President. So here we are, in fact, not only were we talking about the legal opinion regarding this law we said that this law must have a set of laws, that it is very serious for us, that it will actually be seen here only later how to calm suppliers, how to reprogram these debts, which are all the instruments that the government can have and which would actually government act. And what we are, I'm saying that these 5, 6 measures are done by what we're proposing, and what we're proposing now, what they can do within seven days can bring it. In seven days, they can bring it, or they have to have it. Because if Petrochemy opens to them tomorrow, if any of these companies are opened to them tomorrow, we won't know my people. Then there's going to be a panic about whether or not someone's answering someone, how we communicate. Let's create all the possibilities because I think this is a very serious thing. Summer's coming, you'll see how VAT affects consumption, you'll see how it affects consumption. You're the worst when there's fear in entrepreneurship. Worst fear, fear of giving him the goods, if I'm going to charge for the goods. And what has been said here today must be given to the suppliers a break on these regression bonds. My people, why didn't they sign the standstill? Because they have to pay their own goods once more, so they're in that section and they have to be given a break for Stansteel. But on the other hand, the CNB must also connect the entire system to the banking system and stop that part and stop the company's downfall and not sell now. You know what, gentlemen, they'd all buy it today, there are customers, but at 20% of the value. And what can I tell you if someone sells 20% of the value, you know what that means, that 80% has to be written off if there's no money for everything. And that's why we had to stop the drop in value and calm down the situation, because without it, unfortunately, we won't be able to get away with it. That's why we need to find... in this section but it has to stop the company's downfall. And let's not even talk about some sale right now, is it normal to have them, but there are 10 to 15% of them. Thank you very much.
ParlaMint-HR_2017-04-05-0.u36180	Thank you. Next debate, MP Miro Bulj.
ParlaMint-HR_2017-04-05-0.u36181	Thank you very much, Mr. President. Here we see on the case of Todorovic and Agrokor that some 25 years, i.e. Here are 20 years of Croatian country i.e. freedom, and 27 years from the draft that the Croatian economy is i.e. The Croatian state has lost most of its sovereignty. So when we speak often remember these glorious days of the Homeland War where there have been numerous victims we go to memorials, there are monuments, but surely these victims were not that here today, from this debate, would have visibly brought the economic situation to this level as it is today, the fact that the economic sovereignty of the Republic of Croatia does not exist at all, and that the inequality of the Constitution guaranteed by what was killed by Croatian defenders simply is no longer guaranteed. Here we observe the CNB in the case of Agrokor where I'm telling the Vice Governor where he says they've long been familiar with it, that they've been giving risk credit to Agrokor who were, that the banks were giving, that they were following it, that they have a system where they can track it where the long-red light lit, but so far there hasn't been any reaction. The policies that were being implemented also kept quiet about everything that was happening in Agrokor so he took over the entire economic system, one person risking all that sovereignty, putting it at risk in the Croatian economic system. Unfortunately, this equality does not exist, and Mrs Dalic is here, there are also former ministers who can tell if there is the same possibility for a farmer who has his OPG not charged and Todorovic does not exist. We are talking and mentioning Todorovic, he is now in a comfortable chair from his own court watching this, surely he has secured one ten of his next generations. Instead of doing what the system needs to do to make one of the laws that we should have passed, we hope that a law on the origin of the property will be passed where a good part of the supplier and the manufacturer could certainly be charged from that property from a number of corners, that we do not list further which have their own empires. We also have a secret service problem. What were the secret security services doing, protecting the economic system and the sovereignty of the Republic of Croatia? No, they're not. Here's a great opportunity for me today to say that yesterday I was with Dalmatian workers, women are similar to Kamensko, there's a similar thing in Solin, Osijek, and Sibenik, and Zadar in all the environments, it was a giant with three thousand people, the most women who built the entire Cetino area. 300 women cannot reach nine million kunas of their claims, i.e. Your salary. For what? Because the state refused to give up its specific claims. Of course, and around Todorovic and others who should be of course where they belong, and their place is to take property and respond to policies and answer for what they have done, nothing has been done. So certain companies that had prosperity were simply brought today to the brink of blocking accounts. Why? Because the appearance of Alvarez III or what it is called today shows who we are, what we are and how we hold to our dignity, where these stories are now when we enter the EU that we will be protected, that we will be protected by the economic system, that politics will develop Croatian society, today unfortunately because of this system 2/3 of Croatia is abandoned, empty. We only have something still in Zagreb, and that's questionable. The key question here, what happens if we pass this law, what happens if we don't? Which will be, otherwise here's one or the other. All day we've been fighting the law is good, the law is bad. Well, gentlemen, everything is ruined. How do you get it back? Who will return 100 thousand men to Slavonia of farmers. Todoric and the other corners must sit on the bench to respond to their withdrawal of property, and for the economic system to fight, our villages must return until there is no production, until there is no livestock we have nothing to talk about. And about these laws written on paper, we can freely tear them apart because none of them were respected and not equal to that peasant in Slavonia and not according to Todorovic. Therefore, these stories passed by the law today, did not pass the law, Ivica Todorovic and the team that enabled him, robbed the Croatian state with the help of the CNB, all ministers, and we can discuss the laws until the institutions do their job, until the law is respected, it is not equal to everyone, equality to that peasant who manufactures and Ivica Todorovic until then we have no luck. People don't believe in the judiciary, people don't trust the DORH, people don't trust the SCOTT. Right. As an economic crime if in the market grandma sells something, some product of her own and what happened in the Croatian state that one man took over the entire economic system and literally brought us under the feet is an indicator of how policies were implemented and what policies were conducted on all issues. What do you expect? What do you expect when we have Parliament, when we have a government and a person comes to us from a hundred countries and acts like he's a king? Is this a message from those policies to a man who doesn't know where he's going with him now, to a young person who's going to third countries, only to be able to feed himself and we have the biggest resources? In order to get back, we have to obey the laws of all equals, so far it has not been done. In what way some institutions say, however, the CNB should first ask why it allowed, for the HBOR bank, all governments, all the policies that led to this situation. Thank you.
ParlaMint-HR_2017-04-05-0.u36182	Thank you. Representative Ivan Pernar reported on the replica.
ParlaMint-HR_2017-04-05-0.u36183	Thank you, dear colleague. I urge you not to support such a solution that is not really a solution. In fact, even if 60 thousand workers of Agrokor, even those outside Croatia, if they all sold one kidney each, that would not be enough, it would be about a billion and 200 million euros. With that, maybe, we couldn't pay the Russians back with it. So these are simply such figures and any delay in the liquidation of this monster created by Todorovic simply leads to the continuation of agony and shifts the problem to suppliers. That's what this government is pretending to be stupid, pretending to be retarded, and pretending not to understand. That these suppliers that aren't in the ownership structure of the owner's de facto are courtrooms for those debts. They will be matched by these debts like tsunamis and the government has no solution for them. Then what are we going to do about some special law again? Probably not, they'll probably tell the prime minister then, and ha, they're not systemically important, let them fail. As for 2,000 suppliers who may be hiring together even more people than Todorovic, the government is not interested. The government doesn't care about the truth. The government is not interested in justice, the government is not interested in lasting solutions. If this government had permanent solutions, that this government's economic policy was right, we wouldn't be discussing this here at midnight today. But HDZ and SDP have brought us all together to discuss this here today. And what's worse, even when Agrokor's problem is who's actually going to be next, the goal is to destroy everyone and eventually sell out the whole country and say goodbye to Croatian peoples from these areas. There's this song, "To displace us so that there's less of us, they won't, as it says they weren't there, and then they'll tell everyone." That's what's going to happen to us, that's what happens to Croatian youth, that's what happens to the property that the Croatian people have. And this same MOST unfortunately voted together with HDZ to introduce real estate taxes and introduce such laws. So what does the average man have of it? We'll end up all on the street, and the people, that's what this policy supports. Thank you.
ParlaMint-HR_2017-04-05-0.u36184	Replication response.
ParlaMint-HR_2017-04-05-0.u36185	Mr. Pernar, MOST is to blame for everything. Come on, yeah, yeah, guilty of everything, yeah. You'd want it to be that way, to be guilty of everything but it can't be guilty of everything because it's a very short MOST in politics so if we have some guilt I'll take it no matter what I didn't vote for tax reform. But the fact that it's the only one and the biggest one, the key problem is legal uncertainty. It is a key problem that not all are equal and institutions are not doing their job. Especially when we look at the relationship to the smallest and these are manufacturers, i.e. The O.P.G.s. What was the country's relationship to the OPGs, not only in the case of lex Todorovic or any other law, but in the case of only EU funds to which the EU is called as some criteria, everything went to Todorovic in its pocket, instead of our peasants in Slavonia. So this government in a few months, three months, four months, there are countless sure mistakes, there are attempts like we all make every day. But here's the question of the system, the system doesn't work, the institutions don't work, the Constitutional Court doesn't work, war profit is like normal wealth in the Homeland War, and today they beat us and those who gave their lives, to whom we worship, and to whom we raise monuments, essentially their sacrifice is in vain. So the Constitution should be equal to the same, to all. So this equality, justice is not the same, and that's why in society people's mistrust with both institutions and in the economy and other branches. And that's why we don't develop as a society. They just don't have people believing in anything. right. [[Intruder: Time.]]
ParlaMint-HR_2017-04-05-0.u36186	Next replica, Agent Arsen Bauk. Thank you. Representative Franco Vidovic is next in line.
ParlaMint-HR_2017-04-05-0.u36187	Comrade Bulj, you have asked one question as to what will happen if we vote and do not pass this law. So all day long we've been looking for an answer to that question and the only person who's offered a somewhat exaggerated answer is my colleague, Lalovec, who came out five minutes ago. But what else I'm interested in. You've mentioned it a lot today, I've listened to you a few times, and I've listened to you very carefully, you've mentioned what our security services have done about Agrocora. And then it was connected to Mercator, Slovenia, to the purchase of Mercator. That's how I understood you, so you correct me in response if you don't. So, for God's sake, what should the SOA do in that case? So the company that operates on the market buys a Slovenian company. What were we supposed to protect Mercator from being taken over by Agrokor? Well, it's not Mercator, buying Mercator isn't the cause of the fall of Agrocora. The cause of the fall of Agrokora is something else entirely. It's a system that's worked for many years as it has worked and survived, and it's now seen in newspapers and by everything when a good part of it finally came out, not everything in sight. It's a system that's basically survived in that gray zone for many years, and that's how it spread. What was SOA supposed to do? What was anyone supposed to do with this country's institutions anyway? The only thing that could have been done was that three months ago, the government reacted, that they came with a bill like this, that you came along with them, and then we discussed the law in two readings, so maybe that law would have really been systematic. Maybe we'd vote differently then. [[Intruder Opačić: Time.]]
ParlaMint-HR_2017-04-05-0.u36188	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u36189	A fellow security service is one of the essential factors in controlling economic conquest of territory, meaning sovereignty. Because services mainly in peace should also protect economic sovereignty not only territorial, but also economic. Today, the world does not conquer everything with a rifle, more capital and interest, and the services should, as well as within Croatia, know who holds the entire economic system in this case was one person who reinvested, and we see that there is the greatest influence of foreign banks. Therefore, the security services should provide this information to relevant institutions and, in my view, it is unclear that the National Security Council has not already been called up because this event around Agrokor is at risk and national security is very important. Because it certainly can cause certain earthquakes. So, I think the services play a big role in this, the tribals to have along with the government, along with the ministers, with this whole system because it's no longer winning everything by rifle, but by money and capital. This is visible in a number of countries that have become bananas, countries only... They don't have any more influence. [[The speaker doesn't understand.]] Because if we continue like this, we are put into a situation that neither the Parliament nor the Government will be needed at all, but some clerk will be able to manage the Republic of Croatia. That's why security services are very important, and that's where they were used in a completely different direction, not what you told me maybe somewhere or I told you about you. Services have their jobs to protect the sovereignty and integrity of the Republic of Croatia and economic and territorial and I don't know which others. Thank you very much.
ParlaMint-HR_2017-04-05-0.u36190	Thank you. We're moving on to the next individual debate, representative of Mile Horvat.
ParlaMint-HR_2017-04-05-0.u36191	I thank my colleagues and colleagues for their perseverance. I don't have the ambition to talk about this law as competently as Mr. Lalovac used to say, and I agree with the predecessors that it's a real shame that we didn't have a chance to hear about it before noon, maybe the later flow would have gone somewhat differently. I'll talk about another thing. I'm going to use these 10 minutes to get people who have built their entire working life and knowledge into creating the biggest combination of Belje to say a few sentences about it. So if it were normal time, if it were a normal situation today, someone would probably celebrate in Belje 320 years of the existence of that combination. It is also written in a book called “Three Centuries of Belja. ” It contains the creation, development of White through the eras, through systems, through politics, through wars, etc. And the fact is, with all that time, all that was growing, it was developing and it was always of strategic interest to all the countries through which the Whites existed. In the 1980s, Belje became one of the most significant, if not the most significant economic factor in our space. To point out here, there were 18 production plants and were constantly employed by about 8 and a half thousand workers, and in the season when she was processing tails, etc. It worked somewhere around 10,000 to 11,000 workers. He was, as experts said, one of the most organised technology units in the region. And what's most important, Belje built a system of cooperation that, with its significance and role, was the same as that of Belje, and that's why the Baranians often said that Baranja Belje, and Belje is Baranja. And then in 2004, there was sales of Belja, buying Agrokor at the price of one kuna per share, plus debts, and then it was the nominal value of the share of 100 kuna. So he bought it by 100 times the nominal value of that stock, bought it at that 18 working plants of productive, 20,000 hectares of oracies and 500 hectares of permanent plantations. Taking into account the incentive system, it is then concluded that, in the course of that year, Agrokor received more than 40 million kuna incentives for orans and some logic in a few years, for some five years, taxpayers from the budget paid the total debt of Belja and Agrokor practically got it in this way for the bad. And now after ten years in Belje of 18 working plants works seven. TOS, Equipment and Machine Factory, which has existed since Austria-Hungarian, has shut down the largest sugar in this area that produced industrial electricity as a by-product, the largest meat complex in the former meat industry has been shut down, the milling plant has been shut down, the livestock has been shut down, probably why we have chicken in Poland with salmonella. The largest fishing industry in the former country has also been shut down, and that's why we in Baranja when we cook beans then cook these famous fish with Hungarian fish because our fishing industry in Baranja was shut down six, seven years ago. So, summa summarum, today of 8.5 thousand workers in Belje for only 1570. That's why the Barans are leaving, and that's why the youngsters are going to waitress in Ireland because there's no way to get a job where they've been working in the van for hundreds of years. So much for the development policy of Agrokor. My finding may be a little cynical, that the Whites 300 years of existence survived all eras and politics and wars and states and all, but it seems that this Agrokor policy of Belje today will not survive. There's one more thing I'd like to mention, as some kind of behavioral indicator of such a concert. The municipality of Trpinja has seven villages and are mostly 90% of farmers whose existence depends on the country. The municipality of Trpinj had about 4 thousand acres of orac in its abbey, with the agricultural land available to most of the land, these oracles received Agrokor or Vupik as a component of Agrokor. The rest of the village remained at the disposal of 1400 hectares of the municipality to share it with the OPG policy. Then Agrokor's manager went into action and he won most of the people in the municipal council with various offers, and they suddenly changed the decision where the 1400 hectares of the rest were assigned to Vupika and Agrokor, respectively, with a promise to hire 160 people on a farm. Of course, 160 people were not employed, the village was absolutely lost, seven villages were left without a hectare of land. Today, a dispute is being held, reported to the DORH for such machinations or the bribery of councilmen, for six years it stands which is the matter or the application and the subject is complete standing in the DORH for six years. No one dares to touch that fact that the Municipality of Trpinja has lost a hectare of land. I could also mention here the relationship to the largest construction company in the East that employs over 500 workers and in a business arrangement with Agrokora has failed after ten years of existence and 500 workers have gone to the streets, lost their jobs. So much for the development policy of Agrokora in the East, so much for some perspectives in the East and so much for the fact that the East and how the East will experience this rescue that fellow Franco soldier Ryan said, they won't be able to experience applause for sure because the common man who's been living for generations from both the Belje Combinth and some of the other entities related to Agrokor, who are now inaccessible to them, will not understand what we're doing. As a club, we supported this initiative, that's what Professor Pupovac said, for one basic reason why we're representatives of a population that's mostly been fired in this period for the last 20 years, rarely who's been employed and we fully understand the fear of these people in Agror, fear of losing their jobs, fear of losing their existence and uncertainty tomorrow. And that is why we insist that the government does not deal with politics but in this case puts priority in protecting these workers in the protection of small and small suppliers. If that doesn't happen then this whole debate and all the work we've been doing doesn't make any sense, and we're going to be pretty hypocritical to our public. As far as the profession is concerned, by commenting on this law, we think that it is very careful to work with the interventionism of the state in private capital, and also to be careful to define state-interest entities in a way that they are exclusively subject to the processing of one law. All in all, we realize that the government needs to intervene here, we think it's a good thing, and we think that this legal text, which will certainly be adopted by most parliament tomorrow, will be subject to certain amendments and additions very quickly. Thank you.
ParlaMint-HR_2017-04-05-0.u36192	Thank you very much. Representative Ivan Pernar reported on the replica.
