ParlaMint-HR_2017-11-29-0.u55794	One break on national security.
ParlaMint-HR_2017-11-29-0.u62709	Thank you. The answer of the esteemed representative Sincic.
ParlaMint-HR_2017-11-29-0.u62710	Thank you, Vice President of the Croatian Parliament. Here is a colleague of Bunjac you responded to my part of the debate where I spoke of an increase in authority in Croatian political life. That's right, I've cited a series of examples at all levels of government. However, it is worth pointing out one more thing. The replica I just gave you in response to your replica also wants to disable the Croatian Parliament. Namely, there is an initiative to amend the Rules of Procedure, to prevent replicas within the club from being placed in the afternoon and to punish shouting and voice-lifting. Now that it's a voice-lifting and shouting, I guess it's going to be a measuring device, so it's going to be able to be precise and fair to everyone or it's going to depend on the one who's presides. We know that some of them are presidents, so they have very biased criteria. Therefore, it is all in some trend and tendency to close political power to as narrow and as few people as possible, to exclude as many Croatian citizens as possible, not only to keep them from information and decision-making powers, but to keep them at the end of the financial means. We know that Croatia is also a centralised country and that far the largest number of funds goes to the central state and that it distributes exactly how it fits. As for Prime Minister Plenkovic, yes, for him, he came on some kind of wings of an advanced European politician but quickly landed here on a level that does not correspond to what I would like to see from Croatia. They'd say some kind of colloquialism. He must only learn that democracy is a system in which one institution controls another, so he cannot make any decisions without the co-signature of the president. We may or may not have to like it, we may want to change it or not, but he's like this right now and he needs it right now...
ParlaMint-HR_2017-11-29-0.u62711	Thank you. I have to say something, though, that it is not always good to follow certain articles in the media because I am nowhere, I have no knowledge that anyone would suggest that a vote be raised into the changes of the Rules of Procedure. It's not always good to base everything on certain media. Let's go to the next line, it's the respected representative of Maria Jelkovac. Here you go.
ParlaMint-HR_2017-11-29-0.u62712	Thank you, well-respected Vice President of the Croatian Parliament. My colleague, you were saying in fact that in your presentation you asked that the law should seek the functioning and balance that this law does not do to you. I think that is exactly what this law is trying to introduce in local units that things work and introduce a balance that is extremely important and for the withdrawal of funds from the EU, for the realisation of projects in this way, for all units of local and regional self-government because we are aware that they do not have enough own resources for numerous projects and that this is the basic way in the future from which a number of projects should be financed. I'll tell you something, when we talk about units of local and regional self-government and responsibility, then we really can't talk the same way about the responsibility of mayors, mayors and mayors in relation to the responsibility of representative bodies as collegiate bodies. Do you know by how many laws the holders of the executive authority comply with in relation to the holders of the authorities of the representative bodies? Representative bodies are primarily collegiate bodies, no one involved in the work of the representative body is individually responsible for anything. Mayors, mayors and mayors respond every day, not only to their citizens through various performances that they receive directly but also through the media calling them for everything they are made. Also in the meetings of representative bodies where they are called by the opposition, which is the role of representative bodies and opposition in them. Likewise, when the audit report comes which we talked about when it is and conditional happens that individual mayors, the mayors must respond and go to the talks and to the bodies of the state authorities, come anonymous reports and have to go to the DORH etc. I wonder, who in the future will want to be the head of the executive when we think of them like they're criminals in this way?
ParlaMint-HR_2017-11-29-0.u62713	Thank you. Dear Representative Sincic.
ParlaMint-HR_2017-11-29-0.u62714	Thank you, Vice President of the Croatian Parliament. I don't really know where the conclusion is that representatives or executives are criminals. If I thought so, God forbid I'd never run for mayor of the city of Karlovac. Of course there are a number of laws, institutions that we all answer to, and especially those who are officials and officials, but we see statistics. These laws have existed before, statistics simply show that the current law in relation to the current schedule and the number of units of local self-government is satisfactory, and the changes that you make with this law actually make impossible for the members of the council, and also for citizens, in fact, why not reduce the reference threshold in case these institutions, state audits or to come, for example, judgment from the Government, as it is now coming for Mr. Mayor of Požega that in these cases you do not actually have the tools to bring them down or in the dust you have, but in practice these tools are impregnable and impossible. So they're indestructible, they're Pharaohs, sheriffs as long as we want to go with the description in cartoons. And as for council members, their position is getting lost, this balance that this law allegedly tends to lose. In the re-elections, they risk re-entering the councils. Of course, the big left, right blocks you don't understand because you will again enter these councils, but all those who fight over the third time are here in extreme danger because this law is why it is precisely this law that seeks to confirm and strengthen the bipartisan and partytocracies to the harm of the development of democracy and change and third paths, and therefore we are against it. Thank you.
ParlaMint-HR_2017-11-29-0.u62715	Thank you. The next replica is the esteemed representative Marijan Kustic.
ParlaMint-HR_2017-11-29-0.u62716	Thank you very much, Vice President of the Croatian Parliament. My colleague Sinčić, I listened to your debate very carefully, but here is my colleague Buric, who said more or less what I wanted to say, so I would add that this law does not solve the problem only you have listed this particular city of Zagreb, you are constantly saying lex sheriff or lex Agrokor or the like. I would add that this law also solves those frustrated individuals in smaller communities and cities that make problems for the mayors, the mayors of the municipalities especially when budgets are passed because simply their frustration or non-compliance with their own individual wishes, and I'm sure they don't read the documents they get for the city council, they just get up to the left new... they say we're going to tear down the budget and we're going to go to new elections, which certainly represents citizens and locals who live there problems and require new let's say the financial costs from the budget. So here I certainly welcome the adoption of this law.
ParlaMint-HR_2017-11-29-0.u62717	Thank you. The answer of the esteemed representative Sincic.
ParlaMint-HR_2017-11-29-0.u62718	Thank you, Vice President of the Croatian Parliament. Here's my colleague. I was just talking about sustainability and functioning. I personally believe that there are good people in all parties and that there are municipalities and cities that are very well guided under Croatian and current laws and that there are people from many parties in these municipalities. Whoever makes it, no matter where I get it from, I'll give it to him. I stood by this speaker alone so that Croatia would start to see who was who and who was who. So if a mayor is successful and has a mayor if I do not cheat on Krk who has no more opponent after the number of re-elections, then in that case, the law should make it impossible for individual frustrated individuals to change such power, which is so stable and so often chosen. Also in cases where we have corrupt and incompetent mayors, commissioners and mayors, the law must now enable those to be replaced as soon as possible and the local self-government unit to function. It's our fundamental principle to build on, write laws, we don't see it here, and we think it's a step backwards from the law that currently... Thank you. [[The speaker doesn't understand.]]
ParlaMint-HR_2017-11-29-0.u62719	Thank you. The next replica is the respected representative of Ante Babic.
ParlaMint-HR_2017-11-29-0.u62720	Thank you, dear Vice President of the Croatian Parliament. My colleague Sincic, listening to your argument, I have a feeling when you're talking in HDZ to get a rash. I feel like you're saying that if HDZ got out of power, things would get better in the country. I also realized that you are politicians, and you are as advisors of the Croatian Parliament. You don't seem to be getting paid, like the politician of the Living Wall and everything that belongs to you with that salary. It can be concluded from your debate. About 556 units of local administration and self-government in the Republic of Croatia, somewhere around 270 units of local self-government, HDZ is on the government. I don't see any problem here. What you need to know, and to be consistent where you are often heard from your ranks of diametric opposite claims, I refer you to the European Charter of Local Administration and Self-Government, so you will see that the main principle of this charter is your principle of subsidiarity, i.e. that your problem is solved here where it came from. So, from what you say in the debate, you might leave Zagreb and a few small towns behind, and these others are not threatened by a bright future, and they should be abolished. No one is against the possibility that individual units of local self-government may be combined in the future. Why not? So no one slows down, that shouldn't be. But you must also know that Croatia from Konaval to Ilock, from Ilock to Rt Kamenjak has such specificities in which people live, where units of local administration and self-government have actually made it possible for them to live a better life, because they cannot change it as such in view of their place of life.
ParlaMint-HR_2017-11-29-0.u62721	Thank you. The answer of the esteemed representative Sincic.
ParlaMint-HR_2017-11-29-0.u62722	Thank you, Vice President. Here, I don't know how you came to that conclusion from my debate. It wasn't my intention at all, and I'm from your debate making the conclusion that either you didn't understand me or you didn't listen to me. So, as far as HDZ is concerned, you know what our position on HDZ as well as on SDP is. I won't comment on that much. As for Zagreb and other units of local self-government, although Zagreb can be classified among those 20 plus 21 counties or can be classified among cities. In all, it is 576 units of local and regional self-government. I was talking about objective criteria. So, we de facto wanted us to or not, fight against how successful or not, the number of residents falls, where you have small municipalities. Let's say the Carlovack County and the Ribnik municipality, which has 500 inhabitants, according to the 2011 list, as far as I know. As far as the population remains there, here I have to send an inquiry to the commissioner, the question arises, not only for the municipality that is relatively close to Zagreb and which now has a highway to Zagreb, but for municipalities that are in a much worse situation, which, having an older, less educated, old age population, the poor who are isolated, and you have them according to Gorski Kotar, Dalmatia Zagora, Baranja, Slavonia on the islands, that those de facto will find themselves in a situation when they will disappear. They already don't work now, they show us a report at all levels, from economic, demographic and many other indicators. So it is not our intention to shut down something that works, but to create a system of units of local self-government in Croatia that will work, in every part of Croatia, our country, respecting specificities, so if necessary, let it be 1,000 municipalities if it will work. I don't mind. But I think that this current number, far too much and that too many councilmen and it should go into the reduction process based on some situation.
ParlaMint-HR_2017-11-29-0.u62723	Thank you. And the last replica, the esteemed representative of Branka Juričev-Martinchev.
ParlaMint-HR_2017-11-29-0.u62724	Thank you very much, Vice President. In your debate, you set a good example, as you stated, among the world's first mayor, Mr. Jelic, the new mayor, will ask his citizens to vote and deliver their opinions, so that they can influence the city's increasingly important decisions. Do you know that the Institute of Public Finance conducts every year a study on the transparency of all 576 local units and puts this e-consultation first. That there are already many cities and municipalities seeking the opinion of their citizens, when it comes to budgeting. Here, the city of Vodice received the award as the third for transparency, meaning of 576 cities and municipalities precisely because when it changed and completed its decision in the catering activity, it had 60 days of opportunity for citizens to turn to their proposals further. From... The solution was one of the main markets in Vodice, it was also on the city's pages, so it could vote and give its opinion, so I don't know, up to the looks of stands in summer months. [[The speaker doesn't understand.]] So, the Institute of Public Finance is already conducting such research and many cities and municipalities are already involved in such cooperation, i.e. contact of executive bodies, with their citizens.
ParlaMint-HR_2017-11-29-0.u62725	Thank you. The answer of the esteemed representative Sincic.
ParlaMint-HR_2017-11-29-0.u62726	Thank you, Vice President of the Croatian Parliament. My colleague Juričev Martinchev, I am familiar with the e-consultation system and it is good that it exists, absolutely, perhaps earlier, that citizens should give their opinions, comments, acts that are being passed on to the management of local self-government units. The referendum I was talking about, so for now, it's just advisory. Citizens can influence the mayor's thinking and policies, to the extent that he respects those opinions and counselling on it only somewhere in the future could that decision, some voting system, be binding. Right now, the system is down to counseling. Thank you.
ParlaMint-HR_2017-11-29-0.u62727	Thank you. The next Club of Representatives is that of IDS, PGS and LRI in the name of which they will speak a respected representative of Giovanni Sponza.
ParlaMint-HR_2017-11-29-0.u62728	Dear Vice President of the Parliament, Mr. Minister, dear colleagues and colleagues. The topic of today's debate The final draft of the Law on Amendments and Supplements of the Law on Local and Regional Self-Government and what I want to say very clearly is that in no way do I intend to protect all those leaders who used their position for unacceptable forms of behaviour, but I also believe that it is not good in any way that on the basis of bad negative examples we create a general picture and put everything in the same basket. I will say that I keep the least of my words unsuitable to call the sheriffs directly elected leaders, commissioners, mayors, mayors who have won the support of their fellow citizens in direct elections, have gained the trust of the majority in the community in which they live and operate. I will base my debate on the fact that as long as we in Croatia do not begin to call the laws the right name, the name which will be clear to the vast majority of the citizens of the Republic of Croatia, the understanding, of what is needed above all, of the hope needed, of the necessary steps, of the necessary progress in Croatia will be nothing. In public, it has been targeted for several years, and it has been unfounded especially by all the mayors, all the mayors are placed in the same basket and shown exclusively in a negative context. I allow myself to say that in public and even in good works in the debate so far as this bill is concerned, there has been a step further. It is wanted to show that leaders through this bill will be able to act without limit and willfully. But most of all, respected colleagues and colleagues, I will present to the public a number of concrete facts that make it clear that the truth is quite different after all. I'm going to concentrate and point out just a few examples. The mayors, the mayors, the mayors are directly responsible for the legal, purposeful spending of budget money, and according to the Budget Law, the Fiscal Responsibility Act, while, unlike them, the council members do not have such a form of responsibility. According to all applicable laws of the Republic of Croatia, all the mayors, all the mayors, all the mayors have minimum powers. Why? Because we have a rigidly centralised system. All the mayors, all the mayors, all the mayors have their hands tied. Why? Because they don't have tools. The state level has in its hands tools. Furthermore, this legal text, which is before us today, shows that the minimum powers of local leaders do not increase, that in some issues and are limited in the context of fiscal responsibility that is exclusively for both the mayor and the mayor, and I will repeat which council members do not have, while on the other hand, the powers of municipal and city councils as well as the county parliaments are strengthened through the budget issues I have already spoken of, through the question of a referendum on the recall of the head, through the disbandment of the councils of the local committees. I will now be free to comment on the intensities of the proposer himself. If the applicant's intensities were to strengthen the representative body, both the head and the representative body should achieve a level of responsibility in co-decision on important issues, on important issues for the community, for example. Like a budget, then I'll comment on it the following way. The factor of failure is human, the key to success is human. What do I mean by that? In the local communities in which the responsible people, their self, put their ego in a subordinate position and the community interest, put citizens' interest first, in these communities and positions and oppositions have reached high agreement both on important issues and on important issues with only one single goal, improve the standard and quality of life in the community and whether this bill will change what in local units in which, unfortunately, the ego of individuals was ahead of the general interest, let us leave that time. For us from IDS, PGS and LRI, what we've said so many times for this pay phone I want to repeat, this is an administrative issue. I wish we had invested our energy in laws with content concerning both functional and financial decentralisation, I would like the state executive level to show more trust in the local community, I have already talked about it countless times because I have a firm stance that together we can do more and faster and better. And I would like the state level to pay greater attention to those who draw and contribute, not only to those who constantly complain. I hope so, and I will end up with this amendment to the law that tomorrow no one will think of going back to the old model and ending the direct selection of the leader. Because if we really want to move forward as a society then we need to pursue higher standards and higher standards.
ParlaMint-HR_2017-11-29-0.u62729	Thank you very much. We've got more replicas again. He is the first respected representative of Tomislav Klaric.
ParlaMint-HR_2017-11-29-0.u62730	Dear colleague Sponza, one man is nothing and one man is everything. That's how it's been since the world and forever. And finally to hear about this speaker exactly what you were saying, talking about what it means to take on a duty, which means to take on responsibility for yourself and not listen here to the debates of people who obviously were either never or never knew or were malicious. Because leading a city or a municipality unbound would it be you or me or any of the leaders of a local self-government unit of great responsibility. A job like that, or you have to love it, bring yourself into it. Otherwise, after four years, you're not here anymore. There are numerous examples that have shown this in the Republic of Croatia, so here is Metkovic's question. So what we need to talk about, and exactly what you mentioned, I'd rather not talk about this because this is really an administrative question about who and who and when it's changing. It is more about rigid centralisation, about the burden on us that we make decisions in cities and municipalities, about the time we waste on unnecessary travel here in Zagreb to prove to someone that this project is important not to the city, but to the state. Of all the things we do, the idea itself, the project mission, the realization. So here's this debate that was to appoint the mayor I don't know who, whatever he wants. Well, he can't even replace an officer if he doesn't do his job. By law, he has to be blackmailed negatively for two years, and then he can't be replaced but goes to the Official Court. What are we talking about? What sheriffs? I'm not saying this because I'm afraid. I've got 7%, I've only got two councilmen in a position practically, but I want to say that taking over as mayor, the mayor means taking responsibility for leading that city in four years. It means responsibility, to keep the promises we made to our citizens. [[Intruder Reiner: Thank you.]]
ParlaMint-HR_2017-11-29-0.u62731	Thank you. Honorable Representative Sponza will respond.
ParlaMint-HR_2017-11-29-0.u62732	Dear colleague Klaric, first of all I thank you for the replica in which I will answer in the following way. Each of us has the freedom of choice, the freedom of choice to go in the direction of destruction or the direction of progress. I always look forward. To look in the mirror to express myself vividly for safety and instruction sometimes is not bad, but those who just look back, those who don't contribute to understanding the problem, those who don't contribute to solving the problem actually do one thing, which is exactly what you've been talking about all along. Citizens have no confidence in politicians and politicians, and with their rhetoric and actions they have just contributed to making this trust as low as possible. I've never allowed myself to engage in debates in areas and topics I don't understand. However, I am fascinated by the ease of access and engagement and activity around certain topics without ever being in those shoes, never walking and never wearing them.
ParlaMint-HR_2017-11-29-0.u62733	Thank you. The next replica is the esteemed representative of Allen Prelec.
ParlaMint-HR_2017-11-29-0.u62734	Thank you, dear Vice President of the Croatian Parliament. My friend Sponz, in fact, this isn't a replica. This is just to give you support to this really constructive and good debate of yours. This is the kind of debate you've been having here, not politicizing and doing politics. Here we are sitting, in fact, maybe most of us leaders who run the local self-government unit and we can probably get along very well, and that's what Mr. Klaric said and his replica wasn't a replica, but it was going towards that well-intentioned and agreeing with you, that is, for everything you've said. You said at one point that it's not good to have a sheriff and sheriff. Clearly, it is interpreted in public as being self-willed. That's not true, and that's what you said. And I'm giving that full support to your sayings, but also about what you said about not putting everything in the same basket. The fact is, there are bad leaders, there are those who may be completely worthy of being told they're sheriffs. But I'd say they're really in the minority. No mayor or mayor was chosen by people who knew he was bad, that he was some kind of local sheriff. But I'd like to say a few more words about populism. Here's a survey I've heard not long ago, and I've spent less on the mayor's team than I've ever heard of. I don't think we should spend a lot of money on the team, but it would be good to stop with that kind of pulsism. Let's compete who made the leaders better and more projects, who did more for the children, who made more buttocks or roads. Let's go to the competition, not who spent less on the team. I don't spend much on the team, but I don't think it's the most important thing in it together. That's enough pulsism. The most important thing is all that together. Enough of populism, let's tell people what's important and who they should choose. Thank you very much.
ParlaMint-HR_2017-11-29-0.u62735	Thank you. The answer of Honorable Representative Sponza.
ParlaMint-HR_2017-11-29-0.u62736	Here I would refer to what you have touched and these are the negative examples. In fact, public space is dominated, and I'm not going to say it exclusively, but I'm going to use the word "probably negative" examples. And why am I saying that? Because, in fact, with negative examples and unacceptable forms of behavior, we create an impression in the public that this is also becoming acceptable forms of behavior. And what's the result of all this? That we become a society of absurds. And there were no names and names spoken in the debate so far, but I kind of got the impression that on the basis of almost one person alone, there was an impression that all the mayors, all the mayors, and all the mayors, were put in the same basket, and that's something that wasn't good. So until we begin to speak specifically through clear examples, citing both names and names. But I absolutely agree with you that there are many more of those mayors and mayors who unfortunately can't get out of anonymity, get public space, get public space. And you said nicely, every day, we who, who are still local leaders or I who was the local leader, always thought about how to solve the problem of the citizens, but also after the decision every day, we looked at those fellow citizens and we were responsible for the decision we made. And that's very important. We're not from a state level away from people, we live with these people every day. Thank you.
ParlaMint-HR_2017-11-29-0.u62737	Thank you. The next replica is the esteemed representative Damir Mateljan.
ParlaMint-HR_2017-11-29-0.u62738	Thank you very much, Mr. Vice President of the Croatian Parliament. Dear colleague, you said in your debate that this law actually doesn't have any important content. I agree deeply with that because, therefore, these cosmetic changes in the second reading continue to make this law cosmetic rather than making it banal, make it almost irrelevant to the situation in local self-government units. In a situation where we have 576 units of local self-government from literally several hundred inhabitants to several hundred thousand inhabitants with almost equal powers, this law will not make this system more functional. This law will not reduce the difference in the fiscal capacities of municipalities and cities. This law will not increase the capacity of local self-government units to attract EU funds. And this law will not make local self-government what it should be, which is to be decentralised both fiscally and functionally. And what exactly is this law telling us? In my opinion, this law says that unfortunately the government does not have either the courage or the capacity to go into structural reform of local self-government in order to finally become both functional and sustainable. Thank you.
ParlaMint-HR_2017-11-29-0.u62739	Thank you. The answer of Honorable Representative Sponza.
ParlaMint-HR_2017-11-29-0.u62740	So as for what you said, I believe I was very clear in my debate when I explained my angle of looking at the very intensity of the promoter, but I'm going to extend this replica to the next way. I absolutely advocate democracy, democracy means respect for procedures and regulations, but what I don't support is the form of anarchy. We're talking about trust, and we're neglecting and we're always suppressing one elemental thing. Chiefs and leaders, who chooses? They pick people and they pick them directly. And then we say that the leaders exercise their will and represent themselves. Well, I guess some of the leaders were chosen by people, people who live in that community and people who recognize the work of that local leader. I never said that for a public speaker, but today someone mentioned an example of Italy. And in the inner circles if I wanted to reach a form of democracy why we do not apply a model that is in law in the Republic of Italy as far as the elections are concerned very clearly. One who gets more than 40 percent of local leaders have more than 50% of their council members in the representative body. We need stability. We talk about demolition all the time. Let's get some mental code turned around and let's go build this society of ours whether from local to state level. And then that's the solution. And we hold such a single model of several election cycles and see that we have stability. People here are complaining and we're going to invest energy on how to crash, so that's not a good way to go.
ParlaMint-HR_2017-11-29-0.u62741	Thank you. The next replica is the esteemed representative of Mark Velligay.
ParlaMint-HR_2017-11-29-0.u62742	Thank you, Vice President. Here's a colleague, I could agree with most of your debate, I don't agree with the part where you said this law was just an administrative issue. In some parts, yes, but in the key one, which is the relationship between the representative body, the executive leader, so it's not. It's not just a good direction or a good message for the development of local democracy. We limit representative bodies, and that's a fact, that's a fact, that's a fact, the explanations on the other side that we're getting now we're going to make them compromise. And you yourself said in your debate that the local units where the executive leader and representative body managed to work well together without even making a difference in political options were successful. I mentioned it a few times on the board and in the debate. So that's kind of a direction. Well, we can't get someone to compromise legally, that's impossible, that's impossible. And it's not good law enforcement, it's not good law enforcement. I agree that we need decentralisation, we will agree and I believe everyone here in the Croatian Parliament about it I agree that we need decentralisation, we will agree to believe everyone here in the Croatian Parliament about it regardless of the political differences between us. Of course, it's the same to call someone sheriffs and the rest that came from the works of the academic community or the works of actually the media, of course it's not correct, for no one it's nice to hear who's elected as head but we have to look from councilman's position. I think the councilors are the same and some of the representatives today are as well-labelled as people who don't read or study materials, it's extremely incorrect. I know I was also a councilman of the ruling majority, I was also an opposition and I know how much the same councilman can contribute to the development of a local community. Thank you.
ParlaMint-HR_2017-11-29-0.u62743	The answer of Honorable Representative Sponza.
ParlaMint-HR_2017-11-29-0.u62744	I thank you for the replica. The only thing I have left to do is repeat what I said before and what I stand for. The factor of failure is human, the key to success is human. In local communities where the position and opposition are normal, responsible, above all, responsible, where they are there for citizens who realize that they need to solve problems, which are looking forward, they are yesterday such a profile will today and such a profile of people will be responsible tomorrow. I agree that the law must create a framework that is sustainable and that is enforceable, but I will also return that the factor of failure is human. Unfortunately, in certain environments where, above all, it is very low level of self-awareness among individuals, it is difficult to expect that this bill that I have argued that I feel and accept balances this relationship. I don't just look at him negatively because I didn't say that. So again, everything will depend on people, you as a local leader know it very well and how well you have the skills and how skillful you are and how much you are involved and how determined you are in some moments because being a leader means taking responsibility, being a leader at some point with great determination and not because it is not acceptable to answer but it is held in a way that the arguments and facts that will be given to an individual or a group through answers are behind it. People appreciate an honest answer and an honest attitude, and that should be our way and direction.
ParlaMint-HR_2017-11-29-0.u62745	Thank you. The next replica is the esteemed representative Marin Škibola.
ParlaMint-HR_2017-11-29-0.u62746	Thank you, Your Honor, Vice President of the Parliament. Mr. Sponza, you have experience in running local self-government, if you personally and IDS as a party. However, I am interested in this in terms of your thinking whether this law, however, limits democracy in some way? And why would I ask that? The councillors won't be able to take down the mayor unless he accepts the budget, knock down, here's a colleague throwing down, it's not a matter of taking down, it's a matter of sanctions. So if the mayor brings in a bad budget, the council has the right to vote against that budget. And then why would only councilmen be held accountable and not the mayor who's a bad budget and suggested it? That's one question. And the second question, the more difficult the law is that it must automatically go to compromises, so council members must go to compromise because if they do not go to compromise, then they must go to elections. And okay, I support, there should be a compromise, it should be looked at in the long-term and sustainable way, but there were situations where councilors propose an amendment to the budget and the mayor accepts the amendment and the councilman supports the budget, and then, with the first rebalancing, he changes that amendment and says there is still no money. In a way, are the mayors also being manipulated by this law and such manipulations? The councilman is ready to compromise, the amendment is accepted and after the rebalancing is cast out.
ParlaMint-HR_2017-11-29-0.u62747	Here's what the law says, the Honorable representative of Sponza will respond.
ParlaMint-HR_2017-11-29-0.u62748	Here's my esteemed colleague, Skybola, and I'm going to try to give clear answers, and I'm going to go on the basis of your replica from behind to your beginning. So you mentioned the word manipulation, by accepting amendments to the draft budget, by supporting the budget of the opposition councilors. As far as I'm concerned, because you've also asked me that question to ask my opinion, I've never acted like it, and that's my attitude. So, you have to be first of all responsible, but you have to be correct. And if you're responsible and you're correct, you're achieving something that's most important in my life, which is trust. Trust is the foundation and basis of life. You mentioned that the context of the talks went in the context of a compromise, no, I didn't mention the word compromise, I used the term consent. The agreement is one higher level, consensus on important issues and consensus on important issues, and at first you said the question of the budget and I did indeed say in my presentation that the role of the representative body is strengthened because the representative body can, through amendments, amend the draft budget and thus bring it independently on the head himself, if the leader pulls away then the head goes to the elections, therefore that is an argument which, if I read correctly from the law, in the final draft of the law and stands.
ParlaMint-HR_2017-11-29-0.u62749	Thank you. We're going to the next Club of Representatives, that's the SDP on behalf of which will speak the esteemed representative Marko Vedligaj, please.
