ParlaMint-HR_2017-02-09-0.u24659	Dear colleagues and colleagues, we continue our work. Representative Misic.
ParlaMint-HR_2017-02-09-0.u30717	I thank my esteemed colleague, Bunjac. So just for the sake of truth and record, so many times this Parliament has worked until late nights and no one is forbidden to speak and you can speak as you have spoken all day and so you can and as long as you work for me. You said only one thing, I would warn you that it's a little illogical, because you say people can't listen long at night because tomorrow morning they have to go to work, then tomorrow morning they won't be able to listen because they'll work. So it's a little illogical. So the chairman of the Rules of Procedure has the right to determine how long the work will be done and I will work in accordance with the practice so far. Here's your esteemed colleague, Bauk.
ParlaMint-HR_2017-02-09-0.u30718	It's good for you that she won't be able to watch. So, colleagues and colleagues, my colleague Bunjac, this must be in the evening school. Afterwards the Nightmare is now at the Evening School. So, we got the information yesterday that there was going to be a debate today so we realized it would be at 9.30, then the HDZ colleagues correctly said it would be after the government, so we thought it would be at 11.30 and then they said it would be at 15. But watch whenever we're ready. Therefore, if, perhaps, it would be best for this debate to be broadcast in the video, to be copied and placed in the video. As far as late work is concerned, I can only say who survives will talk, but it's much better than this one who prescribes will survive. Thank you.
ParlaMint-HR_2017-02-09-0.u30719	Okay. Thank you very much. Now we're going with replicas to the presentation of distinguished colleague Miroslav Tudjman. A colleague named Vesna Bedeković appeared after the replica. Here you go.
ParlaMint-HR_2017-02-09-0.u30720	So here's colleague Tudjman I'm going to refer to that part of your discussion where you talked about the yield between the actual facts and the constructed concepts and the conclusion, of course, based on such constructed ideas. In fact, the name of Mr Barisic is mentioned in two contexts throughout the afternoon. The first context of Barisic as a scientist, the second context of Barisic as minister. As far as the case is concerned, Barisic is a scientist, so almost everyone here has agreed that this is a matter primarily of the academic community and that the academic community is the only metricatoric so this problem is solved. And the academic community solved it in a legitimately regular procedure of the Ethics Committees of the University of Split and the University of Zagreb five, six or more years ago and that is a fact. As far as the Barisic case is concerned, we are here, unfortunately in the last few weeks, witnesses to the creation and creation of actually an artificial idea that is constructed by different stakeholders, different political parties and, of course, supported by a media link. And that very artificially created idea has become unfortunately more important than the actual facts. Now, a question that I would like to ask you and then to all of us here whether we need to and whether this further discussion must be based on facts or on artificially created structures and concepts, and that the Croatian public must know. And what is the role of the Parliament? Are we here to stand in anybody's side and to opt for opinions and attitudes of any and whose interest groups or are we here to solve these problems on an institutional level?
ParlaMint-HR_2017-02-09-0.u30721	Thank you. Replication response.
ParlaMint-HR_2017-02-09-0.u30722	Thank you. So I think colleagues that you've just set up what's really the key and the problem that we're struggling on here or what we're trying to achieve with these or some other topics that are being put on the agenda. Today it's been said here by some MPs, so it's already... You're supposed to go on your own. [[The speaker doesn't understand.]] It's something I don't organically agree with. It's a matter of fact, it's a matter of reality because it's easy to agree to this pattern, then it's a matter of manipulation and media spins to eliminate anyone from cultural, economic, political life. And this particular thesis we've heard here before, we're talking to the public and the public needs to know. It's a clear thing that the public needs to know, but the public needs to know the facts, not the images, not the ideas, not the spins, not something that simply creates an artificial reality. Unfortunately, it's one spirit of time, it's one technology of information, of communication that goes ahead of reality and where we haven't been able to define the standards and criteria of such behavior. Take me said I also think in this House when we set man's dignity as a fundamental value and when we follow that value with all the laws that someone can't say I think or person A is a criminal, plagiarist, thief or I don't know what. If such criteria, such standards would set one good part not only in the media but the people in this Assembly would have nothing to say and say. Thank you.
ParlaMint-HR_2017-02-09-0.u30723	Thank you. Another replica of the esteemed colleague of Peja Grbin.
ParlaMint-HR_2017-02-09-0.u30724	Thank you. Mr. Vice President! I'll start at the end of your presentation and I think the proposal you made is not good but great. And I suggest that you formulate it into the conclusion that I am sure you will get the support of my club, which is that the Croatian Parliament draws a conclusion that obliges the Government of the Republic of Croatia to obtain software Turnitin for every university, for every high school in the Republic of Croatia. I think if anything else this will be good, at least one good step out of today's debate. But that aside, I studied a little bit of your biography, which is actually much more impressive, and here I apologize for just taking it today than I personally believed, and I'm sure many of my colleagues too. In your scientific career, you've published a series of books, prepared a series of collections, I think I've come across a number, I apologize if I'm wrong, that you've published more than 150 articles and scientific papers. Your scientific career spans for almost 50 years. Now I ask you a very simple question. Can I use these books, collections and scientific papers without citing you as an author? Thank you.
ParlaMint-HR_2017-02-09-0.u30725	Replication response.
ParlaMint-HR_2017-02-09-0.u30726	I'm glad, I put out this proposal and I hope everyone backs it, so one such software, I can't propagate that software, but I set it up as an example that this Turnitine, that one on 30 million students, is used by 15 thousand institutions. So Carnet that, to get the government to Carnet that the entire academic community and all college students can use it. I am sorry that you did not accept that other proposal and this article of the Ethics Code, Article 8, enter the Ethics Code of the Croatian Parliament and see if we will respect the standards of political correctness or avoidance of counterfeits etc. That's one thing. On the other hand, as far as books and this is concerned here is the question of what is being used, you know, if we take the thesis that one idea is being talked about, which has been in place for 200 years in the world about world peace, so different people implement it and use it, so we say now someone 200 years after Kant or Hegel who developed it to advocate it, then it's a question of who they're plagiarizing and who's plagiarizing. And as far as I'm concerned, I'm being a little cynical right now, and there's always one correct thing about quoting, I just think if we wanted to be cynical like my colleagues, Bauka, I think it would be a far bigger problem that we have too few of those who write and quote and who read at all.
ParlaMint-HR_2017-02-09-0.u30727	Thank you. The next replica of counterpart Zeljko Jovanovic. Here you go.
ParlaMint-HR_2017-02-09-0.u30728	Thank you very much, Mr. Chairman. Here I join this initiative to get this software. I'm actually surprised why the Zagreb University didn't just get it. Maybe I know the answer. The University of Rijeka is two years old. It was first in Croatia. In the first year of administration, there was about 14% of students, and last year it decreased to 6%, showing to what extent it was useful. I'd like to ask you two questions, Professor Tudjman. Namely, you said our goal was to bring down the minister and discredit the government. No, I don't. You're wrong. Our goal is to enable the government to work normally and that the science and education portfolio has no minister who carries it significantly restricts it in successful work in the ministry. And you're a college man, so here's a question since you mentioned this 19-collar story. So in 2007, Mr Barisic held 19 colleges at 4 universities throughout Croatia, that's true. At four he taught active classes, and at 15 he was a carrier. But as a carrier, he had some obligations. He broke definitely his standard even though he claimed it was 310 norm hours of teaching, and that the prescribed norm for a regular professor was 300 norm hours. But what's wrong with Mr. Barisic to be gentle, he doesn't keep telling the truth. Why? So we all know that Mr. Barisic and the Institute of Philosophy has 70% working time and with the University of Split 30%. So, if the norm is for a 100%-time professor for 300 hours, how much is Professor Tudjman norm for a professor with 30% working time? I'll answer you myself. That's 100 norms of hours. So, after all, Mr. Barisic has crossed the standard three times, and Mr.... Now he's on board. [[You don't understand.]] [[Intruder Jandroković: Thank you.]] For the education strategy as a reward to defend it. [[Intruder Jandroković: Thank you.]] Here's a non-inhibiting sequence that Mr. Barisic is working on.
ParlaMint-HR_2017-02-09-0.u30729	Comrade Jovanovic, I am asking you to hold on to the... Dr. Sc. Željko Jovanovic: Excuse me/... Here you go.
ParlaMint-HR_2017-02-09-0.u30730	I can replicate, or I'm talking about what you put in this interpretation. You are now drawing some new arguments away from what you wrote because what you wrote is the way you wrote unsustainable. These norms have nothing to do with this interpretation for hours. On the other hand, in the media in 2008, it said that it held 19 cathedrals in Split, and in this answer you were already told that those who had spoken then do not have, do not distinguish between the cathedral and the colleges. So when, the moment you put it back on, you write it again, then I can manifest myself. But we're just talking today about the text that you are, and I'm sorry, I don't know if you signed it, but which 45 MPs and MPs signed here. Therefore, if there is any other reason why Minister Barisic or Professor Barisic should be destroyed as minister, then go out with it as a valid reason and we can accept it. But not with arguments that simply don't hold water what the ordinary world would say. That's later said and there's no in this interpretation. Excuse me. Therefore, not now, this is one method – if we know that it is his fault, and we will give the arguments as long as it takes – this is no longer how it works today. Excuse me, it was a time when we all believed or at least some believed when the system was such that they imposed the tendency to justify the means. ... Facts that you did not specify in the interpretation [[The intruder doesn't understand.]] That's what I'm talking about. [[Invader Jandroković: Professor...]]
ParlaMint-HR_2017-02-09-0.u30731	Professor Tudjman, thank you very much. Next replica, distinguished counterpart Miranda Mrsic.
ParlaMint-HR_2017-02-09-0.u30732	Thank you very much. Dear Comrade Tudjman, you are a scientist. You have a very impressive career, you've written scientific papers and you know and you realize that whether it's a plagiarism or not you can only talk about one independent body. Neither you nor I because we have a conflict of interest. You defend, I attack, and I think it is right for Minister Barisic to step down. The history of the Ethics Commission in Croatia is the only measuring body that can assess whether this is a plagiarism or not. Let's go back to the Kurjak affair in 2006 which was then happening, the same story with plagiarists, the copying of parts of books, the whole chapters, and then the Commission was established, which made a very clear decision and then started the commission, and then the commission was silenced until 2011 to reactivate. But the commission is from this Parliament, so it's a legitimate body based on which certain consequences go. When a scientist, a professor, sees his consequences and will pass in the scientific community. Kurjak was discussed by the Faculty of Medicine at the University of Zagreb. But when someone is in charge, then the decision of the commission is also a political decision and it is quite incorrect and something that is scandalous that the prime minister is deafening the need to implement the political decision of what the commission has made because it is about the official. It's not about a professor at medical school or anyone else, and there are other criteria here.
ParlaMint-HR_2017-02-09-0.u30733	Thank you, thank you. Professor Tudjman's reply to the replica.
ParlaMint-HR_2017-02-09-0.u30734	Look, a few things have been said here. First of all, thank you for this qualification of scientists. My problem is really that I don't have a consistency problem in terms of dignity because I don't think that as a politician I can have one criteria and as a scientist of others, it's simply a question of integrity and moral and intellectual that we have the same criteria all the time and that's why I don't think that we're in conflict if I'm talking about something because, besides that, you can probably conclude from my previous performances, I've never gone to a man but I've gone to the scale of things and today I'm talking about the scale of things because I haven't shared qualifications. On the other hand, the issue of this commission, the ethical commission, it simply fell apart, it was no longer consistent, it was reduced from nine members to five members and four said they would not participate in the instrumentisation of this commission, so that it is now all these other legal arguments here. Therefore, as an opposition in October, when this government was established, you announced that this commission would adopt a negative opinion and that people, part of the commission, reacted and said we would not participate in it. Therefore, this commission acted instrumentally by the opposition and that is something that is not good and that is not acceptable.
ParlaMint-HR_2017-02-09-0.u30735	Thank you. Next replica, dear colleague Goran Dodig.
ParlaMint-HR_2017-02-09-0.u30736	I thought there was a time when someone wanted to disqualify themselves, so the opinion and worker of the Zeljezara Sisak were sought. This tonight reminds me of that very time, and that's what I'm afraid of. Professor Tudjman, you said that misinformation is something that is very present today and that even the wars of the water are being disinfected, and they were being fought. The consequences of this are horrifying we are all aware of these facts so we are called upon to that Jewish proverb to save one life is to save as the fate of the whole world. We have a situation here tonight that we want to destroy one man at misinformation because there is no doubt anymore, there is no difference here what is a review article, which is a scientific article, and even when he read the definition of plagiarism, he did not say it was a transparent article but a scientific article. As you explain, in fact, the question of how to fight this logic that we just heard is that we have to have different standards at a time when we don't ask every man for the same moral standards and ethical standards if you want to. Well, he may be a professor, but he can't be a minister, and if it's not enough to realize that it's a pure political story, how to fight it.
ParlaMint-HR_2017-02-09-0.u30737	Thank you. The answer to Professor Tudjman's line.
ParlaMint-HR_2017-02-09-0.u30738	Perhaps those who did not know what it meant that Željezara Sisak banned, gave up printing, were then involved in the Praxie magazine of the 1970s because there was no court order, so the working class decided not to print that philosophical magazine anymore because it was political as it was called a course or as it was already called. As far as this other thesis is concerned today is actually not about information wars, the information war today is a dominant form of war. Military operations are conducted in the function of information operations and it is one doctrine of the 1990s that is constant and familiar, and that has already been said in this House and I think there will be much more to say. And how do you fight this? Look, that double standard, and here it's even said, that standing what's claimed for Professor Barisic they'd have a much simpler way, they could say listen to that man's plagiarizer, can't be a professor, can't act in the scientific community. You'd automatically fall for it as a minister. But it is known that it does not pass, that there is no material for it, that the academic community will not accept it and then goes to this political disqualification simply with these misinformations. I say, I repeat again if you have arguments, then we go with the right arguments that exist, and not with counterfeits or misinformations or tends to be something plagiaristic because someone who has commented on the primary authors, the primary sources are damaged, which can't even be a fact in madness.
ParlaMint-HR_2017-02-09-0.u30739	Next replica, distinguished colleague Sabina Vosovac.
ParlaMint-HR_2017-02-09-0.u30740	Dear colleague Tudjman, in your address on behalf of the club you characterised our request to vote or to question the confidence of Minister Pavi Barisic with passion and desire for power that overcomes reason and the very text of the same request as unfounded by facts. And then further in your presentation, in the need to defend Mr Barisic yourself, you open a topic which we did not mention in this text of the request, which means working or excessive Captain 450 hours a semester, and you say journalist Tanja Rudez apologized for the incorrect allegations that she accused the current minister Barisic of actually teaching much above the norm. That's not true, I don't know why you're trying to do what you're doing right now, or you're using alternative facts. Journalist Tanja Rudjež was sued twice by Mr Barisic and twice won the dispute, Mr Barisic lost it. And the third time journalist Tanja Rudez was sued by Mr Barisic, she apologized, but only if the article damaged his honour and reputation but continued to insist that all the facts were correct. I had to say it here, the truth for Mrs. Tanja Rudez never gave up on what she wrote, she apologized only for the fact that her mental pain produced what she wrote about Mr. Barisic but never questioned what she wrote because it was true.
ParlaMint-HR_2017-02-09-0.u30741	Thank you very much. Comrade Tudjman, come in.
ParlaMint-HR_2017-02-09-0.u30742	I still, the amount of forgetfulness is something that probably comes with age but I'm not 450 or 200, nor did I mention any captain. That's just what you've just introduced into this discussion to have something to say on this subject. The fact is that she is a journalist, not even a journalist's name I didn't mention because I don't think it's a place to mention it here, but as if I didn't even mention the names of those who Professor Barisic sued for whom the ethical commission said they violated the norms and standards of that ethical code. Therefore, and the journalist replied or apologized for what she wrote, which is that he was active in 19 different departments, and that is because of that apology then Professor Barisic withdrew the lawsuit. So the facts are still different than you want to interpret them.
ParlaMint-HR_2017-02-09-0.u30743	Replicated colleague Blaženko Boban. Here you go.
ParlaMint-HR_2017-02-09-0.u30744	Thank you very much. Dear Vice President! Professor Tudjman, you mentioned one of the professors' names in the debate after all... Josip Milat and you connected this to the context of whether this really is a scientific observation related to Professor Barisic or political. [[The speaker doesn't understand.]] Here, short answer maybe. A storm in the SDP by Split Professor Milat, pro-Brčić Kuljiš, will be responsible for supporting Minister Barisic. The city board of Split's SDP will discuss on Sunday the support provided by Science Minister Pavi Barisic, Professor Josip Milat and Professor Marita Brčić Kuljic of the Faculty of Science and International Co-operation of the Faculty of Philosophy in Split. They signed an open letter along with another hundred members of the academic community at a time when the SDP was in a hurry to pass the HNS in proposing to seek the recall of Minister Barisic. Many saw it as a party betrayal, former university dean Milat said, "I signed the letter as a professor and scientist and not as a member of the SDP." Professor, please comment.
ParlaMint-HR_2017-02-09-0.u30745	Replication response.
ParlaMint-HR_2017-02-09-0.u30746	Look, I mentioned here Professor Milata as the one who made the statement or signed a statement in 2008 that this was not about these 19 cathedrals mentioned in Split because it was about 5 single-semed colleges. On the other hand, I didn’t mention Professor Kuljish, who was if I wasn’t wrong about the reviewer of this book “ideal rule of the regiment” in which this article we are discussing today was published. Thus, it is nevertheless that these differences between scientists who clearly exist and they are obvious but cannot be potentiated in the way they are potentiated here and that the differences will remain in view of these scientific paradigms that dominate science, so one circle accepts one another, and there will be how things sharpen as much as possible, they are to some extent consistent with political options but are simply not unique or not standard criteria. And that's why it's a stretch of opposition for another reason, because the legitimate institutions of the system are discredited as irrelevant because there is someone who thinks differently from the university in Split, from the University of Zagreb, from the rectory choir. Not all these institutions must always be right but they are legitimate, we must respect them and the Croatian Parliament should respect them as such because if we go by this logic I have a group of scientists who are for me then we will simply never reach a society that will be able to be stable and develop systematically.
ParlaMint-HR_2017-02-09-0.u30747	Time. Thank you. The next replica is distinguished counterpart Majda Buric.
ParlaMint-HR_2017-02-09-0.u30748	Thank you. Mr. Vice President of the Croatian Parliament! Dear Mr. Tudjman, I find it unquestionable to the scientific, teaching and moral integrity of Professor Dr. Pave Barisic, and it is unfortunate that an orchestrated attack has been created, which is problematic because it is a failure or failure, and it is in a transparent article that has already been corrected in the first translation from English into Spanish. And since we've been talking here all day about what's not there, and that's plagiarism let's talk a little bit about what's in there, especially in the last 100 and a few days of work of this government, in the field of science and education. So we can also mention the following elements, 500 million kuna for 15 thousand scholarships, 150 million euros for vocational education, 165 million euros for higher education, nearly 10 million kuna for the continuation of the teacher's reform or popular curricula reform, which is a 100% increase compared to the previous year, an increase in salaries in the state and public sector, a growth base of 2+2+2% and a total of 6%, an increase in the basis for public servants from 5 thousand 108 to 5 thousand 211 kuna, the opening of the Blaž Tadjanovic area school in Pokkalje which schools, which sports halls. In addition, solving problems in Babina Greda, Expert Commission for the implementation of the Education, Science and Technology Strategy, etc. Thus, self-initiative moralization on the left raises doubts about the morals of the moralizer, which was recently written by academic Radman. Thank you.
ParlaMint-HR_2017-02-09-0.u30749	Thank you. The answer to the line, dear colleague Tudjman.
ParlaMint-HR_2017-02-09-0.u30750	Thank you, Mr. Vice President. Well, look, that's exactly what should be avoided in such discussions to sort out whether someone is ours or not, and that's the logic where they're simply looking for spins and discreditions on some kind of mistake or something that's as irrelevant as the prime minister used to say. We had an obvious, direct answer to your question with I think it was a colleague Orsat Miljanic when it was a copyright debate or this law he said – so the law is good, but we are against the minister so we will either be abstention or we will vote against it. It's just immature, unserious. Thus, on the occasion that it goes “better to ruin all things to the neighbor than to agree with him. ” And that's just the one mentality that just doesn't fit this time anymore, and it's reliant, it has its background, its foundation, it's important, it's not an important fact, it's not an important reality.
ParlaMint-HR_2017-02-09-0.u30751	Thank you. Before the next replica, we have a breach of the Rules of Procedure. My colleague, Glavasevic.
ParlaMint-HR_2017-02-09-0.u30752	Thank you, Mr. Vice President of the Croatian Parliament. A colleague named Tudjman injured Article 238. The Rules of Procedure of the Croatian Parliament when he spoke about the opposition's behaviour in the vote on the law and qualified us as adolescents and a whole series of other things he stated. It is offensive, and besides that it is not true because in the Committee's work the opposition was very constructive. So, at the vote on the law, we were abstentions. So, please nice, these are legitimate procedures in the Croatian Parliament. In this there is nothing juvenile and I think at the end-end it is offensive in this way to discuss colleagues and colleagues for something that ultimately-ends is part of normal standard parliamentary practice. Those of you who have been here for a long time should know better than anyone else. Thank you.
ParlaMint-HR_2017-02-09-0.u30753	A colleague, Glavasevic, if it were a violation of the Rules of Procedure, then I would probably have to constantly warn almost all of your MPs that they are breaking the Rules of Procedure. But since I don't do it with your MPs and MPs, then normally I won't do it in this case either. So I don't think there's been any damage to the Rules of Procedure. Now it's your turn for the replica.
ParlaMint-HR_2017-02-09-0.u30754	Thank you, Mr. Vice President. So in your discussion, you actually mentioned two elements that I would like to look back at in the replica. The first moment is related to the software you mentioned and, in fact, on the trail of what my colleague Jovanovic and my colleague, Grbin, I would like to support this initiative. So I believe that in some conclusion that we could all suggest from here, we would all agree that this is a very good way to determine in the future everything and to prevent all of these dubious things that we are currently about. And among other things, why don't we do that if we do, here's a colleague Jovanovic saying that this software exists in Rijeka, it's a small thing to actually check through the release of counterpart Barisic, Mr. Minister Barisic, whether there are troublesome places or not? The second element I wanted to look back on is the part where you talk about dignity here. Now you're calling for some dignity that you only seem to do when it suits you. I remember in the previous 4 now almost 5 years of many situations in the Croatian Parliament where your colleagues and colleagues, and you yourself did not care much about the dignity of those of us who are now on this side. So that's one of the selective criteria that I'm sorry you didn't think of in some previous situations. But I'd like to say, no one here speaks of Pava Barisic as a human, as a human being and denigorizes him that way. We're talking about those elements that we consider controversial professionally. So, son of an ira et studio. Thank you.
ParlaMint-HR_2017-02-09-0.u30755	The answer to the line, dear colleague Tudjman.
ParlaMint-HR_2017-02-09-0.u30756	First fellow, when you say you remember what happened 4, 5 years ago, you attribute to me that I've been in the Parliament for a long time, then we're the same duration in this House because I've never been before, but since 2011. That's one thing. Secondly, I'm glad you support this, but I'm saying, I said by then when we go, that software will use a lot of things to surface. And third, when you claim to be me, I wasn't worried or I have double criteria for the dignity of MPs in the Parliament, then give at least one example to be convincing. Is that just what you do, the way you do, then it's insinuating. Therefore, I pray that we stick to some standards, and if you will, I can remember some discussions that I have called for, not for the first time today, but I don't know which time I said it, you have in the Constitution that man's dignity is fundamental value and I would be the first if you would agree to change the Penal Code and say that it is not acceptable in the media or in Parliament to call person A, B, C that plagiarist, that he is a criminal, that he is a thief and that if that court has not already said so before. But what's going on? No, our system isn't good, hence proof that someone is a criminal, a thief or something else is just because it wasn't meant to be. And that's the logic of forgiveness that doesn't lead anywhere.
ParlaMint-HR_2017-02-09-0.u30757	Thank you. Next replica, distinguished colleague Maria Jelkovac.
ParlaMint-HR_2017-02-09-0.u30758	Thank you very much, Vice President. Dear fellow Tudjman, I think you have taken a very precise picture of the situation we have in the work of the sentence, and I quote: "The enemy environment has been created against Minister Barisic." The SDP counterparts have now been accused by Minister Barisic on the day of the government's presentation and then condemned through media space by calling him a plagiarist and today they want to punish him here in such a way as to be removed as minister. I just don't agree to that. Although the professional public is divided into whether or not it is plagiarism in this case, representatives of the SDP are on the verge of a struggle for Croatian society with high standards and so on. We took care of our children and went on a witch hunt. I wonder what kind of message we send to the kids if we convict someone for the label they've been glued to him without really proving he's guilty of what he's accused of and eventually punishing him. I think it would be much more meaningful if a colleague from the SDP had used this kind of energy to hack against Minister Barisic for the much bigger problems that we have in society and that we could discuss here and that plague our citizens rather than treat that Roman sentiment of "cruise and games". Thank you.
ParlaMint-HR_2017-02-09-0.u30759	Thank you. The answer to the line, dear colleague Tudjman.
ParlaMint-HR_2017-02-09-0.u30760	Thank you, Mr. Vice President. Well, buddy, I actually have to fix what you said. I didn't say that, not my finding that they created an enemy environment etc. how this is going, rather than the conclusion of this Committee on Ethics, Science and Higher Education, this parliamentary committee calling on this committee in the second part of its findings or to respond to Professor Barisic's application against four other persons who simply acted past Article 5. The ethical code of the same committee and the opposition to interpretation without, there is no problem in reproduceing this hostile environment, although in the formal legal opinion of the Committee on Ethics, Science and Higher Education is not valid because it has failed, the Committee has failed to meet or accept the minutes which, in that procedure, are safeguarding or respecting the protection of confidential data, the adoption of the minutes is the last point in this. Apparently, members of the co-signatures of this proposal for the impeachment of Professor Barisic, or Minister Barisic, did not care at all.
ParlaMint-HR_2017-02-09-0.u30761	And the last replica, dear colleague Angelko Striker.
ParlaMint-HR_2017-02-09-0.u30762	Dear Vice President, colleagues and colleagues! Comrade Tudjman, in this debate you have touched scientific dishonesty and misinformation and counterfeiting but also abuses and political dishonesty and inaccuracy. There is a saying in the north that it is not only important what is said but also who says it, so we have a case of a former science minister who signed a co-financing agreement even though he knew he couldn't sign it, that he had no consent from the Ministry of Finance and not even the government of Zoran Milanovic. And now he is one of the louder ones in calling the current minister Barisic. I therefore agree with you that in the first place all of us should still have the dignity of each person, each of us, and only then of calling and throwing mud. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30763	Thank you. He asked Minister Pavo Barisic for a word that he has as a representative of the government right to a five-minute exposure now. Here you go.
ParlaMint-HR_2017-02-09-0.u30764	Thank you very much. Mr. Vice President, honourable MPs and MPs! Let me just finish where I was interrupted in the presentation, which is that what's been following me since day one, and including this debate about myself, I'd call it a footnote affair, the plagiarism affair didn't distract me from doing my jobs that I've been entrusted with in the vault. I am grateful to the distinguished representative Majda Buric, who presented some of the achievements I have managed to achieve. I would just like to say that this has further strengthened me in my efforts to reform and modernise education, improve the system of science and technology, and that in this spirit I will continue to try to bring students to the heart of the education process, that I will especially take up the reputation and improvement of status in the society of teachers, teachers, teachers, teachers, scientists and all employees in the overall educational process and science, because I believe that this is now the primary area in which I would ask that my work be judged while I am on this public duty, and we leave the discussion on academic issues for the bodies involved. Secondly, let it be said that the esteemed representative of the Voice has said something that is incorrect, I am obliged to correct. It's a matter of trial with a journalist. I'm not gonna use her name. I don't know how the esteemed representative knew, she had a need to say the name of that journalist. I'll just say that in the first degree, the journalist in question was sentenced to a fine that could be replaced by a 15-day sentence for the untruths that she brought up including the untrue 19-year-olds who keep repeating themselves here. And that's what Mr. Tudjman's esteemed representative said about the denial of this and my dean at the Faculty of Philosophy, University of Split, it's Prof. Dr. Joseph Milat. So, the process did not lose Pavo Barisic responsibly, but the process was completed precisely by an apology of the journalist in the court. Therefore, it is a false allegation, and the apology does not also refer to the process of the untrues mentioned. They were confirmed, but it was only a question of whether the journalist concerned was going to slander the prosecutor in which case it was me. But it's just along the way. Let me say one more fact in this esteemed debate I'm hearing here. Here, in the name of the Living Wall Representatives Club, the representative showed a book that is half-empty. It's a book that two applicants in this process used to choose their scientific calling, to advance. It is not an offence, and it is called in the Sermon on the Mount, and those who read and listened - I see no log in my own eye, but I see a thorn in my neighbor's eye. I would just say and add to that my predecessor in the ministerial position the question, is the same Committee on Ethics in Science and Higher Education associated with him, why is the subject that raised the question of his responsibilities not put on the agenda, which is mine? So, that's something that says about the connection between what we were saying exactly why the question is why is the debate on the current president of the Ethics Committee yesterday which was the introduction to this where it enlightened his character and his profile is something that sheds light on today's debate. And let me say in the end that this particular case of mine is proof that anyone can be the victim of a media link in a political account. That's why I think it's in everyone's interest not to allow a violation of the law and bypassing the rule of law. Thank you.
ParlaMint-HR_2017-02-09-0.u30765	Thank you, Minister. We have six replicas. The first is a respected colleague, Jovanovic. Here you go.
ParlaMint-HR_2017-02-09-0.u30766	Thank you, Mr. Vice President. Well, Mr. Barisic keeps telling lies. I'll remind you otherwise that when he was... for Bill Clinton in America, he wasn't because of what was going on in his office, but because he kept telling the truth. And we will see very quickly that Mr. Barisic in this case repeatedly repeats the false. As good a situation is at the university according to his work, here is an example of Croatian Studies. So, Mr. Barisic, how come you have not yet exercised administrative supervision of the legality of the work of the University of Zagreb due to illegal and counter-statual decisions regarding the conversion of Croatian studies and university centres into the university department. Are you postponing administrative surveillance because of the laundry of interest with the leadership of the University of Zagreb or when you will conduct administrative supervision and warn your friends from the pan of the European Union who are giving us lessons because of friends Boras, mentor Čovic and Ježić that they must adhere to the law? That's the question. Here you show how consistent you are and here you can see the sprawl of you and the whole group that is trying to destroy Croatian studies. That's how successful you are.
ParlaMint-HR_2017-02-09-0.u30767	The reply to the replica of Minister Barisic.
ParlaMint-HR_2017-02-09-0.u30768	Thank you very much. I think this is a connection between a respected representative in this context outside the debate. I wouldn't look back at him. I would, however, look back if the question of the Ethics Committee was to question its connection with the former president of the Ethics Committee. That's a much more important question.
ParlaMint-HR_2017-02-09-0.u30769	The violation of the Rules of Procedure is a respected colleague, Jovanovic.
ParlaMint-HR_2017-02-09-0.u30770	So Mr. Minister forgot that he is in the assembly and is obliged to answer the questions asked by parliamentary representatives, not to turn the subject. So I've asked you a specific question. You have not responded why you do not exercise administrative supervision of the anti-static and illegal decisions of the University of Zagreb because you are protecting your interest group Boras, Čović, Ježić and the rest of the Pan-European Union which gives lessons to us in the Parliament. ... This Regulation shall enter [[Intruder: The speaker is not on, you can't hear.]]
ParlaMint-HR_2017-02-09-0.u30771	Yeah, you didn't say what article you were. But well, anyway, there was no breach of the Rules of Procedure. Let's move on. ... Why? [[Intruder: The speaker is not on, you can't hear.]] Well, the minister answered. I'm sorry, but you can't determine the way someone's gonna talk at the Assembly, it used to be, but it's not anymore. Now it's my dear colleague, Zeljko Reiner. Here you go.
ParlaMint-HR_2017-02-09-0.u30772	Dear Mr. Vice President of the Parliament, Your Honor! Well, I don't think there's really any need for you to suit us much more. As you can see, the discussion went in one completely different direction. When it was revealed that you didn't plagiarize anything and that there was no plagiarism and it was a measure of things and it was the main content of the charge now started thinking and talking about everything and it's likely that colleagues from the opposition will now talk about how you don't do this or don't do this in school or you won't do this in school, etc., so it's my suggestion that it doesn't really make any sense at all anymore because it's crystal clear what was the main subject of their accusation and it's that you've been plagiarizing for weeks and it's been said plagiarist, plagiarizing and all, it's clear that neither is what plagiarized nor what's been prescribed. Therefore, in fact, since their accusation fell into the water as a fabricated political accusation, we will now be talking about everything and everything. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30773	There's no response to the replica, so let's move on to the next one, that's distinguished colleague Sabina Vosovac.
