ParlaMint-NL_2016-04-13-tweedekamer-6.u1	I give the floor to Mr Klaver.
ParlaMint-NL_2016-04-13-tweedekamer-6.u131	Mr. Chairman. A historic moment in a historic situation, with indeed more refugees than ever before. It is something that makes us jointly look for solutions to the problems that this entails. Unfortunately, however, this is also the moment when the United Nations Convention on Refugees is being buried by political leaders who are too scared and who are too much lit by cynical populism to dare to explain that Europe and the Netherlands must also contribute their stone at this time. After years of austerity, to shake off the discontent of the people in the country and the disgust of politics among the people, one chooses to appoint a scapegoat: the refugees. We just heard the PVV do it. I also heard Mr Zijlstra do it earlier. I found his comments which seemed to indicate that he personally considered the VVD to be responsible for building the welfare state, the best joke this year so far. If it weren't all so nasty and cynical, I would have laughed about it. That is why this deal has been reached, both among us and with Turkey. It is a dirty deal that violates human rights, buries the refugee treaty alive and rewards the President of Turkey for bad behavior. That's how he strengthens his power. It is a President who is becoming more and more a dictator, one who would like to hear from the European Union and its enlightened and progressive ideals, but who is now locking up critical journalists and even running against freedom of expression in Germany. I wonder how the Prime Minister thinks that these steps by the Union, including speeding up negotiations with Turkey on accession to the European Union, will contribute to the fight he wishes to wage for European values such as freedom of the press. These are matters on which the Heads of Government rightly used great words after the attack on Charlie Hebdo, more than a year ago. And what do we do now? They are now making deals with someone like Erdogan. Can we expect prosecution from LuckyTV in the future? I can't wait to hear it. And that's only one side of the deal. The other side is that with this deal, Europe is shrugging its shoulders on human suffering. Where the international community should cooperate in humanitarian crises such as these in order to respect human rights at all times and anywhere in the world, the largest party in this country says: get the hell out of here with your refugees. The other side is that the European Union's value for human rights and the protection of refugees is being thrown overboard. It's the strongest piece of "not in my backyard" thinking I've seen in this house in years. Most refugees must stay away! See no evil, hear no evil, speak no evil! In all the sections of my party that I have visited over the past few months and weeks, I have been asked the same question: but why is the European Union doing this? The answer, I believe, is because the European Heads of Government will be off the problem. I can't make it any prettier. That is the reality of the VVD/PvdA cabinet, unimaginable but true. All aid organisations, NGOs, the UHNCR and the EU Commissioner for Human Rights warn about the substantive agreements in this deal and the consequences they will have. That is not surprising, because the way things are going on on the Greek islands, the fact that people are being detained and returned to Turkey is illegal. After all, Turkey does not meet the requirements for a safe third country, which was literally requested in the Klever/Roemer motion. Can the Prime Minister reflect on that? Why could we not wait any longer to implement the agreements with Turkey? Why was it not first ensured that the asylum procedures in Greece are in order? Why is there no waiting for the Turkish laws to be amended, which would give returned refugees the protection they need? How is the food supply in the Greek detention centres progressing? Is it true that the cabinet believes that NGOs are responsible for this? That would be absurd, wouldn't it? And how is the investigation of the shelling by the Turks of refugees who wanted to cross the border with Syria progressing as well as the investigation into the return of refugees from Turkey to Syria? I hope that this is a priority for our government, but in all honesty: I fear that this will not be the case.
ParlaMint-NL_2016-04-13-tweedekamer-6.u132	Mr Pechtold just asked Mr Fritsma and I am now asking Mrs Gesthuizen: what is it? What solution does the SP propose for the refugee problem and for everything we have seen around it?
ParlaMint-NL_2016-04-13-tweedekamer-6.u133	I have, of course, already exchanged this in part in the little debate with Mr Zijlstra. If we want to ensure that there is no degrading situation on European soil or in the countries of the region around Syria, and if we want to do our utmost to prevent it as much as possible, we will have to explain, with your Prime Minister and our Prime Minister first, what is going on. There are 60 million refugees worldwide. That's not fun for anyone, it's not fun for those refugees in the last place. But Europe and the Netherlands will have to play their part, and that means that we must make an immediate effort to extend the resettlement programme. That is what the UNHCR has asked us to do. The UNHCR is asking us to resettle half a million people from the region around Syria and to ensure that an important part of those people will also be a place in Europe. It'll relieve the region. We're not there yet! I am right in saying this, because I know exactly what Mr Zijlstra's follow-up question will be: and do you want to allow a stream of illegal immigrants in the meantime? "Illegal migration" is the way in which the VVD qualifies the flow of migrants, the flow of refugees. This does not, of course, put an end to the arrival of refugees in Europe, but what you do do with taking over half a million people from the region around Syria is relieve that region. In doing so, you will also ensure that the reception situation for the people who are left behind in the region is improved, which is still 80 to 90% of the refugees. If you combine that with development cooperation and with fair trade, Mr Zijlstra may sound a little strange, but it is really necessary at this time, then you can make sure that the flow of refugees is actually contained in the long term, even if it is not a solution for today or tomorrow. That is a much less cynical and, as far as I am concerned, a much more humane solution, which all people worldwide deserve.
ParlaMint-NL_2016-04-13-tweedekamer-6.u134	Fair trade seems to me to be extremely good.
ParlaMint-NL_2016-04-13-tweedekamer-6.u135	You're just never for that, but that aside.
ParlaMint-NL_2016-04-13-tweedekamer-6.u136	That seems extremely good to me. Whether the SP is for fair trade will be seen in the discussion of the trade agreements. If I understand correctly, Mrs Gesthuizen, on behalf of the SP, says that the SP therefore thinks that a resettlement programme should bring half a million people to Europe, on top of the flow of refugees coming from Turkey via boats. That's what I hear her say. Is that right?
ParlaMint-NL_2016-04-13-tweedekamer-6.u137	Unfortunately, Mr Zijlstra does not know the figures enough. That's okay. The UNHCR has asked for about half a million people to resettle exactly a few tens of thousands less from the region around Syria. This does not have to be done only in Europe. Other countries, such as Canada, are undoubtedly well aware of this example, as Mr Zijlstra has certainly taken on all their responsibilities in this respect. That half a million people do not necessarily have to come to Europe. The word cynical has been used many times, but it is also pure and blind selfishness, let me call it that, when you say: get lost with your 60 million refugees, we are happy with everything, as long as they do not come here. That is the attitude that the VVD group shows here every time, and unfortunately with pride.
ParlaMint-NL_2016-04-13-tweedekamer-6.u138	I wonder what happened to the SP. In the time of Jan Marijnissen, who made the party great, the SP had a good sense of the fact that the Netherlands in Europe are unable to cope with 60 million refugees and all the suffering of the world here, because this is at the expense of the SP voters in those neighbourhoods in the cities. Of course, we have a responsibility as Europe and as the Netherlands to the rest of the world. We are not avoiding them either, but the picture that is outlined here, as if we are going to be able to solve all these problems here and that we have to do so... I'd love to. Mrs Gesthuizen may call it cynical or selfish, I think it's all wonderful what she says about it, but we still have the responsibility in the past, once upon a time, the SP under Jan Marijnissen also took it to ensure that we make it manageable and that we also protect the welfare state, which we have all built up here. Apparently, unfortunately, I have to conclude from Mrs Gesthuizen's contribution, the SP is completely off that route.
ParlaMint-NL_2016-04-13-tweedekamer-6.u139	Unfortunately, not a very good knowledge of the figures. Of the 60 million refugees worldwide, 40 million are still in their own country. Only 20 million people have sought refuge elsewhere. Of course, 20 million people are indeed a lot of people, especially if they all drift, but related to the total world population, it is not, relatively speaking, an insurmountable problem if we as an international community were to assume our responsibilities. Of those 20 million people, about 80 to 90% remain in their own region, and that is how we have seen over the years, always in the poorest countries in the world. Of course, the VVD didn't need these refugees to break down the welfare state in the Netherlands. The VVD had done all that a long time ago, but they did come out well now. If Mr Zijlstra had listened a little bit to my speech rather than to sit around with Mr Haersma Buma, he would also have heard that I have long been blaming him for this in my own contribution.
ParlaMint-NL_2016-04-13-tweedekamer-6.u140	Now Mr Buma is being addressed.
ParlaMint-NL_2016-04-13-tweedekamer-6.u141	Well, Mr. Chairman. It was just the way it was. I do not blame Mr Buma, but Mr Zijlstra did, because that was the one I spoke to in my speech.
ParlaMint-NL_2016-04-13-tweedekamer-6.u142	It's either Buma or Van Haersma Buma, but never Haersma Buma.
ParlaMint-NL_2016-04-13-tweedekamer-6.u143	Excuse me, Mr. Chairman. Then it's Mr. Buma. He's right to say that. The VVD didn't need that flow of refugees at all, but what the VVD has done is save many billions itself. This has been passed on to the most vulnerable people, including by selling, selling and not investing in the stock of social housing here. Now a number of refugees are coming to the Netherlands. Admittedly, that presents us with challenges. But now you're blaming the refugees for that. I think that's very ugly to see, even when you're laughing.
ParlaMint-NL_2016-04-13-tweedekamer-6.u144	Mr. Chairman. This beautiful cartoon actually says everything. I'll explain. We made a vile and very dangerous deal with a Turkish dictator, a tyrant who abolished freedom of speech in his own country and even wants to lock up comedians in Germany. It is clear once again: Turkey does not belong in the EU, never. A huge majority agrees with us. Almost three quarters of the Dutch judge the agreements with Turkey as bad, but it doesn't matter to our Prime Minister. He considers the opinion of mad Angela more important than that of the Dutch people. We're going to spend 6 billion euros on the Turks. Over the back of migrants, Turkey is blackmailing itself into the EU. In a few months, Turks will be able to travel visa-free, leading to a new uncontrollable wave of migration. And that is when there is no guarantee that Turkey will actually limit the influx of asylum. After all, the number of lucky seekers entering Europe is still increasing compared to last year. A great failure is in the making. Frontex warned that a staggering number of IS fighters are entering Europe. EU policy is a major threat to our national security. Brussels now even wants an EU asylum system. We say: look at Juncker, Timmermans and all the other unelected Eurocrats. We do not need more, but much less EU. I'm glad that's going the right way. We see crisis after crisis. The total collapse of the EU project is getting closer and that is good news for the Netherlands. I would now like to hand over the cartoon to the Prime Minister.
ParlaMint-NL_2016-04-13-tweedekamer-6.u145	You can, but you'll have to do it through the messenger.
ParlaMint-NL_2016-04-13-tweedekamer-6.u146	Mr. Chairman. Put an end to the drowning, to the smuggling of human beings, to the human tragedies that have taken place in the Balkans and provide a humane, sustainable and legal asylum route to Europe for those fleeing war and violence. For my group, that was the purpose of the search when Europe faced an unprecedented flow of refugees, thousands of drowning deaths and hundreds of thousands of people walking desolately through Europe. With the Euro Summit agreement, almost a month ago, that answer seems possible. It is not an easy answer, there is no such answer, but it is an answer that can stop the deadly crossings, stop the smuggling of human beings and offer refugees an air bridge towards Europe. Now, after a month, there is reason for cautious optimism. The crossings are falling, the first Syrian families could go through that air bridge to Europe and the imam of Izmir has not had to bury a drowning man since the agreement was reached. But there's at least so much reason to stay extremely alert. The enormous task facing Europe, particularly Greece, can only be carried out if all the agreements are complied with. 50 000 refugees are now waiting in Greece for an answer to the question of their destination. Instead of continuing to walk on the Balkan fields, all these people have applied for or will submit an asylum application. In the case of allocation, the right to stay in Europe, possibly through relocation, applies. That is a start to the sustainable solution as we had it in mind. Then refugees will apply for asylum in Europe upon arrival in Europe. Then they don't have to wander in search of their destination. This means that all these requests must be processed quickly. In the Netherlands, the system was already blocked by 50,000 applications last year and there are now waiting times of many months. In Greece, much worse organized, it has to be much faster. How's that going, I'll ask the cabinet. Is there enough help? Do the authorities manage to persuade refugees to leave the mud of Idomeni and the quay of Piraeus and opt for better shelter? And what does the schedule look like, along which more than 2,000 people we would record, are going to come to the Netherlands? On the islands of Greece, if possible, the task is much greater. Those who are now applying for asylum will have to consider whether their application is admissible or whether they are safe in Turkey. This requires an individual assessment, i.e. per application. This must be done on the basis of the facts before us and in accordance with the European asylum directives. Therefore, referring back to Turkey can only be done if the guarantee is that there is safety there. And not politicians judge that, but judges. That's the rule of law. Politicians are responsible for implementing the agreements, including the agreements with Turkey. If there are reports, such as those from Amnesty International, that these agreements are being violated, then such a point must be clarified and resolved. I would like to hear from the government what it intends to do on this point. In the meantime, there is also a great deal of pressure on shelter on the islands. My group urges the government to ensure that reception on the islands meets and continues to comply with European values. This means that detention is only chosen if it is necessary, and for open residence if it is possible. The developments at Lesbos, where families with young children are now housed in an open shelter, offer a perspective, but there too there is a need for alertness. And then, and then... if we in Greece manage to put the chaos of last year behind us and work towards a humane and orderly asylum policy, we must now look to the future. For the flow of refugees from Turkey, this means a substantial and sustainable resettlement programme as long as the unrest in the region continues, and that will take some time. And what does it mean for North Africa, where hundreds of thousands of people are now getting into boats in despair? The hard truth is that we must remain guilty of an answer to that question for the time being. That's what makes me think. It also makes sense to work, because there will be an answer. This discussion is far from over.
ParlaMint-NL_2016-04-13-tweedekamer-6.u147	The explanation given by Mr Samsom to this deal worries me a great deal. Mr Samsom says: apart from the air bridge that we are going to set up to pick up Syrians from Turkey, people are also given the opportunity to apply for asylum in Greece or in Europe. In addition, he says that these are promising asylum applications. At least that's how I understand him. Is that right?
ParlaMint-NL_2016-04-13-tweedekamer-6.u148	This is simply in line with the agreements made between the EU and Turkey.
ParlaMint-NL_2016-04-13-tweedekamer-6.u149	Then there is a lot of light between what Mr Samsom says and what the cabinet says. The cabinet is literally saying 'I have the Acts before me' that all asylum applications from people in Greece are declared inadmissible and that anyone applying for asylum in Greece must be returned. Who am I supposed to believe? What explanation of the deal should I believe? Should I believe Mr Samsom's explanation or should I believe the cabinet's explanation? Explaining those two are just miles apart.
ParlaMint-NL_2016-04-13-tweedekamer-6.u150	If the cabinet would like to claim that, I doubt it will be able to do so. Asylum applications are being made in Greece at the moment. Those assessments are currently taking place. For this reason, no Syrian refugees have yet been returned to Turkey; their application has simply not yet been assessed and finalised. If the application is indeed rejected on the basis of the safe third country principle, which is currently allowing Greece to join Turkey in individual cases, that must be determined each time or denied............................................................................................................................................................................................................................................. The reflection period is then six days and the term of the ruling is about five days. If the appeal is rejected, the refugee is indeed referred back to Turkey. If, in individual cases, the judge, first of all, the asylum expert, you have been one of your own who considers that this refugee has the right to asylum in Europe, then he will receive asylum in Greece and may be eligible for a place elsewhere in Europe under the terms of the relocation. However, he must meet other conditions. That's the deal. That's how they're being carried out now. This is careful, in accordance with international and European law, and we are committed to ensuring that it is done in this way.
ParlaMint-NL_2016-04-13-tweedekamer-6.u151	We are done with that, I say on behalf of the PVV Group. So what the cabinet said is wrong. It has literally said, through Secretary of State Dijkhoff, that applications from asylum seekers in Greece should not be declared admissible. In fact, a time limit of a few hours is given for this. The person in question is then sent back to Turkey. Now Mr Samsom says that there can be a line through that. He says that this is not true and that people are just entitled to make a promising application for asylum in Greece and in the Netherlands. I say that we are done with this, because in Mr Samsom's explanation we maintain both asylum flows. Anyone who comes to Europe can apply for asylum and has a chance of getting a permit. On top of that, the air bridge from Turkey to the Netherlands to pick up Syrians. So that's what's left of it. Well, we're done with that. If this is the explanation of the deal, I'm very concerned.
ParlaMint-NL_2016-04-13-tweedekamer-6.u152	To hear what the cabinet said, you really need to discuss with the cabinet. But I know the procedures in force in Greece: the application does not take a few hours, but it takes three days. So we have time for that. That has to do with the declaration of admissibility. That's how we do it in the Netherlands. First, it is assessed whether an application is admissible at all. If this is not the case, the procedure will enter into force. That could indeed end in referral back to Turkey. The difference is that so far, in the heydays, 5,000 people per day have sought refuge on the islands, encouraged by smugglers and despair. Now it's 80 people or fewer people a day. That is because the asylum procedure has finally been rigged. I heard Mr Voordewind say in the debate that he wanted all this to have happened much earlier. I agree with him on that point. However, now that this is happening, I think we should support it. I don't think we should just turn it down because it's too late. Then there will never be a solution. We finally have the opportunity to do something in Greece that is orderly rather than let the Greek word 'chaos' reign.
ParlaMint-NL_2016-04-13-tweedekamer-6.u153	Of course, it is not just a question of whether these agreements were made too early or too late. It is also a question of how they are carried out. There are rightly concerns right now. At least, my group finds it worrying that there are signs of it more than just signs of human rights violations. A part of these agreements with Turkey is therefore currently in a bad light. What are we gonna do about it?
ParlaMint-NL_2016-04-13-tweedekamer-6.u154	I myself spoke about this in Greece with the Director of the Asylum Service. He said that it is very clear: all facts play a part in the assessment of an application. That's the way it is in the Netherlands. An asylum expert, and in the second instance the judge, has all the facts at his disposal. Amnesty International's reports are signals, but they are also facts. Such a report is an interesting one. Those reports are therefore to be considered when applying for asylum. So they play a part in that. That's for the individual application. I wanted to make sure of that, because I want to make sure that this takes place in accordance with international law and European law rather than through a quick cut-off of people's rights. At the same time, I agree with Mr Pechtold that the political agreement with Turkey must also be respected in general, regardless of the individual agreement. I have already said that I could imagine that the European Commission, if it does not receive a satisfactory or a full or final reply from Turkey, would ask the UNHCR or any other independent organisation to investigate this further. That is always a complicated issue for countries that consider themselves sovereign, but the interests are great and I think we should get out of it. That's the kind of assignment I'd be willing to give to the Cabinet. In fact, I've suggested that before.
ParlaMint-NL_2016-04-13-tweedekamer-6.u155	I heard somewhere that Mr. Samsom is going to be on TV with that kind of idea tonight. I will certainly look, but I would also like that to be part of the debate today. Quite a few groups have said that it should not only be done on the basis of such a report, but that there should be monitoring of these agreements. I want to refine it. It must not only be done from Europe and the Commission, because they are important in this whole. I'm not saying they're suspicious about that, but they're interested. I think we should take a broader look. If Mr Samsom suggests that tonight on TV and if that is widely worn here in the Chamber, then I think that is a signal that should also be sent to the cabinet in this debate. Mr Samsom himself now calls the UNHCR. Apart from the report, he felt that the monitoring of the implementation of the agreements should be laid down where it is transparent and with an appropriate organisation.
ParlaMint-NL_2016-04-13-tweedekamer-6.u156	There are grounds for making this proposal. There are reports from Amnesty International and others that things are not going well on the Eastern Turkish border. There's a war there. Those messages will therefore continue to come for a long time. With that reality, we must all live together. This is a reason to deal with the political agreement reached between Turkey and the EU in a specific way. When it comes to individual asylum assessments and agreements, I am reluctant. That's not what politicians are about. That is what we agreed on in a rule of law. Politicians here don't decide which cell door opens or closes. That's what judges and experts determine, in the case of asylum assessment. I'd like to keep it that way. 5,000 asylum applications have now been made, because of course everyone there has now applied for asylum. I don't blame them. Many of them come from countries where the chances of asylum are rather low. But those applications will also be assessed. It's done by experts and judges. They assess whether someone is safe and therefore inadmissible in their asylum application. If we go between or over that again, it's gonna be complicated. But when it comes to the political agreements we have made with Turkey, there is certainly reason to ask the European Commission to instruct the UNHCR to find out. I think that's a good route.
ParlaMint-NL_2016-04-13-tweedekamer-6.u157	The problem of human rights violations is wider. It's also about sending it back. Two weeks ago, Mr Samsom said on the message that Turkey is sending refugees back to Syria: this is contrary to everything we stand for; the European Commission must agree with the Turkish authorities that this should stop, otherwise the agreement between the EU and Turkey will simply not happen. I would also like to quote: it may be clear that until Turkey complies with the international conventions, the agreements do not come into force. This is not just for judges, this is for politicians, this is for coalition politicians. Leader of the PvdA, I ask you: the agreements are now in progress, Turkey is violating them. Mr Zijlstra is getting away from that. If you do mention it on TV tonight, I'd like you to just confirm it here.
ParlaMint-NL_2016-04-13-tweedekamer-6.u158	I've been doing that for a while. Mr Zijlstra did not crawl away from it. Mr Pechtold made a good attempt to paint that picture, but at least that is with me, but I may not have succeeded in being a very specific listener. We're not getting away from that. He's talking about two weeks ago, but I'm not gonna wait two weeks. Are you out of your mind! This is really about bigger things. The European Commission has already raised this issue twice with the Turkish Government. The Turkish Government has also responded to this. Only, there is reason to ask for an additional guarantee on that. I agree with Mr Pechtold and I would like to say this with ourselves. So that's what we're gonna ask for.
ParlaMint-NL_2016-04-13-tweedekamer-6.u159	Then I wonder what's in that last sentence: we're going to ask them. We believe that the European Commission is engaged in talks with the Turkish authorities, because the Turks have already said that there would be no forced expulsion to Syria. Does the Labour Party think that Mr Samsom does not think that there are enough serious signals with the Amnesty report to make a pass on the return of refugees? That's possible, isn't it? If they are in proceedings and declared inadmissible, they shall be returned. Does the Labour Party think that it is now too unclear to know that people are not being forced back to Syria? Is he prepared to suspend the Turkey deal for the time being until the UNHCR or other organisations have carried out independent investigations?
ParlaMint-NL_2016-04-13-tweedekamer-6.u160	The question of whether an individual applicant for asylum who has registered in Greece is safe in Turkey is a judge and an asylum expert in the first instance. That expert will also assess the information we have received. That's right. This is also the case in the Netherlands. The IND assesses asylum applications, among other things, on the basis of official messages and fortunately also on the basis of many other reports. This is also happening in Greece. That situation is now under way. The first assessment has not even been made, let alone the first appeal. But if we are now building a good asylum system in Greece with steam and boiling water, I would not suggest that it is already finished, but there are about twenty times as many experts at the moment, so their numbers are increasing rapidly, we must give it a fair chance, as we do in the Netherlands. There is sometimes a discussion about this, but in the Netherlands we do not decide for a moment that we stop the flow of people from a particular country. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, That's what we do here. In this respect, I would like to do justice to the rule of law, which we all wish to restore on this issue. Mr Voordewind was perhaps the most pronounced in the first term with his cri du coeur. On top of that, we have made agreements with Turkey. They go a lot further too. This has been discussed before: visa liberalisation and other issues. On the basis of these agreements, for example, you can keep each other to respect human rights. Over the last ten years, we have not talked to Turkey. At least that hasn't improved. Maybe we could do that now. Part of this is to instruct the UNHCR to take a good look at it on the basis of the messages. Furthermore, the UNHCR has already indicated that it has 100% access to Syrian refugees in Turkey who are being returned to control their destiny.
ParlaMint-NL_2016-04-13-tweedekamer-6.u161	The problem is also the question of whether the UNHCR's monitoring is limited to Syrian refugees or whether it extends to all refugees. I'm just thinking about what I said about the Jezidis in the first term. I'd like to go back to the court ruling. There is a Turkey deal that says that applications are not admissible because they could go back to Turkey. We also have various discussions in the Dutch Parliament. Mr Samsom also briefly spoke with me at the time. Political parties have sometimes spoken of moratoriums here or asked the cabinet to do so. That could also be done in the Turkey deal. As long as we do not have that clarity, which Mr Samsom also wants, we could sit down with the Greeks while the Netherlands is still President and say: let us take a step in the right direction, because we want to avoid sending people back to Turkey, who will end up in those Al-Qaeda camps. That is a political possibility.
ParlaMint-NL_2016-04-13-tweedekamer-6.u162	We have never done this, with all due respect to Amnesty International, on the basis of an Amnesty International report. We do that on the basis of official reports. That's what it's supposed to be in a rule of law. So is Greece. There goes the same way. This does not mean that Amnesty International's reports and many other organisations do not play a role in assessing an asylum application, initially in assessing whether an application is admissible. Greece has declared that Turkey is a safe third country. That's a general statement. In each individual case, that will have to be assessed. That is why it takes so long, at least it takes me a little too long on those islands. I therefore believe that we have an additional obligation to improve this reception in the meantime. But we're not going to cut corners here in international law. We are not going to take any steps with the European agreements and the European directives on asylum assessment. This means that, in Greece too, you must give the procedure, as we have designed it, the opportunity to work. Let's do that. On top of that, let us not avoid our responsibility if politicians do not escape and monitor political agreements with Turkey, for example by instructing the UNHCR to do so.
ParlaMint-NL_2016-04-13-tweedekamer-6.u163	I am very pleased that Mr Samsom also sees a role for the UNHCR in this. You have to check the agreements; asking the Turkish authorities friendly questions is not enough to determine what is actually happening there. Mr Samsom said that the basis for this deal lies in the bilateral agreement between Turkey and Greece, namely that Greece has identified Turkey as a safe third country. The question that then arises is whether Mr Samsom does indeed think that Turkey is a safe third country. Given the reports on Syrian refugees in Turkey being returned, given that there is no access to employment and training, especially for refugees who are not Syrians, can you speak of Turkey as a safe third country?
ParlaMint-NL_2016-04-13-tweedekamer-6.u164	There is a great deal to be said about Turkey. I'll be the first to do that. There can be a wide-ranging debate on this. However, the situation in which Syrian refugees find themselves in Turkey is similar to that in which they find themselves in many European countries, including the right to training and the right to work. This does not almost always lead to education or work, but it does not in the Netherlands. At the moment, asylum seekers are simply waiting in Heumensoord, without actually being able to claim civil rights, because the procedures have been stalled and practice does not allow them to work faster. So it is not ideal in the Netherlands either. That's always true. We're talking about a drama at first. People have been fleeing. In Turkey, 2.7 million Syrians comply with international standards, in accordance with the Geneva rules. So Greece can say in general: yes, it is a safe third country. This does not mean that they can simply deny each individual asylum seeker the right to asylum. The same procedural directive laying down the criteria for "safe third country" also lays down rules for examining each application for asylum individually.
ParlaMint-NL_2016-04-13-tweedekamer-6.u165	This is a good description of how the situation works. We have discussed this with each other on a number of occasions. However, my question was whether Mr Samsom himself thinks Turkey is a safe third country. The fact that Greece thinks so is clear. That's what they made arrangements about. The Netherlands has not yet identified Turkey as a safe third country, which I find striking. As I can judge it now, Turkey does not meet the requirement of non-refoulement, namely that as a refugee you should not be afraid to be put back into an area where you are in danger. In doing so, it does not meet all the requirements for being considered a safe third country. So my question is not how the procedures work and whether Greece has the right to do so, but whether Mr Samsom thinks that Turkey is a safe third country.
ParlaMint-NL_2016-04-13-tweedekamer-6.u166	I have indicated this before: yes, it can be qualified as a safe third country. That doesn't mean everything's going well. This is not the case in the Netherlands either. We too are qualified as safe third countries, but here too things are not as good. In fact, there was a judge in Germany a while ago who took away the status of safe third country for powerful reasons. So that can happen. Judges can do that. This can also happen in Greece. This is independent of the political assessment that I support and which I have already indicated that there are good reasons for doing so. I just mentioned Izmir's imam, who says tonight on television that he has no need to bury drones since the deal was concluded. That's what I think is more important. So that means that you have to make some difficult decisions, such as the decision on what I would rather have walked around, namely: is Turkey a safe third country or not? You don't want to answer a question like that, because it's hard to answer. But no, Mr Klaver, we will answer that question here. We have a duty to solve this problem. Then you can say: you know what, we don't solve the problem by that route; we stick around in air biking or otherwise. This is not how I dealt with this whole problem; I'm sure you've seen it. I will not treat it that way in the future either.
ParlaMint-NL_2016-04-13-tweedekamer-6.u167	Finally, Mr Klaver.
ParlaMint-NL_2016-04-13-tweedekamer-6.u168	I appreciate the effort to ensure that fewer refugees make the crossing where people drown. That's what I've said before. I think everyone in this Chamber agrees that that is terrible. At the same time, we can see that these movements are now taking place in other places at sea and that many more people are crossing the sea. People are still dying. In the end, I have also indicated what I think is the solution to ensure that fewer people make the crossing. It's in the safe routes. You have to make sure that people get an alternative to getting into business with a human smuggler. I am concerned that we are about to send people back to a country where we are not sure whether the people who are staying there are safe. Indeed, Mr Samsom, that is a price I do not want to pay.
ParlaMint-NL_2016-04-13-tweedekamer-6.u169	First of all, I would like to comment on the suggestion that there are currently people in Libya who stood on the beach on 20 March on Izmir beach and thought: I can't take this route anymore, so I'm going around. If Mr Klaver tried to make that suggestion, he himself should immediately reject it. I hope he does, too. Don't try to suggest that there's already been people walking around. No, there were hundreds of thousands of people in Libya waiting for the crossing and they continue to do so. That is why I indicated that we must also come up with a solution to this problem. You know what, Mr Klaver, that is a much more difficult solution than this one. It's a lot harder. Because if I wanted to make an agreement with Libya on the safe third country principle, I wouldn't even know which of the four governments they have now, I would have to call. That is an even more difficult task. So fasten up for that problem, Mr Klaver, because that is what you are dealing with, and so am I. We have the task of solving that together. If we want people to stop drowning or walking desolate through Europe because no one in Europe feels responsible, we will have to take difficult decisions, including those we have made in this agreement. I'll take care of it.
ParlaMint-NL_2016-04-13-tweedekamer-6.u170	This brings us to the end of the first term on the part of the Chamber. There's a need for a half-hour suspension.
ParlaMint-NL_2016-04-13-tweedekamer-6.u171	President. - I call the Group of the European People's Party (Christian-Democratic Group).
