ParlaMint-NL_2016-09-27-eerstekamer-3.u1	I would like to welcome the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2016-09-27-eerstekamer-3.u56	I am in favour of legislation that can be implemented. I would like to have legislation when, for example, we can give specified consent. I would like to see patients' rights better described than they are now. The question is, however, what are we going to do with all patient data, the pressure of big data to release that data to other parties? This bill does not provide a solution. In fact, this bill does indeed point towards the technique of a nationwide switching point while there are so many other possibilities. With the Personal Data Protection Act there are already so many safeguards. They are sufficient to provide the protection we already have. We simply do not need this legislation. We do not aim systems safely with big data, not with a central switching point where everything comes together and eventually everything is tied together, even though there are bulkheads between them. And unfortunately not with a system where the patient can log in via a portal at home; a system where PrivacyCare, asked by the VWS Ministry to investigate eID, says that the required level of security cannot be achieved widely. When 17 million people get access to a system, it's only a matter of time before it's cracked. And yes, there are people who make their living with this. It is worrying that so little has been done by e-health companies to tackle this problem. Alternatives are conceivable and alternatives are also being developed that do not require this legislation. They already have enough of the current legislation, but these alternatives do not come from large companies and that makes them think. What this minister and the Chamber should be thinking about is how IT companies are used to dealing with our data. Because they don't. Not so long ago I heard from a large IT company that the procurement of smart energy meters had won in Britain that it doesn't matter to the customer if that company can see whether or not you're home at 3:00 a.m. I told them who are you for me to decide? This is precisely the crux of this debate. The way we set up the law now, we surrender to those e-health companies. They determine the degree of protection. There's no NEN standard against that. That protection abandons the Minister by introducing the digital copy. I'd like to think about this one more time. It seems to be a fantastic development. We can look into our files in real time and we can also download those data. But what does that even mean? That means that data that is now covered by professional secrecy is going to be stored neatly with the health care provider on my own computer. I can then upload that data in the cloud or read it in my app, which tells me what's going on with my health. I downloaded that app, a nice free gift from the playstore. I didn't realize, by the way, that I have now given that data to the developer of the app, who then sells it to my health insurance company. Nothing illegal about it. It's okay. It's okay. And I predict that in ten years' time there will be a parliamentary inquiry into how it could have happened. I hear the e-health companies rolling over each other to make this legislation come about. The Minister can of course say that it is up to the patient himself to handle these dates wisely, but then I ask her when she last read the terms of the app she downloaded. I ask the Minister why she has opted for legislation that is almost forcing the electronic patient file. It is recognised that initiatives are also being developed at the moment in which the patient actually owns his data and together with the general practitioner, the centre of our healthcare system, can decide that people can see that data at the time they need it, without rigging up the horror we are currently working on. Does it also recognise that this can be done within the current legislation? Does she also recognise that this can be done without losing our data to commercial parties? Developments are worrying, also in the light of the latest developments in the EU's Privacy Directive, where the general Data Protection Regulation was adopted by the European Parliament on 5 April. This will largely replace the Personal Data Protection Act. Therefore, paragraph 26 states that this Regulation does not concern the processing of anonymous or pseudonymised data, inter alia for statistical purposes or research purposes. I ask the Minister what this regulation means for the dates that e-health companies can collect from us. Can the Minister reflect on this regulation on connecting all patient data in a large big data system? It's already been mentioned. Recently, under the guise of anti-fraud, the Lower House decided to give the health insurance companies permission to look into patient files. Fortunately, we are going to talk about it, but it indicates the pressure of the legislator to access that data. That has to do with digitalization. Imagine if the health insurance company had asked 40 years ago, in the world of that time, for access to the files. So we went to our old GP's to look at the green maps. That would have cost the health insurance company more than the savings on the fraud itself. By developing this system, the LSP, an unnecessarily risky system, is the desire of a number of large parties who would like nothing more than a large documentation system in which they can then carry out research to their heart's content. These people do not have the patient in mind when developing the systems, but think of everything that might be possible. In the long run, anything is possible with this technique. Then the questions to use these data come to the public interest, to the doctor, to the healthcare professional, to the patient and to us. How solid are we gonna be in our shoes? Shouldn't we be ahead of that question and make sure that big bulk of data doesn't arise? We have sufficient legislation for the NEN standardisation and data exchange can already take place under the current WGBO and the Wbp. I'm closing up. The SP is very concerned about the bill. This bill, as I said at the beginning, stems from the desire of the First Chamber to give the patient better protection in digitizing his patient file. This law should give that patient more protection. But in the sum sum, not only do many loose ends remain; it also appears that this law initially deteriorates the position and that it is still unclear whether the law can ever be implemented. Would it not be wiser, I ask the Minister, to wait for that first. I also find the argument that Mr Bruijn is using this law to put pressure on people to develop things more quickly, and perhaps we should introduce the specified consent rather than a little wishful thinking, as if we could put so much pressure on the technique itself that developments would go faster. I would also like to include in the law that teletransport will be possible next year, but I do not see that happening so soon.
ParlaMint-NL_2016-09-27-eerstekamer-3.u57	For clarity, this was not my argument. This was the argument of various field parties, which we invited here together at an information meeting and which repeatedly raised. What is the solution for Mrs Gerkens to the problem she faced when she and her son were at that pharmacy and there was an LSP? Is the solution that we're going to ban it? It already exists. It is not introduced by this law. Does she want us to go back to paper files? Or is the solution a better information by, for example, the general practitioner about the existence of such an LSP with that affiliated pharmacist at the time when Mrs Gerkens sat with her son with the general practitioner who wrote the recipe. In the latter, this law provides for Article 15c.
ParlaMint-NL_2016-09-27-eerstekamer-3.u58	The recipe was written by a specialist, but this aside. There's a third possibility, and I'm advocating it here. It is that there will be a system that I have so much faith in that I can say: yes, share that data, because that is necessary. The current systems and also the systems proposed in this bill do not give me that confidence. They give way too many risks. Those systems are there; they are developed by the universities. I call Whitebox. I think there's another way. It's not or-or. There's a third way.
ParlaMint-NL_2016-09-27-eerstekamer-3.u59	No systems are proposed in this law. Now let's get this misunderstanding out of the way. The systems are already here. There's always new ones. This law lays down requirements there that meet the concerns I share with Mrs Gerkens.
ParlaMint-NL_2016-09-27-eerstekamer-3.u60	This law responds to the concerns of the LSP system. Those concerns aren't with the other systems. It's systemicly fine to work with. So then it is also true what the PVV says, namely that this law is indeed written on the basis of the LSP. I'll make the sum. Here is a bill that can count on widespread unrest in society.
ParlaMint-NL_2016-09-27-eerstekamer-3.u61	Mrs Gerkens says that she is advocating a third option, namely a system that is so safe and trustworthy that she would like to join. When does she find it sufficiently safe and trustworthy?
ParlaMint-NL_2016-09-27-eerstekamer-3.u62	I find this a little difficult, because before you know it, I'm advertising systems that are under development. There are systems that rely much less on that generic consent, where you handle push and pull much wiser than you do now. In these systems, with the double authentication as a patient, I can say again whether or not I want a doctor to be able to see certain data. That doesn't have to be done with large bulk data being "pulled." It all sounds weird, but I mean that the data is drawn out as it were. This can be done much more tailor-made and in much better consultation with the general practitioner and the patient.
ParlaMint-NL_2016-09-27-eerstekamer-3.u63	In fact, I hear you say that you are going more towards specific consent at a time than to specified consent. Let me get this straight.
ParlaMint-NL_2016-09-27-eerstekamer-3.u64	That's right. There is, of course, great confusion about what exactly is specified consent and what specific consent is. Those concepts are also very vague. That is what you asked for in your term of office. So I don't really know what I'm saying yes to. But if we think we know what it means, I'll say yes. I'll make the sum. Here is a legislative proposal that is subject to widespread unrest in cooperation; a legislative proposal that parties such as Amnesty International, the Civil Rights Foundation and the Dutch Legal Committee on Human Rights say no to which the sector says that the concept of specified consent is unclear or does not seem feasible at the moment, which is asking for a postponement until it is clear whether this bill is possible at all, and above all the sector believes that it is a proposal that does not respect patient protection. That we can do it differently, we've seen. There are sufficient initiatives that can count on the support of the sector, which better protect patients and at the same time allow them to manage their own files. It is still a mystery why this minister does not give these innovative initiatives a chance to pass legislation that ultimately steers an electronic patient file old style, which is technically also a freak and quite old. It will be very difficult for my party to support this bill. I look forward to the Minister's response to our concerns.
ParlaMint-NL_2016-09-27-eerstekamer-3.u65	We continue to puzzle about how this bill, which is actually aimed at strengthening the position of the client and tightening up the requirements that every healthcare provider must meet when storing, processing and providing data to another person, stands in the way of the developments that Mrs Gerkens outlines and which are of value.
ParlaMint-NL_2016-09-27-eerstekamer-3.u66	First of all, there is already enough legislation that makes demands on how to store privacy-sensitive data. We really do not need this legislation for that. It's covered. Why do I think this is a deterioration? Because by definition we allow generic consent in the next few years. I find it striking that I don't hear a lot of people talking about it. There's more talk about caring about what happens after three years. But I find it incomprehensible that we want to allow generic consent for three years, something that we have said in this Chamber that we do not want. The possibility of a digital copy for the patient involves major risks. That's what I'm really worried about, because there's gonna be pressure on the patient to upload those data into the internet of things or they're gonna be used for apps with data about what you eat and how you walk. What happens to those dates? By definition, they're outlaws. They'll be sold. I advise the members to look at the Counter-Light program last Sunday. This makes it very clear what people want to do with these data. I also recommend reading the book "I do have something to hide" by The Correspondent. It makes it very clear that these dates are worth gold. We have to protect the patient for that.
ParlaMint-NL_2016-09-27-eerstekamer-3.u67	I think there's been a misunderstanding. This bill is about data that healthcare providers, healthcare providers or aid workers have in their files. They are subject to the BIG Act and to the Medical Treatment Agreement Act and to the Privacy Act. The legislative proposal, as I see it, aims to add something to the requirements of electronic processing. Mrs Gerkens says that this is already contained in legislation. Then I am curious to see where the requirements imposed on healthcare providers are now mandatory in the et via the AMvB with NEN 7510, 7512 and 7513. Those are field standards and not legal obligations. So where is that now?
ParlaMint-NL_2016-09-27-eerstekamer-3.u68	It's true. Mr Ganzevoort rightly said that these field standards are set in the Wpb. In the Wpb, however, there are indeed requirements on how personal data are processed. It doesn't say exactly what standards that should be. By the way, there is already a code of conduct by the IGZ. It contains codes of conduct for the standards used. So the field is already taking that very well. A NEN standard doesn't say everything about safety either, because even then it's crackable. The Green Heart Hospital met NEN standards when it was cracked. This does not mean everything either, but the Personal Data Protection Act clearly states that an appropriate form of security must be chosen when processing personal data. As far as this appropriate form is concerned, I know that the Dutch Data Protection Authority is very strict. We have enough guarantees as it is. You also said that it concerns the data available to a doctor or someone else who is BIG registered. That is true, but the bill also offers the possibility of a digital copy, with which the professional secrecy lapses. After all, then the patient has the data on his PC and the patient has no professional secrecy. So he can do with the data what he or she wants. I had just had a little debate with Mrs Bredenoord about the extent to which the patient is able to assess how sensitive those data are. My point is that a large group of people unfortunately do not know that. Perhaps we should say, as with the seat belt, that we make it legally mandatory to handle data sharing with others with caution. I don't see that in the bill.
ParlaMint-NL_2016-09-27-eerstekamer-3.u69	Mrs. Nooren, very briefly.
ParlaMint-NL_2016-09-27-eerstekamer-3.u70	Indeed, this bill is not about what someone does with their own data. It is about how the healthcare provider handles the data. I believe that you are in favour of another bill, namely a proposal on how people deal with their medical records.
ParlaMint-NL_2016-09-27-eerstekamer-3.u71	That's right, that's legislation that might have been here, but it's not there. However, a digital copy is made possible, making it much easier to share data. By definition, this bill makes the patient's position more unsafe. Good regulation of data in the patient's possession could have prevented that, but there isn't. That's why I'm saying this bill is a missed opportunity.
ParlaMint-NL_2016-09-27-eerstekamer-3.u72	Mrs. Martens, briefly. I'm not saying this specifically to you, but in general.
ParlaMint-NL_2016-09-27-eerstekamer-3.u73	I get it, Mr. Chairman. Mrs Gerkens pleads, if I listen carefully, for something like patient secrecy or no inspection at all. Mrs Gerkens says: I think it is unsafe now, so I don't want it; I don't trust it and I don't trust it to work out. Actually, she doesn't have any faith in technology. She says, "Look at Amnesty." Is it true that she considers the letter of Amnesty and others more important than that of ActiZ, V&VN, KNMG, KNMP, LEVV, Nictiz, Patient Federation Netherlands and NVZ together? They say that this perspective is important, because otherwise nothing will happen; technology can do a lot and nothing will happen if we do not set standards. Amnesty and others are more important than these organisations together. That's right, isn't it?
ParlaMint-NL_2016-09-27-eerstekamer-3.u74	I find the comparison you make strange, as if some organisations are more important than others. I think both sides are saying something important. The question then is which side the scale is going to go to. We all agree that the field of work should develop this in a good way. This is not going in the right direction, because we are focusing on a form that the Chamber has said: rather not. In the end, however, human rights outweigh the question of how quickly or in what way we develop a system. Human rights must be guaranteed in that system. When human rights organisations say that they have great concerns about this, I let the scale go to that side and say: first remove those concerns before we proceed with this legislation.
ParlaMint-NL_2016-09-27-eerstekamer-3.u75	I have the confidence that the organizations I just mentioned are looking at that as well.
ParlaMint-NL_2016-09-27-eerstekamer-3.u76	Mrs. Bredenoord, very briefly.
ParlaMint-NL_2016-09-27-eerstekamer-3.u77	I have a quick question. Basically, if I want, I can put very compromising information about myself on the Internet, also health information from my patient portal. I am curious to know what solution you are proposing. Banning me from putting information about myself on the Internet goes a long way. Besides, there's also something like a right to be forgotten. So basically you can get things back. Can you respond to that?
ParlaMint-NL_2016-09-27-eerstekamer-3.u78	You want to be brief, Mr. Chairman.
ParlaMint-NL_2016-09-27-eerstekamer-3.u79	Yes, please, briefly. That really depends on the time. It's very interesting, but...
ParlaMint-NL_2016-09-27-eerstekamer-3.u80	It's true that you can pull files. They are generally not digitized, which is given in the paper version. Digitalizing means that you can share data much easier. It's about whether the patient realizes what gold he's holding. I think we need to make sure that people are aware of that. Maybe we should look at a patient secret. I think that's an interesting option. We need to find out how we better protect data: how do you deal with it? I can talk about it for another half an hour, but the president doesn't want that.
ParlaMint-NL_2016-09-27-eerstekamer-3.u81	No, the chairman doesn't want that. Thank you, Mrs Gerkens. I now give the floor to Mr Ganzevoort.
ParlaMint-NL_2016-09-27-eerstekamer-3.u82	Mr. Chairman. Of course, we are very curious about Mr Bredenoord's compromising information, but that will have to happen some other time. Mr. Chairman. If this law regulates in a fairly clear way such important matters as customer rights in the care of the electronic exchange of data and, moreover, it does so in a fairly formal manner, it is not about a specific system but about cross-compliance. How can it be that the Minister has not succeeded in getting all hands together since the proposal was submitted on 21 December 2012? First one and a half years in the House of Representatives and now we are working here for two years. Both the Chamber and the government needed more time on a regular basis. Parts had to be deleted or were not allowed to enter into force, etc. Today we have the preliminary final debate which should lead to an opinion on the proposal. I will not repeat everything that has already been discussed in this whole process, but I will try to peel the balances a little bit and find an answer to the following question: did Schipper's mountain give birth to a mouse? After all the heavy words, is there a bill left that really represents something, or are we looking at the emperor's clothes today? There has been some regular discussion about the importance of the electronic exchange of data in healthcare. We share it. The pharmacist regularly passed by, just like the doctor who wants to submit certain images or data to colleagues for his diagnosis. In my view, this merely distracts attention from the question we are facing today. This law does not regulate the exchange of information by electronic means. It is assumed that this is already happening. Yes, you may have questions about the scope and the whole process, because this law points a certain direction by channeling things. Not in the law, but in the discussions there is quite a roaring talk about how many millions are now connected to the ISP. We do not know how active these connections are or how important that is. Even if it is not the core of the law, I ask the Minister how many people it is important to be in a consultable system, so a pull system. Do we want everyone to end up in one of those systems, or not? Or perhaps the Minister shares my group's view that it is particularly important for people with complex care needs and for those who are less able to communicate their own needs and care history? I have the impression that it can be very important for vulnerable groups. Honestly, I don't see any reason why my personal data should be consultable. I do know that the Minister doesn't know my file... no, I hope the Minister doesn't know my file, because we never know for sure with all the data available. Does the Minister think I should be a member of the ISP? Or should we discuss with each other whether we should be more cautious and do it only on the basis of need? In many cases, a push system is more than sufficient, also from a realization that too much sensitive information is already leaking out about us. How do we prevent people from giving far too broad consent under pressure from healthcare providers or insurance companies? A few times I was asked at the pharmacy genericly whether they could share data from me. In such a case, I say that's not how the law works. Not everyone knows that, however. Although the proposal is not about the ISP, the pressure is already high in practice. What does the Minister intend to do about this? That's not the most important question. Data exchange is already taking place and this bill regulates the rights of clients. There's nothing wrong with that intention. The question is whether this proposal is necessary in view of that intention. Then the serious questions arise. What actually regulates this bill which is not already in the WGBO and the Wbp? Then we get the answer that it is mainly a specification of the precise standards. But why does it have to be in a separate law? The answer is that the law does set the framework for how information technology should be used to guarantee customer rights. However, this law does not add anything to those frameworks, since the real clarifications will be included in the AMvB, which, on the basis of Article 26 of the Wbp, will "determine the specific functional, technical and organisational requirements for electronic data exchange in general." This law doesn't do that. What will be new arrangements then? Is the specified consent a very complex concept, as it turned out in the hearing and in the discussions....................................................................................................................................................................................... In any case, the right of access is not, at most, the electronic form. The idea of a portal in which clients can keep their own consent? Perhaps, but that is not regulated by the law as such. It is also controversial in the proposed form because of the huge risk of data leaks. Besides, all those cases that really do something for client rights are being postponed. Specified permission? Not yet. In fact, for the first three years generic consent applies, and that is what we did not want. Electronic access? Not yet. An electronic copy? Not yet. Permission to ask questions for consultation is perceived as double-up. In short, all those elements that really have something to do with client rights are not yet in place. What's left? The prohibition for health insurers to consult data. It's already in place. The question is, is this really something new? Are health insurance companies allowed to consult medical data now? Isn't that already forbidden under the WGBO? I'm asking the Minister for a response. Perhaps then she can take a point that has already been mentioned, including by representatives here in the Chamber of a party who supported the bill in the House of Representatives, namely how to weigh the importance of this proposal, now that, on the basis of a newly received bill, health insurance companies are more easily able to access patient data if they suspect fraud. That's circumstantial, but still. How credible is this minister if she puts these two legislative proposals side by side? How serious is it to take that this bill is important because it does not deprive the health insurance company of the right to access health records when the Minister at the same time arranges that health insurers may indirectly do so? My group's hesitation is increasing. What began with a good intention, seems to have resulted in a, at best, meaningless proposal. The good aspects are already regulated elsewhere, the specifications are not put into effect and the last remaining light point pales. That is why the hearing also specifically raised the question of why it is now important to adopt the legislative proposal. When you hear the experts, it appears not only that they disagree, but also that some look at the good intentions, others at the unfeasible effect and others at the poor harvest. At best, this proposal sets out the frameworks within which further technical development can take place. In fact, I do not hear any further arguments for this proposal from colleagues here. If we adopt this law, everyone knows that it will have to be settled in three years' time, within these frameworks, that's the idea. By the way, these frameworks remain very vague. If this law does not really add anything to the WGBO and the Wbp, if the concretization takes place elsewhere, namely in an AMvB based on the Wbp and if we also have no idea of the technological innovations over the next three years, including possibilities and associated risks, what are we doing if we adopt a law? I think that is a fundamental question, also in view of the role of the First Chamber. Apart from the intentions that we can share with each other, and regardless of whether it is perhaps a dot on the horizon that is worth it: should we do so with legislation? Over the past two years, the Minister has had every opportunity in the world to convince us of the usefulness and necessity of this law. We're not against the intentions at all. We'll share it. The Minister has not convinced us or the experts that this bill adds anything. Moreover, it has not shown that it is feasible and enforceable. That is why, in the written round, we asked whether it would not be better to keep the proposal. What is going to happen if this law does not enter into force at all for the time being and if a data exchange directive is simply being worked on in the field? With the Wbp and the WGBO in your hand, come up with further guidelines to steer the field in the right direction. What will go wrong if we give the Minister the chance to come up with a law on client rights that actually regulates client rights? So not "that way in three years, hopefully," but just take care of it. So far the Minister has not convinced us, but the day is still long.
ParlaMint-NL_2016-09-27-eerstekamer-3.u83	Thank you, Mr Ganzevoort. Oh, Mr Bruijn wants to ask another question.
ParlaMint-NL_2016-09-27-eerstekamer-3.u84	Mr Ganzevoort touched on the proportionality of the law. If I understood correctly, he suggested that the electronic exchange of data should be limited to complex cases. Today, electronic data from patients via push and pull systems are being exchanged widely between specialists and general practitioners, between pharmacists and doctors, between doctors and between patients and doctors. What exactly does Mr Ganzevoort mean by limiting to complex systems? This means that Mrs Gerkens' son can no longer be included in an electronic file and that his data cannot be exchanged. What's a complex case? How are we supposed to see that? The proportionality of this law is precisely something that is very clear, given the massity of the exchange.
ParlaMint-NL_2016-09-27-eerstekamer-3.u85	I think your question is clear.
ParlaMint-NL_2016-09-27-eerstekamer-3.u86	The question is clear, but it is not what I said. That also makes the answer quite clear. I did not say that this law should be limited to that. I have said that you may wonder whether the movement towards a large-scale operation of, for example, the LSP, which is said to have so many millions of members, and in which it sounds that it is desirable for it to become much wider, is the desirable direction. If there are no complicated medical issues at all, as in my case, I can say so openly here, because it is not compromising.................................................................................................................................................................................................................................................
ParlaMint-NL_2016-09-27-eerstekamer-3.u87	Very briefly, Mr Bruijn.
ParlaMint-NL_2016-09-27-eerstekamer-3.u88	This is a really dangerous thought. There are many more systems than the National Switchpoint. There are letters going back and forth between general practitioners and specialists. For example, we have the PALGA system. I'm dealing with that myself. If we limit that to complex cases, we go back to the Stone Age when it comes to the quality of care.
ParlaMint-NL_2016-09-27-eerstekamer-3.u89	But I didn't say that at all. I was talking about the movement that is going on in the discussion. That's why I said it was an example, because this law is about the framework of the total. In the movement that is going on, it is always stimulated that via the LSP all these connections are already there. That's what's in all the discussions. Mr Bruijn can also read that. Is such a large-scale pull system, whatever you use, really desirable? I have great hesitation in that regard.
ParlaMint-NL_2016-09-27-eerstekamer-3.u90	I don't.
ParlaMint-NL_2016-09-27-eerstekamer-3.u91	Mr. Chairman. What's better for a patient than a man who's omniscient? What's nicer than a man who's omnipotent? If it were that simple, the law on the electronic patient file in 2011 would have been passed without any doubt in this house. In reality, the proposal was rejected unanimously. There were good reasons to ask the government for additional assurances, and the result is that we are again discussing a law today which contains a large number of objections between dream and act. This was also apparent at the expert meeting on 5 April. Although it is by no means my intention to repeat that meeting today, it seems good to mention a number of pressing objections which live within my group, partly motivated by the objections that have been raised there. The KNMG and the National Family Doctors Association confirmed that the request, registration and compliance with the specified consent in healthcare practice is currently technically and organizationally not feasible. They expect that in a few months' time there will be more clarity through the research projects carried out on enforcement and feasibility. They were therefore surprised at the punitive pace with which this law had to be passed. Why don't we wait a little longer, after such a long process of law? The representative of the Patient Perspective is concerned about the phased entry into force. We share that concern. Why are some provisions being introduced now and not an adequate law at once? What does the introduction of those few provisions add? The BoZ, Branch Organisations Care, talks about serious pain points that increase the distance between doctor, nurse and patient, and make major investments. The industry organisation advocates that care should not become the stepchild of the privacy policy. Finally, the Consumers' Association is concerned about the way in which the management function has been implemented and wants the patient to be at the heart of the project and to be in charge of it. The central conclusion is that we must now introduce something whose feasibility and enforcement will only be clear in a few months' time. My group does not need a hull law pending more clarity, but first wants clarity and then legislation with additional conditions. That is also because there are many dangers in the linking of files. Similar is the bill 33980 adopted by the House of Representatives on 13 September 2016, the amendment of the Market Regulation Health Services Act. This amendment makes the possibility of abolishing medical professional secrecy in the interests of combating fraud de facto complete. In the event of suspected fraud, health insurers may check the medical records to check whether the doctor is messing with the declaration, whether or not with the patient. Where the electronic patient file died because it contained disproportionate risks to privacy, bill 33980 will soon be dealt with in this house. That doesn't happen today, but the bill is a perfect illustration of what could go wrong in the connection of files. Moreover, it is contradictory to deprive health insurers of the right to access files while at the same time facilitating access in another legislative proposal. Can the Minister clarify this contradiction? There are alternatives to which there are no dangers to privacy and lack of control. Mrs Gerkens already referred to it. In this sense, the Animal Party strongly supports the views of the security researcher of Whitebox Systems, Guido van 't Noordende, who explained in De Volkskrant last week why the minister, in his view, puts patients' privacy and health at risk. He's worried about that one central registration system. We also believe that the structure of the law leads to that system, whereby the citizen releases his medical data to a large group of unrecognizable professionals for him or her, but also to hackers who can find out so much about a patient. It is a large-scale consent portal in which everyone can indicate their personal preferences for exchange, but which also involves major security and privacy risks. Citizens must consider in advance who will have access to their medical records. Healthy people do not know which helpers they need in the near or future. The citizen must therefore choose between three evils: to open everything up in case, to protect all data in the context of "you never know," or to open files only to a few caregivers and thus almost always to the wrong person because you do not know what you are going to happen to. A patient must choose from a raffle with mere staples and actually, by definition, makes the wrong choice, or at least a choice he cannot oversee. According to Van 't Noordende, it would be much easier if the data didn't come into one central system, but would remain in the database of your own doctor. The patient could get a code to give other treating doctors access to his data, to record on a pass, a bracelet or in a smartphone, as simple as your DigiD. In the case of referral, the doctor may send a code to the specialist to access relevant data. This proposal does not require any legislative amendment. There are also no major costs involved and according to Van 't Noordende the system is privacy proof. This is therefore entirely in line with the broad support that existed in this house for the Tan motion calling for an electronic health card that provides the patient with safety and insight in the exchange of patient data. The also widely supported Tan motion asking for no more organizational or financial contribution to the National Disability Point also shows how great the shudder was in this house to widely share electronic patient data in the manner proposed at the time. For this reason, in particular, my group is surprised that so many recognizable elements of the proposal that was rejected at the time have yet to be incorporated into the regulation that is now before us. Can the Minister reflect on Guido van 't Noorden's solution and indicate where she feels the need to adopt a hull law now, the result of which is still unclear?
