ParlaMint-NL_2016-02-17-tweedekamer-5.u1	I would like to welcome the Prime Minister and the Foreign Minister.
ParlaMint-NL_2016-02-17-tweedekamer-5.u110	I suggest that you come back to this in the second term, because that is talking back and forth...
ParlaMint-NL_2016-02-17-tweedekamer-5.u111	It was always in threes, Mr. Chairman. You're changing the rules of the game now?
ParlaMint-NL_2016-02-17-tweedekamer-5.u112	No, no, I haven't agreed to anything with you, and this has been discussed enough. I give the floor to Mrs Maij of the Labour Party.
ParlaMint-NL_2016-02-17-tweedekamer-5.u113	Mr. Chairman. Every time we stand here in a debate on the eve of a European summit, it seems as if the time has come for European cooperation. Now it's over. But unlike previous debates, we now see that there is movement on those important dossiers that we are going to talk about, those two lingering files of migration and the UK. It is really important for the Union to move together. On the world stage, as individual Member States, we are small, perhaps even null and void. In addition to powerful political and economic countries such as China and the US, we can only act as a block. When we look at the unrest around Europe, in North Africa, in the Middle East and on the eastern border of the Union, I do not understand that there are political movements that are diving away and want to retreat like a snail into a kind of lonely brittle house. A country such as Russia is trying to break up the Member States of the Union with skill. Where is the Prime Minister of Hungary, Viktor Orbán, on the eve of the European summit? He's in Moscow visiting Putin. How does the government feel about that? We must act together as a Europe. We must show urgency and destiny and work together in the interests of us, the citizens. The PvdA does not want a Europe of closed borders, but a Europe that together implements practical solutions for refugees, which is shoulder-to-shoulder and which offers a great deal of humanitarian aid and makes the influx manageable. To this end, we must urgently focus on what we have agreed on: relocation, the creation of hotspots and the creation of safe and legal routes for refugees. Facing the refugee crisis in particular is now the acute challenge. How can we protect and offer a perspective to millions of people who can't go back home? How can we prevent people from dying on the run to that protection and that perspective? How can we offer that protection and perspective without it getting over our heads, the recipient countries? The PvdA has long advocated a common European approach. What progress has been made in the last month? What is the situation with regard to the agreed relocation of asylum seekers and the creation of hotspots? The PvdA regrets that for many European Member States, the European approach is becoming more and more like the closure of borders. Everything seems to be aimed at making a deal with Turkey. But how exactly are these talks with Turkey going? Is there any insight into improving protection and perspective and decent standards for asylum seekers in Turkey? This is necessary if Turkey is to be regarded as a safe third country.
ParlaMint-NL_2016-02-17-tweedekamer-5.u114	How does the PvdA Group assess, given the conditions that the leader of the PvdA in his plan to send refugees back to Turkey to the Turks, such as changing some laws, the statements of the Minister of Defence? The Minister of Defense says that this pushback, just as it was embraced by the VVD, is in order to return refugees to Turkey and that an agreement has been made with the Turkish Government on this matter.
ParlaMint-NL_2016-02-17-tweedekamer-5.u115	Turkey can only be regarded as a safe third country if it meets some of the conditions that I have just mentioned. At this point, it's still difficult. This does not mean that Turkey is not in the process of taking steps towards meeting those conditions.
ParlaMint-NL_2016-02-17-tweedekamer-5.u116	We agree on the latter. Let me just make it clear that Mrs Maij and I went to work together a few years ago in southern Turkey. We have seen how much the Turks do when it comes to receiving refugees. I'm sure that deserves a great deal of appreciation. But how does the Labour Party feel about the fact that the Minister of Defence says that Turkey is not a safe third country by our definition, but that we agree that NATO should start to ensure that people are sent back to the Turkish coast?
ParlaMint-NL_2016-02-17-tweedekamer-5.u117	It's good if NATO helps prevent people from drowning. And it is good that the NATO people who are being picked up right off the coast go back there if that's a few hundred meters. What exactly this NATO intervention is going to propose is now the most important thing. And, after all, Turkey is also a Member State of NATO.
ParlaMint-NL_2016-02-17-tweedekamer-5.u118	In fact, Mrs Maij is talking about a few hundred metres in the Turkish waters. If they're stopped there, they have to go back and not out there anymore?
ParlaMint-NL_2016-02-17-tweedekamer-5.u119	I would very much like to ask the question of how exactly this is to be completed and then to make my opinion on it. First of all, it is important to ensure that people are saved and not drowned in the Aegean. If NATO can contribute to this and also to the protection of borders, that would be a good thing.
ParlaMint-NL_2016-02-17-tweedekamer-5.u120	I have one more enlightening question. It is of course a difference whether they are still sailing in Turkish waters or in the Aegean Sea. When they sail in the Aegean Sea, we just heard from the VVD, they have to go back to Turkey. But the Aegean Sea is one of the international waters. According to international law, people can apply for asylum in the country under whose flag the ship with which they are arrested sails. What does the Labour Party want now? Does it want people to be sent back from the Aegean to Turkey, which is not yet a safe country, or does it want people to be able to move on to an island in Greece?
ParlaMint-NL_2016-02-17-tweedekamer-5.u121	I do not know exactly about the geographical indication of the area there, but I think that the Aegean is just the area, and so is the area bordering the Turkish coast. I have made it very clear that I would like to know from the government exactly what this NATO intervention means, what the proposal is. Turkey is also part of NATO. What exactly is the purpose of these ships? Are these ships going to provide protection there, are they going to do so in the same way as, for example, the Mare Nostrum intervention? Or is it just supposed to stop people?
ParlaMint-NL_2016-02-17-tweedekamer-5.u122	I understand that the Labour Party is asking questions, but I am asking for the opinion of the Labour Party. You can make a very clear separation between Turkish waters and international waters. You can indicate a very clear dividing line. In those Turkish waters NATO could provide assistance and send the people back to Turkey, but if a boat is outside Turkish waters, then they are entitled to an asylum application.
ParlaMint-NL_2016-02-17-tweedekamer-5.u123	If they ask, that could be the case. To continue with this, we are looking forward to spring with great concern, as more people will probably try to go to Greek islands in the Aegean. We must protect those refugees, but it must also be manageable. How can we deal with this in a practical and humane way? In particular, the PvdA calls for a legal and safe route for refugees. Last week we also heard that Chancellor Merkel really wants to take some steps in this. How and when? So far, there's nothing on the annotated agenda. The PvdA thinks it's an important point. As I said in reply to the questions put by Mr Voordewind and Mrs Gesthuizen, I would like to know exactly what the purpose of this NATO intervention is. What is the role of the Greek and Turkish border guards in these coastal waters? We have seen the answers to our parliamentary questions about the situation on that other border of Greece, the border between Greece and Macedonia. Minister Koenders was there this weekend. We read that there seems to be enough shelter now and that the situation has improved somewhat. Can the government confirm that? To what extent has there been progress in the discussions with all the other Member States that are currently working there, for example the Visegrád countries? What is the precise situation at the border between Greece and Macedonia? Then Turkey. Colleagues have already spoken about it. The situation in Turkey is very much in the spotlight these days. The country also has domestic problems and seems to become increasingly involved in the Syrian conflict. Turkey is crucial to this dossier. And Turkey is also an EU candidate country. Yesterday, PvdA MEP Kati Piri presented a critical report to the European Parliament. The PvdA is deeply concerned about the situation in Turkey, particularly in the south-east of Turkey. There has been an enormous increase in violence in recent months, leading to many civilian deaths and internally displaced persons. Is the Netherlands prepared to address this situation at the summit and also in talks with Turkey? In the European talks with Turkey, we must also bear in mind that the situation regarding freedom of the press in Turkey has really got worse. The situation for journalists is more complicated every day in Turkey. Locking up journalists for life is simply unacceptable. Will the Netherlands, as President of the EU, continue to address these abuses?
ParlaMint-NL_2016-02-17-tweedekamer-5.u124	Does Mrs Maij consider it justified to open chapters in these circumstances and resume accession negotiations with Turkey?
ParlaMint-NL_2016-02-17-tweedekamer-5.u125	Mr Buma has already put the question to Mr Mulder. At that time I thought: we have been negotiating with Turkey for a long time. Those negotiations were opened under the Presidency of the Netherlands in 2004, under the chairmanship of Prime Minister Balkenende, your Prime Minister Balkenende. We are going to take the next step in this, but that does not mean that these negotiations have been concluded or stopped and that they are now to be reopened. However, a further step is being taken, as has already been announced in a number of letters from the government.
ParlaMint-NL_2016-02-17-tweedekamer-5.u126	However, it is inconceivable that Europe should say to that country: it will all be, you will bomb the Kurds, there will be deaths in Eastern Turkey, but we will start again with you on Turkey's accession to the European Union. I would like to draw attention to what Mrs Maij has said about Turkey. It is not even a country that she believes refugees can live safely there. She doesn't think it's a safe country. Why didn't these negotiations take place? Because the human rights situation deteriorated. It is not without reason that those chapters were not opened. Then Europe and the Netherlands will not be able to reopen the negotiations with good decency and signal that Turkey is taking another step towards accession.
ParlaMint-NL_2016-02-17-tweedekamer-5.u127	I have a different approach to this from Mr Buma. It goes without saying that I have also indicated this with freedom, freedom of the press, freedom of expression under this government in Turkey. It's getting worse. The situation of the Kurds in south-east Turkey is not good either. But that means that you have to discuss these issues with a country that is a candidate country. The framework in which negotiations are taking place is not a non-binding framework. I would even be very pleased if we could open the chapters on the rule of law and on democratisation. These are the chapters and the elements on which Mr Buma and I agree that Turkey must take very great steps. This should not be done without obligation, but within those frameworks and in accordance with the standards that we as a Europe would like.
ParlaMint-NL_2016-02-17-tweedekamer-5.u128	Now Mrs Maij pretends that we are opening these negotiations because it is so good to talk to Turkey about human rights. But it's just business, isn't it? The trade has been: Turkey is stopping refugees and then we are going to talk about accession to Europe and visa freedom. The fact that Mrs Maij says that it is so good for human rights has simply not been the criterion at all. She's gotta be honest about that. It's trade. The CDA's theorem is that you should never bargain with the basic principles of your rule of law to get this kind of trade right.
ParlaMint-NL_2016-02-17-tweedekamer-5.u129	Refugees aren't strawberries. It's really not a trade. We are talking about two very different things. This is about finding a solution to the migration crisis with each other while remaining in dialogue with Turkey. Of course, there is a government, which was part of Mr Buma's political family not so long ago, which we are not very happy about now. At the same time, there are also a lot of people in Turkey, there is a population in Turkey for whom I would like if we could ensure that human rights, democracy, freedom of expression can take place in accordance with our European standards and values.
ParlaMint-NL_2016-02-17-tweedekamer-5.u130	This is secretly my fourth time.
ParlaMint-NL_2016-02-17-tweedekamer-5.u131	I didn't meet with you.
ParlaMint-NL_2016-02-17-tweedekamer-5.u132	That's true. Mrs Maij is now saying that it is so good that we are going to talk to Turkey about human rights. But reality is completely different. That country's slipping. That is not the time when Europe can say that we are going to work towards membership. Of course we need to talk about human rights. It always has to be. The Prime Minister didn't do it last. That would have been the moments. He won't. In reality, we are going to reopen accession negotiations in April. If Europe takes its standards seriously, we will tell Turkey that it cannot. Then I would like to say a few words about trade. It shouldn't be a trade. But it is very simple: Turkey has said that it is prepared to stop refugees when Europe is going to talk about accession and visa liberalisation. I call that business.
ParlaMint-NL_2016-02-17-tweedekamer-5.u133	Accession negotiations with Turkey were opened under the previous Dutch Presidency at the end of 2004. Since then, steps have been taken. Sometimes that went very slowly and nothing happened at all. At other times, things are getting better. I honestly believe that it is right for the Turkish people to talk about freedom of expression. So I would also like to ask the government whether it would not like to ignore this and raise this in their talks with the Turkish Government.
ParlaMint-NL_2016-02-17-tweedekamer-5.u134	I'll do a brief interruption at once. Mrs Maij was very critical of Turkey just now in her speech. She was like her colleague, who is rapporteur in the European Parliament. But how does that relate to the plan of its political leader, which implicitly assumes that Turkey will not be a safe country in the foreseeable future? I would like to see Mrs Maij explain that tension field.
ParlaMint-NL_2016-02-17-tweedekamer-5.u135	A safe third country? Indeed, and I think we should all want to work towards that, to ensure that the 2.7 million refugees currently in Turkey get a good roof over their heads, protection and perspective. That is the purpose of being a safe third country. I hope that we will all work towards this, and that we will ensure, for example, that the EUR 3 billion promised jointly by the European Member States is used to this end. Then I come to the UK and Brexit. That is a subject of a different order, because it is something Cameron called on about himself at the time when, as Mr Verhoeven said, he did his election stunt and perhaps even won the elections by ensuring that there would be a referendum. But what exactly is it about? It took us quite a long time to know what Mr Cameron wanted. It is still not quite clear and still holds some cards in the sleeve to finally ask a little more or less of the Members of the European Parliament. The PvdA welcomes the fact that Cameron and Tusk seem to agree, but we have a number of critical comments to make. The EU is not a vehicle that you can just unpack and dump if you don't want it anymore. The EU Member States have joint agreements and common principles. The PvdA does not want an EU of Prime Minister Cameron, which is confined to a single market and therefore only to a single market for business and a great deal of freedom for its own British financial institutions. How are we going to keep the UK going? On the contrary, we want the financial institutions to become more responsible and to behave more decently. We also do not want to exclude discrimination in the EU and some EU citizens as a kind of second-class citizens from all social services. That's a bridge too far for the PvdA. We also want the government to make a commitment to this in the next few weeks. The emergency braking mechanism, as it is now, should really remain intended for exceptional situations. We read that the Dutch Government is open to the proposal in the agreement, but what are the limits in the limitation? The PvdA wishes to clarify the position of workers in the UK labour market. Is the minimum wage too low for the minimum level of living in the UK? Does the British Government, in fact, use the inward benefits for business, so that workers can be paid far too low? Wage must also be a decent wage, which can guarantee workers a minimum standard of living. The PvdA would also like to know exactly how this emergency braking mechanism works. Who decides on what grounds to pull the emergency brake? The Commission, the Council, acting by a qualified majority or unanimously, or only the Member State requesting it? How does the government assess the EU's forces? How does the government fulfil its role as President this week in order to ensure that we achieve this? The PvdA considers it important that the Netherlands should also make an effort to re-examine the labour mobility package in the overall agreement with the British: the package against labour exploitation and displacement in the European Union, which ensures equal pay for equal work in the same place. We do not see this in the Dutch position. Is this getting involved in the conversations?
ParlaMint-NL_2016-02-17-tweedekamer-5.u136	It is logical that the PvdA is critical of the section on the position of migrant workers and the limitation of their rights. Mrs Maij was talking about the next few weeks in a nutshell. However, there is a chance that Cameron will let it come to it and just want to make a deal on Thursday. What is the PvdA doing today to draw a clear line in the sand? The VVD likes it all. He gave me a blank check. If we want to be critical of the British, it will have to come from the PvdA. So what's the PvdA gonna do today?
ParlaMint-NL_2016-02-17-tweedekamer-5.u137	I understand that this is the first line and that secondary or implementation legislation will then have to be introduced, which will, in some cases, continue to fulfil the somewhat vaguely defined objectives. I would like to know how the government, I hear the Prime Minister say yes, so the fact is already recognised that it deals with the substance.
ParlaMint-NL_2016-02-17-tweedekamer-5.u138	I find that one-two between the Prime Minister and Mrs Maij rather worrying. We say that on Thursday we will agree to the main lines and then we will save the day in the implementation stages. This does not seem to me to be the right way to introduce a brake, which the PvdA seems to want when it comes to removing rights from migrant workers. I call on Mrs Maij today to be a little sharper towards the Prime Minister, otherwise he will talk to Cameron tomorrow with a blank cheque and we will have a package on Friday that no one will be happy about. Mrs Maij has that on her conscience.
ParlaMint-NL_2016-02-17-tweedekamer-5.u139	Let me get this straight. The cabinet doesn't answer until after lunch.
ParlaMint-NL_2016-02-17-tweedekamer-5.u140	I would not like to give an answer on behalf of the Prime Minister at all. I think I just drew a clear line. I wonder how the government will react to this. I have made it clear that the package of social conditions and, as I have already mentioned, the issue of labour mobility will also be part of the discussion here. Labour mobility concerns Commissioner Thyssen's package, which is still somewhere nice, with which we try to prevent or at least address labour displacement and labour exploitation, which is apparently also the problem in the UK.
ParlaMint-NL_2016-02-17-tweedekamer-5.u141	Finally, if I may, Mr. Chairman?
ParlaMint-NL_2016-02-17-tweedekamer-5.u142	Yes.
ParlaMint-NL_2016-02-17-tweedekamer-5.u143	It's simple. On Friday, the Volkskrant will probably be on the mat with Mrs Maij and it will say: deal closed and so on, including the part of restricting the rights of migrant workers. So what's the PvdA gonna do?
ParlaMint-NL_2016-02-17-tweedekamer-5.u144	I've got six newspapers on the mat, and there's always something else in there. In this respect, it is rather complicated to draw precisely the first conclusion on this basis. Sorry, I lost your question.
ParlaMint-NL_2016-02-17-tweedekamer-5.u145	What are you going to do if a deal is made that includes restricting the rights of migrant workers, in line with the British course? What do you do? Do you agree or will you apply implementation corrections?
ParlaMint-NL_2016-02-17-tweedekamer-5.u146	According to the texts as indicated by the Commission, everything falls within the rules of the current Treaty. This means it's really just an emergency brake. I would like to know when this emergency brake will be applied and that it will not become a 'free for all' and certainly not a 'freeriders' mechanism.
ParlaMint-NL_2016-02-17-tweedekamer-5.u147	Can I have that last sentence in Dutch?
ParlaMint-NL_2016-02-17-tweedekamer-5.u148	No. I kind of liked it.
ParlaMint-NL_2016-02-17-tweedekamer-5.u149	You thought it was obvious. That brings us to the end of the first term of office. The cabinet will answer later.
