ParlaMint-NL_2016-03-15-eerstekamer-8.u1	I give the floor to Mrs Stienen.
ParlaMint-NL_2016-03-15-eerstekamer-8.u178	Mr. Chairman. As I have already announced, my group still has a number of unanswered questions. I may not have received the answer, but I do not think my question on the exemption for the mandatory environmental impact assessment has been answered: can this obligation also be excluded for wind farms? I do not believe that this is a matter of great importance or necessity. It is also about the publication of decisions. On this point, I asked for a more detailed explanation: will the publication take place at the time of publication or when it is determined by the College? I have also asked about the projects that are just outside the municipality, so just across the municipal border, but which still affect people who just live in the municipality. To what extent can this aspect be taken into account in the Lane of the Environment? The PVV, as has been said, is in principle positive about this law, but does not want to relax on what we might call "the three m's": mills, migrants and mosques. With regard to participation, the Minister has made it very clear that civil participation will improve in advance. It has even said that parties will no longer be attacked. Does this mean that under this law no more azc's are pressed without consultation? Do situations like the ones in the Orange, in Drenthe, really belong to the past? In principle, the competent authority comes to the mayor and the aldermen with this law. Does this mean that Articles 3.1 (b) and 3.2 (b) of the Environmental Law Decree, on the basis of which Deputy States or the Minister instead of the Municipality become the competent authority to push through azc's, will lapse? The minister just said that understanding the Environment Act is complex. Is there really a simplification, including for the citizens themselves? Or is this just a simplification for the fourth power? That term 'fourth power' comes from Mr Crince le Roy, whom I have quoted earlier. We shall consider Mrs Meijer's motion in greater detail. In any case, we are curious how everything will end up in the various AMvBs. As stated earlier, we will, in due course, make our assessment of the implementation law.
ParlaMint-NL_2016-03-15-eerstekamer-8.u179	I have not yet heard Mrs Meijer's motion, but I think we will be hearing it.
ParlaMint-NL_2016-03-15-eerstekamer-8.u180	Mr. Chairman. I think I have to now. Mr Van Hattem wants it. In any case, I would like to thank the Minister for her comprehensive reply. I think the Minister can imagine that I am not yet happy with the answers on the reduction of deadlines. Especially with the irreversible decisions, such as hood, demolition or changing a monument, we find two weeks really too short, because after two weeks it just happened. If you apply for an interim remedy after three weeks, you're too late. Of course, the fact that someone could have been or had been involved in the participation does not change that. So I would like to table a motion in which we ask that this be fixed by the Introduction Act and that the deadline be extended to four weeks for environmental permits for irreversible activities. The President shall: Mr Meijer, Mr Vos, Mr Stienen, Mr Teunissen and Mr Bikker proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas citizens seeking justice need a reasonable period of time to request an interim remedy from the court in order to prevent the entry into force of an authorisation;]] [[Whereas this applies in particular to environmental permits for irreversible activities, such as tree cutting, demolition of buildings or modification of monuments;]] [[calls on the Government to amend the Environment Act by introducing it in such a way as to extend the period of entry into force of such environmental permits to four weeks,]] [[and goes to the order of the day.]] [[She's getting No. kst-33962-K]]
ParlaMint-NL_2016-03-15-eerstekamer-8.u181	Mr. Chairman. We have talked today about protecting and exploiting the physical environment. My group welcomes the Environment Act. We hope that in 2018, when the law enters into force, we will actually see a law that can contribute to green growth in the Netherlands, both now and later. I thank the Minister for the answers to our questions about participation in this law. We are very curious how the Minister will do this in the National Environment Vision. If the Minister, together with her civil servants and all kinds of civil society organisations, has accompanied the process of participation in the co-creation of the National Environment Vision, then we can only agree with Mrs Jorritsma in the sense that hopefully this example will lead many to follow. My group is reassured by the comments made by the Minister and by the answers she has given on the danger of cumulation if good environmental values are not established at local level. We also welcome a co-tweeting employee of VNO-NCW who assures us on Twitter that this law offers many opportunities for sustainable activity. However, I would like to hear what the Minister himself has to say about this, because I have missed that in her reply. Finally. My group continues to dwell on the question of exactly what the Minister is going to do about the way in which the government looks at climate goals, climate change and biodiversity, for example, against global challenges, and not so much towards our neighbours, but more on its own responsibility. In this context, we are also curious to see how co-creation with environmental organisations and industry, for example, will take place in the preparation of the National Environment Vision. My group would like to table a motion to that effect. The President shall: Mr Stienen, Mr Backer, Mr Teunissen, Mr Meijer, Mr Bikker and Mr Vos proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the quality of the living environment and its protection are not limited;]] [[Whereas the implementation of the Environment Act requires a broad focus on both cross-border aspects of the organisation of the physical environment and global challenges such as combating climate change (in relation to the Paris climate agreement 2015), preserving biodiversity and the dependence on scarce raw materials;]] [[invites the Government, when drawing up the National Environment Vision, to explain how the Environmental Law and its implementing rules can contribute to the achievement of the above-mentioned objectives,]] [[and goes to the order of the day.]] [[She's getting No. kst-33962-L]]
ParlaMint-NL_2016-03-15-eerstekamer-8.u182	Mr. Chairman. I thank the Minister for her comprehensive answers. However, my group continues to disagree with her on the level of content. After this empty law, we will be discussing an overcrowded implementation law and a cartload of AMvBs. You don't have to be a psychic to see that they're gonna be chased through this house with steam and boiling water. These are extremes which my group should not go beyond. On more than one occasion, the objections to governing AMvB have been raised here, but the government does not seem to be receptive to it, nor does the possible future coalition partners, who also look at the framework law in a mild anticipation and what can bring it to a later stage. This is a law that any future coalition can go out with. In fact, it is worrying that one of the largest legislative operations in Dutch history is so easily steered through the Chamber for lack of content. The Minister says reassuring words: objections and appeals are not subject to any substantial changes; it is a growth model that we will come out of together and there are preliminary and follow-up procedures, as if the cabinet itself had invented, which of course is not the case. The cabinet would have preferred it without it. Important standards should be laid down in law as far as the Party for Animals is concerned. Mr Bikker and Mr Vos have also argued in favour of this, but the majority of this Chamber seems to accept the idea that this major legislative operation can also be without intensive parliamentary influence. "Decentral, unless" means de facto throwing over the fence of powers to local authorities, without additional resources. Local authorities are already hiding behind background values, with which they do not have to act themselves. For example, the municipality of The Hague says that little can be done to reduce fine dust, because the background concentration of Rotterdam and the highways in the immediate vicinity are outside the influence of the municipality and cannot be compensated. Cooperation on ambient air quality between municipalities is of course a good goal, but if it fails, a national legal safety net is needed. This also applies to other standards. In conclusion, the Animal Party fears that this legislative operation will degrade levels of protection of important vulnerable values to the minimum and out of the direct sphere of influence of parliament. We very much regret that.
ParlaMint-NL_2016-03-15-eerstekamer-8.u183	Mr. Chairman. I thank the Minister for her answer. She radiates a lot of enthusiasm in every way. She also exudes that she wants to keep the momentum going. For that, my compliments. In the first term, Mrs Jorritsma pointed to the beautiful green train journey she makes to The Hague. I share that pleasure with her, albeit from another place of residence, but on the highway that is quite frankly a different story. [[Sentence could not be parsed: Het is net welke route je rijdt.]] She now calls for my route to go through the green heart, but that goes from her speaking time. At least my route shows that there is still something to improve. In terms of the content of this law, much depends on how the introduction law and the AMvBs are going to look. Honestly, that depends almost too much. The Minister wants all the standards in the AMvB, because the distinction is difficult and because of the speed. That plea is not reassuring. I took note of the instructions for regulation and they are clear. It says about legislation: most of them will also have to include the main sustainable standards. I note that in environmental law all sustainable standards go towards AMvB and I still find it difficult to reconcile with the Regulatory Instructions. I have taken as an example water safety. Now I really hope that the Minister will reflect again on how she weighs this element when inserting the Water Act. She doesn't have to make hard statements right now, but I'll ask her to reflect. I believe that that basic level of protection, such a sustainable standard, should be governed by law. To arrange dikes in an AMvB is fine with me. Now it seems like the law is an obstacle, but that won't be the look of this cabinet, will it? I assume, on the contrary, that a parliament concerned also understands that not everything can be filled in. As far as participation is concerned, I have heard the Minister promise that she will make a handout to promote participation and that she will also monitor it. I would ask her for a small addition to that commitment, namely that it also provides insight into the implementation law into the progress made. I'll be on legal protection. I would like to thank the Minister for her explanation that the exclusion of an administrative body from the suspensive effect of an interim provision, Article 16.79 (3), can only be used in a sparing manner and that, like Article 6.2 of the Wabo, the same interpretation will be given to the courts. Do I understand correctly that the judge's review will be the same, on the same specific standards? I'd like to hear a confirmation. As far as relations between governments are concerned, the Minister's response to the reduction in planning capacity is not yet convincing. The project decision of the province that sees realisation can be done and the project decision that sees reduction cannot be done. I do not see why one does prevail over the municipal interest and not the other. On what scale can the best reduction of overcapacity take place? I think the minister thinks from the good will of the congregations. I appreciate that. I, too, like the principle of subsidiarity, but fear that this is too optimistic, simply because it is difficult for many municipalities to delete, just because of land exploitation and planning. Let's not keep playing well-nice. I'm doing a little hand-picking. Is the Minister prepared to consult with the IPO in the run-up to the Introduction Act to see whether the current proposals are sufficiently effective in dealing with vacancy and to inform the Court of Justice about this to the introduction law? Mrs Jorritsma says something again and takes away speaking time from me. I'm coming to the end. This is a law which, to the taste of the Christian Union, is really a good simplification, with the starting point of involving citizens more in advance. We appreciate that. Whether the law will contribute to a better living environment, to a more beautiful Netherlands, depends, to be honest, on everything that is to come. Now the minister is in Thorbecke's tradition, "wait for our actions." This story is a positive one for us. We have a minister who wants to speed up, who is enthusiastic, especially on the subject of water. The Christian Union has indicated what topics it considers important in these actions. This applies to legal protection, which is based on participation and sees how the law is dealt with. This should include sustainable standards. I look forward to the Minister's reply and I look forward to all the points she is going to make with regard to environmental law.
ParlaMint-NL_2016-03-15-eerstekamer-8.u184	Mr. Chairman. You gave the floor initially to Mr Verheijen. A little flexibility in the order wouldn't have been very bad. I would like to thank the Minister for her very comprehensive reply. She comes up with some beautiful ideals, images of how all this is going to work. She said, for example, that we're gonna weigh it all up in front of each other. Then I'm thinking, "I'm with each other," of course, that's what I'm here for. But we do have to do very well how we do it and who they are "with each other." If you leave that to the social forces, we already know that a number of stronger parties are going to determine more in this than people who are not getting up to speed when it comes to influence and decision-making. That is why we think it is so important that this law actually regulates a number of legal frameworks very closely. The Minister then says that there will be more administrative space, but that this will be done within clear rules. That is exactly the point in my group that we have major questions about when we read this law. Are those rules that clear? So we don't know a lot of rules, because they won't be in the AMvBs until soon. The Minister then says: the legal protection and the specific issue of the suspensive effect that can be applied for in irreversible decisions can be settled perfectly in those two weeks. She says that she has to harmonise, and that is why she has been chosen for those two weeks. Frankly, she has not been able to convince my group. We believe that today's Wabo is very clear about this. For irreversible decisions you simply need to arrange more time so that at least a suspensive effect can be applied for and granted. I therefore wholeheartedly support Mrs Meijer's motion on this matter. Then there is a point that weighs very heavily for our group: AMvB or law. I'm telling you, I just got angry. We just got here. How long has it been? A very large Act on the Protection of the Environment adopted. I asked the Minister: what we agreed on in that agreement remains legally regulated, isn't it? "No, of course not," the minister says, "that becomes part of the Environment Act." So huppetee, a lot of things that we have dealt with in the legislation, the Minister is actually moving to the AMvBs in one sentence in advance. Then what am I doing here as a legislative body, so I ask the Minister. I'm really outraged about this. That is at the heart of the problem that my group has with this bill and certainly with the way the Minister talks about it. All I can taste is that she says it's about speed and it doesn't matter if it's in an AMvB. The Minister wants it fast, so let's go. Mrs Bikker has just rightly already mentioned something that we have already agreed on in the area of regulation. I repeat what the Council of State says about this: essential standards and a careful limitation of the regulatory powers delegated to the administration must be laid down in the law. The proposed legal system should provide for an equivalent level of legal protection. So the Council of State has doubts about that. Review frameworks on the basis of which further substantive standards are set or permit applications are reviewed should be laid down in the law, says the Council of State. I continue to have very serious reservations in principle about the way in which the Minister regulates this and the lightness with which she deals and says that it doesn't matter at all. We are not going to accept that. We absolutely disagree with and will continue to disagree with this principle. When these AMvBs arrive, we will of course be playing our very critical role, because that is what we have to do. But we have an extremely serious problem with it. Unfortunately, the environmental values aren't in the law. We're not okay with that, but that's the way it is. My group would like the environmental values to be regulated in any case, so that we already know what will be in the AMvB. We now know that at least national standards are in place for air, water and the safety of quays. The Minister does not want to say that there is at least an environmental value for CO. I don't think her story about that is strong. We all need dialogues and so on. I would say: climate agreement, Paris, the Urgenda speech; I think the urgency is crystal clear. As far as we're concerned, that's just gonna have to happen. In addition, of course, a number of things, such as sound, are now regulated at a legal level. I refer to Article 11.2 of the Environmental Management Act. As far as smell is concerned, there is a law on odour nuisance and livestock farming. I refer to Article 3 of that directive. The Minister says that we cannot establish an environmental value for this. I honestly don't understand that; it's just in the law now. I would say: make it compulsory for it to be included in the underlying legislation, so that we know that the equivalent level of protection is actually achieved. The same applies, as far as we are concerned, to nature. As regards the review frameworks, what is currently contained in Article 2.1 of the Wabo is simply the assessment framework for the environmental authorisation. So that's settled. The Flora and fauna Act regulates the prohibitions for which an exemption is required. All on a legal level. As far as the inseparable cohesion is concerned, it is now regulated in the Wabo for a reason. I am not convinced by the Minister on this point and would very much like to keep her promises, at least the promise that there will be at least an equivalent level of protection. I have tabled two motions to ensure that we are given more guarantees that the implementing rules will regulate a number of crucial things for us, in terms of a number of environmental values and also in terms of the level of protection that needs to be achieved. It is clear that my group has extremely serious doubts as to whether it can agree to this bill, but we would naturally like to await the Minister's latest replies. The President shall: Mr Vos, Mr Strike, Mr Stienen, Mr Lintmeijer, Mr Bikker, Mr Ganzevoort, Mr Meijer and Mr Teunissen proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas rules on granting and refusing environmental permits (assessment rules) will no longer be regulated at legal level;]] [[considers that these rules are of great importance for the way in which decisions on licensed activities are taken in the physical environment and therefore for the level of protection that should be maintained at least;]] [[calls on the Government to take over, as far as possible, the assessment rules for environmental permits in the implementing legislation as unchanged as possible from the current laws and regulations and to ensure that any reformulation does not lead to a deterioration of the level of protection,]] [[and goes to the order of the day.]] The President shall: Mr Vos, Mr Strik, Mr Stienen, Mr Lintmeijer, Mr Meijer, Mr Bikker, Mr Ganzevoort and Mr Teunissen proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the government intends to establish only a limited number of environmental values at national level;]] [[Whereas it is left to local authorities to impose additional environmental values or rules on other aspects;]] [[Whereas it is not possible to guarantee, without further rules or standards, that the quality of the living environment is at least preserved;]] [[calls on the government to include instructional rules as a safety net in the implementing rules so that local authorities at least have to lay down rules on noise, smell, landscape values and nature,]] [[and goes to the order of the day.]] [[She's getting No. kst-33962-M]] [[She's getting No. kst-33962-N]]
ParlaMint-NL_2016-03-15-eerstekamer-8.u185	Mr. Chairman. I believe that Mrs Vos has been active in the field of environmental policy for more than 20 years. That goes a little bit for me, too. If you look at that period of over 20 years, you can see that every change in the legislation was accompanied by a discussion on the assessment of risks and opportunities. I remember the urban and environmental approach in the 1990s, where it was also thought that anything could be done. Ultimately, this has led to a very acceptable guidance of experiments and the third step, to determine whether or not you could meet the standard. I also remember the area-oriented environmental policy, where several apples and pears had to be brought together in an integrated approach. That was also very complicated, but ultimately successful. I also recall the codification of the Water Act in 2009, where for the first time six laws had to be put together in one go and the water experts said: that is never possible. That's a nice step up for this Environment Act. I would also like to remind you of the Crisis and Recovery Act. I will not say that it has brought nothing but beauty and positive results. There are quite a few drawbacks to mention, but in general, this Crisis and Recovery Act has created more experimental and learning space for a lot of local authorities, to see if they could do it in another way. This has not led to spectacular results, but there has been an effort that has brought more commitment, more participation opportunities, more coherence and more integration than I had imagined at the start of the Crisis and Recovery Act. I do not think that the Crisis and Recovery Act has solved the crisis, but that it has brought much more experimental and learning capacity for the governments themselves. That's how we look at this Environment Act. It is a step, but one that can now be taken at the right time to achieve full integration into the physical environment. We are looking at this in a positive and perhaps optimistic way. In my speech I would like to mention a number of points on which I would like to draw the attention of the Minister. I certainly think that the debate on political standardisation, the next battle that is to be made after 2018, will concern us at least as much as the debate on the process architecture, which we are now discussing. But I am convinced that this process architecture is innovative and will bring more learning capacity to the government. In doing so, we have also agreed to the structure that we now have, of a procedural law with AMVBs that are still to come. It is also important that the Minister has just said in the debate that the internal regulations of the governments themselves, the relationship between the daily administrations and the councils, the states and the water authorities, must remain intact. They must determine their own manner of handling and legitimacy. It was also important that the Minister said that inter-administrative alignment with this law could lead to greater administrative capacity. I mentioned an example of the discharge on the Meuse, but I do not want to go into the casusism of that incident. However, the Minister did say that she also felt that the government had an involvement in this process, so that an approach to the sustainable security of drinking water sources in the Meuse could be improved and it would not be left to a single competent authority to set standards for a new substance. I heard this in her explanation of the application of the EU principles. If I understand correctly, they also lay the basis for the motivation of the local authorities for the balancing framework through the state instruction rule. In my view, this means that the circular economy plan, which is now also coming from the European Union and is about a great deal of reuse of waste streams and raw materials, is going through local authorities in the near future by means of the instruction rule, so that the maximum possible re-use rate can be achieved there. That must be the conclusion of the Minister's argument. If we look at what remains to be regulated at the same time, we can see that there are at least four major items in particular on the cost side: ICT costs, implementation costs, enforcement and monitoring costs and participation and participation costs. I heard those four costs in the debate. There is an ICT project in progress, but I do not think it would be wise to intervene in it. That is the responsibility that the Minister and the umbrella organisations must take up and resolve. Then there are implementation costs and enforcement costs, for example when it comes to letting go of the inseparable doctrine of coherence, and finally the participation and participation costs. The Minister said about the latter: yes, it costs money and I do not want to impose it. That's right, but that doesn't mean you're gonna be there with a hand-off. So you will have to make agreements in consultation with the umbrella organisations, although they are form-free, necessary and possible. There must also be more or less agreement on protecting the citizen's position in terms of how he or she can have a say and support his or her need for participation. We do not have to make these agreements today, but we do have to do so with the introduction law, so that we know that all governments are participating and are therefore willing to make costs for supporting the strength of the citizen when it comes to his desire to participate or not participate, so to stay away, while he does want to respond at a time when he thinks it can be really useful and necessary. In this context, I would like to hear the Minister's commitment to this in the administrative consultation with the other authorities.
ParlaMint-NL_2016-03-15-eerstekamer-8.u186	Mr. Chairman. As far as participation is concerned, the Minister has said a lot, quite rightly, because that is also a bit at the heart of the changes in the whole system. I really only missed one thing, namely that it is not only cultural change and not just bringing the process forward. I think it has something to do with the level at which people are doing their jobs. I think that many of our officials have so far been very busy applying rules. That is easy, fine, sure and safe, but all civil servants need to be able to hang over matters if they want to do it right later. The same applies to directors, council members and representatives of the people. Indeed, the law requires much more to oversee the whole and to make its own choices. I am pleased that the Minister has said that this is extremely important. Of course, a judge will test if it's done properly. That's gonna be the proof of the pudding later. He will check whether municipalities or an initiator have given sufficient attention to this. I hope that there is not too much to judge, but that, precisely thanks to the fact that the preliminary stage has been well completed, it is quickly becoming clear. I see only an extension of procedures in the Meijer motion. I wonder how the Minister looks at that. It would be nice to also opt for shortening if you opt for extension. Then we can incorporate two standards into the law and maybe make some profit. I'll find out later. The Minister has already said something about the costs. I assume that Article 2 is simply applicable. I am not quite sure yet whether I agree with Mr Verheijen that we should make additional finance available for the participation side. I think that we need resources for implementation, for ICT services and so on, but I actually think that participation should be part of the normal process. She is, too, often too late. Most of the time it takes more effort to get it done, so I am not sure whether the amount of costs will increase in this way compared to the current situation. In fact, I think you're gonna save what you're doing out front at a later point in the process. I come to the relationship between public bodies. I welcome the comment made by the Minister on this subject, including against Mrs Bikker. I think it's gonna be taken care of right now, unlike the way things are going. By the way, the province of Utrecht should take a look at how the province of Noord-Holland or, rather, the north wing except Utrecht has arranged it. That's where they did it very neatly. Municipalities have made joint agreements in the presence of the province. There's nothing against that. The region itself has done it in the end. In my view, that is the best solution. The minister said that a province can still stop something by an instructional rule, but that it was not going to decide what to do. The weird thing is, this is possible now. In the context of flexibility, I note that we are curious. It seems perfectly logical to me that there are bands for sound and smell. I'm very curious about the results of the thoughts about soil and nature. I'm really curious what that's gonna look like. I have not yet reached an opinion on this. ICT remains a difficult subject. I notice that the Minister is also anxious to see how that goes and whether we can do it. I am convinced that the whole law can only be implemented with a good system of ICT services. If that doesn't work, it's gonna be way too complex. In that case, citizens will no longer understand what this is about.
ParlaMint-NL_2016-03-15-eerstekamer-8.u187	Since the Minister for Infrastructure and the Environment cannot reply immediately, I shall suspend the sitting for five minutes.
ParlaMint-NL_2016-03-15-eerstekamer-8.u188	Mr. Chairman. I have received a number of questions from the various Members of the Chamber and a number of motions for resolutions. I will deal with them in the order in which they were inserted, so by group. The CDA talks about a good relationship between central and decentralised. If you give decentralised space, you must do so; you must then fully shape that decentralised power, Mr Flierman said. Of course, I agree with him. This means that you sometimes give space, for example a flexible consideration space. However, it may also be the case that a municipality is going to impose stricter requirements, for example with regard to air quality. It can't be that you're giving space on the one hand and saying on the other hand that you can't, or just the other way around. If you're gonna do it, you're gonna have to do it right, and you're gonna have to trust it. It is therefore important not to change the administrative agreement unilaterally. The CDA shall ask for the equivalent level of protection. Having heard my comment that I would now prefer to do a neutral conversion in the AMvBs, it wonders when the adjustments to the level of protection will be dealt with. That could be at different times. There's a lot of discussion in the House of Representatives. For example, when I say that we meet all the air quality requirements, certain parties there say that these requirements should actually be stricter, given the WHO opinion. Then I always answer that the House of Representatives, in this case in a European context, must therefore adopt this stricter standard. You don't do that when you treat the AMvBs as a system, would be my preference, but really at times when you're dealing with the different laws or parts of the law in terms of content. That's gonna happen all the time. The CDA also calls for attention to the transition from old to new, specifically for the medium-sized and smaller municipalities. Of course, the transition is a huge job, and we will also support it. Especially the small municipalities receive specific attention in the implementation programme of the m.e.r through a regional approach. We're gonna do that demand-driven. I believe that I have dealt with the points raised by the CDA.
ParlaMint-NL_2016-03-15-eerstekamer-8.u189	If the Minister walks through all the points so neatly, I would like to say that I have also made a few comments on ICT. If she says again that she agrees with me, it is of course dear to me.
ParlaMint-NL_2016-03-15-eerstekamer-8.u190	In the context of the late hour, I had thought that I am not going to repeat everything we can find each other on, but only those points on which a clear question was asked to me. But I fully agree with Mr Flierman that it is an essential condition for the law to come to full maturity. In fact, I have already spontaneously indicated to him that, as far as I am concerned, the further implementation of the ICT project is also my baby. I will remain on top of it and recommend it in the warm attention of my successors, as far as they come, so that it may have their full attention. The PVV Group has asked for the mandatory m.e.r. at windmills. Can I exclude that Article 16.44 does not apply to the installation of wind turbines? I can rule that out. Article 16.44 provides that exemptions may be granted for the preparation of an environmental impact report. Exemption can only be granted if the immediate implementation of the project is necessary because of the general interest. So that is really meant for very exceptional situations and not for something like the installation of windmills. Mr Van Hattem of the PVV also asked for a more detailed explanation of when decisions were published. Publication of decisions is the time when the time limit for the two weeks following the entry into force of the authorisation. As I said in the debate, it is the publication of decisions; an application for interim measures within that time limit has an automatic suspensive effect. But it's really about the publication. I'll be on the SP motion in a minute. The PVV has asked whether stakeholders have an insight into the environmental permit of neighbouring municipalities, including via the Laan van de Leefenvironment. Yes. There's a reporting service now, and it's staying. The PVV has asked for no relaxation for the three m's and has asked whether an azc cannot be pushed through. The three m's cannot be pushed because you have participation in project decisions. This also applies to any other use of a building or of the public space. We're working on a governance culture for all decisions. So it's no different for azc's than what I said before about prisons or police stations, for example. There is participation in project decisions and therefore it cannot be pushed through. The PVV wonders whether the Environment Act is not too complex to understand. It is, of course, a complex whole to talk about now, because we merge so many laws. However, the objective of the Environment Act is an enormous simplification. There is simplification for all users: there are uniform concepts, clear rules, a clear structure and digital provision that will give greater clarity. As far as I am concerned, citizens and businesses, as well as the public authorities, are given a much clearer system than the many sectoral laws we currently know. This was an important improvement for the whole system. I have already responded to Mr Van Hattem's motion, which he submitted in the first term. Then I'll join the SP. The spokesman comes back to the discussion about the two-week period and states in the Meijer c.s. motion. (letter K) to amend the introduction act by extending the period of entry into force for environmental permits relating to irreversible activities to four weeks. I tried to convince the Chamber to embrace the system we had devised. I understand I couldn't do that. However, I would like to reserve the right to retain the improvement, not only a faster but also a more transparent decision-making process by harmonising procedures. That's why I suggested two weeks. That's why I advise against this motion. However, I feel that there is broader support in this Chamber for the proposal. If the motion is passed, I will give it a place under the introduction law. However, I think it is important that we also take the space to see if we can just bring the other permits back to the zero weeks as they are now. Mrs. Jorritsma asked for this too. If you are going to differentiate, so one is going to extend and shorten the other, then I would say: if you renew the other, you might also be able to shorten one. Then I get to the input of D66. The spokesperson asked me to go into sustainable activity again. Perhaps my answer didn't come across well in the crowds. The Environment Act, of course, promotes smart solutions that reduce environmental pollution. Many of these smart solutions in sustainable initiatives are now blocked by the fact that the rules are often inflexible. Everyone says we'd really like to, but we can't. For example, water boards that want to become energy-sufficient by using the heat from cleaning water to heat the neighborhood. This often does not fit in with the current rules. This could lead to greater flexibility. The flexibility given to the competent authority in the legislative proposal offers opportunities to deviate from restrictive rules for sustainable initiatives and business. The law allows for experiments, but at the same time you can indicate in your environmental plan that you want to limit the use area. Sustainable initiatives are, of course, often aimed at limiting the scope for use, reducing the scope for use. This can also be encouraged along that road. There are several possibilities in the Environmental Act to stimulate sustainable activity. The Motion-Steens c.s. (letter L) refers to the national environmental vision and the question of how we can contribute to achieving a wide range of global challenges, such as climate change, biodiversity and dependence on scarce raw materials. The quality of the living environment cannot be determined by boundaries. It is therefore always a global task. I am asked to explain in the National Environment Vision how the Environment Act can be used in this kind of global task. I see the motion as a policy support, because it is also our objective to give this type of theme, such as how we deal with energy transition, energy declarations and climate forecasts, a place and role when making the environmental vision. Then you put in the environmental vision what your ambitions are. Then you can agree with each other on which level they can best be realized. The spokesman of the Party for the Animals spoke about an empty law and about AMvBs who would soon be jacked by it in the Lower House and this Chamber. I certainly don't think this is an empty law. This law also contains principles. It also states what the objective is, namely to improve or maintain the living environment. If Mrs Teunissen refers to AMVBs through coats, she may address her colleagues, but I would never do so myself. I think it is very important to discuss them properly in terms of content. This is not the case. Mrs Teunissen also said that the cabinet would prefer to do it without a prior and afterhang, but that is not the case either. I have asked the Council of State how it looks at the way we have set it up now, with a law, AMvBs and an introduction law. The Council of State has said that it would be nice if we could incorporate all the standards into the law now, but it also understood very well that this was not possible at the moment. That is why the Council was very pleased that we have made a path with an introduction law at the end, in which we can look over the whole after we have dealt with the AMvBs. In the end, therefore, the Council has supported us in our approach. Nor have we done nothing about the opinion of the Council of State. We have dealt with it actively in several places. We have included more guidance in the legislative proposal by limiting the basis of delegation. We have designed a regulation of tasks at law level. I would also mention the framing of powers and the prioritising of AMVBs. We have also made a commitment to submit the introduction law and the AMvBs simultaneously for advice to the Council of State. On behalf of the Christian Union Group, Mrs Bikker has once again drawn attention to the water standard. She asks me to at least reflect on how we weigh this aspect when inserting the Water Act. I'll do that. I am not just trying to include the standards because of the speed in the AMvBs; it is also because of the clarity and the integral consideration. So I don't see the law as an obstacle, but I see the AMvB as a clever instrument. I will certainly reflect on this when inserting the Water Act, as requested. Not only does Mrs Bikker ask me to give a hand for participation, she also asks me to indicate the state of play when dealing with the introduction law. I'll be sure to. I'm sure I'll give you an insight into that. Not only then, but also in the interim in monitoring, we already provide insight into the progress made in the field of participation. Mrs Bikker further asked whether the judicial review as it was in the Wabo was designed in the Environment Act in the same way. I can confirm that. The judge will apply the same review criterion in no time. Mrs Bikker also called for attention to be paid to the empty stand instrument. She felt that the discussion we had between us did not prove convincing enough that the instrument was going to work. I believe in that myself. Mrs Bikker asks me to look in the long term with the IPO to see whether the current instruments are sufficient. I think that's a good deal. In any case, I regularly sit around the table with the domes to see what works in practice and what doesn't.
ParlaMint-NL_2016-03-15-eerstekamer-8.u191	Could the Minister inform the Chamber of this before the introduction law?
