ParlaMint-NL_2016-04-05-eerstekamer-4.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-04-05-eerstekamer-4.u64	That may be true, but the purpose of the investigation at the hearing is still the truth. The purpose is to investigate clearly and determine whether the facts can be proven and whether the defendant is guilty. That is the situation we must take as our starting point. It therefore also has an impact on the hearings, where the question remains whether the suspect is actually the culprit. Perhaps the Minister could comment on the potential risks of putting the victim's position forward, which could also interfere in the discussion between the parties to proceedings.
ParlaMint-NL_2016-04-05-eerstekamer-4.u65	It is a good thing that Mrs Strik raises this point, because that is of course the reason why, for the purposes of this legislative proposal, there has been extensive consideration of the possible division of the criminal proceedings, between the investigation into the truth and the finding of the offender, and then the discussion about the extent of the penalty. In addition, a role for the victim might be better. We've had extensive scientific research on that. It came out that there was no need for this in this area, precisely because of the fact that judges indicated that they didn't see any added value in it, because they didn't see the whole conflict. I think that we should and will always continue to rely on innocence. This is one of the cores and pillars of our rule of law, and thus of our criminal proceedings. I am not concerned at this point that this would be changed by the change that we are now making, particularly since it has been implemented in a number of courtrooms for years. People already allow the victim to express himself freely because of his interest. That's counter-empty, I'll just say. Mrs Beuving quoted from the explanatory statement. I thought it was very shrewd of her. She said that her group is not yet convinced that I am right, if I say that the legislative proposal does change something about the role of the defence and the possible decision to ask questions to the victim. I have stated in the explanatory statement that the defence is now usually reluctant to question the victim because the victim's statement cannot contribute to the evidence. That can be different if there is a legitimate discussion with the defense about the facts. If, in the present situation, the victim speaks of the facts, he is strictly excluded from the legal possibilities and cannot and does not have to be taken into account by the judge. If the victim fails to do so after the extension of the right to speak, the defence may have the need to ask questions about it, because, strictly speaking, the judge might take that into account in his final judgment. I also think that this is very important. On the one hand, it does mean that the victim must be properly informed. Many victims are also witnesses in criminal proceedings, not necessarily in court, but if the judge considers it necessary and asks the defence or the officer to do so, victims are already being heard at the hearing. That's always possible. But it is possible that, in the new situation, the judge might take more account of what the victim says and that might lead to another... I wanted to mention that in that explanatory statement. I don't see that as an objection, but as something we need to prepare the victim for. Therefore, in the conversation between Victim Aid Netherlands, the Public Prosecutor and possibly the Victim Attorney, it is of great importance that it is indicated here that it may have consequences that some victims may not want. Other victims probably want that very much if they feel that the facts as they perceive them are not sufficiently taken into account.
ParlaMint-NL_2016-04-05-eerstekamer-4.u66	Actually, I'd just like to invite the Minister to say a sentence he swallowed a little bit. It's really hard to get that back. The Minister said that under this bill, the judges might listen a little more to the victim and that that would lead to.... Then the rest of that sentence fell away. I had the impression that the Minister wanted to say something about where that leads on the defence side.
ParlaMint-NL_2016-04-05-eerstekamer-4.u67	In my view, I said that since the right to speak is now limited to the consequences for the victim only, anything more is said there, which is true practice, is, in principle, out of the order of the criminal proceedings. At the time when the victim has the freedom to speak, it is not excluded that if the victim fails to take account of the facts or, for example, disputes as to what has been said in court or what would appear in the file, the judge can take this into account because it is not outside the scope of criminal proceedings. This could mean that the defense now, unlike in the current system, might be more likely to ask the victim to declare it a witness. That was the debate I thought Mrs Beuving wanted to have with me. Some victims will very much like that, others will certainly not want that. I think it is very important that this consideration can be made by the victim himself on the basis of good, objective information by the three parties whose roles Mrs Beuving has just asked me about.
ParlaMint-NL_2016-04-05-eerstekamer-4.u68	Do I now take the answer to Mrs Beuving that the Minister thinks that it is inherent to this bill, which, as a victim or next of kin, chooses to use the right to speak, and in particular to express itself about the measure of punishment, is more or less forced on the judge to take account of what has been said on that point? Then I think we are going to talk about a very important border here. Then it is actually time to clarify whether it really is, because then I think that the legislative proposal will be in a very strange light. I thought I had tasted that the judge couldn't get past it, when a victim or a next of kin says something very emphatically about the measure of punishment.
ParlaMint-NL_2016-04-05-eerstekamer-4.u69	Fortunately, that's exactly what I didn't say. As I said in Mr Engels' previous question on this point, the independence of the judge is without doubt. The court itself determines, on the basis of the law and case law, what it finds appropriate punishment in criminal proceedings and whether a penalty can be imposed at all. Let us first say that the questions of Article 348 and Article 350 of the Code of Criminal Procedure must first be settled in the correct order. An opinion, request or thought about the penalty will therefore not in any way lead to any coercion, as Mr Engels has now asked me twice. However, what is at stake is what Mrs Beuving is saying: what about when the victim in the new system is going to say something about the facts of the crime? Is it true that this could possibly be regarded by the court as a legally relevant fact? That was the discussion that Mrs Beuving and I had. If that is the case, it may also be that the defense would rather ask for the victim to be heard under oath. I said it could be done at the time. I don't think the odds are so great, but it's possible. When it happens, it is of particular importance that information is good, so that the victims can take this into account.
ParlaMint-NL_2016-04-05-eerstekamer-4.u70	Does the Minister mean that account is taken of what the victim as a witness tells about the facts, or also during the right to speak?
ParlaMint-NL_2016-04-05-eerstekamer-4.u71	The victim may, in the role of the victim, not being a witness, say something about the facts of which the defense may then say: if the person concerned says this and perseveres in it, then I think he should also be heard as a witness. I think that is, in many cases, justified, if it is new, but it is different from what has been said earlier whether there is another light on it. It's possible. We have fully faced that possibility in this bill. We have also indicated that information from the parties concerned is of great importance in this respect, because this is something you must know as a victim. It is not new, by the way, because it is possible in the current situation. If, in the current situation, a victim takes the right to speak wider than is permitted by law, it can lead to the same effect. So it's no different than it was, but it can be done in all cases. We need to prepare the victims very carefully for that. I think we should include this point in the evaluation.
ParlaMint-NL_2016-04-05-eerstekamer-4.u72	So far, I believe that what has been said during the right to speak is not a means of proof. It's gonna stay that way. The judge doesn't have to take it into account.
ParlaMint-NL_2016-04-05-eerstekamer-4.u73	That's right, but since the right to speak is now available, the defense may at some point want to hear the victim as a witness. It may need to do so if something is said, for example, which is different from what was the case before it or in the case of a new fact in the file that may be exculpatory for the suspect. I think it's a good thing we're pointing that out to the victims. If I have understood her correctly, Mrs Wezel asked whether it is not a good idea that we should reverse the main rule of our current criminal proceedings when it comes to minor victims or minor witnesses, so that such hearings should take place behind closed doors, unless there is a serious reason not to. I find that thought very sympathetic. This stems from the desire of the SP Group to protect a minor victim or a minor witness of a serious crime against public access, for example because of their deep emotions. On the one hand, we must take into account the importance of the victim, but on the other hand, there is the very important starting point that all hearings are public. They are public because we believe that society should be able to judge fully what is happening in justice. That's why we chose to put that in court. We have said that the judge is the determining factor in deciding on a request from, for example, the victim's defence or attorney, which is possible in both cases to allow the case to take place behind closed doors. I believe that the principle of public access to justice is so important that I, as a minister, can live with the fact that we keep that competence in court and that we do not come to a reversal of the existing regime.
ParlaMint-NL_2016-04-05-eerstekamer-4.u74	The judge correctly says: the legislator tells me it is public, so I do not have to take into account the article in the Code of Criminal Procedure. So the judge's just pointing at you again.
ParlaMint-NL_2016-04-05-eerstekamer-4.u75	We agree, however, that there is an article which states that in specific cases the judge decides on the basis of public access to the court hearing. There is almost a whole philosophy behind how we deal with public hearings in our open society. We've really thought about that. We have said that this is a very important starting point, but also that we realise that there are situations in which closed doors should be possible. We have placed the power to decide to do so before a court of law. That is not the interpretation Mrs Wezel gives it. I really think that a judge should always weigh that in full care and in full measure. Mrs Wezel said that the victim has the right to attend the hearing and a witness has to wait outside the Chamber. In that context, she asked what would happen if a victim became a witness at any time. The right to the presence of the victim then prevails over the importance of an uninhibited testimony. Otherwise, we would run the risk that if a lawyer says that the victim may be a witness, the victim could actually be denied access to the courtroom. This seems to me very unwise, also given the importance that we all attach to the fact that victims should always be able to attend the legal process in the context of public access. The spokesperson of the PVV Group asked about the appearance of suspects.
ParlaMint-NL_2016-04-05-eerstekamer-4.u76	The Minister states that he does not consider it desirable for the witness or the victim to be expelled from the courtroom. However, the article in the Code of Criminal Procedure indicates that when the officer or suspect so requests, the potential witness must leave the Chamber. Is the Minister going to change that?
ParlaMint-NL_2016-04-05-eerstekamer-4.u77	There's that article. The main rule, however, is that the victim is present at the hearing. It may be established, for example, as a result of the victim's statement, that the victim is a witness. If the defense asks in advance to hear the victim as a witness, then of course the rule is that the witness is not present. Nevertheless, in principle, the main rule is that the victim always has the right to attend the hearing. By the way, a lot of victims do not want that, but a lot of victims think that is very important.
ParlaMint-NL_2016-04-05-eerstekamer-4.u78	The main rule in criminal proceedings is that anyone who is a potential witness should remain outside the courtroom. Which rule is more stringent now?
ParlaMint-NL_2016-04-05-eerstekamer-4.u79	As I have just said, the main rule is that the victim is present at the hearing as part of the public hearing. I think that is a more important rule than that the witness should stay outside, but it is different when it is already established that the victim will be heard as a witness. Then someone like that is a witness. Then he's gonna have to be heard first, and then he's gonna be able to sit down.
ParlaMint-NL_2016-04-05-eerstekamer-4.u80	Why doesn't the Minister lay this down in the law?
ParlaMint-NL_2016-04-05-eerstekamer-4.u81	That principle is already laid down in the law. We have one starting point and we have the other. As Mrs Van Wezel knows, not many witnesses are heard at the hearing. We have a system in which all the evidence is collected before the hearing begins. In a situation where the judge considers it necessary for another witness to be heard, the main rule applies, even if it is a victim. The situation in which the victim makes use of his or her right to speak, and where appropriate the need to hear the victim as a witness, will only become apparent when the situation takes place at the hearing. The PVV Group asked about the defendant's mandatory presence at the hearing and the ruling. I have also discussed this in detail with the PVV Group in the House of Representatives. The Public Prosecutor has adapted the conduct and policy in this regard in response to the debates with the PVV group. In the discussions with victims and relatives, the Public Prosecutor shall pay attention to the desirability of the appearance of the suspect at the hearing, shall also explain the possibilities and possibilities and shall ask for the specific wishes of the victim or the next of kin with regard to the obligation to appear as a suspect. That is also because we have found that in a number of cases many victims and relatives prefer not to have the suspect present at the hearing, because then they will be confronted with the person concerned again. That hinders them in making their statements. It is precisely because not everyone wants it that we have never wanted to make it an obligation. The judge can decide. In practice, the judge also does so in a number of cases. The D.A. can request it. It is therefore important for the prosecution to touch this point in contact with the victim and then to ask the judge to have the defendant present, if desired. Whether the presence in the judgment can also be determined by the judge is unclear, let me say some doubt. I am prepared to consider whether there is a need for additional jurisdiction from the courts in this regard. If that is the case, we can include it in the revision of the Code of Criminal Procedure. The PVV Group has also asked for the extension of the right to speak to the step family. It is true that there have been certain developments in family law. More and more forms of family and family relations are emerging. We also discussed it in the House of Representatives. At that time it was stated that this is an issue that needs to be carefully considered, because it is not possible to assess exactly what its impact would be. Step family, for example, is not a legal concept. Nor is it easy to explain who is covered by the law. In this connection, I also note that I have understood in conversations with the prosecution that sometimes people apply for, for example, the right to speak, which the prosecutor says is not a victim at all. Or the victim says about these people: they're not victims, they're not with me at all, I don't want that. Here too, we must be very careful about this. That is why I promised the PVV Group that I would include this issue in the evaluation of the current right to speak. This will be discussed in 2017. Mrs Van Wezel asked about Mrs Kooiman's motions. I've carried it out, I can report her to my reassurance. The caselaw has indicated that judges should keep the freedom to do and leave what they think they should and should do. They're very attached to that. The independent position of the judges has been underlined in this respect. In particular, it is the role of the public prosecutor to conduct the interviews with the victims that I referred to earlier. Mrs Kooiman's second motion dealt with the progress of the inquiry into the right to speak at TBs sessions. The question of the SP group in the Lower House was whether the victim should not be able to speak if there are sessions where, for example, it is decided whether or not to extend the TBs. I have indicated that I will investigate that. That investigation is in the final stage. There have been discussions with experts and experience experts. The research is needed to gain sufficient insight into the needs of victims and survivors in this respect. I hope to complete that investigation in May. I will then inform the Chambers. I have already dealt with the costs of justice. I have also indicated why I expect that no additional costs will be incurred when it comes to victim support and the prosecution. Mrs Van Wezel asked about progress in improving the performance of the criminal justice chain. The Chamber is informed twice a year about the progress of the VPS programme. This includes the 2015 Criminal Chain Monitor. It includes how many criminal offences the police record and how much the chain enters. I would also remind the Chamber of the recently released Safety Monitor, which also looks at the criminal justice chain from the other side. This raises the question of how victims perceive victimisation. I'd like to recommend it.
ParlaMint-NL_2016-04-05-eerstekamer-4.u82	Can the Minister indicate whether there has been any improvement? Are there any more cases handed down to the D.A.'s office that end with a verdict?
ParlaMint-NL_2016-04-05-eerstekamer-4.u83	I have the impression that there is an improvement, but there is still a lot of work to be done.
ParlaMint-NL_2016-04-05-eerstekamer-4.u84	Are we going to see that in the figures?
ParlaMint-NL_2016-04-05-eerstekamer-4.u85	I have that expectation. Mrs Strik asked about the role of retaliation and whether there was a change in emphasis due to the right to speak. Perhaps that question is also asked as a result of the reason given by Prof. Ten Voorde. He discussed the consequences of the victim's communications by the judge. He discusses these consequences from the point of view of the victim and the purposes that may or should be involved in the imposition of penalties. In particular, he referred to the role of retaliation. Mr Ten Voorde rightly argues that retaliation should not, I think, be the decisive factor for Mrs Strik's desire to hear from me from the subjective perspective of the victim about the suffering suffered in the imposition of penalties. It can certainly play a role in determining the seriousness of the fact. In this respect, as a judge and officer, you should take into account the impact of the fact on the victim or possible survivors, but the seriousness of the fact is expressed in abstracto first by the criminalisation by formal law. That is the expression of the democratically legitimized disapproval of behaviour. The finding that the consequences of a criminal offence have hit a victim extra hard cannot, by definition, lead to the imposition of a higher penalty. Retribution must be done not only from the point of view of the victim, but also from the point of view of society's interests. Retribution must also always take account of equality and proportionality. My conclusion is therefore that I agree with the opinion of this new professor in general. It fits in with the views of former Secretary of State Teeven, but also those of my predecessor Hirsch Ballin and Mr Dittrich. The victim's explanation may play a role in assessing the seriousness of the offence and in the penalty assessment, but it does not have a decisive role in it. I have answered all the questions with this, if that's all right.
ParlaMint-NL_2016-04-05-eerstekamer-4.u86	Thank you. Then we have arrived at the second term of office. I call Mr Schouwenaar.
ParlaMint-NL_2016-04-05-eerstekamer-4.u87	Mr. Chairman. On behalf of the VVD Group, I would like to thank the Minister for his comments and statements in the first term. I would like to make a few brief comments on what has passed. I'll start with the need for this law. The Group of the Greens/European Free Alliance rightly points out that an evaluation has been carried out which highlighted a group of satisfied victims. However, I would point out that there was also a group of dissatisfied victims, as well as a group of people who do not want to use the right to speak, because they do not have a say in it in view of the limitations. We must also take these groups seriously. That gives us the key to saying: this is what we must do. Of course, we will have to evaluate it in five years' time to see how it goes. Speaking of the victims, I have heard here and there words such as "aggression," "frustration" and "violence." A chair has also come into use. I believe that was the case in Den Bosch. I would point out, however, that this incident with the chair took place under the current regime. So I don't think that has a direct causal link to the right to speak. At best, it indicates that the current regime can be improved. One of the ways to do this is to remove the boundaries of the right to speak. There are other roads. I would like to mention the example of penalties in road traffic legislation, on the one hand, and penalties in community criminal law, on the other. That is one of the main sources of disappointment when it comes to punishment.
ParlaMint-NL_2016-04-05-eerstekamer-4.u88	That chair must be seen in connection with the judgment of a judge who was found to be inadequate. I don't think that's related to the limited right to speak. I cannot imagine that, if the right to speak is extended and someone is allowed to talk about the measure of punishment, no more seats can be thrown. In fact, could Mr Schouwenaar not imagine that the disappointment, if anyone had been allowed to speak about the measure of punishment, might perhaps be even more alarming?
ParlaMint-NL_2016-04-05-eerstekamer-4.u89	We disagree on that. Of course, I can imagine anything, but the question is what you think is most likely. I could imagine that if there had been a full right to speak, quod nun, which would have led to a more detailed response to what has been said or to a more detailed explanation of the difference in sentence. I think a relative threw a next of kin with that chair. The victims died. I believe it was two children in Brabant and a driver who had far too much to drink. I mentioned the example of the difference in the criminal treatment of violence offences in traffic and communal violence offences. This sometimes leads to great disappointment, because the premise there is different and therefore also the penalty ceilings differ.
ParlaMint-NL_2016-04-05-eerstekamer-4.u90	Do I understand from this answer that Mr Schouwenaar considers it desirable or predictable that a criminal court judge should comment on the proposed measure of punishment? I understood from the Minister that that is not the intention, at least not the court.
ParlaMint-NL_2016-04-05-eerstekamer-4.u91	There is no obligation to state reasons, but I can imagine that, when the judge observes that a point is considered important and that there are no obstacles, his reasoning takes account of possibly different views as to the degree of punishment, or gives additional reasons why the penalty is the way it is. In general, the justification of criminal sentences is a matter of constant attention. There are a lot of currents in which it is said that there may be a little more motivation. I can imagine that in such situations too, it is a motive to write down something more than sometimes happens now. It can contribute, it's one of the ways to prevent this kind of outbursts. I would add that the defendant can also throw a chair. This is also seriously taken into account by the presence of parquet guards. I believe that suspects get a plastic cup instead of a glass. It does not lead to the exclusion of the defendant from the pre-trial courtroom. In the case of the victim, we do not therefore have to translate it into pre-emptive restrictions. My third point concerns the disappointment. I think there is one in any case and that we do not solve it by silence or by imposing silence. No, we'll solve them by talking. I refer to the right to speak, but also to the information of the Public Prosecutor's Office and bodies as a Victim's Aid Netherlands. I also refer to the judgment of the court, in which the court can express itself about it. The beauty of this bill is that the victim himself is the one who decides to what extent he wants to take advantage of the opportunity offered, including the disappointments that this may bring. Finally, the right of recovery. If I do, it is largely voluntary, both from the victim's side and from the defendant's side. It doesn't always work either. I have not found any figures on the successes in this area. It leads me to the preliminary conclusion that it may be one of the ways of finding a solution, but that it cannot serve as an exclusive alternative to the right to speak. I have already said that I will propose to my group that we vote in favour of the proposal.
ParlaMint-NL_2016-04-05-eerstekamer-4.u92	Madam President. I thank the Minister for his comprehensive response. Well, he's been a good man, if I may put it that way. I would like to say immediately that I do not have the impression that this also applies to the Minister: we have exchanged many new points of view. Then we will finally come to the question of weighting. For my group, the essence of this bill is the balance of criminal proceedings. The autonomous, magisterial role and position of the Public Prosecutor's Office are important, but above all an independent role and position of the judge. This bill has a number of problematic aspects for my group. It is mainly about the right to speak about the measure of punishment. That part of the right to speak could potentially upset the balance sheet. At least I'm not comfortable with it myself. In doing so, you are gradually, perhaps formally not yet but in fact, moving the victim and next of kin further into the criminal proceedings. I have taken good note of a number of comments which show that the emphasis on the aspect of retaliation is given an extra emphasis. I have heard this not so much from the Minister but from a number of colleagues. I think that is a worrying point. What I also find worrying is that there does not seem to be any formal but factual pressure on the duty of the judge to state reasons. It seems difficult for a judge to avoid that influence by victims and next of kin. I will discuss with my group what will be our opinion on the legislative proposal next week.
ParlaMint-NL_2016-04-05-eerstekamer-4.u93	Mr. Chairman. On behalf of my group, I would like to thank the Minister for his careful answers to our questions. As far as my group is concerned, it is very important that under current law, in many cases, but not in all cases, the judge allows a broad right to speak to victims and relatives, and that this has not led to problematic situations in court. Following our questions on the possible pressure on the innocence charge, the Minister pointed out that there were no indications of this. In today's practice, judges often allow a broad right to speak, at least they do not prevent it. That is indeed a reasonable conclusion. As I said in my first term, the benefit of the legislative proposal is that the victim is taken seriously and that victims and relatives no longer need to be in doubt as to whether the judge will allow them to speak freely in court. In short, I will advise my group to vote in favour of the bill.
ParlaMint-NL_2016-04-05-eerstekamer-4.u94	Mr. Chairman. I would like to thank the Minister very much for his comprehensive reply. However, I do not know whether I can convince my group. I will, of course, pass on the answer, but I will draw my own conclusions. If we look at the purpose of the bill, I'd like to take a look back at the purpose of the limited right to speak. That was clearly intended to give people the opportunity to tell them about their suffering. The evaluation shows that this objective has been achieved. It has a positive effect. People feel more recognized in the victimization. I think this is very positive. The goal of repairing emotional damage and reducing anger and aggression has not been achieved. My group strongly doubts whether it will succeed in extending the right to speak. It does not therefore seem to us that we should pursue this objective. There is another objective. It is stated that the right to speak helps to inform the judge. There's no profit in that either. This is precisely about the impact of the crime, as the Minister clearly pointed out. It is therefore a question of what suffering the crime has caused: what has it done with the victim? It is not for the courts to be informed of the measure of punishment which is desirable. This is more about another objective, namely the need for victims to be allowed to express their views on the level of punishment. Only this need is a difficult basis for a legislative change. That could still be true if it does not have any other consequences for a proper criminal procedure. At the moment, that is balanced. I think it requires a more serious balancing of interests than it is now saying that there is a need and that it does not harm the current process. I am still afraid that the pressure on the process parties is increasing. The emotions and accusations will play a greater role at the hearing, while it should contribute to an investigation into the truth finding. The question is whether it makes such a constructive contribution to that research. To Mr Schouwenaar and Mr Markuszower you already notice that there is a pressure on the criminal justice system. Now the expectation is that he will do something with the plea for a certain measure of punishment; he has to answer the reasons why perhaps a different punishment has been chosen. Mr Markuszower says that he simply hopes that the judge will punish more and therefore take more account of the victim's wishes. In short, the doubts remain with us. As far as the victim is concerned, too, the question is whether this is the right way forward. Is it better for the victim or should we think more about better guidance, more mediation, so that we can talk about feelings freely, but in a protected environment? We will exchange this in the group and we will follow the balance in the vote next week.
ParlaMint-NL_2016-04-05-eerstekamer-4.u95	We have now arrived at the Minister's second term. I notice he doesn't need suspension, so we're going straight ahead.
ParlaMint-NL_2016-04-05-eerstekamer-4.u96	Mr. Chairman. Thank you to those Members who shared their views with me and with the Chamber in the second term. You will understand that I endorse Mr Schouwenaar's conclusions. It supports the usefulness and necessity of this legislative proposal and also appreciates the balance between any risks and their benefits in a positive way. Mr Engels says he has a number of pressing points which he would like to discuss with his group. I know that this was also the case in the House of Representatives, because on the same points the D66 group in the House of Representatives really had a number of notes to crack. I hope, I say to Mr Engels, that we can hold on to the line we have had so far and that I can once again convince D66 with the strength of arguments to vote in favour of the legislative proposal that I have tabled here. I hope to be able to achieve that effect here again. I know that the D66 Group in the House of Representatives also made serious considerations and had to make them in order to vote in favour at the end of the day. Perhaps that was also possible because of the archdad of Dutch speaking rights as we know it now, Mr Dittrich, who, of course, came from the D66 Group for a reason; as a judge, I would add. I hope that this aspect can be taken into account. Let me take another look at the points raised by Mr Engels. He said: we see problematic aspects in this balance. Wouldn't the judge, despite my denial, feel called upon to do something with the penalty if it were brought forward by the victim? I know D66 as a party which is more than an average emphasis on independence, but also on the quality of the judiciary, and I think that we really must rely on the quality and independence of the judiciary in this respect. I think that the Dutch courts are able to deal with this carefully and wisely, and where that is possible, where the judges are guessed, I can imagine that they might want to explain again in the relationship between the victim and the judiciary why they could not or would not have followed that measure of punishment, if they had already been able to do so within the framework of the law. I do not see the risk of emphasis being placed on the aspect of retaliation. I don't think that's the issue. Nothing changes the role of retaliation in our criminal justice system. The only thing we are doing is to lift the restriction that we now have and which we imposed on the victims for good reasons. We are removing them, because we see that with this limitation we are achieving a counter-objective. People who use the right to speak feel severely limited, are very disappointed and speak of censorship. At the same time, we know from the evaluation study, and I would also like to point out to Mrs Strik............................................................................................................................................................................................. We must therefore realise that if your Chamber were not to support this bill by a majority, it would actually say that those victims would not get the extension they would like. I think I have also made it very clear in the debate that in my opinion there is no change whatsoever in the justification requirements that we have in the current criminal proceedings. There's no change in that. In reply to a question from Mr Engels, I have already said that, as far as I am concerned, there can be no change in any compulsion or pressure whatsoever in relation to that obligation to state reasons. I would like to thank Mrs Beuving for the compliments she has given me. Mrs Strik has indicated that she is going to do her best to convince her group. If she needs help, I am always willing to be there. I'm assuming that won't be necessary. I look forward to the final voting behaviour of GroenLinks. I would like to point out that I was also able to count on the warm support of GroenLinks in the House of Representatives, in the end, because that too has not gone without a fight.
ParlaMint-NL_2016-04-05-eerstekamer-4.u97	I'm here to deal with the bill. Does one of the Members wish to vote? That's the case. Then I suggest we vote on the bill next Tuesday.
