ParlaMint-NL_2016-01-20-tweedekamer-6.u1	I would like to welcome the Minister for Security and Justice. I call Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u138	I understand that the Minister is now saying: I was a little careless in my choice of words, because by "non-activation," I actually meant the same thing as "ending cooperation." But that is simply not in line with the wording chosen by the Minister. For the sake of clarity, I am going to read it out again: 'That is why Mr Maat has been put out of action today and why it has been established that cooperation will be terminated'. "Today has been put off the agenda": that has already been done. And 'the cooperation will be terminated': that is something that is going to happen in the future. Then the Minister cannot say here: with those two wordings I meant exactly the same? By the shape in which he cast this he himself indicates that it is two different things.
ParlaMint-NL_2016-01-20-tweedekamer-6.u139	I understand very well that this textexegesis leads to Mr De Roon's conclusion. I have already indicated, also in the letter, that I dealt with the same complex of facts with different wording on that night. I have repeatedly referred to the word 'non-activation', and for me it is the same. What happened then was this: there was a non-activation and an investigation would take place. I reported both to the Chamber. I agree with Mr De Roon that this sentence now raises questions, but the facts are the facts: there has been a non-action and the termination of cooperation for the identification process was decided by the Chief Constable on 10 June of last year.
ParlaMint-NL_2016-01-20-tweedekamer-6.u140	I note, however, that the Minister's account, where he says 'I meant the same thing as ending cooperation', is, in my view, simply not convincing at the moment.
ParlaMint-NL_2016-01-20-tweedekamer-6.u141	I would like to point out to Mr De Roon that there is also simply a legal regime for the termination of cooperation relations by the National Police. That legislation means that only one person is competent to do so, and that is the chief of police. The Chief of Staff took only one decision, namely the non-activation on 22 April and the termination of the cooperation relationship between Professor Maat and the National Police for the identification process concerning MH17 on 10 June. Those are the facts and they are so well known in this way.
ParlaMint-NL_2016-01-20-tweedekamer-6.u142	We have not been on the road for half an hour with this part of the debate and we are already deeply in what I can only characterize as word games. "Non-active" is suddenly the same as "end" and the Minister could not have said "end" because the Minister cannot do so because of legal agreements. The minister just said, "I was overwhelmed by emotions." I don't know when that stopped, but you could imagine that the minister in the chambers just said, "Don't you think that man needs to get out, you can't?', And that emotion has slipped into this again. So I would like to know how many of these kinds of slips have been made, where one word actually means the other, and we should know that, if it says 'the Minister's burden', there is actually no way, because that is not the way it is. How many times has the Minister spoken in this file, possibly overwhelmed by emotion, by using a different word than he actually meant? Can we get that clear now, or else we'll be working on a whole set of word games tonight until about 11:00. I think this debate is too important for that, so it would be a good thing for the Minister if he could just put it up in a row.
ParlaMint-NL_2016-01-20-tweedekamer-6.u143	I don't know any situations other than those we've just been talking about. I would like to confirm once again to Mrs Van Tongeren what I wrote in the letter, namely that there was no doubt in my mind that on 22 April Professor Maat's failure to act was the only correct response to the events as they were. I want to be clear about that, because that's what I really thought at the time. I still think so, because I also eventually joined the Chief Constable's decision to terminate the cooperation relationship for MH17.
ParlaMint-NL_2016-01-20-tweedekamer-6.u144	Then the Chamber will have nothing but to count itself. The first slip, overwhelmed by emotion, concerned the words used by the minister at the time and with which Maat was qualified. The second mistake was that the Minister spoke of 'disabled' and 'end as soon as possible', but we should have understood otherwise. But the Minister did not say anything in the entire file with which he meant anything else? The rest of his quotes and statements in AO's, debates and the media are all factually correct? These are the only two?
ParlaMint-NL_2016-01-20-tweedekamer-6.u145	I cannot, of course, answer Mrs Van Tongeren's question in a general sense. In this debate, in this matter, those are the only two which I can say now that I think I would have done more wisely not to say the same thing in different terms during the debate. However, this in itself does not detract from the facts. The facts are as they are; the inaction took place on 22 April by the police, or on 23 April, and not on the basis of a burden on my part or any discussion.
ParlaMint-NL_2016-01-20-tweedekamer-6.u146	The Minister says we need to talk about the facts. That is what we want to talk about, but the way in which something is said is also a fact. The Minister says that Mr Maat has been held inactive and that cooperation will be terminated later. He says he means the same thing. But we're talking about what was said here today. We don't talk about the intentions; we talk about the facts. Then how is it that the Minister says the same thing? After all, he says: Mr Maat is not active and he is not active. Wouldn't it be weird if that meant the same thing? Can the Minister respond to that?
ParlaMint-NL_2016-01-20-tweedekamer-6.u147	I have already said, also to Mr Omtzigt, that if I had to learn a lesson from the debate on MH17 on 23 April 2015, I think it would have been wiser if I had said the same thing at the time, namely only a non-action as it had become known on 22 April. That is what I am saying to Mr Wassenberg.
ParlaMint-NL_2016-01-20-tweedekamer-6.u148	When the minister opened the newspapers on 24 April, the day after the debate, he could read that a Dutch press office had written that after the expert was turned off, "the controversial MH17 expert" had now been dropped. The NRC, perhaps the minister's favourite newspaper, wrote: in the debate, Van der Steur announced that the collaboration between the anatomist George Maat and the Research Council for Security in the investigation of the disaster was definitively discontinued. A little further, it says, "He's already been deactivated." The Guardian said that Professor Maat was "fired by the Dutch minister." The same was reported by the major Russian press agency Russia Today. Now I know that the Minister has a very large information department. Around the world, the news is that this man has been fired, but nine months we are discussing the fact that the Minister had not noticed. Did the Minister notice that on April 24th, so the next day, the entire world press wrote about the resignation of Professor Maat? Wasn't it thought "hm, we meant non-activation, so will that be corrected"?
ParlaMint-NL_2016-01-20-tweedekamer-6.u149	At least the latter was not conceived, because it did not. As far as the first is concerned, I also heard Mr Omtzigt reading that it was a cooperation relationship with the Security Research Council. I am not talking about how people draw conclusions from the debates we have had. The facts are that there has been a non-action, which the LTFO has also informed Mr Maat, and that an investigation has been started into what actually happened. That investigation resulted in an opinion to the Chief Constable in June. That has resulted in a decision by the Chief Constable. That's how it is.
ParlaMint-NL_2016-01-20-tweedekamer-6.u150	Finally, Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u151	Now we get exactly the same straw, which is well rehearsed, but the question was another one here. On April 24th, the entire world press, like the entire Dutch press, reported that Professor Maat had been fired. That went all over the world in all the smells and colors. This led to letters from experts from many countries to the Ministry asking what was going on here. All those letters also spoke of resignation. Really everyone was talking about firing. Now, nine months later, we're gonna play a word game and tell the minister he didn't fire him and he didn't get kicked out of the team. Why didn't there be any action at the time to make this right? If there's anything in the paper that the minister doesn't like, his department will call the newspaper or the NOS within minutes that he doesn't like the message. Apparently, there was an incorrect message here. Why has no action been taken on this?
ParlaMint-NL_2016-01-20-tweedekamer-6.u152	I can't answer that question. As far as I know, no action has been taken on this because, at least in the relationship between the National Police and Professor Maat, it was not in line with the facts, as I knew it. That's right. Moreover, I later wrote this in the letters to the people to whom Mr Omtzigt referred. Mr. Chairman. I now come to the internal investigation and the ensuing provision of information to your Chamber. I repeat that, as a minister, I am, of course, responsible for all the decisions taken in this dossier. The Chamber can and may address me to that. Where necessary, I will explain those decisions. It goes without saying that I receive all kinds of advice on this subject, but that is not really relevant. I am responsible for the decisions taken under my responsibility, whether by officials, by myself, by the Chief of Police or by the National Police. As I said in last Thursday's letter to the Chamber, it would have been better for the information to be provided to the Chamber if I had requested the unpainted documents from the EPO decision on 12 October, made an independent assessment of them and then made them confidentially available to the Chamber. If you place something confidential for inspection in the Chamber, you must comply with Article 68 of the Constitution and then, of course, be able to justify why this information is kept confidential for inspection. I repeat that there has been no hesitation in sharing information with the Chamber. The problem lies in the fact that this was an internal investigation by the National Police themselves. That internal investigation depends on whether people want to participate in it. Those people are counting on the investigation and the statements they make in it to remain confidential. For this reason, it has been decided not to disclose the internal investigation. That was also considered undesirable by the police. In the discussion on the WOB procedure, I then indicated that I stated that this information would be available to the Chamber, albeit confidentially, because the report did not distinguish between a factual account on the one hand and the judgment, that is to say the personal policy view, of the general commander on the other. How would I have liked to do this differently afterwards, knowing what we know now? It would have been wiser to point out in the decision of the police to conduct that internal investigation that it would be important to have a factual account that would only look at the facts and would not contain any judgment of the authors of the document. The Chief Constable could have attached that fact story to his letter and offered it to me in support of his decision. I could have given this complex of facts to the Chamber in public. My next lesson from this dossier is that if such a situation occurs again, the facts of the case will have to be separated from the findings of the investigation. I would like to point out that the same thing happens in the examination of judgments as in my department when officials advise me. This form of judgment, which is a personal policy concept of officials, should enable the Minister to take a decision. What the Minister then does with that is up to the Minister. In principle, those documents shall not be made public. I am well aware that I took a decision today when I answered the parliamentary questions, which may be called very exceptional, because we have made public all the documents underlying my decision. I think it is right that I should also inform the Chamber that this should be an exception. As Mr Dijkgraaf said yesterday when dealing with the scheme, there is a risk that officials, or general commanders, will no longer write down what they want to write down because of the risk of disclosure. Officials should be free to advise their minister on what they believe should be the right decision of the minister. The same applies to general commanders vis-à-vis their chief of police.
ParlaMint-NL_2016-01-20-tweedekamer-6.u153	The Minister insists that what has now been made public is a risk and that it is an exception. Surely that raises the question of what personal policy ideas of officials have now become public, which we can say: well, that's really inhumane; we really wouldn't have wanted that; but we couldn't have done otherwise, because it was already overwritten with pencil by the professor. What personal policy ideas should not have been made public? Why is this an exception and why can't we just go public in the future?
ParlaMint-NL_2016-01-20-tweedekamer-6.u154	I was not talking about the general account and the form of judgment of the general commanders, but about the documents which I made available to the Chamber when answering questions to Parliament. These are the internal notes that led to my decision-making and the answer to parliamentary questions, i.e. documents from my department. Mr Van Nispen and other members have quoted from those documents which contain judgments and opinions of officials. I decided to make this information available to the Chamber because I also felt it was right to show how I was prepared for conversations and things in this file. However, this should not have precedents for other dossiers or for other ministers, as there is a risk that officials will take account of such documents being made public. Officials should be free to advise their minister.
ParlaMint-NL_2016-01-20-tweedekamer-6.u155	Then the Minister misunderstands my question. On 2 December, the story of the police investigation was kept confidential. In October, 90% of the black painted facts story had already been made public. In December, that was complete, so no longer lacquered, but kept confidential for inspection. The Minister is now saying that he should have done so two months earlier. The question remains why this should be kept confidential. What personal policy ideas in those documents had opposed disclosure, so that we could all have read that there were also exculpatory conclusions for the professor?
ParlaMint-NL_2016-01-20-tweedekamer-6.u156	The exculpatory conclusions for the professor were already included in the Chief of Staff's letter, namely that the LTFO did not have sufficient agreements and rules to determine whether you should have given such a lecture. That is the essence of the conclusions of the General Commanders, the Chief Constable's advisers. They have the same position vis-à-vis their chief of police as an official of my department vis-à-vis me as a minister. I sent the facts report to the Chamber confidentially because I thought it was important for the Chamber to be able to see the full documents, including all the witness statements. I say here that I believe that they should never be made public for the same reason. However, it also applies to the decision-making of the General Commander. That was an advice to the chief of police, which allowed him to do whatever he wanted. I understand very well that the Chamber says she would have liked to see that. She got that, too. The Chamber should have talked earlier, there is no discussion about that. However, its disclosure has exactly the same problem as the disclosure of other notes, namely that it becomes clear how, within the organisation of the National Police or my department, officials are advised to the Chief of Staff. In this particular case, it is the Chief Constable who has finally drawn independent conclusions and who should also draw them on the basis of the opinions. It is also up to him whether or not to follow these advices. I myself felt that I should simply send that complete information, including all the annexes, to the Chamber. I felt that this should be kept confidential because it concerned personal policy considerations of officials under the responsibility of the Chief Constable. I did, but too late. I should have done that in October.
ParlaMint-NL_2016-01-20-tweedekamer-6.u157	The passage which states that cooperation with Professor Maat is to be terminated on the instructions of the Minister of Security and Justice will be blacked out. The Minister says here that this is a personal policy view of civil servants. That is not a policy idea. It's not something you find. It's an observation that you can say she's not right or that you're looking at it differently. We can talk about that, have a debate about it. For Professor Maat exculpatory statements written down, there are no policy ideas. These are facts that you can then have a debate on. What has gone terribly wrong with the exculpatory statements lying on the streets, again, they are not policy ideas and they have indeed come out in the open?
ParlaMint-NL_2016-01-20-tweedekamer-6.u158	This is a question that is addressed in the WOB procedure. However, we must make a difference between the WOB procedure and the provision of information to the Chamber. There is no discussion in my mind about the fact that the Chamber should have been informed on 12 October, confidentially, with the complete dossier and not only on 2 December. That's one. The second point is the WOB procedure and how it provides for handling information based on a personal opinion. That's what it is in this case. It is a document of an individual sergeant who draws this conclusion. It's a personal policy view of that sergeant. That's the reason for the police. It's the police's judgment to leave it out. The same applies to the general commanders. In the relationship between the chief of police and the general commanders, it is considered to be a personal policy view, which is an advice to the chief of police. The Chief Constable's gonna do whatever he wants with that. This should also have been the case in the WOB procedure with regard to my department. I have already said that I am struggling with this personal policy view, and I think it is for the same reason as Mr Segers. In the previous debate on the Oosting Committee, we have already found that exactly the same thing was happening there: information was wiped out because it was a personal policy idea, when it was later said that they would have liked to see it. That is why I have written to the Chamber that I am going to involve an external expert in this. I would like to look specifically at this point in the departmental area, including the National Police and other implementing organisations, at how we can deal with this in such a way that we avoid this discussion, that we have a clearer view of what is a personal policy concept and what is not. I do not want to have this discussion. Because I didn't want to feed it, I gave the Chamber full insight into the documents in accordance with my obligations.
ParlaMint-NL_2016-01-20-tweedekamer-6.u159	If the minister wants to keep an official out of the wind, he can paint his name black. I can understand why you do not want internal debates to be placed here by name and by name. However, the picture that is emerging is that everything that is difficult for the Minister, namely information about the Minister's responsibility in ending cooperation with Mr Maat and the exculpatory statements, has been blacked out. It'll be brought out. Then the picture is that everything that is difficult is painted black and that everything that supports the first version of the minister is sent out? That's not a discussion about personal policy ideas, is it? It is really a discussion about imaging and the question of what story you want to bring out. That is the debate now, and that is not the debate we should be having. The facts should be on the table and we should be able to debate them.
ParlaMint-NL_2016-01-20-tweedekamer-6.u160	I agree with Mr Segers on the facts. As I have already said, I should have asked the Chief Constable afterwards to organise the assignment of general commanders in such a way that the factual account would be available to the Chief Constable as an annex to his letter to me without personal policy considerations, conclusions and judgment, so that it would be correct in the line. With regard to the provision of information to the Chamber, it does not play out, because I have made the documents available to the Chamber, completely unpainted, with all the details, albeit too late for the record, because I should have made that assessment on 12 October and not on 2 December.
ParlaMint-NL_2016-01-20-tweedekamer-6.u161	I am now a little hesitant about what I have to go through, because I find the answer to Mr Segers unsatisfactory. On the facts of the case, it is rightly said that it is exculpatory for Professor Maat. At the same time, the Minister used the phrase in his reply: "From 2 December onwards, the file can be included in my knowledge'. The Chamber has requested that account of the facts. The minister didn't want to see it. The minister was aware of different views within the police about the functioning of and consequences for Professor Maat. The minister didn't want to see it. The media submitted WOB requests. The Minister still didn't want to see the facts. This leads me to suspect that the Minister simply did not want to know the exculpatory statements himself.
ParlaMint-NL_2016-01-20-tweedekamer-6.u162	That is certainly not the case, because I have no problem with exculpatory explanations at all. As a minister, I am allowed to regularly inform the Chamber that things have not gone as they should. I want to be completely open and transparent in this. That is also the only way it works, but we are dealing here with the division of responsibility. I repeat that Article 27 of the Police Act is very clear on this: the Chief of Police is responsible for the management of the National Police. This means that everything that happens under his responsibility is of course under my responsibility, but I do not need to see all the policy documents that the Chief Constable asks for to be able to conduct his own policy. There's the difference. I never got the document either, and I didn't think that was weird at all until 2 December, because it was part of a trade-off that the Chief Constable had to be able to make in complete independence. He did. I can trust that the Chief Constable will inform me fully and the letter of 10 June shows that he has done the same with regard to the facts. This shows clearly what was exculpatory for Mr Maat, namely that there was not enough regulation and that there was not enough thought about what you could and what you could not do. At the same time, the Chief Constable himself draws conclusions. I hear Mr Sjoerdsma saying that Mr Maat is being completely exonerated, but that is not the way the facts are. The general commanders note that the presentation should not have been given at that time, not for that target group, with that content and not with that organisational principle. They themselves conclude that Mr Maat is certainly responsible, not only for him as an individual but also for the organisation. Later, they advise "That's a personal policy idea with the police that I understand "That should not have led individually to consequences for Professor Maat." But that final judgment is really up to the Chief Constable.
ParlaMint-NL_2016-01-20-tweedekamer-6.u163	In the debate on 23 April, the Minister used the phrase "end of the working relationship." Mr Omtzigt has already referred to this. This minister is pointed out to be inconsistent in the investigation by policemen, MPs and the media. I ask the Minister why he didn't want to know the facts. Why didn't he want to know the facts found? Why didn't he ever ask?
ParlaMint-NL_2016-01-20-tweedekamer-6.u164	That's what I just said. Because it's not my job to ask the Chief Constable to back up what he informs me about as a minister. The Chief Constable's letter of 10 June is a well-balanced letter in which the Chief Constable indicates what did not go well and what his opinion is about Professor Maat's performance. He's drawing a conclusion from that. Then I don't have to ask the Chief Constable what's under there. That's not how the system works. I do not think it should work like that either, because then we really cannot work in the relationship between the Minister and the Chief Constable. The Chief of Staff is responsible for 60,000 personnel. It can't be that I ask everything: can I see the underlying pieces? It's just not like that. In retrospect, we should have done this differently with regard to the facts; that would have made my life considerably easier.
ParlaMint-NL_2016-01-20-tweedekamer-6.u165	It is not about the Minister's life, but it is about how the Minister deals with citizens in the Netherlands who are subject to a police fact-finding investigation. He's sending this out blind on October 12th. Blind says the Minister: This is how I inform the Chamber and I do nothing else. Page after page: black. He saw that before he sent it to the Chamber. Was there anything else in the minister at the time that said, "Hm, I'd like to know what I'm sending black to the Chamber?"
ParlaMint-NL_2016-01-20-tweedekamer-6.u166	As I have said: on 12 October, when I sent this to the Chamber in accordance with my earlier commitment, it is therefore quite understandable why it happened. I should, of course, have made an independent assessment of the provision of information to the Chamber after I had fully requested it. The conclusion should have been, as I did on 2 December, that I should have sent the whole piece to the Chamber confidentially at that time.
ParlaMint-NL_2016-01-20-tweedekamer-6.u167	I'm sorry I'm going to have to ask you a few times here, because this is what he's doing with the report on October 12: it's just black. On 2 December the Minister took a new decision. He doesn't say he's gonna make this part public, for example the facts story and the rest confidential. No, he does everything confidential. And with that, he's doing something vile. This is because he says to us as MPs: you cannot talk about it, otherwise you will be treated as Mrs Voortman in this Chamber. Then you will be punished for violating the confidentiality rules. So where Maat was publicly punished, up to Russia, and it was big in the media, the MPs were told that they could see it, but that if they told anything about it, they would do something wrong. Why didn't the Minister then make the whole of information public rather than on the basis of the WOB, so that it could be publicly assessed? Please note, the Minister gets wet by objection and appeal from the WOB and then becomes more public. Or does the Minister not agree that this kind of thing should be possible in public?
ParlaMint-NL_2016-01-20-tweedekamer-6.u168	I think the Chamber should be informed. That can and may be confidential. I explained why this document is confidential. That has to do with the investigation that has taken place. It also has to do with the personal policy views of officials, including general commanders, who served to advise the Chief Constable. That is why I sent the document to the Chamber too late, but completely without any care whatsoever. If then the Chamber says it wants to discuss it further, we could have had that debate. That has not happened, but it has been overtaken by the fact that Professor Maat himself has made a large part of the business public. Then I said that I would also make them public in relation to the debate in the Chamber.
ParlaMint-NL_2016-01-20-tweedekamer-6.u169	The Minister says that we could have had the debate. The problem is, however, that we could not have the debate because the piece was secret and we were not allowed to quote it. The government's policy on confidential information states that the confidential provision of information presupposes that the importance of the public provision does not outweigh the protection of the interest of the State. Confidentiality in our constitutional relations should be an exception and disclosure should be the rule. Parliament should be able to carry out its supervisory tasks as openly as possible. Where possible, therefore, information is provided publicly and generously. That's in Room 28362, no. 2, the memo on Article 68 of the Constitution. The cabinet is the government's saying it should be generous and public. The Chamber understands very well that a number of statements of witness are not fully public, but the facts are shared by the Minister? It should have been sent to the Chamber publicly on 2 December so that it could have been discussed publicly in a debate. We cannot put confidential documents on the agenda of a public chamber meeting.
ParlaMint-NL_2016-01-20-tweedekamer-6.u170	The last point, of course, I agree with Mr Omtzigt. The Chamber must be informed and this can be confidential or it cannot be confidential. That consideration is always difficult in this case. I have chosen for good reasons to inform the Chamber confidentially with the complete document, with everything. However, I did mention the fact that I should have had another discussion with the National Police about the facts so that it could have been part of the Chief of Staff's letter to me and that I could have made that public in the letter, as I have also made it public, to the Chamber. That's what I said earlier.
ParlaMint-NL_2016-01-20-tweedekamer-6.u171	I'd like to go back to the working relationship, the working relationship with the chief of police. In my view, the Minister is saying two contradictory things about this. On the one hand, the Minister says that there are 60,000 people working and that this official takes his decisions and gives his advice and that he is able to obtain all the underlying documents from the minister who takes over the minister and not from every point of view. He didn't do that in this case. It shall adopt an opinion or a decision or notification. Then the Minister says that in this case, in retrospect, he should have done it differently. What will be the line of this minister in the future? Is he going to use his political instincts and indeed ask for and study the underlying documents in some cases, or is it his first statement that the chief of police is about that and that he cannot interfere with that?
ParlaMint-NL_2016-01-20-tweedekamer-6.u172	In the relationship between the chief of police and the minister, I must be able to trust him, and that is what I am doing about the statements made by the chief of police. I'm not going to and I can't function if every letter the Chief Constable writes to me has to ask me what the underlying pieces are and ask me to show them. Then the Chief Constable can't function either. We shouldn't want to hang out like this. Another point I should have made is that I should have asked the Chief Constable to take into account that I spoke in the Chamber about the investigation. "One has all questions about how it came about, so make sure there is a document that you can add to your decision for me and that I can forward it to the Chamber." I would like to point out that the letter of 10 June from the Chief Constable to me, which has been made public, contains a very careful consideration. In the end, the Court sees that in the documents the factual material, not being the incriminating or exculpatory personal policy concept of the general commanders, was properly communicated to me by the Chief Constable and then also communicated by me to the Chamber in the letter, also the exculpatory part; the fact that there were no agreements.
ParlaMint-NL_2016-01-20-tweedekamer-6.u173	I'm just gonna peel it off. We have now heard from the Minister that it should not have "extremely inappropriate and distasteful." We have heard that "non-active" is actually another word for "ending a working relationship." Now we hear that in this case the Minister should have asked the Chief Constable: do an underlying piece in which the facts stand. We do not yet know how the Minister will decide in the future, on which dossiers he will or will not do so. So I would like another answer to that. This is the third debate in which we are discussing similar issues. How is the Minister going to ensure that he is not standing here again next time with the observation: should I have asked for that justification?
ParlaMint-NL_2016-01-20-tweedekamer-6.u174	Of course, I can't see into the future. It is clear, however, that in situations where there is a clear wish from the Chamber and a commitment from me, I want to ensure that I can provide that information at that time. Now it could not, because it really was an internal investigation, which was only meant to advise the Chief Constable on his decision, which then informed me again as it happened.
ParlaMint-NL_2016-01-20-tweedekamer-6.u175	The Minister indicated that the black paint is done to make policy ideas of officials illegible. I have here an example of such a black painted piece: 'Research has shown to me, rapporteur, that there is a 'presentation for colleagues' on intranet. In this presentation there are no photos that can be traced back to victims. On intranet it can be seen that the message was changed on 9 April." That's one of those sentences that's painted black. What does this phrase say? This sentence says: Professor Maat made use of a standard presentation and did not go beyond his bounds. That's what it says, exactly. The presentation is ready. It's visible to insiders on intranet. If you blackmail that, then in fact Mr Maat's exculpatory statements are being blackmailed, not a policy view of an official.
ParlaMint-NL_2016-01-20-tweedekamer-6.u176	Mr Bontes is absolutely wrong about that. That reference is a reference to the presentation I sent to the Chamber with last week's letter. That is a completely different presentation from the presentation given by Mr Maat. By the way, I first discussed with the family detectives and the Stichting Vliegramp MH17 if I could send that presentation to the Chamber, because you have to deal with it very carefully. That is a completely different presentation from Mr Maat's presentation. In this presentation there are no photos that can be traced back to victims. There are no photos in it that can be experienced as shocking. There are photos of victims you see remotely, but those images are also known from the media. It is important that Mr Bontes also knows that there is a very big difference between the presentation available on the intranet and which the Chamber knows by now. This presentation would never have caused any fuss. Nevertheless, I felt that we should ask permission from the next of kin to send that presentation to the Chamber.
ParlaMint-NL_2016-01-20-tweedekamer-6.u177	If that's true, I don't know, but suppose that's why you're gonna paint it black? You can't explain that, can you?
ParlaMint-NL_2016-01-20-tweedekamer-6.u178	That's a trade-off the National Police has made in handling the WOB request. That is now the subject of a procedure. I don't think it's a good thing I'm walking away from that. However, I have already said that, under the guidance of an external expert, I would like to discuss personal policy ideas, including within my department and all the implementing organisations, because, precisely because of this discussion, which we are actually having for the second time, I would like to ensure that this discussion no longer takes place. I therefore agree with Mr Bontes.
ParlaMint-NL_2016-01-20-tweedekamer-6.u179	In the short time we have had this debate, I have heard a few points which I would like to pass very briefly. First, there's the dismissal decision. The Minister says that the police are responsible for this; as a minister, I have not interfered in the substance of this matter. Then we get the letter from the Chief Constable of 15 June in which the terms "not discreet" and "not careful" appear. The Minister says that this is entirely on the charge of the Chief Constable; I did not interfere with that. And then 90% of the pieces, including the Professor's exculpatory conclusions. According to the Minister, the police did. Up to three times, the Minister fills up the police. How does the Minister see his responsibility in that regard? And exactly what involvement has he had on these three points? Has he controlled anything at all? Or has the police really come to these decisions in complete freedom and responsibility, and are they therefore on the responsibility of the police themselves?
ParlaMint-NL_2016-01-20-tweedekamer-6.u180	I find it very difficult for Mr Van Nispen to say that I refer to the police over and over again. Those are the facts, but I am entirely, completely and from start to finish politically responsible for everything that happens within my department and within the National Police. So I would like to take away the suggestion that is being made now, that I have only taken one second away from it. That is not the case. That is what I started the debate with, and I repeat it now. However, the police are an independent administrative body within the framework of the Public Administration Act. It also has its own legal personality, as Mr Van Nispen knows without any doubt. This means that the police have their own responsibility, which is governed by the Police Act. I'm still responsible for that, but the Chief of Police and the National Police have their own responsibility. That's why I'm referring to that. The police make their own decision about the WOB procedure and I'm responsible for it. The police make an independent decision about whether or not to end the cooperation relationship with Professor Maat for the identification process MH17. I am responsible for this, but it is decisions that are taken by the police on the basis of the law and on the basis of the division of responsibility that we have. And then the last question: no, I didn't exert any influence. I didn't give you any trouble or any clues as referred to in Article 31 of the Police Act. Nor have I given any instructions regarding any decision. I have already said that on 22 April there was consensus within the department on the decision of the National Police to deactivate Professor Maat. By letter of 15 June, I supported the Chief Constable's decision to end the cooperation relationship with Professor Maat for the MH17. I informed the Chamber on that date as well.
ParlaMint-NL_2016-01-20-tweedekamer-6.u181	The Minister rightly acknowledges that he is fully responsible for the situation. This brings us to a very important point, namely the involvement of the Minister and the actual denial that he has in any way steered anything. Because that's how I just asked the question. The Minister therefore did not interfere with the terms "non-discreet" and "not careful" as found in the Chief Constable's letter. Nor has he interfered in any way in coating away exculpatory conclusions. I'm going to raise the question even more. Has there been anyone in the ministry who has taken it up for the Minister and thought: given the emotional remarks about the professor on 23 April, it would be more convenient if certain exculpatory conclusions were painted away and if the Chief Constable's letter states that it is not discreet and not careful? Can the Minister rule that out?
ParlaMint-NL_2016-01-20-tweedekamer-6.u182	We have given full opening of cases regarding the creation of the Chief of Staff's letter. The Chamber knows exactly what was changed there. By the way, when I speak of "me," I also speak on behalf of all my officials. That means I didn't have any influence on that. A question has been asked. It has also been read out by Mr Omtzigt or Mr Sjoerdsma in the first term of the Chamber. It is also clear from the documents that have been handed over. That's how it happened, and that's how it happened. I asked the Chief Constable myself: did I put pressure on him? He said, "No, I've made a decision on my own. And that's the way it should be.
ParlaMint-NL_2016-01-20-tweedekamer-6.u183	I'm curious to hear the story about that letter from Chief Constable Bouman, but I have a brief question for the Minister. Isn't it annoying to find that the whole world doesn't see well that the term "the relationship has ended" means "disabled"? Is it not annoying that the whole world does not see well that the Minister is fully informing the Chamber but thinks 'yes, but that is not information' and that everyone here really thinks that it should not have been confidential from 2 December? So we don't understand the Minister, all of us. We find it very unfortunate that someone should be publicly condemned and that the exculpatory information should be made available in a secret place where we should not even take notes. This is a pattern. We really live in a completely different world than the Minister. I'd like to know what the real world is and what the fake world is.
ParlaMint-NL_2016-01-20-tweedekamer-6.u184	I think Mr Omtzigt and I live in exactly the same world. I am not talking about the conclusions that others draw from the actual course of events. If Mr Omtzigt says that he finds it difficult to follow my reasoning, I find that very unfortunate. So I will do my best to change that.
ParlaMint-NL_2016-01-20-tweedekamer-6.u185	My world is that all the media and the entire House of Representatives saw that Professor Maat was fired. I can find over a hundred newspaper articles with the word "dismissed" or "dismissed," but the Minister says: no, it was "non-active." My world is that this is not information, but the Minister says this is information. My world is that confidential access was given on 2 December and that we are no longer able to speak with it. The Minister's world is that we can have a debate with it. We can't. I hope the minister gets into the real world soon.
ParlaMint-NL_2016-01-20-tweedekamer-6.u186	Now Mr Omtzig paraphrases what I have said wrongly. I informed the Chamber by 2 December at the latest as I thought I should, so with full opening of cases of everything that was in the file. I should have done that earlier, namely on 12 October. I say that again to Mr Omtzigt. And yes, I also agree with Mr Omtzigt that the lacquered document provided by the WOB was not sufficient to inform the Chamber. That is why I restored it on 2 December.
ParlaMint-NL_2016-01-20-tweedekamer-6.u187	Between the nose and the lips, the minister mentioned the letter from Chief Bouman who had consequences for Professor Maat, namely the termination of the relationship. There are three versions, two drafts and a final version of that letter. Now it is a coincidence that the draft does not contain a conclusion about Professor Maat and that the final version ultimately concludes that the cooperation will be terminated and that Professor Maat has gone out of line. Many of my colleagues have asked you what actually happened there. Your answer was: my ministry asked only two clarifying questions. That was your answer then.
ParlaMint-NL_2016-01-20-tweedekamer-6.u188	Through the chairman.
ParlaMint-NL_2016-01-20-tweedekamer-6.u189	Yes, Mr. Chairman, I need a run-in. The Minister's answer today is that one of the clarifying questions was: "The first four bullets of the observations are not reflected in the follow-up. In these observations Maat is to blame, but what is the follow-up? For example. no longer used his services, contract terminated (if he does)... in any case appropriate to how he is connected to LTFO." I would not call that a clarifying question, but a heavily guiding question. Does the Minister agree with me?
