ParlaMint-NL_2016-09-29-tweedekamer-10.u1	I would like to welcome the Secretary of State for Finance. Speaking time is four minutes.
ParlaMint-NL_2016-09-29-tweedekamer-10.u149	I can see that Mrs Vos is at the interrupting microphone, but I would suggest that the Secretary of State first walks through the groups. Members will then be given the opportunity to intervene.
ParlaMint-NL_2016-09-29-tweedekamer-10.u150	Then we have the third grade. That's the group that doesn't have any certainty yet. I've only received all the negative qualifications about the IRS. I can tell you that, when I sit at the table with the sector leaders, I myself experience that these are willing, service-giving and extremely expert people. Every time I see them, I'm actually impressed. Group three is the group which, of course, is not very easy, because those are the people who function in the grey area. They are almost without exception well-intentioned clients and contractors, but they make proposals that do not fit within the law. They say, "This is how we used to do." Then we say: yes, but then perhaps we need to think about it in a different way. I will come back to it, but I would like to make the following point. Several spokesmen have spoken about the lead time. That lead time is all my fault. It's not a problem to get a lead time of a week or two, but then "no" is "no." In the beginning, of course, there were a lot of these model agreements that were delivered as mandatory employment. No one was trained in this field. Then it's very easy to say "no." But it was me, not the Tax Administration, who said: let's not focus on the shortest possible lead time, but let's focus on clarity. Let's get in the backup position. This is a labour law that is not easy. We haven't been practicing that for the last ten years either. Let's get in the backup position! That means you're not just indicating what's wrong with it, but you're also indicating how it could be. The IRS is not an advisor, but it does have the mission to explain how the law works, what can and what cannot be done. And sometimes such a company takes that home for another two weeks and goes there on puzzles, goes to talk to contractors or clients and then comes back with a version. At some point something comes out. That process is accelerating. I'll get back to you. It is striking that the capacity to deal is going to increase, but we are also seeing the fact that it is also helping to improve the quality of the contracts submitted. The market is learning. We're learning with each other. We also have to see how this group is doing before 1 May. I really think it's too early for conclusions, but I'm telling you honestly that I think a socially accepted outcome is more important than a date. I have a date and I see no reason to pull the wheel halfway through the implementation here. I really think it's too early for conclusions. We're working on some sectors. There are sectors where we are just about to sign a number of things that can pass through. But in the end, an orderly process and clarity are more important than a date, precisely because it is not a matter of notorious abusers but of all good people who are now discovering that they have forgotten what labour law demands of them in the last ten years. That is why I would like to reiterate the commitment here. Where there is no clarity, there are no fines. I say to Mr Van Weyenberg that this also applies to the client. And I say in the direction of Mr Omtzigt that there are no post-taxes either. That doesn't fit. If we are still in discussion here, if there is any uncertainty, if the discussion is still ongoing, "if it is preliminary consultation," as it is called with the Tax Administration, then there is no enforcement, so there are no fines and no post-tax charges for the client and contractor. That would be bullshit. It's not helping either. It would at least be socially disruptive. That's third grade. I'll come back later on to the acceleration of that handling. However, I do so in the third block. Then I have one group left. That is the group that has been given some clarity. But that clarity was disappointing. That clarity meant that out-of-work work doesn't go this way. That group seems limited in size, but is, as I said, more diverse than expected. I think this is the most painful part of the journey. It's about those benevolent parties that are now finding out that it wasn't okay all this time. In this Chamber, too, there are differences of opinion, but let me mention the examples that I thought were: I understand. Take the teacher in high school. It is scheduled, judged by the rector and is part of the regular program. In the story of the team it came back that there was a leader of an educational institution who said: this is very bad for us, because we had just decided not to employ the teaching staff anymore. It's complicated. I also mention the nurse in the hospital who replaces on a temporary basis. Is that an entrepreneur? I have teachers and nurses in this society very high. For me, they're at the top. I'm always called a schoolmaster myself, and I'm proud of it. But they're not entrepreneurs. This is not what the entrepreneurial tools have been developed for. Is the ICT user who sometimes goes to the same client for years and under the authority of the project leader of his client works an entrepreneur? Sometimes it's about rare expertise, not a bad word about it. After that, there can be another job with someone else. But is such a person an entrepreneur? The same goes for the driver on the boss' truck who drives a regular route. With this group the question is very much: is the Tax Administration's judgment correct? As I said, let us be patient, at least until the Boot Committee. The Tax Administration is testing everything with highly trained experts, according to my observation. I refer to the second reading by the UWV and the review by the Boot Committee. We all know what comes out of that. I'm sure they'll be a little too flexible here and a little too strict there. Then so do we. The Tax Administration will not be flawless, but at some point it is clear what is in accordance with the law and what is not. That fourth grade is complicated. What are we going to do about that? The conversation with this group is not over in many cases. Sometimes something can't, but the client and the contractor also have to turn a button in their head. We also see this happening in practice. If you set it up as a job, it'll soon become a job. If you set it up as an assignment, it'll soon become an assignment. You can take orders as an entrepreneur. You can bid on it. You can either refuse them or take them. An assignment that is formulated as something that you earn rather than as something that you perform is something quite different from something that you decorate as a job. That button has to be turned sometimes. My observation in the various branches is that these groups have not yet been discussed with the Tax Administration. Many people from the fourth grade, the group who received "no," will go to group two, in the vein of: this is how it can be done, this is a model agreement within which you can do so. Those are the groups, and I'm sure there are questions about that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u151	I think so, too. I call Mr Omtzigt.
ParlaMint-NL_2016-09-29-tweedekamer-10.u152	In case we had missed that: it is a law that entered into force on 1 May and many clients who already state: we no longer hirezzp'ers, because we are afraid of the situation after 1 May 2017. The Secretary of State says, "I don't mention dates, I don't mention anything." We're seeing hiring right now. Well, that makes sense, because you sometimes provide such a lease for a few months. For example, if you have to solve an ICT problem with the Tax Administration, it usually doesn't work within a day or two. When does the Secretary of State think he has taken stock of these problems? Apparently, he's come across some serious problems. When will we have certainty about all the model contracts that have been applied for? I assume that the Secretary of State is about to promise that at least the contracts that have been approved will be made public. That's a date you're gonna need.
ParlaMint-NL_2016-09-29-tweedekamer-10.u153	We're halfway there now. We knew this would be quite a solid journey, because we are going to give security in a very different way. That's why we have gotten into this and that happened in the First Chamber, quite frankly, just at the request of the CDA, which I thought was sensible and embraced, and took a very long time to prepare it, from 1 May to 1 May. So that implementation is now halfway through. The idea isn't that it's all right now, but large parts of thezzp'ers can get to work. This applies to large parts, but there is discussion about a remaining group, group three. The capacity is increasing. I am going to make commitments on this later, because we must, of course, get out of it as soon as possible. I suggest we keep an eye on it. I'll explain later, but there are other logical moments to insert the thermometer to see how fast it's going. No one thought we'd be out in one go. That's why we took a year, and we're halfway there now.
ParlaMint-NL_2016-09-29-tweedekamer-10.u154	That year wasn't just meant for the Tax Administration to get it in order. If you only find out on 28 April 2017 that your way of working is no longer accepted by the Tax Administration as of 1 May and you get a fine, you are immediately out of bread. If people have to hire you sooner, that hiring stop will be in place much earlier. So that transitional year wasn't just meant for the Tax Administration. It was there for the group that needed the time because it had to be different.
ParlaMint-NL_2016-09-29-tweedekamer-10.u155	Sure.
ParlaMint-NL_2016-09-29-tweedekamer-10.u156	Now the Tax Administration seems to be using all year round and at the end we get a lot of stress and, in the meantime, out of assignments, because the risk is no longer assumed. Is the Secretary of State prepared to advance the end point at which the Tax Administration must be ready with all these assessments? Of course, that is not possible if a model contract is submitted on 1 April. The Tax Administration must have that policy clear before 1 January, so that people at least have those four months to adapt. You can't change your business model overnight.
ParlaMint-NL_2016-09-29-tweedekamer-10.u157	That is true, and that is why there has been an opportunity to deliver model revenues from February, when the law was passed. I suggest that we do not make any black-and-white agreements about this, but simply look at the figures occasionally and see what is going on. Of course, there are a lot of entrepreneurs who have been talking for a while. There's a lot of stuff on the way. In that group three there are some who will soon be model agreements of the band. Then it becomes clear where it can be done, but also where it cannot be done. I think a lot of entrepreneurs already know where it can't be done. Sometimes you have a discussion about how it could be done.
ParlaMint-NL_2016-09-29-tweedekamer-10.u158	The more I hear what has to happen, the more I regret that the motion of the D66 senator Alexander Rinnooy Kan was not adopted in the Senate. That motion said, "Wait with this law until you know what you're getting into and don't catch up in case of doubt." The Secretary of State is right: we are not discussing this with his officials. We are always discussing political decisions that we take and which the Secretary of State is carrying out. In that sense, it's a good thing he's standing up for his people. But I really have a problem with hearing the Secretary of State describe all kinds of groups here, while I now see in practice that no model agreement can be concluded with broadcasters, because an editorial meeting is already 'authority'. With someone playing in an orchestra occasionally, there's a conductor, and that's a problem. The Secretary of State has mentioned many of these examples himself. Where "free replacement" is concerned, the example that still brings the least professional expertise shall be extended. Does the Secretary of State agree with me that there is a great deal of room for a different approach to all applications from, for example, broadcasters or theater? I honestly don't care if it's the DBA Act. I'm interested in solving it. Does the Secretary of State agree with me that in future we should also give entrepreneurship a place in the deliberations?
ParlaMint-NL_2016-09-29-tweedekamer-10.u159	The interruptions really need to be shorter.
ParlaMint-NL_2016-09-29-tweedekamer-10.u160	I will come back to the question of entrepreneurship. I'm gonna take a look at the NPO. Let us not make a caricature of it. It's not like you're gonna end up in another bowl once you're at an editorial meeting. I object to it when it is presented so black and white. The broadcasters have four to five model agreements in place which have been skinned. I brought some examples. It depends on how you set it up. I acknowledge, in the direction of Mr Van Weyenberg, that it is possible, of course, to work in broadcasting countries, in all kinds of different roles. It's about how you set it up. If you deliver it again as a product, then you're azzp'er, but you're in the editor's office and you're just reading the weather, then that's something else. The role of the so-called camera journalist can be set up in two ways. The roles of a lot of these groups I have the overviews with me are set in different ways. Sometimes the button needs to be turned, but in some cases it is not possible either. The outcome will be irrevocable that some things cannot. Some spokesmen will say that in their political opinion it is an entrepreneur, but then we do not have a discussion about the DBA. Then the discussion is about something else. I also sometimes think that I would have said it differently myself, but then I will be put back in my place by the inspector. It will come out that some things can't, that other things can only be done in a certain way and that other things often can. That will be the outcome. Let us not speak in black and white images. Let's give this a little time. It's all set in motion. Some things are complicated. The way in which broadcasters operate was not at all according to the current law. It'll take some getting used to. We need a switch. It wasn't all right. The idea is to fix it. Sometimes it falls one way and sometimes the other.
ParlaMint-NL_2016-09-29-tweedekamer-10.u161	We need to change the rules when people who see the Secretary of State and I as entrepreneurs get into trouble. I see that happening in a lot of sectors. I have a specific question. During the legal process, the Secretary of State promised that everyone could make a model agreement; customisation. We are now getting signals that a great deal is being rejected and that many people are being referred to sector agreements. That's often coordinated with unions. Can the Secretary of State repeat here that any client who wishes to have a model agreement reviewed will also be given that opportunity? I am shocked by the Secretary of State's texts, which, of course, could not do so anymore, when he promised in the course of the House's proceedings that it would always be possible. I do not want to be bound by the sectoral agreements, especially because trade unions have a strong interest in this. Unfortunately, these are not always the friends of independent entrepreneurs.
ParlaMint-NL_2016-09-29-tweedekamer-10.u162	Mr Van Weyenberg is such a skilful debater that he does not need to put words in my mouth. Anyone who wants security from the Tax Office in advance on a specific model agreement will get it. I have said that this is very often not necessary and let us see it as an advantage. I'll come back to that later. I'll go with "the steps forward" and "the what?" Let's get back to it. I would like to say to Mr Van Weyenberg that I am going to devote some passages to that later.
ParlaMint-NL_2016-09-29-tweedekamer-10.u163	The Secretary of State will come back to it.
ParlaMint-NL_2016-09-29-tweedekamer-10.u164	I know, but the Secretary of State said that he didn't say this and that I put words in his mouth. I wouldn't dare. I quote: Let us be honest, if every entrepreneur is going to make his model agreement that we are going to have to judge, we have a far too big job. In the explanatory memorandum, it was still agreed that an individual client could submit an agreement to the Tax Administration. That's what I meant. That is not putting words in the mouth but quoting the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-10.u165	The letter does not deny at all that anyone who submits an agreement to the Tax Administration is served. The Tax Administration is a service organization and gives that security in advance. In the next block, I will explain why it would be very unwise for us all to do so, especially for the entrepreneurs themselves.
ParlaMint-NL_2016-09-29-tweedekamer-10.u166	If you do it then, chances are you're gonna get zero on the rehearsal. 4,500 contracts have been filed. Half of them still have to be treated, but out of half of them that have been treated, 1,000 have been rejected. Can the Secretary of State give me an insight into those 1,033 contracts that have been rejected? On what grounds have they been rejected? My second question concerns the following. The Secretary of State began by saying that it was a definition issue. He talked about the law and said: we have to define what an entrepreneur is and what an employee is, so someone with an employment relationship. But I think there's a loophole in the law. There's got to be a category in between. This category should include people who are not entrepreneurs, but who are not employees either. As an example, I would like to mention the interim manager, the professional who is being posted or who is detaching himself, the ICT expert in a very specific field and who hires you if you have a problem. Such people are not entrepreneurs within the meaning of the law, but they are not employees either.
ParlaMint-NL_2016-09-29-tweedekamer-10.u167	I find it very interesting and also stimulating to philosophize about what could be and what the world could look like and so on. I'd like to talk about that outside this room once. But here's what we need to realize. It comes out a little careless, but I'd like to turn it up one little bit. We have a law here. Implementing the law is not only the highest good for me, but that law is also the only guideline for the Tax Administration. If the tax authorities are going to do something else because they think the social views sister or something, or because Mr Van Dijck does this or that, then we have a big problem in this country. So we just have to comply with the law here. I don't deal with labour law. It is not before us at all and it is not. We are dealing here with an organisation that, in cooperation with the UWV, tested by a committee, gives very precise interpretation of the law. Mr Van Dijck believes that there should be other possibilities. I will take note of that, but we are talking here about the progress report of an organisation that is implementing the law.
ParlaMint-NL_2016-09-29-tweedekamer-10.u168	The law, the law... We are the legislative power here. It's up to us to decide what's in that law. We all made up the DBA law here, too. If it turns out that it is not enough because it facilitates false self-employment and frustrates the real independence of the professionals, then we must intervene. The Secretary of State may then sit back and say: yes, the law is the law and we will abide by it. But what is he? Is he Secretary of State or is he Director of the IRS? The latter just abides by the law, and the first is legislator and repairs things when they're wrong.
ParlaMint-NL_2016-09-29-tweedekamer-10.u169	We are talking here about the progress report in which the Tax Administration is talking about the implementation of something that is now the law. Of course, Mr Van Dijck can make changes to the law. But I would just like to say that the law that Mr Van Dijck is talking about is not DBA. There is not one rule in the law that comes from the DBA. Because the DBA just took something away. Yes, I believe it says the progress report after three years, by Mr Van Weyenberg. For the rest, there is no letter in the current law that comes from the DBA. The law referred to by Mr Van Dijck consists of the Civil Code and the very large stack of recent case law. That's what I've got to live for. I have no choice but to speak of that law with respect. If the Chamber in this room changes that law, I'll live like that. However, I am accountable here for how I implement the Court's law. In doing so, I adhere strictly to that law, with all the guarantees surrounding it.
ParlaMint-NL_2016-09-29-tweedekamer-10.u170	Mr Bashir also wants to ask a question.
ParlaMint-NL_2016-09-29-tweedekamer-10.u171	Chairman...
ParlaMint-NL_2016-09-29-tweedekamer-10.u172	Would you like to use a second interruption, Mr Van Dijck?
ParlaMint-NL_2016-09-29-tweedekamer-10.u173	Yeah, you do that. 'Cause I'm almost bouncing here. I hear the Secretary of State say that I am only here to answer for how I implement your law. Now he's making it our law. It's your law, Secretary of State. You presented them to the Chamber under false pretences.
ParlaMint-NL_2016-09-29-tweedekamer-10.u174	Chairman...
ParlaMint-NL_2016-09-29-tweedekamer-10.u175	No, listen. You have said that this fights false self-employment and gives more certainty. But what do we see? It is uncertainty trump card and false self-employment is facilitated. Because the cleaning lady is suddenly an entrepreneur when she says, "If I can't, the neighbor comes."
ParlaMint-NL_2016-09-29-tweedekamer-10.u176	That is absolutely not in the DBA Act; that has nothing to do with the DBA Act. It only abolished the VAR declaration. The assessment of the model contracts is a service of the Tax Administration in various areas, a ruling. But none of that has anything to do with the DBA Act. Labour law and case law have not changed, they are still the same. Now that enforcement is possible, I have to enforce the law as it is. I take note of the different views and opinions on the law. I listen to that with the greatest respect, but I can't change it now. I stand here for the implementation of the law, as the law is now and the Civil Code and case law.
ParlaMint-NL_2016-09-29-tweedekamer-10.u177	The Secretary of State notes that there are major gaps, such as that blanket of the VAR that was pulled away. Now with the DBA, he also finds out everything. The law says that you are in employment when there is a wage, an employer's authority and if you cannot be replaced personally. If one of the three isn't right, especially the last one... but that's the whole problem of bogus self-employment. That's why these postmen are all bogus self-employed. They can tell their boss if I can't, my wife will do the mail. That makes him an entrepreneur. This Secretary of State then says: So be it, it is the law. I don't do false self-employment because it's the law. But then he has to say: this is not right, we have to deal with this.
ParlaMint-NL_2016-09-29-tweedekamer-10.u178	Now there is gradually convergence, because I am slowly beginning to agree with Mr Van Dijck. He's quoting the Civil Code. That's right, because that's the basis. There's a whole stack of case law in there, so it's a little more nuanced. But we obviously agree that it should not only be on paper, but also in practice. If replaceability is "fake replaceability," action must be taken against it. With the expiry of the VAR this becomes possible for the first time. Mr Van Dijck and I are therefore in complete agreement. It can happen that there is something on paper that is actually not being respected at all. Then there is false self-employment. I think we're in agreement.
ParlaMint-NL_2016-09-29-tweedekamer-10.u179	[[Sentence could not be parsed: De wet is zoals die is.]] When we dealt with the bill, the PVV wasn't even there. However, we are now talking about implementation. Turns out what? More than 4,000 contracts have been submitted and nearly 10% have been approved. First of all, the question is why so many contracts have to be submitted. Apparently, the contracts on the Tax Administration website are not sufficient. And why is handling the contracts by the Tax Administration taking so long? What's not going well in there? That is, after all, the implementation. Can the Secretary of State answer that?
ParlaMint-NL_2016-09-29-tweedekamer-10.u180	Yeah, I was just about to. When the law was passed, the Tax Administration had to set up the assessment model contracts department from scratch. The whole idea of assessing employment relationships was, with the inability the VAR gave us, almost no more. So we've set up a professional department of assessment model contracts from the ground up, with specialists. There are now 40, but that was much less in the beginning. That number is growing and slowly professionalizing the Tax Administration. It's true that the IRS had to get into this too. This also applies to companies. In the beginning it was a lot of work, because we all got model agreements that really didn't include entrepreneurship. This process is going on; professionalisation is going on in all kinds of markets. I told you that if this professionalization is going on, I'm not gonna steer it on lead time. Because then it is dealt with digitally: oh, this is not enough, this is not enough and that is not enough. It's easy, but it's not gonna help anybody. I think that many of the proposers of such a model contract have no complaints about the lead time either, because they are also part of the thinking and the professionalisation process. As a result, they also get a few weeks to think about it and come back with something. But that's entirely my fault. That's not up to the IRS. I don't want to hear a bad word about that. It would be much easier for the people sitting there to just answer digitally. They're not people like that, as I described them, but it would be much easier. That's why the lead time is the way it is. In the beginning, we first focused on ten general agreements. Those ten apply to all situations where there are no special branch things. A number of sectoral agreements are also being worked on. Two thirds of the sectoral agreements submitted have now been assessed. There are 43 on the site. All sectoral agreements are on the site, I say to Mr Omtzigt. So a sector can make use of that. In general, the individual agreements are not on the site. The IRS always asks permission to put them on the site. In some cases this is agreed, but in others it is objected to, because the business model is considered to be on the streets. That is exactly in line with the commitments in the Second and First Chambers on public access. In the meantime, there are about 500 individual agreements and there are still quite a few. The remaining agreements are by a large majority, more than 90%, not sectoral agreements but individual agreements. So we have given priority to the sectoral agreements, because more people can make use of them. Of the generation that was submitted before August 1st, there was a WOB request and then numbers came out: 1,964 still had to be assessed, I believe, and of which 600 have been handled by now, the ratio was approved versus rejected one state to two. So there was twice as much rejected as approved. In the generation submitted after 1 August, the ratio is the other way around. There is therefore more approval than rejection. This is because market players themselves handle it smarter and understand what is happening. They have made use of the guidance and information provided by the Tax Administration. Slowly the quality goes up. We must move forward, not more stringent than before and not more stringent than the law, but precisely in accordance with the law. That means there's got to be people. The capacity that is now built up must be from 40 to 60. The remaining sectoral agreements should be given priority so that we have a covering system as soon as possible. Mr Van Weyenberg raised the question which I asked myself and which the Tax Administration has also asked itself: are all these individual model contracts now necessary? If you hear the specialists about this, to what extent does this give extra certainty, are all these discussions worth it, or could this party have worked with a sectoral agreement? If so, the judgment is as follows. That is the opinion of the people who work with it, the specialists. I am expressing a borrowed opinion that I find very credible. Although many individual agreements have resulted in many calls, they have not led to additional certainty. It could also have been done with a sectoral agreement. Shoot through in detail, which I can imagine, after all, you're thinking, "Oh dear, what's going on?" Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, My invitation to clients and entrepreneurs is therefore: use what is on the site. After all, if you stick to that, you get no fines and no post-tax. This applies to the client and also to the contractor. So a lot of these things don't make sense. That is also the opinion of VNO, which I sometimes speak about, and of FNV. They too try to say through their channels that there is no point in shooting through in detail. We can save ourselves a lot of administrative burdens. We can get to work faster and make use of the security there is.
ParlaMint-NL_2016-09-29-tweedekamer-10.u181	In the meantime, have you completed this block as well?
ParlaMint-NL_2016-09-29-tweedekamer-10.u182	In the block "how to proceed?" This is my first point, but I see several people standing at the interrupting microphone.
ParlaMint-NL_2016-09-29-tweedekamer-10.u183	Mr Bashir was interrupting.
ParlaMint-NL_2016-09-29-tweedekamer-10.u184	The uncertainty now hanging over the market has to do with the fact that many contracts are rejected, but also with the lead time. It takes a long time for people to know where they are; people complain about it. According to the Secretary of State, when will we be back? When are we no longer behind on the contracts that still have to be dealt with, but are we just on schedule?
ParlaMint-NL_2016-09-29-tweedekamer-10.u185	The Tax Office is only one of the parties to the preliminary consultation. Clients and contractors should also be able to find each other in such an agreement. The agreement is, of course, submitted in principle by the market players themselves and not by the Tax Administration. It is therefore difficult to predict, but I think that in advance we should focus on the sectoral agreements, on a covering system of sectoral agreements. We should not stare blindly at a lot of those individual agreements. Anyone who asks us to approve an individual agreement will be served. That may indeed have a certain lead time. I'm increasing capacity. I have already made commitments about everyone who is still in that pre-consultation when enforcement begins. My appeal to the market players, as well as those of, for example, VNO, is to focus as much as possible on the sectoral agreements that exist. That's starting to be quite a covering system. A lot of entrepreneurs can work with that. Communication is also aimed at this. It is important to make use of what is there and to obtain certainty from it.
ParlaMint-NL_2016-09-29-tweedekamer-10.u186	The second interruption, Mr Bashir.
ParlaMint-NL_2016-09-29-tweedekamer-10.u187	We all understand that the IRS is dealing with a start-up phase. The organization needs to get in a little bit. Officials need to be consulted. The Secretary of State says he's gonna make sure the capacity is increased. It would be good to agree here that we should do everything possible, for example, to be present on 1 December. This also includes the occasional call from the Tax Administration and saying: if you adjust this point a little bit, then it's okay; then we can speed up a bit. Can the Secretary of State just promise to do that? December 1st is a good date.
ParlaMint-NL_2016-09-29-tweedekamer-10.u188	I am very grateful for the operational suggestions. Some things can indeed be done by telephone; we will certainly use them. Maybe I should put it another way: I find it complicated to make commitments about model contracts that the Tax Administration does not make itself. In the end, it is the market players who do that. I want to do it differently, but I'll get to that. We will, of course, have the results of the review by the Boot Committee. It seems to me appropriate to have it accompanied by an overview showing where we stand. Then the Chamber is the evaluator. Room's checking up on me. She can find what she wants, but I will give her the figures showing where we stand with regard to the sectoral, individual and general agreements. Well, that's for judgment. The Chamber will know what's already there, what's on the site, and what's left. Then we can have this conversation again and I await Mr Bashir's judgment.
ParlaMint-NL_2016-09-29-tweedekamer-10.u189	The Secretary of State says that everyone is asked if that agreement can be published. I get a lot of signals that companies orzzp'ers don't want anything but to be published, but that the Tax Administration refuses to publish. Is the Secretary of State prepared to say here that an agreement is actually published when a company, azzp'er or a group of people says it has been approved and may be published?
ParlaMint-NL_2016-09-29-tweedekamer-10.u190	This is my biggest surprise in this treatment. I'm fighting for disclosure. I would like to say once again that I will call on the Tax Administration to make as much public as possible. The march order of the board of the Tax Administration is to ensure that everyone is asked whether there are any objections and to publish the relevant agreement if this is not the case. I think this is a very important point. I think it is an extremely astonishing observation by Mr Omtzigt, but he will have his sources. I'm going after that. This is really the intention.
ParlaMint-NL_2016-09-29-tweedekamer-10.u191	Before you go any further, I'd like to know how much longer you think you'll need.
ParlaMint-NL_2016-09-29-tweedekamer-10.u192	I'm not going to be much longer. I still have a number of measures to take. I also have general questions. Some of them have been repeated. I'll move on as soon as I can. I come to a second point on which I wrote a few things in the letter, but on which several questions have been asked. We are in the process of assessing labour relations here. Sometimes it comes out that it is possible, but that it is not yet known. Sometimes it comes out that things can't be done or that they can do it in another way. All this has labour market effects. I've joined forces with the Minister of SZW. We have said that we want to assess labour market effects. I want to know, therefore, I am also asking for those reports where there is excessive fear of clients. There are many cases for which the model agreements exist, but the zzp'er bumps into a wall and meets clients who are hesitant. I want to hear those things. That's what communication is aimed at. This is the subject of discussions with industry associations. This is an answer to Mr Ziegs's question and we are invited because we do not want it. Where there is clarity, we must use that clarity. For example, people are asked to report what happens to people who discover that it is really not possible to leave employment and that there is simply an employment relationship. This may be the case with that history teacher, but also involve all kinds of groups in industries. We haven't exactly got that on the retina yet. That's bad. I have agreed with the Minister of SZW that, as soon as we get signals about it, we will go in and see what can be done about it. This concerns labour market effects. It's not in itself about a second opinion. The Boat Committee, UWV and so on already give it. It's not about a helpdesk either, because we have an entire account team standing by. It says on the site how to contact the Tax Office. It is not a question of a complaint counter either, because there is already a procedure for complaints. It's really about the labour market effects. We have to use this period, but also the period after, I imagine, to see where it pinches. 'Cause that can happen. It may be that the law says this, but the labour market has said that so far and that there is a friction there. That's what I want to know. I'm going to invite industry organisations and the like to report these things, because that's what we need to do. The third point concerns the Boot Committee, which is going to look very closely at this. One half of the First Chamber thought, "They're getting too flexible." The other half thought, "They're getting too strict." I'm sure things come out of there. Probably not everything is perfect. The Boot Committee consists of very learned, very independent and stubborn people, so I'm sure she's going to say a few other things as well. You can wait for it. After all, academics are out of control. The committee thinks it will be done in December. I asked her to do so in such a way that I could give some kind of administrative response to the report in which I reported to the Chamber what I would like to do with the review. I aim to send that to the Chamber before Christmas, so that we know what the expert thinks of the review by the IRS and UWV. That is why I have been asked to make a statement to Mr Bashir on the assessment of the model contracts. I would also like to repeat my commitments as follows, just to be sure. Where there is no clarity, there is no enforcement. As a result, no fines and no post-charges are imposed, neither on the client nor on the contractor. Those who comply with the terms of the model contract, even if they are the sectoral ones, even if you haven't manufactured something yourself but you have taken it off the site, I call the benevolent entrepreneurs. For them there are no fines and no aftercharges, not for the client and not for the contractor. I'll put that on the record, too. Furthermore, I have a very full table because I am sitting at the table with all these sectors, not only with those who are stirring in the media but also with those who do not, to hear what is going on, how things are going and what can be done better. I will also hear from the point of contact where the problems lie. In the meantime, that is my daily work; my agenda is full of it. This leads me to another interim report. It is up to the Chamber to decide whether it wants to hold a debate on it. In this next interim report I report the progress of the model agreements, the insights we get from the hotline, possibly the insights into how those groups move, and the results of the review. I hope to be able to send it to the Chamber in December. Then I have all sorts of loose questions. I think I've had a lot of them, but not all of them.
ParlaMint-NL_2016-09-29-tweedekamer-10.u193	At some point it was about the effect on the functioning of the labour market. The Secretary of State said there are no post-taxes if there is no clarity, et cetera. Does this mean that entrepreneurs who are going to hire are actually protected? Does that also apply to the mediators who ensure thatzzp'ers can be hired?
ParlaMint-NL_2016-09-29-tweedekamer-10.u194	Sorry, I don't understand the question exactly.
ParlaMint-NL_2016-09-29-tweedekamer-10.u195	The shorter the question, the clearer, I think.
ParlaMint-NL_2016-09-29-tweedekamer-10.u196	This was very clear.
ParlaMint-NL_2016-09-29-tweedekamer-10.u197	Sorry, it's me.
ParlaMint-NL_2016-09-29-tweedekamer-10.u198	Will there also be a safeguard for the clients ofzzp'ers and for their mediators? Do these mediators also have immunity when a model contract has been approved for azzp'er, so that they can never get into trouble?
ParlaMint-NL_2016-09-29-tweedekamer-10.u199	The word "freedom" was just hanging from the VAR. Protection is a sign that says "100 km/h and on the coming sections there is no control." That's immunity. Safeguard means you'll never get a fine or a post-tax, even if you don't stick to the law at all and you know it. We're talking about security in advance. That is the tradition of the Dutch Tax Administration, which we also see in rulings. There's pre-consultation, you're told what's possible and what can't be done. If you stick to that, you're rid of fines and post-taxes, but a waiver like the VAR knew, which meant that you were allowed to do anything that Our Lord had forbidden, but that you never received a post-tax, we don't do that anymore.
ParlaMint-NL_2016-09-29-tweedekamer-10.u200	As far as I am concerned, that is not the issue of safeguard. Warranty is a surety in advance to give clients the opportunity to hirezzp'ers. If there is such clarity, they do not have those risks and they are protected from these charges. That goes for the client.
ParlaMint-NL_2016-09-29-tweedekamer-10.u201	It's not a safeguard, it's a guarantee in advance.
ParlaMint-NL_2016-09-29-tweedekamer-10.u202	Right. We agree on that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u203	Thank you.
ParlaMint-NL_2016-09-29-tweedekamer-10.u204	I have a very specific question. The point is that the Secretary of State has been arguing for an hour that he is dealing with the laws that exist and that he is trying to respect them properly. That's true. That is why I also want to amend the law, with the aim of increasing the weight of entrepreneurship. I keep wrestling with one point. According to the DBA review framework, it is important for the assessment of employment relations agreements to consider that an authority relationship can be reasonably excluded or in accordance with its implementation. The Civil Code states that a contractor must always comply with timely and responsible instructions regarding the performance of the contract. The latter will be reviewed in the event of a free replacement. In my opinion, this is a large area, but if there is no substitute, it will be tested for the exclusion of any kind of relationship of authority. That doesn't fit with the Civil Code, does it? It states that any kind of control should be reasonably possible in the case of a contract.
ParlaMint-NL_2016-09-29-tweedekamer-10.u205	Some form of control can, there are also all kinds of precise provisions for that. The manual DBA, which Mr Van Weyenberg draws from, has been reviewed by the Boot Committee prior to this whole exercise and complies with the latest case law. It is a little too late for Mr Van Weyenberg to discuss labour law through me now with Professor Boot, when we are actually talking about the progress of implementation. I am prepared to report on this in writing, but let us not have that in-depth labour law debate here, because that is what the lecture hall is more suitable for. I will answer a specific question on this in writing, but then it will be a labour law discussion.
