ParlaMint-NL_2016-09-08-tweedekamer-7.u1	I would once again like to welcome the Minister for Health, Welfare and Sport.
ParlaMint-NL_2016-09-08-tweedekamer-7.u154	When is submission expected?
ParlaMint-NL_2016-09-08-tweedekamer-7.u155	For the vote on the law, as laid down in the Rules of Procedure. But as soon as possible.
ParlaMint-NL_2016-09-08-tweedekamer-7.u156	Good. We have arrived at the end of the first term of the Chamber. I understand that there is still a lot to look up for the answer, so I shall suspend the sitting until 3.55 p.m.
ParlaMint-NL_2016-09-08-tweedekamer-7.u157	Mr. Chairman. Sometimes quite a long time passes between the trigger for a bill and the bill itself. When you treat it, you will see that the reason for it has fallen a little. I'd like to start now. What was the reason for this bill? That was Europsyche. That was a network organization with connected ggz providers. Europsyche had no contract to provide care and no payment agreement with health insurers. The insured persons had transferred their entitlement to the refund, transferred, to Europsyche. The company paid the associated ggz providers with the refund fee received. Most of Europsyche's claims were illegal. The health insurance companies therefore did not grant the reimbursement fees. Europsyche was unable to pay the associated ggz providers due to the lack of reimbursement fees and went bankrupt. As a result, we started to look at what went wrong there in the first place. We have had various debates on fraud. How did this happen and how can we deal better with fraud in the broad sense? Today I get the impression from the debate that we are doing something very new here, as if we are suddenly breaking medical confidentiality. But the natural policy, even more so, the health insurance fund already used this scheme. If you were insured with the sickness fund, the sickness fund could look in a medical file after a careful journey, if there were no other options. When the health insurance scheme became Health Insurance Act, this passed from the health insurance fund, where it was very common, in the kind-of-life policy. The other policy came from the private insurers; they didn't know it because they just made a payment. With that amount, you bought your own care. So actually there is a kind of relic of that old situation, in which we have merged health insurance and private health insurance into a health insurance law. The possibility from the health insurance fund, in which you were finally allowed to look at the file as an ultimum remedium, is simply maintained. From the refund, that has never been adjusted. When we had Europsyche, of course, we did not think: how can we reduce our arsenal? No, we looked into what was missing there. Well, such an arrangement as we have with the natural policies. We could have adjusted it with a ministerial arrangement, but that is not the royal road, of course. The royal road is to do it in a law. Then we can talk about it here. Then you'll have careful law enforcement. So it's not like we're going to do something completely new. This has existed for as long as we know natural policies. Did anything else happen? That question is very relevant. Do we think that we can solve the fraud with this small adjustment altogether? No, this is part of a whole fraud package. We have drawn up a plan of action, on which I shall send the Chamber periodic progress reports. This is just a part of that whole plan of action, which is about additional resources for the NZa, the SZW inspection and the Public Prosecutor's Office. A total of 11.3 million has been added in structural terms so that these bodies can actually act and enforce better. A central care fraud hotline has been established as part of a general NZa hotline. As of 2017, a new approach will be introduced through the deployment of an independent expert physician in criminal investigations; that was the other case. It blew out when Mr Verhoeven talked about independence. In criminal investigations, you can employ an independent expert doctor. There will be intensive cooperation between the IGZ and the NZa as supervisors, the Inspection SZW and the FIOD as investigation services, and the Public Prosecutor and insurers in the Task Force Integrity Healthcare Sector. In addition, there are numerous preventive measures, including a working group correctly declaring, which concerns the medical specialist care and the ggz, the preparation of a handout report suspicions of fraud and clarifying the system of funding in e.g. the ggz by the NZa. Let us be clear: we need to tackle fraud, but this bill did not come from 2013 or 2015. It came from Europsyche, a case that we discussed here, and which we said at the time: crazy that this can be done in kind and with refund not, should we not just align it? The proposal has been delayed, because we have discussed the Borstlap Committee on the NZa, but now we have it here in the end. Fraud must be tackled, all forms of fraud, including upcoding. Upcoding is completely immoral. To say to someone: if you treat a little longer, you just fall into another turd and you can declare more, is completely immoral. I don't know anyone who works at those desks either. I don't know him. If I knew them, I'd say what you're doing is completely immoral. I don't know those desks either. I once asked a few years ago if the NZa could not handle those desks, because these desks are pumping up declarations that we all have to pay, whereas that money should be spent on care. How are we supposed to do that? asked the NZa. Those are private desks and the provider is responsible for what he declares. The provider may be advised by anyone, by his uncle or by such an official office, but ultimately the provider will remain the person responsible for the declaration. We are now handling this along the road of this bill. When we discussed this earlier, including in a debate on fraud, I said to the Chamber: if there are such signals, please report it to the NZa. It's not just the Chamber that doesn't want that. I don't want to, and I can't really understand why anyone who believes that care money should go to care could vouch for that. I checked with the NZa to see how many reports they received. Zero. So yes, there are limitations, but let us be very clear about it: all forms of fraud are wrong. Whether something just falls within the law or out there, you're dealing with it criminally. In the end, we stand for care money to go to care.
ParlaMint-NL_2016-09-08-tweedekamer-7.u158	Mrs Leijten would like to interrupt you, but first I would like to say something to the Minister. I'm not asking you to explain every abbreviation, but a whole carousel of abbreviations just passed one after the other.
ParlaMint-NL_2016-09-08-tweedekamer-7.u159	Those were regulators and investigative authorities.
ParlaMint-NL_2016-09-08-tweedekamer-7.u160	That's not pleasant for the public gallery.
ParlaMint-NL_2016-09-08-tweedekamer-7.u161	Sorry!
ParlaMint-NL_2016-09-08-tweedekamer-7.u162	You only have to walk into a mental health care institution and they use the traffic light system to determine when to declare and when not. That's not gonna fall out of the sky. We've talked about that before. In reply to Parliamentary questions about smart declarations, the Minister said that she did not know "smart declarations," just right or wrong. Can I ask her whether she is saying here: if you pump up your declaration so cleverly that it gets as high as possible, then I think that's already tending towards fraud?
ParlaMint-NL_2016-09-08-tweedekamer-7.u163	I had never heard of the traffic light system before it appeared somewhere in an article. Before that, I was completely unaware that it existed. I think it is an immoral system and I do not understand why a healthcare institution would want to work with it. Pumping up is just wrong for me. It's incorrect declaration. If you pump up a declaration, by doing one thing and double-declare it, or by playing with time, that's just wrong. That's why I'm talking about correct and incorrect. Otherwise, you're gonna get a word game, and I don't think that's a good idea at all. We need to be clear about what we radiate about what we like and what we don't like.
ParlaMint-NL_2016-09-08-tweedekamer-7.u164	That seems clear to me. Let's talk about the traffic light system. I was at work the other day, and you'll see each patient in the file where it's in declaration-handedness. It's all automated. The Minister actually says: I want the institutions using that system to stop using it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u165	We were talking about medical confidentiality, and Mrs Volp also took the oath. You're supposed to treat a patient on a substantive basis. If a patient is ill and needs to be treated, I'd say you need to continue treatment. If a patient isn't sick anymore, you need to stop treating acutely. At least not sick anymore... If a treatment no longer has any added value, then you have to stop. These kinds of systems are systems that pump up claims. That's upcoding. As long as I am a Minister, I have been strongly opposed to this. I don't think that's right. I don't think that's right. I also mentioned earlier: if there are any examples of this, please report it to the NZa. There's a reason we have a supervisor. It must act against it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u166	At that hotline, the highest number of notifications is made about upcoding. Out of my mind, that was 78, but I don't want to mention a wrong number. Are you prepared to ask the NZa in how many cases there is such an automation system underneath which indeed goes against what the treatment should do, namely look at the patient and see if it is necessary to continue yes or no?
ParlaMint-NL_2016-09-08-tweedekamer-7.u167	The most important thing is that the NZa put an end to it. That's the point. These are things we need to fight. That supervisor needs to intervene where he can. If it's up to me, it's gonna get into those desks, too. I asked the NZa years ago, but it says: one can ask anyone for advice, but the institution, the doctor or the person who declares is responsible and we take the person responsible. I thought that was a logical argument myself. Precisely because we want affordable, high-quality and accessible care for everyone, it is unacceptable that fraud and errors make the cost of care unnecessarily high or that patients do not receive the care they need. This undermines the solidarity of our healthcare system. This bill is therefore important. Again, it is not the only solution, but there is a very large plan of action which I periodically update twice a year or once every nine months. Then I'll tell you where we stand and what news we've been using. The Dutch Healthcare Authority is given the power to adopt and enforce rules requiring insurers to provide better overviews of notes, own risk and payments by means of this legislative proposal, and I would like to quote this because otherwise we will only have that last step of those nine steps. She doesn't, so it's important that she gets it. In doing so, it can act against so-called "ghost notes': declarations from healthcare providers for care that has not been delivered. At present, only criminal enforcement is possible. In addition, instructions and administrative actions, such as penalty payments and administrative fines, may be made public, even if they have been followed by offenders. We all think that's important. Many of you have often asked me why an administrative sanction is not made public. With this law, we arrange for it to be made public, even without prior notice. This bill also regulates the security of evidence and the exchange of information between the public authorities concerned. We have also often discussed this in the major debate on fraud: public authorities involved. Mrs Klever mentioned the FIOD. Sometimes it's the DA's office. It may also be the inspection SZW that took on that task for us. As regulators, you need to be able to share information with each other if you want others to be able to act properly. Those are important things in this bill to settle. In addition, insurers are given the possibility to carry out physical checks on a health insurance company in the case of a refund insurance scheme if the invoice goes directly to the patient. Now this can only be done if there is a contractual relationship between healthcare provider and health insurance provider. Like I said, in a natural policy, this has been possible for decades. Exception possibilities of mandatory notification of diagnosis on an invoice concerning mental health care....................................................................................................................................................................................................................................................... Nothing's gonna change that. Medical professional secrecy is very important for the relationship of trust between doctor and patient and thus for free access to care. I have noticed that in the discussion on this bill tension is felt between on the one hand tackling fraud and errors and on the other hand securing privacy and the patient, and that makes sense. That is why I would like to emphasise in advance that I believe that this legislative proposal has struck the right balance. That balance, which has been in existence for a long time, is now applied in full width to the refund policy, precisely because we have now made a very clear statement on what step you need to take before you can take the next one. That is also the opinion of the College on the protection of personal data. In the meantime, it is the Dutch Data Protection Authority, which has given a positive opinion on the legislative proposal. That is an important point for us, when it comes to the balance that is at stake in terms of privacy. There are already strict procedures and safeguards under which insurers are allowed to carry out checks. The inspections by insurers take place gradually to ensure the privacy of the insured as much as possible. Only at the very last step, step nine, is access possible to the medical records. All other steps must be completed before the healthcare provider is required to inspect them. If there are other means of control, which are less burdensome for privacy, then they go for more far-reaching means. The best balance of power is that the provider checks that before giving access to the file. He has every interest in ensuring that these steps have been carried through properly. With this bill, we are equalizing the possibilities of nature and restitution. The legislative proposal incorporates these safeguards around the controls into the law rather than into a ministerial regime as it is now. This is precisely how I ensure better anchoring in order to ensure the position of insured persons and protect the interests of the patient. The health insurer shall only have access to that part of the file with a healthcare provider to which the declaration to be checked relates. So there's not going to be a huge file opened together: look in it and figure it out. No, if you want to know if there has been a consultation at all, you just have to look in an agenda. Then you don't even have to look at the rest. If it is about other things, you only look at that particle that is relevant: only if it is necessary, only through mandatory phase control, only under the responsibility of a medical advisor. Of one million declarations, two and a half are seen on site.
ParlaMint-NL_2016-09-08-tweedekamer-7.u168	The Minister gives a list of a lot of guarantees and reassurances, which I listen to with interest. Will the Minister admit that, in the increasing collection of all kinds of data by various ministries in all kinds of different files and cases, the rent, telephone records and such like is regularly shown that the previously promised limitations, guarantees and due diligence requirements have often not been met afterwards?
ParlaMint-NL_2016-09-08-tweedekamer-7.u169	This can't be compared to collecting phone taps and stuff like that. You really need to go through those nine steps. These steps must show that there are very clear indications that it is wrong. Then you're gonna check it out. You don't look at everything; I wouldn't like that either. You're looking at a small particle. You use that little particle for your supervision and for enforcement. You referred to a debate we had a few months ago. It concerned a position of the Personal Data Authority that had changed because a European Directive had been amended. Data had not been handled sloppyly and data was not shared while it was not allowed. The directive had been changed and the authority said: pay attention, the directive has changed and what you did must not be done now. Now we are looking for a solution to share certain data with each other. For example, if we cannot do that, we cannot carry out the whole risk settlement of our system. Those are large-scale data. These are real data from one patient on a component, only what's needed. So it's not a big data set at one big point.
ParlaMint-NL_2016-09-08-tweedekamer-7.u170	I find this rather naive. The Minister now says: no, you cannot compare this example with all kinds of other things where data is collected, because there is a roadmap and you can only request this small amount of information after going through all the other eight steps. However, we have seen all kinds of examples in the case of rents, in the case of other surcharges, in the case of energy subsidies. For all these examples, there are pre-built safeguards that make ministers and state secretarys with dry eyes claim that nothing is going to happen, that it is only happening in the extreme, that it will happen very carefully, that there will not be any other parties to the information and that it is only a very small amount of data. However, this type of example shows every time it is simply not true. Then it is very good that there are at least two parties in the Chamber who at least feel that they should pay attention when dealing with this law. Then perhaps the Minister could make some of the proposals made by these parties part of her legislative proposal? In this way it may be able to ensure that this time it does indeed work better than all previous times.
ParlaMint-NL_2016-09-08-tweedekamer-7.u171	This has been happening for decades.
ParlaMint-NL_2016-09-08-tweedekamer-7.u172	Yes. The Minister has just argued that, yes.
ParlaMint-NL_2016-09-08-tweedekamer-7.u173	Has Mr Verhoeven seen many examples in which it went wrong at that time? Has he seen this happening massively? It's happened 2,500 times on 1 billion claims. In fact, I am often blamed for having to be much stronger. Also in the Chamber is often asked: shouldn't we be on top of this much stronger? Shouldn't we encourage insurers to do so much more? This is being used very limitedly. This has been deployed 2,500 times while there were 1 billion claims. This shows that insurers use this very briefly. Apparently, they can find the information they need elsewhere during those steps. So it's proportional. I have not noticed that this is being used disproportionately in recent decades or that it is being dealt with sloppyly. Those medical advisers have all taken an oath and, moreover, all of them are subject to professional secrecy. I have not noticed that they deal with this carelessly. I haven't heard from the NZa that things are going wrong. No. And this is already happening in most of our concerns. There's a small portion, with the restitution policy. Well, it's a third. So in two thirds of the care it already happens. In that third part there has been a number of things where the whole Chamber was awake and said: it is really strange that we can do it here and not elsewhere. That is now dealt with in this bill.
ParlaMint-NL_2016-09-08-tweedekamer-7.u174	I would like to make one more point, Mr President.
ParlaMint-NL_2016-09-08-tweedekamer-7.u175	I am hesitant, Mr Verhoeven, because you have been interrupting for a very long time. It seemed like you were holding on to your second term.
ParlaMint-NL_2016-09-08-tweedekamer-7.u176	Oh, my gosh.
ParlaMint-NL_2016-09-08-tweedekamer-7.u177	I'm fine with asking questions and discussing them, but keep it sharp and brief.
ParlaMint-NL_2016-09-08-tweedekamer-7.u178	Clear. The Minister says she has also listened to all kinds of other organisations. In particular, patient organisations indicate that information is very important in advance. They think that's very important. D66 has pointed this out before. How does the Minister intend to make that part of this law?
ParlaMint-NL_2016-09-08-tweedekamer-7.u179	I am still at the introduction, Mr President, so I have yet to answer all the questions that have been asked. I can say in advance that I have tabled a legislative proposal, I have seen amendments and I have already sent a letter to the Chamber yesterday saying that I think what Mrs Klever's amendment says is a good idea. That amendment provides for ex post information. So this isn't in the bill. A number of spokesmen have now also asked during this debate whether the patient is actually being taken into account enough. I also wrote in the letter that this is not the case. The patient is not sufficiently taken into account. I have just been asked by the spokesperson of the VVD whether I want to make a plan of action for this. I'd certainly like to do that. I would also like to make sure in this approach that insurers need to involve their patients much more actively. I have just been asked to take part in the debate; I will come back to one of the steps to make the patient's involvement visible. There are nine steps. Is there any involvement of the patient in that? Let's say an insurance company needs data because he thinks the patient's cheating. Then it doesn't make sense to involve the patient. That is also my objection to information in advance. Let the spokesmen take a look at the results of the inspection SZW. Fraud sometimes plays with the patient, his agent or his mandated desk. You also need to be able to track down this fraud. If an insurer thinks that fraud is at issue at that level, there is little point in informing in advance, because then all this administration is gone. However, I too would like to take the patient with me at a step in the face of situations where it is thought that the fraud is not with the patient, but really with the healthcare provider. In that nine-step plan, the patient can be made visible if possible. After all, that patient can also have information that might be very easy to get. I still have to respond to all your ideas, but here I have had at least a few.
ParlaMint-NL_2016-09-08-tweedekamer-7.u180	I suggest that we wait for the Minister's response to these questions, unless you have a point that has already been raised in the Minister's reply, Mrs Leijten.
ParlaMint-NL_2016-09-08-tweedekamer-7.u181	It's about the road map.
ParlaMint-NL_2016-09-08-tweedekamer-7.u182	But she's gonna answer a lot of questions. The minister is still in her introduction.
ParlaMint-NL_2016-09-08-tweedekamer-7.u183	Yeah, you don't have to get mad at me.
ParlaMint-NL_2016-09-08-tweedekamer-7.u184	I'm not angry.
ParlaMint-NL_2016-09-08-tweedekamer-7.u185	I can do it now. I could do it in a minute.
ParlaMint-NL_2016-09-08-tweedekamer-7.u186	Let's do that. Let us first give the Minister the opportunity to go into more detail about the questions asked.
ParlaMint-NL_2016-09-08-tweedekamer-7.u187	I would like to say something in the debate: the preventive effect of looking at medical records as an ultimatum remedium. If you know that this is never possible, not even as an exception, then it is a kind of free pass, especially for those who do not want the good. Is that in the interests of the other doctors? No, because they get smeared with that, too. They also want that not to happen. The preventive effect should therefore not be underestimated. Does it pay off? Well, the whole scheme of fraud certainly pays off. 2.4 billion was previously rejected in 2015 in declarations. That is all in dealing with the prevention of errors and fraud. It's not all fraud. Mistakes can also be made, but the figure is 2.4 billion. They then recovered 485 million. Add it to that. Then there's 11.1 million in actual fraud. That's a lot of money. If you put that whole tree and everything we put in that plan of approach on that sieve and add it up, then it really pays to be on top of it for insurers; do you pay for something that someone is insured for? So what are we talking about from a patient perspective? We all know the examples of the pgbs, where things sometimes go wrong from the patient perspective. We also know the examples of people who, as it were, have declared additional on the basis. That's a different form. On the supplier side, it's often in declaring things that haven't happened, the ghost notes, which this bill wants to put an end to. There is still a lot of work to be done on declarations that no one has ever had a consultation for. Or something is declared under the guise of someone else. It's about anything that could go wrong with a declaration, I'm just saying. Is that always fraud? I really want to emphasise that one more time. No. That can sometimes be mistakes or things that go wrong, but we have to solve that in the sense of: that is not how we do it with each other. Is access to personal data always necessary? No, not in general. In exceptional cases, yes, and only if that's proportional and you've gone through everything. Do these data have to be linked to the person? Yes, because the control function of the health insurance provider results from the choice of a system of individual health insurance. That's how the system is set up. There must therefore be a strict relationship between the benefit to which the individual insured person is assigned in the light of his state of health. So it may be that you need a certain treatment because your health requires it. You can finally see that balance in a file: the benefit for which the individual insured person is insured under or under the Health Insurance Act, the benefit provided to this service provided by a healthcare provider, the rate charged in connection with that benefit, the amount to be paid by the health insurance provider to the healthcare provider or to the individual insured person for the cost of that service. The health insurance provider should be able to establish that this strict relationship exists before it can reimburse the insured person or pay it to the healthcare provider. That is an incredibly important task for the health insurance provider. He can't do that publicly without creating a giant device for that. If he is unable to do so, then declared care costs cannot also be charged to the health insurance. In order to establish that direct relationship, health insurers carry out formal and material checks on the declarations they receive. This requires the use of personal data, including medical personal data. Insight into the file can only be a last resort. Anonymisation is contrary to the implementation of that insurance contract. It is precisely this implementation that requires clarity about the person who is insured. Anonymised data is unusable for the performance of an individual insurance contract with the insured person. Healthcare insurers should be able to secure data for the purposes of control together with investigative authorities. That is a question which Mrs Leijten has apparently asked the Secretary of State. The Secretary of State has agreed to let us know if a working method is possible. He has entered into consultation with health insurance companies, including DSW, to find out what they're up against. The necessary safeguards shall apply to the security of data. That is why care must be taken. Following discussions with health insurers, it has been found that the NZa is the designated party to secure the data. The current state of play is that Zorgverzekerings Nederland, the NZa and VWS are exploring the options further. It is agreed that if this is legally possible, a pilot will be launched, for which health insurers, in consultation with the NZa, will present an appropriate dossier to further explore this method. In doing so, they will examine whether this method fits within the current legal framework. The Chamber will be informed of this in the autumn. I'm here to talk about job opportunities when accessing medical personal data. A health insurance company may not further process personal data under the Personal Data Protection Act in a manner contrary to the purpose for which the health insurance company has received them. The health insurer may only continue to process personal data for the purposes specified in the law on the basis of the legislative proposal. The health insurance provider is therefore not allowed to use the personal data when applying to the health insurance provider or to other employers, or for something he did not collect them for. Let's face it, the health insurance company has a wealth of information. What kind of medication does someone take? You know that when you have to pay them back. You know very quickly that if someone is taking HIV inhibitors, there is a good chance that the person has HIV. The health insurance company may only use the data for the purpose for which it has collected them, and not for anything else. That is where very high demands have been made. Then there is something extra here, namely that only the medical adviser can look at the data in that very last step and that is also kept to his professional secrecy, or someone who has been mandated by him and who is also kept to that professional secrecy. How does this medical professional secrecy in the legislative proposal relate to the requirements of proportionality and subsidiarity of Article 8 ECHR? The bill limits medical professional secrecy in the case of direct claims to the patient. The health insurance provider uses the medical personal data primarily for the execution of the insurance. The containment already takes place when the medical personal data is mentioned on the invoice. There is no need for fraud signals when carrying out physical checks. So it's not 0.015%. The health insurance companies need the medical personal data for the performance of the insurance contract with the insured person. I believe that the restriction of medical professional secrecy meets the requirements of the ECHR. Of course, the Personal Data Authority is also very good at assessing the proportionality of this legislative proposal, whether we have done it carefully and whether we have looked at everything. I think it is very valuable that they have advised positively on this bill. Can I send the inquiry to the Chamber to which the report of the Task Force on the Integrity of the Healthcare Sector of 29 February 2014 refers? The investigation mentioned there is already in the possession of the Chamber. This is the investigation carried out by the NZa in 2013 and 2014 into the extent of fraud in the care and risks in the system. The Court received the interim report of this investigation in April 2014. The final report was sent to the Court in December 2014 as an annex to the third progress report on tackling fraud in healthcare. The NZa report shows that in 2015 insurers reported only 65 signs of fraud at the Health Fraud Collection Point. Do they take their job seriously? The parties in the Healthcare Sector Integrity Task Force report signs of fraud at the Healthcare Fraud Collection Point. The agreement is that health insurers only transmit signals where fraud has been detected. That is a small part of the total number of signals that insurers are investigating. It is expected that health insurers will report everything as soon as possible, so that it can be automated rather than manual, as is happening now. Healthcare insurers The Netherlands is working with the partners on a solution for this automation. The press release of Zorgverzekerings Nederland shows that in 2015 health insurers investigated a total of 1,045 researchable fraud signals. I conclude that health insurers take their responsibility to identify fraud and investigate seriously. We are working hard to ensure that everyone here takes this task seriously.
ParlaMint-NL_2016-09-08-tweedekamer-7.u188	Do you have a question on this point, Mrs Volp? Go ahead.
ParlaMint-NL_2016-09-08-tweedekamer-7.u189	The Minister mentions an important point, namely the signs of fraud which are not reported in the end, but which health insurers themselves do something about. To what extent is it assessed how carefully they handle this? These are signals that do not end up at the hotline, such as the 65 cases to which Mrs Leijten referred. Now it's over a thousand cases. In fact, this is only a very limited number of one billion declarations. How is the care with which health insurers investigate these cases assessed?
ParlaMint-NL_2016-09-08-tweedekamer-7.u190	The NZa will check that out. The NZa is the supervisor who checks whether the insurer carries out sufficient formal and material checks, so that we can be sure that the premium money also goes to care provided in the basic insurance.
ParlaMint-NL_2016-09-08-tweedekamer-7.u191	Is the NZa investigating all a thousand cases? And if so, where can we find out how she did it and what her findings are about it?
ParlaMint-NL_2016-09-08-tweedekamer-7.u192	The NZa, like the NVWA and the Health Care Inspectorate, carries out risk-based supervision. If she has the impression that this point is not taken sufficiently seriously by an insurer, that there is bad reporting, or that the insurer otherwise fails to do things that he ought to do according to the law, the NZa acts. That's the way the NZa supervises.
ParlaMint-NL_2016-09-08-tweedekamer-7.u193	In fact, I wanted to focus on those things in which they do act and whether they act carefully. I also think that the failure to act is an important point. Perhaps it is even more important that, where they do act, that happens carefully. I would nevertheless like to explain a little bit more about the way in which the NZa does this and how often these random investigations are carried out. What happens when this hasn't happened carefully? What perseverance power does the NZa have?
ParlaMint-NL_2016-09-08-tweedekamer-7.u194	There's an important guarantee. When you finally get to that very last step, the provider is kept to see if the nine steps have gone through. The provider has medical confidentiality. He's been held to that, and he's been held to that now. If the provider has the idea that the health insurance provider just skips out and knocks on his door, the first test will take place there, checking whether this is done carefully. If Mrs Volp asks how many things they are, I should check. Maybe we have that information behind this. Then I'll let her know during the debate. I always think: a system must also have a balance of power of its own. I find this balance of power incredibly important. It is also a kind of guarantee that this is done carefully. The supervisor's the last one. I am told here that the Dutch Data Protection Authority is also monitoring whether the checks by the health insurance companies are being properly carried out. Perhaps I could be briefed on whether we have figures on how often the NZa or the authority actually lights cases to see what comes out of it. I think they're gonna get a call about that. I will then come to the consent for requests for insight into the medical file. Is that really such a bureaucratic task? In 2500 cases, it's always a task. If you do it afterwards, you have the same task, only in a different time frame. Materially, that doesn't make much difference to each other. Take cases where the suspect is not the provider but the patient. Let's say you're going to ask permission in advance. We've had some big cases recently. Then everything is destroyed upon arrival. I don't think that's wise. However, I believe that patients should know much better how it works, what the guarantees are and how one can see it. This has also been demonstrated by the NPCF survey. That is why I think it is an attractive idea, especially after the survey, to inform the insured person afterwards. Then there's the argument that patients can get restless. Mrs. Volp asked, what if a patient finds out afterwards? That can lead to feelings of unrest. That is what I would like to link to the amendment on the plan of action, which forces insurers to do it very carefully and to take patients with them: what has happened, what steps have been taken, what care has been taken? So I would like to connect these two things.
ParlaMint-NL_2016-09-08-tweedekamer-7.u195	We are now at the control steps. We're gonna check in afterwards. In advance, it would be too complicated, because the patient himself could also be the source of fraud. However, the steps do not monitor the physical control of the patient himself. It's all about the provider. I wonder how the BOLO goes exactly. Can you go to a general practitioner with the remark: we have the suspicion that someone wrote a referral and submitted an account for it; can you show that you have referred? The doctor might say, "Go see the patient." Anyway, I don't know. In the Roadmap, the Minister has it in front of him. On step six, the health insurance companies announce that and motivate why they are coming to carry out a detailed check. Mrs Klever's argument that it could hinder fraud because sleeping dogs are being woken up is already in the ordinary control. What would be against giving the healthcare provider an opportunity to provide missing information by step six or by step seven................................................................................................................... I believe that this could, and that would in any case remove a lot of concerns in my group in relation to medical professional secrecy and probably also in relation to people who are following this debate.
ParlaMint-NL_2016-09-08-tweedekamer-7.u196	In this debate on an important subject, I try to reconcile a number of feelings in the Chamber. A number of members feel that it means so much more if the patient can be informed in advance. I take that seriously, because that's what I think is important. I therefore propose, having heard the Chamber, that one step be taken, namely to take the patient if this does not hinder the examination. I combine this with Mrs Klever's amendment, in which everyone is informed about what happened afterwards. I would like to see whether, where it is not the patient but the provider, an "involved patient step" can be inserted into the roadmap. So I'm looking for that compromise. On the one hand, we must not lose anything that we do not want to lose in the interests of fraud detection, but, on the other hand, we must inform where this is possible.
ParlaMint-NL_2016-09-08-tweedekamer-7.u197	I feel like we're getting a little closer, but I'm not sure what "take it" is. Suppose during a physical check-up with a general practitioner or hospital it appears that I am a patient there and that I may need to look into my file. If I'm taken over, I'd like to give permission first. Could we agree that it is in principle consent in advance, that we build it in and that we inform afterwards if we can't? Then we'll get really close. As I said in my first term, you'll get a huge sting out of this bill, which also contains good parts.
ParlaMint-NL_2016-09-08-tweedekamer-7.u198	Permission is not one step but about a whole ditch further. Why? It's about money that we're all raising for the people who need it. If, after all these steps, there is a suspicion that this fraud cannot come out in this way, and if that last step is really necessary, then I think permission goes too far. You can then take the patient with you by explaining how the system works. Then patients will also know better how their rights are secured. This also puts pressure on the insurer to communicate clearly. I want to take that extra step to inform the patient where possible, but permission is just one step too far.
ParlaMint-NL_2016-09-08-tweedekamer-7.u199	As far as I'm concerned, we're not gonna do all the interruptions in threes, but you're negotiating like this, so just finish it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u200	That consent stems from the fact that the sharing of medical data is not permitted now if it is not in the interests of treatment, unless the patient consents to it. We have also had this debate in dealing with the electronic patient file and the electronic data exchange. In addition, we do it in advance. The Minister says that this has served a social interest, namely to ensure that this sort of thing is brought to the fore. I think that consent is actually a formality when it is said to every patient taken by the health insurance company: we have done this, but we cannot get it out of the table, and that is why we would like to get it into your data; can we? It must be said, therefore, that we are doing so with caution and that data is not going anywhere; you have that guarantee. After all, what do you do with a patient who is taken away and says that he is not served by it and that he does not want it? That patient can't rely on anything. I would therefore ask the Minister to take another step in this direction, because I believe that we will really be out of it and that the major objection will then be removed.
ParlaMint-NL_2016-09-08-tweedekamer-7.u201	It is not currently regulated in this way, at least not in kind insurance. That's just where it's been happening, and for a long time. For two reasons, I don't want to do that. First of all, this puts a lot of pressure on the patient, because it also has a relationship with that doctor. If no consent has been given, there may be a conflict of loyalty. That is different when you say: you will be informed that this is happening. If you don't, you put the problem and the hot potato with the patient. Secondly, we must keep the objective in mind. As a result of the Europsyche case, we have said: we really should pull it together; we are pulling back the bone at the point of the refund. As a result of the amendment and my proposal, we are now making it more difficult for insurers to get back there, but we do want to solve this fraud. So we have to keep our eyes on the ball. We have to keep it workable so that the health insurance company can do it eventually.
ParlaMint-NL_2016-09-08-tweedekamer-7.u202	I have a possible solution to bring Mrs Leijten and the Minister, who seem to be getting closer to each other on this point, closer together. I also have a question about the subsequent provision of information, which is the subject of Mrs Klever's amendment. My comparison is not complete, but I would like to point out the following. When applying for a benefit, you should in principle also cross the check mark "your data may be used in situations where there is a suspicion of fraud." Such a thing could be taken into account in the action plan on correct patient information, i.e. that health insurers give a careful explanation of when they are allowed to use data from patients when there is fraud and all other steps have already been taken. To that end, the Minister may examine this matter at the time of the conclusion of an insurance policy. It must then be specifically included in the explanation of the conditions of insurance. You should also explain very clearly what we guarantee in this law, with the ultimate remedium step clearly meeting all these requirements. That could be verified by the Personal Data Authority.
ParlaMint-NL_2016-09-08-tweedekamer-7.u203	That's already part of the policy. The policy already states that insurers can do that. If you take out a policy, it says so. Moreover, this has so far not led to a sufficient level of awareness among insured persons. That's why I'm excited about a plan of action. What I would like to add and what I did not raise in the debate with Mrs Leijten is that an insurer is not allowed to pay a declaration if legality is not established. If the patient does not give consent, but does require additional examination, the result is that the declaration is not paid. The provider or the patient will not receive any compensation. That doesn't seem convenient to me either. I think we are doing the utmost and making the implementation practice a lot more complicated for the insurer. Nevertheless, we are doing so by introducing that step in the chain roadmap if possible.
