ParlaMint-NL_2016-12-20-eerstekamer-16.u1	I give the floor to the Minister for Economic Affairs.
ParlaMint-NL_2016-12-20-eerstekamer-16.u93	Mr. Chairman. My group would like to thank the Minister for his very thorough and careful reply. Our questions are also largely answered. I have one element on which I would like to ask one more question in this second term, namely the role of citizens, the citizen perspective, which is, after all, taken into account in the decision-making process of mining activities in a structural and recognisable way. I am talking about the place of municipalities. It concerns local feelings, local control and local participation. The Minister has responded to this. Thank you for that. He discussed the licensing system and the steps it takes. He has indicated that there is always a role for governments: provinces and municipalities, of course next to the Empire, which is ultimately decisive in this regard. For provinces there is an advisory role. I indicated that the role of municipalities in the phase of search and extraction permits is much more indirect and I asked: is that so? Can't you do it more directly? The Minister indicated in the reply that if there is a search and extraction permit, he would like to come up with a step that is not there yet, but which will soon be supplemented, namely an environmental permit. I assume that's why the local government is fully involved and in the picture. So I would have liked to have confirmed that, or at least to have an answer to that. That is the moment when, after the province has already spoken, the municipality can also play a role itself. The next phase is that of the extraction plan. These are specific activities. Then it really goes towards exploitation. Then there's another environmental test, so the minister indicated. There is also room for consultation and participation and a role for municipalities. I would have liked to have that image confirmed and strengthened. I am particularly concerned that when this decision-making process and these licensing steps are completed, this does not take place above those municipalities and the local population, but that at that stage they have the opportunity to speak and have the right to be consulted.
ParlaMint-NL_2016-12-20-eerstekamer-16.u94	Mr. Chairman. I have outlined how people in Groningen are doing: living with a suitcase at the bottom of the stairs and a house that is unsaleable. I also mention the emotional damage and the goodwill damage. The minister here tonight says he doesn't want to disturb the structure. I think it would be wise to bring air into that structure. Whoever wants to leave must be able to leave and get a fair price for his house. Whoever has damage must be taken care of and not harassed by an intimidating NAM. The strengthening of houses must now be tackled vigorously. We must not forget the fact that there is a great deal of delay. The SP supports the proposals in this direction and welcomes the commitment on the independence of the Safe Living Centre. Then I'll come to Limburg. The Minister again emphasizes those common similar damages cases with clearly the same cause and appoints Groningen as an exceptional case. My point is that this is also the case in Limburg. I wonder what the judge's gonna say when someone in there is claiming legal injustice. The Minister refers to the guarantee fund when operators are no longer there. That is, of course, very nice, but I wish people would not get caught up in a lengthy procedure if the operator is still traceable. It seems to me very good and very reasonable to have a mine damage fund, which is well-stocked, partly by the operators, from which it can be used. Moreover, I have not received any answers to my questions on the limitation period. I find it disappointing that the Minister is cramped to hold on to the 24 billion cube and let other matters prevail over people's safety. At least it's very clear whose side he's on. The need for this 24 billion cube has remained unclear to me. The Minister did not answer my question about the intensification of gas-free construction. Nor the accelerated setting of the nitrogen plant in Zuidbroek. The Minister shows himself as we know him. He doesn't admit it easily, and I'm sorry, because it could bring him goodwill. My final appeal is therefore that he is showing himself on his human side and making this great law, which is crucial for so many people, a little bit more just.
ParlaMint-NL_2016-12-20-eerstekamer-16.u95	Mr. Chairman. I would like to thank the Minister very much for his reply. I would also like to thank him for the clear explanation of the definition of the reversal of the burden of proof and the guarantee of equality of justice. My group agrees with that, but obviously keeps a finger on the wrist in case the scope does not prove to be large enough. Let me turn to the issue of licensing. Drills in the Wadden Sea Area and in Natura 2000 Noorzee Coastal Zone will no longer be possible by law if these laws are passed. The Wadden region may still be drilled, as well as other Natura 2000 sites and World Heritage sites. This still entails major risks of degradation of nature areas, such as the risk of leakage and the risk of soil degradation. The drilling facilities necessary to extract from these areas cannot be placed just outside the border of protected natural areas, even though they are just outside the protection regime. The current policy is not on the edge, but on the edge. The risks to nature reserves are so great that my group says that we cannot afford to do so in relation to animals, nature, the environment and future generations. We would therefore like to see drilling in Natura 2000 sites and nature reserves with a world heritage status excluded from extraction. I had asked the Minister to come up with a proposal to exclude new drillings in and under Natura 2000 sites and World Heritage Sites. The Minister has made it clear that government policy does not exclude mining. We regret that. We know the NAM's hand-to-the-crane policy, in which the NAM has the freedom to turn the crane more open or shut down, but the Animal Party believes that the hand-to-the-crane policy should mean that the crane can be shut down in vulnerable areas by the parliament. A little close or a little open should not be left to companies like the NAM. In fact, there should at least be a no-unless there should be a policy for mining activities in protected areas. As far as we are concerned, there is no such thing as a gap in the current legislation. The decision whether or not to drill into a nature reserve is a heavy responsibility which Parliament must at least be able to verify at any time. The decision to grant an investigative licence for mining activities in other natural areas with Natura 2000 status or a world heritage status actually creates a no-unless a policy to better safeguard the protection of vulnerable natural areas without casting it into iron and concrete. That's why I'm tabling the next motion. The President shall: Mr Teunissen, Mr Vos, Mr Meijer, Mr Strik and Mr Gerkens proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Natura 2000 sites and natural areas with a world heritage status deserve protection;]] [[Whereas mining activities may threaten these sensitive areas by the risk of soil degradation, pollution and disturbance;]] [[calls on the Government to make the granting of new search permits for mining activities in or under natural areas with a Natura 2000 status and/or a world heritage status subject to explicit parliamentary approval,]] [[and goes to the order of the day.]] [[She's getting No. kst-34041-J]]
ParlaMint-NL_2016-12-20-eerstekamer-16.u96	Finally. In the light of the energy transition, the Minister has challenged me to say something about the construction of manure digesters and the framing of manure digesters as a sustainable solution. The Minister has just said a eulogy on this. I will be brief, because we are going to talk about this, but I would like to make one thing clear: manure digesters do not supply green electricity, but are based on an ever-growing brown stream from the livestock industry. There's nothing green about that; it's pure greenwashing. For this bio-industry, rainforests are harvested for animal feed and more CO is emitted than by all traffic and transport combined. The animals are kept in stables year round to collect the manure and neighbors suffer from smell. We have to go to 70% less cattle and therefore 70% less manure. The minister's eulogy is a eulogy for the fossil age. Germany has been active in renewable energy without manure fermentation and with windmills and solar panels. Let us do the same. I have not heard a scenario from the Minister without fertilisers and I call on him to do everything in his power to draw up such a scenario.
ParlaMint-NL_2016-12-20-eerstekamer-16.u97	Mr. Chairman. I thank the Minister for his comprehensive and adequate response. He ended by saying that we should try to regain the confidence of the Groningen people. I am also convinced that he will do his best. The loss of that confidence was, of course, mainly due to the way in which the damage was handled. I have to say that the reply and honesty of the Minister, for which we have had to make some effort, have made it clear that the feeling that prevailed in a lot of people, that the long arm of the NAM has always been recognizable, has proved to be correct. I am very pleased that the Minister intends to put an end to this now. The determination of the damage and of the compensation must be completely independent. I think the Minister is right to make it very clear to the public that he will achieve that. So much for the damage settlement. The Minister remains unclear about the call for reinforcement. In my opinion, there is also a dilemma. We want to win 24 billion cubs. This means that there will be tremors and therefore insecurity for years to come, and that there will need to continue to be strengthening. The strengthening will take many years to come, and that means that it is irresponsible to win so much more with the result that this insecurity continues to exist. That's a circle that doesn't make sense. I am afraid that the Minister currently has no solution to that dilemma. I can't wait to see how that develops. As the Minister himself says, this depends above all on what will ultimately prove necessary for strengthening. With regard to the buy-back arrangement, I agree with the motion that has been tabled. I signed that motion, too. I think that Mr Pijlman has said enough about this and I am happy to join him in that. As far as Limburg is concerned, I am pleased that the Minister has explained very comprehensively what has happened there. I am convinced that in this way he has fully taken responsibility for this, in consultation with the province and municipalities. I have one small question about that. The minister calls the guarantee fund. This is, of course, very important in terms of compensation to individuals. The minister said that if it goes empty, the guarantee fund must be supplemented by the sector. But in this case, what is the sector?
ParlaMint-NL_2016-12-20-eerstekamer-16.u98	Mr. Chairman. We also thank the Minister for answering the technically complex and socially sensitive issues we have discussed today. We had a little debate about the position of our gas building and the role of the government in it. I felt that the Minister had some incomprehension about what is going on there in the role of licence holder on the one hand and owner on the other, of EBN, for example. I think it is a starting point in the Dutch administrative culture that we try to carry out the separation of roles as far as possible where necessary. I also referred to the opinions of the Security Research Council. Of course, the government has taken on board many of the opinions of the Research Council, but not on this point with regard to the position of SodM. I understand from the additional reply that the Minister then made in his speech that he is indeed striving for greater transparency in that gas building and that he wants to re-assess the roles that are at stake there. I trust his commitment to achieving that divorce and making the responsibilities better than they have been in recent years. I think that the reference to the phasing out of gas production is insufficient, because we also understood from his speech that we have a source of energy there that we will have to use for years to come. However, it is important to review the gas building as it has operated over the past 50 years. Secondly, in replying to the question of case law concerning the definition of the area of impact, the Minister said that the judge would have the final say on it. That seems obvious. My question was whether an explicit mandate was given in the knowledge programme or whether it was given to further identify the areas of impact in a long-term research programme, so that these motivations can be used in legal proceedings. If there is scientific agreement and consensus as to the justification of the potential impact areas, this could lead to a faster handling of procedures. I understand that the answer to Mrs Klip was that attention will be paid to this. I'd like to hear that again explicitly. Thirdly, I welcome the promise that we will be offered the multiannual programme on the long-term perspective. Of course, I haven't seen that yet. I assume that the governance agreement, Trust in Restoration and Restoration of Trust, which ends in mid-2018, will be extended at the right time on the basis of the proposals made in the multiannual programme. Finally, our group has a dilemma, because the Minister has indeed given us commitments which we are very pleased with when it comes to the settlement of claims, the position of the National Coordinator, the neutralization of the position of the NAM and the independence of the position of the CVW. What makes us somewhat uncertain is the pace at which the proposals are presented to the States-General. The Minister mentioned July 2017 as the first moment when the cabinet can submit proposals to the Lower House. We wonder whether it would not be wise to adopt a motion on this point to say that we support the Minister's policy on this matter. The principles set out by the Minister are perfectly in line with what has been said in this Chamber. That's why I'm filing this motion. The President shall: Mr Verheijen, Mr Barth, Mr Beuving, Mr Nooren and Mr Sini proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas as a result of gas extraction in Groningen there is still an increase in material and psychological damage;]] [[Whereas, in view of the need for a clear and vigorous approach to the settlement of claims, there is a desire to neutralize the role of the Centre for Safe Living (CVW) and the NAM and to strengthen the position of the National Coordinator Groningen (NCG) in this process;]] [[calls on the Government, as soon as possible, to come forward with proposals providing the NCG with leverage in the event of damages,]] [[and goes to the order of the day.]] [[She's getting No. kst-34041-K]]
ParlaMint-NL_2016-12-20-eerstekamer-16.u99	Mr. Chairman. The members of the VVD Group also thank the Minister for his detailed and detailed reply. We very much appreciate the Minister's motivation to continue working on a transition to a fossil-poor society. Let me come back to the very first part of the debate. We, too, are very convinced of the Minister's desire to work continuously to improve the procedures for dealing with damages and, in particular, to ensure that the roles of the various partners involved are clearly divided. In particular, we are talking about the Centre for Safe Living. We have one question for the Minister. It is a bit along the lines of, or perhaps parallel to, the motion just tabled by Mr Verheijen. The Minister has indicated to us that the government is also thinking of realising or organising more perseverance for the National Coordinator Groningen and that this is a legislative proposal for the Council of State. Although we trust the Minister 100%, our question is whether he can give a little more clarity, lift a hint of the veil, about what the government is thinking when it comes to giving more perseverance to the National Coordinator. That was actually decided in my first-term question. We await the answer.
ParlaMint-NL_2016-12-20-eerstekamer-16.u100	I ask the Minister if he has the opportunity to reply directly. I see that's the case. Then I'll ask him if he thinks he could do that in half an hour. I note that this is also going to work.
ParlaMint-NL_2016-12-20-eerstekamer-16.u101	I do not yet have Mr Verheij's motion.
ParlaMint-NL_2016-12-20-eerstekamer-16.u102	He's on his way. It's under the copier. Here comes Mr Verheijen with a copy. He'll hand it over to the minister.
ParlaMint-NL_2016-12-20-eerstekamer-16.u103	Mr. Chairman. I agree with what Mr Flierman said. I think he was right to warn about a number of things. He said something about the risks of perverse incentives. I recognize that risk. That's what I'm paying attention to. He talked about optimising the damage handling process. I agree with him. I also agree with what he said about the licensing process. Mr Pijlman has indicated that we are at the beginning of a long process of transition to renewable energy. Mr Pijlman will agree with what I am doing at the moment. I made 9 billion grant commitments this year that will be paid out over a period of 15 years. I expect to make $12 billion in licensing commitments next year. At the beginning of this cabinet period, we were below 4% of renewable energy. I will ensure that we are at 14% by 2020 and that the movement remains in place afterwards. We'll be at 16% in 2023. I'll make sure that happens. With the Energy Agenda for the period after that, we have also set out the lines. As an example, I mentioned wind at sea. We're about to realize 700 MW five times. We will then realize seven times 1,000 MW, because I think it is really necessary to use a wide range of renewable energy opportunities to achieve what is ultimately to be achieved. Mr Pijlman rightly said that the major problem lies in industry and horticulture. I myself think it is to a lesser extent in horticulture. I see opportunities there to divert CO that normally goes into the air like garbage and bring it to the greenhouses. That is precisely where CO is needed for the growth of the plants. In addition, I see many possibilities to use geothermal energy to heat greenhouses. It is very impressive that the initiatives for this are taken by the gardeners themselves. We ourselves are engaged in very deep geothermal energy. We want to extract very hot water from the subsurface and then use it for industry. In this way, we hope to offer some alternative to industry. The major problem Mr Pijlman raises is a serious one. He has indicated the need to look closely at the possibilities of using the gas infrastructure for hydrogen. I think that's a fair point. In the further work we need to do on innovation and investment programmes, we need to look very closely at this point. I will certainly take that task of Mr Pijlman with me in the further development. It seems to me to be a justified remark. Mr Pijlman spoke about the settlement of claims, the new building regime, the power of perseverance and transparency. I have said the necessary things about compensation; I am going to say something about it in a moment. We have been able to give an adequate follow-up to the new construction scheme. There is now a new building scheme and for the future new construction we have been able to make agreements with the municipalities and the province. So the National Coordinator did a good job of doing so. When it comes to perseverance, I immediately look at Mr Verheij's motion on letter K. Mr Verheijen asked for proposals to be put forward that would give the National Coordinator Groningen perseverance in the case of damages. Let me say two things to Mr Verheijen. The first is that there is already a proposal before the Council of State. I was talking about July next year. I have the ambition to have the whole thing settled. This means treatment in both the First and Second Chambers. That's very ambitious. If the House of Representatives declares anything controversial, it will be off the agenda anyway. I can very well imagine that the Lower House and the Upper House, who are very aware of the problem in Groningen and also want to contribute to solving this problem, come to the conclusion that the bill now before the Council of State is worth dealing with quickly. I am very willing to do so, and I will therefore be happy to work with both chambers of the States-General to have the matter dealt with before July next year. I would like to see Mr Verheijen and others' motion for a resolution. Explain as follows: I have to submit a bill to ensure that the National Coordinator is given a firmer and legally anchored position and that in practice he has the powers to move forward when it is really necessary. If that is the intention of the motion by Mr Verheijen and others. I would like the House to give its opinion on this. Mr Pijlman spoke about transparency in the relationship between the NAM and the Centre for Safe Living. I actually agree with him on that. If we separate damages and damages and opt for public direction, then the relationship between them must also be clear. So I see that as an assignment from Mr Pijlman, whom I would like to carry out. Mr Pijlman and others said that I am not clear enough with regard to the reinforcement. I realize that myself. I'm concerned about what's going on there with the reinforcements. I am concerned about all those people who are sitting in their homes, who haven't asked for anything and have been worried for a long time about what's happening to their homes, their territory and the earthquakes that have been there and that will still be there. People need to get out of their homes for reinforcements now. I'm really worried about the task we're facing. I welcome the commitment of the National Coordinator to do so quickly and carefully at the same time. He also sees this as a care towards individual families. I very much agree with him. He and I also believe that this care must lead to speed and that we will go through the process we have to go through within the shortest possible time. Moreover, I believe that we should also include new information in the strengthening process on the strength of the earthquakes to be taken into account in relation to the NPR. It's a complicated process. I'm worried about it. It is right that the National Coordinator, the staff at my ministry and myself are well aware of this and are working on it. I think we will have to talk about this at different times, on several occasions. Mr Pijlman asked what steps we should take in the reinforcement process. He said the minister wasn't clear enough. Let me help him. Which steps should we go through? Basically, it's only three steps. The first is inspections. We need to know exactly what needs to be done. The second is: consultation with the people. It is absolutely necessary to consult with all people, as much as is necessary. The third is to ensure that it is carried out properly and responsibly. I have in mind that the end result must be that Groningen gets a bit better. It is not enough if the people in Groningen are compensated for their misery and put into a safe situation. No, against everything they've had to collect, there's got to be some extras. So with the National Coordinator, I look at all the topics that are at issue to see what the possibilities are for doing extra things for Groningen. A small example of this is that the national test site for 5G.... is a very important development in the future.... in Groningen. There are very interesting developments about that process in Groningen. The Chamber knows that I have been allowed to open a Google branch in Groningen. The province and the municipality have worked very hard for this. I think we really have opportunities to achieve positive things in Groningen. It is one of the most beautiful areas of the country, with an ancient history. It is an area near a beautiful city, which is also very attractive. It is an area in which large international companies are willing to realize the most sensitive server equipment for the Internet industry. I think that these are the starting points for improving the area. Mr Pijlman spoke about the buying-in scheme. The motion on letter I is about that. In his motion, Mr Pijlman says that the government should follow up on the pilot buy-back scheme, helping people who are eligible for it. I intend not to create any unnecessary difference between the First Chamber and me when it comes to the buy-back scheme. I also think that we should do things to make the housing market in Groningen work normally compared to the so-called reference areas. I can very well imagine that a buy-back scheme plays a role in this. I do not know how that should be done and who exactly can be helped with it. I would like to look at this in the light of the evaluation that is taking place. It is quite conceivable that the evaluation will show that there must be a buy-back scheme in one form or another, which will help a number of people, with the aim of ultimately allowing the housing market to function normally there. If I may give this explanation to the motion, if it is in accordance with what Mr Pijlman and the co-signators of the motion mean, then I shall also leave this motion to the House. Mrs Vos spoke about only the global assessment of natural and environmental aspects in a first phase. I would like to inform Mrs Vos that these aspects are assessed five times, where there is actually five times the opportunity to come up with views and go to the Council of State if you disagree. It is a very complex, long-term and extensive procedure. I think I have to make an effort to justify how complex it is and how extensive it is. I do that by making sure that certain aspects get all the attention when they really matter, and that if they matter a little less, they get attention in a different way. The different procedures should also be as consistent as possible and aligned as possible. That way, I can defend it. It is good that we always have an overview of all the relevant aspects, including the nature and the environment, and can also do justice to the extent that this is reasonable. I have one more point to add to Mrs Vos. The search permit must be bored. Mrs Vos says that on the basis of the M.E.R. Directive there is therefore an M.E.R. should be done. To be quite precise: in the case of drilling, it is necessary under the M.E.R. Directive to carry out an assessment of whether there is an M.E.R. should be done. In order to assess this, the mining company must provide a note indicating the possible adverse environmental effects. The exact location of the drilling in relation to any natural areas and the expected effects on them should be considered. On the basis of that note, I have to decide if there is a full m.e.r. must be carried out, yes or no. This will be the case, for example, if there is cumulation with other projects or if the disadvantages for a Natura 2000 site cannot be excluded in advance. Then there will be an m.e.r. must be carried out. The directive therefore requires an assessment of whether an M.E.R. must be carried out. I will always check whether this is necessary on the basis of the mining company's note. If so, I'll make it happen. The environmental permit is then followed. So first you get the BOLO, then you get an environmental permit. This is a public procedure in which everyone has the opportunity to speak and express an opinion. In this way, I believe that we are complying with exactly what is stated in the M.E.R. Directive and that we are doing what is necessary in a material way.
ParlaMint-NL_2016-12-20-eerstekamer-16.u104	Mrs. Vos, it's an So short.
ParlaMint-NL_2016-12-20-eerstekamer-16.u105	I have just asked about the European Mining Directive. My question was whether the legislative proposal as it stands is in line with this at the time of granting the operating licence. I might be able to get an answer to that question.
ParlaMint-NL_2016-12-20-eerstekamer-16.u106	I will check whether the answer I gave to Mrs Vos is the correct answer to her question. I will be able to understand that with her too. If I come to the conclusion that the answer is not sufficient, I will go into this issue separately in a letter to the Chamber in order to clarify this point requested by Mrs Vos. As far as the Wadden Sea is concerned, Mrs Vos, Mrs Teunissen and I have not reached the same conclusion. The same goes for Mrs Meijer. It's about tilting under the Wadden Sea. In the vicinity of the Wadden Sea, the North Sea coastal zone, the Wadden Islands themselves and the Wadden Sea itself, mining installations can no longer be installed, but gas can still be extracted from existing platforms, such as Ameland. That's where gas can be fed. In addition, from outside the area can be drilled obliquely. But that tilted drilling can only take place if it does not have a negative impact on the Wadden Sea area. This is monitored through the hand-to-the-crane principle. I think that's enough. This is also included in the present laws. I take note of the fact that there is a different view of these spokesmen on this point, as was also the view of some of the House of Representatives on this point. Mrs. Vos has tabled a motion. It says that Natura 2000 sites and natural areas with world heritage status deserve protection and that these areas are under threat. It requests the government, the granting of new search permits...
ParlaMint-NL_2016-12-20-eerstekamer-16.u107	I don't think that was Mrs. Fox's motion. That's Mrs Teunissen's.
ParlaMint-NL_2016-12-20-eerstekamer-16.u108	Excuse me, Madam President. You're giving me the opportunity to fix a mistake. I now turn to the motion tabled by Mrs Teunissen. I therefore refer to the Teunissen and Others motion, which has been co-signed by Mrs Vos, in which she asks the government to make the granting of new investigative licences for mining activities conditional on the explicit consent of Parliament. The present legislative proposals, the Mining Act, the Law on General Environmental Law and the Nature Protection Act provide a legal framework for the granting of mining and environmental permits in Natura 2000 sites and areas with world heritage status. I'm bound by that framework. It is up to the Chamber to check whether I am moving within that framework and whether I am acting how I should act within that framework. An explicit consent mixes the role of the government with that of the Chamber. Look, I'm part of the executive board. I need to make sure things are done and I need to be controlled by the Chamber. I also have to grant the permits. It would not be good for Parliament to sit in my seat, because who would have to control it? I have to do it and the parliament has to control me. I would like to maintain these relations in this way. I think that's important to our democracy. That is why I reject Mrs Teunissen's motion.
ParlaMint-NL_2016-12-20-eerstekamer-16.u109	Mrs Teunissen, briefly.
ParlaMint-NL_2016-12-20-eerstekamer-16.u110	Yes, very briefly. But it's not like there's gonna be a mix-up, is it? Checking is exactly what Parliament is doing here. The government wants to issue an APB. Instead of initiating this procedure, there will be an additional step, namely the granting of parliamentary approval. That's an extra means of control, I think. But maybe we'll just disagree.
ParlaMint-NL_2016-12-20-eerstekamer-16.u111	No, I think Mrs Teunissen, with all due respect, is wrong. If, in the end, every decision requires explicit parliamentary approval, this means that the final decision is actually taken by the parliament. Then what I do, what the government does, is prepare for decision-making by parliament. That's not the point. Parliament, as co-legislator with the government, adopts the laws. The government has to operate within those laws. It is then controlled by Parliament. What Mrs Teunissen is asking for with this motion would confuse things. Mr Kuiper spoke about the citizen perspective. He indicated that if the environmental permit is granted, it is important that the municipality also comes into view. I think he was quite right to say that. The environmental permits are not granted by the municipality, but by me, by the Minister of Economic Affairs. Before I can issue that environmental permit, I'm asking the municipality for a statement of no reservations. I must therefore ask the municipality whether it has any reservations about my proposed decision to grant an environmental permit. If the municipality comes up with such a statement of reservations, I may only deviate from that well motivated. In this way, even though the permit is granted by me and despite the fact that everyone, including the municipalities, can argue against it through views, there is also a separate involvement of the municipalities in advance. In this way, we contribute to improving the citizen's perspective, as advocated by Mr Kuiper on previous occasions. Mrs Vos regrets the restrictions on the presumption of evidence. It has been told that these restrictions are in line with what has been put forward by the Council of State. Mrs Vos will also be aware that all damage must be compensated, something I have expressly said. Furthermore, we have adequate legislation on this compensation, and in addition, in our country the judge himself decides who has the burden of proof. The court may decide that a mining company shall be assigned 100% of the burden of proof. If the judge considers that reasonable and necessary, he will certainly not ignore it. Mr Dercksen spoke about withdrawing existing licences. He said: it would be wrong to withdraw a mining permit on the basis of an unfounded aversion that exists in some fossil energy sources. Apart from the fact that I do not take over the phrase "an unsubstantiated aversion to fossil energy," I note that the safety and direction bill describes very precisely the possibilities of withdrawing a mining licence. I can't just do that. The principle of environmental withdrawal is one of the grounds for withdrawal. Then it's just about the environmental impact of mining. That would allow me to withdraw that permit. It is not at all the case that, on this basis, if there are any views on the use or non-use of gas or other fossil energy sources, I can withdraw permits. It's really about what's laid down in the law. I have developed the environmental example in this context, in response to Mr Dercksen's point. I went into what Mr Kuiper said about the citizen's perspective and the role of the municipalities in the environmental permit. I hope that has been satisfactory. Mrs Meijer spoke about Limburg. There should be the same action as in Groningen. I sincerely hope, and I trust, that we will not have to act in the same way as in Groningen. It would not be good for Limburg if they were faced with a similar problem there. No one, not even Mrs Meijer, wishes Groningen to, I am sure. What is now going on with damages is clear and certainly not about large numbers. The report following the extensive research carried out is to a large extent reassuring. However, it is necessary to do a number of things. We, as involved authorities, have a full willingness to do so together. Mrs Meijer spoke about the limitation period. I don't have any new information on that point. Mrs Meijer knows that we have had an investigation conducted by Utrecht University. This shows that in Germany and Belgium the limitation period is ten and twenty years. In the Netherlands, the limitation period is 30 years. The difference of opinion is whether the limitation period starts at the time of termination of coal extraction or at the time of termination of pumping up of mine water. That difference of opinion will undoubtedly be brought before the court. I think that's good. That is why I have agreed with the administrators in the area that we are waiting for that court ruling to be passed. On that basis, we will try to move forward together. Mrs Meijer says that I have not properly demonstrated the halving of gas extraction in Groningen to 24 billion cubic metres. I think I've shown that very extensively. It is based on an analysis of GTS, the company that has an insight into the minimum gas needs and is not bound by the NAM. Moreover, we have decided on that 24 billion cuub in accordance with the opinion of State surveillance of the Mines. I think that is very well and comprehensively hardened. Mrs Meijer also asked about the nitrogen plant. As I have informed the Chamber, there are several aspects to this which have not yet made it possible for the Cabinet to take a decision. I expect a decision to be taken on this in the first half of 2017 in the context of the formation of a new cabinet. Mrs Teunissen spoke of Natura 2000 sites, in which she felt there should be no drilling at all. I have taken this up on the basis of the motion that she has tabled. Mrs Teunissen continued to talk about manure fermenters. She has a view on this that I respect. I do not agree with her that we should go to 70% less cattle in the Netherlands. I do not feel that greenwashing is a negative concept in advance. If you can carry out economic activities in a sustainable way, that's fine. Even if you do that through greenwashing, I'm still fine with that. Mr Ten Hoeve stressed the importance of independent damage handling. I think that many in this Chamber, including myself, agree with him. He talked about the uncertainty that still exists in the area of reinforcement. I haven't been able to completely take that ambiguity away from him. I think that's a big task that we're all facing. We will ensure that we get a good idea of what needs to be done there, and that we will carry out what needs to be done responsibly to the inhabitants. About Limburg he wondered who, when the Guarantee Fund is empty, should fill it. That's a good question. That fund will probably have to be filled by those who are now gaining gas. That is not very obvious, because they really have nothing to do with it. But it is the mining sector. The fund will still have to be filled. We will look at the need for funding for that fund, and then we will do what is necessary to ensure that it is there. Mr Ten Hoeve is right to point the finger at a sensitive point. Mr Verheijen explained the licensing and transparency of the gas building by better separation of responsibilities. I agree with him. But the gas building has been in existence for about 60 years, with balance in relations and the outcome for the Empire being a financially beneficial one. With the aim of clarification, transparency and improvement, all partners need to look closely at their own interests and how they can be reasonably addressed in a more transparent situation. That is what the consultation is about. The aim of Mr Verheijen is, in the end, to have clearly separated the responsibilities for the gas building, which will be relevant for years to come in Groningen, and to make it transparent. That is an ambition of Mr Verheijen which I share. He spoke about the impact area and said that he believes that the impact area should be involved in the independent scientific knowledge programme that is being set up. This also applies to the basis for decision-making and the legal rulings that will come to this point. I think it is a justified remark by Mr Verheijen. I will discuss it in that way with those who are preparing it. Mr Verheijen also discussed the governance agreement between the municipalities of Groningen, the province, the waterboard and the Empire which will expire in 2018. He says it should be extended. I would like to look into that further. We now have the multi-annual programme of the National Coordinator Groningen, which has been drawn up in consultation with all the parties and which we all believe should be implemented. I want to see to what extent that can also replace the administrative agreement. Perhaps there is something else that needs to be discussed next to it. In any case, I think that my successor should have a view on this in due course, especially because it is an agreement that will expire in 2018. With regard to July 2017, the date I mentioned, I hope I have been able to alleviate his concerns. It's not my intention to join the House of Representatives. My ambition is to try to have the bill currently before the Council of State dealt with by both the Lower House and the Upper Chamber at that time. Mrs Klip asked me about the perseverance of the National Coordinator Groningen. There's a bill now with the Council of State. She asked me if I could give a little more insight into what that means. What matters to me is that the National Coordinator Groningen should not be a toothless tiger. At times when it's really important, he needs to be able to move on. We all have an interest in that. It's very complex what's happening in Groningen. There are a lot of different interests. It must all be done very carefully, but there must also be progress. If, at some point, the matter stagnates with regard to the measures contained in the multiannual programme, which we have adopted together, then I think he should be able to move forward. He must have the authority to do so towards municipalities, provinces, NAM and ministries. We are now looking at exactly how we can shape that. We have already indicated this in the document that went to the Council of State. We have also requested a special opinion from the Council of State on parts. If that advice is forthcoming, we will certainly discuss it again in the Cabinet. Then we'll file the bill with the House of Representatives. The essence of this is that I want progress to be assured by the National Coordinator Groningen and that he is given the authority he reasonably needs in relation to his multiannual programme. I'll see if I left anything. I do not think that is the case. If so, I know that you will help me back on the right path.
ParlaMint-NL_2016-12-20-eerstekamer-16.u112	I have come to deal with the legislative proposals. I'll do that by bill. Does one of the Members wish to vote on the 3404 bill? That's the case. Then I suggest that we vote on the bill and the motions in a moment. Does one of the Members wish to vote on the 34390 bill? That's the case. Then I suggest that we vote on the legislative proposal and any motions that have been tabled in a moment. Does one of the Members wish to vote on the 34348 bill? That's the case. Then I suggest that we vote on the legislative proposal and any motions that have been tabled in a moment. Before proceeding to the vote, I propose that seven minutes be suspended. You have now received the voting list. You can consult with your group on what needs to be voted on. At 11:30, I expect everyone back.
