ParlaMint-NL_2016-01-14-tweedekamer-9.u1	I give the floor to Mr Van Gerven on behalf of the SP Group.
ParlaMint-NL_2016-01-14-tweedekamer-9.u86	I am pleased that Mrs Van Ark is still addressing her concern that if this amendment was adopted, too few voting rooms would be included, which gives me the opportunity to refute that argument. The amendment explicitly states that the College must explain to the city council why 100% would not be feasible. That people should go too far because there are not enough accessible buildings could be a reason. This 100% could not be achieved because otherwise people would have to go too far, and that could be a good reason to settle for 80% or 90%. Does Mrs Van Ark take that into account?
ParlaMint-NL_2016-01-14-tweedekamer-9.u87	I hear Mrs Voortman say a number of things. We believe that the municipality is the place where decisions of this kind should be taken. We have weighed this up and discussed it. After weighing up all the arguments, including Mrs Voortman's argument, we decided not to support this amendment. I think it would be a good idea to make that clear now.
ParlaMint-NL_2016-01-14-tweedekamer-9.u88	This can indeed be discussed in the city council, but the current proposal of the cabinet states: at least 25%. So we're going from 25% to at least 25%. Isn't that very skinny?
ParlaMint-NL_2016-01-14-tweedekamer-9.u89	As far as I'm concerned, that's not enough. In my introduction, I asked myself whether we should anchor everything in the law in order to achieve our goal. I have seen the government's efforts in this area. I think it is sufficient for the time being and therefore I will not support this amendment. I shall come back to two specific questions that I have asked. I thank the government for its enlightening explanation of the obligation to make reasonable adjustments. I do have a further question about the answer to the questions about the assistance dog. In his reply, the Secretary of State refers to "help dogs" and "blind guide dogs." There is a discussion going on about whether the term "assistance dog" is better. Is it just a question of terminology or does the term "assistance dog" also have a legal meaning? And when it comes to terminology only, are the assistance dogs covered by the extension of the Equal Treatment Act on the basis of disability or chronic illness? If the amendment only has a symbolic purpose, my group is reluctant to do so, precisely for that reason of symbolism. This does not say anything about the importance of these dogs, but rather about the need for this amendment, from our point of view as legislator. I'd like another comment on this. I come to the amendment to item No. 36; the last time we discussed this, that was the amendment to item No. 17. It is harsh, but let me just say as it is: this is a technical and substantively bad amendment. After all, it imposes an obligation on entrepreneurs whose scope is unclear. It is unclear what entrepreneurs should adhere to. It is not clear how case law will develop. It is unclear to whom the "ban on discrimination" is addressed. That is why the VVD will vote against this amendment. I would like to hear from the Secretary of State whether he shares the VVD's view that the adoption of this amendment leads to uncertainty. I would also like to hear whether he shares our fears that this will lead to an increase in legal proceedings for entrepreneurs. Is this true? The government agreement states that the Netherlands will ratify the United Nations Convention on the Rights of People with Disabilities, provided that the following obligations can be implemented gradually. I understand that the government is dissuading the amendment because it believes that the amendment goes against the government agreement. I share that view. That is why the VVD will vote against the amendment. I would like to know from the Secretary of State what the Cabinet will do with the law if the amendment is adopted in the Lower House. With this amendment in the law, we cannot support the implementing law. It is ill-imaginable that a cabinet should pass a law from the coalition agreement that is not supported by both coalition parties.
ParlaMint-NL_2016-01-14-tweedekamer-9.u90	Mrs Van Ark says that the amendment tabled by Mr Otwin van Dijk and others. is contrary to the coalition agreement. We hadn't discussed that scenario. I hear Mrs Van Ark say that this is evident from the letter from the Secretary of State. However, I have not been able to read that in that letter. Can Mrs Van Ark indicate what passage she is referring to? It may not be decisive for us, but it is interesting.
ParlaMint-NL_2016-01-14-tweedekamer-9.u91	I have indicated that the letter from the government in which it advises the amendment contains arguments showing that the amendment is not about graduality. That is the condition laid down in the coalition agreement. Hence my question to the Secretary of State and hence my interrupting debate with the author of the amendment. I want to know what that graduality is all about. That is why it was important for me to postpone the second deadline. If the graduality is limited to the explanatory statement and is not included in the legislative text, I regret to conclude that the amendment is contrary to the coalition agreement.
ParlaMint-NL_2016-01-14-tweedekamer-9.u92	We're about to hear it from the Secretary of State, but I read in the Secretary of State's letter that the government has chosen a different route. That is the current proposal, and not so much accessibility as standard. Furthermore, the letter states that there are legal uncertainties about it. We can't see the legal consequences. I'll take those two aspects out of the letter. Where does the VVD state in the letter that the amendment is contrary to the coalition agreement, because it would not be gradual enough? That is also something that is literally stated in the explanatory statement to the amendment.
ParlaMint-NL_2016-01-14-tweedekamer-9.u93	You can say a lot of things in an explanatory statement, but that's the same thing as shouting louder. That doesn't make your arguments any clearer either. The fact that a word has been included in the explanatory statement does not mean that it really is. The first paragraph of the amendment concerns a duty that begins. That is the factual new situation at the time the King signs his signature and the law appears in the Official Journal. This is not just a debate, it is a legislative debate. If we had a debate on the importance of inclusion and the importance of inclusive society, that explanatory statement could be a very good text in such a debate. But we're talking about a law here. This means that we are imposing obligations on society as a whole. That means it has to be very clear. The agreements are framed by the government agreement, to which the government has complied with the original law. We wholeheartedly support them. I also think that it is a very nice law and that it is a very big step, with a plan of action and a working method. I have concluded that this amendment is contrary to the coalition agreement and I also draw that conclusion from the cabinet letter.
ParlaMint-NL_2016-01-14-tweedekamer-9.u94	Then we witness the first strong political clash between the PvdA and the VVD in the new year 2016. The good news is that there has rarely been a collision over a coalition agreement that was concluded so long ago. This indicates that the parties have been holding out with each other for a long time. As I recall, the coalition chord was called "Striking Bridges." Would it still be possible to bridge the gap between the amendment as it stands and the VVD's and the SGP's desire to achieve greater legal certainty? I have made some suggestions for this in my contribution. How does the VVD view this?
ParlaMint-NL_2016-01-14-tweedekamer-9.u95	There are indeed days between now and the vote. The implementation of the UN Convention is a celebration that, as far as I am concerned, we are allowed to celebrate. There is now a wonderful proposal for it in the Chamber. That proposal comes from a government of which the VVD is also part. I'm sorry that this way we're actually looking at how that party might turn out to be a damper. I think so. If you can't have a party, it's a bit of a damper. It is a pity that we have to do so here in this Chamber. On the other hand, we said yesterday: let us have the debates here. As far as I am concerned, the coalition agreement is clear. If either side says that this amendment does not comply with it, it is difficult to maintain that it does. Because it takes two to dance the tango.
ParlaMint-NL_2016-01-14-tweedekamer-9.u96	The party's not over yet, so maybe we can get better champagne. What is the position of Mrs Van Ark of the VVD Group that we should make a mandatory provision instead of a provision? In that case, the amendment of the law will only apply if there are actual detailed rules, in which the graduality and the exact provisions to be expected will be completed.
ParlaMint-NL_2016-01-14-tweedekamer-9.u97	Bridges come in many shapes and sizes, to stay in the imagery of Mr Van der Staaij. What I see is that the material that the bridge is made of, the parts of the coalition agreement, is very clear. The condition for the gradual implementation of the following obligations under the Treaty is for me to weigh an amendment. If an amendment is in there, I am very willing to add such a pendulum to the party. Otherwise, I think we should celebrate the fact that the cabinet has put forward a very nice proposal here. We should put that into practice first.
ParlaMint-NL_2016-01-14-tweedekamer-9.u98	Mrs. Van Ark says a lot. Let me start with the positive. Of course, that's why we're having the party. The Netherlands is one of the last countries to ratify the Convention. Finally, after ten years of gradual debate, it is time for pace. The Government Agreement agreed that the Convention should be ratified, but that the obligations arising therefrom should be implemented gradually. That is quite literally the text contained in the explanatory statement of the amendment. That explanation is part of the legal history, as is what we are exchanging here, and is therefore part of the law. Following on from what Mrs Bergkamp said, I would like to know specifically on the basis of which passage Mrs Van Ark says: that is not entirely true. You can't do that. You cannot say "it is contrary to the coalition agreement" and then say "it feels that way"; then it must also be hardened.
ParlaMint-NL_2016-01-14-tweedekamer-9.u99	Those to whom the prohibition of discrimination is addressed shall also ensure general accessibility for persons with disabilities or chronic illness, unless this imposes a disproportionate burden on them. That is a situation that arises overnight when the law comes into force. By inserting the word "conductivity" into the explanatory memorandum, this legal passage does not lead to any gradual progress. I asked Mr Van Dijk how he saw this. That obligation arises from one day to the next. There is a great deal of uncertainty for those to whom this ban is addressed. There is even uncertainty about the target group: who are "the ones to whom this ban is addressed"? The cabinet itself has opted for another method, which has the full agreement and support of the VVD Group. It is a working method with a plan of action whereby parties that matter and are actually committed to all kinds of results. It's not like we're going nowhere. I don't take the graduality out of it. I have not received sufficient answers to my question as to whether it is an objective or an obligation in various debates. Then I fall back on the graduality, also because we are conducting more than a policy debate from our legislative work here. We must balance the interests of all the groups in our country, including those of entrepreneurs, for example.
ParlaMint-NL_2016-01-14-tweedekamer-9.u100	I assume that Mrs Van Ark also believes that the Netherlands should be accessible and that people should be able to take a bus and visit a restaurant or a website. Then it's about the way you choose to do it. It can be done through a plan of action, but it can also be done through a legal provision. In the end, it is this Chamber that makes a choice and says: we do it through a plan of action, the vagueness that is now present, or a better plan of action, or we choose a legal provision. That's a choice that lies with the Chamber, isn't it?
ParlaMint-NL_2016-01-14-tweedekamer-9.u101	Let me say first of all, and I repeat it to Mrs Agema: if one does not take care of it, I would be the first to include anyone who says that that is incredibly bullshit and how stupid that is. It is true that we are only discussing the road to it. We are talking about this here in this Chamber, but there are two parties who have agreed on it within what frameworks they do things. As far as we are concerned, it is not in vain that the following obligations should be implemented gradually. One of the two parties that have jointly concluded a coalition agreement does not reflect the graduality of this agreement. Furthermore, Mr Van Dijk has been warmly invited to come forward with a proposal which is within the agreed framework. I really support that, but that ball lies with the person who wants to make a change, not with the person who keeps the agreement that was made at an earlier stage.
ParlaMint-NL_2016-01-14-tweedekamer-9.u102	That graduality is in the text, isn't it? I don't quite see what Mrs. Van Ark's problem is. I also think that if the VVD says: it does not fit in with the coalition agreement, it should be very clear, why not. That graduality is literally in it!
ParlaMint-NL_2016-01-14-tweedekamer-9.u103	What happened is this. As a result of the debate, and I have said this to Mr Van Dijk earlier, the word 'conductivity' has been included in the explanatory statement. However, the amendment itself, the legal text that is being added, can be either A or B, but not something in between. That can't be gradual. The introduction of this term in the explanatory memorandum does not mean that the law itself has that graduality. The law comes into force from one moment to the next. Then whoever is subject to the prohibition must comply with it, regardless of what is stated in the explanatory memorandum.
ParlaMint-NL_2016-01-14-tweedekamer-9.u104	The explanation is correct to explain that it does not need to be done overnight! We all understand that this is not arranged with a snap of fingers. That explanatory statement is exactly what you're saying. What the VVD is saying here just doesn't add up. I think that the accusation that it is contrary to the coalition agreement is quite serious; Mrs Van Ark must make it clear. I haven't heard much of that so far.
ParlaMint-NL_2016-01-14-tweedekamer-9.u105	I have made several comments on this, and I have pointed out the lack of clarity. That is also my argument. I certainly don't say that lightly. I too think this is a big issue, but I think this is the place to say it. After all, it is a very important law, a law with potentially very serious consequences. If we do not know clearly what we entrust to people, then we must also take responsibility here as co-legislator.
ParlaMint-NL_2016-01-14-tweedekamer-9.u106	I cannot escape the impression that the VVD Group is now using procedural and formal arguments against this amendment. I find that extremely regrettable. We have always exchanged views on previous legislative proposals that not only the precise provisions of the law are important, but also what is stated in the explanatory statement, what we are discussing here as MPs and what the Secretary of State will send us in writing. This is part of the legal history and will therefore always have an impact on the legal text itself. Surely the VVD Group can't deny that?
ParlaMint-NL_2016-01-14-tweedekamer-9.u107	I wholeheartedly support the observation that this is formal and procedural. This is a legislative debate, which is formal and procedural. If an entrepreneur is faced with this law, it can look forward to all kinds of formal procedures. If at the moment we do not have a clear idea of what that influence is, when we do know that this influence is great, as the government states in its letter, then we have a task as co-legislator. This is not just a policy debate. What we are doing here, the words we are saying here, are formal and have a very big impact. I am very aware of my role as co-legislator. That is why I said at the beginning: that we all pursue the same goal does not mean that we agree on the road to it. It is precisely because it is so formal, precisely because it may mean that a shopkeeper is faced with fines if he has not properly adapted his shop, precisely because we are all concerned in this Chamber when a lot of shops are empty on a shopping street, and precisely because we are concerned about employment, we are now moving additional rules towards those same entrepreneurs. We can only do that if we know what we are doing. That clarity is not in this, and I am so formal and procedural that I take a debate on legislation seriously.
ParlaMint-NL_2016-01-14-tweedekamer-9.u108	The word 'fine' does not appear in the amendment at all, let me correct it first. And indeed, procedures, legislation, that is what we are talking about here. Then I think we should talk about the right procedural arguments, and I note that the VVD is making a very one-sided story. It looks only at the three articles of the law, but then ignores the explanatory statement and ignores what we are exchanging here in the debate, which is always part of the overall legal process. If the issue I do not expect to cause problems directly on the first day, this will indeed be taken into account in the final assessment of a situation.
ParlaMint-NL_2016-01-14-tweedekamer-9.u109	It is precisely because the explanatory statement, the debate, the letters we have received, etc., are all part of the legal history that I have touched on this amendment in the debate. I have asked the petitioner whether it is an ambition or an obligation. I asked what the consequences of a target were. I asked what the financial consequences are; there is no clarity about this either. I tried to get that clarity, because I think it is important to consider those aspects. The story I'm putting out here today, I don't keep it lightly. I have not received sufficient answers to my questions to say whether it meets what I think a law should comply with, but also whether it complies with the frameworks we have laid down in the coalition agreement. The answer to that is no. I make that assessment here, and I thought it would be good and fair to give it to you in the second term.
ParlaMint-NL_2016-01-14-tweedekamer-9.u110	Please continue. I think you're gonna have to finish up, too.
ParlaMint-NL_2016-01-14-tweedekamer-9.u111	I'm almost done, Mr. Chairman. We are opposed to this amendment, but we are very much in favour of the plan of action, which will bring the whole of society, entrepreneurs, citizens and organisations into line with our common goal. I'm rounding up. Those who listen carefully to the VVD see a common thread in our views on special groups in society. We always do not want groups to be included in society because we force people to do so. We want people to be part of our society because we see the qualities of every human being, whether they are women in the labour market, homosexuals in a football association or people with disabilities. These are different groups, but with the agreement that they do not always automatically have a place. That is our image of an inclusive society. The VVD Group believes that the treaty as it stands is right to the safeguards that should be laid down for this group in the law and at the same time to the strength of society itself.
ParlaMint-NL_2016-01-14-tweedekamer-9.u112	One question, Mrs. Voortman.
ParlaMint-NL_2016-01-14-tweedekamer-9.u113	What will the VVD do when Mr Van Dijk and others' amendment is adopted next week?
ParlaMint-NL_2016-01-14-tweedekamer-9.u114	Then the VVD will vote against the Implementing Act.
ParlaMint-NL_2016-01-14-tweedekamer-9.u115	This brings us to the end of the second term of office. The Secretary of State has indicated that he needs a half-hour suspension.
ParlaMint-NL_2016-01-14-tweedekamer-9.u116	Mr. Chairman. First of all, let me congratulate you on your new post from this place, also on behalf of the government.
ParlaMint-NL_2016-01-14-tweedekamer-9.u117	Thank you.
ParlaMint-NL_2016-01-14-tweedekamer-9.u118	I look forward to working together in the near future. I would like to thank Members for their input and the questions they have asked in the second term. It is clear that we are not just talking about the importance of ratifying the Convention. I have noted that everyone in the Chamber supports the ratification of the Treaty and I think that Mr Van Dijk and others have rightly mentioned it as an historic moment. We have been discussing the ratification of the Convention for some ten years now. Moreover, there are a number of very explainable and good reasons behind this, including a proper review of the existing legislation. I think it is very important that we make every effort to ensure that this ratification can be led by the two chambers of the States General after ten years of discussion. I note, on the basis of the input of the Chamber, that there are many questions about the steps that the Netherlands still has to take. I refer to the discussion on the implementation plan. I would point out that in the debate, in the first term and also now, after the approval of the assistance dogs, I have shown that I am very willing to cooperate with the parties...
ParlaMint-NL_2016-01-14-tweedekamer-9.u119	... to look at how we can make that implementation plan as concrete as possible, in which areas we are going to take further steps and according to what timeframe that will happen. I attach great importance to the views of the experience experts, the municipality and the business community. I say this again, because I think it is important that we not only adopt a law which regulates a number of rights, but also, above all, adopt a law which gives rise to the formation of this accessible society. I do not think there should be any discussion in this Chamber. The State will not ratify this treaty for nothing. As a contracting party, the State is responsible for its implementation. After the treaty has been ratified, one could say that there is an insuring role of the government in the implementation of the treaty. That is an important element. I noticed in the discussion how important it is to have a standard, regardless of whether it comes into the law. We have a standard and it is perfectly achieved by the ratification of the Convention. The treaty is not unstandard. It is good to point out explicitly here Article 9: "In order to enable persons with disabilities to live independently and participate fully in all aspects of life, the States Parties shall take appropriate measures to ensure access to the physical environment, to transport, information and communication, including information and communication technologies and systems, and to other facilities and services open to, or provided to, the public, in both urban and rural areas." The ratification of the Treaty is an important task for the government to ensure that it is anchored in society. The ratification of the Convention is anything but non-binding. We are steadily moving towards an inclusive society, in which everyone can participate on an equal footing. This means that the government is responsible for complying with the Convention and that new laws and regulations do not conflict with the Convention and, even more importantly, contribute to the inclusiveness of society. Maybe we should talk right now about the discussion on the relationship between the Van Dijk amendment. This was amendment No. 17 but is now amendment to item No. 36 p.m. and this law. Mr Van Dijk's amendment sets the standard in the law and also states that he must be reasonable, fair and not impose a disproportionate burden. It is added that it must be basic and simple. The explanatory statement states that the amendment aims to achieve gradual implementation of the Treaty obligations. In the cabinet, we have adjusted and weighed the pros and cons of this amendment. That's why I've been asking for some time to put it right. This has meant that we have found that we do not disagree on the purpose or even on the promotion of general accessibility. However, we do have questions about what this general standard in the law means. Where the government has chosen to ensure individual rights and gradually achieve accessibility through an implementation plan in consultation with the parties, the amendment regulates that standard in the law and then considers to what extent it can be reasonably and fairly achieved. In my view, therefore, there is not so much difference in substance between the amendment and the way in which the cabinet operates. I would like to make a few comments on this later. However, it has already been asked in the Chamber what it means, exactly what obligations we have, and how to describe this graduality, the difference between, on the one hand, a legal standard that has to be achieved gradually and, on the other hand, a right of an individual and gradual implementation through a plan of action. There is an essential difference. There may indeed be discussions about what it means for the case law, whether you rely on a legal standard or a practical standard. The government has said in the explanation that it attaches great importance to doing so by means of a practical standard. This does not raise the question of implementation, or at least to a lesser extent. It is very important to avoid these implementation questions through a shared approach, both on the ground and on timing, perhaps in order to avoid delays and legal discussions. A practical approach might work better than a legal standard in the light of the objectives of the Convention. My observation is that the goal is the same and that the gradual achievement is pursued by everyone, but that the approach differs. This approach does have consequences. Of course, it matters what you have to base yourself on. The law does indeed arise when the law is signed. I think a number of Members of the Chamber have rightly pointed this out. It is true that there is a chance that legal discussions will arise and that case law will arise, which will entail a different certainty or, as some say, uncertainty than an approach through the plan of action. That is why the government attaches great importance to the way it works. That is the reason why the amendment should be interpreted as it is. Mr Van der Staaij pointed out that the additions, which we very much appreciate, do not mean that we can come up with another explanation of the amendment. I've been watching the discussion a little bit. I believe that Mr Van der Staaij said that the party has not yet started and that it might be wise to examine together what the elements might be to build bridges. The House is, of course, concerned with its own amendments. I'm not going in there. For the government, it is important, I say in support of the explanation, that the element of graduality is firmly expressed. I think it is wise that this is also part of the discussion that emerged in this Chamber in order to create an AMvB. With that AMvB you can monitor the process, so that you can slow it down where it would go too fast, and where it would go too slowly something can stimulate. I think it is therefore necessary to have some time to look at what this AMvB should focus on. We're making a plan of action. You can then see if that comes from the ground and if the realization is on a good track. Where it's going too fast, you can brake, and where it's slow, you can gas. I can imagine that gradualness, an AMvB that can kick and slow down and some time to see where such an AMvB could focus are elements that the Chamber and the authors of the various amendments could still use until the vote, so that they can see if a bridge can be built. I would certainly appreciate it from the government's side if that could happen between the various proposers.
ParlaMint-NL_2016-01-14-tweedekamer-9.u120	I see that there are several spokesmen on the Interrupt Microphone, but first I give the floor to Mr Van Dijk. He tabled the amendment.
ParlaMint-NL_2016-01-14-tweedekamer-9.u121	We strive for an accessible society. You can indeed choose between different paths that lead there. Do you choose the way through self-regulation and a plan of action? Or do you choose the way through a rule of law? I believe that the Secretary of State has noted this very well. It is up to the Court to consider this matter in the end. However, I have a more factual question. The Secretary of State also said that an AMvB could be added. However, as a result of the discussion we had before the recess, the possibility of drawing up an AMvB has been added. This allows gas to be given or braked. The Secretary of State said: I would highly recommend that. Of course, I listen to that very carefully. However, this warm recommendation has been taken over by the proposers.
ParlaMint-NL_2016-01-14-tweedekamer-9.u122	That's right. That is what I believe is in Article 2b. A possibility to create an AMvB has been included. Now there's some kind of double blow. There is, on the one hand, a general standard which raises the objections raised by the government in its interpretation. What does that general norm mean? What kind of obligation does it lead to, exactly? What is the timing of that obligation? These objections have also been raised in the Chamber by some members. On the other hand, there is the AMvB. I could imagine that the expression of graduality, combined with an AMvB and the implementation plan, would lead to elements that could lead to the integration of the various views. In my opinion, the element of the AMvB in the amendment is valuable. I think it is also a valuable addition to the law. It is a matter of which combination such an AMvB could be added to the regulation, including the other elements I mentioned.
ParlaMint-NL_2016-01-14-tweedekamer-9.u123	I need to land this, Mr. Chairman.
ParlaMint-NL_2016-01-14-tweedekamer-9.u124	I see it.
ParlaMint-NL_2016-01-14-tweedekamer-9.u125	The amendment now sets a standard for general accessibility. An AMvB may be drawn up for its implementation. The explanatory statement states that it can be done gradually. Reasonability, fairness and all such elements are mentioned in the article of law itself. Does the Secretary of State now want to link that AMvB with the plan of action? Let me get this straight.
ParlaMint-NL_2016-01-14-tweedekamer-9.u126	Yes. In the government's view, people with disabilities can derive rights from having access to the places where they want to stay, want to recreate or whatever. That's settled in the law of execution. Another discussion is on how to promote general accessibility. Mr Van Dijk's amendment states that this is promoted by setting a general legal standard, together with the possibility of an AMvB. That general legal standard raises a number of questions. What exactly does that mean? The standard will apply when the law comes into force. What does that mean for legal certainty? Is that sufficiently clear? This raises a number of questions in the Chamber. On the other hand, there is the method of implementation, in order to promote the direction of implementation. Everyone is also in favour of this method, and several motions have also been tabled on this subject. Suppose there is now a good implementation and on that basis we can conclude where it goes too slowly and where too quickly. On that basis, we could then come to such an AMvB that is more focused on that gradual achievement. In this way, I believe we have the elements on the table that have been widely discussed in this debate. These elements could possibly bring together the views expressed in the Chamber on this subject. It is, of course, up to the Chamber itself to decide. There is still time to vote. However, I would like to appeal to the spokesmen to see what is possible and what is not possible. I believe that this was also the result of the suggestions made by Mr Van der Staaij.
ParlaMint-NL_2016-01-14-tweedekamer-9.u127	That's right. Mrs Keijzer also said that she was actually looking for that. I have agreed with her that we will table a sub-amendment tomorrow. First of all, it states that this is not a decision, but that there must be an AMvB. Secondly, there is a legal definition of graduality. Thirdly, it states that the time when the law enters into force may be different for different provisions. I do not know if that is already in the legislation. I would like that to be looked at, so that the introduction of the whole law will not be delayed further if it takes a little more time. I'd like to name those elements right now. I would also ask the Secretary of State if a response from the cabinet could be forthcoming as soon as the legislative proposal has been tabled. After all, I do not want the process to be delayed much more than it already is.
ParlaMint-NL_2016-01-14-tweedekamer-9.u128	Mr Van der Staaij mentioned a number of interesting elements. I also mentioned them in my speech. If the eye of the cabinet is needed to bring the views together, it is very willing to do so.
ParlaMint-NL_2016-01-14-tweedekamer-9.u129	Thank you, also for the technical assistance. However, I also mean that the cabinet gives its opinion to the Chamber, which is of course important in view of the votes.
ParlaMint-NL_2016-01-14-tweedekamer-9.u130	We have little time left and we need to finish this debate. Mr Van Dijk was right to point this out. It is up to the Chamber to decide whether there will be any other amendments. I will quickly ensure that technical assistance is provided and that, where necessary, an assessment is made.
ParlaMint-NL_2016-01-14-tweedekamer-9.u131	I have listened very carefully to the Secretary of State, but I still do not understand what he has said about the linking of the approach plan with the AMvB. Would the Secretary of State like to explain that one more time? The amendment includes a standard. That standard does not mean that everything must be accessible immediately on day one, but that we will work gradually towards accessibility from day one. Will this standard apply immediately when the amendment is adopted, or should we wait until there is a plan of action and an AMvB?
ParlaMint-NL_2016-01-14-tweedekamer-9.u132	In the government's view, on the one hand, we had the implementing law, which contained an individual right to access. On the other hand, we had the promotion of general accessibility through the implementation of the implementation plan. I conclude from the discussion that there are doubts as to whether this is not too non-committal and that there are doubts as to how access is further promoted. In that case, you can choose two ways. You can try to incorporate a legal standard into the law, as proposed in Mr Van Dijk's amendment. It can be said that although it is the legal standard, there are a number of limitations: it must be reasonable and fair, it must be gradual and so on. That is a certain way of thinking: a legal standard with a number of conditions. The disadvantage of this is that you get discussions about how exactly the legal standard should be interpreted. What does it mean for case law and for the certainty that entrepreneurs, for example, can experience in the implementation of the Convention? These are the disadvantages of this construction in the eyes of the cabinet. Another view is the following. The Cabinet shall draw up an implementation scheme for individuals and an implementation plan which will bring them closer to general accessibility. In addition, the Cabinet has the possibility to include an AMvB in the legislation, which allows the process to be steered if it is too fast or too slow. On the basis of the actual, practical implementation of the law, you have a stick behind the door to ensure that the treaty obligations are gradually fulfilled.
ParlaMint-NL_2016-01-14-tweedekamer-9.u133	Finally, Mrs Dik-Faber.
ParlaMint-NL_2016-01-14-tweedekamer-9.u134	I think the Secretary of State's conclusion is that he's not advising the amendment...
ParlaMint-NL_2016-01-14-tweedekamer-9.u135	I didn't say that.
ParlaMint-NL_2016-01-14-tweedekamer-9.u136	... but that he finds the element of the AMvB to steer the process a sympathetic part of the amendment. The first part of the amendment, the standard to be implemented fairly and fairly, therefore rejects the Secretary of State.
ParlaMint-NL_2016-01-14-tweedekamer-9.u137	That's right. The cabinet's objections focus on the standard, because it concerns the question of how to ensure that there are fewer execution questions in practice.
ParlaMint-NL_2016-01-14-tweedekamer-9.u138	Please continue.
