ParlaMint-NL_2016-12-15-tweedekamer-8.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-12-15-tweedekamer-8.u60	Mr. Chairman. The American astronaut Scott Kelly once said that the trip to Mars consists of a large number of baby steps, a large number of which have already been taken. The first step was probably the launch of Yuri Gagarin, who was first shot into space in 1961. It is quite translated, of course, that the journey to the future has been going on for a long time, but you often don't notice it and you don't see it until you look back, when you look back at the past. For example, look at the parliamentary history of the minimum wage law. The law dates back to the 1960s, the time of Gagarin. Look how they talked about it back then. As far as I am concerned, a jewel from history is the verdict of then MP Van Rossum of the SGP. He was particularly concerned about the level of the minimum wage: "We want to continue to assume that the worker is worthy of his food, but that the servant should not exceed his lord." 50 years later we live in a different time, in which perhaps we talk about "eat" rather than "food" and in which the Van Dale rightly describes the word "servant" as archaic. It's also a time when we've started to think very differently about pay. At the time, in 1968, the statutory minimum wage was already a huge step towards a fairer future. "It can be said with gratitude that nowhere in the world there is such a decent minimum wage scheme as in our small country," said my predecessor, Minister Roolvink, at the time. He also spoke of "the great significance of this law for hundreds of thousands of people who, through this legal provision, received formidable support in their weak backs." Those are fine words, but also words you have to put in the spirit of the time. With our collective moving insight we are now quite a few steps further. In the meantime, we believe that all adults deserve a full reward, regardless of their age, whether you are paid on the basis of hours worked or delivered products. More work should simply be paid out. Lack of rules has been in the way of this progressive insight for a long time. The minimum youth wage dates back to 1974, 42 years ago, and has not been adjusted since 1983, 33 years ago. I am glad that we are finally taking a new step in this cabinet period. That is a big step and a much needed step, because for a society of the future you should not cling to the achievements and wisdoms of that time, but build on them. With this bill, we are not only taking a next step towards a future-proof minimum wage, but also a step towards a fairer future, not only for employees but also for well-intentioned employers. On 21 April, we reached an agreement with the coalition parties and the social partners on this review, as well as on other bottlenecks in the labour market. I am pleased to see that the same year, albeit in the last few weeks, the law increasing and abolishing the minimum youth wage for 21- and 22-year-olds, with the Chamber. Young & United's activists deserve all the credit for that. For this, the Ulenbelt family deserves all the praise; I do not distinguish between robot, man or woman. For that all spiritual fathers and mothers in the Chamber deserve all praise, appreciation and compliments. I thank the Members of Parliament for the first-term questions and for the compliments and support for the legislative proposal. I think it's a good thing we're reminiscing the immediate trigger. One of the most challenging developments in our labour market was that of the effects of the free movement of persons within the European Union, particularly those from Central and Eastern Europe. Because of the lower wages in those countries, the then government provided that any wage in the Netherlands, even in the case of payment below the statutory minimum youth wage, could be higher than in the country of origin. That's right. This led to the expectation that these workers would be at high risk of underpayment. But because they still deserve more than in the country where they come from, they would be less inclined, as the situation was, to get their own justice through civil proceedings. This would jeopardise the aims of the Minimum and Minimum Holiday Benefits Act and put pressure on the level playing field between employers by giving underpaying employers an unfair competitive advantage over well-intentioned employers. Therefore, since 2007 it has been chosen to proceed with the administrative enforcement of the WML. At the time, the Chamber adopted this proposal unanimously. In recent years, we have gained experience of administrative enforcement. We have encountered a number of bottlenecks. It has proved difficult to maintain the minimum wage effectively in both overworking and piecework situations. The proposed changes to piecework and additional work solve two major bottlenecks and reduce new constructions designed to pay below. I'll get back to that later. Mrs Voortman spoke about the cabinet's intention to introduce the minimum statutory hourly wage. Indeed, the Cabinet believes that this could further simplify enforcement, thereby increasing effectiveness with existing capacity. The cabinet investigates this, but takes more time for this because of the due diligence. This allows for extensive consultation of stakeholders and experts. The first step in this is the internet consultation of an official preliminary draft, which will take place in the first months of 2017. I told you, the minimum youth wage has not been adjusted since 1983, 33 years ago. In the meantime, our labour market has changed dramatically. It is therefore high time to adapt the law to the changed social perception of the labour market and the income position of young people. With this bill, the minimum youth wage also fits much better with what is internationally common. Young & United's actions effectively put that on the map and featured it. I agree with those Members of Parliament who have congratulated them on this. Mrs Voortman and Mr Ulenbelt pointed out that the start was made by Soufian, who, at the Ahold shareholders' meeting in April 2015, made a very funny statement for a full wage for young people. In addition, autograph actions, publicity and discussions with the House of Representatives showed that there was real support for a change. This led to the majority of the Chamber calling for a substantial increase in the minimum youth wage. However, the Chamber did not give me an easy mandate, because the same motion asked to take into account the employment effects, the effects on participation in training and the effects on apprenticeships in secondary vocational education. That brings me to Mrs Voortman's question, which was also asked by Mr Ulenbelt, whether I support the principle of equal pay for equal work. That is to ask for the familiar way, because of course I share that principle. This also applies to the objective of ensuring that young people are entitled to full income. This means that they must be able to earn a decent wage, but also that we must ensure that they have opportunities for good work and good education. That is why these figures from the Central Planning Bureau are important in the assessment. Employment is important for young people, whether they are migrants or not, and therefore we need to look very closely at the effects of this type of change. The Central Planning Office has passed on a number of variants of the adjustment of the minimum wage. Mrs Voortman and Mr Ulenbelt said that they should not be taken so seriously, but I think that is unwise. The independent mathematicians are not there to decide what to do politically. They are there because it is useful to be able to ask independent third parties to help us calculate. The figures show that if we reduced the age for the adult minimum wage at one stroke to 18 years, the employment effects would be extremely large. This reduction, also in response to Mr De Graaf's question, is estimated by the Central Planning Bureau at 135.000 people. This is a multiple of the effects of the change that the cabinet is now proposing to the Chamber. It is precisely in order to minimise negative effects on employment, unemployment and training decisions that we choose to adjust the age for which the WML applies to 21 years. We do that step by step, and we adjust the stem. With that argument and also because of the lack of coverage for the costs involved in Mrs Voortman's and Mr Ulenbelt's proposals, I would advise against the amendment, including Amendment No NOW. The legislative proposal stipulates that we must keep a close eye on the labour market situation of young people in the coming years. Mr Ulenbelt gave me a nice question in that respect. What would the Central Planning Bureau have found of the introduction of the child law of Van Houten? That is a law of 1874, on the initiative of liberal politician Samuel van Houten. It is good that the pride of social legislation is shared in liberal circles. You're gonna see things differently. I can come up with anything the Central Planning Bureau could put in the picture. They could deal with the labour supply. You can hope that they would also point out the importance for the Netherlands and our economy and the fact that we all become more prosperous when children go to school instead of working in the factory. But, as far as I am concerned, speculating on that is pointless. It is ultimately about what is decided here, but in doing so you must ensure that you have as many relevant facts as possible. There is always more to this than just an economic effect, but also what you think is fair or not. I have thus understood the mandate of the Chamber: not only an increase in the minimum wage for young people, but a smart increase. With this proposal, we opt for such a smart increase. Step-by-step from 23 years to 21 years, so that the right is set for all while taking into account possible negative effects of a higher minimum wage for young people. The minimum wage is a very important tool for ensuring the security of life, but it also involves costs in terms of employment. That is precisely why I am taking a number of specific measures. Mrs Schouten also informed about this step-by-step introduction. This gives employers more time to anticipate and we can now keep a finger on the pulse with regard to the effects. Bbl-spots are partly excluded, so it remains attractive for employers to offer these places. Mrs Schouten, Mr Van Weyenberg and Mr Heerma already asked me about the exception for bbl-spots. The cabinet opts for this exception to ensure that it remains attractive for employers to offer these places, precisely because they remain so useful on their way to the labour market. Such an exception is also common in other countries, such as Germany, France and Belgium. With the monitoring we will look very closely at the development of the number of bbl-spots, including those of 21- and 22-year-olds. And yes, there can then be a small difference between the minimum remuneration of students in bbl-courses and bol-courses. At the same time, the Centraal Planning Bureau's note shows that a large proportion of the employees already earn more than the minimum wage in the current situation. The difference will therefore not be too great. In addition, employers are partly compensated for the increase, which has been designed for 18- to 21-year-olds. 21- and 22-year-olds may, if they meet the conditions, qualify for the LIV, the low-income advantage. That is also the answer to Mr Ulenbelt's question as to why employers receive compensation. By compensating them, we are not only ensuring that young people receive a higher wage, but also that they keep their jobs. By financing that compensation from the Disability Fund (AOF), the costs are borne by all employers together. It is solidarity between employers in the interests of young people. The AOF is the only fund to which all employers contribute, both private and government employers. Mrs Schouten and Mr Van Weyenberg also asked me about the way in which this monitoring will take place. Mid-August 2018 we have data on four quarters of youth unemployment and employment development. These four quarters are needed to correct seasonal effects. At that time, we have data on the development of the labour force, unemployment, employment by sector, participation in education and, specifically, the number of enrolments for learning places in the bbl for the academic year 2017-2018. These data give an indication of the labour market position of young people at that time. This is the overall picture of the minimum legal wage, the measures that limit the negative labour market effects and, of course, the economic situation. At that time, it can be considered whether the development of the labour market position of young people differs significantly from the development of the labour market as a whole. If that is the case, if the government decided to do so, the law could be amended in order not to allow a second step to be taken. So it is as Mr Van Weyenberg just said: that second step is in the law and the monitoring is there to be able to pull the emergency brake if it goes completely wrong. I thank Mr De Graaf for his increasing confidence. I'm counting a three-stage. It began with the appointment of John de Wolf, which Mr De Graaf enthusiastically supported. Last week, during the budget debate, he expressed his wish for four more years, which he later tried to pin on the CDA. Now stand up for what you find! Today he talked about the light at the end of the tunnel. We all know that this can also be an upcoming train, but I think this light was really positive, although I now see that it is turning away from that too. I hear Mr De Graaf screaming in four years' time in that tunnel. I've felt that way with him in that tunnel, let's just say that. But sometimes we all agree that something is wise. That's worth something in politics, too. In this respect, I can fully endorse what Mrs Vermeij said about this in her commendable contribution. It's good to realize between all that noise that you can accomplish things in this room. In this connection, Mr De Graaf asked me if I could ask my successor, whom he hopes I am myself, to report on this monitoring also on the basis of the old national definition of unemployment. I don't think that makes any sense. I think it would be wiser to follow the CBS. It uses the international definition and also makes a comparison with previous years on the basis of the same definition. It is good to always mention that, because otherwise there will be some kind of conspiracy theory about that definition and fortunately that is not the case. Mrs Schouten asked me why the compensation scheme is so complicated. The scheme may look complex, but it only has two conditions in itself: an age criterion and an hourly wage criterion, and is therefore relatively simple. These two conditions are necessary in order to ensure that it reaches the young people concerned, namely those between 18 and 22 years of age with a wage around the minimum wage for young people. In addition, the employer does not have to apply for compensation in the wage costs, which is paid automatically by the Tax Administration. That falls into the old category of "We can't make it any better, but we can make it easier." In this case, more fun also applies. This is done automatically. These measures improve the income position of working young people, respond to changing social attitudes and minimise negative effects. In this connection, Mr Van Weyenberg asked me whether I would pay attention to the relationship between pay, performance and seniority. Mr Van Weyenberg and I have had several exchanges of views on this subject, when discussing the Action Plan Perspective for over 50 people, but also in numerous general discussions. As indicated earlier, wage curves in the Netherlands are comparable in international perspective to those in our neighbouring countries. When comparing the Netherlands with continental-European countries such as Austria, France, Belgium and Germany, it is particularly striking that the wage profile in the Netherlands is becoming more flatter at the end of the career. It is indeed up to employers and employees to make agreements together, both at sectoral and individual level. The government welcomes the development of more and more collective agreements based on training and experience, rather than just age-based. The law lays down the minimum wage per month. The minimum wage per week is derived from that. Depending on the working time in corresponding industrial relations, the so-called normal working time, the worker generally has to work 36 to 40 hours. In the case of part-time work, the worker is entitled to a part-time minimum wage, but what if a worker works structurally or occasionally far more than the agreed hours or normal working hours? Logically, he would then be entitled to a proportional increase in the minimum weekly wage. That is what our inspection was based on in enforcement policy, but there was no explicit legal basis in the law. This made it impossible to maintain the minimum wage in this respect. This led to the situation where someone has to work 50 hours a week in structural terms, while under the law he is only entitled to a minimum weekly wage. That's undesirable. This also leads to displacement and artificial labour costs. This bill will fix that defect. In addition to the agreed and normal working hours, the employee is entitled to the minimum wage in proportion to the hour. In order to prevent this from being avoided by artificially increasing normal working hours, the normal working hours are limited to the maximum usually applied by employers and workers, namely 40 hours a week. However, the proposal provides for flexibility to include hours worked above the agreed working time in free time under conditions at a later date. Thus, under conditions, because if an employee does not get paid his hours and only has a vague agreement about later inclusion in free will, this could in turn lead to an erosion of the protection of the WML. Therefore, as usual during holiday hours, the employee should be given the opportunity to record the more worked hours before 1 July of the following year. If they are not admitted, they still have to be paid out at that time. It was also agreed that such time-before-time arrangements should be made possible in the collective agreement. In the case of temporary workers, this is the collective agreement of the user. Mrs Schouten asked why it should be that way. It concerns flexibility with regard to the minimum protection of workers. This minimum protection cannot therefore be made dependent on what is agreed individually. This does not adequately reflect the dependent position in which employees, especially those who are rewarded at the statutory minimum wage, are in relation to the employer. That can lead to abuse soon. That is why compensation for additional work at a later stage can only be done in this way. This ensures that the choice of flexibility in minimum protection takes due account of the interests of the workers concerned. That means that I must answer Mrs Schouten's question in the negative as well. There is nothing wrong with it in itself if a reward is made conditional on the performance of the work. There's something wrong with it if it means that you can't make enough money with a full working week to provide your primary necessities. That's what's going on with piecework. That is precisely the situation that this legislative proposal counteracts. Piece pay will remain possible, but we'll put a bottom under it. Workers must be paid at least the statutory minimum wage per hour worked. In doing so, we are combating unfair competition on working conditions at the expense of workers. This will also combat repression. We also achieve that employees receive a fair wage. The current legislation does not provide sufficient opportunities to address the abuse of piece-of-work payment. Several examples have come through the Chamber. It is the employer who sets the performance standard and indicates how much time it takes to stick a kilo of asparagus or clean a hotel room and what he then pays for it. The employee often has no insight into this or elements that do help to determine or even slow down the pace of work do not appear to be included in the performance standard. You can also see this in the Panteia study on the use of piece wages. Sometimes the employer calculates the time so tight that the performance standard is not feasible for many employees. In the end, as an employee, you do not receive the minimum wage but less, sometimes even significantly less. This leads to artificially low-cost production and therefore competes on unfair terms with other employers who believe that the minimum wage for working in the Netherlands should be paid and that you should not pass the bill on to employees. It is important that the inspection should be able to maintain the minimum wage even in the case of payment based on piecework. With the current legislation, our inspection cannot be carried out properly enough. That is why the piecework provision in the WML is adjusted, so that the right to pay the statutory minimum wage is guaranteed even in the case of piecework payment. It is no longer dependent on subjective performance standards defined unilaterally and often unverifiable by an employer. Sometimes you hear the objection that this could impair the motivation of employees. They will be paid the minimum wage after all and may no longer be motivated to do more. I'm not convinced of that. I think it's motivating for an employee if he knows that his employer pays him an acceptable wage and maybe a little more if he works hard. If the employee does not make sufficient efforts, the employer must contact him, as is the case with employees who are paid time wages. That's the other side of the coin. The employee is guaranteed the minimum wage, but has to do his job properly. Another objection to consequences for employers is that there would be a huge paperwork if everyone had to keep track of how many hours worked. The Working Time Act already requires the registration of working hours, including in the case of work outside the company. So this is not a new demand. In addition, the registration for the WML is form-free, so that the employer can best match the obligations he already has. Mr Van 't Wout has drawn attention to the conversion of employers who now work with piecework. Mr Van Weyenberg also asked whether employers would have sufficient time to prepare themselves. Employers in sectors affected by this change in the piecework provision have sufficient time. The bill was presented to the Chamber on 17 October. It's been public ever since. Anyone who has followed this debate can also assume that a rather large majority of the House will support the legislative proposal, so we can start preparing ourselves. For a number of sectors where piecework is paid, it is also very easy to determine and assess working hours. However, I realize that, and I have to admit to Mr Van 't Wout, it really requires a different approach for a number of individual employers. That is why I will speak with the social partners about the impact of changing the piecework provision on management and how we will adapt enforcement to it. There is a special sounding board set up for which employers working with piecework will be invited. I will get the signal that Mr Van 't Wout has delivered here today. Let us be aware that these are employees, people who are just above minimum wage levels and who have to work a full week in order to provide for themselves or their families. It's those people who need the protection. I am convinced that we can introduce it in such a way that it will take place on 1 July next year without creating surprises for companies or being sufficiently involved in this preparation. I would also like to update this in the spring, but these workers should not be beaten by unreasonable or unclear performance standards that lead to actual underpayment without us being able to do anything about it from the inspection. It gives a huge feeling of injustice when it is evident and yet you can do too little. In this context, Mrs Voortman referred to Rambam's broadcast on the hotel sector. She asked how many fines were imposed and whether hidden pieces of wages were more frequent. She asked me what I want to do about it. The inspection puts the capacity at risk. That means where there are the most persistent problems and the probability of impact is the greatest. The aim is to tackle the notorious offenders and abuses. Those are the companies that knowingly break the law. These companies are undermining a well-functioning labour market and they are undermining our social security system. One of these risk sectors is the cleaning sector. That is why the inspection has set up a separate monitoring programme. Within this programme, an optimal mix of tools is sought to achieve the objectives and effects: information, conversations with the industry, but also sanctioning, maintaining and monitoring. Furthermore, it is asked whether hidden constructions are more common. Yes, the inspection encounters a multitude of sneaky constructions. This bill lays the ground under that piece of money. I think it is very important that the standard be set. The statutory minimum wage must be paid per hour and the inspection will also have more opportunities to act. Mr Heerma asked how employers can be prevented from evasive towards zzp structures. An employer can't just switch tozzp-structures. The nature and circumstances of the work determine the nature of the employment relationship and whether there is an employeeship or a company. It is therefore not possible to opt for the use ofzzp'ers where employees were previously involved. Mrs Vermeij and Mr Van Weyenberg asked what I am doing to avoid problems with host parents now that the piecework is being abolished. It is true that by changing the piece wage provision at least the minimum wage per hour must be paid and that host parents will in principle be covered by the WML following the adoption of the WML-ovo bill. So that would bring about a change. It is true that this can have significant consequences for the price that demand parents will have to pay and, consequently, for the offer of host parents who cannot or do not want to receive more than one child at a time. With two kids, you're already here. However, the WML-ovo legislative proposal also provides for the possibility of excluding from the scope of the WML the employment relationship of certain categories of persons in AMvB due to special circumstances. The host care facility is eligible for this. It is a special employment relationship, in which one works in one's own home and can partially combine this with one's own tasks. In addition, the ovo is closed per parent couple. This leads to the situation that when a parent brings two children to a host parent, a fee of two times €5.60 is enough, but when the eldest child goes to school, the rate for the other child suddenly has to rise significantly. For the host parents, once they receive two children from one parent couple, they receive the minimum wage per hour, but if they receive two children from different parents, they must receive the minimum wage from both parents. It's two contract agreements. This makes it clear that there is a specific situation here which justifies an exception for that sector. I will therefore make use of the possibility of excluding from AMvB host parents the WML, so that the current remuneration structure and flexibility can be maintained. The WML-ovo bill will enter into force six months after publication. This offers plenty of time to prepare the AMvB. Moreover, I very much hope that the First Chamber will follow the example of the House of Representatives some time later and will indeed accept the bill. That would be very good. Mrs Schouten and Mr Heerma asked me how I assess the consequences of abolishing piecework during work outside the company, for example at home. How can the employer monitor productivity and hours worked? Well, in many sectors, distance work in any form is daily practice, even when it comes to remuneration to space of time. For example, when it comes to parcel delivery, home care and cleaning, it is already customary and well organised to keep track of how much time is being worked. The employee can do that by himself. That doesn't cause any problems either. When delivering leaflets, that space is generally available to the employee and therefore an employer will have to take measures to verify the number of hours worked. In fact, these measures involve monitoring of implementation. There may be costs involved. Ultimately, the question is whether the additional actions and costs required for employers outweigh the desired additional protection of workers and the prevention of distortions of competition through underpayment. In my view, the answer to that question is affirmative. Workers at the bottom of the labour market must also be able to trust that if they do their job properly, they will be able to receive the statutory minimum wage. Employers must be able to rely on their colleagues or competitors to pay fair wages to their employees and to compete fairly. However, I will go into the amendment that has been tabled in a moment. An amendment has been tabled by the VVD and the CDA in order to be able to work with the "reasonably" standard on piecework in certain specific cases. Mrs Schouten already asked me what I think of that amendment. I understand the wish expressed. After all, you want to set it up in such a way that all sectors can get out of the way with this law. I think this is the case with the legislative proposal that lies in itself, but at the same time I note that I have not been able to convince everyone of it. This means that I would like to leave the opinion on the amendment to the House. I do so with confidence, because the criteria that will apply to depart from the legislation show that there is a balance. There must be reasons to deal with the worker's freedom to organise his own work and the limited possibilities for the employer to supervise. Those reasons are reviewed by the foundation and by me at the joint request of the foundation. There are also safeguards to ensure that workers will earn the statutory minimum wage, even if the so-called "reasonably" standard is used. That standard will be established on a decentralised basis, and that is also a good thing. Not every employer will be able to set a standard for himself and at sectoral level it can. That was also part of the criticism of the Council of State. A standard supported by the sector also has a guarantee that that standard is right. It prevents underpayment and will simplify enforcement. In short, I leave this amendment to the House's discretion. The SP has tabled an amendment to abolish piecework altogether. I'd advise against that. As I have indicated, it is a well-established method of remuneration in a number of sectors, which also works in practice. It can also be perceived as stimulating. The major problem we face with this law is precisely the lack of soil. No misunderstanding, I do not close my eyes to the fact that in some cases piece wages can deliberately lead to underpayment and exploitation. That is not acceptable, and that is why this bill provides for that kind of soil. Mrs Voortman asked me if the inspection has sufficient capacity to maintain. Mr Heerma asked about the enforcement role and whether it would indeed be simpler. He also asked if the inspection was involved in the bill. The bill gives the inspection more opportunities to maintain unwanted situations in more cases, such as underpayment by applying piecework or non-payment of additional work. As I indicated in the explanatory memorandum, the current regime does not allow the inspection to continue. The change whereby the minimum wage must be paid per hour at least makes the inspection better able to maintain. In addition, the inspection can now do nothing about paying minimum wage for which much more hours are to be worked than can be expected. I have outlined the lack of a legal basis for this. The draft law does, however, lead to an intensification of enforcement. There will be underpayment in more cases, so more research is needed and a fine report needs to be drawn up more often. But that's what we want, because we're against underpayment. We would like the inspection to be able to maintain and actually do so. As these surveys are increasing in size and more cases of underpayment can be identified, we will take this into account when prioritizing. Last week we discussed the development of the inspection. In the motion Heerma/Van Weyenberg is asked to see how we will continue to develop the inspection in the coming period. If I am not mistaken, the Court has also adopted proposals for structural strengthening of the capacity of the inspection. The inspection also carried out an enforcement test on the draft legislative proposal. I'm closing up. I would like to thank the Chamber and all those involved in the drafting of the legislative proposal for the support that is now available for this proposal. I think it is extremely important to note that sometimes decades pass before the law changes, but that we are able to find each other, in the interests of the future and in the interests of young people.
ParlaMint-NL_2016-12-15-tweedekamer-8.u61	I had an interrupting debate with Mr Van Weyenberg. That was going to cross the street or rivers and stuff. It took 40 years and this is either the first or the second stone. I am very curious to see what perspective the Minister sees so that we no longer get criticism from the Council of Europe.
ParlaMint-NL_2016-12-15-tweedekamer-8.u62	I enjoyed that debate very much. You see how a metaphor like that works with people. Before you know it, you're all in the middle of the river or on a busy highway. The point is that we are doing something for the first time in 40 years, that youth wages are rising and that we are doing so in a sensible way. I think the voter's gonna talk about how that goes. You see different starting points in the election programmes of the different parties. I am very pleased, grateful and proud that, in addition to all those spiritual fathers and mothers in this Chamber, I can defend this proposal as a minister.
ParlaMint-NL_2016-12-15-tweedekamer-8.u63	It's been 40 years and I've been through all these years. An obvious question then is whether I'm going to see it go to 18 years.
ParlaMint-NL_2016-12-15-tweedekamer-8.u64	I wish Mr Ulenbelt every success. I wish him a long, healthy life, with Mrs Ulenbelt. I don't know when it's gonna be like this, but I do wish it on him.
ParlaMint-NL_2016-12-15-tweedekamer-8.u65	I think it was Mrs Van Wijken.
ParlaMint-NL_2016-12-15-tweedekamer-8.u66	Marga Wijker.
ParlaMint-NL_2016-12-15-tweedekamer-8.u67	Okay, excuse me. So what's the final goal the minister wants to go to? He pleads as a list leader for your ideals to be based on. Everyone understands that you have to compromise. You can't always realize your specific programme exactly. But what is the ultimate goal of this minister?
ParlaMint-NL_2016-12-15-tweedekamer-8.u68	Thank you. I was previously described in the Volkskrant as the savior of Mr Ulenbelt's marriage. Sometimes you have to collect what you get, even when it's unexpected. I think that this was an exaggeration and that he is personally responsible for it, but if I have been able to contribute to it, I welcome it. Mrs. Voortman is asking a very nice question. It is important to answer them honestly in politics. What is the difference between what you want as a list leader or a politician with your program and what you do here as a minister? Indeed, you describe your ideals and as a minister or a politician you put them into practice by taking steps forward. Everyone in this Chamber agrees that we are taking a step forward today. It's a wonderful time to explain, including to voters, that it works that way. You describe your ideals. Sometimes they're different from each other. You look for majorities, you try to do it wisely, you also consider objections and you take a step forward. The fact that this only succeeds once every 40 years on such a subject shows how difficult it is, but also how worthwhile it is.
ParlaMint-NL_2016-12-15-tweedekamer-8.u69	Do we have to wait another 40 years before it goes to 18 years? Or does it go much faster to 18 years if it's the minister's fault? What are we gonna do in the next term?
ParlaMint-NL_2016-12-15-tweedekamer-8.u70	The government is now proposing to reduce it in two steps. The various political parties, including the party I am a member of, propose to go faster to 18 years. It is first up to the electorate to decide which parties are at the helm for the next period. Whatever happens and whatever the interruption, I enjoy the fact that I am the minister who can defend this proposal today. It's a big step forward. I wanted to take this space metaphor a small step for man, but not a big step for mankind, because it was even more delirious, but we do have debates with each other in which the differences of opinion are greater. I very much agree with Mrs Voortman that you should ultimately come up with a full reward from all adults, but there is nothing against working to that in a sensible way, taking into account the fact that you want young people to keep their jobs. Will that take 40 years? I don't think so, but neither of us knows where we'll be in 40 years. That is the characteristic of the trip to Mars, or as a Chinese proverb says: a 1000-mile journey starts with one step. In hindsight, you only see when the steps were small and when they were big. Today it is a big step, but we do not know when the next one will be made.
ParlaMint-NL_2016-12-15-tweedekamer-8.u71	Perhaps this interruption will prevent a second deadline. We are working on legislation here. My point may be a little less uplifting, but nevertheless important. I welcome the Minister's assessment of my and the CDA's amendment. I just see that the daily publishers have also said that it is supported and that the clients can handle it well. However, there are still two things. There must be a ministerial arrangement if the clients or employers are to work with such a standard. Can we have that arrangement soon? I hope so. The Minister also knows that this is difficult in some sectors because employers are not organised in these sectors. For example, you could think of an external audit firm. I would ask the Minister to include this in his report. You will work with a standard again; that is the purpose of the law and that is what we support. However, in view of the intention of the amendment, it seems to me appropriate to say here that it should be possible to work with this in order to ensure that the practice is reasonable. We want to do justice to that too. I'll make it a little bit more visual: it doesn't matter if you deliver leaflets in a flat where all the mailboxes are next to each other or if you deliver leaflets to farms that are miles apart. I hope that the Minister will interpret it that way when this amendment is adopted.
ParlaMint-NL_2016-12-15-tweedekamer-8.u72	Yes. I would like to congratulate Mr Van 't Wout on the technical aspect of his amendment. With this, the co-legislator improves the bill with utmost precision. I can see the balance in that. I think it would be good to discuss this explicitly with each other. This balance means that an exception can be obtained if it is appropriate for the sector and there are sufficient grounds for doing so. Mr Van 't Wout asks what happens if a sectoral standard is needed, but a sector is not organised, if there is no normal interview partner or if it is not possible for an employer to get out of it in a normal, reasonable way with the employees. I understand that very well. The amendment provides that this can be done, but at the same time it is subject to conditions. We do not want an employer in such a sector to say 'do only 100 hotel rooms an hour', because it is obvious that you should not want that. Then someone should consider whether that is another standard that can be worked on. That someone shouldn't be the minister, because he doesn't know about it and doesn't know how many rooms you can clean in an hour. So there must be a condition that can be exactly as Mr Van 't Wout describes it: you point out an independent third party who knows the sector or you ask perhaps two or three people to make a judgment on the standard. It should not involve a great deal of red tape, but the balance between the employer's interests and the employee's interests, which characterises the legislative proposal, should be there. In this way, I would also like to shape these conditions by way of ministerial regulation. I understand very well that Mr Van 't Wout says that he also wants to be able to see that last piece soon if the bill enters into force on 1 July. I agree to start with that immediately and to send that arrangement to the Chamber when we are together, so that you can see how I have shaped it. That must be the case in February. I understand the concern and I think we share the goal. That is why I also welcome the amendment, which allows us to keep the balance that is being sought.
ParlaMint-NL_2016-12-15-tweedekamer-8.u73	I note that only Mr Öztürk needs a second term.
ParlaMint-NL_2016-12-15-tweedekamer-8.u74	Mr. Chairman. In the meantime, I've had to type two motions to ask the Chamber for a ruling. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that 22% of Dutch young people with a migrant background are unemployed, compared with 9% of young people without a migrant background;]] [[Considers that this is extremely worrying and that it is therefore desirable to establish a checkable ambition to achieve improvement in the future;]] [[points out that it is desirable to draw up policy targets on unemployment among young people with a migrant background,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Öztürk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34573-13]]
ParlaMint-NL_2016-12-15-tweedekamer-8.u75	Then I'll move on to the final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that monitoring of the labour market position of young people is part of the present legislative proposal;]] [[calls on the Government to take into account in this monitoring of young people's labour market position:]] [[possible differences in the labour market position between young people with different background characteristics, such as origin or level of education;]] [[possible consequences with regard to the nature of employment;]] [[young people's training decisions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Öztürk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34573-14]]
ParlaMint-NL_2016-12-15-tweedekamer-8.u76	Mr. Chairman. I was also guilty of commenting on the amendment to item No. 12 by Mr Öztürk. This one came in a little later and I didn't have her in the preparation. My response to that amendment is in line with my previous response to Mrs Voortman's and Mr Ulenbelt's amendments, where we have deliberately chosen to shape the abolition of youth pay for 21- and 22-year-olds in two steps, because we want to ensure that at the same time they receive higher pay and retain the jobs that young people have. That is a choice that requires me to discourage this amendment. I will continue with Mr Öztürk's two motions. In his first motion, that in part No. 13, there is no request to the government, so I cannot give an opinion on a ruling from the Court on this matter. His second motion, in part No. 14, is about the design of the monitor. Some of the elements mentioned in his motion will certainly be involved in the monitor. But I think it would be better to agree to submit the design of that monitor to the Chamber in due course. The members Schouten, Heerma and Van 't Wout also asked about this. The Court could then assess whether elements should be added or removed. If we put these three things into that now, I do not think that does justice to the complexity of this. I would ask Mr Öztürk to hold this motion until the monitoring proposal comes to the Chamber. If not, I would have to discourage the motion, because we would then be violating the importance of carefully examining this issue.
ParlaMint-NL_2016-12-15-tweedekamer-8.u77	We will vote next Tuesday on the bill, the amendments and the motions tabled. I thank the Minister, but also the MPs. I thought this was a very quiet debate. It's nice for a president to see that, too. But, as has already been said, it also shows how cooperation can sometimes lead to good results.
