ParlaMint-NL_2016-06-15-tweedekamer-10.u1	I welcome the Minister of Security and Justice. I call Mr Pechtold on behalf of D66.
ParlaMint-NL_2016-06-15-tweedekamer-10.u165	Finally, Mr Segers.
ParlaMint-NL_2016-06-15-tweedekamer-10.u166	A promise has been made here. A promise was made last year. First of all, to us, hence the indignation of the opposition. Because that promise is broken. Through us, however, this promise has also been made to these organisations: to the Public Prosecutor's Office, to the judiciary and to the police. That promise is broken. Those people are deeply disappointed. The minister says he stands for his people. If they're put away as beggars, what does that prove? Then what does it show that he stands for his people?
ParlaMint-NL_2016-06-15-tweedekamer-10.u167	This is demonstrated by the fact that I have very good discussions with these organisations, that these talks lead to conclusions and additional investments, and that these talks will remove the concerns of those organisations. I may not be able to do all that in one year. I don't think that's the point. Preferably, of course, but that's not always possible. We'll make sure that happens in the longer term. Good conversations are going on about that. That will also be confirmed by all those with whom Mr Segers is speaking as I am.
ParlaMint-NL_2016-06-15-tweedekamer-10.u168	This minister is really becoming a caricature of himself; I am terribly sorry. Everyone is asking for this at a crucial point: unity of government policy. And all we get is an answer that he has rehearsed in advance and which the Minister understands by now that the Chamber is not satisfied with. Because what's the point? A minister from the cabinet to which this minister belongs, Minister Dijsselbloem, the Minister of Finance, has called people from his organization "beggars." Then as Minister of Justice, you can say "I stand before my people," but then I want to see actions. Then I would like to hear from this Minister: this is not a cabinet policy, it is not a cabinet policy that we find these people beggars. After all, it's not just about what you realize for them, but about how you talk about them, whether you respect them. I do not see that respect in any way in this minister's eyes. I would like to see that in order to have confidence in this minister.
ParlaMint-NL_2016-06-15-tweedekamer-10.u169	Fortunately, I speak regularly with all these organisations, which I do not think are very well in agreement with Mr Klaver's conclusions on the lack of respect I would have. What I do every day from early in the morning to late in the evening together with these organizations also shows no lack of respect. There is only one thing I can tell you: the year I took office, there were concerns about the funding of these organisations. All I've done is, together with Minister Dijsselbloem and the rest of the cabinet, make every effort to take these concerns away. Each time we have extra money, we have managed to do that again.
ParlaMint-NL_2016-06-15-tweedekamer-10.u170	I'm looking for a little flexibility with this minister. I understand that this is prepared and that it's somewhere on a piece of paper. It may not now be whispered by someone sitting next to the Minister. It is now written down neatly, but it is that we would like to hear from the Minister that he simply does not agree with it, that his people are not beggars, but that they have legitimate wishes and that he has done everything he can to meet those wishes. But they're not beggars. Is it so hard to say that: they are not beggars? Can the Minister choose those words? He's here defending his finance minister. We're on your side, Minister. We are trying to help you to make sure that those holes are closed even faster, not your Minister of Finance at the moment. You should stand for all those people that day in, day out for you and for all of us at work. You won't. They're not beggars. Could you say that? Is that so hard? Or should I write it down somewhere and have it delivered?
ParlaMint-NL_2016-06-15-tweedekamer-10.u171	I think that the word game we are doing now is very important. I don't know exactly why yet. What is particularly important to me is to establish what the facts are. The facts are that, together with these organizations, recognizing their concerns, I have put everything on top of everything, on every occasion, to get extra money for it. I will be happy to go into detail in a moment on how that works. I think that's enough for this debate.
ParlaMint-NL_2016-06-15-tweedekamer-10.u172	Finally.
ParlaMint-NL_2016-06-15-tweedekamer-10.u173	Let me say something final. If you dismiss all the questions of all the colleagues here as a game of words, then you have no idea!
ParlaMint-NL_2016-06-15-tweedekamer-10.u174	I believe that Chamberwide is rightly being made the point that we can address the government to what is being said, regardless of the minister. Those aren't personal opinions. That is what the Minister of Finance has put forward here. In my view, the right question is: can the government not state that the word 'begging' is not the issue here, that it is a legitimate discussion of actual pain points and that it is not appropriate to put people here as caterpillars-never-satisfied, while in fact it is a question of resolving serious bottlenecks?
ParlaMint-NL_2016-06-15-tweedekamer-10.u175	That's exactly the point I'm making. I recognize the bottlenecks. I can't do that either, because I've done that since the day I joined. My job is to make sure I fix it. I do this together with Minister Dijsselbloem, together with the cabinet. I believe that this shows that we take the concerns very seriously. That should be enough for this debate. I would also like to address these concerns, but I acknowledge Mr Van der Staaij's point and I think my reaction shows how I feel about it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u176	It's not just about how the minister is in it, it's about how the cabinet is in it. If these are statements made by the cabinet, whether it is unclear or misunderstood, then it is appropriate to say in a debate like this on behalf of the cabinet: of course the word 'begging' is not mentioned here. It gives an atmosphere and a mood that doesn't fit here. I think it would be a good idea for the Minister to just say that.
ParlaMint-NL_2016-06-15-tweedekamer-10.u177	I am always inclined to agree with Mr Van der Staaij, given his undisputed parliamentary influence, knowledge and skill, but I think this is really about how I am in this case, in my treatment as a minister. I didn't put that word in my mouth. I wouldn't. That's not up to me. It wouldn't be a word I use. I would simply like to go into the content with the Chamber and Mr Van der Staaij.
ParlaMint-NL_2016-06-15-tweedekamer-10.u178	Mr Pechtold rightly referred to the constitutional unity of government policy, as laid down in Article 45 (3) of the Constitution. This means that we can address the Minister as a member of the cabinet to all statements made on behalf of the cabinet. Otherwise, each time, in each debate, we must invite five ministers who have said something about it. This is the minister speaking on behalf of the cabinet. If confusion has arisen, the Minister should actually say: it does not matter whether Minister A or Minister B said it, but this is what the Cabinet thinks; the word "begging" does not fit in with this.
ParlaMint-NL_2016-06-15-tweedekamer-10.u179	I think that's what I'm saying. I didn't put the word "begging" in my mouth; I would never do that. I've clearly indicated how I'm in it. That is also the position of the cabinet, because the members of the cabinet, including Minister Dijsselbloem, are working together to solve the problems we have recognised and had properly investigated. In my view, this also answers Mr Van der Staaij's question. I had started with a general introduction. It is very important to note that in 2015, before my arrival, EUR 128 million has already been allocated to the security chain to combat terrorism. A significant part of this, 32 million, has also been allocated to my department's budget for the Public Prosecutor's Office and the national police. Fortunately, I have been able to strengthen the previous budget, which for 2016, by EUR 250 million. 139 million of these went to the national police, 25 million to the judiciary and 15 million to the Public Prosecutor's Office. In addition, there has been investment in the NFI, the probation, the fight against undermining crime and the fight against fraud. These additional resources have enabled the police, among other things, to conclude a good collective agreement, which does justice to the difficult work that our policemen do day in and day out. I am very pleased with this result.
ParlaMint-NL_2016-06-15-tweedekamer-10.u180	It's like we're living in different realities. It's wonderful when some things go well with the police and the justice chain. 7% absenteeism is twice the national average. ICTs are sent home, neighborhood agents are overloaded, detectives are operating in such a way that one-tenth of the delivered cases are dismissed. DNA collection, agreed after Els Borst's murder, has still not been arranged. The Rotterdam parquet alone has 1,000 cases. The errors in the files mean that the number of acquittals has doubled. There is too little capacity and time to fight undermining crime. About the NFI, which the minister was just as proud of, he had to report this afternoon that 22 people are leaving. Lack of detectives leaves 1,000 homicide cases and another 500 very serious other crimes, such as rapes and robberies, unsolved. The percentage of packing is 26: that did not increase, did not decrease. The phrase "it's going well and the people are supporting me" doesn't show any ambition if you're nine months, eight months old, minister? How can the Minister ship off the people who work there with this kind of hollow talk?
ParlaMint-NL_2016-06-15-tweedekamer-10.u181	Mr Pechtold mentions a list. I have responded to all these points. I also agree with the comment on absenteeism. That is absolutely too high with the national police. In the past, I have also had an extensive exchange of views with spokesmen on this, because it is absolutely essential to bring it down. That's a Chief Constable's priority. Of course, this also has to do with the reorganisation, especially with its long duration. My priority was from day one to complete the reorganisation in the interests of the people working in the national police as soon as possible. I am very pleased that I have indeed managed to do so in a number of months. I have received a great deal of support for this from the police unions, and I have received a great deal of support for it from the policemen themselves and from the internal organisation. I am delighted that it has been possible to do so. A new collective agreement, the completion of the reorganisation, the reopening of vacancies, all of which brings national police forces back in order as an organisation. In addition, the Chief Constable will pursue policies, as I also promised the Chamber, to reduce absenteeism. Let me make two other points very quickly. Mr Pechtold repeated his comments, so I shall now reply. The number of board cases at the Public Prosecutor's Office has fallen considerably in recent years. This means that these delays will also be eliminated. It's being worked hard, in every way possible. I will take another example from that. At the end of this month, the Court will have the results of the Reinforcement performance criminal justice chain programme, which will also show exactly where improvements have been made. That means there's a lot of work to be done. That's never different from what I've said. But I really want to distance myself from one thing. Mr Pechtold explained in my words that somehow I would not stand for the people, or that I would like to distance myself from their performance or qualities in any way. That is absolutely not the case. I'm completely in front of every single police officer. That is why I have worked hard and hard over the past few months to do justice to the interests of police officers and of the people working in the Public Prosecutor's Office and the judiciary.
ParlaMint-NL_2016-06-15-tweedekamer-10.u182	Before I give you the floor, Mr Pechtold, I note that many questions have been asked which the Minister has said he will deal specifically with. I am looking at how we are holding this debate...
ParlaMint-NL_2016-06-15-tweedekamer-10.u183	That will be the case, Mr President, but of course it is the general picture that is at stake. It is about the general picture of a minister who says: I am in front of my organisation and they should be pleased with it. Well, I don't think they should be happy about that at that organization at all. If I were to work in that organization, I would soon be hoping for a new minister, a minister who understands that his predecessor, Mr Opstelten, has rammed the national police through, so it is now true that it takes twice as long and costs 200 million extra. It is a credit to this ruler that he says that that may indeed be the reason why there is 7% absenteeism. But those are individuals. They're people. There are 50,000 cops, or how many are there now? I'm not a justice spokesperson, but it'll be something like that. So these are just hundreds of people, about whom the minister simply says: yes, that you are sick or overworked, because we as VVD thought that we could ram those national police through. That's what the Minister says now. Those are hundreds of people sitting at home and sick, and we now say, "Get some work done." Let me pick out one thing. Does the Minister deny that at the Public Prosecutor's Office in Rotterdam, at the public prosecutor's office, 1,000 cases are now on the shelf for more than a year? Is he gonna insist there's nothing going on at the D.A.'s office?
ParlaMint-NL_2016-06-15-tweedekamer-10.u184	Just for the record: Mr Pechtold is of course doing very cleverly by first making a few accusations to my address and then asking a question, hoping that I will forget to contradict the heavy things he tried to put in my shoes for that. I am very concerned, I say in the direction of Mr Pechtold, about the high absenteeism. That's what I just said. That is why I have had an extensive exchange of views with the Chamber on this matter. That is why, together with the new chief of police, I have also made this an important spearhead of his new policy. It is indeed undesirable that people should be at home as a result of a reorganisation or for other reasons. That is precisely why it is very important that great progress is made on this point. That sick leave needs to be reduced. In this respect, I do not recognise the qualifications which Mr Pechtold then makes to me. I hope that the police officers who are watching this debate also recognise that I have not said that at any time, that I have never said that and that I will never say that. I fully support these people.
ParlaMint-NL_2016-06-15-tweedekamer-10.u185	I know the minister as a nice man, but we're not talking about the man Dijsselbloem who says, "They're begging, and I'm done with it." We're not talking about whether man Van der Steur is an incredibly nice guy. We are talking about the fact that, in the last year of this cabinet, as a cabinet and opposition, we are jointly responsible for the gaps that we have been talking about for years and which the Minister himself admitted when he adopted his budget in the autumn that something had to be done about them, but that did not happen. I find it embarrassing that we are here from the opposition trying to use all the means of pressure to ensure that the holes, where the problems are now, are simply covered. The fact that we have to wait for that for more than a year is not to stand for your people. I think it's great to see that if you're on a job visit, you give everyone a hand and you know all the names. You're incredibly charming, but you just have to tell that Dijsselbloem not to make that kind of statement. And more importantly, you have to tell Dijsselbloem: "I need a few hundred million now. Everyone gets it. Hennis gets it, Van Rijn gets it, everybody gets it, but I really need it now. Even people are sick at home because of our cabinet policy." You should.
ParlaMint-NL_2016-06-15-tweedekamer-10.u186	I think it is a good thing that, in this case, Minister Van der Steur and the nice man behind him come together. The concern for absenteeism in the police force, which Mr Pechtold rightly calls attention to, is therefore a major concern for me. I am concerned about the fact that so many people are sick at home because of a number of circumstances. The aim of this cabinet is therefore to reduce this absenteeism. The Chief Constable accepted that as his own assignment. This means that every effort is made at this point to do justice to the people who are sick at home now, for whatever reason. It's not good for the organization and it's not good for the people, and then it's not good for me. I would like to thank Mr Pechtold for seeing that the way in which I operate as a minister and the way in which I operate as a human being coincides completely.
ParlaMint-NL_2016-06-15-tweedekamer-10.u187	I think we started this debate in the eyes of this Minister, and I could not escape that impression with some hassle, namely those difficult questions about his fellow minister who had put police and justice as beggars. When we had that lucky we were done; the minister did not want to distance himself from it. The minister started his good news show. But it wasn't a good news show; it was a list of half-truths. What the Minister did there was very quick to list all sorts of figures without telling us how much savings had already been made in previous years and how much there was against threatening cuts or real cuts that have already made up for certain investments. Let me take one point: the 15 million euros from the Public Prosecutor's Office, promised in the November letter of 2015. There's nothing left of that, because there were all kinds of sums on the other side as cuts, for example on the prosecutors, or on the ICT. The Minister has not yet acknowledged that. I think we should discuss the facts in this debate, and I would ask this Minister to do so. Be honest about that.
ParlaMint-NL_2016-06-15-tweedekamer-10.u188	The point of the D.A.'s office is coming back separately. I'd still like to suggest...
ParlaMint-NL_2016-06-15-tweedekamer-10.u189	Mr President, this was the Minister's good news show. I want us to give an honest picture of the facts. This is important for this debate. Otherwise, we cannot have a debate on this.
ParlaMint-NL_2016-06-15-tweedekamer-10.u190	No, but that's the point that's on the table. And if that is not the case, I will certainly give you the floor to ask for it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u191	Thank you, Mr. Chairman. I am now going to answer the individual questions. First of all, let me answer the question...
ParlaMint-NL_2016-06-15-tweedekamer-10.u192	Before you proceed... Mr Van Nispen, the proposal is to have the Minister give his answers. He certainly goes into the matter of the Public Prosecutor's Office and then you will have the opportunity to interrupt.
ParlaMint-NL_2016-06-15-tweedekamer-10.u193	Fine. Then we'll talk to the state's attorney's office later. But the whole line that De Telegraaf reported this morning...
ParlaMint-NL_2016-06-15-tweedekamer-10.u194	I think he'll come back to that.
ParlaMint-NL_2016-06-15-tweedekamer-10.u195	... cuts on the police of 30 million, cuts on the Public Prosecutor's Office of 3 million...
ParlaMint-NL_2016-06-15-tweedekamer-10.u196	That's all gonna come up.
ParlaMint-NL_2016-06-15-tweedekamer-10.u197	... cuts in the Council's jurisdiction of 5 million. If the Minister is putting on a good news show here, it can't go unspoken. I simply think that we should have a debate on the facts. We can ask that of each other here. It would be a pleasure for the Minister to mention that at the same time as the good news show. If he doesn't, he doesn't give a fair picture of the facts.
ParlaMint-NL_2016-06-15-tweedekamer-10.u198	We're all here. So if that does not happen, the debate is not over.
ParlaMint-NL_2016-06-15-tweedekamer-10.u199	I would like to respond to Mr Van Nispen's comment on De Telegraaf. I would like to say that openness and transparency are the guiding principles of my policy, but providing the news media with internal notes that are part of a discussion in an ongoing financial year is a lot of openness and transparency as far as I am concerned. This is indeed a misconception of reality. Of course, in my department there are always windfalls and setbacks in the course of a financial year. This is, of course, discussed within the official organisation. Of course, the Chamber will be informed about this when it is on the agenda, and that is, of course, at the end of the journey, namely in the budget and in the annual report, so if you know what the outcome of these matters are. It is annoying that these documents are now on the table, because the question arises as to whether 50 million savings are being made on the national police. No, that is not the issue, because in this current financial year there will also be windfalls that you will then turn against each other. I am pleased to be able to answer Mr Van Nispen's questions on this point. It is indeed a good thing that we take the facts as our starting point, and that means that we should not start from interim reporting for the first quarter of this year. It can be quite different today. I think it is right that we should not be tempted to talk about it then, because it is ultimately based on incomplete information about reality.
ParlaMint-NL_2016-06-15-tweedekamer-10.u200	This is interesting, because now the Minister denies very strongly that new cuts of EUR 30 million on the police, EUR 3 million in the Public Prosecutor's Office and EUR 5.5 million in the Council of Justice are threatening for 2016. If the Minister can take these concerns away immediately, for example by saying that this is not the case, we are already a little further. So we do not have to see the media throw a fine message into the world, as we did last Monday, but we can hear that there is absolutely no truth in the Minister's saying that there is a threat of austerity. I find that remarkable.
ParlaMint-NL_2016-06-15-tweedekamer-10.u201	It is wise for Mr Van Nispen to listen carefully to what I have to say. I would like to state that this is an internal note. On the basis of an internal note, we never really have a debate in the Chamber. That's right, because if you start with that, the end is lost. That internal note states that there is a problem and that there is also a philosophy about the direction of solution. That internal note ends at the end of the year in an end result. Of course, we must pursue this policy. But the suggestions put forward there are not official policies. Otherwise, I would have informed the Chamber. On this point, I can reassure Mr Van Nispen, because it is only at the end of the journey that it becomes clear what the real problem is.
ParlaMint-NL_2016-06-15-tweedekamer-10.u202	So it's just philosophy. It's not gonna turn out to be anything. We can hear from the media that there will be extra money for the Justice Department. Internal pieces that have come to us in any way do not seem to me to be a philosophist. I just want to hear the Minister's whole story. It can't be that the good news does go out through the media, but that about threatening new cuts is said: that's all philosophized and we'll hide it somewhere later. That's not how it works.
ParlaMint-NL_2016-06-15-tweedekamer-10.u203	No, but Mr. Van Nispen must understand how it works. Of course, there are setbacks and windfalls in an ongoing financial year. Of course we're talking about that. Of course, we are wondering what should happen if it were to remain so and if there were no windfalls against it. How could that possibly be covered? I am not involved in these issues myself. They don't come to me until there's a real discussion. This was an internal note that simply shows how to think about it. But if it is official policy, the Chamber will be informed at the appropriate moments. That's how it always works here, and that's how I'm gonna do it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u204	It is very strange that the Minister has just said on the first point that he does not really want to talk about it. This is incredibly important. If in 2016 there is a greater shortage of police than the deficit we are talking about, that is a huge problem. That's what the Chamber wants to know. So my question is: are the figures in the papers correct? If so, and this was also Mr Van Nispen's question, is it even conceivable that, in addition to the problems that exist today, this problem will also play, either in 2017 or with it, those 300 million would be used again to solve old problems; nothing new investment will be made either in 2016?
ParlaMint-NL_2016-06-15-tweedekamer-10.u205	I could involve this issue in the national police force, but I'm pulling it forward. The national police system is as follows: An investigation has been conducted by PwC at the request of the police to see what the police need money to do their job in the coming years. We then had a validation carried out by Mr De Jong. Those documents have been sent to the Chamber and they are part of discussions on my budget. This shows that extra money was needed for the national police. I did those investigations because I wanted to know exactly what we were talking about from the care I shared with the Chamber and which I had myself from the day I was appointed Minister. I wanted to know straight away what the fact that we are extending the reorganisation means for the efficiency task set up by the national police on the day the reorganisation began. This means for the year 2016 that we have invested EUR 188 million extra in the national police force, including the Spring Note, of which I would like to return to this point: EUR 31 million will directly benefit basic police care. That is different from what I have just heard a number of spokesmen say, namely that there will be no extra money for basic police care. Out of the 49 million released in the spring note, 31 million will benefit basic police services. This was the basis for the budget debate and, therefore, for the spring note. Those are essential things. If you compare what is additional for 2016 compared to Mr.De Jong's validated outcome, there is still a difference between around 50 million. I have agreed with the national police that by means of additional steering measures, in a number of areas, which can solve 50 million within its own budget without this leading to forced redundancies, reduced police capacity or whatever. If that does not work, then there is always the reserve for the national police who is sufficient to deal with such a setback. This means that the 2016 total national police package complies with Mrs Kooiman's motion and that I hope that for the future, together with the cabinet, I will take firm steps for the national police for 2017 and subsequent years. That's exactly the story. Forced layoffs and additional cuts are not on the table.
ParlaMint-NL_2016-06-15-tweedekamer-10.u206	Is this the point of the national police?
ParlaMint-NL_2016-06-15-tweedekamer-10.u207	I hadn't started at the point of the national police.
ParlaMint-NL_2016-06-15-tweedekamer-10.u208	Yes, but you have just said that you are raising that point. I suggest you finish that first. Members will then be given the opportunity to intervene.
ParlaMint-NL_2016-06-15-tweedekamer-10.u209	I have actually answered the questions that have been asked about the national police. I have also indicated that I am complying with the motion tabled by Mrs Kooiman, which was shared by the Chamber. I would add that this problem has not yet been resolved for the future. That may be clear. That therefore means that my commitment is to make sure that the Millions' Note, together with Minister Dijsselbloem and his name has been mentioned here more often than not, that there will be an additional investment for the national police. I have also read in the newspaper that there has been talk of amounts. If it were in the order of EUR 300 million, I would have been greatly helped, because I would be able to solve a large part of the problem effectively, if not all the problems. It would be a big step forward.
ParlaMint-NL_2016-06-15-tweedekamer-10.u210	The Minister refers to the motions tabled during the examination of the 2016 budget. That treatment was in November. That is exactly the context of this debate. Then the Minister said: I will take up these motions and I will go to the fight for amounts in the year I took office if it turns out that there are gaps. Is it true that with the image that the Minister is now sketching, he has exactly what he has asked for?
ParlaMint-NL_2016-06-15-tweedekamer-10.u211	Mr Segers will understand that I will not make any announcements about the internal discussions in the cabinet. What I stand for is whether it's enough. Is this gonna work? Can I as a driver accept that this is the result for 2016? The answer to that is: I can. I can add that I am in good consultation with the Public Prosecutor's Office about a setback that expected it in 2016. We're trying to solve that problem. My commitment is to get that done. That is also acceptable. The point of the national police has been solved. Good discussions are held with the Public Prosecutor's Office and negotiations are under way with the Justice Council for the years 2017 and beyond, on top of the investment we already made in 2016 for the judiciary.
ParlaMint-NL_2016-06-15-tweedekamer-10.u212	The Minister says that it is fine or at least a result that he can defend, but the opposition then says that it is not fine, when we have given a general mandate and have not chiseled amounts in stone and laid down in a motion. The assignment was "Look what the holes are, go close them and fight for it." The Minister said: I commit to it; I do it. In the debate in March, in which the Prime Minister was present, Buma tabled a motion and I heard the Minister very well: he was going to fight for it. If we then talk to the organization and when it says that it is not enough, that people should be sent home and that things are not going well, then that is not an outrage played out but it is about holes that have fallen. The Minister can't take responsibility for that, can he? He can't say it's fine, can he? If he stands before his people, and he said at the beginning of the debate to do so, then he must fight much harder.
ParlaMint-NL_2016-06-15-tweedekamer-10.u213	I told you, there's no such thing as forced dismissal. I stand before my people. I think the result for 2016 is absolutely acceptable. Of course, there are still points of discussion. It is up to me to get rid of them together with, for example, the Public Prosecutor's Office. I will. That's exactly how it's supposed to be for a minister. The result is acceptable.
ParlaMint-NL_2016-06-15-tweedekamer-10.u214	Finally, on this point.
ParlaMint-NL_2016-06-15-tweedekamer-10.u215	I have a very specific question. If the police send people away in the next few weeks, if people are sent away who are now working very hard on the ICT problems with the national police, which are very big, what does the minister do? What does he do when people say in the justice system that they can't do it and that they could close a branch, if the KEI project fails, if the Public Prosecutor says he can't invest in quick trial, or the ZMS project, and if people are sent away from the NFI? What will the Minister do when it appears next week that people are walking out the door and not coming back? So what is the response of this minister?
ParlaMint-NL_2016-06-15-tweedekamer-10.u216	Insofar as this leads to the failure to comply with the agreements we have made with each other, I will take action. That goes without saying. That's exactly what I'm doing. Let's be real: 188 million extra for the national police is not nothing. That is a very high amount, which I am extremely pleased with and which we have helped the national police fantasticly, on the basis of the investigation and the agreements we have made with each other. In recent years, the Public Prosecutor's Office has received 36 million for a number of specific tasks, including the Hoekstra Commission, counter-terrorism and structural 15 million for ICT. And yes, I have sent documents to the Chamber on this at its request. It is so that the Public Prosecutor's Office has indicated that it expects a problem of around 14 million for 2016. Of course, we will solve this problem together. It's as simple as that. That's what I'm gonna do with the D.A.'s office, and that's what the Chamber should expect from me. I'll report on that, and the Chamber can take care of that.
ParlaMint-NL_2016-06-15-tweedekamer-10.u217	Everywhere we've researched and talked about, there's holes. I want to zoom in on the police fines. There's a 40-million-dollar setback. How will they be collected and covered for 2016 and the following years?
ParlaMint-NL_2016-06-15-tweedekamer-10.u218	Firstly, I have spoken extensively with the Chamber about the fines, because that is a matter of concern. Mr Van Oosten said on this point that he would like to see the fines and transactions not included in my department's budget. They are at the moment, and I will have to do so. And I do. In the last year the fines have been extremely disappointing. Why? Because the national police have abandoned their desire to achieve a better collective agreement. As I have said in general terms that I have discussed it with the Chamber, that strike is delirious. This means that even in the first quarter of this year, as we have reported to the Chamber, the fines and transactions have been disappointing, especially the fines. I think and hope that, as Mr Pechtold said in an interrupting debate, this means that people are better at keeping to the agreements. That would be very good. It is not good for my budget, but very good for our country. That's what the agreements we have on speeding violations are for. I will, of course, ensure that there are setbacks on this point. They will not lead to any form of redundancies or additional cuts in the organisations we are talking about. However, I am going to look very closely at two aspects. If Mr Pechtold will allow me, I will explain them. The first is road safety on the provincial roads. We agreed with each other that we would structurally reduce the number of deaths on provincial roads. That has not happened in recent years. I am very concerned about that. If Mr Pechtold were to ask me where, in my view, safety requires an extra effort to maintain the maximum speed, that would be a point I would like to step up. That's what I'm talking to the mayors and the provinces about. It is one of the points that I think I should be expected to take appropriate action, given the number of deaths on these roads. I will.
ParlaMint-NL_2016-06-15-tweedekamer-10.u219	So there's gonna be flashlights on 80 kilometers of roads. The Minister is now bringing it from the perspective from which I like to see it, namely fewer road deaths. I hear the Minister now saying that there are lights coming on 80 kilometers of roads. The Minister comes because he is 40 million short this year and writes in his Spring note that he is going to get that from the fines. So it's true. So the Minister intends to raise 40 million from fines on 80 kilometres. I'm sketching the picture. At the beginning of the year, fines were generally increased by more than 1%, while administrative costs, which amounted to €7, were increased to €9. It was already more than cost-covering, it is now much more than cost-covering. Actually, it's part of the fine. I love the story of road safety, but is it true that the Minister is going to get about 40 million out of more fines?
ParlaMint-NL_2016-06-15-tweedekamer-10.u220	Whether this will generate 40 million depends on the degree to which the target is met, namely the reduction in the number of deaths on these roads. Mr Pechtold is now suggesting that this should yield 40 million, but that is not how I am. I am Minister of Security and Justice and it is my job to ensure that security is guaranteed. I don't personally care about what I use to do that. It's about the ultimate goal. We note that there are many more deaths on B roads than we consider desirable. We have put in place a policy that will reduce this. That's not gonna happen. We must take action on this. I'm fine with the fact that any income comes from that. How much that is is not of great importance to me. What really matters is that we have to achieve the goal. I don't think the suggestion that it's mixed together is right. It is true that the fines have been increased by 1%. That is the inflation correction, so the fines have not actually been increased. They're getting up in inflation. The Secretary of State has discussed administrative costs extensively with the Chamber. These are based on the actual increase in the cost of collection.
ParlaMint-NL_2016-06-15-tweedekamer-10.u221	Mr. Pechtold, finally.
ParlaMint-NL_2016-06-15-tweedekamer-10.u222	I might need another one, because the minister is here keeping a story about road deaths, but it's not at all. In his own Spring note, which he apparently doesn't know, he says he's 40 million short. He gets 14 million out of other cover. We don't know what that is. I like to hear what's going on. The Minister writes very clearly about the rest of 26 million: "The setbacks on the file fines and transactions will be covered for 2016 and further by taking measures in the area of traffic enforcement, and by including the indexation of traffic fines in the multi-annual budget." So it has nothing to do with the policy that the Minister suddenly thinks: I'm going to do something about the road deaths on the provincial roads. No, the Minister is 40 million short and wants the Chamber to believe he's making it on the provincial roads now. No, he gave himself the task of raising 40 million with the same finance minister in his back. I ask a specific question: is that 40 million deficit covered only from those provincial roads? Does the Minister exclude from what he himself writes, namely that other fines go up or that the police are once again confronted with coupon quotas: go out on the street and make sure you pay my budget together?
ParlaMint-NL_2016-06-15-tweedekamer-10.u223	Mr Pechtold is really turning things around. I only have one simple line: fines are there to get people to follow the rules. That's what we do in those places where security gives it. In this case it is about the B roads, because there is a problem that cannot be solved in other ways. In the end, the end result is irrelevant to me. The goal is to reduce the number of road deaths on provincial roads. Of course, you can include that in your Spring note. It is a policy that you can pursue, but the policy has a goal, namely to improve road safety. There will be no question of coupon quotas to reassure Mr Pechtold.
ParlaMint-NL_2016-06-15-tweedekamer-10.u224	Mr President, my final point. Can the Minister tell me how to raise $40 million? That's what he writes in the Spring Note! I am not concerned with the noble cause of reducing the number of road deaths, because it is a financial problem. The minister has to cover that up, and he's trying to cover the county roads. Can he do a math for me that shows you how in six months they will indeed be able to pick up a little too fast there, and 40 million on the provincial roads? That is what we are talking about, because the Minister writes that he will solve the problems of 2016 in 2016.
ParlaMint-NL_2016-06-15-tweedekamer-10.u225	I am happy to do so, but Mr Pechtold will understand that I do not have the underlying calculations in front of me in my budget. If Mr Pechtold wants me to do so, he will of course receive that answer in second term.
ParlaMint-NL_2016-06-15-tweedekamer-10.u226	Mr Van der Staaij.
ParlaMint-NL_2016-06-15-tweedekamer-10.u227	Mr President, Mr Buma wishes to intervene on the issue of fines. I have a different point of my own, which is why it might be better for him to go first.
ParlaMint-NL_2016-06-15-tweedekamer-10.u228	Okay. That's what you guys arranged.
ParlaMint-NL_2016-06-15-tweedekamer-10.u229	Many thanks to Mr Van der Staaij. I am indeed concerned with the point made by Mr Pechtold. I am also surprised that the Minister's reply includes the importance of road safety. A noble interest! I myself have been the spokesman for Traffic and Water State and indeed the reduction in the number of road deaths is a goal. If what the Minister says is true, then there is a goal that needs to be met and which follows what needs to be done with the fines. If the Minister says he's concerned with road safety, I'll ask him where the target is.
ParlaMint-NL_2016-06-15-tweedekamer-10.u230	The aim has been formulated when the policy we have for years and therefore have not been materialised, namely to reduce the number of road deaths. If Mr Buma wants to know what the precise objective is and what exact numbers are involved, I have to change that further with him in the second term, because I have not at the moment been prepared to do so. The starting point is that... Mr Pechtold is right that you can also make other choices. My predecessor has not abolished the coupon quotas for nothing. I fully support that and will not re-introduce it. Road safety is also the starting point for the policy of the Public Prosecutor's Office. The goal is to reduce the number of road deaths on the B-roads, something I'm very worried about.
