ParlaMint-NL_2016-02-04-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-02-04-tweedekamer-8.u107	I would like to give two answers to that. Firstly, I will ask Mr Dijkhoff to stress once again to the CJIB that it must actually implement what has now been invented. I have no reason to believe that they would not do so from 1 January, but well, frappez toujours! Repeating the message is never wrong. Secondly, the batter-free foot must also be maintained by the public pursers. We know that sometimes that leaves something to be desired. That is something I keep underlining. That is why I would like to simplify the batter-free foot so quickly.
ParlaMint-NL_2016-02-04-tweedekamer-8.u108	Can the Secretary of State for the next general consultation, I believe, confirm in writing on 6 April that the CJIB will also take into account the fines imposed before 1 January and not yet paid, if a route is now agreed? The practice must now become real that trajectories do not fail because the CJIB crosses them.
ParlaMint-NL_2016-02-04-tweedekamer-8.u109	I am going to light my light on that and write down what I can find out about it, including my colleague in that letter.
ParlaMint-NL_2016-02-04-tweedekamer-8.u110	I have a very short question. The Secretary of State asked to give her names and numbers if we had them. I'd like to offer her a case like this through the messenger. I don't like calling these things public.
ParlaMint-NL_2016-02-04-tweedekamer-8.u111	Thank you very much.
ParlaMint-NL_2016-02-04-tweedekamer-8.u112	I would like to continue with the answers given by the Minister in relation to the social cost-benefit analysis, just to clarify. There will of course be evaluations around the summer. Apparently, that's what the Secretary of State is waiting for. I can see that in itself. The request in the motion is indeed to carry out an all-inclusive cost analysis on top of all the measures that have already been launched. I heard the Secretary of State say that there could be a follow-up investigation. That was expressly not the intention of the motion. Once we have done that analysis and that leads to recommendations, this leads me to an improved and more effective debt relief policy.
ParlaMint-NL_2016-02-04-tweedekamer-8.u113	Mrs. Yücel, I'm interrupting you, and you're making a statement here. You have a second term or motions for that. What's your question?
ParlaMint-NL_2016-02-04-tweedekamer-8.u114	My question is whether the intention of this motion is clear to the Secretary of State. I am not asking for this social cost-benefit analysis to be carried out in order to carry out a new analysis.
ParlaMint-NL_2016-02-04-tweedekamer-8.u115	I wanted to be Mrs Yücel for her sake. It's of course en-and. There will be an evaluation first, as I promised the Chamber. He'll be here before 1 July, right on time. Then, of course, we'll look at that analysis. The recommendations from both the evaluation and the analysis I present here and then we look at what we do with them in the follow-up. Of course, it may well be that the evaluation or analysis shows that the inspection at different municipalities could and I am not confused by a thermometer. So it's real
ParlaMint-NL_2016-02-04-tweedekamer-8.u116	I have two brief questions for the Secretary of State. I hear the Secretary of State talking about tackling poverty. Does she agree with the VVD Group that the best approach to poverty is a job, job? I'd like to hear a reaction to that. I shall put my second question equally. The Secretary of State is talking about taking over debts, again just now in the debate with Mrs Yücel on the cost-benefit analysis. Can she explain to me what her answer is to all people, people on high or low incomes, who always pay their bills neatly?
ParlaMint-NL_2016-02-04-tweedekamer-8.u117	My answer to Mrs Lodder's first question is that I think that is as clear as glass. If you get a job, especially an indefinite job with a fixed contract, that's a great route out of poverty. But there has to be a job. We have found that in recent years these jobs were not exactly for bragging, and then I express myself euphemistically again. Many people have also lost their jobs because of the financial crisis and have had to put tears on their nerves, which was certainly not easy. It could have happened to all of us. I think Mrs Lodders and I disagree on the second. That also makes sense, because we come from two different denominations in terms of ideals. I do not think it is wrong at all that, on the basis of solidarity from people who deserve it, you should ask for a contribution to be made to the standard of living, so that you really raise taxes and contributions to the standard of living, and that you look at whether you can help people who have very little money, even with forgiveness. Of course, the people with the thicker wallets will contribute to that. However, I find that I do not have a lot of problems with that, and then I express myself carefully again.
ParlaMint-NL_2016-02-04-tweedekamer-8.u118	We agree on these jobs. They weren't for picking up. Fortunately, we are seeing more and more jobs. We are also working on this government's commitment to ensure that these jobs are created. I think we still have a number of steps to take there, especially towards all employers who are careful about hiring people because of all the risks. However, that is another debate. We're not gonna feed that here. But that is another debate and we are not going to have it here. When it comes to taking over debts, the VVD Group believes that a family faced with sudden accumulation of unforeseen events should be helped. In her view, it cannot be the case that people who do not manage to balance their income and expenditure and make use of all kinds of facilities over and over again are billing other people. I hope the Secretary of State agrees with her. I mentioned the example from Amsterdam. You get the bill presented for people who have low incomes. That can't be the case, can it? What does the Secretary of State say to people who have to pay €56 in such an account?
ParlaMint-NL_2016-02-04-tweedekamer-8.u119	Of course, you can never merge that one-on-one. We also see, of course, that the taxpayer provides funds for people's allowances or remissions. I also think it is very good that the people who have much more to spend in our society help people who cannot do enough. We put the supplements on it. From my background, I find that not so much wrong with that. Of course, you have to try to get everyone through life, including people with ultra-small wallets. Edoch, Mrs Lodders rightly mentions the people who, over and over and over again, make use of their resources and then again and again in debt relief, that is another chapter of the report. They just put the flowers out and say, "Help me again." Of course, that will come to an end at some point. In the evaluation, we'll see what that means to those people. With the principle that one contributes a little to the other's life is not so wrong.
ParlaMint-NL_2016-02-04-tweedekamer-8.u120	I'd like to go over the blocking of these living bills. I indicated earlier in AO's that the case referred to me mainly concerns ABN AMRO and Lindorff, the bank's household collection agency. I also read in the letter from the Secretary of State that banks themselves state that there are very few cases involved. Now you can disagree on what's very small. As I have done before, I will pass on to the department the cases that I am referred to, so that the Secretary of State can extrapolate whether this is all cases and whether it is very small or likely to occur more frequently. Banks rely on the right of netting and thus establish themselves as a very preferred creditor. The Secretary of State also indicates that. I don't think that should or shouldn't be possible. I hope that the Secretary of State will be able to increase the pressure again on the basis of the cases I am being put forward.
ParlaMint-NL_2016-02-04-tweedekamer-8.u121	Oh, yeah, yeah, yeah, yeah, The Dutch Association of Banks has really informed me that she too strongly disagrees with the blocking of these accounts. She didn't tell her members that once, but more than once. That is why I am pleased if Mr Heerma really wants to send me the names and numbers, no matter how strange that sounds.
ParlaMint-NL_2016-02-04-tweedekamer-8.u122	This put an end to the first deadline. The question is whether there is a need for a second deadline. That seems to be the case. I give the floor to Mrs Karabulut.
ParlaMint-NL_2016-02-04-tweedekamer-8.u123	Mr. Chairman. The Secretary of State often says: then I still express myself euphemistically. Yeah, she does that all the time. She represents things more beautiful than they are. I did not get an answer to the question of how successful it is that the lower 10%, i.e. those with the lowest incomes, received 20 billion in debt, while the richest 10% in the crisis built up 50 billion in capital. She doesn't answer that. It cannot do that either, because then it becomes clear that a policy of impoverishment is being pursued here, which makes the rich richer and the poor poorer. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the number of households in debt continues to grow;]] [[calls on the government to clarify the extent to which policies contribute to the emergence of problematic household debt and to come forward with proposals to address the cause of problematic debt,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Karabulut and Mr Koşer Kaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-327]]
ParlaMint-NL_2016-02-04-tweedekamer-8.u124	Mr. Chairman. Thank you to the Secretary of State for the answers. As far as preferential creditors are concerned, I want not only a list but also an answer to the question of how they relate to each other and whether we should improve it. I would like the Secretary of State to include this in her letter. On the legal moratorium, I note that there will be an Internet consultation in two months' time, while the Secretary of State said it would be dealt with in the Council of Ministers before Christmas. I think that's a little late. Can't we go any faster? Finally, I will table the next motion, because the answers to the BKR registration were very disappointing. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas young people who buy a home may later find it difficult to pay their mortgage as student debts out of the picture;]] [[Whereas, moreover, there is an unfair difference in the possibilities in the buying market between young people who do and young people who do not report their study debts;]] [[calls on the Government to examine ways in which study debts of young people can be made understandable and what measures are needed to strengthen the position of young people in the (buy) housing market;]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-328]]
ParlaMint-NL_2016-02-04-tweedekamer-8.u125	Mr. Chairman. Thank you to the Secretary of State for answering the many questions. I'll file the next four motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a higher risk of poverty for population groups may lead to more social problems and less participation in society;]] [[invites the government to promote the prevention and combating of poverty among 55- to 65-year-olds, non-Western immigrants, single-parent families and children as spearheads in municipal poverty and debt policies,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[invites the government to carry out a brief review of whether and, if so, to what extent the government's cancellation of debt and takeover of debt at low interest rates can contribute to reducing the high social costs of debt restructuring and to the action perspective of people with problematic debt,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas according to the CBS, the risk of long-term poverty is highest between 55 and 65 years;]] [[Whereas the employment prospects of 55 to 65-year-olds are currently very low;]] [[invites the government to come forward rapidly with concrete proposals to strengthen the working perspective of older people;]] [[invites the Government to make proposals to maintain and improve the income situation of unemployed elderly people, in order to prevent a fall in poverty;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas according to the CBS, the risk of long-term poverty is highest between 55 and 65 years;]] [[Whereas the employment prospects of 55 to 65-year-olds are currently very low;]] [[invites the Government to reduce the age limit for the mobility bonus and the no-risk policy for employers to 50 years;]] [[invites the Government to maintain the IOW and IOAW as long as the employment prospects of 55 to 65-year-olds, certainly from the assistance, are very low,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-329]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-330]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-331]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-332]]
ParlaMint-NL_2016-02-04-tweedekamer-8.u126	Mr. Chairman. It was once again an extremely classic debate on poverty and debt relief policies. Unfortunately, it's not going down yet. In April we have a general discussion in which we will have a detailed discussion on this matter. I will certainly come back to the complex ICT systems as well as other problems that do indeed play a role at the moment, including prevention. If necessary, I will also table motions.
ParlaMint-NL_2016-02-04-tweedekamer-8.u127	Thank you, Mrs Koşer Kaya. Mrs Yücel has waived her term, just like Mr Van Klaveren. I shall now give the floor to Mr Kuzu.
ParlaMint-NL_2016-02-04-tweedekamer-8.u128	Mr. Chairman. Assistance and debt go hand in hand. Over the last few days we have been able to hear about this in the media. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that household debt is a persistent problem that is on the political agenda every year;]] [[whereas people in debt tend to live a life of stress and misery;]] [[Whereas every human being has talents;]] [[calls on the government to give municipalities a financial incentive to help people who are long-term in the assistance to work;]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-333]]
ParlaMint-NL_2016-02-04-tweedekamer-8.u129	If Mrs Yücel of the PvdA is really serious, she also supports this motion.
ParlaMint-NL_2016-02-04-tweedekamer-8.u130	Mr. Chairman. It is everyone's own responsibility to balance their income and expenditure. That goes for the government, but also for the people at home. The heart of this debate is that we are doing a lot to help people. We have the assistance, we have arrangements, we have surcharges and we have a safety net in case people are really upset, because that can happen to anyone. But a safety net must never involve a structural dependence on government and taxpayers. You can't and you can't present the account to people who pay their bills, taxes and premiums neatly.
ParlaMint-NL_2016-02-04-tweedekamer-8.u131	Is the Secretary of State able to comment on the motions? That's the case. Then I'd be happy to give the floor to the Secretary of State.
ParlaMint-NL_2016-02-04-tweedekamer-8.u132	Mr. Chairman. I will, indeed, comment briefly on the motions. I'll start with the motion in part No. 327 by Mrs Karabulut and Mrs Koşer Kaya. I have indicated that we are evaluating the Wgs, the Municipal Debt Aid Act. The Court shall receive that evaluation before 1 July. Of course, the SMEA, I would almost say 'from Mrs Yücel', is mentioned. This motion is therefore superfluous. That's why I'm dissuading her. In the motion in part No. 328 by Mrs Schouten, the government is asked to examine how to make student loans accessible to young people so that their position on the housing market can be strengthened. This, of course, respects colleagues Bussemaker and Blok. So I have to formally discourage the motion. Materially, I could say that perhaps the petitioner can hold the motion so I can probe both colleagues for a moment. I'll come to the motion in part No. Mr Krol called on the government to promote the prevention and combating of poverty among 55 to 65-year-olds, non-Western immigrants and single-parent families, as a priority of municipal poverty and debt policies. Children have also been added to this. I've always put the emphasis on the children. I understand Mr Krol in such a way that he also says 'yes' to that. I would like to repeat in a collection letter that these groups, of course, sometimes also live in rather difficult financial conditions. I therefore leave this motion to the Chamber. In the motion in part No. 330, which has also been submitted by Mr Krol, is requested for the cancellation and takeover of debts by the public authorities. That question is entirely in line with Mrs Yücel's motion on the social cost-benefit analysis. I would like to include this motion. I would like to see whether there can be some relief at this point. If I can really use her as an investigative motion, I would like to leave it to the Chamber. In the motion in part No. 331 by Mr Krol, the government is invited to make proposals to maintain and improve the income situation of the long-term unemployed elderly. I do not recommend this motion, because the letter from Minister Asscher of 30 November last states that he is working with the social partners to draw up an action plan to tackle long-term unemployment of 50+. This action plan will contain concrete measures. I have already said that this plan will be ready in the spring. I propose that we wait for the action plan and the motion on item No. Not to be adopted. In Mr Krol's fourth motion, the motion in part No. 332, the government is invited to maintain the IOW and the IOAW as long as the employment perspective of 55 to 65-year-olds is very low. I also advise against this motion, because this motion is also in the context of the action plan I have just mentioned. I propose to the author of the motion to wait until the action plan has been published. This was my response to the six motions filed.
ParlaMint-NL_2016-02-04-tweedekamer-8.u133	There is another motion by Mr Kuzu.
ParlaMint-NL_2016-02-04-tweedekamer-8.u134	Excuse me. In the motion in part No. 333 calls on Mr Kuzu to give the government a financial incentive to municipalities to help people who are long-term in the assistance to work. The government has given the municipalities a financial incentive. We do this every year, in the context of the 100 million structural funds that we send to the municipalities to combat poverty. We do not give the municipalities an additional financial incentive in this respect, except for an additional financial incentive for the sport for children. That is why the Chamber voted in favour of the budget. We do, of course, have the resources available to help the long-term unemployed, but we do not make any additional resources available. I therefore advise against the motion in part No. 333.
ParlaMint-NL_2016-02-04-tweedekamer-8.u135	Mr Krol was first on the interrupting microphone.
ParlaMint-NL_2016-02-04-tweedekamer-8.u136	I would like to reassure everyone as far as the motion in part number is concerned. Article 332 of the EEC Treaty. I can live entirely with the Secretary of State's explanation. In the meantime, I can inform you that Mrs Yücel will sign the motion.
ParlaMint-NL_2016-02-04-tweedekamer-8.u137	What does the Secretary of State think about the fact that more and more signals have recently been coming out about municipalities that are only a short while away from welfare and that they are doing very little or almost nothing for people who are on long-term assistance?
ParlaMint-NL_2016-02-04-tweedekamer-8.u138	The municipalities are busy to provide tailor-made services, including in the context of the Participation Act, for all people in the assistance, long-term and short-term. This means that for people who have been on welfare for a very long time and have all kinds of problems, addiction, mental problems, don't call it immediate and immediately paid work, because that is of course very difficult. However, they try to excite those people to get back in the game. I know that this has been widely discussed in the press in recent times, but, fortunately, municipalities have their welfare recipients more and more in their sights. "Happy" because that's been a little less for a while. In addition, the motion in part No. 333 the nature of an amendment. That's why I have to discourage motion.
ParlaMint-NL_2016-02-04-tweedekamer-8.u139	Some of the motions are directional. In any case, it is a good thing that the Secretary of State did not miss the fact that there have been a lot of municipalities in recent times that have not picked up on this particular issue. I ask the Secretary of State if she really believes that by enthusiasts of people who are on long-term assistance, municipalities can help these people to work. That is the answer given by the Secretary of State. However, I do not think that we can manage with enthusiasm alone.
ParlaMint-NL_2016-02-04-tweedekamer-8.u140	I didn't just say that municipalities excite the people in welfare. I also analyzed which groups could be involved. Mr Kuzu and I do know these groups. We know that employers are not immediately eager to give these groups a place in their business. Before that, there is a long way to go to get people to do so. I notice that municipalities are more and more committed to these people. Fortunately, because in the past they used to think simple: we leave this group of people for what it is, then we focus on those who can easily lead us to the labour market. I believe that Mr Kuzu and I do not disagree.
ParlaMint-NL_2016-02-04-tweedekamer-8.u141	I would like to thank the Secretary of State for answering the questions and commenting on the motions. The motions tabled will be put to the vote next Tuesday.
