ParlaMint-NL_2016-12-14-tweedekamer-4.u1	I would like to welcome the Prime Minister. Good day, Mr. Omtzigt.
ParlaMint-NL_2016-12-14-tweedekamer-4.u120	Yes, I am speaking on behalf of my group in the House of Representatives and there is no reservation on this from colleagues in the group. I am speaking on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats. That was about the question, but I was looking forward to dragging the boat back. Was this a statement that is being made in the European Union, or is it only included in the internal party debate of which D66 and VVD are collectively collegial and uncollegially members? Then Italy. Italy is not formally on the agenda, but the country is about to save banks. Does the Prime Minister share the view that when the country does so, it should be in accordance with the rules of the Banking Union, namely a bail-in? Specifically, the taxpayer must not take the fall for this. In Cyprus we have applied the bail-in, and that bail-in has hit a number of Cypriot savers hard. As far as a larger country is concerned, it cannot be that we should not stick to it. I would like to see a letter on the risks posed by TARGET2 at a later date, perhaps the Prime Minister could make a commitment to this. We have asked this before, but the answer was not entirely clear. If a country withdraws from the euro, then those risks will remain and we will remain at a loss of tens or hundreds of billions, will we not? At EFSI, I would like to know what the financial risks are for the Union. Is the financial control of the EFSI that is now doubled so well controlled that we do not face accounts afterwards because there is too little guarantee capital? Finally. The Prime Minister said outside the microphone that the food was not good, but yet Prime Minister Maij was sent away after the official summit and an EU-27 summit begins.
ParlaMint-NL_2016-12-14-tweedekamer-4.u121	You mean May. Maij is a member of the PvdA Group.
ParlaMint-NL_2016-12-14-tweedekamer-4.u122	I am going to visit the British cabinet as rapporteur with Mr Maij, so I was a little confused. Indeed, she is not yet Prime Minister of England. However, the Prime Minister and not Mrs Maij will be dismissed and there will be no formal agenda or documents on the future of the European Union. There may be very far-reaching options on the table. We would like to receive the documents on what will then be on the table and what will be the position of the Dutch Government. We addressed this question to the Foreign Minister a month ago.
ParlaMint-NL_2016-12-14-tweedekamer-4.u123	Mr. Chairman. Cooperation in Europe brings prosperity, jobs and the associated tax revenues. We can maintain our health care and social services from tax revenues. European cooperation also has disadvantages, think of globalisation. In Africa, where population is growing rapidly, where poverty prevails and where governments fail to put their own country in order, people are looking for a better destination. This leads to the flow of migration from Africa to Europe. The people of Europe are concerned about this. Do politicians have that under control? What does it mean when people come from other cultures on our continent and into our country? Now there are people in Europe who always see more European Union as a solution to every problem. They then talk about strengthening European institutions or introducing direct taxes. I just spoke in an interruption with the spokesman of the Democrats 66, a party that is in favour of that. On the other hand, we see people and parties who think they take people's concerns seriously, but do not really do so. They come up with fake solutions and they hope that the European Union will fall apart. The VVD, my party, wants the European Union to solve the major cross-border problems that concern people. One of the important problems in this context has already been addressed, namely migration. We can see that the European Union is working on so-called migration compacts. These are agreements with countries in Africa, for example, to keep people there and, if possible, to send them back. The VVD is very much for that. In recent weeks, we have also asked for the results in various debates. Mrs Mogherini of the European Commission would present the results before tomorrow's European Summit. Are those results back yet? We haven't seen that presentation yet. We'd like to get an insight into those results. The European Union has added value in this area. The European Union must therefore show these results. Is the Prime Minister satisfied with these results? By a number of spokesmen, not only of liberal houses, but even spokesmen of Christian houses, words were devoted to Warsaw, where the liberals came together. The Prime Minister said something there about the distressing situation in the Mediterranean. People are being sent across the sea on the basis of cynical business models of human smugglers in non-seaworthy boats. The minister said we have to drag those boats back. The VVD very much agrees. How does the Prime Minister see the implementation of this wish? What does it have to do to get that done? I would like to have more insight into that. I come to the European budget.
ParlaMint-NL_2016-12-14-tweedekamer-4.u124	We can, of course, make jokes about the sometimes shattering family relationships within the ALDE Group. I also think that these are very healthy fences, where Guy Verhofstadt, Hans van Baalen, in turn, indicates where the liberals stand in Europe. I think that's only very healthy. However, I think it is important for Mr Mulder to answer the following question. We are talking about what we want and what we do not want with Europe. Mr Mulder has also always said that Europe is important for jobs and for the payment of care and education. I couldn't agree more. But what does the VVD Group think of the fact that, on the one hand, the Prime Minister in Brussels constantly agrees with, and says yes to, all kinds of proposals and with them tries to solve people's problems, and on the other hand, in Box K in The Hague, always pretends that there are no such proposals, as if they were dreams of more Europe? That is what he says here, when he himself said yes to it in Brussels. What does Mr Mulder and the VVD Group think of this dual attitude of the Prime Minister? He's dangerous, isn't he?
ParlaMint-NL_2016-12-14-tweedekamer-4.u125	Mr Verhoeven is talking about a double attitude. I don't see them. I see a Prime Minister who has worked hard to reach an agreement with Turkey in the last spring. That's what he's been working for. Other parties in this Parliament also supported this. I can see that this has produced results. It wasn't easy to make a deal like that, but it worked anyway. And it has also produced results. After all, migration flows and the number of drownings in the Aegean have decreased. That's a result. You can stand up to Europe and hope the EU thunders. But you can also use Europe to solve people's problems. That's what the Prime Minister does.
ParlaMint-NL_2016-12-14-tweedekamer-4.u126	Exactly. That's always the line of D66. In the case of major cross-border problems, such as problems with external borders, the fight against terrorism, the reception of refugees, you must have the courage to work together with the countries of Europe to find a solution and to do so in your own parliament. I always hear Mr Mulder and the VVD saying the same thing. But why does the Prime Minister always pretend that these are dreams of more Europe? That's what he says here, while his actions show that he's working on more Europe. What does the VVD think of the fact that the Prime Minister always says yes, and here in The Hague always pretends to say no? That's what he's saying here, when it's just demonstrably not true.
ParlaMint-NL_2016-12-14-tweedekamer-4.u127	I would like to agree with Mr Verhoeven, because we are in the liberal family together. We can joke about that, but I do not see that there is 'yes' in Europe and something else here. I see a Prime Minister entering Europe and achieving results there, going to Warsaw to say what he thinks of the future of Europe. This has been seen here in Parliament, but also across the border. We see a huge commitment to Europe to achieve results. On the one hand, the VVD welcomes the European multi-annual budget, because it reflects Europe's priorities. There is more money for migration and the security of external borders. People expect politicians to have Europe's external borders in order. The VVD welcomes that. That's important. At the same time, however, not everyone in Brussels understood it correctly. We see Mr Juncker, who has already been quoted today, calling for a voluntary fund. The Christian Democrats in the European Parliament advocate free Interrail for 18-year-olds. Are these the problems that Europe needs to solve? Is that what people are waiting for? My group does not think so. I have already said that Europe must tackle the major cross-border problems. Much has already been said about Ukraine by colleagues. The Prime Minister is working on a legally binding solution. As we have said before, we agree with the commitment of the cabinet: no military assistance, no extra bag of money, no right of access for Ukrainian workers to the European labour market and no stepping up to membership of the European Union, but the fight against corruption. We are doing justice to people's concerns and at the same time we are not running away from our geopolitical responsibility towards Russia. Russia is trying to destabilise the European Union. Exercises along the border with the Baltic States, the occupation of Crimea and, as recently, the installation of missiles in Kaliningrad, these are all attempts to destabilise Europe. We must not let ourselves be separated and give the Russians a gift by not ratifying. Mr Verhoeven asked the Prime Minister how he saw the follow-up. I'd like to answer that question. What's the timetable? Suppose there's a deal, when does the law that goes with it come to the Chamber? The Brexit has already been discussed. The Brexit will be discussed at the European Summit. I have a number of questions and comments on this.
ParlaMint-NL_2016-12-14-tweedekamer-4.u128	I suggest that you proceed and that Mr Jasper van Dijk be given the floor afterwards.
ParlaMint-NL_2016-12-14-tweedekamer-4.u129	We have now established a task force in the Netherlands that deals with the Brexit. Is that task force sufficiently invested within the government? By which I mean to say: is the leader of that task force someone who can actually pick up the phone if something is going on and call Mr Barnier directly? Did we invest that well? A number of parties have asked what the Dutch are doing in the negotiations. I have some suggestions for that. The VVD believes that Mr Barnier's mandate should not be too broad, but that he should return regularly to the Council of Ministers when important decision-making points and milestones are reached in the negotiations, so that the Netherlands and then the Dutch Parliament can take a good look at these negotiations. There is much talk of bilateral negotiations between Member States and the UK, pre-negotiations. The more transparent Mr Barnier is, the less likely that he will be. For the rest, we need to keep an eye on our business. It has not been said that the importance of the EU as a whole is the same as that of France. France is looking at the Brexit differently. While most people in the Netherlands didn't like that Brexit, the majority of the French people think that Brexit is actually good. That could tell us something about how France is in the negotiations. I'd like to get a reaction to this. We must also fight for Dutch interests, such as fisheries, as the Christian Union has already said. Finally, on the internal market. There is still much to be earned if you really finish the internal market. Amounts of 1,000 billion are doing the round, which you could still achieve in economic growth in Europe if you go further. Ireland has taken the initiative to write a letter to the European Commission..... The Netherlands has participated in this process to see how to move forward with that internal market. Can the Minister say anything about the results of this? What's that gonna do? I'm shutting down the way I started. If we can generate economic growth in Europe, it will lead to jobs, prosperity and tax revenues that will enable us to maintain our important social benefits, pensions and care.
ParlaMint-NL_2016-12-14-tweedekamer-4.u130	I would also like an explanation from the VVD on the legal statement. Does Mr Mulder recognise that the added value of the legal statement is at least questionable, especially if Ukraine does not sign in?
ParlaMint-NL_2016-12-14-tweedekamer-4.u131	Mr Van Dijk asks that question to everyone. We are indeed curious whether this is the case. I therefore agree with the questions put to the Prime Minister.
ParlaMint-NL_2016-12-14-tweedekamer-4.u132	The VVD can think for itself. If we find that many experts say that such a statement has no validity if Ukraine does not sign with it, can Mr Mulder now say 'it is a pacifier for us' or does he not dare to say so?
ParlaMint-NL_2016-12-14-tweedekamer-4.u133	Mr Van Dijk is trying to provoke me. I think there have been good questions asked. We look forward to hearing the Prime Minister's answers on this matter.
ParlaMint-NL_2016-12-14-tweedekamer-4.u134	Has Mr Mulder taken note of the opinion of the Council attorney on the validity of any addendum proposed by the Prime Minister?
ParlaMint-NL_2016-12-14-tweedekamer-4.u135	Yes, the debate with Mr Omtzigt this morning was about that. We downloaded that from the Delegates Portal, as it's so beautifully called. As I said, you cannot quote from that.
ParlaMint-NL_2016-12-14-tweedekamer-4.u136	That's right.
ParlaMint-NL_2016-12-14-tweedekamer-4.u137	That's what makes it difficult.
ParlaMint-NL_2016-12-14-tweedekamer-4.u138	But you can paraphrase out. The paraphrase that I would like to put to the Prime Minister is that no obligation on Ukraine can follow if it does not sign it or does not accept it. That is also in the Volkskrant today and in Trouw, but it is strange that I should have to consult external professors for that, when the European Union itself says so. Does the VVD Group still believe, as it did in previous debates, that a possible declaration should be legally binding and that you should go to a court to enforce it, or should that statement only be politically binding, as many VVD campaign slogans have been in the past?
ParlaMint-NL_2016-12-14-tweedekamer-4.u139	I have the same reaction to that as to Mr Van Dijk's question. Those are good questions and we are very interested in the Prime Minister's response to the legal obligation that this entails.
ParlaMint-NL_2016-12-14-tweedekamer-4.u140	Chairman...
ParlaMint-NL_2016-12-14-tweedekamer-4.u141	No, I give the floor to Mr Segers.
ParlaMint-NL_2016-12-14-tweedekamer-4.u142	There's something else I want to ask you.
ParlaMint-NL_2016-12-14-tweedekamer-4.u143	No, everyone asks a question and a follow-up question; so do you, Mr Omtzigt.
ParlaMint-NL_2016-12-14-tweedekamer-4.u144	I have a question about another point, about the fight for fishermen. I thank the VVD Group for its support. The name of Mr Mulder's colleague is also under the motion we tabled. That motion states that during the negotiations on the Brexit fight to suspend that landing obligation. The Secretary of State has said: well, if it comes up, then perhaps I will put up a little ball, but perhaps not. Is that not enough for the VVD group too?
ParlaMint-NL_2016-12-14-tweedekamer-4.u145	My colleague, Barbara Visser, who is a very appropriate name, is talking about this. I'm going to Scheveningen with her next Friday to look at the fishing industry there. I am sure that we supported this motion, because it was right to draw my attention to it. I am afraid to say whether she is saying that the Secretary of State has to step up on this point. I suspect so, but she's not here right now. I know she's busy with the landing obligation, so I suspect we're pulling on the same side of the fishing net, so to speak.
ParlaMint-NL_2016-12-14-tweedekamer-4.u146	First of all, I would like to congratulate Mr Mulder on his birthday, but it would also be nice if we could congratulate the fishermen on a very assertive Secretary of State who does not say 'well, if it comes up, I'll talk with you', but he does what the motion asks and so he raises it. I have already asked the Prime Minister about this. I think we're gonna pull the same net or what is it? And then we fight for the same cause.
ParlaMint-NL_2016-12-14-tweedekamer-4.u147	I think that's the case.
ParlaMint-NL_2016-12-14-tweedekamer-4.u148	We have come to the end of the first term of office.
