ParlaMint-NL_2016-11-30-tweedekamer-4.u1	I would like to welcome the Minister in our midst.
ParlaMint-NL_2016-11-30-tweedekamer-4.u113	Mr. Chairman. The State, the government has always been a kind of extended family for us, as they call it in English, or in archaic Dutch: a large family. For things we couldn't arrange in a domestic environment, we needed a much larger group, and that eventually became the government. In the Netherlands the government was created because one had to build dikes together. In other countries, for example, the formation of armies has had much more influence on this. The State was always the level at which a people formulated their highest ambitions and it was a shield for the weak. The State was all of us, the State was what we were proud of. The State was also the roof of the barrier, the foundation of politics. In recent years, when I look around and listen to my ear, the question increasingly arises whether the State is still there to protect us and whether the State still wants to be the level at which the people formulate their highest ambitions. Or has the loyalty of the State now ended up rather one-sidedly with the progressive elite and its extension to Brussels? Unfortunately, we see that the State of the Netherlands has become an instrument in the overthrow of the Netherlands, in facilitating the influx of large groups from abroad, which have a great influence on the demography and thus on the culture and survival of our culture in the Netherlands. We also see it in many other areas. We see the police on the street are making a retreating move. There is very little blue left on the street and the police are less and less dominant. We see that the government ignores a democratic statement on the Ukraine referendum. We see that a vlogger who threatens a council member is not arrested, while a MP who says something shared by almost half of the Dutch, my group leader, happens to be in front of the fence. We see that our culture is less and less defended by that State. We can see that Dutch, our language, is already almost extinct, I exaggerate and come under pressure, let me put it this way, in higher education, where coal-Dutch is widely spoken. Blackbird's gotta break. We have a Deputy Prime Minister who is committed to this and who is engaged in a wide range of consultations to put pressure on companies, broadcasters and local authorities, so that Zwartkeit is eradicated and destroyed. A piece of our culture, which we are all proud of! A small minority of professionally injured people want to get rid of Zwartkeit. The Netherlands wants Zwartkeit, but the State is committed to destroying it. How is that possible and why is that? At the same time, Ramadan and the Sugar Festival are promoted through the government. In Amsterdam, the Labour Party even made sure that the Christian cross disappeared on the miter when Sinterklaas entered, because it also hurts all kinds of people. Azc's are supported by this minister, also in the sense that municipalities that do not receive enough asylum seekers or status holders are being cut off and threatened with everything. It is strange that all kinds of small minorities seem to be of great importance to this government. We've heard the Prime Minister say so many times: there are more of us, but why is Blackbird going to die? I find the gap and many with me. I am particularly sorry that there is this gap and that people are complaining about it. I wonder whether the Minister sees this and what he has done in recent years to ensure that the marriage that is traditional between the State and the people is restored. I am thinking, for example, of the referendum, in general, as an instrument. Luckily, there's a nice initiative bill. When I see how this minister has dealt with the Ukraine referendum, I find that rather disappointing. Not only how the cabinet dealt with the ruling, but also how this minister dealt with the practical implementation of that referendum in terms of the number of polling stations. Two weeks ago, another study showed that there is one thing that determines the arrival of the ballot box, namely the number of polling stations. That makes a lot of sense, too. If you have to leave an end, you say rather: look at it, while when it's around the corner, you come. That's one-on-one from that investigation. Too bad we saw so few polling stations at that Ukraine referendum. Colleague Van Raak just quoted a statement from that beautiful and at the same time gruesomely painful video in which a council member said: we have very few polling stations, so we have a lot of money left. Democracy costs money. If we don't want to, we shouldn't get started. There are state forms that are a lot cheaper, but we don't want them. A referendum is part of democracy. Then that must also be taken care of properly and there should simply be polling stations. Is the Minister prepared to ensure that this is simply carried out in a practical way? Is he prepared to just embrace that instrument of the referendum, which he always does a little bit bit about? Two referendums will be held today, Mr President. So this debate is well timed. Compliments for that. A referendum will be held in Rotterdam and one in Arnhem. The turnout isn't overwhelming yet. I heard half an hour ago that the turnout was 4.3%. But it is a fact that we have that instrument, and let us build it up in particular. That referendum must, of course, go far beyond what is currently proposed in the legislative initiative proposal that is now before us. We're gonna talk about that proposal after the election. That referendum must of course also be just initiating, so that we can discuss in public, for example, what is now being discussed in the back rooms of Asscher on Black Piet. That is not a law on which to base, but it is a sneaky thing to do. The initiative law on the referendum should therefore simply be extended considerably. There is shocking news about Europol. That has to do with the secret service, and that is what the Minister of the Interior is about. All kinds of information has come out at Europol. That's gonna be on TV tonight. How is that even possible? People have brought home files. There was no doubt that this included information acquired by the AIVD under the responsibility of the Minister for Foreign Affairs. Surely it cannot be that if such information goes to Europol and is so to speak about the fence, people from Europol take that information home and that it is then public? There is another shocking case at the level of the secret services. In Germany, someone converted to Islam. Then he plotted an attack on the secret service building. How does the Minister feel about that? That's another shocking thing. Is our secret service based on that sort of thing? There is another topical issue. The Minister has delighted us with the WNT, the Law standards top incomes. There is a disc jockey of the Association of Workers Radio Amateurs, the VARA, which earns 6 tons. Now all kinds of exceptions have been made for broadcasting; I know that. But is the proclamation of images on the radio really worth 6 tons? I'd do it halfway, and maybe for less, but we're not opening that negotiation today. However, I think it is quite something. How does the Minister feel about that? It's a happy day today. Actually, I thought I'd get flowers from you, Mr. Chairman. Because I'm a ten-year MP today. Yes.
ParlaMint-NL_2016-11-30-tweedekamer-4.u114	Congratulations to your address.
ParlaMint-NL_2016-11-30-tweedekamer-4.u115	Congratulations, Mr. Chairman. Ten years ago, Minister Plasterk was the prime minister I was confronted with. He was then minister in another department and I was spokesperson on another subject. But we spend a lot of hours together like this. In the beginning, the contact was a bit difficult. It is often difficult for progressive people to deal with people who think differently. But later, the ratio is normalized. I'm very happy about that. Perhaps this is one of the last debates, or at least the last major debate I may have with this Minister. I've always appreciated the contact with him very much. However, there is still one bone in my throat from all this time, namely in the form of the arrest of Gregory Nekschot. Minister Plasterk has been involved in this. At the time, it was the Ministry of Justice that was the name of Minister Hirsch Ballin. However, I read, I believe in the Elsevier, that this was discussed in the Council of Ministers. Minister Plasterk didn't say it in so many words, but he said something like: 50 years from now the archives will open and then what has been discussed there will be revealed. In that response, I think I hear a little bit that Minister Plasterk wanted to say that he regretted the way he was arrested at the time. It was about a man who drew drawings. It was just about freedom of speech. He was snatched from his bed by ten men. That's actually a huge stain on the Minister's blazing. Would it not be nice after ten years of cooperation if the Minister, in perhaps the last debate we may have, cleaned up his mess and said 'yes, it should have been different at the time'? I would like to give him the opportunity to say a few words about this.
ParlaMint-NL_2016-11-30-tweedekamer-4.u116	Mr. Chairman. Next year, ten years of The Hague politics will end, both for me and for the minister. It is also the end of four years Minister Plasterk on Home Affairs. A good time to look back and look at what has remained and what still needs to be done. Let me begin with the status of the Ministry of Foreign Affairs. Over the past few years, that ministry has run out. The budget is one of the smallest. The glory of the past is no longer: the glory of the Department of Internal Police and Supervision of the State of Dyken, Roads and Waters of the Batavian Republic, of the times when Thorbecke was still a minister, also called the mother department. What is this minister's personal legacy? Domestic administration has not been renewed. There's been ill-thought-out cuts on the AIVD. The service that was supposed to provide our security has been undressed and financially restored thanks to the opposition. The digital government on its feet? No, it's not. The role of the minister as coordinator of democracy, of decentralisation? The decentralisation criticism of the transition committee was not easy: a lot of hassle, municipalities and the Empire against each other, council members feeling overloaded. What about combating discrimination? Ethnic profiling not only struck Taifun, but also a police officer of Moroccan origin who was put in jail by his colleagues. Or take the lawyer, also of Moroccan origin, who recently applied as a preferred lawyer at a cell complex in Assen. The police weren't sure he was a lawyer. I'm not talking about all those people who are less known. Article 1 of the Constitution: equal treatment for all persons residing in the Netherlands. Where were you, where are you as the guardian of fundamental rights, Minister? He also has a coordinating role in this area. I'll be on the administrative agenda. The government had far-reaching plans: all municipalities would become 100,000+ municipalities, the water boards would be abolished and the administrative ruling on appeal would become more clear. All failed. Then came a void. One report after the other was prepared, but action remained out. It was like the minister wasn't daring a new adventure anymore. Is that an impression? D66 looks forward. Within the party was thought, including from the governing association, the scientific bureau and the members. I'll hand over the results to the Minister in a moment. My colleagues will also receive a copy. As far as we are concerned, the desire of the inhabitants is central. Then it must be about customization. Municipalities need more freedom for that. Making your own choices is important. Now we have three levels of government. This applies to both the large cities and the small villages and to both the Randstad and the shrinking areas. They're cast into the same mold. That pinches, but it can be solved by letting go of the permanent layers of government. From that point of view, D66 sees regions in front of them. Not forced scaling, but scaling up as a result of a natural process. The most successful reclassifications of the past few years were reclassifications that came out of the feeling that more together was the best. Give these municipalities more powers, a direct link with the Empire, more financial autonomy, so that there is a proper financial balance and sufficient financial security. And above all, give them room to organise their democracy as they wish. Whether or not a budget right at village councils, whether or not an external committee, it is best for a municipality to decide for itself. People don't care which government does what, as long as it happens properly, democratically, and as long as they're heard. Customisation helps to create more space for neighbourhood rights, do-democracy and other forms of participation.
ParlaMint-NL_2016-11-30-tweedekamer-4.u117	I am curious to see how Mrs Koşer Kaya's speech relates to the position of D66 in Amsterdam on the sub-municipalities. That is where D66 says: we abolish the elected administrative committees and replace them by the college appointed directors. That does not seem much more democratic to me.
ParlaMint-NL_2016-11-30-tweedekamer-4.u118	In my speech, I say that you should leave it to the local authorities how they can best shape it. Make that as democratic as possible, let the people talk. That debate must therefore be held in Amsterdam. We should not say from above: this is the way it should be. "One size fits all" policy, I don't believe in that. It's gotta be custom.
ParlaMint-NL_2016-11-30-tweedekamer-4.u119	If these administrative committees, which run an area as large as a proper municipality, say: we want to keep doing our job well, we want to have teeth to stand up for our citizens, then it is very strange when it is said at city level: we prefer to decide who is to become a member of such a board. That's really weird, isn't it? There's nothing democratic about that, is there?
ParlaMint-NL_2016-11-30-tweedekamer-4.u120	From here I can find all kinds of things, including that it is less democratic, but the point is that it must be done at local level. They must decide how they intend to implement it. They will have to have the discussions and we should not decide here how to do that. It is therefore a question of other forms of participation. In order to achieve this, we need to democratize all these partnerships. I'd like to get a response from the Minister to our vision. I now come to the heart of my speech today, namely the role of this Minister as Minister of Fundamental Rights and thus as a linker to a society in which there are increasing contradictions, in which people are judged by their origins and in which large groups of young Dutch people with a migration outcome feel disadvantaged. What does the Prime Minister's Minister think about Muhammad fighting and saying "pleasure" to Turkish-Dutch youth? I would have liked to hear that when a man with a non-migrant background yelled at the pro-asylum protesters, I quote this, they're not my words: they have to put a dick in it. Did the Prime Minister just say "fuck off"? Does this minister take care that he is the one who must address his colleagues not to measure double standards? How does the Minister feel that his colleague from V and J wants to close the Discrimination Point Internet, while more and more complaints are coming in? Why do I rarely hear the Minister about this? Does he appeal to his colleagues not to measure double standards? Why does the National Action Programme against Discrimination pay so little? Is this perhaps because individuals who set an example in television campaigns themselves become the subject of racist riots? I hope that the next minister in this post will live up to it and take a much more explicit stand against discrimination and really stand as the watchdog of fundamental rights and that it will not be measured by double standards. We all make the future of this beautiful country. You, me and the hardworking people with many backgrounds. For my son and the many sons and daughters of this beautiful land I want to be more. These sons and daughters are the promise of the future. For them, the minister must want to be more than the nanny of the mother department. In order to help the Minister with this, I have tabled an amendment. I am releasing EUR 3 million to combat discrimination so that the Discrimination Point Internet can continue to exist and additional or accelerated measures can be taken. It always starts with a small step, but we must now build on this beautiful country.
ParlaMint-NL_2016-11-30-tweedekamer-4.u121	When it comes to tackling double standards and discrimination, we are on the same page. We're actually going a little further. Does D66 say that the PvdA has dropped the discrimination agenda and has been watching this and having all this happen over the past four years?
ParlaMint-NL_2016-11-30-tweedekamer-4.u122	It is nice that Mr Öztürk asks me that question, but there were just two colleagues from the PvdA behind this cathedral. Why didn't Mr Öztürk ask these ladies this question? I am not going to tell the PvdA how she has operated on this file in the past and now operates when it comes to discrimination and integration. One thing stands for my party, for D66, for sure: you shouldn't measure with two sizes. Whether it's the party of Mr Öztürk, the PvdA, the VVD, the PVV or the CDA, I don't care, but you don't have to double standards.
ParlaMint-NL_2016-11-30-tweedekamer-4.u123	I don't have to ask that question. We have already found that the PvdA has allowed it to happen, with this minister in the lead and Asscher in the lead. So I don't have to ask that question. My point is very clear. Can you mention any other points on which this Minister and Minister Asscher have left it? Could you also indicate what the fraction of D66 has done to deal with double standards? After all, it is also your last budgetary treatment. Let's take a look at that, too.
ParlaMint-NL_2016-11-30-tweedekamer-4.u124	I would like to come up with all our motions and proposals later, so that Mr Öztürk can see what D66 has done when it comes to preventing discrimination. If Mr Öztürk is interested in this, I will do so in the second term. With regard to his question about Minister Asscher or Minister Plasterk, I would say to Mr Öztürk: you will have your deadline; I have mentioned my points and perhaps you will be able to ask the Minister that question later.
ParlaMint-NL_2016-11-30-tweedekamer-4.u125	We will see these proposals in the second term or outside this sitting.
ParlaMint-NL_2016-11-30-tweedekamer-4.u126	What exactly does Mrs Koşer Kaya want with this amendment? It also refers to the budget of V and J and, in fact, to the agreements with municipalities to free up money. So I wonder what exactly she wants with this amendment.
ParlaMint-NL_2016-11-30-tweedekamer-4.u127	The Discrimination Point Internet is abolished by V and J; that doesn't seem to make much sense to me. I would therefore like to ensure that we deal with Home Affairs here, because this minister is the coordinator when it comes to combating discrimination, including internet discrimination. There is also an action plan and this needs to be properly completed. With this amendment, I have freed up funds in case the Minister needs additional support for this.
ParlaMint-NL_2016-11-30-tweedekamer-4.u128	I would like to remind Mrs Koşer Kaya that on 9 July, Mr Van Miltenburg and Mr Marcouch tabled a motion calling on the Minister to consult the UNG on making anti-discrimination provisions more accessible to citizens. That motion has been passed.
ParlaMint-NL_2016-11-30-tweedekamer-4.u129	I have tabled motions of this kind myself on several occasions, as Mrs De Caluwe knows, but it is still a major problem. People can't find it. People don't get helped fast enough. It's just a string of wood, and we have to get rid of it.
ParlaMint-NL_2016-11-30-tweedekamer-4.u130	Mrs Koşer Kaya mentioned discrimination and double standards. In Amsterdam, our beautiful capital, D66 is the largest party and also the leading party within the coalition there. Islamic holidays such as Ramadan, Sacrifice and Sugar Festival are stimulated by the municipality, but Black Piet is forbidden there. Who is being discriminated against in the Netherlands?
ParlaMint-NL_2016-11-30-tweedekamer-4.u131	I don't think Black Pete is banned there. Black Piet gets all kinds of colors. That's what the city's about. It has to be from the bottom and local; I'm not going to interfere. This kind of change will take place in society.
ParlaMint-NL_2016-11-30-tweedekamer-4.u132	Finalizing, Mr. Bosma.
ParlaMint-NL_2016-11-30-tweedekamer-4.u133	Try to be honest with me. In Amsterdam, the college, in which D66 is in, even grants to an organization that goes to the schools to tell them that Black Piet is racist. The D66-college grants that. The D66 College does not give money to organizations that want to go to the schools to fight Ramadan, Sugar Festival, Sacrifice or other things of the Muslims. How, then, does Mrs Koşer Kaya find that immigrants are discriminated against? It is the Dutch who are discriminated against, because we are no longer allowed to celebrate our celebrations from D66. Why is that?
ParlaMint-NL_2016-11-30-tweedekamer-4.u134	That's bullshit. Celebrations are celebrated in the Netherlands, also the Sinterklaas party; fortunately. I tried very hard to do that when my son was little and I hope that will always be celebrated. Furthermore, I am not talking about the question of which municipality exactly what is doing to give this discussion or the sinterklaas party a different interpretation. That is what the municipality, its inhabitants and the Dutch people are discussing.
ParlaMint-NL_2016-11-30-tweedekamer-4.u135	The more Mr Bosma calls the Ramadan, the more hungry I get, but that aside. It is good to think about D66's plea in the Start vision of regional democracy and governance, but how important do you consider the trust between the Empire and the local authorities: the municipalities and the provinces?
ParlaMint-NL_2016-11-30-tweedekamer-4.u136	That is precisely why this is such a wonderful paper, because it also needs to be worked on. I have already said in my contribution that this confidence is not yet optimal. In fact, the Empire and the municipalities do not seem to speak or understand each other's language from time to time. Then it is all the more necessary to look from the bottom up at how to achieve the administrative change and restore confidence, especially among the inhabitants of the municipalities and provinces.
ParlaMint-NL_2016-11-30-tweedekamer-4.u137	Finalizing, Mr Amhaouch.
ParlaMint-NL_2016-11-30-tweedekamer-4.u138	In my first term, I indicated that trust between the municipalities and the Empire is falling, particularly through the redistribution of municipalities in the regions, not only in the large cities. How's D66 on the other side?
ParlaMint-NL_2016-11-30-tweedekamer-4.u139	How this is designed from the bottom, we do not record it from the top, but if you want good cooperation, you must also make it financially possible and you must also give more room for making and democratically completing plans. That is all beautifully recorded in our note. I hope that we will be able to work together on this issue in the future.
ParlaMint-NL_2016-11-30-tweedekamer-4.u140	Mr. Chairman. The political debate is changing. Where social discussions used to take place mainly through the newspaper, television and social media have become more important. People get more from the political process and therefore, of course, have an opinion more often. We must dare to make room for that as a political one. We need to give citizens more and more diverse resources in order to be able to exercise influence. GroenLinks therefore embraces Code Orange, an initiative of hundreds of local directors, council members and scientists, calling for a radical change in local democracy. They argue in favour of citizens' committees which can take over certain powers from the municipal council or the power of council members to give their seat to an expert citizen on a particular subject. However, such initiatives must be provided for in the Municipal Law. As far as GroenLinks is concerned, this is not about world meetings of mayors. The point is that people, ordinary citizens, can have more influence. So it's not about more power for local drivers either. More and more diverse resources for citizens; that is what this is about. GroenLinks is in favour of giving municipalities that want more space. It would be wonderful if municipalities could choose to act as a testing ground for democratic renewal. Nice initiatives have also been developed. For example, a number of municipalities held a citizens' summit in which people could directly talk about policy, but it is always non-binding. It's about advice. And the people who attract it are generally highly educated. Participation by lottery could therefore be a meaningful outcome. What's the Minister's status on this? Does he also see the possibility of giving more room for deliberative democracy in addition to representative democracy? I'd like to invite him to reflect on this. Is he prepared to come up with a legislative amendment to enable initiatives that go beyond voluntary consultation? I'd like to get a reaction to this. During this budget debate, GroenLinks also wants to consider the state of human rights in the Netherlands. That is the subject that is getting off the ground in the Home Affairs budget. Human rights seem to apply to foreign countries, but not so much to the Netherlands. No one is opposed to human rights, but if it becomes concrete and the money is going to cost, you will see that the cabinet is quickly dropping out. Human rights should not be weighed against one or the other; human rights should be the basis of your policy. I refer, for example, to the implementation of the UN Convention on the Rights of People with Disabilities. Nearly 600 critical responses were received from the General Measure of Governance, which was consulted by the government. GroenLinks agrees with the people involved that the implementation of the UN Convention should be much more robust. Does the Minister share this view? Is he going to address the Secretary of State for Health, Welfare and Sport? After all, it is a question of human rights and he is the coordinating minister for that. Also the monitoring of respect for human rights in the new care tasks of the municipalities is criticised by the College of Human Rights. The Minister states that there are a lot of human rights and that monitoring would therefore be bureaucratic and inefficient. Shouldn't a standard of human rights be respected? Take, for example, the right to respect the personal environment. Finally, discrimination. The Minister refers to his action programme and a multi-annual government campaign. But why does the cabinet come up with so few concrete measures? Why does the Minister not appeal to his colleague in the Justice Department to refuse to use stop forms against ethnic profiling? I'd like to get a reaction to this. GroenLinks hopes that the Minister will seize his last budget to take a look ahead. How do we make our democracy sustainable for the future? How do we ensure that human rights do not become a dead letter in the Netherlands? In order to find the answer to these questions, we must dare to ask uncomfortable questions and dare to show courage. Hopefully the Minister will be willing to do that to us.
ParlaMint-NL_2016-11-30-tweedekamer-4.u141	Mr. Chairman. The Home Affairs budget is ahead of us. Luckily, it doesn't have a lot of spectacular stuff in it. That's a good thing. This department works best when it's a little invisible. The Minister is a sort of oil man who does the right checks at the right moments, lubricates where necessary and talks with other governments. The Minister can rightly say that the Netherlands can be proud of the quality of its public administration and the people who work there. I'd like to join in on this. I'm passing a few points and I'm starting with the Constitution. It is striking that the very functioning of the Constitution is virtually not covered in the budget. I have put my finger on this in the past. Is that a conscious choice? Does the Minister have the idea that the current small legislative proposals will bring the Constitution back to its proper place, or should more be done? In this way, I am making the step to the State Committee a little in line with the CDA's contribution to research into the functioning of the parliamentary system. This is an initiative of the First Chamber. In doing so, the Minister shall play a facilitating role. I can't wait to see what's going on. When will the composition and exact mandate of the State Commission be known? It may be a little premature, but I would just say that we have the impression, frankly, that the committee is going to investigate whether there are any problems. We are therefore very curious whether they will be found. I am very much in favour of having a fundamental debate on the parliamentary system and all the ins and outs before we go beyond all sorts of experiments and so on. This debate could lead to a framework for the other public authorities. I think that this debate is also the responsibility of the House of Representatives. I would like to mention the issue of the security services because it is an appropriate part of this minister's remit. The security task lies largely with the Ministry of the Interior. In the near future, however, the Court will examine the proposal for a completely revised law on intelligence and security services. That is why I will leave that issue to rest here. Another important point is the Sunday Act. It is no secret that the SGP regards Sunday as a free and collective rest day as an important value. That is also what we stand for when considering the proposal to repeal the Sunday Act. In fact, I still feel that this Minister is defending the bill a little against his will. I think he should be praised in that. Many critical reactions have also come from society to the intention to abolish the Sunday Act. That is why we call on the Minister to give the backs of the rights, to be broad and simply to withdraw the proposal. Is the Minister prepared to do so? We believe that Sunday is of great importance as a collective day of rest, for rest, reflection and meeting. I do not deny that we explicitly put that forward from a biblical perspective, but it is important for many more people than just for people with Christian beliefs.
ParlaMint-NL_2016-11-30-tweedekamer-4.u142	I'm technically trained. There are companies that go on for 24 hours and there are hundreds of thousands of workers who work 24 hours and therefore also work Sundays. Does Mr Bishop think these people should have that Sunday rest too? Does he think that all those people in those companies, factories and hospitals and all those policemen and soldiers should also get Sunday rest and not work on Sundays?
ParlaMint-NL_2016-11-30-tweedekamer-4.u143	That is not what the law is about, but that is another point. If Mr Öztürk looks into the principles of the SGP, he will find that we do have an eye for work that is necessary or inevitable or that concerns caring for people or animals. That's not the point. It's about public events. It's about creating social peace. It is about combating the seven-day 24-hour economy as much as possible. It's about letting society breathe, as it were, one day a week. The point is that everyone in society is not constantly forced to follow forward. A moment of reflection, rest, meeting and so on.
ParlaMint-NL_2016-11-30-tweedekamer-4.u144	About a moment of reflection, we can find each other. I think that Members of Parliament also need a moment of reflection from time to time. Can the people in the Netherlands decide when that moment of reflection is, on Sundays, Saturdays or Fridays? Can the people in the Netherlands of the SGP decide for themselves what choice they make? Or does the SGP want to force them to do so on Sundays?
ParlaMint-NL_2016-11-30-tweedekamer-4.u145	It will be clear that everyone is free to reflect on the moments when everyone is best placed to do so. The point is that, apart from a personal moment of rest, relaxation or reflection, someone needs a collective, a social moment of rest and reflection. I would like to underline that. In view of our history and our culture, the Sunday in the Netherlands is ideally suited for a social moment when collective distance is taken away from the ongoing pressure. Finally, I would like to address the issue of democratic legitimacy. In recent years, municipalities have focused on decentralisation. Municipalities have dealt with this great operation with enthusiasm and that process, which we have recently discussed, has been largely successful. The Council of State recently issued an opinion on the implications for the relations between the Empire, the provinces and the municipalities. Those relationships have become more intertwined. In view of the forthcoming cabinet formation, it is in any case important to take account of those other governments. They must have plenty of space to continue making their choices. It is also important that municipalities have financial security for more years. Over the past period, municipalities have shown that they need a good policy. We would like the Minister to work actively to ensure that there is room for local authorities, that this area is increased and that there is early clarity about the available budget and the opportunities for local taxation. The opinion of the Council of State on early reflection on non-committal regionalisation raises the question of whether we should go that way. In general, we leave the opinions of the Council of State heavy. We see here that there is a risk of a fourth layer of administration. The question is whether we should go that way. I'd like to hear the Minister's reflection on this. The Code Orange recently presented by a large number of directors and council members remains a somewhat vague idea at the moment. That idea can also grow. We're invited to that. For example, instead of a local administration, a sort of Polish country day should be held several times a year. There is talk of all kinds of things. Of course, that's a huge-interesting idea. Anyone who has studied the history of the Polish country day knows that the connotation of this is not very positive. It is still interesting, but the SGP does have the impression that it is better to strengthen the existing representative democracy than to experiment with such a well-intentioned talk club. That is how we look at it for the time being. I'd like to hear the Minister's views on that. It is clear that citizens do not have confidence in some politicians, but the confidence of citizens in democracy, in the democratic system and in the democratic rule of law is very high in the Netherlands. Let's cherish that. Let's be careful about that. Much is already being done with the current opportunities for participation and citizen involvement. That's fine. Above all, we need to intensify this.
ParlaMint-NL_2016-11-30-tweedekamer-4.u146	I remind you of your time, Mr Bishop.
ParlaMint-NL_2016-11-30-tweedekamer-4.u147	I come to a conclusion, Mr President. On the contrary, a good representative of the people ensures that he engages in the debate with that knowledge in his pocket. I would like to hear a response from the Minister to the ideas presented under the name Code Orange.
ParlaMint-NL_2016-11-30-tweedekamer-4.u148	Mr. Chairman. DENK believes it is important for citizens to be able to participate, participate and participate. In that line I briefly insert a number of DENK points. We only have three minutes, unfortunately. I'd like to get a response on all those points from the Minister. Point one: DENK wants young people to be able to participate in our democratic process. That's why DENK wants young people from 16 years of age to have the right to vote. Point two: DENK wants citizens to be able to participate. There are so many good ideas in society. DENK is therefore for an open ministry. Citizens can bring ideas to that open ministry. The open ministry bundles the ideas and officially brings them to the other ministries. Point three: DENK is against the lane carousel. DENK wants citizens to take part in the decision on appointments of expensive government staff. The appointment must be carried more broadly than in politics alone. Politicians shouldn't play each other nice jobs, because that doesn't give other candidates a fair chance. In England they have a good example of that. Point four: DENK considers it important for the government to act quickly. If citizens submit an objection, the treatment should not take six weeks plus six weeks. DENK wants the deadline to go to four weeks plus four weeks. Point five: in the budget, we always talk about money, money. However, people also want to be happy. Money doesn't always make it happy. Should we not, therefore, also measure gross national happiness in the budget? For example, we can see annually whether the Netherlands becomes happier or less happy. Since this is the last budget of this minister, who is now looking at the other side, I ask him a personal question. Is he even happy himself? What, on his old day, is his advice to make the Netherlands happier? I will conclude with a few comments on Dutch citizenship. There are people in the Netherlands, including in this parliament, who find themselves more Dutch than anyone else. They say: The Netherlands is ours; the Netherlands is our country. With this they want to make the Netherlands a class society. They want to create second-class citizens. In the country of DENK, however, everyone is equal. In the country of DENK, everyone is a first-class citizen. DENK therefore asks the minister what he will do to deal with the people who think they are more, that they are more Dutch, that they have more rights. What will he do to ensure that these people adapt to our Dutch core values? It says in the Constitution that we are all equal and equal, isn't it? Is this Minister going to fight for the Constitution and for this equality? Finally, there are parties that are funded from abroad to express their own "volop-first-story" and slogans here. We will table a motion tonight to address the foreign funding of political parties. The PVV leaves millions of public funding aside, because it is financed from outside in order to be able to do those rough, hard and where necessary weird expressions. Foreign powers should not affect the political parties here.
ParlaMint-NL_2016-11-30-tweedekamer-4.u149	That was the end of your speech? Otherwise, I'd like to point out your time. Mr Bosma has a question.
ParlaMint-NL_2016-11-30-tweedekamer-4.u150	That's funny. We're funded from abroad. Could you please show us some names, back numbers, giro numbers and giro transcripts?
ParlaMint-NL_2016-11-30-tweedekamer-4.u151	There's been plenty of media coverage. Mr Bosma knows all about that. There are organizations in America. I can send him all that information. He knows exactly what I'm talking about, and it should be over.
ParlaMint-NL_2016-11-30-tweedekamer-4.u152	For the Acts, I note that you spoke on behalf of the Kuzu/Öztürk Group. I would now like to give the floor to Mr Klein.
ParlaMint-NL_2016-11-30-tweedekamer-4.u153	Mr. Chairman. I'm putting forward three points. I'll start with a quick look back. Remember, in the coalition agreement there was a plan for the modernisation of the administrative organisation. This is also beautiful in the report "Control in coherence. The administrative organisation in the Netherlands." I can only conclude that that part of the coalition agreement has resulted in a major failure. A case of: they did a puddle and everything remained as it was. As a member of the Free-Spirited Party, I am in favour of a thorough approach whereby we abolish the provincial government as a layer of administration. Recently, we have had many reclassifications with a view to decentralisation. Co-operation between municipalities is also growing. When municipalities become larger, what function and necessity do provinces still have? In this context, I would like to highlight the importance of local democracy. The government also steers this with the Agenda Local Democracy programme. Trusting in municipalities, trusting in municipal authorities, trusting in municipal councils: that is the starting point as far as we are concerned. Decentralizing means letting go in confidence. Municipalities are able to implement such a policy change properly. It is important, however, that the city council can perform its function properly as a democratically elected supervisor of the administration. Municipal councils are formed by local divisions of national parties, but also by many local political parties. Local parties form a substantial part of the 390 municipal councils: they have 33% of the seats. 29% of voters voted on local parties in local elections. However, these local parties need to be able to make a financial effort alone, while their colleagues from the local departments of the national parties have access to funding, through the Finance Act political parties. A little support is arranged through Council Member.Now, but all organisations get it. It's a half-baked solution that, in my view, is failing local parties. From the principle of equality and the promotion of transparency, we are committed to ensuring that local parties can also make use of the Political Parties Financing Act. Another worrying trend is that political parties are turning their candidates' thumbs before they are even elected. They are increasingly asking their candidates to sign a declaration in which the candidate promises to turn in his seat when he leaves the group early. However, this is not new. Some parties, such as the CDA and the SP, have been using such strangle contracts for years. The PvdA also lets the candidates sign an honor code; an honor code, haha, while the past period three PvdA's have left. In his answer to questions on this subject, the Minister confirmed what we all know: such statements are contrary to our Constitution and to the Election Act and are not legally enforceable at all.
ParlaMint-NL_2016-11-30-tweedekamer-4.u154	Let me remind you of the time, Mr Klein. You are going over your speaking time.
ParlaMint-NL_2016-11-30-tweedekamer-4.u155	I got seven minutes, right?
ParlaMint-NL_2016-11-30-tweedekamer-4.u156	You said you wanted to use that for three minutes now.
