ParlaMint-NL_2016-11-02-tweedekamer-7.u1	We'll continue with the first term of the Chamber. I call Mr Rog of the CDA.
ParlaMint-NL_2016-11-02-tweedekamer-7.u146	Mr Beertema said that the education of integration has failed for many years. I have a very sincere question for Mr Beertema. Meanwhile, in 2016, we are dealing with young people in primary education whose grandfather and grandma were born somewhere else. According to the definitions, you could call those kids native. What is Mr Beertema's message to those whole generation of young children, who are Muslims, who are Dutch, who are Gouwenaar and who participate fully in school? They go to school every day and do their best. It seems very much now that Mr Beertema's message is: it's nice to have them, but I don't have much with them. What is your message, Mr Beertema, to these young people with a Moroccan background?
ParlaMint-NL_2016-11-02-tweedekamer-7.u147	My message, not only to Moroccan young people, but to all young people is: do your stinking best! Take a good look around you in what beautiful country you have come or been born in, look at the blessings you can be a part of in terms of opportunity, but you have to do something for it! You can't just sit in a chair and wait for it to come to you. It's not like you're always a victim of circumstances. Take fate in your own hands! Go for it! Just do your homework sometime! Behave yourself sometime! Do not hang around and harass all kinds of residents of neighborhoods! Don't go to Syria! They are often very highly educated young people with a Moroccan background and a neat HBO education that eventually cut off very pre-modern heads in Syria. So that has little to do with emancipation. I would therefore like to say to them: distance yourself from Islam and from the Koran; integrate into the Netherlands and embrace the West, individual responsibility and individual freedom. I'd give them all that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u148	You're suggesting that a lot of young people who just go to school every day, do their homework, participate fully and try to find an internship to get their MBO degree, are all doing very different things. I would say: listen to your own speech and wonder whether young people who were born here and whose parents were born here, but whose grandparents may have been born somewhere else, can really feel at home with the argument you are holding about this group. I do not hear anything, but nothing in your speech that advocates an inclusive society for the young people who are simply fully involved. I hear a whole speech about what's wrong, but also think about all those girls who go to college or college every day...
ParlaMint-NL_2016-11-02-tweedekamer-7.u149	Clear.
ParlaMint-NL_2016-11-02-tweedekamer-7.u150	...and make the most of it.
ParlaMint-NL_2016-11-02-tweedekamer-7.u151	Clear!
ParlaMint-NL_2016-11-02-tweedekamer-7.u152	Stand next to those girls. Stand next to those kids. That would please you.
ParlaMint-NL_2016-11-02-tweedekamer-7.u153	I find it very annoying that so incredibly selective is being listened to. Like we're talking about color, ethnicity, or I know what! Now listen to that laughter in the room and look at Mr Grashoff shake his head! We have always said that this is not our concern. It's about sharing our values. Share our values and integrate! I have already mentioned other groups, such as the Cape Verdeans, the Surinamese and the Indian Dutch. Come on! It's not about color! You are accusing me of racism, which is completely out of the question. I have a very big problem with Islam. I have a very big problem with a religion, an ideology in our opinion, which ultimately seeks to introduce Sharia. I have a very big problem with that. If you are not sufficiently aware of this, I would like to provide you with a list of literature. We discussed the book of Machteld Zee in the emancipation debate. She also came from a very different direction, but that changed through study and by traveling to England where she visited Sharia courts. They don't fit here! They just don't fit here!
ParlaMint-NL_2016-11-02-tweedekamer-7.u154	Clear. Mr Duisenberg.
ParlaMint-NL_2016-11-02-tweedekamer-7.u155	If Sharia does not fit here, Islam does not fit here, and that certainly also applies to Islamic education. That's my opinion. You can come up with all kinds of stories, but it's not about ethnicity.
ParlaMint-NL_2016-11-02-tweedekamer-7.u156	Mr. Beertema...
ParlaMint-NL_2016-11-02-tweedekamer-7.u157	Yeah, but I'm being accused of some really weird shit here, so I'd like to respond to that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u158	I want to interrupt on another subject. When it comes to budgetary treatment, it is customary for you to bring in your own ideas as well. You can do that through a counter-budget, but I haven't seen it from the PVV. The best alternative this year is to look at the election programme. I was hopeful about this, because in this case the election programme also says something about the coming year 2017. But also in that program I didn't actually find any ideas, until suddenly I saw one on that A4's, namely no more money for innovation. That's the only thing that still affects education a little bit. There is a turnaround of 10 billion at that point. So 10 billion in savings is being made. What does that mean for education in the Netherlands?
ParlaMint-NL_2016-11-02-tweedekamer-7.u159	This means that all innovation projects should be stopped as far as we are concerned, because they are based on the assumption that you should fight against it, and that the government is able to steer innovation. The government can't do that at all. Just as the government cannot create jobs, it can steer science or very smart inventions in a certain direction. They're created in a very different way. It just doesn't work to pump in an endless amount of money. This money goes on all kinds of drivers and managers. There will be a whole dome of innovators and companies and they will all have to be controlled again and so on. That's not gonna make any sense.
ParlaMint-NL_2016-11-02-tweedekamer-7.u160	A brief conclusion: Mr Beertema therefore thinks that the Netherlands will be better off if we cut 10 billion on such matters as the top sectors policy, something the PVV signed with during the previous period, or the policy to stimulate R&D projects of small businesses through the Wbso.
ParlaMint-NL_2016-11-02-tweedekamer-7.u161	Well, I haven't really heard so far that the prosperity in the Netherlands has been greatly driven by the top sectors policy. We do not have a counter-budget. I can say that there is absolutely no need for more money from us to go to education. It has to be deployed differently. Again, with the SP, I look at that incredibly busy educational province. In it you have all kinds of domes and organizations that cost a lot of money. They can all be lifted. We have a lot of money to spend on that. Then the education lean-and-mean can be arranged.
ParlaMint-NL_2016-11-02-tweedekamer-7.u162	Mr. Chairman. D66 was founded on 14 October 1966. That was 50 years ago. Our first election programme already stated that one's background "should not be an obstacle to receiving the education he needs." Providing opportunities and discovering talents should not depend on fate. Last weekend we celebrated our anniversary congress. As an educational party, we look back on 50 years of education policy. The director of the Education Museum, by the way a very nice museum, kept a story there. He even went much further back in time, to more than 200 years ago, when there was mainly one-on-one education. That sounds nice, one-on-one, because smaller you don't get the classes, but that education was only for a small group of children from the very good class. This changed with the introduction of the Law on compulsory education in 1900. By the way, that law made a difference at the time with only one voice, because someone fell off his horse. You'll see it all the time! With the Law on compulsory education, education became accessible to all. Article 23 ensured that special education was also financed, thereby strengthening the quality of this education. The Mammoet Act, with all its advantages and disadvantages, improved the flow. Much has changed, but we are far from there. Opportunities are still not the same for everyone. It still matters where your crib stood. It is our expensive duty to continue to take steps to give equal opportunities to every child in the Netherlands. There is a right to education for everyone. That sounds simple, but thousands of homeowners are still waiting for a suitable educational spot. People who have had to leave home and fireplace to escape bombs and war are taken away by this cabinet. Taalles from day one are denied to them. Schools may still refuse children on the basis of their philosophical basis. That's gotta stop. There has already been a wide-ranging debate on it this morning. I would like to have that again with Mr Bishop and others, but it seems that this is not going to happen. I am glad that the cabinet is now paying attention to equal opportunities, but, so I ask, why so little now and why so little? It's literally a drop on a glowing plate. How am I supposed to consider that this cabinet says on the one hand to fight for equal opportunities, but on the other hand to cut down on educational deficits, cut down on schools, make performance agreements that discourage the offering of opportunities and do nothing about the cascade cost, a brake on flow in the MBO? It is a cabinet that introduces a faulty calculation test, on which children beach and that students and children are stuck in the wheels of appropriate education and leave to their fate. I would like a response from the rulers to this contradiction. Fortunately, things have gone well over the past four years. An additional 500 million has been added for primary and secondary education and for MBO. That was agreed in the autumn agreement. An investment of one billion in the quality of higher education has been made. The 1040 hour standard, that horrible thing, went off the table. There was an investigation into the legal anchoring of the law of learning. How's that going? Participation was strengthened, inter alia by the right of approval of students and teachers on the main lines of the budget in higher education and the MBO. Now po and vo, I'd say. We are going to work on more room for teachers by reducing the number of teaching hours per lecturer. I am glad that these things have come and are being worked on. None of this would have worked if that 50-year-old party, D66, hadn't pulled that off. Now, for once this year, we are not involved in the budget, and immediately, we are making cuts in schools. That's pretty salient, isn't it? Fortunately, we could partly reverse the austerity in the General Political Reviews. Of course, I'm not completely neutral, but you can see that education needs more D66. I've determined we're not here yet. We still need a solid agenda to provide equal opportunities, to improve our education and research and to give teachers time to improve themselves and their education, to provide tailor-made solutions and opportunities for children. We need more than the 25 million euros, that drop, of this cabinet. No returns on children and preschoolers, prosthetic figures in the information leaflets or political prestige projects should be central. No, providing opportunities for children must be central. Thanks to technological developments, one-to-one education from 200 years ago is becoming more and more accessible to large groups of children. ICT in education offers incredibly many opportunities, but fast internet, good digital learning tools and a teacher who can handle them is either essential or essential. Can the Secretary of State indicate what steps he is taking in this area? Because it doesn't seem to be going very well. Digital skills and coding in primary education is preparing students for the future. Convenient and necessary for all students, whether they want to become auto mechanic app developer or mathematics teacher. The Secretary of State seems to want to wait until 2032 with the introduction of this. Or am I wrong and he's in a hurry? Cultural education is also important. We could start early. I ask the Cabinet to investigate whether a CJP, a Cultural Youth Passport, is possible in the upper secondary education system. Teachers play a crucial role in equal opportunities. For many people, teachers have played a major role, by discovering talent, by paying attention, by supporting and stimulating or by being strict. That too, as I say to Mr Beertema, must be done. Good education stands or falls with good teachers, but teachers need to have the time and space to be able to give them attention. That means two things. First of all, I am pleased that six months ago my motion was adopted to reduce teachers' teaching duties. But it remains silent on the side of the cabinet. Yesterday afternoon we finally received a letter, in which the Secretary of State announces scenarios and reconnaissances. But that doesn't give teachers a second time. What else will the Secretary of State do in the near future? Where the cabinet makes no less than 3 million available for this purpose, D66 wants to release 1 billion to give teachers more time. For example, teachers have more time for the learner, there is more time for training, coaching and training and the workload is reduced. This is better for the teacher and therefore for the pupil and for education, and for equal opportunities. In addition, D66 wants to put an end to puff classes, such as that class with 33 students in Haarlem-Noord or groups 7 and 8 in Helmond, with 38 students, the group 6 in The Hague with 33 children. It's just a few examples. Together with the SP we fight against these overcrowded classes. Because how can you still offer tailor-made work with so many children in the classroom as a teacher? Another current and very acute problem is the elaboration of the Work and Security Act for Insured Persons. On our initiative, we recently had a round table on this subject. More and more often, no one stands in front of the classroom when the teacher or master is ill, because there is no longer any force of invader available under the Law, a law that in practice puts enormous obstacles in the way. We need to find a solution to this, and we need to do it quickly. What can we expect from the Secretary of State? D66, it is well known, believes that we should invest more in education, in teachers, in equal opportunities, in small classes, in catching up and in preventing them in vocational education in the MBO. D66 also considers it important that we handle the use of these funds transparently. There, too, there is still a world to be won in this cabinet, with estimates that are not real estimates, press releases that welcome investment, but which, oddly enough, do not include anything about the much larger cuts in terms of the exchange rate problem. That is not neat and not transparent. It nourishes the distrust of the field of education. Why not the honest story, Minister? D66 wants all investments to be targeted and transparently accounted for. Yes, in some cases this calls for an earing and, in all cases, for the right of assent of participation and accountability in the annual report. Does the Minister share this? The budget contains subsidies that are not legally compulsory, while there are some wonderful initiatives that threaten to stop or cannot get off the ground, because they are no longer receiving subsidies, such as the Modal European Parliament, where thousands of pupils go into Europe and live in other countries and cultures. It would be a shame if this disappeared. What can the Secretary of State do for them? Is there any room in that pot of subsidies? The technical vmbo is getting in a lot of trouble, because there is not enough money to finance the expensive teaching materials. That is when we will only need more technical staff in the future. Does this have the attention of the Secretary of State? Doesn't he leave the technical vmbo in the cold? We must also place the opportunities for students at the heart of the ho. A number of technical studies are at risk of stopping students. That's unacceptable for D66. It is bad for students' opportunities and opportunities to develop their technical talents, and it is also bad for the Netherlands and our economy. In short, a solution must be found for this. The number of students increases, but the budget doesn't. I am glad that CDA and VVD also want to solve this problem, but let's not just look at shifting money, but also at investing more. Is the Minister prepared to look at this in spring paper? I am also concerned about students with disabilities. Under the Participation Act, D66 made 35 million available for a study scheme for these students. These students can also use assistance from the profiling fund. Still, they're having a hard time. For example, we see quite a few differences between municipalities, which almost depends on fate if someone can study. A solution must be found for this. Differences of €381 in Amsterdam and €29.75 in Haarlem, Mr Rog, should not be possible. What is the Minister going to do about this? We should also give students the opportunity to do a second study. That way they can make the most of themselves. That's why D66 wants a second study to cost as much as a first study. We also need to invest more in research. Last week, my colleague Kees Verhoeven launched D66's plan to invest 1 billion in research and innovation. Much of it goes on basic research. In this way, we reduce the pressure to write research proposals and invest in the next Nobel Prize. We cannot, as the VVD does, cut back on research and innovation and hope that the Nobel Prizes will come on their own. In Zeeland is an initiative for a University College Engineering and Innovation, called Beta College. Does the Minister know about this initiative and how does it feel about it? I would also like to ask the Minister whether she would like to make it possible for students and former students under the old loan conditions to opt for the new social conditions of the study advance. For example, they can easily buy a house and pay back their investment more easily. I'd like to get a reaction to this. Finally, the scientific nodes. This is an initiative to promote cooperation between schools and science. Utrecht professors are teaching at primary schools on Kanaleneiland, beautiful! They also help teachers with teaching materials and practical examples for exciting, inspiring and educational lessons and activities within the framework of science and technology. Is the Minister prepared to continue supporting this initiative? If not, I will table an amendment to that effect. I have one more question which concerns the issue of the application procedures in education. The Secretary of State states that according to the law, you must be able to apply to more than one school. That is understandable in itself, but my question to him is also in the process of preparing a number of written questions, but I would like to see this question answered clearly. This duty of care is a duty for schools that start immediately after the notification. I am very curious to hear the answer to that question. I'm rounding up. Let us not leave it to fate whether or not people get opportunities. Let's give everyone, every child in the Netherlands optimal opportunities. Let kindergarten children, let students study and let students study.
ParlaMint-NL_2016-11-02-tweedekamer-7.u163	Mr Grashoff for a brief interruption.
ParlaMint-NL_2016-11-02-tweedekamer-7.u164	I'll even do that with some hesitation. Mr Van Meenen has a story about education. That is what we can expect from D66. But it is getting a little too grim for me, I should like to say in the direction of Mr Van Meenen, when he puts D66 here as the party and, more or less, the only party responsible for education. In the meantime, that's starting to bother me a little bit. I have seen motions from my side, from Mr Rog, coming from Mr Mohandis over the past few years. I see initiatives from the SP side. I also see initiatives from the D66 side. I think we can see that on a number of aspects, for example in terms of access to education and the financing of education, there is a fairly broad front in this Chamber that has very high levels of education. I would therefore like to ask Mr Van Meenen kindly, but also urgently, to share the honour a little more.
ParlaMint-NL_2016-11-02-tweedekamer-7.u165	I'll give you all the credit you want. As you know, D66 certainly does not have a majority in this Chamber until 15 March and possibly not until 15 March. That means we've never done everything we do here alone. I'll admit it 100%. But it's about what you really put as a party on number one. That is for our education and that will be another point for GroenLinks. I see that's not true, that's fine. I don't care. But we stand for very good education and fight for everyone who thinks otherwise. And we consider everyone who stands by us and makes good proposals as our great friend. I told you today, especially in the light of our 50-year congress.
ParlaMint-NL_2016-11-02-tweedekamer-7.u166	Before I give the floor to Mr Bruins, I would like to suspend for two minutes.
ParlaMint-NL_2016-11-02-tweedekamer-7.u167	I give the floor to Mr Bruins on behalf of the Christian Union.
ParlaMint-NL_2016-11-02-tweedekamer-7.u168	Mr President, ladies and gentlemen. Next year is a special year. After a school struggle that continued since the French Revolution, public education and special education were brought together in 1917. During the French Revolution, the idea of so-called neutral state education was born and individuals who wanted to establish a special school were for a long time opposed. Thanks to the great Dutch liberal Thorbecke, freedom of education came in the Netherlands: free education and free choice of school. Thorbecke incorporated this principle in his new Constitution of 1848. But it took until 1917 for public schools and special schools to be funded by the government in the same way. It is therefore 100 years from next year that the free choice of schools and the free education system really became a reality in the financial sense. The year of pacification, 100 years of freedom. What a party that will be in the Ministry of Education! At the same time, we see parties that are less happy with that anniversary.
ParlaMint-NL_2016-11-02-tweedekamer-7.u169	I would like to thank Mr Bruins for his interesting opening. He first mentioned Thorbecke, but then he called Cort van der Linden. So my conclusion is correct that we actually have two liberals who have laid the foundations for our great education system.
ParlaMint-NL_2016-11-02-tweedekamer-7.u170	I give this conclusion to Mr Duisenberg. Liberals from the nineteenth and early twentieth centuries were real liberals. I will leave it at that, Mr Duisenberg.
ParlaMint-NL_2016-11-02-tweedekamer-7.u171	Please continue.
ParlaMint-NL_2016-11-02-tweedekamer-7.u172	At the same time, we see parties who are less happy with the anniversary and who say that Article 23 is no longer of today, or that special religious education encourages segregation. We'll reach out to those parties. To them we say: apart from our ideological feathers that are so different, look at how it really works in practice. In confessional schools there are comparatively as many children with a migrant background as in public schools. In particular schools, on average, more attention is paid to sexual diversity than in public schools. 82% of parents are satisfied to be very satisfied with the free choice of school and the options they have nearby. At the 4,000 special primary schools in our country, two thirds of our primary schools, men and women work with heart and soul to give our children a future. Identity, faith, respect and connection are central to this every day. 2017 is the centenary of pacification, real educational freedom in all its aspects. The Christian Union is going to celebrate this. The question is whether the Minister and the Secretary of State are in on it. What activities can we look forward to from the Ministry of Education to highlight this festival of education? I know there's gonna be a symposium and an exhibition, but how is the ministry really gonna give this anniversary a festive touch?
ParlaMint-NL_2016-11-02-tweedekamer-7.u173	If I get an invitation, I'd like to come to that party, Mr. Bruins' party. A party at the Ministry? Who knows, I'm waiting for the Minister's answer. Pacific? Yes, deployed by the Free Democratic Union, the predecessor of D66; let us not forget that. There's only one point that bothers me. My stink in this story is the lack of acceptance obligation. Once, 100 years ago, the schools were still the parents'. It's not like that anymore. The schools are now of professional directors. That right as a parent to decide where your child went to school or even to set up a school is alienated to school boards. Parents don't have that right anymore. My point is, we have to get back to that. Parents should be leading the choice of school again and not school boards. They shouldn't have the opportunity to deny that parents. I wonder how Mr Bruins looks at this.
ParlaMint-NL_2016-11-02-tweedekamer-7.u174	D66 and the Christian Union find each other here for one hundred percent. We also believe that schools belong to parents. In our ideal image there is parental involvement and parents are also on the boards. The schools belong to parents and teachers, and the parents and pupils form the values communities that are schools in society as we imagine them to be.
ParlaMint-NL_2016-11-02-tweedekamer-7.u175	That's good, but it's not like that, of course. Let's say 99.9% of schools in the Netherlands are simply run by a foundation board. Maybe there's another lost parent on the supervisory board, but they're just professional drivers.
ParlaMint-NL_2016-11-02-tweedekamer-7.u176	And the question is?
ParlaMint-NL_2016-11-02-tweedekamer-7.u177	The same question again: how does Mr Bruins look at the obligation to accept, in other words the right of parents to decide which school their child goes to, rather than the right of the board to prevent it?
ParlaMint-NL_2016-11-02-tweedekamer-7.u178	Again, in our ideal image, the parents are on the board. I know a director of such a school is watching with us in this room. It's a beautiful school in the east of the country. In the light of the acceptance obligation, 98% of schools in the Netherlands have an open admission policy. We have a huge freedom of choice and a huge diversity of schools in the Netherlands. This diversity and freedom of choice means that as parents, Article 23 and the freedom of education allow you to choose which school you want to have your child at, one that fits well with the child, the education and the equipment you give. Research also shows that 82% of parents are satisfied with their choice of school in the vicinity of their home.
ParlaMint-NL_2016-11-02-tweedekamer-7.u179	That's fine, of course. It is nice that so many people are satisfied, but we are making rules here for the situation in which things are not going well, as at Hoornbeeck College. There is not much to choose on that MBO and a student is simply refused on this ground. How does Mr Bruins view this?
ParlaMint-NL_2016-11-02-tweedekamer-7.u180	Neither does there exist neutral education and a neutral government, as I have just argued, there is a neutral policy. The words we choose here are very important. Indeed, 1% or 2% of schools in the Netherlands apply a strict admission policy, as it is called. I've heard several times today "they're just walking to refuse students," but it doesn't mean that. It means that these schools ask parents and students to endorse the basis of the school when they come to school. That sounds very different. It is a school which has a very strong identity and which is also guarded. And yes, I am also standing in front of that small group of schools in the Netherlands that are still doing so, as may be expected from the Christian Union.
ParlaMint-NL_2016-11-02-tweedekamer-7.u181	I would like to continue on the example of the Hoornbeeck College. I would like to refer the following passage from the admission criteria of Hoornbeeck College to Mr Bruins. I quote: "Until the Hoornbeeck College, the children of parents/carers who are confessing and ecclesiastical members of one of the following church associations are admitted under the following conditions: Reformed Churches, Reformed Reformed Church, Reformed Municipalities (PKN)..."
ParlaMint-NL_2016-11-02-tweedekamer-7.u182	How long is that list?
ParlaMint-NL_2016-11-02-tweedekamer-7.u183	I'll be right through. They also mention: the Reformed Churches in the Netherlands, the Old Reformed Churches in the Netherlands and the Christian Reformed Churches. The Christian Union is no longer as superprotesses as it once was. I believe the Pope in her constituency is being held in hand. In it it is clear that students are not only refused on the basis of the criterion of faith, so that goes far beyond the basis; this is done on the basis of the faith of themselves and their parents, but also on the basis of the criterion of compassionate membership, read: that they sit neatly in the church on Sunday. Does Mr Bruins agree that this is no longer 2016 and that we should put an end to it?
ParlaMint-NL_2016-11-02-tweedekamer-7.u184	I can make it very personal: this will not be my school. I read that from those statutes. I do not belong to such a church and so I do not send my children there; that is my right. My kids wouldn't fit there either. However, I believe that it is a good thing that a school in our country has the right to choose an identity on the basis of certain statutes. Again, that does not mean that "there are people refused." We should not stress that. This is how these schools guarantee their identity. There is one other point I am concerned about: in the Netherlands you have to monitor your identity very closely, both when it comes to personnel policy and admission policy, if you still want to claim this type of identity criteria at all. I think it would be a good idea if we were more relaxed in dealing with it, so that such a school also has the freedom to say: you know, you may not be at one of those churches, but you are welcome to join us. I would agree with that, but at the same time such a school would be in trouble, because according to the Human Rights College it would no longer be allowed to impose those criteria which the school would like to impose in order to preserve its identity.
ParlaMint-NL_2016-11-02-tweedekamer-7.u185	Now I really find Mr Bruins contradictory in his own story. First, he indicates that the vast majority of schools do not handle it so tightly. But these schools exist; they are not therefore deprived of their funding by the Ministry. Apparently, there are schools that fill it out this way. We are wondering whether this can be done at all under the current legislation, but as long as this discussion continues, perhaps we should just close the leak properly. I note that this is a school which is a publicly funded institution which demands the beliefs, including the compassionate membership of a certain church society, and which limits admission to a group which I say with all due respect; I myself come from a Protestant-Christian angle not more than 10% of the Dutch population. I don't think this is the time. It is precisely in order to save what is right about Article 23 of the Treaty that all kinds of things are right about this too.
ParlaMint-NL_2016-11-02-tweedekamer-7.u186	Briefly, Mr Grashoff.
ParlaMint-NL_2016-11-02-tweedekamer-7.u187	Is Mr Bruins prepared to hang out with me in that?
ParlaMint-NL_2016-11-02-tweedekamer-7.u188	A brief reaction. This really is a repetition of previous debates.
ParlaMint-NL_2016-11-02-tweedekamer-7.u189	Let me repeat briefly what I said. We too stand for these schools, but at the same time we see that 98% of schools in the Netherlands have an open admission policy and that parents really have a free choice to choose the school that suits them. This school also fits a part of the Dutch population. That is a small part, but fortunately there is a big choice and you can choose which school you want. If you want to go to this school, you can also see how that identity is shaped at school.
ParlaMint-NL_2016-11-02-tweedekamer-7.u190	Does Mr Bruins agree with me that the right to establish a school in this way, provided that it meets legal requirements, is simply a direct result of Article 23 of the Constitution, whether or not you agree with the frameworks chosen by a school? This is one of the results of the struggle for equality, which ultimately lasted about 80 years and was settled in 1917. Does Mr Bruins agree with me that it does not matter that you happen to think that this is no longer of this time? That is, of course, not an argument, because this is simply a constitutionally enshrined fundamental right.
ParlaMint-NL_2016-11-02-tweedekamer-7.u191	According to Article 23 of our Constitution, everyone is free to start a school, regardless of direction, belief and belief. That is a great right in our country and we like to keep it that way.
ParlaMint-NL_2016-11-02-tweedekamer-7.u192	Very briefly.
ParlaMint-NL_2016-11-02-tweedekamer-7.u193	Very briefly, I'll hold you to that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u194	Equal treatment and equal pay are fine, but also equal duties. There is a difference, because the other schools, the public schools, are obliged to admit everyone and special education is not required to do so. Most schools handle that well, but some schools don't. Shouldn't we just level that out? What could be the argument from the Constitution to make a difference?
ParlaMint-NL_2016-11-02-tweedekamer-7.u195	This goes ideologically deep, but if I take all the flesh off the bones, I come to the idea that public education would then be neutral education. In the view of the Christian Union, a public school is actually also a direction. Also there are teachers with a certain belief in life who share a certain vision of life and who are a role model for the students at that school. As far as we are concerned, public education is one of the directions we have in education. There is no such thing as neutral education, as there is no such thing as a neutral government. Public schools are fantastic schools, where there is also a certain belief in life. Other school establishments can also indicate from their statutes what type of school they want to be and what vision they want to work from, for example jenaplan schools or montessori schools.
ParlaMint-NL_2016-11-02-tweedekamer-7.u196	The answers must also be brief.
ParlaMint-NL_2016-11-02-tweedekamer-7.u197	There are also public monessori schools. Everyone has that right.
ParlaMint-NL_2016-11-02-tweedekamer-7.u198	Finally.
ParlaMint-NL_2016-11-02-tweedekamer-7.u199	Yeah, but those schools don't have the right to take that right, at least they don't have the right to refuse pupils. That's the point: the philosophy of "public," "jennaplan," and call it all but on "really" never leads to the conclusion that a student is not welcome if he has another conviction. That's the point. The Christian Union should choose to say that the right to choice of school, the freedom of education originally invested in parents for starting a school, belongs to parents. Parents decide which school the students go to, not those school boards.
ParlaMint-NL_2016-11-02-tweedekamer-7.u200	Yes, you did.
ParlaMint-NL_2016-11-02-tweedekamer-7.u201	If Mr Van Meenen puts it that way, I wholeheartedly agree with him.
ParlaMint-NL_2016-11-02-tweedekamer-7.u202	Then I suggest you move on.
ParlaMint-NL_2016-11-02-tweedekamer-7.u203	It also stems from Article 23, which states that education is a matter of constant concern to the government. Mr Van Meenen asked me about the party. We are making a start and Mr Van Meenen is warmly invited. Today the ChristenUnion launches the action #myschoolisspecial and the website www.myschoolisspecial.nl. We collect special stories from special schools through this website and through social media. Girls, masters, school leaders, students and parents can tell us in a sentence or in a short story why their school is special. All those stories we're gonna put together and publish next year. I come to my second point. Companies are experiencing a growing shortage of professionals, technicians. I would therefore like to offer an action plan to the Minister and the Secretary of State. The plan is called The Golden Hands of the Netherlands, Action Plan technical and specialist craftsmanship. It is currently distributed to the Minister, the Secretary of State and to colleagues in the Chamber.
ParlaMint-NL_2016-11-02-tweedekamer-7.u204	I assume there is no objection to this document being made available to the Central Information Point of the Chamber. (For inspection at the Central Information Point of the Second Chamber of the States General.)
ParlaMint-NL_2016-11-02-tweedekamer-7.u205	I would like to mention four points of action in the plan. The first is the funding of VMBO technology. A quarter of the VMBO students cannot take a technical VMBO course within cycling distance. How am I supposed to reconcile that with the great shortage of professionals? Earlier, I addressed the Secretary of State about the financial bottlenecks. A student taking a technical course is twice as expensive as a student undergoing administrative training. The introduction of the broad profiles has put the technology vmbo's in trouble. I have therefore tabled an amendment for a VMBO Technology Fund to remove the acute bottlenecks. There's also an image problem. I would like to agree with colleagues that from now on we will no longer be talking about lower and higher educated people. Is it not an idea to set an example in politics and to speak from now on about theoretical and practical trained people? So we don't talk low and high anymore, we don't judge value. Another point in the Action Plan is a better image of practical education and vocational training. That's what we have to start at elementary school. I am surprised that the assessment of schools by the inspection is still based on the average Cito score in group eight. Students with outflow advice to vmbo score below the national average. Elementary school failed if it doesn't deliver havist or vwo'er. The system of apprenticeship weights is not sufficient to correct this. It is a great misconception of those golden hands of the Netherlands and of the efforts of primary schools to extract every talent from students. The Christian Union calls on the Secretary of State to recognise practical skills and not punish schools if they are below the national average. The inspection could be more context-oriented. Does a school make the most of the students? Do you think there might be more care students at school? Are there perhaps smaller classes where one practical student has a major influence on the Cito score results? That kind of context is important. The third point concerns learning rights and training grants. In our election programme and in my action plan, the Christian Union is calling for a training grant for workers who have taken vocational training. The long-term vision is that everyone has the same right to funded education for many years. When I launched this plan in the spring during an AO, broad support was already expressed by other parties. The motion I had tabled together with Mrs Straus on this subject was put on the table at the request of the Minister, because she had something in preparation. Indeed, we now see that the Education Council, VNO-NCW and the ESC advocate such a system. Workers can use this to keep their knowledge up to date. In addition, the position of people with vocational training is aligned with those with theoretical training. I would like to put my motion to the vote after this debate and ask the Minister what first steps she can take on the road to this final picture. We already see vouchers in the HBO and a committee reporting on demand management in the MBO. Can we establish as a goal that everyone during their working life is entitled to funded education up to, say, the Associate Degree? I come to the fourth point in the action plan. The strange thing is that in higher or theoretical education there are negative incentives for late bloomers and stackers. Does the Minister agree with me that students entering vocational education, the stackers, should have sufficient opportunities? Is it prepared to consult with institutions to not punish stackers, but to support them? I come to my third and final point. Already in the introduction of the loan system, the Christian Union has called for attention to be paid to a specific group: students with disabilities or chronic illness. Mr Rog has already mentioned this in detail. They have really deteriorated on it. This is reflected in the figures: the inflow, the outflow from higher education and the higher financial thresholds. This is reflected in figures from the Minister's own monitoring policy measures. The sum added is even greater due to the large differences in support per municipality and per institution. Does the Minister agree that extra information alone is not enough, because this group of students has an unequal chance of higher education? Maybe I shouldn't say higher education, but theoretical education. If the Minister agrees with me, will she meet these students with a higher remission for the extra year of study?
