ParlaMint-NL_2016-09-07-tweedekamer-8.u1	I welcome the Minister for Education, Culture and Science. We need to get back to work.
ParlaMint-NL_2016-09-07-tweedekamer-8.u160	Mr. Chairman. I'm going to try to answer it exactly with the law in hand. The bill reads as follows: "Article 8.0.1. Notification by 1 April at the latest. 1. No later than 1 April preceding a year of study, the person wishing to register as a participant for a vocational training starting at the start of that year shall notify the institution concerned. Upon notification, the person concerned may change his or her notification. (...) 3. This Article shall not apply to: a. a participant who applies to a vocational training other than that in which he was originally registered but can demonstrate that the notification is the result of an termination of the registration under Article 8.1.7a at a time when he could not register by 1 April prior to the year of study for which he wishes to register; and b. participants in an experiment on continuous learning lines vmbo-mbo (...)." Article 8.1.7a refers to the binding study opinion. In concrete terms, the passage I have quoted means that a student who has received a binding study advice should still be admitted to the training of his or her choice. There may be a problem here, namely if such training had a capacity problem, for example because of practicalities or laboratories. In this case, the training can already be full and a problem arises. This means that a student must be admitted to another education of that institution or other institution. However, the combined amendments tabled by Mr Duisenberg and Mr Grashoff may create a problem for this small group. Mr Van Meenen has a point to make. Would you like to change this? That's a choice being made. Mr Grashoff asked for the binding study opinion to be given after nine months, so that was after 1 April. In order to avoid the problem mentioned above, the amendment should, for example, reduce the deadline of nine months to seven months. In this way, the binding study advice will follow from 1 March... we will count from August or September... so that the student has one month to participate in the regular procedure. In theory, the problem could also be solved by Mr Van Meenen's amendment, which postponed the date of registration from 1 April to 1 May. However, I am not in favour of this. I'll explain that to you in the near future. I have already advised against that amendment before the recess, because I do not think that this is really good from the students' perspective. Theoretically these are the options, but, once again, they only apply to students who have received binding study advice and are confronted with a second training of their choice where there is a capacity problem; these options do not apply to all other cases. I therefore assume that if this occurs, it will be an extremely small group. In such a case, a school together with a student can look at another course of study of the student's choice, which fits his or her ambitions, motivation and abilities.
ParlaMint-NL_2016-09-07-tweedekamer-8.u161	Mr Van Meenen, you seem to have made a point.
ParlaMint-NL_2016-09-07-tweedekamer-8.u162	It's clear. The student holds the right of admission, even after a binding study advice after 1 April, but gets into trouble in studies with a numerus fixus. The practice in higher education now shows that the number of courses with numerus fixus has exploded in recent years. Mr President, I promise you that this is my last question: how is the Minister going to ensure that it is also very limited here? To be honest, I foresee that if we do nothing, the number of courses with a numerus fixus, due to the right of admission, will increase enormously, because then the right to select will arise. Does the Minister share that fear and, if so or no, what will she do about it?
ParlaMint-NL_2016-09-07-tweedekamer-8.u163	No. The documents say that I expect that to be around 30 training courses. An institution cannot simply determine the numerus fixus itself and by naming a capacity problem select students. We are also discussing this in higher education. We have limited the scope for that limitation. To be honest, I'm not so afraid of that. I repeat why I am really not in favour of shifting the date of registration from 1 April to 1 May. We already have experience that many regions use the registration date of 1 April for the MBO. That's good. This means that a vo-school will have plenty of time for the exams to accompany a student who did not register on 1 April in his choice of study. Institutions will have sufficient time for careful intake by 1 April. Institutions and schools therefore have sufficient time to prepare for this new group of students. I would also add that after the summer holidays, MBO generally starts earlier than higher education. I also know that the MBO Council has a stronger preference before 1 April. The MBO Council and I do not agree on all the fundamental points, but I do think that I should take into account the implementation arguments it mentions.
ParlaMint-NL_2016-09-07-tweedekamer-8.u164	Mr Van Meenen, you said it was your last interruption. Then this will be the very last one.
ParlaMint-NL_2016-09-07-tweedekamer-8.u165	That remark related to the previous point. This interruption concerns my own amendment, namely the shift from the date of registration to 1 May. Does the Minister agree with me that it is precisely because of the Duisenberg amendment that there are legal consequences, other than those provided for in the law, that the date of 1 April is to be passed? This will benefit students that the registration date is as late as possible. The minister just said: if students have not applied on 1 April, then the school can continue to accompany them. Yes, but they have now lost the right of admission under the Duisenberg amendment.
ParlaMint-NL_2016-09-07-tweedekamer-8.u166	They can still be accepted with Mr Duisenberg's amendment. I repeat what Mr Bishop said: it is about finding a balance. We need to look not only at the moment when the student signs up, but also at where the student comes from, at the transition from secondary education, often from VMBO schools to MBO, and at the practice that already exists. If there is an explicit preference there before 1 April, and things are going well in the regions, then it is not for me to change that. We must do everything we can to encourage students to register before 1 April; in higher education, moreover, we can see that this has gone well at a fairly rapid pace. But anyone who signs up after 1 April can still be admitted.
ParlaMint-NL_2016-09-07-tweedekamer-8.u167	In higher education, however, it is not true that if you sign up after 1 May, you will lose your right to admission. You don't lose your right to admission if you sign up after May 1st. That will happen with the Duisenberg amendment. You're gonna lose your right to admission. That doesn't mean you're not going to be admitted, but you're no longer entitled to it. That's quite a consequence. I believe that the student's interest must be the greatest, and not the importance of the schools, which find it difficult to organise it from 1 May. So it really is a completely different situation from the current practice, because in that practice there is no right of admission that you can or cannot lose.
ParlaMint-NL_2016-09-07-tweedekamer-8.u168	This is ultimately about finding a balance; that is what others have already said. I believe that the fundamental point that students have the right to admission is of the utmost importance. Mr Duisenberg is tabling an amendment in which this is a bit of a shift. I'm finding that might be an extra incentive on the one hand to register early. That can also be good, because a study choice intake is of the utmost importance to start your studies properly. On the other hand, it may have a disadvantage for those who do so later, but that is in the MBO than the group that is no longer subject to qualification. I think that is reasonable, even from the point of view of feasibility, which schools have to take into account. Mr Van Meenen and Mr Mohandis asked about the bbl-spots. Let me point out that I do not agree that this bill causes problems for students who do the vocational guidance learning path. There are people who think, and I read that in the letter from VNO-NCW, that schools should publish the number of bbl-spots before 1 February, but that is not necessary. Let me be clear about that. A reduction in the number of places is necessary only if the educational capacity of the school gives rise to this, such as practicals, laboratories, etc., or if the labour market perspective gives rise to this. This will not be an issue for bbl-training because a bbl'er only attends school one day a week and works four days a week. In principle, therefore, he always has a labour market perspective, because after the course the student almost always has a job. If you have an internship for those four days, by definition, you also have a job perspective. That also means that when a bbl'er signs up who doesn't have an internship yet, he doesn't necessarily have to have one before 1 April. Just as is happening now, even after the entry into force of this bill, a bbl'er can still look for an internship after registration or registration. I therefore believe that the concerns are based on a misunderstanding, namely the misunderstanding that one should clearly indicate on 1 April exactly how many bbl-spots one has to deliver. So you don't have to. So there will be rarely or never problems with bbl'ers. If there are problems with an internship site, they can be solved after 1 April. Mr Grashoff's amendment seeks to give more guarantees in connection with a binding study opinion. I think it is of the utmost importance that the procedure concerning the binding study opinion should be followed carefully and that adequate safeguards should also be provided. I quote Mr Bishop once again: there must be a balance between the rights of students and of schools. There was the example of a student who really doesn't do anything and isn't interested. That can indeed happen and then a school should be able to say: I think that this training does not ultimately suit you. Then it is the responsibility of the school to see if there is an education that allows the student to be motivated. After all, it is up to them to accompany the students to another programme. I can support the spirit of Mr Grashoff's amendment. I also think it is important that students' rights are well protected if they are given binding study advice. Therefore, in my letter received by the Chamber during the recess, I also indicated where a student can appeal and how a student should be informed. I also wrote that a binding study advice cannot be given simply because there is one teacher who thinks: I find this student too difficult in the classroom. Here's what I'm gonna say. A negative binding study advice is in fact only an advice for students who receive the communication: you cannot continue with this programme. I think it was Mr Rog who said it would be so bureaucratic, because everyone should be given an opinion. Most students, however, receive positive advice. That can be given orally. That's what happens in a slb call. I can't imagine that there would be schools that wouldn't talk to their students on a regular basis about the progress of studies, about the satisfaction and about the study. If everything goes well, you'll be ready in five minutes and nothing needs to be put on paper. I would also like to add that the experience of the binding study advice in entrance training is positive at the moment and institutions are carefully shaping this procedure. By setting a limited time limit within which the binding study opinion may be given, which is proposed, inter alia, in Mr Grashoff's amendment, the area of the institutions, the schools, is restricted. I know schools aren't happy about it. I think it is important to give this to the Chamber. We have to weigh that, because it requires a lot of schools. But it's possible. I therefore leave the opinion on this amendment to the Chamber. I say that in the knowledge that it requires more of schools. I have just gone into detail about the combination of the Grashoff amendment with Mr Duisenberg's amendment and Mr Van Meenen's amendment, all of which touch on the date of 1 April. But, once again, it can be as the amendment has now been set up. I have a few other questions. Ms Siderius asked if it would be reported to the municipality if students had received a binding study advice. Yes. At first, the school's the move. It must be able to offer an alternative. So if a student gets a binding study advice, the school has to look at another education. However, the bill also refers to a code of conduct. Sorry about English, Mr. Chairman. I will include the need for municipalities to be involved. This is particularly important for students who can get to work better or for students for whom another course fits better. Eventually, any student who fails to obtain a final start-up qualification will be reported to the RMC office of the municipality. But this is only happening in the final situation in which the school, which bears the primary responsibility, concludes that even after a binding study advice, the search for an alternative at school or at another school cannot succeed in any way. Then it means that there must be a warm transfer so that a student does not lose in the bureaucracy and there is always someone who takes care of him or her. The motion-Siderius in part No. 21 concerns the refusal of the number of students. I am asked to register how many students are refused and what is the reason for refusal. The aim of this legislation is precisely to prevent students from being refused. The assignment to schools to inventory why students are refused is contrary to this law. The schools must no longer refuse. Apart from that, I would also like to discourage the motion, because I believe that the importance of keeping this up to date does not outweigh the administrative burden that this will entail, because we want to prevent students from being refused. I am more positive about keeping up with the binding study opinion, as requested in the Van Meenen motion in part No. 22. Maybe that'll help Mrs Siderius too. With this law, you can't really refuse. The only thing that can be done, in particular situations, is to give students binding study advice. I'd like to register that.
ParlaMint-NL_2016-09-07-tweedekamer-8.u169	The bill states that students who are refused access to an MBO institution must receive a rejection letter at home. How much trouble does it take an MBO setting to put a turf in a box? You know exactly how many there are and also what category of rejection the student falls into. I do not think that is the administrative burden. In my view, it is also a good tool to see whether the Minister's law is successful. If it goes to zero for hundreds of, in some cases unjustified, rejections, then the Minister has a numerical basis on paper that the law is successful. If it is not so successful, then perhaps we can intervene in the meantime.
ParlaMint-NL_2016-09-07-tweedekamer-8.u170	Here it comes down to proportionality. There's also a request to monitor. I'm willing to do that. I'll get right on that. However, I think this is the wrong signal. I'm making a bill saying that students have a right of admission, that they can't be denied anymore. Then I think it is a wrong signal to ask schools at the same time if they would please keep track of why students are being refused. Then schools have a point when they say that they have to keep it all administratively. That does not seem to me to be the right way forward.
ParlaMint-NL_2016-09-07-tweedekamer-8.u171	If we register it, we will also lose the discussion that is now taking place in the field. Among other things, the JOB says that there are several hundred cases, while for example the MBO Council says that there are only a few per year. There are great differences in perception. Nobody knows because it's just never written down anywhere. It seems to me appropriate to register that. I don't understand the administrative burden, because if you're ticking a letter, you can put a turf somewhere in the system.
ParlaMint-NL_2016-09-07-tweedekamer-8.u172	We base this law on the data we have. One says it's a few dozen cases, others say it's 200 cases. The research we've done is about numbers around 200. I assume that's the tip of the iceberg, because those are the students who, although they didn't have any way of resisting rejection, have turned it into a matter. I refer once again to the study which shows that selection is to a greater or lesser extent taking place in half of the institutions. I want to put an end to that, and I also want to send that signal unequivocally to schools. That means I'm deceiving the motion. In the Van Meenen motion on part No. 22 The Government is invited to report to the Chamber within two years of the entry into force of the Act, in cooperation with the JOB, on the number of negative binding study opinions issued. I leave the judgment to the Chamber. I'm willing to perform a monitor after two years. I am willing to do this together with the JOB, but also with the MBO schools. I would add that I do not want a full evaluation, but I do not think Mr Van Meenen means that either. I can assure him that, if his motion is adopted, we will inform the Chamber after two years of how often a binding study opinion has been given and under what circumstances. Mr Mohandis asked how I am going to ensure that the field works towards the proper implementation of the law. I have been in close contact with the parties involved in the preparation of this law. As he has undoubtedly noticed, its impact has also led to the necessary discussion. By the way, there was also a lot of support in the discussions I had, not only with MBO schools but also with VMBO schools, municipalities and so on. We all agree that municipalities, MBO schools, vo-schools and employers need each other to make good agreements, especially for young people who fail or are threatened with failure. I want to record that in that code or conduct. For example, we are dealing with agreements on the supervision of young people who leave their training or young people for whom education is not the most appropriate place for the time being. We will also agree on the implementation of the study choice advice and the binding study advice. I am also happy to include its implementation in the evaluation of the legislative proposal. I'll include the JOB in that, too. If that is due to signals, then I will also take those signals with me at the monitor in two years' time that I have just promised. Then I will extend the monitor at the request of Mr Mohandis. This includes not only the binding study advice, but also all the other signals we get. Without it being a whole evaluation, I say, because it just can't be after two years.
ParlaMint-NL_2016-09-07-tweedekamer-8.u173	I thank the Minister for this comprehensive answer. I have another question on the motion which Mr Van Meenen has read out and which has now received a different interpretation from the Minister. That motion is a little broader, which I support. Is that what took over the motion? Then we won't have to vote on it on Tuesday. Let me just say that for the sake of clarity.
ParlaMint-NL_2016-09-07-tweedekamer-8.u174	At the Van Meenen motion in part No. 22 I have noted: Judgment Room. If a member tries to provoke the minister to take over the motion, we're going to listen to the Minister's response.
ParlaMint-NL_2016-09-07-tweedekamer-8.u175	I said first, judge Room. I then replied to Mr Mohandis' questions and said that they were a welcome addition to what was in the motion. That is why I gave the motion a different interpretation. If there is no objection in the Chamber, I could accept the motion, including the answers to Mr Mohandis' question.
ParlaMint-NL_2016-09-07-tweedekamer-8.u176	Then I'm gonna have to ask if anyone in the Chamber has any objection to taking over the motion. For the sake of clarity, I would like to add that, including the Minister's turn in this respect. It concerns the motion in part No. 22, by Mr Van Meenen.
ParlaMint-NL_2016-09-07-tweedekamer-8.u177	There are so many aspects to it that I do not just want to say here that I agree to take over. I'd like to take a closer look at the motion.
ParlaMint-NL_2016-09-07-tweedekamer-8.u178	Right. Then the motion will just be put to the vote. It happens more often that there is a need for internal reflection or whatever. The motion will just be put to the vote. The Minister has delivered her opinion.
ParlaMint-NL_2016-09-07-tweedekamer-8.u179	Finally, I come to Mr Bishop's question. I've already said something about that. How do we prevent us from entering into new commitments? I have also looked at how we can design it in such a way as to minimise the additional burden on schools. I also hope that the investigation and the letter that Actal has written will reassure Mr Bishop. I would also like to say that I will ensure that regular monitoring is carried out as far as possible through the inspection. It's just gonna be part of the inspection's oversight. This is not an additional burden on institutions. Monitoring can mean that in a sense, so perhaps that still needs to be taken into account. I myself think it would be no harm to draw up a mid-term review after two years, given Mr Van Meenen's question and the debate that has arisen in the field about this law. We can then see which signals are there. I think it is reasonable in itself to ask a question at that time at the schools. In my view, the administrative burden remains very limited in this way.
ParlaMint-NL_2016-09-07-tweedekamer-8.u180	Did that bring you to the end of your reply?
ParlaMint-NL_2016-09-07-tweedekamer-8.u181	That's right, Mr. Chairman.
ParlaMint-NL_2016-09-07-tweedekamer-8.u182	Suddenly I see movements in the room. I give the floor to Mr Rog of the CDA.
ParlaMint-NL_2016-09-07-tweedekamer-8.u183	I had asked the Minister a question because I am concerned that this law may have negative consequences for early school leaving. The Minister did not explicitly address this issue, but perhaps she is prepared to include this aspect in her interpretation of the Van Meenen motion on item No. 22 and in the evaluation and monitoring? That is my suggestion to the Minister.
ParlaMint-NL_2016-09-07-tweedekamer-8.u184	I would point out that I have already gone into that in detail. I have also tried to serve Mr Van Meenen, but he did not think it was an answer to his question. As far as I am concerned, the question about school leavers is no other than the question about re-launchers or those who register later. I have just told Mr Van Meenen that I think it is the other way round and that this will reduce the number of early school leavers. After all, we know that 10% or 20% of today's early school leavers emerge from the transition between VMBO and MBO. This bill contributes to the direct transfer of students from secondary education, from VMBO, to MBO with guidance. It is expected that this will contribute to my objective of further reducing the rate of early school leavers to 20,000.
ParlaMint-NL_2016-09-07-tweedekamer-8.u185	A final question from Mr Rog.
ParlaMint-NL_2016-09-07-tweedekamer-8.u186	That is the Minister's expectation, but the loan system has not been met either. Does she want that involved in the evaluation?
ParlaMint-NL_2016-09-07-tweedekamer-8.u187	I said I'd do an evaluation after four years. We'll involve everything, including this. I told Mr Van Meenen and Mr Mohandis that, in view of the discussion on the binding study opinion, I was prepared to make a snapshot of this issue in two years' time and to include other signals. If there are signs that this has effects on early school leaving, I will involve it in the monitor in two years' time. However, I would like to limit that monitor a little bit, because the more I include it, the more administrative burdens will be added, including for schools.
ParlaMint-NL_2016-09-07-tweedekamer-8.u188	I very much appreciate the Minister's efforts to minimise the administrative burden on schools associated with this operation. I think the schools will thank her for that. But I was referring to something else when I asked about the inspection. How can we prevent, for example, the number of binding study opinions issued from becoming one of the parameters on which a school will soon be assessed by the inspection? As long as we stick to the ideology of profit-oriented work, I am not entirely reassured. Can the Minister reflect on that?
ParlaMint-NL_2016-09-07-tweedekamer-8.u189	I admit that it can never be the intention that an inspection should be conducted on the number of binding study opinions issued. However, it is important to check whether a school regulates admission properly. I think it is of the utmost importance that the inspection should look into whether there is a good career orientation...
ParlaMint-NL_2016-09-07-tweedekamer-8.u190	I would ask Members to listen to the Minister or else consult in the hallway.
ParlaMint-NL_2016-09-07-tweedekamer-8.u191	and is a career guidance counseling. That's what the inspection needs to look into. This outcome will show whether or not binding study opinions are given. But it can never be the case that a school is taken care of, because that would mean that a school would be inclined not to hire students who may have a bit more difficulty. That would have the effect of going diametrically against the intention I have with this bill. Luckily, I can agree to that with the inspection. I'll give you my word on that.
ParlaMint-NL_2016-09-07-tweedekamer-8.u192	Finally.
ParlaMint-NL_2016-09-07-tweedekamer-8.u193	Fantastic! I think it is right to include this aspect in the evaluation in life and well-being in two years' time and to look at how this aspect has been worked out.
ParlaMint-NL_2016-09-07-tweedekamer-8.u194	Again, with the remark that there will be no evaluation in two years' time. The law says the evaluation is in four years' time. In two years, there will be a monitor, a snapshot. In view of the discussion about this law, we will see if the law does what we all want the law to do. If this is a signal, we'll take it with us. But I'm not going to assume that, because I'm also the one who's in charge of the inspection. So I can give the inspection that I have promised to make sure that schools are never charged on the issue of whether or not to issue a binding study advice. Like Members, I am well aware that this can provoke very bad behavioral effects.
ParlaMint-NL_2016-09-07-tweedekamer-8.u195	My colleague Lucas was the spokesperson during the first term of the discussion of this bill. I understand that at the time there was also talk of situations where there is gross abuse of registration in the MBO, either purely or almost exclusively in order to receive study funding and an IPR card. I understand that there was talk at that time about an investigation into such gross abuse and what you could do against that abuse. The Minister has agreed to do that investigation. When can that investigation be expected, including the government's assessment and possible measures?
ParlaMint-NL_2016-09-07-tweedekamer-8.u196	That is what we have been talking about. In fact, I immediately indicated that it is unacceptable, as far as I am concerned, for people to register in this way. I also said that schools have a responsibility to register immediately, because they have to register failure as part of school leaving. They have to pass that on to DUO and then the study funding can be stopped. There is now a question of how often, despite all the measures we have taken, this happens. That inquiry with a cabinet response will be sent to the Chamber at the end of this year.
ParlaMint-NL_2016-09-07-tweedekamer-8.u197	This brings us to the end of the reply by the Minister, for which I thank her.
ParlaMint-NL_2016-09-07-tweedekamer-8.u198	I propose that we vote on the amendments, the legislative proposal and the motions for resolutions next Tuesday. I heard Mrs Siderius say something about article voting. If she so wishes, I would ask her to let the Registry know in good time.
