ParlaMint-NL_2016-09-29-tweedekamer-5.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-09-29-tweedekamer-5.u175	The BIT will speak on the basis of a concrete plan, so it will have to take place afterwards. We are, of course, already in contact with the people of BIT to bring them into the process. And, of course, we will also have to pay great attention to governance.
ParlaMint-NL_2016-09-29-tweedekamer-5.u176	Then, of course, the Chamber cannot make a final decision. We have agreed that the BIT, which has played an important role in the process, must also find something of that. If it's BIT negative, maybe you should come back to it. Can the Secretary of State give us anything more? We'll get the report. When is the BIT opinion going to be there?
ParlaMint-NL_2016-09-29-tweedekamer-5.u177	I can't comment on that right now. We need to discuss this further with the BIT, but I can well imagine that in the description of the plan we will indicate exactly how it works.
ParlaMint-NL_2016-09-29-tweedekamer-5.u178	Thank you. And is governance properly described?
ParlaMint-NL_2016-09-29-tweedekamer-5.u179	Yeah, I just turned that in.
ParlaMint-NL_2016-09-29-tweedekamer-5.u180	I suggest the Secretary of State starts his story.
ParlaMint-NL_2016-09-29-tweedekamer-5.u181	A number of questions have been asked about the coulance regime that is now before us. Last summer, therefore, we intensively communicated with budget holders and healthcare providers the requirements that the health care agreements and declarations should meet, in anticipation of the situation in which we say that the controls should actually be carried out more. This has already been done with regard to health care agreements. They come into the Social Insurance Bank spread over time and this process has so far been orderly. Information on declarations was also launched in September. We've just done that sample to find out what the potential is going to go wrong. There is no failure now, because if the formal controls are not complied with, we will pay anyway. If you want to go to the situation where we do not pay if the checks are not met, you want to know why. That's what the sample was for. This showed that a large number of declarations would not meet the formal requirements if you were to operate in that way. This involved, for example, the signature of the budget holder. It seems a very formal point that the budget holder's signature is missing, but, among other things, Per Balance has convinced me that this is a very important, albeit formal, control option. After all, the budget holder, who must be in charge, must be able to assess whether the declaration submitted by the healthcare provider is correct. That is why there is such a great deal of consensus about initiating controls. That's not because it's so nice to turn on controls, but because of two aspects. The first aspect is the safety of the budget holder. It can then be more in control, monitoring what is happening and making comments about it. Then there are no declarations from healthcare providers that the budget holder doesn't know about, for things that haven't happened at all or in any other way. That is a very important argument. Secondly, there is the question of legality. If all the controls are complied with, the providers of the budget, i.e. municipalities and health offices, can assume that the declarations are regular and lawful. As regards Mrs Keijzer's questions, I have, of course, also considered whether all these checks should be carried out. All parties have looked at this too. The checks on declarations, apart from all those things that are already taking place, must be carried out, because they are very essential things, which strengthen the position of the budget holder. Is the signature of the budget holder or his representative on the declaration? Is there a valid budget from the municipality? Is it explicitly stated what happened and for how many hours? Did we catch the good caregiver? There's really been a review of what's necessary and what's not necessary. And of the checks on the declarations that are still to be made, each party says that they should indeed take place. It's possible. If we delete those few things that we have now deleted, we will have a control set that is really in the interests of the budget holder. Mr Potters rightly said: yes, very well that this is happening now, but we should not get back to the situation in which there is a breakdown, like at the beginning of 2015. I'm gonna paraphrase him right now. Mr Potters is, of course, quite right about that. I agree; I don't want to. Of course, we have to avoid that big outburst. That is why we have the individual approach of budget holders in the lead-in period. They call and are informed in writing. Additional capacity is available at the Sociale Verzekeringsbank so that there can be a response when it comes to an adjustment of the claims or more calls. We have also closely aligned this information to the budget holders with Per Balance and the association of small health care institutions. Of course, I don't have a crystal ball. I can't see what the results are either. In the end, therefore, we will have to look at effectiveness. Of course, we keep a very close eye on them, to ensure that that failure will not be there.
ParlaMint-NL_2016-09-29-tweedekamer-5.u182	The reason why we are having this debate is actually very simple. A lot of people at home who have been in trouble for a year and a half want clarity: do I end up in the same situation as on 1 January 2015 and what does the future look like? They're vulnerable people who want clarity. A clear answer has been given to the second question. On 1 November there is just a plan, on which the Chamber can decide. I welcome that commitment. However, we need to be absolutely clear about the question: is there going to be another large-scale failure or is the risk simply removed? I would like a clearer answer from the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u183	We don't want this massive outburst. So we also take everything out of the closet to prevent it. We are monitoring this process so closely that we could also intervene if that were to be the case. I am not assuming that, by the way. We do a lot of individual approach. People get calls and they're informed in writing. Per Balance has also used information tools for this purpose. The accessibility of the Social Insurance Bank, both its capacity and its telephone accessibility, is in order. I therefore believe that this condition will be met. However, Mr Potters is right. I am keeping a close eye on it so that we can intervene if it leads to other problems.
ParlaMint-NL_2016-09-29-tweedekamer-5.u184	The fact that it happens is, of course, partly preventable by the information that the employees of the Social Insurance Bank now receive via phone calls. Can the Secretary of State tell us anything about that? What do they come across? Is it estimated that the people they now have on the phone or reach by letter will no longer need to be called after 1 November? So how do we make sure they don't get hurt?
ParlaMint-NL_2016-09-29-tweedekamer-5.u185	We will also try to monitor this as closely as possible during the start-up period in order to find out what the reasons are. They are very diverse, by the way. They range from people who forgot something to people who say, "Oh, I have to, thank you, I'll change the declaration." In the end, you will of course remain dependent on the budget holder who may or may not change his declaration to indicate someone from the Social Insurance Bank. We will try to monitor the reasons as best we can, so that we know them and can look very closely at what else we can do about them. Of course, the best possible assistance should also be given to those budget holders who have not been able to fully understand what is needed for a declaration beyond their fault or for whatever reason.
ParlaMint-NL_2016-09-29-tweedekamer-5.u186	If you make a mistake because you forgot something, it's gonna have huge consequences. We have agreed that these are the consequences and we have to accept them. I am not under any illusions that there will soon be no one to deal with it. Suppose someone makes a mistake because he forgets to sign, will the employee indicate that forgetting a signature at a later date has enormous consequences? Will he ask that person if he is aware of that?
ParlaMint-NL_2016-09-29-tweedekamer-5.u187	That is exactly what is going to happen during the start-up period. The employee will say: listen, on these two points your declaration was not good; we will pay it this month, but pay attention, because if it is not right again the next month, the payment will not go through. He will say that we really need to ensure that the declaration on these points is in order in the coming month and he will also explain how that can be done. That's how the habit is shaped. You may assume that as a rule it will go well. But again: in the pgb-file things always happen that you couldn't have thought of in advance. That's what Mrs. Volp is right to say. So we will follow it closely and we will see what the consequences will be.
ParlaMint-NL_2016-09-29-tweedekamer-5.u188	The Secretary of State is talking in this block about the coulance regulation. That term is, of course, squarely wrong. That term implies that the budget holder is a kind of criminal and that he is given some coulance. We all know that this Secretary of State does not have a functioning system until 2018, and probably only from 2020. Thanks to the Secretary of State, people get into trouble with their payments, even with the Tax Office, their rent and their mortgage. That's the Secretary of State's fault. However, he comes up with a coulance arrangement. How does he survive November 1st? That doesn't just depend on a timetable and the way the portal looks like. If the Secretary of State is going to check from 1 November onwards, and he has to do so, because his current system is a fraud magnet, and the consequence is that honest people are not going to be paid out, how will he survive the period after 1 November as Secretary of State?
ParlaMint-NL_2016-09-29-tweedekamer-5.u189	The room is about my survival, not me. So that's up to the Chamber. We're doing this right so that the budget holder can direct himself. On the contrary, the budget holder has no problem checking for the signature. In fact, that is in the interests of the budget holder. The budget holder has an interest in ensuring that the health care provider's declaration is correct. These controls are not there because the budget holder is cheating, because in the vast majority of cases this is not the case at all. However, there may be declarations from the healthcare provider whose budget holder says: it is not correct. There's got to be that opportunity. That last step in the administrative checks is now on. That is very much in the interests of the budget holder.
ParlaMint-NL_2016-09-29-tweedekamer-5.u190	Yes, yes, one last step in administrative controls, while 61% is not lawful. If such a large percentage of declarations is not lawful, it attracts fraudsters. Honest people are the victims of this, people who are already the victims of the government and who are in payment difficulties. Why am I asking how the Secretary of State survives November 1st? He says that the situation after the start-up period of 1 November is as follows. Checks are being carried out, as they are now, and if incomplete declarations could not be paid as a result, payment will not be made. But how can you control a system that doesn't work? How can you stop payments to honest people? And how can the Secretary of State survive that? The Secretary of State says that's what the Chamber is about. In my opinion, Secretary of State Weekers said something like "Mrs. President, we have had a wide-ranging debate today on matters that are very dear to me" and so on. He took credit for himself. Why does this Secretary of State, who sees November 1st and sees that it is not sustainable, not? Why doesn't he take credit for himself?
ParlaMint-NL_2016-09-29-tweedekamer-5.u191	It is not for nothing that we have introduced the system of drawing rights with a rather large majority in the Chamber. In the past, the money was deposited into the budget holder's account and subsequently checked. We can think differently about that, but there was great agreement that this was not a good system. It facilitated a number of inaccuracies and fraud, not with the budget holder, but with desks and caregivers. The switch to the draw right gives a system with pre-checking. The money doesn't just get deposited in the account. Now we are talking about how to further shape the ex ante control. There is already being checked, really much more than in the old system. You don't get any money in your account. They're looking at the budget you have in advance. It's agreed in advance what kind of care you get. It is agreed in advance at what rate. That's all happening. We are now taking the step of encouraging administrative controls, which are also in the interests of the budget holder. If we do this properly and carefully, we will have to change it in the current system; we will come to the conclusion that we have done the best we can for the budget holder and that improper use and fraud by others other than the budget holder will be avoided.
ParlaMint-NL_2016-09-29-tweedekamer-5.u192	Last time, no repeats, please.
ParlaMint-NL_2016-09-29-tweedekamer-5.u193	The Secretary of State says that we have all introduced the right of draw. That is false, it is factually incorrect. The Secretary of State went against better judgment, while all signals were on red, working soloistically. He didn't inform the room. He has received two motions of censure. The Secretary of State is therefore solely responsible and not the Chamber. He's only responsible for all these payment problems. My question to the Secretary of State, who he is not going to answer, was how he will survive the case after 1 November if he does not want a magnet for fraudsters and also wants to ensure that honest people just get their money.
ParlaMint-NL_2016-09-29-tweedekamer-5.u194	I do not know whether I can convince Mrs Agema today or in November. All I can do is to do my best to ensure that we make the current system work as well as possible and that the necessary controls, including in the interests of the budget holder, can be triggered responsibly. We will work as well and as hard as possible on a new system, including a budget holder portal that will make it more user-friendly for the budget holder and that the controls that need to be carried out manually can be done as much digitally as possible. I'm working hard on that, and I'm gonna keep working hard on that as long as I'm given that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u195	You'd almost get soft knees: a secretary of state who says he'll do his best and work hard. Nevertheless, after more than a year and a half, we are still standing here with a system in which it was not possible to enter the address details on the SVB-hour note. Tadada! That was the cause of a quarter of the illegal cases brought by the SVB into the media as fraud against budget holders. How does the Secretary of State feel about that now? What does he think about it that after a year and a half, it still turns out that the Social Insurance Bank's forms are out of order so you can't declare? What does this say?
ParlaMint-NL_2016-09-29-tweedekamer-5.u196	Two things. First of all, it was possible to declare, because the emergency scenarios meant that it was said on those points that it should not lead to a breakdown. Secondly, it was found in a sample that something could not be completed on one of the forms and that this could lead to an unjustified breakdown. It was discovered late, which is worthless, but it's good that we find out now. This is precisely the result of the decision that, if we were to initiate the controls, we would go through them again with a comb to determine whether there are anything else in it that is improper and that affects budget holders. I think it's late, but it's good that it's been discovered before it leads to consequences.
ParlaMint-NL_2016-09-29-tweedekamer-5.u197	Already in January/February 2015, we had a huge debate about people who were not paid out. It explains a lot that this could not be done, if an address field cannot be filled in. At that time, all kinds of checks were carried out at the request of the Chamber so that the declarations could continue. It is only in the eyes of the weather that such conditions emerge that the Social Insurance Bank simply has a wrong form. I find this indicative of the file. If the Secretary of State considers this to be logical, I do not think that it would be possible for him to ensure that, after 1 November, if the legality of the declarations is really considered, there is no problem with the possibilities offered by the Social Insurance Bank for a declaration: no missing address field, no errors in anything? Can he vouch for that? Because when this kind of crazy mistakes are made, people get into trouble. After all, this is about people's salaries.
ParlaMint-NL_2016-09-29-tweedekamer-5.u198	No, I just need to correct something. The monthly payments just keep going. This is about the declarations. That's one. Secondly, it cannot be the same payment problems as in 2015, because they were caused by other issues: late care agreements or a budget plan that was not ready. Now we are talking about the final step, namely whether a declaration is entirely satisfactory. With all parties, we have considered whether we should carry out these checks and whether they are also in the interest of the budget holder. Are these the right forms and we're gonna check it out that way? All parties say: yes, that's how it can and that's how we have to do it. So all the parties have said that this is how we can handle the controls. It is the maximum guarantees that we can create with each other to make the process work. That doesn't change the fact that I'm still going to see what it means and that I can intervene at the moment we think: hey, that's not going well.
ParlaMint-NL_2016-09-29-tweedekamer-5.u199	Finally, could I ask the Secretary of State about the following? There were reports in the media that 800,000 declarations were unlawful. We can now see that only 5% of them have problems with the agreement on the declaration and the work. That kind of thing should no longer be reported in the media as if the budget holders were illegal, when it is simply about errors with forms, signatures and that sort of thing. So, in 5% of these situations, it was really about a declaration that didn't have any work to do.
ParlaMint-NL_2016-09-29-tweedekamer-5.u200	I very much agree with that, but when we talk about controls we should also be careful not to think immediately: oh, they are or are not because of fraud. That is not so splashed by my knowledge either, and it should not be splashed like that. We also need to look at what control requirements should be met in a normal way in the pgbs. I shall come back to this in a moment to Mrs Keijzer's questions. Declarations can be checked and this should not lead to unnecessary situations because a budget holder loses his way. This has nothing to do with fraud, but simply with an adequate control policy. That's part of declaring care. That is also in the interest of the budget holder to ensure that he or she continues to direct. That seems incredibly important to me. Controls must be there, whether they're on fraud or not.
ParlaMint-NL_2016-09-29-tweedekamer-5.u201	But when you put the label "unrighteous" on a pgb declaration, you can check what the image is next. The first thing to be thought of then is fraud, by the people who made the declaration. If then it turns out that it's because the Social Insurance Bank didn't have its data in order and makes forms that weren't right, isn't that a very bad thing? I would like a qualification from the Secretary of State. I would like to raise a second point. I also asked in my term if the Secretary of State would ask the Social Insurance Bank to make standard forms. How does he feel about that?
ParlaMint-NL_2016-09-29-tweedekamer-5.u202	You're smuggling a little with two questions in one.
ParlaMint-NL_2016-09-29-tweedekamer-5.u203	There is a standard form, but I will return to that in my reply. I get the other point. The moment you say that a payment is unlawful because a number of checks have not been carried out, that does not have to mean anything about fraud. If for any reason that has nothing to do with fraud a signature or address is missing, I also understand that the term "unrighteous payment" can evoke the idea: is that up to me? However, that is not the case. If all the necessary controls have not been carried out for the time being, according to our laws and regulations, this will lead to a payment for lawfully delivered care, which can be considered unlawful as such. We have discussed this extensively in the Chamber. This has to do with annual accounts and so on. That is very annoying and it is precisely the reason why all the parties say: we must get rid of it as soon as possible. For example, they are just legitimate payments within the meaning of the laws and regulations.
ParlaMint-NL_2016-09-29-tweedekamer-5.u204	But even a missing signature or a missing address already suggests that the error lies with the pgb-holder and he has done something wrong. When the SVB brings out information about pgb declarations, it says what percentage is irregular and that there are no addresses and signatures, then it is suggested that pgb holders have done it sloppy. With all the discussions people already have, when they have to explain at birthday parties that they are not a fraud, is this really unfortunate, especially after what has happened in recent years? I would like to hear from the Secretary of State, also in the direction of the pgb-holders, that he does not approve of it and does not approve of it if it is communicated about pgb-holders in this way.
ParlaMint-NL_2016-09-29-tweedekamer-5.u205	I agree with Mrs Voortman. I would like to point out that no communication has been made, not even by the Social Insurance Bank, that the payments are unlawful and that this is because of fraud. In fact, I sent a letter about this illegality to the House of Representatives, because it was asked to do so at the transition of the year. Once again, I said explicitly: let us note that illegality does not mean that fraud has taken place, but that something is missing in a formal sense. I understand, however, that it can be incredibly annoying for budget holders when you talk about unlawfulness, with all the discussions that have taken place about it, and that they can feel this as if they are being put back in a corner. That is not good, and that is not the intention. Let me also say at this point that the controls are not being introduced because budget holders are cheating, which we have no indication of either, but rather to put them more in control so that they too can direct on that point.
ParlaMint-NL_2016-09-29-tweedekamer-5.u206	I would nevertheless like to support my colleague Voortman's plea. I thought the coverage was very one-sided. There's gonna be more. I actually want to hear from the Secretary of State that he is going to watch over it in future communication. That one-sided coverage must end sometime. Mrs Voortman is absolutely right: when you talk about illegality, people think of fraud. And look what these people have been through over the last year and a half.
ParlaMint-NL_2016-09-29-tweedekamer-5.u207	I agree, and in all our communications we will watch very closely and give no reason to do so. I do not believe that Mrs Bergkamp gives me the power to tell what the media are writing about it. Of course, we will not do so in all the expressions for which we are responsible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u208	Of course, the media are about their own texts. I would ask the Secretary of State to discuss this explicitly with the SVB. I understood that the communication was created there. I found it really unhappy and really one-sided. If the Secretary of State agrees with me and Mrs Voortman, I ask him to at least have the discussion with the SVB.
ParlaMint-NL_2016-09-29-tweedekamer-5.u209	That's good.
ParlaMint-NL_2016-09-29-tweedekamer-5.u210	We are now getting very close to the point that is really at stake.
ParlaMint-NL_2016-09-29-tweedekamer-5.u211	I hope so.
ParlaMint-NL_2016-09-29-tweedekamer-5.u212	If 61% of the declarations are not lawful, we have to deal with budget holders who are not perpetrators, but victims of a system that is not in place and that is probably only in 2018 or 2020. This Secretary of State is responsible. He has just said that 'unjustified' should not be taken too seriously. I think that is very serious. As early as 2014, the General Court considered this to be an imperfection. Already! I just dropped a book on the floor. It's called Sinistra and it's about my previous life as Secretary of State in North Holland. I never tabled a motion of censure here, though.
ParlaMint-NL_2016-09-29-tweedekamer-5.u213	Secretary of State?
ParlaMint-NL_2016-09-29-tweedekamer-5.u214	No, I'm sorry, I was a statesman.
ParlaMint-NL_2016-09-29-tweedekamer-5.u215	You said Secretary of State in North Holland.
ParlaMint-NL_2016-09-29-tweedekamer-5.u216	No, no, thank God. We had a deputy there, who is a deputy named Ton Hooijmaijers and is now in jail. He also handled non-justice very lightly. I do not want to say that the Secretary of State disappears in prison, but you have to deal with it very carefully. You really should never say that it's not all that bad with a percentage of 61. At that time, however, I tabled a motion of censure on legality. I haven't done that yet. The Secretary of State needs more time, but the Secretary of State has to get on his feet. He can't let this continue. My question was that he should not take the concept of 'justice' too lightly.
ParlaMint-NL_2016-09-29-tweedekamer-5.u217	I call for this debate to be discussed with due care in any case. I don't take "unrighteousness" lightly. That is precisely why we have agreed with the parties to conduct the checks in a responsible manner. And so carefully that the legality that now exists in the declarations disappears in a formal sense, but not after we have informed the budget holder once again and once again in writing and orally, helping the budget holder to do so, so that the current system also leads to legitimate payments, including within the meaning of the law. You and I distinguish between the unlawful payment and whether it is caused by fraud or not. No, in many cases it isn't. This means that it is precisely for the budget holder that it is important to control legality and controls themselves. That only helps the budget holder, precisely to prevent a debate on fraud that should not be conducted at all, because in many cases it is not the issue and not the fault of the budget holder.
ParlaMint-NL_2016-09-29-tweedekamer-5.u218	I see such desperate gestures, Mrs. Agema, that I give you one last chance.
ParlaMint-NL_2016-09-29-tweedekamer-5.u219	That is precisely my point. "Not lawful" means: no fraud. "Not lawful" also means that you will not get your money paid from 1 November.
ParlaMint-NL_2016-09-29-tweedekamer-5.u220	No, Mr. Chairman. We have agreed that a declaration must comply with a number of rules. There's got to be a signature underneath that says the budget holder checked it. The health care provider needs to be known. It must be clear how many hours worked. It must be avoided that this is missing. We are now saying that we are going to initiate these controls and that we are going to help the budget holders to properly complete the declarations. We need to inform the budget holder properly, so he can't say he didn't know. This should ultimately lead to legitimate claims. This is in the interests of law and regulation. I am referring here to legality, defaults and accountability. It is also in the interests of the budget holder, because then there will be no discussion as to whether something is going on. In many cases, there's nothing to worry about. It's gonna help if the controls are on that way.
ParlaMint-NL_2016-09-29-tweedekamer-5.u221	The Minister said at the end: in many cases nothing is going on. Shouldn't we be talking about that now? Have we not created a bureaucratic monstrum that is going to cause payments to fail so immediately, when there is nothing going on? Should we not, as I argued in my speech, review or delete many more controls because we come to the conclusion that we really do not need them to deal with the personal budget in a good way?
ParlaMint-NL_2016-09-29-tweedekamer-5.u222	That is precisely what we have been discussing in relation to what controls we are going to carry out and what controls we are going to carry out. I just tried to tell you what it's about. Declarations shall bear the signature of the budget holder. I assume Mrs Keijzer agrees,...
ParlaMint-NL_2016-09-29-tweedekamer-5.u223	I'm getting a question, Mr. Chairman. Why? After all, it is the budget holder who submits the declaration.
ParlaMint-NL_2016-09-29-tweedekamer-5.u224	No, the health care provider's filing the declaration. That declaration will then end up with the Social Insurance Bank. If it is correct, the health care provider's declaration has a signature from the budget holder indicating that he has checked the declaration and agrees with it. That seems to me to be a sensible check.
ParlaMint-NL_2016-09-29-tweedekamer-5.u225	So that's the question. If at the beginning of the whole process you look at how it can be done in a different way, I think you'll get a lot further. In this context, I would like to mention the guaranteed aid, which is of great interest to me. I think the Secretary of State wants to peel off all these things. We will then be able to make up to 60% of all declarations which are now outstanding and whose checks will continue on 1 November. You know what I see then, Mr. Chairman? I'm beginning to see a bunch of lemmings heading towards the abyss. The Secretary of State insists it's all right. The VVD says the checks must be carried out on 1 November. Why? I think to myself: to say goodbye to this Secretary of State later, if everything goes wrong. Per Balance also wants the controls to be used, because that is what I understand is afraid of the bad picture of fraud with pgbs. It is time to think outside the existing system. Otherwise we will not get any further and in November we will be looking at the same problems that were there at the beginning of this year. I really want to avoid that, for the sake of the budget holders and the caregivers. It has rightly been said a number of times that this is about people's salaries.
ParlaMint-NL_2016-09-29-tweedekamer-5.u226	So that's what we're sharing. Let me rephrase. Whatever system you invent, whether digital or manual, there are a number of essentials that will always have to be looked at. Are we paying out to the right person? Does the budget holder agree? Is that what you've been getting on the budget spent on that part, too? These are basic controls that everyone, from budget holder to provider, believes makes sense to introduce. I very much agree with Mrs Keijzer that it can all be simpler, that it can be more digital and that it can be much more customer friendly with a budget holder portal. That is exactly why we are working on this at the same time. It is important to ensure that in the current system you no longer have discussions about legality and at the same time work to make it smarter, better, smarter and more effective. It should also be more user-friendly for the budget holder. That's the second track: working on the future. Those are the two tracks I have and I would really like to keep to, because this is in the interest of the proper functioning of the pgbs and is also very in the interest of the budget holder.
ParlaMint-NL_2016-09-29-tweedekamer-5.u227	Mrs. Keijzer, no repeats, please.
ParlaMint-NL_2016-09-29-tweedekamer-5.u228	Without repetitions, with one exception: like lemmings towards the abyss. I have here the letter from the chain director. 61% of the declarations are out of order. That letter sets out the reasons for this, but 70% of the reasons are not mentioned here. For only 40% of the failure, the check is deleted, i.e. for four out of ten declarations. So this is going to lead to a huge amount of payout. I hope I'm wrong, but when I see the Secretary of State like that, I think, man, you're organizing your own fall this way! You shouldn't want this for the sake of the personal budget, should you?
ParlaMint-NL_2016-09-29-tweedekamer-5.u229	It is very in the interest of the personal budget that the budget holder is in control of expenditure. In the new system we are building, we are going to facilitate it by means of a portal. In the old system we ensure that the controls are also good. I have already said what measures we are all taking to support the budget holder in getting his or her declarations legally. We're gonna help the budget holder and call. I am watching this very closely, because nobody wants this to lead to an unjustified breakdown of payments to the detriment of the budget holder. That's why we're watching this so closely. We can also intervene if this proves to be the case, but it is very important that we take that last step now, so that declarations can be made lawfully and so that the budget holder has control over it. Everyone agrees that's good. This is also very important for the budget holder, unless we decide to let this go and to point all the arrows at the new system, because it will probably get better. But also in the new system, perhaps automated, it will be examined whether it is the good budget holder, whether the budget is correct and whether it is the right rates. They are similar controls, but hopefully they will be solved in a smarter, more convenient and digital way. If we can get things done now, it will also help in the transition to the new system.
ParlaMint-NL_2016-09-29-tweedekamer-5.u230	The Secretary of State continues his speech. I suspect he has actually dealt with a lot in the interruptions. I ask him to avoid repetitions as much as possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u231	In general terms, a number of questions have been asked about the administrative burden in the pgb, in particular the completion of the forms. I think we have all been touched by the letter from the mother who, as she herself writes, has been trying to see her son as a child for 16 years, but has to write everything down and repeat everything. That's incredibly sad. I understand perfectly well that from that perspective, when they have to write that down every time, parents are wondering why this is really necessary. Isn't it obvious yet? Can't you be clear that this has already been communicated? Without going too far into the case: Madame and her son are just entitled to Wlz care. Fortunately, it is also available. In the meantime, the municipality where Madame and her son live continues the payments. This concern is therefore safeguarded, but this does not mean that these signals of bureaucracy must be taken seriously. You're sitting here a little bit with the balance that's in the whole discussion. On the one hand, you want to make sure that it is as user-friendly as possible. On the other hand, it is logical that there are a number of checks on a personal budget of €70,000, but at the same time it is extremely annoying that you have to fill in ten times the same things. In this case, but also in other cases, this is due to the fact that there are five different health care providers with five different health care contracts, which then result in five different forms. I understand that, too. Hopefully these data can be combined more quickly in the budget holder portal and budget holders will not have to re-enter it ten times. I have a great willingness to see what we can do now to make this work smarter and better. We're doing the same thing. We're giving information. We ensure that there is one care plan and that the data is already entered on My PCI. We are making improvements to the information system. So we are working, but the real breakthrough will only follow if we are able to ensure with the budget holder portal that the controls can take place much more digitally and automatically.
ParlaMint-NL_2016-09-29-tweedekamer-5.u232	Mrs Leijten is at the interrupting microphone, but I wanted the Secretary of State to finish his story now. He has now made his own speech for ten minutes but has been behind the speaker's seat for 50 minutes. Mrs. Leijten, why don't you just do what I ask? We have an agenda, more things have to be done. I've given all the space. Now let's tell the Secretary of State a few things, and then I'll give you an opportunity to interrupt. I call the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u233	Mr. Chairman. As a consequence, the question is: how can we improve the application process for a pgb, especially in the Long-Term Care Act? A number of questions were asked about this. Too much bureaucracy is a thorn in my eye, too. I have just said that the entry of address data, for example, should not be repeated over and over again. A motion has been tabled on this matter by Mrs Volp. Per Balance has taken the lead in drawing up the program of requirements in the use of that portal, which is precisely to ensure that these things are better regulated and things are filled in automatically. Then you don't have to do the same ten times and budget holders can safely and simply do their administration for that pgb in that portal. I expect a lot of that. This will solve a number of problems. This is without prejudice to the fact that there are points on which we must already look at whether it can be simpler. Mrs Volp has explained that we may need to zoom even more closely in on the transition from one system to another. That also played a role for that lady; she came from the Youth Act and went to the Long-Term Care Act. I have every willingness to look together with Per Balance and the insurers to see whether that process can also be organised smarter. By the way, the health offices have already indicated to me that they want to do the same. I believe that we must continue to strive for these improvements. I come to the point of the future, following a comment made by Mrs Bergkamp. She said, and I paraphrase just for a moment: what will become the balance between speed and care? I would like to repeat that again because I want to have said that it is my goal that that portal can be realized on 1 January 2018. That is what all the efforts are aimed at. I would also like to point out that we have heard from the BIT, the General Court of Auditors and the National Ombudsman all kinds of things: if you are going to do something new and make the ICT systems, look at the Elias report, ask for advice from the BIT and then make sure that all chain partners are hooked up so that not one party says "that's how we're going to do it" and the rest of it needs to be talked about afterwards. That's incredibly important. What is potentially very beautiful is also a little bit of a reaction to the messages in the Algemeen Dagblad (Agemeen Dagblad) is that parties have sat together and have said: are these the functional requirements that we all want to impose on that portal? The answer to that was: yes, these are functional requirements that we believe should be made. Then there was a discussion about how to implement it as soon as possible. Healthcare insurers, Social Insurance Bank, municipalities and Per Balance have said: it would not be a good idea to create a joint construction team so that we build that portal together, carefully and as quickly as possible. I'd love that. This would mean that all parties would work together, with all the thinking power and power of the health insurers who have experience in administrative processes, the existing knowledge, skills and data of the Social Insurance Bank and the demands of the users. Along with the established functional requirements, that would be great. I am not calling for a hurrah until we cross that bridge, but I think it is very important to have that discussion. We have agreed that in the next two or three weeks we will see if that is possible, or that will lead to the joint effort in that joint construction team and to the care that Mrs Bergkamp quite rightly asks for. I'll wait and see. I will, of course, inform the Chamber about this at the end of this month so that we can discuss it at the beginning of November. However, I am pleased with the agreement of the parties for the time being: would it not be a good idea for us to achieve speed and effectiveness in this way, while maintaining the necessary care?
ParlaMint-NL_2016-09-29-tweedekamer-5.u234	Mrs Dik-Faber, you are the same as Mrs Leijten. Unless we take a whole round of interruptions right now. Mr Secretary of State, do you have many points to deal with?
ParlaMint-NL_2016-09-29-tweedekamer-5.u235	I have one or two more general points and then I come to the specific questions.
ParlaMint-NL_2016-09-29-tweedekamer-5.u236	I suggest that we wait for these general points. Then I'll give room for interruptions.
ParlaMint-NL_2016-09-29-tweedekamer-5.u237	I'll try to make it shorter. A number of members have asked questions about the grounds for refusal in the Wmo and the Youth Act. Do we have sufficient insight into whether or not municipalities rightly refuse pgbs? Many municipalities do not keep track of what has been requested and what has been refused. That's why we, together with Per Recht and the Association of Dutch Municipalities, have looked at the situation. Two conclusions emerge from this. It is indeed a limited sample, by the way, with municipalities from different regions and with different populations to get the best picture possible. You can see that municipalities do not use any arguments other than the grounds for refusal laid down in the law. There is, of course, a debate about whether municipalities apply them properly. In the direction of Mrs Keijzer, I would say that I see the limitations of that investigation. It is a limited sample of municipalities in which regional distribution and population have been looked at as closely as possible. We have no reason to believe that there are grounds for refusal other than those laid down in the law, but it is, of course, about its application. That is precisely the reason why Per Recht and the Association of Dutch Municipalities agreed to focus their efforts to ensure that the assessment by municipalities is carried out in a good and unambiguous way and that the support programme for the municipalities is developed and implemented in order to meet them. I think it is very good that we are working in this way to provide better support, as far as is necessary, by the municipalities. I now come to a number of specific questions.
ParlaMint-NL_2016-09-29-tweedekamer-5.u238	Those were your last general points. I'll start with Mrs Leijten.
ParlaMint-NL_2016-09-29-tweedekamer-5.u239	I want to ask one more question...
ParlaMint-NL_2016-09-29-tweedekamer-5.u240	No, I'll start with Mrs. Leijten. Otherwise, we're gonna have to go back to it!
