ParlaMint-NL_2016-02-09-tweedekamer-29.u1	I see Mrs Leijten at the interrupting microphone.
ParlaMint-NL_2016-02-09-tweedekamer-29.u113	I think it is indeed about the majority of this Chamber. The majority of this Chamber is covered by this amendment. It's so bright. Last time we had a strong debate. I said we like a dual debate, so let's have a dual debate. It is clear what we stand for as a VVD. You and a number of colleagues stand for something different, but we are in favour of a number of clear principles with regard to the Health Insurance Act and the Pgb. That's where we crashed. In my opinion, most of the House has also said: foei, foei, foei, it is time for us to have a cup of coffee and come out together. We did. Now there is an amendment which, in my view, deals with a number of things well. It doesn't go too far and there's a good balance in it; I'm proud of that. That's being defended here now. I really hope that a majority of the House, including your group, will be able to support this amendment, because I think it is a really good amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u114	An ANP message was sent at the time I asked for some extra reading time to clearly indicate what these two friends are proposing. That press release says: the Labour Party is meeting the VVD. Yes, because the VVD had problems because the health insurance companies would be forced too much to set uniform rules. So that's a giant turn. There was a majority in this Chamber who wanted to fight the health insurance companies, but the VVD won a cup of coffee while drinking, because the PvdA took away its signature. Does Mr Potters think this is a good show? Shouldn't it have just been made clear here in the debate exactly what he is demanding from the Labour Party and exactly how that goes? Is he going to run Mr. Van Dijk through a mangel or tickle him endlessly, giving in to the VVD? I don't understand this. What happened here? Mr Van Dijk does not give us an answer. He's defending it like he won the marathon here. However, I can see that this is a deterioration. The VVD has been met by the Labour Party; it can also be read with the ANP. What exactly did Mr Potters achieve? What did he demand of the Labour Party, which brought her down to her knees?
ParlaMint-NL_2016-02-09-tweedekamer-29.u115	I hear a lot of explanations from Mrs Leijten. That's okay, 'cause it's her words. I'm not about ANP press releases. I think I said very openly last time how I was standing in it. I also said how heavy it weighs. The House has said that it might be good if the coalition parties sit around the table together. We didn't need the Chamber for that, because that's what we had noticed ourselves. We did that then. We have exchanged good arguments in terms of content.
ParlaMint-NL_2016-02-09-tweedekamer-29.u116	Please continue.
ParlaMint-NL_2016-02-09-tweedekamer-29.u117	I think I can take a moment to point out what's being said. We just had a good exchange of views. That went well. We have done that firmly; I can honestly say that. We've done that once in a while very firmly, but we've worked it out together. I'm proud of that. I think we have the best of both worlds here and we should all be proud of this.
ParlaMint-NL_2016-02-09-tweedekamer-29.u118	Please continue with your speech.
ParlaMint-NL_2016-02-09-tweedekamer-29.u119	I'm ready, Mr. Chairman.
ParlaMint-NL_2016-02-09-tweedekamer-29.u120	There is a need for a suspension of about 15 minutes, but I understand that Mrs Leijten has something to say first.
ParlaMint-NL_2016-02-09-tweedekamer-29.u121	I have a point of order. I forgot a few words in a few motions. I've completed those motions. So a new version of that is being sent around.
ParlaMint-NL_2016-02-09-tweedekamer-29.u122	The Leiten motion (No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that health insurers can reject a pgb when the care that someone needs can be referred to as "planable care";]] [[Whereas the "planable care" criterion leads to very painful differences of interpretation;]] [[calls on the Government to stop applying the criterion of "planable care" to the award and rejection of a pgb,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 42 ().
ParlaMint-NL_2016-02-09-tweedekamer-29.u123	The Leiten motion (No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that pgb mediation agencies make a great deal of money by mediating budget holders with self-employed people without staff;]] [[noting that no maximum or fixed rate has been set for such mediation activities;]] [[considers that both percentages paid by healthcare providers and budget holders are at the expense of pgb funds intended for care;]] [[calls on the Government to fix a maximum percentage that may be requested for mediation,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 43 ().
ParlaMint-NL_2016-02-09-tweedekamer-29.u124	They'll be taken. I see Mrs. Agema's getting up. Do you have a point of order? That is not the case. Then I'll suspend the meeting.
ParlaMint-NL_2016-02-09-tweedekamer-29.u125	Mr. Chairman. Three specific questions were asked in the second period. Mr Van Dijk asked if I would be willing to inform the Chamber about the SKGZ acceleration route. I am prepared to do so and will do my best to forward it to the Chamber within two months. Mr Van der Staaij and Mrs Bergkamp asked whether a pgb is possible for palliative care. The answer to that is yes. Mr Van der Staaij has asked who is responsible for the payment of wages in the event of illness. Budget holders are obliged to pay wages, but are insured for this through the Social Insurance Bank. This means that the Social Insurance Bank pays the wage costs. That's not from the personal budget. As a result, the insured person can use the budget for replacement care during his health care provider's illness. In the Leijten motion on part No. 42 the Government is requested not to apply the concept of "planable care" to the grant or rejection of a pgb. In the debate, a number of examples have been discussed, such as the question of whether the toilet can be seen as planning care. I said I don't think so. Of course, health insurance companies talk about whether things are going well. That is precisely why we decided earlier to draw up the independent monitor, which will show what problems there are and what not to do with the application of the criteria. For that reason, I advise against this motion. The Leijten motion in part No. 43 concerns the setting of a maximum rate for mediation agencies. I understand the motion very well, but the budget holder decides whether he wants conciliation. I think it is a disadvantage of a maximum rate that this rate can be applied for. It intervenes deeply in the choice that the budget holder, who is supposed to be able to manage the budget, could make. That's why I'd like to dissuade the motion. I agree with Per Recht that I will look into what we could give to budget holders in order to ensure that no unnecessary conciliation costs are incurred, because I agree with Mrs Leijten's concern that we should be careful that budget holders do not make the wrong choice unnecessarily.
ParlaMint-NL_2016-02-09-tweedekamer-29.u126	I find it incomprehensible that the Secretary of State does not move in any other way on this point. This has already been promised ten thousand times and has been the answer for years when it comes to intermediate agencies that are becoming rich from the pgb. If there's anything that undermines the pgb, it's this kind of gray behavior. I'm really disappointed that the Secretary of State doesn't want to do anything about it. The story that he doesn't want to do anything about planned care and restricting the power of health insurance companies, we know from him, but that he doesn't want to do anything about desks that are literally rich from the dependence of others, really disappoints me.
ParlaMint-NL_2016-02-09-tweedekamer-29.u127	I said I share Mrs Leijten's concern. I very much agree with her view on desks that are rich in the vulnerability of others. The fact remains that we are dealing with self-elected budget holders, who are entitled to decide for themselves whether and, if so, how they will employ a mediation agency. If one could not manage the pgb and therefore become vulnerable to mediation agencies, we should send it to the front. I stand by my commitment that I will work with Per Recht to see to what extent we could do anything about this. In her motion in part No. 44 Mrs Leijten points out that health insurers should report this to an investigative body in the event of suspected fraud and should seize it as soon as possible. I'm gonna say we're gonna investigate this. The reason for my hesitation is that I want to check, together with the SZW Inspection, whether, after receiving a signal from the health insurance provider, she immediately has the power to confiscate or search the premises. Other considerations are likely to play a role. I would appreciate it if Mrs Leijten could be satisfied with my commitment at this stage.
ParlaMint-NL_2016-02-09-tweedekamer-29.u128	I have been given commitments in debates before, and then I had to wait a very long time for something to come. Can I agree with the Secretary of State that he'll let us know before the summer if it works? Is that a deadline? Or for the budget? I don't really care. If we record that in any case, I can withdraw the motion. However, I would like a deadline.
ParlaMint-NL_2016-02-09-tweedekamer-29.u129	I think that's reasonable. So I would like to do my utmost to let the Chamber know before the summer whether it can do so.
ParlaMint-NL_2016-02-09-tweedekamer-29.u130	Mrs. Leijten, what are you doing with the motion?
ParlaMint-NL_2016-02-09-tweedekamer-29.u131	Then I'll withdraw the motion. I'm assuming we have that information for the summer. Then we can see how we're gonna proceed with this.
ParlaMint-NL_2016-02-09-tweedekamer-29.u132	President. - The next item is the report (Doc. has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2016-02-09-tweedekamer-29.u133	With the motion in part No. 45 we are asked to "inform the House of Representatives of the summer recess about the concrete solutions that have been devised for the care of intensive children." I consider that motion to be a policy support. I'll leave the judgment to the Chamber. With the motion in part No. 47 is requested to provide in the AMvB that health insurers may not impose additional requirements in their model contract. That's a long way to go. I assume that it is meant that we are creating an AMvB that says that we can no longer undermine these matters with additional demands. That might be possible, but you should at least say: no additional requirements on the conditions imposed on the insured person or his representative. That might be possible, but when it comes to additional requirements in general, that goes too far.
ParlaMint-NL_2016-02-09-tweedekamer-29.u134	These are additional requirements under the third paragraph.
ParlaMint-NL_2016-02-09-tweedekamer-29.u135	If the text could be worded as 'no additional requirements on the conditions imposed on the insured person or his representative', as it is stated above in the motion, I could leave the judgment to the Chamber.
ParlaMint-NL_2016-02-09-tweedekamer-29.u136	I actually assumed that, because that is already the case at the time of the observation. That follows on from the operative part, so to speak.
ParlaMint-NL_2016-02-09-tweedekamer-29.u137	Yes, but the operative part is very broad, "no additional requirements."
ParlaMint-NL_2016-02-09-tweedekamer-29.u138	The operative part should reflect the finding. I'm gonna take a look at the co-hosts, too. We will ensure that the request is based on the observation, i.e. on the third paragraph. We shall therefore table a motion as amended.
ParlaMint-NL_2016-02-09-tweedekamer-29.u139	With the motion in part No. 48 the government is invited to send the AMvB to the Chamber for the summer.
ParlaMint-NL_2016-02-09-tweedekamer-29.u140	I tabled an amended amendment together with Mrs Dik-Faber on the basis that there was a technical error. So there's a new version on the way.
ParlaMint-NL_2016-02-09-tweedekamer-29.u141	From the motion or the amendment?
ParlaMint-NL_2016-02-09-tweedekamer-29.u142	Of the amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u143	I am now working on the motion on part No. 48. Maybe that motion will help us look at the amendment differently. The motion asks us to send the AMvB to the Chamber for the summer. I would do my utmost to do that. I would therefore like to leave the judgment to the Chamber on that point. The amendment concerns the point that, of course, the law cannot enter into force on 1 July, because the law still has a path to go. The AMVO provisions which the authors of the amendment want to deal with for the summer therefore cannot enter into force on 1 July. That is where the amendment is technically not going very well, but we will do our best to send the AMvB to the Chamber for the summer.
ParlaMint-NL_2016-02-09-tweedekamer-29.u144	However, I have a question about this motion, because it states that 'there is a broad desire in the Chamber to align as much as possible the provisions relating to the personal budget and the WlZ and the WlZ'. I'm not very happy with this consideration. I wonder if that was the intention of this motion.
ParlaMint-NL_2016-02-09-tweedekamer-29.u145	Mr Potters is right, because they are not my observations. I have based myself on the wish of the Chamber to present the AMvB before the summer, but Mr Potters' comment is justified. It is not a matter of expressing now what the AMvB looks like; the question is whether I want to send the AMvB to the Chamber for the summer and I want to do so. The Court can then decide for itself whether it meets the requirements. I share this justified remark. In the motion in part No. 49 is requested to include the lead times at the SKGZ in the monitoring. If I may interpret the motion in such a way that it will be settled by the health insurers, because they are responsible for setting up that objection procedure, I see the motion as supporting policy and leave it to the Chamber. In the motion in part No. 50 calls on insurers to invest time by making more home visits. I think it is so important that a lot of health insurance companies say that the professionals, the district nurses, with those who ask for care, decide what is the best way of providing care; possibly also the personal budget. I actually think that system is very good and it may be preferable. That's why I don't recommend the motion. In the motion in part No. 51 is invited to promote the exchange of best practices among health insurers, including the experience of DSW. I don't have the illusion that health insurance companies wouldn't talk to each other. I also have the idea that there is intensive dialogue, in addition to the extent to which it is permitted under the rules of the Competition Act in force. However, it seems to me that health insurance companies exchange best practices. I'll leave the judgment to the Chamber. In the motion in part No. 52 is requested to identify, in consultation with Per Balance, the bottlenecks of the Market Organisation Health Act and the Wkkgz. I cannot, of course, promise in advance, before I know them, that bottlenecks that are being identified can all be removed. That is one comment. If I may interpret the motion in such a way that I, together with Per Recht and ZN, see what bottlenecks exist and how they can be resolved, I see the motion as supporting policy and leave it to the Chamber. I can tell by the artist's sign language that that's okay. In the motion in part No. 53 is requested to ensure that insured persons can also combine care under the Health Insurance Act with care in kind. Healthcare insurers have included this option in all policies by 2016. They have done so at the request of Per Balance and myself. The motion, strictly speaking, is no longer necessary, but reflects the policy. I'd like to leave the judgment to the Chamber. In the Voortman motion in part No. 54 the government is asked to consider how the position of budget holders vis-à-vis health insurers can be further strengthened. I would point out that we are currently working on a legislative proposal to improve the position of the insured person. We have also proposed a number of measures with regard to SKGZ. At the moment, pending the discussion on that bill, I would like to discourage the motion.
ParlaMint-NL_2016-02-09-tweedekamer-29.u146	I'm holding this motion pending the bill.
ParlaMint-NL_2016-02-09-tweedekamer-29.u147	At the request of Mrs Voortman, I propose her motion (34233), No. 54). That is what is decided.
ParlaMint-NL_2016-02-09-tweedekamer-29.u148	In the Voortman motion in part No. 55 the government is invited to evaluate annually whether pgb care can be extended to other care claims. I would point out that in the administrative arrangements at this stage we have also looked very carefully at the issue of health care in the Health Insurance Act, in particular with regard to district health care. That was also because it came from the AWBZ and based on the analysis that it is not easy to start with forms of care in the Health Insurance Act in which there are severe treatment relationships, for example with a hospital. For this reason, I do not feel that we should now record that we are going to evaluate each year to see if this can be extended further.
ParlaMint-NL_2016-02-09-tweedekamer-29.u149	I am not saying that we should immediately decide that the whole Health Insurance Act can be covered by the pgb. But at least we can look at whether there are certain forms of care that can get under the pgb? That's all I'm asking here. What would be the problem with that? I just want to see if it's possible.
ParlaMint-NL_2016-02-09-tweedekamer-29.u150	Everyone is free to look at it and raise it at some point, but this motion calls for an annual review to see if it can be extended. I'm really out of line with that. I'm dissuading the motion. In the motion-Bergkamp c.s. in piece No. 56 the government is invited to consult with Per Balance and the health insurers in order to further develop the principles of planning of care, to apply them in practice and to inform the Chamber thereof before the summer recess. That is a bit coincident with the monitor we are doing, but I am very willing to talk to ZN and Per Balance on this issue. For that reason, I see no objection to this motion and leave the judgment to the Chamber. I come to the Bergkamp motion in part No. 57. It invites the government to consult with parties, including the health insurance companies and the NZa, to see if communication to budget holders can be simplified. A number of things have, of course, been included in the policies. That is why they are not as complicated as they might seem, because there is also communication about the policies. However, I am willing to talk to Per Recht about the bottlenecks experienced in communication. For that reason, I would like to leave the judgment to the Chamber. I now come to the amendments, as far as I have not yet assessed them. I shall begin with the amendment to item No. 34, by Mrs. Agema. It asks that no re-indications be made after 10 years. The amendment is aimed at people who are long-term care-dependent and may need more care. This means that it may be desirable to consider the need for care. More care may be needed. There is a second technical point to the amendment, namely that it is being asked to work back on 1 January 2015, although indications have already been given. That seems difficult to me too. That is why I reject the amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u151	This can't be happening. We all know that someone who needs more care will ring the bell for a re-indication. We are talking about all those people who are constantly being re-identified and who are becoming less and less concerned. The point is that people who sit in wheelchairs for a long time and get sicker, first get four and a half hours a week to pee, and then three hours. The Secretary of State is giving it a really nasty twist. He says: yes, but they may also need more care. If they need more care, they'll ring the bell. The point is, they're getting less and less care, and that's got to be over. These people sometimes lose 40 hours of paperwork a week. I really do not think it is right for the Secretary of State to change my intention just for a moment!
ParlaMint-NL_2016-02-09-tweedekamer-29.u152	If there is concern that goes on for a few years, the re-indication will also either take place or be renewed automatically. The point is that this amendment also excludes the fact that it is happening. Moreover, I have also pointed out the technical objection that retroactive reversal of a re-indication is not possible.
ParlaMint-NL_2016-02-09-tweedekamer-29.u153	This doesn't make any sense at all! I really do not think it is right for the Secretary of State to give me such careless answers here. I really don't think that's right. I don't think that's possible. These people had indications that lasted until 2028, but then nursing and care were transferred to the Health Insurance Act. Now they're all re-indicated and less left. Again, if they go further backwards than the indication they had until 2028, they'll ring the bell. However, that is not the case. That is not what this amendment is about. I get bullshit arguments twice in a row. I don't think it's right. If the Secretary of State does not want this amendment, he can always send a letter with real arguments later, but these are nonsense arguments.
ParlaMint-NL_2016-02-09-tweedekamer-29.u154	I do not think we agree on the interpretation. I come to the amendment to item No. 40. We have discussed this sufficiently in the debate. You will not fail to tell me that I prefer the amendment on item No. 41. In my view, this also responds to the wishes expressed by many in the Chamber. I would like to see the amendment tabled on the part of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities. I would therefore like to advise against Amendment No 40 and to reject Amendment No 40. Forty-one of us is in favour of the House's judgment. I think that this is a good way to show that the pgbs are included in the Health Insurance Act. I would remind you of the wise words of Mr Van der Staaij. It's always a bit of a choice, because on the one hand you don't want to hurt the character of the Health Insurance Act and on the other hand you want to make sure that the pgbs get in. We want to ensure legal certainty with regard to the requirements imposed on insured persons, namely the provision of services. The assessment shall be considered if it is apparent from the monitoring findings that it is necessary to lay down detailed rules after the expiry of the monitoring exercise. That's why there's a possibility in it. Moreover, this amendment also lays down that there is a pending procedure. The advantage that it is already in an AMvB at this stage is that we can already see that we are just getting started and already have a lot of discussion about all the conditions that should be there. We'll do that at the beginning, before it's in the law. It might be good to keep some flexibility in the early period of the PGBs in the Health Insurance Act. It could just be that next year we are discussing whether or not we should make demands. That is an additional advantage of the amendment in respect of item No. 41. I shall therefore leave the judgment to the Chamber. The amendment in part No. 46's expired, I think. That has been replaced by the amendment to item No. 58.
ParlaMint-NL_2016-02-09-tweedekamer-29.u155	And that has been replaced by the amendment to item No. ...
ParlaMint-NL_2016-02-09-tweedekamer-29.u156	I think that has been replaced by the amendment to item No. 61. In my view, this amendment still wrongly assumes that the law will enter into force on 1 July 2016. That is still in Article 2, while I think the purpose of the question is to get the AMvB on time. I have already said in response to the motion that we will do so before the summer. So perhaps the motion is sufficient, because I have already promised that this AMvB will come before the summer. Otherwise this text may have to be looked at. I believe that my commitment to the motion should provide sufficient guidance for the Chamber to ensure that we will submit the AMvB to the Chamber on time.
ParlaMint-NL_2016-02-09-tweedekamer-29.u157	I think it's a good idea to legally anchor it. The explanatory statement states that it will enter into force well before the 2017 insurance year. The explanation is also included. In the article itself we indicate July 2016 or earlier by Royal Decree. However, the explanatory statement is very important. We want it well before the insurance year. I hope that the Secretary of State will be able to take a positive look at this in this way.
ParlaMint-NL_2016-02-09-tweedekamer-29.u158	So at least part of the law will come into force on 1 July?
ParlaMint-NL_2016-02-09-tweedekamer-29.u159	That's right, but at the latest before the start of the insurance year 2017. But perhaps we should take a very close look at the text.
ParlaMint-NL_2016-02-09-tweedekamer-29.u160	Maybe I can still say that the commitment on the motion provides sufficient guarantees for receiving the AMvB on time. I just made that commitment. Mr President, I thought I was done with the interpretation of the amendments.
ParlaMint-NL_2016-02-09-tweedekamer-29.u161	I have tabled an amendment to item No. 36. That was received last week during the debate and has not yet been assessed. I'd like another assessment of that.
ParlaMint-NL_2016-02-09-tweedekamer-29.u162	That's right. You're right. Can you do that, Secretary of State?
ParlaMint-NL_2016-02-09-tweedekamer-29.u163	The amendment in part No. 36 ensures that the health insurance provider contacts the applicant and informs him of the Health Insurance Act pgb. In my opinion, it is not necessary to regulate this, because according to the administrative arrangements the health insurance provider, based on the need for care determined by the district nurse, makes the budget plan and the insured person may have a conscious choice of choice. In practice, these conversations are held wherever necessary, as shown by the quickscan. The text of the amendment states, in a more general sense, that there is contact between the health insurer and the applicant. It seems to me to go too far to make it compulsory for a conscious choice to be made. There are insurers who say that if they grant the pgb, they don't always have to make a conscious choice call. Sometimes this conversation is conducted by a district nurse. So it can also happen in a different way. I am trying to meet Mrs Leijten on this point. If the interpretation of the amendment is that contact can take place not only by means of a conscious consultation with the health insurance provider, but also in a different way, for example with the district nurse, then I should like to leave the judgment to the Chamber.
ParlaMint-NL_2016-02-09-tweedekamer-29.u164	I'm having a bit of a problem with that. The neighborhood nurse comes by to see what care needs are. That conversation should not affect the choice that one then makes, i.e. care in kind or the personal budget bet. That indication must be given. When you later opt for the pgb, because you don't get it through care in kind, for example, I find it very important that the health insurance provider also hears why this is so. The current experience of a small health insurance company that has been mentioned more often and which does so in all cases is very positive. Other health insurance companies do this only very selectively, which gives you a different picture, also in dealing with the pgb. That is why I have come to this amendment. I wouldn't really confuse the indication with the conversation about the form of delivery.
ParlaMint-NL_2016-02-09-tweedekamer-29.u165	I understand that, but at the same time this is dealt with in practice in many of the cases where there is a conversation with the district nurse. Then you have that conversation about the care and the form of it and then you should have another conscious choice with the health insurance provider to talk about it again. It seems complicated to me to record that. Once again, if Mrs Leijten would like to give some room in whom the choice of choice is made, also on this aspect, I would like to leave the judgement to the Chamber. If we are going to make it compulsory that it should always be the health insurance provider, despite the fact that other discussions are already taking place, I find that too burdensome for the budget holder.
ParlaMint-NL_2016-02-09-tweedekamer-29.u166	Mrs Leijten, I would like to hear if you are prepared to amend this amendment, otherwise you can just put it to the vote.
ParlaMint-NL_2016-02-09-tweedekamer-29.u167	Actually, I'd like to know where there's room. I do not want the district nurse, in addition to all the tasks he or she already has, to be burdened with a task which I believe belongs to the health insurance provider. If we can agree that that doesn't happen, I'll be okay with that extension. But we have to make sure that it can't be pushed off on the neighborhood nurse.
ParlaMint-NL_2016-02-09-tweedekamer-29.u168	I don't think so. If it's going to be a competition, so to speak, to determine whether it's going to be care in kind or pgb, the neighborhood nurse shouldn't be among them. The practice is that in many cases the district nurse takes that aspect into account in the conversation with the patient or the person who wants to receive care. I think it's an exaggeration to have another conversation after that. Maybe Mrs Leijten can think about this for a while. My question is whether we can interpret the amendment so broadly that the opinion on it can remain with the Chamber.
ParlaMint-NL_2016-02-09-tweedekamer-29.u169	We shall be voting on the legislative amendment, the amendments tabled and the motions on Tuesday. I thank the Secretary of State, the officials, the people who have followed the debate on the Internet, the MPs, the clerks and the messengers.
