ParlaMint-NL_2016-11-30-tweedekamer-9.u1	I would like to welcome the Minister and the Secretary of State for Security and Justice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u211	Excuse me, I'm reacting a little slow, but I still have a question about street harassment against women in the public domain. I also read about the initiative in Amsterdam. I have been making an initiative proposal myself for some time now. I understand the question to the cabinet: what else is there to do about it? However, I would like to ask Mrs Van Toorenburg whether she is also prepared to take part in this initiative if the legislation is not adequate at the moment.
ParlaMint-NL_2016-11-30-tweedekamer-9.u212	I'd love to. I am glad that Mr Marcouch has already made a move. I was also sparring a bit with my unreputed policy officer Jan-Pieter Dees. I would like to continue with Mr Marcouch, because I do think it is very important to ensure that we do something about it. I'm a little worried about how it's gonna be if Amsterdam does it alone. Our principle of legality may also mean that we have to deal here with the criminal offences and the description of the crime. Maybe you can't do this in a city like this, 'cause then maybe it's gonna die. So I'd like to hang out. Then we can make a wonderful initiative bill.
ParlaMint-NL_2016-11-30-tweedekamer-9.u213	I welcome this positive response.
ParlaMint-NL_2016-11-30-tweedekamer-9.u214	I was doing my analysis of the guests at the birthday party. I was just finishing with the neighborhood cop. He wasn't celebrating a party. I see Mr Van Nispen jumping forward every time. Every time I think, "Here he comes, but he doesn't come."
ParlaMint-NL_2016-11-30-tweedekamer-9.u215	I thought I was gonna keep an eye on Mr. Van Nispen. Mr Van Nispen, you have the floor.
ParlaMint-NL_2016-11-30-tweedekamer-9.u216	Thank you for this announcement. Mrs Van Toorenburg said a while back that the SP voted against the Adolescent Criminal Law Act, but that is not correct. We voted in favour.
ParlaMint-NL_2016-11-30-tweedekamer-9.u217	That was in the First Chamber, excuse me. In the First Chamber, the SP was against it. Oh, terrible against it, along with the PVV.
ParlaMint-NL_2016-11-30-tweedekamer-9.u218	We are now in a position to vote against it, with an explanation of vote which shows that we do support the customisation. We voted in favour in the House of Representatives. I think Mrs Van Toorenburg knows that. However, I have a question on a very different subject. I do not know if Mrs Van Toorenburg will be able to make any further comments, but it is about judicial error. In NRC Handelsblad, the CDA reacts moderately positively to proposals to at least recover errors. Does Mrs Van Toorenburg recognise that these possibilities are now very limited? Does it recognise that the thresholds are very high to re-examine a questionable conviction and to reveal a possible error?
ParlaMint-NL_2016-11-30-tweedekamer-9.u219	Will you come back to that?
ParlaMint-NL_2016-11-30-tweedekamer-9.u220	I'm not going to go back on that, Mr. Chairman. I'll try to be very brief. I think that Mr Van Nispen of the SP is right to raise a point. Every time you look back at a very tragic miscarriage of justice, you see that people had to move heaven and earth to make them right. Indeed, I think it is important to look again and again at what we can improve on this. I can very well imagine that on certain parts the thresholds should be slightly lower. I don't want to hold anyone unjustly, just like I don't want to release anyone unjustly. We discussed something else at the time, because a number of scientists pointed this out to us. They said: beware of a low threshold, because then you get the idea in the justice system that there are still all kinds of life buoys. We finally come to a verdict and maybe we doubt it a little bit, but then a life buoy can always be thrown out somewhere. I don't want to. I want every statement to be just right. I would therefore first like to invest in the police, the Public Prosecutor's Office and justice to avoid errors. I would like to see with Mr Van Nispen how you might be able to deal with errors more quickly. However, I would also like to look at the situation in which judges may be too easily sentenced because they think: well, if I am really wrong, there is always a fourth half.
ParlaMint-NL_2016-11-30-tweedekamer-9.u221	We find each other in preventing error and when it comes to investing in police, prosecutors, NFI and justice. I myself have doubts about the fact that judges are going to judge very easily. I think that's their honor too. In any case, it is good to hear that the CDA has a positive attitude towards a call to the cabinet, which may come tomorrow, to come up with proposals to make errors easier to repair. That's a good thing.
ParlaMint-NL_2016-11-30-tweedekamer-9.u222	I'm just gonna listen carefully to what the cabinet says. Again, I was analyzing the guests at the party. I told you the neighborhood cops aren't celebrating. So it's a party at the BOLO? Unfortunately, I'm forced to conclude that it's not a party at all for the BOLO and the detectives either. We have called on the Minister to get in touch with the police to see how it is possible that there are still detectives who have been copying files in a copy booth for three days. The minister said that he had developed a vision of detection and that "additional measures will follow by moving from the analysis towards the vision." When I read that sentence, I thought, "Can anyone tell me what's gonna happen here?" I think that's still too little. We then asked for a little more insight into the strengthening of the search. There was no message in this analysis of the police at all. That is why I am asking today what progress has been made on strengthening the investigation, which the Minister himself believes is urgently needed. Is there an elaborate plan yet? The question is, of course, whether it is a celebration in dealing with cybercrime. In an interview with De Telegraaf, Chief Constable Akerboom recently said that the police will have to make a huge modernisation effort in the field of ICT. Fortunately, strengthening the cybercrime approach is a priority for the Minister, but it is still really insufficient. There are still insufficient people. The question is even how many people have already been hired. Perhaps the Minister can say something about it, because it is not a party when it comes to dealing with cybercrime. I told you in an interrupting debate, it wasn't a party at the state police station. It indicates that it must leave things on the shelf at the moment and that there is not enough independent research. If we want an honest government, we must be able to trust that if something goes wrong somewhere, research will be carried out. We don't see how the National Police can handle it. What measures is the Minister going to take to ensure that when the national police celebrate a party, the national police can also join the party? Unfortunately, it is not a celebration for the citizens either. Police stations are closing down. There's been reckless cuts. People can hardly call in the help of the police. What about, for example, mobile working on the street, when there is no police station left? In the end, does the police have adequate equipment? We're told we don't. We would like to hear the Minister's views on this. The driving times are still terrible. You'd better live in the Groningen De Marne. There the police stood in 30.5% of the cases within 15 minutes at the door at a prio 1 notification......................................................................................................................................................................... The Minister says that there are enough vehicles on average, but a police officer in Uden has little use if a police car is available in Den Helder. The Minister has an eye for the citizens, but above all for citizens who can help the police. I read about pilots on civic participation in tackling cybercrime. It is a pity that Mr Verhoeven is not here... Oh, he is. This is a very nice point for him, because he's always so busy with cybercrime. The Minister intends to use citizens much more against cybercrime. I'm gonna get a little worried about that. Does the police intend to volunteer all digital geniuses with the police to eventually resolve the flaw in police expertise in cybercrime? I'm getting a little worried about that. I read this now: "By using citizens - also in the form of police volunteers - specific expertise can be used in the intake and detection of cybercrime." We shouldn't want that with each other. Finally. Where was the party with the national police? That was at the Central Works Council. There was the bar and angry. It has disturbed us that this minister has played down that little bit. I was really sorry about that. I am glad that an investigation is being carried out, but let this Minister take this kind of problem seriously. I think it is really disturbing for the officers on the street and for society to see that we have carried out an important reorganisation to the national police, but that apparently a lot has happened at the summit in cooperation with the works council. It doesn't suit the Minister to be a little stingy about it. Finally, let me criticize the Minister and ask him not to do that again, please.
ParlaMint-NL_2016-11-30-tweedekamer-9.u223	Mrs Van Toorenburg ends as she began, namely critically. The first assessment of six years of VVD policy on Security and Justice was extremely critical. I can share that judgment, because I think that at the bottom of the line the verdict is negative. But it did start with the choice to put this ministry on the scaffolding this way. That was also a choice of the CDA group. Mrs Van Toorenburg said she was homesick to former Minister Hirsch Ballin, because of his state of law. This former minister said that the name change went wrong. Security has come first and we have to go back to a ministry where Justice, right, comes first. Is that, with Mrs Van Toorenburg's homesickness, also the commitment of the CDA Group?
ParlaMint-NL_2016-11-30-tweedekamer-9.u224	I don't think it's so much about naming or size. It depends on integrity and the way in which such a ministry is run. I also think it is not a solution to put another stick or to pull it apart. I hear from the police that they shouldn't think about that. I also remember very well from Ernst Hirsch Ballin how difficult it was for him, for example, that he was dealing with the crime scene, that the Home Office was dealing with the police and that they were fighting each other again in the chain and came to nothing. I don't believe in another reorganisation. I believe that we in the Chamber must now, together with this cabinet, ensure that the national police become a success. I do believe that it is approached with more integrity and more rule of law, but that is not due to a name tick or to a merger. It depends on whether you run it as a VVD party office or not. Don't ever let that happen again.
ParlaMint-NL_2016-11-30-tweedekamer-9.u225	I wasn't talking about splitting up the ministry or a reorganisation. I was really talking about naming, just with reference to the rule of law. Just referring to the state of law of the ministry, former Minister Hirsch Ballin said: let it take precedence. That is more than a "name finch," as Mrs Van Toorenburg says a little condescendingly. It is a fundamental choice that the right prevails. What we have seen in the past few years is that safety was paramount, including in the imagery. This may lead to a quick quote of those sharp words, as if it were 'a VVD party office', as if the chocolate letters in De Telegraaf were in the forefront. When justice comes first, it's gonna be different. Then it's gonna be a different ministry than it is now.
ParlaMint-NL_2016-11-30-tweedekamer-9.u226	In all honesty, when I look at the threats that have happened to us in recent years, I do not mind that security plays such a big role as long as it always goes hand in hand with the rule of law and everything related to it. So I'm really not much of a name. I agree with the Christian Union that we need to stick together to ensure that it is more balanced, that it is indeed not only limited to chocolate letters in De Telegraaf, but that the rule of law is respected. It's under pressure from time to time under this cabinet. I couldn't agree more.
ParlaMint-NL_2016-11-30-tweedekamer-9.u227	However, I would like to encourage you on that aspect. Perhaps Mrs Van Toorenburg, when it comes to that name, could once again talk to Mr Hirsch Ballin, to whom Mrs Van Toorenburg is homesick.
ParlaMint-NL_2016-11-30-tweedekamer-9.u228	I love talking to Ernst Hirsch Ballin.
ParlaMint-NL_2016-11-30-tweedekamer-9.u229	Mr. Chairman. In front of us is the budget for 2017. I am going to talk in particular about the issue of asylum. How different was the discussion a year ago? Much too late the cabinet had responded to the arrival of many asylum seekers in the Netherlands. This has caused a lot of unrest over the past year. With residents first of all, but also with municipal authorities. And let's not forget the COA employees who had to respond ad hocly to increased demand. There seemed to be continuous misjudgements. Eventually it turned out that the plans could go back into the fridge. Where this is coming from? Most likely the setting of fences on the Balkans has had a greater effect than the deal with Turkey. Why is this important? For two reasons. One: the citizen is not crazy and is now looking forward to the VVDs in this cabinet hitting themselves on the chest, while what goes well, rather happens despite them thanks to them. Two: Why stick to a deal where you are negotiating with the constitutional principles of Europe and transferring six billion to Turkey, when the question is whether this deal is still necessary in this way? Yesterday we voted in this Chamber on a motion to suspend negotiations with Turkey. The VVD and the PvdA voted against. What if thousands and thousands of people run into one again because of all kinds of circumstances? So what has changed structurally in refugee policy? The CDA has previously advocated the adaptation of the Refugee Convention. The VVD was against that. Today some space was created and that's nice. Nevertheless, I would like to ask the following question: is this Secretary of State working on this in Europe? The new European plans, which were discussed a week and a half ago, the so-called GEAS, even consider removing the status of displaced persons. So what is this Secretary of State doing in the longer term to prevent a situation such as that that occurred in 2015? Previously, the CDA advocated joining the plans of the German minister De Maizière to return boats with migrants immediately. An application for refugee protection can then be made from a number of places. In my opinion, this is the only way to prevent the dramas at sea where people drown daily. "Finally a German who agrees with me," exclaimed the Secretary of State, or words of that kind. Good. So the question is how this issue came to the agenda of the JHA Council and what steps have been taken there. In the end, an adaptation of the Refugee Convention is needed. That is why I am asking for this very specific clarification today. Bed-bath-bread. A cabinet crisis was averted earlier by the government's plans to develop a plan with municipalities for asylum seekers who had been processed. In the end, it was decided to unplug it. The deal was skinned except for one hair. Apparently it didn't fit in with the tough argument that the VVD wants to keep, that at the same time you make agreements with municipalities to catch people who otherwise end up on the street. What really needs to happen to people who have been tried is to evict them to the country of origin. Last week I asked how many people were deported to Ghana, Côte d'Ivoire and Mali, with which Koenders made arrangements earlier this year. The numbers are embarrassingly low. How many Ethiopians are being deported now? They are now cracking a building in Amsterdam. Millions go from Europe to that country. It is indigestible for normal Dutch people who abide by the law to look at it. I'd like to get an answer to that, too. A fair asylum system. At the request of the CDA, the rules have been tightened for asylum seekers who commit criminal offences. These asylum seekers are no longer entitled to stay in the Netherlands. The same applies to asylum seekers from safe countries. Once again, this is something the CDA has insisted on. However, the Secretary of State cannot live up to it. The situation in Groningen showed that too. He can't even get Moroccans out of the country. Then I'm talking about illegal Moroccans reporting here for asylum. The Secretary of State has now announced that it will reduce return support, speed up asylum seekers' detention and speed up procedures for those who do not have the right to stay. In my view, these are not new measures, but already existing ones. Have they been used too little in recent years and why? Are the measures which are now being announced then political language or are they actually being implemented in the same way? For which safe third countries do we still have generous return payments? Is it not wise to look at them now and not only when the problems are getting back over the head of the Secretary of State, as with the criminal behaviour of most Moroccans who are reporting for asylum in this country, when it is crystal clear that they cannot claim that protection?
ParlaMint-NL_2016-11-30-tweedekamer-9.u230	Mr. Chairman. I have an important story to tell today.
ParlaMint-NL_2016-11-30-tweedekamer-9.u231	We're all ears.
ParlaMint-NL_2016-11-30-tweedekamer-9.u232	That's nice. My story is about big dates, the need to connect, the bankruptcy of justice and the need for renewal. My story is about splitting anger, about my great ambition to bring people together and about dealing with each other in the right way on social media. It's nice to get a question about these big themes right away.
ParlaMint-NL_2016-11-30-tweedekamer-9.u233	Mr Recourt has just said one sentence, Mr Sjoerdsma. And you find that so fascinating?
ParlaMint-NL_2016-11-30-tweedekamer-9.u234	I have a very short question regarding this table of contents of what is to come. I noticed that Mr Marcouch did not have a minute's speaking time. Nor did the PvdA's asylum spoke in previous budgets. So I would like to ask Mr Recourt whether we can ask him about asylum.
ParlaMint-NL_2016-11-30-tweedekamer-9.u235	Yes, that can be done at the end, but Mr Marcouch also speaks, you know. All PvdA minutes are with one speaker.
ParlaMint-NL_2016-11-30-tweedekamer-9.u236	They have all filled in huge speaking time here, Mr Sjoerdsma, including Mr Marcouch. So.
ParlaMint-NL_2016-11-30-tweedekamer-9.u237	I'm gonna do 40 minutes according to the list, but that's 20-20, I'll just say for the record.
ParlaMint-NL_2016-11-30-tweedekamer-9.u238	Yeah, I got that right here. Oh, you don't. Oooooh. That is reassuring: Mr Marcouch will also have his turn.
ParlaMint-NL_2016-11-30-tweedekamer-9.u239	There goes my big words, with which I wanted to make sure that everyone would hang on my lips. I'm just gonna start over! No, the rest is also of great importance. We live in a revolutionary time, a time of great changes driven by the explosive growth of data. This data revolution affects everyone in their daily lives, at work and at school. This data revolution brings us a lot of good, but, like everything else in life, it also has a downside. Today, I want to map the consequences of the data revolution for V and J in two areas: social media and cybercrime. How do we influence our personal data? How can they be used? What do we do with data processing that is discriminatory? And how far can companies intervene in our personal lives? Do national borders still meet in the world wide web? It seems that we do not decide for ourselves what is good and what is bad for us, but that commercial companies do so for us, driven by financial interest. The morals of the most important social development since the industrial revolution are now left to Facebook, Apple and Google. The Labour Party cannot see how only the market determines who benefits from digitisation and who lags behind. Many Dutch people use Facebook, LinkedIn or Twitter. That is right, because social media brings people into contact with each other. Grandma stays informed about her grandchildren through their Facebook pages and grandchildren in turn see what their grandmother is doing. Hobbyists and sports enthusiasts find like-minded people in the neighborhood and around the world. Borders have faded and friendships are made for life. Social media also express opinions from people who do not get a voice from traditional media. Social media make the world smaller and faster. We must nurture these benefits. But they're in danger because we left one thing behind. We forgot to set standards. Aggression, discrimination and lies are barely corrected. While in the physical world we usually know how to deal with each other properly, far too many people lose this decency when they meet digitally. If we don't like an opinion, the bringer will be digitally destroyed. Threats are the order of the day. Politicians may have gotten a lot of skin, but it's terrible when this happens to people who just say what they think, who believe, who are fans of a football club and who want to come true to that. We all know the shit they sometimes get over them. It can't be described with a pen. Social media are still in danger. With fake news and manipulation, the value of the truth is shattered. How are we supposed to get closer to each other when lies become facts? Under the guise of freedom of expression, one's own is imposed equally on the other. The government stands by and looks at it. The idea that social media is one big cafe is wrong. You have to think of it more and more as a newspaper with a huge range and an almost infinite memory. As a newspaper can't do everything, so can social media. It is therefore high time that society again decided what is right, what can, what is right, what is desirable and what needs to be combated. There is an urgent task for the government to standardise legislation and organise enforcement in such a way that it fits a fast, digital environment. Rapid enforcement requires collaboration with data administrators, guardians and developers. There is also a task for social media users to correct, address companies and be critical. But there is also a pitfall, where we fall into when we shoot through in censorship, political correctness or manipulation. That makes the direction of solution reasonably clear, but that does not apply to the solution itself. It's harder. A committee should therefore be set up to identify what we can do to set standards for Facebook, Google and Twitter, and to the users of their services. Experts need to find out what is or is not up to the government, what is forbidden but better enforced, what users can do and what business is up to. The blotting and splitting must be stopped in order to allow the positive, connecting forces of social media to return to space. I therefore ask the Minister to come forward with a proposal for such a committee. The government shouldn't decide what can or can't be done. A broad group of users and experts should look at how we can arrange for social media to be able to deal with each other properly and for people who behave badly to be contacted.
ParlaMint-NL_2016-11-30-tweedekamer-9.u240	I am glad that, as a Chamber, I now seem to be able, with my group, Mrs Van Toorenburg and Mr Recourt too, to talk a little more about the digital side of security, about social media and the dangers for people. It is good that Mr Recourt pays attention to this. I have to think about his proposal to set up a committee. Is Mr Recourt also in favour of the D66 proposal to introduce a duty of care for large Internet companies? They have a knowledge origin on many users, who do not know what the consequences of behaviour on the Internet can be. I speak of a duty of care that is somewhat similar to that in the banking sector.
ParlaMint-NL_2016-11-30-tweedekamer-9.u241	I can very well imagine that awareness is part of that. It is also far from enough to address people at risk. The proposal to appeal to large Internet companies to the fact that they have a duty of care for the services they offer sounds good.
ParlaMint-NL_2016-11-30-tweedekamer-9.u242	That's good. And what does the Labour Party think about the division of labour between the Netherlands and Europe? I think you have a responsibility for your own 17 million citizens, but world players like Facebook and Google will not be very impressed by a Dutch commission because of their cross-borderity. What opportunities does Mr Recourt see for a cross-border European approach?
ParlaMint-NL_2016-11-30-tweedekamer-9.u243	What underpins digital development is the lack of national borders. However, we are in a national parliament that has to stick to borders. That is one of the major problems I would like to put to that committee. It is fine to regulate the European system, but before it is done, we will be 20 years further. So I want to start in the Netherlands. Social media, that's just one example. The question of who sets the standard can also be asked when using our personal data, the development of self-driving cars, the analysis of data, the posting of nude photos, the use of decoy children in the fight against child pornography, and so on, and so on. The data revolution brings unprecedented new possibilities. Whether we want to use it all and how we want to do it is up to us, not to technicians and commercial boys from some very powerful multinationals. Again, is the government prepared to set up such a committee? Then there's my second topic. I'm here to report a break-in to the police. First of all, I get the question of where the crime scene is, where it happened. When the answer is "internet," the system stores up. Crime in the Netherlands is moving to the internet at a high rate, because the chance of getting caught is absurdly low. This is because the legislation is not up-to-date and there is far too little knowledge in the organisations. The high-quality knowledge that exists is part of a too small specialist team and is not being held, causing people to drop out. Also international cooperation is not in order and is not publicly thought out what huge consequences digitalisation has for criminal justice. There's no crime without digital trace. The writing of minutes, for example, is huge in 1995. Children's porn is a fully digital industry in the Netherlands. Very soon, having specialised cyber agents is no longer enough, but all police officers, detectives, prosecutors and criminal justice officers must have that knowledge of cybercrime. This requires a different staff policy and another organisation. This also calls for a ministry that is open to innovation, which realises that only in cooperation with market players can digital developments be monitored and, perhaps even more importantly, large-scale prevention can be set up. Because right here, there's a world to be won. It requires digital civil rights, clarity about what can be asked of providers, how citizens can effectively report digitally and what the police can and can do with big data. The Computer Crime Act III is just the beginning. How does the Minister deal with digital crime? Before the elections, can he and will he come up with a plan of action for the future of cybercrime, from prevention to prosecution? By analogy with the Divorce Challenge, knowledge from outside must be stimulated and processed. Minister, Secretary of State, I would therefore like to end this section with an appeal. Embrace the data revolution, but don't be blind to its fundamental impact; get to work with it with urgency! From the future to the present: the story of the bankruptcy of justice and the need for renewal. When people get in trouble, they often seek help and protection from the government to resolve the conflict. Think divorce, neighborly quarrels, or victim of a crime. But the government, the rule of law more and more often doesn't give up at home. Less and less legal problems are solved: 42% in 2014. The number of lawyers and legal aid insurers is increasing and the number of unofficial dispute settlement agents, such as trade unions and consumer organisations, is falling and is being cut. The number of people coming to court with a dispute is getting lower and lower: 4% in 2014. When people get to court, they have faith in the judge, but the trust that the judge actually solves the case is a lot lower: three in five. And then we haven't talked about criminal law. More than half of the unsubs are repeating themselves. Our conflict resolution procedures leave far too many people in the cold. That is not surprising either: it is procedures that increase differences rather than reduce them, which are aimed at the profit of one person and the loss of another. So it's procedures that separate people instead of connecting. We have to do something about that. The sad conclusion is, however, that we cannot do without the current administration of justice. The sad conclusion is that if we have many hundreds of millions of euros extra for Justice in a battle, we have to use that money to keep the existing system going: a lot of extra money for extra lawyers, while they deal with fewer and fewer cases. There's no other way. There are alternatives. There are solutions that really help people. There is an enormous ambition in the country to tackle these problems. For example, look at the Divorce Challenge. Last year's motion to halve the number of fighting divorces and to write a challenge for them is, in any case, a huge success as far as the stakes are concerned: more than 500 plans were made to get children out of trouble and plans to improve the existing dysfunctional system. I would like to thank the Minister and the relevant officials in the Ministry for the implementation of this motion. I remind them of the enormous potential and energy of this. Use it! Let me give you another example. Where are the mediation laws, Minister? Would you like to submit your own legislative initiative before the elections? Why do so many complain that ambition and innovation have been demolished from these original own-initiative laws? I'd be very sorry to hear that. In order to renew and improve, you must always go through conservationism and vested interests. But let's not be afraid of that, because it's so necessary. And why don't we pick up mediation in criminal law and let it bleed to death? The Labour Party is a strong supporter of reparation law. Give people who it's about, the responsibility back, as happens with mediation in criminal law. The recent pilot had a success rate of 80. The victim, the perpetrator and society are the great winners if there is a lasting solution. Mediation in criminal law is not a miracle cure, but it must become a standard remedy, just like community service. The first step to provide this structuralally on a small scale in the Netherlands costs 1.5 million. I have tabled an amendment together with the SP, D66, the Christian Union and GroenLinks to achieve this. Mediation reconciles and connects people after a neighborhood dispute or discrimination via Twitter, prevents recurrence and makes people and neighborhoods stronger. We need renewal. We need to get as far away from the procedures with lawyers and judges as possible, who are holding us prisoner in conflict. We need to look for solutions aimed at agreement. We must move towards the beginning of the conflict and towards solutions that give people responsibility rather than decline. Above all, we need to move towards a rule of law that serves people with a good outcome in those few moments in their lives, so that the government is there for them again. So renew it. It's gonna take money and guts. I have spoken today about money for mediation in criminal law and I support a number of amendments tabled by colleagues who serve the same purpose. I am already saying that no matter what coalition comes next, we need money for renewal. I've got two loose ends. The first concerns child protection measures. If it is up to the cabinet, they will not be imposed by the judge in the future. That is a bad and counterproductive proposal. The judge's talking about removals. My colleague Ypma and others have already spoken out against this and I repeat it here. This measure will only enter into force financially in 2019. But there still has to be a law. This measure has also been announced in this budget. Hence my appeal: leave this part of the law that still has to be made, because that is so efficient. My second point is bed-bath-bread. The meeting failed. Has any progress been made in the last week? Have the conversations been reopened? Are there any municipalities that reported to the Secretary of State? Before I come to my final points, I would like to say to colleagues that this is also the part of asylum and migration.
ParlaMint-NL_2016-11-30-tweedekamer-9.u244	I would like to thank Mr Recourt for the alertness that this is the whole area of asylum and migration. I do, of course, have a question about bed-bath bread, because Secretary of State Dijkhoff has announced that he is coming up with a law banning municipalities from offering bed-bath bread-care. Does the PvdA support that law?
ParlaMint-NL_2016-11-30-tweedekamer-9.u245	That law has yet to be passed, but my colleague, Mr Kuik, has already said that we are not in favour of a ban.
ParlaMint-NL_2016-11-30-tweedekamer-9.u246	That's a clear answer. That is an answer that is indeed in line with the blog of Mr Recourt's colleague. At a time when there are still so many laws to be dealt with and there is such a scarce capacity in the area of legislation, the question is, of course, whether the Secretary of State should start with this law at all. I'll count with Mr Recourt. The PvdA is against this law. When I look at the SP, GroenLinks, the Christian Union, the Party for Animals, and I look back just to be safe, but they are no longer there, the group Kuzu/Öztürk, I note that a majority is in favour of not starting with this law at all. That saves capacity again and we can do good things with it. Shall we simply call on the Secretary of State not to start this law at all?
ParlaMint-NL_2016-11-30-tweedekamer-9.u247	First of all, I don't know if I'm going to add the math to 76. Mr Sjoerdsma says there is a majority in favour, but I do not know. I have already said that we are against a ban. However, this must of course be laid down in a law and then you have a procedure by which you can submit your arguments and counter-arguments. I'm not going to tell the Cabinet right now: you can't do that.
ParlaMint-NL_2016-11-30-tweedekamer-9.u248	That's remarkable. Mr Recourt is not going to tell the cabinet that it should not make that law. Anyway, he says he won't support the law. My question is about funding, because the Labour Party too has previously called for bridging funding for the time when there would be no deal with the VNG and the Secretary of State. That deal's still not here. Does the Labour Party also consider that this funding should go to the municipalities for the much-needed bed-bath-bath-bread scheme?
ParlaMint-NL_2016-11-30-tweedekamer-9.u249	That bridge financing was there at the time of the negotiations. The negotiations have officially stopped, so there is no funding. My questions are precisely to see if these negotiations can begin again. Then you can find another reason to continue with that funding.
ParlaMint-NL_2016-11-30-tweedekamer-9.u250	The reason for the funding was that the municipalities said: this is the final piece of asylum and return policy. This must not be placed on the sign of the municipalities. That needs to be settled with the Secretary of State. In the meantime, there was indeed funding. There is still no deal and now the Labour Party says: there is no deal and as long as there is no deal, we no longer pay. It is disappointing that the Labour Party also throws that burden over the fence to the municipalities. Is that how I see it?
ParlaMint-NL_2016-11-30-tweedekamer-9.u251	The Labour Party very much wants parties to sit down again. I call on the Secretary of State to do so, and certainly the municipalities that are concerned about this.
ParlaMint-NL_2016-11-30-tweedekamer-9.u252	I understand that the contribution of the Labour Party on the part of asylum consists of one sentence and one question. But we can discuss much more about asylum policy. Think, for example, of the reaction to a motion that the PvdA was also in favour of. That motion was about the minutes, the reports, of the awards for the children's pardon (19637, no. 2229). The cabinet previously indicated that there were 40 awards, but that turned out to be 29. For the past year, it's only been one. I would like to hear from the Labour Party what it thinks about the implementation of the present child's pardon. Does the Labour Party see reason to finally adapt this arrangement?
ParlaMint-NL_2016-11-30-tweedekamer-9.u253	As a party, you have to choose what you're talking about. Many topics on asylum and migration take place in general consultation. That is why we have chosen other themes. That doesn't change the fact that we're talking about it and we're also talking about it. I've been watching those minutes myself. I'm not shocked by what I see right there. That even looks good. We've been judged with a reasonable amount of coulance. The problem is, we can't look at those rejected cases. We have supported a motion on this. Mrs Voortman knows this better than I do, because I am not the permanent spokesman on this subject. That motion has not been passed. So it's very difficult to say whether it's too much or too little without you knowing why the others were rejected.
ParlaMint-NL_2016-11-30-tweedekamer-9.u254	What you can see in these awards is that they are situations of people who would otherwise have been granted a permit for other reasons. This shows that the children's pardon as it is now formulated does not represent a beet. I'll make it more concrete. Is it not time to relax the criterion of participation, a subject which the Labour Party has often been concerned about, yes or no?
ParlaMint-NL_2016-11-30-tweedekamer-9.u255	In these examples sent to the Chamber there are a number of cases in which the working criterion has not been fully met and asylum has been granted. It cannot therefore be said that the criterion of participation is not taken into account.
ParlaMint-NL_2016-11-30-tweedekamer-9.u256	I am also a little uncomfortablely surprised, especially since the VVD spokesperson has paid so much attention to this asylum issue. In addition to that horrible image that the Liberals have once again presented here today, in which we must show as little international solidarity as possible, I would have liked to see the other coalition partner's perspective outlined. I was hoping that would be a little more encouraging. That is not the case. I therefore have one question. In my own term, I asked the cabinet what it would mean for the influx into the Netherlands if Erdogan's threat were to come true and Turkey stopped stopping more people heading towards Europe on the Turkish coast. Is it not necessary, then, for the Secretary of State to maintain a reserve capacity so that the pressure on the asylum chain does not immediately rise up as much hope as last year?
ParlaMint-NL_2016-11-30-tweedekamer-9.u257	As the Labour Party, we want to settle it as best we can. That's what we've been doing for the past four years. Sometimes it's part of that that you don't blow too high off the tower about your principles, but regulate it as best you can. I would like to put the question of reserve capacity to the Secretary of State. I'm assuming that that seems only logical to me... that you think it could be a lot more than it is now, so that you don't get back into the emergency situation we've been in. So I assume that the Ministry of Justice is also a learning organisation. We're gonna hear it. I've only got a few sentences left. I'll come back to the points I did want to make today. It is my ambition, after a conflict, to bring people together in a society that is currently driving them far too far apart. That requires innovation and vision. Let us now take the first steps to make it possible to move forward in a new cabinet.
ParlaMint-NL_2016-11-30-tweedekamer-9.u258	When it comes to modern dispute resolution, we often find each other. I really like mediation in criminal law. However, I'm a little concerned about the plea to keep cases away from the judge. Maybe I'm taking it the wrong way. Mr Recourt must, above all, correct me. Does Mr Recourt share the concern that the law is not accessible and accessible to many people and that the system of subsidised legal aid has been under considerable pressure in recent years?
ParlaMint-NL_2016-11-30-tweedekamer-9.u259	I want to take cases away from the judge. I do not want that to make the judge unattainable because he is not affordable, but to find much wider working, practical and, above all, better-functioning solutions to disputes. That's what I want. You'll always need the judge, but bring him "her" it's usually "yourself" at another time into the conflict, for example when you're in mediation and you don't get out at one point. Or, for example, bring a judge to neighborhoods. These are the innovative ideas that I love, which go away from the traditional procedures. The tail of Mr Van Nispen's question was how legal aid is going. I think we have managed to play away the plans of this cabinet, which I did not get very excited about, partly thanks to the firm commitment of the SP. The Wolfsen report is now being worked out. We have debated the Wolfsen report: I can follow it very well in general.
ParlaMint-NL_2016-11-30-tweedekamer-9.u260	The programme of the Labour Party for the future, i.e. after the elections, states that more money will be available for subsidised legal aid. I was very pleased about that. My question is: why can't we do something about it now? However, the PvdA supported the motion on widening the income limit, for which we received the scenarios yesterday. We could make choices in that. The question is also, above all, where does Mr Recourt currently find it difficult. Is it about too high own contributions? Are we talking about too tight income limits? Are the social attorneys not getting paid enough? Where is Mr Recourt's concern where more money should go? Again, we find each other at this point, but can we not come together earlier?
