ParlaMint-NL_2016-11-23-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u101	It is true that there was originally a gross amount of €2,000 per person, which could now be €1,000. You can approach that $1,000 in two ways. You can say: it wasn't in the original record, so it's extra money. You can also say, and that's what Cedris does, which I understand very well from Cedris: it was not in the original album, but we took it into account and now we actually have to subtract €1,000 per FTE. I stand by my outstretched hand, in the sense that I want to look again every year with the Association of Dutch Municipalities and on the basis of Cedris' figures. I therefore believe that you should always look from the cabinet to see if resources are needed to keep things going. The Chamber has quartered the 5 x 20 million. It's hardly been used. I have already said in our general consultation that, although it is usually customary for an under-exhaustment to flow back to the rich budget, I will now be very hard on the Minister of Finance to keep those resources available for sheltered work. I have listened carefully to the contribution of the Chamber. GroenLinks and other groups advocate making 5 x 20 million structural. I would ask your Chamber simply to look at the situation every year and whether anything should be done at all. Because last year's outflow turned out to be slightly higher than originally estimated, and so municipalities have had a little left over. I really want to try to give your Chamber an insight into the first half of 2016 for the budgetary treatment of SZW. Then we'll be able to look at how things are developing on the basis of those off-flow data.
ParlaMint-NL_2016-11-23-tweedekamer-8.u102	I think that's a good commitment. My second question would also have been to start talking to the Social Work Services companies and the dome to see what the state of affairs is at the moment. My other point is this. The Secretary of State says, on the basis of last year's data, that there is something left, but that is, of course, at macro level. Can the Secretary of State indicate whether there are really very urgent bottlenecks at the level of the labour market region? This really gives us more insight into where the biggest problems are.
ParlaMint-NL_2016-11-23-tweedekamer-8.u103	Through the overviews that Cedris can send us, we might be able to provide more insight into that. That does not mean that we really need to look at the history of some SW companies. Because the fact that some municipalities are adding up is, of course, not something that came into being in 2015, but something that already has a long history. I think we should look at the situation in that context too.
ParlaMint-NL_2016-11-23-tweedekamer-8.u104	You just made a commitment to something in the spring. Is that the next thing...
ParlaMint-NL_2016-11-23-tweedekamer-8.u105	No, no, no. I made the commitment to do so, let me just stress that I want to make the cash-out figures for the first half of 2016 clear to the Chamber before the budgetary treatment of SZW. It's in the first week of December.
ParlaMint-NL_2016-11-23-tweedekamer-8.u106	Very good.
ParlaMint-NL_2016-11-23-tweedekamer-8.u107	That's exactly why I walked to the microphone. The Secretary of State rightly stated that she had already promised what I had asked for, namely not to let the money that is not made up of the first tranche of those five times 20 million flow back to the state treasury but to keep it available. She'll reconfirm that. As a result of the discussion with Cedris on how the assumptions at the time of entry into force of the law relate to the actual outflow figures, I asked whether she might try to match them with the Spring paper, at least. I asked her a moment ago if she could make it easier to understand, for example in the budget. I just heard the Secretary of State say so. Can I also understand that, if that makes sense in the run-up to the budget shows that there is a difference, the Secretary of State already wants to show a start on a solution in that budget?
ParlaMint-NL_2016-11-23-tweedekamer-8.u108	First things first. I'm gonna get some insight first. When the cabinet provides insight, it is always neat when it tells what one could do with that insight, I say very carefully, because of course the Chamber has the budget right.
ParlaMint-NL_2016-11-23-tweedekamer-8.u109	You wanted to start by dealing with the amendments.
ParlaMint-NL_2016-11-23-tweedekamer-8.u110	Oh, yeah, yeah, yeah, yeah, I have seen three amendments so far. Two of them, on the part of Mrs Karabulut and Mr Heerma/Mrs Schouten, deal with the evaluation of both parts. I would like to ask the authors the following, and perhaps they will be able to comment on this in their second term; I have also listened carefully to the debate. Both amendments call for an evaluation of both instruments to be carried out within two years of their entry into force.
ParlaMint-NL_2016-11-23-tweedekamer-8.u111	Let me make sure that we are all talking about the same thing: we are talking about the amendments to the documents. 9 and 11. Am I getting that right?
ParlaMint-NL_2016-11-23-tweedekamer-8.u112	I think so, Mr. Chairman. Yes. It would be good to see if we could do all this in one smooth move in 2019. After all, the evaluation period of the Participation Act as such is then. We could add very specifically to this the elements that are being appointed here. This means that we are not just before 2019 but in 2019. I don't know what the proposers think of that. They can say that in second term and then I respond again.
ParlaMint-NL_2016-11-23-tweedekamer-8.u113	Mr Heerma seems to be able to do it already.
ParlaMint-NL_2016-11-23-tweedekamer-8.u114	Very specific. The amendment asks: within two years. That also touches a bit on the interruption debate with the VVD just in the first term. In concrete terms, the Secretary of State's request would be to make "within two years," which I believe means by the end of 2018 "in 2019."
ParlaMint-NL_2016-11-23-tweedekamer-8.u115	Yes.
ParlaMint-NL_2016-11-23-tweedekamer-8.u116	We're gonna take a look at that.
ParlaMint-NL_2016-11-23-tweedekamer-8.u117	Fine.
ParlaMint-NL_2016-11-23-tweedekamer-8.u118	We are already at the negotiating stage, I see.
ParlaMint-NL_2016-11-23-tweedekamer-8.u119	Well, you do have something dynamic, so we're all doing our best.
ParlaMint-NL_2016-11-23-tweedekamer-8.u120	That's it.
ParlaMint-NL_2016-11-23-tweedekamer-8.u121	That means that if we can get out of it, I can leave the assessment of both amendments to the Chamber. The third amendment is about... let's see. Where do I put it? That was an amendment by Mrs Karabulut. That was about what she wanted, I know from my mind I can't find the text so quickly that at...
ParlaMint-NL_2016-11-23-tweedekamer-8.u122	I have a copy for you.
ParlaMint-NL_2016-11-23-tweedekamer-8.u123	Yeah, I'd love to. Don't blame me.
ParlaMint-NL_2016-11-23-tweedekamer-8.u124	I think it is about the amendment to item No. 10, which says: "Opening up the practical route means that people by means of a wage value measurement at the workplace..."
ParlaMint-NL_2016-11-23-tweedekamer-8.u125	Yes, it is. Look, Mrs Karabulut says: I really want to monitor so closely that the target group in the register is not getting too big; with the practical route I am just afraid of that. We have had pilots and it showed that the target group is not or hardly stretched. I have just promised, also on the basis of Mrs Karabulut's amendment, that I want to keep a very close eye on things. I am therefore pleased that the Chamber also considers it essential to monitor all those parts. I very much agree with the Chamber. In addition, Mrs Karabulut would very much like to see all those who use the practical route reviewed to see whether they actually have a labour restriction. I do not think that is in line with the philosophy of the practical route, if I may put it that way. A person who has been tested in practice, who has been very carefully examined and who cannot earn a minimum wage on his own in practice, should then again pass an expert or doctor. You create some sort of U-turn, some sort of inspection construction. That's actually nothing new under the sun, because we already had that inspection construction. On the contrary, we want to ensure that we can direct people to the target group register from the point of view of practice. I therefore advise against this amendment, on the understanding that, together with Mrs Karabulut, I want to keep a very close eye on the matter. Her concern is mine, too. It can't be that way. I have listened to other spokesmen very carefully.
ParlaMint-NL_2016-11-23-tweedekamer-8.u126	I do not want to go back to the current situation, because it clearly does not work very well. But I do want labour restrictions to be objectively tested. That's what it was all about. I don't understand why you couldn't let an expert do that and why that would bring so many complicated things. Why shouldn't you make that judgment difficult from the point of view of practice? It's all one government, so I really don't understand why this isn't possible. Is this hampered by bureaucracy?
ParlaMint-NL_2016-11-23-tweedekamer-8.u127	No, no, no. In practice, of course, the assessment of wages also looks at how an employee is involved. Of course, these types of facets also play a role in the determination of wages. If it turns out that someone has a wage value above 100% of the minimum wage, it is obvious that that person cannot use the practical route. The essence of the pilot is that you look at whether someone in their workplace can earn the legal minimum wage. If that is not the case, the person will receive wage costs subsidies. The pilot shows that there is hardly any difference when you look at that person at the end of the ride at the UWV. That is why, after receiving the research in those pilots, I agreed to open the practical route now. But again, I'll keep monitoring it. However, I am not in favour of putting another inspection against it.
ParlaMint-NL_2016-11-23-tweedekamer-8.u128	At least it's a good thing we're going to monitor it very closely. That's profit. Can we understand next year how it has developed in the coming year? I continue to struggle with the fact that it is now decided on the basis of a snapshot whether or not someone has a disability. That's exactly what we have experts for. That's what I'm worried about.
ParlaMint-NL_2016-11-23-tweedekamer-8.u129	This is starting to look a little like your second term. Do you have another question for the Secretary of State?
ParlaMint-NL_2016-11-23-tweedekamer-8.u130	How can we not use these experts in the municipalities? Why this bureaucratic bump?
ParlaMint-NL_2016-11-23-tweedekamer-8.u131	It is not a bureaucratic bump, because it turns out that these people have the same background in terms of labour barriers and opportunities and personal characteristics. The wage value of the two groups is also the same, i.e. around 55%. I therefore advise against the amendment. I am not just doing this to prevent bureaucracy, but also because I think it is important to move into the people in question. For those people, it is, of course, bad that they first walked the practical route and then had to be kept under review by someone else. I have therefore dealt with all the amendments. I would also like to comment on a number of other issues that have been raised. All spokesmen quoted the letter from Cedris, the umbrella above all SW companies. I see the warden sitting in the bleachers. Cedris makes the suggestion that sheltered work can also be offered temporarily. Of course, sheltered work can already be used as a temporary instrument, even as a stepping-up or fallback with a view to a regular job, with the requirement that there is always an employment relationship. This may also be a temporary employment. That's clear. Afterwards, you can see if someone can move on to a regular job, for example a guarantee job, or that they can stay in the SW company. I therefore agree with Cedris that sheltered work can also be offered temporarily, because I think it is important that people who can work exclusively sheltered should also be given perspective. If that is possible, it is fine, but a structural provision can sometimes also be appropriate. I therefore believe that I have answered Mrs Nijkerken's question. They also asked me if I would be willing to look at the client's potential for development. Certainly, because if the wage value develops, it may be a reason to seek new advice sheltered work from the UWV to determine whether sheltered work is still needed.
ParlaMint-NL_2016-11-23-tweedekamer-8.u132	Do I understand the Secretary of State as follows? With the UVW she is going to look at whether the advice given by the UWV shows that someone needs sheltered work, even though the development perspective is being looked at, so that we do not miss something and we allow people to walk around unnecessarily long with a stamp on the forehead, which I do not think is the intention. In the end, we all want that, if people have that perspective, to be worked on.
ParlaMint-NL_2016-11-23-tweedekamer-8.u133	I'd certainly like to talk to the UWV about that, because you're giving everyone that perspective.
ParlaMint-NL_2016-11-23-tweedekamer-8.u134	I think this also affects the suggestion in Cedris' letter. Is the Secretary of State also in consultation with Cedris about this? At what time will we be told by the Secretary of State what possibilities there are to fill it in temporarily?
ParlaMint-NL_2016-11-23-tweedekamer-8.u135	Of course I would like to consult with Cedris, but I have not noticed for nothing that this temporaryity can already be dealt with now. So I'd like to see if we can colour that further, but it's really not that this law is prohibitive at that point. No way.
ParlaMint-NL_2016-11-23-tweedekamer-8.u136	It is good to hear that, otherwise we would have to make amendments here on the spot. I would therefore like to give a positive indication of the commitment. What time do we get this back?
ParlaMint-NL_2016-11-23-tweedekamer-8.u137	I would be happy to do this for the budget. That might be a good time.
ParlaMint-NL_2016-11-23-tweedekamer-8.u138	Is this also the room that the Secretary of State offers to the municipalities for this to be gradual, in the light of what Cedris proposes and in the light of the criticism of the Council of State?
ParlaMint-NL_2016-11-23-tweedekamer-8.u139	No. I think I need to be crystal clear about this. The sheltered work can already be used as a temporary instrument.I have just said that as well as as a stepping-up for people or as a fallback if someone is not doing so well. And, just to be clear, the requirement is always that there should be an employment relationship. That employment can be temporary now and also in the future. Afterwards, you should always see if someone can flow to a regular job or to a guarantee job or if someone just needs that sheltered setting. So that temporaryity is already in there.
ParlaMint-NL_2016-11-23-tweedekamer-8.u140	That is correct, but we want this bill to include this temporaryity and that this possibility can be used by municipalities, precisely because people who do sheltered work can sometimes grow and sometimes be placed in a different way. So it's important that that space is there in the new law.
ParlaMint-NL_2016-11-23-tweedekamer-8.u141	I think there is no misunderstanding about that. I just promised I'd go into conclave with Cedris on this one more time. We should not have any noise on the line at this point.
ParlaMint-NL_2016-11-23-tweedekamer-8.u142	In conclave under the umbrella.
ParlaMint-NL_2016-11-23-tweedekamer-8.u143	I like that one, actually. I hope it doesn't rain very hard, by the way. I have already touched on the issue of finance, also in connection with the interruptions. I have already said that I am giving more insight into the budgetary procedure. Mrs Voortman and Mrs Karabulut have asked about the distribution by country. The distribution is linked to the distribution of financial resources among the municipalities. That distribution is based on the influx into the WSW and the Wajong before 2015. I'm going to work this out in a ministerial arrangement. I expect that distribution will be well in line with the need. That will prove to be the case in practice. We have just agreed that if the amendments are adopted, we will monitor the practice very closely. That is what we will do. I have already addressed the question of the Labour Party and the Christian Union how I now look at the financial situation of SW companies. Mrs Nijkerken-de Haan asked if I could explain when there is wage-setting work. Indeed, the main difference between sheltered work and day-to-day spending is that sheltered work is wage-forming work and not day-to-day spending. The target group of sheltered work consists of persons with working capacity who have employment opportunities only in a sheltered environment, under adapted conditions. Persons can perform wage-forming work if they have work capacity. That makes sense. This is the case if a person can perform a job in a work organisation, has basic employee skills, can work one hour at a time and is taxable four hours a day. Those are the criteria that are being used. Mrs Nijkerken-de Haan asked if I can confirm that municipalities themselves are allowed to design sheltered work. Yeah, I can confirm that. This bill regulates that municipalities have to realize sheltered work places. However, the design and organisation remain a policy freedom of the municipalities, but of course within the framework of the Participation Act and the Regulation. Mr Heerma asked if I could explain the answer on the route of practice for sheltered work. That is also Mrs Koşer Kaya's question. Let me make it quite clear that during the AA, I undertook to carry out research on this subject. In the note relating to the report, I indicated the difference between the situation of sheltered work and that of the practical route, of guarantee jobs. I would like to carry out an investigation into this, and I have promised that to Mrs Koşer Kaya, and so I am doing so, and I am not going to anticipate it now. Mrs Voortman asked: how do we get to 30,000 places instead of, for example, 40,000? A third of the total number of 90,000 people in the WSW can be posted. A third can work on site and a third really needs a shelter. That number is also included in the social agreement. That is what we have based on. Mrs Schouten asked what I can do to get sheltered work done by regular employers. Can I support municipalities in this? What possibilities are there? The fact that these persons can only work in a sheltered environment does not mean that this must necessarily be done under the roof of a SW company. Municipalities can decide for themselves where to realize these workplaces. If regular employers are able to set up these sheltered conditions properly, it can, of course, also take shape there. If I can help on the basis of best practice, I will certainly not let that happen. Of course, the structural no-riskpolis can also help with this. Ms Schouten also asked whether the College was obliged to follow the advice protected by the UWV. Yes, the advice of the UWV to the college on sheltered work is a legal advisory task. In principle, the College always follows this opinion. Only if the college can demonstrate that the opinion has been drawn up in an inadequate manner can it deviate from this, but of course you have the entire legal procedure. In principle, the College always follows the opinion. What do we do if the number of sheltered workshops in a municipality has been achieved for the relevant year disc and someone comes knocking? That is also a question from Mrs Schouten. Is this person gonna be on a waiting list? If more positive advice is given in one year than the number required by municipalities in one year, waiting lists may indeed arise. Municipalities are not obliged to create more places. However, I think it is reasonable that the College should then endeavour to offer priority shelter to those with the positive opinion in the following year. Municipalities can of course always choose to offer more people a sheltered place. It's up to the city council to decide. If the city council does not do so, the municipality must offer an alternative facility until a shelter is available. This is also what the municipality should lay down in the regulation it offers. Mrs Koşer Kaya asked a question about the Tilburg alternative. I say in all honesty that I think Tilburg is very active in offering perspective to the vulnerable group. I also know the alderman in that context, but I find it unacceptable, as the alderman also knows from me, that a provision as sheltered work is not offered in advance by a municipality. In this way Tilburg does not offer tailor-made work to those persons who would normally be eligible for sheltered work. The inspection notes that most of the alternatives offered by municipalities, including Tilburg, are alternatives without employment. This happens in 81% of cases. I do not think that is good for those who do have work capacity and can work sheltered, because those people must also be able to have a job with an orderly income. Mrs Karabulut asked how people are informed about applying for sheltered work. Together with the parties, so the National Client Council, the VNG, the UWV and the FNV Wajong Group, we are going to give the information really good shape. I spoke to the FNV-Wajongers about this this afternoon. They also have very firm ideas about this. We're going to see what channels we can best reach people. I have already made a great commitment to conclave on this subject with special education and practical education, because that is, of course, where the new information comes from, as you might say, from potential employees for the new sheltered work. They must be properly informed.
ParlaMint-NL_2016-11-23-tweedekamer-8.u144	That's good, but that law has to go in real fast. Can we understand the contours on this point for the budget debate?
ParlaMint-NL_2016-11-23-tweedekamer-8.u145	I'm doing the best I can, but that's short notice. Of course, I would very much like to make a very good plan with the institutions, with the tastemakers I mentioned earlier. I'll try to send the contours, some kind of charcoal sketch, to the Chamber, but that can't really be very minute.
ParlaMint-NL_2016-11-23-tweedekamer-8.u146	No, I understand. We can do that next year, beginning next year. First quarter next year?
ParlaMint-NL_2016-11-23-tweedekamer-8.u147	Yeah, I have to.
ParlaMint-NL_2016-11-23-tweedekamer-8.u148	Okay. Can the way in which waiting lists will be dealt with and the rights and duties of people be included? The Secretary of State says it has to come back in the regulation and that people should be offered an alternative. I believe that the law should also provide a basis for the municipalities or at least clarification from the Secretary of State on the need for such an understanding.
ParlaMint-NL_2016-11-23-tweedekamer-8.u149	The fact that we are having this debate says a lot. Mrs Karabulut is not the only one who has drawn attention to this. I will certainly draw attention to this in my collection letter. We expect all municipal councils not only to beat the regulation, but also to really indicate in that regulation what is happening to people who have a positive opinion from the UWV, but who are not immediately able to get into such a place. 'Cause that's just what you owe those people. After all, they're your citizens.
ParlaMint-NL_2016-11-23-tweedekamer-8.u150	The Secretary of State just said a little bit of what I'm now calling the headline sketch for the first quarter of next year.
ParlaMint-NL_2016-11-23-tweedekamer-8.u151	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, I said that I really want to try to provide the contours of information for this new legislation...
ParlaMint-NL_2016-11-23-tweedekamer-8.u152	For the budget.
ParlaMint-NL_2016-11-23-tweedekamer-8.u153	... for the budget and that we will, of course, give it more weight in the first quarter.
ParlaMint-NL_2016-11-23-tweedekamer-8.u154	My question would be: is that before or after 15 March?
ParlaMint-NL_2016-11-23-tweedekamer-8.u155	Before March 15th, of course.
ParlaMint-NL_2016-11-23-tweedekamer-8.u156	I just wanted to make sure.
ParlaMint-NL_2016-11-23-tweedekamer-8.u157	Good, because after March 15th, I'm gonna be a missionary and I just want to give this missionary form and content.
ParlaMint-NL_2016-11-23-tweedekamer-8.u158	I'm just asking.
ParlaMint-NL_2016-11-23-tweedekamer-8.u159	That is quite right. I have now reached the practical route. That's the second part of tonight. There's less to be said about that. Mrs Schouten of the Christian Union asked a somewhat technical but relevant question. She asked: is the premium discount only applicable to new employment? The answer to that question is yes, because the bonus discount for jobs is only applicable to people who belong to the target group before they are recruited. This does not therefore apply to people with pre-existing service relationships. In the practical route "It's good to add that "Wage value measurement' can already take place before a contract is entered into, for example in the case of a test placement. In practice, you see very often that people get a test placement and then the wage value is determined and then the employment is taken up. Then an employer can also get the bonus discount. As I said in my introduction, I am very grateful to the Chamber for the urgency of dealing with this bill. I would also like to ask, if I may, with the hat in hand, the First Chamber to deal with this bill as a matter of urgency, because then things could be in the Official Journal on 1 January. And then we can indeed send the bonus discount to employers who put people on the payroll again. The tax authorities can only do this once a year, otherwise we will have to wait a year. I'd hate to hear that myself. So I am doing my utmost to get this bill passed across the street as soon as possible. GroenLinks and the Christian Union asked whether it was real before 1 January. I am therefore doing my utmost and hope that the Chamber will vote next week. Of course, that helps a lot. Mr Kerstens of the Labour Party has made the suggestion to me to adjust if the practical route does not work out properly. Of course, we have just talked about this. We are also going to closely monitor the practical route. If this monitoring were to show that the people who intend to make the job deal do not end up on those guarantee jobs... I have to say that if the people we did not aim for end up in guarantee jobs, I agree with Mr Kerstens that the numbers of jobs should be taken into account. That is what Mr Kerstens says. It is, of course, up to a new cabinet to look at this again with the social partners and to make new arrangements.
ParlaMint-NL_2016-11-23-tweedekamer-8.u160	Mr. Kerstens, isn't it?
ParlaMint-NL_2016-11-23-tweedekamer-8.u161	When I was on my way, the Secretary of State added one last sentence. In fact, I was concerned that the practical route would be somewhat different from what we might expect from the initial tests. If a few more people get a place, that's very nice for those people, but maybe less nice for the people in the target register. The intention of the cabinet is therefore to discuss this with the social partners and the parties concerned. At the time, the agreement was made on 125.000 places about a possible increase in that number. I think I understood the Secretary of State quite well that she had just promised this.
ParlaMint-NL_2016-11-23-tweedekamer-8.u162	Exactly. It is not for nothing that I go into conclave with the partners in the Work Room every time and every time I look at how things are going. If the Chamber were to adopt the amendments which aim to ensure that there is very close monitoring, I might say a little over my own grave that I assume that, in 2019, another cabinet will look again with the social partners at the exact nature of the flag and what that means for the number of guarantee jobs. I've come to the end of my first term.
ParlaMint-NL_2016-11-23-tweedekamer-8.u163	I don't see anyone jumping up. Yes, Mr De Graaf!
ParlaMint-NL_2016-11-23-tweedekamer-8.u164	I thought I'd run for a while. I asked questions about the alderman in The Hague.
ParlaMint-NL_2016-11-23-tweedekamer-8.u165	They were answered, but then you were on your phone.
ParlaMint-NL_2016-11-23-tweedekamer-8.u166	Yes, there was something in between; we have a busy day at the PVV. Okay, fine, then so be it.
ParlaMint-NL_2016-11-23-tweedekamer-8.u167	Does the Chamber need a second term? That's the case. Does the Chamber need a suspension prior to that second term? No. I am happy to be the first to give the floor to Mrs Nijkerken-de Haan on behalf of the VVD Group.
ParlaMint-NL_2016-11-23-tweedekamer-8.u168	Mr. Chairman. Given the time, I'll be quick. I thank the Secretary of State for the answers. I am glad that she has given some further details on the definition of 'wage-making work' in relation to daily spending. I had already asked questions about this in the written round. It's just hard for a layman to describe. I welcome the clarification. I am also pleased with the firm commitment that I call it; the President has not noted it as such, so I hope he does now hope that the Secretary of State will at least deal with UWV to see how we can also consider the potential development perspective of people in the opinion on sheltered work. We don't want to keep people in arrangements if we don't have to.
ParlaMint-NL_2016-11-23-tweedekamer-8.u169	I also asked the VVD in the first term: that includes the suggestion about Cedris' temporaryity in the letter yesterday, which the Secretary of State also says to talk about? So that is in line with what the VVD Group is asking here?
ParlaMint-NL_2016-11-23-tweedekamer-8.u170	I've just been informed by the Secretary of State that temporaryity is already possible. Apparently, there's been a misunderstanding at the dome or the umbrella, as we just called it. What matters to me is that UWV doesn't just say in the opinion: shelter yes/no. If there is a yes, the initial assessment should also indicate whether there is a development perspective. That is something that is not being considered at the moment, but which I do like to draw attention to. The Secretary of State has agreed to discuss this with UWV.
ParlaMint-NL_2016-11-23-tweedekamer-8.u171	But that also makes the obligation temporary, doesn't it?
ParlaMint-NL_2016-11-23-tweedekamer-8.u172	That could be... At the moment when there is a development perspective, you might be able to install a momentum to see if the advice "safe work" still applies. That is why I am very curious about the consultation that the Secretary of State is going to have with UWV on this matter.
ParlaMint-NL_2016-11-23-tweedekamer-8.u173	As I said before, the negotiations have begun.
ParlaMint-NL_2016-11-23-tweedekamer-8.u174	Mr. Chairman. There would be no negotiation during a debate in the Chamber. I do not think that would appeal to this Vice-President. I would like to thank the Secretary of State for her first-term response. In my first term, I have already indicated that from a administrative point of view I appreciate what has been achieved. From the division has been chosen to do both rather than both. It remains that I have trouble with that duty of sheltered work. I think it is too early and I find it at odds with the idea of decentralisation. That is why I tabled that amendment with Mrs Schouten for that evaluation. I would like to thank the Secretary of State for the kindness of that amendment. Also in response to the questions of the colleague of the VVD, I understand that it is good to look at the most useful wording of the moment: "within two years" or "in 2019. That's what we're gonna do. There is therefore a proposal which I have heard from someone tonight that there is probably a majority in the Chamber, but not entirely heartfelt. That will also apply to my party, and that is what I am going to advise my group.
ParlaMint-NL_2016-11-23-tweedekamer-8.u175	Mr. Chairman. I shall confine myself to two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas municipalities of the Kingdom receive structural funds for the financing of sheltered workplaces;]] [[Whereas the resources made available by the Government for the bonus are temporary, i.e. until 2020;]] [[noting that municipalities are questioning whether structural funds are sufficient in the longer term, especially after the bonus is lost;]] [[invites the Government, in the review of the relevant articles of the Participation Act in 2019, to also report whether the available resources and costs per shelter match, whether the total available resources are adequate and what is the expected development of the costs of performing sheltered work as referred to in Article 10b, and thereafter to report annually to the House of Representatives,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas municipalities will be required to set up sheltered areas in the future;]] [[Whereas this is based on 30,000 new sheltered areas, and municipalities receive funding for that number;]] [[Whereas it may take more than 30,000 sheltered places to provide a workplace for all people unable to work with a regular employer;]] [[calls on the government to closely monitor the need for sheltered workplaces, to check whether people are not rejected because municipalities have fulfilled their obligation, and to report annually to the Chamber or 30 000 places are sufficient to meet the needs of both municipalities and the people concerned,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34578-12]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34578-13]]
ParlaMint-NL_2016-11-23-tweedekamer-8.u176	Mr. Chairman. No motions on the part of the PVV, but a few brief comments. The cabinet provides for a reduction of 5,000 WSWs per year. This means that it will be about ready in 2015. The idea we have put forward here about a death home construction and our fear of that has not been taken away by the Secretary of State, and we regret that. The number of jobs protected is therefore decreasing. I also have the feeling that this law has to be passed by the Chamber just before the elections, and that is why it has now been submitted to us. That's gonna keep gnawing. And of course, I also said in the first term that the PVV wants to help the people. Real jobs are, of course, the best for this, and they come from a healthy economy. But what did the Cabinet do? Several reports show that the cabinet has withdrawn too much money, 20 to 30 billion, from the economy and that the cabinet has made too many people unnecessarily unemployed. As a result, it has also put too many people working in the WSW in difficulty because those people were taken away from their jobs. So the cabinet has unnecessarily trampled it all. We continue to have difficulty with that. The increase in costs which may result from this and which the municipalities pass on to taxpayers remains unclear. We want to help those people, too. We are doing so, despite the fact that the cabinet has created this chaos. I'm going to think about it very carefully, but after that I'll most likely give a positive advice. But I haven't figured it out yet. Baldewsingh's story I'm gonna leave for now.
ParlaMint-NL_2016-11-23-tweedekamer-8.u177	Mr. Chairman. I would also like to thank the Secretary of State for his reply. I think it is a good thing that we have dealt with the bill quickly, because there are still some challenges for the sw. In this context, I would like to thank the Secretary of State for her commitment to send us the first quarter's outflow figures. I still think that there is some kind of noise or light between the figures on the resources that the Ministry says will be available for the sw and what I hear from, for example, the dome of the sw. Can the Secretary of State, in the letter she is going to send us for the budget, give us an overview of the resources available and explain why she believes they are sufficient? Finally, I would like to ask her to state what assumptions she has taken into account. This would give us a little more clarity in this discussion, a discussion that we can continue in the budget debate. The Secretary of State is ambitious, because she says she will take care of it all before 1 January. My question was, what if? What if it doesn't work? Nor do I assume that it will not happen, but I read in the documents, if I am right, that there may still be some implementing technical obstacles to the Tax Administration in particular. Does that mean there's gonna be a kink in the cable if we don't make it? I am thinking in particular of the various contributions that must be made available and the problems that may arise from the failure of the Tax Administration. I hope this will not happen, of course, but I would like to know from the Secretary of State what she would do if this were to happen. Finally, a question about the distribution of people. Suppose someone lives in a municipality that has realized their number of sheltered workshops, but is entitled to a place. The Secretary of State has indicated that that person will be on a waiting list and that he must be given a place the following year. How can he force that? Is the Secretary of State gonna insist on that? What am I supposed to do with that? In my example, it is only one person, but when it comes to ten or twenty people, it will be quite a job for that municipality. But that person does have an indication! How's the Secretary of State gonna take care of that? This bill is linked to two thoughts. In the first period, I have already indicated that we consider the route of practice to be extremely desirable and that it is compulsory for us to put a bit of a hole in our throats. All in all, I think it is a balanced proposal that we should support. I will therefore present it with a positive opinion to my group. However, this is part of the evaluation exercise. We shall therefore amend the amendment to that effect.
ParlaMint-NL_2016-11-23-tweedekamer-8.u178	Mr. Chairman. I would also like to thank the Secretary of State for her answers, in particular for the commitment she has made to provide more insight into how actual figures relating to the drop-out from social services relate to the assumptions on the entry into force of the law. This insight is an answer to the question of whether the financial situation is not so bad or not. In my first term, I indicated that I will certainly discuss this in the budget debate. That insight that the Secretary of State is going to provide, of course, helps. I heard her make another commitment, namely the following. Should the evaluation on the practical route show that, contrary to what is expected and contrary to what has been demonstrated by the tests so far, more people would still be on a job which would not otherwise have been on the target register, the Secretary of State also considers that consultation with the social partners, with trade unions and employers, should take place at that time on the number of 125,000 guarantee jobs. That's what's agreed with those parties. If the evaluation, which Mrs Karabulut has also asked for, shows that many other people are getting on a job through the practical route, this is a reason for consultation. That's going to be about possibly raising the 125,000. As I said, the Labour Party welcomes the bill we discussed tonight. As far as I am concerned, this is a further step towards creating more paid jobs for people to whom the labour market is very remote. To oblige municipalities to shape sheltered work, not against a benefit but with a decent wage, helps. The removal of all kinds of barriers by making the practical route possible also helps. That's good news for the people for whom the Participation Act is meant, people who I already said at the beginning of my contribution, just like you and I would like to move forward with and through their work in their lives, but need some help for that, help we like to give.
ParlaMint-NL_2016-11-23-tweedekamer-8.u179	Mr. Chairman. I thank the Secretary of State for answering all the questions we have asked. On the practical route, I have already said that we are very pleased with it. That is a very good step to ensure that people get real perspective, a job opportunity. That is what these people are waiting for, and that is very important. I also welcome the clear commitment to a study of the practical route when it comes to sheltered work. However, the protective obligation is hard on the stomach. At the same time, however, I can see that steps will have to be taken. In the light of a number of points which I will mention and which I will take with me, I will discuss this with my group and finally consider them. The first point is that we look closely at the development perspective, so that people do not stay in one situation, but we always look at whether there are opportunities for people who are eligible for sheltered work. The second point is that temporaryity and customization are still possible in the new law. The third is also very important to me, namely that an intermediate step and its refinement, presented by Cedris in this case, should be discussed and completed further. That, too, is an important step. I will take all these points with me and then take them into account with my group.
