ParlaMint-NL_2016-04-28-tweedekamer-13.u1	I welcome the Minister of Security and Justice.
ParlaMint-NL_2016-04-28-tweedekamer-13.u104	History shows that passed laws without a horizon are never repealed. They're always handy. This is about powers that interfere with someone's life. A prison sentence can be worse, but crime we always keep. We are talking about terrorist crimes which you indeed hope will be completed at some point, although this will not be after five years and not after ten years. Isn't it much wiser to just violate fundamental rights as long as it's necessary? Should we not install a guarantee in the form of a kind of beep system? If there's no beeping, the law goes down. That is a much better guarantee than the other way around: if there is no beeping, the law will remain in force forever.
ParlaMint-NL_2016-04-28-tweedekamer-13.u105	That's a difference of opinion. If you could reasonably foresee that in five years' time the threat of terrorism will be reduced so that you no longer need this tool, I would be absolutely in favour of it. However, as it now appears, you will still need these tools for a long time. As far as we are concerned, it is advisable to give a strong signal, to make the statement that we are dealing with it in this way. That's for the long run. We must, however, periodically include an evaluation. That is better than saying that it will be over after five years and that after that period we will have to re-establish the law or whatever. We are more in favour of a fixed course of action on the assumption that terrorism will not be over in five years' time.
ParlaMint-NL_2016-04-28-tweedekamer-13.u106	I'm afraid so, too. In an interruption, Mr Bishop indicated earlier that we absolutely need this law to tackle people like El Bakraoui. I am very curious to see how a land ban, a reporting obligation and an exit ban could have helped to tackle El Bakraoui.
ParlaMint-NL_2016-04-28-tweedekamer-13.u107	It's always a combination of factors. This point has also been raised. It has, of course, also affected a good exchange of information between the various services. We have tabled an amendment to better regulate this exchange with the help of this law. I'll come back to that later. If it had been in order, for example, the obligation to notify would have been a good instrument to control Mr El Bakraoui in a sense. If you want something else and you have concrete suspicions, you're gonna have to follow the criminal trail. That would have been the alternative. As long as no criminal offence has been committed, that will of course be a difficult task.
ParlaMint-NL_2016-04-28-tweedekamer-13.u108	If the secret services had done their best and if Turkey had exchanged information, criminal law in the case of Mr El Bakraoui would have been a very passable road, I think. I'm pretty sure about that. You must be a threat to national security. You need to be involved in preparing or helping with terrorist attacks. That is why I was wondering what kind of people we are looking for to whom this applies. All this is being thought of by the Minister, because he is going to decide it on his own. What kind of people can we deal with in the future, which we cannot deal with through the mayors or anyone else?
ParlaMint-NL_2016-04-28-tweedekamer-13.u109	This is an instrument by which you can impose preventive control on certain persons who give signals that they are radicalising or that they wish to leave or who have returned. This is a very good addition to the entire toolbox that is now being filled with Jihadism thanks to the Action Programme Integral Approach.
ParlaMint-NL_2016-04-28-tweedekamer-13.u110	Please continue.
ParlaMint-NL_2016-04-28-tweedekamer-13.u111	I'm gonna take a look at the contents. Then I want to talk about the scope of the law. In order to be happy, I will also talk about enforcement. As regards the content, what measures are contained in this legislative proposal? In concrete terms, these are five administrative measures aimed at protecting national security, including reporting to the police. They've all been through the review, so I can skip them for a while. These measures will enable the Minister to prevent involvement in terrorism at an early stage. Of course, make sure that, if possible, the possibilities of criminal law are always exploited. They're in the lead. If that is possible, we certainly need to use, for example, pre-trial detention. If that is not possible, this bill offers good opportunities. In this broad sense, the SGP is therefore in agreement. Then I come to the scope of the law. We have made a few proposals which we believe are improvements. Firstly, the SGP believes that the legislative proposal should be more widely applicable. The first point is that the imposition of measures is only possible if someone carries out a terrorist activity that poses problems for the national security of the Netherlands. We were wondering why this was chosen. With the lessons from the El Bakraoui affair in mind, let's look again at this new law. From that point of view, we learn that we need to keep our eyes more focused on the outside. Countries and agencies can work together better than each occupying their own island and allowing the fire to continue at the neighbors. Let me give you an example. Suppose a radicalized Muslim from Roosendaal is busy to see how terrorism can be promoted in Belgium. He has not yet committed concrete acts of terrorism that can be prosecuted or for which remand is possible. However, the Belgian security service is aware of its ideas and plans and lets the Netherlands know. In that case, it is not possible to impose a reporting obligation on him. This bill won't allow that. The activities in Belgium do not have an automatic impact on national security in the Netherlands. Hence the question of why this was chosen. The SGP considers it necessary to allow a notification obligation and a ban on travelling to Belgium, for example. That is why we have prepared this amendment. Not only should the national security of the Netherlands be able to give rise to administrative measures, but this must also be possible if national security is to be compromised elsewhere. This greatly promotes cooperation between countries to counter terrorism. A second point concerning the scope of the law is the possibility of obtaining a temporary exemption from a measure. If a measure is imposed to ensure national security, it must be enforced effectively. Of course, there can always be special circumstances which require and require a temporary exemption. However, the SGP believes that this should really be limited to those exceptional, special cases. The intended impact of the protection of national security should also be ensured in that case. If that is not possible, no exemption can be granted. The possibility of a temporary exemption is now too general. In the second amendment, the amendment to item No. 14, we have tightened the legal text on that point a little bit so that there is more clarity. A third point concerning the scope of the law concerns the possibility of not granting or withdrawing a grant. This is only possible under Article 6 in the event of a serious risk that the subsidy will be co-used for terrorist activities or their support. The SGP wonders why this only occurs in the event of serious danger. Is just danger not enough? Do we accept when there is "only" danger of a subsidy being used for terrorist activities? In addition: is the character of serious danger not almost unproven? That is why we would like a somewhat stricter wording on this point. I come to the fourth and final point on the scope. In it, the SGP calls once again for the attention of the Minister for the criminalisation of residence in the terrorist area. We cannot accept that people travel to Syria, for example, with impunity, to support ISIS. Something must be done about that. That is why we call on the Minister to come forward quickly with further proposals for additional criminalisation, including in the light of the comments of the Public Prosecutor's Office on this matter. When can we expect such plans from the Minister? I would also like to dwell on the question of enforcement, which is an important point. The SGP is thinking in particular of ways of preventing exit. When a person has been banned from travelling, leaving the Schengen area, checks are needed and the passport is taken. The latter is also the subject of the amendment of the Passport Act. Now we are talking about control at the external borders of the Union, of the Schengen area. At various times we see that it is not possible to carry out a systematic check. Only discreet and unobtrusive control is allowed. It may still be the case, therefore, that a person who has an exit ban at the border is allowed to go through the databases of expired documents. How is the government going to ensure effective compliance with the legal measures? What possibility does the Minister see of arresting a person crossing the border himself for violating the exit ban? Another problem arises in the case of people with dual nationality. Even if the passport is taken from someone, it is possible that he will cross the border with his second passport whistling. It would be reasonable, at least, if the country in question had the willingness to do so, to have that other passport withdrawn as well. I will conclude with the point of judicial review, that thorny point. It has already been discussed. The SGP has the impression that through the usual administrative procedures there is simply plenty of room for review of the measures. If necessary, this can also be done by means of an emergency procedure. In addition, these are not punitive sanctions. As far as we are concerned, therefore, the conclusion is that the legal safeguards are adequately regulated. We look forward to a clear and benevolent response from the Minister to our questions and amendments. The SGP is also keen to see this extension of the scope for the fight against terrorism, which complements the toolbox that is gradually being filled up to combat terrorism.
ParlaMint-NL_2016-04-28-tweedekamer-13.u112	Mr. Chairman. The Kuzu/Öztürk group, better known as DENK, believes that terrorists need to be tackled hard and that we should do everything we can, that everything should be aimed at tackling terrorists and preferably preventing terrorist attacks. Terror ruins our society. Terror aims to divide society and turn people against each other. Terrorists want to hurt humanity through inhumane acts. Terror knows no religion, no descent and no boundaries. Terror is a common enemy of all of us, whether in Paris, Brussels, Ankara or Kabul; it is one and the same. We must also take the right measures to prevent terrorism in the Netherlands. I would like to say straight away that there has been a terrorist attack in Enschede recently, when a molotov cocktail was thrown into a mosque in broad daylight. Despite this, we are critical of this bill and ask the Minister whether he is not going to go through with it. We ask the Minister whether the measures contained in this bill will not be counterproductive. We ask him whether these measures will not lead to further stigmatisation of population groups in society and whether they will be effective. We've been a lot of jokes and jokes lately. Maarten van Rossem recently said: the reality is that the chance of a civilian being killed in a terrorist attack is less than drowning in a bathtub. We at DENK have four doubts about this bill: 1. the rule of law, 2. the chance of arbitrariness, 3. the effects on human rights and 4. the one-sided basis when we talk about terrorism. Firstly, we have concerns about the rule of law. At the same time, we are concerned about the fact that this bill extends the powers of the Minister. The proposal allows the Minister to impose a notification obligation, a ban on contact, a ban on territory and an exit ban without prior judicial review. The Minister wants to use the legislative proposal to give himself more and more powers to take preventive action for the sake of national security. That's why I'm asking the following questions. Does that mean that there doesn't even need to be a specific suspicion of a criminal offence? Is it morally responsible, or at all desirable, for a minister to be allowed and able to decide on matters that we have already agreed on in the past and for which we have included criminal law measures in our legislation? With these measures, are we not undermining the value of the separation of powers we use in the Netherlands? Do we not use these measures to use a reverse burden of proof? Are citizens not already suspected by this policy in advance? Isn't the rule "you're innocent until proven guilty" changed to "you're guilty until proven guilty"? I'd like a response. Secondly, we have concerns about the possible arbitrariness of this bill. The bill states that the Minister may impose measures on persons exhibiting certain "behaviours" that may be associated with terrorist activities. What are "behaviors that can be linked to terrorist activities" at all? For example, is a person with a head scarf, a beard, a djellaba or a burqa a danger to national security? Are these the specific behaviours mentioned in this bill? If that is not the case, I hope that the Minister will be prepared to explain, by means of a ministerial arrangement, what exactly are these behaviours? If not, he has already seen our amendment. We are getting more and more signals that people wearing headscarfs, going to the mosque or having a beard are being placed in the suspect bench. Recently, a young man came to the group with the story that the police went to his neighbors to find out if he showed radical behavior. Near his neighbors! The reason for this was a simple beard, a beard that the boy didn't leave behind before. Probably had a call in. Can the Minister imagine what it means for a young man's enjoyment of living in a neighborhood when the police come by to ask if there is a radical behavior? The boy about whom it is, attends specialist ophthalmology training. People are increasingly being looked at and addressed on their appearance or clothing. Are these "behaviourals that can be linked to terrorist activities"? I say again: I fervently hope not. However, it is social reality. How is the Minister going to test it, or do we do it collectively, as in the example I gave? Let's do it all over the street? Let's do it all over the neighborhood? I am sure we do not have to explain to the Minister that the legislative proposal can be arbitrary if there is no clear definition of these broad concepts. I'll make it stronger: it's gonna make it random. Thirdly, we are concerned about the impact of the bill on human rights. Can the Minister respond to Amnesty International's concerns? That organisation speaks with concern about the legislative proposal and the measures that give the government the power to restrict freedoms and rights of individuals. According to Amnesty International, the proposed powers could lead to disproportionate violations of the human rights of those concerned, in particular the right to freedom of movement and the protection of privacy. In addition, these measures increase feelings of further stigmatisation and discrimination against ethnic and religious minorities. I'd like a response. Fourthly, we have concerns about the unilateral basis of the concept of terrorism. When we talk about terrorism in the Chamber, we often talk about one type of terrorism. Last month I was present in Rotterdam at a demonstration against terror. The turnout was not expected, but this had absolutely nothing to do with the willingness to make a fist against terror together. This had to do with the fear that exists in it, in particular, the Muslim community. Until an hour before the demonstration, I received messages from people who were afraid to make their voices heard against terror. They were afraid of attacks by right-wing extremists. They were afraid of attacks because they were wearing a headscarf. They were afraid of attacks because they had a beard. Especially after the attacks in January and November last year, individuals were the target of Islamophobia. 89% of the cases involved people who were visible Muslims. Then where's the media hype? Are there numerous parliamentary questions asked? Are there so many oral questions on these subjects? Why is the focus at the moment one-sided on the dangers of terrorism, while right-wing extremists in the Netherlands are on the rise? We at DENK call on the Minister to assume his responsibility and to act against all forms of terrorism, wherever and directed against anyone. Is he gonna do that? Is he prepared to impose a restraining order, a restraining order or a reporting obligation on people planning an attack on a mosque? I'm rounding up. The attacks on innocent civilians following the attack in Paris last year and the attack in Brussels this year teach us that we should not be guided by fear. We must prevent all of us from taking measures through that fear, leading to injustice, ineffectiveness and arbitrariness. If we do that, we actually do exactly what terrorists want; then we do panic politics. Thank you, Mr President.
ParlaMint-NL_2016-04-28-tweedekamer-13.u113	Mr Kuzu was glowingly in favour of tackling all forms of terrorism. Of course, you can only agree with that. However, in order to combat terrorism effectively, is it not necessary to distinguish between types of terrorism? Should not Mr Kuzu, with the other members of the Chamber, come to the conclusion that jihadist, Islamic-inspired terrorism is currently the greatest threat to national security? Such attacks are of a different order than an attack by a bunch of criminals and right-wing radicals throwing a molotov cocktail. After an attack by the latter species, the rule of law does its job and the perpetrators are arrested. After that, the stakeholders will examine what can be done further in consultation with the directors and policy makers. I would ask Mr Kuzu if this is not of any other order. In my view, there is a great danger in the way Mr Kuzu singles out all terrorism, namely the danger that the diabolic nature of certain types of terrorism will disappear. The view of that just disappears. Does Mr Kuzu agree with me?
ParlaMint-NL_2016-04-28-tweedekamer-13.u114	I'm not afraid of that last one. If we are to act together against terrorism and to tackle and combat terrorism, we must, as far as I am concerned, ensure that a clear definition of terrorism is used. Terrorism is the inflammation of fear, the creation of contradictions. There is terrorism when people are attacked in broad daylight at a station or in a mosque. As far as I'm concerned, that's the same thing. If Mr Bishop is trying to point out here that, for example, the death of people in a mosque attack is less problematic or less serious, or has less to do with a terrorist motive, then I say to him that he is making the biggest mistake in the rule of law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u115	I thought the people of the DENK movement called on them to think. I find such an insinuation so far beyond me that I will not even attempt to refute it. There has been no reason whatsoever to consider such a suggestion. I ask Mr Kuzu once again, because he is doing a fantastic job of bypassing the answer to my question. Is it jihadist-Islamic-inspired terrorism, backed up and equipped with money and weapons by IS, not of a kind other than a form of reprehensible right-wing violence, namely terrorism against mosques, for which the rule of law indeed has sufficient means to act against?
ParlaMint-NL_2016-04-28-tweedekamer-13.u116	I thought the S of the SGP stood for "Stately," but apparently I am also wrong about that. I'm sticking to my answer. I believe that there should be no distinction between forms of terrorism, whether inspired by Islam or by right-wing extremism. I do not think that we should classify the various bases of terrorism, unlike the SGP, and that we should not say that dealing with certain forms of extremism is more priority than dealing with other forms of extremism. We must fight all forms of extremism equally hard. I understand that Mr Bishop argues that if he is not, he should say that we must deal with certain forms of terrorism less harshly than the form of terrorism he is referring to.
ParlaMint-NL_2016-04-28-tweedekamer-13.u117	I would advise Mr Kuzu to listen carefully when I give an explanation or when colleagues give an explanation. Here too, his remark does not in any way make any sense. Mr Kuzu cannot in any way derive from my reaction that I say that right-wing extremism should be dealt with more flexibly or less firmly. I am concerned about the real threat. Mr Kuzu carefully avoids answering my question. That is his right, but I regret it, because now the possibility of jointly seeking a real approach to the problem is being blocked. We should work together to find a basis on which we can find each other in order to tackle the current problems of jihadist-Islamic-inspired extremism, as the people concerned call it; I quote only 'Jihadist-Islamic-inspired extremism'. The way that extremism is manifesting at the moment, the real threat it poses, is of a different nature. I say to Mr Kuzu, recognize the different species and types. Otherwise he gets everything on one plate and eventually he gets nothing at all. The threat will only get bigger. I hope for a good answer, but I find it difficult to ask the question for the third time.
ParlaMint-NL_2016-04-28-tweedekamer-13.u118	Although Mr Bishop asks the question a fourth, fifth or sixth time, I find that, if the answer to his question is not acceptable to him, he pretends not to have understood the answer to his question. I say very clearly here that we should not classify the foundations of terrorism. I believe that we must treat all forms of terror, wherever it is in the world, even here in the Netherlands, regardless of the basis on which it is based, in the same way, that is, very hard. Once again, I see that the way Mr Bishop explains his story only leads to classification and leads to the conclusion that we need to tackle one form of terror harder than the other. That's not what DENK stands for.
ParlaMint-NL_2016-04-28-tweedekamer-13.u119	We have arrived at the end of the first term on the side of the Chamber. The Minister needs a twenty-minute suspension.
ParlaMint-NL_2016-04-28-tweedekamer-13.u120	I'll give the Minister the floor.
ParlaMint-NL_2016-04-28-tweedekamer-13.u121	Mr. Chairman. Thank you to all the spokesmen for their comments and questions. For me, the legislative proposal we are debating today is one of the many measures we are taking to ensure the national security of the Netherlands. First of all, we do this by means of preventive measures. I will carry it out with my colleague Asscher. Of course, we pay attention to the role of mayors and municipalities. We know the so-called case consultation, which looks very actively at people who may be radicalised or already radicalised. Then we look at how we can deal with this effectively. Of course, there is also attention to repression, which primarily concerns criminal law. We have already extended our criminal instruments in such a way that, in fact, any behaviour which we believe should be punishable by criminal law can also be criminally convicted. That is also an answer to questions from Mrs Swinkels and others. They asked if there was no other way. Mrs Swinkels gave the example of the German exit ban. Mrs Van Toorenburg asked a question about this and said that it was an interesting suggestion from D66. However, it is already a criminal offence in the Netherlands and a number of convictions have already been issued for travelling out. This is part of the so-called preparatory actions. So I refer Mrs Swinkels to our own law on that point. I will not go into that further. Let's say criminal instruments are needed and possible. I call it criminalizing staying in the area. We have had it investigated. Part of the Chamber has also ruled on this. That was not a majority at the time. Nevertheless, I have already discussed it with the Public Prosecutor. The prosecution has said that we are actually seeing this was a moving insight, and that is why we are giving you positive advice on this matter. Why? Because we can sometimes not get enough evidence for the serious criminal acts, for example being a member of a terrorist organisation, preparing attacks or cooperating in terrorist activities as part of a terrorist organisation in a specific area. If we can prove that someone has actually been there, it might be possible, also on the basis of the two reports which have also been discussed this evening: the Erasmus University report, which provides important insights into how people in those areas can evade terrorist activity, and the AIVD report, which is now well-known, in which the same conclusion is drawn, namely that you cannot be in those areas without being guilty of either terrorist activity or intensive support for it. At the moment, I consider both aspects of whether it is desirable, as the Chamber suggests, to regard the residence in that area as a criminal offence, despite the investigation by the WODC, which we had previously requested from the Chamber. This showed that there was no reason to settle this in criminal law. At that point, there is moving insight. That can also be expected from the government. I very much appreciate the fact that the Chamber is keeping us on that point. The developments in recent years are not the same. The debate cited the example of someone who was in Syria. That is a different kind of return than someone who has returned in recent years. In many cases there has been much longer. We also see very few people returning. That was really different in the early years of the trip. Then a lot of people came back disillusioned. Now we're not actually seeing that happen at all anymore. The concerns we have about the people who are returning now are also many times greater. I have said it many times, and the expectation is that if someone returns now, in almost all cases there will be criminal activity. The Public Prosecutor's Office is already building files on well-known expatriates and what we know about the stay and the like. So now the question arises: that is what this bill is for if you don't have enough or enough in your hands for a criminal conviction. What else can you do? Then the answer is very little, until we get this bill through the Second and Upper Chambers. In any case, in the interests of national security, I can take a number of measures.
ParlaMint-NL_2016-04-28-tweedekamer-13.u122	Then the bright side of the day is that the Minister wants to take a serious look at the criminalisation of voluntary residence on terrorist territory. Can the Minister say a little more about the time he still thinks he needs to come up with a proposal? I would ask this also in view of the fact that we have had to wait 20 months for this proposal.
ParlaMint-NL_2016-04-28-tweedekamer-13.u123	Of course, the bright spot was there a little earlier, because I sent a letter to the Chamber about this. Mrs Van Toorenburg may have missed the point of light that has been there for a long time, but perhaps this is a brighter shining light. I think, however, that the letter to the Chamber should also be mentioned as a light. I believe that I also wrote in that letter that I expect to be able to take further decisions before the summer. I will therefore report to the Chamber on any timetable.
ParlaMint-NL_2016-04-28-tweedekamer-13.u124	That is very good, because from the letter we mainly said that there were some ideas, but the Minister now seems to want to make this proposal in a very concrete way. We're happy if we can do that before the summer. Perhaps it can even be done at such a time before the summer that we can deal with it very quickly.
ParlaMint-NL_2016-04-28-tweedekamer-13.u125	Maybe I will speak for my turn and the Minister's answer will still be forthcoming, but I would like to ask the following questions. The Minister just spoke of the danger posed by returners. The explanatory statement states "The fact that someone has joined a terrorist group abroad is therefore not sufficient to impose the measure, even if only because a returned warrior may have turned away from radical thinking - disillusioned." How am I supposed to read that sentence? I actually just heard the Minister say that there are fewer and fewer of them.
ParlaMint-NL_2016-04-28-tweedekamer-13.u126	One doesn't bite the other at all. The experience was that in the past, after a fairly short stay in those areas, many people returned because they had seen what it meant to be there. Those people have had intensive conversations with them. All these people have been spoken to. They have all been looked at and may or may not have been included in the case consultation, because it is of course about people who were radicalised or who had radicalised intentions. In these cases, therefore, it is carefully determined whether such a person constitutes a risk to national security. For such a person, who has been found to have actually withdrawn, the fact that he was once a member of such an organisation is not enough for a criminal approach, but probably not enough for this approach, because the element "danger to society" is missing. The jumping point in this bill is that I can take the proposed measures when national security is at risk, while there is insufficient or insufficient justification for a criminal law approach. While you're collecting evidence, you may not be able to apply pre-trial detention because you haven't finished the case, but you're already worried and you'll say: let's at least take some measures, for example, an exit ban or a reporting obligation, to keep this person under control.
ParlaMint-NL_2016-04-28-tweedekamer-13.u127	Please continue.
ParlaMint-NL_2016-04-28-tweedekamer-13.u128	I'll come to the questions. I'll do that in seven blocks. I therefore have a very thick document entitled 'amendments'. Given that we now have two weeks of recess, I suggest that I write a letter in which I give my opinion on each amendment. In view of the time I may not have to do that tonight. If the House agrees, I will send it well before the vote.
ParlaMint-NL_2016-04-28-tweedekamer-13.u129	I see that everyone agrees to that.
ParlaMint-NL_2016-04-28-tweedekamer-13.u130	A number of Members have asked whether this bill is intended to circumvent the safeguards of criminal law. No, of course not. It is really about the additional powers you need to be able to protect national security in addition to criminal law. I have already touched on the issue of Mrs Swinkels on the extension of criminal law. If, at any time, it appears that there are acts where we have not provided sufficient room for manoeuvre in our criminal law, then I am always prepared to do so because national security requires us to do so. Mr Bontes asked about the criminalisation of residence on the territory. I have indicated that I am in agreement with the Public Prosecutor's Office on this. That's what the letter to the Chamber says. If that consultation is positive, I will inform the Chamber. I say to Mr Bontes that traveling is basically punishable because it could be a preparatory act for a terrorist activity. Mr Bontes also asked whether all returners were being detained. At least they're always being held up. In principle, all known expatriate files are built up. Depending on the amount of information, the criminal law option is chosen or, if not possible, some of the measures proposed today can be taken on the basis of national security. In the context of this discussion, Mr De Graaf asked whether it was not a good idea to introduce the reversal of the burden of proof. That is very complicated, as Mr De Graaf, I think, knows. Such a change is at odds with the principle of innocence, which is enshrined not only in our Constitution, but also in all human rights treaties. Mr De Graaf's example also shows that the judge in the Netherlands is very well equipped with the current criminal law of evidence. We have recently seen quite a few convictions of people who have been condemned in all kinds of ways, either by recruitment, by funding or by calls for action, just within the criminal law in force. We have been asked whether this bill can be used to prevent violent preachers. We already have a number of other measures, which are very successful. The recent example of Eindhoven was mentioned, in which, through cooperation between the national government and the municipal government, a number of people on different grounds, in different ways and by different instruments succeeded in making preaching impossible. This bill is not necessary in itself. There will also be no need for separate criminalisation. We can do a lot of things about violence preachers. It is now also possible, and this has been agreed by the judge, to act against people who are legally resident in Europe. No visa can be withdrawn from them, but they can be successfully banned by the mayor. The Chamber knows that the municipality of Eindhoven and other municipalities also hold very intensive consultations with the NCTV. Mrs Tellegen asked whether this bill could also effectively address the organisations behind hate preachers. This proposal will not, in principle, be able to do so. You can take criminal action in any case if there is an inciting of criminal activity or if there is an inciting of hatred, violence, discrimination or other criminal offences. Then there's just the criminal element. In the end, on the basis of Article 20 of Book 2 you can deprive any organization with legal personality of its legal personality by disbanding it. For that, we do not need this bill in itself. We have already talked about this in relation to its financing, because I can find some clues for this in this legislative proposal.
ParlaMint-NL_2016-04-28-tweedekamer-13.u131	I have a question about the preachers of violence or hate preachers, whatever you want to call them. Take the example of Boskoop last weekend. In Boskoop a notorious preacher of violence, known from Sharia4Belgium and associated with a German violent organization, appeared. Those in the Netherlands, in Boskoop, can visit a mosque and address young people. If I understand the Minister correctly, it shouldn't be possible, but it will. What's the deal with that, exactly?
ParlaMint-NL_2016-04-28-tweedekamer-13.u132	I do not know that example; it seems to have escaped my attention. The general rule is the following. As soon as we know that someone like that is coming, we have to know that in advance. Firstly, the question is whether such a person has a visa. If so, can we withdraw that visa? We have to have grounds for that. That is what is happening actively. Secondly, the question for the municipality is whether it wishes to do so. In general, it is wise for municipalities to come into contact with the mosque to see if it is wise to invite the person concerned. Thirdly, the municipalities have instruments, including an area ban, to make preaching impossible. Fourthly, there is always the relapse option that can be carefully considered whether what someone says is contrary to the law. If so, criminal action can be taken.
ParlaMint-NL_2016-04-28-tweedekamer-13.u133	It is a pity that the Minister does not know about this incident, because it has really been in all the newspapers. Mayor Spies of Boskoop got himself into trouble. Anyway, that aside. I'm just not sure this is gonna happen next time. Perhaps we should go a step further to stop this for once. Apparently, these guys can spread their hate message here in the Netherlands undisturbed.
ParlaMint-NL_2016-04-28-tweedekamer-13.u134	That is absolutely not the intention. The intention is that they will not be able to spread these hate messages undisturbed. That happens with a lot of regularity. Mr Bontes knows the examples; I have spoken with him on many occasions. We have the instruments, we work well with the municipalities. In principle, our policy is to prevent this kind of people in the Netherlands from preaching hatred. If they do, we still have the opportunity to take criminal action against them.
ParlaMint-NL_2016-04-28-tweedekamer-13.u135	I have a question at the same time. There are two problems. We have hate preachers with an EU passport. The minister already talked about that. He has worked very hard with hate preachers from outside the EU, but within the EU, of course, is a different story. Those people are just free to go and stand wherever they want. They can simply travel to the Netherlands with an EU passport, just as Mr Bontes said. Too often we cannot act effectively to prevent these people. How does the Minister intend to talk to his colleagues in the EU about how we can collectively act against these figures within the EU, with the same commitment he is already making towards non-EU hate preachers?
ParlaMint-NL_2016-04-28-tweedekamer-13.u136	We already do. Mrs Tellegen also called for this. I picked up that glove and discussed it with my colleagues in the framework of the JHA Council a long time ago. I also invited them to exchange information both with each other and bilaterally on this group of hate preachers. That is what is happening, and that is why we are now working with a number of countries. We have lists and we'll warn each other if we know one of them moves from A to B. Of course, we also work intensively together when it comes to, for example, a visa issued by a Member State. We can then warn that Member State and ask for that visa to be withdrawn if it appears that the person concerned is using it to come to the Netherlands to deliver messages that are displeasure to us.
ParlaMint-NL_2016-04-28-tweedekamer-13.u137	That sounds encouraging, but what I really want to go to is that the mayor isn't put in front of a failure again and again by a hate preacher who is invited by an institution or an organisation here in the Netherlands who wants to offer him a platform. But that aside. Does the Minister now work at EU level towards a single list that we can consult from all EU Member States when someone announces that they are coming? So we can say, no, you're on the list, you can't get in!
ParlaMint-NL_2016-04-28-tweedekamer-13.u138	Of course, the latter is difficult, because for "you won't get in" you don't have a title. But you do have a title if that's someone who people are worried about in another country, like we have people we're worried about. In good mutual agreement, we can ensure that everything we can do is done. We can use a restraining order from the mayor's side to make sure that someone like that can't preach. It is also right what Mrs Tellegen says about the fact that these people are invited by an organisation. In the context of prevention, it is very important that we do not allow this to continue. That is a real task for the local government, but I know that a lot of local authorities are very active in this too. They must enter into dialogue with the local mosque or the mosque organisation and say: let's see who you do and who you don't invite. And: ask us early for advice whether or not it is a good idea for such a person to come to the Netherlands. This happens very often in practice; fortunately, where it does not happen, we also have resources.
ParlaMint-NL_2016-04-28-tweedekamer-13.u139	I'd like to continue on those resources. A conversation with an organization that invites someone like that is one thing. But what kind of sanction does a mayor have to say to an organization, a foundation or a mosque: listen, this is a hate preacher and he should not be able to deliver his message in the Netherlands? And if you don't withdraw that invitation, then... What possibilities are there?
ParlaMint-NL_2016-04-28-tweedekamer-13.u140	A good example is...
ParlaMint-NL_2016-04-28-tweedekamer-13.u141	What are the possibilities of sanctioning this platform, so not so much the hate preacher himself, but also the organisation? Because that is, of course, the most scandalous thing: that this organisation in the Netherlands can simply get away with such an invitation.
ParlaMint-NL_2016-04-28-tweedekamer-13.u142	The mayor has the opportunity to make preaching impossible, for example by banning the territory. That has now also been reviewed by the judge, in the case of Eindhoven, and agreed. Well, that's for sure. That's one of the instruments you have. In addition, individuals will be able to be dealt with by criminal law, but also the organisation that systematically invites people to preach hatred can eventually be addressed through the same Article 20 of Book 2.
ParlaMint-NL_2016-04-28-tweedekamer-13.u143	I'm going to go back to that example. From today until 11 May there will be a conference at the As-Soennah Mosque, on Fruitweg 5, the friends the Mayor of The Hague is sleeping with. The mayor has the King secured by salafists when he goes to the market. He praises the As-Sunnah constantly in heaven and does not answer the Minister's questions by saying that he no longer cooperates with salafists. How can you expect such a mayor of The Hague to find out which people As-Soennah invites to such a conference? They do distribute pamphlets and announcements on Facebook, but they don't put on who they invite. That could be where the most horrible preachers of violence can sit and we can't get them out. What does the Minister have to say to that? How are we gonna find out who they are?
ParlaMint-NL_2016-04-28-tweedekamer-13.u144	I do not go into this particular example, but in general I can say, on the basis of my own observation in the last year, that there is very intensive contact in practice with organisations that come to invite people. We look very carefully at what kind of people they are. Measures will then be taken if necessary. That's kind of complicated. Mr De Graaf knows as well as I do that people who take the trouble to come to the Netherlands from another Member State will ensure that they operate within the limits of the law. It is therefore also up to the local authority to remain in dialogue with these organisations and to ensure that the people you do not want do not come here. I think that is very important. How to shape that is really up to local authority and that should also be discussed with the city council.
ParlaMint-NL_2016-04-28-tweedekamer-13.u145	That's a mistake of the Minister's mind. There is no dialogue with Islamic organisations. That is always a monologue on the Islamic side. That goes too far theologically for this debate, but it is useful for the Minister to know. Then how do we do it with mayors sleeping with these organizations? That is no longer a question of control by competent authority, is it? That is a far-reaching form of bending for that organisation, as mayor Van Aartsen does in The Hague. Well, then I'll come to that particular case. A mayor like that can't really control what he's supposed to control when he gets in bed with them, can he?
ParlaMint-NL_2016-04-28-tweedekamer-13.u146	Mr De Graaf, please refer to the content and not to the person.
ParlaMint-NL_2016-04-28-tweedekamer-13.u147	We have ensured in our country at a number of levels that there are checks-and-balances or controls for all forms of political directors. If there is a course of action by a mayor who might be uncomfortable, then it is up to the city council to take action. That is the answer to Mr De Graaf's question.
ParlaMint-NL_2016-04-28-tweedekamer-13.u148	Finally.
