ParlaMint-NL_2016-03-08-eerstekamer-8.u1	We will continue with the first term from the side of the Chamber.
ParlaMint-NL_2016-03-08-eerstekamer-8.u52	I understand that you are going to launch a world revolution in animal welfare and that you are going to try to change the rules in all countries where they are less than here. I wish you much happiness and pleasure in that, but I expect little of it. At the moment, there is a call within Europe to reduce animal welfare rules because we cannot compete with what is happening outside our borders. That's the problem.
ParlaMint-NL_2016-03-08-eerstekamer-8.u53	And so we have to do it the other way around.
ParlaMint-NL_2016-03-08-eerstekamer-8.u54	That would be nice, but at the moment seven farmers have to stop every day in the Netherlands. With such support for unfair competition, this really does not improve. I will continue my speech. Does the cabinet want to be associated with such a country and what is the main reason for this? Is it trade, is it geopolitics or is it happening because the cabinet thinks that the Dutch citizen or the European citizen is eager to become associated with Ukraine? Do we want to do a game of rope pulling with Putin about the sphere of influence in the region? Do we want to challenge the Dutch farmers in their entrepreneurship to build even larger mega stables and thus compete with Ukraine? For a good understanding: The Netherlands is the most cattle-proof country in the world. We slaughter 465 million chickens a year, approximately 27 chickens per Dutchman, from infant to elderly. This one company of the friend of the Ukrainian president slaughters 332 million chickens a year alone, two thirds of the Dutch slaughter, and wants to expand considerably with the help of European development funds, without the European regulatory burden but with European subsidies. Why would someone vote for an association agreement on 6 April on such a basis? Can the Minister explain whether, in his view, the association agreement is primarily about trade..... 306 pages of the 323-page treaty are indeed about nothing but trade.......................................................................................................................................................................................................................................... Why is this association agreement so terribly important for the EU, more important than that with Chile, for example, which we have heard very little about? I would like a clear response, because after all, we have to vote on it within a month. What are we really getting at with Europe? The Dutch climate and energy policy has been abolished; the standards have been reduced to the absolute European minimum. The European point of departure that the sole objective of European agricultural policy can be achieved by increasing production is very much at odds with the fight against climate change. The increase in the production of the European agricultural sector, which is, in other words, the only objective of the Treaty of Lisbon, will contribute to the worsening of climate change, which was described by the UN IPCC as "dramatic" two years ago. What possibilities does the government see for dealing with this threat, one of the greatest threats of our time, especially for a country below sea level? The democratic deficit of the European Union has recently become painfully apparent in the procedure for authorising genetically modified maize. An overwhelming majority of the European Parliament was against it. A large majority of the European population does not want genetic engineering. Nineteen Member States have opposed admission. However, the ban on imports and cultivation is still not an issue, thanks to Monsanto's lobbyists. This company has now opened up a large site in Ukraine to promote genetech from a new EU protégé, just outside the EU, where more can be done than here. The Animal Party sees the EU as a potential platform for progress, rather than as the excuse for standstill and sometimes even decline, as it is now used. The Animal Party wants a Europe that gives both humans and animals the opportunity to have a good life. Such a Europe is made up of independent countries, which decide democratically to tackle cross-border issues together. A lot of things will have to change in Brussels to make that picture a reality. As far as my group is concerned, there is no new competence for the EU. If that is the case, the people must be able to vote on it by referendum. We want to change the European electoral system by introducing international electoral lists so that citizens from one Member State can vote for a candidate from another Member State. Can the cabinet explain why there is so much work going on towards European integration, while there is a total inability to harmonise excise duties, for example; ask the pump holders in the border area? It is not even possible to set up a pan-European party, although this has been discussed since 1992. How should we define a European Union that is unable to regulate something so basic as the possibility of voting for a candidate from another Member State in one Member State, but believes that a banking union can be established, followed by a political union? Isn't that a clear illustration of the fact that these things seem to be rather than solving the democratic deficit? When will there be a comprehensive public and mandatory lobby register in the EU? It is reported that 30 000 lobbyists are now in Brussels with 736 members of parliament, 40 lobbyists per Member of Parliament. Does the government see any reason to identify these relations and limit them? I'd like a response. Can there be a lobby register, not only for visits by lobbyists to MEPs, but also for visits to the European Commission and to officials? Where are the possibilities for monitoring the European Commission when concluding agreements with countries outside the EU, such as the negotiations on the EU-US Free Trade Agreement and between the EU and Ukraine? There are tens of billions to be saved on the EU budget by abolishing agricultural and fisheries subsidies and the Structural Funds. The Animal Party advocates alternative scenarios for resolving the euro crisis and wants the EU to develop scenarios for this, such as the use of parallel currencies and the possible division of the currency union into a northern and southern region. I'd like a response. A common currency should have been a binder, but it has developed into a dangerous fission mushroom. What began as a community of values has become a community of financial values with completely different principles. The state of the European Union is currently a state of dissolution. If we are not careful, we have the best years of European solidarity behind us. "We seek more confrontation than we hold each other," says Frans Timmermans. He never wanted to know about such gloom in the past. The EU had to succeed, and so the European Union would succeed. However, there is also a clear doubt, for example by Minister Dijsselbloem and our Prime Minister in a moment of frankness. A Europe with a mini-Schengen is suggested, or a smaller, more transparent Europe, which has a minimum of control. Even the deterioration of Schengen seems to be a serious option. Can the Minister tell us a little bit more about that? What if the number of refugees does not decrease, as the Prime Minister promised, but it continues to increase? And what if the distribution between Member States does not come into being against all expectations? What if we are thrown back at ourselves because an unlimited Europe does not bring what we expected? One would almost think that the era of the euro was not so crazy, when we still had our own currency alongside the euro as a unit of account, and with it our own clear and democratic monetary policy. Perhaps we have been too eager in the greatest monetary experiment in history, not knowing that any disappointment or failure would lead us to put our heads even further into a centralist noose. You don't have to be a populist to see that this could never have been the wish of the Dutch people. It was clearly expressed in 2005 when 61% said with conviction "no' to the European Constitution, which nevertheless came into being. Voting against was not an option, the European leaders threatened, in the same way that the referendum on the Association Treaty is framed, as if a vote against were a vote for war and against progress. The amount of energy that Brussels puts into free trade agreements and deregulation is in stark contrast to the energy that is put into better protecting European values such as democracy, human rights, animal welfare and the environment. Today's Europe encloses animals massively in mega stables, eradicates plant and animal species, loots seas and disrupts ecosystems worldwide. The main cause of the derailment of the European idea is that the means have been set as an objective. Once upon a time, economic integration was the means of achieving peace between countries, but now undemocratic decision-making is monopolized by economic interests and threatens peace and stability. In an enlarged EU, the rules are not evolving to the highest level, but to the lowest common level. A level playing field seems to be the magic word, but that is a playing field that is well below the Dutch ground. The helm will have to turn. There will have to be a new direction for Europe and a new European cooperation. This cooperation will have to focus on the realisation of ideals: sustainability, compassion, freedom and responsibility. Such a Europe is made up of independent countries that decide democratically to tackle cross-border issues together. There is absolutely no need for a single currency for monetary union. Then why did the euro come with all the costs involved in the exchange of coins? Mr Szász, then director of the Nederlandsche Bank, is very clear about this to this day: "To make it clear that there is no going back. The euro has a symbolic meaning. If you link the exchange rates unbreakably and make the coins completely freely exchangeable, that implies a common monetary policy and in principle you can have different coins." But with that common currency we would give up the right of self-determination over our money without noticeable unrest. Sneaking would create a destiny community in Europe whose consequences have not yet been seen. But it wouldn't come to a public debate about this silent revolution. These are not my words, but those of the former director of the Dutch Bank in 1998. His words are becoming more and more true. We can talk today about the European state of affairs. More and more, however, our Parliament is becoming a kind of provincial state of Europe. We see that becoming true in the euro area. Economic and political problems are caused by the fact that financial integration is more advanced than political ones. In order to save democracy, either more political integration is needed or less economic cooperation is needed. That is exactly what Europe does not make choices about. Greece, Ireland, Portugal and Spain do not benefit from the single currency, capital markets and free trade, but do not appear to be able to withstand the pressures of the richer Member States. With free trade agreements such as TTIP, Brussels is putting further pressure on democracy within the EU. Democracy in Europe is being undermined as a result of obligations arising from the conclusion of free trade agreements. Migration flows cannot be separated from trade blocs and free trade treaties which are by definition based on power building and exclusion. In 2008 that's big for the refugee crisis, Erwin Wagenhofer made the documentary "Let's make money." In this documentary Francis Kologo, a production manager of Sofitex, a large textile company in Burkina Faso, will speak. He says every Burkinese has a lot of debts. Any Burkinees born would be born with debts. And every African from Burkina, Mali, Benin and other countries will emigrate to Europe if they can no longer produce cotton. He says that they have no other choice and that they will be under European control. If the West does not stop subsidies to the cotton sector, they will be obliged to leave Africa. And Europe can build walls of ten metres high, but they will go to Europe anyway. It would be naive to see the refugee crisis as a temporary natural phenomenon, with temporary air bridges as a solution. The way in which Europe has organised itself and the way in which Europe consumes as if several globes were at its disposal call for a radical change of course. We don't have to wait and see. The Netherlands should take the lead in this. Further transfer of sovereignty cannot possibly be a contribution to this.
ParlaMint-NL_2016-03-08-eerstekamer-8.u55	Mr. Chairman. The SGP is honoured to be able to discuss Europe with the Minister today. I suspect that today it will be less exciting for the Minister than on the SGP Youth Day, where he was allowed to perform a gig last Saturday. Nevertheless, we look forward to a very good exchange of views. In Greek mythology, Europe was the attractive princess who was chessed by Zeus. However, Zeus was already married, to Hera. So Europe was Zeus' second love and there are always problems sooner or later. Today, many people portray Europe as an ugly, false queen rather than a handsome princess. Where did this passionate euroscepticism come from? Perhaps it is because many princess Europe began to associate mainly with shadowiness and intrigue, so that they no longer see the forest through the trees. The EU as a forest. Rather, the EU as a densely-grown jungle. A forest full of majestic wilds, the European Member States. All the way to the top, the canopy, these wildebeests are intimately entwined. Those are the European institutions. In these summits there are powerful and proud apes, the European leaders. Underneath, in each of the wilds, millions of smaller forest dwellers, European citizens, are teeming. They live in their own tree, but are all part of the forest. And among these trees, on the dark, mossy forest paths, I detect all kinds of activities: transport, tourism, exchange in the field of education, care. These are European freedoms. It is a jungle full of greenery and growth and life. It's a busy day. Today we see a jungle where so much happens, that the top can no longer be seen from the bottom. It's a jungle that cracks under its own weight. Some forest dwellers can't be big enough and branched close enough. Others are concerned about the health of their own tree, as the smell of decay rises from other trees. The SGP has nothing against jungles. However, the SGP is for decent forest management. It must be said that Europe faces major challenges. Refugees reach Europe by hundreds of thousands. While many Europeans are heavily fetching on Europe, others see how much we are privileged in this continent. The refugees put their lives on the line to get here. That's a useful mirror. Peace and security have become so normal for us, that apparently we no longer realize what we can lose. Mercy and hospitality are offered to those who have been driven out of their homes by violence of war. At the same time, there is a growing awareness that an uninhibited influx is unsustainable. Nor should the threat of potential terrorism be overlooked. Whoever loves the wolves is a danger to the sheep. What does the Minister think of the recent warning from NATO General Breedlove that there would be a growing number of terrorists in the asylum stream in recent months? In addition, it is good that refugees continue to have a perspective on returning home. After all, we are not helping the region in question by draining it, especially when it comes to the young middle class. That's the backbone of every society. Cooperation with Turkey and other countries in the region is needed to improve the living situation in refugee camps, but also to prevent people from getting into boats and ending up as drowning. In this light, I would like to hear a further appreciation from the Minister on the agreements that have now been made with Turkey. As far as the SGP is concerned, Turkish EU membership is farther away than ever. I'd like to be clear about that. Can the Minister confirm that the conditions for accession are not being tampered with in any way? In addition, I call on the Minister to explicitly include the recognition of the Armenian genocide in the forthcoming talks with Turkey on accession, as the House of Representatives agreed at the time through the Rouvoot motion. I would also like to point out the great value of diversity between European Member States. The EU is a partnership of Member States and not a federal superstate. Unfortunately, the EU often has a rather restrictive attitude towards countries such as Hungary and Poland, which have their own vision of refugee issues or of maintaining Jewish-Christian values and traditions. I call on the Minister to accept and appreciate these differences. Anyone who denies the individuality of these EU countries too denies the identity of Europe itself.
ParlaMint-NL_2016-03-08-eerstekamer-8.u56	We agree on the diversity. I assume, however, that Mr Van Dijk also wants to set limits on this. I refer to it as anti-Semitism which is emerging rather quickly. I assume that Mr Van Dijk does not mean that we should bloom a thousand flowers.
ParlaMint-NL_2016-03-08-eerstekamer-8.u57	No, thank you for the opportunity that Mr Schaap has given me to say that I totally reject anti-Semitism. Of course there are limits. In everything that is broadcast from the EU to countries such as Poland and Hungary, I do miss some respect for national own Polish and Hungarian interests. Sometimes I cannot escape the impression that it has everything to do with the fact that these are relatively Christian, relatively conservative countries that are often proud of their own country and history and that these are par excellence values that the EU sometimes seems to have a little less to do with. I'd like to expose that tone.
ParlaMint-NL_2016-03-08-eerstekamer-8.u58	I am somewhat shocked by what Mr Van Dijk says. In his words, it was decided that the EU would actually adopt an anti-Christian attitude if there were countries which, from their national pride, took up certain positions. When we talk about Mr Orbán and Hungary or about the latest developments in Poland, we are actually talking about constitutional questions and restrictions on freedom of the press and on justice. In my view, we would do well to separate the debate from Christian values and instead to talk about the general and fundamental values in Europe, because then I think we agree.
ParlaMint-NL_2016-03-08-eerstekamer-8.u59	I'd like to answer that question. My appeal to the EU is precisely to separate it from those underlying values. This is my position, and you may, of course, question it, although I do not want to use such heavy words as anti-Christian and such; those were your words and not my words. However, I doubt that if a secular, liberal-progressive regime had been in power there, then Europe would have gone so hard against these countries. That is my position and my thought, and I am happy to present it to the Minister.
ParlaMint-NL_2016-03-08-eerstekamer-8.u60	In particular, the Eastern European countries have indicated that they do not wish to share responsibility for asylum seekers. A number of these countries have explicitly said that they only want to receive Christian asylum seekers. Do you think such a demand should be respected?
ParlaMint-NL_2016-03-08-eerstekamer-8.u61	I do not want to take on board all the policies of Poland, Hungary and related countries from this point on. I was talking about the tone, asking for respect for their considerations. Whoever you allow or do not allow into your own country, I say that it is primarily a national responsibility. I do not so much need to point to other countries. I prefer to put my finger on what the Netherlands itself should do. As a SGP, we are in favour of a generous admission policy with regard to actual refugees and people who fear the loss of their own lives and so on.
ParlaMint-NL_2016-03-08-eerstekamer-8.u62	The crux of a common European asylum policy is that we also share that responsibility and that we are in solidarity with each other. It cannot then be that countries make their own demands and do not treat asylum seekers equally. Imagine if the Netherlands would say: we want to participate, but then we only want to allow Muslim asylum seekers and at least not Christian asylum seekers. Do you think this should be legitimized if you allow other countries to make a difference in the origin of asylum seekers?
ParlaMint-NL_2016-03-08-eerstekamer-8.u63	I'd almost say this is a nice Strike question, but let's not say that out loud. You are now pulling me in to make concrete judgments on all kinds of policy proposals from other countries. My general appeal was: respect also that they are independent countries with their own history. What I am putting my finger on is that very patronizing and often presumptuous tone that is then being used from the European Union towards this kind of country. We are not in favour of distinguishing between religions. As far as we are concerned, anyone who is actually a refugee, from whatever background, is welcome.
ParlaMint-NL_2016-03-08-eerstekamer-8.u64	Okay. Thank you.
ParlaMint-NL_2016-03-08-eerstekamer-8.u65	Mr. Chairman. I also refer to the protection of the individual European. In practical terms, I would like to place my finger on the position of the Jews. Anti-Semitism is still on the rise in Europe. Too often Jews are called names, spit, abused or threatened. Does the Minister effectively use the EU Presidency to denounce anti-Semitism? The House of Representatives explicitly called on the Minister to do this last year through the Bishop's motion and in what way does it now come of that? Will the Minister also promote an end to this one-sided, negative European focus on Israel? There is, in fact, only one decent democratic rule of law throughout the Middle East. One rule of law where a former prime minister disappears behind bars when he is guilty of corruption. And this land of all places, Israel, is constantly being cut down. EU labelling creates an environment in which boycotting Israeli products can thrive. I understand that new European restrictions are currently being imposed on Israeli milk, eggs and other chicken products. Can the Minister indicate how this measure would, in the name of God, promote the peace process? Will the Minister compare the attitude towards Israel with the mild European attitude towards Saudi Arabia or towards Turkey? If Israel were to act as hard against the Palestinians as Turkey is against the Kurds, who also want more autonomy. The world would be too small. But even if I look at all the financial support the Palestinians receive, while the Palestinian school system is still pumping hatred of Israel into it and being glorified by Palestinian state television suicide attacks, I can only describe the European attitude towards Israel as extremely hypocritical. Do European leaders really not see that this is irreparably damaging the relationship with Israel and that in this way the EU is undermining its role in the Middle East peace process? Is it not bizarre that, despite their aversion to Israel, Arab countries should be calling for relations with Israel because of the fight against terrorism and that Europe should come up with counter-measures of this kind? Coming back to my earlier metaphor, I put my finger on the expansion of the European jungle. The European responsibilities and responsibilities package continues to grow. Through initiatives by the Commission and other bodies, but also through the case law of the non-democratic Court of Justice, European integration is on the increase. The SGP calls for a small, effective Union instead of a "ever closer Union." The SGP is for cooperation if it has to, not if it can. Expansion of the crown and branches is much needed, so that air and light return to that mossy forest floor, so that simple forest dwellers see and understand the branches and apes on top of them, so that sunlight falls on that old, gnarly oak called the Netherlands, surrounded by other trees, and grows and blooms again in its own glory. Once the Apostle Paul also made a Turkish-Greek crossing. In this way, the gospel flowed into Europe. At the top of our wish list for the EU, there is a renewed transit and influx of the gospel into Europe. Only then can hags really turn into gracious ladies with royal character. The best thing that can happen to Europe is a rediscovery of the meaning of tried and tested Christian values. Sonst buy wir das cousin!
ParlaMint-NL_2016-03-08-eerstekamer-8.u66	The 50PLUS Group notes that there is distrust and cynicism about Europe among older and younger generations. We are therefore asking the following questions. What can we expect? Can we still have faith? Are the interests of small countries, young people and the elderly sufficiently protected in Europe? There is the impression that they are not properly protected. Can the Minister comment on this? I pointed out the distrust and cynicism. Another point that lives strongly with us is whether Europe is going to interfere with our Dutch unique supplementary pension system. I'm just gonna drop in with the door. We do not think that interference is necessary and undesirable. From Brussels there is still a tendency to interfere and treat pension funds more like insurers covered by Solvency II. The very heavy lobby of insurers in Europe is no stranger to that. Our 1,300 billion pension fund is a challenging prey for the insurers who are already struggling enough through the calving life insurance market. Fortunately, the Netherlands still has exactly enough allies to keep Brussels out of the door every day, at least for the time being. The United Kingdom in the European Union is a great support for this. Can the Minister explain the current state of affairs in Brussels and the Dutch position in this dossier? We are keeping an eye on EIOPA, the European regulator for insurers and the pension sector. It could be a multifaceted monster if a new crisis broke out. Another theme is health care. What can we expect from health care in Europe? Exchange of knowledge and methods can lead us to become the best for care and for the elderly. Can the Minister comment on the importance of this? The next issue is peace and security. Over the last 50 to 60 years, we have had a Europe as intended by the founders: wanting to be dependent on each other and working together. Now the self-interest seems to prevail over the common interest and anger, sometimes anger, arises towards each other. We see Brexit, the opposite in Europe of the former Eastern Bloc vis-à-vis Western Europe, and economic differences between northern and southern Europe. There are cracks in the walls and common values seem to go away. Finally, I come to the subject of 'the European budget'. We believe that the brake should be on the increase. Can the Minister explain the current state of affairs and the Dutch position? I would like to say a few words about the association agreement with Ukraine. The treaty has been signed and cannot be changed: all countries have signed it. There is a messy debate about the referendum in the Netherlands, with arguments for and against. It is the duty of the Cabinet to defend the signed treaty. Let the citizen speak freely! But let us realise that the people of Ukraine had, has and wills to continue to focus on Europe. Last week we had a discussion with a delegation from the Parliament of Ukraine: all those opposite us were after the Euromaidan. I thought that was special. How does the Minister view the situation in Ukraine and the conflict on the east side? I'm coming to the refugees now. Following Mr Nagel's contribution to the discussion of the budget for Security and Justice, we ask the question about the expected numbers in the Netherlands. According to the Cabinet, these high numbers only come if we do nothing. But what happens if, in the policy approach, we come up with higher numbers? Can the Minister state that it's under control now and later? And what does the cabinet do if it doesn't have the financial consequences? Can the Minister explain why Frontex cannot be rigged quickly enough? What can NATO do effectively, in addition to monitoring? Will the border and coastguard, which is being discussed under the Dutch Presidency, be established quickly? Then I'll come to Syria. A diplomatic solution in Syria is the only solution to the conflict; this is to be discussed jointly by the United States and Europe. That is actually the only solution to contain the flow of refugees and to receive the real refugees with dignity. How's the minister looking at this? In addition to Syria, Libya is at least as big a problem, which is very close to Europe. Neighboring country of Tunisia Members have already spoken about this matter already because of the terrorist attacks by ISIS from Libya. In particular, the second attack some time ago has struck tourism in Tunisia and thus the economy. Yesterday there was a new, heavy and thus third attack. What can Europe and the Netherlands do for Tunisia? In our view, there is a serious underestimation of the dangers from Libya. I dare hardly ask, but is this not an even greater threat to Europe than Syria, as the Prime Minister of Tunisia pointed out last week? What is the Western strategy for Libya? Is it even there? This debate is taking place in the aftermath of last night's Turkey summit and tonight's format of the European Central Bank meeting next Thursday and the elections in three Länder in Germany next Sunday. One to two years ago, Italy was already flooded by boat refugees from North Africa. The flow of refugees to Turkey started five years ago. Europe looked away and it did not come to agreements on control of the external borders. We have looked away from the massive reception of 4 million refugees in Lebanon, Jordan and Turkey, which alone contains almost 3 million refugees. It was all a long way from our bed. Once again we are inundated, in large masses, and again we were unprepared, but unlike in the early 1990s in the flight of many from the former Yugoslavia. Each country then made its own contribution and this did not lead to tensions between the countries. How times have changed! Then I will go to the EU summit last night with Turkey on migration. Turkey is prepared to take back almost all the refugees arriving in Greece via Turkey. Europe would be willing to allow any Syrian who illegally makes the crossing to Europe, a Syrian to come legally from a Turkish shelter camp, possibly via an air bridge. That is Turkey's first demand. In addition, Turkey demands EUR 6 billion from the EU for reception in the camps, accelerated negotiations on Turkey's EU membership and faster travel without visas from Turkey to Europe. With regard to the latter, I can assume that the opposite will also be the case. Can the Minister comment on the state of play on this file since last night? Is there now a breakthrough with this'surprise proposal' from Turkey? What are the chances of a final agreement being reached next week? What is the legal basis for the exchange of Syrian refugees according to the right of asylum? How big is the waterbed risk via new routes? Chancellor Merkel stays on course as leader: that Frauschaft Schafft das. She focuses on a deal with Turkey, but the question is what the voters think about this on March 13. In Baden-Württemberg, the CDU is in bad shape in the polls. The CDU is even slightly smaller than the Grünen: 30% versus 30.5%. Elections are also held in Rhineland-Palatinate and Saxony. The Germans call it "Just like that day in, day out in the media to follow "Protestwahlen." If the defeat of the CDU were to occur, it could lead to great unrest within its own party and friction with the sister party, the CSU, and, if possible, instability in international and European politics. Perhaps the Turkey summit for the CDU/CSU was just in time. After all, everything is political. A bad result for CDU will only increase populist pressure in Germany and not bring a solution to the refugee problem closer. In addition, France has also recently stepped on the brakes. I now come to a very different subject: Europe and the euro. The future of Europe has a long past. For the euro, the future does not have a very long history, but it has a history since the Maastricht Treaty of 1992. Next year, that's 25 years ago. In 1997, five years after the Maastricht Treaty, Nobel Prize winner Milton Friedman said the following about the euro. "The European common market is a model of a situation which is detrimental to a single currency. Europe is composed of individual nations, whose inhabitants speak different languages, have different habits and have much greater loyalty and attachment to their own countries than to a common market or to the idea of Europe." Friedman concluded that the adoption of the euro would exacerbate political tensions by transforming various shocks into political issues leading to divisions. In his view, these shocks could easily be offset by changes in exchange rates. ECB policy is characterised by a strong short-term policy. This started at the end of 2014 with the introduction of its variant on the incentive policy of the Fed, the "Bernanke banknote helicopter." ECB policy is aimed at achieving 2% inflation, as if it had to be an end in itself, in order to achieve more growth. It is not effective so far, which is why Draghi even intensified in December 2015, which, by the way, disappointed the trade fairs. There's probably another drip coming in on Thursday. But if the oil price is cut by half, that 2% is a heroic and non-real objective. It's expanding and stimulating against the cliffs. As a result of ECB policy, short-term interest rates have gone to a historical low and the end does not yet seem to be in sight. The Dutch banks complain about this policy, but Draghi does not seem to stop. Geopolitically, it leads to a large redistribution within the euro area of wealth between the northern countries with low government debt and many private savings and southern countries with very high government debt and low savings. Making debts is rewarded and saving is punished. Another consequence of low interest rates is that there is a race to the bottom worldwide to lower exchange rates of one's own currency in order to defend the competitive position. Draghi has given the euro a major negative blow in relation to the dollar, and that may well be the main objective of his policy. The euro has fallen to 1.10 dollars and 1 to 1 remains in sight. China has also dropped its currency considerably, although it has said recently at the G20 that it will stop doing so, but that remains to be seen. The European Central Bank's low interest rate policy leads to a manipulated interest rate that cannot be regarded as a market rate, and certainly not as an indication of long-term interest rates. In recent months, the 10 year interest rate has also fallen from almost 1 to 0.2% in the Netherlands. This interest is also used in the Netherlands for determining the coverage rate of pension funds, the so-called forward rate structure. The ABP is therefore close to the dangerous 90% that determines whether or not to cut in early 2017. The German 10 year interest rate is already turning negative. The low interest rate is not only a disaster for the members of pension funds, employed and no longer employed, but also for savers. In Het Financieele Dagblad of 5 March four Dutch economists spoke: two for and two against Draghi's policy. The four opinions show that there are considerable differences of opinion. This also shows that the general economy in the Netherlands and beyond has lost its scientific strength. The difference of opinion cannot be clearer as to whether or not there is a further monetary expansion and whether interest rates are reduced or increased. It is true that in a normal economy inflation of 2% is healthy and even necessary for growth. Famous is a statement by the then President of the Nederlandsche Bank, Zijlstra: a few percent inflation is the necessary lubricant. But we don't have a normal economy. The Fed has experienced a huge monetary expansion, but has also reversed it far too late. After the second enlargement by Bernanke, the current president, Yellen, seems a little more vigilant to kick the brakes in time. In the meantime, Draghi has continued to expand and much indicates that he will continue to do so the day after tomorrow, although in December he disappointed the markets with less expansion than was expected. The fairs are at the Draghi infusion, with ups and downs. 700 billion has already been increased. This extension will go much further in the forthcoming announced period, with ever lower bond yields. In addition, there is a negative deposit rate for the banks. What will Draghi do now? Will he not continue to care about the savers and pensioners who are increasingly affected and will he be able to remain deaf to the warnings of Weidmann of the Deutsche Bundesbank? For example, there has been increasing opposition to the Draghi policy among German savers and pensioners. When will they be resisted in the Netherlands? Yesterday we read that the Sparkassen in Bayern are going to store cash in vaults. Of course, this costs money, but it is considerably cheaper than depositing cash with the European Central Bank, for which you pay a penalty rate. The European Central Bank must realise that a natural soil can be reached. The aforementioned FD article last Saturday contains two schools: Jacobs and the Jong van ABN AMRO opposite Bruinshoofd van de Rabobank and Hoogduin. Jacobs is in favour of further broadening and even exceeding ECB powers by creating real helicopter money. De Jong van ABN AMRO notes that interest rates are low due to the crisis and the low oil price. He called for further reductions in interest rates. Now I'm gonna go to the other school. Brown Head of Rabobank states that the magic of the central banks has been worked out and that these central banks are detrimental to the income model of the banks and have a devastating effect on the coverage levels of pension funds. It will lead to more savings. He advocated a shock therapy with an increase in interest rates and an end to monetary expansion. The prerequisite for this is global coordination of central banks and accompanying fiscal policies to avoid a shock on financial markets. This spending impulse stimulates growth and is partly funded by higher VAT and energy taxes, which also directly increases inflation. Head of Brown also expects further reduction of the ECB's interest rate, but hopes that the ECB will come back before the summer. Hoogduin also believes that the ECB should stop buying bonds and raise interest rates. The increasing deflationary forces are simply too strong. I conclude that the fight against the beers is: the deflation lion is not tame with lower interest rates. The low interest rates are, of course, very welcome in the countries of southern Europe. It makes it possible to continue to finance high public debt there. Those who believe that Draghi's policy is helping to implement structural reforms in those countries are very naive, as are the many politicians who believe that the Greek problems with last year's measures have been solved. If you look at the recent figures on the Greek economy, and especially at the IMF figures, you will see that the cautious growth forecasts have been replaced by shrinking assumptions. If you add up the recent publications on the decline in tourism to Greece, it becomes clear that the Greek economy is going to get into trouble again this year. I expect Greece's planned repayments to the ECB in the middle of this year to be more problematic than that of the previous year. Yesterday it was announced that the Greek debt issue will soon be discussed again by the euro countries. A possible debt relief is part of that conversation, says Dijsselbloem. It is likely that the maturity and interest rates will be adjusted. Can the Minister state what the cabinet thinks about this, given the previous position? The Greek problem will not help our growth either. Uncertainty will increase again, and citizens will continue to save, if only to compensate for the reductions on their pensions. Whether that saving will be at the banks is only the question. With the current very low interest rates, I expect savers to take their money away from the banks. And that will weaken the banks. In the Netherlands the blow also hits hard. We save a lot at net 0 interest rates and we have 1,300 billion young people twice in pension funds. Those funds could be forced into discounts in 2017, while the returns in the last 30 years were between 6 and 7%. Discounts a few weeks before the elections: the cabinet will already be in panic about the stupid procyclical market interest rate policy of the financial review framework. All warnings about the far too interest-sensitive ftk were dismissed. I was just quoting Friedman, I'm skipping what the BIS said yesterday about the crisis, but I'm also closing with Friedman. So many years later, he was very right. So the question is, isn't it time for a new Keynes? Or is it perhaps time for someone to explain once again to Secretary of State Wiebes that with this policy returns from 2.9 to 5.5% are absolutely unfeasible? If the citizen isn't dried up by Draghi, Wiebes will stop by to make sure that the saver in the Netherlands has to interen on his ability. We believe that pensions should not be reduced in early 2017. I await with interest the Minister's reply during this presidency of the Netherlands.
