ParlaMint-NL_2016-01-14-tweedekamer-4.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-01-14-tweedekamer-4.u72	I would like to say to Mrs Van Toorenburg that I was able to follow a large part of the debate yesterday. With great pleasure I followed Mrs Van Toorenburg in the debate on the election of a new President. I think it was a nice show of democracy. I have also discovered that a number of members of the Chamber have taken advantage of the opportunity of this bill to make announcements about their own alcohol consumption. I will not do that on behalf of the government, but I found it extremely interesting. Tackling alcohol and drug use of violent victims has been an issue that has been affecting the moods for some time. Victims and survivors have for years indicated that they do not understand why there is no clear difference when there are violent crimes under the influence of alcohol or drugs. I would remind you of the Marcouch motion of 20 January 2011. I hardly dare mention the year, because that is already five years ago. The then government was invited to ensure that the use of alcohol and drugs in violent crimes leads to an increase in the penalty requirement of the prosecutor. We know from research that alcohol and drug use plays a major role in committing violent crimes. At least 31% of the total violence is under the influence of police information. In nightlife, this percentage even rises to 74. In recent years, therefore, various measures have been taken to reduce the use of alcohol and drugs with the aim of increasing safety in public and domestic life and preventing, or at least reducing, the recurrence of violence. In the hotspots for the use of resources, such as nightlife and football matches, the rates of violence under the influence are still considerably higher than I have just mentioned. Alcohol consumption in particular has long been used as an excuse for committing violence. Mrs Helder and Mr Van Oosten also pointed out this. The government believes with the Chamber that alcohol or drug use should never be an excuse for violence. The starting point is that every citizen is primarily responsible for his behaviour, even if his behaviour is influenced by the choice of means. I have heard several Members confirm this. Those who use so much alcohol or drugs that they become aggressive are, in fact, double responsible for their behaviour: firstly, for committing violence and, secondly, for using excessive resources. This bill is in line with that principle. The legislative proposal we are discussing today complements the measures already taken by the government in a number of areas in this area. It introduces a well-balanced set of instruments that can objectively determine the alcohol and drug use of the perpetrators of violence. That information is important for the Public Prosecutor to determine the penalty requirement and is relevant to the court for the level of penalties to be imposed for the crime of violence. Let me make two technical observations in advance. Some members spoke about the BOS/Polaris directive. The BOS/Polaris system has not been used since 2015. It has been replaced by the framework for criminal proceedings and prosecutions of the Public Prosecutor's Office. That framework already provides for an increase in the penalty requirement of 75% if there is a causal link to alcohol and drug use in the case of the violent crime. That is an important point in this debate, also in view of Mrs Helder's amendment and Mr van Oosten's thoughts on it. That's the designation the D.A. gave to the district attorney's office. But then we come to the next point, which Mrs Swinkels also mentioned. How does the district attorney know about the use of resources? How can the judge assess that it is objectively possible to establish that resources have actually been used? Mrs. Swinkels said judges know that because it's in the minutes. In this context, I would like to draw attention to the report on violence inside and outside, which has been written in the documents. This shows that only 10% of the verbal information on alcohol or drugs is included. If we look at this investigation, we have to find that judges and prosecutors do not know when there is excessive use of resources, because this does not need to be included in the minutes. It could end up in the minutes. It will also end up in 10% of the minutes, but it does not have to end up in it. And when it gets in the minutes, you don't know to what extent there has been a use of resources. That is why this bill is proposed. It allows objective and careful identification of the use of resources. Anyone who is subject to that investigation can no longer refuse to do so. I think that too is an important part of this bill. I am pleased that the written documents show that at least a large majority of the Chamber seems to support the content and objective of the legislative proposal. I welcome the fact that, like me, the Chamber is in favour of a more efficient and effective approach to the use of alcohol and drugs by perpetrators of violence. I am therefore confident that I can convince both the D66 Group and the SP Group to be in favour of this bill. Before I go into the individual questions, I would like to emphasise another aspect. That's the impact of this bill on people's physical integrity. On the one hand, the government is always seeking to ensure the security of society, but on the other hand, it is always weighing up the demands of our rule of law. One of the elements of our rule of law is that we believe that an infringement of physical integrity can only be done if it is proportionate and subsidiary. This bill has also been looked at very thoroughly. For example, we have not always chosen to carry out a research on resources, as proposed by Mrs Van Toorenburg of the CDA Group. In many cases, this is not necessary for non-serious offences. Moreover, the infringement of physical integrity is not proportionate to the purpose you want to achieve with it. For this reason, it has been chosen to create this possibility only in the case of offences subject to pre-trial detention in order to objectively determine the use of resources. I will come back to that in response to Mrs Van Toorenburg's amendment, but I think it is important that I make this point on behalf of the government. This is really about the balance between the violation of physical integrity on the one hand and the seriousness of the crime on the other, which harms society, the victims or the survivors. Of course, the limits to this are, and rightly so, the European Convention on Human Rights which protects human rights from physical integrity. Members also debated the deterrent effect of the bill. I think we should remain realistic about this. Certainly when it comes to the use of resources, it is always a question of whether people are sufficiently aware that they are at risk of getting a higher sentence. So the question is whether it is. We believe that this will be the case, but we also know that other factors, such as the chance of being caught, have a far greater deterrent effect on all those people who are still thinking about what they are going to do. Those are the people who make their choices objectively, but we also know that not everyone makes an objective choice, to our great regret. The government is realistic in that. So there will undoubtedly be some preventive effect of this bill, but of course it is only the question of how far that will go. I say to Mrs Helder and Mr Van Oosten in general that alcohol and drug use can never be a mitigating circumstance for violence. It is good to record this again in the Acts. We must remove this concern in the Acts, so in the legal history of this bill. I am therefore grateful to Mr Van Oosten and Mrs Helder for having explicitly asked this question. Those who commit violence under influence can, in the government's opinion, be held double responsible for their behaviour. Firstly, for the use of violence and, secondly, for the excessive use of resources, in the knowledge that their use lowers the threshold of aggression and violence, and that it often also releases the proportionality of that aggression and that violence, because people are no longer aware of the limits that should be respected. As far as the cabinet is concerned, it cannot and should not be the case that in this legislative proposal, being under the influence of resources leads to a softening of the penalty requirement. Of course it is up to the judge to make that choice in his or her wisdom. Mrs Swinkels is right to say that the judge must be able to deliver customised work. This is also a requirement of our rule of law, and our government keeps it up with enthusiasm. Of course, lawyers are free to draw different conclusions. That is precisely the game played in our rule of law. Then I come to Mrs Kooiman's question. I thought it was a nice question. She asked whether it is not strange that alcohol and drug use is a criminal offence. It'll look like the crime wouldn't be so bad. That question is justified, but I do point out that there is a double responsibility. The moment you commit a crime, that's serious. At the moment when you commit a crime while you have also made the choice to increase the risk of it by using more aggressive means, the cabinet believes that there is a double responsibility. It will then be returned to the penalty requirement as already included in the designation. Mrs Kooiman also asked about the training of police officers who are going to work with this. The police in the Netherlands have of course been used for years to work with breath analyses and breath testers in traffic checks. That won't surprise any police officer. Recognizing drug use and conducting an investigation using a saliva tester and testing the psychomotor functions are new to the police. This is also described in the documents. Therefore, together with the Trimbos Institute and the Police College, a training course is being prepared for the introduction of the saliva tester and e-learning will be introduced prior to the introduction of this law. In addition, the law is being phased in precisely for this reason. This does not mean that we will introduce this at once throughout the Netherlands as from 1 July, which is the date for which the law will hopefully have been passed by the Upper House. In the Re-implementation Note of the National Police, I indicated that this aspect requires careful implementation. So we will start in a big city and roll it out slowly, so that any childhood diseases and possible discomfort can be dealt with carefully. This also means that the financial impact will be less in the coming period. The Chamber has asked a number of questions about this. I will ask Mrs Swinkels to extend to four years the three-year period for the evaluation referred to in her amendment, assuming that she maintains her position in that amendment, since I have already made a commitment to an evaluation after four years. The reason for this is that, phased in by the law, we probably don't know enough after three years to be able to carry out a serious evaluation. Mrs Kooiman then asked whether drug use is also a drug use. A number of medicines are seen by some as medicines and are also used as medicines. But Mrs Kooiman rightly asked the question, because a number of medicines are known to lead to aggressive behaviour. But unlike violence under the influence of alcohol and drugs, drug use is often not a voluntary choice. That is the reason for the cabinet not to apply drugs in the bill. However, this does not mean that I, as Minister of Security and Justice, do not think it is very important that the patient and the prescriber are aware of the possible side effects of these medicines and that they take action against them, if necessary. Mrs Kooiman also called for attention to be paid to the Marcouch motion. I've already gone into that. At the moment, the appointment of the Public Prosecutor already provides for an increase of 75% in the penalty requirement. I say to Mrs Swinkels that it is a requirement for the Public Prosecutor to know that there is a use of resources. That is the starting point of this bill. Mrs Kooiman has asked about the preventive effect. I have already said that we must be realistic, but of course I expect that there will be some preventive action on this bill. She has seen well that the bill provides for an information campaign for the Dutch people. An information campaign should be organised in the six weeks preceding the planned entry into force of this Act on 1 July 2016. This campaign is aimed at professionals such as natural judges, prosecutors and lawyers, on the one hand, and on the other hand, at the potential of violence. The campaign for potential victims of violence will focus on specific target groups such as the night-club, football fans and public transport passengers at specific times and specific lines, but also, of course, on recurrent perpetrators of violence. The government shares the concerns expressed by Mrs Helder. In the design and implementation of the campaign, close cooperation is being established with communication staff from the police, the Public Prosecutor's Office and addiction rehabilitation. The costs are budgeted at €250,000 and are provided for. A number of Members have asked questions about the coverage of the bill. We recognize two types of costs: human costs and the so-called variable costs. The human costs relate mainly to the use of the police. They consist of the work the police have to do in order to carry out the breath tests. I have already said that this is being phased in. The amount of these costs will therefore be limited in 2016 and 2017. I have stated in the legislative proposal that this amounts to around EUR 2 million. This amount must be found within the national police budget of around 5 billion. The variable costs involved in the alcohol and drug tests and the possible blood analysis, including the NFI, amount to around €600,000. This money has been made available in addition by the Ministry, for which the budget is reserved. Police ICT will also be adapted. The digital forms will be adapted before the bill enters into force. The technical adaptation of the Basic Provision Enforcement of the Police will not be significant. It is about adding new forms on which the police officer can record that the suspect in a violent crime was under the influence of alcohol or drugs. Within the police, scenarios are developed for the BVH registration. That registration is also possible in a so-called light variant. In the longer term, it will be considered whether greater adjustments are necessary or desirable. I note that, contrary to what Mrs Kooiman seemed to say, the National Police are strongly in favour of this bill, in particular because it also helps to clarify the role of alcohol and drugs in the violence against police officers and aid workers. I think all those in the Chamber who have regular contact with the police know that this is one of the big issues with the police. Mrs Van Toorenburg started her contribution by saying that this is a good law. I thank her very much for that.
ParlaMint-NL_2016-01-14-tweedekamer-4.u73	I refer to the Minister's remark that the police are happy with this, because this test can make it clear what the role of alcohol is. I assume he read that there is no direct connection between alcohol and aggression, because alcohol has a different effect on everyone. Can I have his reaction to that?
ParlaMint-NL_2016-01-14-tweedekamer-4.u74	Of course. In the courts, it is ultimately a question of whether there is a causal link between the proven drug use and the behaviour shown. I'm not in that judgment. That's up to the judge, at the hearing of the district attorney. However, we all know that there may be a causal link. It's not like there's no causal link, as Mrs. Swinkels says. We know this is there, but it's up to the judge, in conjunction with the prosecutor's request, to draw a conclusion. There I cannot and will not enter as a minister.
ParlaMint-NL_2016-01-14-tweedekamer-4.u75	Perhaps the problem is not at all in the causal context, but in the question of whether there is use of drugs, simply as a fact. Isn't that much more important? Couldn't that be from the file? You were just talking about the police report, but you know as well as I do that it is not just about that. The report doesn't always say anything about the use of resources. It would only be 10% of the cases. There's a lot more in the file. In a lot of cases, there's also a parole report in there. I remember that, and you know it. In that report, a fixed item is whether there is a problem with the use of resources and whether a measure is needed. With that in mind, you don't need such a drug test at all.
ParlaMint-NL_2016-01-14-tweedekamer-4.u76	Mrs Swinkels says that the dossier often shows that alcohol is involved. In that case, third parties will describe the effect of this effect and show it. That's right. However, it is a fact that it only occurs in 10% of reports of violence. In the government's view, that cannot be right. We know the numbers on violent crimes. The figure is 31%. I have just mentioned 74%. In this way, more attention should be paid to alcohol and drug use in minutes. We want this to be objectively established and then the officer and the judge will do what they think is right. This will hopefully also be the wish of the D66 Group after this legal process has come to an end. Mrs Van Toorenberg asked whether in ZSM cases we could also look at previously conducted tests. Previous tests have been included in the police automation system BVH. They can also play a role in the possible ZSM performance. Mrs Van Toorenburg asked whether the bill also applies to football hooligans. Yeah, football hooligans are also equal before the law. The use of resources can be included. If they are apprehended and are perpetrators of a violent crime, they can be taken to the station. Targeted actions will take into account that this possibility is explicit. Mrs Van Toorenburg also asked whether the non-cooperating suspect was more likely to end up in prison. The answer to that is yes. Failure to comply with the special conditions shall result in the penalty, if any, being imposed on a conditional basis. The D.A.'s guidelines also have a recurring role to play. Judges are aware of the need to cooperate with the special conditions. If it appears that in a previous conviction the special conditions were not met, a further suspended sentence will not be imposed. That's how I imagine it, but that's obviously up to the judge.
ParlaMint-NL_2016-01-14-tweedekamer-4.u77	The problem is that someone at a hearing often indicates that he will not cooperate or that he has indicated this explicitly before. P.O.D.'s gonna be despondent. People are coming along who already know the whole chain isn't gonna cooperate. Can't we save the parole board this trouble? Can't we make sure someone who says he's not gonna do it sit down behind the valve?
ParlaMint-NL_2016-01-14-tweedekamer-4.u78	I need to see how this works. I understand Mrs Van Toorenburg's point of departure. I will look at how this relates to the current law and proportionality and come back to it in the second term.
ParlaMint-NL_2016-01-14-tweedekamer-4.u79	That's a lovely cliffhanger.
ParlaMint-NL_2016-01-14-tweedekamer-4.u80	I know I'm doing Mrs Van Toorenburg a favor with that. That's exactly what I'm doing for her. She has advocated a broad commitment. Can't we do things by default everywhere and always? The government considers that both the infringement of physical integrity and the seriousness of the crime should be considered. I shall come back to that when we discuss Mrs Van Toorenburg's amendment. I have already said that the results of the aforementioned investigations will be taken into account as soon as possible, as happens in a normal criminal procedure. I come to the questions that Mrs Helder has asked. She asked why there wouldn't be a clue to the state's attorney's office. I am delighted to announce to Mrs Helder that she is happy. The response to the amendments I am taking with me in a short chapter at the end. Mrs Helder also asked how I came to the conclusion that drug use affects driving skills rather than committing violence. Research shows that difference. Of course, research on alcohol in traffic has been carried out for years, also empirically, on the basis of limits. The limits that everyone knows have been set. Moreover, here too, there are individual differences. One rides better, at least, thinks to drive better with alcohol on than the other. Research also shows that there is a difference between individuals. To a limited extent, American research has been carried out on the question of alcohol levels. The literature shows a higher alcohol level than the level of promillage that already affects the ability to drive. For this reason, the limit values have been set as they have been set and are included in the AMvB. The AMvB also states that these are relatively simple to adapt if new investigations lead to a different conclusion. Mrs Helder further asked about the relationship with juvenile criminal law. Adolescent criminal law, of course, extends the possibilities of taking into account the development phase of young adults when measuring the penalty. Adolescents up to 23 years of age may be subject to juvenile sanctions. I say 'can', because Mrs Helder made it appear that they are always being imposed. Mrs Helder knows as well as I do that at the time the members of the Chamber thought it was very important that it became a possibility because there are crimes that justify an adult sanction, even if the perpetrator is young or for all kinds of other circumstances. Youth sanctions do not become shorter or longer due to the use of resources. Therefore, resource use will not lead to more or less application of juvenile criminal law, but rather to the application of conditional sanctions with special conditions. This is not contrary to the principle that juvenile criminal law is used specifically to provide more tailor-made work for young adults. Now I come to the questions put by Mrs Swinkels, including whether the power of law needed this law. Research shows that the report does not contain sufficient information, as has been said. Of course, there is also a judicial interest in having facts, including the fact that there was a use of resources and to what extent that was the case. I can only imagine that judges want to know how high this use of resources is in order to be able to deliver customised work in the form of penalties. The case may, of course, show the impression of use that has been generated by others, but it does not show that there is actual use of resources. There may also be a difference. An agent and bystanders may say that the person concerned was completely out of control, but later the facts may show that this was to a lesser extent the case. On the other hand, someone may have come across calmly, while the drug investigation shows that he or she was indeed heavily under the influence of alcohol or drugs or both. Let us not forget that this dangerous toxic cocktail of multi-use is, of course, also reflected in this drug study.
ParlaMint-NL_2016-01-14-tweedekamer-4.u81	Now I hear the Minister say that the effect, the outward appearance, may be different. Someone seems violent, seems excited or angry, while it turns out to be different after the test. The value could be much lower. As far as I am concerned, this underlines that the effects of drug use, whether alcohol or drugs, vary from one person to another. Does the Minister agree with this?
ParlaMint-NL_2016-01-14-tweedekamer-4.u82	That's what I just said. The effects of alcohol or drug use vary from one person to another. The impact is different. Some people react more violently to alcohol than to certain drugs. The combination of these is also different for everyone. Of course it is, but that doesn't mean you don't want to know. This bill is about whether we want to enable prosecutors and judges to assess, on the basis of facts, the impact of the use of resources in the event of violence. Secondly, I thought that D66 too, which supports the idea that it is appropriate to impose more severe penalties in the event of serious acts of violence committed under the influence of alcohol or drugs. In order to achieve that objective, which the Chamber considers important by a majority, we must, in the government's opinion, know on the basis of facts what is going on.
ParlaMint-NL_2016-01-14-tweedekamer-4.u83	Facts are always the best basis for any judgment; I agree with the Minister. But I also hear him clearly admit that it may well be that a measured value for everyone is different in behavior. In doing so, I immediately ask why it is necessary, through a test, to know exactly how much substance use, the THC content or whatever it is. 'Cause what does that help?
ParlaMint-NL_2016-01-14-tweedekamer-4.u84	I think that's actually very simple. Whether someone is committing a violent crime with an alcohol level of 0.5 or with a 3.5% reduction that is close to the deadly border for some people and not for others; I agree entirely with Mrs Swinkels that that makes a lot of difference for the assessment of the officer and the judge. Hopefully, together with the D66 Group, we are in favour of violence offences after alcohol and drugs being used, and we know that there can be a causal link between them; I say it all very carefully, we need to be punished more severely. For this, it is necessary for the prosecutor and the judge to be able to make the assessments they have to make in our rule of law under the law on the basis of the facts. I actually hear Mrs. Swinkels confirm that, too. I therefore hope that she will support this proposal for that reason. I come now to the question of whether the bill will be effective. Apart from what we have said about training and information, the fact that you know what is going on can only have a positive effect on this law and on what the government wants to achieve together with the Chamber. I come now to Mr Van Oosten's speech. He too didn't have a very sharp eye on the retina that the Public Prosecutor's Office has now established. I think it is important for the Chamber to know that when it votes for this bill, the necessary part "what does the Public Prosecutor do?" I'm ready to go. That is already there and can be done from day one. In the direction of Mr Van Oosten, I have already said that it is not the government's intention to do so, and I repeat it once again for the Acts that alcohol or drug use once it has been established leads to mitigating circumstances. I would also like to say that this is, of course, a matter for the Public Prosecutor in relation to the judge. Mr Van Oosten was also concerned about the financial and logistical consequences of the bill...
ParlaMint-NL_2016-01-14-tweedekamer-4.u85	Before you go any further, Mr Van Oosten has the floor.
ParlaMint-NL_2016-01-14-tweedekamer-4.u86	I fully understand that the Minister says that it is ultimately up to the prosecutor and the judge, because that is how our rule of law works. I would like to be the last to doubt that or wish to have organised otherwise. However, I would like the standard for what the majority in the country wants to do. I do not know whether I represent it in this respect, and that it reflects the standard for what the country thinks about certain matters, in the hope that the Public Prosecutor and the judges too have knowledge of it and act accordingly. That brings me to the next question. The Minister will be speaking shortly about the amendment, but would it not be helpful to see that what he now so firmly marks alcohol and drugs can never lead to a mitigating circumstance, to give a place in the law as well?
ParlaMint-NL_2016-01-14-tweedekamer-4.u87	I have also said: it can never be done, but in individual cases it certainly can, possibly. Of course, you can't judge that now. It may be that the judge and the officer together consider that, although there is a use of resources, this is not a causal link to the use of force. It's possible. There may be mitigating circumstances for other reasons. I can imagine, but I would like to come back to this in detail for that reason, and also in conjunction with each other... The interesting question will then be immediately: why is it not also laid down by law that a 200% higher penalty is required in the case of violence against aid workers? Then why isn't there a higher penalty requirement at...? Then why isn't that in the law? In this respect, I also have some reservations about the amendment for constitutional reasons and for legal reasons. I'll be right back.
ParlaMint-NL_2016-01-14-tweedekamer-4.u88	I understand that in itself, but then I am left with the question of what value we really attach to the explanation given by the expert group. It says that alcohol and drugs work more aggressively as a result of an excessive use. I think: yes, you can bear the responsibility for that. Then I can also hope that the D.A. and ultimately the judge will take that into account in the sentence and ultimately in the sentence?
ParlaMint-NL_2016-01-14-tweedekamer-4.u89	Yes, I understand. However, I would suggest that I come back to this at a later stage, because I think I could still have the debate on the amendment. I come to Mr Marcouch's contribution. He asked when the Chamber could take note of the General Measure of Management. I can inform Mr Marcouch that this General Measure will be dealt with next week in the Council of Ministers for transmission to the Council of State. The aim is to bring the whole, of course with this law, into force on 1 July of this year. Mr Marcouch's next question was how the police will do that. In a way, I have already answered that question in response to Mrs Kooiman. There will be careful, phase-wise implementation. We start in a large city, a medium-sized city and a rural region. It is then intended to consider how it is going under these specific circumstances, whether there are still any childhood diseases, whether additional training is necessary and whether procedures, other than those envisaged, may need to be further adapted. A national project leader has been appointed to the police, who is now preparing the framework conditions for implementation. These include training, communication, adaptation of ICT and analysis of the necessary commitment. Of course, it is also about the purchase of saliva esters for the determination of drug use. That is, of course, an important point. There is close cooperation in the preparation with colleagues responsible for the introduction of the legislative proposal to improve the handling of drugs in traffic. For example, we are building up together in the purchase of salival esters and the development of the training. Mr Marcouch asked why the new powers were not simply mandatory. That would be contrary to proportionality. Everyone would then be subjected to this, even where the government considers that there is insufficient reason to do so. Mr Marcouch also asked how the Minister looked at the time between committing the crime and taking the test out of the blue. That is, of course, a relevant point, and Mr Marcouch is quite right in that regard. It will be essential that you can proceed with the test as soon as possible after committing the crime. Over time, certain drugs, but certainly also alcohol, cannot be detected or detected sufficiently in the blood, let alone in the breath or saliva. Moreover, these deadlines vary by means, as Mr Marcouch knows without a doubt. We will lay down rules for this at General Measure of Governance. I come to the amendments. I need to see what the official songs are again.
ParlaMint-NL_2016-01-14-tweedekamer-4.u90	We have three amendments, namely those on Nos. 9, 10 and 11
ParlaMint-NL_2016-01-14-tweedekamer-4.u91	Yes, the pieces Nos. 9, 10 and 11. In response to Mrs Van Toorenburg's amendment, I will be very careful. Let me put it this way...
ParlaMint-NL_2016-01-14-tweedekamer-4.u92	You must always be very careful.
ParlaMint-NL_2016-01-14-tweedekamer-4.u93	I know that, Mr President, but also in this case because this is really a trade-off. Based on the victim's point of view, there is a great deal to say for Mrs Van Toorenburg's amendment, since she adds three specific offences which are not subject to pre-trial detention to the basket of offences for which it is possible to take the drug test. Again, from a social point of view, from the point of view of the victim, there is a great deal to be said for that. This means that it is an infringement of the balance that the government has chosen between the use of coercive measures and the gravity of the crime. That is where the government is hesitant about Mrs Van Toorenburg's amendment. It's a sympathetic amendment. You'll have a tour of explaining to a victim why it was not possible under the law in that particular case. At the same time, however, it means that we are taking a step that we have not taken before. A serious violation of the physical integrity of human beings shall be permitted by law in the event of a crime which is not subject to remand. The question arises as to whether that is the right order. You could consider turning it around and saying: then we should first have a debate on whether certain offences should not also be subject to pre-trial detention. Perhaps we should do some empirical research on this. Then it would be logical to include it here, because then the penalty is actually not right. In fact, Mrs Van Toorenburg says that the penalty is wrong because it is "as bad as it is." I'm just gonna put that trade-off in front of this. In the end, it is up to the Chamber to judge it, and I would like to leave that assessment of the amendment to the Chamber, but with this consideration. If the Chamber were to vote in favour of the amendment, it would in fact infringe its own balance between physical integrity, the use of a coercive measure and a serious crime of violence on which pre-trial detention is permitted. Mrs Van Toorenburg rightly says that it does not matter much to a victim. Once again, I leave the judgment to the Chamber, but I can also very well imagine that the Chamber, weighing everything up, would first like to take a good look at the effect of recording those three crimes that Mrs Van Toorenburg has put forward. I come to Mrs Helder's amendment to item No. 10, which aims at the introduction of a legal penalty increase ground. In the note, I indicated that such a legal grounds for increasing penalties would not be appropriate, because we already have the framework under which 75% penalty increases are possible if there is a causal link between the use of drugs and the crime of violence. At the same time, the law allows it to be established on the basis of facts. In the government's view, the existing legal penalty limits are sufficient to give the judge the right room for manoeuvre to involve the use of resources in the penalty measurement even without legal possibility. This will be helped by the legal history of this debate. That is what I would like to say to Mr Van Oosten. To this extent, the amendment does not add anything to the achievement of the objectives of the legislative proposal. At the same time, the amendment infringes the system we have in the law. The question arises as to why a penalty increase has not also been introduced into the law for violence against aid workers, which we have agreed to be 200%. Last year, too, it was found that this was being applied in a structural manner. What about violence taking place on and around the sports field? Shouldn't that also be included in the law? All of this calls for us to leave it the way it is now. After the evaluation has been completed, perhaps we should look into the possibility of a further step. Nevertheless, I shall leave the opinion to the Chamber, provided that Mrs Helder makes that reference to the limit values. That is essential, because it cannot be the case that these penalty limits are raised for the use of drugs or drugs below the limit values found to have a causal link with the crime of violence. That was also a bit of the suggestion that Mr Van Oosten raised. I would have liked to point out to the Chamber that this would include a penalty limit in the law on a part of the territory, whereas we do not do so in a lot of other areas. Secondly, the question is also justified as to whether the relationship between the penalty ceilings is still sound in relation to each other. Then I come to Mrs Swinkels' amendment. I have indicated in the documents that I consider an evaluation to be important. The D66 Group therefore asked for this and I made an explicit commitment. I am always happy to lay it down in a legal system, but I have already said explicitly and for good reasons 'four years' instead of the three years from Mrs Swinkels' amendment. I can make it very simple for Mrs Swinkels: if she is willing to amend her amendment in such a way that it takes three years to four years because of the phased introduction, I can leave the opinion on the amendment to the Chamber. If Mrs Swinkels continues to regard an earlier assessment as essential for her amendment, I believe that this evaluation is too rapid because of the phased introduction and I will have to advise against the unchanged amendment. I left one more question open from Mrs Van Toorenburg. I'll answer that in the second term.
ParlaMint-NL_2016-01-14-tweedekamer-4.u94	Mr van Oosten, a brief interruption.
ParlaMint-NL_2016-01-14-tweedekamer-4.u95	I waited a moment, because I was not sure if Mr Swinkels himself would ask a question. I am not normally so critical of evaluation provisions and such, but in this case I am not so fond of the considerations for this assessment. They do not call into question the usefulness and necessity of the legislative proposal.
ParlaMint-NL_2016-01-14-tweedekamer-4.u96	Mr Van Oosten is quite right. It is therefore clear that the government has no doubt whatsoever of the usefulness and necessity of the legislative proposal. This is without prejudice to our commitment to an evaluation after four years. The government can agree that the evaluation clause will include four years, but I agree with Mr Van Oosten that the considerations are not those of the government. Perhaps Mrs Swinkels himself is now thinking differently about it as a result of my speech and is prepared to change those considerations. It may therefore remove Mr Van Oosten's objections.
ParlaMint-NL_2016-01-14-tweedekamer-4.u97	To answer the question, the purpose of the amendment is to evaluate within three years. This means that after two years you will look at what happens to ensure that the results of the evaluation are there after three years. That's a big difference, isn't it? Is it true that I have just heard the Minister say at various times 'new research can in future show something else about this limit value and then we can amend the law in a moment'? I would like to draw your attention from that, and the Minister may say that he does not entirely agree on all points with the expectation that it will work out well. And that, too, would argue for an evaluation at an earlier stage.
ParlaMint-NL_2016-01-14-tweedekamer-4.u98	I'm just gonna peel it off. I hear Mrs Swinkels say very clearly that she has tabled the amendment because D66 wants an evaluation after three years. That is why, and because of Mr van Oosten's objections to the explanatory statement, I must advise against the amendment. Given the phased imports, it is not possible to carry out a serious evaluation after three years, especially if, as Mrs Swinkels says, we have to start after two years. I do not recommend the amendment, because I understand that Mrs Swinkels is not prepared to amend her amendment. Mrs Swinkels has said that in the future there will probably be research which might show some further evidence. That will certainly be the case, but she then suddenly draws the conclusion that I would not believe in the usefulness and necessity of the bill. That conclusion cannot be drawn. This is a good case of the lack of a causal link between my comment and the conclusion that Mrs Swinkels makes. I expect more research to be available. That is why I have chosen an AMvB, because I expect that we will perhaps want to amend it in good consultation with the Chamber. This could be about the limit value, for example. We can adjust it up or down later, but on the basis of empirical evidence.
ParlaMint-NL_2016-01-14-tweedekamer-4.u99	Clear. Thank you.
ParlaMint-NL_2016-01-14-tweedekamer-4.u100	The conclusion that you wouldn't believe in your own bill is on you, because that wasn't the point. The point is that this proves once again that it is necessary to carry out an evaluation within three years, taking into account all the uncertainties and the critical attitude of D66 towards the legislative proposal.
ParlaMint-NL_2016-01-14-tweedekamer-4.u101	Thank you. We have thus come to the end of the first-term answer and we are going to have a second-term answer.
