ParlaMint-NL_2016-02-18-tweedekamer-23.u1	I see Mr Omtzigt standing at the interrupting microphone.
ParlaMint-NL_2016-02-18-tweedekamer-23.u113	Mr Merkies asked why there is no state aid here. Indeed, there is State resources and an advantage for companies, but there is neither selectivity nor potential distortion of competition, since it is a specific sector with specific requirements and circumstances.... or an effect on trade within the internal market. And these are the requirements of state aid in Europe in the Treaty. As far as selectivity is concerned, the measure does not differentiate between undertakings in a comparable legal and factual situation. The measure is open to all banks and insurers, all of which are subject to specific supervisory regimes. Banks, on the one hand, and insurers, on the other hand, have specific supervisory regimes with mandatory capital buffers that other companies do not have. Mr Van Dijk pointed out that other companies, because the market forces them or for other reasons, had more equity. It could be. However, the peculiarity is that this is not enforced by the market in the financial sector, which we have seen in the past. Given the risks involved, the government has imposed the obligation: you will have this capital. And that you will have in these layers, with these percentages and thus built up with so many weighted and unweighted risks. This is prescribed in a very specific and compelling way. It really is a very different regime from any other sector. Then I come to trade and the internal market. To the best of my knowledge, almost all Member States have done so in Ireland alone, it seems that the remuneration on Additional Tier 1 capital as an instrument, i.e. additional core capital, is deductible from the tax result for banks in any case. In some countries this is broader, but in some countries it is specific and exclusive to the financial sector. If the Commission considers that there is selectivity, I believe that selectivity is justified by the nature and structure of the system in the financial sector. This reasoning is also in line with a previous Commission decision on Denmark. The measure makes it easier to meet the solvency requirements of financial institutions and is in line with the increasing demands of financial institutions. In that case, the Commission acknowledged that it might be necessary to adopt tax measures which meet the serious requirements of this sector. It is relevant to know how the Commission has assessed similar cases. Mr Omtzigt asked about the state of the investigation. Has a formal investigation started? So far, only questions have been asked. These are the first steps on the road to a possible investigation that we do not know yet. A further step could also be to ask additional questions. However, we do not have it yet. We have to wait and see, and I cannot predict when that will become clearer. That is really up to the Commission. I think those were the most important questions about the relationship with the Commission. It is now really up to the Commission to develop an opinion on this. Moreover, the Commission's questions have been answered and I have sent my answers to the Commission to your Chamber to ensure that Members have and can read all the information on them. Then I come to the question of why the deduction for banks and insurers was not submitted to the Commission for formal approval at the time, in relation to the state aid aspects. The rule is: if there is no state aid, you do not have to submit it. And in my opinion, there was no state aid. If you do believe that it is state aid, you have to submit it, because sometimes state aid is allowed. So when it comes to the question of whether State aid would be allowed, please refer it to the Commission. That's the login obligation. However, this is not an aid measure and it is not State aid. Then that obligation doesn't apply either. On this subject, I am at your service, Mr. Chairman.
ParlaMint-NL_2016-02-18-tweedekamer-23.u114	The reasoning is that if there is no state aid, you do not have to submit it. If you are sure that there is state aid, you do not have to submit the whole law at all. So it's not about whether you think in the end, if you've adjusted and weighed everything, that it might be state aid. No, it's about whether there's been any doubt in the process. It concerns the risk of State aid. I've already mentioned the one sentence that hasn't been lacquered. Everything else is lacquered, so we don't know what else would come out of that. It states that there is a high State aid risk. Then the Minister cannot say nothing about this to the European Commission.
ParlaMint-NL_2016-02-18-tweedekamer-23.u115	We have discussed it with the Commission, which has made critical comments, but has not delivered an opinion. There has been discussion within the department. The same can be said of those documents. By the way, Mr Merkies now says that only one sentence has not been painted. There is a whole stack of internal notes and e-mails that were all addressed to me and my views and reactions can be read in it. Well, Mr Merkies knows that too. I'm just gonna say it for the folks at home. It is clear from this that there has indeed been a lot of internal discussion about state aid and State aid risks, with different views. It is also my opinion, on the basis of the information we have in other cases, because there is, of course, a great deal of case-law that it is permissible for this sector, which is subject to such specific requirements, to have a single regime.
ParlaMint-NL_2016-02-18-tweedekamer-23.u116	Finally, Mr Merkies.
ParlaMint-NL_2016-02-18-tweedekamer-23.u117	If the minister pretends to have everything in those pieces, I'll see where the camera is. The pages are just empty. I said here this afternoon that the only thing Mr van der Steur has learned is that no black ink is being used, but it is white. It saves ink. For the rest we don't read anything in it, except closing sentences like "happy weekend" and "sleep well." This means that we do not know anything about the decision-making process. What amazes me is that there has been one informal consultation in which the European Commission has made it clear that it thinks it is state aid.
ParlaMint-NL_2016-02-18-tweedekamer-23.u118	No, she didn't say that.
ParlaMint-NL_2016-02-18-tweedekamer-23.u119	Well, she's made some critical comments. Then we'll know very well. Then the Minister will never again be in touch with the European Commission. That surprises me very much.
ParlaMint-NL_2016-02-18-tweedekamer-23.u120	We really have to try to stick to the facts, otherwise it just can't be done. The facts are that there have been two WOB requests. The first was from the NRC and that has been answered extremely generously, with a large stack of pieces. These are all pieces addressed to me, in which you can read my reactions and views. That's all fine. The second set of songs that Mr Merkies is now waving is from Argos. Argos has asked to see all internal mail changes, including those between employees, which are related to this subject. I'll just draw a line there. Then officials in the ministry can no longer simply email each other, because it can all come out. What purpose does it serve? The first stack, which NRC has been obsessed with, clearly shows which advice has gone to me, what I have found of it and what I have judged. It's my political responsibility. My political opinion is that Mr Merkies cannot agree with it, and it is good that it is legitimate for this sector, with its special regime and its demands, to grant separate tax treatment.
ParlaMint-NL_2016-02-18-tweedekamer-23.u121	Your second interruption, Mr Merkies.
ParlaMint-NL_2016-02-18-tweedekamer-23.u122	This is not an answer to my question, I wanted to say.
ParlaMint-NL_2016-02-18-tweedekamer-23.u123	Then I've missed a question. My apologies.
ParlaMint-NL_2016-02-18-tweedekamer-23.u124	It was about the European Commission, that the Minister had no further contact with the European Commission after he had informal consultations.
ParlaMint-NL_2016-02-18-tweedekamer-23.u125	Mr Merkies concluded that the initial consultations would have made it clear that the Commission considers that there is State aid. So it's not. That's for him to conclude. The Commission has made critical comments. Next, it is up to me as the Minister responsible to judge whether I consider this to be state aid or not. If the Commission feels otherwise, we will hear it. I have answered all the Commission's questions as fully as possible. It is not state aid and I am not obliged to report it to the Commission.
ParlaMint-NL_2016-02-18-tweedekamer-23.u126	The memorandum of 5 September 2013 contains notes from the Minister which have not been largely whitewashed. This clearly raises the question to the Minister as to whether there is a State aid risk. This is a note from the Minister and the Secretary of State at the time. We will then receive a letter signed by Secretary of State Weekers on 16 December 2013, in which no mention is made of any consideration of whether or not to investigate or register. That is what we read in a June 2014 note: we understand that, at the request of the banks, the Minister has agreed to delete the explicit reference in the legal text to credit institutions; this does not reduce the risk of State aid from a legal point of view. Further on, we read: however, we do not see any possibility of eliminating State aid risk in the explanatory memorandum.
ParlaMint-NL_2016-02-18-tweedekamer-23.u127	And your question is?
ParlaMint-NL_2016-02-18-tweedekamer-23.u128	My question is this. If this is so obvious and if the Minister has very clear views on it, why does he not report it to the Chamber? He did not do so in the letter, not in the legislative proposal, nor in the response to questions put by the Chamber. Those were not our questions, by the way, but those of other groups.
ParlaMint-NL_2016-02-18-tweedekamer-23.u129	First of all, the following. The letter from Secretary of State Weekers to which Mr Grashoff refers is a response to a motion by GroenLinks. That motion called for the facilitation of equity capital. Very understandable, because from that perspective, debt and own funds should not be treated more equally. One of the things the Secretary of State says in that letter, almost as a concession to GroenLinks, is the fact that the hybrid instruments will remain deductible, as has always been the case in the past. That was just a reaction to that motion.
ParlaMint-NL_2016-02-18-tweedekamer-23.u130	That's bullshit.
ParlaMint-NL_2016-02-18-tweedekamer-23.u131	That's bullshit? I've been reading the pieces. I read the motion. I have even read about the debate, in which the Green Left spokesperson, Mr Klaver, spoke. He has put that theme on the agenda and Secretary of State Weekers has responded to it. In October there was a report that we were going to take care of this. The issue of State aid has been discussed internally. The question was whether or not State aid was involved. The fact that the risk was present gave rise to the debate. In order to assess whether State aid is involved or not, we have looked at how other countries are doing. We have also looked at the Commission's earlier judgement. I have mentioned the example of Denmark in this regard. We have looked at the specific characteristics of this sector and the demands made by the public authorities. My conclusion is that there is no state aid. If Mr Grashoff does not agree with that, then so be it, but this is my view. The Commission has now asked questions about it, and we await it further.
ParlaMint-NL_2016-02-18-tweedekamer-23.u132	There is a strong debate on whether or not State aid is involved. The Minister has a very clear view on this and puts his mark on it. If the Minister does not inform the Chamber in any way that this discussion is taking place, that he has a view on it and that he has made a decision, then I think that the obligation to provide information is not fulfilled.
ParlaMint-NL_2016-02-18-tweedekamer-23.u133	That's an idea. Mr Grashoff should know that in the departmental preparation of legislation there are a lot of considerations and a lot of discussions. The minister sits there as a political boss and finally says: that's how we're going to do it. Then you send a proposal with a justification to the Chamber and then the Chamber asks questions about it. I shall now come to the question of how the legislative process could have been improved, but this is how it is going. If Mr Grashoff tells me that in future I will have to report any internal discussion to the Chamber...
ParlaMint-NL_2016-02-18-tweedekamer-23.u134	Not every discussion needs to be reported, but it is the following. If there is a presumption of State aid, it will be submitted to the Commission. There's a special procedure for that, a pre-registration. Then you get green or red light. The coco's constitute State aid, but the Minister considers that State aid is permissible. Perhaps this is sustainable, given that this is a special sector, with special requirements for banks to be a special sector, we all know since 2008............................................................................................................................................................................................. However, had the Minister not done better in view of what was known on 30 April and also in view of the intensity of the internal discussion, where several people said that the risk of state aid is very high, to follow the pre-notification procedure rather than having it come to a later procedure?
ParlaMint-NL_2016-02-18-tweedekamer-23.u135	No. Firstly, the Commission often raises questions about Member States' policies. People ask: what are you actually doing? This is called for in order to assess the existence of State aid. The Commission does not yet have an opinion on this. Secondly, in order to decide whether to notify state aid in advance, you must, of course, assess whether there is State aid. In some cases, State aid is still permitted within the State aid framework known to the Commission. That could happen. However, my judgment was not: there is state aid and it is permissible. No, my opinion is here: there is no state aid. I would like to explain this because Mr Omtzigt has just reworded it. If the Commission were to say that there is selectivity, I would say that there is also reason for selectivity. However, in my opinion, there is no selectivity here, since the measure does not differentiate between undertakings in a similar situation, both legally and factually.
ParlaMint-NL_2016-02-18-tweedekamer-23.u136	I thought I had just understood from the discourse that there is selectivity, but that it is a justified selectivity. After all, the Minister has just argued with some conviction that banks are different from other companies. That's right. However, if you followed that reasoning, you should have reported it.
ParlaMint-NL_2016-02-18-tweedekamer-23.u137	That's right, but my reasoning is different. I say this again for the sake of clarity; I have just said so. My assessment of selectivity is that there is no selectivity because the measure does not differentiate between undertakings in a comparable position. The companies in the same position, the banks, are all treated the same. The same applies to insurers. Other companies are really in a completely different situation and are on a different legal playing field.
ParlaMint-NL_2016-02-18-tweedekamer-23.u138	I await with interest the judgment.
ParlaMint-NL_2016-02-18-tweedekamer-23.u139	Me too.
ParlaMint-NL_2016-02-18-tweedekamer-23.u140	However, I would like to know what warnings there were. So I am not asking for the memo to be published, but I am asking what the warnings were, or what the message from the European Commission was on 30 April. I would also like to know whether there was any way in which it could have been inferred that there was a not negligible risk that it could have been classified as State aid. What further steps has the government taken to remove the risk in the final article submitted to the Chamber in that second letter of amendment to the Collecting Act?
ParlaMint-NL_2016-02-18-tweedekamer-23.u141	There wasn't a ready-made piece of legislation at the time. It is not the case that we went to Brussels with the article of the law. We have the opportunity to talk informally with Commission officials about a plan. That's what happened. There have been critical comments on this. We listened to them and took them with us. After that, the bill was made. I told you, we also looked at what happened in other countries. The Netherlands is not unique in making that assessment, because all countries have had to make that assessment again. It was a redefined instrument. We did know hybrid instruments, but not with these demands. Other countries have done the same. The Netherlands is therefore not the only country that has chosen this route. I say again that, given the knowledge we have of the way state aid works, the criteria laid down in the Treaty, its application and previous case law, it is our view that this is not state aid. If I had considered that it was state aid, we should have notified it. The Commission could then have said whether it was authorised as State aid. You could have.
ParlaMint-NL_2016-02-18-tweedekamer-23.u142	Mr Omtzigt interrupts for the second time.
ParlaMint-NL_2016-02-18-tweedekamer-23.u143	Have all the points of 30 April, which the Commission considers might lead to state aid, been repaired in the final article of the law submitted to the Chamber, or have there been any points left after 30 April which the Commission has warned about, but which have still been incorporated into the final legislative text? I ask this question for the following reason. If there are points left and this ultimately turns out to be state aid, this could lead to recoveries of many hundreds of millions over a number of years. So all those points of April 30th are addressed, aren't they?
ParlaMint-NL_2016-02-18-tweedekamer-23.u144	There are no concrete points. I'm not gonna say any more about that either. Mr Omtzigt wants to know what changed in that conversation and what happened to it. I can't say. He's gotta believe mine. Well, he shouldn't, but I ask him to believe me at this point. These are informal contacts with the Commission in which you probe "We intend to do so and how do you view this?' Then they say, "Watch out, watch out, think about this, and remember that." The Commission also keeps saying 'We are not bound by this, this is not our formal position, we do not know your proposals, so you cannot derive anything from it'. If I make that public, the Commission will not commit itself to it. The Commission must be able to keep its hands open in order to give its opinion freely if any further questions arise. If I now announce what was said in that conversation, what points have been discussed and what we have done with it, the Commission will no longer engage in this kind of informal conversation with the Netherlands in advance. That's the position we're in. We often have a debate with Mr Omtzigt on how the Netherlands is interacting with the Commission. Can the Room see them all? It is in our interest to have informal and early contacts with Brussels. So I'll protect those contacts.
ParlaMint-NL_2016-02-18-tweedekamer-23.u145	During the process of making the letter of amendment, has there been any doubt as to whether there was State aid?
ParlaMint-NL_2016-02-18-tweedekamer-23.u146	Mr Merkies has read the documents. There was a lot of discussion about whether or not it was state aid. It is a separate regime, which in practice mainly benefits banks and insurers. By the way, that's not covered up. The four pages explaining that article in the letter of amendment concern the financial sector, the specific situation and requirements of that sector, the supervisory framework and so on. There is nothing concealing about that, it is perfectly clear. We didn't try to hide anything, nor did we try to help the banks. That is very explicit in the explanatory statement, page after page about the banks.
ParlaMint-NL_2016-02-18-tweedekamer-23.u147	Finally, Mr Merkies.
ParlaMint-NL_2016-02-18-tweedekamer-23.u148	They play all the time and you see there's panic in the tent. There is constant thought of other ways in which one can say it. Should banks be mentioned or not, are they identical products and similar products? The one would have more impact on the risk of State aid or not. So we have thought about the way in which we should write that there is no state aid involved.
ParlaMint-NL_2016-02-18-tweedekamer-23.u149	Of course, you have to justify that it does not meet the four criteria that define state aid. This is also apparent from the answers we have sent to the Commission. It's not selective, et cetera. That must also be demonstrated by the motivation of such a text. It is our justification why we are doing this, why we are allowing this and why this should be done especially for banks. You can read that in the explanatory statement.
ParlaMint-NL_2016-02-18-tweedekamer-23.u150	Please continue.
ParlaMint-NL_2016-02-18-tweedekamer-23.u151	We've got nothing to say about it.
ParlaMint-NL_2016-02-18-tweedekamer-23.u152	The Minister now prevents all Member States in Europe from doing so and facilitating the same. I wonder if the Minister can't zoom in on the differences. In some Member States, insurers are not involved; in some, coco products may be generally deductible, not only for banks but also for companies. The Minister mentioned between the lines that Ireland has made a different arrangement. In reply to questions, he says that Sweden is not yet out of the question, and I also read in the documents that there is still a discussion going on in Austria. Is the law now applied to all Member States, or are there any differences?
ParlaMint-NL_2016-02-18-tweedekamer-23.u153	No, there are differences and it's not ironed straight. If it were to be ironed out, Mr Van Dijk would be the first to protest. He is opposed to agreements being reached in Europe on tax policy. Each member has its own competence and that is different in each country, but in almost all countries the cost of these instruments is deductible. For some members this is only the financial sector, only for banks, others have done so for all companies. Some argue that it is for all companies, but only under those conditions and those and those conditions, which ultimately only benefits the financial sector. It's all different.
ParlaMint-NL_2016-02-18-tweedekamer-23.u154	However, this question is relevant to the principle of selectivity. The Minister says: no, it is justified that only banks and insurers should be allowed to use this instrument, this deductibility. But if there are countries where it applies to the whole sector, including businesses, the Commission can of course say: here there is selectivity, the Netherlands; you have to apply it to everyone. Then this minister can expect a post-tax of hundreds of millions from the business community.
ParlaMint-NL_2016-02-18-tweedekamer-23.u155	We need to go back to the question of what this state aid regime is really for. What are these competition rules for? To promote fair competition. We do that primarily in the jurisdiction that applies here. For the tax area this is the Netherlands. In the Netherlands, the financial institution is treated equally, i.e. financial institutions competing with each other. Then you will say: yes, but they are also competing with European banks. To a large extent we now have a Single Rulebook, as it is called, but not yet in the tax field. Banking tax regimes are still very different in all Member States, including in the Member States of the Banking Union. If you say to me 'do something about it, develop a European tax policy', I think that is an interesting idea. I hear you're not gonna say that. Then you must also accept that tax policy is different. The Commission will also have to accept this, which it cannot tell the Member States. The resolution levy is deductible in some countries and not in others. Tax rates are higher in one country than in the other. Is that state aid? No.
ParlaMint-NL_2016-02-18-tweedekamer-23.u156	Mr. Chairman.
ParlaMint-NL_2016-02-18-tweedekamer-23.u157	No, Mr Koolmees has the floor.
ParlaMint-NL_2016-02-18-tweedekamer-23.u158	I understand the arguments about selectivity. Banks in the Netherlands are all treated in the same way, so no discrimination, not even between banks in Europe. They're all approached in the same way. The discussion is about companies in the Netherlands that are not banks, hence the discussion about credit institutions, I think. We have also received all kinds of correspondence about credit institutions from these WOB requests. Take Wehkamp, who sells on credit. Is the Minister's reasoning that such a credit institution is not covered by CRD IV legislation and so on and that you can therefore make a distinction? Is that also the reasoning followed by the Council of State in the opinion on insurers?
ParlaMint-NL_2016-02-18-tweedekamer-23.u159	Yeah, I'm saying it out of my head. This is an interesting point. It is not a banking law, it is an article as you know, because it has been accelerated by a letter of amendment, it has not passed the Council of State. In retrospect, that wasn't good. We have dealt with the same thing for insurers; a point that is right. That was in the tax plan that followed later. That went neatly past the Council of State. The Council of State has seen this and made no critical comment about it, not about state aid or other aspects. That is not an answer to the question, but this is relevant information. The Chamber is right, by the way, this kind of thing just has to go through the Council of State. However, the insurance sector, for which we regulate the same thing, has passed through the Council of State and the Council of State has not said: wait a minute, this looks like state aid. Or: how about this, how about that? The Council of State has said: fine, this is actually a continuation of existing policies. I believe that is not even said, but perhaps that was the argument for not finding anything critical of it. That is an important point. In the section of the Tax Plan on insurers, the link has been explicitly established with the supervisory framework and the requirements framework, Solvency II, for insurers. Credit institutions subject to the capital requirements of Basel III and CRD IV may use this.
ParlaMint-NL_2016-02-18-tweedekamer-23.u160	Now I'm a little confused. Banks covered by CRD IV and Basel III can use this in the law. I would like to take a look at the risk that the European Commission will decide that it is indeed state aid. The most similar company is then a Wehkamp, a company that sells things on credit. Since these companies are not covered by the CRD IV and Basel III requirements, you can make a distinction. That is the Minister's reasoning.
ParlaMint-NL_2016-02-18-tweedekamer-23.u161	That's the reasoning.
ParlaMint-NL_2016-02-18-tweedekamer-23.u162	Please continue. I'm asking you to go round up.
ParlaMint-NL_2016-02-18-tweedekamer-23.u163	That's what I'm gonna do. I do have one important issue, namely the working method and the lobby. I also have a single point about structural budgetary costs or costs. revenue. Why has it always been mentioned, including in the parliamentary documents, that it costs nothing? I'm just gonna say it quick and fast. That is because it was already deductible and because it also remains deductible and so you do not have to include a budgetary estimate for that. In fact, if we had abolished deductibility, it would have counted. Then the 350 million would have been counted as an increase in the burden on business. That is the system we know, and that is why it has always been said: we do not need to close the burden framework again in another place.
ParlaMint-NL_2016-02-18-tweedekamer-23.u164	I see Mr Merkies at the interrupting microphone, but I suggest that the Minister finish his story first.
ParlaMint-NL_2016-02-18-tweedekamer-23.u165	The whole process is, after all, unhappy. We should've figured it out sooner. Then it could simply have been included in the Tax Collection Act and had passed the Council of State et cetera. We made the decision late and then, because in fact the new rules had already entered into force on 1 January 2014, we chose the fast route, and that is by letter of amendment. It wasn't a banking law, as the NRC consistently writes. It was one article and that one article with four pages of explanation was sent to the Chamber in a letter of amendment. The lesson we learn from that is that we should not do that anymore. We must ensure that we make our decisions in good time and that we include them in a regular legislative process. In that case, the Council of State could have looked into it. The insurers looked at it and they didn't like it, but that's beside the point. Mr Omtzigt has asked: how will we guarantee that the Council of State will not be passed? I am making a political commitment here that this will only happen in very exceptional cases, for example if the Chamber wants to have a letter of amendment very quickly. In that case, the Chamber indicates that, but we must ensure that we allow legislation to pass through the Council of State as much as possible in the regular procedure. If we do not come up with a letter of amendment and pass through the Council of State, the Chamber can of course simply say: we do not want to deal with that letter of amendment, because you are going to the Council of State. So let's keep each other focused on that point. In short, I still support the content and the need for the decision. I await the assessment of state aid, but you know my opinion. The process has not been sufficiently careful and should be improved next time. Finally, I come to the lobby. I don't have anything against the lobby. And yes, stakeholders can watch in the preparation of legislation. If it had been an ordinary legislative process, parties would probably have been able to react to it via the Internet consulation. As the Chamber knows, the internet consultation means that your response will in principle become public, unless you tick yourself that you do not want to. My experience with the NVB and the banks is that they never check if they respond to an internet consultation. So you and I can always see on the Internet what the banking lobby thinks of a particular subject. Because this has gone into an accelerated procedure, there has been no internet consultation. There has been contact with the banks about how to fly this. I have not realised that either, but some of the texts have just been taken over from the banks. But, of course, I have seen and read the proposal. The same applies to Secretary of State Wiebes, because it is tax legislation. We then signed it. The political responsibility for every sentence that has been taken over from anyone lies with us. However, we need to do this even better in the future. In principle, therefore, everything goes into internet consultation, as was already the case with legislation on the financial market. We are also going to do this in principle in the case of tax legislation, but I say immediately that this is not always possible. Take the Tax Plan around Princess Day. We often simply have the procedure for decisions to be taken in August and for it to be sent to the Chamber soon. We don't have time to do an internet consultation. The time schedule for the big Tax Plan with Princess Day is extremely tight. I do not therefore see the possibility of internet consultation, but in all other legislation that should really be the starting point. As far as I'm concerned, that should also be public. The banking lobby, to name it, is working to make it public. This also avoids the problem of only talking to certain stakeholders. Anyone can leave a message at internet consultation. I have said internally: if we think that a consumer interest is at stake, for example, and consumer organisations have not yet responded, we are aware of this and we will look into what these organisations think about it. So we have to be alert ourselves to the fact that we are picking up the reactions in width. We will include a lobby section in legislation from now on. That was a request from Mr Nijboer. Mr Merkies also argued for this earlier, as did the De Wit Committee. So we are going to include the lobby section in future, although we will not call it that. However, we will report on the internet consultation, in which we indicate what input there has been and so on. Where possible and where appropriate, we will always include in the explanatory statement the considerations made regarding a legislative proposal, balancing interests.
ParlaMint-NL_2016-02-18-tweedekamer-23.u166	Are you going to finish?
ParlaMint-NL_2016-02-18-tweedekamer-23.u167	Sure. Mr Nijboer has asked if I am prepared to make my agenda public. I'll explain why that's important. I talk a lot to financial institutions, all of which have big interests. It concerns insurers, banks and investors. The worst U.S. hedge funds come to me. I'll tell the Chamber all about it, and even those very wrong business bankers are all coming to see me.
ParlaMint-NL_2016-02-18-tweedekamer-23.u168	Exciting!
ParlaMint-NL_2016-02-18-tweedekamer-23.u169	What about PvdAers?
ParlaMint-NL_2016-02-18-tweedekamer-23.u170	PvdA guys are never wrong and they come to see me too. Having said that, I understand that this is interesting and relevant. I want to be transparent about that. That is why I have been making my agenda public in detail since the beginning of this year. The Chamber can see every day with which interesting thugs I speak. There are also many good and good citizens with whom I am speaking. This can just be seen on the Finance web page. I also know that the Volkskrant is very interested in this, as is the lobby in The Hague. I don't have a problem with that; you can see who I'm talking to.
ParlaMint-NL_2016-02-18-tweedekamer-23.u171	As long as no questions have been left that have not been answered, we shall now move on to the second term. I see Mr Merkies at the interrupting microphone.
ParlaMint-NL_2016-02-18-tweedekamer-23.u172	I have already said a lot about the lobby, but I am going back to that figure of 350 million. The Minister went through that point very quickly. He combines two things in a very crazy way: firstly, what comes from European regulation and secondly, what is in this law. There's 350 million going to the banks. How did the Minister get to the 350 million? We didn't miss this amount already, but the Minister seemed to be making that suggestion.
ParlaMint-NL_2016-02-18-tweedekamer-23.u173	A brief response, Minister.
ParlaMint-NL_2016-02-18-tweedekamer-23.u174	I might be able to come back to it in the second term. We're making an assessment of what the tax loss is. If a measure already exists, then we have no reason to believe that it will suddenly become a huge bleacher. In this way, we assume that this is, in principle, unchanged policy. Hybrid instruments were already deductible. We have reconfirmed that and explicitly regulated it in this article of law. It's gonna stay that way. Then you do not have to include a budgetary estimate in the tax framework and make that framework final by increasing charges elsewhere. That is the system that Mr Merkies also knows.
ParlaMint-NL_2016-02-18-tweedekamer-23.u175	Let us not forget that a few years ago the law said that products comparable to own funds should not be deducted. Yeah, that was taken out. Of course, we are still talking about small quantities of these hybrid instruments. The Minister looks to the future. Then it's big quantities. Then it's 350 million. That's the money we're gonna miss.
ParlaMint-NL_2016-02-18-tweedekamer-23.u176	This is going to be a repeat of moves.
ParlaMint-NL_2016-02-18-tweedekamer-23.u177	No, we're not gonna do that.
ParlaMint-NL_2016-02-18-tweedekamer-23.u178	The rules are that, if instruments were already deductible and they remain...
ParlaMint-NL_2016-02-18-tweedekamer-23.u179	Thank you.
ParlaMint-NL_2016-02-18-tweedekamer-23.u180	...we don't have to compensate for any additional losses elsewhere. I have not answered another question from Mr Omtzigt. He said a commitment was made by Minister Van der Steur. He asked when that note would come about the relationship between the WED and Article 68 of the Constitution. All I know is that note isn't ready yet. I can check when it's coming. Then I'm supposed to call V and J in a manner of speaking. That commitment stands.
ParlaMint-NL_2016-02-18-tweedekamer-23.u181	That is a commitment that is important not only for this debate, but for the whole Chamber, I say as President.
ParlaMint-NL_2016-02-18-tweedekamer-23.u182	Yeah, that's why. I understand that the Minister wants to understand himself with the Minister of Security and Justice and that he does not do so at 11:30 a.m. Could the Minister endeavour to send that note to the Chamber by April or to have a note sent by the Minister of Security and Justice when we can expect that note? Then, at another time, we can enter into a quiet debate on the relationship between these two articles.
ParlaMint-NL_2016-02-18-tweedekamer-23.u183	I'll make sure there's a note from the minister of V and J about when the letter comes. Hopefully that will be possible by April at the latest.
ParlaMint-NL_2016-02-18-tweedekamer-23.u184	Let's move on to the second term. I give the floor to Mr Grashoff.
ParlaMint-NL_2016-02-18-tweedekamer-23.u185	Could I have a few minutes of suspension?
ParlaMint-NL_2016-02-18-tweedekamer-23.u186	Two minutes?
ParlaMint-NL_2016-02-18-tweedekamer-23.u187	Three.
ParlaMint-NL_2016-02-18-tweedekamer-23.u188	Come on. Then I'll suspend for three minutes.
ParlaMint-NL_2016-02-18-tweedekamer-23.u189	Speaking time during this second term shall be one and a half minutes per Member, including motions for resolutions.
ParlaMint-NL_2016-02-18-tweedekamer-23.u190	Mr. Chairman. From the Minister's reaction to this debate, we can conclude that things did not go exactly as they should have. I welcome the Minister's commitment to make it more transparent, to consult on the Internet and to be aware of the trade and walking agenda. I am particularly pleased that the Minister said that this should have gone to the Council of State and that it should have been more transparent. The question of state aid is not dealt with by the Minister. The Minister continues to choose the position that he cannot share everything with all those trips and considerations. All the information we have received shows that this was a major issue, perhaps and perhaps will be. In such cases, the Minister should inform us. I call on the Minister to make a move on this point. At the moment, I choose not to make a motion on this. I am sure that we will have the necessary discussions in which elements of transparency will play a role, such as Starbucks and Ikea. So we'll still have a few things to discuss. I hope that the promises made by the Minister on transparency will become a reality in all these matters.
ParlaMint-NL_2016-02-18-tweedekamer-23.u191	Mr. Chairman. A lot's come out. Not because, as he suggests, the Minister has sent us generous information, but above all because of a number of journalists who have done their job well and have submitted WOB requests. That's really different. This has shown that a great deal of information about the whole process has not been shared with us. I think that is all the worse because I see a pattern in this, namely that the Minister does not seem to learn from the past. With the rewards within ABN AMRO he would have slapped his fist on the table, but later it turned out that that was not so bad and that he had agreed to it. There was the surprise about the EU's post-taxation. The Minister really needs to learn from the past and see how he can better inform us. Now it was 350 million going to the banks. Finally, a word about the lobby. The minister says he wants to take over that lobby section. I think that is a good point and I suggested it. I just hope that all influence on a law will be taken into account. If there is only an internet consultation and banks outside can do anything, there is of course no point. It must therefore be all the lobby around a law, including the letters of amendment.
ParlaMint-NL_2016-02-18-tweedekamer-23.u192	Mr. Chairman. I listened to a clear mea culpa from the minister. Let's just call it by the name. The Minister also admitted that the legislative process does not deserve a beauty prize. Doing something so great and important in a tax collecting law without consulting the Council of State does indeed not deserve a beauty prize. Anyway, it happened; so be it. I told you, I, too, got it wrong by thinking it was budget-neutral. This is part of a tax collection law; these are more technical changes, which have few budgetary implications. I also understand the Minister's explanation, but in the end it costs 350 million and it is again a concession to the banks. As I said in my first term, I wonder why banks should receive this concession and not normal companies. We do not have to feel sorry for the banks. I heard today that Rabobank is making 2.2 billion profits at this time, with a 20% increase in profits. I wonder how much of that 2.2 billion goes to equity and how much to dividend. Maybe the Minister can answer that. Then there's the tax loss. The Minister's talking about 350 million. It relies on hybrid instruments used for the entry into force of CRD IV. But after this bill, 6 billion has already been spent on coco's.
ParlaMint-NL_2016-02-18-tweedekamer-23.u193	Are you going to finish?
ParlaMint-NL_2016-02-18-tweedekamer-23.u194	If I understand correctly, that means 100 million on top of the 350 million extra tax losses. Am I wrong or are we gonna see the 350 million being 700 million? I'd be happy to be informed.
