ParlaMint-ES-PV_2015-05-29.u0	Good morning, everyone. We'll start the whole meeting. First point in theme list: "The question is, "The question is, that the members of the staff of the U.S.A.R.R.A.R.R.R.R.A.R.R.R.R.A.R.R.A.R.R.R.A.R.R.A.R.R.A.R.R.R.A.R.R.A.A.R.R.R.A.A.R.R.A.S.A.S.A.S.S.S.A.A.S.S.A.A.S.A. Too much of a lady, it's your word.
ParlaMint-ES-PV_2015-05-29.u76	Thank you, Mr. President. Mr. Maneiro, your word is yours.
ParlaMint-ES-PV_2015-05-29.u77	Yes, thank you, lehendakari. I'm not going to spread out. I just want to tell you two things. On the one hand, I want to ask you not to do this again. That this does not happen again, because the victims of terrorism are very sensitized, they are very affected by the different actions of this Government. Therefore, do everything possible to ensure that this type of "computer errors" do not occur again. And, please, Mr. lehendakari, be more clear about your pronouncement on the work done by the Civil Guard during all these years. Let me be more clear, because this Parliament has not been, and its political group has not been, for at least the last six years. Therefore, be more clear, say that the Civil Guard deserves all its recognition, and that the work it has done for decades against ETA is an absolutely extraordinary work, which we will never thank enough. I think you could use those same words, and the Civil Guard and thousands of decent citizens would appreciate it.
ParlaMint-ES-PV_2015-05-29.u78	Thank you, Mr. Maniro. Mr. President, your word is yours.
ParlaMint-ES-PV_2015-05-29.u79	Thank you, Mr. President. Mr Maneiro, you in certain matters are permanently lacking in the truth. The truth about the pronouncements of this Parliament is permanently lacking, and more particularly the pronouncements of the Basque Nationalist parliamentary group. It is permanently lacking in the truth. You know, you know, you know, what happened and, um, you know, 'cause, uh, you know, EukMOOK went off the published database right away, that he solved it right away and asked for forgiveness. We got in touch with the victims' corporations, to explain clearly that it's no use to call the Civil Guard a terrorist team. The company accepted the mistake, cleared up what had happened, and apologized. Making mistakes is human, as it is human to admit, correct and apologize for it. What is not ethical, Mr Maneiro, is to use the victims as a flag of agitation and permanent confrontation. It would be good if you too had at some point come to recognize what the real relationship of this Basque Government is with the victims of terrorism. I hope that in the immediate future you can have proof of this, if you have not so far wanted to assume that this is the reality in this Government's relationship with the victims. You are committed to accusing the Government permanently of disrespecting the victims, even when the Covite herself accepted our explanations and apologies. You feel comfortable airing any situation that could cause the distance between victims and society, the distance between victims and institutions, and particularly between the victims and the Basque Government. Our commitment, my personal commitment and that of my Government will continue to be to promote unity and confluence, to strengthen a culture of peace and coexistence, above and beyond their value judgments. Thank you.
ParlaMint-ES-PV_2015-05-29.u80	Thank you, Mr. President. Number of points in theme list: "To ask the question, the members of Mien Galastegui Oyarzábal, a member of the Socialists of the United States Administration and Justice, the Tramitating laws of the Public Sector and Garden. " Mrs. Gallaustegui, the word is yours.
ParlaMint-ES-PV_2015-05-29.u81	All right. Thank you very much, President. Good morning, ladies and gentlemen. Good morning, lehendakari, counselors. The elections have already passed, and there is no longer an excuse for the Government to look at the reality and to remedy that lack of waist to understand the majority feeling of this Parliament when it comes to legislation. Because just before the campaign, on a date that the Government itself chose, because it is the one that marks its pace of sending laws, it found itself under an obligation to return the Basque Public Administration law. The groups did what we are obliged to do, which obliges us in this Parliament: to read the proposals, to submit our allegations in time, but in our case – and I think you know this, Mr Erkoreka – we practically consider the law to be not a good law, and therefore it could have been – and indeed it was – rejected, because it did not address the management of the public sector or bet on the radical transparency demanded by the citizens. But we do, however, work on each article, and we introduce, apart from our total amendment, a hundred amendments which point to where they can improve it. We could not discuss it, we could not discuss the draft, because the government took away the democratic confrontation of views in Parliament, at one hour from the start of the debate. Read the three amendments in their entirety, indeed, as you say, as Mr Maneiro said, the coincidence is that, among other things, the law should be divided into two laws, one on the public sector and one on transparency. The Government then took the step, tried to take the step, and showed its willingness to accept a lot of amendments, because, he said, it shared many contributions. If what you said is true, Mr. Counsellor, it will rarely be so easy for this Government to bring forward a law. We would like to think that they have taken advantage of these five weeks, and, as I have listened carefully to the answers I gave to Mr Maneiro's question but it has not been very clear to me, we ask him: When will he present to Parliament the proposals to regulate the Basque public sector and transparency, including the contributions made by the groups two months ago?
ParlaMint-ES-PV_2015-05-29.u82	Thank you, Mrs. Gallastegui. To answer, Mr. Erkorek, your word is yours.
ParlaMint-ES-PV_2015-05-29.u83	Thank you, Mr. President. Mrs Gallastegui, as I think I made quite clear at the end of my speech, of my last speech, in the question put by Mr Maneiro, I believe that this issue is no longer worth it, nor does it make sense to address it from a retrospective perspective. What's done is done, and we left it to the historians. What is now of interest to us and what citizens are asking us to do is to approach it from a forward-looking point of view, and to be proactive and constructive on the part of all, and that is the spirit that inspires me at this time and that inspires the Government in relation to this bill, which is now already working in the Government as two bills, following the majority indications of the House and the feeling that it was actually shared by the parliamentary groups representing the majority. You ask me about the date on which the Government will be in a position to bring these two bills to the House. As I anticipated in the previous speech, I find it a little difficult to define that date, but I will give you an answer to a question that I believe is much more operational at this time: when this counselor and his team are willing to meet with you to discuss these two bills (still drafts) to negotiate them hand-in-hand, to share them as much as possible and to present them to the House in the most consensual way possible. The answer is clear: immediately. I will not invite you to meet us tomorrow because it is Saturday and plays Athletic, but next week you put me day and hour, and my team and I will be with you, and who also designates your parliamentary group, to talk about this issue. Thank you.
ParlaMint-ES-PV_2015-05-29.u84	Thank you, Mr. Erkorek. Mrs. Gallaustegui, the word is yours.
ParlaMint-ES-PV_2015-05-29.u85	Thank you again, President. Well, I'm very happy to have some very good news in that regard. Now, I remind you that Athletic plays in the afternoon. I mean, we can work in the morning. [[Barres]] It was a joke, anyway. What I do say is that I do think the position of the adviser is very good and I thank him, because we as a group also prefer to remain with that commitment that you have made, followed by the rejection of the bill, and also because you have the contributions of more than 625 amendments that have been made and that can enrich both projects in a very important way. Of course, you know, because I have told you on many occasions, that if you want to find us to begin the processing of any law that is good and that improves the lives of citizens you will find us. Not only with this, but with any of the laws that any government department intends to bring to Parliament for approval. And I think everything is learned and mistakes are learned, and in that sense I must congratulate you, because if this had been done before (it is not a matter of looking back)..., if this had been done before, we would have made a great deal progress. We could even have already passed a law regulating the Basque public sector and regulating the...
ParlaMint-ES-PV_2015-05-29.u86	Thank you, Mrs. Gallastegui.
ParlaMint-ES-PV_2015-05-29.u87	Thank you.
ParlaMint-ES-PV_2015-05-29.u88	To answer, Mr. Erkorek, your word is yours.
ParlaMint-ES-PV_2015-05-29.u89	Thank you, Mr. President. Mrs Gallastegui, I have ruled out Saturday's hypothesis because I did not know or wanted to condition your agenda, nor did I know whether you intended to move to Barcelona. And that's what it'll take at least in the morning. In any case, I take the floor, and we set the date and time to discuss this issue.
ParlaMint-ES-PV_2015-05-29.u90	Thank you, Mr. Erkorek. The 12th point in the theme list: "Interpelation, the legislature of Carmelus Barrio Barroja of the Popula team, made from the head of the department of Education, Language politics, and Cultural, on the necessity of a new plan on the Euscal ball." Mr. Barrio, your word is yours.
ParlaMint-ES-PV_2015-05-29.u91	Thank you very much, President. Ladies and gentlemen, councillors, councillors. Let's change the football for the ball, Mr. Erkoreka. Let's talk about the Basque ball and its needs, which is also important, I think, to talk about. Act No. 14/1998 of 11 June 1998 on Sports in the Basque Country provided for a reference question, an important question, which had its course and development but which I understand can be resumed. In order to boost (he spoke of three sports: herri kirolak, Basque ball and fixed bank rowing) in the Basque Autonomous Community, the Basque Government will adopt a strategic plan within one year. This plan, in which the Basque federations involved, the Basque Sports Council and other agents related to these modalities will be involved... He spoke of a number of issues in relation to those strategic plans. Objectives of the plan, measures to achieve that objective...; in particular, for the Basque ball, the responsibilities of the various public and private entities in order to implement those measures, deadlines for the implementation of plans, procedures and deadlines for the revision of the plan, external promotion... That is, a number of questions for the impetus, for the consolidation, for the development, for the reorientation, where appropriate, of the sport of the Basque ball in its modalities. I think it's a good time to think about reproducing something like this today. In implementation of this law and the Basque Sport Plan 2003-2007, this strategic plan for the Basque ball 2006-2010 was developed. This plan marked lines of action in the field of Basque ball, which was to be carried out by the agents involved in its implementation. And, well, there they are, many of them are known, and, of course, some again claim certain protagonists. The Basque Pelota Federation of Euskadi, the World Council of the Basque Pelota, also the Confederation of Ikastolas, were agents, with the Administration, of course, called to develop actions contemplated in the plan, and in this sense subsidized for this purpose in the respective agreements reached in 2007. And then we saw it, and we had the opportunity to check it and see it in different government budgets in relation to the various strategic plans mentioned, namely that of the ball. And there are also parliamentary initiatives, questions describing those economic relations that existed for the implementation and development of that strategic plan. The truth is that the issue is once again brought to light as to the need for a recent appearance. I mean I'm going to talk and I'm going to get into the question of what the strategic plan is; I'm not going to get into other issues that were dealt with in the parliamentary appearance, in relation to federative disagreements and some accusations made. Well, there was an appearance; we are waiting in this area for new appearances in Parliament, the president of the World Council of Pelota or the director of sports himself of the Basque Government, to evaluate these disagreements. I don't want to get into those issues, but what I mean: what is the strategic plan and the need to empower a sport like that of the ball, which – said by its federations, for those who live all day that sport from within – is in crisis. And, I say again, that recent appearance of federal officials in the Basque Parliament's Committee on Culture and Sport highlighted, among other issues that will be addressed at the appropriate time, I say again, the need to make a new strategic plan, before consideration, they said – that is, it is not mine – of "the critical situation experienced by the Basque ball in its various forms". They referred more specifically to some of them: the basket, the lift, the shovel. More specifically to those, but, well, that was the consideration in relation to the sport of the Basque ball and its modalities. They said "critical situation," and that draws attention, that sets alarm lights. And federal officials also talked about the need to get a accurate diagnosis of the current situation in which all the actors involved would have to participate. It is an important issue, and of course something like that must be done. In view of these considerations and the need for institutional reflection on the situation of the sport of the Basque ball and its needs, it is when we present this inquiry to the Minister of Education. Indeed, in other legislatures we have already seen development documents or plans of action, of projection of the sport of the Basque ball. Without going any further, we saw him recently in the previous legislature. Counselor Urgell herself has already sent us a document that we knew had been dealt with in Pau in 2010, at the assembly of the International Federation of Basque Balls, regarding certain Olympic keys to the sport of the Basque ball. It was a report called the 2020 Front. "Basque ball, Olympic sport?", questioned himself. Well, they're ambitious issues. The document is a simple document, reflecting on the development of this sport, and of course they are useful issues. But at this moment that development or those predictions, or those pretensions, or those future-oriented analyses, are faced with the critical situation, with the problematic situation of the Basque ball and its modalities. So, in this sense, in order to understand that we can work from public institutions with the federative network, with the clubs themselves, to do something in favour of getting out of this critical situation – which will certainly be done in many cases by economic issues, but also by other organizations, in order to understand the practice of the different sports modalities of the Basque ball – we believe that it is good to know at this time, in view of these considerations, what the Basque Government has in relation to the empowerment, in this time of sports crisis, of the Basque ball, on the basis of the consideration that a new strategic plan would be the effective measure to be promoted by the Executive in compliance with the said fifth additional provision to which I referred earlier. I say again, that plan put the Basque Government in coordination with the federations, with the World Council of Pelota, with the Basque Federation, with other even educational areas that you well know, and in that sense we would like to know how you value this request, which can be ours if we turn it into a motion, but which is already from the Basque Federation of Pelota, which said it, the need for that strategic plan. Thank you very much.
ParlaMint-ES-PV_2015-05-29.u92	Thank you, Mr. Barrio. To answer, Madam Greart, your word is yours.
ParlaMint-ES-PV_2015-05-29.u93	Eskerrik asko, president andrea. Mr. Barrio, the crisis we've been through these last few years and the economy has taken all the attention of society. This subject has often been the principal concern of many people's daily life. This concern has also reflected on the activity of the government. It's understandable, but it's the primary priority of fun to face the crisis without a doubt. This is the establishment of principles which will enable a permanent economic future and a stable economic recovery. The next major priority of government has been guaranteeing basic services for a citizen. Of course, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, Thus, health, education, and social politics have been our primary areas. That doesn't mean we've forgotten other areas. and though some of them have gone to a second stage, yet they are of great importance to us, both in the exercise of government and in respect of our worth and personality. We must place them there in general and also the euscal ball. Sport is strategic in the harmonious development of society, plays an important role in the educational field, not forgetting its impact on the identity of the peoples and also on the health and quality of life of the people, and therefore there are numerous actions being carried out by the Directorate of Youth and Sports to promote and promote a Basque sport model of reference and quality for the 21st century. I also know that you are well aware of the activity that is taking place, because I am aware that you are actively involved in those debates and appearances that are taking place in the field of sport within the Committee on Culture, Euskera, Youth and Sport. In the field of sport, among our strategic axes stands out the one aimed at designing a strategic plan of government so that Euskadi is a reference in the physical activity that carries out his citizenship. That plan, called Mugiment, has already been presented to this Parliament. We want to make a cultural and social change, so that physical activity is synonymous with health, in order to improve the quality of life of our people. We want to promote physical activity from childhood, in order to avoid childhood obesity. These are our strategic furrows, but we have other axes: the high-level sports, external projections, the structure of the sports teams, and the actions of strengthening the personality characteristics of the sporting Esscal and the popular sports sports. Of course, the Esscal ball is a sport spread throughout the world and a famous Euskadin tradition. He's known to maintain his personality for years, added by the contribution of other civilizations and cultures. In the same way as with other popular sports sports, the euscal ball is a useful tool for strengthening and projecting our culture at home. Nevertheless, the demands of society upon sports are constantly changing. The present state of the American race of Euscal Autonomia Errogo shows that the explanation and effort of all the agents that have is necessary. It is indispensable to adapt these qualities to the needs of all the groups of people who practise sports. Plus, it's been exposed for the last few years that certain sports fashions are in a very difficult position. The President of the Basque Federation of the Pilot also described this situation in the final scene of the committee of this parliament. To tell you the truth, you need to make a more dynamic sports offer schedule that will adapt itself to a thousand ways to understand sports activities and better care for the quality of the service. All this, in the broad field of the sport, but of course in the Euscal. By this time, in 2006, 2006, the 2006-2010 of the Basque Ball was completed. This plan was born in response to the requirements proposed by Cultural, Youthria, and sports department, as a result of the situation in the Euscal Plan of 2003-207. This strategic plan was designed to push Euskal with a Euskal ball. And it's precisely the purpose of this government to plan a new strategic plan by the Young and Sports Management. That's how it was reported to the Basque Ball Federation about a month ago and to the World Ball Conference. Both were delighted with the news. This Government has therefore already informed the Basque Federation of Pelota and the World Council of Pelota of its intention to carry out a strategic plan. That news has been very welcome. So it was, that the Basque Federation of Pelota itself did not hesitate for a second to announce it to the Commission of Culture, Euskera, Youth and Sports. In any case, and leaving aside the possible protagonists as to the authorship of the decision to carry out a strategic plan, the important thing is that we all agree on the need to draw up such a plan. In this way, it is our intention to begin the necessary process in the near future so that we can start drawing up such a strategic plan from September onwards, and it is expected to be completed by the end of summer 2016. As was done on the previous occasion, it is intended to carry out a preliminary phase of gathering quantitative information through federations, clubs, municipalities and parliaments, to then conduct interviews with experts and agents operating in the sector. Subsequently, different discussion groups will be established in order to know the real situation of the Basque ball in Euskadi and to create a good diagnosis of the situation that allows us to identify weaknesses, challenges, strengths and opportunities, to then reflect and develop a future strategy. To make the diagnosis of the current situation of the Basque ball, each of the four levels of sport practice in which the Basque sport model is divided, i.e. school sport, participation sport, performance sport and high performance sport, will be analyzed. This deep study of the Basque ball's situation will enable us to make a thorough diagnosis. And thanks to this diagnosis, we can design the strategic frame that will contain strategic furrows and specific actions. The budgets of these acts must also be determined. Once the strategic plan is accepted, it will have to be developed in conjunction with the operations of the Euscal ball range. So, Mr. Barrio, as you can see, we agree to prepare for the need for an extra plan of the Esscal ball that will set up the exact sequence of action in order to push the eucalyptus ball in 2020.
ParlaMint-ES-PV_2015-05-29.u94	Thank you, Mrs. Uriart. Mr. Barrio, your word is yours.
ParlaMint-ES-PV_2015-05-29.u95	Thank you very much. Thank you, President. Thank you, Counselor. I am pleased that we share the need and the fact that we need to work on the elaboration of this strategic plan, in relation to the critical situation commented by the leaders of the Basque Federation of Pelota, and the fact that it is an ideal framework for carrying out this accurate diagnosis in relation to the current situation. Indeed, that is the case, and that is why our motion, I believe, will help to focus on the issue, to make the matter important from Parliament too in relation to the strategic plan, and to make, around the motion that we announce as a result of this inquiry, a public debate that I believe will be constructive and of reference, in order to lay the foundations for this new strategic plan that must be launched. And that is why the issue is important. It was clear that economic aspects were being discussed. Indeed, there is the very significant decline in economic funds in sport during these years, but, being so, now that you can recover part of the lost, it is also a time to make future commitments. If we do not do so, no one will do so in relation to these issues; it is part of our sports culture, of our signs of identity, and in that sense there will be no reordering of that sport unless we do so. In other disciplines we already know where the issues are defined, in areas higher than ours, but here, either it is us, or it is no one, and then that critical situation can already be lethal, or terminal situation. I mean, in this sense I think it is necessary to get to work. The Basque sport model, exactly, that's what the ball means, that's what it identifies with, and, of course, that's what we have to do. The strategic plan will also be and must be, in what is a complex and complicated and problematic federative framework in relation to the Basque ball, with complications and with problems and with disagreements..., the elaboration, the approach, the approach of that strategic plan can be an area of encounter to overcome precisely those disagreements detected, which we are also analysing in this Parliament. That is, that, in addition to promoting the sport of the Basque ball, because this is going to be the fundamental objective, and to do so in view of the future and its consolidation and its improvement and its modernisation and its renewal (there is no doubt that this must be the case), it must also have a special quality this strategic plan: not only the purely quantitative, sporting aspect, but it must also have an area, an aspect, an importance, a link of union, an area of encounter of a dissociated world, which is the federative world of the Basque ball, of a world with problems, with many mistrusts, with many inabilitys of agreement and communication. And that's important. Precisely for these things to go well, it is necessary to unify criteria, it is necessary to unify attitudes and it is necessary more confidence, less personalism is needed. And that, of course, can establish a strategic plan of these characteristics, it can be an area of encounter (it may be, let's hope so), but, indeed, besides, to promote the sport of the Basque ball are necessary important issues in that strategic plan, which are the redemption of the modalities of which is always talked about (but, well, it seems that nothing can be done at the moment), the involvement of agents and clubs in that field of encounter, the federative redemption, the role in addition to clubs and sportsmen, and what it has to do with the sports professions in these matters, which we will also have to talk about at some point in this legislature. Well, those are fundamental issues. I am glad that the intention of the Government may be to work in this line that some of us understand necessary and that the Basque Federation also understands as necessary. We will put forward a motion to make the debate as constructive as possible, and to assist the Government in that work in the near future. Thank you very much.
ParlaMint-ES-PV_2015-05-29.u96	Thank you, Mr. Barrio. - Yeah, yeah, yeah, yeah, yeah, yeah, yeah, Mrs. Greart, your word is yours.
ParlaMint-ES-PV_2015-05-29.u97	Mr. Barrio, as I have described in my first intervence, we agree that we need to prepare one of the strategic plans for the ball. So when we do the strategic plan, just like we've always done, and as you've just mentioned, we'll get in touch with everybody who has something to say in the ball world. So we'll work together, the institutions, the ball-federings, and the ball-clubs and the associations. We shall examine the situation between them all, and we shall have to determine the end, the strategic furrow, and the actions to which they will be directed towards the future. In addition, we call it important to follow the proper course of the plan, in order that we may be able to examine its efficacy, and to know the degree of execution of the ends which are planned in it. As we have said, according to our predictions, we shall be able to continue our work in September 2015, and hope to end it in September 2016. Therefore, Mr Barrio, as I said in my first speech, it is our intention to draw up a new strategic plan for the Basque ball that systematically and structuredly collects the necessary measures to promote the development of this sport for the period 2016-2020. This document will have to meet the following objectives: to know the current situation of the Basque ball in Euskadi; to identify the next challenges and opportunities to respond to them; to reflect on and develop a strategy for a participatory future; to identify objectives and strategic lines; and to identify actions and projects that allow the achievement of the defined strategic lines. Also, in order to analyze the scope and effectiveness of the aforementioned plan, it is considered essential to launch a follow-up commission that will be responsible for leading its implementation and ensuring that the objectives proposed are met, all with the main objective of promoting the Basque ball in its different modalities and in the different segments of sports practice. That's all.
ParlaMint-ES-PV_2015-05-29.u98	Thank you, Mrs. Uriart. fourteen points in theme list: "The question is, that the parliamentary members of the American Society of Carmelo Barrio Barroja, made to the chief physician of education, politics, and Cultural Society, are tramitating the projects of laws which have not been made in the field of culture and sport." Mr. Barrio, your word is yours.
ParlaMint-ES-PV_2015-05-29.u99	Thank you, President. Counselor. Well, this is also a question to frame, to inform us. There are three (in his department there are four, but one is more in the educational field), there are three bills announced by the Basque Government in the field of culture and sports for this year 2015: the draft law on documents and archives of Euskadi, which is expected to be delivered in this semester, that of cultural heritage of the Basque Country, and also another that has been waiting, because it is important, because we also know the problem, that of exercising the professions of the Basque Country sport. And these in the second half of 2015. We have seen that from the initial forecasts, therefore, one of the projects seems to have been delayed. We have been able to see that the draft heritage law has been delayed in the forecasts of the Government's calendar, on its date of surrender to Parliament, and we believe that the facts have shown that it is necessary, because we have seen it in many matters, point-by-point issues (when we have talked about certain monuments, or qualifications, or buildings...), but that we need, of course, a legal instrument in this case, more effective and up-to-date, modernised, for the defence of our cultural heritage. What we have has been shown to be insufficient, and a new bill on these issues is needed in this regard. It is also of great importance – because we find that sports professionals need more security and there is still an important area of action – that the draft law on sports professions, due to the need, I say again, of legal security of the people who operate in the world of sport. These are important, relevant issues. There are three bills, they are not yet in this House, some of them have been delayed, some of them have to be close to entering, but we would like to know, in this area of culture and sport, what concerns your department, in what state of affairs are the drafts of the bills referred to so that they can be approved in this legislature. Which probably comes later in the summer we will already see, but, well, we want to know, in that regard, in those three bills, what the working situation is, because we consider it important to work on those legal instruments. Thank you very much.
ParlaMint-ES-PV_2015-05-29.u100	Thank you, Mr. Barrio. To answer, Madam Greart, your word is yours.
ParlaMint-ES-PV_2015-05-29.u101	Andrea president. Mr. Barrio, first and foremost, I must say that I am very glad that you also possess the importance and necessity of these three projects. As you know, the United States Council accepted the legislative program for the tenth year of the New Year in June 2013. It's a program that says what purpose and priority it's going to have when you're talking about it. So it's a flexible and open tool that can handle changes to suit the needs. Additionally, there is also a tool placed in the name of transparency. By this instrument, opposition, society, and the legislature are given the possibility of continuing the conduct of the government. It is therefore an open and flexible transparency tool, which allows for monitoring of government policy planning and action. In fact, a follow-up document is produced every six months, which is forwarded to this Parliament. In addition, the website provides timely information on the progress of legislative projects, government plans and departmental plans. In any case, Mr Barrio, since you ask me about the state of play of the draft laws that this department is dealing with in the field of culture and sport, I will tell you that the three projects you mention are progressing according to the latest update of the legislative calendar. It is therefore our intention to refer these bills to the Governing Council in this exercise.
ParlaMint-ES-PV_2015-05-29.u102	Thank you, Mrs. Uriart. Mr. Barrio, your word is yours.
ParlaMint-ES-PV_2015-05-29.u103	Thank you, President. I say again, the bills are important, and it is necessary to act on that matter, those matters, in this legislature, because... That is to say, one of them, of archives, for this semester, but for the second semester the two most important from our point of view, which is that of cultural heritage, which is a necessary bill, much needed for the management of our heritage, and that of sports professions, in the same way. So I would ask you not to be late at the end of the year, let it be in September, to be possible, when these bills arrive, because from October, as you well know, we enter the budgets, everything slows down, everything is delayed, everything is paralyzed, and there are two bills, especially those of Basque cultural heritage, and that of sports professions, which we need to integrate as soon as possible. You yourself say that in the field of cultural heritage a broader conception of cultural heritage is needed, an updated, comprehensive and systematized normative instrument. And as far as sport is concerned too: legal certainty for sports professions. It's an important thing. Let's hope that in September or the first half of October they're here.
ParlaMint-ES-PV_2015-05-29.u104	Thank you, Mr. Barrio. Mrs. Greart, your word is yours.
ParlaMint-ES-PV_2015-05-29.u105	For us, these three legal projects are urgent, and we will make all our efforts to get ahead of the scheduled deadlines. As to the law of the Cultural Family, the object of which is to give society an updates, a whole, and a system-tractized instrument, to give a wider view of the Dominion of culture. The arts of management which will be established by this law will give a effective answer to the protection, preservation, and extension of the region of culture. At this moment, having published the order to begin the process of passing the law, we are preparing the legal report of the department with the intention to begin the phase of negotiation, hearing, and consulting. We'll be able to send the bill to the government Council in the second semester of 2015. The law of documents and archives of the Basque Country aims to lay the foundations for the configuration of an integrated system of management of analog and electronic documents and archives, as well as for the creation of the historical archive of Euskadi. Once the hearing and public information procedure has been completed, the relevant amendments have been incorporated. Efforts will be made to bring this bill up to the Governing Council in June. Finally, we have a law on sports work. By this law, the essential parts of some sports professions will be organized, and those professions will be determined, and will be represented by the necessary academic titles, and the general scope of function to which each profession belongs. At this moment the following phase of hearing and consulting is over, and, considering all the premises, we are preparing a joint text, so that we can send the Government to the Council as soon as possible and accept it there. So, Mr. Barrius, there has already been a great deal of work to do, and our intention is to send these three laws to the Council of Government in 2015, in order to accept them in this law. Thank you.
ParlaMint-ES-PV_2015-05-29.u106	Thank you, Mrs. Uriart. The 15th point in the theme list: "To ask the question, the parliamentary members of the Basque Socialists, made to the chief physician of Education, of Language politics, and of the Cultural Division, about another Eustau radio strike." Mr. Unzalu, your word is yours.
ParlaMint-ES-PV_2015-05-29.u107	Thank you, Mr. President. Ladies and gentlemen of the department, members of the legislature, good days to all. I would like to begin by expressing the solidarity of the Socialist Group with the media professionals, both public and private, who are now being fired and who are mobilizing to express their protest. Gure elkartas una iratietako langileekin. Socialists defend the social role of the media, whether public or private, to guarantee the right to plural information that resides in citizens and that is carried out through professionals who must carry out their tasks free and without pressure, and without threat of dismissal or precariousness. And if we are concerned that this threat will continue, even though some claim that the worst of the crisis has happened, we are even more concerned that its enforcement arm is a public enterprise, paid with citizens' taxes, that it must provide a public service and that it must attend to what this Parliament representing citizens tells it. This week Eusko Irratia has returned to silence; he did so on Monday, and he may also do so on Sunday. The mandate of this leadership will pass on to history as the one that has ever generated the greatest conflict, and it does so with an instrument – an ERE – that, as the affected people have already announced, will follow the judicial path. That is why we are asking you, Commissioner, what the Government is going to do to ensure that the conflict on Basque public radio for the management's actions ceases to affect the provision of this service to citizens.
ParlaMint-ES-PV_2015-05-29.u108	Thank you, Mr. Unzalu. Mrs. Greart, your word is yours.
ParlaMint-ES-PV_2015-05-29.u109	President andrea. Mr Unzalu, you insist on asking about the process of regularizing non-fixed indefinite EITB. I believe that we have already provided all possible explanations in this regard, both in writing and through various parliamentary interventions, in addition to those provided within the Governing Council, of which you are a member. I've told you several times that the call of public employment on the Basque radio is necessary to regularize the situation of a specific professional worker, and to ensure EIB's future andability. That's why I'm protected by the decision of EIB, the decision to reform irregular situations, and carry the process of filling fixed jobs with all its guarantees. This government, the direction of EIB and most of the organizational councils respect and protect this process. The reason for this is clear: according to the needs and budgets of the previews, the necessity for regularizing the state of EIB employees, according to their predictable needs and budget options. Perhaps I should remind you that this situation is not new. In 2009 and 2010, the Social Security Inspectorate required regularization of the situation of employed workers, which dramatically affected the sustainability of the environment. You yourself, being in the government, announced the need for this regularization in 2010. The process has subsequently been implemented, a process which was approved by a qualitative two-thirds majority in the Governing Council, in which, by the way, the three representatives of the Basque Socialist Party did not refuse, but voted blankly.
ParlaMint-ES-PV_2015-05-29.u110	Thank you, Mrs. Uriart. Mr. Unzalu, your word is yours.
ParlaMint-ES-PV_2015-05-29.u111	Look, counselor, listen carefully to the question. I haven't asked you about the ERE and everything you've told us, which you've already told us here several times. I have asked you specifically what your Government is going to do, what you are going to do to put an end to the conflict on Radio Euskadi, which is bringing about changes and loss of public service. That's what I asked you, that, and not about the ERE, that I already know everything you've told me. Are you going to do something? Look, Commissioner, this parliamentary group and this Parliament cannot understand what is happening to you, what reasons you have to penalise, to harass public radio in such a blunt and cruel way, and more specifically the radio that broadcasts in Spanish and the professionals who do so. In this case you, the Government as a whole, have totally inhibited the problem. We have tried, through direct initiatives, to get you involved, to get various departments involved. We have asked the Public Service Advisor to take the same action in Eusko Irratia that he has announced for the General Administration. We ask the Employment Adviser, Ángel Toña, to apply these negotiating measures in the case of Eusko Irratia, supported by his negotiating record. And what is the most abysmal difference with what this Councillor has expressed today in response to the first question in this plenary, emphasizing his negotiating capacity and how he has been able to devoke even strikes. That is what we are asking you, Madam Counsellor: to act in that way, that between you to act in Eusko Irratia as you do on other occasions. That's what we're asking. Not that I come here to tell you what's going on with the ERE. That's not what I'm asking! It is clear, Madam Counsellor, that EITB's management is incapable of negotiating, is incapable of reaching agreements. That's why we're asking you, as the head of this entity, because your department is responsible for the Basque radio station, to act. Let you lower the labor conflictivity, let Eusko Irratia emit freely. And I ask you, counselor, to answer me with what you think, and not with what you have written beforehand.
ParlaMint-ES-PV_2015-05-29.u112	Thank you, Mr. Unzalu. Mrs. Greart, your word is yours.
