ParlaMint-NO_2001-01-31.ana.ud1670e27	It summons the alternate of the Nord-Trøndelag County, Astri Wessel, has a teke seat.
ParlaMint-NO_2001-01-31.ana.ud1670e976	I thank you for that answer, it seemed very wise and correct. I would like to repeat, however, that I am concerned about the processes that are taking place. I see that the organisation of the public sector and also of local democracy around the country is one side of what is important to get a development across the country, and to get a good value creation. In this context, there is talk of the relocation of jobs requiring knowledge and competence, and the decommissioning and coordination of the public sector will result in the possible need for skills being transferred from the districts. I would like to ask if not a solution can be to lay down some directorates and distribute the tasks that are currently in the directorates, to today's county.
ParlaMint-NO_2001-01-31.ana.ud1670e985	The basis for the future division of tasks must be the needs of users. It must be a guide for the municipality, for the county and for the state when planning the future administration. How, through the administration, are we going to get the best possible service output for users? Then the answer to that must be crucial to the future organisation of which we decide. I am aware that some of the arrangements that will be necessary to propose will mean that the state on the other hand must also be willing to move out businesses. It is a problem that the Government is very concerned about, and all the departments will seek to implement in cooperation with each other.
ParlaMint-NO_2001-01-31.ana.ud1670e995	This question, from Øystein Hedstrom to the Minister of Finance, will be answered by the Minister of Labour and Administration on behalf of the Minister of Finance.
ParlaMint-NO_2001-01-31.ana.ud1670e998	I have a question for the Minister of Labour and Administration to answer on behalf of the Minister of Finance: ‘Annual statistics from the Eastfold customs district show a strong increase in the seizures of meat products. Due to a reduction in meat consumption in European countries with cow disease, criminals are tempted by large profits by smuggling uncontrolled risk meat. It is estimated that 600 tonnes of illegally imported meat are consumed in Norwegian restaurants. The smuggler's meat can be what gets the cow's cow to the country. What measures will the Government take to reduce meat smuggling?’
ParlaMint-NO_2001-01-31.ana.ud1670e1007	It is true that customs control statistics on seized meat products are increasing. In 1998, the customs authorities seized over 31 tonnes of meat products at the border, over 55 tonnes in 1999, and over 67 tonnes in 2000. In addition, customs controls have also revealed a not insignificant amount of meat smuggling. The customs authorities are aware of the negative developments and therefore use more and more resources to detect meat smuggling. The risk of developing Creutzfeldt-Jakob syndrome after eating meat infected by cow disease is something the government looks very serious about. The risk of other diseases, such as: salmonella, and not least the significant avoidance of fees, means that the detection of meat smuggling becomes an important and priority task for Customs in the future. In this respect, I would like to mention that the Ministry of Finance is currently considering a proposal to increase the penalties for smuggling in general. I would also like to stress that the Customs Authority will continue its cooperation with the industry and other agencies such as the police, the Tax Directorate and the State Food Administration as part of the fight against smuggling. In addition to that, I can add that I do not understand the ethical standard that the restaurants have, which resells to the consumer meat that they demonstrably know is smuggled in and not checked. They should not have the opportunity to continue their business.
ParlaMint-NO_2001-01-31.ana.ud1670e1018	I thank the Council of State for the answer. This with cowhood poses new challenges for all Western European countries. We are facing a whole new situation, although Norway has a good starting point. I would say that the control of live animals is good in Norway, but it can certainly be improved too. We have the veterinary agreement within the EEA, which gives a useful control both at the place of origin and at the place of destination, and we have third country imports with border controls, etc. However, there is just now the possibility of increased smuggling of meat products because in some European countries consumption increases have been reduced by up to 50 pst, and those who are cellar rings can see a significant profit potential in dumping such meat, for example. in Norway. These are new issues. And those who are out at the restaurant, for example. Here in Oslo, they think they're eating clean meat. So what else do you want to do to improve and increase that control?
ParlaMint-NO_2001-01-31.ana.ud1670e1023	Of course, all controls can be improved and all authorities that have supervisory powers over these industries, in addition to the Customs and Charges Directorate, are very concerned with improving their actions. But let me make it clear that no state control and supervision agency can take over the responsibility of the individual who introduces and resells this product, when they commit such a criminal act. So it's quite obvious that both the penalties for such smuggling and the follow-up of those taken for such smuggling must also be part of this fight. It is the criminals who are initially responsible, not the state's control authority.
ParlaMint-NO_2001-01-31.ana.ud1670e1028	There's probably a lot of restaurants that they can do themselves, for example. to inform about the origin of the raw materials. Customers can also become a little more critical and ask about the origin of the meat they eat. But what many say is that today's control is too weak, and those who want to trick themselves away can easily deal with it in a way that makes it easy to avoid consequences. Doesn't the Council of State mean that we need to keep working on this in order to achieve a better deterrent effect for those who want to be cellar rings – they can be smugglers and restaurateurs?
ParlaMint-NO_2001-01-31.ana.ud1670e1033	That is what I said – we will continue to work with all the supervisory and supervisory bodies we have, in order to improve, so that we can take care of the interests of consumers as best we can. Consumer awareness is also necessary, but the consumer will always be dependent on the answers given. And a criminal who takes the freedom not only to produce, but also to serve potentially infected food, will hardly give the correct answer to a question from a consumer.
ParlaMint-NO_2001-01-31.ana.ud1670e1041	I will ask the following questions to the Minister for Local and Regional Affairs: ‘The foreign student was established on 1 January 2001. Many cases have been sent from the Ministry of Justice and are awaiting a decision, including the case of a woman in Valle. Her case has been thoroughly illuminated for a long time and was promised before the New Year. When can the case be expected to be completed for the benefit of a suffering person?’
ParlaMint-NO_2001-01-31.ana.ud1670e1050	Foreign administration is now reorganised as known. Under the Foreign Affairs Act, the Foreign Office is now deciding on all complaints in foreign affairs. Nemda is a stand-alone, court-like appeal body, administratively governed by the Ministry of Local and Regional Affairs. I can neither instruct you to interpret law, execute judgment or make decisions in individual cases, including that specific individual cases should be given priority over other matters. This also applies in relation to the Directorate for Foreign Affairs. The political governance of individual matters in the foreign field must now be governed by law, regulation and general priorities. All enquiries concerning applications or complaints to decisions under the Foreign Affairs Act — or questions about when an answer to an application or complaint will be available — must now be addressed either directly to the Foreign Affairs Directorate or to the Foreign Affairs Department.
ParlaMint-NO_2001-01-31.ana.ud1670e1057	This is not a matter of any kind. It's been going on for a long time. It is a suffering person in our country who is asking for the help she knows benefits. She has been treated in the past by a person from Sri Lanka, but it needs treatment for longer than the three months that you can get, in order to get lasting benefit from it. Therefore, the application for a residence permit is limited to two years. It's not about anything anymore, because if the treatment doesn't work then you can't do anything more. These include: a unanimous local authority in Valle that will find a solution to the situation of this woman. The municipality has announced the position without receiving any applications, and it guarantees a job contract for two years to a person who happens to be living in Sri Lanka and who is willing to do the job. His family will be left in the home country. There must be room for this? Why can't the Council of State cut through when this case has occurred long before the Foreign Affairs Department got started and it's apparently still not on its feet?
ParlaMint-NO_2001-01-31.ana.ud1670e1062	I cannot decide on the specific matter, nor will I comment on it. According to the Storting's own decision, it is from 1 January, as I explained in my first response, so that the matter has to be decided – if this is a complaint – in the Study of Foreign Affairs. And I have no authority to instruct in individual matters, nor in this case.
ParlaMint-NO_2001-01-31.ana.ud1670e1067	It was 10 months since this application was sent, and every day is a suffering for him. The same case was raised on 18 October in the fall, and then the Council of State replied that she wanted to look at the legislation on labour immigration, yes she said that the work is «in progress». It's been a long time since October 18th. I must then ask: what must be done, as the Council of State sees it, in order for such a matter to be resolved?
ParlaMint-NO_2001-01-31.ana.ud1670e1072	As I said, the single thing I can't say anything about. Enquiry must be addressed to the Department of Foreign Affairs. With regard to the general legislation on labour immigration, with which I can do something, it is the case, as I also informed of earlier today, that the Government will very soon come back with a proposal for simplification in relation to work permit and immigration. We're working very hard on it, and we're also coming back to Stortinget with suggestions if necessary, and it won't take long.
ParlaMint-NO_2001-01-31.ana.ud1670e1087	This question falls away.
ParlaMint-NO_2001-01-31.ana.ud1670e1093	I will be allowed to ask the Minister of Health the following questions: ‘25. On October 2000, I asked the Minister of Health a question about the medicine Celebra. Reimbursement has been requested on 30 March 2000, but the response has not yet been received. In October 2000, the Minister of Health replied that the deadline was about to expire, and that the matter had not been resolved. It is clearly not yet, and the 90-day period has expired too far. Will the State Council now take an initiative towards the State Medicines Agency in this matter, so that the pharmaceutical company receives an answer to its application?’.»
ParlaMint-NO_2001-01-31.ana.ud1670e1102	When the representative asked questions about this matter on 25 October last year, I expressed my dissatisfaction that the processing of the application had taken so long. I explained that the delay was largely due to the way in which the procedure has been organised, but that this has later changed so that the prerequisites for complying with the 90-day deadline have now been improved. At the same time, I indicated that the matter should be prioritised so that any conclusion on opening up so-called compulsory reimbursement could be promoted in the revised 2001 national budget. The opinion was that this matter should be resolved at the beginning of December last year. However, at the end of November, the State Medicines Agency received new information on Celebra which could change the health economic evaluation used. It was therefore necessary to obtain further information from the manufacturer. These are information and claims relating to competitive relationships between different medicinal products and manufacturers of medicinal products, which trigger transparency and the right to comment by the parties concerned before final decision is taken. Such feedback was received at the beginning of January and the State Medicines Agency will take decisions on this basis in the near future. The pharmaceutical companies concerned have been kept informed of the procedure on an ongoing basis, including the reason for the delay. The delay is regrettable, especially in the light of the long time since the application was made. However, I have reason to believe that the State Medicines Agency will now complete the procedure in the near future. The conclusion of my reply in October is therefore still at hand. If, after an overall assessment, it is possible to recommend compulsory reimbursement, this means that the matter will be referred to the Stortinget in the revised national budget in 2001.
ParlaMint-NO_2001-01-31.ana.ud1670e1115	I thank the Council of State for the answer. It is gratifying that the Minister of Health has then made the pressure to do so. But I have to be allowed to comment a little on that, because the State Medicines Agency put the matter at risk, was a contribution to the case from a competitor on 30 November. Furthermore, on 5 January, a fax came from SLV, where these recordings from the competitor were commented on. If you stop at the time of the days until 5 January, you have missed the deadline by 207 days. If you only stop until 30 November, the deadline is exceeded by 179 days. What's the point of the question is to put in place a system in the Medical Products Agency that makes us not get up in such situations. Does the Council feel confident that this will not happen in the future?
ParlaMint-NO_2001-01-31.ana.ud1670e1122	The delays referred to here are very regrettable, I have previously stated that in Stortinget and still do so. They have mainly had their cause in an organisation of proceedings that has not been appropriate. That organization is, as I have explained, now surrounded, and I feel confident that the prerequisite is now present for us to manage such matters within the deadlines and rules laid down for it. So I also hope to be able to say that this is a part of a cleanup in relation to the way it has been, and that we will not have to have this kind of thing to deal with in this way in Stortinget.
ParlaMint-NO_2001-01-31.ana.ud1670e1127	I thank the Council once again for the answer. The reason for the question is not that I am concerned about the different pharmaceutical companies. The reason for this question is the consideration of Norwegian patients who should not be subjected to long-term waiting before they receive a response and may have access to medicinal products from other persons, because there is a ripping trend in this area for patients also in Norway. This is why it is important to, for example: This group of gout patients should be able to access these medicines as soon as possible, if it comes to that conclusion in the department. I would like to conclude with the following questions to the Minister for Health: Will he take the initiative to ask the Agency to investigate whether there are other issues for consideration where the deadline has also been exceeded? Because we need to be aware that Norwegian patients need to have access to the best medicines as soon as possible in Norway as well.
ParlaMint-NO_2001-01-31.ana.ud1670e1134	I would first like to stress that it is a medicinal product that is already authorised and that Norwegian patients have access to even today. The condition is that it must be done upon prescription by a doctor on a case-by-case basis and upon application by a doctor. But it is not that these medicines are not available to Norwegian patients. We're talking about another way to make them available, another paragraph that will make them more accessible. I believe that we can claim that we now have an organisation regarding this procedure which means that we should not have such delays as in this case. At the same time, I have to add that we have a proposal for authorisation of medicinal products in Norway that aims to guarantee patients safety that all aspects of their use have been carefully assessed before they are made available in the way this is discussed.
ParlaMint-NO_2001-01-31.ana.ud1670e1145	I allow myself to ask the following questions to the Minister of Culture: ‘The Grand total adopted amendments to the copyright law on 26 May 2000 extending the right to charge fees and charges for the public performance of phonograms. So far, nothing has happened. Will the Council of State continue to work to approve Gramo as a collection and distribution organisation also for the public presentation of phonograms, as stated by a clear majority in the Stortinge?’.» [[(see section 4.4). § 45(b) copyright law]]
ParlaMint-NO_2001-01-31.ana.ud1670e1154	I share the wish of the representative of Greece for an early decision on this matter. But at the same time, I would like to stress that the matter has taken time, mainly because of relations within Gramo. When the laws of copyright and fund law were passed, Stortinget assumed that cooperation had to be established between Gramo and Fund for Performing Artists on the collection of fees and fees. It is the consideration of the users, who are to pay the fee, who are to do so. It has been important for the Ministry that the parties themselves find good, practicable solutions. This is why three meetings have been held in the Ministry where both Gramo, Fund for Performing Artists and the Ministry have been represented to initiate and promote such cooperation. Now it finally looks like the parties are approaching a solution. The law has not been implemented and no regulations have been given because this requires a system of collection and distribution to be agreed between Gramo and Fund for Performing Artists. Even before the legislative amendments were adopted, the Ministry had launched a review of Gramos's guidelines and practices for the distribution of so-called collective funds. This is mainly funds arising from obsolete remuneration claims. In the 1990s, Gramo distributed between five million. NOK 14 million. kr per. years from collective funds. Gramo has also had a practice of pre-allocation to member organisations of non-parent collective funds. Gramo applied for approval on 18 July 2000, but the ministry has not wanted to expand the scope of Gramo's activities as long as it is unclear whether the distribution of collective funds is in line with law and regulation. We have informed Gramo about this, both in letters and in meetings. One element that has complicated the process is undoubtedly the internal conditions in Gramo, which has also been widely covered in the media. It has been natural to await a conclusion on the approval case of Gramo himself has shown the will and ability to solve its problems and clear up its legislation before expanding its scope of action. As I have already mentioned, there has been a positive development in the matter, and I expect that it will get a quick solution.
ParlaMint-NO_2001-01-31.ana.ud1670e1169	I thank the Minister for the answer. I noticed that she strongly emphasizes the internal relationships in Gramo. We are all aware that there has been turbulence both in GramArt and in Gramo, but this has now been brought to order – it happened in the autumn. This big decision was taken on 26 May, and I would like to remind the Minister of Culture that all except the Workers' Party then participated in the remark that Gramo will have a decisive influence on who will claim Gramo's remuneration. Even the Minister of Culture said in the debate that she should of course follow up the decision of the Storting, and that it was natural that Gramo had a crucial role to play in this. As far as the follow-up is concerned, I wonder when the Minister of Culture sees for himself a clarification. And is it the case that the Fund for Performing Artists is directly run by the Department – as it was claimed to me – in relation to the negotiations that are currently taking place?
ParlaMint-NO_2001-01-31.ana.ud1670e1180	I will first repeat that, as we see it, Gramo is the one who has made the matter take time. Let me also stress that it has always been my assumption and that the department has assumed that Gramo will have a decisive influence on the collection of the remuneration. This is the result of the Ministry's legislative proposals. When the system of charge for the use of sound recording in the broadcast was introduced in 1989, the organisation Gramo was authorised to collect and distribute the remuneration. Detailed rules are laid down for the collection and distribution of remuneration and that the Ministry shall approve the statutes of the organisation. As a result of the dialogue between the Department and Gramo, Gramo's Board of Directors has decided to discontinue the regulatory use of non-adult funds. This was notified to the Ministry in a letter dated 21 December. The amendment will affect the examination of the application for authorisation, which we immediately expressed to Gramo on 10 January.
ParlaMint-NO_2001-01-31.ana.ud1670e1189	I don't think we're going to get that much longer today. But I think it is interesting that the Council of State so strongly emphasizes that it is internal relations in Gramo that have been the obstacle. Gramo says quite the opposite, that it is reprehensible on the part of the ministry, to respect the clear desire of the majority of the population that it is Gramo who is to be a collection organisation for his own resources. I would encourage the Council of States to step up their personal involvement in this matter and to ensure that the rules and practices that are now at issue are put in order. Because what's happening is that millions of dollars that Norwegian record artists and artists could have access to, don't come to the book because the new code isn't in place. The background for this is that we have been waiting for four to five years to adopt an EU directive. So Norwegian artists and artists have lost millions of dollars on the crookedness of this case.
ParlaMint-NO_2001-01-31.ana.ud1670e1196	Let me stress that I fully agree with the representative of Greece that it is about to get a solution as quickly as possible in this matter. I've been involved in the question, and we've had a number of meetings. I am somewhat concerned that Gramo still claims that the department should have some direct management in favour of the fund in this case. We have placed considerable emphasis on the need for agreement between the two parties, and as I see the negotiating climate, such agreement will be imminent.
ParlaMint-NO_2001-01-31.ana.ud1670e1206	I allow myself to ask the following questions to the Minister of Culture: ‘Minister for Children and Family Karita Bekkemelm Orheim has invited TV 2 to move ‘Hotel Caesar’ to a broadcasting time later in the evening. In the past, extensive reactions have been received from, among others: Vice-Chancellors and teacher’s organisations against so-called ‘third-sack television’ in different channels. Does the Council agree with the Minister for Children and Family Affairs and will it be appropriate to address the issue of ‘third-bag television’ in the context of the forthcoming concession treatment?’
ParlaMint-NO_2001-01-31.ana.ud1670e1215	Let me first say that I don't think TV 2 has had small children as a target group when they launched ‘Hotel Caesar’. We know, however, that among the many viewers who are included in the series, there are many minors – it seems to have been well over 100 000. Like Minister of Children and Family Bekkelem Orheim, I therefore feel that it is unfortunate that ‘Hotel Caesar’ seems to have had more aggressive and violent content. I agree with my colleague, with politicians and with a number of professionals, among others. in the school sector, which considers that the series could receive a later transmission time. There must be little imagination to realize that part of the history of ‘Hotel Caesar’ is not very suitable for children. Having said that, I would like to stress that it is not the Minister for Culture's job to be the editor of TV 2, which my colleague, the Minister for Children and Family Affairs, has not intended to be. But it must be allowed for both of us to have general opinions about the content of what is being broadcast on our television channels. As for the last part of the question from the representative Lånker, about so-called "sack" TV, I would like to stress that "drip bag TV" is hardly a clear concept. I connect series like ‘Big Brother’, ‘Robinson’ and ‘Baren’ – a rather cynical type of television entertainment. The program concept speculates in the primitive instincts of the audience by creating a manipulated reality, where individuals are played against each other and you win by voting out people. For understandable reasons, «third-sack TV» is also not a concept included in the broadcasting code, but in my view it has nothing to do with soap series such as «Hotel Caesar». I am strongly in doubt about the ethical side of these programmes, and I fear that they can stimulate attitudes that we could well have been apart from in our society today. Fortunately, neither NRK nor TV 2 broadcast programs in this category. To the question of whether these types of programmes will be addressed in the context of the forthcoming concession treatment, I would say the following: the instruments we have to influence the programme provision in our public broadcasters are concession terms and broadcasting law. I am negative about discussing this in the context of concession treatment, because in that case it would mean that there would be specific rules for only one television channel. I prefer general regulation that applies to all channels. Such regulation will be in place in a short time through a ban on the transmission of programmes which could seriously harm minor viewers before noon. Twenty-one in the evening. I welcome the recent debate in the media and the initiatives taken by many audiences in relation to broadcasters. As far as I understand, the TV 2 management has now taken the reactions seriously and decided to close it down in ‘Hotel Caesar’, which can seem the most frightening at least. In addition, in order to keep the smallest away from the series, they have adjusted the transmission time to the re-prices of at 1 p.m. 5.30 p.m. to 5:00 p.m. 18, which is children's TV time at NRK. This at least shows that people's reactions have borne fruits.
ParlaMint-NO_2001-01-31.ana.ud1670e1232	I would like to thank the Council of State for the answer. I agree that TV 2 has probably not had small children as a target group for ‘Hotel Caesar’. However, it is a fact that children see to a large extent — it shows surveys — just programs like ‘Hotel Caesar’, and I suppose they are affected by it. But I am pleased to note that the Minister of Culture shares the view of our child and family ministers that this is an unfortunate programme for children. In the case of so-called "sack" TV, which since TV 2 is not – I agree to nuance here – we are afraid that it might be relevant for anyone who wants to compete on the commercial market. My follow-up question is: does not the Council of State feel that it is difficult to be Minister of Culture when she has no influence over these channels, but must leave them to market forces and thus exploit weakly, for example. a child?
ParlaMint-NO_2001-01-31.ana.ud1670e1241	Let me say that so that I have expressed a concern about some trends in these programs. But we now have, as I see it, a better chance when regulation, as I have mentioned, comes into place – an EEA directive that prohibits the sending of programmes that can seriously harm minor viewers before noon. Twenty-one in the evening. The government's media administration and the Film Authority will have the task of ensuring that this is followed up. I hope and believe that these tools will enable us to influence that type of program.
ParlaMint-NO_2001-01-31.ana.ud1670e1248	Once again, I thank the Council of State for the answer. I think we should be happy that opinion has woken up, that teachers respond and not least that advertisers respond and stand up on behalf of the children and defend their rights. The question is whether it's enough in the long run, whether we, as politicians, should stay away from all of these things. So now we get an EEA directive that clearly underlines that we want to move programmes that could damage the physical, mental and moral development of minors to a later evening when children don't usually watch TV. I did not understand what the Minister of Culture meant about this point – whether it is so to understand that she believes that this will now also be incorporated into those regulations, so that we get the same legislation in Norway as that in this directive. This will mean that it is not only up to the media administration, which is subject to the Council of State, but it will be part of the Norwegian legislation, where one can clearly try to direct such programmes to other times of the day.
ParlaMint-NO_2001-01-31.ana.ud1670e1257	It is obvious that this legislation will be implemented and will apply to our shipments in Norway. It will soon be in place, and we will have to follow it with the greatest attention through the bodies we have to manage and ensure that this is done. Like the representative Lånker, I would like to say that the considerable attention that these matters now receive in the public sector, I think we should accept well and take care of and use as an incentive to be extra careful.
ParlaMint-NO_2001-01-31.ana.ud1670e1267	This question, from the representative Magnhild Meltveit Kleppa to the Minister for Fisheries, will be answered by the Minister for the Environment on behalf of the Minister for Fisheries.
ParlaMint-NO_2001-01-31.ana.ud1670e1270	I will ask the Minister for Fisheries the following questions: ‘In a draft hearing entitled ‘Control of ownership changes in companies, etc. authorising the rearing of edible fish of salmon and trout’, the Ministry of Fisheries suggests that Rogaland and the Skagerrak coast should be considered as one concession area. What is the reason why Rogaland is not a concession area, as the division is intended for the other Western states?’
ParlaMint-NO_2001-01-31.ana.ud1670e1279	Rogaland and Skagerrak are proposed as a region in proposals for control of ownership changes in companies, etc. which is authorised to breed edible fish of salmon and aure. The reason for this is that Skagerrak and Rogaland alone have too little permission to consider the formation of separate regions as a priority. In the proposal, the region together will have 68 rights. In comparison, Hordaland has 139 permits and More and Romsdal 95 permits. In order to achieve the proposed regional limit of 50 pst. of the number of permissions not to prevent a natural conversion, the regions are grouped together. During the hearing, there were comments on several points in the proposal, in these comments on the regional breakdown. It will be assessed whether this breakdown has unintended consequences before final disclosure.
ParlaMint-NO_2001-01-31.ana.ud1670e1286	There is agreement that aquaculture is an industry with great potential, including in Rogaland, which the Minister for Fisheries himself has stressed by stating that there is room for new concessions in Rogaland. Rogaland and the Skagerrak coast have different farming arrangements. It applies to both natural conditions, such as: temperature, and that the Skagerrak coast belongs to the North Sea Agreement. Otherwise, the fishing powers are assigned to the county as a region. It also does the different organisations themselves. I find it strange that the difference is so big, so 139 concessions to Hordaland and 51 to Rogaland are used against Rogaland. It should be possible to correct it by giving new concessions. Is this the beginning of another division also in several other areas within the fisheries sector?
ParlaMint-NO_2001-01-31.ana.ud1670e1293	I can confirm that it is also the Government's view that aquaculture is an industry with a high growth potential, and especially in the part of the country we are talking about in this context. I have not in any way wanted to use against Rogaland which holds the number of rights it is now talking about for this county, rather there is a reason that there is an appropriate division of regions, where one now has a link up with others. But at the same time, I have shown that in the hearing that is linked to this proposal, there are objections to this, and that these will be considered in the further process.
ParlaMint-NO_2001-01-31.ana.ud1670e1300	I thank you for the answer, both the first and the next. I am happy that the Government underlines the possibilities. I myself live in an area where I have followed developments over time, and where I have seen what this means, both by new jobs directly, by ringing in relation to local processing and service provision and much more that follows. I shall not challenge the Council of State on what is in the term ‘natural transformation’, but only say that as the Centre Party sees it, it is primarily about new possibilities and new developments. Compared to seeing these two states under one, there's a question that's close, and that's: When you view this as one area, is it in that one can move concessions across the state boundaries?
ParlaMint-NO_2001-01-31.ana.ud1670e1309	Seeing several areas as part of the same region is primarily justified by appropriateness and is also linked to the number of rights available in each of these regions. However, it is appropriate to provide the basis for the breakdown chosen, together with the assessment of new development opportunities in the aquaculture industry. Against this background, we will consider the outcome of the consultation in the final regulatory decisions.
ParlaMint-NO_2001-01-31.ana.ud1670e1317	This question, from the representative Morten Lund to the Minister for Fisheries, will be answered by the Minister for the Environment on behalf of the Minister for Fisheries. The question will be raised by the representative of Tor Nymo.
ParlaMint-NO_2001-01-31.ana.ud1670e1320	‘In particular from coastal fishermen, concerns are now being expressed about pilot fisheries which were opened this year as from 1 January 2001 and where catches have been small and with a significant involvement of small herring. The concern is that the bulk has been over-taxed several times in the past, with failures in other fisheries as a result. Have sufficient account been taken of past experience and political assurances to be careful to tax the stock of solders when setting quotas and fishing hours?’
ParlaMint-NO_2001-01-31.ana.ud1670e1327	I would first like to inform you about the actual conditions surrounding the regulation of seismic fishing. The stocks in the Barents Sea, a shared resource between Norway and Russia, are within safe biological limits. During the 29th session of the Norwegian-Russian Joint Fisheries Commission, Norway and Russia agreed to allow for winter weight fishing in 2001 of 630000 tonnes, in line with the recommendations of the International Council for the Exploration of the Sea. Norwegian vessels can fish a total of 371,000 tonnes of weight in 2001 and the International Council for the Exploration of the Sea is based on advice that fishing must take place in the first quarter. This is reflected in the Norwegian regulation of pilot fishing. Fishing was opened on 15 January 2001 within an area south of 74°N and west of 32°E and outside 4 nautical miles of baselines. Prior to the opening of other areas, it is assumed that the area concerned has been surveyed for the purpose of separating the adult weight from the juvenile and that the incorporation of fish and herring is within the following criteria: 1st@item: inlistbox 300 specimens of the species cod, hake, herring and blue herring less than minimum per year. tonnes of solders, or2. 35 kg cod over minimum dimensions per 100 tons of weight, or 3. 10 pst. of a weight of less than 11 cm minimum Further opening of fields will take place according to traditional pattern, with the Directorate-General for Fisheries identifying the relevant fishing areas with regard to the incorporation of fish and herring according to the above criteria. Areas which have been opened may be closed if the interference with the catches is contrary to the provisions in force. I can therefore reassure the representative on all points. The lot stock is good and the quotas and the catch season are in line with the recommendations of the researchers. Norwegian fishing is also regulated in such a way as to ensure that one does not interfere excessively with weights below minimum or other species in the fishing for solders.
ParlaMint-NO_2001-01-31.ana.ud1670e1350	I thank the Council of State for the answer. Norway has managed well to manage its resources in the Barents Sea. Despite some administrative difficulties, e.g.: in relation to blue herring, the situation is relatively good for most major fish stocks. It should then be mentioned that the Russian detention unit appears to have released the roof and that they have driven the quotas on, for example: cod very high. In any case, we have set ourselves far better than what the EU has done in the North Sea, where the cod stock is very close to total collapse. Norway has major tasks in managing the resources in the Barents Sea in relation to sales and whales, where a number of populations are now too large and should be subject to much stronger taxation. In particular, this cell applies. It is much easier to hear for a well-founded argument based on administrative principles, if we manage to keep our path clean in our own waters, which we have partly made clear in the 1980s. My question to the Council of State is: Can we afford to lose credibility and status in this area by risking that too low a lot of soldering leads to too little food in the sea?
ParlaMint-NO_2001-01-31.ana.ud1670e1361	For Norway, it is important to operate good marine resource management based on science. We are also based on a good dialogue with the users of the sea, fishermen, and we are actively involved in international cooperation with the EU and Russia in terms of different populations we manage with other countries. For a country that relies on fishing resources in such a way as Norway is, I think it is fundamental just to take scientific into account. That is what we have done in this case, and that is also what can in the long run best strengthen our credibility as an environmental nation and as a fishing nation.
ParlaMint-NO_2001-01-31.ana.ud1670e1368	Once again, I thank the Council of State for the answer. We have to be very careful about fishing for solders. Among other things, in the 1980s, intensive pilot fishing was a contributing factor in the crisis in the fisheries that culminated in fishing stops and in a new coastal fleet management regime. The catches that are now being delivered have a large impact of herring and herring. This could mean that there are less weights in the sea than you've assumed before, and that the quantity you've put up to now can do a lot of damage to the population. This could particularly affect coastal fishermen. Lodda shall lure other fish closer to land. When loods are caught so far at sea, they are considerably less fish for coastal fishermen. Does the Council agree with this description?
ParlaMint-NO_2001-01-31.ana.ud1670e1379	What I agree with is that both caution and science should form the basis for setting the quotas. This is precisely what has been done with regard to the setting of the annual allowances for lotteries, and it is these principles that it would be right to work this year and forward for a fishing nation and an environmental nation.
ParlaMint-NO_2001-01-31.ana.ud1670e1387	I allow myself to ask the following questions to the Minister for the Environment: ‘SFT enters in order to liquidate the emergency storage for oil protection equipment on Fedje. Fedje is very strategic for the most trafficked port in Northern Europe, Mongstad, among others. Does the Council of State think that SFT's proposal is defensive, based on the fact that huge quantities of oil are transported on the keel to and from Mongstad, and that the traffic density in the area is very high, and should it not be focused on prevention and preparedness?"
ParlaMint-NO_2001-01-31.ana.ud1670e1396	SFT has recently carried out a comprehensive environmental risk and preparedness analysis of its oil protection preparedness. The analysis has been aimed at clarifying whether state preparedness to major cases of acute pollution is sufficient in view of the environmental risks posed by oil spills from shipping. The Ministry of the Environment received the report at the beginning of last week. In this report, the SFT proposes how the state’s preparedness for acute oil pollution should be developed in the years to come based on the analyses that have now been carried out. The proposals of the SFT cover more oil protection equipment, training and exercises as well as changes in organisation. As part of its report, SFT has looked at the state depot structure. In this context, they propose to lay down the State Oil Protection Pot on Fedje. The reason for this is that the Fedje depot has poor availability, and that the area is covered by the Bergen depot as well as by the state depot that the SFT proposes to move from Sunund to Florø. In addition, Hydro has extensive oil protection resources at the Sture Terminal, Statoil has extensive oil protection resources at the Mongstad Terminal, and the socket operators’ emergency organisation, NOFO, has an oil shelter in Mongstad. The Ministry of the Environment will now go through this SFT report in depth and we will ensure that views from different teams are taken on location issues in the SFT proposal. This is what we will do before we take a final decision on the level of security to which the State should invest and where the State oil protection equipment should be located. However, I would also like to make it clear that strengthening oil protection must focus on more than the need for mechanical oil protection equipment. Strengthening preparedness must therefore also include preventive measures to prevent the occurrence of accidents and measures taken to limit the level of injury after the accident/hazard has occurred. The government has therefore undertaken a systematic effort to specify both preventive and preparedness measures, and we therefore see the SFT proposal in this context.
ParlaMint-NO_2001-01-31.ana.ud1670e1407	I thank the Council of State for the answer, and I am particularly pleased to be able to confirm that it will also be put up for preventive action. Nevertheless, I would like to stress – and I am somewhat concerned about it – that when looking at measures against acute oil pollution, the SFT actually suggests moving a depot from the seal to the port that it is talking about, and quite far from geographically. We know that time has a lot to say in these contexts, and there are huge amounts of oil being transported here. 500 million. Ton oil is transported on the keel, mainly to and from Mongstad, but also to and from Sture, which is located in the same area. Last year there was a traffic density of 2,700 at the stop town of Mongstad, and at Sture there was also a lot of traffic density. If one looks at the crossing traffic that goes along the coast there, the risk of an accident — and therefore a disaster — is imminent.
