ParlaMint-NO_2001-03-21.ana.ud39e27	The called alternate of the Vest-Agder counties, Anne Berit Andersen, has taken the seat.
ParlaMint-NO_2001-03-21.ana.ud39e840	The Ministry of Social Affairs and Health has recently reviewed and approved regional health plans for the five health regions of Norway. It has been necessary for the approval to take some reservations and clarify some assumptions on the part of the Ministry. This applies, inter alia, to: the relationship with the major development projects referred to in the plans. The plans provide for the mention of major development projects, depending on the location of the project in the planning. However, the Ministry has clarified that the approval of each regional health plan does not involve the approval of the individual development project mentioned in the health plan. It must be stressed that regional health plan decisions do not alter established rules and practices for the approval of hospitals. It is not the region, but the individual county that is responsible for ownership and investment in hospitals. Each project, when completed, must be promoted by each county for approval in the department, possibly government and enlargement. Akershus County Municipality has not yet applied for approval of the construction of Follo Hospital. It is therefore not the case that the Ministry has refused to approve this construction project. However, through the decision of the Regional Health Plan, the Ministry has stated that there is no basis for deciding on the construction of a new hospital in Follo at this time.
ParlaMint-NO_2001-03-21.ana.ud39e851	Now it is the case that before Christmas the department sent a letter to the county with some new signals in relation to the approval of the projects in Akershus, among others. a no for connection between New SiA and Follo Hospital. The ministry announced a closer review of the relationship with other hospitals in Oslo, especially Aker. Several empty floors on Aker are not a good solution for Akershus. We will not, in the future, be given the Agency's sacred budget balance, and I refer to Ullevål's situation over time. What will the Council of State do to prevent such reprisals?
ParlaMint-NO_2001-03-21.ana.ud39e858	It is true that in our communication with Akershu County Council we have raised the question of a possible connection between a new SiA and a possible new hospital in Follo. What we have said in this context is that we want to decide on a possible application for a new SIA regardless of whether to also decide on a project in Follo. We have said that if the county itself believes that there is such a link, the department must of course also have submitted both projects in order to make a decision, which in turn will mean a further postponement of the treatment of New SiA. Moreover, I believe that all such projects must be seen in the context of the capacity of the region, including the other hospitals in the region.
ParlaMint-NO_2001-03-21.ana.ud39e865	Co-location of psychiatric and somatic disorders will result in a significant increase in the quality of treatment provision, especially for patients. This is the case with Follo and New SiA and the dimensioning of both. Free beds elsewhere in the region will help poorly on this relationship. If the necessary processing capacity related to these beds does not exist, this capacity must be expanded. Isn't it natural then to make this increase where people knowingly live?
ParlaMint-NO_2001-03-21.ana.ud39e870	It is always an objective to provide capacity for hospital services, somatic or psychiatric, as far as possible where the population lives and needs services. At the same time, there must be an understanding of the need to see capacity and offer within a region, or within any geographical area, in a certain context. That's why we've said in our communication with the county council that the different projects they're promoting, they themselves have to consider whether to see in context, or whether to evaluate them independently of each other. This is the latest in the case of projects in Akershu County. This does not prevent you from making the connections that the representative Ursula Evje here asks for.
ParlaMint-NO_2001-03-21.ana.ud39e878	I have the following questions for the Minister of Health: ‘It may seem that patients are more likely to suffer minor and major harm in the Norwegian healthcare system now than before. This can lead to the patient, sometimes for a long time, becoming dependent on services, treatment and medicine. It feels very unfair for those who experience this, that excesses are to be paid for the creation or relief of damage that has been done to them. Will the Council of State consider exempting, at least, those who have been awarded damages to patients?’
ParlaMint-NO_2001-03-21.ana.ud39e887	In the case of patients who have suffered damage in the Norwegian healthcare system, those who are awarded damages to patients will be assumed to have all their expenses covered by the compensation payment. This also applies to the excesses for the creation or relief of damage caused to them. On this basis, I don't think it is right to exempt this group from paying prostheses. Patients who have suffered damage during treatment in parts of the private specialist healthcare service are currently not covered by Norwegian Patient Damage Compensation. In some cases, it has proved difficult to achieve a claim for compensation for these patients. However, the government has submitted a bill that extends the patient injury regime to include private healthcare, and I refer here to Ot.prp. No 55 for 1999-2000, on the Patient Injury Compensation Act, which is now under treatment in the United Kingdom. With this law, all patients will have the same rights and the requirements will be dealt with in accordance with the same legislation.
ParlaMint-NO_2001-03-21.ana.ud39e894	I thank the Minister of Health for the answer. There are more and more people who turn to me and ask whether it may be right that patients should be required to have their share of follow-up treatment for damage caused by the healthcare system to the patient. I can understand the practical difficulty of keeping these patients apart during a busy everyday life in hospitals and outpatient clinics. Equally, I believe it is completely unreasonable that patients who have suffered damage during hospital treatment, during the follow-up and treatment of this damage, should be required to pay for their indebtedness. Does the Minister of Health not also think that this can be very unreasonable in relation to the individual patient, who has to pay from DKK 185 up and down for each consultation? I am talking about the damage that has been done in public health.
ParlaMint-NO_2001-03-21.ana.ud39e901	Yes, I understand that this can be seen as unreasonable, but I repeat that if these patients are admitted to compensation for the damage caused, they will also have already been paid the cost of the future treatment for the repair or relief of the damage that has been caused, and it is therefore also right that they should be charged for the excesses for which they have been paid in the past.
ParlaMint-NO_2001-03-21.ana.ud39e906	I thank you again for the answer from the Minister of Health. The starting point for this issue concerns a patient who has also been admitted to a patient injury claim. In a case like this, I think it absolutely must be right that this patient is exempted from self-interest, which the patient does not become. The case is that it takes between two and three years to settle a patient injury claim from the Patient Injury Compensation Study. In the meantime, the patients go to the hospital and receive post-treatment and follow-up and have to pay each time from 185 kroner and up. This, I think, is unreasonable. Could it not be put into practice that patients who are injured in hospitals can pick up these excesses and get them refunded from the hospital that has damaged the patient? It should be a simple, good practice to follow.
ParlaMint-NO_2001-03-21.ana.ud39e913	I fully agree that the length of the procedure in such cases may be a burden for the patients involved, and that it may seem unreasonable. I repeat that if a replacement is awarded because it is proven that it has actually been damaged, these excesses will also be refunded through the compensation measurement. The problem is that if you pick up, as the representative of Alvheim here suggests, you are of course at risk of getting into the situation that it is not shown that there is an injury that has been caused, and you will then have to pay the actual costs. But without knowing the specific matter referred to here, it should in my view be possible to find practical arrangements for the problems that this is about.
ParlaMint-NO_2001-03-21.ana.ud39e921	I will be allowed to ask the Minister for Health the following questions: ‘In connection with the treatment of the Patient Rights Act, it was legal that all counties should have a patient representative. This ombudsman should have a free position so that one should not be subject to political instructions from the county council. However, there have been cases where a county council will instruct the patient representative to be a secretary to the Patient Ombudsman Council in the county, against the wishes of the Ombudsman. Does the Council of State consider this to be in line with the provisions of the Act on the independence of the Ombudsman?’
ParlaMint-NO_2001-03-21.ana.ud39e930	The patient representative system shall satisfy two overriding considerations. First, it shall ensure that patients have their health rights respected. Secondly, it should be a means of maintaining and improving the quality of health care. In order to carry out these tasks, it is important that the patient representative has an independent position. This was an important prerequisite in the preparation of the provisions on patient representative in the Patient Rights Act, which was adopted by the Stortinget in 1999. It was pointed out in the preparation of the provisions on patients’ representatives that county associations would provide a direct link to those authorities that have the administrative responsibility for the part of the healthcare in question. However, experience from the patient representative system prior to its legalisation suggests that patients’ representatives have been able to have an independent role. In order to ensure that there is no doubt that the patient representative is independent of the responsible body, a provision was included in the second paragraph of Section 8-2 of the Patient Rights Act that ‘The Ombudsman shall carry out his activities independently and independently’. The preparatory work of the Patient Rights Act will leave it up to the individual county council to decide whether to attach an advisory panel to the patient representative in the county, as has been done for several patient representatives under the former scheme. This may be done, provided that the county council is not, by means of the advisory panel, given an instruction authority to the patient representative in individual cases. It will be up to the individual patient ombudsman and county council to find solutions that allow the patient ombudsman to carry out his duties satisfactorily. It follows from this that I believe that a county council should be restrained from instructing the patient representative to carry out tasks against the Ombudsman's will. At the same time, I must stress that I do not mean to take any concrete position on the cases referred to by the representative Nesvik.
ParlaMint-NO_2001-03-21.ana.ud39e941	I am here with the instructions for the patient representative in Northern Ireland, which is at the heart of the matter here. And I would like to be allowed to refer from Section 12, where you say in other sections: «The patient ombudsman shall provide the Patient Ombudsman Council with information on the plans of the patient ombudsman.» And in the third paragraph: ‘The patient representative shall be the secretary of the Patient Ombudsman Council. The Ombudsman shall have the right to speak and propose, but shall not have the right to vote.’.» The Patient Ombudsman Council, inter alia: in the Nordic region, consists of three politicians and two others. The Ombudsman has made it clear that it does not want the secretarial function of this Council, both for the purpose of working capacity and for the purposes of its legal purpose, because of any governance. Does the Minister of Health not see the problem that the county council wants to force a patient representative into the type of role proposed here?
ParlaMint-NO_2001-03-21.ana.ud39e958	I refer again to what I have said, that it is a prerequisite for the patient ombudsman system to be able to work completely independently, also by the body that owns the institutions that the patient ombudsman has its role in relation to. And it follows from what I said, that a county council should not be able to instruct the patient representative in individual cases. I also believe that this is due to the fact that a county council should not instruct a patient representative to carry out tasks that the patient representative himself believes are incompatible with the legal requirements.
ParlaMint-NO_2001-03-21.ana.ud39e963	There is, of course, variation in the way individual county councils have implemented the patient representative scheme, and not all of them, among other things. has a patient ombudsman board. The patient representative in the Nordic region was probably the first patient representative to put in place in this country, if not my knowledge in that area is completely wrong. They were at least very early out. It must be stressed here that the patient representative himself feels that this would be contrary to what a patient representative is going to do, and one also feels a conflict with what the Patient Rights Act stressed in relation to the independent position. I'm not going to try to draw the Council of States even further in giving an answer, either in one direction or another. However, we now find ourselves in a situation with a possible state acquisition of hospitals in Norway. Will the Council of State then again consider how the patient ombudsman role should work?
ParlaMint-NO_2001-03-21.ana.ud39e972	The last thing I can do is confirm. I will, of course, consider that. There is something we are concerned about in the preparation of the bulk proposal that comes about a state acquisition of the specialist health service. I have to say again that it is difficult to decide on specific individual matters that are presented in this way, but I repeat that the condition of the law is that a patient representative should work independently, and that a county council should not instruct a patient representative in individual cases, nor otherwise define the work of the patient representative in such a way that the Ombudsman himself finds incompatible with the law's intention of independence.
ParlaMint-NO_2001-03-21.ana.ud39e982	I have the following questions for the Minister of Health: «During the treatment of St.prp. No 87 for 1991-92 On a new rickshospital, Stortinget decided that in the construction of a new rickshospital it would also be built a new hospital in Follo. A new hospital in Follo is not included in the Social and Health Ministry’s decision on regional health plans for 2001–04. Does this mean that the Government and the Council of State will not follow up the Stortingen's decision to build a new hospital in Follo?»
ParlaMint-NO_2001-03-21.ana.ud39e991	Let me first mention the relationship between construction projects and regional health plan. Regional health plans shall mention major construction projects, depending on the progress made in planning the project. The Ministry of Social Affairs and Health has underlined that regional health plan decisions do not mean the approval of individual construction projects mentioned in the health plan. The approval of the construction project will follow the established rules and approval schemes, based on the application by the individual county. In 1988, in the context of the review of the construction of the New Rikshospital, the majority of the Social Committee at the Innst. S. No 308 for 1987-88 the following: ‘The majority understand that the choice of Gaustad as the location of a new rickshospital presupposes the construction of a new local hospital in Follo by Akershus County Municipality. The majority assumes that representatives of the hospitals concerned and of the user groups in health region 2 are involved in the further planning work.» I do not see this as a final decision on, rather, the approval of a new hospital project, but as an expression that the Stortinget has provided that the district council promotes such a project based on the assessments that the county council must make in terms of future needs. It is on such a basis that the Government and the Council of State can follow the assumption of the Grand Duchy. There is no such application from Akershus today. The Ministry of Social Affairs and Health has, as you know, underlined that the approval of the regional health plan, which includes Akershus, does not involve the approval of the development projects recommended. By decision of the Regional Health Plan, the Ministry has stated that no basis has been found for deciding on the construction of a new hospital in Follo at this stage.
ParlaMint-NO_2001-03-21.ana.ud39e1007	I thank you for your answer. I was about to say that now it was about keeping my tongue straight in my mouth, for this was not obvious to understand at first. What matters to me now is the status of what I refer to in my question, i.e. St.prp. No 87 for 1991-92, which has an Annex 2 which refers to the construction of a new hospital in Follo on the basis of the decision on the location of the Rikshospitalet in Gaustad. What's this status? Is it so that the government sees this as the Stortinget wants a hospital to be built in Follo, I can in a follow-up come back to what the further procedure might be like?
ParlaMint-NO_2001-03-21.ana.ud39e1014	I have at least tried to clarify the status I do not think it has, by saying that I do not perceive it as having been approved by the Stortinget in 1988, as the Stortinget thus approved a specific extension project for the hospital in Follo. What Stortinget expresses is a premise that Akershus County Municipality will build a new local hospital in Follo, and I assume that it is believed that Akershus County Council must make proposals for, in concrete terms, the various considerations that the county council has to take in relation to the coverage of hospital services in the county municipality. And that's what I'm saying: Such an application, such a project does not exist today. The Government must follow up its decision on the basis of the type of project proposal.
ParlaMint-NO_2001-03-21.ana.ud39e1019	I suppose the Council of State understands that after ten years of waiting, the Follo people are somewhat disappointed that there has been no clear answer as to whether or not a hospital will be built. So let me ask the question in a slightly different way. I know that Akershu County Council has been asked by the Department to investigate three projects. Now that you're asking for it, is it so to understand that the Council of State believes that there is a need for a hospital in Follo? That's what's the jumping point now. Can we count on support from the Labour Party Government if such an application is formally promoted from Akershu County?
ParlaMint-NO_2001-03-21.ana.ud39e1024	I must again try to keep my tongue so far in my mouth that I am not here and now giving myself to deal with a specific project, and stress that there is a question that any health authority must address on the basis of a proposal from the responsible builder, which in this case will be the county municipality. It is understandable that many years of waiting can lead to impatience, but at the same time I must stress that it is the county council which, based on the county council's assessment of needs and how best to meet the needs, has to come up with the projects to be decided and approved by the health authorities. But otherwise, I think I can assure you that any government council and government will know that the Storting's assumptions will somehow also be followed up by practical action.
ParlaMint-NO_2001-03-21.ana.ud39e1039	This question has been postponed to the next Question Time.
ParlaMint-NO_2001-03-21.ana.ud39e1045	This question, from the representative Oddbjørg Ausdal Starrfeld to the Minister for Culture, will be answered by the Minister for Health on behalf of the Minister for Culture.
ParlaMint-NO_2001-03-21.ana.ud39e1048	I would like to ask the Minister of Health, who will answer on behalf of the Minister of Culture, the following questions: ‘I’m going to see Dagbladet’s web page under the column ‘in your opinion’ on 15 March 2001. Can the Council of State ensure that the editorial responsibility for web newspapers is indebted to them in the same way as for paper newspapers?’
ParlaMint-NO_2001-03-21.ana.ud39e1057	The Internet is not a legal room. In general, the same laws apply as elsewhere in Norwegian society. With regard to the provisions of the criminal law on editorial responsibility, it is per year. the extent and the extent to which these apply to Internet-based services, such as online newspapers. The Ministry of Culture is now working with the Ministry of Justice to clarify the editorial responsibilities of electronic information and communication services and has set up a working group led by Professor Jon Bing for this purpose. The group's report will be available before the summer. Otherwise, I can show that Norwegian editors have highlighted a responsibility for the content published on the Internet. In October last year, the Norwegian Editorial Association launched a ‘seal’ to mark the publication according to the principles laid down in the Editorial plaque and in the ethical guidelines of the press.
ParlaMint-NO_2001-03-21.ana.ud39e1066	I thank you for your answer. I'm glad that a person is working on regulating, as in any case I experience it, a rather unregulated room. I wonder if it is uncertain whether the editor's responsibility relates to online newspapers. I was aware that it could be related to other entries on the Internet, but not newspapers. What this applies to is an article in the newspaper's web page last Thursday, March 15. It's gross shooting, because it says: "Shoot Grete Fossum!Oh, my God! A terrible man who kills other living creatures to serve the goodwill of the "book" saying." I am not particularly in doubt that these must be statements that would never have gone through in paper newspapers. I'd like to ask the council if he doesn't think this is outside of what an editor can go through. The editor of Dagbladet is also responsible for Internet newspapers.
ParlaMint-NO_2001-03-21.ana.ud39e1082	Firstly, I repeat that in general, the same laws as the Norwegian community apply to the Shikanes, threats, etc. put forward, whether over the Internet or otherwise. I also have to say that there should be no doubt about what I, the Minister of Culture or the Government think about that kind of opinion, whether it's in online newspapers or it's in other media. However, uncertainty is particularly true in relation to the criminal law editor's responsibility over the Internet, given that the definition of «editor» in Section 436 of the Criminal Act is linked to the concepts of journal, journal and broadcasting. The expert group I referred to will clarify how far this provision also applies in the network area and, where appropriate, what to do in order to clarify it in the future.
ParlaMint-NO_2001-03-21.ana.ud39e1089	I'm glad that one takes this seriously, because this is just the beginning of something that we're going to see more and more of -- not such entries, but that we get access to information and views from people over the Internet. I am pleased with this group of experts who are working, and I hope that they too, in addition to looking at these online newspapers, where it is easy to find out who is responsible, also looking at the websites, the homepages of different teams, organizations and people, to ensure that there is always a responsible person who can stand by and who has to take responsibility for what is on these pages. There have been several examples that one has gone far beyond what one should allow, on some of these Internet sites.
ParlaMint-NO_2001-03-21.ana.ud39e1094	I have taken note of the representative's view on this and will ensure that it is presented to the Ministry of Culture and to the group of experts I mentioned who are working on these issues and who are supposed to submit their report before the summer.
ParlaMint-NO_2001-03-21.ana.ud39e1102	This question, from Leif Helge Kongshaug to the Minister for Fisheries, will be answered by the Minister for the Environment on behalf of the Minister for Fisheries.
ParlaMint-NO_2001-03-21.ana.ud39e1105	I would like to ask the Minister for Fisheries the following questions, which I understand will be answered by the Minister for the Environment: ‘The offshore areas outside the North-West are among the most trafficked, weather-resilient and unclean in the country. Annually, 13 000 ships sail on the route. Traffic is growing as a result of high fishing activity, increased oil activity and large expansions such as the methanol factory on the Tjeldbergodden and the modernisation of Hydro Aluminium on Sunndal. Do the Council of State agree that there is now a need for an increased focus on safety along the coast of the North-West and that the establishment of a traffic centre on the North-Murmer coast is a proper and necessary measure?’
ParlaMint-NO_2001-03-21.ana.ud39e1114	I agree that there is a need for greater attention to be paid to safety along our coast. The government has therefore undertaken a work on maritime safety involving a number of ministries. This is explained in previous Questionnaires this year. The representative of Kongshaug is asking for the establishment of a traffic centre for the North West in particular. Safety at sea must be seen in a broader context. There are several factors that play in and work together to improve safety. A fundamental condition is that there are persons with good maritime knowledge on board the vessels. As from 1 May 1995, the obligation of unloading was therefore introduced within the baseline for vessels above 500 gross tonnes and at lower limits for vessels with dangerous or polluting goods. For the North West and Trøndelag, with the exception of Trondheimsfjorden, it was not previously an obligation. Vessels of any size and with all kinds of cargo could sail freely without being unloaded also in internal waters. Another key factor is the maps and navigational aids available to vessels. For example, Veritas has previously estimated that using accurate electronic maps, combined with electronic navigation aids, can reduce the number of basic supports by up to 40 pst. Improvement of the charts, including the electronic ones, is one of the areas included in the Government’s commitment to maritime safety. The experience with traffic centres, in Norway and elsewhere, is that they have the highest risk reduction effect where there is high traffic. In particular, there is the risk of such a service being affected by collisions. On the one hand, the traffic centres already established in Norway are to deal with large traffic of vessels with dangerous or polluting loads, such as the traffic centres in Brevik and in Fedje, and on the other hand a generally high and cross traffic, such as the traffic centre in Horten. The central traffic centre, which is under construction on the White Sea, will also cover a high-traffic waters. The operating costs of all existing traffic centres are borne by ship traffic. In the past, the Coastal Directorate has looked at the need for central traffic services in the North-West in connection with the establishment of the facilities on the Tjeldbergodden. The traffic was not considered to be so large that it should be built a separate traffic centre. I don't think it's right to start a discussion now about whether or not it should be a traffic hub for the North West. Safety at sea should be assessed in a broader context, as the Government is now doing.
ParlaMint-NO_2001-03-21.ana.ud39e1131	I'll be able to thank you for the answer. It's true, as the Council of State says, that such centres are established where there's a lot of traffic. There will also be such a traffic centre in Belarus, as was mentioned here, and in addition, the Prime Minister has repeated the Minister of Fisheries signaled for some time ago that Finnmark will have its own coastal monitoring traffic centre. I want to make the Council aware that in five years' time, 40 psts are going on. of Norway’s oil-related production outside central Norway. It is about the landing of gas, condensate and the processing of gas from the Worm Lange and its further deployment. Is it not then the Council of State agrees that there are so many signals that we will have a significant increase in traffic associated with oil production outside Middle Norway, that it must have its legal place and its legitimate focus in view of a traffic centre, cf. what has been said about the Finnmark coast?
ParlaMint-NO_2001-03-21.ana.ud39e1140	As I said in my reply, the government believes that the issue of a traffic centre in the North West needs to be seen in a wider perspective and in conjunction with all the measures we are now working on in terms of coastal safety. In that work, we do not exclude any tools, but we would like to see them in relation to each other and evaluate them against the value of use. We will therefore continue to consider which measures can best serve safety, and in this particular area, we will place very great emphasis on many of the basic factors, such as navigational charts, labelling of the navigational manager and the obligation to leave, as I have mentioned, as a basis for assessing further concrete measures.
ParlaMint-NO_2001-03-21.ana.ud39e1145	I agree with the Council of State that we need to look at this in the context of the various measures that need to be implemented, and it is gratifying that in the context of the budget, one person was again given money to continue working on digital charts. It was important. Nevertheless, I am not satisfied with the answer given. We also record that there is talk of transporting nuclear waste to Russia. We also know that oil transport from North-West Russia has had a significant increase, and this increase will lead to an increase in transport along the Norwegian coast, so it is important that one here is determined and that one is acting. If a 70,000 ton emits oil, it will cause large sections of the coastline to be asphalted. In this context, it is also important to consider an extension of the territorial limit from 4 to 12 nautical miles. Does the Minister for the Environment agree that it is important to give priority to this in order to provide the necessary time for auxiliaries in a crisis situation?
ParlaMint-NO_2001-03-21.ana.ud39e1156	I can confirm that the possibilities for, and the danger of, transporting nuclear waste along the Norwegian coast up to Russia are part of the challenges we are looking very closely at in maritime safety, and we have addressed this with the Russian authorities, for this is an unacceptable situation in the future. We have also taken up the relationship with oil transports in such a way that it will be necessary to extend the agreements we have with the Russian authorities, which today include alerts in case of accidents, to include warnings in case of such shipments. I hope that we will avoid transporting nuclear waste at the time of international work – a pressure on the Russian authorities – and I hope that we can get binding agreements on warning dangerous shipments on the oil side. I also believe that enlargement of the territorial border is one of the measures that can become important to enforce Norwegian law and improve coastal safety. That is why the Government is also considering this proposal.
ParlaMint-NO_2001-03-21.ana.ud39e1168	I would like to ask the Minister for the Environment the following questions: «Through the media we are made aware that Norwegian Glass recycling has problems getting rid of collected glass in Fredrikstad. In Meråker in Nord-Trøndelag, the company Umwelttek glass is missing for its production of insulation and assesses imports from Sweden and Germany. What can be done to ensure that the glass present in Central Norway is not driven to Fredrikstad, but made available to this company?»
ParlaMint-NO_2001-03-21.ana.ud39e1177	I reacted, like the representative Gaundal, with wonder when I was made aware of this matter. It seems natural that glass collected in Central Norway is used for recycling in the same area. The rapporteur, Mr Langsavold in Meråker, has also addressed me in this matter. Let me first explain the role of the authorities in this matter. In line with the waste policy, the authorities have facilitated the reuse and recycling of drinking packaging through the use of taxes. The base tax on disposable packaging stimulates reuse, and the environmental tax provides incentives for recovery by reducing it as recycling progresses. The different recovery systems established by business are evaluated each year in connection with the determination of an approved return share by the SFT. If a system does not achieve a high return and recovery rate, a higher charge will be charged on the packaging. Within these framework conditions it is up to the industry actors to adapt. In order to ensure the effective implementation of the systems, the authorities do not enter into and detail the individual arrangements and their arrangements in terms of the manner or location of recovery. This is regulated by agreements between the actors, which are mainly municipalities and intermunicipal companies, recycling schemes and the recipients of the waste-based raw material, in this case the glass raw material. Norwegian Glass Recovery AS is established by importers and users of glass packaging that are subject to environmental taxes. The purpose of the enterprise is to contribute to the recycling of glass and thus to the reduction of the tax. Norwegian Glass Recovery has built up an approximate nationwide system for the collection of glass packaging, the iglo system, in agreement with the municipalities. The municipalities that collect the glass choose freely whether to cooperate with Norwegian Glass Recovery or to deliver to other potential beneficiaries such as Environmental Technology Mid-Norway AS. The Ministry of the Environment has not concluded an agreement with Norsk Glass Recovery AS. The framework conditions set out by the authorities do not prevent Environmental Technology Mid-Norway AS from reaching an agreement with the local operators or Norsk Glass Recovery AS if the economic and practical conditions are appropriate. Norwegian Glass Recovery AS is developing new applications for recycled glass and is concerned with finding new recipients of the raw material. I am aware that Norwegian Glass Recovery is interested in the fact that Environmental Technology Mid-Norway AS should be able to accept packaging glass through the iglo system in its own region and that they are in contact with the company in this regard. In order to contribute to a cost-effective approach to the objectives of waste policy, framework conditions are laid down to ensure waste minimisation and recovery. It is up to the actors to develop the concrete solutions, and it would not be natural for me to regulate the relationship between companies that are negotiating the purchase and sale of a commodity. Nevertheless, I encourage the parties to find solutions so that locally collected glass can be used by Environmental Technology in Central Norway.
ParlaMint-NO_2001-03-21.ana.ud39e1194	I thank the Council of State for the answer, and I am happy for the signals she gives when it comes to getting a practical solution to the situation. The company Environmental Technology Mid-Norway AS has 13 employees today. Last year the company recycled 2.7 million fluorescent lamps and 2.5 tonnes of return glass. They sold 17 000 m3 of hasopor to road and construction projects in central Norway and Sweden. Due to the lack of return glass, the company, in consultation with the employees, has decided to stop working for seven weeks. At the end of the year, the company entered into an agreement on waste glass from Sweden and the company is now negotiating receipt from Germany. This matter seems so unreasonable to me and many others because there are large amounts of glass in Middle Norway that are transported to Fredrikstad. Every year it's 5,000 tons. In addition, when there are problems to get rid of the glass in Fredrikstad, it seems reasonable to me that one should find solutions so that the company in Meråker can obtain the return glass for its production. If we are to maintain credibility and openness about the environmental system, we must avoid such issues.
ParlaMint-NO_2001-03-21.ana.ud39e1201	I believe that the contact between the companies here can contribute to a reasonable solution by the fact that the glass collected in Central Norway is also delivered to the company Umwelttechnologie Mid-Norway AS. And I hope that the attention that is now about the matter, not least here, also contributes to such a positive result. And as I said in my answer, I'm busy encouraging the parties to find such solutions, and I believe they can do it in a good way.
ParlaMint-NO_2001-03-21.ana.ud39e1206	I am pleased that the Environment Minister so strongly encourages the parties to find solutions so that locally collected glass can be used by Environmental Technology Mid-Norway AS. I am aware that this has to do with both price and practical solutions between the companies, yet I believe that the answer is very good. There is also a question as to whether municipalities might get stronger on the road. As I said, measures such as this need to be designed in such a way that we receive broad attention and maintain the credibility of our environmental policies.
ParlaMint-NO_2001-03-21.ana.ud39e1211	I would like to keep in touch with the municipalities on matters like this, and that is why I am in contact with the rapporteur in Meråker on this matter. It is important to pay attention to such issues, because it can help to find the sensible and practical solutions we need to achieve a good environmental policy, and also to promote environmental policy by the actors set up to do the job.
ParlaMint-NO_2001-03-21.ana.ud39e1219	This question, from the representative of Øystein Hedstrom to the Minister for Agriculture, will be answered by the Minister for the Environment on behalf of the Minister for Agriculture.
ParlaMint-NO_2001-03-21.ana.ud39e1222	I have a question for the Minister of Agriculture who will be answered by the Minister for the Environment: «Continent foot-and-mouth disease opens up new opportunities for the export of Norwegian agricultural products. Following significant dumping of Norwegian overproduction in 1998 and 1999, the market is now in balance. Norwegian Meat, which has market regulation responsibilities, has introduced a number of costly production-limiting measures. Does not the Council of State think it is time to wind up these measures in the light of the new export opportunities for Norwegian farmers?’
ParlaMint-NO_2001-03-21.ana.ud39e1231	The balancing of food markets is a key challenge in agricultural policy both in Norway and in many other countries. Due to the overproduction of meat in Norway, Norwegian Meat Cooperation as market regulator implemented several regulatory measures last year. These measures have resulted in a market balance for meat. Because we now have a balanced market, the regulatory measures for this sector are largely liquidated. It is implemented, inter alia: no regulatory export at this time. The only regulatory measure that Norwegian Meat continues to maintain is support for the specific quality production of medium-calf. However, this measure is implemented not only for regulatory reasons but also because it contributes to the establishment of a production of and a market for veal in Norway. Support for this measure has been approved by the Management Board for the first half of 2001. In general, the Turnover Council will at all times approve and dimension the regulatory measures in the light of the current market situation. Both the Council and the market regulators stress the need to avoid costly regulation financed by producers through the turnover tax. As regards the possibilities for the export of Norwegian beef, I would like to point out that the production of beef is currently adapted to domestic consumption and is only slightly oriented towards foreign markets. This is due both to our national cost and price levels and to the fact that Norwegian meat on the export market meets with high customs duties, for example. into the EU. Although Norway has a good BSE status, I think it may be short-term for Norwegian agriculture to use this as a key element in the marketing of Norwegian meat. In the long term, however, I believe that we can export agricultural products within certain niches, but that in such export work we must build on the diversity of our agriculture and our natural quality advantage rather than seeking to exploit the cow population crisis in the EU. Of course, if the export possibilities for beef were to be in question within those limits, they should be exploited. We should expect that in the future there will also be a lack of adjustment between the production and demand of Norwegian agricultural products. As there are limited opportunities for commercial accounting exports of Norwegian meat, we therefore need to maintain the possibility of taking advantage of market regulation measures in the meat sector.
ParlaMint-NO_2001-03-21.ana.ud39e1246	I thank the Council of State for the answer. She said quite correctly that Norwegian production is to be adapted to the Norwegian market, but the detailed market management system we have in this country in the agricultural sector does not work. In 1998 and 1999, we had a huge overproduction that had to be dumped internationally. It is a well-known economic phenomenon that when you inject significant billions into an industry, it becomes overproduction, i.e. when you use such instruments. What happened next time? Well, then the authorities put in place new measures that cost a significant million to bring production back down. I can mention this with grants for the production of medium-calves, grants for the slaughter of calves and the reduction of pig production – all this shows that the system we have is not working. Does the Council of State think it is forward-looking to continue with this detailed regulation?
ParlaMint-NO_2001-03-21.ana.ud39e1255	We have no detailed regulation. We have had instruments that have actually led to a very good balance on the production side, and today we have a market that works. We will always have to assess the measures taken in this market, and we do not exclude the possibility that, in the longer term, we may be exporters of agricultural products within certain niches. However, this must be done within reasonable and sustainable frameworks, and there has been a good balance in the measures taken.
ParlaMint-NO_2001-03-21.ana.ud39e1260	I thank the Council of State for the additional response. It's true that we're now in balance. What is now feared in food production in Norway is that we will have a deficit. The farmers today charge the target prices, i.e. maximum prices, and they can even take out 10 pst. Could not This is directly contrary to what Mr Håkon Hanssen wants, namely that we should bring down food prices in Norway. Firstly, we are now at risk of getting too low a production, and there are problems importing from abroad because of cow's jealousy, etc. On the other hand, we do not exploit this competitively. What are the Council's comments on this?
ParlaMint-NO_2001-03-21.ana.ud39e1269	The Council's comments on this are that with the measures to be taken, we intend to achieve both a balance in the Norwegian agricultural market and, of course, to work to keep food prices low. The measures must be implemented at a pace and at a pace that is intelligent and understanding, so that we can both maintain this balance that we have now been able to achieve and look at future export opportunities, but within reasonable limits and those adapted to Norwegian agricultural production.
ParlaMint-NO_2001-03-21.ana.ud39e1274	Question 13 has already been answered.
