ParlaMint-NO_2001-04-26-2.ana.ud1107e15	The representative of Ivar Østberg has asked for the floor to withdraw a private proposal.
ParlaMint-NO_2001-04-26-2.ana.ud1107e561	The power market in Europe is changing altogether. It's going to be fewer and larger companies. Competition's getting tougher. The question is: is the energy nation Norway also going to have a company that can claim in this competition, or is it going to be left entirely to non-residents? Great parts of Kraft-Noreg are for sale. Norwegian municipalities want to exit the power industry. The question is: is there also to be a Norwegian company in the competition to buy these power plants, or is the Norwegian power market to be left to the large international, powerful energy giants? Changes to the European market will not stop because State power is not allowed to participate. The Norwegian power companies that are on sale today will also be on sale even if Statkraft does not make the economy buy them. In other words, it is not Statkraft’s financial situation that determines the development of cork in the Norwegian power market or in the European. The government wants a powerful public owned Norwegian power company in the increasing international competition. State power can help to ensure that we still have a significant public ownership in the power industry in Norway. The strategy to bet on Statkraft is not new. So I can make the previous government my words. In the State budget for 2000, it says: ‘Norway may face a period of increased restructuring in Norwegian power supply. State power should be able to contribute strongly to the management of public capital, ensure Norwegian public ownership and maintain hydropower competence. Furthermore, the commitments to the power-intensive industry provide sufficient strength to Statkraft.’ The Labour Party and SV support the previous Government that it was important to have a strong State force to meet the new situation in the power market. I must admit that I am surprised that some party that was behind the previous government, today does not stand behind the policy they themselves were in for. State power aims to strengthen its position in the market by focusing on nuclear activity, a process that started in 1996. State power has a strong position before the operation of hydroelectric power stations and the disposal of energy. In addition, the company has built up a great deal of experience and competence before wholesale by force. I mean that the strategy of state power is right in relation to the leader's position and the development of industry. With the rapid changes now taking place in the power industry, financial freedom of action is a key factor in competition. Statkraft's financial position means that the entity cannot make larger investments in many years unless its equity is strengthened and its loan frame increases. Although power prices have been low for many years, independent valuations show that Statkraft has had good returns. There is good reason to believe that the Government's proposal will help to increase the return and increase the value of the enterprise. Government expects to invest about 55 billion dollars over a seven-year period. Although the main strategy is that the purchase of generating capacity will primarily take place in Norway, purchases in other European countries are not unmistakable. Government has made significant investments in the Swedish company Sydkraft. Government wants primarily to buy manufacturing plants. On the other hand, municipal and county owners have largely sold ownership parts of vertically integrated companies, which include both production, networks and manufacturing. Net and end-user activity is outside Statkraft’s core business, and it will therefore be relevant for the company to re-evaluate its owner’s positions in network and final user business later. State power may enter a market part of Norway before production of about 55 pst. in a few years. Although this market share is significant, there will still be room for other Norwegian operators. In this context, I would like to point out the ongoing deregulation of power industries in Europe. If Statkraft implements its strategy, the entity’s market share in the Nordic region before production will be about 17-19 pst. in a few years. By comparison, Vattenfall has about 20 pst. of the production capacity of the Nordic market today. I have noticed that in the wake of this case there has been a discussion about the role of the Competition Authority. Let me therefore make it quite clear: the Competition Authority does not have the task of assessing whether the State that owns should give Statkraft more capital. The role of the competition authority is to assess concrete purchases in relation to the competition law. That is to say, supervision only has a task when Statkraft uses the capital it has been allocated. Competition supervision has not been overlooked in the work on this matter. In the proposition it is made quite clear that it is the Competition Authority’s task to intervene against corporate services if the supervision believes that the acquisition would lead to, or reinforce, a substantial restriction of competition in accordance with the competition law § 3-11. The failure of the Competition Surveillance Authority to give an ex ante opinion on the cases ensures that supervision can carry out an independent assessment when specific cases are brought, based on the situation at that time. It is not possible to carry out a reasonable assessment of this in advance, based on Statkraft's strategy description. Some have also claimed that a strengthened State force will lead to an increase in prices for final users. Let me remind you what controls the price to the consumers. The electricity bill that people pay consists of three parts: electricity price, rent and fees. The size of the fees will be determined in this hall. State power is to a very small extent involved in networking. The force price is determined by the ratio between supply and demand in the power market. If a company is to be able to influence prices, it must have market power. I have done my best to ensure that the Competition Authority has the task of ensuring that no operator is given market power. We have a common Nordic power market. Developments are moving towards a single European power market, where national borders are subordinated. In such a market, an operator will not be able to influence prices as long as the transmission capacity between countries is sufficient. I would like to stress that the Government has assessed, and joined, the main lines of Statkraft's strategy. The entity must have freedom within this master frame. It is the government of Statkraft's responsibility to ensure that the strategy is implemented in a commercially justified manner. The Governing Board is also responsible for reviewing the strategy if business conditions so require. When the market changes rapidly, it is particularly important that the owner prepares for the company and gives it the necessary freedom of action for the company to continue to develop. Finally, I would like to remind you that the contribution of capital is not a promise, but a money position. The alternative for the state is to place these money – through the oil fund – in foreign companies. I think it's right to use parts of the financial trade freedom Norway now has, to develop Norwegian companies and to value creation in Norway.
ParlaMint-NO_2001-04-26-2.ana.ud1107e602	It's going to be line change.
ParlaMint-NO_2001-04-26-2.ana.ud1107e605	First, I would like to draw the attention of the Council of State to an important joint remark in the committee setting, where a request from the Ministry ‘to return to the Grand Duchy during 2002 with a review of the development of State power as an enterprise and in the power industry for the rest’. It is very important, and then we can also know how this money placement has been managed, and what has been the impact on the Norwegian market. For the Christian People's Party, it's important that this is not a small chapter in a small budget proposition, but that it becomes a proper document that we can discuss properly, and which hopefully becomes a big message. I ask the Council of State to comment on this. Secondly, I would like to refer to a comitology by the majority, the Labour Party, SV and the Central Party, where it says: ‘The majority therefore consider that focusing on Statkraft’s share of Norwegian production capacity is less relevant.’ This is the expression ‘less relevant’ that I would like to challenge the Council of States, because other parts of the Norwegian authorities, i.e. The Competition Authority – and we have been quoting them today – says that they fear that Statkraft is in the process of gaining control of such a significant proportion of production regulation that market power can be exercised in South Norway. Statistical Central Bureau also has representatives who have expressed similar concerns. And then my question to the Council of State is, Is the Council of State also concerned? Is it considered that a correct dosage has been found in relation to the capital injection to Statkraft, or does the Council of State, like its party traps in Stortinget, consider this to be a problem which is «less relevant»? That would be interesting. The Norwegian authorities then disagree with themselves, and I hope that is not the case.
ParlaMint-NO_2001-04-26-2.ana.ud1107e617	First, when it comes to getting a review of State power, of course, I'm going to be part of it in my own way. I have to admit that I haven't made up any point of how best to do it, but I think it's natural that the Stortinget has the opportunity to discuss it on a broad basis. I want to do what I can to follow up the wish of the committee. So to the question of what are Norwegian authorities. Norwegian authorities are so often. Different authorities have different roles to play. When it comes to competition issues, competition authorities have very broad powers. They cannot only react, but they should react if market power arises. Therefore, if the Competition Authority believes that competition is a threat, the supervision should use the authority over which the Competition Authority operates to ensure that competition is still in place. So the question is whether I'm worried. Until that is the answer, no, because I am quite sure that the Norwegian power market is about to become a story. We're already part of a Nordic electricity exchange today. We know that there will be an expansion of line capacity, so bottlenecks disappear. So we're going in the direction of not just a Nordic, but a European power market, where prices are not set in Norway, but in this international market. And in this new market that we see the contours of, Statkraft will be a very small player, so the danger of market power I see as very small.
ParlaMint-NO_2001-04-26-2.ana.ud1107e638	In its contribution, the Council of State attaches great importance to the role of Competition Surveillance as an inspector of competition conditions in Norway. I also expect the Council of State to have great confidence in the Competition Authority's assessments of the market and competitive conditions. This case is based on a Nordic market. In its assessment of the acquisition in Vestfold Kraft and the municipal power company AS of Skiensfjorden, the Competition Authority states: ‘Competition supervision fears that Statkraft is in the process of gaining control of such a significant proportion of the manageable production that market power can be exercised in South Norway.’ It is then obvious that the Competition Authority does not operate with a Nordic market, as the Council of State does, but with a market in South Norway. The Chief Information Officer of the Competition Authority further states: ‘We believe that the concentration in the power market is already large enough. Even in the case of economies of scale, it is minimal to pick up.» My question to the Council of State is: Where have the Council of State taken up views and expert opinions that support the claim that the Competition Authority here is wrong and that one operates with a Nordic market? It is quite clear from the opinions delivered by several actors, including: Competition supervision and the Central Statistical Agency, that this case will lead to an increase in power prices for consumers in Norway. Governments have just also presented a case that points to other factors that increase power prices in Norway. Isn't the Council of State worried that the usual consumer is starting to pay too high a price for having it well and warm at home, which is absolutely necessary in a cold country like Norway?
ParlaMint-NO_2001-04-26-2.ana.ud1107e655	I have to admit that I think there's a flaw in Right's logic in this case, because when you read the comments on Right, right's not a right opponent of Statkraft getting money to make purchases, but they think that they're going to get the money in the market. There will be no less concentration in the market for that reason. The truth is that if it had been our Right who had decided, we would have removed all the regulations in this area. The concession law had been removed. To put it another way: the right is doing everything in its power to enable the large international companies to come to Norway and buy up in the Norwegian power industry. And I have to admit that I have a hard time believing that these big international companies are looking at Norway because they want to take care of Norwegian consumers' interests, there are completely different arguments that make Norway an interesting market. However, it is clear that the right has too much faith in its own argument, and therefore it seems easier to argue for consumers’ interests than to argue for what they are in favour of, namely that the Norwegian power market should be fully and completely open to the large foreign giants. So the question is, do I trust the Competition Authority? Yes, I do. The Competition Authority has extensive powers. Competition supervision shall not only assess, but they shall, in fact, also take action if competition is threatened. This means that if any of the money currently being provided by Statkraft is used to make a purchase that the Competition Authority cannot be found to be in line with the Norwegian competition law, then the Competition Authority shall stop the purchase. But I keep going in the direction of a more and more Nordic and northern European market in this area.
ParlaMint-NO_2001-04-26-2.ana.ud1107e666	In this case, we are invited by the Government to support a capital injection to State power of NOK 6 billion in addition to an increased loan and guarantee framework. So here we're going to use 6 billion healthy tax dollars, and then the Norwegian population is going to have to get electricity prices back as thanks for the help. Get it! Get it, get it, get it, get it, get it, get it, get it, get That's how you can start wondering if we're living in a reverse country. Last week, a forecast was published claiming that we can risk doubling the current price already in the current year. I would therefore like to ask the Council of State whether he takes seriously the prediction from the ICF and to the extent that others have come up with similar predictions? And will the government consider lowering the electricity charge to consumers to compensate for the large increases in the electricity price?
ParlaMint-NO_2001-04-26-2.ana.ud1107e673	It is obvious that there is someone who thinks they have found good arguments through the Competition Authority. But when it comes to the comments of the Progress Party in connection with this matter, they will not prevent State power from growing, but they will prevent the state from participating in that growth. And it's not like one here claims that it's called 'fresh tax dollars'. This is money that the state has, and that's going to be gunned down in every way into a company. So the question is, are they going to be shot into a Norwegian company if today it has a very good return on the capital that is shot in, and that after all will also have a very good return on these money in the future, or will one through the oil fund invest these money in foreign companies? That's what the discussion is about when it's about these money, because the money is going to be put into a company at all conditions. The question is whether they should also be used reasonably here in Norway. So the question is, do I believe in these predictions that are now made? I believe in the predictions I have presented for the Storting. The situation is serious, simply because over the last ten years – or so far over the years after the war – we have had some growth in consumption, but not the corresponding growth in production capacity. This means that we are in a tense situation. We have too little supply of power in Norway, we produce too little electricity. That's the problem. The prices we have now seen are a symptom. I don't think the spot market when it comes to electricity will be lower, or, to put it another way: I don't think there will be any more electricity available in Norway even if the government would reduce the charges in this area. On the contrary, this would probably lead to increased consumption.
ParlaMint-NO_2001-04-26-2.ana.ud1107e683	The importance of the Competition Authority’s views in relation to the issue we are discussing today can certainly be discussed. But I want to ask the Council of State what is the background that the department has not incorporated into the matter that has been sent to Stortinget, a problematisation of Statkraft's position in the market. At the time of the creation of this document, the Ministry was aware that the Competition Authority was concerned that Statekraft is in the process of ‘ having control over such a significant share of the regular production that market power can be exercised in South Norway’. Does the Council of State see that this is information that could be of interest to the Storting? It is a letter to the Committee, with answers to questions, which mentions this opinion of the Competition Surveillance Authority, but which fails to include those elements that have been taken into account and given great importance to several parties today. What is the reason why a person failed to include the information that many have experienced as relatively important and partly alarming? Then I want to ask a little bit about the future. I had a prognosis on State power, that the strategy of State power is to become dominant — not strongly in Norway, as the central parties put it, but to become dominant in Norway — to use that force as a starting point for growth in the European market. Does the Council of State share that prognosis? And does the Council of State believe that such an expansion will take place by adding another $10 billion, or does he expect privatisation to make further expansion possible in the European market?
ParlaMint-NO_2001-04-26-2.ana.ud1107e692	I believe that the document I have sent over in connection with this matter provides a good basis for making decisions. The trends seen in both Norway and the Nordic and European markets have been thoroughly addressed. What we are dealing with today is not a fundamentally new matter. The representative Frafjord Johnson said earlier today that this was the first of a 'two-stage rocket'. That is not the case. This rocket is shot off a long time ago, so it's either second or third phase. It was the previous government that was in and out of the rocket. I would like to remind you that the strategy adopted by the Government of Statkraft, which underlies these decisions, was actively supported by the previous government. We're now doing our best to support the same strategy. Therefore, it surprises me a little bit that the Left is trying to argue so strongly against this that their own party was on while they were putting themselves with the government power. There is a lot of reference today to the Competition Authority. And it is right that the Competition Authority has considered specific issues. But in these assessments, they have not found the basis for putting their foot down, even if they have a legal basis for doing so. In fact, they have found that the investments that have been made to date have not led to concentrated market power. I want to page from the Competition Authority: ‘We have also not found any indications that the potential for the exercise of market power will increase in the future with today’s transmission capacity.’» We also need to include these assessments from the Competition Authority’s side, since they have been made such an important player in this debate.
ParlaMint-NO_2001-04-26-2.ana.ud1107e706	Several have not asked for the word for a line.
ParlaMint-NO_2001-04-26-2.ana.ud1107e709	It's a special day at Stortinget today. In the morning meeting, we had quite a big and, in my opinion, a good debate on our great oil and gas resources, which we have been going to make since tonight's principal, very important, forward-looking decisions, and now we are dealing with the second important resource for the industrial nation of Norway that has brought us forward for decades, namely our hydropower resources. We are in many ways the owners of all these resources, both the two we dealt with in the morning meeting, and the one we are now dealing with in the evening meeting. We in Stortinget have previously said something about what we want as the owners of Statkraft, what we want to use Statkraft for. The majority have said yes to Statkraft's purpose paragraph, and then we have afterwards treated Statkraft in such a way that we have conducted a dividend policy – I myself have been involved in it – that has made Statkraft have very few muscles left in that direction. Now there is a big debate about how we want Statkraft to evolve in the Norwegian market as the situation is there. And what's the situation? It's almost as inconspicuous as it seems! There are a lot of companies that want to sell, want to merge, etc. – a very unbridled, unstructured ownership and production situation on the power market side. And then some people here make Statkraft like the big, ugly wolf! But there's no one here in the Stortinget who's ordering the municipalities or states to sell to Statkraft. No one's going to impose it on them. We have given State power the role we have, to meet the competition, to ensure Norwegian public ownership, to maintain our hydropower competence and to meet obligations towards the powerful industry. State power shall be an active player in the Norwegian market. That is what we have wanted, and we must stand by it. Then we talk about monopoly or not monopoly. We know that ownership is now largely in the hands of the public – approx. 80 pst. But there's a big problem in the counties and municipalities when they're going to go to their owners and ask about capital. Yes, think of the situation of the local government! Then the capital injection is set up against a nursing home etc. The public owners today are not strong enough to do the necessary clean-up on the power generation market that I think is absolutely necessary to meet the challenges in the future. And that's why it's important that we give Statkraft the muscles that we're going to do. The market must and must work. We also say no to a monopoly, for which both the Stortinget and the Competition Authority must be guardians. On the part of the Workers' Party, we want a public ownership, and we clearly say that our fall-back and concession laws should be firm. Then it's said that the power price is fluctuating. Yes, the power price fluctuates seriously and has recently done so. I would like to stress that the power price fluctuated before we decided to make these decisions today. What was the situation on the spot price market in 2000? Well, on average it was 10.3 cents per. kWh. In 2001, the average is about 20 cents per day. kWh. Then the representative says that we live in a ‘reverse country’. Yeah, maybe that's how to understand the Progress Party. You've been saying this for years. That's probably part of the basis for their existence. But I would like to stress that these power prices are a result that is influenced both by the intensity and temperature and not least by the variable costs in the surrounding producing countries of which we are part. We also have to take this inwards. I really believe that the representative Kvassheim will have problems saying that the power price will fall significantly if we stop the capital injection to Statkraft today.
ParlaMint-NO_2001-04-26-2.ana.ud1107e726	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 2774]]
ParlaMint-NO_2001-04-26-2.ana.ud1107e740	No one has asked for the floor. [[Fotation, see page 2775]]
ParlaMint-NO_2001-04-26-2.ana.ud1107e754	No one has asked for the floor. [[Fotation, see page 2775]]
ParlaMint-NO_2001-04-26-2.ana.ud1107e768	No one has asked for the floor. [[Fotation, see page 2775]]
ParlaMint-NO_2001-04-26-2.ana.ud1107e782	Since there is no speaking time in this case, I intend to hold on for a while. No, I'm just going to take up a suggestion from SV in this case, which is on page 2 of the setting, because we think that it is now necessary to clean this up and put the responsibility where it belongs at home, simply at the riding position. We don't think it's necessary for the Storting to hold on to these sailors again, as one did when it came to the riding tax. I shall deal with that proposal.
ParlaMint-NO_2001-04-26-2.ana.ud1107e791	This went faster than the President feared. Hallgeir H. Langeland has taken up the proposal to which he referred. Several have not asked for the floor on case No. 7th@item: inlistbox [[Fotation, see page 2775]]
ParlaMint-NO_2001-04-26-2.ana.ud1107e807	No one has asked for the floor. [[Fotation, see page 2776]]
ParlaMint-NO_2001-04-26-2.ana.ud1107e821	No one has asked for the floor. [[Fotation, see page 2776]]
ParlaMint-NO_2001-04-26-2.ana.ud1107e834	Then we are ready for voting on the issues on today's map. In Case No. 1 no voting theme exists.
ParlaMint-NO_2001-04-26-2.ana.ud1107e843	During the debate, nine proposals have been put forward. It's: the proposals No 1-3, by Mr Voksdal on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 4-9, from Hallgeir H. Langeland on behalf of the Centre Party and the Socialist Left Party Proposals Nos. 4-9, from the Central Party and the Socialist Left Party, is addressed to voting. Proposal No. 4 sounds: «Statoil shall continue to be a wholly owned State company.» Proposal No. 5 sounds: ‘Statoil’s task shall be to investigate, extract, transport, market and sell petroleum and derived products, including the development of technologies for better and more environmentally friendly use and use of oil and gas, and the development of alternative renewable energy sources. Statoil shall contribute to sustainable development.’;» Proposal No. 6 sounds: ‘The size empowers the Government to sell SAD shares corresponding to 20 pst. of the SEDØE values of the Norwegian State oil company a.s., Norwegian Hydro and others.» Proposal No. 7 sounds: «A State pre-emptive right must be attached to the hall of parts of Troll, Worm Lange, Oseberg, Åsgard, Snow White and Kristin.» Proposal No. 8 sounds: ‘SEE its dominant position on Norwegian pedestal shall be continued in future concession rounds.’» Proposal No. 9 sounds: ‘The Government asks the Government to provide a notice to the Storting on how to strengthen its role as authority and how petroleum law and other relevant legislation can safeguard its interests in a new oil policy situation.’
ParlaMint-NO_2001-04-26-2.ana.ud1107e894	The proposals are then put to the vote. 1, 2 and 3, from the Progress Party. Proposal No. 1 sounds: ‘The decision asks the Government to investigate and assess various forms of organisation for a 10 billion petroleum research fund. krona, where the yield is used for technological research to improve the degree of extraction, the economy and the safety of the continental shelf.» Proposal No. 2 sounds: ‘The decision asks the Government to quote and sub-privatise Statoil by: 15 pst. the shares are transferred to the Norwegian people so that each citizen is invited to subscribe for his share of the shares. Everyone who subscribes receives their holding free of charge. This includes all Norwegian citizens over the age of 18. 20 pst. of the shares in the company are offered for sale. Further sales of the country's holding, to a third, shall take place within a period of 10 years from the stock exchange introduction. The remaining shares of the State shall be transferred to the ordinary management of the Ministry of Industry and Trade.’;» Proposal No. 3 sounds: ‘The Government asks the Government to transfer the future management of the SDEE portfolio to the Swedish Public Resources Fund with instructions to optimise the values of the shares.The Fund may, if it finds it economically advantageous, sell shares to the oil companies on the condition that the auction principle is applied.’;»
ParlaMint-NO_2001-04-26-2.ana.ud1107e957	The Central Party and the Socialist Left Party have announced that they support paragraph 2. We're going to vote first over point 2.
ParlaMint-NO_2001-04-26-2.ana.ud1107e968	Øyvind Waksdal – for explanation of vote.
ParlaMint-NO_2001-04-26-2.ana.ud1107e971	I signaled in my post that the Progress Party supports points 3 and 6. We ask to vote against the remaining ones.
ParlaMint-NO_2001-04-26-2.ana.ud1107e976	The points 3 and 6 are added to the vote.
ParlaMint-NO_2001-04-26-2.ana.ud1107e987	Then there is still voting over points 1, 4 and 5.
ParlaMint-NO_2001-04-26-2.ana.ud1107e1001	Four proposals have been put forward during the debate. It's: proposal No I, by Bent Höie, on behalf of the Right and the Progressive Party, 2 and 3, by Hilde Frafjord Johnson on behalf of the Christian People's Party proposal No. 4, from Hallgeir H. Langeland on behalf of the Socialist Left Party Proposal No. Four, from the Socialist Left Party, is addressed to voting. The proposal reads as follows: ‘The decision asks the Government to ensure that: State power shall not invest in companies that are acting contrary to the Kyoto Agreement or that will not phase out nuclear power. If State power buys up power from municipalities, a minimum price, corresponding to the cost of building up new power, shall be paid. Municipalities wishing to strengthen their own energy companies by purchasing are offered favourable loan conditions by the authorities, except if they have a partial privatisation objective.»
ParlaMint-NO_2001-04-26-2.ana.ud1107e1034	The proposals are then put to the vote. 2 and 3, from the Christian People's Party. Proposal No. 2 sounds: ‘The State budget for 2001 shall be amended as follows: Cape. 1860 State enterprises under the Ministry of Oil and Energy, Item 90 Investment capital, granted by... kr 4000000’» [[New]] Proposal No. 3 sounds: ‘The Government agrees that the Ministry of Oil and Energy may extend the Government’s loan and guarantee framework by up to 8 billion. kroner, from 42.5 billion. $50,5 billion. crowns.’»
ParlaMint-NO_2001-04-26-2.ana.ud1107e1061	It is then put to the vote on proposal No. 1 from the Right and Advance Party. The proposal reads as follows: ‘The decision asks the Government to prepare for a partial privatisation and listing of State Power.’
ParlaMint-NO_2001-04-26-2.ana.ud1107e1130	There is a vote on the proposal by Mr Brother Yngve Rahm on behalf of the Christian People's Party, the Socialist Left Party and the Left from the Odelstinget meeting on 27 March 2001: ‘A national gas land-based gas centre is established. The centre shall be located on Haugaland.’»
ParlaMint-NO_2001-04-26-2.ana.ud1107e1146	A vote shall be taken on the proposal by the representative Bent Höie, on behalf of the Right, submitted by the meeting of the Odelsting 27 March 2001: ‘The revenue of the EFF shall be allocated to the State budget.’;»
ParlaMint-NO_2001-04-26-2.ana.ud1107e1162	There is a vote on proposals submitted by the Odel Stingen meeting on 27 March 2001: ‘The Government is asked to come back with an assessment of who will be responsible for following up the national gas strategy in the context of the treatment of the notified natural gas wholesale notification.’
ParlaMint-NO_2001-04-26-2.ana.ud1107e1179	During the debate Hallgeir H. Langeland put forward a proposal on behalf of the Socialist Left Party. The proposal reads as follows: ‘The Government requests the Government to ensure that the principle of ‘pollutants pay’ is applied within Norwegian territorial waters – by the end of 2001 at the latest.’
