ParlaMint-NO_2001-02-21.ana.ud63e36	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2001-02-21.ana.ud63e942	I thank the Minister of Health again for the answer. The Health Minister knows very well that the City Council has ordered Ullevål Hospital to save between 300 and 400 million. kr in the current year, and so here you take this important function in relation to patients to save NOK 200,000. Pain treatment at our hospitals must not be built down, at my discretion, but must be stepped up. Being a patient with pain 24 hours a day can be difficult for us to get into. Has the Minister of Health personally assured that the pain patients now thought to have moved to Aker Hospital will not have longer waiting time, and that they will receive the same professional, good treatment at Aker Hospital as at Ullevål Hospital?
ParlaMint-NO_2001-02-21.ana.ud63e953	I must point out again that no decision has been taken on this in the Municipality of Oslo. There is a question raised from Ullevål Hospital. What I have been assured of is that it is a professionally very good offer for pain treatment at Aker Hospital, and that the waiting time is relatively short. And what I'm saying is that if this is a current proposal, in the sense that it will be implemented, it must be a prerequisite that the offer to patients who need this type of treatment should not be made worse.
ParlaMint-NO_2001-02-21.ana.ud63e961	I would like to ask the Minister for Culture the following questions: ‘There are various signals in the media about the progress plan for the call and the award of a new concession for nationwide advertising-funded television. Can the Councils clarify this?’
ParlaMint-NO_2001-02-21.ana.ud63e970	The majority rejected as it was known before Christmas last year that remuneration for the TV concessions could be determined by auction, as proposed by the Government. At the same time, the concession was announced with the deadline of 21 February this year. In other words, the abuse proceedings resulted in the concession being republished. The text of the notice must be amended. I aim for a new announcement to be made in March, with the deadline for application before the summer.
ParlaMint-NO_2001-02-21.ana.ud63e975	I thank you for your answer. I think it is good that we find that progress is quite rapid with regard to this now, that we get a new call quite quickly, and with the deadline before the summer. I see that the authorities and the candidates in question have common interests when it comes to clarifying who is to be awarded and under what conditions, among other things. in relation to the current cooperation in the digitalisation sector. I wonder if the Council of State is agreed on this?
ParlaMint-NO_2001-02-21.ana.ud63e986	As I have said, I will pay great attention to getting the call out as soon as possible. I believe it is important for all parties that we get a process as fast as possible.
ParlaMint-NO_2001-02-21.ana.ud63e991	I thank you again for your answer. As the Council of State said, this matter shall not go back to Stortinget. One might have got the impression that some of the things in the newspapers were going back to Stortinget. When she does not go to Stortinget, this means that one can work in time from the deadline for the application to expire early in the summer until The Stortinget starts again in October. The only thing the Storting has said in addition to what has been said about the cases in the budget is that we should not have auctions, one should consider shorter concession terms, so it probably doesn't have to take that much time. So I hope that one after the deadline has expired and there are applications coming in, will work quickly, based on what I have said that one here has common interests. Does the Council of State see that we can have this clear during the fall — early fall preferably?
ParlaMint-NO_2001-02-21.ana.ud63e1000	The process after we have received the applications will depend on how many applicants apply. I fully agree with Mr Starrfelt's representative that it is desirable that this process be carried out as quickly as possible, but also that we guarantee the quality of the work, so that we get a clean process and a good result.
ParlaMint-NO_2001-02-21.ana.ud63e1008	I have this question for the Minister of Culture: ‘It is confirmed from the core NRK management that advertising-funded educational television may be relevant in the event of conversion to digital television. At the same time, the Nyborg Committee is proposing a stronger ban on broadcasting advertising aimed at children. Does the Council consider that advertising-funded educational television is compatible with the aim of reducing the advertising pressure on children, and will it act towards the NRK in order to prevent any funding for advertising of NRK's educational television?»
ParlaMint-NO_2001-02-21.ana.ud63e1017	I would first like to highlight a few formal matters. Firstly, we have today a clear ban on broadcasting advertising specifically aimed at children. This prohibition must, of course, also be observed when broadcasting educational television. It is also prohibited to send children’s and young people’s programmes sponsored by industry. Secondly, the Broadcasting Act clearly states that the NRK cannot send advertising in its public channels, i.e.: NRK1, NRK2, P1, P2 and P3. Following a change in the law that entered into force in January 2000, the Broadcasting Act is no longer a barrier to the involvement of NRK through subsidiaries in advertising-funded activities. However, it is clear in the preparatory work that the general meeting cannot give the NRK the consent to own or operate such channels without the matter having first been submitted to the Stortinget. The legislation is therefore quite clear in this area. The NRK has unequivocally confirmed to the Ministry that they plan advertising-funded educational television aimed at children. In NRK's plans, school television should continue to be broadcast on NRK1, which will also remain free of advertising in a digital version. The NRK confirms that advertising-funded educational television aimed at children is out-of-date when switched to digital television.
ParlaMint-NO_2001-02-21.ana.ud63e1030	I thank you for your answer, which was reassuring. When I raised this question, it was from messages – actually from Einar Fördes closest – that it might be relevant for advertising and sponsors in connection with Internet education and interactive TV. The Council of State now confirms that advertising-funded educational television will not be relevant. I assume that what Stortinget has said in the past, will also be followed up, that Stortinget will have to submit any permits to advertising-funded channels in Norway or channels aimed at Norway. What I want to follow up with is that the majority of the Nyborg Committee, to which I referred, believes it would be necessary to clarify or tighten up the legal text on broadcasting law and the possibility of funding advertising programmes for children. Will the Council of State look at this relationship in the further work?
ParlaMint-NO_2001-02-21.ana.ud63e1044	Let me point out that the Nyborg Committee's attitude to the Ministry of Children and the Family addresses an important debate on the commercial pressure against children and young people. I noticed that the sample believes that the Norwegian ban on broadcasting advertising specifically addressed to children is working satisfactorily. Norway and Sweden are quite alone in having such bans in Europe, and I am pleased that the Stortinget has set a limit on this type of influence. A majority of the Nyborg Committee wants the ban to be tightened to facilitate its enforcement. This proposal will be considered in the follow-up to the suspension.
ParlaMint-NO_2001-02-21.ana.ud63e1049	I also thank you for this answer, and I hope the Minister of Culture will take a close look at this proposal, which she has also confirmed. At the same time, however, we must be aware – I believe that the Minister of Culture is also – that the commercial pressure against children is increasing. The message is still gone that you are what you can consume. Ergo, as best we can, we have to reduce the advertising pressure on children. But when the framework for the business operation of the NRK was discussed on 30 November 1999, a majority – after intensive lobbying from the NRK – opened up to advertising on Text-TV. We therefore believed that there was a trend towards more advertising. SV went against advertising on Text-TV at the time because we believe Text-TV is an integral part of the public broadcasting offer, and because both the Consumer Ombudsman and the Ministry of Children and Family warned against the advertising press. In the light of the Nyborg Committee, will the Minister for Culture reconsider the provisions on advertising on Text TV?
ParlaMint-NO_2001-02-21.ana.ud63e1060	As I have said, my and the Government's clear ambition is to maintain the NRK as an advertisement-free channel. This is important, not least for children and young people who – I agree with the representative Valle in – live at a time when the commercial pressure is a great stress. I'm going to follow up on all of these issues, and I'm going to come back to the evaluation of Text TV.
ParlaMint-NO_2001-02-21.ana.ud63e1070	This question, from the representative Finn Kristian Marthinsen to the Minister for Transport, will be raised by the representative of Unni Hennum Lie.
ParlaMint-NO_2001-02-21.ana.ud63e1073	I allow myself to ask the Minister for Transport the following questions: ‘Lier municipality has an E18 through the building and has been working for more than 20 years and waiting for noise protection. Together with the municipality of Lier and the citizens concerned, the state road safety authorities have developed the municipal sub-plan for noise protection. In preparation, several large public meetings created expectations that a solution would finally be found. Now it seems that the noise shield shifts again. Will the Council of State take the initiative to ensure that residents are finally exposed to the noise screen, and when will it do so?’
ParlaMint-NO_2001-02-21.ana.ud63e1082	Statens vägvesen Buskerud has developed a municipal sub-plan for action against traffic noise along the E18 through the municipality of Lier. The plan was adopted by the local government of Lier in 1999 and contains safeguards to reduce noise levels both indoor and outdoor. The objectives of the municipal sub-plan for noise protection are defined as follows: ‘For the E18 in Lier, the objective of the State Road Administration Buskerud is to meet the minimum objective of 42 dBA under the pollution law. Therefore, this objective does not include noise abatement measures relating to outdoor areas. The protection of outdoor areas which do not fall under the road safety obligations of the State under the pollution regulations must be considered as a long-term objective. The implementation of the proposed measures is assumed to take place in stages, and must be seen in the context of the other noise conditions in the county and the current budgetary situation». The State Road Service will initially implement measures for dwellings along the E18 in Lier which are exposed to indoor noise levels of 42 dBA or higher to comply with the pollution legislation. Detailed planning of actions is ongoing with a view to early implementation after 2001. Measures against outdoor traffic noise along the E18 in Lier must be further elaborated in regulatory plans. Funding for outdoor measures will be addressed when detailed plans are available.
ParlaMint-NO_2001-02-21.ana.ud63e1096	I thank you for the answer, and allow me to ask an additional question. I registered that the Minister of Transport referred to minimum measures imposed by the pollution laws on protection against indoor noise. In Lier, living conditions are such that conditions otherwise allow for too much outdoor life, so the residents feel the outdoor noise is a heavy burden. This now appears to have to be postponed until after 2005, following the signals from Vegvesen, prioritizing towards other rural road projects. Then I would like to ask the following question: If what I have been informed about is that noise protection of older European roads does not go from means of parenting, but from other public highways, what is the direct reason for the bill being placed on this post when the road has never been completed with noise protection?
ParlaMint-NO_2001-02-21.ana.ud63e1105	I just want to stress that the priorities underlying what we are doing are the following: firstly, it is clear that this route is a priority route, because it is one of the most burdensome distances in the whole country. The first priority within this again is protection against indoor noise and beyond: planning in relation to outdoor noise. That is the priority that also follows from the municipal sub-plan to which Lier municipal government has joined. When it comes to the admissibility issues, we'll be able to get back to them. I think it will be fully possible to find out when you are also scheduled for outdoor noise, which will also happen, as I mentioned in my main response, in the future.
ParlaMint-NO_2001-02-21.ana.ud63e1112	I thank you for your answer. It shows that there is a certain chance that we can address such a question when it becomes relevant. I'll ask you one last question about noise load. Now, when it's talking about the possibility of increasing speed along some of our roads, it will of course also increase noise levels. Will the central authorities then be responsible for the increased noise level and therefore also for the need for noise protection?
ParlaMint-NO_2001-02-21.ana.ud63e1119	We want to be responsible for the noise level regardless of the speed, so also in relation to the higher speed level.
ParlaMint-NO_2001-02-21.ana.ud63e1127	I will ask the Minister for the Environment the following questions: ‘The WWF has recently been very active in a campaign against Norway’s wolf management and has in part tried to invigorate Norway’s reputation as an environmental nation abroad. [[World Wildlife Fund]] The Ministry of the Environment appoints a representative of the Board of Directors of the WWF. What is the background to the Ministry of the Environment’s desire to have a representative on the board of an association that makes hot propaganda against Norway abroad?’
ParlaMint-NO_2001-02-21.ana.ud63e1136	First, I would like to point out that it is of great importance for environmental protection in Norway that we have many, large and strong environmental protection organisations. These organisations contribute significantly to raising awareness of environmental issues in the population and to keeping the debate on these issues alive. The importance of strong environmental organisations will become even more evident in the coming years. With an increased transfer of environmental authority to municipalities, the role of organisations in municipalities and community communities will be strengthened. Municipalities, on their part, should be aware of the competence of the organisations and actively avail themselves of the knowledge they possess. When the Ministry of the Environment appoints a representative to the Board of Directors of the WWF, this has historical and formal reasons. The WWF is a foundation that can receive financial support, where contributors may require tax exemptions for the contribution. This presupposes that the State appoints a representative of the Governing Board and that the public oversight responsibilities are added to the department closest to the individual formation. It is therefore up to the Ministry of the Environment to appoint the State Representative of the Board of Directors of the WWF. I would also like to point out that the Stortinget annually allocates funds to a 20-year-old organisation above the Ministry of the Environment's budget. There is no requirement for the professional – or political – profile of these organisations as a prerequisite for support. Similarly, the representation of the State on the Board of Directors of the WWF does not imply any such leadership. In general, I would like to say that it is important to distinguish between the role of administration and the role of voluntary organisations. There would be concern about government-drawn governance representations or similar positions to tie on voluntary organisations’ opportunity to take positions on a free basis. This must also be a principle in controversial matters, an example of which is robberies policy. It is not unnatural that an organisation that primarily has protection as its task may have a different view from the Government on such issues. Having said that, I understand that questions are being asked about the participation of environmental protection management in the board of directors of the WWF. I would therefore like to review the basis and appropriateness of government representation on the board of directors.
ParlaMint-NO_2001-02-21.ana.ud63e1151	I would like to thank the Council of State for the answer and fully agree that we should have strong and independent environmental organisations which, on their own initiative, take a stand both for and against the policy that it is pursuing at all times. Self-employed persons are best taken care of in the case of state transfers without any reperformance from either the Government or the organisations. But it is actually perceived as a honor that the state is represented in the government. It is a quality sign for some organisations. And it therefore seems strange that one chooses to sit on the board of an organisation whose policy is initially fairly similar to that of the Government, while one does not have representatives in that part of the environmental organisations that have a different approach to predatory policies. How important is it for the Ministry of the Environment to have a representative in the WWF?
ParlaMint-NO_2001-02-21.ana.ud63e1160	The reason for this representation is, as I said in my previous answer, essentially historical and formal, and it's related to the kind of foundation and organisation that WWF is. I will now look at the appropriateness of continuing this, and I will also see this in connection with the government's representation in similar organisations, both in the environmental field and in other areas. Otherwise, I must say that I absolutely do not see it as a natural matter that the state has a direct link to the environmental organisations, rather on the contrary.
ParlaMint-NO_2001-02-21.ana.ud63e1167	I thank the council again for the answer, which I think is basically right. Because here you get stuck in an organization, and it's perceived as a strength for that organization, and I don't think that the state should give it. But if it were to be so that the representative of the Ministry of the Environment continued to sit on the board of the WWF, what kind of role do you think that representative should have? Will any steps be taken to put an end to this historical practice?
ParlaMint-NO_2001-02-21.ana.ud63e1174	I would like to say that even with today's practice, it is not at all likely that the state will use its representation in organisations to prevent an environmental exposure that this organisation wants to continue. But it will also be the responsibility of the government representative to express views on behalf of what has been appointed. So it's this practice that I want to look at, which is essentially formal, but the question of whether it can have unfortunate connections will be addressed.
ParlaMint-NO_2001-02-21.ana.ud63e1182	‘The risk of oil spills from the many wars in Narvik port is imminent. A sudden leakage from one of the many wrecks can lead to major destruction, especially if this occurs during the period of herring pulling into the Ofotfjord. During these periods, large quantities of stem cutters follow the sillings. What has the Council of State intended to do to prevent an oil disaster from occurring as a result of leakages from the port of Narvik from war?’
ParlaMint-NO_2001-02-21.ana.ud63e1189	Since 1991 there has been a systematic effort to provide an overview of the pollution potential from shipwreck along the Norwegian coast. Together with the Bergen Maritime Museum, the State's pollution authorities have recorded nearly 2,600 shipwrecks along the Norwegian coast and have identified the pollution potential of the wrecks. The studies carried out in 1993 and 1996 on the 30 wrecks with assumed high pollution potential showed, among other things, that: that there was a need for further physical examination of six wrecks, all of which are war wrecks. Four of these wrecks are located in the Narvik area and were examined in 1999. The studies showed that only the wreck of the German hunter ‘Erich Giese’ contains significant quantities of oil. The other two wrecks, «Boardale» and «Holmengraa», are located outside the Western Sea and Borre respectively in Oslofjord. They were examined last year and the studies showed that there is only oil of significance on board the «Boardale». Emptying shipwreck is technically complex and costly operations. It is therefore important that measures are prioritised and put in place where environmental benefits are greatest. Measures other than emptying may also be relevant, for example: strengthening of the oil preparedness, as has already been done in Narvik. On the basis of preliminary assessments, State pollution control does not consider that the risk of large-scale acute oil spills constitutes a need for immediate action. However, the SFT will make recommendations during the spring in the light of the studies on what should possibly be done with the oil on board of ‘Erich Giese’ and ‘Boardale’. I believe it is important to prevent any damage caused by the oil on board the wrecks and, in the light of the SFT's recommendation, will decide what action, if any, should be taken. Shipwreck may also represent a congestion problem. Pending SFT's assessments of the two oil-containing wrecks, during the year we aim to remove the wreck of the Soviet 'Boiky' hunter, which is located on the island of Forest in the Westphalia.
ParlaMint-NO_2001-02-21.ana.ud63e1202	I had a similar question like this up to approx. two years ago, and I am also aware that others have asked similar questions about the problems of the wrecks in Narvik. It's still at the level, and I think that's regrettable. Small leaks from these boats are constantly occurring, without this leading to any major environmental disasters. But there are wrecks that are almost full of oil, inside Narvik harbor. Here is one, "Erich Giese", which has approx. ten cubics of oil in each of the 26 tanks. And according to SFT Tromsø's 1999 survey, it turned out that there are between 150 and 300 tonnes of oil in this boat. And so it's in the middle of the Narvik port area. I think it is regrettable that we have not made progress in this, taking this into account and doing something about it. So I want to ask if the Minister will take the initiative to prioritize the emptying of this boat, and that you get ahead of this.
ParlaMint-NO_2001-02-21.ana.ud63e1211	I want to address these problems by starting with those that bring the greatest environmental benefit, and I will do so in relation to the budgets that the Stortinget has set up. In the case of the ‘Erich Giese’ ship, action will be needed and those actions will be implemented in the light of the technical recommendations on the best practical measures to be taken. Otherwise, we're going further in general in the process of removing shipwreck. I am pleased that this year we are given the opportunity to remove a shipwreck that lies in a different area from that of which the representative is concerned – nevertheless it represents a problem of siblings – namely the wreck «Boiky».
ParlaMint-NO_2001-02-21.ana.ud63e1220	I thank you for your answer again. I hope it will be so that I don't have to ask the same question again in two years, or that I have to come up here and ask questions or come up with criticism because there has already been a disaster in Narvik, that the areas have been hit by oil spills because of being late.
ParlaMint-NO_2001-02-21.ana.ud63e1225	It is also the government’s view that the most important thing we can do in improving coastal preparedness is prevention. That is why we have started an important work in this area. It will also be important to have a good preparedness if the accident is over and to clean up after previous accidents. But this work must be prioritised according to the budgets adopted and, of course, done in order to maximise environmental benefits.
ParlaMint-NO_2001-02-21.ana.ud63e1233	I allow myself to ask the Minister for the Environment the following questions: «The three-storey building of King Wings in Upper Town is not covered by the plan of the Riksantikvaren in relation to the protection of the country's wooden houses against fire. Where the State imposes protection or conservation on dwellings, should not the State also be financially aidable by measures against, in this case, any fire also?’
ParlaMint-NO_2001-02-21.ana.ud63e1242	Let me first say that there is no disagreement between Bredvold and me about the Upper Town and the important cultural historical values and qualities that exist there. Very well known is the Upper Town among the first three-housed environments regulated for special conservation. The Ministry of the Environment is working on a rapprochement plan for the entire cultural memory field that we are continuing in the budgetary work also in the future. As part of its contribution to the Ministry's work on this initiative, the Riksantikvaret has made calculations showing that for 70 million. 12 of Norway's most valuable wooden houses can be secured. The Riksantikvar has not drawn up any plans or list of the cities to be included in any hedging project. The 12 cities that were listed in the evening post, where I assume that Bredvold has picked up parts of his information, are cities where there has been a dialogue on protection between the municipality and the Riksantikvar, or where there has been a particular local involvement on the security side. The fact that Kongswinger has also reported his interest and expressed his commitment to the matter after this paper was published is positive, and I am convinced that the Riksantikvarn will have no counter-representation against entering into a similar dialogue with Kongswinger. We have 54 conservation areas – about 13 000 houses. Only a few of these are peaceful, and only a small percentage are regulated for special conservation. The Riksantikvar may provide subsidies for the fire safety of individual buildings, such as: made up of the staves and medieval buildings. What is important in terms of fireproofing the wooden houses is not the individual building, peaced or not, but looking at the whole. In the last 15 years, the Riksantikvaren has been involved in the problem of fire protection for wooden houses, and the Riksantikvaren’s involvement is not justified by the protection of one or more of these buildings – it is not an isolated protected building that is in focus but represents the cultural historical value as a whole in each of these wooden houses. As the Riksantikvaren sees it, it would not be appropriate for them to provide fire protection subsidies to individual sheltered buildings in the wooden houses without at the same time assessing the fire safety of surrounding buildings.
ParlaMint-NO_2001-02-21.ana.ud63e1251	I thank the Council of State for a comprehensive and good response. and the Council of State's knowledge of Kongswinger in this case, I will take it further. What has caused this debate, especially in Kongsvinger, to flare up – if one can use that word in a positive sense here – is the great wooden fire that was in Jönköping for a short time ago. It is clear that those who live in such an environment made up of old wooden houses live in constant fear of fire, and those who own these houses do what they can from the costs they have the opportunity to bear. They are also grateful for the checks carried out, including: by Hedmark Energi A/S — HEAS — in this case. However, in the case of more comprehensive measures, such as: sprinkler facilities in these houses are not provided by the private sector. And when the state imposes either the conservation or the protection of one or more houses, there's no more money to take care of it. That's the big problem.
ParlaMint-NO_2001-02-21.ana.ud63e1258	I think it will be a challenge in the future to find the most appropriate forms of cooperation between municipal fire protection and a commitment to fire safety, among other things. by the Riksantikvaren. In this area, there have been arrangements in place, and there will be a priority work to be done in the future, so I am convinced that it will be possible to find good arrangements within the budgets adopted by the local and local authorities.
ParlaMint-NO_2001-02-21.ana.ud63e1263	I thank you once again for the answer and the positive signals given by the Council of State here, and I think that cooperation will be the solution to this, so I look positive at this matter in the future.
ParlaMint-NO_2001-02-21.ana.ud63e1268	I just confirm that this is a priority area, that the Riksantikvaren has a job going on, and that we will follow this up from the department.
ParlaMint-NO_2001-02-21.ana.ud63e1276	I have this question for the Minister for the Environment: ‘The recommendations of the Urban Environment Programme and the Advisory Document of the Ministry of Environment on Centre Development focus on committed cooperation between landowners, businesses, public agencies and municipalities. In central areas where the state is a major owner of land, this also involves State participation in cooperation. What initiatives will be taken to implement such a binding urban core policy, initially in the four largest Norwegian cities?’
ParlaMint-NO_2001-02-21.ana.ud63e1285	The historical centre is at the heart of an environmentally friendly urban structure and gives cities and agglomerations their identity. It is important to take care of the large cultural and economic values represented by the urban centres. This must be done by active use and maintenance of the centre areas by facilitating trade, cultural activities, public and private services and housing. The Ministry of the Environment has gained experience through the Environment Town Programme in planning and developing centres in Norwegian cities, and has seen what is being done abroad. As the representative of Dørum refers to, one of the experiences is that binding cooperation between public authorities, landowners and local businesses should be established to plan, implement measures and manage the operation of urban centres. I believe that the state should be an important party to this. As farm and landowners, the state has significant interests and thus responsibility for important aspects of the urban environment, especially at the centre of major cities. I am following up this issue through a cross-ministerial working group that the Ministry of the Environment has just set up to concreteise state policy on environmental urban development, such as: will focus on the follow-up to the experience of the Environmental Urban Programme. As part of this, the urban core challenges will also be discussed in the Urban Development Cooperation Forum, where six cities and several departments participate. This forum also invites business, professional environments and organisations to engage in dialogue on policies and instruments.
ParlaMint-NO_2001-02-21.ana.ud63e1298	I thank the Council of State for an answer with many positive leads. I am particularly pleased with what she says about the state being an important party by being a property owner, and also that it is clear from the Council of State's response that it is the responsibility of the state. That it also works cross-ministerially, I think it is positive. For example, the starting point for doing something may be: shall be the centre of Oslo towards the anniversary of the Union in 2005. We have an excellent example in Oslo Center, where municipal contributions of $28 million. SEK until Karl Johan's gate triggered 67 million. kr from private, so that they renewed the street floor and the façade and got a lighting. If, for example: The signal from State Building, which has been interested in participating in the same way, can also lead to a signal being given by the Government, I believe that by taking this Oslo example, you can build on it both in Oslo and in other cities. So I want to ask whether the Council of State will contribute to such a policy towards the Union's anniversary in 2005.
ParlaMint-NO_2001-02-21.ana.ud63e1305	I'd like to take Dørum's input into our further work on these questions. I see it as very important that we work on the concreteisation of cross-ministerial cooperation in this area. Equally important is to cooperate closely with the cities that this is about, and finally it is important that we bring with us the private business of networking with public authorities, both at municipal and national level. Here the government will come back to concrete proposals, one of which will be Dørum's input.
ParlaMint-NO_2001-02-21.ana.ud63e1310	We're actually in an area that gives us a historic opportunity. From here towards the Castle, with Studenterlunden and Spikersuppa, the state owns the land. The government receives the income from the rental activity, while the Municipality of Oslo pays all the maintenance costs. This is due to a change in husbandry that happened in 1939, when the Municipality of Oslo was given the right to take a road across the National Theatre station. Fortunately, there was nothing of that. But it has often led to many strange forms of backgame between state and municipality. I believe that one way to break it – just as the municipality has entered Karl Johan's gate – is that the state enters, because then one will jointly trigger a substantial private effort. It's just this -- we're going to call it -- the split-and-thread mentality, to which I also perceive that the Council of State is positive, was at the heart of my thinking. There are historical possibilities for coping between the state and the municipality, but there are also possibilities for turning it around. I perceived the Council of State thinking like this. So I just want to encourage her to get into the Karl Johan example, bring along the good that was created from the Karl Johan example, and avoid what might be a historical black player's game – when we see from this side of the Stortinget towards the Castle.
ParlaMint-NO_2001-02-21.ana.ud63e1317	I confirm the Government's desire to follow up in this area, and reaffirm that the country's significant interests in the centre areas will be an important starting point for the further investment, and that this must be done through cooperation, which I, among other things, am. has mentioned in this reply.
ParlaMint-NO_2001-02-21.ana.ud63e1325	I would like to ask the Minister for the Environment the following questions: ‘According to the Fiskeribladt, the herding of the seaweed forest by herds is in the process of becoming a serious problem. On large parts of the coast of North Trøndelag and Helgeland important marine primary production fauna has been replaced by an undersea “desert landscape” and coastal fishing has suffered a dramatic decline. How does the Council of State assess this situation, and what will the Government do in the matter?’
ParlaMint-NO_2001-02-21.ana.ud63e1334	The grazing of seaweed forest takes place from parts of the Trøndelag coast and along large coastal stretches northwards to West Finland. The Helgeland coast represents the area where the grazing is the strongest. Roughly speaking, it is approx. 50 pst. of the tares forest in the three northernmost counties. The situation has been relatively stable since the late 1970s, and research results suggest that such degradation can be very long-term. However, there are also examples of the opposite. In Canada, where a similar grazing of the seaweed forest took place in the 1960s and 1970s, practically all the hookballs died out within a relatively short time after they had been infected by an amoeba. The tare forest then established itself again after a relatively short period of time. There have been various theories about the reason for this change, without having been able to establish any single reason. One theory is that changes are caused by long, natural fluctuations in the ecosystem. Another theory is that the decline in fish stocks, such as pieces of stone, which are derived from hookballs, have contributed to the overtaking of crowballs in the exposed areas. These issues have been addressed by the authorities over the last 10 to 15 years, including: by mapping the prevalence of crow-balls and by researching the relationship between seaweed and crow-balls. The result of this work shows that the seaweed forest represents a very productive system of high biodiversity. When it passes over larger areas, it has negative ring-effects, including for local fisheries. It is not possible to predict the development of the depopulated areas. It is therefore important to continue monitoring. Today there is monitoring of the southern border for the spread of hookballs in the South Tribe layer in connection with the seaweed radiation in the area. In this connection, I would like to mention that in some areas with large hookball production, a large-scale harvest of hookballs has been started. As these are taken up before they spawn, the harvest helps to keep the population down locally. If this can help in the development back to the seaweed forest, it remains to be seen. The government indicates that marine research has been identified as one of the main areas of action in the future, and that the Research Council prioritises funds, among others. from its research fund to this. Research on the oceanic/crowdball problem along the coast is an important part of this effort. I have noticed that this is a major problem in the areas concerned, and will discuss with the Research Council and the Ministry of Fisheries how to proceed in the light of the knowledge we have today.
ParlaMint-NO_2001-02-21.ana.ud63e1349	I thank the Council of State for a quite complementary answer. It has long been claimed that there is a link between the de-fishing of the cricket stock and the flowering of crowballs. But that explanation does not have the same excitement today. We really know very little about a comprehensive and serious phenomenon, as the Council of State also mentions, in our coastal ecology. Shouldn't the authorities then initiate a larger project, aimed at getting knowledge of why the crowballs could be able to graze down the tares?
ParlaMint-NO_2001-02-21.ana.ud63e1356	Stone bit theory is one of several theories in this area and shows that there is still considerable uncertainty. That is why I agree with the representative that it is important to give priority to research. There are great opportunities for a marine research in the future to develop more concrete research projects in this area, which can also lead to concrete actions.
ParlaMint-NO_2001-02-21.ana.ud63e1365	I would like to ask the Minister for Agriculture the following questions: ‘In the setting up of the forest notification, the majority would not be in favour of Røjre’s wish to replace price regulation with free price formation. [[Inc. S. No 208 for 1998-1999]] The majority nevertheless stated that ‘there may be a basis for assessing a specific calculation rate for the valuation of forests’. Almost two years have passed since the forest announcement, and some increased activity in Forest Norway has not been achieved. When will the State Council follow up the recommendation in the forest notification?’
ParlaMint-NO_2001-02-21.ana.ud63e1374	In the forest announcement, St.meld. No 17 for 1998-99, among other things expressed that the turnover price of forest reflects too little the value of the investments, that the price regulation provisions have been more restrictive than the basis on which they are based, and that the Ministry will provide guidance on this which helps to stimulate the practice of active forestry to a greater extent. As the representative Hernæs refers to, the majority of the business committee commented on the price question of forest in concession context – and I refer to the Innst. S. No 208 for 1998-99 – including, inter alia: that there may be a basis for assessing a specific rate of calculation for the valuation of forest. The price question of agricultural property in the context of the concession is also mentioned in the agricultural notification, St.meld. No 19 for 1999-2000, and further commented by the Economic and Social Committee on the position to be taken in relation to the agricultural notification, Innst. S. No 167 for 1999-2000. The Ministry's budget proposal for this year sets out the price question of forest and it is stated that the Ministry will revise the guidelines on the practice of price regulation for the marketing of forest in concession cases and that, in this context, a proposal for a calculation rate of about 5 pst will be submitted to the hearing. The case has now been brought to the attention of the county councillors and relevant organisations and agencies with a deadline for consultation on 1 February this year. The consultation shows that there is broad support for the proposal to reduce the calculation rate base for forests. After this and in line with the guidance given in the forest communication, the Ministry of Agriculture and the budget proposal, will in a short time provide guidance on the practice of the price rules for forest in concession cases with a reduction in the calculation rate for forest.
ParlaMint-NO_2001-02-21.ana.ud63e1389	Thank you for your reply to the Council of State. As a first step, this is good and is going in the right direction, and it should be able to lead to the negative development we have had in forestry being turned into increased sales of properties, more active owners and higher harvests than any of the objectives. Nevertheless, I would like to remind the Council of State that in the guidelines of the Ministry of Finance of December, I believe – at least the turn of the year 1999/2000 – the risk-free real interest rate was set at 3.5 pst. In my opinion, this corresponds better to the real interest rate that is usually used in forest culture investment calculations. I have two questions, and then I'm going to leave it with it: will the Council consider putting down the calculation rate further? And can he be more precise on what is in the words "in a short time"? Can we wait for a clarification within six months?
ParlaMint-NO_2001-02-21.ana.ud63e1398	Finally, I would like to say that I believe that it is absolutely necessary to wait. The consultation period is now out of date, as I said. The hearing opinions are broadly in favour of the proposal, and then it should be possible to implement it quite quickly. An ambition to do that in a few months, until the mid-year shift, should be affordable. When it comes to the first thing the representative here next saw, I think it would be wrong for me now, when we are working on a reduction of 5 pst., to signal further action in that direction. Now we're going to do it with a 5 pst. the calculation rate, but then of course we also have to stick to the goal of increasing activity. So we get to follow developments, and maybe the questioner and the council will have the opportunity to meet and discuss it in this room at a later stage.
ParlaMint-NO_2001-02-21.ana.ud63e1408	I have a question for the Minister of Agriculture: ‘Although the Minister of Agriculture has stated that prices of Norwegian-produced foodstuffs are to be reduced, meat prices are to be increased. Norwegian Meat, which is responsible for market regulation, sets up prices. Furthermore, the exceptional negotiations in the agricultural settlement on measures against BSE have led to the recovery of some of the costs at increased target prices. What measures will the Council of State take, and when can we count on lower food prices to the consumer?’
