ParlaMint-NO_2001-12-05.ana.ud1368e69	Representative Rolf Terje Klungland will make a private proposal.
ParlaMint-NO_2001-12-05.ana.ud1368e1210	We have debated for a good four-hour period on the budget and Afghanistan and on the challenges associated with it. There has been little discussion on the budget, much more on the formal and the constitutional issues related to, among other things. Paragraph 25 of the Constitution, etc. But there are at least four issues that have been clarified by the debate. Firstly, the government has received solid support for its policy relating to Afghanistan, as well as for the offer we are now making relating to operations in Afghanistan. I stress Afghanistan, not Afghanistan. It's against the terrorist regime, against bin Laden and against al-Qaeda we fight, not against Afghanistan as a nation. Secondly, there is solid support for practice in dealing with such issues in the Storting. There has been broad support for that way of dealing with this, and I think that is superfluous. There has been a long tradition in Norway as to how to deal with such issues. I'm going to promise that I'm not going to make it a habit to quote former workers' party people in this room, but Trygve Bratteli once said that if a small country is divided into important foreign policy issues, this small country is actually prevented from operating foreign policy. And it's part of the essence of all of this, that we've been using the conversation, that we've been using the consultation system, just so that as a nation we can be active in foreign policy. The third point raised in the debate is that the Progress Party has changed its view. The representative Carl I. Hagen himself stated that related to Section 25 of the Constitution, the party has changed its view. I have read throughout the debate related to the 1990 Gulf War, and not once has § 25 been used as an argument. It has come up now, and I would like to stress that a majority in the Grand Duchy is clear against the interpretation that the Progress Party here puts up. It would be unfortunate, according to what I said, to have such debates, and such – one might say – voting in the main hall, linked to this. I believe that in the long term it will make Norwegian foreign policy more difficult. What is also important is that the Progress Party and the representative Carl I. Hagen, although they have to a large extent attached this to Section 25, talked throughout the debate about – I think it was five or six times – how to cover this in the budget. It's a derailment of the whole debate. It is obvious that we do not even know whether this equipment will be used. We do not know if it is received. We've just made an offer, and then you see what these guys might want to use it, they're going to use it. Of course, we'll come back in the next round and make sure you get a cover. But it is a little sought if Norway's contribution to this conflict is really to be made into a question of balancing the budget. It'll be a little bit special. The fourth is that one party is predictable in this debate, and that is SV. I have reviewed what SV has claimed in many debates in the United Kingdom, relating to issues of international policy. They've been against it. They were opposed to submitting K/V 'Andenes' in connection with the Gulf War, which in its argument is completely all right. They've done what they've done. Then you can disagree with them as such, but they have at least been consistently linked to this. In this way it has been quite clarifying to listen to the debate. So finally – before I go down from the pulpit – a little bit to the suggestions. As far as Morten Høglund's proposal to stop all financial support to the Palestinian self-government authorities is concerned, I must say that a proposal cannot be made at a more wrong time. The world needs something completely different than that, so that's what we're voting against. Carl I. Hagen's proposal we have justified why we are going to vote against. In the case of Kristin Halvorsen and SV's proposal No. 1, if not to put Norwegian forces at their disposal, I wonder if it can also be interpreted further. It could be good to get Kristin Halvorsen's answer to that. I also read it so that next time it can promote our humanitarian efforts, because Hercules aircraft in Afghanistan can come under the command of the United States. I don't expect that that's what's meant, but it can be perceived this way. As regards SV's proposal No. 2, related to this with military courts, the Right believes that fundamental legal certainty should be established in all respects, and we should keep international conventions in all contexts. That is why we are also voting against this proposal because it is unnecessary.
ParlaMint-NO_2001-12-05.ana.ud1368e1239	Quotes from workers' party representatives are usually good, so the representative is cordially welcome to continue quoting.
ParlaMint-NO_2001-12-05.ana.ud1368e1242	As regards Oddvard Nilsen's reasons for voting against SV's proposal No. 2, I have to say, I'm wondering. It is a proposal that has been promoted because we want to focus our attention on the international legal order – which should be strengthened and not weakened, as difficult as the world is now – and because as far as we can see, the proposals to a military court proposed by President Bush are under strong debate in the United States. And there are great questions about fundamental legal certainty, such as that. have been ratified by the United Nations Convention on Civil and Political Rights. So it would be very important if this decision could be taken today. And I think it is also in line with what Foreign Minister Petersen has publicly argued, that he does not know what the United States has specifically proposed, but that Norway naturally adheres to the UN Conventions. If this is turning open the doors, I invite the Storting to join in and turn on just this door, because it can have quite a meaning. So to a couple of other things that have been up in the debate. I think it is reassuring to see that in many other countries there is a discussion about it, for example. it is wise to go to military action in Iraq if there is any link between al-Qaeda, any terrorist or its like, because it can be shown that bin Laden and al-Qaeda are in Afghanistan. In Germany, for example: they strongly object to such a logic and strongly warn against it. But the Norwegian Minister for Foreign Affairs will have no position on it – until the United States probably has a position on it. At least it must be possible to ask the Norwegian authorities and the Norwegian Government to participate in the debate on what is wise and what is unwise to do further in the fight against terrorism. There is a debate that goes loud in many other countries, and that Norwegian authorities should also have. Because it is quite right that the representative Haga was in a previous line, that in the case of this will be a completely different and much more controversial action, even for those who are now allyed in the fight against terrorism. Among them are many who have just warned against this. So some of the things that Oddvard Nilsen was about to end up with. I tried to clarify some of the dilemmas that could arise in connection with military actions in Afghanistan, precisely from the humanitarian issues that we see can be overcome. Of course, we are prepared by SV to use Norwegian material, for example. transporting emergency aid to areas that may soon have been cut off, both because the roads are miserable and because the snow comes — and there may be other types of situations. I want to clarify, as I did in my first post, that what SV's proposal is aimed at is contributing to the continuation of the air war that the United States is still conducting in Afghanistan. I have the Foreign Minister's and Defence Minister's words that if it becomes appropriate to extend the war to other countries, the Stortinget will be re-consulted. With regard to the security forces that are now needed during a transitional period in Afghanistan, it is important that Norway contributes if we can do something sensible, and based on an overall assessment of what it makes sense for Norway to contribute internationally – but it is of course important that it is with a clear UN mandate and not under a US command, as the war has been until now. In the long term, it is likely that the UN forces will also have to enter Afghanistan. Norway should also be open to contribute.
ParlaMint-NO_2001-12-05.ana.ud1368e1253	Several have not asked for the floor on case No. 1 and the matter on the supplementary agenda. [[See pages 638 and 639]]
ParlaMint-NO_2001-12-05.ana.ud1368e1269	There is a broad consensus on svalbard policy, and therefore there is no need for many comments or a long debate on the Svalbard budget for next year. On the other hand, we stand in many ways at a crossroads for our management of Svalbard as there is reason to stop at a moment. The introduction of local democracy also at Svalbard is a milestone for the community and helps to make life – and business – at Svalbard a little more ‘normal’ and like life on the mainland. The first choice was made earlier in the fall, and from the turn of the year, Longyearbyen will take over local government and at the same time take over ownership of Svalbard Society AS. This gives the residents both an influence on the service offer locally and a responsibility for the business. This is a natural and proper development, and it will be interesting and exciting to follow this development next year and in the years to come. This will undoubtedly give Stortinget the opportunity to come back to it. The Svalbard budget will increase by more than 47 million next year. kr. This is mainly the result of the reorganisation, as the grant to Svalbard Society AS was previously granted over the budget of the Ministry of Economic Affairs and Trade but now exceeds the Svalbard budget. There's also another important event next year. Act on environmental protection at Svalbard enters into force. It will end a longer period of temporary measures and contribute to ensuring a holistic approach to environmental protection in the vulnerable and vulnerable areas constituting Svalbard. The implementation and follow-up of this law by the Ministry must be very important in the coming period, as the Co-operation Government also attaches great importance to it. Of course, environmental considerations are also important when deciding on future coal operations on Svalbard. However, that case is not part of the Svalbard budget and is dealt with in another committee. So I'm not going to comment on this. Also that matter will Stortinget quite soon get back to. In addition, a case deserves special attention in the time to come, and unlike the one relating to local government and the Environmental Protection Act, this is a matter that has not been resolved. It's about the energy situation in Longyearbyen. It goes without saying that failure of energy supply in such a climate-affected area can have major consequences. It would simply not be possible to operate if the power plant or district heating system were to fail. We know that there is a great need for investment in this area if we are to be able to ensure ourselves against failure in parts or all of the energy supply. The co-operation management has proposed an additional 5 million. NOK to get this work started. Based on the studies available, this will only be the beginning of a larger process. That's exactly why it's important to get started. During the Storting treatment last year, it was assumed that a solution had been found to the energy supply and district heating issue and its costs in good time before the local government would take over. So it hasn't happened. It just increases the need for it now to be properly addressed. A unanimous committee asks the Government to investigate the possibility of conversion to a renewable energy system in Longyearbyen. The Committee assumes that the Longyearbyen district heating network will also have a central place in a future renewable energy system and that the investments launched by the Cooperative Government are necessary irrespective of the energy system. The Foreign Affairs Committee shall also examine the budget of the Norwegian Polar Institute. It rarely creates the big disagreement. That's the situation this year. The Committee therefore has no specific comments on the Polar Institute’s budget for the following year. With this I recommend the vote on the Svalbard budget and proposals for the allocation of Chapters 1471 and 4471, the Norwegian Polar Institute.
ParlaMint-NO_2001-12-05.ana.ud1368e1295	The Committee is unanimous, and it also appears that the way in which the Government follows up the notification and work on Svalbard is positive. I'm going to link my post to two short terms. The first relationship is what has been said about the energy supply. I would like to point out that the Government regards the appropriations mentioned in the cancellation as an initial contribution to the upgrading and maintenance necessary for the energy supply in Longyearbyen. I have also noticed that the Foreign Affairs Committee in its position is concerned about the issue of conversion to a renewable energy system in Longyearbyen, and I can assure you that the Government also focuses on this. In cooperation with Longyearbyen, we will investigate the alternatives available to the use of energy sources other than coal and diesel, and in particular the possibility of using wind power. I'm going to Svalbard in the middle of January next year, and will, among other things, use the opportunity to visit the Energy Agency in Longyearbyen. So a brief comment: it happens that both politicians and state councillors meet themselves at the door. I do that – literally – in connection with the next comment. On 5 March 2000, as Minister of Justice, I decided that the Polar Department in the Ministry of Justice should be closed down and placed under another department in the Ministry. I have now come to the conclusion that this was a crazy decision. I have come to the conclusion that it is right that the Polar Department should be maintained, and of course it is right to inform the Storting about it. The reason for this is that Norwegian administration in the northern regions is becoming increasingly interested, and it appears that the central parties to the Svalbard Treaty have made enquiries which show that there is a high level of attention in the exercise of Norwegian svalbard policy. There is also agreement between the departments concerned and bodies on the need for coordination of polar issues, and Norway needs to demonstrate externally that the emphasis is placed on squalidity policy in the central administration. As a result, the Interministerial Polar Committee should be strengthened. Among other things, on this basis, I have come to the conclusion that I should reverse the position I took as a State Council in the Ministry of Justice on 5 March 2000, and maintain the Polar Department as a separate department.
ParlaMint-NO_2001-12-05.ana.ud1368e1306	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 649]]
ParlaMint-NO_2001-12-05.ana.ud1368e1322	The majority will today decide on the actual ratification of the cooperation agreement negotiated by the government of Stoltenberg between Norway and the European Police Office, Europol. A unanimous committee joined the wish of the previous Bondevik government to open negotiations on such an agreement. The government of Stoltenberg has negotiated the cooperation agreement, and it is a broad majority that expresses satisfaction with it and that gives its support to ratification. The majority point to developments in recent years in the direction of increasing cross-border and better organised crime and therefore need to be met with cross-border cooperation. It is gratifying that SV also supports the agreement. Only the centre party is in the position against the contract. Crime has no limits. Where the fight against crime has been restricted internationally by national laws and regulations, criminals have been able to make similar use of it through an increasingly organised, more professional and more international activity. This applies, inter alia, to: drug crime, alcohol smuggling, prostitution, money laundering and data crime, to name a few areas. Economic differences between countries can be said to contribute to the strengthening of criminal motivation. War and poverty also create large refugee flows. People on the run are easily sacrificed to human traffickers and to trafficking in human beings. Globalisation of the economy and free movement also make it more necessary to cooperate actively in combating crime. Cooperation in the field of justice has been significantly strengthened and expanded within the EU in recent years. This applies, inter alia, to: police and judicial cooperation. Since the entry into force of the Treaty of Amsterdam, Schengen cooperation has become an integral part of EU cooperation. The Schengen Agreement between Norway, Iceland and the EU regulates Norway's participation in Schengen cooperation, where this builds on the Schengen acquis. However, this agreement does not provide a basis for Norway to participate in other police cooperation outside this legislation. Europol cooperation was fully operational from 1 June 1999. The aim of Europol is to contribute to the effectiveness of Member States’ fight against serious international crime and to strengthen cooperation between competent authorities. Europol has thus become the most important EU country action to prevent and combat serious organised crime. In particular, the exchange of information between Member States is important, where Europol can be used as an intermediary and for analysis of information. In order to facilitate the exchange of information, EU countries are required to deploy Europol liaison officers, and Europol may also deploy liaison officers in the Member States. Europol also carries out operational analyses which can contribute to the Member States’ own investigations. Europol shall make expertise and technical assistance available for investigation. Europol’s mandate covers illicit drug trafficking, illicit trafficking in nuclear and radioactive substances, trafficking in human beings, trafficking in human beings, trafficking in stolen vehicles, terrorism and money laundering. It is a prerequisite that crime affects several Member States of the European Union. Norway is building its relationship with the EU on intergovernmental agreements with the EEA Agreement as a cornerstone. Because EU countries are increasingly cooperating in areas not covered by the EEA Agreement but still affecting Norway, the need to conclude specific cooperation agreements in different areas increases. In particular, it is a challenge for Norway that our neighbouring countries are more closely involved in cooperation in such areas. In the North, we have long traditions of police cooperation. In this area, too, reference is made to the ‘Nordic model’ when an outside Nordic refers to police cooperation. This cooperation is seen as a model. This needs to be understood, of course, in the light of extensive and traditional Nordic cooperation in general, and because police cooperation is based on uniform legislation and social structures, as well as knowledge and trust in each other's legal systems. Police cooperation between the Nordic countries is described as successful and practical. It is not least with these countries that we are now going to continue and further formalise police cooperation. We will continue and strengthen cooperation with our Nordic neighbouring countries through Europol. The so-called PTN cooperation, police and customs cooperation in the Nordic region, have more similarities with Europol cooperation, but have not established a permanent secretariat and governing bodies. Several PTN projects are now being continued throughout the area with Europol as the coordinator. Continued Norwegian participation in the projects is therefore an important part of the rationale for the establishment of cooperation between Norway and Europol. PTN cooperation will now focus on all forms of serious cross-border crime. It is also important to mention the various drug projects on which we have cooperated in the Nordic region. When the Nordic EU countries place greater emphasis on cooperation through Europol, it is important to maintain the Nordic link between Norway and Europol. Only EU countries can become parties to the Europol Convention and thus members of Europol. However, the Convention opens up the possibility for third countries and international organisations to enter into various forms of cooperation with Europol. The cooperation agreement involves the close cooperation of Norway with Europol in combating serious international crime, but it will be more limited than between EU Member States. In particular, cooperation shall take place through the exchange of information under carefully regulated conditions. Norway and Europol have a mutual right to deploy liaison officers to the counterparty. A Norwegian police liaison officer will therefore be deployed at the Europol headquarters in The Hague. Kripos has been designated as Norway’s national contact point in the agreement. An important part of the agreement is that Norway can only provide information collected in accordance with Norwegian legislation, and the agreement has important data security and data protection provisions. The Government has stressed that the agreement ensures a high level of privacy. Individuals are guaranteed the right to access data that are transferable in accordance with the contract or to have the information checked. Incorrect information may be required corrected or deleted, both by Europol and by Norway. The agreement with Europol involves, in the first place, practical police cooperation and involves a small degree of regulatory development. Europol cooperation cannot therefore be compared with EEA and Schengen cooperation. On 11 September, the need for cross-border cooperation was further highlighted. In the time since the brutal terrorist attacks on New York and Washington D.C., we have seen a broad international coalition stand together in the fight against terrorism. This fight is based, in particular, on decisions taken by the UN Security Council, including: Resolution 1373 on the financing of terrorism. The EU has also taken important decisions to combat terrorism in the wake of the events of 11 September. At its extraordinary meeting on 21 September the European Council adopted a comprehensive action plan to combat terrorism. EU Heads of State or Government agreed on measures such as: concerns Europol legislation. I would assume that through our agreement with the EU in this area – perhaps also through the Schengen Agreement – Norway could be affected by some of the measures. I would therefore ask the Minister of Justice to explain this in more detail in his statement. Europol police cooperation is of a dynamic nature and cooperation is expected to review changes in the course of the development of crime and on the basis of EU policy processes. If Europol’s mandate is further extended, Norway will be able to assess on its own basis whether to extend cooperation accordingly. The majority of the Committee considers it important to allow Norway’s cooperation with Europol to develop in parallel with the dynamic development of Europol. In the setting, SV arranges for Storting’s EOS Committee to be responsible for following up the privacy check. Furthermore, the SV calls for an increased need after 11 September to include issues relating to international banking and financial confidentiality and money transactions in the agreement, and they ask the Government to address these issues with the EU pursuant to Article 19 on the modification of the agreement. I expect the SV to explain this further in the debate, and I would ask the Minister of Justice to comment on this comment in his intervention. As mentioned at the outset, the Centre Party opposes the conclusion of the agreement, and the main reason is that privacy is based on the submission. The Central Party also calls for Interpol to be strengthened and further developed as an alternative to Europol. To that I would like to make a few brief comments. Interpol has been and will continue to be a very important body for international police cooperation. Norway has placed great emphasis on Interpol’s activities, and we will continue to do so in the future. However, Interpol has some limitations as Member States are not obliged to respond to each other’s requests by convention. These are managed according to national assessments, procedures and internal legislation. This is the main difference between Interpol and Europol. In Norway, we therefore need more committed cooperation within Europol. The majority believe that the agreement will strengthen police cooperation between Norway and the EU Member States and that it is therefore an important instrument in the fight against crime in Norway and Europe. The Labour Party was among the first to address the need for Norway to be associated with Europol and has been an active driver for negotiating an agreement. We are therefore very pleased that today there is a broad majority in favour of the agreement. The draft opinion has also been submitted to the Judicial Committee, which, in its opinion, refers to the comments made by the various fractions in the draft opinion of the Foreign Affairs Committee, and has no further comments on the matter. On this basis, I recommend that the majority vote be taken by the Committee.
ParlaMint-NO_2001-12-05.ana.ud1368e1385	In recent years, it has increasingly been shown that Norway is also undergoing a development where crime is becoming cross-border and more organised. Cross-border cooperation is a prerequisite for curbing such crime and for leading developments in a direction that better ensures both the security of society and of each individual. Within the EU, this situation has led to the significant joint tasks that have been taken into account in judicial cooperation. The 1999 Treaty of Amsterdam created a new structure for judicial cooperation within the EU. Part of the cooperation was transnational. The important thing for us today is that police cooperation and judicial cooperation in criminal matters are still intergovernmental, but with new instruments in the form of detailed provisions on police cooperation, customs and prosecution authorities, courts and targeted work on more uniform legislation. Since the entry into force of the Treaty of Amsterdam, Schengen cooperation has become an integral part of cooperation within the EU and since June 1999 the Europol Convention of 1995 has also become fully operational. The Agreement between Norway, Iceland and the EU on participation in Schengen cooperation regulates Norway's participation in the further development of such cooperation, which is based on the Schengen acquis. In cases where further development of police cooperation in the EU is a continuation outside the area defined in the Schengen cooperation, Norway will be excluded from participation. This restriction makes it all the more important to assess the additional possibilities Norway can take advantage of through Europol. Initially, only EU countries can become parties to the Europol Convention and thus members of Europol. However, the Convention provides for the conclusion of different forms of cooperation between third countries and international organisations, which is the basis for Norway’s accession. As a consequence of the intergovernmental and non-overnational nature of police and judicial cooperation in criminal matters, Norway will be able to assess independently whether cooperation should be extended if Europol’s own mandate is extended. Cooperation between Norway and Europol will also be more limited than is the case between EU Member States. There is also reason to stress that Norway, for its part, can only provide information collected in accordance with Norwegian law and that the agreement can be terminated by the parties without any conditions. In contrast to the Centre Party – which expresses scepticism through its comment in the Committee’s position as to whether Norway really has any opportunity on its own initiative to assess whether cooperation should be extended further – the majority seems to have taken this into account. The view of the centre party today is remarkable, as the party agreed that Norway would negotiate an agreement when the party itself was in government. It is difficult to see that the outcome of the negotiations can provide a basis for such a complete turnaround. The time since 11 September has dramatically demonstrated the importance of standing together across borders in the fight against international crime. The negotiated agreement will be an important instrument in combating crime in Norway and Europe.
ParlaMint-NO_2001-12-05.ana.ud1368e1404	The matter comes a little late for Stortinget, because we in SV needed to go some rounds with us sail. We've had some debates, and it's especially because this is clearly an intergovernmental agreement, that we've ended up at the position we've been doing. It is clear that only EU countries can become members of Europol. Making an intergovernmental agreement with Europol strengthens my refusal to the EU position instead of weakening it. It is necessary to cooperate internationally to combat international crime. Here we are facing major challenges, especially after Norway has become a member of Schengen, and border controls have been abolished. The cooperation agreement concerns drug trafficking, illicit trafficking in radioactive substances, etc. Intergovernmental agreements are just the alternative to Norwegian EU membership. If effective international cooperation is not ensured in this area, the fight against international crime can be a strong argument for the yes-side next time the issue arises. There is another way of saying that, if we had not been a member of Schengen, we also had to have such an agreement on police cooperation. In a way, it is reassuring that the Schengen Agreement does not automatically involve us in such cooperation, but that such an intergovernmental agreement is also needed. A number of data protection issues may be raised with Europol, and in particular with the so-called TECS cooperation – the TECS system. The main concern is which information can be obtained and recorded. However, Norwegian legislation regulates which information about Norwegian citizens can be exchanged with Europol. Article 7(4) explicitly states: ‘Norway shall only transmit information to Europol collected, stored and transmitted in accordance with national law.’;» Europol does not have access to Norwegian police records, nor does Norway have access to Europol’s registers, and these registers cannot be crossed. Personal data may be exchanged for specific criminal proceedings or for suspected offences. The data shall be deleted after three years. It is necessary to use the Data Protection Authority to verify that this is really done. The agreement contains a number of provisions for the correction and deletion of information, and it will be interesting to see whether we can get the Data Protection Authority into such an important role, namely when it comes to checking it. The size must also be able to control, and we intend to get back to Stortinget later, considering that this could be in the EOS Committee's remit. The size needs to be informed annually about how Europol develops and how the cooperation agreement works. Of course, if Europol is to be amended in such a way as to change the cooperation agreement, it has to be done after a reconciliation here in the United Kingdom. So a little bit about this that's been up with a connection person — it's a connection person, not a person with a police authority in Norway. He/she is given the same type of immunity as embassy staff but has no authority in Norway. Europol is likely to also provide immunity for operational police, but it is not for Norway for those countries that are members of Europol, as stated in the agreement. So finally, cooperation in Europol is of a dynamic nature. When the majority wants ‘Norway’s cooperation with Europol to be developed in parallel with the dynamic development of Europol’, we will clarify once again in SV that it needs to be controlled by the Storting.
ParlaMint-NO_2001-12-05.ana.ud1368e1422	The Central Party has noted that the Government of the Proposition on Europol admits that the free movement of persons contributes to facilitating the implementation of criminal acts. This is at the heart of the criticism previously voiced by the Central Party against the reduction of border controls in the EU. In the past, this ratio has been devalued by the bulk of the population. The Central Party will oppose the conclusion of an agreement between Norway and Europol. This has three main reasons. Firstly, international crime must be met with global cooperation. 11 September showed that we must approach the fight against international crime with a broader starting point than just the European one. Regional cooperation mechanisms are not sufficient to make the fight against international terrorism effective. If global cooperation is concerned, there must also be a willingness to invest political energy in further developing precisely this cooperation. The Central Party therefore wants to strengthen Interpol so that this organisation becomes the central organisation in the fight against international crime in the future. It is also important to facilitate a role for the UN in the fight against international crime. There is an important Security Council resolution with a number of measures to reduce the financial flows of international terrorist organisations. It is important that international societies follow up so that the resolution can be followed up in all UN member states. Today, there is a regrettable fact that a number of countries have neither administrative capacity nor financial capacity to follow up the resolution. The UN resolution illustrates how important global cooperation actually is, and what potential it has if we really want to follow up. The second reason why the Central Party disagrees with the agreement with Europol is related to privacy. The Europol Agreement definitely limits data protection. Europol's computer system is Europol's heart and brain. We are integrated into a comprehensive central register to contain standardised data, including personal data, on persons convicted or suspected of having committed or taken part in criminal offences in Europol's work. Possible future offenders may also be included. This is of course problematic, but even worse are the analytical registers. The analytical registers are special temporary registers for the analysis of specific areas of activity. Here you can register potential witnesses, victims or persons who are likely to be victims, contacts and connections, as well as persons who can provide information on the criminal matters involved. So we're talking about registering a very difficult ring of people around convicted or suspected people. The types of personal data that may be stored in the analytical records are not specified in the Convention, only in so-called implementing rules for analytical records. There has been a broad debate on privacy issues in the EU. In Norway, there has been largely silence, and privacy concerns are hardly mentioned in the landfill proposal. Our third reason for opposing the agreement is that Europol is at the heart of EU police and judicial cooperation. This is an area that is in strong development in the EU and where supranationality is constantly expanding. By engaging in Europol cooperation, we are increasingly involved in the EU’s transnational structures. Sense if the negotiated agreement is intergovernmental, which many have been concerned about here, and can formally be cancelled, we do not believe that this can be done in practice in a simple way. We also believe that in practice it would be very difficult to say no to extending the scope of the agreement. On this basis, the Central Party will vote against the conclusion of the Agreement.
ParlaMint-NO_2001-12-05.ana.ud1368e1443	The Coastal Party will contribute to the fight against international crime and terrorism. In order for control to be as effective as possible, it is necessary to apply a combination of several types of instruments. Firstly, border controls between countries are needed so that criminals and terrorists cannot move across borders without risking identity control. Secondly, national police work is needed within each country. Thirdly, international cooperation against crime and terrorism is needed. The relationship between these instruments is important. Open and effective border controls will reduce the need for monitoring within the country. Steinar Bastisen recently promoted a Document No. Eight proposals for the Stortinget on the introduction of Norwegian border control against Schengen. Unfortunately, this proposal only received the vote of the Coastal Party. We were particularly disappointed that parties wishing to market themselves as opponents of Norwegian participation in Schengen voted against such a proposal. The establishment of permanent border control against Schengen would also mean the Norwegian withdrawal of Schengen. The Coastal Party believes that police work on Norwegian territory should be carried out by Norwegian police. The proposal for an agreement between Norway and Europol provides for the establishment of a system of immunity for Europol liaison officers in Norway. The coastal party believes that this point of the agreement is problematic. Similarly, we are sceptical about the provision that through the Police Police Centre, Norway will, on request, transmit to Europol all information relating to internal organisation, tasks and data security procedures of the police authorities in Norway. The Coastal Party wants any agreement on police cooperation to be purely intergovernmental, i.e. that the parties are equivalent. The draft agreement introduces a dispute settlement procedure with an arbitration court which can easily be rocked by the equivalence of cooperation. In the interests of privacy, it is important to have national control over personal data. In a large system such as Europol, sensitive information will be more easily balanced and the system is rapidly developing. We fear that Norway will have too little control over how information we provide to Europol could be used. The Coastal Party will have international police cooperation based on equivalence and popular control. We will strengthen intergovernmental police cooperation in Interpol and work for more balanced, popularised and verifiable cooperation with Europol than the present draft agreement allows. It is very surprising to see the position taken by the Socialist Left Party in this matter, because in an article in the Official Journal of Bergen on 4 June 1999 SV was shocked by the no-government: ‘Norwegian Europol participation is a pitiful kneeling from the no-government and the Central Party,’ says Ågot Valle.’ And then, of course, Europol was clearly opposed. Against this background, the Coastal Party will oppose the conclusion of an agreement between the Kingdom of Norway and Europol.
ParlaMint-NO_2001-12-05.ana.ud1368e1476	The organized, international crime characterises the crime scene across Europe, and today it is perhaps our most serious social problem. Persons and groups living by crime are targeting more countries and cooperating across borders. Terrorism in the fall of the United States was a tragic reminder that we and other countries need to understand even more the importance of active international cooperation to combat crime in all forms and to strengthen respect for law and justice. As a member of Schengen, Norway is involved in important cooperation with the aim of providing citizens with a high level of security through cooperation between Member States in the prevention and prosecution of crime. At the same time, cooperation to prevent and combat racism and xenophobia is further developed. The agreement negotiated between Europol and Norway will strengthen police cooperation between Norway and the EU Member State, where Europol is the EU Member State's liaison. Cooperation may include all tasks assigned to Europol by the Europol Convention. I look to my satisfaction that a broad majority in Stortinget ends up on the conclusion of the agreement. Europol shall primarily assist the Member States in the exchange of information and intelligence within the framework of the Convention and national legislation. The agreement provides for the right for Norway and Europol to station police liaison officers with the other party. Europol also has an analytical unit that will be useful to Norway. Norway will also be able to take part in the advice and technical support arrangements provided by Europol. It has been important for both Norway and Europol that the agreement provides sufficient guarantees of privacy to ensure public confidence in the exchange of information. The rules governing the processing of personal data and the practice of legislation shall be reassuring. Confidentiality is central to the processing and exchange of personal data. Data stored or transmitted shall be accurate and up-to-date, they shall be collected legally and serve a legitimate purpose. The transmission of data shall only take place with the intention of preventing or investigating criminal offences. Data shall only be stored within defined time limits. Individuals are guaranteed the right to access data transmitted in accordance with the agreement or to have the information verified. Incorrect information may be required corrected or deleted. The exchange of information is governed by Norwegian legislation on the Norwegian side and by the Europol Convention with underlying legislation on the part of Europol. Both sets of rules are based on the EU Data Protection Directive. The Directive was implemented in Norwegian law last year, through the adoption of the Data Protection Act. This provides a reassuring framework for cooperation. Data protection has been consulted during the negotiations. Furthermore, it has been important for Norway to ensure a dialogue between the Data Protection Authority and Europol’s supervisory bodies. The exchange of letters between Europol and Norway in the context of the signature of the Agreement refers to the necessary measures for close cooperation with Norway where this is important for the application of the Agreement and for achieving a high standard of privacy. The Committee's position and also the rapporteur of the case dealt with the relationship with the EOS Committee of Storting. I only have one comment to make: the EOS Committee is the body of the Storting, and how the Storting wants to use the body is a matter for the Storing. The minority of SV addresses the need for work against financial crime. I would like to point out here that the Europol Agreement also includes cooperation with regard to counterfeiting of money and means of payment and money laundering. There is also other international cooperation in the fight against economic crime and money laundering, including: in the EU and in FATF, the Financial Action Task Force. The EU has now adopted amendments to its Money Laundering Directive. The Norwegian authorities have started the process of implementing this in Norwegian law. Let me underline that the Government considers it highly desirable for Norway to conclude the agreement with Europol. The agreement will be an important instrument in our fight against serious forms of international crime and will strengthen police cooperation between Norway and the EU Member States. The agreement will also strengthen Nordic police cooperation. The rapporteur also addressed the work currently being done in the EU in the fight against terrorism, including: European arrest warrants. The European arrest warrant was actually considered by the European Commission to be part of Schengen, but the EU has subsequently considered, through Council proceedings, that this is not Schengen-relevant. This will deal with these issues in the EU system, and will make a decision during this week to my knowledge. Once this has been adopted in the EU, Norway will decide on what is available through the European arrest warrant and other related measures, and we will, of course, by the Government, appropriately return to the Stortingen with this. I have tried so far to put myself well into the debate on this in the EU, and would like to say, on a principle basis, that it is particularly important to be aware of how the principles of the rule of law are weighed down in evil, necessary and difficult balances to combat evil, namely terrorism.
