ParlaMint-NO_2001-05-03.ana.ud1912e95	The representative Ulf Erik Knudsen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2001-05-03.ana.ud1912e842	No more words have been asked for.
ParlaMint-NO_2001-05-03.ana.ud1912e845	As expected, the NRK was mainly presented by the Minister of Culture. It was natural and correct, both from the position that the NRK has and will have, and from a turbulent period around the institution. But to some extent other themes should also have been given a natural place in the presentation. Now the government will come back with a broad media message for the autumn, and it looks very positive at the Left. I think it will be a necessary review of important areas of media policy. It is about getting an update of both the status, the challenges and the public framework conditions. A discussion of the Agenda Press Committee's settings is naturally included here. In the news coming to the harvest, it is natural that the economy is at the centre. But it is also natural for a person to discuss other issues that belong to it. In the presentation, the Minister for Culture said: ‘Without the proper functioning of the media, the whole of democracy is threatened.’ It's an assessment that left-hand parts. This means, however, that the communication must also discuss the media's situation in relation to important issues relating to democracy. It concerns transparency, both the law and the practice of transparency in public institutions. This means that one has to deal with difficult balances in terms of freedom of expression. One must watch the difficult, but important choices. And it will be the test whether you want to give the media the framework conditions they need, and not just the honeymoon that we often use in debates. The government has recently made it clear that it wants to exempt the newspapers from VAT. That's an important clarification. A settlement is invited around this, so that it does not become a topic in the annual budget debates. It's a wish I share. I think it is important to put in place a robust policy in this area, which is important for the framework conditions for the newspapers. I also think it is important that we get a decision that is widely thought out and that a reasonable degree of certainty can be expected to be at the root for many years to come. A natural part of such a platform will also be to get a broad majority that determines that we will still have a solid press support. The left shares the main lines of the Government's NRC policy. The NRK has and will have great cultural policy significance. I am also of those who believe that this meaning is not going to be less in the years to come, rather on the contrary. The left wants a strong NRK that is mainly funded by license fees. I share the government's assessment that advertising funding is not a good option for the NRK. The government says clearly that it wants to bet on the NRK in the years to come, among other things. it is willing to take part in and take a promise to have the digitisation implemented. It is important that this will also be reflected in the fact that funds are put in place in the budget for the autumn. I'm among those who think it's unrealistic to assume that the NRK should be able to handle this promise through license fees. I also think it is important that a person complete the development before a switch over and thus get a shared offer. I think that debate you've had around NRK2, just a mild breeze compared to what will be the reactions if a phase out NRK in today's form before you have an alternative fully in place. There has been a debate in the wake of the Minister of Culture's presentation. The Minister for Culture pointed out that the NRK is a relief channel and followed up with a concreteisation of programmes that she thought belonged in one channel and not in the other. In the opinion of the Left, you're here in a border country. I think one went too far and too far into what should be the broadcaster's responsibility. To provide guidance on e.g.: Movies belong in NRK2, I don't think they're politicians' jobs. I am of those who believe that debate programmes and policy programmes sent to NRK2, more naturally belong to NRK1. But it's an opinion from me that sees, and the natural receiver of such opinion is the broadcaster. It is important not to mix the roles. It is possible not to do so, even though one as a politician is allowed to determine what was the intention behind the creation of the NRK2. I don't think the Minister of Culture's statement at this point was an elegant passage.
ParlaMint-NO_2001-05-03.ana.ud1912e869	I am pleased to note that my statement has been widely welcomed. Both politicians, the directly involved parties and media observers agree that the future of the NRK is as important as its past. I also record expectations for the principal, overall media message that the Government will provide for the autumn. However, there has been an interesting debate on the editorial responsibility of the NRC in the wake of the presentation. And let me repeat what I said: NRK has absolute freedom of editing. The majority and the Government shall not assume the editorial responsibility. But Stortinget sets the framework for the NRK, and Stortinget has decided that NRK2 should be a relief channel. NRK2 today reaches something at the base of 90 pst. of the population of our country. When the NRK now mentions NRK2 as its film channel, and also sends many children's programs here, I perceive that this may be contrary to the intentions of the Stortinget. That is why I have asked the NRK's board of directors and broadcasting director to review the transmission form for NRK2 to assess whether the programs in the discharge channel are in line with the given assumptions. The independent editorial responsibility of the NRK is undisputed. Digitalisation makes us face fundamental choices, not just for the NRK, but for the whole Norwegian media market. The statement has been interpreted to mean that the government supports the digitisation of the NRK, and of course we do. The NRK is quick of historical interest if you do not reconcile with the digital nature of the relatively immediate media future. As I said in the statement, the government is not going to let the NRK die out in the digital future. This will require new and untraditional thinking, but the future structure of the NRK must not break with the anchor fastening itself for the company’s existence. For the Government, therefore, it is a very important objective to ensure that NRK’s public services are transferred to a satisfactory digital platform, so that public broadcasting can benefit everyone even in the coming years. Of course, it is important for the Government that its population has access to new technology and can participate in the development of the digital information society. Digital television can quickly become the dominant digital platform. For many, the TV screen will also be their only access to the Internet. Ground-based digital television will provide nationwide coverage and thus ensure an offer to all, as well as cable and satellite. But it's not enough just coverage. It is therefore an obvious goal for the Government to ensure that the number of households with digital reception equipment is as high as possible and that this process takes place as soon as possible. In order to achieve this, the market needs to be stimulated. It's not enough with new technology alone. The market needs to be offered new, attractive digital content. All experience, e.g. from Sweden, suggests that it is not sufficient to provide the same content as in analogue broadcasts in order to make people switch to digital receiver equipment sufficiently. I think we're totally dependent on new, attractive services from the NRK to make people want to become 'digital', to put it this way. I would say that without a fully digitised NRK, which, in addition to its general offer, can also provide new programme offers and services, we will never be able to turn off the analogue broadcasts. We will experience a ‘digital class separation’. I believe that the NRK will be the guarantor of the development towards a fully digitised Norway. But just to make sure that NRK's offer is also present in the digital future is not enough. As I said in the statement, it's my goal that the NRK will be powerful in the future as well. The NRK does not necessarily have to be the largest, but still have to be large and significant. There may be more strategies for survival in the future. One thing, however, is clear: in order to survive in the future, any company must rethink a number of areas without destroying the foundation of its business. The NRK has presented me with a strategy, as I briefly mentioned in the statement. With the exception of a somewhat expansive economy, I have to say that the operation of the NRK under the company's current management has so far been successful. A market share of almost 40 pst. is unique in Europe and speaks for itself. I therefore see no reason to doubt that the NRK's strategy for the future will have good prospects for securing the company's position and thereby be our foremost force in maintaining and developing Norwegian culture and identity. As I said in my media policy statement, digitisation will cost money. To believe that with existing means, the NRK can take the leap into the digital future is unrealistic. But when I say in the statement that the government is going to help the NRK over in the digital future, this does not mean that the government is going to propose that the government take the entire bill, as some seem to believe. Supporting the digitisation of the NRK is not the same as paying all costs directly by the State. Public broadcasting requires public involvement in the establishment and maintenance of a satisfactory infrastructure. The government comes back to funding in budgetary terms. As I said in the statement, to the autumn I will present a principal announcement of media policy. Among other things, there will be: The press policy will be the subject of careful discussion. In addition, I will return to the government's concrete proposals for the future strategy for the NRC and its financing. Let me comment so briefly on some of the recordings that have come into a very fruitful debate so far in the Greatness Hall today. Let me first say a few words about the content of the NRK and the role of cultural policy which the representative Lånke in particular called for in my presentation. I stress in everything I say about the NRK, that the future of the NRK stands and falls with the content, with the understanding of the role of cultural policy. I thoroughly prepared this for, among other things. when I gave a talk to the Council of Circuits recently, where I just underlined the need for the NRK to take its cultural policy role seriously and focus on its very central tasks of strengthening the Norwegian language, strengthening the provision of children and young people, holding to programmes on art and culture, on life views and beliefs and values. This is absolutely central to the NRK also in the digital future. These issues will, of course, be a natural part of the review with a view to making a clearer definition of the public service broadcasting obligations that we have launched. In this, the radio is also a part of course. It must be clear that the whole population must have the opportunity to receive NRK’s general offer before the analogue offer is switched off. Let me make it quite clear that it is my and the Government's clear view that we must contribute as much as we can to the implementation of digitisation as quickly as possible, and that it reaches everyone, so that there will be a shortest possible time for both analog and digital transmission. But everyone should have an offer before the shipment is switched off. It would be completely impossible to imagine a scenario that the representative of Greece imagined, that for example. Only 60 pst. they had access to the digital broadcasts when the analogue is switched off — that is totally out of the question. As far as ownership is concerned, several of the representatives have been involved in this in the context of the TV 2 situation. In the current concession notice – as it stands today – no one can own more than one third of the shares of TV 2. I'm positive for changes in these terms. We're going through a review of these questions. This has not been included in the new call that has been made regarding the TV 2 concession. We're doing a review, because we're also very concerned that this is a complex matter, where the best thing can easily be the enemy of the good.
ParlaMint-NO_2001-05-03.ana.ud1912e907	It's going to be line change.
ParlaMint-NO_2001-05-03.ana.ud1912e910	I totally agree with the Council of State that a powerful NRK is important in the future as well. I think there's a very broad cross-political agreement in Stortinget that we need a strong public broadcast like NRK1. I'm glad that there's been a clarification when it comes to new broadcasting director. There was a lot of anger for a while about how evolution was here. I think the NRK is going to get a good broadcaster in John G. Bernander, so it's good that it's coming in place. Governments were very much concerned with this with digitisation in their speech. It is clear that there is an enormously important challenge for the NRC, and it is urgent to take concrete action in relation to the further work there. Now state councils are notifying themselves of this and media policy in general in the fall, and then the hopeful Stortinget is going to do so quickly in order to get quick and good results. There's a couple of statements about the government council that I want to challenge it a little bit. The one he is: «I am convinced that the form of funding chosen for public broadcasters affects the profile and content of the companies.» I wonder if the Council of State could deepen this a little in relation to TV 2 and NRK. Is it true that the Council of State believes that TV 2 is funded by advertising, greatly affects the content of the NRK, which is financed by license? Or is there any other thing the Council of State is thinking about? The second designated licence shall be valid. The Council of State said: ‘If you do not believe in continued licence funding in some form or other, you do not believe in the NRK’s public broadcaster either.’ The Christian People’s Party believes in the license, but the Council of State says ‘in some form’. We know that technological development also presents us with challenges. Is there anything else the council is thinking about here?
ParlaMint-NO_2001-05-03.ana.ud1912e934	To the representative of Molvær Grimstad's wish to deepen my statement that the form of funding affects the company's profile and content, I would like to say that we have seen clear trends that the privately funded channels must lend ear to their advertisers. I don't want to elaborate on this in detail, but I have, among other things, let me inform you that advertisers are concerned about age groups, young viewers. It's e.g. facilitate the acquisition of advertisers for the most youth-oriented programmes. I'm afraid that if we don't call about a public broadcaster that's free and independent, trends in the commercialisation of the program profile will also take place in the NRK. And I'm very concerned that the NRK is holding on to its public broadcasting mission, based on the areas I mentioned in my post, in terms of language, culture, children, young people, value programs, life views, etc., and that you're not forced to enter into competition with the commercial channels, which sometimes have to shirk other aspects of programming as well.
ParlaMint-NO_2001-05-03.ana.ud1912e941	I am pleased with the signals that the Council of State now gave in its statement regarding this with the TV 2 ownership restrictions. It is, as the Council of State said, so that the concession is published without any restrictions on ownership in the new concession, and we know that it is two years before it comes into force. That means that if TV 2 applies and receives a concession, they are bound by the 33.3 pst rule until a new concession enters into force. This does not seem appropriate, especially when the strongest Norwegian owner, Schibsted, considers selling his post, while signaling that a major post may be interesting. Therefore, as I did in my post, I would like to signal and underline that the Right is ready that the Council of State may at any time go to the end of this restriction, so that the rule of ownership does not constitute an obstacle to strong Norwegian owners of TV 2. And it is important that this assessment that the ministry is now carrying out is done quickly, and that one can act quickly. And once again, I would like to stress that there is a majority in this Chamber – if the Labour Party so wishes – to lift this restriction. Then I just want to ask the Council of State a question related to this with new permits to send on the digital ground. How does the Council of State view the assessment and call for this? Is there a concessional treatment, or is there going to be a price tag to access the digital ground network? Will the Council also consider increasing the number of permits, or concessions, which have already been given to one for radio, i.e. digital radio, nationwide?
ParlaMint-NO_2001-05-03.ana.ud1912e950	As I have already mentioned, we will be discussing the issues of ownership in the near future, in the light of the fact that all public broadcasters are important elements of the Norwegian cultural policy landscape. And I believe Norwegian owners with roots in a Norwegian media reality will have more ability to give TV 2 a Norwegian profile than foreign owners. That's why we've taken this up again, and if there's something we need to do with the current conditions to stimulate to keep a Norwegian ownership, I don't have any fundamental counter-conceptions about this, but we can come back to that on a later occasion. Of course, in the case of digital ground-based networks, there are a number of advantages to the development of such a network. It could complement other forms of distribution, in particular satellite and cable, and per country. Today, digital ground-tight is the only form of distribution capable of providing portable and mobile reception, and ground-tightness is also the most effective distribution for regional consignments. We're looking at the call these days, and of course, as far as advice is concerned, we're going to help others get into the net, but we're going to get back to that as well.
ParlaMint-NO_2001-05-03.ana.ud1912e957	The Progress Party notes that the Minister of Culture has great confidence in a digital network and that everyone will receive this offer. What amazes the Progress Party is that the Minister of Culture does not say anything about how it is going to be done, at what price, and not least who is going to pay. I also remind you that the corresponding investment in Denmark was a near failure. Will the Council of State acquire and take with it knowledge from others who have tried similar projects? So to the main question: what does the Council of State think is the great advantage/great advantage of a digital groundline rather than the same offer through e.g. satellite, which is constantly growing? And – I repeat – where will the Minister of Culture pick up the three to five billion NRK needs?
ParlaMint-NO_2001-05-03.ana.ud1912e966	I want to repeat what I have said on several occasions, that the funding will have to come back to me primarily in budgetary terms, but also something more in the media policy message that we intend to present to the autumn. There are many ways of seeing funding separately, and we are in dialogue with the NRC about the sums that have also been made available to the public. They're big, but it's necessary to get this in place as soon as possible, because, as I just said, we view the digital transmissions as a very important addition to the cable and the satellite, and they can reach everyone. This is the way of the future, and it is absolutely vital for Norway and the NRK that we get this up and stand as fast as possible. As far as I am aware, it is not common for us to go into a direct debate on budgetary matters in the context of a statement, and I ask for an understanding that we need to come back to this in budgetary terms. The license is in place. I've made that clear. It is the government's clear view that licensing does not depend on the technology underlying the distribution.
ParlaMint-NO_2001-05-03.ana.ud1912e975	We are also concerned with ownership, also in relation to TV 2. We're probably more sceptical about lifting the restrictions on ownership that are today, but we see that there are dilemmas out there and going, and we're going to get back to that and look at it really openly. What we are now concerned about, however, is the link between distribution and content, and therefore I would like to hear the views of the Council of State that Telenor could possibly enter as the owner of TV 2. We believe it is very important in the future digital broadcasting world to distinguish between distribution and content. Otherwise, it can lead to large concentrations of power and also to commercialization. This is also reflected in the proposal we have presented today. So I've previously been concerned about who should own the portals. Should anyone be allowed to be digital port guards that can prevent smaller actors from accessing the portals? That, I think, is an important question, also in connection with the conversations that are now taking place between TV 2, NRK and Telenor. Does the Council share our view that if the NRK is to enter as an actor in a portal company, it must be an indispensable condition that there is room – good space – for local TV, for non-commercial actors who, in our opinion, will be as important for the future media diversity as local viewers and meaningful newspapers are today? And then I would like the Council of State to solve some of the confusion that has been here today. Is it so that [[President clubs]]
ParlaMint-NO_2001-05-03.ana.ud1912e984	It was a good publisher from the representative.
ParlaMint-NO_2001-05-03.ana.ud1912e987	As long as the negotiations between the parties have not been concluded, I do not think it is right for me to comment on any agreement between NRK, TV 2 and Telenor. For me and for the Government, the most important thing is when we draw up the headlines for our future media policy, that we get devices that best serve Norwegian public broadcasters, Norwegian culture and Norwegian language. There is no doubt that in these days we are experiencing a wave, an explosion, of media from all over the world, not least in Anglo-American languages, where it becomes extremely important to call our own public broadcasters, where the NRK is the crown jewel. In the case of portals, the NRK itself considers that the company can only retain its strong position in the future if it can participate in the ownership of one or more digital content portal companies. These portals will break up the relationship the broadcasters have with today's analog technology to the viewers. The government is currently considering this issue and will come back to the matter in the forthcoming Media Policy and State Budget paper. As I said, it is available per year. today no cooperation agreement between NRK, Telenor and TV 2. As far as local TV is concerned, I think that the digital network could be a great opportunity for local television to get out of. It is also an important goal for us to ensure the diversity of future digital reality.
ParlaMint-NO_2001-05-03.ana.ud1912e998	First, I would like to thank the Council of State for what she said about the cultural policy role of the media with the address of my post. I think that was very positive and hope that it will be followed up in connection with the work on the media message. I do not want to let go of this with the ownership restriction rule, which the Council of State was in. I understand that she is not prepared to draw any final conclusions on this, but she said she was positive about changes. I have to challenge the Council of States again whether it is so to understand that you want to abolish this rule. I have read Today's Business today, and there I see that the representative Jon Olav Alstad agrees with me that the rule that you can only own up to a third of the shares seems reasonable, but that you might prefer Norwegian owners rather than foreign ones, and that you see that it has a very positive meaning that they are present. It's not something I disagree with him in. There is also an opinion from the Director of the Ownership Authority, Sigve Gramstad, saying that the Ownership Authority can interpret the law and intervene if we get too large ownership concentrations such as: threatens diversity and freedom of expression. My question is: will the Council agree with the Director Gramstad's statement and understanding of the law at this point? I would also like her to be able to give a clear signal if she really wants to lift the ownership restriction rule. Once I have the floor, I would also like to call on Mr Ågot Valle to make all of his proposals for transmission proposals, so that they are assessed in the department and not voted over here in the Chamber.
ParlaMint-NO_2001-05-03.ana.ud1912e1009	I get the interest in this room around these ownership issues, which are both complex and full of dilemmas and contradictions. Already in my media policy statement last year, I announced a review of the possibility of removing this restriction in the announcement of the new concession, so that these are thoughts that we have had for a long time and that are therefore linked to the concession notice and in particular not a change of law. The media market is developing at a raging pace, and I don't think it's right for the department to sit down and watch that devices to ensure diversity prevent Norwegian owners from seeing it as interesting to stay on the owner's side of our companies. That's why I think it's important to have a very close look at these questions. I do not ignore that if it would be useful to achieve the objectives that we agree on, this can also be waived in the current concession period.
ParlaMint-NO_2001-05-03.ana.ud1912e1018	The cord shift is over.
ParlaMint-NO_2001-05-03.ana.ud1912e1022	It must be nice for the NRK to have such a fierce and enthusiastic general meeting as the Council of State Ellen Horn. In the presentation, there was a lot of goodwill, little criticism, but clear demands that the NRK fulfil the obligations imposed on the company by the Storting. I also hope that the Council of State Horn will bring the Minister of Finance with her when she today so unequivocally states that everyone, 100 p.m. by the population, access to the digital groundline shall be made available before the analog transmissions are switched off, as this will be a costly promise. The Council of State has to assume that this commitment, this promise, has been noticed in those parts of the country where laying the ground is not commercially profitable, but where the population still has a clear demand for access to NRK and NRK shipments. I agree that the NRK is important as a cultural intermediary, perhaps the most important cultural intermediary we have. The institution is important as a news agent and as a channel for public debate. The Coastal Party will also continue to maintain the NRC as a State-owned institution and will give priority to enabling it to fulfil its role as a cultural intermediary and as the debater. It is important for us to be able to attend to our two official languages and for us to be able to attend to the Sami language. I should also like to say that we would like political governance with the NRK, not to control the editorial content – so far from there. The NRK shall not be subjected to political censorship. As owners, however, we should have the right to be guided by the use of the government-adopted licence fees. However, it appears that the NRK perceives that the AS form significantly limits the right of owners to make claims, e.g.: on the programme profile in both channels and on the fact that, in its possession of the licence fees, the NRK follows the premises on which the Storting decision is based. The biggest thing has called for simultaneous captioning in the NRK several times, and every time we've been met with assurances that this is just around the corner – it's coming, it's coming. Not least this year, in an electoral year, there is a significant lack of untextual transmission of the debate programmes. After all, the purpose of debates on TV is not just to allow viewers to be passively briefed on the different views that politicians and other social viewers might have. The aim of debate programmes must equally be to provide the basis for a simultaneous debate in society. And so when the debate programmes do not have simultaneous subtitles, there are several thousand hearing-impaired people being cut off from this important arena, this information channel. Then it is very little satisfactory for people with hearing impairment that reference is made to the fact that these debate programmes are sent the text in the NRK2 late in the evening, especially if they do not even have access to the NRK2. Just the possibility of participating in the simultaneous exchange of views means a lot, so I hope that the Council of State will put pressure on the NRK: there must be simultaneous subtitles, and it must come quickly. And then you're over in another problem. When the Council of State points out that 90 p.m. NRK2 is also included by the population, who only enter the channel through satellite or cable networks and who therefore have to pay extra for this. It is a problem that in those areas that are not covered by the NRK2’s regular transmission network, the fact that the licence is not differentiated in terms of reception means that it pays for a product you do not get. This is a problem that will be solved when the NRK moves from analogue to digital broadcasts – a development we want to welcome. But that is a very clear premise, and I am glad that the Council of State has today made an undertaking that it should be arranged so that the country as a whole should be covered before the analog signals are switched off. So finally a few words about the White House on Marienlyst. It may well be that the NRK will come easier through a necessary conversion period by establishing itself in new premises. But I have to say that I am startled when I see that the NRK will establish itself on the country's most expensive plot and construction site – a deep water building in Bjørvika. We must prevent that!
ParlaMint-NO_2001-05-03.ana.ud1912e1039	No more people have asked for the floor on case No. 3rd@item: inlistbox [[Footing, see page 2849]]
ParlaMint-NO_2001-05-03.ana.ud1912e1053	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes, the other groups 5 minutes each. In addition, the President will suggest that there is no possibility of replication after the individual speeches, and that those who have to sign up to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes. The President sees it as a matter of fact. The first speaker is Jon Olav Alstad, spokesman for the Saga. - Sir. Everything is not present, and the president instead gives the word to Ågot Valle. The President dares to ask that one have such control over his groups that the representatives are present in the Chamber when the debates begin.
ParlaMint-NO_2001-05-03.ana.ud1912e1066	It was fun that I got to first. It's a good idea to sneak a little in the queue, but it was fun! Norwegian films are an important part of recent Norwegian cultural history. It's urgent to get hold of the films that are owned by the family or descendants, as is the case with many of the Ivo Caprino films, or those that are in foreign laboratories. Last year, the Norwegian Film Institute picked up material that Norsk Film had in laboratories both in Sweden and in Denmark. Still, there is probably a lot of Norwegian-produced material in foreign laboratories, so efforts should be made to track down missing material. But, above all, efforts must be made to restore and take care of Norwegian films, so that they can be made available for later generations. Here we are on arrears. I have been informed that of the 50 long films that were made up to 1970, eight have been restored until now. Now that we've put the spotlight on the Ivo Caprino movies, it's because he has a very special place in Norwegian film history, and because the information about the status of the many movies that have delighted kids, parents and grandparents is disturbing. We believe it is unforgivable that the Ivo Caprino films should be lost because there is no resources available to take care of these films. This is the testament to whether it really is the will to take care of the entire Norwegian film tax. We know that the Film Institute has applied for 10 million. kr to restore the films made up to 1970. But at the same time, we believe that it is very important to plan and initiate preparatory work for the restoration of all films from the whole of the 1970s. Some of Ivo Caprino's films, among others The Flåklypa movie is from this time. It is a particularly important part of the Norwegian film tax. However, the rationale for starting the planning work lies in the entire film production from this decade. SV believes that the Norwegian Film Institute needs additional appropriations to get up-to-date on the preservation of important film taxes, and that the money has to come into the revised national budget. So I'd like to take the opportunity to say a little bit different about film – the Norwegian film heritage. I want to say something about the film heritage since 1990, and here I repeat some of what we also said in budgetary remarks before Christmas. We have received enquiries from the Norwegian Film Association, which is concerned that Norsk Film's film catalogue will be put out for sale together with the production part of Norsk Film AS. This concern is shared by us, because it may make it difficult for the active and cultural policy dissemination of the titles in the film catalogue to continue. We want to take a close look at the demands of the Norwegian Film Federation. But as an absolute minimum, it is important that at least the Film Institute and the Film Museum are guaranteed the right to use the archives of Norsk Film AS, even after a sale. It must be an absolute requirement that this film heritage be available for studies, research, distribution to schools and libraries, etc. I am aware that it was also a bit in line to bring up these themes. At least I will address the proposal that has been put forward in the vote.
ParlaMint-NO_2001-05-03.ana.ud1912e1088	The representative of Ågot Valle has taken up the suggestions she referred to.
ParlaMint-NO_2001-05-03.ana.ud1912e1091	It's not difficult for a unanimous big thing to agree that it's important to take care of Ivo Caprino's movies. There are also many other very good directors and filmmakers in Norway who have done a lot of good that needs to be taken care of. Although I may find it a little daunting to make a proposal to grant money already revised in the light of a look-up in the evening post, it is not a problem to join the intentions of making sure that this is taken care of. Then you can discuss how to take care of it. The proposer is concerned that in the evening post it was said that Ivo Caprino's films should be in poor condition. Now the situation is that it's the Norwegian Film Institute and the National Library that have the professional responsibility to take care of our films. In this case, the manufacturer himself has chosen to take care of the films and not let the Film Institute take care of that task. The department has now informed the committee that the heirs will be offered to deposit the films at the institute, so that it is possible for the institute to have both an overview of the state of the films and to take care of the films that are there. This is a film heritage that obviously needs to be carefully cared for. Every year, Stortinget grants money for the restoration of films. In recent years, the Film Institute has not asked for additional funding for the restoration of films, but has now, as I understand, submitted an application for next year's state budget. We'll have plenty of time to deal with that. If additional funds are to be allocated, this must be done in the light of the institution's need and capacity to use them. The Committee very much agrees that the cultural taxes contained in these films should be borne in mind, but first we have to be responsible for them. That's why this is going to be a matter that we have to assess in each budget in the future. So until the proposer picked up at the end, that's the film heritage of Norsk Film. At least we have to make sure that the film catalogue of Norwegian Film AS today, in which the Stortinget has decided that the state will liquidate its interests, is kept in such a way that it comes out to people, and is seen by people. I didn't see for sure that the Film Institute is the right place for it, because they don't have a distribution device that allows you to show the movies to the population. Of course, the Film Institute has a very clear responsibility to take care of the physical films, but in terms of the rights to them, whether they are commercial rights or rights of use, we need to find solutions that allow as many people as possible to see the films that have been produced over time, so that they don't just lie and dust in a closet. The distribution companies that exist are largely commercial. The State has no distribution apparatus to show these films. We have to somehow secure the results of Norwegian Film AS' long-term history, so that the films don't get blown away and made interesting just for researchers and others who have special interests, but that people get to see these movies.
ParlaMint-NO_2001-05-03.ana.ud1912e1102	Ivo Caprino’s film production is central to Norwegian film history and consists of taxes that have meant and still mean a lot to both children and adults. I would therefore like to stress the importance of taking care of the Norwegian film heritage and ensure that this part of our cultural history will also be available to a future audience. As long as large parts of Ivo Caprino's film production are still kept with the manufacturer, I have no opportunity to document the status of these films. With regard to the digital restoration and its responsibility, both the Film Institute and the National Library are responsible. There has been some disagreement between these two parties about the conservation strategy, and I have instructed these two institutions to reach an agreement on such a strategy. The institutions have recently reached agreement, and once the plan has been sent to the department, I will address the matter. Of course, we have to come back to funding in budgetary terms, but I agree with Mr Valle and the Committee that it is an important cultural task for the nation to take care of the entire film heritage. As for the situation in Norwegian Film, where Stortinget has agreed that the state should sell out its shareholdings, I am concerned that the film archive is being used, and not dusting down. I want to emphasize that Norsk Film's archives are used in a way that allows the audience to see the films on TV and video as well as in new formats like CD-ROM, Internet etc. How this can best be done, we will come back when we have made the final arrangements regarding the liquidation of our ownership of Norwegian Film.
ParlaMint-NO_2001-05-03.ana.ud1912e1111	Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 2849]]
ParlaMint-NO_2001-05-03.ana.ud1912e1125	No one has asked for the floor. [[Fotation, see page 2849]]
ParlaMint-NO_2001-05-03.ana.ud1912e1139	At the request of the Committee on Family Affairs, Culture and the Administrative Affairs, the President will propose that the debate be limited to 40 minutes and that the speaking time be divided into five minutes per group. Furthermore, the President will propose that there is no possibility of a reply after the individual speeches, and that those who have to sign on to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. No one has asked for the floor. [[Fotation, see page 2849]]
ParlaMint-NO_2001-05-03.ana.ud1912e1159	No one has asked for the floor. [[Fotation, see page 2849]]
ParlaMint-NO_2001-05-03.ana.ud1912e1173	There was a bit of a rush, I'll try to recover the breath. This case has been promoted by John I. Alvheim and Harald Tom Nesvik on behalf of the Progress Party, and is, to the extent that a follow-up to the little funding we have had in terms of hospital financing, over the past six months. In November it was granted 975 million. DKK for the foreign treatment of Norwegian patients. That money could not be spent during that budget year, and these were then made transferable. What has happened later is that we have received a proposal to use these funds both for domestic and foreign treatment. Unfortunately, it was voted down, against the votes of the Central Party and the SV. Following that discussion, the Committee has examined this matter, Document No. 8:45, which amounts to a further NOK 1 billion for increased treatment in Norwegian hospitals. The Health Minister, in a letter to the Committee, has said that he does not wish to grant exceptional resources for hospital treatment now, and will link assessments of capacity and needs to the regular budgetary process. The majority of the Committee, the members of the Labour Party, the Christian People's Party and the Right, have joined in. A second majority, the members of the Labour Party, the Christian People's Party, the Right, the Centre Party and the SV, believe that a new assessment of this issue should be made in the ordinary budgetary procedure, and then only in the context of the revised national budget. There is reason to remember that it is now approx. one week again until the revised national budget is presented, and it is hoped that there are suggestions from the Government that we can increase the rate of patient treatment in Norwegian hospitals. During the period we have discussed this with an increased allocation to hospital treatment in Norway, many hospital information has been obtained about both ordinary and exceptional available capacity, and a minority in the Committee believes that it should be possible to make some of the funds available for the first allocation, i.e. the 975 million allocated before Christmas, both domestic and foreign treatment. However, when we now know, on 3 May, that the revised national budget will be presented on 11 May, everyone in the Committee, with the exception of the Advance Party, says that the treatment of increased allocation to treatment capacity in Norwegian hospitals must be taken into account in the context of the revised national budget. The Progress Party is promoting its ordinary proposal and will probably explain it in more detail. Finally, I want to go a little bit into the argument that we from the Center Party, along with the Socialist Left Party, have presented here, as an observation. We believe that it should have been possible, and also most appropriate, for the fastest and most effective patient treatment from the turn of the year onwards in the spring, to use the funds already allocated in November 2000, so that the appropriations for which there was actually unanimity in voting in the Chamber before Christmas could be used now, and then look at exceptional funds in connection with the revised national budget – which will then only come in a few days – after the ministry has, hopefully, been given an overall overview of the capacity of Norwegian hospitals, based on the work asked by the Minister of Health Sintef-Unimed for the Department. We believe that the funds used for both domestic and foreign treatment earlier this year would have been a more efficient and appropriate use of these resources. We now see that there have been several principles andachievements to disposal and the way in which they are used, rather than to use them in the most effective way possible. It is also said by the Minister for Health that he must primarily have these appropriations added to the ordinary budgetary procedure. To this extent, I can understand. At the same time, however, it is said that there is an organisational problem in Norwegian hospitals and in Norwegian health services, and I think that this problem is underlined by the fact that we become so square in the form of treatment in terms of available funds also for extended domestic treatment capacity. I think it is a bad warning as to what will lie in state ownership and hospital responsibility, that we should be so A4 in all our disposal that we need to refer only to ordinary budgetary processes in order to increase domestic treatment capacity – as several hospitals have pointed out, there is if you get increased appropriations.
