ParlaMint-NO_2001-12-19.ana.ud51e69	The representative of Ågot Valle will make a private proposal.
ParlaMint-NO_2001-12-19.ana.ud51e871	The good people deserve much more than praise. All the honors are in place, but to a much greater extent it has to follow with money. It is enough that local good words and local money do more good and lead to more activity than the money that comes from a central team. With the proposal that is now under consideration, the Central Party wants to bring the Storting on board: how are we going to be able to spend a lot of money on local teams and associations that do good for us all, without that money coming from the state budget? We have 85 000 teams and associations with 5-6 million memberships, according to the HSH report on the voluntary sector from 1999. Voluntary work amounts to 6 pst. of all annual works, but only 6 pst. of the revenues of these organisations are gifts from private individuals. Those gifts are probably quite different. The centre party wants authorities to provide more direct support and other incentives so that voluntary efforts do not stop. There's probably a real danger that some of it can do that. The good people are more tired of selling lotions and begging for money than of working with young people, for example. Organisations are becoming more expensive and expensive. The Centre Party wishes, inter alia, to: changing the key so that all profits go to sport and culture, and that revenue goes to local work. In total, we want sports and culture to get an extra $1 billion over the course of four years. We've been through this with the police guard before. We want it to be free where the purpose of an event is culture, children and young people, and that principle is to be legislated. We're also going to follow up on it. The state must grant tax exemptions to those who want to give money instead of working themselves in the local environment. That is what the proposal we are now discussing is about. Tax exemptions are a great incentive. We know that from other areas. Gift money has to find the way to the purpose that you want to support, in a simple and safe way. I believe that the possibility of tax evasion is best avoided by the fact that the money goes through a local bank account – that the responsibility for managing and disseminating the money is to be added to a local government, and that they are careful that only those associations that have an approved purpose in accordance with the regulations of the department receive the money. Such a local government sees what the money is spent on. Reporting to tax authorities will be very simple and, of course, can also be done mechanically, so that the deduction comes on the pre-filled declaration. The giver’s pleasure and willingness to do so are very much linked to the local, the close and the concrete. In the case of tax incentives with liberal limits, a project that is useful to many will be able to make a large contribution. The current tax-free scheme makes a modest contribution of 10 million. kr in total according to the letter we received from the department. The reason why so little money comes in that way is obvious that the gifts go to nationwide organisations and go little for local purposes. A look up in the nation today tells about it. It says, among other things. that the crew and the choir do not have five ears through that arrangement. The Norwegian Youth Act does not know that the scheme exists. I think it'll also be like this later, if the scheme expands and the amount limit gets bigger. It is positive that a majority in the committee will extend the system we have today, after all. The working party and SV do not say anything about it. The cooperation parties warn that the amount of the deduction may be increased, while the Progress Party, the Coastal Party and the Center Party say we want to increase this. But whatever the Workers' Party and SV want, we're not told anything about, except that they join the Ministry of Finance's scepticism. I think that's a little disappointing. Then, of course, it is disappointing that only the Senter party wants to propose the tax exemption scheme for local donations. Most of the skepticism of this proposal seems to be in the interests of nationwide organisations, that they have expressed a wish that gifts should go that way. I find it strange that the possibilities of increasing the flow of money to the local layers are not given much more emphasis. At the previous crossroads, in the processing of volunteering, the Center Party and the Christian People's Party at least agreed that we would prioritize the local teams. We did not want what the majority said to be about the nation-wide organisations. The Ministry’s listing of counter-arguments against extended tax exemptions is not unexpected. Some of the counter performances I think are groundless and exaggerated. It is such that the proposal that has been submitted for reasons outlines how a scheme of local funds can be organised. With regard to organisation, in terms of governance and geographical area, the ‘should’ form and ‘can’ form are used in the proposal, while the Ministry’s response clearly sees it as a detailed legislation that has been put forward. It's not like that at all. We've asked the Department to present a code based on the constraints that are needed. Of course, there is nothing in the proposal that suggests that we want legislation that does not prevent tax subsidies from adult hobbies and leisure activities. I then hope that the announced improvement of the current tax exemption scheme will include both a broader scope of impact, strongly expanded limits of amounts and better opportunities to give gifts to their own neighbourhood. However, the Central Party promises not to forget the hard work force and the possibility of such tax incentives being given to local teams and associations through local funds. That proposal is likely to show up again. Finally, I would like to promote the proposal put forward by the Central Party in the vote.
ParlaMint-NO_2001-12-19.ana.ud51e901	Morten Lund has taken up the suggestion he referred to. Several have not asked for the floor on case No. 3rd@item: inlistbox [[Footing, see page 1238]]
ParlaMint-NO_2001-12-19.ana.ud51e919	At the request of the Norwegian authorities, it was negotiated with Chile in May 1999 to conclude an agreement to prevent double taxation. On 26 October 2001, an agreement between Norway and Chile was signed in Santiago to prevent double taxation and to prevent the avoidance of taxes on income and wealth. This Agreement will enter into force as soon as both States have taken the necessary decisions. It is a unanimous committee that is in place to bring this agreement into force. On this basis, I recommend the unanimous recommendation of the Committee.
ParlaMint-NO_2001-12-19.ana.ud51e926	Several have not asked for the floor on case No. 4th@item: inlistbox In the past, the majority has decided that the cases No. 5–7 will be postponed and will be dealt with at a later meeting. [[Footing, see page 1238]] We are therefore in favour of case No. Eight.
ParlaMint-NO_2001-12-19.ana.ud51e944	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: Working Party 15 minutes, Right 15 minutes, Advance Party, Socialist Left Party and Christian People's Party 10 minutes each, Center Party, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after the speeches of the main speakers for each party group, and five lines with replies after contributions from members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2001-12-19.ana.ud51e955	Today, we are going to handle and make decisions about permanent operations in the Svea North Mine. The plurality is increasing the proposition, while the minority, which is composed of SV, does not. The centre party has a special comment and has put forward proposals. It also has SV. I'm assuming that the minority here will do their own thing. The Proposition proposes that the Great Norske Spitsbergen Kulkompani A/S should continue to operate on Svalbard in the long term, then located in the Svea Nord field. It is a requirement that one should operate on the basis of corporate economic governance and without state support in the future. If you want to do that, it is an assumption that the volume of the output is increased, from about 300,000 tonnes today to an average of 1.2 million. tonnes per tonne; years, but without a roof, so that one can gain flexibility and thus increase the volume somewhat when desired and necessary. The capacity is 2.5 million. tonnes per tonne; years – without any need to expand the berth and outsourcing capacity. For the majority, the Svalbard Treaty and the obligation it imposes on Norway to take care of sovereignty are important. It could also be useful to recall the treatment of Svalbard cases in the Storting before, and to underline what the Foreign Affairs Committee and the Stortinget said in the handling of St. reported. No 9 for 1999-2000, it is important that Norway takes responsibility for exercising sovereignty on the island group in a way that ensures peace, stability, the protection of the wilderness environment and responsible resource management. This is for the majority the most important argument that we want to give Great Norwegian the opportunity to get started on permanent operations in Svea. In order for us to be able to do that, it is also important that the Longyearbyen as a community is about as large as it is today, and has the structure it has today. Great Norwegian is especially important to keep it close. Because of their presence, they are helping to create a ringing effect when it comes to jobs in Longyearbyen that I don't think any other business that might be located in Svalbard could be involved in creating. If you look at how long people are in their jobs in Great Norwegian, it is 12–13 years on average, while in the other major industries of Svalbard, which are tourism and research and education, the average time is about one year. It goes without saying that security and stability are becoming so weak that the other service industries like ‘serve’ Great Norwegian may not be able to see themselves in Longyearbyen in the future unless Great Norwegian continues. It is claimed that there may be other nutrients that should be able to enter there. I want to put a big question mark on it. What kind of other industries can take over the role of Great Norwegian? And then we have to stick to what's the starting point, that the most important thing is that we have to exercise our sovereignty on Svalbard. I don't think it can be done with other industries, because if we were to do as SV says, simply direct the liquidation of Great Norwegian, not only jobs in Great Norwegian are disappearing, then there will also be many other jobs in Longyearbyen, so that the community in Longyearbyen will not be kept up, and that we may not be able to carry out the obligations we have, cf. Svalbard Treaty. It is also good to see that the operation, after one has invested large sums and a lot of money in Svea Nord, will be able to carry a surplus in the future. It's also a pre that we can take with us. There's never been any question about it before when it applies to what's going on with Svalbard and Longyearbyen, and the obligations that we have. The most important thing is that we are there, and that we have a community up there that works so well that people will be there and be at work there. There has also been much talk about this with coal and pollution and coal-fired power stations. It is clear that one can say a lot about it, but at least it is a reality that the coal on Svalbard and in Svea North Mining is of the purest that is on the market. In fact, transport to the market is environmentally friendly in relation to the transport of other carbon that is far away, and the market is Europe. And as the coal is so marginal on the world market that it doesn't matter to any extent, we thought it must be right that we try to keep our commitments on Svalbard. So the sailing in the Akselsundet has been very easy, and I'm going to include some words about it as well. I must remind the assembly that now has a ship of coal for a long, long time out through the so-called throne of the Akselundet. It's 700 m wide, and the actual sailing path is not more than 1,200 m long. There may be a boat going every other day in the period that it is launching. If one takes the Oslo soil at the narrowest point, I believe that the sailing lease is in need of more than 700 metres in Akselsundet, and there are several boats that go there. The paradox is that the only boat that is currently on the ground up there is Bellona's own boat, and it is less than the boats that are being sent in through the sound today. And with the sailing regulations that are now under way, at least the majority believe that this will be all right. It's not our faults. It has been a bit of a criticism that a common acquaintance from the naval team who has been carrying coal on Svalbard for all years. I think it makes sense to use acquaintances, and I'm convinced that the mariner team knows that the day there's an accident up there that might be due to an over-pressing and not following the regulations, it's probably the end. So here's actually going to be on the safe side for this to go well. There are possibilities for this to be successful, and then it is important that one also organizes. I believe that this is going well, and I am convinced that the Stortinget today makes a sensible decision when one follows the recommendation from the majority of the committee to start permanent operations in Svea Nord-Gruva, organized as an owned limited company under the Great Norske Spitsbergen Kullkompani AS.
ParlaMint-NO_2001-12-19.ana.ud51e986	This is a case with many sides, and I have to admit that for the Workers' Party, it is not the most important aspect of nutrition policy, but it also has more exciting elements. I think it is positive that the state that owns the enterprises in which the State is part of. The Labour Party wants an active industrial policy, and that state enterprises also have access to risk capital, and inflow capital is an important part of this policy. Another example of this is the Storting's decision last year to deposit money into Statkraft. Therefore, I strongly reject those who claim that shooting money into a state-owned company is the same as subsidizing. It's not in any way. Here you can set the risk capital of an enterprise that is owned by itself, in line with the private owner at times, in order to further develop its enterprises. The Great Norwegian Spitsbergen Kullkompani has undergone major changes in recent years and is now foreordained to meet the future in an efficient and forward-looking way. The decision that the Stortinget has today been invited to take is a follow-up to previous decisions relating to this matter. In my view, with the background of previous major debates and decisions, it would be strange if the final result today would be different than it is, all the time one here has run a race to which Stortinget has previously given its blessing. So the quality of the coal that exists in Svea North is really good. The coal you get from Svalbard is the purest Finn on the market and will therefore help reduce emissions compared to coal from other sources. Nevertheless, I would argue that using such arguments to say yes to the further operation of Svea Nord, in any way, will be a substitute argument. Saying yes to further coal operations today is not a problem. One sees that further coal operations also have negative sides. The truth is that for the Labour Party it is the meaning of the coal industry for the Svalbard community and the Norwegian presence at Svalbard that is the main argument for further operations. Svalbard is a very special part of Norway. It's a strategically important area. It is such that other nations and foreign companies have very special dishes on Svalbard that they do not have in mainland Norway, and it is important that Norway takes care of its obligations under the Svalbard Treaty, and the continuation of coal operations is an important tool to achieve it. Of course, I am glad that over the last few years it has become more widespread in the activity of Svalbard. It's positive that the community up there gets more bones to stand on. However, permanent coal operations are the mainstay of the Norwegian busset at Svalbard in the foreseeable future. In mainland Norway, a number of examples of mines that have been closed down, with depopulation, depopulation, as a result, despite the fact that one from the big community has often gone into large amounts for conversion. I'm afraid that would be the same if the coal power at Svalbard were to be lifted. So, as politicians, we have to keep the positive sides of coal drift up against the negatives. The carbon quantity to be produced in the Svea North Mine, is below one percent, maybe two per million, of the world market, and would immediately be replaced by coal from other sources if we today chose to put our foot down for further operations on Svalbard. So I have to admit that I find it hard to see the global effect of maintaining coal drift on Svalbard. In contrast, when it concerns the local effects, it is obvious that they will be there, but I think we should remind ourselves that the matter we are discussing today, in no way is the first occasion the Storting has had to discuss the future of the coal industry at Svalbard. In previous cases, one has considered strict requirements for how much coal is going to be used and how it will be developed. Ein has, among other things, said no to build a road from Longyearbyen to Svea, which would certainly facilitate the possibility of further coal operations. One has also said no to lead electricity through a cable from Longyearbyen to Svea, which in addition reduces the nutritional aspects by maintaining coal production. Thus, the size of the population has previously met stringent environmental requirements for the further development of carbon resources at Svalbard. It is also the case that one has set very strict requirements when it comes to cargo to and from Svea – it applies to the transport of goods in and not least to the transport of coal from the area. There are a lot of boat calls on Svalbard during the year, and the safety of the various calls is probably at a much lower level than what we talk about when it comes to cargo to and from the Svea mine. I would therefore argue that the majority today have the basis to say that one has taken care of the environment, and that the environment in many ways has steered the activity linked to Norwegian coal operations at Svalbard. We need to be clear that as long as these carbon resources exist on Svalbard, and with the Svalbard Treaty's special nature, it will be possible for other companies from other nations to claim the right to withdraw these resources. And I fear that it will be of a completely different environmental standard than the one we are now adding from the Great Norwegian Spitsbergen Kulkkompani. For my part, I can say that the comments from the Center Party show the position I have. We don't have this many options if we want to continue the build on Svalbard. It is also coal that will be decisive for us to be able to maintain the construction and hence Norway's obligations linked to the Svalbard Treaty. Completely in conclusion: in the case of proposals No. 2 and 4 and to the extent that proposal No. 3, from the Center Party, I feel that these proposals are of a more general nature, which does not apply to further coal operations in particular, but to a regime in relation to the Svalbard Society. So I don't think it's natural today to vote for these proposals, but it might be up to the government to look at these proposals, close to a broader review of the activity of Svalbard. Then, in the Labour Party, we get back to the concrete proposals on a more general basis when the Stortinget next has a general debate on the development of Svalbard.
ParlaMint-NO_2001-12-19.ana.ud51e1012	It's going to be line change.
ParlaMint-NO_2001-12-19.ana.ud51e1015	Is Norwegian coal operations on Svalbard a positive or a negative contribution to the fight against global warming? There is something I could imagine that the representative Akssen gave a clear answer. Or is it only Danish coal power that concerns the Workers' Party when it comes to arguing for the construction of gas power plants in Norway? It may be appropriate to recall that, through coal-fired operations at Svalbard, we contribute to lower coal prices in Europe, thereby increasing the profitability of coal-fired power stations. Or is it that the majority, including the Workers' Party, still believes that everyone else should take responsibility for climate change – everyone other than ourselves? We do not need coal operations on Svalbard to maintain Norwegian sovereignty. It was emphatically confirmed by the Steinnes Committee in 1998. The use of public funds on Svalbard is not primarily a business issue but a foreign policy issue. Does it not make more sense then to use resources on something that is also climate policy sensible? There's actually a lot of other things we can do on Svalbard -- strengthening the research environment that's already there is an obvious possibility. SV does not want to wind up overnight either. Therefore, our proposal is that the coal industry should be phased out over a five-year period, so that it is possible to carry out a local community conversion process. My question is therefore: when the majority, including the Workers' Party, now refuses to make decisions where other solutions for achieving the objectives, which are Norwegian sovereignty, and at the same time do something that is good for the climate, how should we proceed when we start discussing the really big issues of Norwegian climate policy in the context of the climate communication? As the rapporteur for the climate change policy, I have to say that this case does not promise very well for the future.
ParlaMint-NO_2001-12-19.ana.ud51e1026	We can only say that when it comes to the meaning of coal drift on Svalbard, SV has a completely different hold than all the other parts. When we go in today to continue our operations, we do it first and foremost because we believe it is decisive for the ability to maintain Norwegian sovereignty, take care of the obligations we have in relation to the Svalbard Treaty and secure Norwegian settlement on Svalbard. It is true that when we deal with this matter today, the last procedure is for a very long period of time. In fact, I would argue that all the political parties in this house have gone into the issue carefully and looked at alternative forms of operation and food routes on Svalbard. I hope one can respect that when we think it's not possible, it's actually an important intention when we have taken our decisions. So to the specific question of what further coal use on Svalbard has to do with global warming. If I'm going to be completely honest, I think the answer must be zero and nothing. It is such that the total amount of carbon you export from Svalbard is approximately. two per million of the world market. I feel a hundred percent sure that if we had today chosen to shut down that activity on Svalbard, it wouldn't turn the price off any place. Others would have increased their output. We know that the biggest competitor of Svea is in Australia, and with the expensive cargo that would have been the result, one cannot ignore the fact that the global climate account would be negative.
ParlaMint-NO_2001-12-19.ana.ud51e1033	Several have not asked for the word for a line.
ParlaMint-NO_2001-12-19.ana.ud51e1036	Although this is a matter that is really about granting money to new share capital to the company Stor Stor Norske Spitsbergen Kulkkompani, it is nevertheless – not quite unexpected – a certain tendency to start a new debate on coal production on Svalbard. The rapporteur has made an excellent presentation of the majority position of the Economic and Social Committee. There are just a few points I want to add on behalf of the Right Magnifying Group. Obviously, there are also environmental elements in this debate, it cannot be hidden. It will always be those who will give greater attention and importance to the disadvantages of coal production and operation than others who believe that we need to see coal production on Svalbard in the context that we have always done over the last decade, as part of the overall Norwegian Svalbard policy, where the Svalbard Treaty and various foreign policy considerations need to be addressed in the most serious way. I think this is a positive case. It is positive in many ways, not least because the company itself, employees and the board of directors have done a good job developing the company and the Svea Nord project to the status it has today. Should this project have been stopped, it should have been done in 1999 when prospecting and development began. It is not possible today to take a rematch after a reduction of between 800 and 900 million. kr to prepare the production with the starting point you have today. The position should have been respected to have been taken in 1999 and not have been discussed today. New share capital shall be used as new equity in a newly created subsidiary separated from the Great Norwegian Spitsbergen Kulkkompani. The new company will then dispose of the facilities, properties and operating rights of the company in the Svea Nord area, and it will also take over liabilities. I cannot see that this case carries a greater risk of damage – nor does it cause environmental damage. It is positive that it clearly states that State grants are no longer to be granted to the parent company. It also opens for government sales down to 51 pst. in the subsidiary, as I think is positive. There is also a positive element that the board and the company must have the ambition to which the suspension relates, namely profitability in the best possible and most efficient operation. If there are any problems in discussing ceilings of production, which must be a matter for which the board has to take a special responsibility, then the owners will always have the opportunity to take up this relationship. I must also stress to those who stress the environmental issue and believe that it is most effective to say no to coal production on Svalbard: if this is part of an environmental policy approach, you will also have to follow that reasoning further, and follow it out completely, which must mean that the consumption of coal in Norway is no longer to be maintained – and it is a level far beyond what Svea Nord is going to produce. This means, for example, that the cement furnaces in Tysfjord have to be shut down, with the consequences it has for the community of Tysfjord, but not with the consequence that one achieves it better environment on the globe as such. I also believe that a strange measure that stopped in Norwegian coal production will not produce any less coal production on Svalbard, rather on the contrary. There are other nations that will gladly be able to jump into the Norwegian facilities, only for a certain period of time. This means that one will still have the same level of coal production as today, only on other hands. And that will clearly help to weaken the Norwegian interests in an area that has not had less topicality in recent years. In this regard, I refer you to a statement in the Evening Post last Monday, which documents not least the Russian interest in further and strengthened involvement on the island group. We all understand and know why they have these interests, and why they have this commitment. They even suggest that they can imagine slowing down the rate of coal extraction just to make the activity last longer. And it is obvious for the first time that the Russian state is strongly subsidising the Russian business on the island group. Overall, the conclusion is that if the decisions concerning the closure of coal production at Svalbard had been taken, they should have been taken in 1999 at the latest and not today. The conclusion of the Right is therefore that we support the proposition as such and the majority position of the Business Committee.
ParlaMint-NO_2001-12-19.ana.ud51e1057	No one has asked for the word in reply.
ParlaMint-NO_2001-12-19.ana.ud51e1061	We have an author, Rolf Jacobsen, who writes: It is far this country – most of it is north. And mostly north, that's Svalbard. We in the committee were delighted to visit Svalbard for a short time. Suffering if it was dark, it was interesting to see a little bit of life going on there. I agree with previous speakers that Norway has very special obligations in relation to Svalbard. It's a society that we have to treat in a very special way for several reasons. First, there is a viable society, with between 1,500 and 2,000 inhabitants, who deserve to live on. Many people think it's good to live in that society. Secondly, according to the Versailles Treaty of 1920, we have an obligation to take care of that part of Norway, a very marginal part, which means that we must act with caution and with wisdom when making decisions on how to deal with the Svalbard region. I have no doubt that it is important to ensure Norwegian sovereignty at Svalbard, that there is a minimum of a settlement. We cannot over time assume any sovereignty if there are only a few researchers and work there. Then I think it over time will be weakened. We have to have a population there that is so large that it exceeds the concept of critical mass, that is. that we have a viable society of kindergartens, schools, secondary schools, etc., which is required for a community to function well. So the question is, how are we going to care for a viable community in Longyearbyen and at Svalbard? The solution so far has been to operate coal. It's been going on for many years, and we're now facing an era of more offensive and greater exploitation than we've had in very many years. It will ensure a good deal of jobs. But it will also mean a slowing down of the population of Svalbard, because, after the information we have received from the Great Norwegian Spitsbergen Kullkompani, it is set up to significantly reduce staffing in the next few years because of the automation and efficiency of the mine. If you do nothing but what's happening now, the population base will weaken on Svalbard. That is why we in SV believe that we need to start a conversion programme for Svalbard, a programme in which we add some new work tasks to the Svalbard community. So what kind of work tasks should that be? It will certainly be said from the other parties: we have tried conversion programmes in mining communities in the past, and it has been a failure. I agree. In many mining communities, the conversion programmes have been a failure, but it's because you haven't really taken it seriously. You have given a few kroner to get peace and not choose to go into such conversion jobs with full weight. I myself have experience of this and have seen two mining communities being laid down. And I've experienced the ambiguity of central government in this matter of conversion. We can't wear Svalbard like that. In the case of Svalbard, we have special obligations. We have to start a conversion program where we invest resources that make sure we live. So for the time being, SV has stated that we do not want to continue mining at Svalbard. It's not because we don't see the need to have jobs, and it's not because we don't see the need to take care of the commitments we have on Svalbard, but it's because we want to have a match between life and learning in environmental policy. We want to have consistency between life and learning, where we say we want energy carriers other than those that pollute. We want to bet on other types of energy sources. Then we have to be consistent, searing about it pain – at least it hurts me to say no to important jobs in the Svalbard community. I agree that a good deal of important action has been taken to ensure the environment. Looking at the transport through the Akselsundet – which has perhaps been the most debated – there has been a good deal of action to ensure that it is as good as possible. I'm a little uncertain about how good it is. In the hearings we've had in Stortinget, we've got numbers from 14 meters to 20 meters at the depth of this sound. It's strange that it's not possible to get an exact number on how deep it is. It almost reminds me of the boy Odin in Olav Duun's book who asked Bendi when they stood and looked out at the sea out there on the Fosen: Is he deep, the sea? Yes, he's now going over your guts, Bendik replied. I've felt this way -- the numbers are kind of swinging, kind of approximate. It tells me that there may be a risk of environmental accidents on Svalbard, boat accidents that could lead to environmental disasters. We must be aware that there is a danger there. But the main reason we're going against is not that piece, because I think it's reasonably well taken care of, but it's the climate emissions that coal leads to. In the end, I just want to say that on the SV side, we are prepared – if we had a majority in favour of it – to spend the money now going to the companies, to a ten-year conversion programme, where we should have brought with us professionals, people from the community in Longyearbyen and a number of others to try to get new jobs on Svalbard, both in research, education and tourism, and also in areas where today's workers, through training and after-training, could have clothed some of the new jobs. But we record that there is no majority for it, and that there is still coal drift on Svalbard. We just have to take note of that. But the reason why SV lands on this point is that we want to have a life-to-learning match in environmental policy. With this I take up the proposal from SV.
ParlaMint-NO_2001-12-19.ana.ud51e1084	Inge Ryan has promoted the proposal he referred to.
ParlaMint-NO_2001-12-19.ana.ud51e1087	Coal is a central element of a Norwegian Svalbard policy, where the Svalbard Treaty and foreign policy play a central role. This includes, among other things: provided the basis for the emergence of a viable community established and of utmost importance for Norwegian sovereignty on the island group. Nutritionally, such communities do not tolerate abrupt changes. For this reason, the Christian People's Party has joined forces for the success of coal operations on Svalbard in the new Minuva Svea Nord. The Christian People’s Party also supports the state’s entry into existence of 150 million. kr, and provided that the further operation is balanced. The activities of Svalbard shall be within the environmental framework established by the environmental authorities following the impact assessments and recommendations of those bodies. The environmental policy aspects of the extraction of coal from the Svea Nord field have been discussed in the opinion of the Committee. In particular, the Christian People's Party is busy that the deployment of the coal through the vulnerable Axle Sun will take place in a defensive way. We believe, together with the majority of the committee, that the sailing grounds that are currently under way take this into account. We believe that a general discharge for Svalbard is nevertheless inconceivable. This also applies in relation to the increased cruise traffic on Svalbard. Furthermore, the ships used for this transport are such that the fuel is on deck. This means we are an extra insurance in case of an accident. In addition, one environmental point of view has stressed that a new route from Longyearbyen to Svea Nord was undesirable because it would have represented a major intervention in an almost pristine and fascinating nature. From this point of view, the Christian People's Party feels that it is right to give green light to a permanent operation of Svea Nord. We must admit that it is basically difficult to defend coal as a future energy bearer, and that Norway is involved in this. But we will, both as a party and in cooperation with the Government, bet on an increased research and development of new forms of energy that can in the long run take over the dominant role of coal in the world's power and energy supply. But in the situation we are in now, think the Christian People's Party is right to give Svalbard the green light for this enterprise, which together with the other two pillars on which the community builds – research and tourism – can help to create a stable and good settlement on Svalbard.
ParlaMint-NO_2001-12-19.ana.ud51e1102	There is no simple question of Stortingen having to deal with today. In many ways, I think it is a question that bears many of the classic balances that need to be made between business, community and environmental considerations. In a broader perspective, it is also an important choice for the Svalbard community and for the entire Norwegian Svalbard policy. The centre party has come to the conclusion that we believe it is right to give green light for further coal operations at Svalbard. We're not doing that without a certain doubt. We'll do it after a thorough discussion. On the one hand, environmental considerations indicate that coal operations should not be encouraged. On the other hand, there is no doubt that the local community of Svalbard will be significantly weakened if no further coal activity is allowed. It will again have an impact on the ability to manage our interests under the Svalbard Treaty. I don't think at all any of the parties deserve to minimize the dilemmas that this question poses, whether we are in favour of or towards further coal mining. The centre party places great emphasis on what the Svalbard community says about its own future. I experience it so that there is a unanimous voice from those who live and work on Svalbard, around the question. What is said about this must be taken seriously. For my part and for my part, it will weigh heavier than what is said in an interministerial working group in that way. I also think there is reason to point out that the proposition refers to the fact that as much as one third of the student and kindergarten grounds can be lost if mining is discontinued. It's assumed that this, including ring effects, could reduce the population in Longyearbyen by about 450 people. It is a very important issue for local society. So coal extraction as environmental issues. Coal extraction is not an environmentally friendly activity. There are concerns we have to face in our eyes. I don't think it's so very relevant in that context to discuss whether the coal is more or less clean – I must honestly say that. Coal production is associated with environmental problems. That's a fact we have to relate to. At the same time, however, we need to be willing to make the necessary balances between different considerations – in this case the consideration of the Svalbard Treaty, of the community on Svalbard and of environmental issues. Now, environmental considerations are linked not only to coal operations themselves, but also to how the coal is shipped out and to transport to the market. There is also a problem raised by the Committee in its position. It's a long-term choice that one actually takes today, and the Center Party seems in that context that it would have been natural for one, when given green light for further coal operations, to take an overall review of the safety at sea around Svalbard. It's an Achilles heel not only for the coal industry, but also for other transport. In our opinion, both in relation to coal transport and to other ship traffic, the obligation of unloading should apply to the Svalbard area. I also believe that when it comes to the decommissioning of coal, one should in the future make sure that it is the most environmentally friendly fuel used during transportation. Svalbard will have more legs to stand on in the years to come, following the decision taken today in the Storting. I really believe that there is some optimism about the Svalbard business. Tourism will be important, but it has its limitations. Research activity will be important, but it cannot contribute alone or together with tourism to the stability that local society in Svalbard will need. It is, after all, the coal industry that will make a significant contribution to achieving the interoperability of different activities necessary for the further development of the Svalbard community. As far as the coal economy is concerned, it is assumed from the point of view of the Storting that further operations will be carried out with profitability and without State subsidies. But I have to say that when I hear the argument of the majority here today in relation to sovereignty and in relation to community, it's probably not automatically stated that we can say that a liquidation would have been quite fine if the business could not take place without state subsidies. In relation to the argument that some people have used here today, I think we could have come to meet the sails at the door. However, the Committee agrees on this point. There is also broad agreement on the new company organisation and the allocation of 150 million. kr to share capital of the new company. With this I would like to address the proposals No. 2, 3 and 4 from the Center Party. At the same time, I will be allowed to convert these proposals into transmission proposals. In the light of the signals coming from several parties today, I have a hope that in a broader context and in a broader debate, there will be the opportunity to re-examine these questions in order to get a say in them if possible.
ParlaMint-NO_2001-12-19.ana.ud51e1125	Marit Arnstad has taken up the suggestions she referred to, and she has converted them into transmission proposals. The text of the proposals will be converted in line with this.
ParlaMint-NO_2001-12-19.ana.ud51e1128	The Arctic environment at Svalbard is highly vulnerable to intervention. The question of further coal mining on Svalbard travels difficult balances. For an environmental party such as the Left, it is particularly important that the environmental concerns are well taken care of. It is therefore an important requirement that operations in the Svea Nord field should be carried out in accordance with the Svalbard Environmental Act and in the light of the broad impact assessment carried out. The left continues to ensure that the deployment is carried out in such a way that both environmental concerns and safety are fully taken care of. The government is considering whether the non-execution obligation should be extended to the Svalbard area in general. We cannot accept accidents in such a vulnerable area, whether they involve the launching of coal or other transport. And I have to be allowed to say that I am happy that the Central Party made their proposals for transmission proposals. For the Left, it is also a central requirement that further coal operations in the Svea Nord should be carried out without further State support. It is important that Norway takes care of its obligations under the Svalbard Treaty. A premise for this is that Norway is sufficiently present on Svalbard. The coal industry has a long tradition of Svalbard and has become the most important foundation for settlement in the Svalbard community throughout the year. This has been important for the activity that is gradually built around tourism, research and education. The majority of the Committee emphasises in its opinion that Svalbard's political and international legal situation is unique in the world context, and that Norway has a particularly high responsibility in exercising sovereignty on Svalbard in a way that ensures stability, protection of the wild environment and responsible resource management. The left is not overconfident that these important considerations would be sufficiently taken care of if Norway is less present on Svalbard. I believe that other industries will not be able to take over the role of coal industry today, and that extraction in Svea Nord will be necessary for a large enough Norwegian presence in the future and for the enforcement of sovereignty. Furthermore, it is important to stress that other activities on Svalbard are not without environmental consequences. Among other things, a strong increase in tourist traffic on Svalbard will seriously affect the highly vulnerable Arctic natural environment. If you want a Norwegian environment of a certain size for Svalbard in the future, you don't know that alternatives to carbon dioxide will be more environmentally friendly. It must also be allowed to point out that neither the Socialist Left Party, which in the setting is the only party that is heading towards extraction in Svea Nord, seems to have an alternative to this activity on Svalbard. The only proposal from SV is an unobligatory fund for the conversion of the Svalbard community. We don't know what would come out of such a program. The left will underline that the question of further coal mining on Svalbard is not a simple choice. Nevertheless, we believe that with the clear premises underlying environmental considerations and security, opening up regular operations in Svea Nord will be justifiable. Left supports setting.
ParlaMint-NO_2001-12-19.ana.ud51e1160	It's going to be line change.
