ParlaMint-NO_2001-02-08.ana.ud1394e38	No one has asked for the floor. [[Fotation, see page 1814]]
ParlaMint-NO_2001-02-08.ana.ud1394e609	Norway has a high potential for value creation in the aquaculture industry. Only parts of the marine capabilities have been exploited. Reports from scientific institutions show that the fishing and aquaculture industry has a high potential for growth, not only in areas such as salmon and trout farming, but also marine fish, crustaceans, biotechnology and the exploitation of by-products. The debate on the statement on aquaculture policy has shown that there is agreement on the marine value creation potential and that there is agreement on the main features of aquaculture policy. In order to realise the value creation potential, good governance, good cooperation between actors, a common understanding of objectives and the fully coordinated use of instruments are important. Marine Policy Statement is an overall review of the Government’s Maritime Policy. Demand for Norwegian seafood and access to markets are fundamental prerequisites for increasing value creation in the aquaculture industry. The future of our most important coastal industry depends largely on how well industry interests are safeguarded in international trade agreements. There is broad agreement that the solutions of the EEA Agreement are poorly suited to safeguarding the interests of the fisheries and aquaculture industry in relation to the EU. Through changing governments, the Norwegian authorities have worked to improve market access for Norwegian seafood to the EU market, without our success. The work on free trade agreements through the EFTA and World Trade Organisation, the WTO, is long-term processes, and it takes time for this work to produce desired results. We will keep a high profile in WTO work to help put industrial products, including fish, on the agenda of the forthcoming negotiations. In principle, I believe it is right that the adjustment of production to market developments should be the responsibility of operators. However, active management of the aquaculture industry is needed. With the current market conditions, in particular with regard to the Union market, it has been found that there is a need for a controlled growth in salmon production. This is also a relatively broad consensus in the industry. As I see it, the Norwegian authorities currently have the necessary instruments for effective regulation of total production. There is a great deal of interest in the forthcoming award of concessions for salmon and trout. It's natural. But let me underline that the future of the aquaculture industry is much more. Here I am thinking especially of opportunities in new marine species. I aim that in the next few years, new concessions for the breeding of salmon and trout will be published regularly. A limited number of new concessions will be granted in 2001. I believe that the most important thing is for new concessions in salmon and trout to help start new business in areas that are currently not fully exploited for aquaculture purposes. That's why I want the concessions this time to apply to regions with great potential, but which have received concessions in the past. I would also like to give priority to smaller actors who obviously need a better operational basis and where an improved operational basis cannot be realised without more concessions. We are now preparing for the award of new concessions. Proposal for a change to the Breeding Act to take consideration in the award of concessions for the production of edible fish for salmon and trout is in consultation. The government aims to promote legislation on this before Easter. I expect that proposals for allocation regulations can be sent to the hearing before the summer. Concessions may be awarded during the autumn of 2001. Norway is a world-leading aquaculture nation. With our advantage, for example: in a unique coastline, commodity access and global competitive competition, the industry will continue to grow on the basis of Norway. Our challenge is to provide the industry with a framework that allows the marine potential to be fully exploited. In this context, I would like to point to the signal in the statement that we will switch to other forms of limiting production. I believe that production should be regulated by feed quotas and the carrying capacity of the individual site. In the development of a new production management system, we will also focus on ensuring the natural needs of fish and taking into account fish health and welfare. I record that the proposal for a new environmental-based production regulation system seems to have been well received by business operators. This shows that operators will take their environmental responsibility. Proposals have been made for municipalities to be able to charge excise duties from the aquaculture industry. However, before new excise duties can be introduced, we need to assess the consequences of this, for example. for the international competitiveness of the industry. At the same time as the aquaculture industry is becoming increasingly important to coastal communities, we see a concentration of interests that leads to the accumulation of exclusive rights to operate salmon and trout sport among fewer practitioners. This does not contribute to the necessary diversity in industry. I would therefore like to lay down, in the near future, general rules on the limitation of ownership.
ParlaMint-NO_2001-02-08.ana.ud1394e645	It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e649	Unlike the Right, I dare to talk about conflicts in this exciting industry. The minister was at Finnmark Fiskerlag's annual meeting, and he asked the fishermen there to focus less on increasing the quotas and rather focus their interest on farming. That's all right. But then they have to be given enough time to build up their skills, and local opportunities have to be ensured for the local stakeholders, so they don't experience that in a very short time these opportunities are owned by people living 200 miles away from Finnmark. It may be misguided when local actors are not given time. And I would like to comment on this by linking the rights of fishermen to the possibility of a faster entry into the farming industry, because they currently manage rights to go into farming. So there's a conflict of use here that you can take advantage of. I am also interested in a comment on that with coastal zone planning as an important tool to run nutrient planning in the municipality, whether or not you should get a little speed on getting it properly into the planning and building law. Finally, I would also like to make a brief comment on what other measures the Minister will take than to change the lease with regard to the transport of nuclear waste to be carried out along our coast. This is a major environmental threat to the farming industry.
ParlaMint-NO_2001-02-08.ana.ud1394e660	I would like to say that what I said at the annual meeting in Finnmark Fiskerlag was that when you want to find out what is the potential for employment and value creation and for creating a fishing industry, it's not good enough, as we're seeing in the future, that we're basing ourselves on the resources that are currently landed on the fishing side. I certainly believe that the whole of Coast Norway, and perhaps especially Finnmark, has excellent conditions for also being able to operate with other species in farming. And I think one in Finnmark should have been committed to raising cod to strengthen the communities that today depend on this resource. I think it's right to present these kinds of challenges, and I'm very happy to see that the interest in starting this kind of breeding business is enormous. And what's even more interesting is that the greatest interest, both in the case of cod, in the case of shellfish, in the case of other new species, is found among those described as entrepreneurs, among local entrepreneurs. And this is going to be assured. Otherwise, I just have to refer to Section 6 of the Fish Breeding Act, which gives us the opportunity to take account of local ownership when granting rights. We must also be aware that, after all, this is an area that is disputed by ESA. In the case of coastal zone planning, this is important. It requires municipalities to think about how the land is to be used, and it requires municipalities to facilitate economic development. This is the responsibility of municipalities, and more and more people take this responsibility because they see the potential. When it comes to what's going to be done on the security page, I think we need to get back to this, because there's quite a lot of things going on.
ParlaMint-NO_2001-02-08.ana.ud1394e671	The councils began their speeches by saying that we have a great potential in the farming industry, and we all agree on that. But what's happening? Is Norway growing fast enough? We see in the situation we're up in, that Chile is growing faster and is about to pass us as the world's salmon nation. So what can we do better? We're good in many areas, but what can we do to get even further? This with market access is very important. Governments mentioned the Union market, but there are many other significant markets that have a potential for Norwegian exports of fishery products, farmed products. For example, the population growth in the United States over the next ten years could take away Norwegian exports of salmon if this growth consumes in line with current consumers in the United States. 13 pst. of the world's population, i.e. The United States, the EU and Japan, are responsible for 79 pst. the consumption of farmed salmonids. It should indicate that there are major challenges, but also significant opportunities. What tools does the Council of State now believe should be given priority in order to take greater advantage of these alternative markets and to compete with Chile in the future and continue to be the world's leading salmon industry?
ParlaMint-NO_2001-02-08.ana.ud1394e680	It is true, as the representative Hedstrom notes, that world salmon production is growing rapidly. It is also true that production is growing faster in other countries at the moment than it is in Norway. We have a special relationship with two markets. One market is the EU, and the salmon agreement has been discussed in detail, so I shall not say anything more about it. But we have a similar relationship for some products to the American market. We might like that, or we might not like that, but we're going to have to adapt to it, or we're going to meet new trade restrictions. But both the Ministry of Fisheries and the industry are very aware of the opportunities that lie in other markets. We have our own systems in which we collect a so-called marketing tax used by the community all over the world, and we are promoting the market in all countries that we consider to have the potential for further growth. Furthermore, when we set the annual feed quotas for the salmon industry, we have to estimate what we think the different markets can decrease, and dimension the output after that. Then we take into account both the constraints we have on the American and European markets and the opportunities we have on the other markets. If we look at how the economy in the industry has evolved over the last few years, we will see that at least the last two years have been quite successful in adapting our output to this.
ParlaMint-NO_2001-02-08.ana.ud1394e689	When the Minister for Fisheries raises the question of remuneration for new concessions, I will ask first of all: When will the Stortinge get presented as a matter, and is the Council of State today willing to say something about what kind of scheme he thinks in this area? Then the Council of State is aware that the EEA Agreement serves as a bad instrument in relation to the ambitions it has for future development. That is a view that I fully share with the Minister for Fisheries. On this issue, there is no doubt that the Council of State and the entire farming industry are living in a kind of tension between agriculture and fisheries, and if the Government does nothing but resign, I am afraid that it is the Norwegian farming industry that has to pay the high price resulting from having a Norwegian agriculture fully protected as before. My advice to the Council of State is that close to his own government he should not resign on this issue, because it is for the industry of the greatest importance both in relation to the future renewal of a possible salmon agreement and in relation to the forthcoming WTO negotiations to have a strategy that allows access conditions to bring up and forward the industry. So my advice is, don't leave within the government on these questions. So at the end of the day, I have a point of view on the type of regulation that the Council of State is thinking about, where a new system of production regulation is being put in place based on concessions, feed quotas and the carrying capacity of each locality. I have a feeling that this will be very complicated both for the authorities and not least for the breeders. There will be an unbridled system, it will be an expensive system, and not all of its administrative capacity should be used primarily in this area.
ParlaMint-NO_2001-02-08.ana.ud1394e698	As I said in my post, the question of remuneration and proposals for a legal basis for this will be promoted for the Storting before Easter. With regard to the question of the arrangements to be put in place for this purpose, it requires a significant investigation. In fact, today I don't want to go into the details of what structures you have to create to achieve the goals that Stortinget has set, so I have to be allowed to come back to. The Government has in no way resigned in this respect with the possibilities of improving market access, but both the Bondevik Government and the current Government have addressed with the EU itself minimal changes to the fisheries part of the EEA Agreement. It is only to be noted that the EU responds that there is no particular interest in improving this. Then you can say that you get stronger tools, but it is not easy to see what opportunities you have for this as an EEA member. I think we should take this into account in our assessment that when we got to this salmon agreement, which, in my opinion, is really a trick, it was with one voice's overweight in the Commission that it was possible to get them to decide not to introduce a criminal duty to Norway at about. 14 pst. Had they done so, the world would have looked significantly different for salmon industry than it is today.
ParlaMint-NO_2001-02-08.ana.ud1394e709	Let me first repeat from my post that I think it would be wise for the Council of State to follow the priorities set in the Statkorn setting, in terms of who will have the first concessions. So I want to go to this with ownership. New, tightened rules are needed here, and they are needed quickly. To avoid hearing the answer again from the Workers' Party, I would first of all like to say: I believe there is no contradiction between the fact that Norwegian companies buy themselves out and the fact that we want local and national owners. I believe it must be entirely right for other countries to decide even if they would welcome foreign capital and competence if they needed it, and say no thanks, I think Norwegian companies should respect it. And I think foreign companies and the EU should respect that if we say no. The Hydro Seafood sale was a shock – that it could happen. We have to do something, because if this is going to repeat itself and repeat itself, we could risk McDonald's and a few other companies controlling our coast. We have to look forward, look at what might happen. The Norwegian people do not want the foreigners to control our coastal zone. The opposite must happen. The government will care about that, and the Storting will care about it. In this way the coast can have a flowering season, and I believe that we must then give priority to local ownership. Then young people will see that here's safe jobs, and we'll get a different recruitment than it seems to be now. Coastal municipalities will receive their tax revenues, and they will have jobs to offer their youth. But it's urgent. And the question is, will the Council of State now ensure that we quickly get a better instrument to regulate ownership, or is it important to wait until the new Law on Maritime Agriculture comes in a long, long time?
ParlaMint-NO_2001-02-08.ana.ud1394e722	The issue of ownership limitation has been at the hearing. The proposals that have been at the hearing have had an upper limit of 10 pst., with the possibility of going up to both 15 pst. and 20 pst. in special cases where it is obvious that communities are served by crossing this border. Furthermore, the proposals have been made to ensure that there should be no majority voting at regional level, i.e. that no one should own more than 50 pst. Some of this is a little bit controversial, and we'll see about that. But it's about a very short time before I come back with how this should be done. When you look at the possibilities of awarding new concessions, I would like you to have a little longer-term perspective. I don't think it's that simple, as the representative Lund said in his main post, that one can now decide that all those who have one concession will get three. There are 78 one concessionaires, and it's not possible to distribute 156 new concessions. Then the market regulation of the salmon industry will collapse, and I assume that nobody wants it. You might want to have the full freedom to decide who should be the owner of the industry. I think we have to assume that you don't have the full freedom. We also have to assume that we have had foreign ownership of the Norwegian fishing industry for many, many years. Who does not remember Nestlé, who has been a good and faithful owner for many years, and it has been in our interest. I firmly believe that Norway as a farming nation is going to be an international actor, because we are very good at aquaculture. The industry is going to grow internationally, starting with Norway, because we're good enough to do it.
ParlaMint-NO_2001-02-08.ana.ud1394e731	Governments and many with him have reiterated their belief in the future in the aquaculture industry. But all developments depend on certain assumptions being in place. An important prerequisite in this industry, too, is access to labour and competence. The fight for the youth is going to last. Marine farming is a district industry, and secondary school provision is often in the districts that have such an industry. At the same time, we have a huge centralization and urbanization right now, so that there is a hard fight about youth, and high school is struggling to get recruiting just to these lines, despite the great prospects that industry has in the future. That is why I repeat that I am very happy that it opens up for schools to receive farming concessions in order to provide a good offer in the educational context. But it's urgent to get this in place, and my question is, How far has the Council of State got in its thinking and preparations, in terms of concessions to schools and concessions in connection with education? A new school year begins in the autumn, and given the importance of signals that planning can begin. The other area to which it is important to give signals is the planning of areas in the municipalities. There will always be a conflict of interest between using the coastal zone, including commercial interests and outdoor interests. I have received signals that I want to communicate further, from municipalities that ask if it has any intention of planning for business activity, and that say it is more important for them to take into account outdoor interests in order to get people to live there to get tax revenue. It is important to give incentives and signals that it is important to plan for economic development. Can I get some comments from the Council of State on that?
ParlaMint-NO_2001-02-08.ana.ud1394e740	I am pleased that the representative Kongshaug pointed to the great challenge we have in securing the workforce for the industry. I think the most important thing we can do to ensure this is that we are able to visualize the industry's potential for future generations. I think we are going into a tough future, where labour supply in Norway is relatively modest, and where the supply of attractive jobs is relatively large. There we have a huge challenge. But we also have to look at other instruments. If we are to be able to take out the potential that goes into further processing, we also need to use technology to realize this. That is why, on the current year's budget, we have specifically encouraged SINTEF and Norconserv to address these challenges and contribute to our progress. In the case of concessions to schools, I assume that what you're talking about all the time is educational concessions, demonstration purposes, on a small scale. We're working on this, but it has nothing to do with any new awards of commercial concessions. We're able to do this anyway. So for land-use planning. I think, as I have said many times, that if the municipalities do not take their responsibilities and facilitate economic development, then one has made a choice and said that they want to use their areas for something else. Then it must be our and the economic operators' job to get the municipalities to see the potential that lies in the aquaculture industry. If you want to use the areas of open-air life, it's a good thing, but you can't expect to get permission and organisation from the public if you give it a different priority.
ParlaMint-NO_2001-02-08.ana.ud1394e751	The cord shift is over.
ParlaMint-NO_2001-02-08.ana.ud1394e755	Unfortunately, I was not present when the Council of State had explained this matter, but I have gone through the agricultural policy statement that exists. The presentation is very little concrete in my opinion. Things that are controversial, and that have special meaning, are not really said anything material about, except that you work on the issues and have to come back with solutions since. This applies in particular to the environment, land, production growth and production regulation. To regulate the production of salmon, feed quotas were introduced in 1996. I agree with this tool – it is perhaps the only effective tool in this context. However, now feed quotas have been increased for each year, without an increase in the volume of the mermaids being equivalent. This can't possibly go on indefinitely, so it has to do something about it, because the result of putting more fish in these mermaids will only be stress, with disease-related diseases. Should one, for example: increase feed quotas by 10 pst. therefore, for each year, the volume has to be increased accordingly, or it has to be set free from farmers. The only right thing to do would probably be to set it free, but the assumption then had to be that the feed quotas were maintained. Now, however, new concessions are to be opened up, as the Minister for Fisheries has said, and the question is whether there are enough premises in individual municipalities for everyone to have their wishes fulfilled. A small factor is that when feed quotas increase by 10 pst. Every year, and we have approx. 850 concessions in this country correspond to an increase of 85 new concessions. This has not been given any particular attention, but that is the reality. When feed quotas are increased, the concessions are increased accordingly. As a result, 85 new concessions are automatically awarded for the year. We know that there are listed companies that have up to 100 concessions. That is, they will have an increase of ten concessions for the year. Well, that's suspicious. It is also strange that the municipalities are going to facilitate these new concessions, while the profits are going to fall to the state. It is the same as that if I own a house and I am responsible for it, the government will run away with the rent. That's pretty similar. This is a very bad morale toward the municipalities. It is also of particular concern that this general view of fish is open to large participations. The Ministry of Fisheries should find a solution so that there could be some distribution of this cake. We are also witnessing that salmon concessions are traded for 40-50 million. kr. That's crazy. I still demand the morale of this. Does the Council of Fisheries think that this is a good socialist policy? And what do the Fisheries Councils actually intend to do with that relationship?
ParlaMint-NO_2001-02-08.ana.ud1394e772	Our long coastline and marine wealth have always been important, but in recent years we have also seen great opportunities for further value creation. The sea has enormous possibilities. The example of crowballs is just one of many. The strange and frail, round the creatures with sharp spikes crawling around in the beach zone, it's really going to feed up to become a snack for the conscious Japanese. They've eaten thousands of tons of this. In addition, we have a bunch of shells we can use for food for people. Then comes the breeding of a lot of other marine species as well. This is also why the Minister for Fisheries stressed the importance of a clean marine environment and good health to provide us with safe and healthy food. Norway's brand of marine resources must be that this is the purest and best food in the world. This sea of opportunities will be an important regional policy instrument that will help to create a diversity of jobs and maintain coastal settlements. We all have the natural benefits to offer. Now it's about doing it the right way. A good coastal zone planning will provide a good basis for the job creation of the coastal population. We need to know both what areas and environments will affect development. I would like to add here that it is of course important that such planning should also be organised for all other users of the coastal zone, for example. coastal and recreational fishermen. Access to, and knowledge of, the markets and ability to meet the price, quality, stability and continuity requirements of deliveries are also essential for the industry and business operators to be able to take advantage of this possibility. Much of this base is already present. In addition, the coastal population has knowledge, extensive practical experience and tradition to exploit and adapt to the opportunities of our resource base. The Minister has taken this seriously in his statement on aquaculture policy. This provides a framework for the success of the industry from the public point of view. In the part of the country from which I come, the fishing industry is of great importance and employment is the largest. But this has not been enough to secure housing or to provide attractive jobs for both women and men. One of Finnmark's advantages is our proximity to the world's most productive fishing areas, but also an unused and clean coast with significant opportunities for development in aquaculture. In addition, we do not have algae plagues in the same way as other parts of the country. A new growth in this industry could strengthen established environments and create new jobs also in small coastal communities. I believe that in the case of North Norway, there is a need to develop comprehensive value creation environments. Not least, it is important that the development of new technologies and research comes to areas that have not been interesting in the past. Therefore, it is also important for Finnmark that progress in the setting up of the Villakscommittee does not prevent the granting of farming concessions to this group. Should this new development in aquaculture, which we all talk so much about, become a reality – with people who live and also live in smaller coastal communities – it is an important element that must be present: there must be development and career opportunities for both sexes in this industry, which is not present today. No, the proportion of women who see a future here is decreasing. As politicians, we have to be able to do something about that. We clearly need women in all parts of the industry. Women are a resource, and the diversity of women in both experience and education is necessary, even in this part of our business environment. We know that a diversity of competences is important in order to become competitive. Here we have women to contribute. Our challenge is to get women into positions in the industry for which they have no tradition. It is necessary to motivate and facilitate that enterprises and professional organisations will provide training for women, among others. at work. The goal must be an exciting industry where women too seem to be attractive. The value-creating programme for aquaculture must include a woman’s perspective. Research has shown us that eating seafood brings good health benefits, that there is a link between marine fat and good health. Yes, even our brains have a good deal of it. That's why I'm going to end up saying, "Eat seafood and fish, and you're not just getting fresher, but also wiser!"
ParlaMint-NO_2001-02-08.ana.ud1394e793	The statement by the Minister of Fisheries clearly shows that the aquaculture industry has a high potential. The potential is the largest north of the country. That's where we have the largest vacant areas. Focusing on farming in the north will be a good district policy and, in addition, a cheap district policy. The districts have been declining in the population for a long time, but farming can help to give the districts a new gift, as we have seen in some other areas. In some areas, infrastructure needs to be improved in order to benefit from farming opportunities. It is important that manufacturers reach their products in good time, and then the road network must be in order. Roads must withstand the heavy traffic resulting from the farming industry, and it must also be bridged beyond the brewing times of the day. In addition, there are areas that need full-year road status, so that they are accessible in all ways. It is reassuring that the Minister said that the management of aquaculture should be strengthened. Then it is important that we have a government that is not an obstacle to the development of the industry, but rather a driver and supporter. The Minister said that new concessions should be paid for the production of salmon and trout. I agree with that, but in order to achieve a level playing field, it should be considered that consideration should also be given to established concessions. I see no reasonable reason why the well-established cannot pay for the use of the land, while those who receive new allocations have to pay. In some way it is necessary to achieve a balance in this area so that it does not distort competition. A problem that may hinder the good development of the industry will be the lack of smolt, and not least the lack of good quality smolt. It is therefore necessary to make an extra effort to get more melting plants going. Finnmark has, for example: only three smelt plants, so it is especially in Finnmark the absence of good smelt is best noticed. It's often a long way from the melting plants, getting a maybe second and third sorting, and it's not necessarily going to be the best result of it -- it has a lot of examples of it. Similarly, it must be set up to produce smolts from local populations. It is the local populations that have the best chances of achieving a good result. Starting with breeding, we know that we need big investments. Similarly, it is for the production of smelt. 30-40 million. it costs to start a fairly large production of smelt. Therefore, both the SND and the ordinary banking community must also be willing to participate in the financing, in particular for those who are new entrepreneurs in an exciting and forward-looking industry. When you talk about funding, I've noticed in the debate that some people are a little skeptical about what they call foreign capital. In the case of Finnmark, at least I know exactly two places that depend entirely on the foreign capital that has gone into the farming side. There you are very pleased with the actors who are on the track. It's about Bug Eyes and Skånes. Both places think I would have looked completely different if it wasn't for getting serious actors with foreign capital and believing that something could be done in the districts. These examples, I think, are to be taken forward in building up the farming industry, especially in the northern regions.
ParlaMint-NO_2001-02-08.ana.ud1394e810	When former fisheries minister Jan Henry T. Olsen at the beginning of the 1990s said that fishing industries would export 30 billion dollars in 10-15 years, few believed it. But today it is a reality. And this very day, while we've been discussing here in the Chamber, the first figures for 2001 have come from the Fish Export Committee. The figures show that never started a year as well as 2001. If the increase continues this way, it might only take two years to achieve the next target, an export value of NOK 40 billion. Something has happened in the Norwegian fishing industry in the last few years. Not only do statistics show good numbers, but optimism and pride have come back to the industry. Now everyone says it's the fishing industry we're going to live on in the future – it's the fishing industry that's going to be in the future. The so-called SINTEF report has outlined an opportunity, and I believe that this possibility must be made a vision for Norway. If we're to achieve such a vision, we're not just dependent on raw materials, we also have to provide access to at least three types of capital: human capital, knowledge capital and venture capital. Firstly, a key challenge in the future is to ensure that human capital does not restrict development. There are many places where there is a shortage of labour in the fishing industry, and for example: in Finland, there is a strong desire for increased labour supply from Russia. Second, we need to increase our knowledge of the industry. That is why we need to focus on both education and research. When Stortinget dealt with the research report, there was a broad consensus that we need to step up research efforts in general, and marine research must be a particular field of activity. This has already produced results. Of the 90 million. In 2000, around one third of the funds were allocated to marine research. The appropriations allocated to the State budget have increased. The Labour Party Government proposed to the State budget for this year an innovation programme for the commercial exploitation of marine resources. And not least, it's important that the Government has signed a contract for the construction of a new research vessel. These are important and good measures, but they are not enough. We have to increase the bet strongly in the years that are coming. The fishing industry is a district industry and one of the main challenges ahead is to ensure that the emergence of research-based industries does not lead to a centralisation of the value creation of the marine sector. As a staging representative, one of my heart issues has been strengthening Nord-Norway's research share. Today, some 18 billion dollars are being researched in Norway. In North Norway, about $1 billion is being researched. If this figure were to be in proportion to the population, we would have to double it. When there is now a broad consensus on increasing the allocation of marine research, it is important that we also have a regional policy perspective on this initiative. Norway's fishing high school is currently a leader in the breeding of cod, kelvins and mortars. The experience of Norway's fishing high school is that they have succeeded best when they have cooperated with industry. At the same time – and that is my third point – there is a lack of risk capital, and there is a lack of actors that can link the research communities with such risk capital. One way that has been launched to meet this challenge is through the creation of so-called strategic companies, i.e. companies that have knowledge of both nutrition and capital. And in order to reduce the risk to private investors and increase the number of private individuals on the track, the State should also address risk-absorption. In the context of the treatment of the 2001 State Budget, the Workers' Party and the Centre agreed that the Government would return to the Stortingen with a case on how the State can strengthen access to venture capital and equity in this innovative research-based business. And in the comments to the nutrition committee, the biomarine sector is highlighted. I believe this is a very important matter to engage in, including for the Minister for Fisheries.
ParlaMint-NO_2001-02-08.ana.ud1394e834	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2001-02-08.ana.ud1394e837	Rogaland and Skagerrak are proposed as a single region in the proposal for a regulation on ownership restrictions. The reason given by the Minister for Fisheries in reply to written questions is that this region has a total of only 68 authorisations. I agree with the Minister for Fisheries that this is too few, but it has an excellent opportunity for the Minister for Fisheries to do something about the forthcoming round of concessions. What is nevertheless worrying is that such a combination of the regions could have negative consequences for those companies that are already strongly within the region. The second is that – especially from the Rogaland side – there is also concern that some of the restrictions in the Skagerrak area will also apply to Rogaland. It is simply difficult to find a good reason why these two areas, where the environment is so far apart, have been proposed together, if there is no reason to believe that these regions should also be used for things other than imposing ownership restrictions. So I could imagine that the Minister for Fisheries, if he is to have the floor later, will address these issues. I have recorded that some of those who have made hearing statements in connection with the regulation are also sceptical. Then you get into a concessional round. And in that round, in my opinion, it is essential that Rogaland receives a significant share of the concessions that are then to be awarded. During the last few rounds, the county has come out poorly, and there has been a significant distribution of bias. At the same time, there have been great opportunities. There is a strong professional environment, ranging from research carried out on Norconserv, to having the most important environment in relation to both equipment and feed production. There are a number of island municipalities that depend entirely on this activity, there are considerable investments in reception facilities, and there is also a lot of pioneering work here in the new farming areas, among others. in relation to shellfish. In addition, the area has a major advantage through its closeness to the largest market, and in fact, production in Rogaland reaches the market one day before that of the rest of the country. And that in itself should be a reason for increasing production in this area.
ParlaMint-NO_2001-02-08.ana.ud1394e846	Marine farming is the major field of investment for future value creation in Norway, but its potential depends on the framework conditions under which the Storting provides the industry and on which trade agreements the Government succeeds in negotiating. The Council of State statement contains important elements to be taken into account by the Storting, but lacks the deepening of other elements of great importance for profitability and the diverse further development of overall marine competence environments. The Labour Party has simplification of the administration as one of its main issues. Nevertheless, the State Councils are alerting new areas for future control, regulation and reporting for aquaculture – pure bureaucracy food – which can also act as a barrier to research and development related to aquaculture. Norwegian aquaculture has grown without special detailed regulation and has evolved into world leaders. Norwegian seafood has a good reputation on the market, and the nutritionists themselves are more concerned than any other with the quality of the product they deliver. They themselves are interested in ensuring that the industry is environmentally sound in the broadest sense. These are aspects on which the market will increasingly be concerned. It is therefore unnecessary to establish bureaucratic legislation to address these issues. The responsibility and self-justice of the industry have shown good results so far. To the extent that new legislation is to be developed, it must be because the industry itself sees the need for it. Norwegian business is initially congested with a control and reporting form. It'll hold. For coastal people, the sea has always been the source of income and the basis of life. This should also be the case in the future, but it will have to be made possible in the context of aquaculture to develop overall marine environments of competence in the areas where aquaculture is operated, i.e. locally. Local ownership is then important and should be a condition for the granting of a concession. However, the return potential is high enough to allow local owners to attract external capital and external owners within the framework of the relationship between local and external ownership that the Storting must determine. To the extent that a concession is required, the right to grant a concession must be transferred from the department to the regional level and based on the coastal zone plans drawn up and approved by the ministry. Concessions in relation to local or regional anchorages avoid free-of-charge concessions and are sold with high profits to external purchasers who are not as interested in the further development of communities as local owners are. It is necessary to facilitate the possibility for aquaculture to produce ring-effects in the form of links with and opportunities for innovation in local business. Different forms of concession fee have been discussed. It should be rejected. Instead, the income from local business must be attributed to the communities in which the industries operate. If business throughout the country is to develop for the benefit of all of us, the taxes on production must be returned to the municipalities. Only then can it be expected that local entrepreneurs and politicians will be given the necessary incentives to develop local food potential. A development in which both business owners and business profit managers are far from production businesses is unfortunate in relation to the opportunities offered by aquaculture for the development, life and housing of those parts of the country where values are actually created.
ParlaMint-NO_2001-02-08.ana.ud1394e863	Norway is the world’s largest exporter of seafood. From the statement we can read that 95 pst. production goes to markets outside Norway. In the newspaper Nordlys on February 7, we could read that Tromsø is the second largest fish in Norway, and that Ålesund is on a sovereign first place. Then they place themselves close together, the coastal communities from Finnmark and down to Rogaland. In other words, the future of the coastal population is being debated today, and if we believe the forecasters, the aquaculture industry will face a bright future if the right measures are taken. In the Christian People's Party, we are concerned that a well-functioning transport network will be essential to transport Norwegian seafood from producers along the coast to markets. In this way, it is interesting that the Committee on Transport is about to give its opinion on the national transport plan. Transport policy and industrial policy are in many ways two sides of the same coin. The economy buys transport for about 45 billion kroner a year. It's going to be 8 pst. of the total costs of industry and has a significant impact on value creation, profitability and productivity, including in the aquaculture industry. The longer the distance to markets, the more expensive transport costs. Fisheries and aquaculture are particularly dependent on good infrastructure. The Christian People's Party will have increased investment in port development and the development of the secondary road network along the coast to meet the developments we expect in the aquaculture industry. Transport policy provides the necessary framework conditions to contribute to new jobs in districts and to the development of local communities along our long-term coast. In the Christian People's Party, we are concerned that industry's needs for good infrastructure are likely to be too low in the cost-benefit models used to prioritise the transport project. The savings in travel time of persons are relatively high in the cost-benefit analyses, while the time value of goods is set at zero. It counts high to be alone in the private car in line on E18, while it counts zero to be stuck with a fully loaded trailer with salmon on the Korgen mountain on a winter day. Transport quality, accessibility and predictability of industrial transport are almost not priced in current cost-benefit analyses. That is why I would like to challenge the Minister for Fisheries, who in his statement just points to the importance of good infrastructure for the aquaculture industry, to look at the basis of the cost-benefit analysis and ensure that business transport is given greater importance. For the aquaculture industry, it is a matter of arriving in time for fresh products. Delays lead to a reduction in the price and loss of the industry.
ParlaMint-NO_2001-02-08.ana.ud1394e878	There were two things in the debate that I feel the need to say something about. One is this relationship to the new production regulation model that we have described. I would like to make it clear that what is contained in the new proposal is to take into account the well-being and well-being of the fish by not having an upper volume to deal with in the mermaids. We want to have a maximum density, to have a production that does not exceed what the locality tolerates, and to have a feed quota. The breeder will then have a better opportunity to adapt the operation to his locality, so that the fish is best suited. This is a much better measure than moving at these limits the number of cubics to be in each concession. The second thing I want to say is that it is important to say that it is not added up to an increased red tape of the industry. On the contrary, simplification of the checks to be carried out in the industry is envisaged. And not enough with that, this is going to be the government and industry doing together. So I would like to make two comments on proposal No. 2 available. It is such that a significant industry activity is already taking place in order to recover as feed and for other uses by-products from the Norwegian fishing industry. One project is RUBIN, which has been launched as an authority initiative taken over by the industry itself and partly financed by the fisheries agreement between the Norwegian Fisheries Team and the State. Today we place such by-products on the market for approx. 900 million. kr, and those who work on this, assume that the potential is approx. 5 billion kroner. It is also the case that some of the progress in new feed materials is being made in a process, and this is happening in the Research Council. Similarly, with regard to the proposal for money for risk capital: it already exists. Numario is one example of this, which goes on new marine species. It is a joint effort by the Ministry of Fisheries, the Ministry of Food and Trade and the Ministry of Local and Regional Affairs to address the challenges where research ends and the SND instruments have not started to work, but they will be put in place this year.
