ParlaMint-NO_2001-05-09.ana.ud2047e27	The called alternate of the Uppland County, Gry Larsen, has taken the seat.
ParlaMint-NO_2001-05-09.ana.ud2047e1058	Firstly, I would like to say that the report we are talking about here, which points to the fact that we have been working on for half a year now, is the result of the special supervision of the school health service that was set up in 2000, which was carried out during 2000. We have therefore received the preliminary reports, and the Health Authority, naturally, spends some time not only compiling and concluding these reports, but also developing proposals for actions to be implemented to correct the errors and weaknesses revealed by the supervision. That report is expected to be available in the near future. I think it is a reasonable time that has been spent on this, and it will also be my responsibility to continue the proposals that come from the Health Inspectorate on the implementation of measures. It is true that the plans that I referred to here are plans developed under the previous government. I have no problem saying that there are good plans, and that it is an important responsibility not only to develop the plans, but also to ensure that they are implemented. I think it's actually more important than now to develop even new plans just to be from a different government than the one that actually presented them.
ParlaMint-NO_2001-05-09.ana.ud2047e1065	I thank the Council of State for the answer. I registered that he did not have any new answers and would not go into the question of whether one would consider giving the school owner responsibility, so that it is not necessarily only provided for in the municipal health service law, as it is today. Governments also pointed out the need for resources. But what I feel it is most needed is actually political attention from the Government – yes, also from the Council of State – to the school health service and the shortcomings that have also been revealed in the preliminary report. My question to the Council of State will be: When will the Council of State come to the Stortingen with the measures?
ParlaMint-NO_2001-05-09.ana.ud2047e1074	With regard to the very specific question of leaving this responsibility to the school owner, the answer is that there is also some of the things that there will of course be an opportunity to assess in the context of the presentation of the report that we are now awaiting. As far as political attention is concerned, of course, I should note that there is a need for it. I would prefer to draw that attention first and foremost to proposals for concrete improvement measures, rather than simply stress the importance of following up the responsibilities assigned to the municipalities here, but both are fully possible. First of all, I am now focusing on developing the concrete follow-up actions after the supervision that has been carried out. I expect to have a good opportunity to come back to the Stortinget to explain it in connection with the proposals that will follow in budgetary terms or in other ways to the harvest.
ParlaMint-NO_2001-05-09.ana.ud2047e1081	We go to question 21.
ParlaMint-NO_2001-05-09.ana.ud2047e1087	This question, from the representative Per Sandberg to the Minister for Children and Family Affairs, will be answered by the Minister for Health on behalf of the Minister for Children and Family Affairs.
ParlaMint-NO_2001-05-09.ana.ud2047e1090	Then my question is asked to the Minister for Health: ‘Today, the legislation is such that a mother in a father’s dispute may refuse to take a DNA test by the child in order to compare it with a similar test of the alleged hazard. Throughout the country, there are a number of fathers who claim to be the father of children to whom they are not. Does the Council of State agree that a legal barrier must be introduced in order to require the child to be DNA tested in hazard matters?’
ParlaMint-NO_2001-05-09.ana.ud2047e1099	In agreement with the representative Sandberg, I will answer the question on behalf of the Minister for Children and Family Affairs. Initially, I would like to briefly explain the rules of the Children's Act on the definition of fatherhood. Legal danger to a child is usually determined either as a result of the marriage of the mother or as a result of the child’s father’s immediate recognition of the child’s danger. The public is responsible for determining the dangers of a child when this does not result from marriage or recognition. In such cases, the parties are usually required to take blood tests to provide evidence of the biological hazard. The Children’s Act provides both the County Stryck Office and the right to order blood sampling. If a blood test is not given voluntarily, the court may impose a periodic penalty payment until the blood test is given. Instead, the court may decide that the person concerned may be picked up by the police and made up for a blood sampler. The rules on who may be required to give a blood test and the coercive measures that may be used apply to both the mother, the child and those indicated as fathers. Where the hazard is established by recognition or by marriage, each parent may refer a change to the court if he submits new information indicating that another person may be a father to the child. Under the applicable law, blood sampling may be relevant in the context of changing hazards in two situations: first, on application by the court and second, on the basis of voluntary action by the parties. In order to intervene in the personal sphere of individuals, it is important to take into account the legal certainty of the individual. These considerations are taken into account where blood sampling is imposed by the right through the procedural barriers to which changes are permitted and through the assessment by the court of the need to impose blood tests. In cases that do not go to court, blood sampling may only be carried out with the consent of the parties. Where the conditions under which proceedings may be brought before the court are not met, the interests of the parties' personal integrity shall be such that one party shall not be able to require the other party to take a blood test against his will. If the mother or father is to file a case for the change of father, the matter must be raised within one year after he/she became aware of the information indicating that another may be a father. The background for this is the consideration of calm and stability around the hazard. Following the danger of recognition means that the man in question has deliberately chosen to stand as his father and assume a legal and social obligation. This may apply despite the fact that he knows that there are other possible fathers. It could result in an unfortunate outcome if a man who has acknowledged the danger despite having information that another person may be or is the father of the child should be able to wait as long as he wishes to have the hazard lifted. The rules of the Children’s Act on changing fatherhood are based on what is best for the child, including the need to calm down on the relationship. In this context, the interests and needs of parents must give way to the child’s interests and needs. In order to protect the child’s interests, the Children’s Act lays down rules on the right of children to be heard and gives the child more right of self-determination as the child grows older. These rules will also mean that blood tests cannot necessarily be taken by larger children against the will of the child, even if a father wants a blood test. In many cases it will be best for the child to be made clear about the biological hazard. However, it should not be such that the individual father should be able to require at any time that the child prepares for blood sampling in order to clarify his or her doubts about the hazard. Such a rule could be contrary to the best interests of the child in the individual case. The child’s need for clarity about his or her fathership is ensured by the fact that the child can always sue for a change in his or her fatherhood. Children over 18 years of age may decide whether to perform blood sampling. So if the child does not want to attend, his or her parents' ability to be sure of his or her father may be blocked. On this basis, I'm not sure if it's best for the child to introduce a rule that gives father an unconditional right to oblige the child to submit to the DNA test. However, amendments to the Children’s Act will always be considered if there is doubt as to whether provisions of the law are in the best interests of the child.
ParlaMint-NO_2001-05-09.ana.ud2047e1118	I think the council points to the problem, and that's good, but I get a little disappointed and startled at the conclusions. Because I interpret the answer so that the government and the council interprets the child's best to that that it's not for the child's best to know who is his biological father. What is the problem is, of course, the actual interpretation of the child law on parental responsibility. So the right to consent in personal relationships for children prevents the father from investigating whether he is actually the biological danger. Now there's a little bit of change in this, and in the first round I want to ask the Council of State whether the Government also assesses whether this is a violation of human rights, a violation of the Equality Act and a violation of the Children's Convention, not least Article 8(1) of the United Nations Convention on the Rights of the Child, which is precisely doing this by preserving the child's right to their own identity. That's my first question to the Council of State.
ParlaMint-NO_2001-05-09.ana.ud2047e1130	I believe that it has also previously been assessed and concluded that the legal status we have in this area does not represent a breach of human rights, equality legislation or the other provisions to which the representative Sandberg refers. In any case, I would like to believe that it has also been assessed in the past. Since this is not my professional responsibility in the government, I am not going to be categorical as to whether this has been assessed in recent times, but at least I will now ensure that this is clarified. Otherwise, I guess it's not that my answer should be interpreted there that I don't think it's generally at the best of the child that there's clarity about the biological hazard – that's what I thought I was going to say – but there's some difficult balances about legal protection for the individual in imposing DNA tests to clarify the hazard.
ParlaMint-NO_2001-05-09.ana.ud2047e1137	It's interesting what the council here says, because in Bergen's Official Journal today, Peter Lødrup, professor of family law at the University of Oslo, says the following: «Legal men shall be refused the tests which may confirm or invalidate danger.» He goes so far that in some cases he calls this murder. He talks especially about this with inheritance rights, where some fathers are sentenced to give away everything they have to children with whom they are not even related. We also have one thing that's happening in the media right now. In the Outer Follo court there has recently been a case about changing fatherhood according to the Children's Act § 6, where father has won through that he has among other things. have been on the Internet, obtained an application and then sent a DNA sample of the child to the United States. It is now fully possible to circumvent the law by practicing it this way. Doesn't the Council of State see that we should change the law that exists today, so that we get it according to what will be practiced in the future?
ParlaMint-NO_2001-05-09.ana.ud2047e1149	I don't know the facts that this refers to, either in the case of Professor Lødrup's statements or the case that I understand has gone into Follo's right of lord, and I can't see it here and now say anything about whether I believe that this or other circumstances should lead to changes in the law. But I have no problem saying that both the kind of judicial decisions and professional statements can well provide the basis for the issues raised here being assessed, and the point of view put forward here, I would also like to take back to my colleague in the Government.
ParlaMint-NO_2001-05-09.ana.ud2047e1154	Questions 8 and 9 will be answered later. Question 10 has already been answered.
ParlaMint-NO_2001-05-09.ana.ud2047e1160	I will ask the Minister for Transport the following questions: ‘Once again, ATC at the Rørosbanen will be delayed and not completed before spring 2002. This was supposed to be in place before the Asta accident. All the deferrals and increasing costs cause great dissatisfaction in users and weaken the confidence in the railway. Neither in the NSB nor in the Railway Station does it seem to be the will and resources to ensure future passenger traffic on the road. Is it closure the Government's objective, or will the Government propose measures and funds to enable, safe and probable future operation of the track?’»
ParlaMint-NO_2001-05-09.ana.ud2047e1169	The background that automatic train stop, ATC, has not been put into service on the Rørosbanen is linked to the follow-up to the recommendations of the Åsta Commission on, inter alia, to carry out a design review of the signalling and securing systems on the RV, the so-called NSB-87 system. The signalling systems at 14 stations are now being upgraded and renewed. It is this work that will not be completed before spring 2002. The development of ATC along the Rørosbane was completed in the summer of 2000. Operational tests have been carried out and the installation has been approved by the State Railway Authority. In order for the remote control of the sections of track with ATC to function as intended, it is necessary that the signalling and securing systems operate correctly. Something else would give a false security. The railway system initially assessed the situation in such a way that the built-in train stop system could not be put into service until the re-engineering of the restraint systems had been completed and remote control had been put into service. Recently, and in consultation with the State Railway Authority, the Railway Agency has assessed the putting into service of the Automatic Train Stop Facility before completion of the re-engineering process. The Railway Station now assumes that operation on the Røros Railway with automatic train stop can be started from the summer of 2001. There will continue to be signallers at each station until the upgrading of the restraint systems is completed and remote control is put into service in the spring of 2002. I would like to stress that I have no goal of shutting down the Rørosbahn, and I see that from the initiative that I have now explained.
ParlaMint-NO_2001-05-09.ana.ud2047e1178	I thank you for your answer. There are many reasons why such a question comes, and one is that the bet on security on the Rørosbanen has been promised many times. Both before the AST accident and after the AST accident, the deadlines and the level of safety have been constantly shifted and amended and amended and amended. Now the minister says that once again the Railway Agency has decided to put this into operation in 2001. I see it this way, with the history we have in this plant, and the experience we have with how the Railway Agency has managed the safety both before and after the AST accident, that such insurance is not good enough. Is it so that the Council of State can ensure that this comes into operation, or can we once again experience, as we have experienced countless times, that the deadline will again be postponed, and that we get new disappointments and new reasons for not having confidence that this work will be carried out properly?
ParlaMint-NO_2001-05-09.ana.ud2047e1185	It is clearly unfortunate that you have experienced this several times. The background is that the review of the restraint system has proved to be a more extensive work than was thought. It's like when it comes to this work, you don't have a lot of experience. So that might explain that you haven't seen the extent of it. The railway system uses what is available from human resources, and there are no economic barriers to progress. I would like to repeat that delays of this kind are unfortunate, but at the same time I would like to stress that as long as the system is not fully operational, the manual safety management of the Rørosbahn continues. On that basis, the Railway Authority has clearly stated that the safety of the Rørosbahn is satisfactory.
ParlaMint-NO_2001-05-09.ana.ud2047e1192	In the last issue of ‘Roadway’, project manager Brede Nermoen states that the reason for delay is that the deadline is not well enough. I think that is an entirely unacceptable explanation. Has the deadline been exceeded for too long and will the Council of State now ensure that these measures are actually implemented by the deadline? If not, there is reason to ask questions about whether the Government is standing by and is going to stand by the fact that the Rørosbanen is still going to have passenger traffic. It is absolutely vital now to give signals to the NSB and the Railway Agency that these things should be put in place and that it is the government's unique policy that passenger services should be provided on the Rørosbahn in the future.
ParlaMint-NO_2001-05-09.ana.ud2047e1197	I want to ensure that the railway works have the necessary framework conditions in order to have as rapid progress as possible in the renovation of the plant. What is the restriction is the human resources, because competent people are required to do this. We're in a dilemma that's about to be sure that this is happening in a perfectly sound manner in relation to the time. When we have to choose between these two considerations, it is obvious that we have to choose both a progress and a way of working that provides the satisfactory security. We cannot push this work at a risk that safety is not being properly protected. Otherwise, I just want to repeat what I said in the introduction, that if the government had the aim of shutting down the Rørosban, we would never have gone into this relatively comprehensive effort.
ParlaMint-NO_2001-05-09.ana.ud2047e1207	This question, from the representative of Terje Johansen to the Minister for Transport, will be raised by the representative Borghild Tenden.
ParlaMint-NO_2001-05-09.ana.ud2047e1210	I would like to ask the Minister for Transport, on behalf of Terje Johansen, the following questions: ‘In the position of the National Transport Plan of the Committee on Transport, a large majority say that it is urgent to reach a collective solution to Fornebu. Can the Council of States inform of progress in this matter?’
ParlaMint-NO_2001-05-09.ana.ud2047e1219	I refer to the review of Fornebu in the Storingsmessage on the National Transport Plan. The government decided in the summer of 2000 to carry out an additional investigation before a final decision was reached on the choice of collective solution for Fornebu. Extensive investigation work has now been carried out and the case was put to consultation and public review on 30 March 2001. The investigation includes, inter alia: bus, urban railway, road between Fornebu and Lysaker as well as two railway options in the form of the Lysaker branch track and an alternative where double tracks are run via Fornebu, the so-called J6/J7 options. The additional investigation highlights more the consequences of the development of Fornebu for the corridor as a whole than previous investigations. The consultation concluded on 6 June of this year, together with the finalisation of the impact assessment process, will form the basis for the choice of solution. The Ministry of Transport aims at clarifying the choice of collective solutions including funding in the summer/harvest 2001 and briefing the Storting on the matter in the State budget for 2002.
ParlaMint-NO_2001-05-09.ana.ud2047e1228	I thank the Council of State for the answer. The background to this question is the concern about the large additional burden on Norway’s most trafficked road, E18, when Telenor and IT Fornebu are at full speed into Fornebu. The last working party government promised that a path solution would be in place first. Then green light could be given for nutrient development. This is not related. My question is, when will the path solution be in place?
ParlaMint-NO_2001-05-09.ana.ud2047e1235	I would like to stress once again that there is no collective solution, and that is why it is not a prerequisite that it should be a path solution. Among the alternatives currently open to consultation, which are among the alternatives to be selected at the end of the consultation, and the case, as mentioned, is presented to the Autumn Storing. What made this additional investigation necessary was that we did not have a satisfactory basis, as was the case, when we took over the government last year. It is also true that this additional investigation has provided a number of new information and a number of better bases for making a final choice. Otherwise, I fully agree that there is a lot of urgency in choosing collective solutions for both jobs and housing on Fornebu, as well as for the entire West Corridor.
ParlaMint-NO_2001-05-09.ana.ud2047e1244	I thank you again for the answer. Very well known, Bærum municipality should treat an exemption request from Telenor and IT Fornebu for entry or start-up tonight. If the municipality of Bærum does not grant this derogation, what will the State do? Will they verify the municipality in this case?
ParlaMint-NO_2001-05-09.ana.ud2047e1251	So, as the representative said right now, we don't have Bærum's treatment behind us, but we have it in front of us at this point. Of course, we will consider what Bærum local government will achieve, but I hope and believe that Bærum local government will see that we also have a progress here that will enable the development of the economy to be started by moving into Fornebu. But, as I said, we still have to look at the treatment of the local government today.
ParlaMint-NO_2001-05-09.ana.ud2047e1259	I would like to ask the Minister for Transport the following questions: ‘In Hedmark as other counties it has become more and more common for people to use caravans as a cottage much of the year. It shall be moved from its place of residence and back at the end of the season. Often these vehicles are not registered and then test plates have been used to carry out this transport in a lawful manner. From now on, this is not allowed, so you have to pay an annual fee of $1160. Does the Council of State understand that this feels unfair for those who use the caravans only as a cabin?’
ParlaMint-NO_2001-05-09.ana.ud2047e1268	According to the Road Traffic Act, vehicles are to be registered. This obligation to register is partly justified by the general control of the State Road Administration and the police, and partly by the need for information and overview of other authorities with an interest in the vehicle fleet, including: the charging authorities and the military authorities. The regulation on the use of vehicle § 2-6 provides for the use of test plates. This shows that test plates may only be used on a vehicle subject to registration during testing, demonstration, movement or driving during registration. The meaning of the test plates is that it shall be possible to use vehicles for specific purposes for a short period of time before it is natural to register them. On the other hand, repeated use over a longer period of time is not intended to be possible with test plates. A large part of the caravans are used in fixed locations and moved between them once or twice per. years. This must be regarded as normal use of caravans and the requirement for registration will then apply. As there has been a different practice with regard to the use of day-test plates, red plastic plates, on caravans, this has therefore recently been intensified towards the traffic stations. The annual fee for caravan trailers is NOK 1 160 and must be paid before registration, while the daily test plate costs NOK 150 per day. date of validity. This is why many people want to use test plates instead of registering vehicles. That's what today's legislation is. In my view, it is important that the legislation is easy to understand and easy to practice, but at the same time, the rules must, of course, be sensible. I understand that it may be unreasonable to pay a full-year fee for caravans that may use the road network two or three days a year. Therefore, I want to take the initiative to make an assessment of this in order to arrive at arrangements that are both practical and appropriate, both for those who are travelling with the wagons more generally and those who have the need that the representative of Bredvold pointed to.
ParlaMint-NO_2001-05-09.ana.ud2047e1283	I thank the Council of State for the answer, which was actually a more positive answer than I had almost expected. This with caravans used as cabins affects a lot. That's about. 20 000 caravans in Norway used in this way. Often this applies to families with children, or to solitude, which seems to be a quite straightforward way of holidaying, especially in relation to their economy. A little on the edge of this can be taken as an example of a work wreck. A work wreck may be carried on public roads, except on motorways if you drive at a speed of less than 30 kilometres per hour. You can imagine that a caravan, hypothetically, can be used as a work wreck and thus transported. Does the Council of State see a parallel here and the injustice of this?
ParlaMint-NO_2001-05-09.ana.ud2047e1292	I'm a little unsure whether I see the clear parallel, because I think that caravans can get annoyed by many other road users if there would be a relatively large number of people driving at a maximum speed of 30 kilometres per hour. I'm not sure that's the way to go. At the moment, I am not prepared to go deeper into the assessments that need to be made, and here, thorough assessments of what is both correct and important for road safety and what is right and important in relation to charging authorities in general. But I repeat what I have said: I understand the problem, and on that basis I will go in and assess this in more detail.
ParlaMint-NO_2001-05-09.ana.ud2047e1299	I thank the Council of State for the answer. I hope that the practice we have today can continue to rejoice for those who use a caravan and transport it in the way that is practised today, by carrying it from A to B with a test plate.
ParlaMint-NO_2001-05-09.ana.ud2047e1306	I would say that in this way that I think we need to find a regulation that is more practical than today, for something from the background of the problem that the representative Bredvold is travelling, is that it has been different practice. We do not deserve to have legislation that is applied differently, so we must try to find legislation that is practical and that is sound both for users and for the authorities.
ParlaMint-NO_2001-05-09.ana.ud2047e1314	I would like to ask the Minister for Transport the following questions: ‘According to a notice in Hamar Arbeiderblad on 2 May 2001, no automatic train control, ATC, will be put into service on the Rørosbanen until early spring 2002. After the AST accident in January 2000, it was stated by the Railway Agency that this work was to be carried out and that parts of the plant were already installed. Should not anyone in the Railway Agency be liable for this matter as soon as possible, or will the Council of State even now intervene?’»
ParlaMint-NO_2001-05-09.ana.ud2047e1323	With regard to the question of when the ATC can be used on the Rørosbanen, I refer to my answer to question 11 from the representative Karin Andersen. As I explained in my answer to question 11, the ATC at the Rørosbanen is fully developed. However, this case is closely linked to the design review carried out by the signalling and securing system, NSB 87, along the pipeline, which is part of the follow-up to the recommendations of the Åsta Commission. This work is expected to be completed in the spring of 2002. The railway system is now considering the use of ATC along the RV from summer 2001 as a complement to manual train tracking at stations. Remote control of the Roeros Railway will not be initiated until the design review of the NSB 87 has been completed and the necessary measures have been implemented. This work, as mentioned above, has been completed in the spring of 2002. As I understand it, the design review of the NSB 87 fuselages is a complex and nine-time work, which must be done thoroughly and correctly. I therefore do not want to push forward an accelerated completion of this work. The railway system is still responsible for the safety of the national network, and I have no plans to change this responsibility.
ParlaMint-NO_2001-05-09.ana.ud2047e1332	I thank the Council of State for the answer, but I am not entirely satisfied with it. I ask questions about where the competence of ATC facilities is. Competences both nationally and internationally need to be able to assist here. I agree that the signalling system and the ATC system belong together, and that both parts will work, but the credibility will be released when this is repeatedly exposed. If the Rørosbane is to continue to operate on passenger services, trust must be established and safety properly put in place. I also have no problem seeing that you can combine train tracking with automatic-type safety systems. I think that the NSB might think a little bit more about having something more manual, so that they can also accept the customer and the passenger. But it is quite clear that what was promised was to be in place immediately after the Asta accident, and that according to the Railway Agency was to be carried out, is not yet in order and will not be done in almost one year.
ParlaMint-NO_2001-05-09.ana.ud2047e1341	Let me stress that what happened in the summer of 2000 was the expansion of ATC. What happened then in November 2000 was that we received the recommendation from the Åsta Commission, the Groth Commission, to have a complete reengineering of the plant that was already installed at that time. And that's what you're doing right now. As far as I understand, there are a number of national solutions in these areas. I guess the name NSB-87 also points to that. This means that it is enough problematic to find people with skills in this area, and that reference is then made to the use of the skills that you have, while developing new skills. I would like to emphasise once again that safety is ensured manually as long as this work is ongoing. I fully agree that it is not good to have these postponements here and that the review is drawing out, but we must finally make a balance, whether we should push this work, or whether it should be carried out in a proper and thorough manner. And then, in and of course, the choice is simple.
ParlaMint-NO_2001-05-09.ana.ud2047e1350	I have also noticed that the current project manager says that the date can still be pushed on if things have to be changed. This makes it start to get a little bit tragic, and credibility is pretty thin. I would like to see what it would have been like for another company to have had such a long time to implement something that was said to be a priority and forced to do. Is it not, then, that someone should be held responsible for not having better progress and understanding and competence? Unfortunately, this goes on the whole credibility of the railway system and the willingness to use it.
ParlaMint-NO_2001-05-09.ana.ud2047e1355	As I said, I agree that it is regrettable that we have received these deferrals. I assume that when the representative is talking about consequences, there are people who might have to think of something else to do. What is our problem is primarily a lack of good competence in this area, and I assume that the Railway Agency uses what they have in their competence. We're dealing with the economy in that way that there shouldn't be any constraint. Then the best way to go is to make sure that this is done thoroughly and properly. And it's unfortunately so that there have arisen complications that, wishfully, absolutely should not be there. But I think in the long term, trust in the railway is absolutely well served by credibility in that it's done a real job when you're done with this.
ParlaMint-NO_2001-05-09.ana.ud2047e1366	‘The Aviation Administration and Oslo Airport Gardermoen have given signals about a third runway on the Gardermoen. This will mean that very large areas will have to be linked to the incalculable future, making it difficult for municipalities in the area to plan effectively and forward-looking. A third runway with capacity up to 170000 flight movements will result in a major expansion of existing aircraft noise and noise zones. What will the Council of State do on the occasion of the case?’
ParlaMint-NO_2001-05-09.ana.ud2047e1373	I am aware that the Ministry of the Environment, as a department of trade, will take the initiative to launch a planning process to assess land use in the aerodrome area across municipal borders. This includes, inter alia: assessment of any third runway. The long term development needs of the main aerodrome must be a central premise for such a planning process. The planning should take place in close cooperation between the municipalities of Nannestad and Ullensaker, Akerhus County Municipality and the Swedish Aviation Administration/Oslo Airport AS. The Swedish Aviation Agency has informed the Ministry that Oslo Airport AS and the Swedish Aviation Agency have initiated a process for the development of an airport plan for Oslo Airport Gardermoen. This is an internal planning document for the Swedish Aviation Agency and Oslo Airport AS, but also involves the relevant municipalities, etc. This document will be included in the ordinary planning work in accordance with the provisions of the Planning and Building Act. I therefore see no need to intervene in relation to a planning process that is under way, in which all stakeholders will be involved.
ParlaMint-NO_2001-05-09.ana.ud2047e1382	Now, Gardermoen has an estimated capacity limit of 17 million passengers per year. Gatwick, which may be comparable, has a maximum limit of 42 million passengers, and Munich has 58 million max on two runways. This does mean, however, that an extension of the Gardermoen should be seen in relation to an increase in the utilisation rate in the case of passengers. 58 million is a triple of the number of passengers on the Gardermoen, i.e. that the entire population of Norway, all its inhabitants, travels either out or into Gardermoen 12 times a year. And this is what is very unlikely to happen – or what?
ParlaMint-NO_2001-05-09.ana.ud2047e1389	It seems to me that there is an underlying tone in the representative Evje saying that it should be noted that the Gardermo in its present form is large enough ‘for ever’. This government is not afraid to take responsibility without a broad analysis. The main purpose of establishing a new main aerodrome was to make sure that we could put it in a place that had development opportunities, and so that it could remain the main aerodrome in – let me say – the unforeseeable future. I therefore believe that it is in everyone's interest, and not least in an overall social interest, that we are making good planning of what needs we have in the future. In this way, we can both ensure the necessary areas and at the same time ensure that the areas that are unlikely to be necessary for aerodrome operations can be released for other purposes.
ParlaMint-NO_2001-05-09.ana.ud2047e1394	Now it's like there's protective areas on almost every side of the existing airport, with the land use you have, so this has quite a lot of complicated factors. It is also such that the noise maps created by the extension of the Gardermo are not working very satisfactorily and have not done so since the Gardermo was opened. This, in addition to the fact that both the municipality of Ullensaker and the municipality of Nannestad will have a significant reduction in their available land and in the possibilities for future planning, makes this a very serious matter, especially because the Swedish Aviation Agency continues to treat these municipalities and residents there, in the same way as when they forced people from Gardermoen.
ParlaMint-NO_2001-05-09.ana.ud2047e1399	The noise situation is assessed separately and is in and separately a separate case handled in cooperation with the municipalities concerned. I am absolutely sure that we will have a thorough and good planning process in which all aspects of this come to light – in terms of protected areas, in terms of noise conditions, in relation to any other use of the land. But I think we have to put in the bottom that we've actually located the main airport of Gardermoen with a view to being our main airport in the future. That must be the starting point for the assessments. I would like to remind you that not least the host municipalities were concerned about locating the main airport of Gardermoen, and I think they will make a positive contribution to a planning process. I just repeat: it would be in everyone's interest for us to have a clarification, as far as possible, regarding the necessary aerodrome-near-needs in the future.
ParlaMint-NO_2001-05-09.ana.ud2047e1407	I have the following questions for the Minister for Fisheries: ‘There is much evidence that the taxation of the cod stock in the Barents Sea is too strong. Today it is largely fished on small fish. For the first time in history, it looks like there's no strong year class. We can face the same disaster as in Newfoundland, with the collapse of the cod stock. This will again hit the northernmost states strongly. This concerns both the fishing teams and the Coastal Party in the northern counties. How do the Councils of State view this, and what action will be taken?’
ParlaMint-NO_2001-05-09.ana.ud2047e1416	I would like to start by saying that I share Mr. Bastisen's concern about the tax pattern and about the high fish pressure on the cod stock. At the same time, I must stress that the cod stock in the Barents Sea is not near a collapse. I therefore think we should leave the comparison with the situation in Newfoundland. The researchers suggest that the youngest classes of cod are weak, while the intermediate classes of the year, i.e. 4 to 7 years, are at an average level. Fish over the age of 7 are small, and much less than desirable. Thus, the fishable part of the population consists largely of 5- to 7-year-olds. This is reflected in the fact that only a small part of the total cod landings consists of older fish over 7 years. In other words, we don't have an optimal tax pattern, and with today's stock composition, we can't get it either. This is worrying and clearly represents an unoptimal taxation of the population. This situation has to a large extent arisen as a result of a high take-off over time. The main challenge is therefore to bring the extraction down to a sustainable level. If we do that, we will give the broodstock better conditions for growth and ensure a better tax pattern. Norway and Russia have agreed to a cod quota of 395 000 tonnes for 2001, which shall apply until 2003. The quota has been criticised for being too high in relation to the level of allowances recommended by the researchers and for the fact that the quota is not compatible with a pre-goods approach. However, on the basis of the three-year quota, there are scientific assessments that indicate that both spawning stock and fish mortality will be well within the range of the 2004 transition period. However, uncertainties will be whether researchers have overestimated the stock and/or underestimated fish mortality. The growing conditions in the sea and, where appropriate, unregistered catches are two other uncertainties to which we must relate. The International Council for the Exploration of the Sea, ICES, provides new stock assessments and quota recommendations during the month of May/June. Only when these advices are available will we know if the assumption we used for the three-year quota is correct. In the light of the new Councils, the Joint Norwegian-Russian Fisheries Commission will carry out an assessment of the quota level and other regulatory measures for the conservation of cod stocks.
ParlaMint-NO_2001-05-09.ana.ud2047e1435	I thank the Council of State for the answer. I agree with him that it is not optimally fished. There should have been a lot more to fish for bigger fish. Now, however, we are in the situation that the cod quota for the conventional fleet is largely confiscated, and there will be stops in the conventional fishing for the coastal fleet from the weekend off. The large fleet of the smallest boats has had to be on land due to bad weather, both last week and this week, and the largest boats have been fishing. Tourist fishing is another problem in this country. According to one report, there is reason to believe that tourists are hauling up to 20,000 tonnes of fish, as well as recreational fishing. What remains of the quota for the rest of the year is about 10,000 tonnes — a quarter of what is fished uncontrolled by tourists and recreational fishermen. What does the Council of State intend to do with this problem?
ParlaMint-NO_2001-05-09.ana.ud2047e1446	It's true, as Bastisen says, that the quota for the current year for the coastal fishing fleet, boats less than 28 meters, has been taken. We have taken a responsible approach that we have to do, when this has happened, and this is really most unexpected. As regards the question of any measures to be taken against recreational or tourist fishing, a qualified assessment of their scope is available for the first time. Of course, we will study this carefully, look at the premises, see if there are possibilities and/or reasonable and advisable to intervene on the part of the authorities. At the same time, it is clear that both recreational fishing and tourist fishing are important for the Nordics and for tourists in Norway.
ParlaMint-NO_2001-05-09.ana.ud2047e1453	I can't say I'm satisfied with the answer. Yesterday we had a debate here in the Stortingen on fish fraud. I called for a report by Lars Peder Breck, while he was the Council of State in the department that the Council of State took over. That report should be the basis for further work on fish fraud. I then asked the question: Did the Council of State know about this report and still didn't do anything about it when he took over the department? Or is it that he had no knowledge of that report, and that it was removed before he came to the department? If that's the case, I'm very concerned about what's going on in the Department of Fisheries. Can the Council of State explain this?
ParlaMint-NO_2001-05-09.ana.ud2047e1462	I feel absolutely certain that all relevant assessments of the facts relating to any matter in the Ministry of Fisheries which is not of a political nature, which belongs to the previous regime, I have access to. There has been a report, a draft consultation, on measures in the field of regulatory circumvention which has been at the hearing since 1998. We have taken this into account. With regard to the proposals that we are now presenting to the Stortinget, the representative Bastisen will be able to see that this has been laboriously reviewed and reflected there.
ParlaMint-NO_2001-05-09.ana.ud2047e1472	I have the following questions for the Minister for the Environment: ‘The restoration work at the Heddal stave church in Telemark is about to stop due to a lack of appropriations from the Riksantikvaren. The size has underlined that further allocation of funds will give priority to restorations already in progress. Nevertheless, the Riksantikvaren has only satisfied Heddal stave church with 300,000 kroner, upon application for 1 million kroner. krones. Does the Council of State consider this to be in line with Storting's intentions, and what can the Council of State do to ensure Heddal stave church a larger grant?»
