ParlaMint-NO_2001-11-15.ana.ud687e26	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2001-11-15.ana.ud687e616	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e619	I have a central and challenging question for the Dørum Council of State, and that is the following: If one is going to fight for democracy, which is listed as the big issue here in connection with everything that has happened since 11 September – it is a matter of being critical of the fact that one is doing it – is it possible to do so if one goes in and violates fundamental democratic rights, if one deprives people of fundamental democratic rights and introduces military dictatorship or regime-like conditions in relation to the judiciary? It was kind of a leading question. The answer should obviously be no. My follow-up question to the Council of State Dørum will then be: what is now happening in the United States, where, according to the Newspaper and the international media, military courts, consisting of only a few members who can judge people to death without the usual legal security procedures being in force, without the need to report that it has happened, is it compatible with a struggle for democracy? And will the Council of State Dørum make sure to fight for a little more democratic rules of the game when it comes to combating terrorism in the world?
ParlaMint-NO_2001-11-15.ana.ud687e626	I was born and raised at a time when Norway passed emergency laws that were tougher than anyone in this room has ever taken inwards, including myself, for a situation that was thought to be a war situation. The Americans feel that they are in such a situation. Of course, I'm going to get all the insight they use when they deal with it, just like the United Kingdom does. I see no basis for Norway today with the knowledge we now have to implement, for example. rules of detention. But I see every reason for with openness to talk about serious asymmetric threats, as I did, and I'll answer in principle. When someone shoots at you, do you choose the pacifistic solution, or do you take it again? I choose to do it again. Is it okay to prevent crime? Yes. But shall one take the criminal at the moment he does anything? Yes. Will someone, e.g. Emotional, they will do everything they can to prevent a violent crime, for example: violence against women? Yes. But does anyone in this room think we shouldn't react sharply when someone does? Everyone would say that we should react sharply. Does that mean that we get into dilemmas? Yes, but we have to choose the action options that always protect the weakest in the system, and nothing is more vulnerable than democracy. Can it be that there will be a cross of thought for society? For some societies it's obviously been. In fact, it is raging a public debate about it in the United States, and it is happening in the United Kingdom as well. In Norway, I want us to be in the forefront of any debate by talking openly about vulnerability and the dilemmas, so that we know what we're facing. That's my basic attitude to this. That's why when I was last responsible for justice policy, I talked openly about a threat picture, because I think serious things should be owned by a people. Then a people know how long they can defend their normality, and they also know the limit when there may be an extraordinary situation. I have no better insurance premium than that, and I intend to fight for it.
ParlaMint-NO_2001-11-15.ana.ud687e635	Several have not asked for the word for a line.
ParlaMint-NO_2001-11-15.ana.ud687e638	Today's debate represents what terrorists hate the most. Fortunately, in our country it is allowed to be critical of what officials say, and to publicly express this scepticism. But it must also be allowed to say clearly that one is right, and the other is wrong. And to those who measure September 11th and the military operations in Afghanistan on the same scale, I have the following message: Think about the consequences of such reasoning. I'm not just a member of the government in this context. I am also responsible for Norwegian soldiers – young Norwegian men and women – who in a given situation may have to give their lives in the fight against the terrorists. It's a responsibility as a burden. It's a responsibility that makes the ethical dilemmas associated with the use of military resources come close to me. No one needs to convince me that warfare always has a serious price. However, in some cases other instruments are lacking. Sometimes, but fortunately rarely, military action is a necessary evil, even though innocent people are always affected. In Afghanistan, the aim is to destroy bin Laden's terrorist network and break the Taliban regime, which both protects and houses central parts of this network. The aim is that at least new terrorist attacks should not escape training camps in Afghanistan and with contributions from the regime there. I am sure we will succeed in that, and I am sure that people understand that you cannot destroy a terrorist camp or a command hole solely with police cooperation, political pressure and financial instruments. I am therefore convinced that most people, when it really comes to the problem, realize that the military operations were and are necessary to put an end to the military capabilities of the Taliban regime and continue to misrule. At the same time, a clear signal is sent to the world community: whoever gives a terrorist protection must expect himself to be treated as a terrorist. Developments in the last few days show that the military campaign is producing results. Supported primarily by American forces, the North Alliance has taken over important cities, military bases, airports and other important areas. It provides far better opportunities for inland transport of supplies into Afghanistan. It will facilitate the supply of military forces and at the same time will make it possible to increase humanitarian aid considerably. The Uzbek authorities have authorised the transport of such assistance via Uzbekistan. The Taliban is in disintegration and defense, but I'll still warn against believing that the military operations can be halted in the very near future. We have heard a cry about the lack of military results. We have recorded uncritical claims about the extent of the humanitarian suffering that was a direct consequence of the bombing. But in the very safest, perhaps thoughtful thought should now find space, without the involvement of the innocent victims becoming less for that reason. On the military side, we are already assisting in monitoring American airspace against new terrorist threats. We will soon be participating in eastern Mediterranean security operations, and we have opened our own country to supply and other support for allies involved in the fight against international terrorism. Our intelligence service makes important contributions, we have increased the security of allied installations in Norway, and soon, together with a number of coalition partners, we will have a permanent representative at the central command in Florida. Although the Norwegian defence does not participate with forces in Afghanistan, I will not rule out that in the future, NATO's humanitarian efforts will be able to update Norwegian contributions. No nation can be neutral in this conflict. NATO solidarity has been our security pillar, and we are fully willing to comply with our obligations. The very principle – the obligation to provide our close friends and the most important allied support – is imprecise. The same is the willingness to support an unconventional war against an enemy who has brought terror into the everyday lives of people. However, it is not a war that can be won solely by military means, but it cannot be won without it. And I'm sure we'll succeed in the end. The threat of terror against Norway is low. But the price can be high if it is not taken seriously. I am sure that the defense of crews and officers will do their utmost to prevent and combat terrorism. We have a job to do, and it will be done.
ParlaMint-NO_2001-11-15.ana.ud687e659	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e662	I'd like to arrest – not bring in any kind of court, but arrest – Kristin Krohn Devold at one point, and that's the goal of what you're doing in terms of the warfare that's now taking place from the United States and the United Kingdom in Afghanistan. At the very beginning, before the bombs began to fall, Russia was very early out and said, "We should have the aim of breaking the Taliban regime." Then the United States said, "We can't do that." That is why the Prime Minister said in his statement: ‘The objective of the fight against international terrorism is clear: we must prevent new terrorist attacks and those responsible for the attacks on 11 September and their supporters must be tracked and held accountable.’ There's nothing to break the Taliban regime. I notice that now, a little later, we're coming back again, and now you've done a lot of bombing, and then you've gone into it that, on the one hand, has kind of been a regular civil war between parties for a long, long time. Then bombing is carried out, the Taliban regime is displaced, and now Kristin Krohn Devold comes and says that one of the goals there was to break the Taliban regime, because that's what the United States has said. My point is this: it has been in this debate that the right and other parties' way of discussing foreign policy has been to lodge after the United States has spoken – so also in relation to what is the goal of this discussion. It would have been a lot better for Norway if we had been able to get an independent foreign policy where you could see the long lines, and where you could make some decisions and positions, regardless of first listening to what comes ticking in from Washington.
ParlaMint-NO_2001-11-15.ana.ud687e678	I would like to stress that there is full agreement in the Government on the goal of this action. I would also like to stress that it is possible to get more information along the way. You could also have some long-term goals and some short-term goals. It has been a long-term objective of the entire action to avoid the use of terrorism as an instrument of international policy. In order to achieve this, it was important to ensure that the Taliban regime in Afghanistan stopped supporting international terrorism. It has been shown that there have been close links between Osama bin Laden and the Taliban regime that we see today. It is therefore now a broad international objective – also communicated by the UN spokespersons themselves – to bring in a new and wide-ranging body of management in Afghanistan. But what I think has been a bigger problem in this debate than that Right-wing representatives are staying for the United States – we don't, we disagree with the United States on more things, among other things. with regard to paying its contribution to the UN – is that through its incredibly critical attitude to all the US is doing, the SV has been blind to what this action is really about, namely to get the international terrorists taken, to put them in charge, and also to those who have made possible the establishment of this terrorist network.
ParlaMint-NO_2001-11-15.ana.ud687e688	I think the Council of State made a very clear and straightforward statement and agreed on everything she said. However, I have to ask: does the Council of State think that Norwegian defence is well prepared for terrorism? Of course, you can never be well prepared. It is also not known what kind of estimates may be made. But is the Council of State comfortable with the situation currently facing the Norwegian defence in connection with the terrorist threat? And another thing: the Council of State has also announced that there will be a proposition for spring that will deal with both financial resources and thoughts about combating terrorism. Does the Council of State think it's time to make this proposition for spring?
ParlaMint-NO_2001-11-15.ana.ud687e697	There were two questions asked. One was about Norwegian defence is well prepared. I guess we have to be open enough to say that there is hardly any defense in the world that has been well enough prepared for a terrorist situation. But there are positive aspects to the transition in the Norwegian defence that has begun, and that actually now turns out to be quite right in relation to the new terrorist situation. What we need more of, are international, mobile units that can operate with other countries. That's what we're about to do when it comes to sea, air and army. And the fact that we could actually report to NATO when Article 5 was triggered, that we had something to do with, that we have a frigate in STANAVFORLANT, that we have a submarine that can contribute to STANAVFORMED, that we have intelligence technology, that we have opportunities to deal with surveillance resources, that we're in the process, and we actually have things that are relevant to the new terrorist situation. But then to question no. two, if it is time to present a separate case to spring. To that I can say that we're not just doing that. We have taken some action against the new terrorist threats that have already passed the Government through the Ministry of Justice. We get a redeployment proposition, where the Ministry of Defence redeploys some of its funds according to the new situation, and then of course we have some measures that we take to spring. So we've started, and we have a plan to be able to adapt to the new worldview even more than the Stortinget might have taken on when we dealt with the conversion proposition for the Defense on 13 June.
ParlaMint-NO_2001-11-15.ana.ud687e706	On 11 September we got a grotesque illustration of today's safety challenges and that they have changed considerably. It has been that the security image has changed in the past as well, and we have, of course, also modernised both the defence and our preparedness in parallel with what has happened. But what is now fundamentally different is that we've had some unpredictable situations, and we've got a whole new international threat picture. I have a comment to the Council of State: it is not necessarily that armored vehicles that roll east in North Norway are the best means of working against white powder that comes in envelopes, whether they are sent to statesmen or to others, and that prove to contain bacteriological weapons – so now it is important that we recognize what the new threats we have described involve. What impact does the Council of State have on the modernisation of defence? And will the Council of State ensure that this modernisation keeps the pace that the June decision meant it would last? In other words, will the Council of State ensure that we do not have a delay in modernising the defence that will be absolutely necessary to ensure that we have sufficient preparedness in the new security policy situation that we and others have been in?
ParlaMint-NO_2001-11-15.ana.ud687e715	Of course, it is quite right that armoured vehicles in North Norway do not help towards a white powder. But I also want to warn a little about the rhetoric that SV used earlier today, that because terrorists today use carpet knives and extremism, modern technology is not needed. There are many technologies, many techniques and many budget lines we need to use to get a real tool against the new terror. With regard to the white powder and what goes on in bacteriological and chemical warfare, we need to increase our own competence in this area and our own response resources internally in Norway to deal with such situations. But in fact, we also need to eliminate capacities in other countries. In this context, there may be grounds for mentioning that CNN today informed – although we reserve the right to come from a media channel – that manuals have been found to build nuclear weapons in the Taliban’s House in Kabul, and that chemical laboratories for the production of chemical and bacteriological weapons have been installed in bin Laden’s terrorist camps. It is an illustration that aircraft, and perhaps even bombers, sometimes have to be used to combat the new threat. If there was any situation around the World Trade Center attack, it was that what you could have used – of course if you had known about it some time in advance – was planes to intercept. It was the instrument that could have been used. This means that even in the new threat situation, high-tech military instruments will be absolutely necessary, while at the same time increasing the response capacities when and if the accident should first be out.
ParlaMint-NO_2001-11-15.ana.ud687e724	I share the opinion that the Council of State has expressed, namely that we need both – and. But there was one question that the Council of State did not answer, and it was whether she would see to it that the modernisation of the defence adopted by the Stortinget on 13 June goes as planned. The wording of the supplementary proposal submitted by the Bondevik Government and also in the press release by the Council of State itself has created some concern and some uncertainty relating to the conversion of the Defence and the extent to which it will take place at the rate envisaged. If there's ever a need to do the Defense Modern and in agreement with the preparedness required in the new threat picture, it's now. So I'm going to ask again whether the Council of State is aiming at modernisation going its way, and also whether the reorganization proposition that she intends to present is going to put obstacles in the way or limit the pace of the transition process.
ParlaMint-NO_2001-11-15.ana.ud687e731	I thank the representative Nybakk for giving me the opportunity to answer the other question she asked. You get excited when you're standing here, and then all of a sudden the two minutes are gone. Of course, we must maintain the pace of the modernisation of the defence. Or to put it another way: my intention is to increase the rate of modernisation, because what we didn't know on 13 June when the restructuring proposal was adopted was what was going to happen on 11 September. This has caused us to see that certain capacities that were not included in the overall conversion package of 13 June, we now need to get ourselves a little faster. Then we might have to go even faster in building down structures that we don't need much longer, in order to be able to invest in other things. I'm going to give an example that I come up with on the go, and that's air to ground-capacity for our planes. If our aircraft are to participate in international operations – it may be to provide food, it may be to support humanitarian operations – it is important that they can at least protect themselves from ground attack. Some of these very urgent things are also accelerating the need for necessary technology investment in defence in order for us to be able to address what the United Nations and others are asking us to do. In a budgetary situation where the defence has so far not received much more than it has requested – to say it carefully – it may also have to do some re-priorities within the budgetary framework agreed by the Stortinge, and that it can go in the direction of building up some facilities in Norway for which we are less needed, in order to move money over to equipment that we are internationally obliged to provide, and for which we need more in a new terrorist situation.
ParlaMint-NO_2001-11-15.ana.ud687e738	I really think Kristin Krohn Devold very well underlined my point that there is not much Right disagree with the United States, when she managed to find out that what they disagreed most about was that they should actually pay their debts. I am very pleased that the Right believes that people should pay their debts, and that it should also apply to states. But I still want to stay a little bit at two of the things that I took up, and that I felt I wasn't getting a very good answer to. One is what is going on in the situation in Afghanistan now, that is, when do you think the goal is achieved? The formulations that Kristin Krohn Devold made were a little bit round, and I wonder if the Council of State can be a little more concrete. When do you consider the objective to be achieved in Afghanistan? My second question is, which part of the foreign policy of the United States is what they actually disagree with, which they can draw out and say, look, this is actually what we disagree with? SV was charged because we were critical. I have to say that in my party there is a fundamental position to be critical of all forms of power. We're not rejecting all use of power, but we're critical of power. I also think that the Right could be. These two questions I could imagine getting a slightly better answer to. I would like to refer to what I said instead to Dørum in relation to these military courts that are now being established in the United States, to which very many are strongly critical, also among democratic representatives in Congress. Is this, for example, something where Right and Krohn Devold would express criticism of the United States?
ParlaMint-NO_2001-11-15.ana.ud687e749	There is probably quite a lot of disagreement between the United States and Norway, or for that part of the Bondevik government. I can give a very concrete example of what I got involved in last time, and that is the International Criminal Court. Norway was one of the first countries to ratify such a system, and I have also, through the work of the Justice Committee, been very committed to getting both international courts to put criminals in charge and other matters in the security of individuals in civil society. There we disagree with the United States. I was also present in the United Nations in the autumn of 1999 and took part in debates where an overall Europe was very critical of the United States when it came to the UN contribution. I actually think that some of the things that can be positive with September 11th is that the United States has a completely different commitment after September 11th, by actually taking an interest in what's happening outside the country's borders and having a completely different commitment to caring about humanitarian situations and actually actively helping. I belong to those who believe that just as the bombing of Pearl Harbor made America very concerned about starting NATO as a security for the international community, 11 September may mean that the United States has a completely different commitment to caring about peacemaking in the big world. And that this has affected their attitude towards the UN is quite clear. That's why it's not the purported role of the Right as a party that supports all the United States doing, which is the case, that's not what's going on here today. The theme here today is what we're going to do to get a different situation in Afghanistan. There was another question for the representative: when have we reached the goal? Of course, it is not possible to answer, but the five points that UN Special Representative Brahimi has outlined for further progress, we are fully committed to. They can hopefully help us get to the goal as quickly as possible.
ParlaMint-NO_2001-11-15.ana.ud687e760	So the line change is over.
ParlaMint-NO_2001-11-15.ana.ud687e763	When NATO adopted its strategic concept a few years ago, the new threat picture was drawn: terrorist networks, international crime, human trafficking, drug trafficking and the proliferation of weapons of mass destruction. The danger of nuclear material or chemical weapons falling into the hands of unstable regimes and terrorists, and the focus on resting terror cells was part of this picture that was added to the more traditional threat picture. NATO recognised that terrorism can create international instability and that the modern, open and increasingly technological and globalised society is vulnerable. Then came September 11th, and the threat picture became reality. Then it is important, I think, that we do not lose focus in the debate on the fight against the terrorist attacks, as I believe SV has done completely. Nobody disagrees that the fight against terrorism must be long-term and that we must look at the causes. We must have both political, diplomatic and military instruments. It was necessary to remove the heavily oppressive and brutal Taliban regime, where bin Laden's people have been an integral part, yes, actually part of the government, to the extent that you can talk about government in the Taliban regime. I am surprised at the SV's sloping safety, to use their own expression, and the lack of willingness to draw the consequences of their own attitudes. When did SV take up the repressive terrorist regime of the Taliban and their protection and not least integration of bin Laden's network? And what would the consequences be if the military actions were stopped before the pressure on the Taliban regime became so strong that now, as we experience, they are hopefully being removed from Afghanistan and we get a broad-based regime where the United Nations plays a role? It is also a little strange, I think, that SV supported the military actions against Serbia, while in this case, where there is a significantly worse regime – they can almost not be compared – it is completely impossible to communicate with them in terms of measures against terrorism and the Taliban regime. Nationally, we need to think fundamentally new in our defence and security policies in order to follow up the needs, demands and obligations of Norway's NATO membership, but above all to ensure the security of everyday life for most people. Social security and preparedness must become an important task. I register that the government will provide a strategy message based on the Vulnerability Committee's setting, and meets it. The risk picture has always been a reflection of developments both nationally and globally, and we need to keep following that. But then we have to be prepared for the unpredictable, which in the short term can change both the international situation, the balance of power and not least our security policy. The work after 11 September shows not only how vulnerable we are, but also how many areas of society need to be involved in the preparedness and defence of our country. What kind of capacity does our health care system have if a reagent tube with bacteriological weapons is crushed at a sports arena or a music festival? How many places for third-degree burn do Haukeland have hospitals? How is the municipal emergency response in Norway? And how is the Norwegian defense equipped to face a possible terrorist attack? We need to know what means we are going to use against bacteriological weapons or against the development of terrorist cells in Norway. This is why a major change in the structure and organisation of the defence is also necessary. Coastal preparedness has therefore become more important. Therefore, cooperation between civil and military preparedness becomes an area that we need to look specifically at in the future. Therefore, as a nation, we are dependent on stable international framework conditions and a strong NATO. That is why we are dependent on cooperation with the EU's defence and security policies and on increased commitment to our relationship with Russia, including Russia. to implement and deliver substance to the northern dimension of the EU. 11 September 2001 has not only shown us that new threats are in other parts of the world or in our neighbourhoods. They're here, and they're the biggest challenge of open and vulnerable democracy. Let me join in what Kristin Krohn Devold started with, that is, that the debate we have today represents what terrorists hate the most, but that we want to protect.
ParlaMint-NO_2001-11-15.ana.ud687e784	I noticed in the picture on the first page of the Evening Post today by an Afghan woman. It showed a whole face, a strong face, not just the eyes, which is what we've been used to seeing. And it says a little bit about the possibilities that now exist, because the Taliban regime is a very repressive regime, which has many violations of human rights on its conscience, especially women have been suppressed. So it's this regime that's on the waving front and on the retreat. It provides opportunities for this society, but it's far ahead, and they're probably going to experience a lot of difficulties. The debate we have had here today has shown that there is broad consensus between many parties. SV is not part of this consensus, but SV does not have anything very good in this debate either. The fight against terrorism involves much more than the situation in Afghanistan. But I still want to link my comments to Afghanistan, not least because we have seen a very big change in the military, over the last few days. It underlines that it was important to follow the arrangement that had been agreed upon, that it was not right to implement a bomb stop, and it was right to get as far as you have done before winter really gets in, and before we get the humanitarian situation also linked to winter inwards. It is a bit of the same thing that we can learn from this debate that we learned from the debate on Kosovo. Many are concerned along the way, but it has been right to hold on to the position. I think there are two important issues that must be at stake. One is that it is a long-standing problem that is now to be solved in Afghanistan. Åslaug Haga used the term danger of civil war. Yeah, there's been war and unrest in this country for 23 years, that's what we're now taking in. And the second is that the humanitarian disaster has been there for a long time, it has not been created this harvest. I just came from a meeting in the United Nations where Afghanistan was very central. The UN Special Envoy provided a so-called road map on how to approach the policy solution, a wide-ranging road map. But it is based on the important premise that the solution must be anchored in Afghanistan itself. It is not useful to push solutions from the outside. The UN may have the facilitating role, but it's all the peoples who have to be there and have ownership of the process and the result themselves. This applies not least to the Pashtun people, because it is true that everyone in the Taliban is Pashtuns, but not all Pashtuns are Taliban. It is therefore necessary to provide a broad solution. It's important that the North Alliance now does not retaliate. It is important that the outside world is very attentive and pressured not to do so, and that is what the Security Council resolution says a lot about after a Norwegian initiative. It is a constructive approach to the role of the UN among all the Member States, it is a great support, and I think we can actually see the UN as we wanted to see it, when we are now going to go further in the reconstruction work in Afghanistan. There are already UN personnel on the way back, and they will be at the heart of both the political solution and the reconstruction process itself. In terms of reconstruction, we must remember that that concept is not primarily linked to the bombing of this harvest, but it is linked to the outcome of many decades of civil war and major humanitarian problems. The task is overwhelming, it's difficult, but it's important to do it. Norway will have an important role to play in this work. From the turn of the year, Norway becomes the president of the so-called Afghan Support Group, and we are currently studying how to approach this Presidency. We think it's going to be a big problem – a problem that Norway likes to deal with. I should have liked to have had time to get into the party political debate that SV has put up with. It is – fortunately – not enough time, and I am very aware that I also do not have the freedom of the staging representatives for as tough polemics as I could have liked. But I just have to say, you big world what some people can make themselves believe about the Right! It's probably a part that has a certain need to adjust to reality and see what we really stand for. Unfortunately, some replicators have not succeeded today.
ParlaMint-NO_2001-11-15.ana.ud687e813	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e816	I think I'm going to try to avoid challenging the foreign minister's dignity in the Chamber, but I would like to stress that what we've been holding out in today's debate is the long-term perspective primarily in relation to what actually works in the fight against terrorism. The Minister of Foreign Affairs is in a very difficult situation with regard to the actual situation in Afghanistan, which is unbridled, and which will require very much attention and many initiatives by Norway during the coming period. With regard to the long-term issues, which are about how to prevent the establishment of new and more fanatical environments and the recruitment of terrorists in five or ten years' time – for this form of extreme terrorism, where people are putting their own lives at stake, it is terribly difficult to defend themselves against – I would like to know what strategy the Foreign Minister intends to pursue internationally to prevent further recruitment to terrorism. This applies both to the human rights situation in Saudi Arabia, which has now been burdened and broken with those who are behind the actions that have been against the Taliban, but, as we know, the home country of many of those who have carried out the terrorist actions in New York, and to Turkey, where moderate Muslim parties – if they had changed religion, they would have been somewhat like the Christian People's Party in Norway – banned, and how often is such that if one is to do democratic opposition work, one is drawn to the only place where it is possible to meet, namely the mosque. And that means in the long run that you can get more extreme environments than you would have in democratic societies where there is an opportunity for open debate and where elementary human rights are respected. I would like to challenge the Minister for Foreign Affairs to say something about how he intends to fight terrorism in the long term.
ParlaMint-NO_2001-11-15.ana.ud687e827	Let me first say that I thought it was terribly sad that Kristin Halvorsen was not willing to challenge my dignity. I had a few things I would have liked to say, but I realize that she is not particularly concerned about hearing. I'm also a little confused about the next question. I almost see it as an invitation to keep the Prime Minister's posts one more time, because it was a broad account he gave to the Storting. But if you think about what elements we should have in the issue of international combating terrorism, there are probably two important tracks – but it must not excuse the terror that is here. First of all, I believe that it is very important that we work for open societies, for democratic societies, for market-economy societies, where tolerance stands as an important part of the value set. The second is that for Norway, it must be important to have a strategy to achieve economic security in large parts of the world that do not now have it. We are pursuing this through better market access to the rich countries, we are pursuing it through aid activities, as two important policy tools in this context. But as simple as saying that terror is a poverty issue, you can't do it. Bin Laden is as you know, a very rich man. And it's quite obvious that for the core of this organization there are other reasons. Thirdly – I understand that Thorbjørn Jagland has called for earlier in the debate today – we believe it is important to continue work on reconciliation and peace in the Middle East, where I think everyone agrees that it is the Mitchell report that is the basis for what is to be done. It's important to get control of the violence, and then you get to move on from there.
ParlaMint-NO_2001-11-15.ana.ud687e836	As if the problems in Afghanistan are not big enough, with bin Laden on Afghan soil, war and rival groups that have fought each other for decades, Afghanistan is also located in an unstable area of the world. The diplomatic work on all the neighbouring countries of Afghanistan must therefore be intensified in our view. Afghanistan's neighbouring country must be involved in the ongoing international work, and we must ensure that these neighbouring countries have a humanitarian rather than a political issue with Afghanistan. This will definitely be a challenge for Norway, not least as head of the Afghanistan Support Group. Norway is per year. Today, very weakly represented in the region, and my question to the Minister for Foreign Affairs is about the Government in the future, not least on the basis of the leadership responsibility of the support group, will strengthen Norway’s diplomatic presence and involvement in the region around Afghanistan.
ParlaMint-NO_2001-11-15.ana.ud687e843	It is such that the responsibility that Åslaug Haga mentioned is a responsibility that we get from 1 January next year, and that means that this government is now working on the arrangement for how we are going to tackle this work. It's a work where the framework conditions evolve strongly day by day, as we've seen, and it's very important now to get a set-up for this work, so that the different actors don't get into each other's feet, but that you really do work together, so you get the maximum use of the resources. So this work is developing. The government hasn't been sitting for more than three weeks, so I'm not saying we're done with it, but that we're going to be done with it in good time. What organizational consequences we need to subtract from it, I have to come back to when we see it closer to the arrangement for this work. But I fully agree with Mr Haga that it is important that the surrounding countries respect the political processes that must now be initiated under UN leadership and organisation. I guess my impression is that in many ways, too, it could be the result. I think everyone is aware that if we are to prevent a further escalation of the flow of refugees, it is important to achieve a safe development within Afghanistan, so that individual groups of people do not extend this to similar groups in other countries. I believe in many ways that the fact that the UN now has such a central role in the future will ensure that these things are going to be properly coordinated and done.
ParlaMint-NO_2001-11-15.ana.ud687e850	I think the Foreign Minister is moving on a very general level when it comes to what actually works in the long term in the fight against terrorism, and how to ensure that we prevent increased recruitment to terrorism. I can ask quite specifically: will the Foreign Minister take initiatives towards the United States and Saudi Arabia in order to put pressure on that regime's violation of human rights, so that one can ensure more democratic development? Question 2 relates to Turkey: Is it such that the Foreign Minister will take up and provide an international pressure against Turkey in relation to developing Turkey into a more democratic country, with greater room for political expansion and participation? In both of these areas, in the long term, what kind of pressure is put on these countries is actually important. And they are now allies in the fight against terrorism. Then I'm a little surprised by the strategy I saw the Foreign Minister had in connection with his meeting with Powell. It turned out from the newspapers – roughly speaking – that what was happening to Jan Petersen in his meeting with Powell was not to say anything that could provoke, for here it was to do a communication, and it was supposed initially to assume that one critical word was not said. But I don't think it's particularly interesting for some foreign minister to talk to someone who just nodded and agrees with every single word that comes. On the contrary, it must be much more important for a foreign minister, in such a difficult situation, that it is certain that serious objections and aspects of a conflict are raised. Is it really such that the Foreign Minister intends to continue to have that strategy in relation to the United States that it is not a question of giving one critical word, because then you become unfamiliar?
ParlaMint-NO_2001-11-15.ana.ud687e863	Now came Kristin Halvorsen where I had hoped she had come in the first round – after listening to a part of the debate. I just have to say first what she said to the first question she asked, that she thought I gave a little general answer, that general questions would give general answers – and the question to Kristin Halvorsen in the previous round was quite general. But then to the question of the relationship with the United States. I have been listening to the debate here, and I have the impression that it is in SV as well that you don't have an independent position unless you mean anything other than the United States. And you're going to have to add up to this on every occasion. It is not true that in some areas Norway does not have opinions other than those of the United States. And if Kristin Halvorsen needs proof of that, I just want to say that I made an article in New York now about the test stop agreement that hardly was American politics, to say it that way. It's coming naturally, and it's going to be okay, and it's a wonderful objection that from SV's point of view you're trying to say that I and my party are so-called nodded dolls in relation to the United States. That's not right. But at the same time, I stress that we have a very fundamental community with the United States, not least now, where there has been a need to stand together in the fight against terrorism, and where it is important to hold together a great international coalition to repress terrorism, and to reach an agreement on what needs to be done. That coalition has held very well together, and I think Norway has done the right job in that context. But then it's like SV obviously needs to vent its anti-Americanism at any time. Now, of course, I know that one should not reproach the leopard because it has spots, and the SV was in many ways started with very strong elements of anti-Americanism. But the fact that, like absolutely all the time, you have to disagree, even in the difficult situation we are now facing, I think I'm going too far. We talk about the things we agree on, and we talk about the things we disagree about. And I'm going to have many, many opportunities to talk to Secretary of State Powell in the future. It's that simple. With regard to the question of influence in a democratic direction, there is a general desire from Norway towards many countries to ensure that we have a move towards democracy and human rights. It may require slightly different strategies in relation to different countries, but we can come back to that on later occasions.
ParlaMint-NO_2001-11-15.ana.ud687e878	Several have not asked for the word for a line.
ParlaMint-NO_2001-11-15.ana.ud687e881	There are some moments in the story that make us stop. On 11 September there was such a day when there was a difference between before and after. We have seen terror and violence before, but not in such a comprehensive, cynical and planned way, with as many consequences as we saw on 11 September. Norway participates in the alliance against terrorism. It is a broad alliance, an alliance spanning continents, cultures and religious denominations. And it's an alliance that's proven strong enough to stand firm, even in demanding moments. The fight against terrorism cannot be won by military means alone. That is why the fight on many fronts is being waged: by political action, among other things. through clear and broadly anchored decisions at the UN, through financial measures, including: through rapid and comprehensive action against financial networks that have supported terrorism, through stronger police and intelligence cooperation and through a strengthening of national preparedness. Norway has made an active contribution under the Labour Party Government and under the current Government. This is also most about our own security, and the Government has the full support of the Workers' Party for a clear and clear profile. If the battle cannot be won by military means alone, it cannot be won without the use of military power. From our part of the world there is a heavy recognition, as it was when NATO took up military power in Bosnia and Kosovo. It is understandable that many feel uncomfortable and ask questions when the images of the acts of war reach us. Now the fights have brought the Taliban to a break. A grossly oppressive regime may be on its way out. And the terrorist network has suffered lasting damage and deterioration. It says quite clearly: this would not have been possible without the targeted use of military power. So we are approaching the time to build the new Afghanistan. It is a task primarily for Afghans, but where the UN, the countries of the region and the whole world community have a role to play. It must not be the way it was after previous warriors, that the world is turning its back on the Afghan people when the acts of war ebb out. For a long time, several have pointed out that without peace in the Middle East, the world will be insecure. It's even clearer now. World society must contribute in such a way that both parties start negotiations on peace. Bin Laden uses the situation of the Palestinians in the Middle East as part of his argument for his actions. There is no doubt that the conflict is part of building up under frustration, which is becoming fanaticism among many Muslims in the Arab countries. It is too easy to say that poverty is the explanation of terror. Osama bin Laden doesn't come from poor corps. And the Taliban community that fought for, has brought Afghanistan more poverty, oppression and underdevelopment. But it's good coverage to say that where poverty comes in, terror can more easily rot. The right to development, the right to health, the right to education and the security of fundamental human rights are important for all people, but are also important in order to create a safer world. We feel that the attacks on New York must also be understood as an attack on us all. Similarly, we must perceive the poverty and distress of others as an attack on our values. We must take an active part in the global fight against poverty. I am therefore pleased that the government has chosen to stand by the increase in the aid budget. What happened on 11 September has had many consequences. It has become clear that we need more policy, not less. It concerns both nationally and internationally to address the challenges related to the terrorist threat, but also in order to ensure international security. In the last decade, the world has become more global, not least economically. With it also follows a vulnerability that we haven't seen the depth of before it narrowed in New York. The only answer to this is that policy must follow up on an international level. The solution lies in more democracy, more community and stronger political visions, followed by concrete political action, in a world where too many people live in poverty and oppression and without fundamental human rights.
