ParlaMint-NO_2001-06-07.ana.ud2377e87	The representative, Inger Stolt-Nielsen, will make a private proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e617	The ‘Government's Environmental Protection Policy and State of the Reich’, RM, was presented for the second time in winter. The communication is in many areas a follow-up and a continuation of objectives and instruments in the communication addressed by the Stortinget last autumn. It is related to the need to look at environmental protection policy in the long term and to the fact that instruments often need time to deliver the desired effects. On this basis, I have taken note of the Committee's comments on the further work on RM. In this new communication, I believe that we have moved a little further towards a more precise description of the state of the environment, objectives and instruments, as the Committee on Energy and the Environment asked when the previous communication was discussed. The message has four support columns: Environmental protection policy must be part of all sectors and policies. International environmental protection work needs to be strengthened. A better local anchoring of environmental protection policy is needed. Industrial cooperation shall continue. Let me also highlight some of the most important measures. We will follow up on the proposals for further development of waste policy presented in the previous RM and continuously assess the need for adaptations in the use of instruments. In particular, it would be appropriate to look at the packaging agreements and the final treatment charge. I would also like to point out the need to extend the responsibility of business for the proper management of their own waste and to clarify the boundaries between the responsibilities of municipalities and business in this area. In the light of the Storting's treatment of this notification, we aim to promote a proposition on changes in the pollution law. We will continue the robbery management based on the main lines and targets that Stortinget has drawn up. We shall take sufficient account of the domestic and buffer industries, while ensuring viable predatory game strains. For the year 2000, the management area of the wolf was demarcated in relation to areas with a lot of sheep on the estuary. Within the administrative area now adopted by the Government, a limited number of family groups of wolves will be accepted, in line with guidelines adopted by the Stortinget. There will also be efforts to prevent damage to sheep. Incidents will be committed outside the administrative area, and licensing may also be available. During this year, the population shall draw up management plans in cooperation with the municipalities and organisations concerned, and the municipalities will be more responsible. We want to focus more on environmental considerations in watercourse management. The government has stopped the development of the projects Bjøllåga, Melfjord and Beiarn. These watercourses will be added to the Watercourse Protection Plan. The work of complementing the protection plan, the work of the national salmon rivers and fjords and the implementation of the overall watercourse plan is under way. We want to ensure that reductions in emissions of nitrogen oxides are achieved as quickly as possible in line with our commitment in the Sofia Protocol. The total emissions of Norway were 1 pst in 1999. higher than the emission ceiling in this Protocol. Preliminary figures for 2000 show that emissions were then 5 pst. under the obligation. We aim to implement the most cost-effective measures as soon as possible to avoid the situation in 1999. These are measures that will also be necessary to comply with the even more stringent emission obligation of the 1999 Gothenburg Protocol. The efforts to meet the obligations of the Sofia Protocol will be seen in the context of the implementation of the EU Integrated Pollution Control Directive, the IPPC Directive. We will ensure that reductions in VOC emissions are achieved as soon as possible, in line with the Sofia Protocol. State pollution control has been subject to reduced VOC emissions from loading and storage of crude oil on the base under the pollution law. The threat of man-made climate change is the most serious environmental problem facing the world today. The Government will therefore present its own big message with proposals for action in the short and long term, in line with the Kyoto commitments and intentions of the UNFCCC. In the Communication, presented later this month, we will propose a concrete follow-up to the nomination of the Committee of Quotas under a Kyoto regime and various measures to ensure demonstrable progress in 2005. I agree with the majority’s clarifications on the importance of this and the need to implement national measures without waiting for full international agreement. I share the majority's concern that the United States is considering withdrawing from the Kyoto Protocol and will therefore stress the importance of Norway's continued drive towards as broad an international consensus as possible. In line with the government's efforts to extend the responsibilities and powers of municipalities in general, we will strengthen municipal environmental protection. Local authorities will be given increased responsibility, authority and freedom to choose the level of ambition and means to address local environmental challenges. At the same time, the State will clarify its expectations for municipalities regarding environmental challenges of a national or supranational nature in areas such as climate, health and environmental chemicals and biodiversity. I have noticed with pleasure that a broad majority of the committee supports the Government's increased commitment to the municipalities in the environmental protection policy, and like the majority of the committee, I am also very concerned that the municipalities get resources and competence to carry out the new tasks. We will develop a comprehensive and comprehensive policy for the management of marine and coastal areas. This initiative will also be widely discussed in the next major communication on the Government's environmental protection policy and state of the state of the state, and will form the basis for Norway's preparations for the fifth North Sea Conference in March next year. In the context of the new EU Water Resource Management Framework Directive, the Government will review Norwegian legislation and practices with a view to more coordinated management of watercourses, coasts and marine areas. With regard to the Committee's views on maritime safety and oil protection, I would like to refer to the statement mentioned in the revised 2001 national budget. In the field of oil protection, the SFT has drawn up analyses and proposals that will be used as a basis for the further work of the Government on the matter, and I will also come back to concrete proposals in the 2002 budget. I have noticed that Stortinget wants a cost-effective solution for the collection and destruction of PCB-containing insulating glass panes. I have already started working to improve the situation. The same applies to proposals for action and cooperation with business, including a possible fund for the clean-up of old environmental sins, where it is important to ensure a future organisation that follows the polluter-pays principle, while taking part in the responsibility of the authorities. I will also come back to this in the context of the 2002 budget. I am pleased that the Committee in its position is concerned with urban development and the need for better public transport. In cooperation with regional and municipal authorities, we will contribute to the development of overall urban area and transport plans, and we will also invite cities and urban areas to experiment with the reorganization and financing of urban transport. This will strengthen the potential for overall priority of investment and operation for all modes of transport, in the context of land use and urban development plans. During the spring, the government has provided two key environmental impact assessments: the open-air message and the biodiversity message. The government's policy in these areas has been fully addressed and the communications will be discussed in this Chamber at a later stage. Let me mention here the important priorities in the field of outdoor life: We will implement further measures to ensure public access to the coastal zone through continued protection of important open air areas, clarification of the right of movement and increased guidance to municipalities and counties. We will also provide children and young people with opportunities for a physically active growth in close contact with nature, by ensuring green areas in the neighbourhood and in the neighbourhood of cities and towns. The biodiversity notification has the sub-title ‘Sectoral responsibility and coordination’, which illustrates the joint responsibility of all sectors in this area. There is an action plan in which 14 ministries have contributed their own chapters, and a management system in which monitoring and monitoring, together with research and information, are to provide more efficient and predictable management of biodiversity. In addition, efforts to coordinate economic and legal instruments will be focused. For example, the bio-diversity law committee has: just started their work. The Labour Party Government budget for 2001 ensured a large increase in the work of cultural memories. There can therefore be no doubt about the willingness of the Labour Party Government to invest in this area. I will, of course, ensure that the concrete cultural memory campaigns on which there is an agreement between the Government and the Stortinget are followed up in the context of the budget. I also refer to the follow-up to Stortinge's comments on the organisation and funding of cultural memory. I have also explained this in various question-time questions. I recall the adoption of the Stortinget proposals in this area late last year, and my follow-up will therefore be reflected in the 2002 budget. With this new communication on the government's environmental protection policy and state of the state of the state of the state, together with the ministry's environmental action plans, we have been given a stronger framework for environmental protection policy and an opportunity to implement and follow up our environmental policy objectives.
ParlaMint-NO_2001-06-07.ana.ud2377e679	It's going to be line change.
ParlaMint-NO_2001-06-07.ana.ud2377e682	When the Minister of Environmental Protection was in Stortingen during the last spontaneous Question Time, Stortinget had to remind the Government of the need for respect for the Stortinge in connection with repeated postponements of the climate communication. Recently, it was revealed that funds for the Riksantikvaret that Stortinget granted to Heddal Stavanger Stavanger Cathedral and Utstein Monastery have been redispatched to operations and computer systems, and the funds have even been cut. Then we have received new information now showing that this has happened not only in these areas, but also for coastal culture and ship protection and technical and industrial cultural memories. The increase to the Riksantikvar under cap. 1429.72. of 21.8 million. kr, is distributed for other cultural memory purposes. In addition, contrary to Storting's priorities, as far as we have been informed about, the Riksantikvaren has transferred 4 million. kr from these items for operating expenses and for the purchase of computer services. This is totally unacceptable! Here the Riksantikvar operates completely contrary to the clear priorities of the Storting. Are Storting's priorities to be seen as advisory for the Riksantikvaren and for the Council of State? That could hardly be the case. This is binding, and it is the responsibility of the Council of State to ensure that the will of the Storting is realized. In addition, the cultural memory fund, which was adopted, was to be set up by 2000. Nothing has happened, and now the Workers' Party is not even involved in the decision on the establishment of the Cultural Memory Fund within the State budget for 2002. Should it become a habit that we have to remember the Government about the decision of the Storting? Actually, that's not acceptable. The decision of the Grand Duchy shall be binding on the Government. I would like to ask the Council of State if she will now take responsibility for cleaning up the Riksantik product? It doesn't just seem like this is a case, since we're now experiencing several revelations – it's later to be systematic. Will she clean up the Riksantikvaren and ensure that the Storting's priorities are realised? And will the Council of State now ensure the establishment of the Cultural Memory Fund, so that it becomes operational from 1 January 2002?
ParlaMint-NO_2001-06-07.ana.ud2377e698	I remember the great effort that is made on cultural memories that is in this year's budget. I also remind you that that access to transfer between different items in the budget of the Riksantikvaren, which has been going on for many years, is there because one should have the opportunity to secure the different budgetary priorities of the Storting. There are several important priorities in this year's cultural memory campaign. They are primarily linked to the strengthening of the concrete cultural memory measures such as ship protection, industrial cultural memories and stave churches, but also to the overview, monitoring and recording – not because it is important in itself, but because it is important for this very concrete effort. Of course, it will be my job to ensure that the priorities of the Stortinget in the field of cultural memory, which are also the priorities of the Government, are best followed and, above all, to ensure that we have a concrete focus on the individual cultural memory actions.
ParlaMint-NO_2001-06-07.ana.ud2377e703	I record that the Council of State boasts of the great effort the Workers' Party has made on the cultural memory side. Then I think with respect to notifying you that it was in agreement with the centre parties that the cultural memory budget was increased by 6 million. kr. In the Right's Alternative Budget, we were in favour of an even greater investment in this area. In the name of justice, it must be said that the Workers' Party has been the brake block when it comes to prioritizing cultural memory protection, compared to both the Centre Parties and the Right. I don't think the Council's answer to Frafjord Johnson's question is satisfactory. The question is what the Council of State has done to ensure that the priorities of the Grand Duchy are followed up. What has been done to ensure that they are followed up? We record that Storting's priorities have not been followed. The size asked for increased appropriations for priority purposes, while the result is that the aid has been reduced. The Council of State indicated that the access of the Riksantikvar to priorities between the various items should be in order to ensure the priorities of the Stortning. The situation is that the opposite has happened, that the Riksantikvaren has used the access to re-prioritisation away from Storting's priorities. The majority of the Storting pointed to the Heddal stave church, the Utstein monastery, the Stavanger cathedral and the technical and industrial cultural memories. These have been prioritised down. We want to know what the Strategies have done and will do to ensure that the Storting's priorities are followed up in 2001.
ParlaMint-NO_2001-06-07.ana.ud2377e712	It's a fact that the Labour Party government has made a huge increase in the cultural memory field for this year, but I'm still the first to be very happy that one through the budget agreement in Stortinget got a further increase in this very important area, and I want to do what I can to keep this increase going, so that we get the investment in cultural memories that we deserve. My follow-up is about entering into the individual proposals adopted by the Storting in the field of ship protection, industrial cultural memories and, in the case of stave churches, to mention some of the most important. I would also like to do this in the coming time, with a view to bringing about the concrete strengthening that these cultural memory campaigns deserve, and I would like to ensure that we achieve a good balance between these very concrete measures and measures to be taken to record cultural memories, which will also be important in order to strengthen this. But it can never be that registration itself should go at the expense of getting at this concrete bet. So here's an ongoing work, and I want to ensure, of course, that the government and the Storting are behind in this area.
ParlaMint-NO_2001-06-07.ana.ud2377e721	I assume that it is the state of the kingdom that we are debating here and not revising the national budget, as the representatives of the Christian People's Party and the Right clearly add up. The revised national budget shall be examined next Friday. As is well known, Norwegian researchers have long known a means of cracking the salmon parasite Gyrodactylus salaris. The means of this is an aluminium-containing liquid that kills the salmon parasite without damaging either the salmon or the aquatic environment. Researchers are now going to use Lærdalselva for research, as a teaspoon. Will the Council of State ensure that other rivers, too, are included in this research as it uses a drug that neither harms salmon nor other lives in the river, but only takes the crack of the salmon parasite? During the budgetary procedure last year, the bulk of the grossing-up granted, all except the Advance Party, was 5 million. kr to eradicate all life in the Rock Skervstrak using the Rotenone. The appropriations were made following the recommendation of the Council of State. Since the Council of State knew about the aluminium method, does she think it was right to poison the Steinkärvassrätte with six and a half tons of environmental poison to kill all life in the river? And: has Rotenon been used for the last time in Norwegian watercourses?
ParlaMint-NO_2001-06-07.ana.ud2377e730	Measures to ensure wild salmon strains and to combat salmon and Gyrodactylus salaris are among the most important national environmental tasks. That is why the Government has worked hard to find good solutions that can be more accurate in eradicating Gyrodactylus salary, without imposing major new environmental challenges on ourselves. Unfortunately, it is clear that we do not yet have any patent solutions to achieve this, and it is also true that rotenone treatment has been necessary to attack Gyrodactylus salaris. This has to be done with great caution, but in some cases it will still be necessary, while at the same time using all the forces we have to find out which measures can gradually be replaced for this, which can work even better and not lead to as many other environmental challenges as rotenone provides.
ParlaMint-NO_2001-06-07.ana.ud2377e735	In my speech earlier today, I was pleased that the Government will transfer a greater share of the responsibility for environmental policy from the central levels of local communities and municipalities. At this point, the government of Stoltenberg continues to lead the policy to the central government, and what is happening here is fully in line with the central party's view of the matter. Now, the Councils of State have also received strong support from the Energy and Environment Committee to bring more power from central to local level. And that state council said in its article today, I perceive as a signal of the will to follow up. But what's hanging over us all — it's also up to the Council of State — is the question of theory and practice, and so it's natural to ask the following questions: Will the Council of State, for example? the fact that local elected bodies play a more important role in predator management?
ParlaMint-NO_2001-06-07.ana.ud2377e741	If we are to achieve the strengthening of environmental protection policy that we are totally dependent on because of the enormous environmental challenges we face in the future, I cannot see any alternative to strengthening local environmental responsibility. It is in this way that we can achieve a stronger anchoring of environmental policy, better cooperation between local authorities and non-governmental organisations in the field, and also gain cooperation where business is included. So this we absolutely have to make sure to follow up in practice. On the other hand, strengthening local environmental responsibility also depends on very clear national and international signals. It is not that a municipality or community can work in vacuum if we are to get a stronger environmental policy. The predatory issues are issues that need national guidelines that follow international guidelines, but which certainly also allow us to have greater local responsibility, and I think that it can also help to prevent some of the more conflicts we see around. I see that the efforts we have made with more local responsibility in predatory policies have led to this – but based on national guidelines.
ParlaMint-NO_2001-06-07.ana.ud2377e748	I noticed that, in connection with the mention of cultural protection, the Council of State stated that there can be no doubt about the government's efforts in these areas. And obviously it cannot, because when dealing with the revised national budget, a majority believe that that effort is far too low. As you can see, there may be no doubt about the government's investment in those areas. But I expect the Council of State initially had different opinions about what she said. I also noticed that with regard to the obligations of an international climate agreement, the Council of State states that the Government should continue to be a driver of wide international agreement on such an agreement. In view of the wording when it came to the previous problem, i.e. about cultural memories, where there should be no doubt in an area where there is too little movement, I would like to ask the Council of State: what kind of driving role is the Council of State thinking that the Government should have on this issue? Is there a driving role for a type of agreement that would be more appropriate for Norway, and thus more harmful to the climate? Is that how the Council of States thinks you're still going to be a proponent? Because that is the role that Norway has played for now. Or is it that the Council of State here thinks that its driving role will also have consequences for Norway in terms of environmental and climate policy, for example in relation to gas power stations, in such a way that Norway has to change its climate policy with the consequences it has? Can the Council of State give a more precise answer to what she means by such a driving role, and also if she wants to have a driving role, what could be the reason why that notification is still not available?
ParlaMint-NO_2001-06-07.ana.ud2377e755	It is a fact that the focus on cultural memories in this year's budget is greater than it has been in many years. Nevertheless, it would be absolutely desirable to strengthen the efforts of the years to come. We have so many important cultural memories that it's absolutely more than enough to spend the money on. The government is a driving force in the process of reaching a binding international climate agreement. It is about making the Kyoto Protocol come into force. It is the agreement that the world community needs to have in order to start work on reducing greenhouse gas emissions. It is not correct that the Government has a defensive line in this work. We want an agreement that will have consequences for national climate policies in Norway and in other countries. It will also only be the first step, because – as has been pointed out by several in this room – the climate challenges will require us to go to new emission reductions after the Kyoto Protocol is fulfilled. But now it's about getting that deal on their feet, and in that work, every country is doing the best they can now. We're waiting for and pressing the United States in this work, but we're crystal clear that we want to move on with the climate work anyway. We cannot give up on the framework of an agreement that the world community has negotiated over the last ten years.
ParlaMint-NO_2001-06-07.ana.ud2377e762	So the chord change is over.
ParlaMint-NO_2001-06-07.ana.ud2377e765	Now it's limited how deep we, who are not represented in this committee, can go into the position, but since we have the ecological balance and sustainable use of marine and earth resources as one of our main issues, we feel absolutely need to get up and comment on parts of the position being addressed today. Then we would like to stress that we are pleased that the problem of deforestation has been addressed in the communication, and that the importance of doing something effective to re-growth the tare forest is underlined by the Committee. On the part of the Coastal Party, we would like to stress the importance of restoring ecological balance in the sea by balancing the extraction of fish and marine mammals, and we are pleased that a research initiative is being undertaken in this area. For what has caused this desertification on the seabed, where the crow's balls are spreading uninhibited? It may have several reasons, and we are pleased that it will be researched and that it is emphasised by the Committee that it is important to do something about this. More research is also needed on algae problems. We are pleased that the Norwegian Shipowners' Association announces that they wish to participate in active cooperation to resolve the problems locally until international rules have been put in place, and we therefore support the Committee's call for the Government to put this problem on the agenda at the North Sea Conference in 2002. We also see this enquiry from the Swedish Shipowners' Association as an initiative to implement local measures in line with the actions of individual countries. We will, of course, support this, but we find it quite remarkable that the Workers' Party does not also find it possible to support this remark. In the case of the large predators, I have to say that we in the Coastal Party are controlled excited, to say it carefully. However, we would like to stress that we support the Committee's recommendation that the core area of yours be phased out if the summer's evaluation shows that the stock is larger than expected. We believe that parts of today's policies give a growing predatory strain priority over established settlements and traditional primary industries in vulnerable areas. We also think it is worth noting that Sweden’s enthusiasm for these large animals can be explained to a large extent by the fact that Sweden has pursued a centralisation policy that has depopulated large sections of border areas towards Norway. The coastal party does not want similar developments in Norway, but we will come back to this when new predator reports are presented in the next period. The Coastal Party will also announce support for an action plan to combat PCBs. This applies to important areas for the whole of Coast Norway – with all the ports and all the pollution lying there, which are old sins in which all the parties on the Stortinget share a shared responsibility to be involved in clearing up. We are otherwise pleased that the Committee stresses the government's responsibility to do its utmost to stop the planned nuclear transport along the Norwegian coast. The threat these transports pose to our coastal waters is difficult to overestimate. On the part of the Coastal Party, we would like to stress the clear responsibility of the Government to put a great deal of pressure on the United Kingdom to stop emissions from Sellafield, which we know is causing us great damage to the coast. As far as the cultural memory fund is concerned, I am glad that Hilde Frafjord Johnson had a line that completely covered what the Coastal Party believes in this area, and also that Jan Tore Sanner so clearly underlined where the responsibility lies, and that in the Stortinget one is very dissatisfied with the way the Government has dealt with this question. It is clear that, in the future, we will need a lot more funding in this area than we see today. Part of our construction is in critically poor condition, and if we're to be able to take care of our common national taxes, then we have to pay for it. Along the coast there are also undiscovered taxes that will require large amounts to be collected from the seabed and taken care of. These are the questions I raised earlier with the Minister for the Environment. But I would like to stress that, so that one in advance prepares for the fact that large counts may be needed in order to provide national taxes of great importance to our own understanding of history and also to international history research. We support the proposal for the allocation of a cultural fund.
ParlaMint-NO_2001-06-07.ana.ud2377e786	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2001-06-07.ana.ud2377e789	Let me just start by trying to correct a manifest misunderstanding that has arisen in a succession of lines between Jan Tore Sanner and John Dale on defence facilities. The central parties insist that defence areas released in the context of defence conversions should, as a general rule, be open to the public for open-air purposes. We're going to make sure that from the center parties. In the case of defence buildings, it is put up for the sale of buildings, properties and land that we believe together could amount to approx. NOK 2 billion. Not least this is the case in central strata which could generate relatively high revenues. The areas which are not suitable for open-air use mean that the centre lots can be disposed of. With regard to the debate that has taken place today, many speakers have emphasised that there is a general consensus on key environmental policy challenges, and that is partly correct. But at the same time, it is also important to stress that it should not be deduced that the dividing lines are in the process of being erased in the most important areas. In climate policy, which is the biggest challenge we have, the edges are relatively sharp yet, and there is no reason to hide that in the relationship between the centre parties and the other parties, at least the Labour Party, the Right and the Advance Party, we in the centre parties have a completely different way of attacking that challenge than these other parties want. I think it is important to underline it in the middle of a concerted committee, which would like to be very agreeable and reconciled towards the end of the session. Then to the Minister of Environment's relationship with Stortinget. There are three important points: the Riksantikvaret, the cultural memory fund and the climate communication. All three are examples of the fact that the Storing has actually had to go in and remind the Government that it will follow the decision of the Storing. It's going to be a challenge for both growth and government in the future in a way to keep an alert eye on whether what's about to sneak into this room is going to become a kind of tradition, if the Storting has to expect us to go close to the Government to see if you're actually following what the Bighold decides. As a result, there have become a little sharper edges on the back of this debate, but in my opinion, the Government itself has helped to ensure that we have received it. My question – to the extent that the Council of State wants to take the floor – is a direct extension of Jan Tore Sanner's question, which I felt was not answered, which went on with cultural memory funds. Will this be established during 2001 or not?
ParlaMint-NO_2001-06-07.ana.ud2377e806	The Council of State is quite right that the Government prioritised the cultural memory work in the budget. It was a significant addition. The size followed this up by adding a significant amount. The problem is that this money does not reach the addressee. This is not just a matter of a simple purchase of a few million dollars, but it is a systematic bottling of this account for priority cultural memory measures, which are used for entirely different purposes. This has a scale that makes it necessary to clean it up. It is not enough for the Council of State to say that a current one will follow. There is a need to go inside and clean up, so that you get this on the rails again. Otherwise, there will have to be consequences for the authority of the Riksantikvaren to redispatch in order to set a priority in line with what the Stortinget has decided, when he actually uses the authority to go other than those who are strung out. It is also the case that the Council of State in this Chamber has repeatedly been reminded of priorities, including: in the case of Stavanger Cathedral. Likewise, this is not fully followed up from the Riksantikvaren, so that it is not only the Riksantikvaren that has not followed up. Nor has the Council of State done well enough. Then I have two concrete things that I didn't have time to go into my article enough. Facilitating the making available to the public of defence properties and lighthouses is an important part of the Government’s policy in the area of the open-air sector. My question to the Council of State is whether she wants to make contact with the Minister of Finance and other government councils involved to avoid that valuable properties, lighthouses, are now to be made a store with, with the consequence that an outdoors council cannot acquire them, and it becomes private that buys them instead. It can't be that the state spends millions of dollars on buying property from others to add it to the public, and then it sells its own properties – the internal files in many cases – to private ones. Here there must be a connection between what the Government does in one area and what it does in other areas. And then there's a specific case in relation to shipping. It also states that one should intensify and work to avoid a breakdown and that one should clarify the responsibilities so that cleaning can take place more quickly. So now there's been a boat outside the municipality of Karmøy since Christmas 1st, 1999, and one can't get to the point. Can the Council of State confirm that this is a matter she wants to look at in order to bring about an arrangement? It says about the means to get this sorted out.
ParlaMint-NO_2001-06-07.ana.ud2377e819	There are two things I want to touch on at the tame of the debate. One is that when we are in the process of producing and, to an even greater extent, looking for oil and gas in the Norwegian Sea and the Barents Sea, it is very important that the Government does not rest on the ground in terms of environmental monitoring and conditions related to preparedness in these areas. We are in the most sensitive areas, where environmental vulnerability is at the top, no matter where we may be in Europe. And it's important that the environments we have in place locally in these areas, whether in the Norwegian Sea or in the Barents Sea, are allowed to participate in development, so that we can get a situation where oil, fish and the environment can go hand in hand, and also have credibility and local upliftment when you're going to start gradually with an even greater degree of production than what's real today. The other relationship I want to record is that there is nothing that pollutes and destroys more along the Norwegian coast than the radioactive substance technetium. Compared to all the other forms of pollution we have along the Norwegian coast today, it has an irreversibility in itself that you do not see or know the reach of. The degradation time of the substance technetium is more than 200,000 years! Now, when we see that UK environmental authorities are applying for new emission permits at the same level as today, for six new years, this has effects along the Norwegian coast. In particular, along the south and west, it may have fatal effects, especially on the industry involved in the marine sector. And I wish that the current government could have the same strength in its protest about the conditions of the discharges from Sellafield, which go with the ocean currents up Skagerrak and Kattegat, which the Labour Party government had ten years ago, cf. then Minister for the Environment, Thorbjørn Berntsen, by his colleague in the British Government. The situation has far from improved; it has become much, much worse. Then the commitment and protests should have been proportionate to the evolution we've seen, because this is the most harmful pollution we have along the Norwegian coast today, and it's forever devastating.
ParlaMint-NO_2001-06-07.ana.ud2377e830	I just have to be allowed to applaud Ivar Kristiansen's posts. It was very eloquent for the concern that exists along the coast. Also, I need to take the word for a little extra post, because of things I didn't have time to take up in my main post. I'm actually asking for something about the king crab in the setting. The King crab, which has come to us in recent years, and which is now on a trek down the coast, is a phenomenon that must be kept under very close observation. What does this growth in our marine areas mean for the rest of our lives? What does it mean for the ecological balance? I would like to stress the need to keep an eye on developments in the areas where the king crab is established and where it is walking, so that measures are put in place to prevent this new species from overstepping established traditional species, and thus tend to distort the balance of these areas in a way that we do not have a full overview of today. Furthermore, a reasonable extraction of this king crab would be commendable. Then, during the debate, a slightly different view emerged of whether central or local authorities should have a primary responsibility for the environment. I would like to stress that the local people have taken care of their own environment until the Storting has begun to assume that responsibility in recent years. It is not always that the decisions taken here in Stortinget are equally fortunate for the local environment along the coast. Among other things, there has been a ban on movement and activity in areas where human activity has helped to maintain a good balance between different species. And where one now is not allowed to run this activity, a very flowering of e.g. oter and mink, and their dredging in relation to birds and other species in these areas, create an imbalance in the environment that was not present at the time when the local population itself was responsible for caring for its surrounding environment. I would like to stress that no one is more concerned with the balance of his community than those who live there. It is a relationship that must not be forgotten. One should not underestimate the local knowledge that local communities possess, and be a little careful to intervene and override them in key plans, where experience in individual areas that benefit the environment is sometimes lacking when the local population is left to decide.
ParlaMint-NO_2001-06-07.ana.ud2377e843	Since the question of cultural memory was raised again at the bottom of the debate, I would like to confirm and re-examine what I said in my previous posts. Of course, I am working on a follow-up to the Stortinge observations on the cultural memory fund, and I will present proposals to the Stortinge on this in the context of the 2002 budget. I also want to confirm that the cultural memory priorities for which the Stortinget and the Government stand, of course, go to the addressee, and that the government's work on this continues with full weight. In the case of fireworks, which also came up on the tap here, these are absolutely among the properties that it will be important to ensure in relation to outdoor purposes more places in the country, and the work on prioritising and getting opportunities for this is high on my work list. Since the Sellafield issue was also addressed, I would like to recall the weight and strength of the government in its work towards the UK authorities at different levels. Nor is it always that the shape of that work is identical to that of the force, and since Thorbjørn Berntsen was mentioned here, at least it is a fact that the form that was used at the time has not solved the problems. We are still facing this challenge, but it is a serious challenge to be followed up.
ParlaMint-NO_2001-06-07.ana.ud2377e853	I'm glad we've now got a clarification on the cultural memory fund. I understand that the 2002 budget will put forward proposals for the creation of a cultural memory fund. When I take the floor, it's because the Council of State says that the Government and the Council of State will continue to work to follow up the priorities of the Storing. When I pick that up, it's precisely because we've been able to see that Storting's priorities have not been followed up. So what's the point of continuing to follow up the priorities? Does this mean that the Council of State agrees with the central parties and the Right that it is not acceptable for the Riksantikvar to prioritize cultural memories that the Stortinget has said should be given priority? Will the Council of State ensure that the cultural memories mentioned by the Storting should be given priority over the current year? These are key questions, because I do not think it is satisfactory that the Council of State says that we will continue to work, when we have been able to see that what the majority of the Grand Duchy has said is to be done, has actually not been done.
ParlaMint-NO_2001-06-07.ana.ud2377e860	I would once again like to confirm that the cultural memory priorities of the Stortinget and the Government are to be followed up in this way in order to respond to concrete measures. We will have the right balance between registration and concrete actions – concrete vessel protection projects, stave church projects and industrial cultural memory projects, to mention some, which means strengthening them in line with what the Storting has decided. We have to make sure that the balance of these points becomes so that we get a strengthening of the concrete measures beyond what we have seen expressed so far this year.
ParlaMint-NO_2001-06-07.ana.ud2377e865	Several have not asked for the floor for case No. 1 and 2. [[Votation, see pages 3485 and 3487]]
ParlaMint-NO_2001-06-07.ana.ud2377e879	The majority of the Committee, consisting of the Workers' Party, the Christian People's Party, the Centre Party, SV and the Left, refers to letters from the Council of State Bjerke, where the proposals are made in connection with the treatment of St.meld. No 31 for 2000-2001, municipality, county, state – a better division of tasks. However, the majority of the Committee agrees with the reference made by the proposers to the fact that the process of planning matters is very often taking too long. The majority therefore believe it would be natural to ask the Government to facilitate the introduction of deadlines for the processing of private control plans by municipalities, without weakening the quality and thoroughness of the process. A minority in the Committee, consisting of the Right Party and the Advance Party, seem to need to strengthen local self-government and that it can best be done at the expense of reduced government governance and local involvement. Municipalities should be able to take final decisions in planning and regulatory matters without intervention by general authorities, in order to ensure greater respect for local policy decisions and decisions, and to be final, and not be subject to periodic review and infringement by State authorities. There are no deadlines for the treatment of private regulatory plans by municipalities. In many cases, this has resulted in a very long and costly process, so that developers have to wait a long time to realise their projects. The minority in the Committee believes that the use of time-limits will be an important instrument to ensure the better and faster progress of private regulatory plans. So I would like to include the minority proposal in the vote.
ParlaMint-NO_2001-06-07.ana.ud2377e894	The representative of Korsberg has taken up the proposal to which he referred. Several have not preferred the word on case No. 3rd@item: inlistbox [[See page 3487]]
ParlaMint-NO_2001-06-07.ana.ud2377e910	No one has asked for the floor. [[See page 3487]]
ParlaMint-NO_2001-06-07.ana.ud2377e924	No one has asked for the floor. [[See page 3487]]
ParlaMint-NO_2001-06-07.ana.ud2377e938	No one has asked for the floor. [[See page 3487]]
ParlaMint-NO_2001-06-07.ana.ud2377e952	No one has asked for the floor. [[See page 3488]]
ParlaMint-NO_2001-06-07.ana.ud2377e966	I expect this to take place fairly quickly, but the Right and the Advance Party have a proposal on the matter which obviously needs to be put forward. I would otherwise just say that this is an unproblematic matter, but you world as long as it's taken! The case of the Swedish Railway Agency's fibre cable network has been going on for several years. It was actually up in both 1996 and 1997, when Telenor was going to rent it in his own time. Then ESA came in, and came back and said it wasn't an occasion, and then this case has wandered. But let's not spend a long time on this. Now we're there. Of course, I would have preferred that this had been converted into a private company, but at least we have converted it into an AS, and hopefully it is possible to make some money on this – to the delight of all of us in the future.
ParlaMint-NO_2001-06-07.ana.ud2377e975	The representative of Nilsen has addressed the proposal to which he referred. Several have not asked for the floor on case No. Eight. [[See page 3488]]
ParlaMint-NO_2001-06-07.ana.ud2377e991	No one has asked for the floor. [[See page 3488]]
ParlaMint-NO_2001-06-07.ana.ud2377e1005	At the request of the Business Committee, the President will propose that the debate be limited to 50 minutes and that the speaking time be allocated as follows: The working party 10 minutes, the other groups 5 minutes each, and one of the independent representatives 5 minutes. Furthermore, the President will propose that there is no possibility of a reply after the individual speeches, and that those who have to sign on to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
