ParlaMint-NO_2003-03-05.ana.ud730e28	The representative of Inge Ryan, who has been licensed, has once again taken his seat.
ParlaMint-NO_2003-03-05.ana.ud730e889	I have the following questions for the Minister of Oil and Energy: ‘Both Government and the bulk of the population have repeatedly claimed to be committed to the development of small-scale power plants in Norway. In addition, the winter power crisis has shown the need for increased power generation. According to Stavanger Aftenblad, February 18th. landowners in Frafjord are refused to build mini-power plants in a stream running into Frafjord River. What will the Council of State now do to enable this and other similar projects to be realised in such a way that the objectives of the Government and the Grand Duchy are followed up?’
ParlaMint-NO_2003-03-05.ana.ud730e898	In order to contribute to power discovery and industrial development in districts, the Government is committed to facilitating the development of small-scale power plants. As a general rule, such installations involve small conflicts with environmental interests. About 330 watercourses are currently protected by watercourses according to Protection Plans I to IV. The size has decided not to grant concessions to any small or large power build-up in sheltered watercourses. In assessing whether a planned power plant triggers a concession obligation, the impact of the measure on the general interest of the watercourse is crucial. Where the watercourse is protected, special consideration shall be given to the protection interests. Nevertheless, there are projects which produce such minor effects in the sheltered watercourse that they do not trigger a concession obligation. Such power plants will be permitted in sheltered watercourses. The planned expansion in Frafjord, to which the representative Mr Vaksdal refers, was submitted to the NVE in 1996. The power plant is located between the Giljastølsvatnet and Frafjorden, which is part of the watercourse protection plan. The NVE concluded that the effects of the power plant on the general interest resulted in a concession obligation. Since, therefore, there is no possibility of granting concessions for power development in sheltered watercourses, the decision of the NVE was in fact also a refusal to grant a concession application. It has been decided that the protection plan for watercourses should be supplemented. The Ministry of Oil and Energy has been sent the NVE's suspension. The setting opens for the concession treatment of micro and mini-power plants in sheltered watercourses. The reason for the proposal is that concession treatment will provide a better basis for assessing the environmental impact of the measure in a protected watercourse than the current system, where it is essential to trigger the concession obligation. There are many good reasons to equate the construction of micro and mini-power plants with other types of sheltered watercourse measures that can be granted concession. The Government will therefore address this issue in the proposition expected to be submitted at the turn of the year to supplement the watercourse protection plan. A prerequisite for allowing such expansions in sheltered watercourses must be that we do not impair the protection values of the watercourse. I would like to stress that the NVE has been delegated the competence to take decisions relating to power plants with installed power up to 5 MW. Furthermore, in the proposal for amendments to watercourse legislation, which is now being consulted, it is proposed to raise the scope of the concession obligation under the Industrial Concession Act. Together with the proposal to provide for the concession treatment of mini- and micro-power plants in sheltered watercourses, this measure facilitates the establishment of small-scale power plants around the country for the benefit of power generation.
ParlaMint-NO_2003-03-05.ana.ud730e911	I thank the Council of State for the answer. At least it was positive that we now have proposals to raise the limits of the concession obligation. It has been claimed that we have a potential of maybe 10 to 15 TWh in the construction of small power plants in Norway, and this is about twice what we lack in the domestic market in a so-called normal year, according to the government's own figures. At the same time, there has been talk and talk about using more of our streams and rivers for power generation, but unfortunately too little has been done. Doesn't the Council of State see that now more action and less talk are needed to get these sensible projects started as soon as possible?
ParlaMint-NO_2003-03-05.ana.ud730e922	I can't vouch for that number of representatives now mentioned, between 10 and 15 TWh, but it's undoubtedly an interesting potential to take out. Apart from the fact that these small power plants, micro and mini-power plants, can contribute to useful additional power generation for the electricity grid, they will also represent significant and interesting additional revenues for farmers and other property owners in the districts. In other words, it is also good district policy to invest further in such power plants. It is therefore an interesting challenge to find a regulatory framework and a balance between environmental considerations that facilitates the construction of such power plants. I have seen several such power plants in the districts, and I think it is done in a nominal and good way and in line with the strict requirements that we should set for environmental protection and nature protection, so I actually see great and positive opportunities for increased efforts in this field.
ParlaMint-NO_2003-03-05.ana.ud730e927	Once again, I thank the Council of State for the answer. Today, the authorities are responsible for the power recovery and concessions to new capacity. The overall plan has not worked satisfactorily and the Stortinget has previously called for more effective concessional treatment. The fact that energy authorities are responsible for the protection of watercourses through the NVE and the environmental authorities through the Directorate for Nature Management, which is responsible for the overall plan, seems to be inconvenient. Will the Council of State take initiatives to clean this up, so that we can increase power deployment?
ParlaMint-NO_2003-03-05.ana.ud730e936	There are no plans for any other procedure or transfer of tasks or authority from one body to another. But I would like to stress that it must be the same legislation, the same policy, which must be consistent with the various bodies dealing with these applications – I attach great importance to it. And the cooperation between the Directorate of Nature Management, the NVE, the Ministry of Environment and the Ministry of Oil and Energy is thus excellent. I think that we should be able to establish a sensible policy, which is not dependent on a particular organisation, but on the fact that all parties see their responsibilities and use the same attitude and principles during the process.
ParlaMint-NO_2003-03-05.ana.ud730e947	I would like to ask the Minister for Children and Family Affairs the following questions: ‘Many fathers have been unjustly sentenced to fatherhood. Many, however, are not sentenced to danger but only to compulsory contributions. These fall to a large extent between two chairs since § 62 of the Children's Act only deals with convicted fathers. Does not the Council of State consider it reasonable that even those who have been sentenced to only contributions should be treated under the same statutory scheme, i.e. § 62 of the Children's Act, concerning the reimbursement of child contributions?»
ParlaMint-NO_2003-03-05.ana.ud730e956	The crucial argument for introducing the possibility of resuming phasies that were decided before the DNA analysis could provide a safe answer to the hazard question was the children’s need for knowledge of their biological origin and the fathers’ need to know whether the children are their biological offspring. Before 1956, the legislation allowed a man who could be the father of a child to be required to pay contributions. So there were some men who were sentenced to contributions even though there was not enough evidence that they were fathers. These matters are all very old – the youngest children are now at the end of the 40s. The relationship between existing legal and old legislation is unclear on some points. The Ministry will need some more time to look at the issues raised by the representative Sandberg. For the treatment of Ot.prp. No 93 for 2001-2002 in December last year the Committee on Family, Cultural and Administrative Affairs asked the Government to assess the impact of introducing index regulation or the calculation of interest on the repayment of child contributions from population rights. I find it natural to see these two issues in context. I want to assess whether there is a need to extend the scope of Section 62 of the Children's Act and will return to Stortinget with any legislative amendments.
ParlaMint-NO_2003-03-05.ana.ud730e964	I'm very glad that the answer I get here from the Council is so positive. As the Council of State points out, many have previously been sentenced to contributions to a child, but not to fatherhood. This was almost common in the 1920s, 1930s, 1940s and 1950s. In order to be sentenced to contributions, it had to be very likely that you were the father of the child. In order not to burden the public, it was also very important to get someone who could pay a contribution to the child. As the Council of State says, the wording of Section 62 of these victims is not respected, and the law must be amended here. The council itself is well aware of many examples from the recent press and the media, and especially the case around Einar Monan, a 91-year-old man who has actually fought for ten years to be kind of acquitted from that he has paid contributions to a child to whom he is not the father. Not only about the individual, but also about the family in general, it becomes a mental strain that I hope the Council of State will take into account when the Government now assesses law change.
ParlaMint-NO_2003-03-05.ana.ud730e973	I just have to make it clear that the very thing about fathership was not really about economics, but about knowing who father was of the child, maybe that father would know if he was father of the child. This case now being raised applies in a way to the refund of contributions, and it was not included in the amendment of the law adopted in Stortinget. What's interesting here is the question of whether it's possible to resume a grant case before 1956. The answer is probably that such a case will be obsolete. And that makes the question that the representative is asking here today, relevant. Once again, I just want to say that I am going to go into this matter and consider whether we are actually going to come back with a proposal for a change of law. I will not foreshadow the result, but I will come back to Stortinget with this.
ParlaMint-NO_2003-03-05.ana.ud730e982	Now I'm a little bit in doubt again. After the positive first answer, the answer I got now was a little doubtful. What's important about the old cases is the change that happened in 1956. And we don't have to get into the situation that the state relieves itself of being responsible for the cases from before 1956. One thing is to be convicted of a danger unjustly. Another thing is that the children who are in such a situation may experience losing their father. So there are many aspects of this matter that the state is responsible for. I refer to both Section 5 and Section 6 of the Children's Act, which specifies that the state is responsible for finding the right biological parents of the children. Now we experience that children in their 30s, 40s and 50s are told that they have lost their father because we have introduced DNA testing. There'll be more and more images of what's going to happen in the future. Many, many more of these things will happen gradually, and then it's important that the state is conscious of its responsibility both in terms of the question of compensation and in relation to the children who lose their biological father.
ParlaMint-NO_2003-03-05.ana.ud730e991	I think we agree on the facts of the matter. As I said in my first post, we will come back to the matter. We're going to go positive into it and see how this can possibly be done by the state. As I was inside, there's a lot of ambiguity in the law. It'll take some time before I get back, but it's natural to see this in the context of the second question that Stortinget raised, because it's also about economics. If that is desirable, in this process I would like to inform the representative of where the matter is.
ParlaMint-NO_2003-03-05.ana.ud730e1002	I will ask the Minister for Education and Research the following questions: ‘The size has decided that the system of landlines should be maintained. It is important that country lines, in the same way as county education services, adapt to demand and society’s needs for skills. There is a broad political consensus on increased investment in the real world. The Council of State will use national lines to increase supply in priority disciplines, for example: by increasing the educational capacity of the Andøy High School space technology line?’»
ParlaMint-NO_2003-03-05.ana.ud730e1011	I agree that it is important that, in the same way that county education services need to adapt to demand and the needs of society for skills. I would therefore like to assess whether there can be a basis for reallocation of landline sites. As I see it, it must be primarily search and capacity utilisation at the lines that provide the basis for any increase or reduction of the landline sites. The county councils have been informed in annual circulars that where there is a significant difference between national and capacity utilisation, the department may change the capacity of the offer from the next school year. In some cases, the capacity has also been somewhat reduced. I would also like to point out that the county councils, in order to provide a number of training offers, have established cooperation on the purchase and sale of student places. These offers are designated as nationwide lines. The system of land-wide lines has many similarities with the land-line system. Both include courses in subjects for which there is no basis for establishing in all counties and which are open to students from all over the country. Through the system of nationwide lines, county municipalities demonstrate the ability and willingness to find interconnected and flexible solutions. This is a cooperation I would encourage. As far as the real subjects are concerned, I would like to point out that the Ministry of Education and Research has drawn up a five-year action plan to reverse negative developments. The main objective of the strategy is to improve the quality of real-time training at all stages, both in initial and higher education and in research. The background to the national initiative is the lack of competence and intermediate results in real-time primary education, the low level of compulsory secondary mathematics education and the low level of real-time competence of early students. The strategy shall contribute to an overall perspective in the field of real-life education from kindergarten to higher education and research.
ParlaMint-NO_2003-03-05.ana.ud730e1020	I thank you for your answer. I agree with the Council of State that it is important to stimulate nationwide offers. It's a good arrangement. The Council of State and I have previously agreed that the nationwide offers are likely to be a better arrangement than the national routes. But that case is currently lost. Anyway, it's important that one stimulates that very thing. In addition, I would like to pay tribute to the county councils, because they are quite good at adapting the offer to the need and turning around quite quickly. It can't always say about the nationwide lines, which have become reasonably rigid, reasonably permanent, and there has not been enough flexibility in the offer. As long as we have the landlines, it is important that the Council of State goes in and takes responsibility to ensure that there is consistency between what we offer within the landlines and the demand that is there. So doing a lot of grip in relation to these I think is important. I understand the Council's answer to that, as well, that she will take this into account. After all, we're spending almost 150 million. kr on landlines. Can the Council confirm that she will go in and assess the offer and adapt it to demand?
ParlaMint-NO_2003-03-05.ana.ud730e1031	I can confirm that I agree with the description of the representative, that the nationwide offers are a better arrangement than the country lines. It is also a fact that the landlines have been decided to exist, but that they tend to get a little stiff and rigid, because they do not have their background in the strategic priorities of county communities. My answer is positive. It is a little reserved, as I do not hide that the experience of political treatment, among other things. In this house, there can be indications that repriorities are difficult, while there is no objective either for the representative of Reikham or for me in general to extend the system of landlines very much, as we are actually supporting a system of nationwide offers. Nevertheless, I believe that the point from the representative of Rikvam is important. I will try to see if it is possible to make such adjustments as the requester is concerned about.
ParlaMint-NO_2003-03-05.ana.ud730e1038	I thank you for your answer. I want to move on to the second part of my question, which is that of Andøy High School. This is an offer that is closest to what we can define as a landline. They're mostly recruiting from all over the country. This offer is very special, and that's probably the only offer we have in the country right here. We know that demand is high. It's a search. The offer does not meet the need. In addition, we know that this is an offer that goes into the middle of what is the bet area in relation to the real subjects. My specific question to the Council of State will then be: Will the Council of State from the next school year try to facilitate the school's ability to increase its capacity to record, preferably in the event of redistribution, and will she, in the worst case, if that wrong happens that we don't get it, see if extra funds can be found? These are relatively few places and not dramatic costs. There was a specific question about this special school with this special offer.
ParlaMint-NO_2003-03-05.ana.ud730e1047	In line with my general answer, and in particular because it is consistent with our real-time questioning, I will confirm that I will also assess it. If the demand for this particular education offer is increasing, and this is an expression of increased real-life interest in young people, I believe, like the representative Rikham, that it is important to look for solutions that allow for the expansion of the number of student places. I would then seek to get it done by re-prioritizing. Of course, if it does not succeed, there is a theoretical possibility that it can be achieved through the introduction of fresh resources into the landline system. But here I can't promise anything, because it belongs to the budgetary procedure.
ParlaMint-NO_2003-03-05.ana.ud730e1063	This question has been drawn.
ParlaMint-NO_2003-03-05.ana.ud730e1069	I allow myself to ask the Minister for Economic Affairs and Trade the following questions: ‘A number of Norwegian enterprises have received and received loans and grants, including: from the SND to repatriate and secure existing jobs. Nevertheless, «flags» mean more and more enterprises out of all or part of their production and add parts of their production to low-cost land. Will the Council of State ensure that its borrowing and grant schemes only contribute to job security in Norway and ensure that the conditions for obtaining State funds do not lead to a unilateral outsourcing of jobs?’
ParlaMint-NO_2003-03-05.ana.ud730e1078	An internationally competitive business is necessary to ensure value creation in Norway. International competition strengthens enterprises and makes the Norwegian economy more efficient. Globalisation offers opportunities to organise production and logistics in new ways. Norwegian enterprises can take advantage of these opportunities to ensure future profitability, including: by shifting labour-intensive production to countries with a lower wage level. In shipbuilding, we see, for example: that the hull construction is now mainly – almost exclusively – carried out abroad, while the equipment of the ships takes place in Norway. At the same time, we have a relatively high share of the world’s ship’s equipment production. By adding parts of the production to other countries, high-tech and knowledge-intensive production can be maintained and developed in Norway. This form of international division of labour has become increasingly important. The government attaches great importance to creating good and stable framework conditions, so that the level of taxation and interest rate and currency conditions make Norway an attractive country to operate in for both Norwegian and foreign enterprises. At the end of March, the Government will present a case to the Storting on the direct commercial instruments. The focus here will be on innovation and innovation and the internationalisation of business. As part of this, the active substances shall contribute to, inter alia: increased exports, investments and expansion in international markets, increased research cooperation and technology transfer. Work in the field of internationalisation is very broad and involves many actors. Some public instruments have been established to promote business cooperation between Norway and other countries. Such instruments should continue to be an element of the internationalisation of Norwegian business and the establishment of business in selected countries. I would like to assume in the review of the instrument that there will be an interaction between activities in Norway and those established in other countries. In my opinion, it is not a public task to contribute to the relocation of companies from Norway. It is not acceptable that state funds stimulate the closure of profitable jobs in Norway and weaken the competitive situation of those who choose to remain and continue to invest in Norway. This means that State instruments will not be used for unilateral deflagration of jobs. In concrete terms, I have announced that SIVA’s involvement in commercial parks in the Baltic region will be phased out.
ParlaMint-NO_2003-03-05.ana.ud730e1087	The last part of the Council of State's response, where he says that it is not acceptable that government funds should be used for unilateral relocation of jobs, I interpret positively. And the Council of State is well aware that many companies in Norway are struggling to survive, that the number of bankruptcies is increasing, and that we now have an unemployment rate that rises every day. Nevertheless, I would like to ask the Council of State whether, when he is about to present the notified notification in March, he will look at the instrument, in such a way that he can possibly cut off the international support schemes and/or make demands and conditions that help or use the country’s money for outsourcing – also where there is talk of only part of the production being outsourced – should not go beyond jobs in Norway. Would the Council consider such a strict condition?
ParlaMint-NO_2003-03-05.ana.ud730e1094	Firstly, as the representative says, we are facing a situation where we have to expect that unemployment can still increase. We are in an international recession, and it also affects Norwegian business. The arrangements we have had relating to foreign establishments were established in the early or mid-1990s – there are two schemes. One, in relation to SIVA, is mentioned. The second is an East European fund of 120 million. kr that invest in individual holdings. As I said, I want to wind up these schemes, at least in the candidate countries of the EU, not least in relation to the distortion of competition. With regard to the other conditions to assist Norwegian business at home, I believe that we have to follow the general principles that we have laid down, but we will not contribute to the relocation of jobs in any context.
ParlaMint-NO_2003-03-05.ana.ud730e1103	Just one observation: I share the views of the Council of State, which I interpret as meaning that he does not see any sense in the fact that state schemes should go to flagging out, and not to the maintenance of the establishment in Norway. Once he has notified this in the message that is coming, I get to wait and see if it contains the positive elements that the Council of State has now prepared.
ParlaMint-NO_2003-03-05.ana.ud730e1108	It will be done in formulations and wordings that will not be possible to misunderstand. Just a little correction: it's a proposition we're making, so that the Storting can quickly take a stand on these things, and so that we can implement very quickly the main steps that we want to do. Through the budget for the autumn we take – I kept saying – the details. The size will then be able to respond to the main actions, and the main action related to this will be the winding-up of direct support to move jobs out of the country. But, of course, it will still be the case that some companies will find it useful to add parts of their output to other countries. We just have to recognize that is part of the picture. What is important is to ensure that the head office, development, market department and such things can remain in Norway, and that we do not help out the entire business. But not least, this with distortions of competition is very important, and that we primarily assist those who choose to establish and operate in Norway.
ParlaMint-NO_2003-03-05.ana.ud730e1119	I have the following questions for the Minister for Economic Affairs and Trade: ‘It has been claimed that the state investment company Argentum AS’s high return requirements result in the unrealistic use of funds such as the creation of Argentum. What is the Council of State's view of this?'
ParlaMint-NO_2003-03-05.ana.ud730e1128	The establishment of the investment company Argentum Funding Investments AS focused on the following objectives: strengthening the competitiveness of Norwegian business and the future creation of value-added opportunities in industries and business clusters where Norway is already strongly mobilised in private capital to invest in innovative and research-based business to build valuable networks between owners, managers, R & D environments and businesses In the opinion on the organisation of the investment company, the majority of the Committee concluded that Argentum ‘shall act as a professional owner who, on a commercial basis, shall play a central role in the development of the most relevant areas for the establishment of the investment funds’. The Argentum return requirement is at risk-free interest rate plus 10 percentage points. This requirement was based on a comparison with commercial investors. The return requirement reflects the need for Argentum to participate in funds investing in high-risk companies. A success project must have such an economy that it can cover losses on other projects and contribute to a satisfactory return on the entire portfolio, taking into account the risk. Through the commercial return requirement and competent management, Argentum creates market credibility. This can in itself make investors willing to invest more in the funds into which Argentum goes. The competence of the company and the commercial conditions also have an impact on the company’s ability to contribute to the establishment of good management environments in Norway. This was a main score in St.meld. No 38 for 2000-2001, on the organisation of investment companies, where it was noted that: ‘the most limiting factor in equity markets is not access to projects or capital, but access to good management environments’. The access to capital to risk projects is now less than it was at the time of notification, but access to good management environments remains a limiting factor. Argentum works actively to build skills in the environment to make them more attractive to both domestic and foreign investors. Building such competences among the management environments will necessarily take some time. Argentum has so far invested in three venture funds, Energy Growth, Northzone IV and Teknoinvest VIII, on a total of approx. 680 million. kr. These funds have the following fields of activity: energy, ICT and health, medicine and biotechnology. This is within the designated investment areas of Argentum. The company's objective is to invest for approx. 1 billion in 2003, including in one marine fund. In this context, I believe that Argentum is on its way to meeting the goals set for the company of the Stortinget.
ParlaMint-NO_2003-03-05.ana.ud730e1164	Of course, the state's money will have to be managed in a way that also creates values for the state. Nevertheless, this problem has two sides. One is whether it is actually such that the return requirement that has been set seems to counteract the other wishes or objectives of the fund, and the other is whether the Council of State would like to do something about it. As far as I understand, he is satisfied with today's situation. The signal I've been given is that, in spite of the biggest tax burden, it's no longer difficult today to obtain the necessary new private capital. There is therefore a need for the government tools we have. One of the aims of the state shooting money into Argentina was to increase the availability of venture capital. The market feedback is that the risk is too high today, and therefore capital is not available for good projects.
ParlaMint-NO_2003-03-05.ana.ud730e1169	What I'm saying is that I'm satisfied with the implementation that Argentum Fund Investment AS has made, given the premises that were made by Stortinget. As far as I can see, you have adhered to all the constraints that were put there. Whether or not the restrictions that were imposed should also be those that will apply in the future, we may need to consider, because it is clear that times are changing, both up and down. The possibility of access to capital — and to the extent of risk — changes over time, and that means that, of course, returns requirements other than those set can be set. There is a possible assessment to be made.
ParlaMint-NO_2003-03-05.ana.ud730e1176	I interpret the Council of States so that this is not high on his agenda. However, I would like to ask him whether the Stortinget will have a new opportunity to assess these different returns requirements when he is going to present the instrument message, so that the Stortinget will also be able to reconsider what has been said in connection with the creation of this company.
ParlaMint-NO_2003-03-05.ana.ud730e1181	In the proposition we're going to promote for the Storting in terms of the entire instrument, Argentum will also be mentioned. I understand the representative, who is also the head of the Business Committee, to the point where he wants to assess whether the return requirement that was set is the one that should apply in the future. I will definitely make such an assessment and report back in the case of the Stortinget within the time frame currently in existence, so that the Committee can assess it when the Storing should rebalance the current situation with what was current and make the assessments that they might find useful.
ParlaMint-NO_2003-03-05.ana.ud730e1188	Then we go back to question 3.
ParlaMint-NO_2003-03-05.ana.ud730e1195	This question, from the representative of Karita Bekkemelm Orheim to the Minister for Justice, will be answered by the Minister for Transport on behalf of the Minister for Justice.
ParlaMint-NO_2003-03-05.ana.ud730e1198	I have asked the Minister of Justice the following questions: ‘An increasing amount of child pornography material is still being reported on the Internet. This is usually a network of differentiations in many countries. There is a growing tendency for images, drawings and text to represent children as sexual objects, even though the images do not show abuse. In the case of penalties for publishing such material, there are now mild judges. What does the Government do to capture all forms of deliberate child pornography?’
ParlaMint-NO_2003-03-05.ana.ud730e1207	Combating sexual abuse, including child pornography, is – and should be – a priority area for police. Child pornography is, in many cases, also a filmed assault on defenceless children. It's important to be able to hit all kinds of conscious perception with child pornography. For this reason, the Minister of Justice has proposed that the criminal framework for organised possession of child pornography be increased from two to four years, and the issue of penalties in this area will be included in the preparation of new criminal law. In this context, the Minister of Justice will also assess the feasibility of better lawmaking, which can meet the technical challenges facing child pornography on the Internet, and whether it can be possible to capture gaps that remain in the law. Among other things, it seems quite possible today to surf around and look at child pornographic material intentionally, without paying and without storing it on the hard drive. This helps to maintain a market through the production and distribution of child pornography. In the case of Kripos, reception is established for the handling of tips on child pornography. Tips are received by phone and e-mail. Kripos processes the tips and sends information to the right police district, which follows up the tips. If the tips relate to websites in other countries, the information is sent to the police authorities in the respective countries. Police in Norway cooperate with colleagues internationally with a view to finding distributors of the material and thus revealing and, where appropriate, helping the victims. In order to combat sexual abuse of children more effectively, it is necessary for the police to constantly update their competences, both on moral crime and on ICT crime. Kripos has also developed a good top expertise in the detection and investigation of sexual assaults against children. Furthermore, the Police Data Crime Centre under Ecocrime possesses technical competence for the investigation of images on the Internet and analytical tools for use in electronic seizures. The police data crimping centre is now developing a new data service in terms of data seizures in this type of crime. The service is developed in close cooperation with Kripos. In addition, businesses themselves must take greater responsibility for combating the distribution of child pornography. This applies in particular to the different network providers that transmit digital images over the Internet and payment card companies that charge for the purchase of images over the network. Yesterday the Minister of Justice met with these two sectors and representatives from other departments concerned, discussing how to address this challenge. Examples of this may be more active in filtering unwanted services and in working closely with the police on further criminal prosecution of child pornography.
ParlaMint-NO_2003-03-05.ana.ud730e1222	First, I want to thank the Council of State for a thorough answer. The Council of State pointed out in its response that it is very important that the police have competence and are constantly being updated, so that they are on high and are able to investigate these difficult issues in the best possible way. My first supplementary question is about what resources Kripos will get, and what resources Kripos has today to keep track of the explosion we are now seeing in the number of Internet users and the corresponding increase in the spread of images of sexual abuse against children. This is in many ways something new that has come after we got the Internet. The question is whether the police are able to keep track of all the new tasks they are assigned to us politicians. We have heard about Barne-Kripos, and I ask a specific question: Where is it going to be by Barne-Kripos? Is that it? And what does that really mean?
ParlaMint-NO_2003-03-05.ana.ud730e1233	As I said in my answer, what concerns child pornography work is a priority task for the police. Similarly, regular follow-up and further training courses on various aspects of the investigation and prosecution of sexual offences have been conducted at the Police College in the last decade. ICT crime courses, which are an important part of awareness raising in child pornography, are also organised. That means that training is very important, and it's actively working on it. Furthermore, the Police Data Crime Centre under Ecocrime possesses technical competence for the investigation of images on the Internet and analytical tools for use in electronic seizures. This is an important effort, and it is technically committed to this. In the case of Barne-Kripos, I will pass that demand on to the Minister of Justice. My answer to this problem in general is that it is actively working in a broad area.
ParlaMint-NO_2003-03-05.ana.ud730e1240	The penalty scheme is also very important in this matter. As far as I am aware, the penalties for child pornography are so low that the police do not actually have the opportunity to use the same methods of investigation as in serious drug cases, which have a penalty framework of ten years. This means that methods such as delayed notification by means of search, electronic tracing and communication control, which the police were given the opportunity to use through the provision that came on 3 December 1999, could have led to a much better investigation into child pornography, but is currently not feasible. Could it be, then, an idea for the Government to make exemptions for the investigation of child pornography or to increase the penalties even more? We know that the Council of State is going in to increase the penalties to four years. We know that the EU has a proposal for an extension of five years, and I want to ask the Council of State: why have we come to just four years? Why do we not at least follow the line that the European Union has with proposals for a five-year penalty framework?
ParlaMint-NO_2003-03-05.ana.ud730e1247	Here I felt that there were many questions. It could have been interesting to go to the depths of many of them. First of all, I fully agree that the penal framework should be increased, and that is what we are working on, even in a larger legal context. There's a lot of ways to expose child pornography, and what the government is concerned about is that we're going to go into all of those areas. Research is one area in which we are, of course, concerned. But we are also concerned that all the actors in society must be involved and contribute, for here there are very many who are actually and in practice affected by this, not least as I was inside, those who are responsible for the telecommunications network in Norway. But it's important that they participate and help to reveal this, and that they see a responsibility here. As I experience the industry, they are interested in being involved and contributing to solving this societal problem. The President: we go to question 13.
ParlaMint-NO_2003-03-05.ana.ud730e1260	I allow myself to ask the Minister for Transport the following questions: ‘The Governing Board of the NSB’s Mantena maintenance company proposed on 13 February d.o.b. moving the maintenance of 9 out of 26 trainsets from Skien to the NSB workshop in Lodalen, Oslo. However, the group manager of the NSB Einar Enger wrote in the telemarket newspapers of 7 November 2002: ‘The ski resort has full activity in our budgets for 2003’. The Council of State sees it as good district policy to bring together all the maintenance of train sets in Lodalen, Oslo, and what will the Council of State do to save the shop in Skien, which cost 300 million. in 1997?’
ParlaMint-NO_2003-03-05.ana.ud730e1269	I would like to point out that the NSB is organised as a share company. The organisation of the workshop structure of the company is a support function for which it is up to the board of directors to decide on changes. This was determined, inter alia, by: during the landfilling of St. meld. No 48 for 2000-2001, About the activities of NSA BA 2001-2003. The facility in Skien is part of the workshop structure of the NSB group and currently has 51 employees. As a result, among others: phase-in of new local trains takes 9 older train sets out of production. This has consequences for the workshop in the Ski, which from the summer reduces crews by about 10 years. The maintenance of the remaining older vehicle sets is moved from Skien to Oslo. In Lodalen, the maintenance can be carried out at daytime, unlike in the Ski, where the same trains can only be maintained at night and evening. Maintenance is a major cost in the operation of trains and it is essential for the competitiveness of the train in relation, inter alia, to: the private car. The post-movement cost may be reduced by 1 million. kr per. years because NSB saves the evening and night supplements. The NSB’s long-term strategy has been based on the fact that the workshop in the Ski should concentrate its maintenance on the intercity train sets after the earlier vehicle sets have been phased out. The NSB does not have any concrete plans to change this, but it is currently assessing the future workshop structure as a whole. Employee organisations are involved in this work.
ParlaMint-NO_2003-03-05.ana.ud730e1280	I thank the Council of State for the answer. I want to remind you that it's been five years since an investment of 300 million was made. kr to get a top modern workshop in place. The council says that you have conversations with the employees, but it's actually not just the employees who perceive that there is a down-priority of the NSB in this important area. We see that travellers choose buses over the railways as a result of a poorer rail service. My question is: isn't the Council of State concerned about the negative development of the railway, which I experience is in stark contrast to the objective of the national transport plan for more environmentally friendly transport?
ParlaMint-NO_2003-03-05.ana.ud730e1290	It is quite correct that I am concerned that people should travel by train. That means we have to have good rail offers around the country. That means that the NSB has to operate as rationally as possible. That's why I'm concerned that the NSB, through the board, should be able to make decisions that make the operation of the business more profitable, and that they can offer good services to the travellers. In this way, we can achieve the overall objectives of rail transport in this country.
ParlaMint-NO_2003-03-05.ana.ud730e1295	Governments mention the profitability requirements. NSB has been converted into an AS, and in a way, much of the government over the NSB has moved away from the state council and into the board. I would like to ask questions as to whether there are nothing other than profitability requirements that should form the basis for how a chooser is to bet on such an important infrastructure as the railway is in our country. I guess the state council also knows that the railway has an important function, I hope she will say, and that not the profitability concept is going to control what the railway is doing, fully.
ParlaMint-NO_2003-03-05.ana.ud730e1302	When we spend NOK 1.4 billion on the purchase of services at the NSB, it's because we believe that rail transport is important. This is a significant amount. That means that we give very high priority to the railway. It's an environmentally friendly form of transport that I want people to use. But when we actually spend $1.4 billion, we're assuming that NSB is going to operate as efficiently as possible. So they're going to get $1.4 billion for the purchase of business-unprofitable services. But they're profitable from a wider social perspective.
ParlaMint-NO_2003-03-05.ana.ud730e1311	I would like to ask the Minister for Transport the following questions: ‘The railway authorities of the Member States strongly criticise the NSB because of: lack of safety when Swedish trains with Swedish personnel operate Norwegian rails, among others. on Kongsvingerbanen. Is the Council of State aware of this, and what will the Council of State do to ensure that security is optimal?’
ParlaMint-NO_2003-03-05.ana.ud730e1320	The State Railway Authority is empowered to ensure that safety is ensured under the Railway Act. I am aware that the supervision has carried out an audit of the NSB AS" ensuring road safety in cooperative formations. This applies to cross-border traffic, where the NSB is responsible for the activity on the Norwegian side. A report has been drawn up demonstrating that the safety management of the cooperation projects is deficient under the requirements of the Railway Act. I would like to stress that as long as the NSB is responsible for the cross-border traffic, I assume that the company takes this responsibility. This means that the NSB needs to improve its control over the adequacy of safety. As a follow-up to the findings identified, the oversight shall be subject to the transmission by the NSB of a corrective action plan by 1 April 2003. I therefore assume that the NSB is taking the necessary measures to correct the non-conformities identified by the oversight and that a plan has been drawn up for this purpose by 1 April, as foreseen by the oversight.
