ParlaMint-NO_2003-04-02.ana.ud2020e28	The representative of May Hansen will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e889	The representative chooses to go very wide, and I'll try to answer. Firstly, the very question of how to acquire basic school skills is one of the key points of the Government in investing in school development. Secondly, youth research, which I heard last night in an excellent lecture by professionals working on this in Westfold, suggests that there are a number of boys coming out hard to run. Then we're just going to take this research inwards and learn from it, and so am I. And so it's that in terms of prisons, one of the measures that actually works very well there is education. We have a teaching system in Norway that allows those who have lost it before, whether the reason is one reason or another, to take it back later. It is also true that in Norwegian prisons there is record lending of books in the libraries. So there's probably a lot of people here who both take things that they haven't got with them before, and who take advantage of the possibilities that exist. The general nature of the issue thus goes far beyond the justice sector, but it is, of course, within the remit of the Government, inter alia. in relation to education policy, and I have already replied to how the basic skills of everyone in school are being put into practice.
ParlaMint-NO_2003-04-02.ana.ud2020e901	‘In the 2003 budget, the Storting expected the scheme to be put in place for the rehabilitation of dental kits for periodontite patients. When this did not happen, the department was specifically asked to assess by regulation to secure funds for this, and the Stortinget earmarked 50 million. for this purpose, in order to ensure the prompt implementation of reimbursement to patients. Several patients have approached because no change has been made. When may the Council of State be able to implement the decision on the grubbing-up?’
ParlaMint-NO_2003-04-02.ana.ud2020e908	The Government's budget proposal for the current year showed that reimbursement for rehabilitating dental treatment due to teeth lost by periodontitis was not introduced in this round. The reason was a lack of evidence of treatment needs and costs of this type of treatment. The size decided to earmark 50 million. kr i 2003 for the rehabilitation of dentistry after periodontite treatment. During the budgetary procedure in Stortinget on 11 December last year, I said that I would come back with a scheme for the implementation of a tooth loss reimbursement scheme as a result of periodontite in the revised national budget. At the same time, I said that a change to the regulation had to be based on a thorough screening of the patient group. This work is in full swing. The Rikstrøgdeverket shall provide the Ministry with both the necessary documentation and a proposal for a reimbursement scheme during the spring. A proposal for the implementation of a reimbursement scheme will be presented in the revised national budget, as I promised the Stortinget in the past.
ParlaMint-NO_2003-04-02.ana.ud2020e915	We are constantly receiving enquiries from patients who expect their expenses in connection with this treatment to be reimbursed. They tell about dentists who don't know how to behave, and dentists express their need because they think they don't have clear guidelines from the department. And until now, the department seems to have had a vague attitude to it. For example, we have been told that the tariffs that were actually introduced on 1 January, which are part of the adopted roof 2 scheme, were increased by 60 pst. from 1 March, apparently because the tariffs were too low in relation to the grant of the Storting. How is this going to work out? I have to say, it doesn't seem like the department has a very large overview of this problem.
ParlaMint-NO_2003-04-02.ana.ud2020e922	The question raised by Britt Hildeng was the implementation of a reimbursement scheme for rehabilitating dental treatment due to periodontitis. It is clear to everyone, including Norwegian dentists, that we do not have a reimbursement system for such treatment today. The size has decided that 50 million will be reserved. NOK to set up such a scheme. I have promised Stortinget to continue working on the professional basis and design a system, and I will return to it in the revised national budget, as I have promised. The representative now referred to by Hildeng is the design of the tariffs in relation to the general reimbursement scheme for periodontitis, i.e. for what is not related to rehabilitation. There is the responsibility of the department to ensure that the scheme is designed as far as possible in line with the decisions taken by the Stortinget, and that is why we have adjusted the course along the way.
ParlaMint-NO_2003-04-02.ana.ud2020e931	For a long time in the United Kingdom, there have been calls for different aspects of dental treatment in Norway, among others. because we have to find that in many areas we are far from other countries to which it is common to compare ourselves. And given the many decisions that have been taken, I have to say that it's just as if there's some kind of refusal on the part of the department to comply with the Storting decision. This applies to the long period of time that has now been associated with the periodontite treatment, but also to other matters. On several occasions, Stortinget has called for a separate report on dental care, nor is it available. When can the Storting expect the Council of State to follow up this decision?
ParlaMint-NO_2003-04-02.ana.ud2020e938	I cannot agree with the suspicion of the Ministry's motives now expressed by the representative Hildeng. It is my clear ambition as the Council of State that the decisions of the Storting should not only be respected, but should be followed up and followed up. And to the extent that there are problems in following the Storting decision, Stortinget is the first to know about it and get proposals based on the status of the department. With regard to the specific issue, I have to point out that I have implemented what I said in Stortingen on 11 December: I come to the revised national budget with a proposal for implementation. I have assured myself that the work on both the professional monitoring and the design of the reimbursement system is on track in relation to this, and it is my clear ambition that we will be able to implement such a system in the autumn. With the same conscience I will follow up other decisions that Stortinget takes.
ParlaMint-NO_2003-04-02.ana.ud2020e951	The question is as follows: «Very many have suffered neck damage through road accidents or other accidents. Many enquiries from people with neck injuries indicate that the investigation and treatment offer is very close enough in our healthcare system, and there appears to be a lack of knowledge about both the damage image and good rehabilitation. What can the Council of State do to ensure good treatment provision for patients with neck injuries?’
ParlaMint-NO_2003-04-02.ana.ud2020e960	Patients with neck injuries report that they experience being ballistics between different specialists such as neurologists, physical physicians, orthopaedics, psychiatrists, physiotherapists, etc. They often say that they have not experienced that someone has had an overall responsibility for investigating and dealing with this type of damage. These are signals that there is every reason to take seriously. Patients shall experience a healthcare service that meets their needs. The Social and Health Directorate has therefore proposed that neck patients be treated at outpatient clinics where they exist. In this way, a specialist will have an overall responsibility for the patients. However, it is regrettable that we do not know what is the real cause of long-term problems due to neck injuries following road accidents or other accidents, either in Norway or internationally. This also means that it is not possible to determine what is an optimal treatment in all cases. According to the Social and Health Directorate, there are per at present no safe method of detecting injury in these patients. There is little scientific evidence to support the organic damage caused by patients, and it is therefore difficult to offer patients treatment that eliminates the plague. Some specialists believe to be able to detect tape damage in the neck of MR studies, but since no studies are available in the normal population, what the findings identified mean for patients’ distresses is uncertain. The whole international medicine seems to have the same problem. Some centres abroad believe that they have good treatment services, but according to the estimates of Norwegian trade unions, this is about methods and approaches that are poorly professionally documented. As some of these centres use risky, large-scale operations in the neck region, Norwegian specialists are justified in recommending such treatment until a proven utility has been demonstrated. Research funds from the University Hospitals in Trondheim, Bergen and Oslo have been applied for to clarify the causal relationship with the plagues of patients with neck length injuries. The project in Bergen aims to further explore the treatment method used in some centres in Germany, so that the benefits of this treatment can be clarified. Per. Today, this treatment is to be regarded as experimental, without any scientific foundation. My clear ambition is that when new methods are introduced, we should use methods that are either well documented or also use a research approach, so that we are able to provide scientific evidence ourselves, with adequate follow-up and evaluation. Therefore, the initiatives that have come to Norwegian research projects are interesting. Several of the research projects proposed in Norway also intend to further assess the usefulness of MR studies on any tape damage in the neck. Furthermore, the Social and Health Directorate has recommended that St. Olav’s Hospital in Trondheim, currently a national competence centre for back patients, also have national competences in relation to neck injuries. I want to make sure that these recommendations are followed up. I also see that central health authorities need to do something to improve knowledge of neck injuries, both in terms of diagnosis and treatment. I would therefore also like to assess how we can encourage some of our university hospitals to prioritise clinical research on neck injuries.
ParlaMint-NO_2003-04-02.ana.ud2020e975	I thank you for your answer. I think the Minister of Health made a very constructive contribution to moving forward. That's what I want to say. At the same time, on my own account, I believe that parts of the healthcare system have a problem, namely to accept that the problem of neck injury exists. I have received a lot of enquiries over the years, which are based on patients being rejected directly – yes, I may also have to use the word “trakassert” – not least because of relationships that I am not going to deal with here, but which relate to insurance doctors and insurance companies. I will leave it at this point, but the reports I get about patient-experienced situations suggest that this is serious. The Minister of Health also seems to be involved, in more diplomatic order than those I now used. Clearly, the expertise in the specialist environments is somewhat scattered, and I have noticed that the interaction is too bad. My supplementary question to the Minister will then be: does any possibility of coordinating the knowledge environments anything better than what seems to be the case today?
ParlaMint-NO_2003-04-02.ana.ud2020e984	The approach adopted by the Directorate-General for Social and Health to this problem, namely the proposal that neck patients should be treated more closely in outpatient clinics, is an approach that will provide a more holistic approach. These are, of course, highly multidisciplinary offers, where the various disciplines need to cooperate on the patient. It should be a prerequisite in all complex contexts, but unfortunately it is not always. I think we should take seriously that this is simply a lack of knowledge, not just in Norway, but internationally. Then the answer is very much related to developing and documenting knowledge. I have therefore expressed interest in these research initiatives. [[The President clubs.]] And...
ParlaMint-NO_2003-04-02.ana.ud2020e991	Asmund Kristoffersen – for additional questions. The President apologizes if he disturbed the Council of State.
ParlaMint-NO_2003-04-02.ana.ud2020e996	Then I shall proceed from where the Council of State was interrupted by the President! It must be very correct and important to stimulate method development and evidence, not least on what one actually does. That's why I found it very reliable to hear that the minister wants to stimulate research in the different environments. I very much agree with that. What will then be the question is: To what extent does the Minister see the possibility of just adding the funds needed to get on with the research, and to what extent does he encourage health businesses to actually use it? It is quite obvious that someone is now standing in a kind of backsea and is not going to get there to a sufficient extent. I think that's actually a big challenge. So I just want to say briefly about the back clinics: that's not the answer, because there's a competence that maybe doesn't relate to the top of the spine. Therefore, I do not want it to be too important that it is the only answer. There has to be something more than that.
ParlaMint-NO_2003-04-02.ana.ud2020e1007	It turned out from my main answer that it is more than that. But that's part of the recommendations I've received from the Social and Health Directorate, which I think there's reason to follow up. I would also like to look at how to encourage some of our university hospitals to prioritise such clinical research. What possibilities we have for that, I'm going to come back to. But medical research is generally a priority. From the Ministry of Health we are concerned to influence the device of the commitment to medical research, and this is one of the areas where it will be relevant to do so.
ParlaMint-NO_2003-04-02.ana.ud2020e1018	I will ask the Minister for Children and Family Affairs the following questions: ‘Decreases in granted child protection measures have been recorded following notifications in several counties. Measures granted vary from state to state. There are variations of up to 20 pst. Mother/child institutions claim that the counties withdraw from cooperation, justified by the poorer economy. The granted duration of treatment has also been greatly reduced, resulting in poorer results. What will the Council of State do to identify how poor municipal and county economies affect the provision of treatment in mother/child institutions?’
ParlaMint-NO_2003-04-02.ana.ud2020e1027	It is very important that there are good offers and measures in child protection where parents and children can get help together. The mother/child institution is therefore a kind of institutional provision that we need. The government is concerned that there is a wide range of good measures to support and help vulnerable children and their parents, not least many single-parents need the various forms of help a mother/child institution can provide. Here parents and children can receive guidance and help in a safe environment for a short or longer time, depending on the level of assistance needed in each individual case. This is, moreover, also in line with the main perspective of the new child-rearing communication on child protection. In total, we have per cent. today on a national basis about 20 mother/child institutions. Four of these are in Oslo. The Ministry has obtained information that no mother/child institutions outside Oslo have recorded any decrease in the occupancy rate, but that many have recorded an increase in demand. The occupancy rate is high in these institutions. The picture therefore seems more nuanced than the representative Hansen outlines in his question. In the case of mother/child institutions in Oslo, I have been informed that the coating percentage is approx. 60 pst. today. There may be different reasons why the coating is not higher. Nor is it certain that a relatively low coating means that there are too few who get a good offer. The municipality of Oslo informs, inter alia: that they have a number of alternative measures for this group. Another reason might be that the municipality of Oslo had to change the payment scheme for a period of time, so that the districts themselves had to pay for the entire stay at the institutions. This scheme was abandoned as late as March this year. Per. Today, the four institutions have framework funding as before, i.e. that they receive funds for the operation of the municipality centrally and that the districts pay only a proportion of their own. One of the institutions is already recording an increase in space demand. Finally, I would like to comment on what Mr Hansen says about the variation in the number of child protection measures in the counties. The number of children in child protection receiving domestic or out-of-home measures is increasing for each year, and there are variations between the counties in the proportion of messages leading to action. But you don't get a proper picture of the quality of child protection just by counting the number of measures. There are many different relationships that play, and help can be given – and given – in different ways. In fact, the number of broken messages does not need to mean that these children are not getting any help. In many cases, advice and guidance are provided under the provisions of the Child Protection Act. At other times, links are made to other support agencies, without the need for decision-making by the Child Welfare Service.
ParlaMint-NO_2003-04-02.ana.ud2020e1038	I thank you for your answer. I have visited mother/child institutions – we can come back to whom it is – which have clearly marked a decrease both in the time allowed for treatment and in the number of enquiries. That's justified by economics. There has been a report from the National Audit Office today, which shows that studies show that there are considerable variations in the amount of money spent by different municipalities and county councils on child protection, and that there are problems in cooperation between municipalities and county councils, especially with regard to issues related to the distribution of responsibilities between levels. It is absolutely right that more children are being provided with child protection measures. It's a tragic development. We get many more messages than before. However, the children’s and youth protection messages that we have just addressed in this issue show that, as a percentage, the number of measures approved is falling into 11 county municipalities. It's kind of funny when the messages just get more and more. What will the Council of State do to chart this?
ParlaMint-NO_2003-04-02.ana.ud2020e1049	There is no problem in going out and investigating this if it should be the case that some mother/child institutions, as the representative claims, have marked a decline because of the economy. We have not received the kind of alarming messages to the department. But if the representative can prove that there are some institutions we should take a closer look at, then of course we will. We don't have any trouble with that. But once again, I would argue that you can't just count the number of messages and actions, as if it were synonymous with the number of investigations and investigations. In fact, very many child protection studies have been carried out today, which do not necessarily lead to child protection measures. We can also read in the newspaper today that the number of children who have received child protection measures in recent years has exploded. So more and more measures are being taken in the field of child protection. I agree with the representative that this is, of course, tragic. However, the number of actions undertaken is not necessarily synonymous with the number of investigations and studies. Everyone has the right to help and action in the area of child protection if they need it.
ParlaMint-NO_2003-04-02.ana.ud2020e1056	Thanks for the answer. I have to make it clear again that we are receiving enquiries from municipalities and counties – something that SV also mentioned in the debate on child and youth protection – that in fact no action is being taken, because it is the end of the money. It is the economy that governs child protection measures. This report from the Riksrevision says it clearly, in many different ways. What I'm asking the Council of State is, how will the Council of State follow up on this? And: How will she map that it's not the economy that controls the measures, but actually the need these children have, which are the weakest children we have in our society?
ParlaMint-NO_2003-04-02.ana.ud2020e1065	Once again, it is clear that as a government council there is no problem to investigate, but it would have been important for me to get exactly the documentation that the representative clearly has in relation to alarming enquiries from institutions in different municipalities and counties, information that I am not sitting on. It would have been very nice to get direct enquiries or evidence that it concerns them and those municipalities and them and the counties. In the context of the Child Protection Communication, which we have recently dealt with in Stortingen, and in the context of the review of the funds used in child protection today, there are a significant number of increased positions in the protection of children in municipalities. It's very joyful. Very many municipalities have increased their efforts in the field of child protection, i.e. via the number of posts. But the whole grip we're taking, just to avoid the fact that there are too many differences in child protection – because it's true that there are big differences in the different states – is the grip we took on the big message, which we're now following up, namely a new organisation of child protection, where the state takes a greater responsibility.
ParlaMint-NO_2003-04-02.ana.ud2020e1076	I have the following questions for the Minister of Education and Research: ‘The governance of cooperation is of high quality at school and improving the competence of teachers. The learning centre publishes scholarships for continuing education in mathematics, Norwegian and Sami where the prerequisites for obtaining a scholarship are to achieve a total of 60 study credits by 2005. There's a 60-point limitation. Stavanger has started a master's degree in literacy. This is the competence requested in line with the Government’s priorities. Why should no scholarship be given to this study from the Learning Centre?’»
ParlaMint-NO_2003-04-02.ana.ud2020e1085	International and national surveys show that on average the literacy skills of Norwegian students are not good enough. Norway is among the countries where literacy varies most, and lack of literacy among boys is particularly alarming. It is serious that every five students leave primary school with so weak reading skills that there could be a serious obstacle to subsequent education and participation in the labour market. Many teachers who teach Norwegian at primary school have a lack of education in the subject. In 2000, a comprehensive survey of teachers on their education in the subjects in which they teach was carried out by the Central Statistical Office. Of the teachers who informed that they were teaching in Norwegian, about 50 pst. by childhood teachers and 30 pst. by the youth teachers that they had less than 30 points of education in the profession. Both the learning outcomes of pupils and the knowledge of teachers’ education show that it is necessary to improve the basics of primary school teachers for learning in reading and writing. I have therefore taken the initiative to strengthen the competence of new teachers as well as teachers working at school. A scholarship for further training in Norwegian with a focus on reading and writing is one of the measures. From the autumn of 2003, basic training for general teachers will give new teachers 30 points of study in Norwegian, 10 points of study in basic reading, writing and calculation training and the possibility of increased depression in Norwegian and other schools. In order to give teachers who are already working at primary school the opportunity to increase their professional competence up to 60 credits, I have arranged for them to apply for a scholarship of up to NOK 100000 in order to complete their further training. I have also taken the initiative to develop flexible and practical further training offers in Norwegian with a focus on reading and writing and using ICT in the profession. Offers are given in the current academic year at eight universities and higher education institutions, and 245 teachers participate. I expect that the possibility of receiving a scholarship will lead to much more teachers taking further training in this important field. A strategy with concrete measures to promote the literacy and knowledge of pupils is under preparation in the Ministry. The scheme for continuing training in Norwegian and Sami, implemented from the autumn of 2003, is one of several measures in the strategy. There is an urgent need to establish schemes to help students receive good training. In the first place, therefore, the grant scheme is used to enable teachers who teach at primary school to increase their professional competence up to 60 credits, corresponding to one year’s study. Of course, it is very important and positive that the College of Stavanger has started a master’s degree in literacy. One of today's requirements for admission to this study is 90 study credits in Norwegian. In the light of experience and the demand for grant schemes, I would like to assess whether it may later be appropriate to take action to stimulate the search for higher-level studies in priority areas, for example: by scholarships.
ParlaMint-NO_2003-04-02.ana.ud2020e1106	I thank the Council of State for the answer. I heard at the end of the answer that there is reason to believe that someone is considering extending the grant scheme, which is very positive. Reading science must be the competence sought. This is still evident in new studies. The PISA study clearly showed that Norwegian young people are poor at reading. This applies both to initial training and to young people in relation to literacy and competence. Now that one determines that the need for competence is so great, it must apply to all teachers, not only to those who are under education, or to those who enter further education, but to all the teachers. Because it's in school most teachers are. Will the Council of State take the initiative to take action to improve the building of competences in municipalities and at higher education institutions, so that the competence can benefit all teachers and in the second series of pupils?
ParlaMint-NO_2003-04-02.ana.ud2020e1115	Let me first say that the reading environment at the Stavanger College is a professionally very good environment. I can also say that we are making extensive use of the professional environment there in the work we are doing to strengthen the literacy and literacy of students, as well as the competence of newly educated and existing teachers in the field of training in these subjects. As I said, in the first place, we have focused on teachers who are already in school and who lack competence. But I think that all the measures here should be considered, because reading is a basic subject. It is, to the most extent, a tool subject, a source of benefit in education and working life, but it is also a source of pleasure and quality of life. So it's a very important bet area, and this will be very important. I'll take this further. I also want to confirm that we are very concerned about how we can use the university and higher education environments in an even better way vis-à-vis school Norway in terms of learning resources and skills development. We will do so, among other things. return to the revised national budget. There we will present an assessment of how to strengthen the State education administration.
ParlaMint-NO_2003-04-02.ana.ud2020e1124	I thank the Council of State for the answer. It is very positive that one considers expanding the arrangements and building a competence centre – I hear it might be Stavanger. Finally, I have a short question: Will what is planned go beyond scholarship schemes and further training, but be an overall read training plan?
ParlaMint-NO_2003-04-02.ana.ud2020e1131	The last is just the point, and I can give a little reference to the plan for strengthening the real subjects that the ministry has already submitted, which is a five-year plan. I do not want to claim that there has been no initiative in the past or action taken to strengthen the real subjects, but it was very fragmented, untransparent – there was no comprehensive strategy behind it. So we've put in a good deal of new action on the real subjects, but it's also an attempt to coordinate the measures that were already in place. We didn't have a college in the department long ago with the reading-interested environments in Norway. It happens very positively, but if everything is fragmented and inconspicuous, we might not get the benefit of what we could have. This is why one important objective of such a plan is to bring together all these good forces, see the measures in the context and get the most out of them, among other things. by better coordination.
ParlaMint-NO_2003-04-02.ana.ud2020e1138	Question 10 will be answered later.
ParlaMint-NO_2003-04-02.ana.ud2020e1144	I will ask the following questions to the Minister for Social Affairs: ‘The Spokesman’s Centre in Stavanger has been shown to fulfil a very important function for relatives of people with drug and/or psychiatry problems. Their evaluation report should have transfer value as the basis for similar centres in other parts of the country. Will the Council of State take any initiative in this way?’
ParlaMint-NO_2003-04-02.ana.ud2020e1153	The representative of Meltveit Kleppa points to a very important area within the drug field. It is easy to understand, and surveys also support, that having a drug addict in the family is a heavy burden. Drug abuse is covered by many stigmas, and for its relatives, this involves both guilt and shame — in many cases also a daily life marked by threats and extreme fear of what their children can do to themselves and others. Under the social services law, the municipalities of social services have a responsibility to provide advice, guidance and help to the families of drug users. Despite this, I am aware that many relatives experience that they are not being met and get the help they expect. This may apply to both social and health services. A recent study shows that this is a widespread problem that auxiliaries have to deal with seriously. In the Government’s action plan on drug problems, the main objective is to reduce the social and health damage caused by drug abuse. An important strategic objective is to improve access to effective counselling, assistance and treatment for those with drug problems and their relatives. Providing better help and care for the relatives of drug users is a challenge of both a professional and aggressive nature. Apart from the overall responsibility of the Directorate for Social Affairs and Health for improving skills and enabling the auxiliary services to respond to this problem, the regional competence centre for drug issues at the Borgestadklinikken has a special responsibility for this subject area. I am familiar with the work of the Family Centre in Stavanger, and that others have good experience with this. The social service is responsible for providing advice and guidance to the families of drug users. However, how this is to be done is up to the individual municipality. The care centre has developed a model of how this responsibility can be taken, and I have also assured myself that the Social and Health Directorate is familiar with this model. I'm assuming that the directorate will facilitate making this knowledge available to other municipalities.
ParlaMint-NO_2003-04-02.ana.ud2020e1168	Stavanger Retirement Center received start-up funds from the central government for a three-year period. They had plans about, and they followed up the plans with, a low-threshold offer for relatives, so that relatives experience being primary clients – a professional professional offer, a health-promoting offer, an offer that one can actually claim is to save funds far into the Social Minister's budget, I think of in relation to sick leave and disability. It is about telephone consultancy, individual conversations and couple conversations, family groups and other groups, and it is about information and education. But what I'm asking about is, does the Ministry of Social Affairs not see any possibility of giving start-up funds to other centres and, therefore, savings in other budgets?
ParlaMint-NO_2003-04-02.ana.ud2020e1175	It is an important work that is done in relation to relatives, especially at the Family Centre in Stavanger. Now this centre received state resources, project funds, and a summary and a statement from them on how the funds have been used – there is probably something more than just an evaluation. But the point is, as the representative asks, if not the method, the way to work, can be a model that can also be recommended for other municipalities. That is exactly why I have emphasised that the Social and Health Directorate is familiar with the Family Centre, they are familiar with the model, and they are familiar with the experience. There are also other types of organisations in Norway that are working in relation to relatives. All this work is important. I have also established and appointed two samples to advise on precisely how to deal with drugs policy. The samples include both former addicts, relatives, a number of professionals, so that a theme for these samples will be just to provide advice and gather some more experience. I am concerned that the relatives will get a day-to-day so that they can actually deal with it. The method and experience of the Family Centre in Stavanger will be shared by other municipalities in this way that the directorate will follow it up. I will not let go of this work in relation to what will be done further in the drug reform work, also in the appointed samples.
ParlaMint-NO_2003-04-02.ana.ud2020e1189	It is good that the Council of State has faith in the method. It is good that she has led the Health Directorate to follow up, and that the City Centre is also doing its part in this job. What is still the dilemma, both in Haugesund and in other municipalities that assess this model, is that there is a huge urban economy. This means that what the municipalities are now discussing is not new measures, but it is actually cutting existing supply, and it can even go down on both social and health services. Then it's my view that the Minister of Social Affairs should see the possibility of strengthening a guidance service that can actually prevent some sickness absence, even perhaps some inconvenience, by allowing people to get into a positive way of mastering everyday life. Doesn't the Council of States see that context as well?
ParlaMint-NO_2003-04-02.ana.ud2020e1196	The representative Meltveit Kleppa always ends up in recent times with local economy as the starting point for any question. The representative has argued that it is a good economy just to offer a good offer to relatives. Then I hope that she also agrees that it is the municipalities that are the arena and the arena to organise care for drug users, so it would be a good community economy to do this properly.
ParlaMint-NO_2003-04-02.ana.ud2020e1204	‘Over the last 15 years, the situation of nursing elderly people in the municipality of Bergen has been characterised by a waiting list in order to obtain a permanent hospitalisation of between 500 and 200 people. The municipality’s action plan for the care of the elderly gives little reason to believe that the waiting lists will be removed. The main action has been to make it more difficult to get on the waiting list. The situation of elderly people in need of care has been unacceptable for a long time. What initiatives will the Council of State take to contribute to an improved situation for elderly people in need of care in Bergen?’
ParlaMint-NO_2003-04-02.ana.ud2020e1211	The County of Hordaland comments on the situation in the municipality of Bergen in its report on the action plan for the care of the elderly, saying: ‘In 2002, Bergen reports about 240 people on the waiting list to Sicknessheimsplaats. These are as many as in 2001. It is the municipality itself that has found it likely to report this way about the number of people waiting for long-term jobs. A part of the queue members will be assigned more or less permanent waiting slots while waiting for the long-term free space. Nevertheless, the waiting list indicates that many people who, according to professional judgements, need a sick home place do not have such a place within a reasonable time.’ At present, the supervisory authorities follow very closely the further development of care for the elderly, both in Bergen and other municipalities, not least with a view to continuing the measures and developments that started with the Action Plan for the care of the elderly. It is the municipality of Bergen that is responsible for expanding the care and care service so that it can offer a decent offer to its inhabitants. From 1998 onwards, the action plan for the care of the elderly has provided a strong framework for the development of the capacity of both nursing staff, nursing homes and nursing homes throughout the country. During the four-year period 1998–2001, the municipality of Bergen has had an increase in nursing staff of a total of 629 years. Compared to other municipalities, Bergen has chosen to strengthen institutional care more. When allocating the most recent investment grants in the action plan, Hordaland was given priority, due to the situation in Bergen. According to Fylkesmannen in Hordaland, the municipality has been granted all its development projects and has received commitments to grant grants for the construction and repair of a total of 429 nursing homes and 1,234 nursing homes. A good share of this expansion is still under planning and construction. This means that the total coverage of nursing homes and nursing homes in Bergen will increase from 26 to 33 per cent. 100 over 80 years. The number of rooms in institutions that are exclusive will increase from 75 to 95 pst. This makes me believe that the municipality of Bergen will be in a somewhat different situation when this whole expansion is completed during 2005. However, we have recorded that the municipality of Bergen has taken a little longer than other municipalities to carry out this development. The applications therefore came late, but when they arrived, they were given high priority by the County and the House Bank. I want to do my part to maintain the expansion rate in the municipality of Bergen in this area, and I believe that the results will not be missed when this expansion is completed. With regard to further measures to improve the quality of care for the elderly and to simplify the care systems, I point out that the Government has already announced its own big message on this issue in the spring.
ParlaMint-NO_2003-04-02.ana.ud2020e1233	I thank you for your answer. I don't share optimism, with the background of long seagoing times as a local politician. Of the 240 nurses on the last official waiting list, 50 have been waiting for 12 months or more. At the same time – my measurement is from 30 June last year – a total of 143 applications were pending. So this is in addition to the waiting list itself. In Bergen, the majority have put in place a system of municipal approval of applicants, so it is not recommended by their own doctor – it is a short trick to reduce the displayed waiting list. If we go back six and a half years, the waiting list has varied by between 257 and 223. Does the Minister of Social Affairs think that this is the acceptable standard in Norway for care for the elderly, for the elderly who are in need of care?
ParlaMint-NO_2003-04-02.ana.ud2020e1240	What I believe is that the state – big business, government – has contributed funds and allocations to the municipality of Bergen in line with the plans that the municipality of Bergen has made, and in line with the fact that they have included these plans in their financial plan – and the municipality of Bergen’s own recognition that it is actually necessary to give priority to the care of the elderly. From the state side, we have set up, and in addition, priority, Bergen. The mountains arrived late with applications. Some larger cities did, because it was complex, among other things. to have a review and assessment of the total offer. I cannot say that what is in the municipality of Bergen today is satisfactory. Nor do I perceive that the municipality of Bergen says so, they say that they have sought and that they have plans for development – but when the plan of old age is completed, they are well in line with what is within the objective of the elderly plan. But it is clear that there are challenges in Bergen, as elsewhere, in relation to the content of the ageing plan, and therefore we have also notified a big message about this.
ParlaMint-NO_2003-04-02.ana.ud2020e1245	Locally, you're covered by a reference that you have a coverage of about 25 pst. for the number of places for residents over 80 years of age. Here, however, nursing homes and nursing homes are deliberately mixed to get a high percentage. Does the Council believe that nursing homes with a care factor of 0.1 should be mixed with nursing homes with day-to-day supervision when calculating the place coverage for nursing elderly people? Does the Council of State mean that it is possible to settle locally for national targets to be achieved when at least 250 waiting nurses are still on the waiting list? It must be the need and the needs that are crucial here, and not the percentage that has been set as a national average.
ParlaMint-NO_2003-04-02.ana.ud2020e1252	It is the municipality that is responsible for organising the care of the elderly, the municipality itself is the priority, and the municipality itself is the applicant. The municipality has received what it has applied for, given that it has actually recognised that there is a need to develop the care of the elderly in the municipality of Bergen. In summing up what is called the area, depending on whether it is a nursing home or a nursing home, the starting point — and the objective — of the old age plan is that there is good luck care and care to be the criterion for achieving the goal.
ParlaMint-NO_2003-04-02.ana.ud2020e1262	I will be allowed to ask the Minister for Transport the following questions: ‘Neither the National Transport Plan nor the Sem Declaration have been followed up by the Government in respect of road improvements. Governments have calculated the low road standard, poor maintenance, postponement of road projects, etc. is it costing society in the form of accidents, delays and lower competition conditions for business?’
ParlaMint-NO_2003-04-02.ana.ud2020e1271	In this year's budget, more than 11 billion are allocated to expand, maintain and operate the national road network. The road section of the national transport plan, to which the representative Nistad refers, consists of two main elements: investment and operation/maintenance, both of which are intended to be worth more than DKK 5 billion per year. years. Adequate operation and maintenance of the road network, including road safety measures, are probably the most important for the vast majority of road users, not least in order to prevent accidents. The preservation of road capital through improved maintenance is also necessary in order to avoid significant burdens on future investment budgets. Traffic safety, operation and maintenance are therefore of very high priority for the Government, and in this main area, the follow-up is largely in line with the National Transport Plan, with a budget of more than DKK 5.5 billion in the current year. For national road investments, the follow-up rate is about 45 pst. after two out of four years of the action plan period. However, in this area too, the State budgets for 2002 and 2003 mean increased efforts in relation to the level of labour party government up to 2002, before the Co-operation Government took over. The co-operation management has, among other things: Spaces for a historically high focus on racial protection, full progress on all major road projects under way and the launch of a whole range of new road measures. The follow-up to the reduction in the number of fatalities and injuries incurred in the national transport plan is 57 pst. after two out of four years of the action plan period. A number of the projects within the State budget are important for business by providing more uniform standards and capacity utilisation in the transport corridors. This applies, for example: the follow-up to the Eastfold Package and the new Swinesund link, which will improve the accessibility of freight transport with regard to Norway’s main external link. In the context of the roll-out of the national transport plan, investigations will be carried out, inter alia. examines the competitive situation of freight transport and its contribution to the value-creating activities of business. I would like to remind you that this government has chosen to add to the tight state budgets in 2002 and 2003. This has been necessary in the interests of the Norwegian economy, Norwegian households and Norwegian business. The investment in transport must therefore also take place within a comprehensive economic policy that ensures a lower interest rate and a lower exchange rate. To put it simply, it helps little to spend billions more on better roads for rural businesses if the framework conditions otherwise become so bad that the roads will only be used to move people and machines out of the country.
